T45n1858_001:0150a22	肇論序	肇 論 序 
T45n1858_001:0156b28	非非無。是以須菩提終日說般若，而云無所	非 非 無 是 以 須 菩 提 終 日 說 般 若 而 云 無 所 
T45n1858_001:0156b29	說。此絕言之道，知何以傳？庶參玄君子，有以	說 此 絕 言 之 道 知 何 以 傳 庶 參 玄 君 子 有 以 
T45n1858_001:0156c01	會之耳！又云「宜先定聖心所以應會之道，為	會 之 耳 又 云 宜 先 定 聖 心 所 以 應 會 之 道 為 
T45n1858_001:0156c02	當唯照無相耶？為當咸覩其變耶？」談者似謂	當 唯 照 無 相 耶 為 當 咸 覩 其 變 耶 談 者 似 謂 
T45n1858_001:0156c03	無相與變，其旨不一，覩變則異乎無相，照無	無 相 與 變 其 旨 不 一 覩 變 則 異 乎 無 相 照 無 
T45n1858_001:0156c04	相則失於撫會。然則即真之義，或有滯也。經	相 則 失 於 撫 會 然 則 即 真 之 義 或 有 滯 也 經 
T45n1858_001:0156c05	云：「色不異空，空不異色。色即是空，空即是	云 色不異空 空不異色 色 即 是 空 空 即 是 
T45n1858_001:0156c06	色。」若如來旨，觀色空時，應一心見色、一心	色 若 如 來 旨 觀 色 空 時 應 一 心 見 色 一 心 
T45n1858_001:0156c07	見空。若一心見色，則唯色非空；若一心見	見 空 若 一 心 見 色 則 唯 色 非 空 若 一 心 見 
T45n1858_001:0156c08	空，則唯空非色。然則空色兩陳，莫定其本也。	空 則 唯 空 非 色 然 則 空 色 兩 陳 莫 定 其 本 也 
T45n1858_001:0156c09	是以經云「非色」者，誠以非色於色，不非色於	是 以 經 云 非 色 者 誠 以 非 色 於 色 不 非 色 於 
T45n1858_001:0156c10	非色。若非色於非色，太虛則非色，非色何所	非 色 若 非 色 於 非 色 太 虛 則 非 色 非 色 何 所 
T45n1858_001:0156c11	明？若以非色於色，即非色不異色。非色不異	明 若 以 非 色 於 色 即 非 色 不 異 色 非 色 不 異 
T45n1858_001:0156c12	色，色即為非色。故知變即無相，無相即變。群	色 色 即 為 非 色 故 知 變 即 無 相 無 相 即 變 群 
T45n1858_001:0156c13	情不同，故教迹有異耳。考之玄籍，本之聖意，	情 不 同 故 教 迹 有 異 耳 考 之 玄 籍 本 之 聖 意 
T45n1858_001:0156c14	豈復真偽殊心、空有異照耶！是以照無相，不	豈 復 真 偽 殊 心 空 有 異 照 耶 是 以 照 無 相 不 
T45n1858_001:0156c15	失撫會之功；覩變動，不乖無相之旨。造有，不	失 撫 會 之 功 覩 變 動 不 乖 無 相 之 旨 造 有 不 
T45n1858_001:0156c16	異無；造無，不異有。未嘗不有，未嘗不無，故	異 無 造 無 不 異 有 未 嘗 不 有 未 嘗 不 無 故 
T45n1858_001:0156c17	曰「不動等覺而建立諸法」。以此而推，寂用何	曰 不 動 等 覺 而 建 立 諸 法 以 此 而 推 寂 用 何 
T45n1858_001:0156c18	妨！如之何謂覩變之知，異無相之照乎，恐談	妨 如 之 何 謂 覩 變 之 知 異 無 相 之 照 乎 恐 談 
T45n1858_001:0156c19	者脫謂空有兩心，靜躁殊用，故言覩變之知，	者 脫 謂 空 有 兩 心 靜 躁 殊 用 故 言 覩 變 之 知 
T45n1858_001:0156c20	不可謂之不有耳。若能捨已心於封內，尋玄	不 可 謂 之 不 有 耳 若 能 捨 已 心 於 封 內 尋 玄 
T45n1858_001:0156c21	機於事外，齊萬有於一虛，曉至虛之非無者，	機 於 事 外 齊 萬 有 於 一 虛 曉 至 虛 之 非 無 者 
T45n1858_001:0156c22	當言至人終日應會，與物推移，乘運撫化，未	當 言 至 人 終 日 應 會 與 物 推 移 乘 運 撫 化 未 
T45n1858_001:0156c23	始為有也。聖心若此，何有可取而曰「未釋	始 為 有 也 聖 心 若 此 何 有 可 取 而 曰 未 釋 
T45n1858_001:0156c24	不取之理」。又云「無是乃所以為真是，無當乃	不 取 之 理 又 云 無 是 乃 所 以 為 真 是 無 當 乃 
T45n1858_001:0156c25	所以為至當。」亦可如來言耳。若能無心於為	所 以 為 至 當 亦 可 如 來 言 耳 若 能 無 心 於 為 
T45n1858_001:0156c26	是，而是於無是，無心於為當，而當於無當者，	是 而 是 於 無 是 無 心 於 為 當 而 當 於 無 當 者 
T45n1858_001:0156c27	則終日是，不乖於無是；終日當，不乖於無當。	則 終 日 是 不 乖 於 無 是 終 日 當 不 乖 於 無 當 
T45n1858_001:0156c28	但恐有是於無是、有當於無當，所以為患耳。	但 恐 有 是 於 無 是 有 當 於 無 當 所 以 為 患 耳 
T45n1858_001:0156c29	何者？若真是可是、至當可當，則名相以形，美	何 者 若 真 是 可 是 至 當 可 當 則 名 相 以 形 美 
T45n1858_001:0157a01	惡是生。生生奔競，孰與止之？是以聖人空洞	惡 是 生 生 生 奔 競 孰 與 止 之 是 以 聖 人 空 洞 
T45n1858_001:0157a02	其懷，無識無知。然居動用之域，而止無為	其 懷 無 識 無 知 然 居 動 用 之 域 而 止 無 為 
T45n1858_001:0157a03	之境，處有名之內，而宅絕言之鄉。寂寥虛曠，	之 境 處 有 名 之 內 而 宅 絕 言 之 鄉 寂 寥 虛 曠 
T45n1858_001:0157a04	莫可以形名得，若斯而已矣。乃曰真是可	莫 可 以 形 名 得 若 斯 而 已 矣 乃 曰 真 是 可 
T45n1858_001:0157a05	是、至當可當，未喻雅旨也。恐是當之生，物謂	是 至 當 可 當 未 喻 雅 旨 也 恐 是 當 之 生 物 謂 
T45n1858_001:0157a06	之然，彼自不然，何足以然耳。夫言迹之興，	之 然 彼 自 不 然 何 足 以 然 耳 夫 言 迹 之 興 
T45n1858_001:0157a07	異途之所由生也。而言有所不言，迹有所不	異 途 之 所 由 生 也 而 言 有 所 不 言 迹 有 所 不 
T45n1858_001:0157a08	迹。是以善言言者，求言所不能言；善迹迹者，	迹 是 以 善 言 言 者 求 言 所 不 能 言 善 迹 迹 者 
T45n1858_001:0157a09	尋迹所不能迹。至理虛玄，擬心已差，況乃有	尋 迹 所 不 能 迹 至 理 虛 玄 擬 心 已 差 況 乃 有 
T45n1858_001:0157a10	言，恐所示轉遠。庶通心君子，有以相期於文	言 恐 所 示 轉 遠 庶 通 心 君 子 有 以 相 期 於 文 
T45n1858_001:0157a11	外耳。	外 耳 
T45n1858_001:0157a12	涅槃無名論第四	涅 槃 無 名 論 第 四 
T45n1858_001:0157a13	表上秦主姚興	表 上 秦 主 姚 興 
T45n1858_001:0157a14	僧肇言：肇聞天得一以清，地得一以寧，君王	僧 肇 言 肇 聞 天 得 一 以 清 地 得 一 以 寧 君 王 
T45n1858_001:0157a15	得一以治天下。伏惟陛下！叡哲欽明，道與	得 一 以 治 天 下 伏 惟 陛 下 叡 哲 欽 明 道 與 
T45n1858_001:0157a16	神會；妙契環中，理無不統；游刃萬機，弘道終	神 會 妙 契 環 中 理 無 不 統 游 刃 萬 機 弘 道 終 
T45n1858_001:0157a17	日；威被蒼生，垂文作則。所以域中有四大，而	日 威 被 蒼 生 垂 文 作 則 所 以 域 中 有 四 大 而 
T45n1858_001:0157a18	王居一焉。涅槃之道，蓋是三乘之所歸，方等	王 居 一 焉 涅 槃 之 道 蓋 是 三 乘 之 所 歸 方 等 
T45n1858_001:0157a19	之淵府。渺漭希夷，絕視聽之域；幽致虛玄，殆	之 淵 府 渺 漭 希 夷 絕 視 聽 之 域 幽 致 虛 玄 殆 
T45n1858_001:0157a20	非群情之所測。肇以人微，猥蒙國恩，得閑居	非 群 情 之 所 測 肇 以 人 微 猥 蒙 國 恩 得 閑 居 
T45n1858_001:0157a21	學肆，在什公門下十有餘載。雖眾經殊致，勝	學 肆 在 什 公 門 下 十 有 餘 載 雖 眾 經 殊 致 勝 
T45n1858_001:0157a22	趣非一，然涅槃一義，常以聽習為先。但肇才	趣 非 一 然 涅 槃 一 義 常 以 聽 習 為 先 但 肇 才 
T45n1858_001:0157a23	識闇短，雖屢蒙誨喻，猶懷疑漠漠。為竭愚不	識 闇 短 雖 屢 蒙 誨 喻 猶 懷 疑 漠 漠 為 竭 愚 不 
T45n1858_001:0157a24	已，亦如似有解。然未經高勝先唱，不敢自	已 亦 如 似 有 解 然 未 經 高 勝 先 唱 不 敢 自 
T45n1858_001:0157a25	決。不幸什公去世，諮參無所，以為永慨。而陛	決 不 幸 什 公 去 世 諮 參 無 所 以 為 永 慨 而 陛 
T45n1858_001:0157a26	下聖德不孤，獨與什公神契，目擊道存，快盡	下 聖 德 不 孤 獨 與 什 公 神 契 目 擊 道 存 快 盡 
T45n1858_001:0157a27	其中方寸，故能振彼玄風以啟末俗。一日遇	其 中 方 寸 故 能 振 彼 玄 風 以 啟 末 俗 一 日 遇 
T45n1858_001:0157a28	蒙〈答安城候姚嵩書問無為宗極〉：「何者？夫眾	蒙 答 安 城 候 姚 嵩 書 問 無 為 宗 極 何 者 夫 眾 
T45n1858_001:0157a29	生所以久流轉生死者，皆由著欲故也。若欲	生 所 以 久 流轉生死 者 皆 由 著 欲 故 也 若 欲 
T45n1858_001:0157b01	止於心，即無復於生死。既無生死，潛神玄默，	止 於 心 即 無 復 於 生 死 既 無 生 死 潛 神 玄 默 
T45n1858_001:0157b02	與虛空合其德，是名涅槃矣。既曰涅槃，復何	與 虛 空 合 其 德 是 名 涅 槃 矣 既 曰 涅 槃 復 何 
T45n1858_001:0157b03	容有名於其間哉！」斯乃窮微言之美，極象外	容 有 名 於 其 間 哉 斯 乃 窮 微 言 之 美 極 象 外 
T45n1858_001:0157b04	之談者也。自非道參文殊、德慈侔氏，孰能	之 談 者 也 自 非 道 參 文 殊 德 慈 侔 氏 孰 能 
T45n1858_001:0157b05	宣揚玄道、為法城塹，使夫大教卷而復舒，	宣 揚 玄 道 為 法 城 塹 使 夫 大 教 卷 而 復 舒 
T45n1858_001:0157b06	幽旨淪而更顯。尋玩殷勤，不能暫捨。欣悟交	幽 旨 淪 而 更 顯 尋 玩 殷 勤 不 能 暫 捨 欣 悟 交 
T45n1858_001:0157b07	懷，手舞弗暇。豈直當時之勝軌，方乃累劫之	懷 手 舞 弗 暇 豈 直 當 時 之 勝 軌 方 乃 累 劫 之 
T45n1858_001:0157b08	津梁矣。然聖旨淵玄，理微言約。可以匠彼先	津 梁 矣 然 聖 旨 淵 玄 理 微 言 約 可 以 匠 彼 先 
T45n1858_001:0157b09	進、拯拔高士；懼言題之流，或未盡上意。庶擬	進 拯 拔 高 士 懼 言 題 之 流 或 未 盡 上 意 庶 擬 
T45n1858_001:0157b10	孔易十翼之作，豈貪豐文，圖以弘顯幽旨。輒	孔 易 十 翼 之 作 豈 貪 豐 文 圖 以 弘 顯 幽 旨 輒 
T45n1858_001:0157b11	作《涅槃無名論》，論有九折十演，博采眾經，	作 涅 槃 無 名 論 論 有 九 折 十 演 博 采 眾 經 
T45n1858_001:0157b12	託證成喻。以仰述陛下無名之致，豈曰關詣	託 證 成 喻 以 仰 述 陛 下 無 名 之 致 豈 曰 關 詣 
T45n1858_001:0157b13	神心，窮究遠當。聊以擬議玄門，班喻學徒耳。	神 心 窮 究 遠 當 聊 以 擬 議 玄 門 班 喻 學 徒 耳 
T45n1858_001:0157b14	論末章云：「諸家通第一義諦，皆云廓然空寂，	論 末 章 云 諸 家 通 第一義諦 皆 云 廓 然 空 寂 
T45n1858_001:0157b15	無有聖人。吾常以為太甚徑庭、不近人情。若	無 有 聖 人 吾 常 以 為 太 甚 徑 庭 不 近 人 情 若 
T45n1858_001:0157b16	無聖人，知無者誰？」實如明詔！實如明詔！夫道，	無 聖 人 知 無 者 誰 實 如 明 詔 實 如 明 詔 夫 道 
T45n1858_001:0157b17	恍惚窈冥，其中有精。若無聖人，誰與道遊？頃	恍 惚 窈 冥 其 中 有 精 若 無 聖 人 誰 與 道 遊 頃 
T45n1858_001:0157b18	諸學徒，莫不躊躇道門，怏怏此旨，懷疑終	諸 學 徒 莫 不 躊 躇 道 門 怏 怏 此 旨 懷 疑 終 
T45n1858_001:0157b19	日，莫之能正。幸遭高判，宗徒[巾*畫]然；扣關之	日 莫 之 能 正 幸 遭 高 判 宗 徒 [巾畫] 然 扣 關 之 
T45n1858_001:0157b20	儔，蔚登玄室。真可謂法輪再轉於閻浮，道光	儔 蔚 登 玄 室 真 可 謂 法 輪 再 轉 於 閻 浮 道 光 
T45n1858_001:0157b21	重映於千載者矣。今演論之作旨，曲辨涅槃	重 映 於 千 載 者 矣 今 演 論 之 作 旨 曲 辨 涅 槃 
T45n1858_001:0157b22	無名之體，寂彼廓然排方外之談。條牒如	無 名 之 體 寂 彼 廓 然 排 方 外 之 談 條 牒 如 
T45n1858_001:0157b23	左，謹以仰呈。若少參聖旨，願勅存記；如其有	左 謹 以 仰 呈 若 少 參 聖 旨 願 勅 存 記 如 其 有 
T45n1858_001:0157b24	差，伏承指授。僧肇言。泥曰、泥洹、涅槃，此三	差 伏 承 指 授 僧 肇 言 泥 曰 泥 洹 涅 槃 此 三 
T45n1858_001:0157b25	名前後異出，蓋是楚夏不同耳。云涅槃，音正	名 前 後 異 出 蓋 是 楚 夏 不 同 耳 云 涅 槃 音 正 
T45n1858_001:0157b26	也。	也 
T45n1858_001:0157b27	　　九折十演者	 九 折 十 演 者 
T45n1858_001:0157b28	開宗第一	開 宗 第 一 
T45n1858_001:0157b29	無名曰：經稱有餘涅槃、無餘涅槃者，秦言無	無 名 曰 經 稱 有餘涅槃 無餘涅槃 者 秦 言 無 
T45n1858_001:0157c01	為，亦名滅度。無為者，取乎虛無寂寞，妙絕於	為 亦 名 滅 度 無 為 者 取 乎 虛 無 寂 寞 妙 絕 於 
T45n1858_001:0157c02	有為。滅度者，言其大患永滅，超度四流。斯蓋	有 為 滅 度 者 言 其 大 患 永 滅 超 度 四 流 斯 蓋 
T45n1858_001:0157c03	是鏡像之所歸，絕稱之幽宅也。而曰有餘、	是 鏡 像 之 所 歸 絕 稱 之 幽 宅 也 而 曰 有 餘 
T45n1858_001:0157c04	無餘者，良是出處之異號，應物之假名耳。余	無 餘 者 良 是 出 處 之 異 號 應 物 之 假 名 耳 余 
T45n1858_001:0157c05	嘗試言之。夫涅槃之為道也，寂寥虛矌，不可	嘗 試 言 之 夫 涅 槃 之 為 道 也 寂 寥 虛 矌 不 可 
T45n1858_001:0157c06	以形名得；微妙無相，不可以有心知。超群有	以 形 名 得 微 妙 無 相 不 可 以 有 心 知 超 群 有 
T45n1858_001:0157c07	以幽升，量太虛而永久，隨之弗得其蹤，迎之	以 幽 升 量 太 虛 而 永 久 隨 之 弗 得 其 蹤 迎 之 
T45n1858_001:0157c08	罔眺其首，六趣不能攝其生，力負無以化其	罔 眺 其 首 六 趣 不 能 攝 其 生 力 負 無 以 化 其 
T45n1858_001:0157c09	體。潢漭惚恍，若存若往，五目不覩其容，二	體 潢 漭 惚 恍 若 存 若 往 五 目 不 覩 其 容 二 
T45n1858_001:0157c10	聽不聞其響。冥冥窈窅，誰見誰曉？彌綸靡所	聽 不 聞 其 響 冥 冥 窈 窅 誰 見 誰 曉 彌 綸 靡 所 
T45n1858_001:0157c11	不在，而獨曳於有無之表。然則言之者失其	不 在 而 獨 曳 於 有 無 之 表 然 則 言 之 者 失 其 
T45n1858_001:0157c12	真，知之者反其愚，有之者乖其性，無之者	真 知 之 者 反 其 愚 有 之 者 乖 其 性 無 之 者 
T45n1858_001:0157c13	傷其軀。所以釋迦掩室於摩竭，淨名杜口於	傷 其 軀 所 以 釋 迦 掩 室 於 摩 竭 淨 名 杜 口 於 
T45n1858_001:0157c14	毘耶，須菩提唱無說以顯道，釋梵絕聽而雨	毘 耶 須 菩 提 唱 無 說 以 顯 道 釋 梵 絕 聽 而 雨 
T45n1858_001:0157c15	華；斯皆理為神御，故口以之而默，豈曰無	華 斯 皆 理 為 神 御 故 口 以 之 而 默 豈 曰 無 
T45n1858_001:0157c16	辯？辯所不能言也。經云：「真解脫者，離於言	辯 辯 所 不 能 言 也 經 云 真 解 脫 者 離 於 言 
T45n1858_001:0157c17	數，寂滅永安，無始無終，不晦不明，不寒不	數 寂 滅 永 安 無 始 無 終 不 晦 不 明 不 寒 不 
T45n1858_001:0157c18	暑，湛若虛空，無名無說。」論曰：「涅槃非有，亦	暑 湛 若 虛 空 無 名 無 說 論 曰 涅 槃 非 有 亦 
T45n1858_001:0157c19	復非無。言語道斷，心行處滅。」尋夫經論之	復 非 無 言語道斷 心行處滅 尋 夫 經 論 之 
T45n1858_001:0157c20	作，豈虛搆哉？果有其所以不有，故不可得而	作 豈 虛 搆 哉 果 有 其 所 以 不 有 故 不 可 得 而 
T45n1858_001:0157c21	有；有其所以不無，故不可得而無耳。何者？本	有 有 其 所 以 不 無 故 不 可 得 而 無 耳 何 者 本 
T45n1858_001:0157c22	之有境，則五陰永滅；推之無鄉，而幽靈不竭。	之 有 境 則 五 陰 永 滅 推 之 無 鄉 而 幽 靈 不 竭 
T45n1858_001:0157c23	幽靈不竭，則抱一湛然；五陰永滅，則萬累都	幽 靈 不 竭 則 抱 一 湛 然 五 陰 永 滅 則 萬 累 都 
T45n1858_001:0157c24	捐。萬累都捐，故與道通洞；抱一湛然，故神而	捐 萬 累 都 捐 故 與 道 通 洞 抱 一 湛 然 故 神 而 
T45n1858_001:0157c25	無功。神而無功，故至功常存；與道通洞，故	無 功 神 而 無 功 故 至 功 常 存 與 道 通 洞 故 
T45n1858_001:0157c26	沖而不改。沖而不改，故不可為有；至功常存，	沖 而 不 改 沖 而 不 改 故 不 可 為 有 至 功 常 存 
T45n1858_001:0157c27	故不可為無。然則有無絕於內，稱謂淪於外，	故 不 可 為 無 然 則 有 無 絕 於 內 稱 謂 淪 於 外 
T45n1858_001:0157c28	視聽之所不暨，四空之所昏昧，恬焉而夷，	視 聽 之 所 不 暨 四 空 之 所 昏 昧 恬 焉 而 夷 
T45n1858_001:0157c29	怕焉而泰，九流於是乎交歸，眾聖於是乎冥	怕 焉 而 泰 九 流 於 是 乎 交 歸 眾 聖 於 是 乎 冥 
T45n1858_001:0158a01	會。斯乃希夷之境、太玄之鄉。而欲以有無題	會 斯 乃 希 夷 之 境 太 玄 之 鄉 而 欲 以 有 無 題 
T45n1858_001:0158a02	榜，標其方域而語其神道者，不亦邈哉！	榜 標 其 方 域 而 語 其 神 道 者 不 亦 邈 哉 
T45n1858_001:0158a03	覈體第二	覈 體 第 二 
T45n1858_001:0158a04	有名曰：夫名號不虛生，稱謂不自起。經稱有	有 名 曰 夫 名 號 不 虛 生 稱 謂 不 自 起 經 稱 有 
T45n1858_001:0158a05	餘涅槃、無餘涅槃者，蓋是返本之真名，神道	餘 涅 槃 無餘涅槃 者 蓋 是 返 本 之 真 名 神 道 
T45n1858_001:0158a06	之妙稱者也。請試陳之。有餘者，謂如來大覺	之 妙 稱 者 也 請 試 陳 之 有 餘 者 謂 如 來 大 覺 
T45n1858_001:0158a07	始興，法身初建，澡八解之清流，憩七覺之茂	始 興 法 身 初 建 澡 八 解 之 清 流 憩 七 覺 之 茂 
T45n1858_001:0158a08	林，積萬善於曠劫，蕩無始之遺塵，三明鏡於	林 積 萬 善 於 曠 劫 蕩 無 始 之 遺 塵 三 明 鏡 於 
T45n1858_001:0158a09	內，神光照於外，結僧那於始心，終大悲以	內 神 光 照 於 外 結 僧 那 於 始 心 終 大 悲 以 
T45n1858_001:0158a10	赴難。仰攀玄根，俯提弱喪，超邁三域，獨蹈大	赴 難 仰 攀 玄 根 俯 提 弱 喪 超 邁 三 域 獨 蹈 大 
T45n1858_001:0158a11	方。啟八正之平路，坦眾庶之夷途，騁六通之	方 啟 八 正 之 平 路 坦 眾 庶 之 夷 途 騁 六 通 之 
T45n1858_001:0158a12	神驥，乘五衍之安車。至能出生入死，與物推	神 驥 乘 五 衍 之 安 車 至 能 出 生 入 死 與 物 推 
T45n1858_001:0158a13	移，道無不洽，德無不施。窮化母之始物，極	移 道 無 不 洽 德 無 不 施 窮 化 母 之 始 物 極 
T45n1858_001:0158a14	玄樞之妙用，廓虛宇於無疆，耀薩雲於幽燭，	玄 樞 之 妙 用 廓 虛 宇 於 無 疆 耀 薩 雲 於 幽 燭 
T45n1858_001:0158a15	將絕朕於九止，永淪太虛，而有餘緣不盡，餘	將 絕 朕 於 九 止 永 淪 太 虛 而 有 餘 緣 不 盡 餘 
T45n1858_001:0158a16	迹不泯。業報猶魂，聖智尚存。此有餘涅槃也。	迹 不 泯 業 報 猶 魂 聖 智 尚 存 此 有餘涅槃 也 
T45n1858_001:0158a17	經曰：「陶治塵滓，如鍊真金。萬累都盡，而靈	經 曰 陶 治 塵 滓 如 鍊 真 金 萬 累 都 盡 而 靈 
T45n1858_001:0158a18	覺獨存。」無餘者，謂至人教緣都訖，靈照永滅，	覺 獨 存 無 餘 者 謂 至 人 教 緣 都 訖 靈 照 永 滅 
T45n1858_001:0158a19	廓爾無朕，故曰無餘。何則？夫大患莫若於有	廓 爾 無 朕 故 曰 無 餘 何 則 夫 大 患 莫 若 於 有 
T45n1858_001:0158a20	身，故滅身以歸無；勞勤莫先於有智，故絕智	身 故 滅 身 以 歸 無 勞 勤 莫 先 於 有 智 故 絕 智 
T45n1858_001:0158a21	以淪虛。然則智以形倦，形以智勞，輪轉修途，	以 淪 虛 然 則 智 以 形 倦 形 以 智 勞 輪 轉 修 途 
T45n1858_001:0158a22	疲而弗已。經曰：「智為雜毒，形為桎梏。淵默以	疲 而 弗 已 經 曰 智 為 雜 毒 形 為 桎 梏 淵 默 以 
T45n1858_001:0158a23	之而遼，患難以之而起。」所以至人灰身滅智，	之 而 遼 患 難 以 之 而 起 所 以 至 人 灰 身 滅 智 
T45n1858_001:0158a24	捐形絕慮。內無機照之勤，外息大患之本，超	捐 形 絕 慮 內 無 機 照 之 勤 外 息 大 患 之 本 超 
T45n1858_001:0158a25	然與群有永分，渾爾與太虛同體。寂焉無聞，	然 與 群 有 永 分 渾 爾 與 太 虛 同 體 寂 焉 無 聞 
T45n1858_001:0158a26	怕爾無兆，冥冥長往，莫知所之。其猶燈盡	怕 爾 無 兆 冥 冥 長 往 莫 知 所 之 其 猶 燈 盡 
T45n1858_001:0158a27	火滅，膏明俱竭。此無餘涅槃也。經云：「五陰永	火 滅 膏 明 俱 竭 此 無餘涅槃 也 經 云 五 陰 永 
T45n1858_001:0158a28	盡，譬如燈滅。」然則有餘可以有稱，無餘可以	盡 譬 如 燈 滅 然 則 有 餘 可 以 有 稱 無 餘 可 以 
T45n1858_001:0158a29	無名。無名立，則宗虛者欣尚於沖默；有稱生，	無 名 無 名 立 則 宗 虛 者 欣 尚 於 沖 默 有 稱 生 
T45n1858_001:0158b01	則懷德者彌仰於聖功。斯乃誥典之所垂文，	則 懷 德 者 彌 仰 於 聖 功 斯 乃 誥 典 之 所 垂 文 
T45n1858_001:0158b02	先聖之所軌轍。而曰有無絕於內，稱謂淪於	先 聖 之 所 軌 轍 而 曰 有 無 絕 於 內 稱 謂 淪 於 
T45n1858_001:0158b03	外，視聽之所不暨，四空之所昏昧。使夫懷德	外 視 聽 之 所 不 暨 四 空 之 所 昏 昧 使 夫 懷 德 
T45n1858_001:0158b04	者自絕，宗虛者靡託。無異杜耳目於胎殼，掩	者 自 絕 宗 虛 者 靡 託 無 異 杜 耳 目 於 胎 殼 掩 
T45n1858_001:0158b05	玄象於雲霄外，而責宮商之異，辯玄素之殊	玄 象 於 雲 霄 外 而 責 宮 商 之 異 辯 玄 素 之 殊 
T45n1858_001:0158b06	者也。子徒知遠推至人於有無之表，高韻絕	者 也 子 徒 知 遠 推 至 人 於 有 無 之 表 高 韻 絕 
T45n1858_001:0158b07	唱於形名之外，而論旨竟莫知所歸，幽途故	唱 於 形 名 之 外 而 論 旨 竟 莫 知 所 歸 幽 途 故 
T45n1858_001:0158b08	自蘊而未顯。靜思幽尋，寄懷無所，豈所謂朗	自 蘊 而 未 顯 靜 思 幽 尋 寄 懷 無 所 豈 所 謂 朗 
T45n1858_001:0158b09	大明於冥室，奏玄響於無聞者哉！	大 明 於 冥 室 奏 玄 響 於 無 聞 者 哉 
T45n1858_001:0158b10	位體第三	位 體 第 三 
T45n1858_001:0158b11	無名曰：有餘、無餘者，蓋是涅槃之外稱，應物	無 名 曰 有 餘 無 餘 者 蓋 是 涅 槃 之 外 稱 應 物 
T45n1858_001:0158b12	之假名耳；而存稱謂者封名，志器象者耽	之 假 名 耳 而 存 稱 謂 者 封 名 志 器 象 者 耽 
T45n1858_001:0158b13	形。名也極於題目，形也盡於方圓；方圓有所	形 名 也 極 於 題 目 形 也 盡 於 方 圓 方 圓 有 所 
T45n1858_001:0158b14	不寫，題目有所不傳。焉可以名於無名，而形	不 寫 題 目 有 所 不 傳 焉 可 以 名 於 無 名 而 形 
T45n1858_001:0158b15	於無形者哉。難序云：「有餘、無餘者，信是權寂	於 無 形 者 哉 難 序 云 有 餘 無 餘 者 信 是 權 寂 
T45n1858_001:0158b16	致教之本意，亦是如來隱顯之誠跡也。但未	致 教 之 本 意 亦 是 如 來 隱 顯 之 誠 跡 也 但 未 
T45n1858_001:0158b17	是玄寂絕言之幽致，又非至人環中之妙術	是 玄 寂 絕 言 之 幽 致 又 非 至 人 環 中 之 妙 術 
T45n1858_001:0158b18	耳。」子獨不聞正觀之說歟？維摩詰言：「我觀如	耳 子 獨 不 聞 正 觀 之 說 歟 維 摩 詰 言 我 觀 如 
T45n1858_001:0158b19	來無始無終，六入已過、三界已出，不在方、不	來 無 始 無 終 六 入 已 過 三 界 已 出 不 在 方 不 
T45n1858_001:0158b20	離方，非有為、非無為，不可以識識、不可以智	離 方 非 有 為 非 無 為 不 可 以 識 識 不 可 以 智 
T45n1858_001:0158b21	知，無言無說，心行處滅。以此觀者，乃名正	知 無 言 無 說 心行處滅 以 此 觀 者 乃 名 正 
T45n1858_001:0158b22	觀；以他觀者。非見佛也。」《放光》云：「佛如虛空，	觀 以 他 觀 者 非 見 佛 也 放 光 云 佛 如 虛 空 
T45n1858_001:0158b23	無去無來，應緣而現，無有方所。」然則聖人之	無 去 無 來 應 緣 而 現 無 有 方 所 然 則 聖 人 之 
T45n1858_001:0158b24	在天下也，寂莫虛無，無執無競，導而弗先，感	在 天 下 也 寂 莫 虛 無 無 執 無 競 導 而 弗 先 感 
T45n1858_001:0158b25	而後應。譬猶幽谷之響、明鏡之像，對之弗知	而 後 應 譬 猶 幽 谷 之 響 明 鏡 之 像 對 之 弗 知 
T45n1858_001:0158b26	其所以來，隨之因識其所以往。恍焉而有，總	其 所 以 來 隨 之 因 識 其 所 以 往 恍 焉 而 有 總 
T45n1858_001:0158b27	焉而亡；動而逾寂，隱而彌彰；出幽入冥，變化	焉 而 亡 動 而 逾 寂 隱 而 彌 彰 出 幽 入 冥 變 化 
T45n1858_001:0158b28	無常。其為稱也，因應而作：顯迹為生，息迹為	無 常 其 為 稱 也 因 應 而 作 顯 迹 為 生 息 迹 為 
T45n1858_001:0158b29	滅；生名有餘，滅名無餘。然則有無之稱本乎	滅 生 名 有 餘 滅 名 無 餘 然 則 有 無 之 稱 本 乎 
T45n1858_001:0158c01	無名，無名之道於何不名？是以至人居方而	無 名 無 名 之 道 於 何 不 名 是 以 至 人 居 方 而 
T45n1858_001:0158c02	方，止圓而圓，在天而天，處人而人。原夫能天	方 止 圓 而 圓 在 天 而 天 處 人 而 人 原 夫 能 天 
T45n1858_001:0158c03	能人者，豈天人之所能哉！果以非天非人，故	能 人 者 豈 天 人 之 所 能 哉 果 以 非 天 非 人 故 
T45n1858_001:0158c04	能天能人耳。其為治也，故應而不為，因而	能 天 能 人 耳 其 為 治 也 故 應 而 不 為 因 而 
T45n1858_001:0158c05	不施。因而不施，故施莫之廣；應而不為，故為	不 施 因 而 不 施 故 施 莫 之 廣 應 而 不 為 故 為 
T45n1858_001:0158c06	莫之大。為莫之大，故乃返於小成；施莫之廣，	莫 之 大 為 莫 之 大 故 乃 返 於 小 成 施 莫 之 廣 
