T46n1928_001:0704c12	指要鈔序	指 要 鈔 序 
T46n1928_002:0716b18	藉緣了為利他功，無明與力助於法性方成	藉 緣 了 為 利 他 功 無 明 與 力 助 於 法 性 方 成 
T46n1928_002:0716b19	淨用。荊谿既許隨緣之義，必許法性無明互	淨 用 荊 谿 既 許 隨 緣 之 義 必 許 法 性 無 明 互 
T46n1928_002:0716b20	為因緣，但約體具明隨，自異權教。」二、濁水下，	為 因 緣 但 約 體 具 明 隨 自 異 權 教 二 濁 水 下 
T46n1928_002:0716b21	諭。濁水諭迷中染心，清水諭果後淨心，波	諭 濁 水 諭 迷 中 染 心 清 水 諭 果 後 淨 心 波 
T46n1928_002:0716b22	諭三千俱用，濕諭三千俱體。須知染中其	諭 三 千 俱 用 濕 諭 三 千 俱 體 須 知 染 中 其 
T46n1928_002:0716b23	水雖濁，亦全濕為波，清時豈別有波濕？故云	水 雖 濁 亦 全 濕 為 波 清 時 豈 別 有 波 濕 故 云 
T46n1928_002:0716b24	無殊，則波之與濕皆無殊也。他謂波中之濕	無 殊 則 波 之 與 濕 皆 無 殊 也 他 謂 波 中 之 濕 
T46n1928_002:0716b25	無殊者，濕性既不變，波性豈變邪？問：「第四記	無 殊 者 濕 性 既 不 變 波 性 豈 變 邪 問 第 四 記 
T46n1928_002:0716b26	云，如清濁波濕性不異，豈非波異濕同？今何	云 如 清 濁 波 濕 性 不 異 豈 非 波 異 濕 同 今 何 
T46n1928_002:0716b27	違彼？」答：「讀彼文者不看前後，但取一文成我	違 彼 答 讀 彼 文 者 不 看 前 後 但 取 一 文 成 我 
T46n1928_002:0716b28	局見。今為粗引彼文仍聊釋出，令欲據彼證	局 見 今 為 粗 引 彼 文 仍 聊 釋 出 令 欲 據 彼 證 
T46n1928_002:0716b29	唯濕無殊者聞之自誡。何者？彼文本釋世間	唯 濕 無 殊 者 聞 之 自 誡 何 者 彼 文 本 釋 世 間 
T46n1928_002:0716c01	相常，但相本流動，今欲說常須約位顯，全	相 常 但 相 本 流 動 今 欲 說 常 須 約 位 顯 全 
T46n1928_002:0716c02	位為相位、常相亦常，故文數云，相位無二。仍	位 為 相 位 常 相 亦 常 故 文 數 云 相 位 無 二 仍 
T46n1928_002:0716c03	自問云：位可一如，相云何等？答曰：位據理性	自 問 云 位 可 一 如 相 云 何 等 答 曰 位 據 理 性 
T46n1928_002:0716c04	決不可改，相約隨緣緣有染淨，緣雖染淨同	決 不 可 改 相 約 隨 緣 緣 有 染 淨 緣 雖 染 淨 同 
T46n1928_002:0716c05	名緣起，如清濁波濕性不異，同以濕性為波，	名 緣 起 如 清 濁 波 濕 性 不 異 同 以 濕 性 為 波 
T46n1928_002:0716c06	故皆以如為相，同以波為濕性，故皆以如為	故 皆 以 如 為 相 同 以 波 為 濕 性 故 皆 以 如 為 
T46n1928_002:0716c07	位，所以相與常住其名雖同，染淨既分如位	位 所 以 相 與 常 住 其 名 雖 同 染 淨 既 分 如 位 
T46n1928_002:0716c08	須辨。釋曰：彼問既云，相云何等？故知答文	須 辨 釋 曰 彼 問 既 云 相 云 何 等 故 知 答 文 
T46n1928_002:0716c09	以位例相成乎等義，乃先法次諭，諭中以	以 位 例 相 成 乎 等 義 乃 先 法 次 諭 諭 中 以 
T46n1928_002:0716c10	法參而合之，法中先舉位一，故云決不可改；	法 參 而 合 之 法 中 先 舉 位 一 故 云 決 不 可 改 
T46n1928_002:0716c11	次明相等，故云同名緣起。諭中亦先舉濕性	次 明 相 等 故 云 同 名 緣 起 諭 中 亦 先 舉 濕 性 
T46n1928_002:0716c12	不異顯上位一，次明以濕為波、以波為濕，正	不 異 顯 上 位 一 次 明 以 濕 為 波 以 波 為 濕 正 
T46n1928_002:0716c13	當顯上位相無二、位等相等，故知文中本答	當 顯 上 位 相 無 二 位 等 相 等 故 知 文 中 本 答 
T46n1928_002:0716c14	相等，但相兼染淨，等義難彰，故光以濕性諭	相 等 但 相 兼 染 淨 等 義 難 彰 故 光 以 濕 性 諭 
T46n1928_002:0716c15	位論等，仍顯全位為相、全濕為波，以位例相	位 論 等 仍 顯 全 位 為 相 全 濕 為 波 以 位 例 相 
T46n1928_002:0716c16	明其咸等。因何但將濕性不異一句為證，全	明 其 咸 等 因 何 但 將 濕 性 不 異 一 句 為 證 全 
T46n1928_002:0716c17	不以濕而例於波，及拋相等之問，豈可得乎？	不 以 濕 而 例 於 波 及 拋 相 等 之 問 豈 可 得 乎 
T46n1928_002:0716c18	況若論異義，豈獨相異、位無異義邪？故當科	況 若 論 異 義 豈 獨 相 異 位 無 異 義 邪 故 當 科 
T46n1928_002:0716c19	即云，染淨既分如位須辨，豈非染相必以在	即 云 染 淨 既 分 如 位 須 辨 豈 非 染 相 必 以 在 
T46n1928_002:0716c20	纏真如為位，豈可淨相不以出纏真如為位？若	纏 真 如 為 位 豈 可 淨 相 不 以 出 纏 真 如 為 位 若 
T46n1928_002:0716c21	論等者，濁水清水既同一濕，豈不得言同一波	論 等 者 濁 水 清 水 既 同 一 濕 豈 不 得 言 同 一 波 
T46n1928_002:0716c22	邪？以水清後還是濁時動用故也。」三、清濁下，	邪 以 水 清 後 還 是 濁 時 動 用 故 也 三 清 濁 下 
T46n1928_002:0716c23	合者，水之波濕常無增減，若其清濁必各由	合 者 水 之 波 濕 常 無 增 減 若 其 清 濁 必 各 由 
T46n1928_002:0716c24	緣。雖象入則濁、珠入則清，而其濁緣與水俱	緣 雖 象 入 則 濁 珠 入 則 清 而 其 濁 緣 與 水 俱 
T46n1928_002:0716c25	有，從來未悟故濁在前，如山抱玉、如沙有金，	有 從 來 未 悟 故 濁 在 前 如 山 抱 玉 如 沙 有 金 
T46n1928_002:0716c26	鑛璞本有。水雖本濁，濁非水性，故全體是清，	鑛 璞 本 有 水 雖 本 濁 濁 非 水 性 故 全 體 是 清 
T46n1928_002:0716c27	以清濁二波秖一動性，故云理通，而皆全濕	以 清 濁 二 波 秖 一 動 性 故 云 理 通 而 皆 全 濕 
T46n1928_002:0716c28	為動，故云舉體是用。既悟後不迷，知清是水	為 動 故 云 舉 體 是 用 既 悟 後 不 迷 知 清 是 水 
T46n1928_002:0716c29	性，違性可轉、稱性則常故也。二、故三下，界如	性 違 性 可 轉 稱 性 則 常 故 也 二 故 三 下 界 如 
T46n1928_002:0717a01	緣起性本圓常二：初、約性德直示者，迷悟緣	緣 起 性 本 圓 常 二 初 約 性 德 直 示 者 迷 悟 緣 
T46n1928_002:0717a02	起皆三千之體起於妙用，體既不出剎那，妙	起 皆 三 千 之 體 起 於 妙 用 體 既 不 出 剎 那 妙 
T46n1928_002:0717a03	用豈應離體？故使緣起咸趣剎那。三千既其	用 豈 應 離 體 故 使 緣 起 咸 趣 剎 那 三 千 既 其 
T46n1928_002:0717a04	不變，剎那之性本常，以體收用緣起理一，不	不 變 剎 那 之 性 本 常 以 體 收 用 緣 起 理 一 不 
T46n1928_002:0717a05	分而分十界百界，約十界則六穢四淨，約百	分 而 分 十 界 百 界 約 十 界 則 六 穢 四 淨 約 百 
T46n1928_002:0717a06	界則十通淨穢，十中一一各六四故。二、故知	界 則 十 通 淨 穢 十 中 一 一 各 六 四 故 二 故 知 
T46n1928_002:0717a07	下，約修反顯者。問：「前云，剎那百界有穢有淨，	下 約 修 反 顯 者 問 前 云 剎 那 百 界 有 穢 有 淨 
T46n1928_002:0717a08	今何悉淨？」答：「前論淨穢法門，皆理本具，通於	今 何 悉 淨 答 前 論 淨 穢 法 門 皆 理 本 具 通 於 
T46n1928_002:0717a09	迷悟無有增減，即性善性惡也。今之染淨約	迷 悟 無 有 增 減 即 性 善 性 惡 也 今 之 染 淨 約 
T46n1928_002:0717a10	情理說，情著則淨穢俱染，理性則淨穢俱淨，	情 理 說 情 著 則 淨 穢 俱 染 理 性 則 淨 穢 俱 淨 
T46n1928_002:0717a11	故剎那染情體具十界，互融自在故名悉淨。	故 剎 那 染 情 體 具 十 界 互 融 自 在 故 名 悉 淨 
T46n1928_002:0717a12	疑者云：剎那既具三千，我何不見？答：未顯者，	疑 者 云 剎 那 既 具 三 千 我 何 不 見 答 未 顯 者 
T46n1928_002:0717a13	驗體仍迷非理不具，此名字中疑也。觀行既	驗 體 仍 迷 非 理 不 具 此 名 字 中 疑 也 觀 行 既 
T46n1928_002:0717a14	亦未顯，遂以相似驗之，父母生身發於相似，	亦 未 顯 遂 以 相 似 驗 之 父 母 生 身 發 於 相 似 
T46n1928_002:0717a15	五眼五耳乃至五意皆能遍照，自身既現十	五 眼 五 耳 乃 至 五 意 皆 能 遍 照 自 身 既 現 十 
T46n1928_002:0717a16	界，以驗他身亦然，故相似位人，比知百界同	界 以 驗 他 身 亦 然 故 相 似 位 人 比 知 百 界 同 
T46n1928_002:0717a17	在一心；若至分真，普現色身能現十界，一一	在 一 心 若 至 分 真 普 現 色 身 能 現 十 界 一 一 
T46n1928_002:0717a18	復起十界三業，故云亦然；果地究盡諸法實	復 起 十 界 三 業 故 云 亦 然 果 地 究 盡 諸 法 實 
T46n1928_002:0717a19	相，等彼性中所具百界，故知性具百界互融	相 等 彼 性 中 所 具 百 界 故 知 性 具 百 界 互 融 
T46n1928_002:0717a20	廣遍，染心自局濁體本清。」二、故須下，明能顯	廣 遍 染 心 自 局 濁 體 本 清 二 故 須 下 明 能 顯 
T46n1928_002:0717a21	妙觀。然今十門皆為觀心而設，故色心門攝	妙 觀 然 今 十 門 皆 為 觀 心 而 設 故 色 心 門 攝 
T46n1928_002:0717a22	別入總，專立識心為所觀故。內外門正示觀	別 入 總 專 立 識 心 為 所 觀 故 內 外 門 正 示 觀 
T46n1928_002:0717a23	法，雖泛論二境正在內心。第三門全性起修	法 雖 泛 論 二 境 正 在 內 心 第 三 門 全 性 起 修 
T46n1928_002:0717a24	辨觀令妙，第四門即因成果顯證非新，故此	辨 觀 令 妙 第 四 門 即 因 成 果 顯 證 非 新 故 此 
T46n1928_002:0717a25	二門皆論一念。已上四門攝自行法門，同在	二 門 皆 論 一 念 已 上 四 門 攝 自 行 法 門 同 在 
T46n1928_002:0717a26	剎那而為觀體。從此門去純談化他，而化他	剎 那 而 為 觀 體 從 此 門 去 純 談 化 他 而 化 他 
T46n1928_002:0717a27	法門雖即無量，豈出三千？亦攝歸剎那同為	法 門 雖 即 無 量 豈 出 三 千 亦 攝 歸 剎 那 同 為 
T46n1928_002:0717a28	觀體，此當其首，故廣示觀門，後既倣此但略	觀 體 此 當 其 首 故 廣 示 觀 門 後 既 倣 此 但 略 
T46n1928_002:0717a29	點示，不得此意徒釋十門空談一念，故今文	點 示 不 得 此 意 徒 釋 十 門 空 談 一 念 故 今 文 
T46n1928_002:0717b01	先明淨用同在染心，理具情迷顯發由觀。遮	先 明 淨 用 同 在 染 心 理 具 情 迷 顯 發 由 觀 遮 
T46n1928_002:0717b02	照者，空中名遮，一相不立，假觀名照，三千宛	照 者 空 中 名 遮 一 相 不 立 假 觀 名 照 三 千 宛 
T46n1928_002:0717b03	然。復令三觀俱亡、三諦齊照，乃亡前遮照。照	然 復 令 三 觀 俱 亡 三 諦 齊 照 乃 亡 前 遮 照 照 
T46n1928_002:0717b04	前遮故，故各名雙亡，照同時故云終日，此	前 遮 故 故 各 名 雙 亡 照 同 時 故 云 終 日 此 
T46n1928_002:0717b05	則同前即空假中無空假中也。他見法爾空	則 同 前 即 空 假 中 無 空 假 中 也 他 見 法 爾 空 
T46n1928_002:0717b06	中，欲例即空即中，而不看上句照故三千常	中 欲 例 即 空 即 中 而 不 看 上 句 照 故 三 千 常 
T46n1928_002:0717b07	具，彼門但舉依正之境，況不云三千及以百	具 彼 門 但 舉 依 正 之 境 況 不 云 三 千 及 以 百 
T46n1928_002:0717b08	界，尚未結成妙境，何關假觀邪？若此中縱無	界 尚 未 結 成 妙 境 何 關 假 觀 邪 若 此 中 縱 無 
T46n1928_002:0717b09	上句照故三千常具，但云空中，於理亦成。何	上 句 照 故 三 千 常 具 但 云 空 中 於 理 亦 成 何 
T46n1928_002:0717b10	者？上已具示三千淨用在剎那，故彼秖云依	者 上 已 具 示 三 千 淨 用 在 剎 那 故 彼 秖 云 依 
T46n1928_002:0717b11	正色心，據何文義云是妙假？思之思之！不動	正 色 心 據 何 文 義 云 是 妙 假 思 之 思 之 不 動 
T46n1928_002:0717b12	此念者，明觀成相不移，即今剎那之念，而能	此 念 者 明 觀 成 相 不 移 即 今 剎 那 之 念 而 能 
T46n1928_002:0717b13	盡未來際作三千化事，此之剎那即法界故，	盡未來際 作 三 千 化 事 此 之 剎 那 即 法 界 故 
T46n1928_002:0717b14	有何窮盡？第五記云，剎那剎那皆盡過未，	有 何 窮 盡 第 五 記 云 剎 那 剎 那 皆 盡 過 未 
T46n1928_002:0717b15	施設三千皆妙假力，亡淨穢相須藉空中，故	施 設 三 千 皆 妙 假 力 亡 淨 穢 相 須 藉 空 中 故 
T46n1928_002:0717b16	云以空以中。染中淨穢更顯明者，復是空中	云 以 空 以 中 染 中 淨 穢 更 顯 明 者 復 是 空 中 
T46n1928_002:0717b17	之力，故云轉染為淨。染淨各具三千，空中了	之 力 故 云 轉 染 為 淨 染 淨 各 具 三 千 空 中 了 
T46n1928_002:0717b18	之，三千既亡空中亦泯，方名染淨不二，此則	之 三 千 既 亡 空 中 亦 泯 方 名 染 淨 不 二 此 則 
T46n1928_002:0717b19	同前因果既泯理性自亡。	同 前 因 果 既 泯 理 性 自 亡 
T46n1928_002:0717b20	六、依正不二門三：初、標。果後示現下三國土，	六 依 正 不 二 門 三 初 標 果 後 示 現 下 三 國 土 
T46n1928_002:0717b21	名為依報，示現前三教主及九界身，名為正	名 為 依 報 示 現 前 三 教 主 及 九 界 身 名 為 正 
T46n1928_002:0717b22	報，以寂光、圓佛本無二故，即是能開之妙法	報 以 寂 光 圓 佛 本 無 二 故 即 是 能 開 之 妙 法 
T46n1928_002:0717b23	故也。此淨穢土及勝劣身，同在初心剎那，有	故 也 此 淨 穢 土 及 勝 劣 身 同 在 初 心 剎 那 有 
T46n1928_002:0717b24	何二邪？二、已證下，釋二：初、明果用由因本具	何 二 邪 二 已 證 下 釋 二 初 明 果 用 由 因 本 具 
T46n1928_002:0717b25	三：初、示依正不二二：初、明不二之由。已證者，	三 初 示 依 正 不 二 二 初 明 不 二 之 由 已 證 者 
T46n1928_002:0717b26	蓋舉已證之位也。寂光、遮那依正不二，全由	蓋 舉 已 證 之 位 也 寂 光 遮 那 依 正 不 二 全 由 
T46n1928_002:0717b27	因德一念三千，儻因本不融，果何能一？縱修	因 德 一 念 三 千 儻 因 本 不 融 果 何 能 一 縱 修 
T46n1928_002:0717b28	治令合，亦是無常，終歸分隔。二、以三千下，示	治 令 合 亦 是 無 常 終 歸 分 隔 二 以 三 千 下 示 
T46n1928_002:0717b29	不二之相。在文可見。二、是則下，明因理本融	不 二 之 相 在 文 可 見 二 是 則 下 明 因 理 本 融 
T46n1928_002:0717c01	二：初、明三位本妙。理等三位融相未顯，如五品	二 初 明 三 位 本 妙 理 等 三 位 融 相 未 顯 如 五 品 
T46n1928_002:0717c02	人，雖以理觀遍融一切，而於事用未能自在。	人 雖 以 理 觀 遍 融 一 切 而 於 事 用 未 能 自 在 
T46n1928_002:0717c03	此位尚爾，前二可知。然迷情自異，不二天真，	此 位 尚 爾 前 二 可 知 然 迷 情 自 異 不 二 天 真 
T46n1928_002:0717c04	故云己有。自即己心、他是生佛，佛唯在果，餘	故 云 己 有 自 即 己 心 他 是 生 佛 佛 唯 在 果 餘 
T46n1928_002:0717c05	二在因，果攝心生縱由修證，心能攝二全由	二 在 因 果 攝 心 生 縱 由 修 證 心 能 攝 二 全 由 
T46n1928_002:0717c06	性融，推功歸理乃言故使。二、但眾下，示一切皆	性 融 推 功 歸 理 乃 言 故 使 二 但 眾 下 示 一 切 皆 
T46n1928_002:0717c07	融。不可任情必須順理，理智未顯見法仍差，	融 不 可 任 情 必 須 順 理 理 智 未 顯 見 法 仍 差 
T46n1928_002:0717c08	須知本融無非妙境。三、然應下，明始終無改	須 知 本 融 無 非 妙 境 三 然 應 下 明 始 終 無 改 
T46n1928_002:0717c09	二：初、明情智局遍。於生局處佛能遍融，於佛	二 初 明 情 智 局 遍 於 生 局 處 佛 能 遍 融 於 佛 
T46n1928_002:0717c10	遍處生自局限。二、始終下，明體用常融二：初、	遍 處 生 自 局 限 二 始 終 下 明 體 用 常 融 二 初 
T46n1928_002:0717c11	略示。有四句，初、三約因果竪辨理同，二、四約	略 示 有 四 句 初 三 約 因 果 竪 辨 理 同 二 四 約 
T46n1928_002:0717c12	諸法橫辨相入。意顯終既大小無妨，始亦如	諸 法 橫 辨 相 入 意 顯 終 既 大 小 無 妨 始 亦 如 
T46n1928_002:0717c13	是，由不改故；果既依正不二，因亦復然，由理	是 由 不 改 故 果 既 依 正 不 二 因 亦 復 然 由 理 
T46n1928_002:0717c14	同故。二、故淨下，廣示。文有八句，初、二句雙舉	同 故 二 故 淨 下 廣 示 文 有 八 句 初 二 句 雙 舉 
T46n1928_002:0717c15	依正，同居等三土傳作淨穢，地獄等十界身	依 正 同 居 等 三 土 傳 作 淨 穢 地 獄 等 十 界 身 
T46n1928_002:0717c16	迭分勝劣。次塵身下二句，雙示依正體性，一	迭 分 勝 劣 次 塵 身 下 二 句 雙 示 依 正 體 性 一 
T46n1928_002:0717c17	微塵身、一微塵國，各具三千、體遍法界，彼彼	微 塵 身 一 微 塵 國 各 具 三 千 體 遍 法 界 彼 彼 
T46n1928_002:0717c18	身土亦復如是。三是則下二句，明遍攝一切	身 土 亦復如是 三 是 則 下 二 句 明 遍 攝 一 切 
T46n1928_002:0717c19	剎趣一剎、一切身趣一身，文雖剎身各攝，意	剎 趣 一 剎 一 切 身 趣 一 身 文 雖 剎 身 各 攝 意 
T46n1928_002:0717c20	必依正互收。四廣狹下二句，結妙，三千無礙	必 依 正 互 收 四 廣 狹 下 二 句 結 妙 三 千 無 礙 
T46n1928_002:0717c21	出生無盡，不可心思、不可口議，如是融相今	出 生 無 盡 不 可 心 思 不 可 口 議 如 是 融 相 今 
T46n1928_002:0717c22	古常然，迷悟不改。二、若非下，明理顯以觀為	古 常 然 迷 悟 不 改 二 若 非 下 明 理 顯 以 觀 為 
T46n1928_002:0717c23	功二：初、克彰觀行之功。性具三千，若體若用	功 二 初 克 彰 觀 行 之 功 性 具 三 千 若 體 若 用 
T46n1928_002:0717c24	本空假中，常自相攝，微塵本含法界，芥子常	本 空 假 中 常 自 相 攝 微 塵 本 含 法 界 芥 子 常 
T46n1928_002:0717c25	納須彌，無始無明強生隔礙，順性修觀即空	納 須 彌 無 始 無 明 強 生 隔 礙 順 性 修 觀 即 空 
T46n1928_002:0717c26	假中，則自在體用顯現成就。性本空假中，性	假 中 則 自 在 體 用 顯 現 成 就 性 本 空 假 中 性 
T46n1928_002:0717c27	淨解脫也；修成空假中，實慧解脫也；起用空	淨 解 脫 也 修 成 空 假 中 實 慧 解 脫 也 起 用 空 
T46n1928_002:0717c28	假中，方便淨解脫也。雖是修二性一，以皆空	假 中 方 便 淨 解 脫 也 雖 是 修 二 性 一 以 皆 空 
T46n1928_002:0717c29	假中故則成合義。二、如是下，結示生佛一致。	假 中 故 則 成 合 義 二 如 是 下 結 示 生 佛 一 致 
T46n1928_002:0718a01	既解修成全是本具，即知迷悟體用不二，波	既 解 修 成 全 是 本 具 即 知 迷 悟 體 用 不 二 波 
T46n1928_002:0718a02	濕無殊之譬於茲更明。我心為此，生佛為彼，	濕 無 殊 之 譬 於 茲 更 明 我 心 為 此 生 佛 為 彼 
T46n1928_002:0718a03	緣起為事，性具為理，彼此三千理同不隔，遂	緣 起 為 事 性 具 為 理 彼 此 三 千 理 同 不 隔 遂 
T46n1928_002:0718a04	令緣起互入無妨，依正不二斯之謂歟。七、自	令 緣 起 互 入 無 妨 依 正 不 二 斯 之 謂 歟 七 自 
T46n1928_002:0718a05	他不二門三：初、標。染淨依正及以此門，都為	他 不 二 門 三 初 標 染 淨 依 正 及 以 此 門 都 為 
T46n1928_002:0718a06	感應神通而立，且即染之淨依正必融，即是	感 應 神 通 而 立 且 即 染 之 淨 依 正 必 融 即 是 
T46n1928_002:0718a07	神通及以能應，既由已辦，須名為自，唯未論	神 通 及 以 能 應 既 由 已 辦 須 名 為 自 唯 未 論 
T46n1928_002:0718a08	感，感即他機，雖分自他同在一念，故上文云，	感 感 即 他 機 雖 分 自 他 同 在 一 念 故 上 文 云 
T46n1928_002:0718a09	他生他佛尚與心同，況己心生佛寧乖一念？	他 生 他 佛 尚 與 心 同 況 己 心 生 佛 寧 乖 一 念 
T46n1928_002:0718a10	佛法眾生法皆名為他，而各具生佛，若己生	佛 法 眾 生 法 皆 名 為 他 而 各 具 生 佛 若 己 生 
T46n1928_002:0718a11	佛顯，則與他佛生佛同俱為能化，唯他眾生	佛 顯 則 與 他 佛 生 佛 同 俱 為 能 化 唯 他 眾 生 
T46n1928_002:0718a12	生佛而為所化，既同一念自他豈殊？故名不	生 佛 而 為 所 化 既 同 一 念 自 他 豈 殊 故 名 不 
T46n1928_002:0718a13	二。依此觀察能成二妙，復名為門。二、隨機下，	二 依 此 觀 察 能 成 二 妙 復 名 為 門 二 隨 機 下 
T46n1928_002:0718a14	釋二：初示感應之體本同二：初、約法示三：初、	釋 二 初 示 感 應 之 體 本 同 二 初 約 法 示 三 初 
T46n1928_002:0718a15	約一性明自他。證果之後不動而應，眾機普	約 一 性 明 自 他 證 果 之 後 不 動 而 應 眾 機 普 
T46n1928_002:0718a16	益，既非謀作皆由性同，因果驗之灼然不二。	益 既 非 謀 作 皆 由 性 同 因 果 驗 之 灼 然 不 二 
T46n1928_002:0718a17	二、如理下，約三千明感應。先以三諦例自他	二 如 理 下 約 三 千 明 感 應 先 以 三 諦 例 自 他 
T46n1928_002:0718a18	本同，三千既即空假中，乃三德三諦之三千	本 同 三 千 既 即 空 假 中 乃 三 德 三 諦 之 三 千 
T46n1928_002:0718a19	也。自行即淨穢亡泯，無不空中，利他則帝網	也 自 行 即 淨 穢 亡 泯 無 不 空 中 利 他 則 帝 網 
T46n1928_002:0718a20	交羅三千皆假，三諦既即三是一，自他則分	交 羅 三 千 皆 假 三 諦 既 即 三 是 一 自 他 則 分 
T46n1928_002:0718a21	而不分。然今所辨自他俱在妙假，以能化所	而 不 分 然 今 所 辨 自 他 俱 在 妙 假 以 能 化 所 
T46n1928_002:0718a22	化皆三千故。欲約三諦論不二故，且對空中	化 皆 三 千 故 欲 約 三 諦 論 不 二 故 且 對 空 中 
T46n1928_002:0718a23	辨之。妙假尚不離空中，一假豈應隔異？問：「前	辨 之 妙 假 尚 不 離 空 中 一 假 豈 應 隔 異 問 前 
T46n1928_002:0718a24	修外觀既當自行，但列空中與今符合，何苦	修 外 觀 既 當 自 行 但 列 空 中 與 今 符 合 何 苦 
T46n1928_002:0718a25	責之？」答：「往時不解境觀之徒，據此等文妄有	責 之 答 往 時 不 解 境 觀 之 徒 據 此 等 文 妄 有 
T46n1928_002:0718a26	除削。何者？此約三千以明空中，已具不思議	除 削 何 者 此 約 三 千 以 明 空 中 已 具 不 思 議 
T46n1928_002:0718a27	假，況復利他之觀，初心豈可不修？不修則何	假 況 復 利 他 之 觀 初 心 豈 可 不 修 不 修 則 何 
T46n1928_002:0718a28	名摩訶薩？秖為假觀始行須修，方得感應同	名 摩 訶 薩 秖 為 假 觀 始 行 須 修 方 得 感 應 同 
T46n1928_002:0718a29	居一念，自他不二據茲而立，如何劫云自行	居 一 念 自 他 不 二 據 茲 而 立 如 何 劫 云 自 行 
T46n1928_002:0718b01	無假？又若自行唯修空中，內觀豈非自行？何	無 假 又 若 自 行 唯 修 空 中 內 觀 豈 非 自 行 何 
T46n1928_002:0718b02	故言即空假中邪？」物機等者，正明自他各具	故 言 即 空 假 中 邪 物 機 等 者 正 明 自 他 各 具 
T46n1928_002:0718b03	三千，細辨故三千，總論故十界，轉現互生即	三 千 細 辨 故 三 千 總 論 故 十 界 轉 現 互 生 即 
T46n1928_002:0718b04	無記化，化化復作化也，依正皆爾，應必對感	無 記 化 化 化 復 作 化 也 依 正 皆 爾 應 必 對 感 
T46n1928_002:0718b05	機豈不然！一念從事寂光約理，二必相即故	機 豈 不 然 一 念 從 事 寂 光 約 理 二 必 相 即 故 
T46n1928_002:0718b06	互舉爾。三、眾生下，約俱具明道交。既三無差	互 舉 爾 三 眾 生 下 約 俱 具 明 道 交 既 三 無 差 
T46n1928_002:0718b07	別則感應相收，眾生感心中他佛，諸佛應心	別 則 感 應 相 收 眾 生 感 心 中 他 佛 諸 佛 應 心 
T46n1928_002:0718b08	中他生，不然，豈能一念皆令解脫邪？二、不然	中 他 生 不 然 豈 能 一 念 皆 令 解 脫 邪 二 不 然 
T46n1928_002:0718b09	下，約諭示二：初、順諭。諸佛三千即現像之	下 約 諭 示 二 初 順 諭 諸 佛 三 千 即 現 像 之 
T46n1928_002:0718b10	理，眾生三千即生像之性，若不然者，不能即	理 眾 生 三 千 即 生 像 之 性 若 不 然 者 不 能 即 
T46n1928_002:0718b11	感即應，非任運化也。二、若一下，反諭。以鑑	感 即 應 非 任 運 化 也 二 若 一 下 反 諭 以 鑑 
T46n1928_002:0718b12	淨形對無不現之理，而反顯之。意云若不現	淨 形 對 無 不 現 之 理 而 反 顯 之 意 云 若 不 現 
T46n1928_002:0718b13	者可言鑑理有窮形事不通也，諸佛悟理、眾	者 可 言 鑑 理 有 窮 形 事 不 通 也 諸 佛 悟 理 眾 
T46n1928_002:0718b14	生在事，三千理滿，若一機扣之不應，則可云	生 在 事 三 千 理 滿 若 一 機 扣 之 不 應 則 可 云 
T46n1928_002:0718b15	三千互闕，既無此理則前義善成。仍釋伏疑。	三 千 互 闕 既 無 此 理 則 前 義 善 成 仍 釋 伏 疑 
T46n1928_002:0718b16	何故？眾生多不見佛，故云若與鑑隔則容有	何 故 眾 生 多 不 見 佛 故 云 若 與 鑑 隔 則 容 有 
T46n1928_002:0718b17	是理，即障重機生名與鑑隔，機成名對，若其	是 理 即 障 重 機 生 名 與 鑑 隔 機 成 名 對 若 其 
T46n1928_002:0718b18	對者終無不現。然未通字必誤，合云不通，縱	對 者 終 無 不 現 然 未 通 字 必 誤 合 云 不 通 縱 
T46n1928_002:0718b19	移於下句，語稍不便，智者詳之。二、若鑑下，明	移 於 下 句 語 稍 不 便 智 者 詳 之 二 若 鑑 下 明 
T46n1928_002:0718b20	觀行之功方顯二：初、帶諭彰用匪功成者，故	觀 行 之 功 方 顯 二 初 帶 諭 彰 用 匪 功 成 者 故 
T46n1928_002:0718b21	知心鑑本明、三千之像本具。對物未能現者，	知 心 鑑 本 明 三 千 之 像 本 具 對 物 未 能 現 者 
T46n1928_002:0718b22	蓋三惑之塵所遮，去塵雖緣、了之功，現像乃	蓋 三 惑 之 塵 所 遮 去 塵 雖 緣 了 之 功 現 像 乃 
T46n1928_002:0718b23	全由性具，此中正明觀心發用。他云，由機現	全 由 性 具 此 中 正 明 觀 心 發 用 他 云 由 機 現 
T46n1928_002:0718b24	像。其義天隔。觀法大旨者，非唯此中，諸門皆	像 其 義 天 隔 觀 法 大 旨 者 非 唯 此 中 諸 門 皆 
T46n1928_002:0718b25	爾，但在此說為便耳。二、應知下，就法明發由	爾 但 在 此 說 為 便 耳 二 應 知 下 就 法 明 發 由 
T46n1928_002:0718b26	觀合。雖由緣、了須揀前三，稱性圓修方名一	觀 合 雖 由 緣 了 須 揀 前 三 稱 性 圓 修 方 名 一 
T46n1928_002:0718b27	合，功成用顯設化無方。	合 功 成 用 顯 設 化 無 方 
T46n1928_002:0718b28	八、三業不二門三：初、標者，果後逗機示諸三	八 三 業 不 二 門 三 初 標 者 果 後 逗 機 示 諸 三 
