T48n2009_001:0365a08	小室六門	小 室 六 門 
T48n2009_001:0371c19	也。眼不著色。眼為禪門。耳不著聲。耳為禪	也 眼 不 著 色 眼 為 禪 門 耳 不 著 聲 耳 為 禪 
T48n2009_001:0371c20	門。總而言之。見色性者常解脫。見色相者常	門 總 而 言 之 見 色 性 者 常 解 脫 見 色 相 者 常 
T48n2009_001:0371c21	繫縛。不為煩惱繫縛者。即名解脫。更無別解	繫 縛 不 為 煩 惱 繫 縛 者 即 名 解 脫 更 無 別 解 
T48n2009_001:0371c22	脫。善觀色者。色不生於心。心不生於色。即色	脫 善 觀 色 者 色 不 生 於 心 心 不 生 於 色 即 色 
T48n2009_001:0371c23	與心俱是清淨。無妄想時。一心是一佛國。有	與 心 俱 是 清 淨 無 妄 想 時 一 心 是 一 佛 國 有 
T48n2009_001:0371c24	妄想時。一心是一地獄。眾生造作妄想。以心	妄 想 時 一 心 是 一 地 獄 眾 生 造 作 妄 想 以 心 
T48n2009_001:0371c25	生心。故常在地獄。菩薩觀察妄想。不以心生	生 心 故 常 在 地 獄 菩 薩 觀 察 妄 想 不 以 心 生 
T48n2009_001:0371c26	心。故常在佛國。若不以心生心。則心心入空。	心 故 常 在 佛 國 若 不 以 心 生 心 則 心 心 入 空 
T48n2009_001:0371c27	念念歸靜。從一佛國。至一佛國。若以心生心。	念 念 歸 靜 從 一 佛 國 至 一 佛 國 若 以 心 生 心 
T48n2009_001:0371c28	則心心不靜。念念歸動。從一地獄。歷一地獄。	則 心 心 不 靜 念 念 歸 動 從 一 地 獄 歷 一 地 獄 
T48n2009_001:0371c29	若一念心起。則有善惡二業。有天堂地獄。若	若 一 念 心 起 則 有 善惡二業 有 天 堂 地 獄 若 
T48n2009_001:0372a01	一念心不起。即無善惡二業。亦無天堂地獄。	一 念 心 不 起 即 無 善惡二業 亦 無 天 堂 地 獄 
T48n2009_001:0372a02	為體非有非無。在凡即有。在聖即無。聖人無	為 體 非有非無 在 凡 即 有 在 聖 即 無 聖 人 無 
T48n2009_001:0372a03	其心。故胸臆空洞。與天同量。心得涅槃時。即	其 心 故 胸 臆 空 洞 與 天 同 量 心 得 涅 槃 時 即 
T48n2009_001:0372a04	不見有涅槃。何以故。心是涅槃。若心外更見	不 見 有 涅 槃 何 以 故 心 是 涅 槃 若 心 外 更 見 
T48n2009_001:0372a05	涅槃。此名著邪見也。一切煩惱為如來種子。	涅 槃 此 名 著 邪 見 也 一切煩惱 為 如 來 種 子 
T48n2009_001:0372a06	為因煩惱而得智慧。只可道煩惱生如來。不	為 因 煩 惱 而 得 智 慧 只 可 道 煩 惱 生 如 來 不 
T48n2009_001:0372a07	可得道煩惱是如來。故身心為田疇。煩惱為	可 得 道 煩 惱 是 如 來 故 身 心 為 田 疇 煩 惱 為 
T48n2009_001:0372a08	種子。智慧為萌芽。如來喻於穀也。佛在心中。	種 子 智 慧 為 萌 芽 如 來 喻 於 穀 也 佛 在 心 中 
T48n2009_001:0372a09	如香在樹中。煩惱若盡。佛從心出。朽腐若盡。	如 香 在 樹 中 煩 惱 若 盡 佛 從 心 出 朽 腐 若 盡 
T48n2009_001:0372a10	香從樹出。即知樹外無香。心外無佛。若樹外	香 從 樹 出 即 知 樹 外 無 香 心 外 無 佛 若 樹 外 
T48n2009_001:0372a11	有香。即是他香。心外有佛。即是他佛。心中有	有 香 即 是 他 香 心 外 有 佛 即 是 他 佛 心 中 有 
T48n2009_001:0372a12	三毒者。是名國土穢惡。心中無三毒者。是名	三 毒 者 是 名 國 土 穢 惡 心 中 無 三 毒 者 是 名 
T48n2009_001:0372a13	國土清淨。經云。若使國土不淨穢惡充滿。諸	國 土 清 淨 經 云 若 使 國 土 不 淨 穢 惡 充 滿 諸 
T48n2009_001:0372a14	佛世尊於中出。無有此處。不淨穢惡者。即無	佛 世 尊 於 中 出 無 有 此 處 不 淨 穢 惡 者 即 無 
T48n2009_001:0372a15	明三毒也。諸佛世尊者。即清淨覺悟心也。一	明 三 毒 也 諸佛世尊 者 即 清 淨 覺 悟 心 也 一 
T48n2009_001:0372a16	切言語無非佛法。若能無其所言。即盡日言	切 言 語 無 非 佛 法 若 能 無 其 所 言 即 盡 日 言 
T48n2009_001:0372a17	而是道。若能有其所言。即終日默而非道。是	而 是 道 若 能 有 其 所 言 即 終 日 默 而 非 道 是 
T48n2009_001:0372a18	故如來言不乘默。默不乘言。言不離默。悟此	故 如 來 言 不 乘 默 默 不 乘 言 言 不 離 默 悟 此 
T48n2009_001:0372a19	言默者。皆在三昧。若知時而言。言亦解脫。若	言 默 者 皆 在 三 昧 若 知 時 而 言 言 亦 解 脫 若 
T48n2009_001:0372a20	不知時而默。默亦繫縛。是故言若離相。言亦	不 知 時 而 默 默 亦 繫 縛 是 故 言 若 離 相 言 亦 
T48n2009_001:0372a21	名解脫。默若著相。默即是繫縛。夫文字者。本	名 解 脫 默 若 著 相 默 即 是 繫 縛 夫 文 字 者 本 
T48n2009_001:0372a22	性解脫。文字不能就繫縛。繫縛自來就文字。	性 解 脫 文 字 不 能 就 繫 縛 繫 縛 自 來 就 文 字 
T48n2009_001:0372a23	法無高下。若見高下。即非法也。非法為筏。是	法 無 高 下 若 見 高 下 即 非 法 也 非 法 為 筏 是 
T48n2009_001:0372a24	法為人。筏者。人乘其筏。即渡非法。則是法	法 為 人 筏 者 人 乘 其 筏 即 渡 非 法 則 是 法 
T48n2009_001:0372a25	也。若以世俗言之。即有男女貴賤。以道言之。	也 若 以 世 俗 言 之 即 有 男 女 貴 賤 以 道 言 之 
T48n2009_001:0372a26	即無男女貴賤。是以天女悟道。不變女形。車	即 無 男 女 貴 賤 是 以 天 女 悟 道 不 變 女 形 車 
T48n2009_001:0372a27	匿解真。寧移賤稱。此蓋非男女貴賤。皆由一	匿 解 真 寧 移 賤 稱 此 蓋 非 男 女 貴 賤 皆 由 一 
T48n2009_001:0372a28	相也。天女於十二年中求女相。了不可得。即	相 也 天 女 於 十 二 年 中 求 女 相 了 不 可 得 即 
T48n2009_001:0372a29	知於十二年中求男相。亦不可得。十二年者。	知 於 十 二 年 中 求 男 相 亦 不 可 得 十 二 年 者 
T48n2009_001:0372b01	即十二入是也。離心無佛。離佛無心。亦如離	即 十 二 入 是 也 離 心 無 佛 離 佛 無 心 亦 如 離 
T48n2009_001:0372b02	水無氷。亦如離氷無水。言離心無佛者。非是	水 無 氷 亦 如 離 氷 無 水 言 離 心 無 佛 者 非 是 
T48n2009_001:0372b03	遠離於心。但使不著心相。經云。不見相名為	遠 離 於 心 但 使 不 著 心 相 經 云 不 見 相 名 為 
T48n2009_001:0372b04	見佛。即是離心相也。離佛無心者。言佛從心	見 佛 即 是 離 心 相 也 離 佛 無 心 者 言 佛 從 心 
T48n2009_001:0372b05	出。心能生佛。然佛從心生。而佛未甞生心。亦	出 心 能 生 佛 然 佛 從 心 生 而 佛 未 甞 生 心 亦 
T48n2009_001:0372b06	如魚生於水。水不生於魚。欲觀於魚者。未見	如 魚 生 於 水 水 不 生 於 魚 欲 觀 於 魚 者 未 見 
T48n2009_001:0372b07	魚而先見水。欲觀於佛者。未見佛而先見心。	魚 而 先 見 水 欲 觀 於 佛 者 未 見 佛 而 先 見 心 
T48n2009_001:0372b08	即知已見魚者忘於水。已見佛者忘於心。若	即 知 已 見 魚 者 忘 於 水 已 見 佛 者 忘 於 心 若 
T48n2009_001:0372b09	不忘於心。尚為心所惑。若不忘於水。尚被水	不 忘 於 心 尚 為 心 所 惑 若 不 忘 於 水 尚 被 水 
T48n2009_001:0372b10	所迷。眾生與菩提。亦如水與氷。為三毒所燒。	所 迷 眾 生 與 菩 提 亦 如 水 與 氷 為 三 毒 所 燒 
T48n2009_001:0372b11	即名眾生。為三解脫所淨。即名菩提。為三冬	即 名 眾 生 為 三 解 脫 所 淨 即 名 菩 提 為 三 冬 
T48n2009_001:0372b12	所凍。即名為氷。為三夏所消。即名為水。若捨	所 凍 即 名 為 氷 為 三 夏 所 消 即 名 為 水 若 捨 
T48n2009_001:0372b13	却氷。即無別水。若棄却眾生。則無別菩提。明	却 氷 即 無 別 水 若 棄 却 眾 生 則 無 別 菩 提 明 
T48n2009_001:0372b14	知氷性即是水性。水性即是氷性。眾生性者。	知 氷 性 即 是 水 性 水 性 即 是 氷 性 眾 生 性 者 
T48n2009_001:0372b15	即菩提性也。眾生與菩提同一性。只如烏頭	即 菩 提 性 也 眾 生 與 菩 提 同 一 性 只 如 烏 頭 
T48n2009_001:0372b16	與附子共根耳。但時節不同。迷悟異境故。有	與 附 子 共 根 耳 但 時 節 不 同 迷 悟 異 境 故 有 
T48n2009_001:0372b17	眾生菩提二名矣。蛇化為龍。不改其鱗。凡變	眾 生 菩 提 二 名 矣 蛇 化 為 龍 不 改 其 鱗 凡 變 
T48n2009_001:0372b18	為聖。不改其面。但知心者智內照。身者戒外	為 聖 不 改 其 面 但 知 心 者 智 內 照 身 者 戒 外 
T48n2009_001:0372b19	貞。眾生度佛。佛度眾生。是名平等。眾生度佛	貞 眾 生 度 佛 佛 度 眾 生 是 名 平 等 眾 生 度 佛 
T48n2009_001:0372b20	者。煩惱生悟解。佛度眾生者。悟解滅煩惱。非	者 煩 惱 生 悟 解 佛 度 眾 生 者 悟 解 滅 煩 惱 非 
T48n2009_001:0372b21	無煩惱。非無悟解。是知非煩惱無以生悟解。	無 煩 惱 非 無 悟 解 是 知 非 煩 惱 無 以 生 悟 解 
T48n2009_001:0372b22	非悟解無以滅煩惱。若迷時佛度眾生。若悟	非 悟 解 無 以 滅 煩 惱 若 迷 時 佛 度 眾 生 若 悟 
T48n2009_001:0372b23	時眾生度佛。何以故。佛不自成。皆由眾生度	時 眾 生 度 佛 何 以 故 佛 不 自 成 皆 由 眾 生 度 
T48n2009_001:0372b24	故。諸佛以無明為父。貪愛為母。無明貪愛皆	故 諸 佛 以 無 明 為 父 貪 愛 為 母 無 明 貪 愛 皆 
T48n2009_001:0372b25	是眾生別名也。眾生與無明。亦如右掌與左	是 眾 生 別 名 也 眾 生 與 無 明 亦 如 右 掌 與 左 
T48n2009_001:0372b26	掌。更無別也。迷時在此岸。悟時在彼岸。若知	掌 更 無 別 也 迷 時 在 此 岸 悟 時 在 彼 岸 若 知 
T48n2009_001:0372b27	心空不見相。則離迷悟。既離迷悟。亦無彼岸。	心 空 不 見 相 則 離 迷 悟 既 離 迷 悟 亦 無 彼 岸 
T48n2009_001:0372b28	如來不在此岸。亦不在彼岸。不在中流。中流	如 來 不 在 此 岸 亦 不 在 彼 岸 不 在 中 流 中 流 
T48n2009_001:0372b29	者。小乘人也。此岸者。凡夫也。彼岸者。菩提	者 小 乘 人 也 此 岸 者 凡 夫 也 彼 岸 者 菩 提 
T48n2009_001:0372c01	也。佛有三身者。化身報身法身。若眾生常作	也 佛 有 三 身 者 化 身 報 身 法 身 若 眾 生 常 作 
T48n2009_001:0372c02	善根。即化身現。修智慧即報身現。覺無為即	善 根 即 化 身 現 修 智 慧 即 報 身 現 覺 無 為 即 
T48n2009_001:0372c03	法身現。飛騰十方隨宜救濟者。化身佛也。斷	法 身 現 飛 騰 十 方 隨 宜 救 濟 者 化 身 佛 也 斷 
T48n2009_001:0372c04	惑修善雪山成道者。報身佛也。無言無說湛	惑 修 善 雪 山 成 道 者 報 身 佛 也 無 言 無 說 湛 
T48n2009_001:0372c05	然常住者。法身佛也。若論至理。一佛尚無。何	然 常 住 者 法 身 佛 也 若 論 至 理 一 佛 尚 無 何 
T48n2009_001:0372c06	得有三。此言三身者。但據人智有上中下。下	得 有 三 此 言 三 身 者 但 據 人 智 有 上 中 下 下 
T48n2009_001:0372c07	智人妄興。福力。妄見化身佛。中智人妄斷煩	智 人 妄 興 福 力 妄 見 化 身 佛 中 智 人 妄 斷 煩 
T48n2009_001:0372c08	惱。妄見報身佛。上智人妄證菩提。妄見法身	惱 妄 見 報 身 佛 上 智 人 妄 證 菩 提 妄 見 法 身 
T48n2009_001:0372c09	佛。上上智人內照圓寂。明心即佛。不待心而	佛 上 上 智 人 內 照 圓 寂 明 心 即 佛 不 待 心 而 
T48n2009_001:0372c10	得佛。是知三身與萬法。皆不可取不可說。此	得 佛 是 知 三 身 與 萬 法 皆 不 可 取 不 可 說 此 
T48n2009_001:0372c11	即解脫心成於大道。經云。佛不說法。不度眾	即 解 脫 心 成 於 大 道 經 云 佛 不 說 法 不 度 眾 
T48n2009_001:0372c12	生。不證菩提。此之謂矣。眾生造業。業造眾	生 不 證 菩 提 此 之 謂 矣 眾 生 造 業 業 造 眾 
T48n2009_001:0372c13	生。今世造業。後世受報。無有脫時。唯有至	生 今 世 造 業 後 世 受 報 無 有 脫 時 唯 有 至 
T48n2009_001:0372c14	人。於此身中。不造諸業。故不受報。經云。諸	人 於 此 身 中 不 造 諸 業 故 不 受 報 經 云 諸 
T48n2009_001:0372c15	業不造。自然得道。豈虛言哉。人能造業。業不	業 不 造 自 然 得 道 豈 虛 言 哉 人 能 造 業 業 不 
T48n2009_001:0372c16	能造人。人若造業。業與人俱生。人若不造業。	能 造 人 人 若 造 業 業 與 人 俱 生 人 若 不 造 業 
T48n2009_001:0372c17	業與人俱滅。是知業由人造。人由業生。人若	業 與 人 俱 滅 是 知 業 由 人 造 人 由 業 生 人 若 
T48n2009_001:0372c18	不造業。即業無由人生也。亦如人能弘道。道	不 造 業 即 業 無 由 人 生 也 亦 如 人 能 弘 道 道 
T48n2009_001:0372c19	不能弘人。今之凡夫。往往造業。妄說無報。豈	不 能 弘 人 今 之 凡 夫 往 往 造 業 妄 說 無 報 豈 
T48n2009_001:0372c20	不苦哉。若以至理而論之。前心造後心報。何	不 苦 哉 若 以 至 理 而 論 之 前 心 造 後 心 報 何 
T48n2009_001:0372c21	有脫時。若前心不造。即後心無報。亦安得妄	有 脫 時 若 前 心 不 造 即 後 心 無 報 亦 安 得 妄 
T48n2009_001:0372c22	見業報哉。經云。雖信有佛。言佛苦行。是名	見 業 報 哉 經 云 雖 信 有 佛 言 佛 苦 行 是 名 
T48n2009_001:0372c23	邪見。雖信有佛。言佛有金鏘馬麥之報。是名	邪 見 雖 信 有 佛 言 佛 有 金 鏘 馬 麥 之 報 是 名 
T48n2009_001:0372c24	信不具足。是名一闡提。解聖法者。名為聖	信 不 具 足 是 名 一 闡 提 解 聖 法 者 名 為 聖 
T48n2009_001:0372c25	人。解凡法者。名為凡夫。但能捨凡法就聖	人 解 凡 法 者 名 為 凡 夫 但 能 捨 凡 法 就 聖 
T48n2009_001:0372c26	法。即凡夫成聖人矣。世間愚人。但欲遠求	法 即 凡 夫 成 聖 人 矣 世 間 愚 人 但 欲 遠 求 
T48n2009_001:0372c27	聖人。不信慧解之心為聖人也。經云。無智	聖 人 不 信 慧 解 之 心 為 聖 人 也 經 云 無 智 
T48n2009_001:0372c28	人中。莫說此經。此經者。心也法也。無智之	人 中 莫 說 此 經 此 經 者 心 也 法 也 無 智 之 
T48n2009_001:0372c29	人。不信此心解法。成於聖人。但欲遠求外學	人 不 信 此 心 解 法 成 於 聖 人 但 欲 遠 求 外 學 
T48n2009_001:0373a01	愛慕空中佛像光明香色等事。皆墮邪見。失	愛 慕 空 中 佛 像 光 明 香 色 等 事 皆 墮 邪 見 失 
T48n2009_001:0373a02	心狂亂。經云。若見諸相非相。即見如來。八	心 狂 亂 經 云 若 見 諸 相 非 相 即 見 如 來 八 
T48n2009_001:0373a03	萬四千法門。盡由一心而起。若心相內淨。由	萬 四 千 法 門 盡 由 一 心 而 起 若 心 相 內 淨 由 
T48n2009_001:0373a04	如虛空。即出離身心內八萬四千煩惱病本	如 虛 空 即 出 離 身 心 內 八萬四千 煩 惱 病 本 
T48n2009_001:0373a05	也。凡夫當生憂死。臨飽愁飢。皆名大惑。所	也 凡 夫 當 生 憂 死 臨 飽 愁 飢 皆 名 大 惑 所 
T48n2009_001:0373a06	以至人不謀其前。不慮其後。無變當今。念	以 至 人 不 謀 其 前 不 慮 其 後 無 變 當 今 念 
T48n2009_001:0373a07	念歸道。	念 歸 道 
T48n2009_001:0373a08	　　夜坐偈云。	 夜 坐 偈 云 
T48n2009_001:0373a09	　一更端坐結跏趺　　怡神寂照胸同虛	 一 更 端 坐 結 跏 趺 怡 神 寂 照 胸 同 虛 
T48n2009_001:0373a10	　曠劫由來不生滅　　何須生滅滅生渠	 曠 劫 由 來 不 生 滅 何 須 生 滅 滅 生 渠 
T48n2009_001:0373a11	　一切諸法皆如幻　　本性自空那用除	 一切諸法 皆 如 幻 本 性 自 空 那 用 除 
T48n2009_001:0373a12	　若識心性非形像　　湛然不動自如如	 若 識 心 性 非 形 像 湛然不動 自 如 如 
T48n2009_001:0373a13	　二更凝神轉明淨　　不起憶想真如性	 二 更 凝 神 轉 明 淨 不 起 憶 想 真 如 性 
T48n2009_001:0373a14	　森羅萬像併歸空　　更執有空還是病	 森 羅 萬 像 併 歸 空 更 執 有 空 還 是 病 
T48n2009_001:0373a15	　諸法本自非空有　　凡夫妄想論邪正	 諸 法 本 自 非 空 有 凡 夫 妄 想 論 邪 正 
T48n2009_001:0373a16	　若能不二其居懷　　誰道即凡非是聖	 若 能 不 二 其 居 懷 誰 道 即 凡 非 是 聖 
T48n2009_001:0373a17	　三更心淨等虛空　　遍滿十方無不通	 三 更 心 淨 等 虛 空 遍 滿 十 方 無 不 通 
T48n2009_001:0373a18	　山河石壁無能障　　恒沙世界在其中	 山 河 石 壁 無 能 障 恒 沙 世 界 在 其 中 
T48n2009_001:0373a19	　世界本性真如性　　亦無本性即含融	 世 界 本 性 真 如 性 亦 無 本 性 即 含 融 
T48n2009_001:0373a20	　非但諸佛能如此　　有情之類普皆同	 非 但 諸 佛 能 如 此 有情之類 普 皆 同 
T48n2009_001:0373a21	　四更無滅亦無生　　量與虛空法界平	 四 更 無 滅 亦 無 生 量 與 虛 空 法 界 平 
T48n2009_001:0373a22	　無來無去無起滅　　非有非無非暗明	 無 來 無 去 無 起 滅 非有非無 非 暗 明 
T48n2009_001:0373a23	　無起諸見如來見　　無名可名真佛名	 無 起 諸 見 如 來 見 無 名 可 名 真 佛 名 
T48n2009_001:0373a24	　唯有悟者應能識　　未會眾生由若盲	 唯 有 悟 者 應 能 識 未 會 眾 生 由 若 盲 
T48n2009_001:0373a25	　五更般若照無邊　　不起一念歷三千	 五 更 般 若 照 無 邊 不 起 一 念 歷 三 千 
T48n2009_001:0373a26	　欲見真如平等性　　慎勿生心即目前	 欲 見 真 如 平 等 性 慎 勿 生 心 即 目 前 
T48n2009_001:0373a27	　妙理玄奧非心測　　不用尋逐令疲極	 妙 理 玄 奧 非 心 測 不 用 尋 逐 令 疲 極 
T48n2009_001:0373a28	　若能無念即真求　　更若有求還不識	 若 能 無 念 即 真 求 更 若 有 求 還 不 識 
T48n2009_001:0373a29	真性頌	真 性 頌 
T48n2009_001:0373b11	悟性論終	悟 性 論 終 
T48n2009_001:0373b12	第六門血脈論	第 六 門 血 脈 論 
T48n2009_001:0373b13	三界興起同歸一心。前佛後佛以心傳心。不	三 界 興 起 同 歸 一 心 前 佛 後 佛 以 心 傳 心 不 
T48n2009_001:0373b14	立文字。	立 文 字 
T48n2009_001:0373b15	問曰。若不立文字。以何為心。答曰。汝問吾。	問 曰 若 不 立 文 字 以 何 為 心 答 曰 汝 問 吾 
T48n2009_001:0373b16	即是汝心。吾答汝。即是吾心。吾若無心。因何	即 是 汝 心 吾 答 汝 即 是 吾 心 吾 若 無 心 因 何 
T48n2009_001:0373b17	解答汝。汝若無心。因何解問吾。問吾即是汝	解 答 汝 汝 若 無 心 因 何 解 問 吾 問 吾 即 是 汝 
T48n2009_001:0373b18	心。從無始曠大劫以來。乃至施為運動。一切	心 從 無 始 曠 大 劫 以 來 乃 至 施 為 運 動 一 切 
T48n2009_001:0373b19	時中一切處所。皆是汝本心。皆是汝本佛。即	時 中 一 切 處 所 皆 是 汝 本 心 皆 是 汝 本 佛 即 
T48n2009_001:0373b20	心是佛亦復如是。除此心外。終無別佛可得。	心 是 佛 亦復如是 除 此 心 外 終 無 別 佛 可 得 
T48n2009_001:0373b21	離此心外。覓菩提涅槃。無有是處。自性真實。	離 此 心 外 覓 菩 提 涅 槃 無 有 是 處 自 性 真 實 
T48n2009_001:0373b22	非因非果。法即是心義。自心是菩提。自心是	非 因 非 果 法 即 是 心 義 自 心 是 菩 提 自 心 是 
T48n2009_001:0373b23	涅槃。若言心外有佛及菩提可得。無有是處。	涅 槃 若 言 心 外 有 佛 及 菩 提 可 得 無 有 是 處 
T48n2009_001:0373b24	佛及菩提皆在何處。譬如有人以手捉虛空。	佛 及 菩 提 皆 在 何 處 譬 如 有 人 以 手 捉 虛 空 
T48n2009_001:0373b25	得否。虛空但有名。亦無相貌。取不得捨不得。	得 否 虛 空 但 有 名 亦 無 相 貌 取 不 得 捨 不 得 
T48n2009_001:0373b26	是捉空不得。除此心外覓佛。終不得也。佛是	是 捉 空 不 得 除 此 心 外 覓 佛 終 不 得 也 佛 是 
T48n2009_001:0373b27	自心作得。因何離此心外覓佛。前佛後佛只	自 心 作 得 因 何 離 此 心 外 覓 佛 前 佛 後 佛 只 
T48n2009_001:0373b28	言其心。心即是佛。佛即是心。心外無佛。佛外	言 其 心 心 即 是 佛 佛 即 是 心 心 外 無 佛 佛 外 
T48n2009_001:0373b29	無心。若言心外有佛。佛在何處。心外既無佛。	無 心 若 言 心 外 有 佛 佛 在 何 處 心 外 既 無 佛 
T48n2009_001:0373c01	何起佛見。遞相誑惑。不能了本心。被他無情	何 起 佛 見 遞 相 誑 惑 不 能 了 本 心 被 他 無 情 
T48n2009_001:0373c02	物攝。無自由分。若又不信。自誑無益。佛無過	物 攝 無 自 由 分 若 又 不 信 自 誑 無 益 佛 無 過 
T48n2009_001:0373c03	患。眾生顛倒。不覺不知自心是佛。若知自心	患 眾 生 顛 倒 不 覺 不 知 自 心 是 佛 若 知 自 心 
T48n2009_001:0373c04	是佛。不應心外覓佛。佛不度佛。將心覓佛。而	是 佛 不 應 心 外 覓 佛 佛 不 度 佛 將 心 覓 佛 而 
T48n2009_001:0373c05	不識佛。但是外覓佛者。盡是不識自心是佛。	不 識 佛 但 是 外 覓 佛 者 盡 是 不 識 自 心 是 佛 
T48n2009_001:0373c06	亦不得將佛禮佛。不得將心念佛。佛不誦經。	亦 不 得 將 佛 禮 佛 不 得 將 心 念 佛 佛 不 誦 經 
T48n2009_001:0373c07	佛不持戒。佛不犯戒。佛無持犯。亦不造善惡。	佛 不 持 戒 佛 不 犯 戒 佛 無 持 犯 亦 不 造 善 惡 
T48n2009_001:0373c08	若欲覓佛。須是見性。性即是佛。若不見性。念	若 欲 覓 佛 須 是 見 性 性 即 是 佛 若 不 見 性 念 
T48n2009_001:0373c09	佛誦經持齋持戒亦無益處。念佛得因果。誦	佛 誦 經 持 齋 持 戒 亦 無 益 處 念 佛 得 因 果 誦 
T48n2009_001:0373c10	經得聰明。持戒得生天。布施得福報。覓佛終	經 得 聰 明 持 戒 得 生 天 布 施 得 福 報 覓 佛 終 
T48n2009_001:0373c11	不得也。若自己不明了。須參善知識了却生	不 得 也 若 自 己 不 明 了 須 參 善 知 識 了 却 生 
T48n2009_001:0373c12	死根本。若不見性。即不名善知識。若不如此。	死 根 本 若 不 見 性 即 不 名 善 知 識 若 不 如 此 
T48n2009_001:0373c13	縱說得十二部經。亦不免生死輪迴。三界受	縱 說 得 十二部經 亦 不 免 生死輪迴 三 界 受 
T48n2009_001:0373c14	苦。無有出期。昔有善星比丘。誦得十二部經。	苦 無 有 出 期 昔 有 善 星 比 丘 誦 得 十二部經 
T48n2009_001:0373c15	猶自不免輪迴。為不見性。善星既如此。今時	猶 自 不 免 輪 迴 為 不 見 性 善 星 既 如 此 今 時 
T48n2009_001:0373c16	人講得三五本經論。以為佛法者。愚人也。若	人 講 得 三 五 本 經 論 以 為 佛 法 者 愚 人 也 若 
T48n2009_001:0373c17	不識得自心。誦得閑文書。都無用處。若要覓	不 識 得 自 心 誦 得 閑 文 書 都 無 用 處 若 要 覓 
T48n2009_001:0373c18	佛。直須見性。性即是佛。佛即是自在人。無事	佛 直 須 見 性 性 即 是 佛 佛 即 是 自 在 人 無 事 
T48n2009_001:0373c19	無作人。若不見性。終日茫茫。向外馳求覓佛。	無 作 人 若 不 見 性 終 日 茫 茫 向 外 馳 求 覓 佛 
T48n2009_001:0373c20	元來不得。雖無一物可得。若求會。亦須參善	元 來 不 得 雖 無 一 物 可 得 若 求 會 亦 須 參 善 
T48n2009_001:0373c21	知識。切須苦求。令心會解。生死事大。不得空	知 識 切 須 苦 求 令 心 會 解 生 死 事 大 不 得 空 
T48n2009_001:0373c22	過。自誑無益。縱有珍寶如山。眷屬如恒河沙。	過 自 誑 無 益 縱 有 珍 寶 如 山 眷 屬 如 恒 河 沙 
T48n2009_001:0373c23	開眼即見。合眼還見麼。故知有為之法如夢	開 眼 即 見 合 眼 還 見 麼 故 知 有 為 之 法 如 夢 
T48n2009_001:0373c24	幻等。若不急尋師。空過一生。然則佛性自有。	幻 等 若 不 急 尋 師 空 過 一 生 然 則 佛 性 自 有 
T48n2009_001:0373c25	若不因師。終不明了。不因師悟者。萬中希	若 不 因 師 終 不 明 了 不 因 師 悟 者 萬 中 希 
T48n2009_001:0373c26	有。若自己以緣會合得聖人意。即不用參善	有 若 自 己 以 緣 會 合 得 聖 人 意 即 不 用 參 善 
T48n2009_001:0373c27	知識。此即是生而知之勝學也。若未悟解。須	知 識 此 即 是 生 而 知 之 勝 學 也 若 未 悟 解 須 
T48n2009_001:0373c28	勤苦參學。因教方得悟。若自明了。不學亦	勤 苦 參 學 因 教 方 得 悟 若 自 明 了 不 學 亦 
T48n2009_001:0373c29	得。不同迷人不能分別皂白。妄言宣佛勅。謗	得 不 同 迷 人 不 能 分 別 皂 白 妄 言 宣 佛 勅 謗 
T48n2009_001:0374a01	佛妄法。如斯等類。說法如雨。盡是魔說。即非	佛 妄 法 如 斯 等 類 說 法 如 雨 盡 是 魔 說 即 非 
T48n2009_001:0374a02	佛說。師是魔王。弟子是魔民。迷人任他指	佛 說 師 是 魔 王 弟 子 是 魔 民 迷 人 任 他 指 
T48n2009_001:0374a03	揮。不覺墮生死海。但是不見性人。妄稱是佛。	揮 不 覺 墮 生 死 海 但 是 不 見 性 人 妄 稱 是 佛 
T48n2009_001:0374a04	此等眾生是大罪人。誑他一切眾生。令入魔	此 等 眾 生 是 大 罪 人 誑 他 一 切 眾 生 令 入 魔 
T48n2009_001:0374a05	界。若不見性。說得十二部經教。盡是魔說。魔	界 若 不 見 性 說 得 十二部經 教 盡 是 魔 說 魔 
T48n2009_001:0374a06	家眷屬。不是佛家弟子。既不辨皂白。憑何免	家 眷 屬 不 是 佛 家 弟 子 既 不 辨 皂 白 憑 何 免 
T48n2009_001:0374a07	生死。若見性即是佛。不見性即是眾生。若離	生 死 若 見 性 即 是 佛 不 見 性 即 是 眾 生 若 離 
T48n2009_001:0374a08	眾生性別有佛性可得者。佛今在何處。眾生	眾 生 性 別 有 佛 性 可 得 者 佛 今 在 何 處 眾 生 
T48n2009_001:0374a09	性即是佛性也。性外無佛。佛即是性。除此性	性 即 是 佛 性 也 性 外 無 佛 佛 即 是 性 除 此 性 
T48n2009_001:0374a10	外。無佛可得。佛外無性可得。	外 無 佛 可 得 佛 外 無 性 可 得 
T48n2009_001:0374a11	問曰。若不見性。念佛誦經。布施持戒精進。廣	問 曰 若 不 見 性 念 佛 誦 經 布 施 持 戒 精 進 廣 
T48n2009_001:0374a12	興福利。得成佛否。答曰。不得。	興 福 利 得 成 佛 否 答 曰 不 得 
T48n2009_001:0374a13	又問。因何不得。答曰。有少法可得。是有為	又 問 因 何 不 得 答 曰 有 少 法 可 得 是 有 為 
