T54n2126_001:0234a10	僧史略序	僧 史 略 序 
T54n2126_003:0251a07	配佛授記寺。法名玄嶷。勅賜三十夏。以其乍	配 佛 授 記 寺 法 名 玄 嶷 勅 賜 三 十 夏 以 其 乍 
T54n2126_003:0251a08	入法流。須居下位。苟賜虛臘。則頓為老成	入 法 流 須 居 下 位 苟 賜 虛 臘 則 頓 為 老 成 
T54n2126_003:0251a09	也。賜夏臘起於此矣。次長慶元年三月。天平	也 賜 夏 臘 起 於 此 矣 次 長 慶 元 年 三 月 天 平 
T54n2126_003:0251a10	軍節度使劉總。以幽州私第為佛寺。詔以報	軍 節 度 使 劉 總 以 幽 州 私 第 為 佛 寺 詔 以 報 
T54n2126_003:0251a11	恩為名。仍遣中官焦仙晟。以寺額賜之。總以	恩 為 名 仍 遣 中 官 焦 仙 晟 以 寺 額 賜 之 總 以 
T54n2126_003:0251a12	幽父之故。神情慌怱。故造佛寺。尋奏乞度為	幽 父 之 故 神 情 慌 怱 故 造 佛 寺 尋 奏 乞 度 為 
T54n2126_003:0251a13	僧。勅賜大覺師號。仍加五十臘。此優異其人。	僧 勅 賜 大 覺 師 號 仍 加 五 十 臘 此 優 異 其 人 
T54n2126_003:0251a14	欲令入法位高也。且律教許三人同引受戒。	欲 令 入 法 位 高 也 且 律 教 許 三 人 同 引 受 戒 
T54n2126_003:0251a15	得法一時尚推頭名為大。豈分大族王門子	得 法 一 時 尚 推 頭 名 為 大 豈 分 大 族 王 門 子 
T54n2126_003:0251a16	弟邪。朝廷以劉氏久據幽州。美總創知順理	弟 邪 朝 廷 以 劉 氏 久 據 幽 州 美 總 創 知 順 理 
T54n2126_003:0251a17	故。加[萉巴+(日/(句口+匕))]賜之慰其意也。梁開平中。吳越王	故 加 [萉巴日句口匕] 賜 之 慰 其 意 也 梁 開 平 中 吳 越 王 
T54n2126_003:0251a18	錢氏奏令季男出家。法名令因。勅賜紫衣。號	錢 氏 奏 令 季 男 出 家 法 名 令 因 勅 賜 紫 衣 號 
T54n2126_003:0251a19	法相大師。加三十臘。自此止。今不聞行此也。	法 相 大 師 加 三 十 臘 自 此 止 今 不 聞 行 此 也 
T54n2126_003:0251a20	所言臘者。經律中以七月十六日是比丘五	所 言 臘 者 經 律 中 以 七 月 十 六 日 是 比 丘 五 
T54n2126_003:0251a21	分法身生來之歲首。則七月十五日是臘除	分 法 身 生 來 之 歲 首 則 七 月十五日 是 臘 除 
T54n2126_003:0251a22	也。比丘出俗。不以俗年為計。乃數夏臘耳。經	也 比 丘 出 俗 不 以 俗 年 為 計 乃 數 夏 臘 耳 經 
T54n2126_003:0251a23	律又謂十五日為佛臘日也。	律 又 謂 十 五 日 為 佛 臘 日 也 
T54n2126_003:0251a24	對王者稱謂	對 王 者 稱 謂 
T54n2126_003:0251a25	西域從始立名。至終不改。如阿難。是佛成道	西 域 從 始 立 名 至 終 不 改 如 阿 難 是 佛 成 道 
T54n2126_003:0251a26	夜生。號為慶喜。及受記結集。亦號阿難。諸皆	夜 生 號 為 慶 喜 及 受 記 結 集 亦 號 阿 難 諸 皆 
T54n2126_003:0251a27	效此。近見梵僧到。多名為迦葉文殊等。西土	效 此 近 見 梵 僧 到 多 名 為 迦 葉 文 殊 等 西 土 
T54n2126_003:0251a28	無嫌。亦如東夏相如子貢之類也。案寄歸傳	無 嫌 亦 如 東 夏 相 如 子 貢 之 類 也 案 寄 歸 傳 
T54n2126_003:0251a29	曰。西方受戒。以十夏前稱小師。十夏稱住位。	曰 西 方 受 戒 以 十 夏 前 稱 小 師 十 夏 稱 住 位 
T54n2126_003:0251b01	通經論。多者曰多聞求寂。此皆通稱也。若單	通 經 論 多 者 曰 多 聞 求 寂 此 皆 通 稱 也 若 單 
T54n2126_003:0251b02	云僧。則四人以上方得稱之。今謂分稱為僧。	云 僧 則 四 人 以 上 方 得 稱 之 今 謂 分 稱 為 僧 
T54n2126_003:0251b03	理亦無爽。如萬二千五百人為軍。或單己一	理 亦 無 爽 如 萬 二 千 五 百 人 為 軍 或 單 己 一 
T54n2126_003:0251b04	人亦稱軍也。僧亦同之。南山律師云。沙門者	人 亦 稱 軍 也 僧 亦 同 之 南 山 律 師 云 沙 門 者 
T54n2126_003:0251b05	凡聖同稱也。西天異道亦號沙門。故須釋字	凡 聖 同 稱 也 西 天 異 道 亦 號 沙 門 故 須 釋 字 
T54n2126_003:0251b06	以別之。二種合稱。猶此方人稱爵里及姓氏	以 別 之 二 種 合 稱 猶 此 方 人 稱 爵 里 及 姓 氏 
T54n2126_003:0251b07	也。然姓所同也。苟用單名。名所獨也。獨則簡	也 然 姓 所 同 也 苟 用 單 名 名 所 獨 也 獨 則 簡 
T54n2126_003:0251b08	濫焉。自魏晉以來。沙門多從師姓。如支道林。	濫 焉 自 魏 晉 以 來 沙 門 多 從 師 姓 如 支 道 林 
T54n2126_003:0251b09	姓關。從師姓支。道安姓衛。從師佛圖澄姓帛。	姓 關 從 師 姓 支 道 安 姓 衛 從 師 佛 圖 澄 姓 帛 
T54n2126_003:0251b10	安獨悟曰。從師莫過於佛。佛本姓釋。遂通	安 獨 悟 曰 從 師 莫 過 於 佛 佛 本 姓 釋 遂 通 
T54n2126_003:0251b11	令比丘姓釋。東夏稱釋氏。自安始也。後阿含	令 比 丘 姓 釋 東 夏 稱 釋 氏 自 安 始 也 後 阿 含 
T54n2126_003:0251b12	經梵本至譯出。果有四河歸海無復本名。四	經 梵 本 至 譯 出 果 有 四 河 歸 海 無 復 本 名 四 
T54n2126_003:0251b13	姓出家咸稱釋氏之文。自相符合也。新翻苾	姓 出 家 咸 稱 釋 氏 之 文 自 相 符 合 也 新 翻 苾 
T54n2126_003:0251b14	芻者。由苾芻草有五德。因號之。比丘者訛梵	芻 者 由 苾 芻 草 有 五 德 因 號 之 比 丘 者 訛 梵 
T54n2126_003:0251b15	語也。又舊曰除饉者。康僧會注法鏡經曰。凡	語 也 又 舊 曰 除 饉 者 康 僧 會 注 法 鏡 經 曰 凡 
T54n2126_003:0251b16	夫於六情境。如餓夫夢食。出家人除去六情。	夫 於 六 情 境 如 餓 夫 夢 食 出 家 人 除 去 六 情 
T54n2126_003:0251b17	名為除饉也。又習鑿齒呼道安為道士。西域	名 為 除 饉 也 又 習 鑿 齒 呼 道 安 為 道 士 西 域 
T54n2126_003:0251b18	人多稱我。卑於尊所稱亦無嫌。故阿難云。如	人 多 稱 我 卑 於 尊 所 稱 亦 無 嫌 故 阿 難 云 如 
T54n2126_003:0251b19	是我聞也。若此方對王者。漢魏兩晉或稱名。	是 我 聞 也 若 此 方 對 王 者 漢 魏 兩 晉 或 稱 名 
T54n2126_003:0251b20	或云我。或云貧道。故法曠上書於晉簡文。稱	或 云 我 或 云 貧 道 故 法 曠 上 書 於 晉 簡 文 稱 
T54n2126_003:0251b21	貧道。支遁上書乞歸剡。亦稱貧道。道安諫	貧 道 支 遁 上 書 乞 歸 剡 亦 稱 貧 道 道 安 諫 
T54n2126_003:0251b22	符堅。自稱貧道。呼堅為檀越。于時未為定式。	符 堅 自 稱 貧 道 呼 堅 為 檀 越 于 時 未 為 定 式 
T54n2126_003:0251b23	又跋陀對宋孝武云。從陛下乞順。此見呼陛	又 跋 陀 對 宋 孝 武 云 從 陛 下 乞 順 此 見 呼 陛 
T54n2126_003:0251b24	下也。至南齊時。法獻玄暢二人分為僧正。對	下 也 至 南 齊 時 法 獻 玄 暢 二 人 分 為 僧 正 對 
T54n2126_003:0251b25	帝言。論稱名而不坐。後因中興寺僧鐘啟答。	帝 言 論 稱 名 而 不 坐 後 因 中 興 寺 僧 鐘 啟 答 
T54n2126_003:0251b26	稱貧道。帝嫌之。問王儉曰。先輩沙門與帝王	稱 貧 道 帝 嫌 之 問 王 儉 曰 先 輩 沙 門 與 帝 王 
T54n2126_003:0251b27	共語何稱。正殿還坐不。儉對曰。漢魏佛法未	共 語 何 稱 正 殿 還 坐 不 儉 對 曰 漢 魏 佛 法 未 
T54n2126_003:0251b28	興。不見紀傳。自偽國稍盛皆稱貧道。亦聞	興 不 見 紀 傳 自 偽 國 稍 盛 皆 稱 貧 道 亦 聞 
T54n2126_003:0251b29	預坐。及晉初亦然。中代有庾氷桓玄等。皆欲	預 坐 及 晉 初 亦 然 中 代 有 庾 氷 桓 玄 等 皆 欲 
T54n2126_003:0251c01	使沙門盡禮。朝議紛紜。事皆休寢。宋之中朝。	使 沙 門 盡 禮 朝 議 紛 紜 事 皆 休 寢 宋 之 中 朝 
T54n2126_003:0251c02	亦令致禮。尋且不行。自爾迄今。多預坐而	亦 令 致 禮 尋 且 不 行 自 爾 迄 今 多 預 坐 而 
T54n2126_003:0251c03	稱貧道。帝曰。暢獻二僧道業如此。尚自稱名。	稱 貧 道 帝 曰 暢 獻 二 僧 道 業 如 此 尚 自 稱 名 
T54n2126_003:0251c04	況復餘者令揖拜則太甚稱名亦無嫌。由是	況 復 餘 者 令 揖 拜 則 太 甚 稱 名 亦 無 嫌 由 是 
T54n2126_003:0251c05	沙門皆稱名於帝王。獻暢為始也。近朝今代	沙 門 皆 稱 名 於 帝 王 獻 暢 為 始 也 近 朝 今 代 
T54n2126_003:0251c06	道薄人乖稱謂表章。稱臣頓首。夫頓首者拜	道 薄 人 乖 稱 謂 表 章 稱 臣 頓 首 夫 頓 首 者 拜 
T54n2126_003:0251c07	也。稱臣卑之極也。尋其所起。不出唐時。隋大	也 稱 臣 卑 之 極 也 尋 其 所 起 不 出 唐 時 隋 大 
T54n2126_003:0251c08	興善寺翻經沙門法經等。進眾經目錄。猶未	興 善 寺 翻 經 沙 門 法 經 等 進 眾 經 目 錄 猶 未 
T54n2126_003:0251c09	稱臣。止云眾沙門法經等謹白皇帝大檀越。	稱 臣 止 云 眾 沙 門 法 經 等 謹 白 皇 帝 大 檀 越 
T54n2126_003:0251c10	後周釋曇積諫沙汰表亦唯稱名。白皇帝大	後 周 釋 曇 積 諫 沙 汰 表 亦 唯 稱 名 白 皇 帝 大 
T54n2126_003:0251c11	檀越。後稱貧道。若後周釋任道林。對武帝詔	檀 越 後 稱 貧 道 若 後 周 釋 任 道 林 對 武 帝 詔 
T54n2126_003:0251c12	曰。又稱臣。詳其時。林形服已變。猶佛圖澄法	曰 又 稱 臣 詳 其 時 林 形 服 已 變 猶 佛 圖 澄 法 
T54n2126_003:0251c13	孫王明廣同也。如作僧道林。必不稱臣也。唐	孫 王 明 廣 同 也 如 作 僧 道 林 必 不 稱 臣 也 唐 
T54n2126_003:0251c14	西明寺沙門玄則。上禪林妙記後序中。但稱	西 明 寺 沙 門 玄 則 上 禪 林 妙 記 後 序 中 但 稱 
T54n2126_003:0251c15	僧等二字。故序云。遂以所物之餘。親迂睿	僧 等 二 字 故 序 云 遂 以 所 物 之 餘 親 迂 睿 
T54n2126_003:0251c16	旨。正名之末。特繕嘉題。僧等荷鎔施之恩。緘	旨 正 名 之 末 特 繕 嘉 題 僧 等 荷 鎔 施 之 恩 緘 
T54n2126_003:0251c17	紹隆之澤。云唐三藏請御製經序表。稱沙門	紹 隆 之 澤 云 唐 三 藏 請 御 製 經 序 表 稱 沙 門 
T54n2126_003:0251c18	玄奘。答詔云。勅奘尚而不名也。貞觀中詔僧	玄 奘 答 詔 云 勅 奘 尚 而 不 名 也 貞 觀 中 詔 僧 
T54n2126_003:0251c19	尼居道下。京邑沙門智實上表論班位。亦唯	尼 居 道 下 京 邑 沙 門 智 實 上 表 論 班 位 亦 唯 
T54n2126_003:0251c20	稱名。高宗勒僧道二教。拜君親時。司戎議	稱 名 高 宗 勒 僧 道 二 教 拜 君 親 時 司 戎 議 
T54n2126_003:0251c21	狀曰。不孝莫過於絕嗣。何不制以婚姻。不忠	狀 曰 不 孝 莫 過 於 絕 嗣 何 不 制 以 婚 姻 不 忠 
T54n2126_003:0251c22	莫大於不臣。何不令稱臣妾。由是知之。唐之	莫 大 於 不 臣 何 不 令 稱 臣 妾 由 是 知 之 唐 之 
T54n2126_003:0251c23	三葉猶未稱臣也。肅宗上元元年三月八日。	三 葉 猶 未 稱 臣 也 肅 宗 上 元 元 年 三 月 八 日 
T54n2126_003:0251c24	降御札。遣中使劉楚江。請曹谿六祖所傳衣	降 御 札 遣 中 使 劉 楚 江 請 曹 谿 六 祖 所 傳 衣 
T54n2126_003:0251c25	鉢入內。并詔弟子令韜。韜表辭年老。遣弟子	鉢 入 內 并 詔 弟 子 令 韜 韜 表 辭 年 老 遣 弟 子 
T54n2126_003:0251c26	明象。上表稱臣。見于史傳。自此始也。或曰。	明 象 上 表 稱 臣 見 于 史 傳 自 此 始 也 或 曰 
T54n2126_003:0251c27	法琳上表。論道居僧上云。臣年迫乘榆。始遇	法 琳 上 表 論 道 居 僧 上 云 臣 年 迫 乘 榆 始 遇 
T54n2126_003:0251c28	太平之世。貌侵蒲柳。方值聖明之君。若然者。	太 平 之 世 貌 侵 蒲 柳 方 值 聖 明 之 君 若 然 者 
T54n2126_003:0251c29	法琳已自稱臣。何以高宗朝司戎議云。不忠	法 琳 已 自 稱 臣 何 以 高 宗 朝 司 戎 議 云 不 忠 
T54n2126_003:0252a01	莫大於不臣。何不令稱臣妾。苟或琳公已稱。	莫 大 於 不 臣 何 不 令 稱 臣 妾 苟 或 琳 公 已 稱 
T54n2126_003:0252a02	司戎必無此句。答曰。宣律威秀等皆不稱臣。	司 戎 必 無 此 句 答 曰 宣 律 威 秀 等 皆 不 稱 臣 
T54n2126_003:0252a03	恐法琳危迫情切。乍稱之耳。朝廷未著于令	恐 法 琳 危 迫 情 切 乍 稱 之 耳 朝 廷 未 著 于 令 
T54n2126_003:0252a04	式。眾不同稱。故司戎云。何不令稱臣妾。其次	式 眾 不 同 稱 故 司 戎 云 何 不 令 稱 臣 妾 其 次 
T54n2126_003:0252a05	又疑傳寫者錯誤耳。據此說。則法琳稱臣。又	又 疑 傳 寫 者 錯 誤 耳 據 此 說 則 法 琳 稱 臣 又 
T54n2126_003:0252a06	在初也。肅宗至德二年。隨駕撿挍藥師道場。	在 初 也 肅 宗 至 德 二 年 隨 駕 撿 挍 藥 師 道 場 
T54n2126_003:0252a07	內供奉僧元皎。奏道場內生李樹四十九莖	內 供 奉 僧 元 皎 奏 道 場 內 生 李 樹 四 十 九 莖 
T54n2126_003:0252a08	表中云。臣等忝為臣子。至上元元年九月八	表 中 云 臣 等 忝 為 臣 子 至 上 元 元 年 九 月 八 
T54n2126_003:0252a09	日勅。今後僧尼朝會並不須稱臣及禮拜。斯	日 勅 今 後 僧 尼 朝 會 並 不 須 稱 臣 及 禮 拜 斯 
T54n2126_003:0252a10	乃因開元中令僧道拜時皆稱臣。至是方免	乃 因 開 元 中 令 僧 道 拜 時 皆 稱 臣 至 是 方 免 
T54n2126_003:0252a11	也。大曆八年。又放元日冬至朝賀陪位。蓋以	也 大 曆 八 年 又 放 元 日 冬 至 朝 賀 陪 位 蓋 以 
T54n2126_003:0252a12	代宗之世君臣表裏偕重空門。此亦久污則	代 宗 之 世 君 臣 表 裏 偕 重 空 門 此 亦 久 污 則 
T54n2126_003:0252a13	隆既否終泰也。	隆 既 否 終 泰 也 
T54n2126_003:0252a14	臨壇法	臨 壇 法 
T54n2126_003:0252a15	壇上員位準律。中國僧十人。尼二十人中受	壇 上 員 位 準 律 中 國 僧 十 人 尼 二 十 人 中 受 
T54n2126_003:0252a16	戒。邊方難得明毘尼師。則聽僧五人尼十人	戒 邊 方 難 得 明 毘 尼 師 則 聽 僧 五 人 尼 十 人 
T54n2126_003:0252a17	中得戒(比丘五人。尼五人也)此之聖言可為定量。近代尼	中 得 戒 比 丘 五 人 尼 五 人 也 此 之 聖 言 可 為 定 量 近 代 尼 
T54n2126_003:0252a18	但於本眾之中。十尼邊受止得本法而已。此	但 於 本 眾 之 中 十 尼 邊 受 止 得 本 法 而 已 此 
T54n2126_003:0252a19	之戒月方十二三將圓未圓。必須二部僧中	之 戒 月 方 十 二 三 將 圓 未 圓 必 須 二 部 僧 中 
T54n2126_003:0252a20	乃得成就耳。案代宗永泰中。勅京城置僧尼	乃 得 成 就 耳 案 代 宗 永 泰 中 勅 京 城 置 僧 尼 
T54n2126_003:0252a21	臨壇大德各十人。即依律中。中國二十人也。	臨 壇 大 德 各 十 人 即 依 律 中 中 國 二 十 人 也 
T54n2126_003:0252a22	永為通式。闕則填之。仍選明律德行優者充	永 為 通 式 闕 則 填 之 仍 選 明 律 德 行 優 者 充 
T54n2126_003:0252a23	之。臨壇大德科目自此始也。德宗貞元十二	之 臨 壇 大 德 科 目 自 此 始 也 德 宗 貞 元 十 二 
T54n2126_003:0252a24	年。勅永泰寺置戒壇度僧。時歡喜和尚保唐	年 勅 永 泰 寺 置 戒 壇 度 僧 時 歡 喜 和 尚 保 唐 
T54n2126_003:0252a25	禪宗並勅令受戒。至會昌大中中。玄暢通明	禪 宗 並 勅 令 受 戒 至 會 昌 大 中 中 玄 暢 通 明 
T54n2126_003:0252a26	律教。充內外臨壇大德。詳其內外之名。暢	律 教 充 內 外 臨 壇 大 德 詳 其 內 外 之 名 暢 
T54n2126_003:0252a27	公之前已應有矣。昔薛道衡女德芳有才學。	公 之 前 已 應 有 矣 昔 薛 道 衡 女 德 芳 有 才 學 
T54n2126_003:0252a28	在太宗宮中。後願出家。帝為造內鶴林寺。請	在 太 宗 宮 中 後 願 出 家 帝 為 造 內 鶴 林 寺 請 
T54n2126_003:0252a29	十人大德入內受戒。此即內臨壇也。及懿宗。	十 人 大 德 入 內 受 戒 此 即 內 臨 壇 也 及 懿 宗 
T54n2126_003:0252b01	於咸泰殿築壇。度內福壽寺尼受大戒。兩街	於 咸 泰 殿 築 壇 度 內 福 壽 寺 尼 受 大 戒 兩 街 
T54n2126_003:0252b02	僧尼大德二十人。入玄暢預茲法席。故補內	僧 尼 大 德 二 十 人 入 玄 暢 預 茲 法 席 故 補 內 
T54n2126_003:0252b03	臨壇。咸通三年壬午歲四月一日。勅兩街僧	臨 壇 咸 通 三 年 壬 午 歲 四 月 一 日 勅 兩 街 僧 
T54n2126_003:0252b04	尼。四寺各置方等戒壇。右街千福延唐二寺	尼 四 寺 各 置 方 等 戒 壇 右 街 千 福 延 唐 二 寺 
T54n2126_003:0252b05	度人各三七日。暢公復預此數。故云內外臨	度 人 各 三 七 日 暢 公 復 預 此 數 故 云 內 外 臨 
T54n2126_003:0252b06	壇大德。今有未臨內壇而自稱內外臨壇。良	壇 大 德 今 有 未 臨 內 壇 而 自 稱 內 外 臨 壇 良 
T54n2126_003:0252b07	可笑也。又聞于時或以僧錄為宗主。不然則	可 笑 也 又 聞 于 時 或 以 僧 錄 為 宗 主 不 然 則 
T54n2126_003:0252b08	律宗極高者號宗主。僧錄則加臨壇選練之	律 宗 極 高 者 號 宗 主 僧 錄 則 加 臨 壇 選 練 之 
T54n2126_003:0252b09	目也。梁後唐晉漢周唯行十師法。餘有壇外	目 也 梁 後 唐 晉 漢 周 唯 行 十 師 法 餘 有 壇 外 
T54n2126_003:0252b10	員位更五六人而止矣。追思晉宋北齊北魏	員 位 更 五 六 人 而 止 矣 追 思 晉 宋 北 齊 北 魏 
T54n2126_003:0252b11	周隋梁陳。歷代帝王非不度僧。唯唐宣宗重	周 隋 梁 陳 歷 代 帝 王 非 不 度 僧 唯 唐 宣 宗 重 
T54n2126_003:0252b12	洗懺方等壇。度僧不少。我大宋太平興國初	洗 懺 方 等 壇 度 僧 不 少 我 大 宋 太 平 興 國 初 
T54n2126_003:0252b13	年及七年。度僧一十七萬有餘。古之莫比。緇	年 及 七 年 度 僧 一 十 七 萬 有 餘 古 之 莫 比 緇 
T54n2126_003:0252b14	徒孔熾在于茲矣。	徒 孔 熾 在 于 茲 矣 
T54n2126_003:0252b15	度僧規利	度 僧 規 利 
T54n2126_003:0252b16	緬想前朝度僧相繼所開壇法無不利他。俄	緬 想 前 朝 度 僧 相 繼 所 開 壇 法 無 不 利 他 俄 
T54n2126_003:0252b17	有澆時乃求利國。雖是權宜之制。終招負處	有 澆 時 乃 求 利 國 雖 是 權 宜 之 制 終 招 負 處 
T54n2126_003:0252b18	之殃。今序少端用遮後世。唐肅宗在靈武。新	之 殃 今 序 少 端 用 遮 後 世 唐 肅 宗 在 靈 武 新 
T54n2126_003:0252b19	立百度惟艱。最闕軍須。因成詭計。時宰臣裴	立 百 度 惟 艱 最 闕 軍 須 因 成 詭 計 時 宰 臣 裴 
T54n2126_003:0252b20	冕隨駕至扶風。奏下令賣官鬻度。僧尼道士	冕 隨 駕 至 扶 風 奏 下 令 賣 官 鬻 度 僧 尼 道 士 
T54n2126_003:0252b21	以軍儲為務。人有不願。科令就之。其價益賤	以 軍 儲 為 務 人 有 不 願 科 令 就 之 其 價 益 賤 
T54n2126_003:0252b22	事轉成弊。鬻度僧道。自冕始也。後諸征鎮尤	事 轉 成 弊 鬻 度 僧 道 自 冕 始 也 後 諸 征 鎮 尤 
T54n2126_003:0252b23	而效焉。如徐州王智興奏置戒壇於臨淮佛	而 效 焉 如 徐 州 王 智 興 奏 置 戒 壇 於 臨 淮 佛 
T54n2126_003:0252b24	寺。先納錢後與度。至有輸賄後不受法者多	寺 先 納 錢 後 與 度 至 有 輸 賄 後 不 受 法 者 多 
T54n2126_003:0252b25	矣。李德祐在潤州。具奏其事云。自唐末已來。	矣 李 德 祐 在 潤 州 具 奏 其 事 云 自 唐 末 已 來 
T54n2126_003:0252b26	諸侯角立。稍闕軍須。則召度僧尼道士先納	諸 侯 角 立 稍 闕 軍 須 則 召 度 僧 尼 道 士 先 納 
T54n2126_003:0252b27	財。謂之香水錢。後給公牒云。念此為弊事。復	財 謂 之 香 水 錢 後 給 公 牒 云 念 此 為 弊 事 復 
T54n2126_003:0252b28	毀法門吁哉。	毀 法 門 吁 哉 
T54n2126_003:0252b29	賜諡號	賜 諡 號 
T54n2126_003:0252c01	僧循萬行故有迹焉。善行則諡以嘉名。惡行	僧 循 萬 行 故 有 迹 焉 善 行 則 諡 以 嘉 名 惡 行 
T54n2126_003:0252c02	則人皆不齒。是以六群比丘終非杜多之號。	則 人 皆 不 齒 是 以 六群比丘 終 非 杜 多 之 號 
T54n2126_003:0252c03	六和勝士方旌所易之名。自漢魏晉宋。無聞	六 和 勝 士 方 旌 所 易 之 名 自 漢 魏 晉 宋 無 聞 
T54n2126_003:0252c04	斯禮。後魏重高僧法果。生署之以官。死幸之	斯 禮 後 魏 重 高 僧 法 果 生 署 之 以 官 死 幸 之 
T54n2126_003:0252c05	而臨(去聲)乃追贈胡靈公。此僧諡之始也(果為沙門統。	而 臨 去 聲 乃 追 贈 胡 靈 公 此 僧 諡 之 始 也 果 為 沙 門 統 
T54n2126_003:0252c06	封公爵。追贈胡靈諡也)原此出於太常寺矣。後周隋世唐初	封 公 爵 追 贈 胡 靈 諡 也 原 此 出 於 太 常 寺 矣 後 周 隋 世 唐 初 
T54n2126_003:0252c07	皆不行。至天后朝。有北宗神秀居荊州。神	皆 不 行 至 天 后 朝 有 北 宗 神 秀 居 荊 州 神 
T54n2126_003:0252c08	龍二年。詔賜諡大通禪師矣。又有西域菩提	龍 二 年 詔 賜 諡 大 通 禪 師 矣 又 有 西 域 菩 提 
T54n2126_003:0252c09	留支。長壽二年。至洛陽止授記寺。神龍二年。	留 支 長 壽 二 年 至 洛 陽 止 授 記 寺 神 龍 二 年 
T54n2126_003:0252c10	隨駕西京。住崇福寺飜經。中宗睿宗曾親筆	隨 駕 西 京 住 崇 福 寺 飜 經 中 宗 睿 宗 曾 親 筆 
T54n2126_003:0252c11	授。開元中年一百五十六歲。勅賜鴻臚卿。卒	授 開 元 中 年 一 百 五 十 六 歲 勅 賜 鴻 臚 卿 卒 
T54n2126_003:0252c12	諡一切遍知三藏。又沙門一行卒諡大慧禪	諡 一 切 遍 知 三 藏 又 沙 門 一 行 卒 諡 大 慧 禪 
T54n2126_003:0252c13	師。文宗朝諡端甫為大達法師。宣宗諡廬山	師 文 宗 朝 諡 端 甫 為 大 達 法 師 宣 宗 諡 廬 山 
T54n2126_003:0252c14	慧遠為大覺法師。懿宗諡南山道宣為澄照	慧 遠 為 大 覺 法 師 懿 宗 諡 南 山 道 宣 為 澄 照 
T54n2126_003:0252c15	大師。此後諸道奏舉名僧逸士。朝廷加諡。累	大 師 此 後 諸 道 奏 舉 名 僧 逸 士 朝 廷 加 諡 累 
T54n2126_003:0252c16	代有之。	代 有 之 
T54n2126_003:0252c17	菩薩僧	菩 薩 僧 
T54n2126_003:0252c18	昔漢魏晉朝。沙門名號用捨不同。故有號竺	昔 漢 魏 晉 朝 沙 門 名 號 用 捨 不 同 故 有 號 竺 
T54n2126_003:0252c19	法護。為燉煌菩薩。及天竺菩薩。竺佛朔。月支	法 護 為 燉 煌 菩 薩 及 天 竺 菩 薩 竺 佛 朔 月 支 
T54n2126_003:0252c20	菩薩。支讖等。偽國不聞此說。後周太武皇帝	菩 薩 支 讖 等 偽 國 不 聞 此 說 後 周 太 武 皇 帝 
T54n2126_003:0252c21	廢釋道二教。建德三年。詔擇釋道有名德者。	廢 釋 道 二 教 建 德 三 年 詔 擇 釋 道 有 名 德 者 
T54n2126_003:0252c22	別立道觀。改形服為學士。帝賜小道安牙笏。	別 立 道 觀 改 形 服 為 學 士 帝 賜 小 道 安 牙 笏 
T54n2126_003:0252c23	位以朝列不就。尋武帝崩天元宣帝立。意欲	位 以 朝 列 不 就 尋 武 帝 崩 天 元 宣 帝 立 意 欲 
T54n2126_003:0252c24	漸興佛教。未便除先帝之制。大象元年勅曰。	漸 興 佛 教 未 便 除 先 帝 之 制 大 象 元 年 勅 曰 
T54n2126_003:0252c25	太武皇帝為嫌濁穢。廢而不立。朕簡耆舊學	太 武 皇 帝 為 嫌 濁 穢 廢 而 不 立 朕 簡 耆 舊 學 
T54n2126_003:0252c26	業僧二百二十人。勿翦髮毀形。於東西二京	業 僧 二 百 二 十 人 勿 翦 髮 毀 形 於 東 西 二 京 
T54n2126_003:0252c27	陟岵寺。為國行道所資公給。時有高僧智藏。	陟 岵 寺 為 國 行 道 所 資 公 給 時 有 高 僧 智 藏 
T54n2126_003:0252c28	姓荀氏。建德二年。隱終南紫閣峰。至宣帝時	姓 荀 氏 建 德 二 年 隱 終 南 紫 閣 峰 至 宣 帝 時 
T54n2126_003:0252c29	出謁。勅令長髮。為菩薩僧。作陟岵寺主。大象	出 謁 勅 令 長 髮 為 菩 薩 僧 作 陟 岵 寺 主 大 象 
T54n2126_003:0253a01	二年。隋文作相。藏謁之。因得落髮。又釋彥琮	二 年 隋 文 作 相 藏 謁 之 因 得 落 髮 又 釋 彥 琮 
T54n2126_003:0253a02	不願為通道觀學士。以其菩薩僧須戴花冠	不 願 為 通 道 觀 學 士 以 其 菩 薩 僧 須 戴 花 冠 
T54n2126_003:0253a03	衣瓔珞像菩薩相。高僧惡作此形。非佛制也。	衣 瓔 珞 像 菩 薩 相 高 僧 惡 作 此 形 非 佛 制 也 
T54n2126_003:0253a04	初立通道觀員。置百二十人。選釋李門人有	初 立 通 道 觀 員 置 百 二 十 人 選 釋 李 門 人 有 
T54n2126_003:0253a05	當代名行者。著衣冠笏履。為通道觀學士	當 代 名 行 者 著 衣 冠 笏 履 為 通 道 觀 學 士 
T54n2126_003:0253a06	(于時僧道混然大較是令毀戒僧入道也)有前沙門樊普曠者。彭亨調	 于 時 僧 道 混 然 大 較 是 令 毀 戒 僧 入 道 也 有 前 沙 門 樊 普 曠 者 彭 亨 調 
T54n2126_003:0253a07	笑。帝頗重之。抑入通道。退常剪髮留鬚。帝	笑 帝 頗 重 之 抑 入 通 道 退 常 剪 髮 留 鬚 帝 
T54n2126_003:0253a08	問。對曰。臣學陛下。二教雖除。猶存通道。鬚	問 對 曰 臣 學 陛 下 二 教 雖 除 猶 存 通 道 鬚 
