T54n2130_001:0981a05	翻梵語	翻 梵 語 
T54n2130_007:1033a21	阿婆婆(譯者曰因聲為名)	阿 婆 婆 譯 者 曰 因 聲 為 名 
T54n2130_007:1033a22	休休(譯者曰因聲為名)	休 休 譯 者 曰 因 聲 為 名 
T54n2130_007:1033a23	漚波羅(譯曰此獄外辟似青蓮花譯曰似黛色花)	漚 波 羅 譯 曰 此 獄 外 辟 似 青 蓮 花 譯 曰 似 黛 色 花 
T54n2130_007:1033a24	分陀利迦(譯者曰似大黑蓮花)	分 陀 利 迦 譯 者 曰 似 大 黑 蓮 花 
T54n2130_007:1033b01	摩訶波頭(譯者曰似大黑蓮花)	摩 訶 波 頭 譯 者 曰 似 大 黑 蓮 花 
T54n2130_007:1033b02	波頭摩(亦云鉢頭摩　論曰紅蓮花譯曰赤蓮花)	波 頭 摩 亦 云 鉢 頭 摩 論 曰 紅 蓮 花 譯 曰 赤 蓮 花 
T54n2130_007:1033b03	伽樓羅地獄(譯曰重龍也)　華嚴經第三十二之內	伽 樓 羅 地 獄 譯 曰 重 龍 也 華 嚴 經 第 三 十 二 之 內 
T54n2130_007:1033b04	提舍泥梨(譯者曰提舍說泥梨如上說)　大般涅槃經第四卷	提 舍 泥 梨 譯 者 曰 提 舍 說 泥 梨 如 上 說 大 般 涅 槃 經 第 四 卷 
T54n2130_007:1033b05	瞿波離比丘大泥利(應云瞿羅比丘泥梨　譯曰瞿者牛亦云蛇波羅者護比丘	瞿 波 離 比 丘 大 泥 利 應 云 瞿 羅 比 丘 泥 梨 譯 曰 瞿 者 牛 亦 云 蛇 波 羅 者 護 比 丘 
T54n2130_007:1033b06	如別卷說)	如 別 卷 說 
T54n2130_007:1033b07	禘婆達白兒泥梨(應云提婆達多　譯曰提婆者天達多者與)	禘 婆 達 白 兒 泥 梨 應 云 提 婆 達 多 譯 曰 提 婆 者 天 達 多 者 與 
T54n2130_007:1033b08	摩訶阿鼻(譯曰大無間也)　增一阿含第二卷	摩 訶 阿 鼻 譯 曰 大 無 間 也 增 一 阿 含 第 二 卷 
T54n2130_007:1033b09	盧臈地獄(應云盧羅婆　譯曰可畏聲也)	盧 臈 地 獄 應 云 盧 羅 婆 譯 曰 可 畏 聲 也 
T54n2130_007:1033b10	　阿毘曇毘婆沙第四十八之內	 阿 毘 曇 毘 婆 沙 第 四 十 八 之 內 
T54n2130_007:1033b11	阿波簸地地獄(譯者曰因聲為名)	阿 波 簸 地 地 獄 譯 者 曰 因 聲 為 名 
T54n2130_007:1033b12	　十住斷結經第四之內	 十 住 斷 結 經 第 四 之 內 
T54n2130_007:1033b13	阿達多地獄(譯曰不與)　報恩經第三卷	阿 達 多 地 獄 譯 曰 不 與 報 恩 經 第 三 卷 
T54n2130_007:1033b14	賓咤羅地獄(經曰集欲)　普超三昧經第四卷	賓 咤 羅 地 獄 經 曰 集 欲 普 超 三 昧 經 第 四 卷 
T54n2130_007:1033b15	僧伽陀地獄(譯曰合會)　菩薩藏經	僧 伽 陀 地 獄 譯 曰 合 會 菩 薩 藏 經 
T54n2130_007:1033b16	阿喻槮波梨桓泥梨(應云阿喻松鉢多羅婆南　譯曰鐵刀葉杖)	阿 喻 槮 波 梨 桓 泥 梨 應 云 阿 喻 松 鉢 多 羅 婆 南 譯 曰 鐵 刀 葉 杖 
T54n2130_007:1033b17	　鐵城泥梨經	 鐵 城 泥 梨 經 
T54n2130_007:1033b18	摩訶盧獦地獄(譯曰大動)　佛說光華經	摩 訶 盧 獦 地 獄 譯 曰 大 動 佛 說 光 華 經 
T54n2130_007:1033b19	波多畔泥梨中(應云波羅多波那　譯曰極灸)　南方經	波 多 畔 泥 梨 中 應 云 波 羅 多 波 那 譯 曰 極 灸 南 方 經 
T54n2130_007:1033b20	迦羅秀頭泥梨(應云迦羅脩多羅　譯曰黑繩)	迦 羅 秀 頭 泥 梨 應 云 迦 羅 脩 多 羅 譯 曰 黑 繩 
T54n2130_007:1033b21	賒摩(譯曰青色)　摩訶衍精進度中罪報經	賒 摩 譯 曰 青 色 摩 訶 衍 精 進 度 中 罪 報 經 
T54n2130_007:1033b22	睺睺(譯者曰從聲為名)	睺 睺 譯 者 曰 從 聲 為 名 
T54n2130_007:1033b23	摩訶波頭摩(譯曰大赤蓮花)	摩 訶 波 頭 摩 譯 曰 大 赤 蓮 花 
T54n2130_007:1033b24	翻梵語卷第七	翻 梵 語 卷 第 七 
T54n2130_008:1033c10	翻梵語第八	翻 梵 語 第 八 
T54n2130_008:1033c12	世界名第四十二	世 界 名 第 四 十 二 
T54n2130_008:1033c13	國土名第四十三	國 土 名 第 四 十 三 
T54n2130_008:1033c14	城名第四十四	城 名 第 四 十 四 
T54n2130_008:1033c15	邑名第四十五	邑 名 第 四 十 五 
T54n2130_008:1033c16	聚落名第四十六	聚 落 名 第 四 十 六 
T54n2130_008:1033c17	村名第四十七	村 名 第 四 十 七 
T54n2130_008:1033c18	寺舍名第四十八	寺 舍 名 第 四 十 八 
T54n2130_008:1033c19	堂舍名第四十九	堂 舍 名 第 四 十 九 
T54n2130_008:1033c20	處所名第五十	處 所 名 第 五 十 
T54n2130_008:1033c21	世界名第四十二	世 界 名 第 四 十 二 
T54n2130_008:1033c22	周羅千世界(譯曰周羅者小)　大智論第七卷	周 羅 千 世 界 譯 曰 周 羅 者 小 大 智 論 第 七 卷 
T54n2130_008:1033c23	娑婆世界(亦云婆呵亦云娑婆　譯曰能忍)　第十卷	娑婆世界 亦 云 婆 呵 亦 云 娑 婆 譯 曰 能 忍 第 十 卷 
T54n2130_008:1033c24	閻浮檀世界(應云閻浮那陀　譯曰閻浮者樹名那陀者江)	閻 浮 檀 世 界 應 云 閻 浮 那 陀 譯 曰 閻 浮 者 樹 名 那 陀 者 江 
T54n2130_008:1033c25	　華嚴經第一卷	 華 嚴 經 第 一 卷 
T54n2130_008:1033c26	因陀羅網世界(譯曰因陀羅者主)	因 陀 羅 網 世 界 譯 曰 因 陀 羅 者 主 
T54n2130_008:1033c27	羅婆界(譯曰勝利)　善見律毘婆沙第十七之內	羅 婆 界 譯 曰 勝 利 善 見 律 毘 婆 沙 第 十 七 之 內 
T54n2130_008:1033c28	阿槃羅界(譯曰無勝)	阿 槃 羅 界 譯 曰 無 勝 
T54n2130_008:1034a01	阿羅闍界(譯曰無王)	阿羅闍界 譯 曰 無 王 
T54n2130_008:1034a02	加比園界(應云加比羅　譯曰蒼色)　出曜經第十六卷	加 比 園 界 應 云 加 比 羅 譯 曰 蒼 色 出 曜 經 第 十 六 卷 
T54n2130_008:1034a03	袈裟相世界(譯曰袈裟者深衣也)　華首經第二卷	袈 裟 相 世 界 譯 曰 袈 裟 者 深 衣 也 華 首 經 第 二 卷 
T54n2130_008:1034a04	阿竭流香世界(譯曰沈香)　第三卷	阿 竭 流 香 世 界 譯 曰 沈 香 第 三 卷 
T54n2130_008:1034a05	彌樓相世界(譯曰光明)	彌 樓 相 世 界 譯 曰 光 明 
T54n2130_008:1034a06	多伽樓香世界(應云多伽羅　譯曰棍香)	多 伽 樓 香 世 界 應 云 多 伽 羅 譯 曰 棍 香 
T54n2130_008:1034a07	優鉢羅世界(譯曰黛色花也)	優 鉢 羅 世 界 譯 曰 黛 色 花 也 
T54n2130_008:1034a08	苔蔔眾世界(譯曰黃花)　第四卷	苔 蔔 眾 世 界 譯 曰 黃 花 第 四 卷 
T54n2130_008:1034a09	阿樓那世界(譯曰曉星)　第五卷	阿 樓 那 世 界 譯 曰 曉 星 第 五 卷 
T54n2130_008:1034a10	刪提嵐世界(應云刪提盧帝　譯曰刪提者節盧帝者毛)　悲華經第二卷	刪 提 嵐 世 界 應 云 刪 提 盧 帝 譯 曰 刪 提 者 節 盧 帝 者 毛 悲 華 經 第 二 卷 
T54n2130_008:1034a11	摩鍮羅境界(譯曰蜜亦云羊次)	摩 鍮 羅 境 界 譯 曰 蜜 亦 云 羊 次 
T54n2130_008:1034a12	　僧伽羅剎所集經第三之內	 僧 伽 羅 剎 所 集 經 第 三 之 內 
T54n2130_008:1034a13	跋秪境界(譯曰聚也)	跋 秪 境 界 譯 曰 聚 也 
T54n2130_008:1034a14	阿毘羅提世界(譯曰不作)	阿 毘 羅 提 世 界 譯 曰 不 作 
T54n2130_008:1034a15	　不思功德佛所護經第一之內	 不 思 功 德 佛 所 護 經 第 一 之 內 
T54n2130_008:1034a16	阿尼彌沙世界(經曰不昫)　若未經第一之內	阿 尼 彌 沙 世 界 經 曰 不 昫 若 未 經 第 一 之 內 
T54n2130_008:1034a17	沙捊世界(經曰恐畏)　修行本起經第一之內	沙 捊 世 界 經 曰 恐 畏 修 行 本 起 經 第 一 之 內 
T54n2130_008:1034a18	曼荼邏境界(譯曰圓也)　禪經修行方便道下之內	曼 荼 邏 境 界 譯 曰 圓 也 禪 經 修 行 方 便 道 下 之 內 
T54n2130_008:1034a19	摩鍮境界(譯者曰國名也)　菩薩受齋經	摩 鍮 境 界 譯 者 曰 國 名 也 菩 薩 受 齋 經 
T54n2130_008:1034a20	國土名第四十三	國 土 名 第 四 十 三 
T54n2130_008:1034a21	佛剎(亦云剎多羅　譯曰剎多羅者田)　大智論第一卷	佛 剎 亦 云 剎 多 羅 譯 曰 剎 多 羅 者 田 大 智 論 第 一 卷 
T54n2130_008:1034a22	閻浮提(譯曰閻浮者樹名提者洲也)	閻 浮 提 譯 曰 閻 浮 者 樹 名 提 者 洲 也 
T54n2130_008:1034a23	劬陀尼(亦云[牛*句]伽尼亦云瞿耶尼　譯曰劬者牛陀尼者市易)　第四卷	劬 陀 尼 亦 云 [牛句] 伽 尼 亦 云 瞿 耶 尼 譯 曰 劬 者 牛 陀 尼 者 市 易 第 四 卷 
T54n2130_008:1034a24	欝怛羅曰(應云欝多羅[牛*句]樓亦云欝單越　譯曰欝多羅者北亦云勝亦云荅[牛*句]樓者竹亦云姓)	欝 怛 羅 曰 應 云 欝 多 羅 [牛句]樓亦云欝單越 譯曰欝多羅者北亦云勝亦云荅[牛句] 樓 者 竹 亦 云 姓 
T54n2130_008:1034b01	弗婆提(應云弗婆毘提訶亦云弗于逮　譯曰弗婆者車毘提呵者種種身也)	弗 婆 提 應 云 弗婆毘提訶 亦 云 弗 于 逮 譯 曰 弗 婆 者 車 毘 提 呵 者 種 種 身 也 
T54n2130_008:1034b02	摩伽陀國(亦云摩竭提亦云默偈陀　譯曰摩伽者星名陀者處也)　第一卷	摩伽陀國 亦 云 摩 竭 提 亦 云 默 偈 陀 譯 曰 摩 伽 者 星 名 陀 者 處 也 第 一 卷 
T54n2130_008:1034b03	俱夷那竭國(亦云俱尸那伽羅亦云[牛*句]尸那竭　雜阿含曰草城譯曰俱尸者少茅那伽羅者	俱 夷 那 竭 國 亦 云 俱 尸 那 伽 羅 亦 云 [牛句] 尸 那 竭 雜 阿 含 曰 草 城 譯 曰 俱 尸 者 少 茅 那 伽 羅 者 
T54n2130_008:1034b04	城)	城 
T54n2130_008:1034b05	憍薩羅國(應云[牛*句]菩薩亦云[牛*句]婆婆羅　譯曰工功)	憍 薩 羅 國 應 云 [牛句]菩薩亦云[牛句] 婆 婆 羅 譯 曰 工 功 
T54n2130_008:1034b06	婆羅奈斯國(應云婆羅那私亦云婆羅[木*奈]　譯者曰臣繞城也)	婆 羅 奈 斯 國 應 云 婆 羅 那 私 亦 云 婆 羅 [木奈] 譯 者 曰 臣 繞 城 也 
T54n2130_008:1034b07	漚樓鞞羅國(應云優樓頻螺　譯曰木苽)	漚 樓 鞞 羅 國 應 云 優 樓 頻 螺 譯 曰 木 苽 
T54n2130_008:1034b08	伽耶國(譯曰鐵杖)　第四卷	伽 耶 國 譯 曰 鐵 杖 第 四 卷 
T54n2130_008:1034b09	迦毘羅婆(應云迦毘羅跋私兜亦云迦毘羅越　譯曰迦毘羅者蒼跋私兜者住處)	迦 毘 羅 婆 應 云 迦 毘 羅 跋 私 兜 亦 云 迦 毘 羅 越 譯 曰 迦 毘 羅 者 蒼 跋 私 兜 者 住 處 
T54n2130_008:1034b10	彌梯羅國(譯曰量也)　第七卷	彌 梯 羅 國 譯 曰 量 也 第 七 卷 
T54n2130_008:1034b11	占波國(亦云瞻婆　譯曰花也)	占 波 國 亦 云 瞻 婆 譯 曰 花 也 
T54n2130_008:1034b12	多剎柁羅國(亦云恒叉尸羅亦云得叉尸羅　譯曰多剎者鑿柂羅者不)　第十一卷	多 剎 柁 羅 國 亦 云 恒 叉 尸 羅 亦 云 得 叉 尸 羅 譯 曰 多 剎 者 鑿 柂 羅 者 不 第 十 一 卷 
T54n2130_008:1034b13	拘睒彌國(應云[牛*句]睒毘亦云[牛*句]舍彌　譯曰不甚靜也亦云藏有)　第十四卷	拘 睒 彌 國 應 云 [牛句]睒毘亦云[牛句] 舍 彌 譯 曰 不 甚 靜 也 亦 云 藏 有 第 十 四 卷 
T54n2130_008:1034b14	阿頭摩國(應云阿頭樓摩　譯曰阿頭樓摩者無樹)　第二十一卷	阿 頭 摩 國 應 云 阿 頭 樓 摩 譯 曰 阿 頭 樓 摩 者 無 樹 第 二 十 一 卷 
T54n2130_008:1034b15	安陀羅(譯曰盲也)　第二十五卷	安 陀 羅 譯 曰 盲 也 第 二 十 五 卷 
T54n2130_008:1034b16	兜呿羅(譯曰小月氏也)	兜 呿 羅 譯 曰 小 月 氏 也 
T54n2130_008:1034b17	舍婆羅(譯曰裸也)	舍 婆 羅 譯 曰 裸 也 
T54n2130_008:1034b18	修利安安息(譯曰修利者胡)	修 利 安 安 息 譯 曰 修 利 者 胡 
T54n2130_008:1034b19	阿羅毘國(譯曰少語)　第二十七卷	阿 羅 毘 國 譯 曰 少 語 第 二 十 七 卷 
T54n2130_008:1034b20	毘蘭若國(亦云鞞蘭若亦云毘羅然　譯曰毘蘭若者不寂靜也亦云不染)	毘 蘭 若 國 亦 云 鞞 蘭 若 亦 云 毘 羅 然 譯 曰 毘 蘭 若 者 不 寂 靜 也 亦 云 不 染 
T54n2130_008:1034b21	婆利國(亦云婆羅亦云波離　譯曰波利者護)　第二十八卷	婆 利 國 亦 云 婆 羅 亦 云 波 離 譯 曰 波 利 者 護 第 二 十 八 卷 
T54n2130_008:1034b22	摩偷羅國(亦云摩頭羅　譯曰蜜亦云美)　第九十九卷	摩 偷 羅 國 亦 云 摩 頭 羅 譯 曰 蜜 亦 云 美 第 九 十 九 卷 
T54n2130_008:1034b23	恒伽沙國(譯曰恒伽者天堂來)	恒 伽 沙 國 譯 曰 恒 伽 者 天 堂 來 
T54n2130_008:1034b24	呵尼國(譯曰打亦云破)　華嚴經第三卷	呵 尼 國 譯 曰 打 亦 云 破 華 嚴 經 第 三 卷 
T54n2130_008:1034c01	摩瑜羅國(譯曰孔雀)　第二十四卷	摩 瑜 羅 國 譯 曰 孔 雀 第 二 十 四 卷 
T54n2130_008:1034c02	拘陳那耶國(譯曰[牛*句]陳者姓那者律)	拘 陳 那 耶 國 譯 曰 [牛句] 陳 者 姓 那 者 律 
T54n2130_008:1034c03	乾陀羅國(譯曰乾者地也陀羅者持)	乾 陀 羅 國 譯 曰 乾 者 地 也 陀 羅 者 持 
T54n2130_008:1034c04	輸那國(譯者曰江名也)　第四十一卷	輸 那 國 譯 者 曰 江 名 也 第 四 十 一 卷 
T54n2130_008:1034c05	摩離國(譯曰力亦云妹)　第四十九卷	摩 離 國 譯 曰 力 亦 云 妹 第 四 十 九 卷 
T54n2130_008:1034c06	憂禪尼國(應云優闍耶尼亦云優耶尼　譯曰憂者大也禪尼者勝)	憂 禪 尼 國 應 云 優 闍 耶 尼 亦 云 優 耶 尼 譯 曰 憂 者 大 也 禪 尼 者 勝 
T54n2130_008:1034c07	　大般涅槃經第十之內	 大 般 涅 槃 經 第 十 之 內 
T54n2130_008:1034c08	拘舍跋提(譯曰[牛*句]舍者小茅提拔者有)　第二十七卷	拘 舍 跋 提 譯 曰 [牛句] 舍 者 小 茅 提 拔 者 有 第 二 十 七 卷 
T54n2130_008:1034c09	竭闍國(譯曰褭也)	竭 闍 國 譯 曰 褭 也 
T54n2130_008:1034c10	迦蘭陀(譯曰迦蘭者好陀者與也)	迦 蘭 陀 譯 曰 迦 蘭 者 好 陀 者 與 也 
T54n2130_008:1034c11	舍衛(應云尸羅跋祗底　譯曰尸羅者石跋私底者住處)	舍 衛 應 云 尸 羅 跋 祗 底 譯 曰 尸 羅 者 石 跋 私 底 者 住 處 
T54n2130_008:1034c12	　增一阿含第一之內	 增 一 阿 含 第 一 之 內 
T54n2130_008:1034c13	跋祇(亦云跋耆　譯曰聚也)　第三卷	跋 祇 亦 云 跋 耆 譯 曰 聚 也 第 三 卷 
T54n2130_008:1034c14	鉢摩國(譯曰淨也)　第六卷	鉢 摩 國 譯 曰 淨 也 第 六 卷 
T54n2130_008:1034c15	古波國(譯曰瞋也)　第八卷	古 波 國 譯 曰 瞋 也 第 八 卷 
T54n2130_008:1034c16	般頭國(譯曰親友)　第十七卷	般 頭 國 譯 曰 親 友 第 十 七 卷 
T54n2130_008:1034c17	僧伽尸國(亦云僧伽舍　譯曰等耀)　第十九卷	僧 伽 尸 國 亦 云 僧 伽 舍 譯 曰 等 耀 第 十 九 卷 
T54n2130_008:1034c18	拘留沙國(譯曰穢濁亦云作事)　第二十八卷	拘 留 沙 國 譯 曰 穢 濁 亦 云 作 事 第 二 十 八 卷 
T54n2130_008:1034c19	乾陀越(應云乾陀婆那　譯曰香林)　第四十三卷	乾 陀 越 應 云 乾 陀 婆 那 譯 曰 香 林 第 四 十 三 卷 
T54n2130_008:1034c20	須賴吒國(亦云須羅吒亦云須賴娑　譯曰須者好也賴吒者國)	須 賴 吒 國 亦 云 須 羅 吒 亦 云 須 賴 娑 譯 曰 須 者 好 也 賴 吒 者 國 
T54n2130_008:1034c21	婆鷄帝(譯曰婆者語也鷄帝者憧)　中阿含第二卷	婆 鷄 帝 譯 曰 婆 者 語 也 鷄 帝 者 憧 中 阿 含 第 二 卷 
T54n2130_008:1034c22	拘樓庾(亦云居樓　譯曰姓亦云作)　第三卷	拘 樓 庾 亦 云 居 樓 譯 曰 姓 亦 云 作 第 三 卷 
T54n2130_008:1034c23	伽藍國(譯曰封也)　第九卷	伽 藍 國 譯 曰 封 也 第 九 卷 
T54n2130_008:1034c24	阿羅鞞伽羅(應云阿羅波伽羅　譯曰阿羅婆者不得伽羅者屋也)	阿 羅 鞞 伽 羅 應 云 阿 羅 波 伽 羅 譯 曰 阿 羅 婆 者 不 得 伽 羅 者 屋 也 
T54n2130_008:1035a01	拘舍和提(應云拘舍婆提　譯曰拘舍者藏婆提者論)　第十一卷	拘 舍 和 提 應 云 拘 舍 婆 提 譯 曰 拘 舍 者 藏 婆 提 者 論 第 十 一 卷 
T54n2130_008:1035a02	伽私國(應云加尸亦云伽尸　譯曰迦尸者光)　第十二卷	伽 私 國 應 云 加 尸 亦 云 伽 尸 譯 曰 迦 尸 者 光 第 十 二 卷 
T54n2130_008:1035a03	鞞陀提國(譯曰鞞陀者智提者與)　第十四卷	鞞 陀 提 國 譯 曰 鞞 陀 者 智 提 者 與 第 十 四 卷 
T54n2130_008:1035a04	摩兜麗(譯曰舅也)　第十五卷	摩 兜 麗 譯 曰 舅 也 第 十 五 卷 
T54n2130_008:1035a05	伽赦國(譯曰光也)　第十七卷	伽 赦 國 譯 曰 光 也 第 十 七 卷 
T54n2130_008:1035a06	枝提庾(亦云支陀　譯曰枝提庾者眾[卄/積])　第十八卷	枝 提 庾 亦 云 支 陀 譯 曰 枝 提 庾 者 眾 [卄積] 第 十 八 卷 
T54n2130_008:1035a07	釰磨瑟曇樓(譯曰釰磨者葉瑟曇者驗[牛*句]樓者作)	釰 磨 瑟 曇 樓 譯 曰 釰 磨 者 葉 瑟 曇 者 驗 [牛句] 樓 者 作 
T54n2130_008:1035a08	郁伽支羅(應云郁伽羅支羅　譯曰郁伽羅者猛支羅者小也)	郁 伽 支 羅 應 云 郁 伽 羅 支 羅 譯 曰 郁 伽 羅 者 猛 支 羅 者 小 也 
T54n2130_008:1035a09	那摩提(譯曰那摩者名提者與也)　第二十八卷	那 摩 提 譯 曰 那 摩 者 名 提 者 與 也 第 二 十 八 卷 
T54n2130_008:1035a10	那難陀國(譯曰不歡喜)　第三十三卷	那 難 陀 國 譯 曰 不 歡 喜 第 三 十 三 卷 
T54n2130_008:1035a11	欝鞞羅尼(譯曰欝者大鞞羅尼者怨)	欝 鞞 羅 尼 譯 曰 欝 者 大 鞞 羅 尼 者 怨 
T54n2130_008:1035a12	阿和那(應云阿波那　譯曰市肆)　第五十卷	阿 和 那 應 云 阿 波 那 譯 曰 市 肆 第 五 十 卷 
T54n2130_008:1035a13	般闍羅(亦云那闍亦云般遮羅　譯曰般遮羅者五能亦云五不動)　第五十五卷	般 闍 羅 亦 云 那 闍 亦 云 般 遮 羅 譯 曰 般 遮 羅 者 五 能 亦 云 五 不 動 第 五 十 五 卷 
T54n2130_008:1035a14	阿和檀提(應云阿波檀提　譯曰無罰)	阿 和 檀 提 應 云 阿 波 檀 提 譯 曰 無 罰 
T54n2130_008:1035a15	枝提(譯曰憶也)	枝 提 譯 曰 憶 也 
T54n2130_008:1035a16	跋蹉(亦云跋沙亦云婆嗟　譯曰犢也)	跋 蹉 亦 云 跋 沙 亦 云 婆 嗟 譯 曰 犢 也 
T54n2130_008:1035a17	跋羅(亦云跋陀羅　譯曰賢也)	跋 羅 亦 云 跋 陀 羅 譯 曰 賢 也 
T54n2130_008:1035a18	蘇摩(譯曰月也)	蘇 摩 譯 曰 月 也 
T54n2130_008:1035a19	踰尼(譯曰生也)	踰 尼 譯 曰 生 也 
T54n2130_008:1035a20	劍浮(譯曰好也)	劍 浮 譯 曰 好 也 
T54n2130_008:1035a21	波(波可反)波(譯曰西也)　長阿含第三卷	波 波 可 反 波 譯 曰 西 也 長 阿 含 第 三 卷 
T54n2130_008:1035a22	毘留提國(譯曰長張雨反)	毘 留 提 國 譯 曰 長 張 雨 反 
T54n2130_008:1035a23	鴦伽(譯曰體也)	鴦 伽 譯 曰 體 也 
T54n2130_008:1035a24	末羅(亦云滿羅　譯曰力亦云姓)	末 羅 亦 云 滿 羅 譯 曰 力 亦 云 姓 
T54n2130_008:1035b01	劍浮沙(譯曰好也)	劍 浮 沙 譯 曰 好 也 
T54n2130_008:1035b02	精翅[木*叟]國(亦云釋迦　譯曰能也)	精 翅 [木叟] 國 亦 云 釋 迦 譯 曰 能 也 
T54n2130_008:1035b03	半闍(譯曰五也)	半 闍 譯 曰 五 也 
T54n2130_008:1035b04	鞞提訶國(應云毘地呵亦云鞞提　譯曰種種體也亦云四維)	鞞 提 訶 國 應 云 毘 地 呵 亦 云 鞞 提 譯 曰 種 種 體 也 亦 云 四 維 
T54n2130_008:1035b05	阿般提(亦云阿般提　譯曰無義)	阿 般 提 亦 云 阿 般 提 譯 曰 無 義 
T54n2130_008:1035b06	賴吒羅(譯曰國也)　第九卷	賴 吒 羅 譯 曰 國 也 第 九 卷 
T54n2130_008:1035b07	賴吒般提(應云賴吒般底　譯曰賴吒者國般底者轉)	賴 吒 般 提 應 云 賴 吒 般 底 譯 曰 賴 吒 者 國 般 底 者 轉 
T54n2130_008:1035b08	尖瞿多羅(應云尖掘婆羅　譯曰體勝)　第三十五卷	尖 瞿 多 羅 應 云 尖 掘 婆 羅 譯 曰 體 勝 第 三 十 五 卷 
T54n2130_008:1035b09	彌絺羅國(譯曰金帶)　第四十四卷	彌 絺 羅 國 譯 曰 金 帶 第 四 十 四 卷 
T54n2130_008:1035b10	達親那波多國(應云達嚫那波陀　譯曰達那者南波陀者脚)	達 親 那 波 多 國 應 云 達 嚫 那 波 陀 譯 曰 達 那 者 南 波 陀 者 脚 
T54n2130_008:1035b11	　十誦律序第一卷	 十 誦 律 序 第 一 卷 
T54n2130_008:1035b12	薩婆伽羅鉢婆羅(譯曰一切屋無節也)	薩 婆 伽 羅 鉢 婆 羅 譯 曰 一 切 屋 無 節 也 
T54n2130_008:1035b13	波羅梨弗國(應云婆吒梨亦云弗多　譯曰婆羅梨者樹弗多羅者子)	波 羅 梨 弗 國 應 云 婆 吒 梨 亦 云 弗 多 譯 曰 婆 羅 梨 者 樹 弗 多 羅 者 子 
T54n2130_008:1035b14	婆嗟阿婆蘭多(譯曰婆嗟者犢阿婆蘭多者別邊)	婆 嗟 阿 婆 蘭 多 譯 曰 婆 嗟 者 犢 阿 婆 蘭 多 者 別 邊 
T54n2130_008:1035b15	維耶離國(亦云毘舍離　譯曰毘舍離者廣博)　初誦第二卷	維 耶 離 國 亦 云 毘 舍 離 譯 曰 毘 舍 離 者 廣 博 初 誦 第 二 卷 
T54n2130_008:1035b16	阿耆維國(譯曰火也)　二誦第七卷	阿 耆 維 國 譯 曰 火 也 二 誦 第 七 卷 
T54n2130_008:1035b17	瞻匐國(譯曰花也)　七法第一卷	瞻 匐 國 譯 曰 花 也 七 法 第 一 卷 
T54n2130_008:1035b18	迦夷國(譯曰體也)　第四卷	迦 夷 國 譯 曰 體 也 第 四 卷 
T54n2130_008:1035b19	伽郎伽羅國(譯曰伽郎者賴伽羅者頸)	伽 郎 伽 羅 國 譯 曰 伽 郎 者 賴 伽 羅 者 頸 
T54n2130_008:1035b20	阿尼目佉(應云何耆目佉　譯曰大面)　第五卷	阿 尼 目 佉 應 云 何 耆 目 佉 譯 曰 大 面 第 五 卷 
T54n2130_008:1035b21	阿頭佉國(譯曰不苦)　第六卷	阿 頭 佉 國 譯 曰 不 苦 第 六 卷 
T54n2130_008:1035b22	桑祇陀國(應云桑祇哆　譯曰桑祇哆者聚會說也)　七法第八卷	桑 祇 陀 國 應 云 桑 祇 哆 譯 曰 桑 祇 哆 者 聚 會 說 也 七 法 第 八 卷 
T54n2130_008:1035b23	僧迦羅叉(譯曰等耀)	僧 迦 羅 叉 譯 曰 等 耀 
T54n2130_008:1035b24	薩婆(譯曰一切)　八法第二卷	薩 婆 譯 曰 一 切 八 法 第 二 卷 
T54n2130_008:1035c01	阿葉摩伽國(應云阿炎摩伽陀　譯曰阿炎者施摩伽陀者星名)	阿 葉 摩 伽 國 應 云 阿 炎 摩 伽 陀 譯 曰 阿 炎 者 施 摩 伽 陀 者 星 名 
T54n2130_008:1035c02	迦陵伽蘆(譯曰伎述)　雜誦第二卷	迦 陵 伽 蘆 譯 曰 伎 述 雜 誦 第 二 卷 
T54n2130_008:1035c03	蘇彌國(應云蘇彌耶　譯曰可愛)　僧祇律第九卷	蘇 彌 國 應 云 蘇 彌 耶 譯 曰 可 愛 僧 祇 律 第 九 卷 
T54n2130_008:1035c04	弗迦羅國(譯曰蓮花)	弗 迦 羅 國 譯 曰 蓮 花 
T54n2130_008:1035c05	釋迦梨國(譯曰沙也)	釋 迦 梨 國 譯 曰 沙 也 
T54n2130_008:1035c06	難提跋國(應云難提跋陀　譯曰喜長)	難 提 跋 國 應 云 難 提 跋 陀 譯 曰 喜 長 
T54n2130_008:1035c07	沙祇國(應云娑枳多　譯曰論事)　第十一卷	沙 祇 國 應 云 娑 枳 多 譯 曰 論 事 第 十 一 卷 
T54n2130_008:1035c08	阿般頭國(譯曰無親友也)　第十五卷	阿 般 頭 國 譯 曰 無 親 友 也 第 十 五 卷 
T54n2130_008:1035c09	波羅脂國(應云波羅時　譯曰不勝)　第十八卷	波 羅 脂 國 應 云 波 羅 時 譯 曰 不 勝 第 十 八 卷 
T54n2130_008:1035c10	憂波尸婆國(譯曰憂波者火也尸波者安隱)　第二十九卷	憂 波 尸 婆 國 譯 曰 憂 波 者 火 也 尸 波 者 安 隱 第 二 十 九 卷 
T54n2130_008:1035c11	蘇羅波國(譯曰好語)　四分律第一卷	蘇 羅 波 國 譯 曰 好 語 四 分 律 第 一 卷 
