T32n1660_001:0517b10	菩提資糧論卷第一	菩提資糧論 卷 第 一 
T32n1660_005:0536c01	　應當如所言　　即隨如是作	 應 當 如 所 言 即 隨 如 是 作 
T32n1660_005:0536c02	　如言若即作　　他人則生信	 如 言 若 即 作 他 人 則 生 信 
T32n1660_005:0536c03	應當如言即如是作。若如所言即如是作。他	應 當 如 言 即 如 是 作 若 如 所 言 即 如 是 作 他 
T32n1660_005:0536c04	則生信。隨有言教。即當信受。	則 生 信 隨 有 言 教 即 當 信 受 
T32n1660_005:0536c05	　應當擁護法　　覺察放逸者	 應 當 擁 護 法 覺 察 放 逸 者 
T32n1660_005:0536c06	　及作金寶網　　羅覆於支提	 及 作 金 寶 網 羅 覆 於 支 提 
T32n1660_005:0536c07	於此法中應自擁護。若有背法放逸眾生。於	於 此 法 中 應 自 擁 護 若 有 背 法 放 逸 眾 生 於 
T32n1660_005:0536c08	彼亦應方便覺察令其向法。及於如來支提	彼 亦 應 方 便 覺 察 令 其 向 法 及 於 如 來 支 提 
T32n1660_005:0536c09	之所。應以種種寶網羅覆。為令相好滿足故。	之 所 應 以 種 種 寶 網 羅 覆 為 令 相 好 滿 足 故 
T32n1660_005:0536c10	　有欲求婇女　　莊嚴以施之	 有 欲 求 婇 女 莊 嚴 以 施 之 
T32n1660_005:0536c11	　亦與說佛德　　及施雜光瓔	 亦 與 說 佛 德 及 施 雜 光 瓔 
T32n1660_005:0536c12	若有求婇女者。即便莊嚴婇女。而以布施。	若 有 求 婇 女 者 即 便 莊 嚴 婇 女 而 以 布 施 
T32n1660_005:0536c13	此諸婇女普皆端正。以此布施。為令自意所	此 諸 婇 女 普 皆 端 正 以 此 布 施 為 令 自 意 所 
T32n1660_005:0536c14	求愛事皆滿足故。又以無量異種。說佛功德	求 愛 事 皆 滿 足 故 又 以 無 量 異 種 說 佛 功 德 
T32n1660_005:0536c15	之法。應在集會之處。高出美妙悅意之聲。而	之 法 應 在 集 會 之 處 高 出 美 妙 悅 意 之 聲 而 
T32n1660_005:0536c16	為演說。為得諸聲分清淨故。又以種種光明	為 演 說 為 得 諸 聲 分 清 淨 故 又 以 種 種 光 明 
T32n1660_005:0536c17	照曜瓔珞之具。悅彼心眼而以布施。為得諸	照 曜 瓔 珞 之 具 悅 彼 心 眼 而 以 布 施 為 得 諸 
T32n1660_005:0536c18	隨形好滿足故。	隨 形 好 滿 足 故 
T32n1660_005:0536c19	　造作佛形像　　端坐勝蓮花	 造 作 佛 形 像 端 坐 勝 蓮 花 
T32n1660_005:0536c20	　及於六法中　　修習同喜樂	 及 於 六 法 中 修 習 同 喜 樂 
T32n1660_005:0536c21	以金銀真珠貝石等造作佛像。坐勝蓮花。為	以 金 銀 真 珠 貝 石 等 造 作 佛 像 坐 勝 蓮 花 為 
T32n1660_005:0536c22	得化生。及為得佛身故。六種同喜法者。於彼	得 化 生 及 為 得 佛 身 故 六 種 同 喜 法 者 於 彼 
T32n1660_005:0536c23	同梵行中。慈身業口業意業。不分受用物。戒	同 梵 行 中 慈 身業口業 意 業 不 分 受 用 物 戒 
T32n1660_005:0536c24	具足見具足。此等六種同喜法中。應數習近。	具 足 見 具 足 此 等 六 種 同 喜 法 中 應 數 習 近 
T32n1660_005:0536c25	為得徒眾。不被諸外論眾所壞故。	為 得 徒 眾 不 被 諸 外 論 眾 所 壞 故 
T32n1660_005:0536c26	　可供無不供　　為命亦不謗	 可 供 無 不 供 為 命 亦 不 謗 
T32n1660_005:0536c27	　佛之所說法　　及以說法人	 佛 之 所 說 法 及 以 說 法 人 
T32n1660_005:0536c28	可供無不供者。於中應可供養。所謂和上阿	可 供 無 不 供 者 於 中 應 可 供 養 所 謂 和 上 阿 
T32n1660_005:0536c29	闍梨父母兄等。無不供養者。無不敬畏。雖	闍 梨 父 母 兄 等 無 不 供 養 者 無 不 敬 畏 雖 
T32n1660_005:0537a01	為活命。終不謗法及此說佛法人。亦不應謗。	為 活 命 終 不 謗 法 及 此 說 佛 法 人 亦 不 應 謗 
T32n1660_005:0537a02	不應輕欺。為護自善助故。	不 應 輕 欺 為 護 自 善 助 故 
T32n1660_005:0537a03	　金寶散教師　　及教師支提	 金 寶 散 教 師 及 教 師 支 提 
T32n1660_005:0537a04	　若有忘所誦　　與念令不失	 若 有 忘 所 誦 與 念 令 不 失 
T32n1660_005:0537a05	應以金銀散於教師。亦應以摩尼金寶散教	應 以 金 銀 散 於 教 師 亦 應 以 摩 尼 金 寶 散 教 
T32n1660_005:0537a06	師寶支提。菩薩有三摩提。名現在佛對面。	師 寶 支 提 菩 薩 有 三 摩 提 名 現 在 佛 對 面 
T32n1660_005:0537a07	住此等三摩提。於生生中。現前修習為得聞	住 此 等 三 摩 提 於 生 生 中 現 前 修 習 為 得 聞 
T32n1660_005:0537a08	持故。若有眾生忘失所誦引世利樂經書。於	持 故 若 有 眾 生 忘 失 所 誦 引 世 利 樂 經 書 於 
T32n1660_005:0537a09	彼眾生。與作憶念。為不忘失菩提心故。及	彼 眾 生 與作憶念 為 不 忘 失 菩 提 心 故 及 
T32n1660_005:0537a10	為得憶念現知故。	為 得 憶 念 現 知 故 
T32n1660_005:0537a11	　未思所作已　　勿躁勿隨他	 未 思 所 作 已 勿 躁 勿 隨 他 
T32n1660_005:0537a12	　外道天龍神　　於中皆莫信	 外 道 天 龍 神 於 中 皆 莫 信 
T32n1660_005:0537a13	所作業行。若身口意。於中諸處。若未思所作	所 作 業 行 若 身 口 意 於 中 諸 處 若 未 思 所 作 
T32n1660_005:0537a14	已。勿為躁急。亦勿隨他。應如是行。若異於	已 勿 為 躁 急 亦 勿 隨 他 應 如 是 行 若 異 於 
T32n1660_005:0537a15	此則生熱惱亦是悔因。於遊行出家尼揵等	此 則 生 熱 惱 亦 是 悔 因 於 遊 行 出 家 尼 揵 等 
T32n1660_005:0537a16	諸外道及於天龍夜叉揵闥婆等中。皆不應	諸 外 道 及 於 天 龍 夜 叉 揵 闥 婆 等 中 皆 不 應 
T32n1660_005:0537a17	信。	信 
T32n1660_005:0537a18	　心應如金剛　　堪能通諸法	 心 應 如 金 剛 堪 能 通 諸 法 
T32n1660_005:0537a19	　心亦應如山　　諸事所不動	 心 亦 應 如 山 諸 事 所 不 動 
T32n1660_005:0537a20	安置其心應如金剛。有慧力堪能故。於諸世	安 置 其 心 應 如 金 剛 有 慧 力 堪 能 故 於 諸 世 
T32n1660_005:0537a21	出世法中。如其自性如實通達。於諸事中安	出 世 法 中 如 其 自 性 如 實 通 達 於 諸 事 中 安 
T32n1660_005:0537a22	置其心。亦應如山。八種世法。所不能動。	置 其 心 亦 應 如 山 八 種 世 法 所 不 能 動 
T32n1660_005:0537a23	　憙樂出世語　　莫樂依世言	 憙 樂 出 世 語 莫 樂 依 世 言 
T32n1660_005:0537a24	　自受諸功德　　亦應令他受	 自 受 諸 功 德 亦 應 令 他 受 
T32n1660_005:0537a25	或有言說能出世間。若與佛法僧相應。若與	或 有 言 說 能 出 世 間 若 與 佛 法 僧 相 應 若 與 
T32n1660_005:0537a26	六度相應。若與菩薩地相應。若與聲聞獨覺	六 度 相 應 若 與 菩 薩 地 相 應 若 與 聲聞獨覺 
T32n1660_005:0537a27	地相應。彼中應作憙樂。或有言說依止世間。	地 相 應 彼 中 應 作 憙 樂 或 有 言 說 依 止 世 間 
T32n1660_005:0537a28	增長世間。與貪瞋癡相應。彼中不應喜樂。若	增 長 世 間 與 貪 瞋 癡 相 應 彼 中 不 應 喜 樂 若 
T32n1660_005:0537a29	有諸受戒學頭多等殊勝功德善人所讚所受	有 諸 受 戒 學 頭 多 等 殊 勝 功 德 善 人 所 讚 所 受 
T32n1660_005:0537b01	取者。於彼等中皆應受取。亦應令他受此功	取 者 於 彼 等 中 皆 應 受 取 亦 應 令 他 受 此 功 
T32n1660_005:0537b02	德。	德 
T32n1660_005:0537b03	　修五解脫入　　修十不淨想	 修 五 解 脫 入 修 十 不 淨 想 
T32n1660_005:0537b04	　八大丈夫覺　　亦應分別修	 八 大 丈 夫 覺 亦 應 分 別 修 
T32n1660_005:0537b05	於中解脫入者。一者為他說法。二者自說法。	於 中 解 脫 入 者 一 者 為 他 說 法 二 者 自 說 法 
T32n1660_005:0537b06	三者自誦法。四者於法隨覺隨觀。五者取隨	三 者 自 誦 法 四 者 於 法 隨 覺 隨 觀 五 者 取 隨 
T32n1660_005:0537b07	何等三摩提相。此是五解脫入。應當念修。十	何 等 三 摩 提 相 此 是 五 解 脫 入 應 當 念 修 十 
T32n1660_005:0537b08	不淨想者。謂膖脹想。青瘀想。膿爛想。潰出	不 淨 想 者 謂 膖 脹 想 青 瘀 想 膿 爛 想 潰 出 
T32n1660_005:0537b09	想。噉想。斷解想。分散想。血塗想。肉落想。骨	想 噉 想 斷 解 想 分 散 想 血 塗 想 肉 落 想 骨 
T32n1660_005:0537b10	想。此是十不淨想。貪若生時應當念修。本為	想 此 是 十 不 淨 想 貪 若 生 時 應 當 念 修 本 為 
T32n1660_005:0537b11	斷除欲貪故。八大丈夫覺亦應分別修者。於	斷 除 欲 貪 故 八 大 丈 夫 覺 亦 應 分 別 修 者 於 
T32n1660_005:0537b12	中有八大丈夫覺。謂少欲是法多欲非法。是	中 有 八 大 丈 夫 覺 謂 少 欲 是 法 多 欲 非 法 是 
T32n1660_005:0537b13	為初覺。知足是法不知足非法。是為第二。遠	為 初 覺 知 足 是 法 不 知 足 非 法 是 為 第 二 遠 
T32n1660_005:0537b14	離是法雜閙非法。是為第三。發精進是法懈	離 是 法 雜 閙 非 法 是 為 第 三 發 精 進 是 法 懈 
T32n1660_005:0537b15	怠非法。是為第四。安住念是法忘失念非法。	怠 非 法 是 為 第 四 安 住 念 是 法 忘 失 念 非 法 
T32n1660_005:0537b16	是為第五。入定是法不入定非法。是為第六。	是 為 第 五 入 定 是 法 不 入 定 非 法 是 為 第 六 
T32n1660_005:0537b17	智慧是法無智慧非法。是為第七。不樂戲論	智 慧 是 法 無 智 慧 非 法 是 為 第 七 不 樂 戲 論 
T32n1660_005:0537b18	是法樂戲論非法。是為第八。此等八大丈夫	是 法 樂 戲 論 非 法 是 為 第 八 此 等 八 大 丈 夫 
T32n1660_005:0537b19	覺。應當覺之。多欲等八不善助。應當斷除。	覺 應 當 覺 之 多 欲 等 八 不 善 助 應 當 斷 除 
T32n1660_005:0537b20	　天耳與天眼　　神足與他心	 天 耳 與 天 眼 神 足 與 他 心 
T32n1660_005:0537b21	　及與宿命住　　應修淨五通	 及 與 宿 命 住 應 修 淨 五 通 
T32n1660_005:0537b22	於中天眼天耳憶念宿住知他心神足。此等	於 中 天眼天耳 憶 念 宿 住 知 他 心 神 足 此 等 
T32n1660_005:0537b23	五種智通。應當修習。	五 種 智 通 應 當 修 習 
T32n1660_005:0537b24	菩提資糧論卷第五	菩提資糧論 卷 第 五 
T32n1660_006:0537c03	菩提資糧論卷第六	菩提資糧論 卷 第 六 
T32n1660_006:0537c05	聖者龍樹本　比丘自在釋	聖 者 龍 樹 本 比 丘 自 在 釋 
T32n1660_006:0537c06	大隋南印度三藏達磨笈多譯	大 隋 南 印 度 三 藏 達 磨 笈 多 譯 
T32n1660_006:0537c07	問云何修習答。	問 云 何 修 習 答 
T32n1660_006:0537c08	　四神足為根　　欲進心思惟	 四 神 足 為 根 欲 進 心 思 惟 
T32n1660_006:0537c09	　四無量住持　　謂慈悲喜捨	 四 無 量 住 持 謂 慈 悲 喜 捨 
T32n1660_006:0537c10	於此四無量中。習近多作已。得心堪能。得	於 此 四 無 量 中 習 近 多 作 已 得 心 堪 能 得 
T32n1660_006:0537c11	心堪能已。便入初禪那。如是第二。如是第	心 堪 能 已 便 入 初 禪 那 如 是 第 二 如 是 第 
T32n1660_006:0537c12	三。如是第四。彼得禪那已得身心輕。彼以身	三 如 是 第 四 彼 得 禪 那 已 得 身 心 輕 彼 以 身 
T32n1660_006:0537c13	心輕具足故。出生入神通道。出生入神通道	心 輕 具 足 故 出 生 入 神 通 道 出 生 入 神 通 道 
T32n1660_006:0537c14	具足故。便生神足。謂若欲若精進若心若思	具 足 故 便 生 神 足 謂 若 欲 若 精 進 若 心 若 思 
T32n1660_006:0537c15	惟。於中欲者向法。精進者成就法。心者於法	惟 於 中 欲 者 向 法 精 進 者 成 就 法 心 者 於 法 
T32n1660_006:0537c16	觀察。思惟者於法善巧。彼菩薩於神通若信	觀 察 思 惟 者 於 法 善 巧 彼 菩 薩 於 神 通 若 信 
T32n1660_006:0537c17	解若作用。其心自在。隨欲所行。以善成熟故。	解 若 作 用 其 心 自 在 隨 欲 所 行 以 善 成 熟 故 
T32n1660_006:0537c18	自根本住持故。諸處順行如風遍空。於中菩	自 根 本 住 持 故 諸 處 順 行 如 風 遍 空 於 中 菩 
T32n1660_006:0537c19	薩得四無量及四禪那已。若信解若作用。出	薩 得 四 無 量 及 四 禪 那 已 若 信 解 若 作 用 出 
T32n1660_006:0537c20	生天眼。若諸天龍夜叉乾闥婆等。若學人及	生 天 眼 若 諸 天 龍 夜 叉 乾 闥 婆 等 若 學 人 及 
T32n1660_006:0537c21	聲聞獨覺天眼於中獨有增上之力。清淨勝	聲聞獨覺 天 眼 於 中 獨 有 增 上 之 力 清 淨 勝 
T32n1660_006:0537c22	過光明勝過。上首勝過殊異勝過。其眼無礙	過 光 明 勝 過 上 首 勝 過 殊 異 勝 過 其 眼 無 礙 
T32n1660_006:0537c23	世間色相麁細遠近。隨其所欲彼皆能見。如	世 間 色 相 麁 細 遠 近 隨其所欲 彼 皆 能 見 如 
T32n1660_006:0537c24	是聞天人畜生等聲。如是念知前世無邊無	是 聞 天 人 畜 生 等 聲 如 是 念 知 前 世 無 邊 無 
T32n1660_006:0537c25	際。如是知他心與貪欲等俱乃至八萬四千	際 如 是 知 他 心 與 貪 欲 等 俱 乃 至 八萬四千 
T32n1660_006:0537c26	差別。如是得無量神足。以得神足故。諸所應	差 別 如 是 得 無 量 神 足 以 得 神 足 故 諸 所 應 
T32n1660_006:0537c27	調伏眾生。悉令調伏。	調 伏 眾 生 悉 令 調 伏 
T32n1660_006:0537c28	　四界如毒蛇　　六入如空村	 四 界 如 毒 蛇 六 入 如 空 村 
T32n1660_006:0537c29	　五眾如殺者　　應作如是觀	 五 眾 如 殺 者 應 作 如 是 觀 
T32n1660_006:0538a01	長夜以諸樂具受用因緣。雖守護將息長養。	長 夜 以 諸 樂 具 受 用 因 緣 雖 守 護 將 息 長 養 
T32n1660_006:0538a02	此地等四界。而速疾發動。不知恩養。不可依	此 地 等 四 界 而 速 疾 發 動 不 知 恩 養 不 可 依 
T32n1660_006:0538a03	怙。不可委信故。應當觀察猶如毒蛇。以無主	怙 不 可 委 信 故 應 當 觀 察 猶 如 毒 蛇 以 無 主 
T32n1660_006:0538a04	故。離我我所故。眼等諸入有六賊眾。逼惱可	故 離我我所 故 眼 等 諸 入 有 六 賊 眾 逼 惱 可 
T32n1660_006:0538a05	畏故。應當觀察猶如空村。共和與物破壞打	畏 故 應 當 觀 察 猶 如 空 村 共 和 與 物 破 壞 打 
T32n1660_006:0538a06	罰不能遮障故。猶如殺者。於五受眾。應當日	罰 不 能 遮 障 故 猶 如 殺 者 於 五 受 眾 應 當 日 
T32n1660_006:0538a07	日如是觀察。	日 如 是 觀 察 
T32n1660_006:0538a08	　重法及法師　　亦捨於法慳	 重 法 及 法 師 亦 捨 於 法 慳 
T32n1660_006:0538a09	　教師勿捲祕　　聽者勿散亂	 教 師 勿 捲 祕 聽 者 勿 散 亂 
T32n1660_006:0538a10	於此有四種法。能生大智。應當受取。於法及	於 此 有 四 種 法 能 生 大 智 應 當 受 取 於 法 及 
T32n1660_006:0538a11	法師中應當尊重。亦捨法慳。隨所聞法隨所	法 師 中 應 當 尊 重 亦 捨 法 慳 隨 所 聞 法 隨 所 
T32n1660_006:0538a12	習誦。為他演說。若有樂欲法者。教師勿為捲	習 誦 為 他 演 說 若 有 樂 欲 法 者 教 師 勿 為 捲 
T32n1660_006:0538a13	手祕惜。聽者勿散亂。謂莫有異欲。	手 祕 惜 聽 者 勿 散 亂 謂 莫 有 異 欲 
T32n1660_006:0538a14	　無慢無希望　　唯以悲愍心	 無 慢 無 希 望 唯 以 悲 愍 心 
T32n1660_006:0538a15	　尊重恭敬意　　為眾而說法	 尊 重 恭 敬 意 為 眾 而 說 法 
T32n1660_006:0538a16	復有四種法。是大智相。應當受取。所謂遠	復 有 四 種 法 是 大 智 相 應 當 受 取 所 謂 遠 
T32n1660_006:0538a17	離自高輕他。無憍慢故。棄捨利養恭敬名聞。	離 自 高 輕 他 無 憍 慢 故 棄 捨 利養恭敬 名 聞 
T32n1660_006:0538a18	無希望心故。於無明闇障眾生中唯悲愍故。	無 希 望 心 故 於 無 明 闇 障 眾 生 中 唯 悲 愍 故 
T32n1660_006:0538a19	尊重恭敬為其說法。以此四種法故。菩薩大	尊 重 恭 敬 為 其 說 法 以 此 四 種 法 故 菩 薩 大 
T32n1660_006:0538a20	智具足。應當受取。	智 具 足 應 當 受 取 
T32n1660_006:0538a21	　於聞無厭足　　聞已皆誦持	 於 聞 無 厭 足 聞 已 皆 誦 持 
T32n1660_006:0538a22	　不誑尊福田　　亦令師歡喜	 不 誑 尊 福 田 亦 令 師 歡 喜 
T32n1660_006:0538a23	多聞無厭。聞已持法。持法已順法行法。不誑	多 聞 無 厭 聞 已 持 法 持 法 已 順 法 行 法 不 誑 
T32n1660_006:0538a24	所尊福田。亦令教師歡喜此法。是菩提心不	所 尊 福 田 亦 令 教 師 歡 喜 此 法 是 菩 提 心 不 
T32n1660_006:0538a25	忘失因。	忘 失 因 
T32n1660_006:0538a26	　不應觀他家　　心懷於敬養	 不 應 觀 他 家 心 懷 於 敬 養 
T32n1660_006:0538a27	　勿以論難故　　習誦於世典	 勿 以 論 難 故 習 誦 於 世 典 
T32n1660_006:0538a28	不應為供養恭敬因緣往觀他家。除為安立	不 應 為 供養恭敬 因 緣 往 觀 他 家 除 為 安 立 
T32n1660_006:0538a29	菩提心因緣。亦不應欲為論難故習誦諸世	菩 提 心 因 緣 亦 不 應 欲 為 論 難 故 習 誦 諸 世 
T32n1660_006:0538b01	論等。除為多聞因緣。	論 等 除 為 多 聞 因 緣 
T32n1660_006:0538b02	　勿以瞋恚故　　毀呰諸菩薩	 勿 以 瞋 恚 故 毀 呰 諸 菩 薩 
T32n1660_006:0538b03	　未受未聞法　　亦勿生誹謗	 未 受 未 聞 法 亦 勿 生 誹 謗 
T32n1660_006:0538b04	何以故。為護續生善法因緣。	何 以 故 為 護 續 生 善 法 因 緣 
T32n1660_006:0538b05	　斷除於憍慢　　當住四聖種	 斷 除 於 憍 慢 當 住 四 聖 種 
T32n1660_006:0538b06	　勿嫌於他人　　亦勿自高舉	 勿 嫌 於 他 人 亦 勿 自 高 舉 
T32n1660_006:0538b07	斷除憍慢者。於諸眾生中。當下心如狗斷除	斷 除 憍 慢 者 於 諸 眾 生 中 當 下 心 如 狗 斷 除 
T32n1660_006:0538b08	我慢。於輕儉衣食臥床藥具四聖種中亦應	我 慢 於 輕 儉 衣 食 臥 床 藥 具 四 聖 種 中 亦 應 
T32n1660_006:0538b09	當住。於彼聖種知足故。不應嫌他。亦不應自	當 住 於 彼 聖 種 知 足 故 不 應 嫌 他 亦 不 應 自 
T32n1660_006:0538b10	高舉。	高 舉 
T32n1660_006:0538b11	　若實不實犯　　不得發覺他	 若 實 不 實 犯 不 得 發 覺 他 
T32n1660_006:0538b12	　勿求他錯失　　自錯當覺知	 勿 求 他 錯 失 自 錯 當 覺 知 
T32n1660_006:0538b13	他同梵行者犯罪。若實若不實。皆不應發覺。	他 同 梵 行 者 犯 罪 若 實 若 不 實 皆 不 應 發 覺 
T32n1660_006:0538b14	他有錯失不應求覓。唯於自錯。即應覺知。	他 有 錯 失 不 應 求 覓 唯 於 自 錯 即 應 覺 知 
T32n1660_006:0538b15	　佛及諸佛法　　不應分別疑	 佛 及 諸 佛 法 不 應 分 別 疑 
T32n1660_006:0538b16	　法雖最難信　　於中應信之	 法 雖 最 難 信 於 中 應 信 之 
T32n1660_006:0538b17	於佛不應分別。以世尊具足未曾有法故。亦	於 佛 不 應 分 別 以 世 尊 具 足 未曾有法 故 亦 
T32n1660_006:0538b18	於佛法不應疑惑。以於諸眾生是不共法故。	於 佛 法 不 應 疑 惑 以 於 諸 眾 生 是 不 共 法 故 
T32n1660_006:0538b19	及於最難信佛法中。以深心清淨故。應當信	及 於 最 難 信 佛 法 中 以 深 心 清 淨 故 應 當 信 
T32n1660_006:0538b20	之。	之 
T32n1660_006:0538b21	　雖由實語死　　退失轉輪王	 雖 由 實 語 死 退 失 轉 輪 王 
T32n1660_006:0538b22	　及以諸天王　　唯應作實語	 及 以 諸 天 王 唯 應 作 實 語 
T32n1660_006:0538b23	若菩薩由實語故。若奪物若死。雖退失轉輪	若 菩 薩 由 實 語 故 若 奪 物 若 死 雖 退 失 轉 輪 
T32n1660_006:0538b24	王及諸天王。唯應實語。何況其餘而不實語。	王 及 諸 天 王 唯 應 實 語 何 況 其 餘 而 不 實 語 
T32n1660_006:0538b25	　打罵恐殺縛　　終不怨責他	 打 罵 恐 殺 縛 終 不 怨 責 他 
T32n1660_006:0538b26	　皆是我自罪　　業報故來現	 皆 是 我 自 罪 業 報 故 來 現 
T32n1660_006:0538b27	諸有他來打罵恐怖殺縛幽閉。皆是自罪應	諸 有 他 來 打 罵 恐 怖 殺 縛 幽 閉 皆 是 自 罪 應 
T32n1660_006:0538b28	當有此。終不瞋他。此是我業前世已作。今時	當 有 此 終 不 瞋 他 此 是 我 業 前 世 已 作 今 時 
T32n1660_006:0538b29	還受相似不愛之果。彼諸眾生都無有罪。唯	還 受 相 似 不 愛 之 果 彼 諸 眾 生 都 無 有 罪 唯 
T32n1660_006:0538c01	是我罪業報來現。應當有此。	是 我 罪 業 報 來 現 應 當 有 此 
T32n1660_006:0538c02	　應極尊重愛　　供養於父母	 應 極 尊 重 愛 供 養 於 父 母 
T32n1660_006:0538c03	　亦給侍和上　　恭敬阿闍梨	 亦 給 侍 和 上 恭 敬 阿 闍 梨 
T32n1660_006:0538c04	於父母所。應當極愛尊重供養。應作天想。隨	於 父 母 所 應 當 極 愛 尊 重 供 養 應 作 天 想 隨 
T32n1660_006:0538c05	父母意令得悅樂。離諂幻心。又應恭敬給侍	父 母 意 令 得 悅 樂 離 諂 幻 心 又 應 恭 敬 給 侍 
T32n1660_006:0538c06	和上阿闍梨。隨和上阿闍梨所說法中。無有	和 上 阿 闍 梨 隨 和 上 阿 闍 梨 所 說 法 中 無 有 
T32n1660_006:0538c07	內祕。皆為外化。	內 祕 皆 為 外 化 
T32n1660_006:0538c08	　為信聲聞乘　　及以獨覺乘	 為 信 聲 聞 乘 及 以 獨 覺 乘 
T32n1660_006:0538c09	　說於最深法　　此是菩薩錯	 說 於 最 深 法 此 是 菩 薩 錯 
T32n1660_006:0538c10	此中菩薩。有四種菩薩錯失。應當捨離。所謂	此 中 菩 薩 有 四 種 菩 薩 錯 失 應 當 捨 離 所 謂 
T32n1660_006:0538c11	於聲聞獨覺乘諸眾生中。為說最深之法。是	於 聲聞獨覺 乘 諸 眾 生 中 為 說 最 深 之 法 是 
T32n1660_006:0538c12	菩薩錯。	菩 薩 錯 
T32n1660_006:0538c13	　為信深大乘　　眾生而演說	 為 信 深 大 乘 眾 生 而 演 說 
T32n1660_006:0538c14	　聲聞獨覺乘　　此亦是其錯	 聲聞獨覺 乘 此 亦 是 其 錯 
T32n1660_006:0538c15	於信深大乘諸眾生中。為說聲聞獨覺乘。是	於 信 深 大 乘 諸 眾 生 中 為 說 聲聞獨覺 乘 是 
T32n1660_006:0538c16	菩薩錯。	菩 薩 錯 
T32n1660_006:0538c17	　大人來求法　　慢緩不為說	 大 人 來 求 法 慢 緩 不 為 說 
T32n1660_006:0538c18	　而反攝受惡　　委任無信者	 而 反 攝 受 惡 委 任 無 信 者 
T32n1660_006:0538c19	若有正住大眾生。來有所求時。應即為說善	若 有 正 住 大 眾 生 來 有 所 求 時 應 即 為 說 善 
T32n1660_006:0538c20	法。而更慢緩破戒惡法。反攝受之。是菩薩錯。	法 而 更 慢 緩 破 戒 惡 法 反 攝 受 之 是 菩 薩 錯 
T32n1660_006:0538c21	於大乘中未有信解。未以四攝事成熟者。而	於 大 乘 中 未 有 信 解 未 以 四 攝 事 成 熟 者 而 
T32n1660_006:0538c22	信任之。是菩薩錯。是為四種。	信 任 之 是 菩 薩 錯 是 為 四 種 
T32n1660_006:0538c23	　遠捨所說錯　　所說頭多德	 遠 捨 所 說 錯 所 說 頭 多 德 
T32n1660_006:0538c24	　於彼當念知　　亦皆應習近	 於 彼 當 念 知 亦 皆 應 習 近 
T32n1660_006:0538c25	此中所說四種錯失。應遠捨離。以此去菩提	此 中 所 說 四 種 錯 失 應 遠 捨 離 以 此 去 菩 提 
T32n1660_006:0538c26	遠故。若聲聞獨覺乘中所說。頭多等及餘功	遠 故 若 聲聞獨覺 乘 中 所 說 頭 多 等 及 餘 功 
T32n1660_006:0538c27	德。但知彼等不與菩提作障礙者。於彼彼中。	德 但 知 彼 等 不 與 菩 提 作 障 礙 者 於 彼 彼 中 
T32n1660_006:0538c28	亦應習近。	亦 應 習 近 
T32n1660_006:0538c29	　等心平等說　　平等善安立	 等 心 平 等 說 平 等 善 安 立 
T32n1660_006:0539a01	　亦令正相應　　諸眾生無別	 亦 令 正 相 應 諸 眾 生 無 別 
T32n1660_006:0539a02	此四種菩薩道。應當習近。何等為四。所謂諸	此 四 種 菩 薩 道 應 當 習 近 何 等 為 四 所 謂 諸 
T32n1660_006:0539a03	眾生中起平等心。諸眾生中平等說法。諸眾	眾 生 中 起 平 等 心 諸 眾 生 中 平 等 說 法 諸 眾 
T32n1660_006:0539a04	生中平等善安立。諸眾生中令正相應。此等	生 中 平 等 善 安 立 諸 眾 生 中 令 正 相 應 此 等 
T32n1660_006:0539a05	皆無差別。是為四種。	皆 無 差 別 是 為 四 種 
T32n1660_006:0539a06	　為法不為利　　為德不為名	 為 法 不 為 利 為 德 不 為 名 
T32n1660_006:0539a07	　欲脫眾生苦　　不欲自身樂	 欲 脫 眾 生 苦 不 欲 自 身 樂 
T32n1660_006:0539a08	此四種真實菩薩。應當覺知。何等為四。所謂	此 四 種 真 實 菩 薩 應 當 覺 知 何 等 為 四 所 謂 
T32n1660_006:0539a09	但為於法不為財利。但為功德不為名稱。但	但 為 於 法 不 為 財 利 但 為 功 德 不 為 名 稱 但 
T32n1660_006:0539a10	欲脫眾生苦。不欲自身安樂。	欲 脫 眾 生 苦 不 欲 自 身 安 樂 
T32n1660_006:0539a11	　密意求業果　　所作福事生	 密 意 求 業 果 所 作 福 事 生 
T32n1660_006:0539a12	　亦為成熟眾　　捨離於自事	 亦 為 成 熟 眾 捨 離 於 自 事 
T32n1660_006:0539a13	若於業果密意欲求。作三福事。生此福時。唯	若 於 業 果 密 意 欲 求 作 三 福 事 生 此 福 時 唯 
T32n1660_006:0539a14	為菩提利樂眾生。亦唯為菩提成熟於眾。為	為 菩 提 利 樂 眾 生 亦 唯 為 菩 提 成 熟 於 眾 為 
T32n1660_006:0539a15	利眾故捨離自事。此是四種真實菩薩。	利 眾 故 捨 離 自 事 此 是 四 種 真 實 菩 薩 
T32n1660_006:0539a16	　親近善知識　　所謂法師佛	 親近善知識 所 謂 法 師 佛 
T32n1660_006:0539a17	　勸勵出家者　　及以乞求輩	 勸 勵 出 家 者 及 以 乞 求 輩 
T32n1660_006:0539a18	此四種菩薩善知識。應當親近。何等為四。所	此 四 種 菩 薩 善 知 識 應 當 親 近 何 等 為 四 所 
T32n1660_006:0539a19	謂法師是菩薩善知識。為助持聞慧故。佛世	謂 法 師 是 菩 薩 善 知 識 為 助 持 聞 慧 故 佛 世 
