T44n1841_001:0143a24	因明義斷	因 明 義 斷 
T44n1841_001:0154b10	云。若二實為因者。是法自相相違過。過云。有	云 若 二 實 為 因 者 是 法 自 相 相 違 過 過 云 有 
T44n1841_001:0154b11	性是實。有二實故。如子微。為有此過。不立為	性 是 實 有 二 實 故 如 子 微 為 有 此 過 不 立 為 
T44n1841_001:0154b12	因。此不必然。因同喻有義如前說。但不定過。	因 此 不 必 然 因 同 喻 有 義 如 前 說 但 不 定 過 
T44n1841_001:0154b13	非是相違。又云。若實句不名有德業者。如何	非 是 相 違 又 云 若 實 句 不 名 有 德 業 者 如 何 
T44n1841_001:0154b14	得說共許不無之有。名有德業耶。故知。依彼	得 說 共 許 不 無 之 有 名 有 德 業 耶 故 知 依 彼 
T44n1841_001:0154b15	實句不無之有。說名有德業也。如同異性者。	實 句 不 無 之 有 說 名 有 德 業 也 如 同 異 性 者 
T44n1841_001:0154b16	舉喻。此未善釋。若成實句之上。不無之有。云	舉 喻 此 未 善 釋 若 成 實 句 之 上 不 無 之 有 云 
T44n1841_001:0154b17	非德業。此立已成。如立量云。有非德業。有德	非 德 業 此 立 已 成 如 立 量 云 有 非 德 業 有 德 
T44n1841_001:0154b18	業故。如同異性。何以能顯離德業之大有。故	業 故 如 同 異 性 何 以 能 顯 離 德 業 之 大 有 故 
T44n1841_001:0154b19	知。各成三句之上。不無之有。為三比量。顯有	知 各 成 三 句 之 上 不 無 之 有 為 三 比 量 顯 有 
T44n1841_001:0154b20	離三。若望成實句上。不無之有。云非德業。如	離 三 若 望 成 實 句 上 不 無 之 有 云 非 德 業 如 
T44n1841_001:0154b21	何作有法自相相違之因。若望其意許離實	何 作 有法自相相違 之 因 若 望 其 意 許 離 實 
T44n1841_001:0154b22	大有。豈可師主。不立離德業之大有。但立離	大 有 豈 可 師 主 不 立 離 德 業 之 大 有 但 立 離 
T44n1841_001:0154b23	實之大有耶。問若成德業上不無之有。云非	實 之 大 有 耶 問 若 成 德 業 上 不 無 之 有 云 非 
T44n1841_001:0154b24	德業。以有德業因。於實亦轉。豈無過耶。答亦	德 業 以 有 德 業 因 於 實 亦 轉 豈 無 過 耶 答 亦 
T44n1841_001:0154b25	無過。立非德業。實亦同喻。論中且舉別因通	無 過 立 非 德 業 實 亦 同 喻 論 中 且 舉 別 因 通 
T44n1841_001:0154b26	喻。不爾言非德業宗實句是何收。又解云。有	喻 不 爾 言 非 德 業 宗 實 句 是 何 收 又 解 云 有 
T44n1841_001:0154b27	德業言。意說彼性。實雖有德業。非彼性故。望	德 業 言 意 說 彼 性 實 雖 有 德 業 非 彼 性 故 望 
T44n1841_001:0154b28	義別故。此有令彼體性不無。名之為有實德	義 別 故 此 有 令 彼 體 性 不 無 名 之 為 有 實 德 
T44n1841_001:0154b29	業等。實名有德業。以相依故名之為有。不	業 等 實 名 有 德 業 以 相 依 故 名 之 為 有 不 
T44n1841_001:0154c01	能令彼成其不無。有言雖同。詮義各別。若爾。	能 令 彼 成 其 不 無 有 言 雖 同 詮 義 各 別 若 爾 
T44n1841_001:0154c02	同異性即非同喻。答爾若爾。云何俱得決定。	同 異 性 即 非 同 喻 答 爾 若 爾 云 何 俱 得 決 定 
T44n1841_001:0154c03	答望為性成非實等。望能有有。即是相違。若	答 望 為 性 成 非 實 等 望 能 有 有 即 是 相 違 若 
T44n1841_001:0154c04	成有非。實有德業因。此不定過。以彼實句有	成 有 非 實 有 德 業 因 此 不 定 過 以 彼 實 句 有 
T44n1841_001:0154c05	德業故。有一實因。成非德業。不定亦爾。然待	德 業 故 有 一 實 因 成 非 德 業 不 定 亦 爾 然 待 
T44n1841_001:0154c06	撿彼勝論方知。又云。五頂但據三因別成三	撿 彼 勝 論 方 知 又 云 五 頂 但 據 三 因 別 成 三 
T44n1841_001:0154c07	宗故無有過。問若爾無過何名相違。答若望	宗 故 無 有 過 問 若 爾 無 過 何 名 相 違 答 若 望 
T44n1841_001:0154c08	言顯無過。今望意許故犯相違。此亦未詳。既	言 顯 無 過 今 望 意 許 故 犯 相 違 此 亦 未 詳 既 
T44n1841_001:0154c09	言非實非德業宗明即大有若非大有更有何	言 非 實 非 德 業 宗 明 即 大 有 若 非 大 有 更 有 何 
T44n1841_001:0154c10	有非實等耶雖不言大言有已顯。故彼弟子。	有 非 實 等 耶 雖 不 言 大 言 有 已 顯 故 彼 弟 子 
T44n1841_001:0154c11	望立非實德業之有。得作相違。又云。問同異	望 立 非 實 德 業 之 有 得 作 相 違 又 云 問 同 異 
T44n1841_001:0154c12	二品豈可得約有法立耶。解云。夫同異品。但	二 品 豈 可 得 約 有 法 立 耶 解 云 夫 同 異 品 但 
T44n1841_001:0154c13	隨有法及法中意所立者。即望此為同異品。	隨 有 法 及 法 中 意 所 立 者 即 望 此 為 同 異 品 
T44n1841_001:0154c14	今既意立有性。離實等外別有其體。故得望	今 既 意 立 有 性 離 實 等 外 別 有 其 體 故 得 望 
T44n1841_001:0154c15	離實等有性。為同異品。此釋未善。若以有法	離 實 等 有 性 為 同 異 品 此 釋 未 善 若 以 有 法 
T44n1841_001:0154c16	是所爭故。意所立者。即應名法。何名有法。故	是 所 爭 故 意 所 立 者 即 應 名 法 何 名 有 法 故 
T44n1841_001:0154c17	理門云。又於此中。觀所成故。立法有法。非	理 門 云 又 於 此 中 觀 所 成 故 立 法 有 法 非 
T44n1841_001:0154c18	如德有德。故無有過。若爾如何。今解。意立	如 德 有 德 故 無 有 過 若 爾 如 何 今 解 意 立 
T44n1841_001:0154c19	實等上。不無之有為有法。定非是實等。言非	實 等 上 不 無 之 有 為 有 法 定 非 是 實 等 言 非 
T44n1841_001:0154c20	實等者。是離實等。有義為法。望此即為所立。	實 等 者 是 離 實 等 有 義 為 法 望 此 即 為 所 立 
T44n1841_001:0154c21	故理門論云。此中若品。與所立法。隣近均等。	故 理 門 論 云 此 中 若 品 與 所 立 法 隣 近 均 等 
T44n1841_001:0154c22	說名同品。此論亦云。云何名為同品異品。	說 名 同 品 此 論 亦 云 云 何 名 為 同 品 異 品 
T44n1841_001:0154c23	謂所立法均等義品。說名同品。不望有法名	謂 所 立 法 均 等 義 品 說 名 同 品 不 望 有 法 名 
T44n1841_001:0154c24	同異品。如是方便成立有法。因喻既返。故成	同 異 品 如 是 方 便 成 立 有 法 因 喻 既 返 故 成 
T44n1841_001:0154c25	相違。若爾何名有法自相相違因耶。答望不	相 違 若 爾 何 名 有法自相相違因 耶 答 望 不 
T44n1841_001:0154c26	加言。名有法自相。若加言已即名為法。不爾	加 言 名 有 法 自 相 若 加 言 已 即 名 為 法 不 爾 
T44n1841_001:0154c27	相違。又云古人云。問五頂信有有不。若信	相 違 又 云 古 人 云 問 五 頂 信 有 有 不 若 信 
T44n1841_001:0154c28	有性難令非有。便違共許。豈是相違。如言聲	有 性 難 令 非 有 便 違 共 許 豈 是 相 違 如 言 聲 
T44n1841_001:0154c29	非聲也。若不信有。此即宗闕有法。因無所依。	非 聲 也 若 不 信 有 此 即 宗 闕 有 法 因 無 所 依 
T44n1841_001:0155a01	何容依此競其即離。作相違過。乃至廣敘云	何 容 依 此 競 其 即 離 作 相 違 過 乃 至 廣 敘 云 
T44n1841_001:0155a02	云言。今解應知。加汝字即無有失。謂汝執	云 言 今 解 應 知 加 汝 字 即 無 有 失 謂 汝 執 
T44n1841_001:0155a03	有性。應非有性。又無義宗法。許得依無。今言	有 性 應 非 有 性 又 無 義 宗 法 許 得 依 無 今 言 
T44n1841_001:0155a04	非有。但非彼所立。更無所表。但牒彼計。何	非 有 但 非 彼 所 立 更 無 所 表 但 牒 彼 計 何 
T44n1841_001:0155a05	用極成。如佛法破外道云。汝我應非我。亦	用 極 成 如 佛 法 破 外 道 云 汝 我 應 非 我 亦 
T44n1841_001:0155a06	得成破。此釋未善。無義宗法。可許依無有一	得 成 破 此 釋 未 善 無 義 宗 法 可 許 依 無 有 一 
T44n1841_001:0155a07	實等因。豈無義宗法。但可隨他與作相違。即	實 等 因 豈 無 義 宗 法 但 可 隨 他 與 作 相 違 即 
T44n1841_001:0155a08	無有過。不勞分別有義宗法無義宗法。	無 有 過 不 勞 分 別 有 義 宗 法 無 義 宗 法 
T44n1841_001:0155a09	釋有法差別相違因中云。如即此因。即於前	釋 有法差別相違因 中 云 如 即 此 因 即 於 前 
T44n1841_001:0155a10	宗。不但能成有法差別作有緣性。亦能成立	宗 不 但 能 成 有 法 差 別 作 有 緣 性 亦 能 成 立 
T44n1841_001:0155a11	與有法差別。相違作非有緣性。此釋不然。若	與 有 法 差 別 相 違 作 非 有 緣 性 此 釋 不 然 若 
T44n1841_001:0155a12	爾應成不定因性。非相違因。既無大有有緣	爾 應 成 不 定 因 性 非 相 違 因 既 無 大 有 有 緣 
T44n1841_001:0155a13	性之同喻。何理能成作大有有緣性。論云。如	性 之 同 喻 何 理 能 成 作 大 有 有 緣 性 論 云 如 
T44n1841_001:0155a14	遮實等。俱決定故。不云成作有緣性。亦得決	遮 實 等 俱 決 定 故 不 云 成 作 有 緣 性 亦 得 決 
T44n1841_001:0155a15	定。下又正釋俱決定文。過亦同此。又自云。因	定 下 又 正 釋 俱 決 定 文 過 亦 同 此 又 自 云 因 
T44n1841_001:0155a16	唯異轉故非不定。既爾如何云俱決定。同品	唯 異 轉 故 非 不 定 既 爾 如 何 云 俱 決 定 同 品 
T44n1841_001:0155a17	無故。問既言不以意許為差別。此作有緣性。	無 故 問 既 言 不 以 意 許 為 差 別 此 作 有 緣 性 
T44n1841_001:0155a18	為是言顯。為當意許。若云言陳者。如何立宗。	為 是 言 顯 為 當 意 許 若 云 言 陳 者 如 何 立 宗 
T44n1841_001:0155a19	云大有作有緣性。言大有時。他許不許。若許	云 大 有 作 有 緣 性 言 大 有 時 他 許 不 許 若 許 
T44n1841_001:0155a20	立已成。不許闕所別。作有緣性。為言大有。為	立 已 成 不 許 闕 所 別 作 有 緣 性 為 言 大 有 為 
T44n1841_001:0155a21	不無有。言作大有有緣性。他許立已成。不	不 無 有 言 作 大 有 有 緣 性 他 許 立 已 成 不 
T44n1841_001:0155a22	許闕能別。故他不許。即俱不成。何成立量。若	許 闕 能 別 故 他 不 許 即 俱 不 成 何 成 立 量 若 
T44n1841_001:0155a23	云言有意含。作有緣性亦含。此即意許。何得	云 言 有 意 含 作 有 緣 性 亦 含 此 即 意 許 何 得 
T44n1841_001:0155a24	云言顯。不得云如汝立。彼云。言有非實。雖是	云 言 顯 不 得 云 如 汝 立 彼 云 言 有 非 實 雖 是 
T44n1841_001:0155a25	意許。即言已顯。作有緣性。何不許然者。不	意 許 即 言 已 顯 作 有 緣 性 何 不 許 然 者 不 
T44n1841_001:0155a26	然。何以故。前量云。非實故言有時即言顯。	然 何 以 故 前 量 云 非 實 故 言 有 時 即 言 顯 
T44n1841_001:0155a27	實上之有云非實。除大有外更有何有。故言	實 上 之 有 云 非 實 除 大 有 外 更 有 何 有 故 言 
T44n1841_001:0155a28	有時即言顯。今作有緣性不云非實。以有	有 時 即 言 顯 今 作 有 緣 性 不 云 非 實 以 有 
T44n1841_001:0155a29	為有法。作有緣性為法故。俱是不無之有。作	為 有 法 作 有 緣 性 為 法 故 俱 是 不 無 之 有 作 
T44n1841_001:0155b01	有緣性中。意作大有有緣性。作非大有有緣	有 緣 性 中 意 作 大 有 有 緣 性 作 非 大 有 有 緣 
T44n1841_001:0155b02	性。是其差別。今據意許難令成過。故非言顯。	性 是 其 差 別 今 據 意 許 難 令 成 過 故 非 言 顯 
T44n1841_001:0155b03	問若據意許。立云有作有緣性。即是法差別。	問 若 據 意 許 立 云 有 作 有 緣 性 即 是 法 差 別 
T44n1841_001:0155b04	云何名有法差別。答准前釋。望不加言名有	云 何 名 有 法 差 別 答 准 前 釋 望 不 加 言 名 有 
T44n1841_001:0155b05	法差別。若加言已即名法故。然成此法意成	法 差 別 若 加 言 已 即 名 法 故 然 成 此 法 意 成 
T44n1841_001:0155b06	有法。故理門云。但以法故成於法。如是成	有 法 故 理 門 云 但 以 法 故 成 於 法 如 是 成 
T44n1841_001:0155b07	立於有法。問若加言已與法何殊。答法自相	立 於 有 法 問 若 加 言 已 與 法 何 殊 答 法 自 相 
T44n1841_001:0155b08	等本只爭法不爭有法故不得言如是成立於	等 本 只 爭 法 不 爭 有 法 故 不 得 言 如 是 成 立 於 
T44n1841_001:0155b09	有法。若云即成聲無常等云成立有法者。不	有 法 若 云 即 成 聲 無 常 等 云 成 立 有 法 者 不 
T44n1841_001:0155b10	然。瑜伽等云所成立法有二種。一自性。二差	然 瑜 伽 等 云 所 成 立 法 有 二 種 一 自 性 二 差 
T44n1841_001:0155b11	別。若成聲之無常。亦名成自性。此二何別。故	別 若 成 聲 之 無 常 亦 名 成 自 性 此 二 何 別 故 
T44n1841_001:0155b12	作此解妙之又妙。	作 此 解 妙 之 又 妙 
T44n1841_001:0155b13	解似同喻中云。世親及小乘外道。立有五分。	解 似 同 喻 中 云 世 親 及 小 乘 外 道 立 有 五 分 
T44n1841_001:0155b14	慈尊無著陳那等。但立三分。合結為成於喻。	慈 尊 無 著 陳 那 等 但 立 三 分 合 結 為 成 於 喻 
T44n1841_001:0155b15	是喻上之差別。善立於喻。足顯合結。無繁喻	是 喻 上 之 差 別 善 立 於 喻 足 顯 合 結 無 繁 喻 
T44n1841_001:0155b16	外。別立二支。又云。瑜伽同類即當對法合支。	外 別 立 二 支 又 云 瑜 伽 同 類 即 當 對 法 合 支 
T44n1841_001:0155b17	對法既立喻訖。何故復說合支。結既許同世	對 法 既 立 喻 訖 何 故 復 說 合 支 結 既 許 同 世 
T44n1841_001:0155b18	親合支。如何即別。又瑜伽引喻之言。為同為	親 合 支 如 何 即 別 又 瑜 伽 引 喻 之 言 為 同 為 
T44n1841_001:0155b19	異。若其是總同類即是喻。何關對法合支。若	異 若 其 是 總 同 類 即 是 喻 何 關 對 法 合 支 若 
T44n1841_001:0155b20	引喻即說為同類。與世親合支何別。作斯會	引 喻 即 說 為 同 類 與 世 親 合 支 何 別 作 斯 會 
T44n1841_001:0155b21	教全不相當。應知。對法合結。與世親不殊。	教 全 不 相 當 應 知 對 法 合 結 與 世 親 不 殊 
T44n1841_001:0155b22	瑜伽同類異類。與理門等二喻不別。作者各	瑜 伽 同 類 異 類 與 理 門 等 二 喻 不 別 作 者 各 
T44n1841_001:0155b23	據一義。所以如古德述。下雖亦作是釋。但為	據 一 義 所 以 如 古 德 述 下 雖 亦 作 是 釋 但 為 
T44n1841_001:0155b24	前後相違。	前 後 相 違 
T44n1841_001:0155b25	釋二量中。以有古解。聖教由詮諸法共相故	釋 二 量 中 以 有 古 解 聖 教 由 詮 諸 法 共 相 故 
T44n1841_001:0155b26	比量攝。非之可爾。若云一切定心亦得共相。	比 量 攝 非 之 可 爾 若 云 一 切 定 心 亦 得 共 相 
T44n1841_001:0155b27	應比量收。又比量心。亦得自相。應非比量。此	應 比 量 收 又 比 量 心 亦 得 自 相 應 非 比 量 此 
T44n1841_001:0155b28	難恐違。言定心緣得共相者。是何共相。若因	難 恐 違 言 定 心 緣 得 共 相 者 是 何 共 相 若 因 
T44n1841_001:0155b29	明共相。違佛地論。理門亦云。諸修定者。離教	明 共 相 違 佛 地 論 理 門 亦 云 諸 修 定 者 離 教 
T44n1841_001:0155c01	分別。皆是現量。云何定心。得此共相。故雖定	分 別 皆 是 現 量 云 何 定 心 得 此 共 相 故 雖 定 
T44n1841_001:0155c02	心緣比量教。離分別故。不名緣共相。以不分	心 緣 比 量 教 離 分 別 故 不 名 緣 共 相 以 不 分 
T44n1841_001:0155c03	別。一因三相。貫通宗喻。各證知故。散心不	別 一 因 三 相 貫 通 宗 喻 各 證 知 故 散 心 不 
T44n1841_001:0155c04	證。但隨於教。分別貫通。故緣共相。名為比	證 但 隨 於 教 分 別 貫 通 故 緣 共 相 名 為 比 
T44n1841_001:0155c05	量。設聖者心。知分別心。以因貫之。亦證相	量 設 聖 者 心 知 分 別 心 以 因 貫 之 亦 證 相 
T44n1841_001:0155c06	故。不分別故。不名緣共相。若經中自共與	故 不 分 別 故 不 名 緣 共 相 若 經 中 自 共 與 
T44n1841_001:0155c07	因明別故。不應難云比得自相現得共相。若	因 明 別 故 不 應 難 云 比 得 自 相 現 得 共 相 若 
T44n1841_001:0155c08	許得者。如何依二相。唯立二量耶。俱緣於	許 得 者 如 何 依 二 相 唯 立 二 量 耶 俱 緣 於 
T44n1841_001:0155c09	二相。二量有何別。又與經說二相何別。	二 相 二 量 有 何 別 又 與 經 說 二 相 何 別 
T44n1841_001:0155c10	釋自共相經論相違中。全未盡理。佛地經論。	釋 自 共 相 經 論 相 違 中 全 未 盡 理 佛 地 經 論 
T44n1841_001:0155c11	成唯識論。及因明等。說自共相。各少差別。且	成 唯 識 論 及 因 明 等 說 自 共 相 各 少 差 別 且 
T44n1841_001:0155c12	佛地經論所明自共。即三科等。皆名自相。	佛 地 經 論 所 明 自 共 即 三 科 等 皆 名 自 相 
T44n1841_001:0155c13	各守自性。苦無常等。名為共相。理通餘故。唯	各 守 自 性 苦 無 常 等 名 為 共 相 理 通 餘 故 唯 
T44n1841_001:0155c14	識論云。名詮自性。句詮差別。少與彼同。亦談	識 論 云 名 詮 自 性 句 詮 差 別 少 與 彼 同 亦 談 
T44n1841_001:0155c15	彼二相故。然言假智及詮。唯依諸法共相而	彼 二 相 故 然 言 假 智 及 詮 唯 依 諸 法 共 相 而 
T44n1841_001:0155c16	轉者。此約能詮不得彼體。如詮色時。以其色	轉 者 此 約 能 詮 不 得 彼 體 如 詮 色 時 以 其 色 
T44n1841_001:0155c17	言通一切色。智增彼相。不得自體。詮於此轉。	言 通 一 切 色 智 增 彼 相 不 得 自 體 詮 於 此 轉 
T44n1841_001:0155c18	名為共相。不同無常等義。貫通一切。不唯色	名 為 共 相 不 同 無 常 等 義 貫 通 一 切 不 唯 色 
T44n1841_001:0155c19	故。名為共相。即通於經所說二相。起詮之時。	故 名 為 共 相 即 通 於 經 所 說 二 相 起 詮 之 時 
T44n1841_001:0155c20	總名共相。非所詮者。即名自相。亦不同因明	總 名 共 相 非 所 詮 者 即 名 自 相 亦 不 同 因 明 
T44n1841_001:0155c21	所立共相。彼約增其諸法自體。相通自類。不	所 立 共 相 彼 約 增 其 諸 法 自 體 相 通 自 類 不 
T44n1841_001:0155c22	由他心總貫諸法。名為共相。因明論中。藉	由 他 心 總 貫 諸 法 名 為 共 相 因 明 論 中 藉 
T44n1841_001:0155c23	因三相。貫通宗喻。如縷貫花。比智方起。故理	因 三 相 貫 通 宗 喻 如 縷 貫 花 比 智 方 起 故 理 
T44n1841_001:0155c24	門云。若所比處。此相定遍於餘同類。念此定	門 云 若 所 比 處 此 相 定 遍 於 餘 同 類 念 此 定 
T44n1841_001:0155c25	有。於彼無處。念此遍無。是故。由此生決定	有 於 彼 無 處 念 此 遍 無 是 故 由 此 生 決 定 
T44n1841_001:0155c26	解。此即於彼假智及詮共相之上。更起共	解 此 即 於 彼 假 智 及 詮 共 相 之 上 更 起 共 
T44n1841_001:0155c27	相。不可說彼定即因明所說共相。不立比量。	相 不 可 說 彼 定 即 因 明 所 說 共 相 不 立 比 量 
T44n1841_001:0155c28	言不詮三相故。智緣於彼。不相通故。雖知	言 不 詮 三 相 故 智 緣 於 彼 不 相 通 故 雖 知 
T44n1841_001:0155c29	此言。及比量智。亦於增益共相上轉。意不說	此 言 及 比 量 智 亦 於 增 益 共 相 上 轉 意 不 說 
T44n1841_001:0156a01	彼。名因明中所立共相。彼不作想貫餘法	彼 名 因 明 中 所 立 共 相 彼 不 作 想 貫 餘 法 
T44n1841_001:0156a02	故。彼設通餘。各自類故。今此貫餘。通異類	故 彼 設 通 餘 各 自 類 故 今 此 貫 餘 通 異 類 
T44n1841_001:0156a03	故。宗中所立。亦通喻故。說此為共。瑜伽等	故 宗 中 所 立 亦 通 喻 故 說 此 為 共 瑜 伽 等 
T44n1841_001:0156a04	中。言自共相。因明論中。共相所攝。比量立	中 言 自 共 相 因 明 論 中 共 相 所 攝 比 量 立 
T44n1841_001:0156a05	故。然不同因。是先陳後說。自性差別攝。立我	故 然 不 同 因 是 先 陳 後 說 自性差別 攝 立 我 
T44n1841_001:0156a06	為有無。名立自相故。因明自相。亦與經別。雖	為 有 無 名 立 自 相 故 因 明 自 相 亦 與 經 別 雖 
T44n1841_001:0156a07	經自相。亦現量得。名為自相。然彼經中。自共	經 自 相 亦 現 量 得 名 為 自 相 然 彼 經 中 自 共 
T44n1841_001:0156a08	二相。俱是因明所說自相。各附法體。別別證	二 相 俱 是 因 明 所 說 自 相 各 附 法 體 別 別 證 
T44n1841_001:0156a09	故。名現量緣。如斯分別。妙符經論所說理故。	故 名 現 量 緣 如 斯 分 別 妙 符 經 論 所 說 理 故 
T44n1841_001:0156a10	此即會釋并出體訖。餘雖問答分別二相。引	此 即 會 釋 并 出 體 訖 餘 雖 問 答 分 別 二 相 引 
T44n1841_001:0156a11	三藏釋。及解二量。問答門中。所說二相。不	三 藏 釋 及 解 二 量 問 答 門 中 所 說 二 相 不 
T44n1841_001:0156a12	關因明自共二相。不能煩敘。彼略所問答。	關 因 明 自 共 二 相 不 能 煩 敘 彼 略 所 問 答 
T44n1841_001:0156a13	但於唯識。似謂增益名共相。中推求自共。	但 於 唯 識 似 謂 增 益 名 共 相 中 推 求 自 共 
T44n1841_001:0156a14	亦不異經中所說二相。披者當悉。	亦 不 異 經 中 所 說 二 相 披 者 當 悉 
T44n1841_001:0156a15	今者總攝自相差別。略有二門。一依諸經論。	今 者 總 攝 自 相 差 別 略 有 二 門 一 依 諸 經 論 
T44n1841_001:0156a16	二直據因明。且諸經論中自共二相。總有四	二 直 據 因 明 且 諸 經 論 中 自 共 二 相 總 有 四 
T44n1841_001:0156a17	對。一體義對。五蘊等法名為自性。苦無常	對 一 體 義 對 五 蘊 等 法 名 為 自 性 苦 無 常 
T44n1841_001:0156a18	等。名為差別。如佛地論等說。二總別對。汎	等 名 為 差 別 如 佛 地 論 等 說 二 總 別 對 汎 
T44n1841_001:0156a19	名為色。即是自性。如有漏色無漏色等。名為	名 為 色 即 是 自 性 如 有 漏 色 無 漏 色 等 名 為 
T44n1841_001:0156a20	差別。即前第一體之與義俱有總別。自共如	差 別 即 前 第 一 體 之 與 義 俱 有 總 別 自 共 如 
T44n1841_001:0156a21	次更無別體。即諸經論皆悉通明。三詮非詮	次 更 無 別 體 即 諸 經 論 皆 悉 通 明 三 詮 非 詮 
T44n1841_001:0156a22	對。非詮對者。名為自性。名言詮者。即名差	對 非 詮 對 者 名 為 自 性 名 言 詮 者 即 名 差 
T44n1841_001:0156a23	別。即唯識等云。諸法自性假智。及詮俱非境	別 即 唯 識 等 云 諸法自性 假 智 及 詮 俱 非 境 
T44n1841_001:0156a24	故。亦通前二。若名言詮皆名共相。非名言詮	故 亦 通 前 二 若 名 言 詮 皆 名 共 相 非 名 言 詮 
T44n1841_001:0156a25	即名自相。四名句對。名所詮者名為自相。句	即 名 自 相 四 名 句 對 名 所 詮 者 名 為 自 相 句 
T44n1841_001:0156a26	所詮名為差別。即唯識等云。名詮自性。句詮	所 詮 名 為 差 別 即 唯 識 等 云 名 詮 自 性 句 詮 
T44n1841_001:0156a27	差別。亦通初二。詮體詮總名詮自性。詮義詮	差 別 亦 通 初 二 詮 體 詮 總 名 詮 自 性 詮 義 詮 
T44n1841_001:0156a28	別名詮共相。望第三對。名及句身。並詮共相。	別 名 詮 共 相 望 第 三 對 名 及 句 身 並 詮 共 相 
T44n1841_001:0156a29	以所增相。可通於餘。非二自相。故名為共。除	以 所 增 相 可 通 於 餘 非 二 自 相 故 名 為 共 除 
T44n1841_001:0156b01	因明理攝諸說盡。若因明中所說二相亦有	因 明 理 攝 諸 說 盡 若 因 明 中 所 說 二 相 亦 有 
T44n1841_001:0156b02	四對。一體義對。即瑜伽等言。所成有二。一自	四 對 一 體 義 對 即 瑜 伽 等 言 所 成 有 二 一 自 
T44n1841_001:0156b03	性。二差別。即前第一對。二總別對。四相違是。	性 二 差 別 即 前 第 一 對 二 總 別 對 四 相 違 是 
T44n1841_001:0156b04	即前第二。且隨所爭。不過此二。據因明理。自	即 前 第 二 且 隨 所 爭 不 過 此 二 據 因 明 理 自 
T44n1841_001:0156b05	共二相。非如前說體性各定。三先陳後說對。	共 二 相 非 如 前 說 體 性 各 定 三 先 陳 後 說 對 
T44n1841_001:0156b06	即辨宗依。是通前二對。但先陳者即為自相。	即 辨 宗 依 是 通 前 二 對 但 先 陳 者 即 為 自 相 
T44n1841_001:0156b07	後說者即為差別。非定何法。即攝所成非成	後 說 者 即 為 差 別 非 定 何 法 即 攝 所 成 非 成 
T44n1841_001:0156b08	對。以所成者。名為差別。非所成者。即名自	對 以 所 成 者 名 為 差 別 非 所 成 者 即 名 自 
T44n1841_001:0156b09	相。故理門云。觀所成故。立法有法。但成於	相 故 理 門 云 觀 所 成 故 立 法 有 法 但 成 於 
T44n1841_001:0156b10	後。非成前故。四言陳意許對。即四相違因。所	後 非 成 前 故 四 言 陳 意 許 對 即 四 相 違 因 所 
T44n1841_001:0156b11	違者是。雖違有法及別義名二差別。相違之	違 者 是 雖 違 有 法 及 別 義 名 二 差 別 相 違 之 
T44n1841_001:0156b12	因然唯意許。不是言彰。如法差別。既不言彰。	因 然 唯 意 許 不 是 言 彰 如 法 差 別 既 不 言 彰 
T44n1841_001:0156b13	准知。有法差別相違。亦是意許。雖通局對。通	准 知 有法差別相違 亦 是 意 許 雖 通 局 對 通 
T44n1841_001:0156b14	名差別。局名自相。然此即前體義對攝。後說	名 差 別 局 名 自 相 然 此 即 前 體 義 對 攝 後 說 
T44n1841_001:0156b15	意許。即前總別對中別義。更無別體。問因	意 許 即 前 總 別 對 中 別 義 更 無 別 體 問 因 
T44n1841_001:0156b16	明所陳。不過經中自共二相。如何說與經義	明 所 陳 不 過 經 中 自 共 二 相 如 何 說 與 經 義 
T44n1841_001:0156b17	有別。答有三義別。一因明二相據前後說分	有 別 答 有 三 義 別 一 因 明 二 相 據 前 後 說 分 
T44n1841_001:0156b18	自共二。以後別前。非如經說。縱雖前後二相	自 共 二 以 後 別 前 非 如 經 說 縱 雖 前 後 二 相 
T44n1841_001:0156b19	恒定。談法性故。二言陳意許。設經自性。對爭	恒 定 談 法 性 故 二 言 陳 意 許 設 經 自 性 對 爭 
T44n1841_001:0156b20	意許。亦名差別。三因明二相據通局分。以後	意 許 亦 名 差 別 三 因 明 二 相 據 通 局 分 以 後 
T44n1841_001:0156b21	所說。必貫於餘。不爾。喻無非成比量。即名為	所 說 必 貫 於 餘 不 爾 喻 無 非 成 比 量 即 名 為 
T44n1841_001:0156b22	似。前所說者。不必須通。因明論意。舉喻證	似 前 所 說 者 不 必 須 通 因 明 論 意 舉 喻 證 
T44n1841_001:0156b23	宗。故須通喻。雖不通喻。亦名差別。即定是	宗 故 須 通 喻 雖 不 通 喻 亦 名 差 別 即 定 是 
T44n1841_001:0156b24	過。然體不定。經汎通辨。雖遍不遍。二相即	過 然 體 不 定 經 汎 通 辨 雖 遍 不 遍 二 相 即 
T44n1841_001:0156b25	定。故有差別。	定 故 有 差 別 
T44n1841_001:0156b26	約四無記辨二量云。如通果心。十四變化。與	約 四 無 記 辨 二 量 云 如 通 果 心 十 四 變 化 與 
T44n1841_001:0156b27	五俱者。容通現比。所餘唯比。此出何文。通果	五 俱 者 容 通 現 比 所 餘 唯 比 此 出 何 文 通 果 
T44n1841_001:0156b28	之心。為散為定。若依小乘。通果色心。可通欲	之 心 為 散 為 定 若 依 小 乘 通 果 色 心 可 通 欲 
T44n1841_001:0156b29	界。既或許欲界。即是散心。若依大乘。心色俱	界 既 或 許 欲 界 即 是 散 心 若 依 大 乘 心 色 俱 
