X57n0963_001:0122b05	北峰教義	北 峰 教 義 
X57n0963_001:0129c05	為逆名字等五若淺若深皆知皆順若初理即唯迷	為 逆 名 字 等 五 若 淺 若 深 皆 知 皆 順 若 初 理 即 唯 迷 
X57n0963_001:0129c06	唯逆從人所見事異故也四明每云迷悟體用不二	唯 逆 從 人 所 見 事 異 故 也 四 明 每 云 迷 悟 體 用 不 二 
X57n0963_001:0129c07	准例應云應知圓家六即高下但約迷悟論之不約	准 例 應 云 應 知 圓 家 六 即 高 下 但 約 迷 悟 論 之 不 約 
X57n0963_001:0129c08	事理體用說也指要云約事乃論迷解真似因果者	事 理 體 用 說 也 指 要 云 約 事 乃 論 迷 解 真 似 因 果 者 
X57n0963_001:0129c09	迷則迷兩種三千悟則悟兩種三千真則真證兩種	迷 則 迷 兩 種 三 千 悟 則 悟 兩 種 三 千 真 則 真 證 兩 種 
X57n0963_001:0129c10	三千似則似證兩種三千因則兩種三千俱因果則	三 千 似 則 似 證 兩 種 三 千 因 則 兩 種 三 千 俱 因 果 則 
X57n0963_001:0129c11	兩種三千俱在果也故荊溪云染淨既分如位須辨	兩 種 三 千 俱 在 果 也 故 荊 溪 云 染 淨 既 分 如 位 須 辨 
X57n0963_001:0129c12	而眾生有迷中事理諸佛有悟中事理焉四點會蛣	而 眾 生 有 迷 中 事 理 諸 佛 有 悟 中 事 理 焉 四 點 會 蛣 
X57n0963_001:0129c13	蜣四明妙宗示十界六即以至蛣蜣亦皆六即諸師	蜣 四 明 妙 宗 示 十 界 六 即 以 至 蛣 蜣 亦 皆 六 即 諸 師 
X57n0963_001:0129c14	異見各有章藻置而未論今之所見全同草庵錄蛣	異 見 各 有 章 藻 置 而 未 論 今 之 所 見 全 同 草 庵 錄 蛣 
X57n0963_001:0129c15	蜣一篇不能委示但陳梗槩須知四明蛣蜣六即者	蜣 一 篇 不 能 委 示 但 陳 梗 槩 須 知 四 明 蛣 蜣 六 即 者 
X57n0963_001:0129c16	以圓人修證了理具十界三千故也若唯於佛以說	以 圓 人 修 證 了 理 具 十 界 三 千 故 也 若 唯 於 佛 以 說 
X57n0963_001:0129c17	六即則不了圓具法界之全體然又須知蛣蜣六即	六 即 則 不 了 圓 具 法 界 之 全 體 然 又 須 知 蛣 蜣 六 即 
X57n0963_001:0129c18	正約事論以事全理具故事能即妙宗之文有二改	正 約 事 論 以 事 全 理 具 故 事 能 即 妙 宗 之 文 有 二 改 
X57n0963_001:0129c19	初示十界六即相二出十界六即義以論十界皆理	初 示 十 界 六 即 相 二 出 十 界 六 即 義 以 論 十 界 皆 理 
X57n0963_001:0129c20	性故也若非理具如何可即解謗之文亦然但自尋	性 故 也 若 非 理 具 如 何 可 即 解 謗 之 文 亦 然 但 自 尋 
X57n0963_001:0129c21	之當自深信正是唯心觀體之說更不多言。	之 當 自 深 信 正 是 唯 心 觀 體 之 說 更 不 多 言 
X57n0963_001:0129c22	二淨覺異見雜編有三節初分對名義謂空中之理	二 淨 覺 異 見 雜 編 有 三 節 初 分 對 名 義 謂 空 中 之 理 
X57n0963_001:0129c23	同故即也即假之事異故六也假事為能即空中之	同 故 即 也 即 假 之 事 異 故 六 也 假 事 為 能 即 空 中 之 
X57n0963_001:0129c24	理為所即評曰止觀大意云理同故即如生死即涅	理 為 所 即 評 曰 止 觀 大 意 云 理 同 故 即 如 生 死 即 涅 
X57n0963_001:0130a01	槃之流必該煩惱即菩提結業即解脫乃三道即三	槃 之 流 必 該 煩 惱 即 菩 提 結 業 即 解 脫 乃 三 道 即 三 
X57n0963_001:0130a02	德何甞專以空中之理同是所即俗諦之事異是能	德 何 甞 專 以 空 中 之 理 同 是 所 即 俗 諦 之 事 異 是 能 
X57n0963_001:0130a03	即耶二揀判即具謂即約事理體一具約體備萬德	即 耶 二 揀 判 即 具 謂 即 約 事 理 體 一 具 約 體 備 萬 德 
X57n0963_001:0130a04	評曰如此名義若在四明正宗用之甚妙若淨覺以	評 曰 如 此 名 義 若 在 四 明 正 宗 用 之 甚 妙 若 淨 覺 以 
X57n0963_001:0130a05	三諦分事理則違一家諸文不可承用評破如前三	三 諦 分 事 理 則 違 一 家 諸 文 不 可 承 用 評 破 如 前 三 
X57n0963_001:0130a06	徵辯蛣蜣先徵問他云一家明理既具三千乃至蛣	徵 辯 蛣 蜣 先 徵 問 他 云 一 家 明 理 既 具 三 千 乃 至 蛣 
X57n0963_001:0130a07	蜣蝮蠆皆須六即辯其初後是義然乎答何謂其然	蜣 蝮 蠆 皆 須 六 即 辯 其 初 後 是 義 然 乎 答 何 謂 其 然 
X57n0963_001:0130a08	乎是大不然也六即之名本為揀濫蛣蜣蝮蠆畜趣	乎 是 大 不 然 也 六 即 之 名 本 為 揀 濫 蛣 蜣 蝮 蠆 畜 趣 
X57n0963_001:0130a09	微物迷逆之號固無叨濫何用六即良為他見涅槃	微 物 迷 逆 之 號 固 無 叨 濫 何 用 六 即 良 為 他 見 涅 槃 
X57n0963_001:0130a10	四分立此六即評曰金錍云阿鼻依正全處極聖之	四 分 立 此 六 即 評 曰 金 錍 云 阿 鼻 依 正 全 處 極 聖 之 
X57n0963_001:0130a11	自心豈非四趣究竟即耶畜趣微物不明六即者圓	自 心 豈 非 四 趣 究 竟 即 耶 畜 趣 微 物 不 明 六 即 者 圓 
X57n0963_001:0130a12	觀諸法皆云六即如何消之所云四明例涅槃疏四	觀 諸 法 皆 云 六 即 如 何 消 之 所 云 四 明 例 涅 槃 疏 四 
X57n0963_001:0130a13	分立蛣蜣六即者大不然也須知涅槃疏釋列眾自	分 立 蛣 蜣 六 即 者 大 不 然 也 須 知 涅 槃 疏 釋 列 眾 自 
X57n0963_001:0130a14	云直三歸者名無分優婆塞若一若二名少分若三	云 直 三 歸 者 名 無 分 優 婆 塞 若 一 若 二 名 少 分 若 三 
X57n0963_001:0130a15	若四名多分若具持五名滿分乃至云蛣蜣蝮蠆義	若 四 名 多 分 若 具 持 五 名 滿 分 乃 至 云 蛣 蜣 蝮 蠆 義 
X57n0963_001:0130a16	復如何答夫一善法即有四分例一惡法亦復如是	復 如 何 答 夫 一 善 法 即 有 四 分 例 一 惡 法 亦復如是 
X57n0963_001:0130a17	未見明文置而不論且就權者言之小菩薩所作是	未 見 明 文 置 而 不 論 且 就 權 者 言 之 小 菩薩所作 是 
X57n0963_001:0130a18	無分蛣蜣初地初住所作是少分乃至十地十住等	無 分 蛣 蜣 初 地 初 住 所 作 是 少 分 乃 至 十 地 十 住 等 
X57n0963_001:0130a19	所作是多分如來所作是滿分是故得有權實之眾	所 作 是 多 分 如來所作 是 滿 分 是 故 得 有 權 實 之 眾 
X57n0963_001:0130a20	實召權請故稱召請(疏一十六)指歸釋曰例一惡法者暹	實 召 權 請 故 稱 召 請 疏 一 十 六 指 歸 釋 曰 例 一 惡 法 者 暹 
X57n0963_001:0130a21	記云若約惡為四分者若惡冥伏名無分一業作惡	記 云 若 約 惡 為 四 分 者 若 惡 冥 伏 名 無 分 一 業 作 惡 
X57n0963_001:0130a22	名少分二業作惡名多分三業俱作名滿分今謂疏	名 少 分 二 業 作 惡 名 多 分 三 業 俱 作 名 滿 分 今 謂 疏 
X57n0963_001:0130a23	文既約持五戒以明四分今約惡論應以破五戒為	文 既 約 持 五 戒 以 明 四 分 今 約 惡 論 應 以 破 五 戒 為 
X57n0963_001:0130a24	四分所謂五戒具持名無分惡破一名少分惡餘例	四 分 所 謂 五 戒 具 持 名 無 分 惡 破 一 名 少 分 惡 餘 例 
X57n0963_001:0130b01	可知(文)此蛣蜣對惡之四分多從權釋少出實義與	可 知 文 此 蛣 蜣 對 惡 之 四 分 多 從 權 釋 少 出 實 義 與 
X57n0963_001:0130b02	今六即據實不可會雖權可會文意亦別不必會也	今 六 即 據 實 不 可 會 雖 權 可 會 文 意 亦 別 不 必 會 也 
X57n0963_001:0130b03	妙宗不引必有深意凡百教者須考本文不可望聲	妙 宗 不 引 必 有 深 意 凡 百 教 者 須 考 本 文 不 可 望 聲 
X57n0963_001:0130b04	釋義自古紛紛之說只以本文破之。	釋 義 自 古 紛 紛 之 說 只 以 本 文 破 之 
X57n0963_001:0130b06	北峯教義卷一	北 峯 教 義 卷 一 
