T18n0850_001:0065a03	刻密軌序	刻 密 軌 序 
T18n0850_002:0082a28	　諸佛金剛灌頂儀　　汝已如法灌頂已	 諸 佛 金 剛 灌 頂 儀 汝 已 如 法 灌 頂 已 
T18n0850_002:0082a29	　為成如來體性故　　汝應受此金剛杵	 為 成 如 來 體 性 故 汝 應 受 此 金 剛 杵 
T18n0850_002:0082b01	　次應執金篦　　在　　於彼前住	 次 應 執 金 篦 在 於 彼 前 住 
T18n0850_002:0082b02	　慰喻令歡喜　　說如來伽陀	 慰 喻 令 歡 喜 說 如 來 伽 陀 
T18n0850_002:0082b03	　佛子佛為汝　　決除無智瞙	 佛 子 佛 為 汝 決 除 無 智 瞙 
T18n0850_002:0082b04	　猶如世醫王　　善用於金篦	 猶 如 世 醫 王 善 用 於 金 篦 
T18n0850_002:0082b05	　持真言行者　　復當執明鏡	 持 真 言 行 者 復 當 執 明 鏡 
T18n0850_002:0082b06	　為顯無相法　　說是妙伽陀	 為 顯 無 相 法 說 是 妙 伽 陀 
T18n0850_002:0082b07	　諸法無形像　　清澄無垢濁	 諸 法 無 形 像 清 澄 無 垢 濁 
T18n0850_002:0082b08	　無執離言說　　但從因業起	 無 執 離 言 說 但 從 因 業 起 
T18n0850_002:0082b09	　如是知此法　　自性無染污	 如 是 知 此 法 自 性 無 染 污 
T18n0850_002:0082b10	　為世無比利　　汝從佛心生	 為 世 無 比 利 汝 從 佛 心 生 
T18n0850_002:0082b11	　次當授法輪　　置於二足間	 次 當 授 法 輪 置 於 二 足 間 
T18n0850_002:0082b12	　慧手傳法螺　　復說如是偈	 慧 手 傳 法 螺 復 說 如 是 偈 
T18n0850_002:0082b13	　汝自於今日　　轉於救世輪	 汝 自 於 今 日 轉 於 救 世 輪 
T18n0850_002:0082b14	　其聲普周遍　　吹無上法螺	 其 聲 普 周 遍 吹 無 上 法 螺 
T18n0850_002:0082b15	　勿生於異慧　　當離疑悔心	 勿 生 於 異 慧 當 離 疑 悔 心 
T18n0850_002:0082b16	　開示於世間　　勝行真言道	 開 示 於 世 間 勝 行 真 言 道 
T18n0850_002:0082b17	　常作如是願　　宣唱佛恩德	 常 作 如 是 願 宣 唱 佛 恩 德 
T18n0850_002:0082b18	　一切持金剛　　皆當護念汝	 一 切 持 金 剛 皆 當 護 念 汝 
T18n0850_002:0082b19	　次當於弟子　　而起悲念心	 次 當 於 弟 子 而 起 悲 念 心 
T18n0850_002:0082b20	　行者應入中　　示三昧耶偈	 行 者 應 入 中 示 三 昧 耶 偈 
T18n0850_002:0082b21	　佛子汝從今　　不惜身命故	 佛 子 汝 從 今 不惜身命 故 
T18n0850_002:0082b22	　常不應捨法　　捨離菩提心	 常 不 應 捨 法 捨 離 菩 提 心 
T18n0850_002:0082b23	　慳悋一切法　　不利眾生行	 慳 悋 一 切 法 不 利 眾 生 行 
T18n0850_002:0082b24	　佛說三昧耶　　汝善住戒者	 佛 說 三 昧 耶 汝 善 住 戒 者 
T18n0850_002:0082b25	　如護自身命　　護戒亦如是	 如 護 自 身 命 護 戒 亦 如 是 
T18n0850_002:0082b26	　應至誠恭敬　　稽首聖尊足	 應 至 誠 恭 敬 稽 首 聖 尊 足 
T18n0850_002:0082b27	　所作隨教行　　勿生疑慮心	 所 作 隨 教 行 勿 生 疑 慮 心 
T18n0850_003:0082c02	攝大毘盧遮那成佛神變加持經	攝 大 毘 盧 遮 那 成 佛 神 變 加 持 經 
T18n0850_003:0082c03	大悲胎藏轉字輪成三藐三佛陀	大 悲 胎 藏 轉 字 輪 成 三藐三佛陀 
T18n0850_003:0082c04	入八祕密六月成就儀軌卷第	入 八 祕 密 六 月 成 就 儀 軌 卷 第 
T18n0850_003:0082c05	三	三 
T18n0850_003:0082c07	　爾時婆誐鑁　　毘盧遮那佛	 爾 時 婆 誐 鑁 毘 盧 遮 那 佛 
T18n0850_003:0082c08	　告持金剛手　　佛子志心聽	 告 持 金 剛 手 佛 子 志 心 聽 
T18n0850_003:0082c09	　種子曼荼羅　　先觀阿字門	 種 子 曼 荼 羅 先 觀 阿 字 門 
T18n0850_003:0082c10	　轉生於嚩字　　乃至一切字	 轉 生 於 嚩 字 乃 至 一 切 字 
T18n0850_003:0082c11	　而成曼荼羅　　印契曼荼羅	 而 成 曼 荼 羅 印 契 曼 荼 羅 
T18n0850_003:0082c12	　轉此成幖幟　　餘相廣如經	 轉 此 成 幖 幟 餘 相 廣 如 經 
T18n0850_003:0082c13	　寶冠舉手印　　住於字門者	 寶 冠 舉 手 印 住 於 字 門 者 
T18n0850_003:0082c14	　事業速成就	 事 業 速 成 就 
T18n0850_003:0082c15	（一七八）曩莫三滿多沒駄喃阿(上短)曩莫三	 一 七 八 曩 莫 三 滿 多 沒 駄 喃 阿 上 短 曩 莫 三 
T18n0850_003:0082c16	滿多沒馱喃娑(上短)曩莫三滿多嚩日羅(二合)	滿 多 沒 馱 喃 娑 上 短 曩 莫 三 滿 多 嚩 日 羅 二 合 
T18n0850_003:0082c17	赧嚩(上短)迦(上)佉誐伽左瑳惹酇吒姹拏荼	赧 嚩 上 短 迦 上 佉 誐 伽 左 瑳 惹 酇 吒 姹 拏 荼 
T18n0850_003:0082c18	跢他娜馱跛頗麼婆野囉攞嚩捨灑娑賀	跢 他 娜 馱 跛 頗 麼 婆 野 囉 攞 嚩 捨 灑 娑 賀 
T18n0850_003:0082c19	乞叉(二合右此一轉皆上聲短呼)	乞 叉 二 合 右 此 一 轉 皆 上 聲 短 呼 
T18n0850_003:0082c20	　歸命同前	 歸 命 同 前 
T18n0850_003:0082c21	（一七九）阿(引長)娑(引)嚩(引)迦(引)佉誐(引)伽左	 一 七 九 阿 引 長 娑 引 嚩 引 迦 引 佉 誐 引 伽 左 
T18n0850_003:0082c22	(引)瑳(引)惹(引)酇吒(引)姹(引)拏(引)荼跢(引)他(引)娜(引)	 引 瑳 引 惹 引 酇 吒 引 姹 引 拏 引 荼 跢 引 他 引 娜 引 
T18n0850_003:0082c23	馱跛(引)頗麼婆野(引)囉(引)攞(引)嚩(引)捨(引)灑(引)	馱 跛 引 頗 麼 婆 野 引 囉 引 攞 引 嚩 引 捨 引 灑 引 
T18n0850_003:0082c24	娑(引)賀乞叉(二合引右此一轉皆是去聲)	娑 引 賀 乞 叉 二 合 引 右 此 一 轉 皆 是 去 聲 
T18n0850_003:0083a01	　歸命同前	 歸 命 同 前 
T18n0850_003:0083a02	（一八〇）暗(上)糝(上)鑁劍(上)欠(上)儼(上)紺(上)占	 一 八 〇 暗 上 糝 上 鑁 劍 上 欠 上 儼 上 紺 上 占 
T18n0850_003:0083a03	(上)[示*詹](上)染(上)摲鵮(上)[啗口+申]喃(上)喃(上)湛(上)擔(上)	 上 [示詹]上染上摲鵮上[啗口申] 喃 上 喃 上 湛 上 擔 上 
T18n0850_003:0083a04	探(上)淡布含(二合上)普含(反上)暮含(反上)補含(反	探 上 淡 布 含 二 合 上 普 含 反 上 暮 含 反 上 補 含 反 
T18n0850_003:0083a05	上)焰(上)囕(上)藍(上)鑁(上)苫(上)釤(上)參(上)唅(上)吃釤	上 焰 上 囕 上 藍 上 鑁 上 苫 上 釤 上 參 上 唅 上 吃 釤 
T18n0850_003:0083a06	(二合其此載第二轉聲)	 二 合 其 此 載 第 二 轉 聲 
T18n0850_003:0083a07	　歸命同前	 歸 命 同 前 
T18n0850_003:0083a08	（一八一）惡(入)索(入)嚩(入)脚却虐(入)伽(入)作(入)錯(入)	 一 八 一 惡 入 索 入 嚩 入 脚 却 虐 入 伽 入 作 入 錯 入 
T18n0850_003:0083a09	[口*弱](入)鈼(入)知角(反入)坼角(反入)搦(入)擇(入)[口*怛](入)託	[口弱]入鈼入知角反入坼角反入搦入擇入[口怛] 入 託 
T18n0850_003:0083a10	(入)諾(入)鐸(入)博(入)泊(入)漠(入)薄(入)藥(入)[口*洛](入)[口*落](入)	 入 諾 入 鐸 入 博 入 泊 入 漠 入 薄 入 藥 入 [口洛]入[口落] 入 
T18n0850_003:0083a11	縛鑠(入)嗦(入)索(入)矐(入)吃索(二合此轉皆轉音入聲戴呼之)	縛 鑠 入 嗦 入 索 入 矐 入 吃 索 二 合 此 轉 皆 轉 音 入 聲 戴 呼 之 
T18n0850_003:0083a12	（一八二）伊縊塢烏哩里[口*狸]狸曀愛污奧(菩提心真言下同)	 一 八 二 伊 縊 塢 烏 哩 里 [口狸] 狸 曀 愛 污 奧 菩 提 心 真 言 下 同 
T18n0850_003:0083a13	（一八三）仰孃拏曩莽(發行真言)[口*昂]穰儜曩忙(補闕真言)	 一 八 三 仰 孃 拏 曩 莽 發 行 真 言 [口昂] 穰 儜 曩 忙 補 闕 真 言 
T18n0850_003:0083a14	唅髯喃南鑁(涅槃真言)噱弱搦諾莫	唅 髯 喃 南 鑁 涅 槃 真 言 噱 弱 搦 諾 莫 
T18n0850_003:0083a15	　祕密主當知　　從初迦字輪	 祕 密 主 當 知 從 初 迦 字 輪 
T18n0850_003:0083a16	　轉生十二轉　　乃至吃叉字	 轉 生 十 二 轉 乃 至 吃 叉 字 
T18n0850_003:0083a17	　悉成法界體　　此等三昧道	 悉 成 法 界 體 此 等 三 昧 道 
T18n0850_003:0083a18	　若住佛世尊　　菩薩救世者	 若 住 佛 世 尊 菩 薩 救 世 者 
T18n0850_003:0083a19	　緣覺聲聞說　　摧害於諸過	 緣 覺 聲 聞 說 摧 害 於 諸 過 
T18n0850_003:0083a20	　若諸天世人　　真言法教道	 若 諸 天 世 人 真 言 法 教 道 
T18n0850_003:0083a21	　如是勤勇者　　為利眾生故	 如 是 勤 勇 者 為 利 眾 生 故 
T18n0850_003:0083a22	　等正覺真言　　言名成立相	 等 正 覺 真 言 言 名 成 立 相 
T18n0850_003:0083a23	　如因陀羅宗　　諸義利成就	 如 因 陀 羅 宗 諸 義 利 成 就 
T18n0850_003:0083a24	　有增加法句　　本名行相應	 有 增 加 法 句 本 名 行 相 應 
T18n0850_003:0083a25	　若唵字吽字　　及與發磔迦	 若 唵 字 吽 字 及 與 發 磔 迦 
T18n0850_003:0083a26	　或頡利媲等　　是佛頂名號	 或 頡 利 媲 等 是 佛 頂 名 號 
T18n0850_003:0083a27	　若揭[口*栗]佷拏　　佉陀耶畔闍	 若 揭 [口栗] 佷 拏 佉 陀 耶 畔 闍 
T18n0850_003:0083a28	　訶娜摩羅也　　鉢吒也等類	 訶 娜 摩 羅 也 鉢 吒 也 等 類 
T18n0850_003:0083a29	　是奉教使者　　諸忿怒真言	 是 奉 教 使 者 諸 忿 怒 真 言 
T18n0850_003:0083b01	　若有納摩字　　及莎嚩訶字	 若 有 納 摩 字 及 莎 嚩 訶 字 
T18n0850_003:0083b02	　是修三摩地　　寂行者幖相	 是 修 三 摩 地 寂 行 者 幖 相 
T18n0850_003:0083b03	　若有扇多字　　尾戍馱字等	 若 有 扇 多 字 尾 戍 馱 字 等 
T18n0850_003:0083b04	　當知能滿足　　一切所希願	 當 知 能 滿 足 一 切 所 希 願 
T18n0850_003:0083b05	　此正覺佛子　　救世者真言	 此 正 覺 佛 子 救 世 者 真 言 
T18n0850_003:0083b06	　若聲聞所說　　一一句安布	 若 聲 聞 所 說 一 一 句 安 布 
T18n0850_003:0083b07	　是中辟支佛　　復有少差別	 是 中 辟 支 佛 復 有 少 差 別 
T18n0850_003:0083b08	　謂三昧分異　　淨除於業生	 謂 三 昧 分 異 淨 除 於 業 生 
T18n0850_003:0083b09	復次祕密主。如來無量百千俱胝那庾多劫。	復 次 祕 密 主 如 來 無 量 百 千 俱 胝 那 庾 多 劫 
T18n0850_003:0083b10	積集修行真實諦語四聖諦四念處四神足十	積 集 修 行 真 實 諦 語 四 聖 諦 四 念 處 四 神 足 十 
T18n0850_003:0083b11	如來力六波羅蜜七菩提寶四梵住十八佛不	如 來 力 六波羅蜜 七菩提寶 四 梵 住 十 八 佛 不 
T18n0850_003:0083b12	共法。以要言之。自願智力一切法界加持	共 法 以要言之 自 願 智 力 一 切 法界加持 
T18n0850_003:0083b13	力。隨順眾生如其種類。開示真言教法。謂	力 隨 順 眾 生 如 其 種 類 開 示 真 言 教 法 謂 
T18n0850_003:0083b14	 阿字門一切諸法本不生故。 迦字門一	 阿 字 門 一切諸法 本 不 生 故 迦 字 門 一 
T18n0850_003:0083b15	切諸法離作業故。 佉字門一切諸法等虛	切 諸 法 離 作 業 故 佉 字 門 一切諸法 等 虛 
T18n0850_003:0083b16	空不可得故。 哦字門一切諸法行不可得	空 不 可 得 故 哦 字 門 一切諸法 行 不 可 得 
T18n0850_003:0083b17	故。 伽字門一切諸法一合相不可得故。 	故 伽 字 門 一切諸法 一 合 相 不 可 得 故 
T18n0850_003:0083b18	遮字門一切諸法離一切遷變故。 車字門	遮 字 門 一切諸法 離 一 切 遷 變 故 車 字 門 
T18n0850_003:0083b19	一切諸法影像不可得故。 惹字門一切諸法	一切諸法 影 像 不 可 得 故 惹 字 門 一切諸法 
T18n0850_003:0083b20	生不可得故。 社字門一切諸法戰敵不可	生 不 可 得 故 社 字 門 一切諸法 戰 敵 不 可 
T18n0850_003:0083b21	得故。 吒字門一切諸法慢不可得故。 姹	得 故 吒 字 門 一切諸法 慢 不 可 得 故 姹 
T18n0850_003:0083b22	字門一切諸法長養不可得故。 拏字門一	字 門 一切諸法 長 養 不 可 得 故 拏 字 門 一 
T18n0850_003:0083b23	切諸法怨對不可得故。 荼字門一切諸法	切 諸 法 怨 對 不 可 得 故 荼 字 門 一切諸法 
T18n0850_003:0083b24	執持不可得故。 多字門一切諸法如如不	執 持 不 可 得 故 多 字 門 一切諸法 如 如 不 
T18n0850_003:0083b25	可得故。 他字門一切諸法住處不可得故。	可 得 故 他 字 門 一切諸法 住 處 不 可 得 故 
T18n0850_003:0083b26	 娜字門一切諸法施不可得故。 馱字門	 娜 字 門 一切諸法 施 不 可 得 故 馱 字 門 
T18n0850_003:0083b27	一切諸法法界不可得故。 波字門一切諸	一切諸法 法 界 不 可 得 故 波 字 門 一 切 諸 
T18n0850_003:0083b28	法第一義諦不可得故。 頗字門一切諸法	法 第一義諦 不 可 得 故 頗 字 門 一切諸法 
T18n0850_003:0083b29	不堅如聚沫故。 麼字門一切諸法縛不可	不 堅 如 聚 沫 故 麼 字 門 一切諸法 縛 不 可 
T18n0850_003:0083c01	得故。 婆字門一切諸法有不可得故。 	得 故 婆 字 門 一切諸法 有 不 可 得 故 
T18n0850_003:0083c02	野字門一切諸法一切乘不可得故。 囉字	野 字 門 一切諸法 一 切 乘 不 可 得 故 囉 字 
T18n0850_003:0083c03	門一切諸法離一切諸塵故。 攞字門一切	門 一切諸法 離 一 切 諸 塵 故 攞 字 門 一 切 
T18n0850_003:0083c04	諸法一切相不可得故。 嚩字門一切諸法	諸 法 一 切 相 不 可 得 故 嚩 字 門 一切諸法 
T18n0850_003:0083c05	語言道斷故。 捨字門一切諸法本性寂故。	語 言 道 斷 故 捨 字 門 一切諸法 本 性 寂 故 
T18n0850_003:0083c06	 沙字門一切諸法性鈍故。 娑字門一切	 沙 字 門 一切諸法 性 鈍 故 娑 字 門 一 切 
T18n0850_003:0083c07	諸法一切諦不可得故。 訶字門一切諸法	諸 法 一 切 諦 不 可 得 故 訶 字 門 一切諸法 
T18n0850_003:0083c08	因不可得故。 吃叉(二合)字門一切諸法無有	因 不 可 得 故 吃 叉 二 合 字 門 一切諸法 無 有 
T18n0850_003:0083c09	盡故。 仰 惹 拏 那 麼等句。於一切	盡 故 仰 惹 拏 那 麼 等 句 於 一 切 
T18n0850_003:0083c10	三昧自在。速能成辦諸事業義利。得具如來	三昧自在 速 能 成 辦 諸 事 業 義 利 得 具 如 來 
T18n0850_003:0083c11	十號。如大日尊而轉法輪。品類相入常照世	十 號 如 大 日 尊 而 轉 法 輪 品 類 相 入 常 照 世 
T18n0850_003:0083c12	間。十號具足伽陀曰。	間 十 號 具 足 伽 陀 曰 
T18n0850_003:0083c13	（一八四）薩嚩怛他蘖妬(一)囉賀帝(二)三藐三母	 一 八 四 薩 嚩 怛 他 蘖 妬 一 囉 賀 帝 二 三 藐 三 母 
T18n0850_003:0083c14	馱(三)尾儞也(二合)左囉拏三波曩(四)蘇(上)誐姤	馱 三 尾 儞 也 二 合 左 囉 拏 三 波 曩 四 蘇 上 誐 姤 
T18n0850_003:0083c15	[口*路]迦尾(五)婀拏怛囉(二合)補嚕灑娜弭野(六)娑	[口路] 迦 尾 五 婀 拏 怛 囉 二 合 補 嚕 灑 娜 弭 野 六 娑 
T18n0850_003:0083c16	囉體(他以反)舍娑多(七)禰嚩難惹麼弩史野南	囉 體 他 以 反 舍 娑 多 七 禰 嚩 難 惹 麼 弩 史 野 南 
T18n0850_003:0083c17	惹(八)母馱(九)婆誐鑁(十)	惹 八 母 馱 九 婆 誐 鑁 十 
T18n0850_003:0083c18	爾時大日尊住降伏四魔金剛戲三昧說降伏	爾 時 大 日 尊 住 降 伏 四 魔 金 剛 戲 三 昧 說 降 伏 
T18n0850_003:0083c19	四魔解脫彼六趣滿足一切智智金剛字句真	四 魔 解 脫 彼 六 趣 滿 足 一切智智 金 剛 字 句 真 
T18n0850_003:0083c20	言曰(普通印)。	言 曰 普 通 印 
T18n0850_003:0083c21	（一八五）曩莫三滿多沒馱喃阿尾囉吽欠	 一 八 五 曩 莫 三 滿 多 沒 馱 喃 阿 尾 囉 吽 欠 
T18n0850_003:0083c22	　真言者圓壇　　先置於自體	 真 言 者 圓 壇 先 置 於 自 體 
T18n0850_003:0083c23	　自足而至臍　　成大金剛輪	 自 足 而 至 臍 成 大 金 剛 輪 
T18n0850_003:0083c24	　從此而至心　　當思惟水輪	 從 此 而 至 心 當 思 惟 水 輪 
T18n0850_003:0084a01	　水輪上火輪　　火輪上風輪	 水 輪 上 火 輪 火 輪 上 風 輪 
T18n0850_003:0084a02	　次應念持地　　而圖眾形像	 次 應 念 持 地 而 圖 眾 形 像 
T18n0850_003:0084a03	　廣如世間品　　真言修行者	 廣 如 世 間 品 真 言 修 行 者 
T18n0850_003:0084a04	　遍斂修多羅	 遍 斂 修 多 羅 
T18n0850_003:0084a05	爾時金剛手。昇於大日尊身語意地。法平等	爾 時 金 剛 手 昇 於 大 日 尊 身 語 意 地 法 平 等 
T18n0850_003:0084a06	觀察彼未來諸眾生。說大真言王羯磨印口	觀 察 彼 未 來 諸 眾 生 說 大 真 言 王 羯 磨 印 口 
T18n0850_003:0084a07	授。真言曰。	授 真 言 曰 
T18n0850_003:0084a08	（一八六）曩莫三滿多沒馱喃(一)阿三麼波多(二	 一 八 六 曩 莫 三 滿 多 沒 馱 喃 一 阿 三 麼 波 多 二 
T18n0850_003:0084a09	合)達磨馱覩(二)誐底孕(二合)誐多南(三)薩嚩	合 達 磨 馱 覩 二 誐 底 孕 二 合 誐 多 南 三 薩 嚩 
T18n0850_003:0084a10	他(引)(四)暗(引)欠暗惡(五)糝索(六)唅鶴(七)[口*藍][口*落](八)鑁	他 引 四 暗 引 欠 暗 惡 五 糝 索 六 唅 鶴 七 [口藍][口落] 八 鑁 
T18n0850_003:0084a11	嚩(急呼之九)娑嚩(二合)賀(引十心真言)吽[口*藍][口*落]賀羅(二合)	嚩 急 呼 之 九 娑 嚩 二 合 賀 引 十 心 真 言 吽 [口藍][口落] 賀 羅 二 合 
T18n0850_003:0084a12	鶴娑嚩(二合)賀(十一心中心)[口*藍][口*落]娑嚩(二合)賀(引)(十二)	鶴 娑 嚩 二 合 賀 十 一 心 中 心 [口藍][口落] 娑 嚩 二 合 賀 引 十 二 
T18n0850_003:0084a13	　纔說真言已　　一切諸如來	 纔 說 真 言 已 一切諸如來 
T18n0850_003:0084a14	　往於十方界　　各舒右手臂	 往 於 十 方 界 各 舒 右 手 臂 
T18n0850_003:0084a15	　摩頂稱善哉　　佛子汝今已	 摩 頂 稱 善 哉 佛 子 汝 今 已 
T18n0850_003:0084a16	　超昇大日尊　　身語意地行	 超 昇 大 日 尊 身 語 意 地 行 
T18n0850_003:0084a17	　說此真言王　　何以故佛子	 說 此 真 言 王 何 以 故 佛 子 
T18n0850_003:0084a18	　毘盧遮那佛　　應正等覺者	 毘 盧 遮 那 佛 應正等覺 者 
T18n0850_003:0084a19	　本坐菩提座　　觀十二句法	 本 坐菩提座 觀 十 二 句 法 
T18n0850_003:0084a20	　降伏於四魔　　於此法界生	 降 伏 於 四 魔 於 此 法 界 生 
T18n0850_003:0084a21	　三處流出句　　破壞天魔軍	 三 處 流 出 句 破 壞 天 魔 軍 
T18n0850_003:0084a22	　逮得無邊智　　自在而說法	 逮 得 無 邊 智 自 在 而 說 法 
T18n0850_003:0084a23	　汝今亦如是　　同於正遍知	 汝 今 亦 如 是 同 於 正 遍 知 
T18n0850_003:0084a24	　為眾所知識　　汝問一切智	 為 眾 所 知 識 汝 問 一 切 智 
T18n0850_003:0084a25	　大日正覺尊　　最勝真言行	 大 日 正 覺 尊 最 勝 真 言 行 
T18n0850_003:0084a26	　當演說法教　　我往昔由是	 當 演 說 法 教 我 往 昔 由 是 
T18n0850_003:0084a27	　發覺妙菩提　　開示一切法	 發 覺 妙 菩 提 開 示 一 切 法 
T18n0850_003:0084a28	　令至於滅度　　現在十方界	 令 至 於 滅 度 現 在 十 方 界 
T18n0850_003:0084a29	　諸佛咸證知　　爾時金剛手	 諸 佛 咸 證 知 爾 時 金 剛 手 
T18n0850_003:0084b01	　請問大日尊　　決定聖天位	 請 問 大 日 尊 決 定 聖 天 位 
T18n0850_003:0084b02	　祕密曼荼羅　　唯願婆誐鑁	 祕 密 曼 荼 羅 唯 願 婆 誐 鑁 
T18n0850_003:0084b03	　為我廣開演　　說是伽陀已	 為 我 廣 開 演 說 是 伽 陀 已 
T18n0850_003:0084b04	爾時大日世尊。入于等至三昧。觀未來世諸	爾 時 大 日 世 尊 入 于 等 至 三 昧 觀 未 來 世 諸 
T18n0850_003:0084b05	眾生故安住定中。即時國土地平如掌。五	眾 生 故 安 住 定 中 即 時 國 土 地 平 如 掌 五 
T18n0850_003:0084b06	寶間錯懸大寶蓋莊嚴門標。眾色流蘇其相	寶 間 錯 懸 大 寶 蓋 莊 嚴 門 標 眾 色 流 蘇 其 相 
T18n0850_003:0084b07	長廣。寶鈴白拂名衣幡珮。綺絢垂布而校	長 廣 寶 鈴 白 拂 名 衣 幡 珮 綺 絢 垂 布 而 校 
T18n0850_003:0084b08	飾之。於八方隅建摩尼幢。八功德水芬馥	飾 之 於 八 方 隅 建 摩 尼 幢 八功德水 芬 馥 
T18n0850_003:0084b09	盈滿。無量眾鳥鴛鴦鵝鵠出和雅音。種種	盈 滿 無 量 眾 鳥 鴛 鴦 鵝 鵠 出 和 雅 音 種 種 
T18n0850_003:0084b10	浴池時華雜樹。敷榮間列芳茂嚴好。八方合	浴 池 時 華 雜 樹 敷 榮 間 列 芳 茂 嚴 好 八 方 合 
T18n0850_003:0084b11	繫五寶瓔繩。其地柔耎猶如綿纊。觸踐之者	繫 五 寶 瓔 繩 其 地 柔 耎 猶 如 綿 纊 觸 踐 之 者 
T18n0850_003:0084b12	皆受快樂。無量樂器自然諧韻。其聲微妙人	皆 受 快 樂 無 量 樂 器 自 然 諧 韻 其 聲 微 妙 人 
T18n0850_003:0084b13	所樂聞。無量菩薩隨福所感。宮室殿堂意生	所 樂 聞 無 量 菩 薩 隨 福 所 感 宮 室 殿 堂 意 生 
T18n0850_003:0084b14	之座。如來信解願力所生。法界幖幟大蓮華	之 座 如 來 信 解 願 力 所 生 法 界 幖 幟 大 蓮 華 
T18n0850_003:0084b15	王出現。如來法界性身安住其中。隨諸眾生	王 出 現 如來法界 性 身 安 住 其 中 隨 諸 眾 生 
T18n0850_003:0084b16	種種性欲令得歡喜。時彼如來一切支分無	種 種 性 欲 令得歡喜 時 彼 如 來 一 切 支 分 無 
T18n0850_003:0084b17	障閡力。從十智力信解所生。無量形色莊嚴	障 閡 力 從 十 智 力 信 解 所 生 無 量 形 色 莊 嚴 
T18n0850_003:0084b18	之相。無數百千俱胝那由他劫。布施持戒忍	之 相 無 數 百 千 俱 胝 那 由 他 劫 布 施 持 戒 忍 
T18n0850_003:0084b19	辱精進禪定智慧。諸度功德所資長身即時	辱 精 進 禪 定 智 慧 諸 度 功 德 所 資 長 身 即 時 
T18n0850_003:0084b20	出現。彼出現已。於諸世界大眾會中。發大音	出 現 彼 出 現 已 於 諸 世 界 大 眾 會 中 發 大 音 
T18n0850_003:0084b21	聲而說偈曰。	聲 而 說 偈 曰 
T18n0850_003:0084b22	　諸佛甚奇特　　權智不思議	 諸 佛 甚 奇 特 權 智 不 思 議 
T18n0850_003:0084b23	　無阿賴耶慧　　含藏說諸法	 無 阿 賴 耶 慧 含 藏 說 諸 法 
T18n0850_003:0084b24	　若解無所得　　諸法之法相	 若 解 無 所 得 諸 法 之 法 相 
T18n0850_003:0084b25	　彼無得而得　　得諸佛導師	 彼 無 得 而 得 得 諸 佛 導 師 
T18n0850_003:0084b26	說如是音聲已。還入如來不思議法性身。即	說 如 是 音 聲 已 還 入 如 來 不 思 議 法 性 身 即 
T18n0850_003:0084b27	時世尊告執金剛祕密主言。善男子聽內心	時 世 尊 告 執 金 剛 祕 密 主 言 善 男 子 聽 內 心 
T18n0850_003:0084b28	漫荼羅。彼身地即是法界自性。真言密印	漫 荼 羅 彼 身 地 即 是 法 界 自 性 真 言 密 印 
T18n0850_003:0084b29	加持。而加持之本性清淨。羯磨金剛所護	加 持 而 加 持 之 本 性 清 淨 羯磨金剛 所 護 
T18n0850_003:0084c01	持故。淨除一切塵垢。我人眾生壽者。意生儒	持 故 淨 除 一 切 塵 垢 我 人 眾 生 壽 者 意 生 儒 
T18n0850_003:0084c02	童株杌過患。方壇四門西向通達。周旋界道。	童 株 杌 過 患 方 壇 四 門 西 向 通 達 周 旋 界 道 
T18n0850_003:0084c03	內現意生八葉華王。抽莖敷蘂綵絢端妙。其	內 現 意 生 八 葉 華 王 抽 莖 敷 蘂 綵 絢 端 妙 其 
T18n0850_003:0084c04	中如來一切世間最尊特身。超身語意至於	中 如 來 一切世間 最 尊 特 身 超 身 語 意 至 於 
T18n0850_003:0084c05	心地。逮得殊勝悅意之果。於彼東方寶幢如	心 地 逮 得 殊 勝 悅 意 之 果 於 彼 東 方 寶 幢 如 
T18n0850_003:0084c06	來。南方開敷華王如來。彼西方無量壽如	來 南 方 開敷華王如來 彼 西 方 無 量 壽 如 
T18n0850_003:0084c07	來。於彼北方鼓音如來。彼東南方普賢菩	來 於 彼 北 方 鼓 音 如 來 彼 東 南 方 普 賢 菩 
T18n0850_003:0084c08	薩。東北方觀自在菩薩。西南方妙吉祥童子。	薩 東 北 方 觀 自 在 菩 薩 西 南 方 妙 吉 祥 童 子 
T18n0850_003:0084c09	彼西北方慈氏菩薩。一切蘂中佛菩薩母。六	彼 西 北 方 慈 氏 菩 薩 一 切 蘂 中 佛 菩 薩 母 六 
T18n0850_003:0084c10	波羅蜜三昧眷屬而自莊嚴。下列持明諸忿	波 羅 蜜 三 昧 眷 屬 而 自 莊 嚴 下 列 持 明 諸 忿 
T18n0850_003:0084c11	怒眾。持金剛手密主菩薩以為其莖。處于無	怒 眾 持 金 剛 手 密 主 菩 薩 以 為 其 莖 處 于 無 
T18n0850_003:0084c12	盡大海之中。地居天等其數無量而環繞之。	盡 大 海 之 中 地 居 天 等 其 數 無 量 而 環 繞 之 
T18n0850_003:0084c13	爾時行者為成三昧耶故。應以意生香華燈	爾 時 行 者 為 成 三 昧 耶 故 應 以 意 生 香 華 燈 
T18n0850_003:0084c14	明塗香種種餚饍而供養之。即說伽陀曰。	明 塗 香 種 種 餚 饍 而 供 養 之 即 說 伽 陀 曰 
T18n0850_003:0084c15	　真言者誠諦　　圖畫曼荼羅	 真 言 者 誠 諦 圖 畫 曼 荼 羅 
