T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_009:0576a13	三菩提去我近。』何以故？般若波羅蜜無分別	三 菩 提 去 我 近 何 以 故 般 若 波 羅 蜜 無 分 別 
T08n0227_009:0576a14	故。「世尊！如如來所化人，隨事能作，而無分別。	故 世 尊 如 如 來 所 化 人 隨 事 能 作 而 無 分 別 
T08n0227_009:0576a15	世尊！般若波羅蜜亦如是，隨所修習，皆能成	世 尊 般 若 波 羅 蜜 亦 如 是 隨 所 修 習 皆 能 成 
T08n0227_009:0576a16	辦，而無所分別。世尊！譬如工匠，於機關木	辦 而 無所分別 世 尊 譬 如 工 匠 於 機 關 木 
T08n0227_009:0576a17	人，若男若女，隨所為事，皆能成辦，而無分別。	人 若 男 若 女 隨 所 為 事 皆 能 成 辦 而 無 分 別 
T08n0227_009:0576a18	世尊！般若波羅蜜亦如是，隨所修習，皆能	世 尊 般 若 波 羅 蜜 亦 如 是 隨 所 修 習 皆 能 
T08n0227_009:0576a19	成辦，而無分別。」須菩提白佛言：「世尊！菩薩行	成 辦 而 無 分 別 須 菩 提 白 佛 言 世 尊 菩 薩 行 
T08n0227_009:0576a20	般若波羅蜜，即是行堅固義。」佛告須菩提：「菩	般 若 波 羅 蜜 即 是 行 堅 固 義 佛 告 須 菩 提 菩 
T08n0227_009:0576a21	薩行般若波羅蜜，即是行堅固義。」爾時欲界	薩 行 般 若 波 羅 蜜 即 是 行 堅 固 義 爾 時 欲 界 
T08n0227_009:0576a22	諸天子作是念：「若人發阿耨多羅三藐三菩	諸 天 子 作 是 念 若 人 發 阿 耨 多 羅 三 藐 三 菩 
T08n0227_009:0576a23	提心，能行如是深般若波羅蜜，而不證實際，	提 心 能 行 如 是 深 般 若 波 羅 蜜 而 不 證 實 際 
T08n0227_009:0576a24	墮聲聞地、若辟支佛地，當知是菩薩所為甚	墮 聲 聞 地 若 辟支佛地 當 知 是 菩 薩 所 為 甚 
T08n0227_009:0576a25	難，一切世間所應敬禮。」須菩提語諸天子：「菩	難 一切世間 所 應 敬 禮 須 菩 提 語 諸 天 子 菩 
T08n0227_009:0576a26	薩行深般若波羅蜜，而不取證，不足為難。若	薩 行 深 般 若 波 羅 蜜 而 不 取 證 不 足 為 難 若 
T08n0227_009:0576a27	菩薩為無量無邊眾生故，發大莊嚴，而眾生	菩 薩 為 無量無邊 眾 生 故 發 大 莊 嚴 而 眾 生 
T08n0227_009:0576a28	畢竟不可得，所可度者不可得，而能發心：我	畢 竟 不 可 得 所 可 度 者 不 可 得 而 能 發 心 我 
T08n0227_009:0576a29	當度之。爾乃為難。諸天子！是人欲度眾生，為	當 度 之 爾 乃 為 難 諸 天 子 是 人 欲 度 眾 生 為 
T08n0227_009:0576b01	欲度虛空。何以故？虛空離故，眾生亦離。是故	欲 度 虛 空 何 以 故 虛 空 離 故 眾 生 亦 離 是 故 
T08n0227_009:0576b02	當知是菩薩所為甚難，無眾生而為眾生，發	當 知 是 菩 薩 所 為 甚 難 無 眾 生 而 為 眾 生 發 
T08n0227_009:0576b03	大莊嚴。如人與虛空共鬪。佛說眾生不可得，	大 莊 嚴 如 人 與 虛 空 共 鬪 佛 說 眾 生 不 可 得 
T08n0227_009:0576b04	眾生離故，可度者亦離；眾生離故，色亦離；	眾 生 離 故 可 度 者 亦 離 眾 生 離 故 色 亦 離 
T08n0227_009:0576b05	眾生離故，受、想、行、識亦離；眾生離故，一切法	眾 生 離 故 受 想 行 識 亦 離 眾 生 離 故 一 切 法 
T08n0227_009:0576b06	亦離。若菩薩聞如是說，不驚不怖，不沒不退，	亦 離 若 菩 薩 聞 如 是 說 不驚不怖 不沒不退 
T08n0227_009:0576b07	當知是為行般若波羅蜜。」佛問須菩提：「菩薩	當 知 是 為 行 般 若 波 羅 蜜 佛 問 須 菩 提 菩 薩 
T08n0227_009:0576b08	何因緣故，不驚不怖，不沒不退。」「世尊！空故，不	何 因 緣 故 不驚不怖 不沒不退 世 尊 空 故 不 
T08n0227_009:0576b09	沒；無所有故，不沒。何以故？沒者，不可得；沒法，	沒 無 所 有 故 不 沒 何 以 故 沒 者 不 可 得 沒 法 
T08n0227_009:0576b10	亦不可得；沒處，亦不可得。若菩薩聞如是說，	亦 不 可 得 沒 處 亦 不 可 得 若 菩 薩 聞 如 是 說 
T08n0227_009:0576b11	不驚不怖，不沒不退，當知是為行般若波羅	不驚不怖 不沒不退 當 知 是 為 行 般 若 波 羅 
T08n0227_009:0576b12	蜜。」「須菩提！菩薩如是行般若波羅蜜，釋提桓	蜜 須 菩 提 菩 薩 如 是 行 般 若 波 羅 蜜 釋 提 桓 
T08n0227_009:0576b13	因與梵天王、眾生主自在天王，及諸天子，皆	因 與 梵 天 王 眾 生 主 自 在 天 王 及 諸 天 子 皆 
T08n0227_009:0576b14	共敬禮。須菩提！不但釋提桓因、梵天王、眾生	共 敬 禮 須 菩 提 不 但 釋提桓因 梵 天 王 眾 生 
T08n0227_009:0576b15	主自在天王，及諸天子敬禮是行般若波羅蜜	主 自 在 天 王 及 諸 天 子 敬 禮 是 行 般 若 波 羅 蜜 
T08n0227_009:0576b16	菩薩，梵世諸天，梵輔天、梵眾天、大梵天、光天、	菩 薩 梵 世 諸 天 梵 輔 天 梵 眾 天 大 梵 天 光 天 
T08n0227_009:0576b17	少光天、無量光天、光音天、淨天、少淨天、無量	少 光 天 無量光天 光 音 天 淨 天 少 淨 天 無 量 
T08n0227_009:0576b18	淨天、遍淨天、無陰天、福生天、廣果天、無廣	淨 天 遍 淨 天 無 陰 天 福 生 天 廣 果 天 無 廣 
T08n0227_009:0576b19	天、無熱天、妙見天、善見天、無小天上諸天，	天 無 熱 天 妙 見 天 善 見 天 無 小 天 上 諸 天 
T08n0227_009:0576b20	皆敬禮是行般若波羅蜜菩薩。須菩提！今現	皆 敬 禮 是 行 般 若 波 羅 蜜 菩 薩 須 菩 提 今 現 
T08n0227_009:0576b21	在無量阿僧祇世界諸佛，皆念是行般若波	在 無量阿僧祇 世 界 諸 佛 皆 念 是 行 般 若 波 
T08n0227_009:0576b22	羅蜜菩薩。須菩提！若菩薩行般若波羅蜜時，	羅 蜜 菩 薩 須 菩 提 若 菩 薩 行 般 若 波 羅 蜜 時 
T08n0227_009:0576b23	為諸佛所念，當知是菩薩，即是阿毘跋致。「須	為 諸 佛 所 念 當 知 是 菩 薩 即 是 阿毘跋致 須 
T08n0227_009:0576b24	菩提！假令如恒河沙等世界眾生，皆作惡魔，	菩 提 假 令 如 恒 河 沙 等 世 界 眾 生 皆 作 惡 魔 
T08n0227_009:0576b25	一一化作爾所惡魔。是諸惡魔，皆不能壞是	一 一 化 作 爾 所 惡 魔 是 諸 惡 魔 皆 不 能 壞 是 
T08n0227_009:0576b26	行般若波羅蜜菩薩。須菩提！菩薩成就二法，	行 般 若 波 羅 蜜 菩 薩 須 菩 提 菩 薩 成 就 二 法 
T08n0227_009:0576b27	惡魔不能壞。何等二？一者，觀一切法空；二者，	惡 魔 不 能 壞 何 等 二 一 者 觀 一切法空 二 者 
T08n0227_009:0576b28	不捨一切眾生。菩薩成就是二法，惡魔不能	不 捨 一 切 眾 生 菩 薩 成 就 是 二 法 惡 魔 不 能 
T08n0227_009:0576b29	壞。「須菩提！復有二法，惡魔不能壞。何等二？	壞 須 菩 提 復 有 二 法 惡 魔 不 能 壞 何 等 二 
T08n0227_009:0576c01	一者，隨說能行；二者，諸佛所念。菩薩成就是	一 者 隨 說 能 行 二 者 諸 佛 所 念 菩 薩 成 就 是 
T08n0227_009:0576c02	二法，諸天皆來供養恭敬，請問安慰：『善男子！	二 法 諸 天 皆 來 供養恭敬 請 問 安 慰 善 男 子 
T08n0227_009:0576c03	汝行是行，當疾得佛道；汝行是行，無救眾生，	汝 行 是 行 當 疾 得 佛 道 汝 行 是 行 無 救 眾 生 
T08n0227_009:0576c04	當為作救。無舍眾生，當為作舍；無依眾生，當	當 為 作 救 無 舍 眾 生 當 為 作 舍 無 依 眾 生 當 
T08n0227_009:0576c05	為作依；無洲眾生，當為作洲；無究竟道眾生，	為 作 依 無 洲 眾 生 當 為 作 洲 無 究 竟 道 眾 生 
T08n0227_009:0576c06	當為作究竟道；無歸眾生，當為作歸；無明	當 為 作 究 竟 道 無 歸 眾 生 當 為 作 歸 無 明 
T08n0227_009:0576c07	眾生，為作光明；無趣眾生，當為作趣。』何以故？	眾 生 為 作 光 明 無 趣 眾 生 當 為 作 趣 何 以 故 
T08n0227_009:0576c08	是菩薩行般若波羅蜜行，成就是四功德。現	是 菩 薩 行 般 若 波 羅 蜜 行 成 就 是 四 功 德 現 
T08n0227_009:0576c09	在十方無量無邊阿僧祇世界諸佛，與比丘	在 十 方 無量無邊 阿 僧 祇 世 界 諸 佛 與 比 丘 
T08n0227_009:0576c10	僧，圍繞說法時，悉皆稱揚讚歎，說其名字。須	僧 圍 繞 說 法 時 悉 皆 稱揚讚歎 說 其 名 字 須 
T08n0227_009:0576c11	菩提！譬如我今稱揚讚歎實相菩薩，說其名	菩 提 譬 如 我 今 稱揚讚歎 實 相 菩 薩 說 其 名 
T08n0227_009:0576c12	字，及餘菩薩，於阿閦佛所，修行梵行，不離是	字 及 餘 菩 薩 於 阿 閦 佛 所 修行梵行 不 離 是 
T08n0227_009:0576c13	般若波羅蜜行者。如是，須菩提！今現在十方	般 若 波 羅 蜜 行 者 如 是 須 菩 提 今 現 在 十 方 
T08n0227_009:0576c14	諸佛，亦皆稱揚讚歎，說我國中諸菩薩名，修	諸 佛 亦 皆 稱揚讚歎 說 我 國 中 諸 菩 薩 名 修 
T08n0227_009:0576c15	行梵行，不離般若波羅蜜行者。」須菩提白佛	行 梵 行 不 離 般 若 波 羅 蜜 行 者 須 菩 提 白 佛 
T08n0227_009:0576c16	言：「世尊！一切諸佛說法時，普皆稱揚讚歎	言 世 尊 一切諸佛 說 法 時 普 皆 稱揚讚歎 
T08n0227_009:0576c17	諸菩薩不？」「不也，須菩提！諸佛說法時，有稱讚	諸 菩 薩 不 不 也 須 菩 提 諸 佛 說 法 時 有 稱 讚 
T08n0227_009:0576c18	者，有不稱讚者。須菩提！諸佛說法時，稱揚讚	者 有 不 稱 讚 者 須 菩 提 諸 佛 說 法 時 稱 揚 讚 
T08n0227_009:0576c19	歎諸阿毘跋致菩薩。」「世尊！未得阿毘跋致者，	歎 諸 阿毘跋致 菩 薩 世 尊 未 得 阿毘跋致 者 
T08n0227_009:0576c20	諸佛說法時，亦皆稱揚讚歎不？」「須菩提！未得	諸 佛 說 法 時 亦 皆 稱揚讚歎 不 須 菩 提 未 得 
T08n0227_009:0576c21	阿毘跋致者，諸佛亦有稱揚讚歎者。何者？是	阿毘跋致 者 諸 佛 亦 有 稱揚讚歎 者 何 者 是 
T08n0227_009:0576c22	能隨學阿閦佛為菩薩時所行道者。如是菩	能 隨 學 阿 閦 佛 為 菩 薩 時 所 行 道 者 如 是 菩 
T08n0227_009:0576c23	薩，雖未得阿毘跋致，亦為諸佛稱揚讚歎。須	薩 雖 未 得 阿毘跋致 亦 為 諸 佛 稱揚讚歎 須 
T08n0227_009:0576c24	菩提！有能隨學實相菩薩所行道者，如是	菩 提 有 能 隨 學 實 相 菩薩所行 道 者 如 是 
T08n0227_009:0576c25	菩薩雖未得阿毘跋致，亦為諸佛稱揚讚歎。	菩 薩 雖 未 得 阿毘跋致 亦 為 諸 佛 稱揚讚歎 
T08n0227_009:0576c26	復次，須菩提！有菩薩行般若波羅蜜，信解一	復 次 須 菩 提 有 菩 薩 行 般 若 波 羅 蜜 信 解 一 
T08n0227_009:0576c27	切法無生，而未得無生法忍；信解一切法空，	切 法 無 生 而 未 得無生法忍 信 解 一切法空 
T08n0227_009:0576c28	而於阿毘跋致地中，未得自在。能行一切法	而 於 阿毘跋致地 中 未 得 自 在 能 行 一 切 法 
T08n0227_009:0576c29	寂滅相，而未入阿毘跋致地。須菩提！菩薩如	寂 滅 相 而 未 入 阿毘跋致地 須 菩 提 菩 薩 如 
T08n0227_009:0577a01	是行者，諸佛說法時，亦皆稱揚讚歎。未得阿	是 行 者 諸 佛 說 法 時 亦 皆 稱揚讚歎 未 得 阿 
T08n0227_009:0577a02	毘跋致，而為諸佛說法時稱揚讚歎者，則離	毘 跋 致 而 為 諸 佛 說 法 時 稱揚讚歎 者 則 離 
T08n0227_009:0577a03	聲聞、辟支佛地，近於佛地，必得阿耨多羅三	聲 聞 辟支佛地 近 於 佛 地 必 得 阿 耨 多 羅 三 
T08n0227_009:0577a04	藐三菩提記。須菩提！若菩薩行般若波羅蜜，	藐 三 菩 提 記 須 菩 提 若 菩 薩 行 般 若 波 羅 蜜 
T08n0227_009:0577a05	諸佛說法時稱揚讚歎者，當知是菩薩，必至	諸 佛 說 法 時 稱揚讚歎 者 當 知 是 菩 薩 必 至 
T08n0227_009:0577a06	阿毘跋致。」◎	阿毘跋致 
T08n0227_009:0577a07	◎摩訶般若波羅蜜囑累品第二十四	 摩訶般若波羅蜜 囑 累 品 第 二 十 四 
T08n0227_009:0577a08	佛告須菩提：「若菩薩聞是甚深般若波羅蜜，	佛 告 須 菩 提 若 菩 薩 聞 是 甚 深 般 若 波 羅 蜜 
T08n0227_009:0577a09	信解不疑，不悔不難，是菩薩當於阿閦佛，及	信 解 不 疑 不 悔 不 難 是 菩 薩 當 於 阿 閦 佛 及 
T08n0227_009:0577a10	諸菩薩所，聞深般若波羅蜜，亦復信解。須菩	諸 菩 薩 所 聞 深 般 若 波 羅 蜜 亦 復 信 解 須 菩 
T08n0227_009:0577a11	提！菩薩若能信解如佛所說般若波羅蜜，是	提 菩 薩 若 能 信 解 如 佛 所 說 般 若 波 羅 蜜 是 
T08n0227_009:0577a12	人必至阿毘跋致。須菩提！若人但聞般若波	人 必 至 阿毘跋致 須 菩 提 若 人 但 聞 般 若 波 
T08n0227_009:0577a13	羅蜜，尚得饒益，何況信解如所說行。當住薩	羅 蜜 尚 得 饒 益 何 況 信 解 如 所 說 行 當 住 薩 
T08n0227_009:0577a14	婆若。」須菩提白佛言：「世尊！若離如，更無法可	婆 若 須 菩 提 白 佛 言 世 尊 若 離 如 更 無 法 可 
T08n0227_009:0577a15	得。誰當住薩婆若？誰當得阿耨多羅三藐三	得 誰 當 住 薩 婆 若 誰 當 得 阿 耨 多 羅 三 藐 三 
T08n0227_009:0577a16	菩提？誰當說法？」佛告須菩提：「汝所問離如	菩 提 誰 當 說 法 佛 告 須 菩 提 汝 所 問 離 如 
T08n0227_009:0577a17	更無法可得，誰當住薩婆若，誰當得阿耨多	更 無 法 可 得 誰 當 住 薩 婆 若 誰 當 得 阿 耨 多 
T08n0227_009:0577a18	羅三藐三菩提，誰當說法者。如是，如是！須菩	羅 三藐三菩提 誰 當 說 法 者 如 是 如 是 須 菩 
T08n0227_009:0577a19	提！離如更無法，住如中。如尚不可得，何況住	提 離 如 更 無 法 住 如 中 如 尚 不 可 得 何 況 住 
T08n0227_009:0577a20	如者。如，不能得阿耨多羅三藐三菩提；離如，	如 者 如 不 能 得阿耨多羅三藐三菩提 離 如 
T08n0227_009:0577a21	亦不能得阿耨多羅三藐三菩提。如，無說法	亦 不 能 得阿耨多羅三藐三菩提 如 無 說 法 
T08n0227_009:0577a22	者；離如，亦無說法者。」爾時釋提桓因白佛	者 離 如 亦 無 說 法 者 爾 時 釋提桓因 白 佛 
T08n0227_009:0577a23	言：「世尊！無住如者，無得阿耨多羅三藐三菩	言 世 尊 無 住 如 者 無 得 阿 耨 多 羅 三 藐 三 菩 
T08n0227_009:0577a24	提者，無說法者。而菩薩聞是深法，不疑不悔	提 者 無 說 法 者 而 菩 薩 聞 是 深 法 不 疑 不 悔 
T08n0227_009:0577a25	不難，而欲得阿耨多羅三藐三菩提，是為甚	不 難 而 欲 得阿耨多羅三藐三菩提 是 為 甚 
T08n0227_009:0577a26	難。」須菩提語釋提桓因：「憍尸迦！如所說，菩薩	難 須 菩 提 語 釋提桓因 憍 尸 迦 如 所 說 菩 薩 
T08n0227_009:0577a27	聞是深法，不疑不悔不難，欲得阿耨多羅三	聞 是 深 法 不 疑 不 悔 不 難 欲 得 阿 耨 多 羅 三 
T08n0227_009:0577a28	藐三菩提，是為甚難者。憍尸迦！一切法空，此	藐 三 菩 提 是 為 甚 難 者 憍 尸 迦 一切法空 此 
T08n0227_009:0577a29	中誰當疑悔難者？」釋提桓因語須菩提：「如所	中 誰 當 疑 悔 難 者 釋提桓因 語 須 菩 提 如 所 
T08n0227_009:0577b01	說者，皆因於空，而無所礙。譬如仰射虛空，箭	說 者 皆 因 於 空 而 無 所 礙 譬 如 仰 射 虛 空 箭 
T08n0227_009:0577b02	去無礙。須菩提！所說無礙，亦如是。」爾時釋提	去 無 礙 須 菩 提 所 說 無 礙 亦 如 是 爾 時 釋 提 
T08n0227_009:0577b03	桓因白佛言：「世尊！我如是說，如是答，為隨如	桓 因 白 佛 言 世 尊 我 如 是 說 如 是 答 為 隨 如 
T08n0227_009:0577b04	來說，隨法答不？」「憍尸迦！汝如是說，如是答，為	來 說 隨 法 答 不 憍 尸 迦 汝 如 是 說 如 是 答 為 
T08n0227_009:0577b05	隨如來說，為隨法答，皆為正答。憍尸迦！須菩	隨 如 來 說 為 隨 法 答 皆 為 正 答 憍 尸 迦 須 菩 
T08n0227_009:0577b06	提所說，皆因於空。須菩提尚不能得般若波	提 所 說 皆 因 於 空 須 菩 提 尚 不 能 得 般 若 波 
T08n0227_009:0577b07	羅蜜，何況行般若波羅蜜者；尚不得阿耨多	羅 蜜 何 況 行 般 若 波 羅 蜜 者 尚 不 得 阿 耨 多 
T08n0227_009:0577b08	羅三藐三菩提，何況得阿耨多羅三藐三菩	羅 三藐三菩提 何 況 得 阿 耨 多 羅 三 藐 三 菩 
T08n0227_009:0577b09	提者；尚不得薩婆若，何況得薩婆若者；尚不	提 者 尚 不 得 薩 婆 若 何 況 得 薩 婆 若 者 尚 不 
T08n0227_009:0577b10	得如，何況得如者；尚不得無生，何況得無生	得 如 何 況 得 如 者 尚 不 得 無 生 何 況 得 無 生 
T08n0227_009:0577b11	者；尚不得諸力，何況得諸力者；尚不得無所	者 尚 不 得 諸 力 何 況 得 諸 力 者 尚 不 得 無 所 
T08n0227_009:0577b12	畏，何況得無所畏者；尚不得法，何況說法者。	畏 何 況 得無所畏 者 尚 不 得 法 何 況 說 法 者 
T08n0227_009:0577b13	憍尸迦！須菩提常樂遠離，樂無所得行。憍尸	憍 尸 迦 須 菩 提 常樂遠離 樂 無 所 得 行 憍 尸 
T08n0227_009:0577b14	迦！是須菩提所行，於菩薩所行，百分不及一，	迦 是 須 菩 提 所 行 於 菩薩所行 百 分 不 及 一 
T08n0227_009:0577b15	百千萬億分不及一，乃至算數譬喻所不能	百 千萬億分 不 及 一 乃 至 算 數 譬 喻 所 不 能 
T08n0227_009:0577b16	及。憍尸迦！唯除如來所行，菩薩行般若波羅	及 憍 尸 迦 唯 除 如 來 所 行 菩 薩 行 般 若 波 羅 
T08n0227_009:0577b17	蜜，於餘行中，最大最勝，最上最妙。菩薩所行，	蜜 於 餘 行 中 最 大 最 勝 最 上 最 妙 菩薩所行 
T08n0227_009:0577b18	亦於聲聞、辟支佛所行，最大最勝，最上最妙。	亦 於 聲 聞 辟 支 佛 所 行 最 大 最 勝 最 上 最 妙 
T08n0227_009:0577b19	是故，憍尸迦！若人欲於一切眾生中最上者，當	是 故 憍 尸 迦 若 人 欲 於 一 切 眾 生 中 最 上 者 當 
T08n0227_009:0577b20	行菩薩所行般若波羅蜜。」爾時會中忉利諸	行 菩薩所行 般 若 波 羅 蜜 爾 時 會 中 忉 利 諸 
T08n0227_009:0577b21	天子，以天曼陀羅華，散佛上。六百比丘從座	天 子 以 天曼陀羅華 散 佛 上 六 百 比 丘 從 座 
T08n0227_009:0577b22	而起，偏袒右肩，右膝著地，合掌向佛。佛神力	而 起 偏袒右肩 右膝著地 合 掌 向 佛 佛 神 力 
T08n0227_009:0577b23	故，花悉滿掬，即以此華，散佛上。散已，作是言：	故 花 悉 滿 掬 即 以 此 華 散 佛 上 散 已 作 是 言 
T08n0227_009:0577b24	「世尊！我等皆當行是上行。」佛即微笑。諸佛常	 世 尊 我 等 皆 當 行 是 上 行 佛 即 微 笑 諸 佛 常 
T08n0227_009:0577b25	法，若微笑時，青黃赤白無量色光，從口而出。	法 若 微 笑 時 青 黃 赤 白 無 量 色 光 從 口 而 出 
T08n0227_009:0577b26	是諸光明，遍照無量無邊世界，上至梵天，還	是 諸 光 明 遍 照 無量無邊 世 界 上 至 梵 天 還 
T08n0227_009:0577b27	遶身三匝，從頂上入。阿難即從座而起，偏袒右	遶 身 三 匝 從 頂 上 入 阿 難 即 從座而起 偏 袒 右 
T08n0227_009:0577b28	肩，右膝著地，合掌向佛，白佛言：「世尊！何因緣	肩 右膝著地 合 掌 向 佛 白 佛 言 世 尊 何 因 緣 
T08n0227_009:0577b29	故微笑？諸佛不以無因緣而笑。」佛告阿難：「是	故 微 笑 諸 佛 不 以 無 因 緣 而 笑 佛 告 阿 難 是 
T08n0227_009:0577c01	六百比丘，當於星宿劫得成佛，同號散花。阿	六 百 比 丘 當 於 星 宿 劫 得 成 佛 同 號 散 花 阿 
T08n0227_009:0577c02	難！是諸如來，比丘僧數，悉皆同等，壽命亦等，	難 是 諸 如 來 比 丘 僧 數 悉 皆 同 等 壽 命 亦 等 
T08n0227_009:0577c03	俱二萬劫。彼諸比丘，從是已後，在所生處，常	俱 二 萬 劫 彼 諸 比 丘 從 是 已 後 在所生處 常 
T08n0227_009:0577c04	得出家，其世界常雨五色好華。是故，阿難！若	得 出 家 其 世 界 常 雨 五 色 好 華 是 故 阿 難 若 
T08n0227_009:0577c05	人欲行上行，當行般若波羅蜜。若菩薩欲行	人 欲 行 上 行 當 行 般 若 波 羅 蜜 若 菩 薩 欲 行 
T08n0227_009:0577c06	如來行，當行般若波羅蜜。阿難！若菩薩行般	如 來 行 當 行 般 若 波 羅 蜜 阿 難 若 菩 薩 行 般 
T08n0227_009:0577c07	若波羅蜜，當知是人，從人間命終，若於兜率	若 波 羅 蜜 當 知 是 人 從 人 間 命 終 若 於 兜 率 
T08n0227_009:0577c08	天上命終，來生人間。何以故？人中、兜率天	天 上 命 終 來 生 人 間 何 以 故 人 中 兜 率 天 
T08n0227_009:0577c09	上行般若波羅蜜易故。阿難！若菩薩行般	上 行 般 若 波 羅 蜜 易 故 阿 難 若 菩 薩 行 般 
T08n0227_009:0577c10	若波羅蜜，信樂受持，讀誦書寫。書寫已，以般	若 波 羅 蜜 信 樂 受 持 讀 誦 書 寫 書 寫 已 以 般 
T08n0227_009:0577c11	若波羅蜜，示教利喜，諸餘菩薩。當知是人，為	若 波 羅 蜜 示 教 利 喜 諸 餘 菩 薩 當 知 是 人 為 
T08n0227_009:0577c12	如來所見，當知是人，於諸佛所，種諸善根，不	如 來 所 見 當 知 是 人 於 諸 佛 所 種 諸 善 根 不 
T08n0227_009:0577c13	於弟子所種善根。阿難！若菩薩學般若波羅	於 弟 子 所 種 善 根 阿 難 若 菩 薩 學 般 若 波 羅 
T08n0227_009:0577c14	蜜，不驚不畏，信樂受持讀誦，如所說行，當知	蜜 不 驚 不 畏 信 樂 受持讀誦 如 所 說 行 當 知 
T08n0227_009:0577c15	是人，至現在佛所。若有信般若波羅蜜，不謗	是 人 至 現 在 佛 所 若 有 信 般 若 波 羅 蜜 不 謗 
T08n0227_009:0577c16	不逆，當知是人，已供養諸佛。阿難！若人於佛	不 逆 當 知 是 人 已 供 養 諸 佛 阿 難 若 人 於 佛 
T08n0227_009:0577c17	所種善根，求阿羅漢、辟支佛，是善根不虛，亦	所 種 善 根 求 阿 羅 漢 辟 支 佛 是 善 根 不 虛 亦 
T08n0227_009:0577c18	不離般若波羅蜜。是故，阿難！我今以般若波	不 離 般 若 波 羅 蜜 是 故 阿 難 我 今 以 般 若 波 
T08n0227_009:0577c19	羅蜜，囑累於汝。「阿難！我所說法，唯除般若波	羅 蜜 囑 累 於 汝 阿 難 我 所 說 法 唯 除 般 若 波 
T08n0227_009:0577c20	羅蜜，有所受持。若忘失，其過尚少。汝若受	羅 蜜 有 所 受 持 若 忘 失 其 過 尚 少 汝 若 受 
T08n0227_009:0577c21	持般若波羅蜜，乃至忘失一句，其過甚重。是	持 般 若 波 羅 蜜 乃 至 忘 失 一 句 其 過 甚 重 是 
T08n0227_009:0577c22	故，阿難！我以般若波羅蜜，囑累於汝。汝所聞	故 阿 難 我 以 般 若 波 羅 蜜 囑 累 於 汝 汝 所 聞 
T08n0227_009:0577c23	受持，皆應讀誦，悉令通利，善念在心，當令章	受 持 皆 應 讀 誦 悉 令 通 利 善 念 在 心 當 令 章 
T08n0227_009:0577c24	句分明。何以故？般若波羅蜜，是過去、未來、現	句 分 明 何 以 故 般 若 波 羅 蜜 是 過 去 未 來 現 
T08n0227_009:0577c25	在諸佛法藏故。「阿難！若人於今現在，欲以	在 諸 佛 法 藏 故 阿 難 若 人 於 今 現 在 欲 以 
T08n0227_009:0577c26	慈心恭敬供養我者，是人當以是心，供養般	慈 心 恭敬供養 我 者 是 人 當 以 是 心 供 養 般 
T08n0227_009:0577c27	若波羅蜜，受持讀誦，如所說行，即是供養於	若 波 羅 蜜 受持讀誦 如 所 說 行 即 是 供 養 於 
T08n0227_009:0577c28	我。阿難！是人不但供養於我，亦為恭敬供養	我 阿 難 是 人 不 但 供 養 於 我 亦 為 恭敬供養 
T08n0227_009:0577c29	過去、未來、現在諸佛。「阿難！汝若愛重，不捨於	過 去 未 來 現在諸佛 阿 難 汝 若 愛 重 不 捨 於 
T08n0227_009:0578a01	我，亦應如是愛重，不捨般若波羅蜜，乃至一	我 亦 應 如 是 愛 重 不 捨 般 若 波 羅 蜜 乃 至 一 
T08n0227_009:0578a02	句，慎莫忘失。「阿難！我為囑累般若波羅蜜因	句 慎 莫 忘 失 阿 難 我 為 囑 累 般 若 波 羅 蜜 因 
T08n0227_009:0578a03	緣故，若於一劫百劫、千萬億那由他劫，乃至	緣 故 若 於 一 劫 百 劫 千 萬 億 那 由 他 劫 乃 至 
T08n0227_009:0578a04	如恒河沙等劫，說不可盡。阿難！今但略說。如	如 恒 河 沙 等 劫 說 不 可 盡 阿 難 今 但 略 說 如 
T08n0227_009:0578a05	我今為大師，過去現在十方諸佛，於一切世間	我 今 為 大 師 過去現在 十方諸佛 於 一切世間 
T08n0227_009:0578a06	天、人、阿修羅中，亦為大師。般若波羅蜜亦於	天 人 阿 修 羅 中 亦 為 大 師 般 若 波 羅 蜜 亦 於 
T08n0227_009:0578a07	一切世間天、人、阿修羅中，而作大師。有如是	一切世間 天 人 阿 修 羅 中 而 作 大 師 有 如 是 
T08n0227_009:0578a08	等無量因緣故，我於一切世間天、人、阿修羅	等 無 量 因 緣 故 我 於 一切世間 天 人 阿 修 羅 
T08n0227_009:0578a09	中，以般若波羅蜜，囑累於汝。」佛告阿難：「若人	中 以 般 若 波 羅 蜜 囑 累 於 汝 佛 告 阿 難 若 人 
T08n0227_009:0578a10	愛重佛，愛重法，愛重僧，愛重過去、未來、現在	愛 重 佛 愛 重 法 愛 重 僧 愛 重 過 去 未 來 現 在 
T08n0227_009:0578a11	諸佛阿耨多羅三藐三菩提，當以是愛重，愛重	諸 佛 阿耨多羅三藐三菩提 當 以 是 愛 重 愛 重 
T08n0227_009:0578a12	般若波羅蜜。此則是我所用教化。阿難！若有	般 若 波 羅 蜜 此 則 是 我 所 用 教 化 阿 難 若 有 
T08n0227_009:0578a13	人受持讀誦般若波羅蜜，當知是人，則為受	人 受持讀誦 般 若 波 羅 蜜 當 知 是 人 則 為 受 
T08n0227_009:0578a14	持過去、未來、現在諸佛阿耨多羅三藐三菩提。	持 過 去 未 來 現在諸佛 阿耨多羅三藐三菩提 
