T22n1424_001:0214a17	彌沙塞羯磨本	彌 沙 塞 羯 磨 本 
T22n1424_001:0223b18	六、量德賞物(律云：有一懶墮比丘，不佐助眾事、不供師長。病無人看，委臥糞穢中。世尊窮為洗浣	六 量 德 賞 物 律 云 有 一 懶 墮 比 丘 不 佐 助 眾 事 不 供 師 長 病 無 人 看 委 臥 糞 穢 中 世 尊 窮 為 洗 浣 
T22n1424_001:0223b19	除穢扶持，安慰說法離垢證道。因告比丘：「汝等無有父母，不自相看，誰看汝等？」因制師弟更相瞻視，無師弟者勸喻次	除 穢 扶 持 安 慰 說 法 離 垢 證 道 因 告 比 丘 汝 等 無 有 父 母 不 自 相 看 誰 看 汝 等 因 制 師 弟 更 相 瞻 視 無 師 弟 者 勸 喻 次 
T22n1424_001:0223b20	差。然病者有難看、瞻病德有具不具。難看有五種：一、不能善量食；二、不服所宜藥；三、不說病狀；四、不從人教；五、不觀	差 然 病 者 有 難 看 瞻 病 德 有 具 不 具 難 看 有 五 種 一 不 能 善 量 食 二 不 服 所 宜 藥 三 不 說 病 狀 四 不 從 人 教 五 不 觀 
T22n1424_001:0223b21	無常。易看反之。不能看病有五種；一、不知所宜藥；二、不能得隨病食；三、不能為病人說法；四、惡厭病人便利吐唾；五、	無 常 易 看 反 之 不 能 看 病 有 五 種 一 不 知 所 宜 藥 二 不 能 得 隨 病 食 三 不 能 為 病 人 說 法 四 惡 厭 病 人 便 利 吐 唾 五 
T22n1424_001:0223b22	為利故不以慈心。能者及說，餘部所明大概如此。對眾撿問量德具已，然後賞之。若為病人經理湯藥，身雖在外亦	為 利 故 不 以 慈 心 能 者 及 說 餘 部 所 明 大 概 如 此 對 眾 撿 問 量 德 具 已 然 後 賞 之 若 為 病 人 經 理 湯 藥 身 雖 在 外 亦 
T22n1424_001:0223b23	須依賞)。	須 依 賞 
T22n1424_001:0223b24	七、正明賞法(餘律所賞，三衣六物或以殘藥。此律唯以衣鉢與之)。	七 正 明 賞 法 餘 律 所 賞 三 衣 六 物 或 以 殘 藥 此 律 唯 以 衣 鉢 與 之 
T22n1424_001:0223b25	「大德僧聽！某甲比丘命過，三衣鉢現前僧應	 大德僧聽 某 甲 比 丘 命 過 三 衣 鉢 現 前 僧 應 
T22n1424_001:0223b26	分。今以與看病人某甲。若僧時到僧忍聽。白	分 今 以 與 看 病 人 某 甲 若僧時到 僧 忍 聽 白 
T22n1424_001:0223c01	如是。」「大德僧聽！某甲比丘命過，三衣鉢現前	如 是 大德僧聽 某 甲 比 丘 命 過 三 衣 鉢 現 前 
T22n1424_001:0223c02	僧應分。今以與看病人某甲。誰諸長老忍，默	僧 應 分 今 以 與 看 病 人 某 甲 誰 諸 長 老 忍 默 
T22n1424_001:0223c03	然；不忍者說。」「僧已與某甲比丘衣鉢竟。僧忍，	然 不 忍 者 說 僧 已 與 某 甲 比 丘 衣 鉢 竟 僧 忍 
T22n1424_001:0223c04	默然故，是事如是持。」(三衣鉢等或具，隨有賞之。比丘尼命過，應與二人。若持尼命過，	默 然 故 是事如是持 三 衣 鉢 等 或 具 隨 有 賞 之 比 丘 尼 命 過 應 與 二 人 若 持 尼 命 過 
T22n1424_001:0223c05	應與三人，各謂當眾。餘眾縱看，不得輒賞，勞不滿故。謂教並然，縱賞下眾，等具人分)	應 與 三 人 各 謂 當 眾 餘 眾 縱 看 不 得 輒 賞 勞 不 滿 故 謂 教 並 然 縱 賞 下 眾 等 具 人 分 
T22n1424_001:0223c06	八、正分輕物(律云：分物無羯磨法。准前僧得，似直分之。以其此已屬僧，僧分已物不更別屬。知	八 正 分 輕 物 律 云 分 物 無 羯 磨 法 准 前 僧 得 似 直 分 之 以 其 此 已 屬 僧 僧 分 已 物 不 更 別 屬 知 
T22n1424_001:0223c07	用何法？答以此與於別人，文加白二，以此僧物不屬別人。若不用法，何輒囑彼？故賞看病人及屬受與人。物少不分	用 何 法 答 以 此 與 於 別 人 文 加 白 二 以 此 僧 物 不 屬 別 人 若 不 用 法 何 輒 囑 彼 故 賞 看 病 人 及 屬 受 與 人 物 少 不 分 
T22n1424_001:0223c08	併與一人，皆有羯磨。又准餘律咸皆白二。以此僧物並屬四方，若非以法定之，現前僧云何能攝？然准文行事取捨	併 與 一 人 皆 有 羯 磨 又 准 餘 律 咸 皆 白 二 以 此 僧 物 並 屬 四 方 若 非 以 法 定 之 現 前 僧 云 何 能 攝 然 准 文 行 事 取 捨 
T22n1424_001:0223c09	不同，或一二三局能備述辭。詳文定理二法為長：一即差人、二即分付。雖非己部終為[疊*毛]准用無失，故具列之。若有	不 同 或 一 二 三 局 能 備 述 辭 詳 文 定 理 二 法 為 長 一 即 差 人 二 即 分 付 雖 非 己 部 終 為 [疊毛] 准 用 無 失 故 具 列 之 若 有 
T22n1424_001:0223c10	五人，須作兩重白二：一者差人、二者分付。若但有四，不合差人，准《毘尼母論》直作分付一法)。	五 人 須 作 兩 重 白 二 一 者 差 人 二 者 分 付 若 但 有 四 不 合 差 人 准 毘 尼 母 論 直 作 分 付 一 法 
T22n1424_001:0223c11	差分衣人法(物既屬僧，僧差作分，若非羯磨事無由辦，故文中分臥具人、差受請人、守物人等咸	差 分 衣 人 法 物 既 屬 僧 僧 差 作 分 若 非 羯 磨 事 無 由 辦 故 文 中 分 臥 具 人 差 受 請 人 守 物 人 等 咸 
T22n1424_001:0223c12	有差法。《四分》差人亦同。於此義准云)。	有 差 法 四 分 差 人 亦 同 於 此 義 准 云 
T22n1424_001:0223c13	「大德僧聽！此某甲比丘，能為僧作分衣人。僧	 大德僧聽 此 某 甲 比 丘 能 為 僧 作 分 衣 人 僧 
T22n1424_001:0223c14	今差某甲作分衣人。若僧時到僧忍聽。白如	今 差 某 甲 作 分 衣 人 若僧時到 僧 忍 聽 白 如 
T22n1424_001:0223c15	是。」「大德僧聽！此某甲比丘，能為僧作分衣人。	是 大德僧聽 此 某 甲 比 丘 能 為 僧 作 分 衣 人 
T22n1424_001:0223c16	僧今差某甲作分衣人。誰諸長老忍，默然；不	僧 今 差 某 甲 作 分 衣 人 誰 諸 長 老 忍 默 然 不 
T22n1424_001:0223c17	忍者說。」「僧已差某甲作分衣人竟。僧忍，默然	忍 者 說 僧 已 差 某 甲 作 分 衣 人 竟 僧 忍 默 然 
T22n1424_001:0223c18	故，是事如是持。」以物付分法。「大德僧聽！某甲	故 是事如是持 以 物 付 分 法 大德僧聽 某 甲 
T22n1424_001:0223c19	比丘於(此彼)命過，生存時所有衣若非衣，現前	比 丘 於 此 彼 命 過 生 存 時 所 有 衣 若 非 衣 現 前 
T22n1424_001:0223c20	僧應分。僧今持與比丘某甲，某甲當還與僧。	僧 應 分 僧 今 持 與 比 丘 某 甲 某 甲 當 還 與 僧 
T22n1424_001:0223c21	若僧時到僧忍聽。白如是。」「大德僧聽！某甲比	若僧時到 僧 忍 聽 白 如 是 大德僧聽 某 甲 比 
T22n1424_001:0223c22	丘於(此彼)命過，生存時所有衣若非衣，現前僧	丘 於 此 彼 命 過 生 存 時 所 有 衣 若 非 衣 現 前 僧 
T22n1424_001:0223c23	應分。僧今持與比丘某甲，某甲當還與僧。誰	應 分 僧 今 持 與 比 丘 某 甲 某 甲 當 還 與 僧 誰 
T22n1424_001:0223c24	諸長老忍，默然；不忍者說。」「僧已忍持與比丘	諸 長 老 忍 默 然 不 忍 者 說 僧 已 忍 持 與 比 丘 
T22n1424_001:0223c25	某甲，某甲當還與僧竟。僧忍，默然故。是事如	某 甲 某 甲 當 還 與 僧 竟 僧 忍 默 然 故 是 事 如 
T22n1424_001:0223c26	是持。」四人直分法。「大德僧聽！某甲比丘於(此彼)命	是 持 四 人 直 分 法 大德僧聽 某 甲 比 丘 於 此 彼 命 
T22n1424_001:0223c27	過，生存時所有衣若非衣，現前僧應分。若僧	過 生 存 時 所 有 衣 若 非 衣 現 前 僧 應 分 若 僧 
T22n1424_001:0223c28	時到僧忍聽。白如是。」「大德僧聽！某甲比丘於	時 到 僧 忍 聽 白 如 是 大德僧聽 某 甲 比 丘 於 
T22n1424_001:0224a01	(此彼)命過，生存時所有衣若非衣，現前僧應分。	 此 彼 命 過 生 存 時 所 有 衣 若 非 衣 現 前 僧 應 分 
T22n1424_001:0224a02	誰諸長老忍，默然；不忍者說。」「僧已分是衣物	誰 諸 長 老 忍 默 然 不 忍 者 說 僧 已 分 是 衣 物 
T22n1424_001:0224a03	竟。僧忍，默然故，是事如是持。」(若欲賞看病人，應三人口法和，以衣	竟 僧 忍 默 然 故 是事如是持 若 欲 賞 看 病 人 應 三 人 口 法 和 以 衣 
T22n1424_001:0224a04	鉢物與之。應云)	鉢 物 與 之 應 云 
T22n1424_001:0224a05	「諸大德！某甲比丘命過，以衣鉢物與看病人	 諸 大 德 某 甲 比 丘 命 過 以 衣 鉢 物 與 看 病 人 
T22n1424_001:0224a06	某甲。」(三說。二人和賞亦如是)	某 甲 三 說 二 人 和 賞 亦 如 是 
T22n1424_001:0224a07	眾多人三語分衣法。「二大德！某甲比丘命	眾 多 人 三 語 分 衣 法 二 大 德 某 甲 比 丘 命 
T22n1424_001:0224a08	過，若衣非衣，應屬我等。」(三說。餘二人亦如是。二人分衣亦如是也)。	過 若 衣 非 衣 應 屬 我 等 三 說 餘 二 人 亦 如 是 二 人 分 衣 亦 如 是 也 
T22n1424_001:0224a09	一人心念分衣法。「某甲比丘命過，若衣非衣，	一 人 心 念 分 衣 法 某 甲 比 丘 命 過 若 衣 非 衣 
T22n1424_001:0224a10	皆應屬我。」(三說)併與一人法(律云：若衣少不欲分，應白二與一無衣比丘)。	皆 應 屬 我 三 說 併 與 一 人 法 律 云 若 衣 少 不 欲 分 應 白 二 與 一 無 衣 比 丘 
T22n1424_001:0224a11	「大德僧聽！此僧得衣若非衣，今併與某甲比	 大德僧聽 此 僧 得 衣 若 非 衣 今 併 與 某 甲 比 
T22n1424_001:0224a12	丘。若僧時到僧忍聽。白如是。」「大德僧聽！此僧	丘 若僧時到 僧 忍 聽 白 如 是 大德僧聽 此 僧 
T22n1424_001:0224a13	得衣若非衣，今併與某甲比丘。誰諸長老忍，	得 衣 若 非 衣 今 併 與 某 甲 比 丘 誰 諸 長 老 忍 
T22n1424_001:0224a14	默然；不忍者說。」「僧已忍與某甲比丘衣竟。僧	默 然 不 忍 者 說 僧 已 忍 與 某 甲 比 丘 衣 竟 僧 
T22n1424_001:0224a15	忍，默然故，是事如是持。」(亡人衣物，義亦應爾也)	忍 默 然 故 是事如是持 亡 人 衣 物 義 亦 應 爾 也 
T22n1424_001:0224a16	九、二眾互攝(文言：若有比丘住處，非安居時比丘命過，無比丘，比丘尼應分。若比丘尼住處，非安	九 二 眾 互 攝 文 言 若 有 比 丘 住 處 非 安 居 時 比 丘 命 過 無 比 丘 比 丘 尼 應 分 若 比 丘 尼 住 處 非 安 
T22n1424_001:0224a17	居時比丘尼命過，無比丘尼，比丘應分。安居時亦如是。僧得施物亦如是。《四分律》中乃至無一沙彌，比丘尼應分等，	居 時 比 丘 尼 命 過 無 比 丘 尼 比 丘 應 分 安 居 時 亦 如 是 僧 得 施 物 亦 如 是 四 分 律 中 乃 至 無 一 沙 彌 比 丘 尼 應 分 等 
T22n1424_001:0224a18	如前已說。彼律又云，若無住處僧尼命過，出家五眾先來者與。若無來者，送與近處伽藍)。	如 前 已 說 彼 律 又 云 若 無 住 處 僧 尼 命 過 出 家 五 眾 先 來 者 與 若 無 來 者 送 與 近 處 伽 藍 
T22n1424_001:0224a19	十、諸部雜明(諸部受分，大論十種：一、糞掃取，如此律水漂死者。二、見前取，如《十誦》學悔人守戒共	十 諸 部 雜 明 諸 部 受 分 大 論 十 種 一 糞 掃 取 如 此 律 水 漂 死 者 二 見 前 取 如 十 誦 學 悔 人 守 戒 共 
T22n1424_001:0224a20	住互死者。三、同見取，如《四分律》二部互死。四、功能取，如《四分律》二舉死同入羯磨舉僧。五、二部取，如《四分律》無住處	住 互 死 者 三 同 見 取 如 四 分 律 二 部 互 死 四 功 能 取 如 四 分 律 二 舉 死 同 入 羯 磨 舉 僧 五 二 部 取 如 四 分 律 無 住 處 
T22n1424_001:0224a21	死。六、面所向取，如《論》二界中死。七、入和上，如《僧祇》沙彌死。八、入所親白衣，如《多論》滅擯人死。九、隨所得取，如《十誦》寄	死 六 面 所 向 取 如 論 二 界 中 死 七 入 和 上 如 僧 祇 沙 彌 死 八 入 所 親 白 衣 如 多 論 滅 擯 人 死 九 隨 所 得 取 如 十 誦 寄 
T22n1424_001:0224a22	人等。十、羯磨取，如餘律，在眾死。此律應同)。	人 等 十 羯 磨 取 如 餘 律 在 眾 死 此 律 應 同 
T22n1424_001:0224a23	第九、懺悔諸犯法(夫業如幻化性相無定，遇緣而生無而忽有，逢緣而滅有已還無。若	第 九 懺 悔 諸 犯 法 夫 業 如 幻 化 性 相 無 定 遇 緣 而 生 無 而 忽 有 逢 緣 而 滅 有 已 還 無 若 
T22n1424_001:0224a24	不深生愧恥悔責前非，經百千劫終不失滅，時熟緣會必當現受。若悔恨徹心剋己修改，一念之頃消滅無餘。故《未曾	不 深 生 愧 恥 悔 責 前 非 經 百 千 劫 終 不 失 滅 時 熟 緣 會 必 當 現 受 若 悔 恨 徹 心 剋 己 修 改 一 念 之 頃 消 滅 無 餘 故 未 曾 
T22n1424_001:0224a25	有經》云：「前心作惡如雲覆日，後心起善如炬消闇。」又《業報差別經》云：「若人造重罪，作已深自責悔更不造，能拔根本	有 經 云 前 心 作 惡 如 雲 覆 日 後 心 起 善 如 炬 消 闇 又 業 報 差 別 經 云 若 人 造 重 罪 作 已 深 自 責 悔 更 不 造 能 拔 根 本 
T22n1424_001:0224a26	業。」又《涅槃經》云：「若人修習身戒心慧，能令地獄重苦現世輕受。」聖教既繁，曷能備述？然犯有性遮，悔分理事，二懺之	業 又 涅 槃 經 云 若 人 修 習 身 戒 心 慧 能 令 地 獄 重 苦 現 世 輕 受 聖 教 既 繁 曷 能 備 述 然 犯 有 性 遮 悔 分 理 事 二 懺 之 
T22n1424_001:0224b01	中又分大小。若修明慧觀我法空，福體尚無罪何容有？此理約機自含大小。大乘事懺方軌不同，觀禮佛像、誦持神	中 又 分 大 小 若 修 明 慧 觀 我 法 空 福 體 尚 無 罪 何 容 有 此 理 約 機 自 含 大 小 大 乘 事 懺 方 軌 不 同 觀 禮 佛 像 誦 持 神 
T22n1424_001:0224b02	呪，罪無輕重亦盡消滅。律中事懺但清違教。上來所列條貫各殊，既沒根機任情所好。然律宗事法但取見聞，既破	呪 罪 無 輕 重 亦 盡 消 滅 律 中 事 懺 但 清 違 教 上 來 所 列 條 貫 各 殊 既 沒 根 機 任 情 所 好 然 律 宗 事 法 但 取 見 聞 既 破 
T22n1424_001:0224b03	律儀終須軌定，於戒有犯必依法懺。然教法該羅無簡凡聖，今依輕重各具陳之)。	律 儀 終 須 軌 定 於 戒 有 犯 必 依 法 懺 然 教 法 該 羅 無 簡 凡 聖 今 依 輕 重 各 具 陳 之 
T22n1424_001:0224b04	懺悔波羅夷法(犯波羅夷名壞根本，折石斷首豈更生全？大乘懺中雖云除滅，然於宗法永	懺 悔 波羅夷法 犯 波 羅 夷 名 壞 根 本 折 石 斷 首 豈 更 生 全 大 乘 懺 中 雖 云 除 滅 然 於 宗 法 永 
T22n1424_001:0224b05	無僧用。此既本禁，不類餘愆，特須謹剋碎身堅護。但凡情易逸對境容虧，若無一念覆藏，律中許其改悔。但可清其	無 僧 用 此 既 本 禁 不 類 餘 愆 特 須 謹 剋 碎 身 堅 護 但 凡 情 易 逸 對 境 容 虧 若 無 一 念 覆 藏 律 中 許 其 改 悔 但 可 清 其 
T22n1424_001:0224b06	犯業，僧法豈得預哉？犯悔既稀，具如鈔說)。	犯 業 僧 法 豈 得 預 哉 犯 悔 既 稀 具 如 鈔 說 
T22n1424_001:0224b07	懺悔僧伽婆尸沙法(既曰刑殘，隣於斷命。要憑清眾，業累方除。覆等四法文中具顯，	懺 悔 僧伽婆尸沙法 既 曰 刑 殘 隣 於 斷 命 要 憑 清 眾 業 累 方 除 覆 等 四 法 文 中 具 顯 
T22n1424_001:0224b08	自部他部咸有軌儀。法既繁多，此豈能盡？臨機行用別有鈔文)。	自 部 他 部 咸 有 軌 儀 法 既 繁 多 此 豈 能 盡 臨 機 行 用 別 有 鈔 文 
T22n1424_001:0224b09	懺偷蘭遮法(此罪約緣，通因及果。因果輕重，又分三品。如破法輪僧、盜食盜四錢等，及初篇重因，	懺 偷 蘭 遮 法 此 罪 約 緣 通 因 及 果 因 果 輕 重 又 分 三 品 如 破法輪僧 盜 食 盜 四 錢 等 及 初 篇 重 因 
T22n1424_001:0224b10	名為上品，應僧中悔。若破羯磨、盜三錢已下、互有依觸，及初篇輕因、一篇重因，名為中品，應對二三人悔。若食人肉、	名 為 上 品 應 僧 中 悔 若 破 羯 磨 盜 三 錢 已 下 互 有 依 觸 及 初 篇 輕 因 一 篇 重 因 名 為 中 品 應 對 二 三 人 悔 若 食 人 肉 
T22n1424_001:0224b11	用人髮等，著外道衣，及二篇輕因，名為下品，應一人前悔。前對僧中，先應三乞別請懺主，單白和僧三說而悔。若二三	用 人 髮 等 著 外 道 衣 及 二 篇 輕 因 名 為 下 品 應 一 人 前 悔 前 對 僧 中 先 應 三 乞 別 請 懺 主 單 白 和 僧 三 說 而 悔 若 二 三 
T22n1424_001:0224b12	人，除乞反白，加問邊人一人。一人又除問邊人一白。餘詞句如懺波逸提中說，唯罪名有異。事既稀簡，略辯大綱，臨機	人 除 乞 反 白 加 問 邊 人 一 人 一 人 又 除 問 邊 人 一 白 餘 詞 句 如 懺 波 逸 提 中 說 唯 罪 名 有 異 事 既 稀 簡 略 辯 大 綱 臨 機 
T22n1424_001:0224b13	行用，鈔中詳委)。	行 用 鈔 中 詳 委 
T22n1424_001:0224b14	懺波逸提法(捨墮因財以成，單提不局衣犯。別論捨雖異據，墮即同三十。懺通僧別，單提唯對別	懺 波 逸 提 法 捨 墮 因 財 以 成 單 提 不 局 衣 犯 別 論 捨 雖 異 據 墮 即 同 三 十 懺 通 僧 別 單 提 唯 對 別 
T22n1424_001:0224b15	悔。故分先後，義在於茲)。	悔 故 分 先 後 義 在 於 茲 
T22n1424_001:0224b16	先懺捨墮對僧作法(文云：應捨與僧，若一二三人，不得與餘人及非人。捨已應懺悔。	先 懺 捨 墮 對 僧 作 法 文 云 應 捨 與 僧 若 一 二 三 人 不 得 與 餘 人 及 非 人 捨 已 應 懺 悔 
T22n1424_001:0224b17	若不捨而悔，其罪益深。《四分律》中有其四法：一捨財、二捨罪、三還財、四不還財結罪。罽分俱[疊*毛]准用無失。今依前三	若 不 捨 而 悔 其 罪 益 深 四 分 律 中 有 其 四 法 一 捨 財 二 捨 罪 三 還 財 四 不 還 財 結 罪 罽 分 俱 [疊毛] 准 用 無 失 今 依 前 三 
T22n1424_001:0224b18	辯儀戒)。	辯 儀 戒 
T22n1424_001:0224b19	一、捨財(此捨財中須識五法：一捨財心，謂以貪心取此物，違教成業，當苦報。聖應所制，真實不虛，若不	一 捨 財 此 捨 財 中 須 識 五 法 一 捨 財 心 謂 以 貪 心 取 此 物 違 教 成 業 當 苦 報 聖 應 所 制 真 實 不 虛 若 不 
T22n1424_001:0224b20	懺除，當來定受。如是思已，於此財物生極厭心，永以捨棄必無餘悋。二、所捨財，謂衣鉢藥寶等但制捨者，皆須總集	懺 除 當 來 定 受 如 是 思 已 於 此 財 物 生 極 厭 心 永 以 捨 棄 必 無 餘 悋 二 所 捨 財 謂 衣 鉢 藥 寶 等 但 制 捨 者 皆 須 總 集 
T22n1424_001:0224b21	而盡捨之。三、捨財境，謂僧等三。謂《四分律》云：「不得別眾捨，若捨不成，突吉羅。」四、捨財威儀，謂敷尼師壇，脫革屣作禮，	而 盡 捨 之 三 捨 財 境 謂 僧 等 三 謂 四 分 律 云 不 得 別 眾 捨 若 捨 不 成 突 吉 羅 四 捨 財 威 儀 謂 敷 尼 師 壇 脫 革 屣 作 禮 
T22n1424_001:0224b22	互跪合掌。若對小者，不須禮拜。五、捨財法，對僧者應云)。	互 跪 合 掌 若 對 小 者 不 須 禮 拜 五 捨 財 法 對 僧 者 應 云 
T22n1424_001:0224b23	「大德僧聽！我比丘某甲，故畜(若干)長衣，犯捨墮。	 大德僧聽 我 比 丘 某 甲 故 畜 若 干 長 衣 犯 捨 墮 
T22n1424_001:0224b24	(或離衣等，隨事稱之)	 或 離 衣 等 隨 事 稱 之 
T22n1424_001:0224b25	是衣今捨與僧。」(一說。如是捨已，即付與僧。對下境，詞句亦然，但改初後二言為異也)	是 衣 今 捨 與 僧 一 說 如 是 捨 已 即 付 與 僧 對 下 境 詞 句 亦 然 但 改 初 後 二 言 為 異 也 
T22n1424_001:0224c01	二、捨罪(對僧懺悔罪須具六法：一乞、二請、三白、四悔、五誡、六受。此之六法諸教互明。必須周具，方成悔過	二 捨 罪 對 僧 懺 悔 罪 須 具 六 法 一 乞 二 請 三 白 四 悔 五 誡 六 受 此 之 六 法 諸 教 互 明 必 須 周 具 方 成 悔 過 
T22n1424_001:0224c02	也)。	也 
T22n1424_001:0224c03	一、對眾陳乞(具修威儀胡跪合掌)「大德僧聽！我某甲比丘，	一 對 眾 陳 乞 具 修 威 儀 胡 跪 合 掌 大德僧聽 我 某 甲 比 丘 
T22n1424_001:0224c04	故畜爾所長衣，犯捨墮。是衣已捨與僧。今有	故 畜 爾 所 長 衣 犯 捨 墮 是 衣 已 捨 與 僧 今 有 
T22n1424_001:0224c05	(若干)波逸提罪，從僧乞懺悔。願聽我某甲比丘	 若 干 波 逸 提 罪 從 僧 乞 懺 悔 願 聽 我 某 甲 比 丘 
T22n1424_001:0224c06	懺悔，慈愍故。」(三說)二、請懺悔主(夫懺悔主必須清淨。彼自有縛，豈能解他？時為	懺 悔 慈 愍 故 三 說 二 請 懺 悔 主 夫 懺 悔 主 必 須 清 淨 彼 自 有 縛 豈 能 解 他 時 為 
T22n1424_001:0224c07	重病無清淨人，初開不同犯，後開同犯作)。	重 病 無 清 淨 人 初 開 不 同 犯 後 開 同 犯 作 
T22n1424_001:0224c08	「大德一心念！我比丘某甲，今請大德作波逸	 大 德 一 心 念 我 比 丘 某 甲 今 請 大 德 作 波 逸 
T22n1424_001:0224c09	提懺悔主。願大德為我作波逸提懺悔主，慈	提 懺 悔 主 願 大 德 為 我 作 波 逸 提 懺 悔 主 慈 
T22n1424_001:0224c10	愍故。」(三說)	愍 故 三 說 
T22n1424_001:0224c11	三、單白和僧(既對清眾，義無輒受，故須諮白。取眾情和，方便如常。答云：「受波逸提懺悔羯磨。」)。	三 單 白 和 僧 既 對 清 眾 義 無 輒 受 故 須 諮 白 取 眾 情 和 方 便 如 常 答 云 受 波 逸 提 懺 悔 羯 磨 
T22n1424_001:0224c12	「大德僧聽！某甲比丘故畜長衣，犯捨墮。此衣	 大德僧聽 某 甲 比 丘 故 畜 長 衣 犯 捨 墮 此 衣 
T22n1424_001:0224c13	已捨與僧。是中有波逸提罪，今從僧乞懺悔。	已 捨 與 僧 是 中 有 波 逸 提 罪 今 從 僧 乞 懺 悔 
T22n1424_001:0224c14	我某甲受某甲懺悔。若僧時到僧忍聽。白如	我 某 甲 受 某 甲 懺 悔 若僧時到 僧 忍 聽 白 如 
T22n1424_001:0224c15	是。」(眾既和許，告示可爾)。	是 眾 既 和 許 告 示 可 爾 
T22n1424_001:0224c16	四、正懺悔除罪(畜長之過數類稍多，或一二三乃至於九，犯於名種惟吉與提，六是從生、三為	四 正 懺 悔 除 罪 畜 長 之 過 數 類 稍 多 或 一 二 三 乃 至 於 九 犯 於 名 種 惟 吉 與 提 六 是 從 生 三 為 
T22n1424_001:0224c17	根本。今依次第略顯其相。第一、且如畜一長衣犯提罪，識知是罪作覆藏心，清淨人同界而宿，即犯覆藏突吉羅。此	根 本 今 依 次 第 略 顯 其 相 第 一 且 如 畜 一 長 衣 犯 提 罪 識 知 是 罪 作 覆 藏 心 清 淨 人 同 界 而 宿 即 犯 覆 藏 突 吉 羅 此 
T22n1424_001:0224c18	一品罪隨衣而生，約位總定名覆藏罪。但覆藏吉羅亦須發露，而隱不發露亦生覆藏，以覆藏而生，名隨覆藏突吉羅	一 品 罪 隨 衣 而 生 約 位 總 定 名 覆 藏 罪 但 覆 藏 吉 羅 亦 須 發 露 而 隱 不 發 露 亦 生 覆 藏 以 覆 藏 而 生 名 隨 覆 藏 突 吉 羅 
T22n1424_001:0224c19	罪。此一品罪亦隨夜生。顯數雖多，總名隨覆。上三品罪，一提、二吉。提為根本、吉羅從生。覆即二三，不覆但一。第二、犯	罪 此 一 品 罪 亦 隨 夜 生 顯 數 雖 多 總 名 隨 覆 上 三 品 罪 一 提 二 吉 提 為 根 本 吉 羅 從 生 覆 即 二 三 不 覆 但 一 第 二 犯 
T22n1424_001:0224c20	長之衣舉體生過，若其著用即犯吉羅罪。據於心脫即無過，隱而不發亦有覆藏，如前三品輕重為異。第三、犯前諸	長 之 衣 舉 體 生 過 若 其 著 用 即 犯 吉 羅 罪 據 於 心 脫 即 無 過 隱 而 不 發 亦 有 覆 藏 如 前 三 品 輕 重 為 異 第 三 犯 前 諸 
T22n1424_001:0224c21	罪，經僧說戒三問不發，犯吉羅。二覆從生亦同於上。上來二三合成九品，有具不具，據事而思。行懺之人特須明識，	罪 經 僧 說 戒 三 問 不 發 犯 吉 羅 二 覆 從 生 亦 同 於 上 上 來 二 三 合 成 九 品 有 具 不 具 據 事 而 思 行 懺 之 人 特 須 明 識 
T22n1424_001:0224c22	稱名歷數厭而生愧，立對治道謹剋身心，詞句無亂方成懺悔，先輕後重次第而除，二件標牒方盡其類。第一先懺三	稱 名 歷 數 厭 而 生 愧 立 對 治 道 謹 剋 身 心 詞 句 無 亂 方 成 懺 悔 先 輕 後 重 次 第 而 除 二 件 標 牒 方 盡 其 類 第 一 先 懺 三 
T22n1424_001:0224c23	位、覆隨覆六，以其種類輕重同故。第二懺著用默妄二根本吉。第三懺犯長之提。據事雖然，今明軌則先辯懺提、餘次	位 覆 隨 覆 六 以 其 種 類 輕 重 同 故 第 二 懺 著 用 默 妄 二 根 本 吉 第 三 懺 犯 長 之 提 據 事 雖 然 今 明 軌 則 先 辯 懺 提 餘 次 
T22n1424_001:0224c24	輕者，准此而用。文云：犯罪比丘應偏露右肩胡跪合掌。餘文對大，須具五法，此加露肩，總成六法也)。	輕 者 准 此 而 用 文 云 犯 罪 比 丘 應 偏露右肩 胡 跪 合 掌 餘 文 對 大 須 具 五 法 此 加 露 肩 總 成 六 法 也 
T22n1424_001:0224c25	「大德！我某甲，故畜(若干)長衣犯波逸提罪，向大	 大 德 我 某 甲 故 畜 若 干 長 衣 犯 波 逸 提 罪 向 大 
T22n1424_001:0224c26	德悔過。」(三說。諸部更有餘詞，據宗但合如此)	德 悔 過 三 說 諸 部 更 有 餘 詞 據 宗 但 合 如 此 
T22n1424_001:0225a01	五、戒勗令斷(彼應問言)：「汝自見罪不？」(答言)「我自見罪。」(彼又問言)	五 戒 勗 令 斷 彼 應 問 言 汝 自 見 罪 不 答 言 我 自 見 罪 彼 又 問 言 
T22n1424_001:0225a02	「汝欲悔過耶？」(答言)「我欲悔過。」(彼又語言)「汝後莫作。」六、承	 汝 欲 悔 過 耶 答 言 我 欲 悔 過 彼 又 語 言 汝 後 莫 作 六 承 
T22n1424_001:0225a03	受立要(應答言)：「爾。」(或言)「頂戴持。」(上來至此，名懺悔竟)	受 立 要 應 答 言 爾 或 言 頂 戴 持 上 來 至 此 名 懺 悔 竟 
