X24n0470_001:0846c06	 小引	 小 引 
X24n0470_002:0867c06	菩提。乃是自己靈覺真性。咄。要見真性麼。不須覔	菩 提 乃 是 自 己 靈 覺 真 性 咄 要 見 真 性 麼 不 須 覔 
X24n0470_002:0867c07	火把燈尋。渴飲飢餐常對面。故云。父子上山。各人	火 把 燈 尋 渴 飲 飢 餐 常 對 面 故 云 父 子 上 山 各 人 
X24n0470_002:0867c08	努力。	努 力 
X24n0470_002:0867c09	　無法可得最為高　　靈山會上轉千遭	 無 法 可 得 最 為 高 靈 山 會 上 轉 千 遭 
X24n0470_002:0867c10	　修向蓮臺分明現　　彌陀出現趙州橋	 修 向 蓮 臺 分 明 現 彌 陀 出 現 趙 州 橋 
X24n0470_002:0867c11	五蘊本空。四相俱忘無一法而可得如是之人。最	五 蘊 本 空 四 相 俱 忘 無 一 法 而 可 得 如 是 之 人 最 
X24n0470_002:0867c12	為高強五蘊空。四相忘的人。由如親在靈山會上。	為 高 強 五 蘊 空 四 相 忘 的 人 由 如 親 在 靈 山 會 上 
X24n0470_002:0867c13	轉過千遭。面見釋迦牟尼佛。印證是實。雖然如是	轉 過 千 遭 面 見 釋 迦 牟 尼 佛 印 證 是 實 雖 然 如 是 
X24n0470_002:0867c14	請問老師。昔日釋迦佛。靈山說法。雙林涅槃。今在	請 問 老 師 昔 日 釋 迦 佛 靈 山 說 法 雙 林 涅 槃 今 在 
X24n0470_002:0867c15	何處。呀。徧大地都是釋迦佛。的丈六金身。是故靈	何 處 呀 徧 大 地 都 是 釋 迦 佛 的 丈 六 金 身 是 故 靈 
X24n0470_002:0867c16	山會上轉千遭。金時有等迷人。即知西方極樂世	山 會 上 轉 千 遭 金 時 有 等 迷 人 即 知 西方極樂 世 
X24n0470_002:0867c17	界。蓮開見佛。不想此處。就是蓮花化生。我今明說。	界 蓮 開 見 佛 不 想 此 處 就 是 蓮 花 化 生 我 今 明 說 
X24n0470_002:0867c18	信受奉行。此地下。金沙輪所持。金沙輪下水輪所	信受奉行 此 地 下 金 沙 輪 所 持 金 沙 輪 下 水 輪 所 
X24n0470_002:0867c19	持。水輪下風輪所持。風輪空虗所持。有一大蓮花	持 水 輪 下 風 輪 所 持 風 輪 空 虗 所 持 有 一 大 蓮 花 
X24n0470_002:0867c20	所載。一蓮花中。載一須彌山王。七環香海。七環金	所 載 一 蓮 花 中 載 一 須 彌 山 王 七 環 香 海 七 環 金 
X24n0470_002:0867c21	山。一四大鹽海。一四大洲。一日月所照。名一世界。	山 一 四 大 鹽 海 一 四 大 洲 一 日 月 所 照 名 一 世 界 
X24n0470_002:0867c22	小千世界。小千蓮花。每各一千。有一大蓮花。總載。	小千世界 小 千 蓮 花 每 各 一 千 有 一 大 蓮 花 總 載 
X24n0470_002:0867c23	名中世界。千箇中千世界。又一大蓮花總載。名為	名 中 世 界 千 箇 中千世界 又 一 大 蓮 花 總 載 名 為 
X24n0470_002:0867c24	三千大千世界。為一佛剎土。上下二十佛剎。最。下	三千大千世界 為 一 佛 剎 土 上 下 二 十 佛 剎 最 下 
X24n0470_002:0868a01	一大蓮花所持。名為寶光明剎種。妙光香水海。周	一 大 蓮 花 所 持 名 為 寶 光 明 剎 種 妙 光 香 水 海 周 
X24n0470_002:0868a02	圍十數。中間一數十數之外。又有十數。共二十一	圍 十 數 中 間 一 數 十 數 之 外 又 有 十 數 共 二 十 一 
X24n0470_002:0868a03	箇寶光明剎種。總該四百二十箇三千大千世界。	箇 寶 光 明 剎 種 總 該 四 百 二 十 箇 三千大千世界 
X24n0470_002:0868a04	又有一大蓮花所持。名華藏莊嚴世界海。是故。修	又 有 一 大 蓮 花 所 持 名 華 藏 莊 嚴 世 界 海 是 故 修 
X24n0470_002:0868a05	向蓮臺分明現。趙州橋者。即是兩腎。左腎為人種。	向 蓮 臺 分 明 現 趙 州 橋 者 即 是 兩 腎 左 腎 為 人 種 
X24n0470_002:0868a06	乃是先天父精。右腎為人根。乃是後天母血。精血	乃 是 先 天 父 精 右 腎 為 人 根 乃 是 後 天 母 血 精 血 
X24n0470_002:0868a07	聚會。結成色身。呼吸在兩腎起落。呼出是父精。吸	聚 會 結 成 色 身 呼 吸 在 兩 腎 起 落 呼 出 是 父 精 吸 
X24n0470_002:0868a08	入是母血。此是人的根種者也。號為趙州橋若是	入 是 母 血 此 是 人 的 根 種 者 也 號 為 趙 州 橋 若 是 
X24n0470_002:0868a09	趙州橋攤了。本性彌陀去了。故云。彌陀出現趙州	趙 州 橋 攤 了 本 性 彌 陀 去 了 故 云 彌 陀 出 現 趙 州 
X24n0470_002:0868a10	橋。	橋 
X24n0470_002:0868a11	無法可得。色即是空空是色。色是真空舍。權把房兒	無 法 可 得 色 即 是 空 空 是 色 色 是 真 空 舍 權 把 房 兒 
X24n0470_002:0868a12	借。佛。無二亦無別。海底嫦娥。却似天邊月。影落千江	借 佛 無 二 亦 無 別 海 底 嫦 娥 却 似 天 邊 月 影 落 千 江 
X24n0470_002:0868a13	月一攝。影落千江月一攝。	月 一 攝 影 落 千 江 月 一 攝 
X24n0470_002:0868a14	既然無法可得。自己就是真空法性。這箇真空法	既 然 無 法 可 得 自 己 就 是 真 空 法 性 這 箇 真 空 法 
X24n0470_002:0868a15	性。無有色相。則不能顯。色相無有真空法性。則不	性 無 有 色 相 則 不 能 顯 色 相 無 有 真 空 法 性 則 不 
X24n0470_002:0868a16	能生。無垢子云。法身與色身不必論疎親。皆賴東	能 生 無 垢 子 云 法 身 與 色 身 不 必 論 疎 親 皆 賴 東 
X24n0470_002:0868a17	君力。花柳一般春。故云。色即是空。空是色。此色身	君 力 花 柳 一 般 春 故 云 色 即 是 空 空 是 色 此 色 身 
X24n0470_002:0868a18	田如客店。主人暫住。主若離舍。屋即假塌。主人常	田 如 客 店 主 人 暫 住 主 若 離 舍 屋 即 假 塌 主 人 常 
X24n0470_002:0868a19	在。故云。色是真空舍。權把房兒借。我的佛。天地日	在 故 云 色 是 真 空 舍 權 把 房 兒 借 我 的 佛 天 地 日 
X24n0470_002:0868a20	月。山河大地。草木叢林。男女相貌。一切萬物皆是	月 山 河 大 地 草 木 叢 林 男 女 相 貌 一 切 萬 物 皆 是 
X24n0470_002:0868a21	真空發現是故。無二亦無別。嫦娥就是月也。水喻	真 空 發 現 是 故 無 二 亦 無 別 嫦 娥 就 是 月 也 水 喻 
X24n0470_002:0868a22	色身。月喻真空法性。故云海底嫦娥。却似天邊月。	色 身 月 喻 真 空 法 性 故 云 海 底 嫦 娥 却 似 天 邊 月 
X24n0470_002:0868a23	影落千江月一攝也。	影 落 千 江 月 一 攝 也 
X24n0470_002:0868a24	淨心行善。如露如電。作些透法。通行一線。	淨 心 行 善 如 露 如 電 作 些 透 法 通 行 一 線 
X24n0470_002:0868b01	清淨身心。行諸善法。復次佛又叫須菩提眾生本	清 淨 身 心 行 諸 善 法 復 次 佛 又 叫 須 菩 提 眾 生 本 
X24n0470_002:0868b02	性。與諸佛無二。故言。是法平等無有高下。是名叫	性 與 諸 佛 無 二 故 言 是 法 平 等 無有高下 是 名 叫 
X24n0470_002:0868b03	做阿耨多羅三藐三菩提。修三菩提人。以無我。無	做 阿耨多羅三藐三菩提 修 三 菩 提 人 以 無 我 無 
X24n0470_002:0868b04	人。無眾生。無壽者。修一切善法。則得阿耨多羅三	人 無 眾 生 無 壽 者 修 一 切 善 法 則 得 阿 耨 多 羅 三 
X24n0470_002:0868b05	藐三菩提。此菩提法。上至諸佛。下至昆蟲。盡含種	藐 三 菩 提 此 菩 提 法 上 至 諸 佛 下 至 昆 蟲 盡 含 種 
X24n0470_002:0868b06	智。故言平等。無有高下。但離四相。修一切善法。則	智 故 言 平 等 無有高下 但 離 四 相 修 一 切 善 法 則 
X24n0470_002:0868b07	得菩提。不離四相。修一萬年。不得菩提。何名善法。	得 菩 提 不 離 四 相 修 一 萬 年 不 得 菩 提 何 名 善 法 
X24n0470_002:0868b08	於一切法。心無染著。對一切境。心不動搖。於出世	於一切法 心 無 染 著 對 一 切 境 心 不 動 搖 於 出 世 
X24n0470_002:0868b09	法。不貪不愛。於一切處常行方便。到一切處。為說	法 不 貪 不 愛 於 一 切 處 常 行 方 便 到 一 切 處 為 說 
X24n0470_002:0868b10	正法。領悟菩提。是名修一切善法。佛又叫須菩提。	正 法 領 悟 菩 提 是 名 修 一 切 善 法 佛 又 叫 須 菩 提 
X24n0470_002:0868b11	所言善法者。希望果報。如來說非善法。若心不望	所 言 善 法 者 希 望 果 報 如 來 說 非 善 法 若 心 不 望 
X24n0470_002:0868b12	果報。是名善法。故云。淨心行善。一切修行之人。不	果 報 是 名 善 法 故 云 淨 心 行 善 一 切 修 行 之 人 不 
X24n0470_002:0868b13	識此理。但去參禪打坐。打七煉魔。拜經拜佛。念經	識 此 理 但 去 參 禪 打 坐 打 七 煉 魔 拜 經 拜 佛 念 經 
X24n0470_002:0868b14	念佛。燒香點燭。修寺建塔。齋僧布施。求生天上人	念 佛 燒 香 點 燭 修 寺 建 塔 齋 僧 布 施 求 生 天 上 人 
X24n0470_002:0868b15	間。後世福報。報盡還入地獄。這些有為之法。如露	間 後 世 福 報 報 盡 還 入 地 獄 這 些 有 為 之 法 如 露 
X24n0470_002:0868b16	如電。若要超生脫死。離色身外。別參一步。故云作	如 電 若 要 超 生 脫 死 離 色 身 外 別 參 一 步 故 云 作 
X24n0470_002:0868b17	些透法。通行一線。咦。通那一線。呵呵。裏外一體空。	些 透 法 通 行 一 線 咦 通 那 一 線 呵 呵 裏 外 一 體 空 
X24n0470_002:0868b18	諸人拿不著。	諸 人 拿 不 著 
X24n0470_002:0868b19	　淨心行善好脩行　　世上有卷無字經	 淨 心 行 善 好 脩 行 世 上 有 卷 無 字 經 
X24n0470_002:0868b20	　若還有人尋得見　　便是知識出世人	 若 還 有 人 尋 得 見 便 是 知 識 出 世 人 
X24n0470_002:0868b21	以清淨心。行諸善法。佛叫須菩提所言善法。希望	以 清 淨 心 行 諸 善 法 佛 叫 須 菩 提 所 言 善 法 希 望 
X24n0470_002:0868b22	果報。如來說。非是善法。不望果報。是名善法是故。	果 報 如 來 說 非 是 善 法 不 望 果 報 是 名 善 法 是 故 
X24n0470_002:0868b23	淨心行善好修行。雖然說一切善法。不望果報。乃	淨 心 行 善 好 修 行 雖 然 說 一 切 善 法 不 望 果 報 乃 
X24n0470_002:0868b24	是無字上發出來的。此一卷無字真經。又不在紙	是 無 字 上 發 出 來 的 此 一 卷 無 字 真 經 又 不 在 紙 
X24n0470_002:0868c01	上。又不在身上。又不在眼耳鼻舌上。又不在手。拈	上 又 不 在 身 上 又 不 在 眼 耳 鼻 舌 上 又 不 在 手 拈 
X24n0470_002:0868c02	脚走上。却在世上。科儀有偈曰。數行梵字雲中鴈。	脚 走 上 却 在 世 上 科 儀 有 偈 曰 數 行 梵 字 雲 中 鴈 
X24n0470_002:0868c03	一曲無聲澗底琴。德勝河沙渾不用。清風明月是	一 曲 無 聲 澗 底 琴 德 勝 河 沙 渾 不 用 清 風 明 月 是 
X24n0470_002:0868c04	知音。是故。世上有卷無字經。若還有人尋得見。便	知 音 是 故 世 上 有 卷 無 字 經 若 還 有 人 尋 得 見 便 
X24n0470_002:0868c05	是知識出世人也。	是 知 識 出 世 人 也 
X24n0470_002:0868c06	淨心行善。般若堂中去參禪。若要光明現。單單提一	淨 心 行 善 般 若 堂 中 去 參 禪 若 要 光 明 現 單 單 提 一 
X24n0470_002:0868c07	念。佛。著力用心參。萬法皆空。無為真人現。自在逍遙	念 佛 著 力 用 心 參 萬 法 皆 空 無 為 真 人 現 自 在 逍 遙 
X24n0470_002:0868c08	坐寶蓮。自在逍遙坐寶蓮。	坐 寶 蓮 自 在 逍 遙 坐 寶 蓮 
X24n0470_002:0868c09	淨心行善之人。要在般若堂中。參禪見性。忽然斷	淨 心 行 善 之 人 要 在 般 若 堂 中 參 禪 見 性 忽 然 斷 
X24n0470_002:0868c10	炮一聲信手掀開娘生屋。掇轉虗空無一物。淨然	炮 一 聲 信 手 掀 開 娘 生 屋 掇 轉 虗 空 無 一 物 淨 然 
X24n0470_002:0868c11	獨露活真人。若到這般田地。纔進我的大門。今時	獨 露 活 真 人 若 到 這 般 田 地 纔 進 我 的 大 門 今 時 
X24n0470_002:0868c12	有等迷人。不識此理。到去深淨閒處。不見人言所	有 等 迷 人 不 識 此 理 到 去 深 淨 閒 處 不 見 人 言 所 
X24n0470_002:0868c13	在。打辦身心晝夜蒲團不倒。謂之般若。呵呵。差之	在 打 辦 身 心 晝 夜 蒲 團 不 倒 謂 之 般 若 呵 呵 差 之 
X24n0470_002:0868c14	毫厘。失之千里。此般若堂。乃是般若之理。昔日梵	毫 厘 失 之 千 里 此 般 若 堂 乃 是 般 若 之 理 昔 日 梵 
X24n0470_002:0868c15	志。手執梧桐花。獻佛。佛云。放下著。梵志放下一手	志 手 執 梧 桐 花 獻 佛 佛 云 放 下 著 梵 志 放 下 一 手 
X24n0470_002:0868c16	花。佛復云。放下著。梵志又放下一手花。佛。亦云。放	花 佛 復 云 放 下 著 梵 志 又 放 下 一 手 花 佛 亦 云 放 
X24n0470_002:0868c17	下著。梵志言。我兩手花。俱以放下了。時今又叫我	下 著 梵 志 言 我 兩 手 花 俱 以 放 下 了 時 今 又 叫 我 
X24n0470_002:0868c18	放甚麼佛云。放下中間的。梵志豁然大悟。金剛經	放 甚 麼 佛 云 放 下 中 間 的 梵 志 豁 然 大 悟 金 剛 經 
X24n0470_002:0868c19	云。無諍三昧。人中最為第一。清淨經云。上士無諍。	云 無諍三昧 人 中 最 為 第 一 清 淨 經 云 上 士 無 諍 
X24n0470_002:0868c20	下士好諍。上德不德。下德執德。執著之者。不明道	下 士 好 諍 上 德 不 德 下 德 執 德 執 著 之 者 不 明 道 
X24n0470_002:0868c21	德。所以眾生不能成道者。法華經云。心同虗空界。	德 所 以 眾 生 不 能 成 道 者 法 華 經 云 心 同 虗 空 界 
X24n0470_002:0868c22	示等虗空法。證得虗空時。無是無非法。明白得此	示 等 虗 空 法 證 得 虗 空 時 無 是 無 非 法 明 白 得 此 
X24n0470_002:0868c23	理。纔是般若堂中參禪的人。行人若要自己光明	理 纔 是 般 若 堂 中 參 禪 的 人 行 人 若 要 自 己 光 明 
X24n0470_002:0868c24	顯現。切須提起一念。不要放他妄想上去了。便是	顯 現 切 須 提 起 一 念 不 要 放 他 妄 想 上 去 了 便 是 
X24n0470_002:0869a01	輪迴之根。不要放他無明上著脚。便是地獄之種	輪 迴 之 根 不 要 放 他 無 明 上 著 脚 便 是 地 獄 之 種 
X24n0470_002:0869a02	不要放他慳貪上去了。便是餓鬼根。不要放他煩	不 要 放 他 慳 貪 上 去 了 便 是 餓 鬼 根 不 要 放 他 煩 
X24n0470_002:0869a03	惱上住脚便是毒蛇之類。不要放他。我慢上去了。	惱 上 住 脚 便 是 毒 蛇 之 類 不 要 放 他 我 慢 上 去 了 
X24n0470_002:0869a04	便是脩羅之種。不要放他。愚癡上去了。便是畜生	便 是 脩 羅 之 種 不 要 放 他 愚 癡 上 去 了 便 是 畜 生 
X24n0470_002:0869a05	之根。時時刻刻。提起本主一念。不要放捨。是故行	之 根 時 時 刻 刻 提 起 本 主 一 念 不 要 放 捨 是 故 行 
X24n0470_002:0869a06	住坐臥。不離這箇。若離這箇。當面蹉過。如是行持	住 坐 臥 不 離 這 箇 若 離 這 箇 當 面 蹉 過 如 是 行 持 
X24n0470_002:0869a07	纔是佛門弟子。我的佛。著力用心參。直要參到萬	纔 是 佛 門 弟 子 我 的 佛 著 力 用 心 參 直 要 參 到 萬 
X24n0470_002:0869a08	法皆空時節。現出自己無為真人。普覆大千沙界。	法 皆 空 時 節 現 出 自 己 無 為 真 人 普 覆 大 千 沙 界 
X24n0470_002:0869a09	纔得自在逍遙坐寶蓮。咄。有一等人。口參大道。心	纔 得 自 在 逍 遙 坐 寶 蓮 咄 有 一 等 人 口 參 大 道 心 
X24n0470_002:0869a10	住貪真何也。呀。此人家事不辦。心又不足。恩愛不	住 貪 真 何 也 呀 此 人 家 事 不 辦 心 又 不 足 恩 愛 不 
X24n0470_002:0869a11	棄。六欲不除。煩惱不斷。蓋覆佛性。到臨危之時。眼	棄 六 欲 不 除 煩 惱 不 斷 蓋 覆 佛 性 到 臨 危 之 時 眼 
X24n0470_002:0869a12	光落地。一切不見。地獄裏去了。非干我事。	光 落 地 一 切 不 見 地 獄 裏 去 了 非 干 我 事 
X24n0470_002:0869a13	福智無比。透骨透髓。轉上崑崙。了達生死。	福 智 無 比 透 骨 透 髓 轉 上 崑 崙 了 達 生 死 
X24n0470_002:0869a14	福智等虗空。無物可比喻。佛叫須菩提。若三千大	福 智 等 虗 空 無 物 可 比 喻 佛 叫 須 菩 提 若 三 千 大 
X24n0470_002:0869a15	千世界中。所有許多諸須彌山王。如是金銀。琉璃。	千 世 界 中 所 有 許 多 諸 須 彌 山 王 如 是 金 銀 琉 璃 
X24n0470_002:0869a16	珊瑚。瑪瑙。真珠。琥珀等。七寶聚有人持用布施若	珊 瑚 瑪 瑙 真 珠 琥 珀 等 七 寶 聚 有 人 持用布施 若 
X24n0470_002:0869a17	人以此金剛般若波羅密經。乃至這四句偈等。受	人 以 此 金 剛 般 若 波 羅 密 經 乃 至 這 四 句 偈 等 受 
X24n0470_002:0869a18	持讀誦。為他人說。於前七寶福德。百分不及其一。	持 讀 誦 為 他 人 說 於 前 七 寶 福 德 百 分 不 及 其 一 
X24n0470_002:0869a19	就是百千萬億分乃至只當算數。譬喻將來。所不	就 是 百 千萬億分 乃 至 只 當 算 數 譬 喻 將 來 所 不 
X24n0470_002:0869a20	能及。大鐵圍山高至三禪天。中鐵圍山。高至二禪。	能 及 大鐵圍山 高 至 三 禪 天 中 鐵 圍 山 高 至 二 禪 
X24n0470_002:0869a21	小鐵圍山。高至初禪。此三鐵圍山。喻六欲七情。見	小 鐵 圍 山 高 至 初 禪 此 三 鐵 圍 山 喻 六 欲 七 情 見 
X24n0470_002:0869a22	聞覺知人我貢高。須彌山高八萬四千由旬。喻八	聞 覺 知 人 我 貢 高 須 彌 山 高 八萬四千 由 旬 喻 八 
X24n0470_002:0869a23	萬四千塵勞妄想。三千大千世界。喻貪嗔癡。各一	萬 四 千 塵 勞 妄 想 三千大千世界 喻 貪 嗔 癡 各 一 
X24n0470_002:0869a24	千。若人將自己真七寶布施。勝是你金銀琉璃。七	千 若 人 將 自 己 真 七 寶 布 施 勝 是 你 金 銀 琉 璃 七 
X24n0470_002:0869b01	寶等布施。何名真七寶布施。眼不貪色。名色寶布	寶 等 布 施 何 名 真 七 寶 布 施 眼 不 貪 色 名 色 寶 布 
X24n0470_002:0869b02	施。耳不貪聲。名聲寶布施。鼻不貪香。名。香寶布施。	施 耳 不 貪 聲 名 聲 寶 布 施 鼻 不 貪 香 名 香 寶 布 施 
X24n0470_002:0869b03	舌不貪味。名味寶布施身不貪觸名觸寶布施。意	舌 不 貪 味 名 味 寶 布 施 身 不 貪 觸 名 觸 寶 布 施 意 
X24n0470_002:0869b04	不妄想。名法寶布施。性不起念名佛寶布施。此是	不 妄 想 名 法 寶 布 施 性 不 起 念 名 佛 寶 布 施 此 是 
X24n0470_002:0869b05	金剛般若波羅密法。故云。福智比。透骨透髓崑崙	金 剛 般 若 波 羅 密 法 故 云 福 智 比 透 骨 透 髓 崑 崙 
X24n0470_002:0869b06	者。乃是須彌山王。三界諸天。俱在須彌頂上。若行	者 乃 是 須 彌 山 王 三 界 諸 天 俱 在 須 彌 頂 上 若 行 
X24n0470_002:0869b07	人超出三界。故云。轉上崑崙。了達生死。咄。若要超	人 超出三界 故 云 轉 上 崑 崙 了 達 生 死 咄 若 要 超 
X24n0470_002:0869b08	三界。萬雙草鞋跑。呀。怎麼超得過。咦。打死了識心。	三 界 萬 雙 草 鞋 跑 呀 怎 麼 超 得 過 咦 打 死 了 識 心 
X24n0470_002:0869b09	現在三界外。今時有等迷人。運氣冲天透頂皮。尾	現 在 三 界 外 今 時 有 等 迷 人 運 氣 冲 天 透 頂 皮 尾 
X24n0470_002:0869b10	閭穴。發了火後起透過背脊雙關。上透紫微闕。穿	閭 穴 發 了 火 後 起 透 過 背 脊 雙 關 上 透 紫 微 闕 穿 
X24n0470_002:0869b11	過崑崙頂。降下明堂。雀橋重樓。送入丹田。與嬰兒	過 崑 崙 頂 降 下 明 堂 雀 橋 重 樓 送 入 丹 田 與 嬰 兒 
X24n0470_002:0869b12	姹女。懷胎結聖。叫做轉上崑崙。了達生死。若是一	姹 女 懷 胎 結 聖 叫 做 轉 上 崑 崙 了 達 生 死 若 是 一 
X24n0470_002:0869b13	把火燒了色身。崑崙山也燒了也。我看你那裏去	把 火 燒 了 色 身 崑 崙 山 也 燒 了 也 我 看 你 那 裏 去 
X24n0470_002:0869b14	安身立命。呵呵千差萬差。差得者。不曾見也。	安 身 立 命 呵 呵 千 差 萬 差 差 得 者 不 曾 見 也 
X24n0470_002:0869b15	　福智無比要心堅　　優鉢花開無兩般	 福 智 無 比 要 心 堅 優 鉢 花 開 無 兩 般 
X24n0470_002:0869b16	　大道分明從此出　　佛的三昧本難傳	 大 道 分 明 從 此 出 佛 的 三 昧 本 難 傳 
X24n0470_002:0869b17	福者。七寶布施之福。智者。說法方便之智。福智比	福 者 七 寶 布 施 之 福 智 者 說 法 方 便 之 智 福 智 比 
X24n0470_002:0869b18	愚將來。百分不及其一。若修智慧。先要心堅。是故	愚 將 來 百 分 不 及 其 一 若 修 智 慧 先 要 心 堅 是 故 
X24n0470_002:0869b19	福智無比要心堅。世上的優鉢羅花。乃是黃白花。	福 智 無 比 要 心 堅 世 上 的 優 鉢 羅 花 乃 是 黃 白 花 
X24n0470_002:0869b20	此花不是世上的。此喻說法方便。由是優鉢羅花	此 花 不 是 世 上 的 此 喻 說 法 方 便 由 是 優 鉢 羅 花 
X24n0470_002:0869b21	開。無有諍害之意。故云。無兩般。譬如暗中寶。無燈	開 無 有 諍 害 之 意 故 云 無 兩 般 譬 如 暗 中 寶 無 燈 
X24n0470_002:0869b22	不可見。佛法無人說。雖慧不能了。是故大道分明	不 可 見 佛 法 無 人 說 雖 慧 不 能 了 是 故 大 道 分 明 
X24n0470_002:0869b23	從此出。惟有佛的三昧。實是難說難傳。若得聲聞	從 此 出 惟 有 佛 的 三 昧 實 是 難 說 難 傳 若 得 聲 聞 
X24n0470_002:0869b24	乘法。緣覺乘法。菩薩乘法。三界諸天法。求生西方	乘 法 緣 覺 乘 法 菩 薩 乘 法 三 界 諸 天 法 求 生 西 方 
X24n0470_002:0869c01	法。求後世為人法這些有傳有受。有教。有證。這便	法 求 後 世 為 人 法 這 些 有 傳 有 受 有 教 有 證 這 便 
X24n0470_002:0869c02	好傳。佛的三昧。乃是虗靈。人空法空萬法皆空。纖	好 傳 佛 的 三 昧 乃 是 虗 靈 人 空 法 空 萬 法 皆 空 纖 
X24n0470_002:0869c03	塵不起。萬法不識教我傳箇甚麼。故云。佛的三昧	塵 不 起 萬 法 不 識 教 我 傳 箇 甚 麼 故 云 佛 的 三 昧 
X24n0470_002:0869c04	本難傳。	本 難 傳 
X24n0470_002:0869c05	福智無比。萬丈玄門過客希。道理非容易。不離方寸	福 智 無 比 萬 丈 玄 門 過 客 希 道 理 非 容 易 不 離 方 寸 
X24n0470_002:0869c06	地。佛。真如透漕溪。一點靈光。自然明歷歷。八卦乾坤	地 佛 真 如 透 漕 溪 一 點 靈 光 自 然 明 歷 歷 八 卦 乾 坤 
X24n0470_002:0869c07	合太極。八卦乾坤合太極。	合 太 極 八 卦 乾 坤 合 太 極 
X24n0470_002:0869c08	修福者七寶布施之福。求生天上人間富貴報。若	修 福 者 七 寶 布 施 之 福 求 生 天 上 人 間 富 貴 報 若 
X24n0470_002:0869c09	脩智慧。由如虗空不可度量。故云。福智無比。此一	脩 智 慧 由 如 虗 空 不 可 度 量 故 云 福 智 無 比 此 一 
X24n0470_002:0869c10	卷金剛經。的玄妙之理。最廣最大。即是無人踏著。	卷 金 剛 經 的 玄 妙 之 理 最 廣 最 大 即 是 無 人 踏 著 
X24n0470_002:0869c11	故云。萬丈玄門過客希。此經之理不於一佛二佛。	故 云 萬 丈 玄 門 過 客 希 此 經 之 理 不 於 一 佛 二 佛 
X24n0470_002:0869c12	三四五佛。而種善根。以依無量千萬佛所種之善	三 四 五 佛 而 種 善 根 以 依 無 量 千 萬 佛 所 種 之 善 
X24n0470_002:0869c13	根。聞是金剛經。文字章句。是故。道理非容易。此一	根 聞 是 金 剛 經 文 字 章 句 是 故 道 理 非 容 易 此 一 
X24n0470_002:0869c14	卷金剛經。不在紙上。又不在字脚上。却在本性上。	卷 金 剛 經 不 在 紙 上 又 不 在 字 脚 上 却 在 本 性 上 
X24n0470_002:0869c15	故云。不離方寸地。我的佛。真如。乃是本性真如。漕	故 云 不 離 方 寸 地 我 的 佛 真 如 乃 是 本 性 真 如 漕 
X24n0470_002:0869c16	溪。乃是漕溪六祖。昔日。六祖參五祖時。五祖問。汝	溪 乃 是 漕 溪 六 祖 昔 日 六 祖 參 五 祖 時 五 祖 問 汝 
X24n0470_002:0869c17	自何來。答曰。嶺南。五祖曰。欲須何事。答曰。唯求作	自 何 來 答 曰 嶺 南 五 祖 曰 欲 須 何 事 答 曰 唯 求 作 
X24n0470_002:0869c18	佛。祖曰。嶺南人。無佛性。答曰。人有南北。佛性豈然。	佛 祖 曰 嶺 南 人 無 佛 性 答 曰 人 有 南 北 佛 性 豈 然 
X24n0470_002:0869c19	是故。真如透漕溪。明得此理者。眼看耳聽。鼻聞口	是 故 真 如 透 漕 溪 明 得 此 理 者 眼 看 耳 聽 鼻 聞 口 
X24n0470_002:0869c20	說。手拈脚。走。故云。一點靈光。自然明歷歷。八卦者。	說 手 拈 脚 走 故 云 一 點 靈 光 自 然 明 歷 歷 八 卦 者 
X24n0470_002:0869c21	乾坎艮震巽離坤兌。按東西南北。四維。故云八卦	乾 坎 艮 震 巽 離 坤 兌 按 東 西 南 北 四 維 故 云 八 卦 
X24n0470_002:0869c22	乾坤合太極。今時有等邪人。說背脊中。是。漕溪路。	乾 坤 合 太 極 今 時 有 等 邪 人 說 背 脊 中 是 漕 溪 路 
X24n0470_002:0869c23	呵呵。差之毫厘也。	呵 呵 差 之 毫 厘 也 
X24n0470_002:0869c24	化無所化。不分小大。參透正法。自有高下。	化 無 所 化 不 分 小 大 參 透 正 法 自 有 高 下 
X24n0470_002:0870a01	眾生性本空。化亦無所化佛叫須菩提。於意云何。	眾 生 性 本 空 化 亦 無 所 化 佛 叫 須 菩 提 於意云何 
X24n0470_002:0870a02	汝等勿謂如來作度眾生是念。我當度脫眾生。須	汝 等 勿 謂 如 來 作 度 眾 生 是 念 我 當 度 脫 眾 生 須 
X24n0470_002:0870a03	菩提。莫作如此之念。何以故。實無有眾生如來度	菩 提 莫 作 如 此 之 念 何 以 故 實 無 有 眾 生 如 來 度 
X24n0470_002:0870a04	者。若見有眾生如來度者。如來。也四相不除。則有	者 若 見 有 眾 生 如 來 度 者 如 來 也 四 相 不 除 則 有 
X24n0470_002:0870a05	我人眾生壽者。如此之語。佛。不曾度眾生。眾生若	我 人 眾 生 壽 者 如 此 之 語 佛 不 曾 度 眾 生 眾 生 若 
X24n0470_002:0870a06	要度。殊非自度自。佛又叫須菩提。如來說。有我者。	要 度 殊 非 自 度 自 佛 又 叫 須 菩 提 如 來 說 有 我 者 
X24n0470_002:0870a07	乃是自己真。我本無形相。則非有我。而凡夫之人。	乃 是 自 己 真 我 本 無 形 相 則 非 有 我 而 凡 夫 之 人 
X24n0470_002:0870a08	看見佛相。我人不除。以為有我。須菩提。凡夫者。如	看 見 佛 相 我 人 不 除 以 為 有 我 須 菩 提 凡 夫 者 如 
