T85n2794_001:0683c03	律抄	律 抄 
T85n2794_001:0690a07	熱。於比丘尼不淨。於比丘是淨　問曰。云何	熱 於 比 丘 尼 不 淨 於 比 丘 是 淨 問 曰 云 何 
T85n2794_001:0690a08	觸淨不觸淨　答。不觸淨者。破戒比丘惡心	觸 淨 不 觸 淨 答 不 觸 淨 者 破 戒 比 丘 惡 心 
T85n2794_001:0690a09	故觸持戒比丘。悟觸皆不名觸者。要持戒比	故 觸 持 戒 比 丘 悟 觸 皆 不 名 觸 者 要 持 戒 比 
T85n2794_001:0690a10	丘解怠心觸。是名觸淨　問曰。觸生果菜。是	丘 解 怠 心 觸 是 名 觸 淨 問 曰 觸 生 果 菜 是 
T85n2794_001:0690a11	犯不　答曰。生菓菜萇未足觸不犯　答。萇	犯 不 答 曰 生 菓 菜 萇 未 足 觸 不 犯 答 萇 
T85n2794_001:0690a12	足以名為觸淨　問曰。不淨地菓菜得入淨	足 以 名 為 觸 淨 問 曰 不 淨 地 菓 菜 得 入 淨 
T85n2794_001:0690a13	厨不　答曰。僧祇明。不淨地菓菜淨人知以	厨 不 答 曰 僧 祇 明 不 淨 地 菓 菜 淨 人 知 以 
T85n2794_001:0690a14	但不逕宿。是淨　問曰。有人護檀越家淨。此	但 不 逕 宿 是 淨 問 曰 有 人 護 檀 越 家 淨 此 
T85n2794_001:0690a15	事云何　答曰。白衣舍有觸不觸。若持食之	事 云 何 答 曰 白 衣 舍 有 觸 不 觸 若 持 食 之 
T85n2794_001:0690a16	施僧時。此食置僧坐中地。未更受得大比丘	施 僧 時 此 食 置 僧 坐 中 地 未 更 受 得 大 比 丘 
T85n2794_001:0690a17	觸。是名觸淨。檀越家器物不定屬。僧雖觸不	觸 是 名 觸 淨 檀 越 家 器 物 不 定 屬 僧 雖 觸 不 
T85n2794_001:0690a18	犯　問曰。噉不淨食。得何罪報　答曰。華鮮	犯 問 曰 噉 不 淨 食 得 何 罪 報 答 曰 華 鮮 
T85n2794_001:0690a19	經云。食不淨食。五百萬世墮猪豚蜣蜋中。五	經 云 食 不 淨 食 五 百 萬 世 墮 猪 豚 蜣 蜋 中 五 
T85n2794_001:0690a20	百萬世墮狗中。五百萬世墮圊廁中作虫常	百 萬 世 墮 狗 中 五 百 萬 世 墮 圊 廁 中 作 虫 常 
T85n2794_001:0690a21	食不淨　問曰。知他立淨觸者。此復云何	食 不 淨 問 曰 知 他 立 淨 觸 者 此 復 云 何 
T85n2794_001:0690a22	　答曰。華鮮經云。故觸僧淨。五百萬世身無手	 答 曰 華 鮮 經 云 故 觸 僧 淨 五 百 萬 世 身 無 手 
T85n2794_001:0690a23	足　問曰。比丘具幾德得度弟子　答曰。要	足 問 曰 比 丘 具 幾 德 得 度 弟 子 答 曰 要 
T85n2794_001:0690a24	十德堪與人作和上。亦得受依止。及度沙彌。	十 德 堪 與 人 作 和 上 亦 得 受 依 止 及 度 沙 彌 
T85n2794_001:0690a25	何者為十。一持戒具足。二學戒。三學定。四學	何 者 為 十 一 持 戒 具 足 二 學 戒 三 學 定 四 學 
T85n2794_001:0690a26	惠。五學多文毘尼。六多聞阿毘曇。七能自看	惠 五 學 多 文 毘 尼 六 多 聞 阿 毘 曇 七 能 自 看 
T85n2794_001:0690a27	病使人看。八自能出罪伏使人出。九弟子有	病 使 人 看 八 自 能 出 罪 伏 使 人 出 九 弟 子 有 
T85n2794_001:0690a28	梵行難。能自送脫難。使人送脫。十具十[萉巴+(日/(句口+匕))]成	梵 行 難 能 自 送 脫 難 使 人 送 脫 十 具 十 [萉巴日句口匕] 成 
T85n2794_001:0690a29	就。若具依止此五不具盡受依止　問曰。比	就 若 具 依 止 此 五 不 具 盡 受 依 止 問 曰 比 
T85n2794_001:0690b01	丘不具十德。度人與人依止。五德不具作阿	丘 不 具 十 德 度 人 與 人 依 止 五 德 不 具 作 阿 
T85n2794_001:0690b02	闍梨者為得何罪　答曰。隨德不具各犯突	闍 梨 者 為 得 何 罪 答 曰 隨 德 不 具 各 犯 突 
T85n2794_001:0690b03	吉羅　問曰。比丘不滿五[萉巴+(日/(句口+匕))]。一日不請教戒	吉 羅 問 曰 比 丘 不 滿 五 [萉巴日句口匕] 一 日 不 請 教 戒 
T85n2794_001:0690b04	三問訊。師為得何罪　答曰。犯突吉羅罪	三 問 訊 師 為 得 何 罪 答 曰 犯 突 吉 羅 罪 
T85n2794_001:0690b05	　問曰。十德比丘一歲得度幾人　答曰。四分	 問 曰 十 德 比 丘 一 歲 得 度 幾 人 答 曰 四 分 
T85n2794_001:0690b06	律云。十二月為一歲。得度一人。大戒復更一	律 云 十 二 月 為 一 歲 得 度 一 人 大 戒 復 更 一 
T85n2794_001:0690b07	歲。得度一人。依止復更一歲。得度一沙彌	歲 得 度 一 人 依 止 復 更 一 歲 得 度 一 沙 彌 
T85n2794_001:0690b08	　問曰。有人言。比丘尼應向沙彌禮拜。當云何	 問 曰 有 人 言 比 丘 尼 應 向 沙 彌 禮 拜 當 云 何 
T85n2794_001:0690b09	　答。此言擗悟。三部律明。五眾敬法。小沙彌	 答 此 言 擗 悟 三 部 律 明 五 眾 敬 法 小 沙 彌 
T85n2794_001:0690b10	應禮大沙彌尼。何況大尼不得沙彌禮也	應 禮 大 沙 彌 尼 何 況 大 尼 不 得 沙 彌 禮 也 
T85n2794_001:0690b11	　問曰。比丘尼問布薩請教戒比丘尼法。於半	 問 曰 比 丘 尼 問 布 薩 請 教 戒 比 丘 尼 法 於 半 
T85n2794_001:0690b12	月月盡。比丘尼眾和合白二羯磨差。解法比	月 月 盡 比 丘 尼 眾 和 合 白二羯磨 差 解 法 比 
T85n2794_001:0690b13	丘尼二為伴往至僧中。不得囑授上坐下坐	丘 尼 二 為 伴 往 至 僧 中 不 得 囑 授 上 坐 下 坐 
T85n2794_001:0690b14	客比丘病比丘。當囑授中坐。知法比丘言。大	客 比 丘 病 比 丘 當 囑 授 中 坐 知 法 比 丘 言 大 
T85n2794_001:0690b15	德憶念。我比丘言。大德尼某甲。眾和合禮大	德 憶 念 我 比 丘 言 大 德 尼 某 甲 眾 和 合 禮 大 
T85n2794_001:0690b16	僧足。請教戒人。如是三說。敬還向本寺。即夜	僧 足 請 教 戒 人 如是三說 敬 還 向 本 寺 即 夜 
T85n2794_001:0690b17	各自說戒。僧說戒時。誦戒人問言。誰受比丘	各 自 說 戒 僧 說 戒 時 誦 戒 人 問 言 誰 受 比 丘 
T85n2794_001:0690b18	尼囑授請教戒人。受囑者即起禮僧足。以白	尼 囑 授 請 教 戒 人 受 囑 者 即 起 禮 僧 足 以 白 
T85n2794_001:0690b19	僧。大德僧聽。比丘尼某甲眾和合。禮大德僧	僧 大德僧聽 比 丘 尼 某 甲 眾 和 合 禮 大 德 僧 
T85n2794_001:0690b20	足。請教戒人。如是三說。已往上坐前。上坐問	足 請 教 戒 人 如是三說 已 往 上 坐 前 上 坐 問 
T85n2794_001:0690b21	言。尼請誰。若言某甲若言僧次。請隨尼白二	言 尼 請 誰 若 言 某 甲 若 言 僧 次 請 隨 尼 白 二 
T85n2794_001:0690b22	羯磨差定。然後說戒教戒尼人要具十德。何	羯 磨 差 定 然 後 說 戒 教 戒 尼 人 要 具 十 德 何 
T85n2794_001:0690b23	者是。一者戒律具足。二者廣誦二部毘尼。三	者 是 一 者 戒 律 具 足 二 者 廣 誦 二 部 毘 尼 三 
T85n2794_001:0690b24	者多聞。四決斷無疑。五善解說法。六者族姓	者 多 聞 四 決 斷 無 疑 五 善 解 說 法 六 者 族 姓 
T85n2794_001:0690b25	出家。七者顏貌端政。八者堪能與比丘尼說。	出 家 七 者 顏 貌 端 政 八 者 堪 能 與 比 丘 尼 說 
T85n2794_001:0690b26	九者不犯重禁。十者二十[萉巴+(日/(句口+匕))]。若具此十德得	九 者 不 犯 重 禁 十 者 二 十 [萉巴日句口匕] 若 具 此 十 德 得 
T85n2794_001:0690b27	教戒比丘尼。闕一不得者。若說戒竟至明日	教 戒 比 丘 尼 闕 一 不 得 者 若 說 戒 竟 至 明 日 
T85n2794_001:0690b28	清旦。比丘尼還往大德僧寺中。至先囑授人	清 旦 比 丘 尼 還 往 大 德 僧 寺 中 至 先 囑 授 人 
T85n2794_001:0690b29	所問言。大德教戒人不。若言得。問誰是。若言	所 問 言 大 德 教 戒 人 不 若 言 得 問 誰 是 若 言 
T85n2794_001:0690c01	某甲。即往教授人所言。大德若願教戒比丘	某 甲 即 往 教 授 人 所 言 大 德 若 願 教 戒 比 丘 
T85n2794_001:0690c02	尼。何日當往。除前三後二中間十日。剋日當	尼 何 日 當 往 除 前 三 後 二 中 間 十 日 剋 日 當 
T85n2794_001:0690c03	往。至日比丘不往突吉羅。尼不來。半申旬迎	往 至 日 比 丘 不 往 突 吉 羅 尼 不 來 半 申 旬 迎 
T85n2794_001:0690c04	得突吉羅。為辨種種飲食。及蹉洗足具與持	得 突 吉 羅 為 辨 種 種 飲 食 及 蹉 洗 足 具 與 持 
T85n2794_001:0690c05	衣鉢。至寺四打椎集尼眾。教師即為說八敬。	衣 鉢 至 寺 四 打 椎 集 尼 眾 教 師 即 為 說 八 敬 
T85n2794_001:0690c06	已更說餘法。上來所明皆是具足教法。今時末	已 更 說 餘 法 上 來 所 明 皆 是 具 足 教 法 今 時 末 
T85n2794_001:0690c07	代十德難備。時復云何。今時教者亦明。半月	代 十 德 難 備 時 復 云 何 今 時 教 者 亦 明 半 月 
T85n2794_001:0690c08	盡尼眾和合白二羯磨差。知法比丘尼二人為	盡 尼 眾 和 合 白二羯磨 差 知 法 比 丘 尼 二 人 為 
T85n2794_001:0690c09	伴。往大僧寺如前囑授知法比丘竟。尼即還	伴 往 大 僧 寺 如 前 囑 授 知 法 比 丘 竟 尼 即 還 
T85n2794_001:0690c10	寺。各自說戒。僧說戒時。所囑授人即起白僧	寺 各 自 說 戒 僧 說 戒 時 所 囑 授 人 即 起 白 僧 
T85n2794_001:0690c11	言。大德僧聽。比丘尼某甲和合禮大德足。請	言 大德僧聽 比 丘 尼 某 甲 和 合 禮 大 德 足 請 
T85n2794_001:0690c12	教戒人。如是三說僧說戒竟。往上坐前。上坐	教 戒 人 如是三說 僧 說 戒 竟 往 上 坐 前 上 坐 
T85n2794_001:0690c13	問言。尼請誰。答言隨僧。上坐應使受囑人次	問 言 尼 請 誰 答 言 隨 僧 上 坐 應 使 受 囑 人 次 
T85n2794_001:0690c14	第問僧二十[萉巴+(日/(句口+匕))]以上。若無教人。上坐應語囑	第 問 僧 二 十 [萉巴日句口匕] 以 上 若 無 教 人 上 坐 應 語 囑 
T85n2794_001:0690c15	授人言。明日比丘尼來時答言。眾僧有教時	授 人 言 明 日 比 丘 尼 來 時 答 言 眾 僧 有 教 時 
T85n2794_001:0690c16	此眾中無教戒比丘尼人。語比丘尼。眾和合	此 眾 中 無 教 戒 比 丘 尼 人 語 比 丘 尼 眾 和 合 
T85n2794_001:0690c17	謹慎。如法莫教逸。至十六日尼往僧寺內。問	謹 慎 如 法 莫 教 逸 至 十 六 日 尼 往 僧 寺 內 問 
T85n2794_001:0690c18	所囑人言。得教戒不。答曰不得。大德僧有教。	所 囑 人 言 得 教 戒 不 答 曰 不 得 大 德 僧 有 教 
T85n2794_001:0690c19	如上坐奉教以還寺內。鳴犍椎集尼。僧已應	如 上 坐 奉 教 以 還 寺 內 鳴 犍 椎 集 尼 僧 已 應 
T85n2794_001:0690c20	言。大僧有教時。此眾中無教戒尼人。語比丘	言 大 僧 有 教 時 此 眾 中 無 教 戒 尼 人 語 比 丘 
T85n2794_001:0690c21	尼。眾和合謹慎莫放逸。尼比日應言。頂戴	尼 眾 和 合 謹 慎 莫 放 逸 尼 比 日 應 言 頂 戴 
T85n2794_001:0690c22	持。	持 
T85n2794_001:0690c23	律抄壹卷	律 抄 壹 卷 
