T24n1464_001:0851a03	鼻奈耶序	鼻 奈 耶 序 
T24n1464_009:0890a11	得免去，前值山水流駛，墮水死者無數人，所	得 免 去 前 值 山 水 流 駛 墮 水 死 者 無 數 人 所 
T24n1464_009:0890a12	立處復有狼虎欲來害人，意欲渡水無有舟	立 處 復 有 狼 虎 欲 來 害 人 意 欲 渡 水 無 有 舟 
T24n1464_009:0890a13	船，便作是念：『我以何方便得渡此水？』即收	船 便 作 是 念 我 以 何 方 便 得 渡 此 水 即 收 
T24n1464_009:0890a14	草木縛以為筏，手足排水，得到彼岸，得脫四	草 木 縛 以 為 筏 手 足 排 水 得 到 彼 岸 得 脫 四 
T24n1464_009:0890a15	蛇、五賊、六怨家、空舍賊，山水虎狼得度，婆羅	蛇 五 賊 六 怨 家 空 舍 賊 山 水 虎 狼 得 度 婆 羅 
T24n1464_009:0890a16	門得活。」佛告阿那律：「所以引喻者，當解此義。	門 得 活 佛 告 阿 那 律 所 以 引 喻 者 當 解 此 義 
T24n1464_009:0890a17	蛇所居，以喻此身。身肥白好，由父母得長，此	蛇 所 居 以 喻 此 身 身 肥 白 好 由 父 母 得 長 此 
T24n1464_009:0890a18	亦無常是壞敗法。四蛇者，是四大，地界水火	亦 無 常 是 壞 敗 法 四 蛇 者 是 四 大 地 界 水 火 
T24n1464_009:0890a19	風界各各增，則死不疑。五賊者，喻五陰，色痛	風 界 各 各 增 則 死 不 疑 五 賊 者 喻 五 陰 色 痛 
T24n1464_009:0890a20	想行識。六怨家者，喻六入。空聚者，喻六情，眼	想 行 識 六 怨 家 者 喻 六 入 空 聚 者 喻 六 情 眼 
T24n1464_009:0890a21	耳鼻舌身意處。觀眼眼空，觀耳鼻舌身心心	耳 鼻 舌 身 意 處 觀 眼 眼 空 觀 耳 鼻 舌 身 心 心 
T24n1464_009:0890a22	空。出門見賊者，外六塵。山水者，四使，欲界	空 出 門 見 賊 者 外 六 塵 山 水 者 四 使 欲 界 
T24n1464_009:0890a23	欲使、不可使、癡使、見使。河水者，三愛是，欲	欲 使 不 可 使 癡 使 見 使 河 水 者 三 愛 是 欲 
T24n1464_009:0890a24	愛、色愛、無色愛。所住處有虎狼者，謂五道生	愛 色 愛 無 色 愛 所 住 處 有 虎 狼 者 謂 五 道 生 
T24n1464_009:0890a25	死。度彼岸者，謂泥洹。栰者，八聖道。手足	死 度 彼 岸 者 謂 泥 洹 栰 者 八 聖 道 手 足 
T24n1464_009:0890a26	排水者，是勇猛。婆羅門得活者，謂如來、無	排 水 者 是 勇 猛 婆 羅 門 得 活 者 謂 如 來 無 
T24n1464_009:0890a27	所著、等正覺。」佛告阿那律：「我與汝等勤苦學	所 著 等 正 覺 佛 告 阿 那 律 我 與 汝 等 勤 苦 學 
T24n1464_009:0890a28	道，正可爾耳。是以之故，阿練兒常處樹下空	道 正 可 爾 耳 是以之故 阿 練 兒 常 處 樹 下 空 
T24n1464_009:0890a29	處禪思莫懈。」時世尊因此事為沙門結戒：「若	處 禪 思 莫 懈 時 世 尊 因 此 事 為 沙 門 結 戒 若 
T24n1464_009:0890b01	比丘與婦人同共室宿者，墮。」	比 丘 與 婦 人 同 共 室 宿 者 墮 
T24n1464_009:0890b02	佛世尊遊白善山，時佛中夜起室前經行。時	佛 世 尊 遊 白 善 山 時 佛 中 夜 起 室 前 經 行 時 
T24n1464_009:0890b03	須那剎多比丘協掣子反被拘執，來恐世	須 那 剎 多 比 丘 協 掣 子 反 被 拘 執 來 恐 世 
T24n1464_009:0890b04	尊曰：「我天地大神，汝避我去。」世尊告曰：「十八	尊 曰 我 天 地 大 神 汝 避 我 去 世 尊 告 曰 十 八 
T24n1464_009:0890b05	億魔來恐我，不能動一毛，豈當畏反被拘執	億 魔 來 恐 我 不 能 動 一 毛 豈 當 畏 反 被 拘 執 
T24n1464_009:0890b06	遙來恐我耶？」明旦世尊告諸比丘：「若比丘自	遙 來 恐 我 耶 明 旦 世 尊 告 諸 比 丘 若 比 丘 自 
T24n1464_009:0890b07	恐人、教人恐者，墮。」	恐 人 教 人 恐 者 墮 
T24n1464_009:0890b08	佛世尊遊舍衛國祇樹給孤獨園。時六群比	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 六 群 比 
T24n1464_009:0890b09	丘取十七群比丘衣鉢藏，揵槌以鳴，比丘僧	丘 取 十 七 群 比 丘 衣 鉢 藏 揵 槌 以 鳴 比 丘 僧 
T24n1464_009:0890b10	入坐，十七群比丘索衣鉢不知所在。比丘僧	入 坐 十 七 群 比 丘 索 衣 鉢 不 知 所 在 比 丘 僧 
T24n1464_009:0890b11	會罷，還其衣鉢。十七群比丘語：「汝為沙門，何	會 罷 還 其 衣 鉢 十 七 群 比 丘 語 汝 為 沙 門 何 
T24n1464_009:0890b12	以盜人衣鉢？」六群比丘答：「戲耳，不盜。」諸比丘	以 盜 人 衣 鉢 六群比丘 答 戲 耳 不 盜 諸 比 丘 
T24n1464_009:0890b13	聞，往白世尊。世尊告曰：「若比丘戲藏衣鉢戶	聞 往 白 世 尊 世 尊 告 曰 若 比 丘 戲 藏 衣 鉢 戶 
T24n1464_009:0890b14	鑰鍼筒革屣及種種物，自戲藏、若教人藏者，	鑰 鍼 筒 革 屣 及 種 種 物 自 戲 藏 若 教 人 藏 者 
T24n1464_009:0890b15	墮。」	墮 
T24n1464_009:0890b16	佛世尊遊舍衛國祇樹給孤獨園。時跋難陀	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 跋 難 陀 
T24n1464_009:0890b17	釋子賒賣衣與比丘尼，後從借著。既著衣壞，	釋 子 賒 賣 衣 與 比 丘 尼 後 從 借 著 既 著 衣 壞 
T24n1464_009:0890b18	復責他直。十二法比丘聞，往白世尊。世尊告	復 責 他 直 十 二 法 比 丘 聞 往 白 世 尊 世 尊 告 
T24n1464_009:0890b19	曰：「若比丘賒賣衣與比丘、若比丘尼、式叉摩	曰 若 比 丘 賒 賣 衣 與 比 丘 若 比 丘 尼 式 叉 摩 
T24n1464_009:0890b20	尼、沙彌、沙彌尼，還借著。既著衣壞，復責其直	尼 沙 彌 沙 彌 尼 還 借 著 既 著 衣 壞 復 責 其 直 
T24n1464_009:0890b21	者，墮。」	者 墮 
T24n1464_009:0890b22	佛世尊遊舍衛國祇樹給孤獨園。時尊者摩	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 尊 者 摩 
T24n1464_009:0890b23	訶拘致羅從拘薩羅國來至舍衛國，中路依他	訶 拘 致 羅 從 拘 薩 羅 國 來 至 舍 衛 國 中 路 依 他 
T24n1464_009:0890b24	聚宿。爾時村中夫婦共鬪，時婦逃走。尊者摩	聚 宿 爾 時 村 中 夫 婦 共 鬪 時 婦 逃 走 尊 者 摩 
T24n1464_009:0890b25	訶拘致平旦著衣持鉢出此村詣舍衛國，道	訶 拘 致 平 旦 著衣持鉢 出 此 村 詣 舍 衛 國 道 
T24n1464_009:0890b26	逢此婦人，問：「沙門欲何所至？」答言：「至舍衛國。」	逢 此 婦 人 問 沙 門 欲 何 所 至 答 言 至 舍 衛 國 
T24n1464_009:0890b27	婦人語沙門言：「貪為伴至舍衛國。」答言：「隨意。」	婦 人 語 沙 門 言 貪 為 伴 至 舍 衛 國 答 言 隨 意 
T24n1464_009:0890b28	時夫覓婦不知所在，逢一人隨道來，即問行	時 夫 覓 婦 不 知 所 在 逢 一 人 隨 道 來 即 問 行 
T24n1464_009:0890b29	人：「頗見有婦人西向行耶？」行人答言：「有一婦	人 頗 見 有 婦 人 西 向 行 耶 行 人 答 言 有 一 婦 
T24n1464_009:0890c01	人共一沙門西去。」即瞋恚往逐，捉得沙門：「汝	人 共 一 沙 門 西 去 即 瞋 恚 往 逐 捉 得 沙 門 汝 
T24n1464_009:0890c02	為比丘，將我婦欲何所至？」時比丘答：「我不將	為 比 丘 將 我 婦 欲 何 所 至 時 比 丘 答 我 不 將 
T24n1464_009:0890c03	行，此自著路行。」即熟打沙門，放使去。至舍衛	行 此 自 著 路 行 即 熟 打 沙 門 放 使 去 至 舍 衛 
T24n1464_009:0890c04	國，向諸比丘說。諸比丘往白世尊。世尊告曰：	國 向 諸 比 丘 說 諸 比 丘 往 白 世 尊 世 尊 告 曰 
T24n1464_009:0890c05	「若比丘與婦人同道行，從一村至一村者，墮。」	 若 比 丘 與 婦 人 同 道 行 從 一 村 至 一 村 者 墮 
T24n1464_009:0890c06	佛遊王舍城迦蘭陀竹園所。慈地比丘數數	佛 遊 王 舍 城 迦 蘭 陀 竹 園 所 慈 地 比 丘 數 數 
T24n1464_009:0890c07	證尊者沓婆犯僧迦婆施沙。諸比丘聞，往	證 尊 者 沓 婆 犯 僧 迦 婆 施 沙 諸 比 丘 聞 往 
T24n1464_009:0890c08	白世尊。世尊集和合僧，備十功德，佛為沙門	白 世 尊 世 尊 集 和 合 僧 備 十 功 德 佛 為 沙 門 
T24n1464_009:0890c09	結戒：「若比丘證言犯無根僧迦婆施沙法	結 戒 若 比 丘 證 言 犯 無 根 僧 迦 婆 施 沙 法 
T24n1464_009:0890c10	者，貝逸提。」	者 貝 逸 提 
T24n1464_009:0890c11	佛遊舍衛國祇樹給孤獨園。有一比丘從拘	佛 遊 舍 衛 國 祇 樹 給 孤 獨 園 有 一 比 丘 從 拘 
T24n1464_009:0890c12	薩羅詣舍衛國，中道至[口*蔡]羅園，與群賊相值。	薩 羅 詣 舍 衛 國 中 道 至 [口蔡] 羅 園 與 群 賊 相 值 
T24n1464_009:0890c13	即問諸賊：「君何所至？」答言：「至舍衛國。」沙門語：	即 問 諸 賊 君 何 所 至 答 言 至 舍 衛 國 沙 門 語 
T24n1464_009:0890c14	「相貪為伴。」即與為伴。至舍衛國，賊不著大道	 相 貪 為 伴 即 與 為 伴 至 舍 衛 國 賊 不 著 大 道 
T24n1464_009:0890c15	行，為羅護人所捉。羅人語群賊言：「此沙門	行 為 羅 護 人 所 捉 羅 人 語 群 賊 言 此 沙 門 
T24n1464_009:0890c16	亦作賊耶？」答言：「亦作賊，為最魁首。」即將詣	亦 作 賊 耶 答 言 亦 作 賊 為 最 魁 首 即 將 詣 
T24n1464_009:0890c17	耆老所，具陳事狀。耆老心好道德，言：「此沙門	耆 老 所 具 陳 事 狀 耆 老 心 好 道 德 言 此 沙 門 
T24n1464_009:0890c18	釋子終不作賊，放使去，莫復更爾。」此比丘至	釋 子 終 不 作 賊 放 使 去 莫 復 更 爾 此 比 丘 至 
T24n1464_009:0890c19	舍衛國，語諸比丘。諸比丘往白世尊。世尊告	舍 衛 國 語 諸 比 丘 諸 比 丘 往 白 世 尊 世 尊 告 
T24n1464_009:0890c20	曰：「若比丘知群賊與共行，從一村至一村者，	曰 若 比 丘 知 群 賊 與 共 行 從 一 村 至 一 村 者 
T24n1464_009:0890c21	墮。」	墮 
T24n1464_009:0890c22	佛世尊遊王舍城迦蘭陀竹園所。爾時尊者	佛 世 尊 遊 王 舍 城 迦 蘭 陀 竹 園 所 爾 時 尊 者 
T24n1464_009:0890c23	大目揵連將羅閱城內十餘童子為道，集諸	大 目 揵 連 將 羅 閱 城 內 十 餘 童 子 為 道 集 諸 
T24n1464_009:0890c24	年少沙彌七八十人，年未滿二十，次第授具	年 少 沙 彌 七 八 十 人 年 未 滿 二 十 次 第 授 具 
T24n1464_009:0890c25	足戒。竹園門外諸沙彌少氣多飢，喚呼索食。	足 戒 竹 園 門 外 諸 沙 彌 少 氣 多 飢 喚 呼 索 食 
T24n1464_009:0890c26	世尊知而問阿難：「喚呼涕泣者誰？」阿難白佛：	世 尊 知 而 問 阿 難 喚 呼 涕 泣 者 誰 阿 難 白 佛 
T24n1464_009:0890c27	「尊者目揵連在外授諸沙彌七八十人具足	 尊 者 目 揵 連 在 外 授 諸 沙 彌 七 八 十 人 具 足 
T24n1464_009:0890c28	戒。飢不得食，是以喚呼。」世尊知而問目揵	戒 飢 不 得 食 是 以 喚 呼 世 尊 知 而 問 目 揵 
T24n1464_009:0890c29	連：「年未滿二十，汝授具足戒耶？」答：「審爾。世尊！」	連 年 未 滿 二 十 汝 授 具 足 戒 耶 答 審 爾 世 尊 
T24n1464_009:0891a01	世尊告曰：「年未滿二十者，不耐寒熱飢渴，亦	世 尊 告 曰 年 未 滿 二 十 者 不 耐 寒 熱 飢 渴 亦 
T24n1464_009:0891a02	不堪行道。年滿二十者，耐寒熱飢渴，復能行	不 堪 行 道 年 滿 二 十 者 耐 寒 熱 飢 渴 復 能 行 
T24n1464_009:0891a03	道。若比丘沙彌年未滿二十授具足戒者，墮。	道 若 比 丘 沙 彌 年 未 滿 二 十 授 具 足 戒 者 墮 
T24n1464_009:0891a04	若授具足戒則非得戒，授者諸沙門犯慚愧	若 授 具 足 戒 則 非 得 戒 授 者 諸 沙 門 犯 慚 愧 
T24n1464_009:0891a05	罪。」	罪 
T24n1464_009:0891a06	佛世尊遊舍衛國祇樹給孤獨園。時六群比	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 六 群 比 
T24n1464_009:0891a07	丘手自掘地，復教人掘地。諸長者見，自相謂	丘 手 自 掘 地 復 教 人 掘 地 諸 長 者 見 自 相 謂 
T24n1464_009:0891a08	言：「此沙門釋子云何自手掘地，復教人掘地。	言 此 沙 門 釋 子 云 何 自 手 掘 地 復 教 人 掘 地 
T24n1464_009:0891a09	與耕人何異？」諸十二法比丘聞，往白世尊。世	與 耕 人 何 異 諸 十 二 法 比 丘 聞 往 白 世 尊 世 
T24n1464_009:0891a10	尊告曰：「若比丘自手掘地、若教人掘是置是	尊 告 曰 若 比 丘 自 手 掘 地 若 教 人 掘 是 置 是 
T24n1464_009:0891a11	者，墮。」	者 墮 
T24n1464_009:0891a12	佛遊舍衛國祇樹給孤獨園。有一長者請佛	佛 遊 舍 衛 國 祇 樹 給 孤 獨 園 有 一 長 者 請 佛 
T24n1464_009:0891a13	及比丘僧夏坐四月，供養供給衣裳飲食病	及 比 丘 僧 夏 坐 四 月 供 養 供 給 衣 裳 飲 食 病 
T24n1464_009:0891a14	瘦醫藥。諸比丘往詣長者所請夏坐四月病	瘦 醫 藥 諸 比 丘 往 詣 長 者 所 請 夏 坐 四 月 病 
T24n1464_009:0891a15	瘦醫藥，或有比丘長請四月外者。諸長者見，	瘦 醫 藥 或 有 比 丘 長 請 四 月 外 者 諸 長 者 見 
T24n1464_009:0891a16	自相謂言：「我等許比丘齊四月裏，更無餘調。」	自 相 謂 言 我 等 許 比 丘 齊 四 月 裏 更 無 餘 調 
T24n1464_009:0891a17	十二法比丘聞，往白世尊。世尊告曰：「若比丘	十 二 法 比 丘 聞 往 白 世 尊 世 尊 告 曰 若 比 丘 
T24n1464_009:0891a18	受四月夏坐，往請衣裳病瘦醫藥，除其長請、	受 四 月 夏 坐 往 請 衣 裳 病 瘦 醫 藥 除 其 長 請 
T24n1464_009:0891a19	或時時別請、或本一日請，若長請物者，	或 時 時 別 請 或 本 一 日 請 若 長 請 物 者 
T24n1464_009:0891a20	墮。」	墮 
T24n1464_009:0891a21	佛世尊遊舍衛國祇樹給孤獨園。時十五日	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 十 五 日 
T24n1464_009:0891a22	撾揵搥，比丘僧集說戒。尊者闡怒語諸比丘：	撾 揵 搥 比 丘 僧 集 說 戒 尊 者 闡 怒 語 諸 比 丘 
T24n1464_009:0891a23	「我不學此戒。當先問博學毘尼法師，此戒有	 我 不 學 此 戒 當 先 問 博 學 毘 尼 法 師 此 戒 有 
T24n1464_009:0891a24	何義？」諸比丘不知當云何答，往白世尊。世尊	何 義 諸 比 丘 不 知 當 云 何 答 往 白 世 尊 世 尊 
T24n1464_009:0891a25	告曰：「若比丘說戒日便作是言：『我不學此	告 曰 若 比 丘 說 戒 日 便 作 是 言 我 不 學 此 
T24n1464_009:0891a26	戒。當先問博學毘尼法師，此戒有何義？』者，墮。」	戒 當 先 問 博 學 毘 尼 法 師 此 戒 有 何 義 者 墮 
T24n1464_009:0891a27	世尊告諸比丘：「若不解戒，當學問比丘、博	世 尊 告 諸 比 丘 若 不 解 戒 當 學 問 比 丘 博 
T24n1464_009:0891a28	學毘尼法師，此不犯。」	學 毘 尼 法 師 此 不 犯 
T24n1464_009:0891a29	佛世尊遊拘捨彌瞿師羅園。拘舍彌比丘喜	佛 世 尊 遊 拘 捨 彌 瞿 師 羅 園 拘 舍 彌 比 丘 喜 
T24n1464_009:0891b01	鬪諍訟罵詈誹謗。時六群比丘自相謂言：「此	鬪 諍 訟 罵 詈 誹 謗 時 六群比丘 自 相 謂 言 此 
T24n1464_009:0891b02	等比丘罵詈誹謗，我等誦習，明日向說之。」十	等 比 丘 罵 詈 誹 謗 我 等 誦 習 明 日 向 說 之 十 
T24n1464_009:0891b03	二法比丘聞，往白世尊。世尊告曰：「若比丘共	二 法 比 丘 聞 往 白 世 尊 世 尊 告 曰 若 比 丘 共 
T24n1464_009:0891b04	諍，默然誦習，明日向說者，墮。」	諍 默 然 誦 習 明 日 向 說 者 墮 
T24n1464_009:0891b05	佛世尊遊拘舍彌瞿師羅園。時瞿舍彌比丘	佛 世 尊 遊 拘 舍 彌 瞿 師 羅 園 時 瞿 舍 彌 比 丘 
T24n1464_009:0891b06	集二十僧，於中悔過。時六群比丘自相謂言：	集 二 十 僧 於 中 悔 過 時 六群比丘 自 相 謂 言 
T24n1464_009:0891b07	「我等默然起去，使不得悔過。」即從坐起去。	 我 等 默 然 起 去 使 不 得 悔 過 即 從 坐 起 去 
T24n1464_009:0891b08	十二法比丘往白世尊。世尊告曰：「若比丘，比	十 二 法 比 丘 往 白 世 尊 世 尊 告 曰 若 比 丘 比 
T24n1464_009:0891b09	丘僧斷事未竟默然起去，不囑比坐比丘者，	丘 僧 斷 事 未 竟 默 然 起 去 不 囑 比 坐 比 丘 者 
T24n1464_009:0891b10	墮。」	墮 
T24n1464_009:0891b11	佛世尊遊王舍城耆闍崛山。時六群比丘於	佛 世 尊 遊 王 舍 城 耆 闍 崛 山 時 六群比丘 於 
T24n1464_009:0891b12	大眾中高聲大喚擾亂眾僧。十二法比丘聞，	大 眾 中 高 聲 大 喚 擾 亂 眾 僧 十 二 法 比 丘 聞 
T24n1464_009:0891b13	往白世尊。世尊告曰：「若比丘，不得高聲大喚	往 白 世 尊 世 尊 告 曰 若 比 丘 不 得 高 聲 大 喚 
T24n1464_009:0891b14	擾亂人。若擾亂者，墮。」	擾 亂 人 若 擾 亂 者 墮 
T24n1464_009:0891b15	佛世尊遊舍衛國祇樹給孤獨園。時尊者海	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 尊 者 海 
T24n1464_009:0891b16	從拘薩羅至[口*蔡]祇多國。去[口*蔡]祇多國不遠，有	從 拘 薩 羅 至 [口蔡]祇多國去[口蔡] 祇 多 國 不 遠 有 
T24n1464_009:0891b17	龍名阿末提吐，於中住。凶惡暴虐，人不得到	龍 名 阿 末 提 吐 於 中 住 凶 惡 暴 虐 人 不 得 到 
T24n1464_009:0891b18	其處，象馬駝牛驢皆不得到，鳥亦不得在上	其 處 象 馬 駝 牛 驢 皆 不 得 到 鳥 亦 不 得 在 上 
T24n1464_009:0891b19	飛。時尊者[口*蔡]偈妬平旦著衣持鉢入[口*蔡]祇	飛 時 尊 者 [口蔡]偈妬平旦著衣持鉢入[口蔡] 祇 
T24n1464_009:0891b20	多國分衛。聞去城不遠，有龍名阿末提吐，兇	多 國 分 衛 聞 去 城 不 遠 有 龍 名 阿 末 提 吐 兇 
T24n1464_009:0891b21	惡暴虐，人不得到其處，象馬駝牛驢皆不得	惡 暴 虐 人 不 得 到 其 處 象 馬 駝 牛 驢 皆 不 得 
T24n1464_009:0891b22	到其處，鳥亦不得在上飛。分衛已還出城，	到 其 處 鳥 亦 不 得 在 上 飛 分 衛 已 還 出 城 
T24n1464_009:0891b23	舉衣鉢洗足舉坐布著肩上，往詣龍所。樹下	舉 衣 鉢 洗 足 舉 坐 布 著 肩 上 往 詣 龍 所 樹 下 
T24n1464_009:0891b24	先三震，拂布尼師檀，結加趺坐。阿末提	先 三 震 拂 布 尼 師 檀 結加趺坐 阿 末 提 
T24n1464_009:0891b25	吐龍聞袈裟臭，即大瞋恚來。尊者海即入三	吐 龍 聞 袈 裟 臭 即 大 瞋 恚 來 尊 者 海 即 入 三 
T24n1464_009:0891b26	昧。時龍放雷雨霹靂，尊者[口*蔡]偈化雨霹靂成	昧 時 龍 放 雷 雨 霹 靂 尊 者 [口蔡] 偈 化 雨 霹 靂 成 
T24n1464_009:0891b27	優鉢羅、鉢曇摩、拘勿陀、分陀利。時龍復雨蛇	優 鉢 羅 鉢 曇 摩 拘 勿 陀 分 陀 利 時 龍 復 雨 蛇 
T24n1464_009:0891b28	蠆龜鼈，尊者[口*蔡]偈化蛇作青蓮傳飾，化蠆	蠆 龜 鼈 尊 者 [口蔡] 偈 化 蛇 作 青 蓮 傳 飾 化 蠆 
T24n1464_009:0891b29	成詹蔔鬘，化龜鼈為百葉華鬘。龍復雨擲	成 詹 蔔 鬘 化 龜 鼈 為 百 葉 華 鬘 龍 復 雨 擲 
T24n1464_009:0891c01	牟刀戟，海化成甘蔗石蜜蒲萄，取而食之。時	牟 刀 戟 海 化 成 甘 蔗 石 蜜 蒲 萄 取 而 食 之 時 
T24n1464_009:0891c02	龍便作是念：「此必大神人，欲度我故來坐此	龍 便 作 是 念 此 必 大 神 人 欲 度 我 故 來 坐 此 
T24n1464_009:0891c03	耳。」時龍心開意解，不懷瞋恚，捨形化作婆羅	耳 時 龍 心 開 意 解 不 懷 瞋 恚 捨 形 化 作 婆 羅 
T24n1464_009:0891c04	門，來至海前，頭面禮足叉手白言：「我歸於君。」	門 來 至 海 前 頭面禮足 叉 手 白 言 我 歸 於 君 
T24n1464_009:0891c05	海答言：「汝莫歸我，如我歸佛歸法歸比丘僧，	海 答 言 汝 莫 歸 我 如 我 歸 佛 歸 法 歸 比 丘 僧 
T24n1464_009:0891c06	汝當從我。」時龍叉手受教，「正爾歸佛歸法歸	汝 當 從 我 時 龍 叉 手 受 教 正 爾 歸 佛 歸 法 歸 
T24n1464_009:0891c07	比丘僧，聽為優婆塞，從今日始盡命不殺生。」	比 丘 僧 聽 為 優 婆 塞 從 今 日 始 盡 命 不 殺 生 
T24n1464_009:0891c08	時國界人民聞海降此惡龍，長者婆羅門聞	時 國 界 人 民 聞 海 降 此 惡 龍 長 者 婆 羅 門 聞 
T24n1464_009:0891c09	爭來供養。比丘僧[口*蔡]偈漸來至舍衛國祇	爭 來 供 養 比 丘 僧 [口蔡] 偈 漸 來 至 舍 衛 國 祇 
T24n1464_009:0891c10	樹給孤獨園。有一優婆夷，聞[口*蔡]偈來到，別	樹 給 孤 獨 園 有 一 優 婆 夷 聞 [口蔡] 偈 來 到 別 
T24n1464_009:0891c11	請一日供養。平旦[口*蔡]偈著衣持鉢至此優婆	請 一 日 供 養 平 旦 [口蔡] 偈 著衣持鉢 至 此 優 婆 
T24n1464_009:0891c12	夷家。是優婆夷見坐已定，頭面禮足，行清淨	夷 家 是 優 婆 夷 見 坐 已 定 頭面禮足 行 清 淨 
T24n1464_009:0891c13	水，自手斟酌布種種食。海語優婆夷言：「大妹！	水 自 手 斟 酌 布 種 種 食 海 語 優 婆 夷 言 大 妹 
T24n1464_009:0891c14	行來渴，有漿水不？」優婆夷便作是念：「若當與	行 來 渴 有 漿 水 不 優 婆 夷 便 作 是 念 若 當 與 
T24n1464_009:0891c15	黑石蜜蒲萄漿苦酒漿者，恐發腹內風。」即盛	黑 石 蜜 蒲 萄 漿 苦 酒 漿 者 恐 發 腹 內 風 即 盛 
T24n1464_009:0891c16	酒似水、亦如水味。時[口*蔡]偈不味而飲。優婆夷	酒 似 水 亦 如 水 味 時 [口蔡] 偈 不 味 而 飲 優 婆 夷 
T24n1464_009:0891c17	行水訖，在前聽法。[口*蔡]偈說法，說法已便去。	行 水 訖 在 前 聽 法 [口蔡] 偈 說 法 說 法 已 便 去 
T24n1464_009:0891c18	至祇桓兩門間，酒氣始徹醉不能前，臥於	至 祇 桓 兩 門 間 酒 氣 始 徹 醉 不 能 前 臥 於 
T24n1464_009:0891c19	路側，三衣鉢鉢囊錫杖各在一處。佛知而告	路 側 三 衣 鉢 鉢 囊 錫 杖 各 在 一 處 佛 知 而 告 
T24n1464_009:0891c20	阿難曰：「汝著衣來，共出祇桓觀。」時世尊將阿	阿 難 曰 汝 著 衣 來 共 出 祇 桓 觀 時 世 尊 將 阿 
T24n1464_009:0891c21	難出祇桓門，遙見[口*蔡]偈醉臥路側，三衣鉢	難 出 祇 桓 門 遙 見 [口蔡] 偈 醉 臥 路 側 三 衣 鉢 
T24n1464_009:0891c22	鉢囊錫杖各在一處。世尊知而問阿難曰：	鉢 囊 錫 杖 各 在 一 處 世 尊 知 而 問 阿 難 曰 
T24n1464_009:0891c23	「此是何人？」阿難白佛：「尊者[口*蔡]偈。」世尊告阿難	 此 是 何 人 阿 難 白 佛 尊 者 [口蔡] 偈 世 尊 告 阿 難 
T24n1464_009:0891c24	曰：「汝還祇桓，告諸比丘盡來會此。」時阿難敬	曰 汝 還 祇 桓 告 諸 比 丘 盡 來 會 此 時 阿 難 敬 
T24n1464_009:0891c25	承佛教，即入祇桓請諸比丘，將至門外。時	承 佛 教 即 入 祇 桓 請 諸 比 丘 將 至 門 外 時 
T24n1464_009:0891c26	世尊告諸比丘：「云何比丘！頗見聞知[口*蔡]偈比	世 尊 告 諸 比 丘 云 何 比 丘 頗 見 聞 知 [口蔡] 偈 比 
T24n1464_009:0891c27	丘降惡龍不？」見者言見，聞者言聞。世尊告曰：	丘 降 惡 龍 不 見 者 言 見 聞 者 言 聞 世 尊 告 曰 
T24n1464_009:0891c28	「云何比丘！如今此人使降一蝦蟇能不？而降	 云 何 比 丘 如 今 此 人 使 降 一 蝦 蟇 能 不 而 降 
T24n1464_009:0891c29	惡龍？」諸比丘對：「不能。世尊。」世尊告曰：「如是比	惡 龍 諸 比 丘 對 不 能 世 尊 世 尊 告 曰 如 是 比 
T24n1464_009:0892a01	丘！此飲酒之大失。諸比丘！從今已往不得飲	丘 此 飲 酒 之 大 失 諸 比 丘 從 今 已 往 不 得 飲 
T24n1464_009:0892a02	酒甞酒。飲酒甞酒者，墮。漿有八種：蒲萄漿、甘	酒 甞 酒 飲 酒 甞 酒 者 墮 漿 有 八 種 蒲 萄 漿 甘 
T24n1464_009:0892a03	蔗漿、柿漿、梨漿、[木*柰]漿、煮麥漿、麴漿(苦酒)、華漿。取	蔗 漿 柿 漿 梨 漿 [木柰] 漿 煮 麥 漿 麴 漿 苦 酒 華 漿 取 
T24n1464_009:0892a04	要言之，其漿似酒、亦如酒味，飲而醉者，世尊	要 言 之 其 漿 似 酒 亦 如 酒 味 飲 而 醉 者 世 尊 
T24n1464_009:0892a05	曰皆不得飲。其漿似酒、亦如酒味、飲而不醉	曰 皆 不 得 飲 其 漿 似 酒 亦 如 酒 味 飲 而 不 醉 
T24n1464_009:0892a06	者，世尊曰得飲。其漿不似酒味、不似酒，飲而	者 世 尊 曰 得 飲 其 漿 不 似 酒 味 不 似 酒 飲 而 
T24n1464_009:0892a07	醉者，世尊曰亦不得飲。其漿不似酒、亦不如	醉 者 世 尊 曰 亦 不 得 飲 其 漿 不 似 酒 亦 不 如 
T24n1464_009:0892a08	酒味，飲而不醉者，世尊曰得飲。」(八漿皆中前飲，其中有中後	酒 味 飲 而 不 醉 者 世 尊 曰 得 飲 八 漿 皆 中 前 飲 其 中 有 中 後 
T24n1464_009:0892a09	得飲者)	得 飲 者 
T24n1464_009:0892a10	佛世尊遊舍衛國祇樹給孤獨園。時迦留陀	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 迦 留 陀 
