X17n0323_001:0135a03	 楞伽經序	 楞 伽 經 序 
X17n0323_006:0218a01	不滅互故知若明其本末將自除所以本末實相	不 滅 互 故 知 若 明 其 本 末 將 自 除 所 以 本 末 實 相 
X17n0323_006:0218a02	顯發由是明之總別相貫本末交映如來酬答文	顯 發 由 是 明 之 總 別 相 貫 本 末 交 映 如 來 酬 答 文 
X17n0323_006:0218a03	旨若此可不究其始末乎(二)。	旨 若 此 可 不 究 其 始 末 乎 二 
X17n0323_006:0218a04	地次第相續轉進餘外道見不能傾動是名住菩薩	地 次 第 相 續 轉 進 餘 外 道 見 不能傾動 是 名 住 菩 薩 
X17n0323_006:0218a05	不動地得十三昧道門樂三昧覺所持觀察不思議	不 動 地 得 十 三 昧 道 門 樂 三 昧 覺 所 持 觀 察 不 思 議 
X17n0323_006:0218a06	佛法自願不受三昧門樂及實際向自覺聖趣不共	佛 法 自 願 不 受 三 昧 門 樂 及 實 際 向 自 覺 聖 趣 不 共 
X17n0323_006:0218a07	一切聲聞緣覺及諸外道所脩行道得十賢聖種性	一 切 聲 聞 緣 覺 及 諸 外 道 所 脩 行 道 得 十 賢 聖 種 性 
X17n0323_006:0218a08	道及身智意生離三昧行是故大慧菩薩摩訶薩欲	道 及 身 智 意 生 離 三 昧 行 是 故 大 慧 菩薩摩訶薩 欲 
X17n0323_006:0218a09	求勝進者當淨如來藏及識藏名大慧若無識藏名	求 勝 進 者 當 淨 如 來 藏 及 識 藏 名 大 慧 若 無 識 藏 名 
X17n0323_006:0218a10	如來藏者則無生滅大慧然諸凡聖悉有生滅脩行	如 來 藏 者 則 無 生 滅 大 慧 然 諸 凡 聖 悉 有 生 滅 脩 行 
X17n0323_006:0218a11	者自覺聖趣現法樂住不捨方便大慧此如來藏識	者 自 覺 聖 趣 現法樂住 不 捨 方 便 大 慧 此 如 來 藏 識 
X17n0323_006:0218a12	藏一切聲聞緣覺心想所見雖自性清淨客境所覆	藏 一 切 聲 聞 緣 覺 心 想 所 見 雖 自 性 清 淨 客 境 所 覆 
X17n0323_006:0218a13	故猶見不淨非諸如來大慧如來者現前境界猶如	故 猶 見 不 淨 非 諸 如 來 大 慧 如 來 者 現 前 境 界 猶 如 
X17n0323_006:0218a14	掌中視阿摩勒果大慧我於此義以神力建立令勝	掌 中 視 阿 摩 勒 果 大 慧 我 於 此 義 以 神 力 建 立 令 勝 
X17n0323_006:0218a15	鬘夫人及利智滿足諸菩薩等宣揚演說如來藏及	鬘 夫 人 及 利 智 滿 足 諸 菩 薩 等 宣 揚 演 說 如 來 藏 及 
X17n0323_006:0218a16	識藏名七識俱生聲聞計著見人法無我故勝鬘夫	識 藏 名 七 識 俱 生 聲 聞 計 著 見 人法無我 故 勝 鬘 夫 
X17n0323_006:0218a17	人承佛威神說如來境界非聲聞緣覺及外道境界	人 承佛威神 說 如來境界 非 聲 聞 緣 覺 及 外 道 境 界 
X17n0323_006:0218a18	如來藏識藏唯佛及餘利智依義菩薩智慧境界是	如 來 藏 識 藏 唯 佛 及 餘 利 智 依 義 菩 薩 智 慧 境 界 是 
X17n0323_006:0218a19	故汝及餘菩薩摩訶薩於如來藏識藏當勤脩學莫	故 汝 及 餘 菩薩摩訶薩 於 如 來 藏 識 藏 當 勤 脩 學 莫 
X17n0323_006:0218a20	但聞覺作知足想爾時世尊欲重宣此義而說偈言。	但 聞 覺 作 知 足 想 爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X17n0323_006:0218a21	甚深如來藏而與七識俱二種攝受生智者則遠離	甚 深 如 來 藏 而 與 七 識 俱 二 種 攝 受 生 智 者 則 遠 離 
X17n0323_006:0218a22	如鏡像現心無始習所熏如實觀察者諸事悉無事	如 鏡 像 現 心 無 始 習 所 熏 如實觀察 者 諸 事 悉 無 事 
X17n0323_006:0218a23	如愚見指月觀指不觀月計著名字者不見我真實	如 愚 見 指 月 觀 指 不 觀 月 計 著 名 字 者 不 見 我 真 實 
X17n0323_006:0218a24	心為工伎兒意如和伎者五識為伴侶妄想觀伎眾。	心 為 工 伎 兒 意 如 和 伎 者 五 識 為 伴 侶 妄 想 觀 伎 眾 
X17n0323_006:0218b01	由前所悟得入初地次第轉進依位顯德餘外道	由 前 所 悟 得 入 初 地 次 第 轉 進 依 位 顯 德 餘 外 道 
X17n0323_006:0218b02	見所不能動即第八不動地也得十三昧道門樂	見 所 不 能 動 即 第 八 不 動 地 也 得 十 三 昧 道 門 樂 
X17n0323_006:0218b03	即此地證十種三昧數如別列自願即本願也以	即 此 地 證 十 種 三 昧 數 如 別 列 自 願 即 本 願 也 以 
X17n0323_006:0218b04	本願故不受三昧樂及住實際則起化利物也十	本 願 故 不 受 三 昧 樂 及 住 實 際 則 起 化 利 物 也 十 
X17n0323_006:0218b05	賢聖者望極位故聖亦名賢如普賢之例身智意	賢 聖 者 望 極 位 故 聖 亦 名 賢 如 普 賢 之 例 身 智 意 
X17n0323_006:0218b06	生者分得三身謂一身一智法報也意生則應身	生 者 分 得 三 身 謂 一 身 一 智 法 報 也 意 生 則 應 身 
X17n0323_006:0218b07	也離三昧行者仍上意生言之雖由三昧而無作	也 離 三 昧 行 者 仍 上 意 生 言 之 雖 由 三 昧 而 無 作 
X17n0323_006:0218b08	行也當淨如來藏及識藏名者如來之藏本無可	行 也 當 淨 如 來 藏 及 識 藏 名 者 如 來 之 藏 本 無 可 
X17n0323_006:0218b09	淨淨其覆者爾識藏以名言者謂如來藏變起妄	淨 淨 其 覆 者 爾 識 藏 以 名 言 者 謂 如 來 藏 變 起 妄 
X17n0323_006:0218b10	識無別體故特其名而已若無識藏名則轉妄識	識 無 別 體 故 特 其 名 而 已 若 無 識 藏 名 則 轉 妄 識 
X17n0323_006:0218b11	復本藏理故無生滅凡諸真妄名轉體不轉者見	復 本 藏 理 故 無 生 滅 凡 諸 真 妄 名 轉 體 不 轉 者 見 
X17n0323_006:0218b12	於是矣然則聖無生滅邪故曰然諸凡聖悉有生	於 是 矣 然 則 聖 無 生 滅 邪 故 曰 然 諸 凡 聖 悉 有 生 
X17n0323_006:0218b13	滅言脩行者還約因位言之謂諸因聖雖得自覺	滅 言 脩 行 者 還 約 因 位 言 之 謂 諸 因 聖 雖 得 自 覺 
X17n0323_006:0218b14	聖樂而不捨方便故亦有生滅此言方便有二種	聖 樂 而 不 捨 方 便 故 亦 有 生 滅 此 言 方 便 有 二 種 
X17n0323_006:0218b15	謂一者自行增道方便二者化他益物方便皆有	謂 一 者 自 行 增 道 方 便 二 者 化 他 益 物 方 便 皆 有 
X17n0323_006:0218b16	生滅義也二乘於此方便既皆無有則見應淨邪	生 滅 義 也 二 乘 於 此 方 便 既 皆 無 有 則 見 應 淨 邪 
X17n0323_006:0218b17	故復曰此如來藏等謂二乘雖無彼生滅而心想	故 復 曰 此 如 來 藏 等 謂 二 乘 雖 無 彼 生 滅 而 心 想 
X17n0323_006:0218b18	猶在客塵所覆見猶不淨非如來究竟清淨也故	猶 在 客 塵 所 覆 見 猶 不 淨 非 如 來 究 竟 清 淨 也 故 
X17n0323_006:0218b19	知言自性清淨者在法不在人亦有生滅者在人	知 言 自 性 清 淨 者 在 法 不 在 人 亦 有 生 滅 者 在 人 
X17n0323_006:0218b20	不在法反而言之亦復何定即不定處理在是矣	不 在 法 反 而 言 之 亦 復 何 定 即 不 定 處 理 在 是 矣 
X17n0323_006:0218b21	又曰如來者現前境界等謂若如來見如來藏不	又 曰 如 來 者 現 前 境 界 等 謂 若 如 來 見 如 來 藏 不 
X17n0323_006:0218b22	離現前境界了無所覆亦無見相無見而見其猶	離 現 前 境 界 了 無 所 覆 亦 無 見 相 無 見 而 見 其 猶 
X17n0323_006:0218b23	掌果雖然畢竟是箇甚麼我於此義下指經顯證	掌 果 雖 然 畢 竟 是 箇 甚 麼 我 於 此 義 下 指 經 顯 證 
X17n0323_006:0218b24	也然如來之說本不假證但於彼經已廣明竟故	也 然 如 來 之 說 本 不 假 證 但 於 彼 經 已 廣 明 竟 故 
X17n0323_006:0218c01	此略文得以指之抑文有與奪故託勝鬘以言之	此 略 文 得 以 指 之 抑 文 有 與 奪 故 託 勝 鬘 以 言 之 
X17n0323_006:0218c02	爾而言如來藏識等諸識俱生者凡夫也聲聞於	爾 而 言 如 來 藏 識 等 諸 識 俱 生 者 凡 夫 也 聲 聞 於 
X17n0323_006:0218c03	此計著無我曾不知執無我者正是於我為此所	此 計 著 無 我 曾 不 知 執 無 我 者 正 是 於 我 為 此 所 
X17n0323_006:0218c04	蔽故於如來藏非其境界若如來藏無我相者我	蔽 故 於 如 來 藏 非 其 境 界 若 如 來 藏 無 我 相 者 我 
X17n0323_006:0218c05	亦不可得故勸脩覺良在於此偈言甚深如來藏	亦 不 可 得 故 勸 脩 覺 良 在 於 此 偈 言 甚 深 如 來 藏 
X17n0323_006:0218c06	等者頌上如來藏心以無始惡習所熏故與七識	等 者 頌 上 如來藏心 以 無 始 惡 習 所 熏 故 與 七 識 
X17n0323_006:0218c07	俱乃至由自共相二種攝受則有陰界入生若見	俱 乃 至 由 自 共 相 二 種 攝 受 則 有 陰 界 入 生 若 見 
X17n0323_006:0218c08	如來藏人法無我則滅故曰智者則遠離也如鏡	如 來 藏 人法無我 則 滅 故 曰 智 者 則 遠 離 也 如 鏡 
X17n0323_006:0218c09	象現心等譬上法也謂八識心體本來無物由無	象 現 心 等 譬 上 法 也 謂 八 識 心 體 本 來 無 物 由 無 
X17n0323_006:0218c10	始妄熏故有七識等法生如鏡象之現也若如實	始 妄 熏 故 有 七 識 等 法 生 如 鏡 象 之 現 也 若 如 實 
X17n0323_006:0218c11	觀察稱性遠離則象事本虗故曰諸事悉無事次	觀 察 稱 性 遠 離 則 象 事 本 虗 故 曰 諸 事 悉 無 事 次 
X17n0323_006:0218c12	別出指月喻以喻假名實法有得有失苟不能遣	別 出 指 月 喻 以 喻 假 名 實 法 有 得 有 失 苟 不 能 遣 
X17n0323_006:0218c13	言契理政如觀指而不觀月也心如工伎兒等追	言 契 理 政 如 觀 指 而 不 觀 月 也 心 如 工 伎 兒 等 追 
X17n0323_006:0218c14	頌上喻可以意得(三)。○右第七章。	頌 上 喻 可 以 意 得 三 右 第 七 章 
X17n0323_006:0218c15	爾時大慧菩薩白佛言世尊惟願為說五法自性識	爾 時 大 慧 菩 薩 白 佛 言 世 尊 惟 願 為 說 五 法 自 性 識 
X17n0323_006:0218c16	二種無我究竟分別相我及餘菩薩摩訶薩於一切	二 種 無 我 究 竟 分 別 相 我 及 餘 菩薩摩訶薩 於 一 切 
X17n0323_006:0218c17	地次第相續分別此法入一切佛法入一切佛法者	地 次 第 相 續 分 別 此 法 入 一切佛法 入 一切佛法 者 
X17n0323_006:0218c18	乃至如來自覺地佛告大慧諦聽諦聽善思念之大	乃 至 如 來 自 覺 地 佛 告 大 慧 諦 聽 諦 聽 善思念之 大 
X17n0323_006:0218c19	慧白佛言唯然受教佛告大慧五法自性識二種無	慧 白 佛 言 唯 然 受 教 佛 告 大 慧 五 法 自 性 識 二 種 無 
X17n0323_006:0218c20	我分別趣相者謂名相妄想正智如如若脩行者脩	我 分 別 趣 相 者 謂 名 相 妄 想 正 智 如 如 若 脩 行 者 脩 
X17n0323_006:0218c21	行入如來自覺聖趣離於斷常有無等見現法樂正	行 入 如 來 自 覺 聖 趣 離 於 斷 常 有 無 等 見 現 法 樂 正 
X17n0323_006:0218c22	受住現在前大慧不覺彼五法自性識二無我自心	受 住現在前 大 慧 不 覺 彼 五 法 自 性 識 二 無 我 自 心 
X17n0323_006:0218c23	現外性凡夫妄想非諸聖賢大慧白佛言世尊云何	現 外 性 凡 夫 妄 想 非 諸 聖 賢 大 慧 白 佛 言 世 尊 云 何 
X17n0323_006:0218c24	愚夫妄想生非諸聖賢佛告大慧愚夫計著俗數名	愚 夫 妄 想 生 非 諸 聖 賢 佛 告 大 慧 愚 夫 計 著 俗 數 名 
X17n0323_006:0219a01	相隨心流散流散已種種相像貌墮我我所見希望	相 隨 心 流 散 流 散 已 種 種 相 像 貌 墮 我 我 所 見 希 望 
X17n0323_006:0219a02	計著玅色計著已無知覆障故生染著染著已貪恚	計 著 玅 色 計 著 已 無 知 覆 障 故 生 染 著 染 著 已 貪 恚 
X17n0323_006:0219a03	癡所生業積集積集已妄想自纏如蠶作繭墮生死	癡 所 生 業 積 集 積 集 已 妄 想 自 纏 如 蠶 作 繭 墮 生 死 
X17n0323_006:0219a04	海諸趣曠野如汲井輪以愚癡故不能知如幻野馬	海 諸 趣 曠 野 如 汲 井 輪 以 愚 癡 故 不 能 知 如 幻 野 馬 
X17n0323_006:0219a05	水月自性離我我所起於一切不實妄想離相所相	水 月 自 性 離我我所 起 於 一 切 不 實 妄 想 離 相 所 相 
X17n0323_006:0219a06	及生住滅從自心妄想生非自在時節微塵勝玅生	及 生 住 滅 從 自 心 妄 想 生 非 自 在 時 節 微 塵 勝 玅 生 
X17n0323_006:0219a07	愚癡凡夫隨名相流大慧彼相者眼識所照名為色	愚 癡 凡 夫 隨 名 相 流 大 慧 彼 相 者 眼 識 所 照 名 為 色 
X17n0323_006:0219a08	耳鼻舌身意意識所照名為聲香味觸法是名為相	耳 鼻 舌 身 意 意 識 所 照 名 為 聲香味觸 法 是 名 為 相 
X17n0323_006:0219a09	大慧彼妄想者施設眾名顯示諸相如此不異象馬	大 慧 彼 妄 想 者 施 設 眾 名 顯 示 諸 相 如 此 不 異 象 馬 
X17n0323_006:0219a10	車步男女等名是名妄想。	車 步 男 女 等 名 是 名 妄 想 
X17n0323_006:0219a11	五法向雖已明而未嘗約諸地分別示其所以入	五 法 向 雖 已 明 而 未 嘗 約 諸 地 分 別 示 其 所 以 入 
X17n0323_006:0219a12	一切佛法至如來地者故復請之答中先通示五	一切佛法 至 如 來 地 者 故 復 請 之 答 中 先 通 示 五 
X17n0323_006:0219a13	法迷悟相謂脩行者趣入則五法通是悟相故曰	法 迷 悟 相 謂 脩 行 者 趣 入 則 五 法 通 是 悟 相 故 曰 
X17n0323_006:0219a14	若脩行者等若反是不覺則五法通是迷相故曰	若 脩 行 者 等 若 反 是 不 覺 則 五 法 通 是 迷 相 故 曰 
X17n0323_006:0219a15	不覺彼五法等故知法無自性迷悟在人此特發	不 覺 彼 五 法 等 故 知 法無自性 迷 悟 在 人 此 特 發 
X17n0323_006:0219a16	其緒言爾所以趣入等相備見後文次徵釋中先	其 緒 言 爾 所 以 趣 入 等 相 備 見 後 文 次 徵 釋 中 先 
X17n0323_006:0219a17	別約名相等三就凡夫法以示迷相謂依六塵等	別 約 名 相 等 三 就 凡 夫 法 以 示 迷 相 謂 依 六 塵 等 
X17n0323_006:0219a18	俗數名相起諸分別其心流散不能自反墮我我	俗 數 名 相 起 諸 分 別 其 心 流 散 不 能 自 反 墮 我 我 
X17n0323_006:0219a19	所見希望計著玅色色非麤玅著則成麤玅體本	所 見 希 望 計 著 玅 色 色 非 麤 玅 著 則 成 麤 玅 體 本 
X17n0323_006:0219a20	融達之即離因妄想生於三道即無知覆障等惑	融 達 之 即 離 因 妄 想 生 於 三 道 即 無 知 覆 障 等 惑 
X17n0323_006:0219a21	也所生業積集等業也墮生死海等報也如蠶作	也 所 生 業 積 集 等 業 也 墮 生 死 海 等 報 也 如 蠶 作 
X17n0323_006:0219a22	繭者為自纏縛之譬也如汲井輪者為受輪回之	繭 者 為 自 纏 縛 之 譬 也 如 汲 井 輪 者 為 受 輪 回 之 
X17n0323_006:0219a23	譬也如幻野馬等為不知幻性離我我所之譬也	譬 也 如 幻 野 馬 等 為 不 知 幻 性 離我我所 之 譬 也 
X17n0323_006:0219a24	起於一切不實妄想者謂於六塵等名相處起諸	起 於 一 切 不 實 妄 想 者 謂 於 六 塵 等 名 相 處 起 諸 
X17n0323_006:0219b01	妄想成於三道夫妄本不實起於幻相幻相本離	妄 想 成 於 三 道 夫 妄 本 不 實 起 於 幻 相 幻 相 本 離 
X17n0323_006:0219b02	故離相所相亦無生住滅可得則歸諸自心而已	故 離 相 所 相 亦 無 生 住 滅 可 得 則 歸 諸 自 心 而 已 
X17n0323_006:0219b03	然心不自心亦不從外道諸異因生還自愚夫依	然 心 不 自 心 亦 不 從 外 道 諸 異 因 生 還 自 愚 夫 依 
X17n0323_006:0219b04	名相生故曰愚癡凡夫等是名相妄想互為生起	名 相 生 故 曰 愚 癡 凡 夫 等 是 名 相 妄 想 互 為 生 起 
X17n0323_006:0219b05	抑由不知幻相故妄想生若知幻相妄想即滅此	抑 由 不 知 幻 相 故 妄 想 生 若 知 幻 相 妄 想 即 滅 此 
X17n0323_006:0219b06	文所以反覆言之也又曰彼相者追釋名相二法	文 所 以 反 覆 言 之 也 又 曰 彼 相 者 追 釋 名 相 二 法 
X17n0323_006:0219b07	不出六識取彼六塵名之者名也所取者相也顯	不 出 六 識 取 彼 六 塵 名 之 者 名 也 所 取 者 相 也 顯 
X17n0323_006:0219b08	示施設諸名相者妄想也故曰如此不異等如象	示 施 設 諸 名 相 者 妄 想 也 故 曰 如 此 不 異 等 如 象 
X17n0323_006:0219b09	馬車步四兵及男女等名相既立一一分別此如	馬 車 步 四 兵 及 男 女 等 名 相 既 立 一 一 分 別 此 如 
X17n0323_006:0219b10	是此不異於無定法生於定見則妄想而已矣此	是 此 不 異 於 無 定 法 生 於 定 見 則 妄 想 而 已 矣 此 
X17n0323_006:0219b11	之謂凡夫法(一)。	之 謂 凡 夫 法 一 
X17n0323_006:0219b12	大慧正智者彼名相不可得猶如過客諸識不生不	大 慧 正 智 者 彼 名 相 不 可 得 猶 如 過 客 諸 識 不 生 不 
X17n0323_006:0219b13	斷不常不墮一切外道聲聞緣覺之地復次大慧菩	斷 不 常 不 墮 一 切 外 道 聲 聞 緣 覺 之 地 復 次 大 慧 菩 
X17n0323_006:0219b14	薩摩訶薩以此正智不立名相非不立名相捨離二	薩 摩 訶 薩 以 此 正 智 不 立 名 相 非 不 立 名 相 捨 離 二 
X17n0323_006:0219b15	見建立及誹謗知名相不生是名如如大慧菩薩摩	見 建 立 及 誹 謗 知 名 相 不 生 是 名 如 如 大 慧 菩 薩 摩 
X17n0323_006:0219b16	訶薩住如如者得無所有境界故得菩薩歡喜地得	訶 薩 住 如 如 者 得 無 所 有 境 界 故 得 菩 薩 歡 喜 地 得 
X17n0323_006:0219b17	菩薩歡喜地已永離一切外道惡趣正住出世間趣	菩 薩 歡 喜 地 已 永 離 一 切 外 道 惡 趣 正 住 出 世 間 趣 
X17n0323_006:0219b18	法相成熟分別幻等一切法自覺法趣相離諸妄想	法 相 成 熟 分 別 幻 等 一 切 法 自 覺 法 趣 相 離 諸 妄 想 
X17n0323_006:0219b19	見性異相次第乃至法雲地於其中間三昧力自在	見 性 異 相 次 第 乃 至 法 雲 地 於其中間 三 昧 力 自 在 
X17n0323_006:0219b20	神通開敷得如來地已種種變化圓照示現成熟眾	神 通 開 敷 得 如 來 地 已 種 種 變 化 圓 照 示 現 成 熟 眾 
X17n0323_006:0219b21	生如水中月善究竟滿足十無盡句為種種意解眾	生 如水中月 善 究 竟 滿 足 十 無 盡 句 為 種 種 意 解 眾 
X17n0323_006:0219b22	生分別說法法身離意所作是名菩薩入如如所得。	生 分 別 說 法 法 身 離 意 所 作 是 名 菩 薩 入 如 如 所 得 
X17n0323_006:0219b23	次約正智如如就聖賢法以明悟相則曰正智者	次 約 正 智 如 如 就 聖 賢 法 以 明 悟 相 則 曰 正 智 者 
X17n0323_006:0219b24	等謂彼名相不可得則各相等義在其間以本無	等 謂 彼 名 相 不 可 得 則 各 相 等 義 在 其 間 以 本 無 
X17n0323_006:0219c01	自性通皆屬悟不起斷常等見是為正智言如過	自 性 通 皆 屬 悟 不 起 斷 常 等 見 是 為 正 智 言 如 過 
X17n0323_006:0219c02	客諸識不生者過客猶路人也以譬名相初無自	客 諸 識 不 生 者 過 客 猶 路 人 也 以 譬 名 相 初 無 自 
X17n0323_006:0219c03	性而有智者終不於彼生諸分別故曰諸識不生	性 而 有 智 者 終 不 於 彼 生 諸 分 別 故 曰 諸 識 不 生 
X17n0323_006:0219c04	聖賢正智視彼名相亦復如之菩薩以此正智不	聖 賢 正 智 視 彼 名 相 亦 復 如 之 菩 薩 以 此 正 智 不 
X17n0323_006:0219c05	立名相者謂菩薩以正智破名相妄想而亦不自	立 名 相 者 謂 菩 薩 以 正 智 破 名 相 妄 想 而 亦 不 自 
X17n0323_006:0219c06	立其名相自若不亡還為所破然則既曰正智豈	立 其 名 相 自 若 不 亡 還 為 所 破 然 則 既 曰 正 智 豈 
X17n0323_006:0219c07	非名乎不斷不常豈非相乎故曰非不立名相但	非 名 乎 不 斷 不 常 豈 非 相 乎 故 曰 非 不 立 名 相 但 
X17n0323_006:0219c08	其為正智既捨離二邊不墮二謗則其性不生以	其 為 正 智 既 捨 離 二 邊 不 墮 二 謗 則 其 性 不 生 以 
X17n0323_006:0219c09	不生者即如如義菩薩住如如下示如如所得相	不 生 者 即 如 如 義 菩 薩 住 如 如 下 示 如 如 所 得 相 
X17n0323_006:0219c10	夫既曰如如豈有得乎然以無得而得亦得自他	夫 既 曰 如 如 豈 有 得 乎 然 以 無 得 而 得 亦 得 自 他 
X17n0323_006:0219c11	因果之法故曰得無所有境界即菩薩歡喜地也	因 果 之 法 故 曰 得 無 所 有 境 界 即 菩 薩 歡 喜 地 也 
X17n0323_006:0219c12	不離而離離一切外道惡趣無住而住住出世間	不 離 而 離 離 一 切 外 道 惡 趣 無 住 而 住 住 出 世 間 
X17n0323_006:0219c13	之正趣無分別而分別了一切法皆悉如幻無證	之 正 趣 無 分 別 而 分 別 了 一 切 法 皆 悉 如 幻 無 證 
X17n0323_006:0219c14	而證證自覺法趣相亦離諸妄想見性異相即能	而 證 證 自 覺 法 趣 相 亦 離 諸 妄 想 見 性 異 相 即 能 
X17n0323_006:0219c15	見及異相也前文所謂相見俱離是也葢菩薩將	見 及 異 相 也 前 文 所 謂 相 見 俱 離 是 也 葢 菩 薩 將 
X17n0323_006:0219c16	自淺階深以至於極故凡能所同異一切俱離而	自 淺 階 深 以 至 於 極 故 凡 能 所 同 異 一 切 俱 離 而 
X17n0323_006:0219c17	入一如法爾然也至於三昧力等種種功德由之	入 一 如 法 爾 然 也 至 於 三 昧 力 等 種 種 功 德 由 之 
X17n0323_006:0219c18	開發自果及他由之建立從始洎終究竟法身任	開 發 自 果 及 他 由 之 建 立 從 始 洎 終 究 竟 法 身 任 
X17n0323_006:0219c19	運稱性離意所作一□如如而得成辦故曰是名	運 稱 性 離 意 所 作 一 如 如 而 得 成 辦 故 曰 是 名 
X17n0323_006:0219c20	菩薩入如如所得(二)。	菩 薩 入 如 如 所 得 二 
X17n0323_006:0219c21	爾時大慧菩薩白佛言世尊云何世尊為三種自性	爾 時 大 慧 菩 薩 白 佛 言 世 尊 云 何 世 尊 為 三種自性 
X17n0323_006:0219c22	入於五法為各有自相宗佛告大慧三種自性及八	入 於 五 法 為 各 有 自 相 宗 佛 告 大 慧 三種自性 及 八 
X17n0323_006:0219c23	識二種無我悉入五法大慧彼名及相是妄想自性	識 二 種 無 我 悉 入 五 法 大 慧 彼 名 及 相 是 妄 想 自 性 
X17n0323_006:0219c24	大慧若依彼妄想生心心法名俱時生如日光俱種	大 慧 若 依 彼 妄 想 生 心 心 法 名 俱 時 生 如 日 光 俱 種 
X17n0323_006:0220a01	種相各別分別持是名緣起自性大慧正智如如者	種 相 各 別 分 別 持 是 名 緣 起 自 性 大 慧 正 智 如 如 者 
X17n0323_006:0220a02	不可壞故名成自性復次大慧自心現妄想八種分	不 可 壞 故 名 成 自 性 復 次 大 慧 自 心 現 妄 想 八 種 分 
X17n0323_006:0220a03	別謂識藏意意識及五識身相者不實相妄想故我	別 謂 識 藏 意 意 識 及 五 識 身 相 者 不 實 相 妄 想 故 我 
X17n0323_006:0220a04	我所二攝受滅二無我生是故大慧此五法者聲聞	我 所 二 攝 受 滅 二 無 我 生 是 故 大 慧 此 五 法 者 聲 聞 
X17n0323_006:0220a05	緣覺菩薩如來自覺聖智諸地相續次第一切佛法	緣 覺 菩 薩 如 來 自覺聖智 諸 地 相 續 次 第 一切佛法 
X17n0323_006:0220a06	悉入其中復次大慧五法者相名妄想如如正智大	悉 入 其 中 復 次 大 慧 五 法 者 相 名 妄 想 如 如 正 智 大 
X17n0323_006:0220a07	慧相者若處所形相色像等現是名為相若彼有如	慧 相 者 若 處 所 形 相 色 像 等 現 是 名 為 相 若 彼 有 如 
X17n0323_006:0220a08	是相名為瓶等即此非餘是說為名施設眾名顯示	是 相 名 為 瓶 等 即 此 非 餘 是 說 為 名 施 設 眾 名 顯 示 
X17n0323_006:0220a09	諸相瓶等心心法是名妄想彼名彼相畢竟不可得	諸 相 瓶 等 心 心 法 是 名 妄 想 彼 名 彼 相 畢 竟 不 可 得 
X17n0323_006:0220a10	始終無覺於諸法無展轉離不實妄想是名如如真	始 終 無 覺 於 諸 法 無 展 轉 離 不 實 妄 想 是 名 如 如 真 
X17n0323_006:0220a11	實決定究竟自性不可得彼是如相我及諸佛隨順	實 決 定 究 竟 自 性 不 可 得 彼 是 如 相 我 及 諸 佛 隨 順 
X17n0323_006:0220a12	入處普為眾生如實演說施設顯示於彼隨入正覺	入 處 普 為 眾 生 如 實 演 說 施 設 顯 示 於 彼 隨 入 正 覺 
X17n0323_006:0220a13	不斷不常妄想不起隨順自覺聖趣一切外道聲聞	不 斷 不 常 妄 想 不 起 隨 順 自 覺 聖 趣 一 切 外 道 聲 聞 
X17n0323_006:0220a14	緣覺所不得相是名正智大慧是名五法三種自性	緣 覺 所 不 得 相 是 名 正 智 大 慧 是 名 五 法 三種自性 
X17n0323_006:0220a15	八識二種無我一切佛法悉入其中是故大慧當自	八 識 二 種 無 我 一切佛法 悉 入 其 中 是 故 大 慧 當 自 
X17n0323_006:0220a16	方便學亦教他人勿隨於他爾時世尊欲重宣此義	方 便 學 亦 教 他 人 勿 隨 於 他 爾 時 世 尊 欲 重 宣 此 義 
X17n0323_006:0220a17	而說偈言。	而 說 偈 言 
X17n0323_006:0220a18	五法三自性及與八種識二種無有我悉攝摩訶衍	五 法 三 自 性 及 與 八 種 識 二 種 無 有 我 悉 攝 摩 訶 衍 
X17n0323_006:0220a19	名相虗妄想自性二種相正智及如如是則為成相。	名 相 虗 妄 想 自 性 二 種 相 正 智 及 如 如 是 則 為 成 相 
X17n0323_006:0220a20	既申五法即三自性義在其中如前後會攝故復	既 申 五 法 即 三 自 性 義 在 其 中 如 前 後 會 攝 故 復 
X17n0323_006:0220a21	問其攝入之外亦有自相宗邪答中先答總入可	問 其 攝 入 之 外 亦 有 自 相 宗 邪 答 中 先 答 總 入 可 
X17n0323_006:0220a22	知次別配法相初以名相對妄想者從所因言也	知 次 別 配 法 相 初 以 名 相 對 妄 想 者 從 所 因 言 也 
X17n0323_006:0220a23	以彼妄想反屬緣起者從所起說也即依妄想生	以 彼 妄 想 反 屬 緣 起 者 從 所 起 說 也 即 依 妄 想 生 
X17n0323_006:0220a24	心心法是其所起故既俱時生則如日光持種種	心 心 法 是 其 所 起 故 既 俱 時 生 則 如 日 光 持 種 種 
X17n0323_006:0220b01	相而分別不謬故曰各各分別持即日光以譬妄	相 而 分 別 不 謬 故 曰 各 各 分 別 持 即 日 光 以 譬 妄 
X17n0323_006:0220b02	想種種相以譬緣起正智如如以配成性其義可	想 種 種 相 以 譬 緣 起 正 智 如 如 以 配 成 性 其 義 可 
X17n0323_006:0220b03	知五法攝八識者即自心現妄想一也而通八種	知 五 法 攝 八 識 者 即 自 心 現 妄 想 一 也 而 通 八 種 
X17n0323_006:0220b04	分別謂識藏即妄想之本意則執我妄想之主意	分 別 謂 識 藏 即 妄 想 之 本 意 則 執 我 妄 想 之 主 意 
