T35n1731_001:0001a03	華嚴遊意	華 嚴 遊 意 
T35n1731_001:0007b13	當不非此金木耶。若非金非木還非此金非	當 不 非 此 金 木 耶 若 非 金 非 木 還 非 此 金 非 
T35n1731_001:0007b14	此木。則金木共成非金非木。若爾還著前被	此 木 則 金 木 共 成 非 金 非 木 若 爾 還 著 前 被 
T35n1731_001:0007b15	燒難。何者既共一質燒木既燒金也。又若共	燒 難 何 者 既 共 一 質 燒 木 既 燒 金 也 又 若 共 
T35n1731_001:0007b16	成一非金非木質。兩人見金木則皆顛倒。此	成 一 非 金 非 木 質 兩 人 見 金 木 則 皆 顛 倒 此 
T35n1731_001:0007b17	質非是金。梵王見金既非顛倒。此木非是	質 非 是 金 梵 王 見 金 既 非 顛 倒 此 木 非 是 
T35n1731_001:0007b18	木。身子見木亦非倒。非是木。身子見木既	木 身 子 見 木 亦 非 倒 非 是 木 身 子 見 木 既 
T35n1731_001:0007b19	倒。非是金。梵王見金亦倒。同皆非金非木。	倒 非 是 金 梵 王 見 金 亦 倒 同 皆 非 金 非 木 
T35n1731_001:0007b20	而言身子倒梵王不倒者同皆非金木。豈非	而 言 身 子 倒 梵 王 不 倒 者 同 皆 非 金 木 豈 非 
T35n1731_001:0007b21	梵王倒身子不倒。何以故同是非金木故也。	梵 王 倒 身 子 不 倒 何 以 故 同 是 非 金 木 故 也 
T35n1731_001:0007b22	若非金木非不金木者。則離金木別有非金	若 非 金 木 非 不 金 木 者 則 離 金 木 別 有 非 金 
T35n1731_001:0007b23	非木者。既離金木何得別有非金木耶。又若	非 木 者 既 離 金 木 何 得 別 有 非 金 木 耶 又 若 
T35n1731_001:0007b24	離金木別有非金木。則成三體金木二體非	離 金 木 別 有 非 金 木 則 成 三 體 金 木 二 體 非 
T35n1731_001:0007b25	金非木。復是一體故成三體。師云。如此一梨	金 非 木 復 是 一 體 故 成 三 體 師 云 如 此 一 梨 
T35n1731_001:0007b26	時兩盛子。為非金非木一體時金木二體故	時 兩 盛 子 為 非 金 非 木 一 體 時 金 木 二 體 故 
T35n1731_001:0007b27	不成義也。四句義此一句。且難未得解。	不 成 義 也 四 句 義 此 一 句 且 難 未 得 解 
T35n1731_001:0007b28	今當解後三句。第二句云。二質一見者。此	今 當 解 後 三 句 第 二 句 云 二 質 一 見 者 此 
T35n1731_001:0007b29	有三義。言二質者。淨穢二質。言一見者。淨	有 三 義 言 二 質 者 淨 穢 二 質 言 一 見 者 淨 
T35n1731_001:0007c01	穢是因緣淨穢。非淨無以明穢。非穢無以辨	穢 是 因 緣 淨 穢 非 淨 無 以 明 穢 非 穢 無 以 辨 
T35n1731_001:0007c02	淨。由淨故言穢。由穢故稱淨。淨是穢淨穢是	淨 由 淨 故 言 穢 由 穢 故 稱 淨 淨 是 穢 淨 穢 是 
T35n1731_001:0007c03	淨穢。淨穢不穢。穢淨不淨。只淨穢不淨穢。見	淨 穢 淨 穢 不 穢 穢 淨 不 淨 只 淨 穢 不 淨 穢 見 
T35n1731_001:0007c04	二不二故。涅槃經云。明與無明愚者謂二。智	二 不 二 故 涅 槃 經 云 明 與 無 明 愚 者 謂 二 智 
T35n1731_001:0007c05	者了達其性無二。無二之性即是實性。黑法	者 了 達 其 性 無 二 無 二 之 性 即 是 實 性 黑 法 
T35n1731_001:0007c06	白法淨不淨法亦爾。故是二質一見也。二者	白 法 淨 不 淨 法 亦 爾 故 是 二 質 一 見 也 二 者 
T35n1731_001:0007c07	口淨穢二質。深行菩薩並見是淨。故大經云。	口 淨 穢 二 質 深 行 菩 薩 並 見 是 淨 故 大 經 云 
T35n1731_001:0007c08	一切世諦。若於如來成第一義諦。若俗若真	一 切 世 諦 若 於 如 來 成 第一義諦 若 俗 若 真 
T35n1731_001:0007c09	於如來皆真。亦若淨若穢。菩薩皆見淨。亦如	於 如 來 皆 真 亦 若 淨 若 穢 菩 薩 皆 見 淨 亦 如 
T35n1731_001:0007c10	法華法師功德品云。若甘若苦等味至菩薩	法 華 法 師 功 德 品 云 若 甘 若 苦 等 味 至 菩 薩 
T35n1731_001:0007c11	口皆成甘露。大品云。菩薩見產業之事。無非	口 皆 成 甘 露 大 品 云 菩 薩 見 產 業 之 事 無 非 
T35n1731_001:0007c12	般若也。三者惡業眾生。若淨若穢。皆見穢。如	般 若 也 三 者 惡 業 眾 生 若 淨 若 穢 皆 見 穢 如 
T35n1731_001:0007c13	餓鬼非但見彼處火。見恒河水亦是火。亦如	餓 鬼 非 但 見 彼 處 火 見 恒 河 水 亦 是 火 亦 如 
T35n1731_001:0007c14	獅子國採珠。福德人得珠。薄福人見珠成蛇。	獅 子 國 採 珠 福 德 人 得 珠 薄 福 人 見 珠 成 蛇 
T35n1731_001:0007c15	非但見蛇成蛇。見珠亦成蛇。以是故二質一	非 但 見 蛇 成 蛇 見 珠 亦 成 蛇 以 是 故 二 質 一 
T35n1731_001:0007c16	見也。第三句言一質一見者。非淨非穢質非	見 也 第 三 句 言 一 質 一 見 者 非 淨 非 穢 質 非 
T35n1731_001:0007c17	淨非穢見。斯則中道正土也。此之正土即是	淨 非 穢 見 斯 則 中 道 正 土 也 此 之 正 土 即 是 
T35n1731_001:0007c18	法身。波若涅槃此中道正土。本不曾淨。今	法 身 波 若 涅 槃 此 中 道 正 土 本 不 曾 淨 今 
T35n1731_001:0007c19	亦不曾穢。先不有今亦不無。非淨非穢不有	亦 不 曾 穢 先 不 有 今 亦 不 無 非 淨 非 穢 不 有 
T35n1731_001:0007c20	不無名為正法身。只此正法可拪託。名為	不 無 名 為 正 法 身 只 此 正 法 可 拪 託 名 為 
T35n1731_001:0007c21	正法土也。此正土何人所見。還以非淨非穢	正 法 土 也 此 正 土 何 人 所 見 還 以 非 淨 非 穢 
T35n1731_001:0007c22	正人所見故。言一質一見也。又言一質一	正 人 所 見 故 言 一 質 一 見 也 又 言 一 質 一 
T35n1731_001:0007c23	見者。非淨非穢方便穢質即有非淨非穢方	見 者 非 淨 非 穢 方 便 穢 質 即 有 非 淨 非 穢 方 
T35n1731_001:0007c24	便穢見。穢既然淨亦爾。非淨非穢方便淨	便 穢 見 穢 既 然 淨 亦 爾 非 淨 非 穢 方 便 淨 
T35n1731_001:0007c25	質。即有非淨非穢方便淨見。故云一質一	質 即 有 非 淨 非 穢 方 便 淨 見 故 云 一 質 一 
T35n1731_001:0007c26	見。斯則前明方便實一質一見。今明實方便	見 斯 則 前 明 方 便 實 一 質 一 見 今 明 實 方 便 
T35n1731_001:0007c27	一質一見也。第四句二質二見者。非淨非	一 質 一 見 也 第 四 句 二 質 二 見 者 非 淨 非 
T35n1731_001:0007c28	穢。淨穢雙遊。淨穢雙現。如華臺示現千釋迦。	穢 淨 穢 雙 遊 淨 穢 雙 現 如 華 臺 示 現 千 釋 迦 
T35n1731_001:0007c29	華臺舍那為本。釋迦為迹。非本非迹。本迹	華 臺 舍 那 為 本 釋 迦 為 迹 非 本 非 迹 本 迹 
T35n1731_001:0008a01	雙遊。亦非淨非穢。淨穢俱現。即既雙現雙	雙 遊 亦 非 淨 非 穢 淨 穢 俱 現 即 既 雙 現 雙 
T35n1731_001:0008a02	見故。云二質二見也。雖然語並相監。何者前	見 故 云 二 質 二 見 也 雖 然 語 並 相 監 何 者 前 
T35n1731_001:0008a03	第二句亦不二為一見。第三亦不二為一見	第 二 句 亦 不 二 為 一 見 第 三 亦 不 二 為 一 見 
T35n1731_001:0008a04	何異。解前第二句見二不二為二質一見。第	何 異 解 前 第 二 句 見 二 不 二 為 二 質 一 見 第 
T35n1731_001:0008a05	三句本不二見不二為一質一見。故與前異	三 句 本 不 二 見 不 二 為 一 質 一 見 故 與 前 異 
T35n1731_001:0008a06	也。	也 
T35n1731_001:0008a07	次明土有四種。一穢淨土。二淨穢土。三穢穢	次 明 土 有 四 種 一 穢 淨 土 二 淨 穢 土 三 穢 穢 
T35n1731_001:0008a08	土。四淨淨土。言穢淨土者。此是因緣淨穢	土 四 淨 淨 土 言 穢 淨 土 者 此 是 因 緣 淨 穢 
T35n1731_001:0008a09	也。何者一往舍那釋迦開淨穢二舍那為淨	也 何 者 一 往 舍 那 釋 迦 開 淨 穢 二 舍 那 為 淨 
T35n1731_001:0008a10	釋迦為穢。此淨穢是因緣淨穢。非淨無以明	釋 迦 為 穢 此 淨 穢 是 因 緣 淨 穢 非 淨 無 以 明 
T35n1731_001:0008a11	穢。非穢無以明淨。故淨是穢淨。穢是淨穢。	穢 非 穢 無 以 明 淨 故 淨 是 穢 淨 穢 是 淨 穢 
T35n1731_001:0008a12	故舍那是穢淨。釋迦是淨穢。依果既然。正果	故 舍 那 是 穢 淨 釋 迦 是 淨 穢 依 果 既 然 正 果 
T35n1731_001:0008a13	亦爾。舍那是本釋迦是迹此因緣本迹。非本	亦 爾 舍 那 是 本 釋 迦 是 迹 此 因 緣 本 迹 非 本 
T35n1731_001:0008a14	無以明迹。非迹無以辨本。本是迹本。迹是本	無 以 明 迹 非 迹 無 以 辨 本 本 是 迹 本 迹 是 本 
T35n1731_001:0008a15	迹也。言穢穢土淨淨土者。此即眾生顛倒業	迹 也 言 穢 穢 土 淨 淨 土 者 此 即 眾 生 顛 倒 業 
T35n1731_001:0008a16	所感。以眾生顛倒穢穢業故。感得穢穢土。顛	所 感 以 眾 生 顛 倒 穢 穢 業 故 感 得 穢 穢 土 顛 
T35n1731_001:0008a17	倒淨淨業故。感得淨淨土。前之二句是眾生	倒 淨 淨 業 故 感 得 淨 淨 土 前 之 二 句 是 眾 生 
T35n1731_001:0008a18	顛倒所感也。問。穢穢土是顛倒業所感。淨淨	顛 倒 所 感 也 問 穢 穢 土 是 顛 倒 業 所 感 淨 淨 
T35n1731_001:0008a19	土云何亦為顛倒業所感。顛倒業何得感淨	土 云 何 亦 為 顛 倒 業 所 感 顛 倒 業 何 得 感 淨 
T35n1731_001:0008a20	耶。解云。雖同顛倒顛倒中有重有輕。顛倒重	耶 解 云 雖 同 顛 倒 顛 倒 中 有 重 有 輕 顛 倒 重 
T35n1731_001:0008a21	故感穢穢土。顛倒輕故感淨淨土。雖同顛倒	故 感 穢 穢 土 顛 倒 輕 故 感 淨 淨 土 雖 同 顛 倒 
T35n1731_001:0008a22	倒有重輕。雖同土土不同土有穢淨也。今所	倒 有 重 輕 雖 同 土 土 不 同 土 有 穢 淨 也 今 所 
T35n1731_001:0008a23	化眾生。雖同顛倒顛倒不同。有顛倒淨淨顛	化 眾 生 雖 同 顛 倒 顛 倒 不 同 有 顛 倒 淨 淨 顛 
T35n1731_001:0008a24	倒穢穢。前能化諸佛雖同方便方便不同。有	倒 穢 穢 前 能 化 諸 佛 雖 同 方 便 方 便 不 同 有 
T35n1731_001:0008a25	淨穢方便。有穢淨方便。然土有此四。見亦	淨 穢 方 便 有 穢 淨 方 便 然 土 有 此 四 見 亦 
T35n1731_001:0008a26	有四。因緣淨穢土。因緣穢淨土。即諸佛菩	有 四 因 緣 淨 穢 土 因 緣 穢 淨 土 即 諸 佛 菩 
T35n1731_001:0008a27	薩因緣穢淨見。因緣淨穢見。眾生穢穢土。淨	薩 因 緣 穢 淨 見 因 緣 淨 穢 見 眾 生 穢 穢 土 淨 
T35n1731_001:0008a28	淨土。則眾生顛倒穢穢見淨淨見。故土有四	淨 土 則 眾 生 顛 倒 穢 穢 見 淨 淨 見 故 土 有 四 
T35n1731_001:0008a29	見亦有四也。明見淨穢土義未竟。	見 亦 有 四 也 明 見 淨 穢 土 義 未 竟 
T35n1731_001:0008b01	更辨一穢四句者。一見穢不見淨。二見淨不	更 辨 一 穢 四 句 者 一 見 穢 不 見 淨 二 見 淨 不 
T35n1731_001:0008b02	見穢。三亦見淨亦見穢。四不見穢不見淨。此	見 穢 三 亦 見 淨 亦 見 穢 四 不 見 穢 不 見 淨 此 
T35n1731_001:0008b03	之四句約兩處辨之。見穢不見淨。見淨不見	之 四 句 約 兩 處 辨 之 見 穢 不 見 淨 見 淨 不 見 
T35n1731_001:0008b04	穢。此兩約何處辨耶。解云。且約祇洹而辨	穢 此 兩 約 何 處 辨 耶 解 云 且 約 祇 洹 而 辨 
T35n1731_001:0008b05	之。只是一祇洹。五百聲聞唯見須達所起	之 只 是 一 祇 洹 五 百 聲 聞 唯 見 須 達 所 起 
T35n1731_001:0008b06	祇洹。不見法界祇洹。以其罪重薄福斷常	祇 洹 不 見 法 界 祇 洹 以 其 罪 重 薄 福 斷 常 
T35n1731_001:0008b07	之心故。見穢祇洹丘陵坑坎。良由心有斷	之 心 故 見 穢 祇 洹 丘 陵 坑 坎 良 由 心 有 斷 
T35n1731_001:0008b08	常高下故。見祇洹丘墟高下之土。不見法	常 高 下 故 見 祇 洹 丘 墟 高 下 之 土 不 見 法 
T35n1731_001:0008b09	界祇洹清淨之土。既其如此餘三亦然。唯見	界 祇 洹 清 淨 之 土 既 其 如 此 餘 三 亦 然 唯 見 
T35n1731_001:0008b10	須達祇洹不見法界祇洹。唯見釋迦受用	須 達 祇 洹 不 見 法 界 祇 洹 唯 見 釋 迦 受 用 
T35n1731_001:0008b11	不見舍那受用。唯見三乘徒眾不見純諸菩	不 見 舍 那 受 用 唯 見 三 乘 徒 眾 不 見 純 諸 菩 
T35n1731_001:0008b12	薩眾。唯見三乘教不見純一大教門。故言見	薩 眾 唯 見 三 乘 教 不 見 純 一 大 教 門 故 言 見 
T35n1731_001:0008b13	穢不見淨也。見淨不見穢反前。如法界中普	穢 不 見 淨 也 見 淨 不 見 穢 反 前 如 法 界 中 普 
T35n1731_001:0008b14	賢文殊等諸菩薩。則見法界祇洹不見須達	賢 文 殊 等 諸 菩 薩 則 見 法 界 祇 洹 不 見 須 達 
T35n1731_001:0008b15	祇洹。所以然者以諸菩薩心無斷常故。不見	祇 洹 所 以 然 者 以 諸 菩 薩 心 無 斷 常 故 不 見 
T35n1731_001:0008b16	丘墟之土。唯見法界祇洹不見須達祇洹。	丘 墟 之 土 唯 見 法 界 祇 洹 不 見 須 達 祇 洹 
T35n1731_001:0008b17	唯見舍那受用不見釋迦受用。唯見大菩薩	唯 見 舍 那 受 用 不 見 釋 迦 受 用 唯 見 大 菩 薩 
T35n1731_001:0008b18	眾不見三乘眾。唯見大乘教不見三乘教。故	眾 不 見 三 乘 眾 唯 見 大 乘 教 不 見 三 乘 教 故 
T35n1731_001:0008b19	言見淨不見穢也。言亦見淨亦見穢。不見淨	言 見 淨 不 見 穢 也 言 亦 見 淨 亦 見 穢 不 見 淨 
T35n1731_001:0008b20	不見穢。此二句復約何處明耶。釋云。此約華	不 見 穢 此 二 句 復 約 何 處 明 耶 釋 云 此 約 華 
T35n1731_001:0008b21	臺辨好也。故經云。我今盧舍那方坐蓮華臺。	臺 辨 好 也 故 經 云 我 今 盧 舍 那 方 坐 蓮 華 臺 
T35n1731_001:0008b22	周匝千華上示現千釋迦。舍那是迹。本釋迦	周 匝 千 華 上 示 現 千 釋 迦 舍 那 是 迹 本 釋 迦 
T35n1731_001:0008b23	是本迹。臺是穢淨葉是淨穢。諸大行菩薩非	是 本 迹 臺 是 穢 淨 葉 是 淨 穢 諸 大 行 菩 薩 非 
T35n1731_001:0008b24	但見舍那釋迦本迹亦見釋迦舍那迹本。非	但 見 舍 那 釋 迦 本 迹 亦 見 釋 迦 舍 那 迹 本 非 
T35n1731_001:0008b25	但見臺葉淨穢亦見葉臺穢淨。此則淨穢雙	但 見 臺 葉 淨 穢 亦 見 葉 臺 穢 淨 此 則 淨 穢 雙 
T35n1731_001:0008b26	見。所以雙見者師云。因中二慧果地二身。良	見 所 以 雙 見 者 師 云 因 中 二 慧 果 地 二 身 良 
T35n1731_001:0008b27	由菩薩有二慧故。見諸佛二身。非但見迹亦	由 菩 薩 有 二 慧 故 見 諸 佛 二 身 非 但 見 迹 亦 
T35n1731_001:0008b28	見本。非但見本迹復見迹中無量迹。正既然	見 本 非 但 見 本 迹 復 見 迹 中 無 量 迹 正 既 然 
T35n1731_001:0008b29	依亦爾。故云亦見淨亦見穢也。不見淨不見	依 亦 爾 故 云 亦 見 淨 亦 見 穢 也 不 見 淨 不 見 
T35n1731_001:0008c01	穢者。即是二乘異常之人非但不見釋迦	穢 者 即 是 二 乘 異 常 之 人 非 但 不 見 釋 迦 
T35n1731_001:0008c02	舍那迹本。亦不見舍那釋迦本迹。非但不見	舍 那 迹 本 亦 不 見 舍 那 釋 迦 本 迹 非 但 不 見 
T35n1731_001:0008c03	葉臺穢淨亦不見臺葉淨穢。所以不見二身	葉 臺 穢 淨 亦 不 見 臺 葉 淨 穢 所 以 不 見 二 身 
T35n1731_001:0008c04	兩土者彼無二慧故。菩薩有二慧故見二身。	兩 土 者 彼 無 二 慧 故 菩 薩 有 二 慧 故 見 二 身 
T35n1731_001:0008c05	既無二慧豈得見二身。非但不見本亦不見	既 無 二 慧 豈 得 見 二 身 非 但 不 見 本 亦 不 見 
T35n1731_001:0008c06	迹。非但不見本迹亦不見迹中無量迹。身既	迹 非 但 不 見 本 迹 亦 不 見 迹 中 無 量 迹 身 既 
T35n1731_001:0008c07	然土亦爾。故云不見淨不見穢也。次更因前	然 土 亦 爾 故 云 不 見 淨 不 見 穢 也 次 更 因 前 
T35n1731_001:0008c08	二句問後二句。何者前既言諸菩薩見淨不	二 句 問 後 二 句 何 者 前 既 言 諸 菩 薩 見 淨 不 
T35n1731_001:0008c09	見穢。復何意云諸菩薩亦見淨亦見穢。前既	見 穢 復 何 意 云 諸 菩 薩 亦 見 淨 亦 見 穢 前 既 
T35n1731_001:0008c10	言二乘見穢不見淨。復何意云雙不見耶。	言 二 乘 見 穢 不 見 淨 復 何 意 云 雙 不 見 耶 
T35n1731_001:0008c11	今更開一四句答此兩四句者。一知而不見。	今 更 開 一 四 句 答 此 兩 四 句 者 一 知 而 不 見 
T35n1731_001:0008c12	二見而不知。三亦見亦知。四不知不見。言知	二 見 而 不 知 三 亦 見 亦 知 四 不 知 不 見 言 知 
T35n1731_001:0008c13	而不見者。此句正取前菩薩見淨不見穢義。	而 不 見 者 此 句 正 取 前 菩 薩 見 淨 不 見 穢 義 
T35n1731_001:0008c14	所以言菩薩知而不見。菩薩知聲聞以顛倒	所 以 言 菩 薩 知 而 不 見 菩 薩 知 聲 聞 以 顛 倒 
T35n1731_001:0008c15	斷常業感得丘墟不淨土。知彼見此土而菩	斷 常 業 感 得 丘 墟 不 淨 土 知 彼 見 此 土 而 菩 
T35n1731_001:0008c16	薩土。而菩薩淨業淨心而不見彼所見土。如	薩 土 而 菩 薩 淨 業 淨 心 而 不 見 彼 所 見 土 如 
T35n1731_001:0008c17	佛知餓鬼惡業故見火。而佛不見彼所見火。	佛 知 餓 鬼 惡 業 故 見 火 而 佛 不 見 彼 所 見 火 
T35n1731_001:0008c18	故云知不見。釋菩薩見淨不見穢義也。言見	故 云 知 不 見 釋 菩 薩 見 淨 不 見 穢 義 也 言 見 
T35n1731_001:0008c19	而不知者。還是諸聲聞。唯見釋迦穢土。不知	而 不 知 者 還 是 諸 聲 聞 唯 見 釋 迦 穢 土 不 知 
T35n1731_001:0008c20	釋迦是舍那釋迦。不知穢是淨穢。故云見而	釋 迦 是 舍 那 釋 迦 不 知 穢 是 淨 穢 故 云 見 而 
T35n1731_001:0008c21	不知也。言亦知亦見者。菩薩知舍那是釋迦	不 知 也 言 亦 知 亦 見 者 菩 薩 知 舍 那 是 釋 迦 
T35n1731_001:0008c22	舍那。知釋迦是舍那釋迦。知本是迹本。知迹	舍 那 知 釋 迦 是 舍 那 釋 迦 知 本 是 迹 本 知 迹 
T35n1731_001:0008c23	是本迹。知本是迹本。見本即見迹。知迹是	是 本 迹 知 本 是 迹 本 見 本 即 見 迹 知 迹 是 
T35n1731_001:0008c24	本迹。見迹即見本。本迹既然淨穢亦爾。知淨	本 迹 見 迹 即 見 本 本 迹 既 然 淨 穢 亦 爾 知 淨 
T35n1731_001:0008c25	是穢淨。知穢是淨穢。既識淨穢即見淨穢也。	是 穢 淨 知 穢 是 淨 穢 既 識 淨 穢 即 見 淨 穢 也 
T35n1731_001:0008c26	既知本是迹本。知迹是本迹。知臺是葉臺。知	既 知 本 是 迹 本 知 迹 是 本 迹 知 臺 是 葉 臺 知 
T35n1731_001:0008c27	葉是臺葉。臺一而葉多則知本一而迹多。知	葉 是 臺 葉 臺 一 而 葉 多 則 知 本 一 而 迹 多 知 
T35n1731_001:0008c28	一是多一。知多是一多。知一是多一。無量中	一 是 多 一 知 多 是 一 多 知 一 是 多 一 無 量 中 
T35n1731_001:0008c29	解一。知多是一多。一中解無量。無量不礙一。	解 一 知 多 是 一 多 一 中 解 無 量 無 量 不 礙 一 
T35n1731_001:0009a01	無量中解一。一不礙無量。雖無量而一。雖	無 量 中 解 一 一 不 礙 無 量 雖 無 量 而 一 雖 
T35n1731_001:0009a02	一而無量。無量一一無量。無量一非一。一無	一 而 無 量 無 量 一 一 無 量 無 量 一 非 一 一 無 
T35n1731_001:0009a03	量非無量。非一非無量方便一無量。問若使	量 非 無 量 非 一 非 無量方便 一 無 量 問 若 使 
T35n1731_001:0009a04	本迹多一一多無礙。既本一而迹多。何不迹	本 迹 多 一 一 多 無 礙 既 本 一 而 迹 多 何 不 迹 
T35n1731_001:0009a05	一而本多。解云。例如前所明。而今一往開本	一 而 本 多 解 云 例 如 前 所 明 而 今 一 往 開 本 
T35n1731_001:0009a06	迹。本一迹多者。本是體故一。迹是隨緣故無	迹 本 一 迹 多 者 本 是 體 故 一 迹 是 隨 緣 故 無 
T35n1731_001:0009a07	量。又本為一大緣故一。迹為緣不同故無量。	量 又 本 為 一 大 緣 故 一 迹 為 緣 不 同 故 無 量 
T35n1731_001:0009a08	本迹佛既然本迹土亦爾。知此本迹土見此	本 迹 佛 既 然 本 迹 土 亦 爾 知 此 本 迹 土 見 此 
T35n1731_001:0009a09	本迹也。言不知不見者。凡有三意。一者約前	本 迹 也 言 不 知 不 見 者 凡 有 三 意 一 者 約 前 
T35n1731_001:0009a10	明知本是迹本。知迹是本迹。見本是迹本。見	明 知 本 是 迹 本 知 迹 是 本 迹 見 本 是 迹 本 見 
T35n1731_001:0009a11	迹是本迹。本迹既然淨穢亦爾。今知無所知	迹 是 本 迹 本 迹 既 然 淨 穢 亦 爾 今 知 無 所 知 
T35n1731_001:0009a12	見無所見。知淨穢宛然而未曾知淨穢。見淨	見 無 所 見 知 淨 穢 宛 然 而 未 曾 知 淨 穢 見 淨 
T35n1731_001:0009a13	穢宛然而未曾見淨穢。只見淨穢宛然而未	穢 宛 然 而 未 曾 見 淨 穢 只 見 淨 穢 宛 然 而 未 
T35n1731_001:0009a14	曾淨穢。如石室佛影譬。遙望相好宛然。至邊	曾 淨 穢 如 石 室 佛 影 譬 遙 望 相 好 宛 然 至 邊 
T35n1731_001:0009a15	一無所見。故言不知不見也。次意言不知不	一 無 所 見 故 言 不 知 不 見 也 次 意 言 不 知 不 
T35n1731_001:0009a16	見者。二乘不知本是迹本。不知迹是本迹。不	見 者 二 乘 不 知 本 是 迹 本 不 知 迹 是 本 迹 不 
T35n1731_001:0009a17	知淨是穢淨。不知穢是淨穢。不見本不見迹。	知 淨 是 穢 淨 不 知 穢 是 淨 穢 不 見 本 不 見 迹 
T35n1731_001:0009a18	不見淨不見穢。斯則[穴/俱]然不知不見。所以經	不 見 淨 不 見 穢 斯 則 [穴俱] 然 不 知 不 見 所 以 經 
T35n1731_001:0009a19	中舉譬云。如二人並眠一人上忉利天。見林	中 舉 譬 云 如 二 人 並 眠 一 人 上 忉 利 天 見 林 
T35n1731_001:0009a20	苑婇女等事。一人[穴/俱]然不知不覺。菩薩與	苑 婇 女 等 事 一 人 [穴俱] 然 不 知 不 覺 菩 薩 與 
T35n1731_001:0009a21	二乘亦爾。知見本迹淨穢等事即彼二乘[穴/俱]	二 乘 亦 爾 知 見 本 迹 淨 穢 等 事 即 彼 二 乘 [穴俱] 
T35n1731_001:0009a22	然不知不見。所以作此釋者經中有此言。今	然 不 知 不 見 所 以 作 此 釋 者 經 中 有 此 言 今 
T35n1731_001:0009a23	為釋經故作此語。非是今時有義故作此釋	為 釋 經 故 作 此 語 非 是 今 時 有 義 故 作 此 釋 
T35n1731_001:0009a24	也。第三意言不知不見者。顛倒凡夫不知	也 第 三 意 言 不 知 不 見 者 顛 倒 凡 夫 不 知 
T35n1731_001:0009a25	本。不見釋迦迹身。亦不見釋迦土也。雖有	本 不 見 釋 迦 迹 身 亦 不 見 釋 迦 土 也 雖 有 
T35n1731_001:0009a26	四句約三人。前知而不見菩薩望聲聞。見而	四 句 約 三 人 前 知 而 不 見 菩 薩 望 聲 聞 見 而 
T35n1731_001:0009a27	不見當聲聞辨。亦知亦見當菩薩。不知不見	不 見 當 聲 聞 辨 亦 知 亦 見 當 菩 薩 不 知 不 見 
T35n1731_001:0009a28	是眾生不知淨穢亦不見淨穢。此復是一節	是 眾 生 不 知 淨 穢 亦 不 見 淨 穢 此 復 是 一 節 
T35n1731_001:0009a29	義意也。	義 意 也 
T35n1731_001:0009b01	前明一質異見四句釋三句竟。一句難而未	前 明 一 質 異 見 四 句 釋 三 句 竟 一 句 難 而 未 
T35n1731_001:0009b02	解。即是一質異見句。今追解之。然成論地	解 即 是 一 質 異 見 句 今 追 解 之 然 成 論 地 
T35n1731_001:0009b03	論釋一質異見。所以著前種種責種種難	論 釋 一 質 異 見 所 以 著 前 種 種 責 種 種 難 
T35n1731_001:0009b04	者。良由彼有一質可一質。以有一質可一質	者 良 由 彼 有 一 質 可 一 質 以 有 一 質 可 一 質 
T35n1731_001:0009b05	故。所以著諸難。今明何曾此一質在中耶。若	故 所 以 著 諸 難 今 明 何 曾 此 一 質 在 中 耶 若 
T35n1731_001:0009b06	有此一質在中。則有他所投得為他所難。今	有 此 一 質 在 中 則 有 他 所 投 得 為 他 所 難 今 
T35n1731_001:0009b07	明未曾一質。不一質而言一質異見者。明不	明 未 曾 一 質 不 一 質 而 言 一 質 異 見 者 明 不 
T35n1731_001:0009b08	蓮華藏蓮華藏不娑婆娑婆。不淨淨不穢穢。	蓮 華 藏 蓮 華 藏 不 娑 婆 娑 婆 不 淨 淨 不 穢 穢 
T35n1731_001:0009b09	此則如來正土。非淨非穢土淨穢土出自兩	此 則 如 來 正 土 非 淨 非 穢 土 淨 穢 土 出 自 兩 
T35n1731_001:0009b10	緣。如來正土未曾有未曾無。未曾淨未曾穢。	緣 如 來 正 土 未 曾 有 未 曾 無 未 曾 淨 未 曾 穢 
T35n1731_001:0009b11	斯則非有非無非穢非淨。不知何以目之。強	斯 則 非有非無 非 穢 非 淨 不 知 何 以 目 之 強 
T35n1731_001:0009b12	名中道正土。即第一義土故。云一質二見	名 中 道 正 土 即 第 一 義 土 故 云 一 質 二 見 
T35n1731_001:0009b13	者。如來正土非淨非穢。淨緣見淨穢緣見穢。	者 如 來 正 土 非 淨 非 穢 淨 緣 見 淨 穢 緣 見 穢 
T35n1731_001:0009b14	正土非淨非穢。身子穢業故見穢。正土非淨	正 土 非 淨 非 穢 身 子 穢 業 故 見 穢 正 土 非 淨 
T35n1731_001:0009b15	非穢。諸菩薩淨業故見淨。亦如祇洹非淨非	非 穢 諸 菩 薩 淨 業 故 見 淨 亦 如 祇 洹 非 淨 非 
T35n1731_001:0009b16	穢。身子見須達多所記祇桓。見娑婆丘陵。見	穢 身 子 見 須 達 多 所 記 祇 桓 見 娑 婆 丘 陵 見 
T35n1731_001:0009b17	釋迦所用。若諸菩薩見法界祇洹。見蓮華藏	釋 迦 所 用 若 諸 菩 薩 見 法 界 祇 洹 見 蓮 華 藏 
T35n1731_001:0009b18	界。見舍那所用。故只若祇洹未曾淨未曾	界 見 舍 那 所 用 故 只 若 祇 洹 未 曾 淨 未 曾 
