T38n1769_001:0239a13	涅槃宗要	涅 槃 宗 要 
T38n1769_001:0251c04	如是。所以常事在上三位者。任運現前是其	如 是 所 以 常 事 在 上 三 位 者 任 運 現 前 是 其 
T38n1769_001:0251c05	常義。九地以上三位雖因果殊俱於真俗得	常 義 九 地 以 上 三 位 雖 因 果 殊 俱 於 真 俗 得 
T38n1769_001:0251c06	無功用。故說常事在上三位。所以可見在下	無 功 用 故 說 常 事 在 上 三 位 所 以 可 見 在 下 
T38n1769_001:0251c07	三位者。十地因滿佛地果員。因果雖殊同員	三 位 者 十 地 因 滿 佛 地 果 員 因 果 雖 殊 同 員 
T38n1769_001:0251c08	滿故。九地以下齊未圓俱足應滿故說可見。	滿 故 九 地 以 下 齊 未 圓 俱 足 應 滿 故 說 可 見 
T38n1769_001:0251c09	所以善事在上四位者。六地已上已得般若	所 以 善 事 在 上 四 位 者 六 地 已 上 已 得 般 若 
T38n1769_001:0251c10	善巧利物故得善事。所以淨與真實通於五	善 巧 利 物 故 得 善 事 所 以 淨 與 真 實 通 於 五 
T38n1769_001:0251c11	位者。此中淨者是無漏義。初地以上得真無	位 者 此 中 淨 者 是 無 漏 義 初 地 以 上 得 真 無 
T38n1769_001:0251c12	漏。故說淨德通於五位。離妄為真義。在見分。	漏 故 說 淨 德 通 於 五 位 離 妄 為 真 義 在 見 分 
T38n1769_001:0251c13	不虛為實義。當相分。無漏見相非妄非虛。故	不 虛 為 實 義 當 相 分 無 漏 見 相 非 妄 非 虛 故 
T38n1769_001:0251c14	說此二亦通五位。然此十事有無之義但約	說 此 二 亦 通 五 位 然 此 十 事 有 無 之 義 但 約 
T38n1769_001:0251c15	一邊顯其階級。未必一向定為然也。次約凡	一 邊 顯 其 階 級 未 必 一 向 定 為 然 也 次 約 凡 
T38n1769_001:0251c16	夫位說有無者。如迦葉品四句中說。或有佛	夫 位 說 有 無 者 如 迦 葉 品 四 句 中 說 或 有 佛 
T38n1769_001:0251c17	性。一闡提有善根人無。或有佛性。善根人有	性 一 闡 提 有 善 根 人 無 或 有 佛 性 善 根 人 有 
T38n1769_001:0251c18	一闡提無。或有佛性。二人俱有。或有佛性。二	一 闡 提 無 或 有 佛 性 二 人 俱 有 或 有 佛 性 二 
T38n1769_001:0251c19	人俱無。解云。如是四句顯報佛。非就法身真	人 俱 無 解 云 如 是 四 句 顯 報 佛 非 就 法 身 真 
T38n1769_001:0251c20	如佛。彼處文勢必應爾故。四句差別略有四	如 佛 彼 處 文 勢 必 應 爾 故 四 句 差 別 略 有 四 
T38n1769_001:0251c21	義。顯二門故。別因果故。開四意故。遮二邊	義 顯 二 門 故 別 因 果 故 開 四 意 故 遮 二 邊 
T38n1769_001:0251c22	故。第一義者為顯二門故說四句。何者。前之	故 第 一 義 者 為 顯 二 門 故 說 四 句 何 者 前 之 
T38n1769_001:0251c23	二句約依持門說五種性。其後二句就緣起門	二 句 約 依 持 門 說 五 種 性 其 後 二 句 就 緣 起 門 
T38n1769_001:0251c24	顯因果性。謂初句言闡提人有者。不定性人	顯 因 果 性 謂 初 句 言 闡 提 人 有 者 不 定 性 人 
T38n1769_001:0251c25	斷善根時猶有。作佛法爾種子故。善根人無	斷 善 根 時 猶 有 作 佛 法 爾 種 子 故 善 根 人 無 
T38n1769_001:0251c26	者。決定二來有善根時無。如前說作佛種子	者 決 定 二 來 有 善 根 時 無 如 前 說 作 佛 種 子 
T38n1769_001:0251c27	故。第二句中善根人有者。菩薩種性無斷善	故 第 二 句 中 善 根 人 有 者 菩薩種性 無 斷 善 
T38n1769_001:0251c28	根本來具有。作佛種子故。闡提人無者。無性	根 本 來 具 有 作 佛 種 子 故 闡 提 人 無 者 無 性 
T38n1769_001:0251c29	眾生斷善根時永無。如前菩薩種性故。故知	眾 生 斷 善 根 時 永 無 如 前 菩薩種性 故 故 知 
T38n1769_001:0252a01	此二句顯五種性也。第三句言二人俱有者。	此 二 句 顯 五 種 性 也 第 三 句 言 二 人 俱 有 者 
T38n1769_001:0252a02	前二句內兩重二人皆有。緣起門中因性凡	前 二 句 內 兩 重 二 人 皆 有 緣 起 門 中 因 性 凡 
T38n1769_001:0252a03	有心者當得菩提故。第四句言二人俱無者。	有 心 者 當 得 菩 提 故 第 四 句 言 二 人 俱 無 者 
T38n1769_001:0252a04	即第三句所說二人齊無。緣起門中果性當	即 第 三 句 所 說 二 人 齊 無 緣 起 門 中 果 性 當 
T38n1769_001:0252a05	時未得無上菩提故。故知此二句顯二果性。	時 未 得 無上菩提 故 故 知 此 二 句 顯 二 果 性 
T38n1769_001:0252a06	如此經意寬無所不苞。通取二門以說四句。	如 此 經 意 寬 無 所 不 苞 通 取 二 門 以 說 四 句 
T38n1769_001:0252a07	初義如是。第二義者宜就緣起一門而說。前	初 義 如 是 第 二 義 者 宜 就 緣 起 一 門 而 說 前 
T38n1769_001:0252a08	立三句明因差別。最後一句顯果無二。何者。	立 三 句 明 因 差 別 最 後 一 句 顯 果 無 二 何 者 
T38n1769_001:0252a09	初句中言闡提人有善根人無者。是明一切	初 句 中 言 闡 提 人 有 善 根 人 無 者 是 明 一 切 
T38n1769_001:0252a10	斷善根人所有不善五陰亦作報佛之性。第	斷 善 根 人 所 有 不 善 五 陰 亦 作 報 佛 之 性 第 
T38n1769_001:0252a11	二句言善根人有闡提人無者。是明一切有	二 句 言 善 根 人 有 闡 提 人 無 者 是 明 一 切 有 
T38n1769_001:0252a12	善根者所有善五陰亦為報佛。第三句二人	善 根 者 所 有 善 五 陰 亦 為 報 佛 第 三 句 二 人 
T38n1769_001:0252a13	俱有者。謂前二人所有四種無記五陰皆能	俱 有 者 謂 前 二 人 所 有 四 種 無 記 五 陰 皆 能 
T38n1769_001:0252a14	得作報佛正因。以彼一切三性五陰皆為一	得 作 報 佛 正 因 以 彼 一 切 三 性 五 陰 皆 為 一 
T38n1769_001:0252a15	心轉所作故。為顯三性皆為佛性故。作三句	心 轉 所 作 故 為 顯 三 性 皆 為 佛 性 故 作 三 句 
T38n1769_001:0252a16	明因差別也。第四句言二人俱無者。謂前二	明 因 差 別 也 第 四 句 言 二 人 俱 無 者 謂 前 二 
T38n1769_001:0252a17	人雖有三因而皆未得報佛果性。為顯極果	人 雖 有 三 因 而 皆 未 得 報 佛 果 性 為 顯 極 果 
T38n1769_001:0252a18	純一善性故。立一句顯無二也。二義如是。第	純 一 善 性 故 立 一 句 顯 無 二 也 二 義 如 是 第 
T38n1769_001:0252a19	三意者。為四種意故說四句。第一句者抑引	三 意 者 為 四 種 意 故 說 四 句 第 一 句 者 抑 引 
T38n1769_001:0252a20	意說。引斷善根者除絕望心故。抑善根人持	意 說 引 斷善根者 除 絕 望 心 故 抑 善 根 人 持 
T38n1769_001:0252a21	善夢惡故。第二句者勸請意說。既除夢惡勸	善 夢 惡 故 第 二 句 者 勸 請 意 說 既 除 夢 惡 勸 
T38n1769_001:0252a22	修眾善。舉手低頭皆成佛道故。既除絕望心。	修 眾 善 舉 手 低 頭 皆 成 佛 道 故 既 除 絕 望 心 
T38n1769_001:0252a23	識離諸惡。惡為禍本能障佛道故。第三句者	識 離 諸 惡 惡 為 禍 本 能 障 佛 道 故 第 三 句 者 
T38n1769_001:0252a24	生普敬意。無一有情不含當果。含當果者必	生 普 敬 意 無 一 有 情 不 含 當 果 含 當 果 者 必 
T38n1769_001:0252a25	成大覺故。第四句者起廣度意。雖有當果而	成 大 覺 故 第 四 句 者 起 廣 度 意 雖 有 當 果 而 
T38n1769_001:0252a26	無觀覺。無觀覺者長沒苦海故。此四意內所	無 觀 覺 無 觀 覺 者 長 沒 苦 海 故 此 四 意 內 所 
T38n1769_001:0252a27	詮義者。第一句中約邪見說。第二句中約信	詮 義 者 第 一 句 中 約 邪 見 說 第 二 句 中 約 信 
T38n1769_001:0252a28	心說。第四同望當果指當有義說為俱有。據	心 說 第 四 同 望 當 果 指 當 有 義 說 為 俱 有 據 
T38n1769_001:0252a29	現無義亦說俱無。三義如是。第四義者。為離	現 無 義 亦 說 俱 無 三 義 如 是 第 四 義 者 為 離 
T38n1769_001:0252b01	二邊故說四句。謂前二句別顯離邊。後之二	二 邊 故 說 四 句 謂 前 二 句 別 顯 離 邊 後 之 二 
T38n1769_001:0252b02	句總顯離邊。言別顯者。謂初句言闡提人有。	句 總 顯 離 邊 言 別 顯 者 謂 初 句 言 闡 提 人 有 
T38n1769_001:0252b03	遮定無邊非據定有。第二句言闡提人無。止	遮 定 無 邊 非 據 定 有 第 二 句 言 闡 提 人 無 止 
T38n1769_001:0252b04	定有邊不著定無。如下文言。若有說言斷善	定 有 邊 不 著 定 無 如 下 文 言 若 有 說 言 斷 善 
T38n1769_001:0252b05	根者定有佛性定無佛性。是名置答。善男子	根 者 定 有 佛 性 定 無 佛 性 是 名 置 答 善 男 子 
T38n1769_001:0252b06	我亦不說置而不答乃說置答。如是置答復	我 亦 不 說 置 而 不 答 乃 說 置 答 如 是 置 答 復 
T38n1769_001:0252b07	有二種。一者遮止二者莫著。以是義故得名	有 二 種 一 者 遮 止 二 者 莫 著 以是義故 得 名 
T38n1769_001:0252b08	置答。如就闡提遮止二邊。對善根人當知亦	置 答 如 就 闡 提 遮 止 二 邊 對 善 根 人 當 知 亦 
T38n1769_001:0252b09	爾。言後二句總顯離邊者。第三句言二人俱	爾 言 後 二 句 總 顯 離 邊 者 第 三 句 言 二 人 俱 
T38n1769_001:0252b10	有。是明佛性不同菟角依非無義說名為有。	有 是 明 佛 性 不 同 菟 角 依 非 無 義 說 名 為 有 
T38n1769_001:0252b11	第四句言二人俱無。是顯佛性不同虛空約	第 四 句 言 二 人 俱 無 是 顯 佛 性 不 同 虛 空 約 
T38n1769_001:0252b12	不有義說名為無。如下文言。眾生佛性非有	不 有 義 說 名 為 無 如 下 文 言 眾 生 佛 性 非 有 
T38n1769_001:0252b13	非無。所以者何。佛性雖有非如虛空。虛空不	非 無 所以者何 佛 性 雖 有 非 如 虛 空 虛 空 不 
T38n1769_001:0252b14	可見。佛性可見故。佛性雖無不同菟角。菟角	可 見 佛 性 可 見 故 佛 性 雖 無 不 同 菟 角 菟 角 
T38n1769_001:0252b15	不可生。佛性可生故。是故佛性非有非無亦	不 可 生 佛 性 可 生 故 是 故 佛 性 非有非無 亦 
T38n1769_001:0252b16	有亦無。云何名有。一切悉有是諸眾生不斷	有 亦 無 云 何 名 有 一 切 悉 有 是 諸 眾 生 不 斷 
T38n1769_001:0252b17	滅。猶如燈炎。乃至菩提故名有。云何無。一切	滅 猶 如 燈 炎 乃至菩提 故 名 有 云 何 無 一 切 
T38n1769_001:0252b18	眾生現在未有一切佛法。是故名無。有無合	眾 生 現 在 未 有 一切佛法 是 故 名 無 有 無 合 
T38n1769_001:0252b19	故是名中道。是故佛性非有非無乃至廣說。	故 是 名 中 道 是 故 佛 性 非有非無 乃至廣說 
T38n1769_001:0252b20	若依如是離邊之意。四句皆望當果佛性。若	若 依 如 是 離 邊 之 意 四 句 皆 望 當 果 佛 性 若 
T38n1769_001:0252b21	使四句齊望一果。總別二意有何異者。前二	使 四 句 齊 望 一 果 總 別 二 意 有 何 異 者 前 二 
T38n1769_001:0252b22	人說二句者。依遮詮義以遣二邊。後總二人	人 說 二 句 者 依 遮 詮 義 以 遣 二 邊 後 總 二 人 
T38n1769_001:0252b23	立句者。依表詮門以示中道。中道之義通於	立 句 者 依 表 詮 門 以 示 中 道 中 道 之 義 通 於 
T38n1769_001:0252b24	二人。是故合說。二邊之執隨人各起。所以別	二 人 是 故 合 說 二 邊 之 執 隨 人 各 起 所 以 別 
T38n1769_001:0252b25	說。然佛說四句意趣眾多。今且略爾四種義	說 然 佛 說 四 句 意 趣 眾 多 今 且 略 爾 四 種 義 
T38n1769_001:0252b26	耳。有無門竟。第五明三世非三世略有二義。	耳 有 無 門 竟 第 五 明 三 世 非 三 世 略 有 二 義 
T38n1769_001:0252b27	先就法身後約報佛。若就別門。法身佛性雖	先 就 法 身 後 約 報 佛 若 就 別 門 法 身 佛 性 雖 
T38n1769_001:0252b28	復因名應得果名。至得其體平等無生無滅。	復 因 名 應 得 果 名 至 得 其 體 平 等 無生無滅 
T38n1769_001:0252b29	是故一向非三世攝。是義灼然不勞引證也。	是 故 一 向 非 三 世 攝 是 義 灼 然 不 勞 引 證 也 
T38n1769_001:0252c01	次約報佛因果性者。依下文說即有三句。一	次 約 報 佛 因 果 性 者 依 下 文 說 即 有 三 句 一 
T38n1769_001:0252c02	者如來圓果菩薩滿因。此二相對以顯不同。	者 如 來 圓 果 菩 薩 滿 因 此 二 相 對 以 顯 不 同 
T38n1769_001:0252c03	如來圓智窮於理原。等一法界遍三世際。故	如 來 圓 智 窮 於 理 原 等 一 法 界 遍 三 世 際 故 
T38n1769_001:0252c04	非過去現在未來。後身菩薩未至理原。雖復	非 過去現在未來 後身菩薩 未 至 理 原 雖 復 
T38n1769_001:0252c05	已得滿因故已少見。未至極果故未具見。未	已 得 滿 因 故 已 少 見 未 至 極 果 故 未 具 見 未 
T38n1769_001:0252c06	具見。邊名為未來。未成圓果故。已少見邊	具 見 邊 名 為 未 來 未 成 圓 果 故 已 少 見 邊 
T38n1769_001:0252c07	名為現在。現得滿因故。猶未謝故非過去。如	名 為 現 在 現 得 滿 因 故 猶 未 謝 故 非 過 去 如 
T38n1769_001:0252c08	經言。如來佛性非過去非現在未來。後身菩	經 言 如 來 佛 性 非 過 去 非 現在未來 後 身 菩 
T38n1769_001:0252c09	薩佛性現在未來。少可見故得名現在。未具	薩 佛 性 現在未來 少 可 見 故 得 名 現 在 未 具 
T38n1769_001:0252c10	見故名為未來故。問未具見義猶是現在有。	見 故 名 為 未 來 故 問 未 具 見 義 猶 是 現 在 有 
T38n1769_001:0252c11	何得說是名為未來。又若菩薩現得少見故	何 得 說 是 名 為 未 來 又 若 菩 薩 現 得 少 見 故 
T38n1769_001:0252c12	名現在者。是即如來現得其見。應名現在。答	名 現 在 者 是 即 如 來 現 得 其 見 應 名 現 在 答 
T38n1769_001:0252c13	如來現得得遍三世畢竟不為時節所遷。故雖	如 來 現 得 得 遍 三 世 畢 竟 不 為 時 節 所 遷 故 雖 
T38n1769_001:0252c14	現得不在現世。菩薩少見未免生死猶墮時	現 得 不 在 現 世 菩 薩 少 見 未 免 生 死 猶 墮 時 
T38n1769_001:0252c15	節故為現在。是通後難答。前問者。未具見義	節 故 為 現 在 是 通 後 難 答 前 問 者 未 具 見 義 
T38n1769_001:0252c16	雖是現有具見種子猶伏未起。由現起故名	雖 是 現 有 具 見 種 子 猶 伏 未 起 由 現 起 故 名 
T38n1769_001:0252c17	未來。如瑜伽說。未與果當來種子相續名未	未 來 如 瑜 伽 說 未 與 果 當 來 種子相續 名 未 
T38n1769_001:0252c18	來果。當知此中道理亦爾。第二句者宜就如	來 果 當 知 此 中 道 理 亦 爾 第 二 句 者 宜 就 如 
T38n1769_001:0252c19	來因果相對以明差別。立果望因因皆未極	來 因 果 相 對 以 明 差 別 立 果 望 因 因 皆 未 極 
T38n1769_001:0252c20	不離生滅故隨三世。就果談果即有二義者。	不 離 生 滅 故 隨 三 世 就 果 談 果 即 有 二 義 者 
T38n1769_001:0252c21	生因所生者必滅剎那不住。故是三世。二者	生 因 所 生 者 必 滅 剎 那 不 住 故 是 三 世 二 者 
T38n1769_001:0252c22	已至理原體一法界無所不遍。故非三世。然	已 至 理 原 體 一 法 界 無 所 不 遍 故 非 三 世 然 
T38n1769_001:0252c23	其生滅德無不體理。故一一念皆遍三世。遍	其 生 滅 德 無 不 體 理 故 一 一 念 皆 遍 三 世 遍 
T38n1769_001:0252c24	三世德莫不從因。故其周遍不過剎那。爾退	三 世 德 莫 不 從 因 故 其 周 遍 不 過 剎 那 爾 退 
T38n1769_001:0252c25	剎那而遍三世不從周遍而為一念。為一念	剎 那 而 遍 三 世 不 從 周 遍 而 為 一 念 為 一 念 
T38n1769_001:0252c26	故隨於三世。遍三世故非過現未。是謂佛德	故 隨 於 三 世 遍 三 世 故 非 過 現 未 是 謂 佛 德 
T38n1769_001:0252c27	不可思議。但應仰信非思量流。如經言。如來	不可思議 但 應 仰 信 非 思 量 流 如 經 言 如 來 
T38n1769_001:0252c28	未得阿耨菩提時佛性因故亦是過去現在未	未 得 阿耨菩提 時 佛 性 因 故 亦 是 過去現在 未 
T38n1769_001:0252c29	來。果即不爾。有是三世有非三世故。問者是	來 果 即 不 爾 有 是 三 世 有 非 三 世 故 問 者 是 
T38n1769_001:0253a01	經文有是有非。即應二別不就一德。有是三	經 文 有 是 有 非 即 應 二 別 不 就 一 德 有 是 三 
T38n1769_001:0253a02	世者化身色形是。有非三世者報佛內德是。	世 者 化 身 色 形 是 有 非 三 世 者 報 佛 內 德 是 
T38n1769_001:0253a03	亦如是二義灼然可見。何勞宜就實德而作難	亦 如 是 二 義 灼 然 可 見 何 勞 宜 就 實 德 而 作 難 
T38n1769_001:0253a04	解之說。答如汝所見亦有道理。為新學者應	解 之 說 答 如 汝 所 見 亦 有 道 理 為 新 學 者 應 
T38n1769_001:0253a05	作是說。若非新學無定執者為是等人應如	作 是 說 若 非 新 學 無 定 執 者 為 是 等 人 應 如 
T38n1769_001:0253a06	前說。為顯是義故。彼下文言。迦葉菩薩白佛	前 說 為 顯 是 義 故 彼 下 文 言 迦 葉 菩 薩 白 佛 
T38n1769_001:0253a07	言。世尊云何名因亦是過去現在未來。果亦	言 世 尊 云 何 名 因 亦 是 過去現在未來 果 亦 
T38n1769_001:0253a08	過去現在未來。非是過去現在未來。佛言五	過去現在未來 非 是 過去現在未來 佛 言 五 
T38n1769_001:0253a09	陰二種。一者因二者果。是因五陰是過現未。	陰 二 種 一 者 因 二 者 果 是 因 五 陰 是 過 現 未 
T38n1769_001:0253a10	是果五陰亦是過去現在未來亦非過去現在	是 果 五 陰 亦 是 過去現在未來 亦 非 過去現在 
T38n1769_001:0253a11	未來。依是文證當知宜就一果五陰亦是三	未 來 依 是 文 證 當 知 宜 就 一 果 五 陰 亦 是 三 
T38n1769_001:0253a12	世亦非三世。第三句者宜就菩薩因果相對	世 亦 非 三 世 第 三 句 者 宜 就 菩 薩 因 果 相 對 
T38n1769_001:0253a13	以辨三世者。菩薩佛性未免生死。望後為因	以 辨 三 世 者 菩 薩 佛 性 未 免 生 死 望 後 為 因 
T38n1769_001:0253a14	望前為果。種子為因現行為果。如是因皆隨	望 前 為 果 種 子 為 因 現 行 為 果 如 是 因 皆 隨 
T38n1769_001:0253a15	三世未至理原。無非三世。如經云。後身菩薩	三 世 未 至 理 原 無 非 三 世 如 經 云 後身菩薩 
T38n1769_001:0253a16	佛性因故亦是過去現在未來。果亦如是。九	佛 性 因 故 亦 是 過去現在未來 果 亦 如 是 九 
T38n1769_001:0253a17	地菩薩佛性因故亦是過去現在未來。果亦如	地 菩 薩 佛 性 因 故 亦 是 過去現在未來 果 亦 如 
T38n1769_001:0253a18	是。九地菩薩佛性因故亦是過去現在未來。	是 九 地 菩 薩 佛 性 因 故 亦 是 過去現在未來 
T38n1769_001:0253a19	果亦如是乃至廣說故。問第二句中明如來	果 亦 如 是 乃至廣說 故 問 第 二 句 中 明 如 來 
T38n1769_001:0253a20	因乃取未成佛時因性。今第三句明菩薩果	因 乃 取 未 成 佛 時 因 性 今 第 三 句 明 菩 薩 果 
T38n1769_001:0253a21	廣說當成時果性。何故此中不取當果。解云。	廣 說 當 成 時 果 性 何 故 此 中 不 取 當 果 解 云 
T38n1769_001:0253a22	不例立果望因。因是已修故得取。因在望果。	不 例 立 果 望 因 因 是 已 修 故 得 取 因 在 望 果 
T38n1769_001:0253a23	果非已證。所以不取。是故宜就菩薩位內前	果 非 已 證 所 以 不 取 是 故 宜 就 菩 薩 位 內 前 
T38n1769_001:0253a24	後相望而說因果三世。三世門竟。第六會	後 相 望 而 說 因 果 三 世 三 世 門 竟 第 六 會 
T38n1769_001:0253a25	通。於中有二。初通文異。後會義同。通異文者。	通 於 中 有 二 初 通 文 異 後 會 義 同 通 異 文 者 
T38n1769_001:0253a26	問如因果門所引文云。未得阿耨菩提之約一	問 如 因 果 門 所 引 文 云 未 得 阿耨菩提 之 約 一 
T38n1769_001:0253a27	切善不善無記法盡名佛性。若依是文菩提	切 善不善無記 法 盡 名 佛 性 若 依 是 文 菩 提 
T38n1769_001:0253a28	之心六度等行皆是佛性。何故師子吼中言。	之 心 六 度 等 行 皆 是 佛 性 何 故 師 子 吼 中 言 
T38n1769_001:0253a29	正因者名為佛性。緣因者發菩提心。如是相	正 因 者 名 為 佛 性 緣 因 者 發菩提心 如 是 相 
T38n1769_001:0253b01	違云何會通。通者解云。以性攝行不攝故說	違 云 何 會 通 通 者 解 云 以 性 攝 行 不 攝 故 說 
T38n1769_001:0253b02	一切盡名佛性。以行望性有性非行故分性	一 切 盡 名 佛 性 以 行 望 性 有 性 非 行 故 分 性 
T38n1769_001:0253b03	行以說二因。又復性有二義。一是因義。二非	行 以 說 二 因 又 復 性 有 二 義 一 是 因 義 二 非 
T38n1769_001:0253b04	作義。就因義故盡名佛性。約非作義行即非	作 義 就 因 義 故 盡 名 佛 性 約 非 作 義 行 即 非 
T38n1769_001:0253b05	性。由是道理故不相違也。問如體相門所引	性 由 是 道 理 故 不 相 違 也 問 如 體 相 門 所 引 
T38n1769_001:0253b06	文言。非佛性者所謂一切牆壁瓦石無情之	文 言 非 佛 性 者 所 謂 一 切 牆 壁 瓦 石 無 情 之 
T38n1769_001:0253b07	物。又復迦葉品中說云。或云佛性住五陰中	物 又 復 迦 葉 品 中 說 云 或 云 佛 性 住 五 陰 中 
T38n1769_001:0253b08	果。或言佛性性離陰而有。猶如虛空。是故如	果 或 言 佛 性 性 離 陰 而 有 猶如虛空 是 故 如 
T38n1769_001:0253b09	來說於中道。眾生佛性非內六入非外六入	來 說 於 中 道 眾 生 佛 性 非 內 六 入 非 外 六 入 
T38n1769_001:0253b10	內外合故名為中道。若依後文瓦石等物外	內 外 合 故 名 為 中 道 若 依 後 文 瓦 石 等 物 外 
T38n1769_001:0253b11	六入所攝而為佛性。如是相違云何會通。通	六 入 所 攝 而 為 佛 性 如 是 相 違 云 何 會 通 通 
T38n1769_001:0253b12	者解云。若依有情無情異門。瓦石等物不名	者 解 云 若 依 有 情 無 情 異 門 瓦 石 等 物 不 名 
T38n1769_001:0253b13	佛性。若就唯識所變現門。內外無二合為佛	佛 性 若 就 唯 識 所 變 現 門 內 外 無 二 合 為 佛 
T38n1769_001:0253b14	性。此是唯約報佛性說。又復前說文說報佛	性 此 是 唯 約 報 佛 性 說 又 復 前 說 文 說 報 佛 
T38n1769_001:0253b15	性。後所引文說法佛性。若作是說亦不相違	性 後 所 引 文 說 法 佛 性 若 作 是 說 亦 不 相 違 
T38n1769_001:0253b16	也。問見性門內所引論說初地菩薩無礙智	也 問 見 性 門 內 所 引 論 說 初 地 菩 薩 無 礙 智 
T38n1769_001:0253b17	眼見諸眾生悉有佛性。何故是經不能見。如	眼 見 諸 眾 生 悉 有 佛 性 何 故 是 經 不 能 見 如 
T38n1769_001:0253b18	德王品第九功德中言。住九地者見法有性不	德 王 品 第 九 功 德 中 言 住 九 地 者 見 法 有 性 不 
T38n1769_001:0253b19	見佛性。住十住者見法無性方見佛性。又師	見 佛 性 住 十 住 者 見 法 無 性 方 見 佛 性 又 師 
T38n1769_001:0253b20	子吼中言。十住菩薩唯能自知當得菩提。而	子 吼 中 言 十住菩薩 唯 能 自 知 當 得 菩 提 而 
T38n1769_001:0253b21	未能知一切眾生悉有佛性。又言。十住菩薩	未 能 知 一 切 眾 生 悉 有 佛 性 又 言 十住菩薩 
T38n1769_001:0253b22	唯見其終不見其始。諸佛世尊見始見終。以	唯 見 其 終 不 見 其 始 諸佛世尊 見 始 見 終 以 
T38n1769_001:0253b23	是義故諸佛了了得佛性。又言。十住菩薩唯	是 義 故 諸 佛 了 了 得 佛 性 又 言 十住菩薩 唯 
T38n1769_001:0253b24	見一乘不知如來是常住法。以是義故言。十	見 一 乘 不 知 如 來 是 常 住 法 以是義故 言 十 
T38n1769_001:0253b25	住菩薩雖見佛性而不明了。又言。一切覺者	住 菩 薩 雖 見 佛 性 而 不 明 了 又 言 一 切 覺 者 
T38n1769_001:0253b26	名為佛性。菩薩不得名一切覺。是故雖見而	名 為 佛 性 菩 薩 不 得 名 一 切 覺 是 故 雖 見 而 
T38n1769_001:0253b27	不明了。如是等文云何會通。通者解云。通相	不 明 了 如 是 等 文 云 何 會 通 通 者 解 云 通 相 
T38n1769_001:0253b28	而言。為顯究竟不究竟異故說十地見不明	而 言 為 顯 究 竟 不 究 竟 異 故 說 十 地 見 不 明 
T38n1769_001:0253b29	了。若依隨分證見門者。初地菩薩亦得眼見。	了 若 依 隨 分 證 見 門 者 初 地 菩 薩 亦 得 眼 見 
T38n1769_001:0253c01	餘文進退隱顯門說。何者。為顯十地是因滿	餘 文 進 退 隱 顯 門 說 何 者 為 顯 十 地 是 因 滿 
T38n1769_001:0253c02	位故說得見。九地以還因未圓滿故說不見。	位 故 說 得 見 九 地 以 還 因 未 圓 滿 故 說 不 見 
T38n1769_001:0253c03	又復起信論說六種染中第五能見心不相應	又 復 起 信 論 說 六 種 染 中 第 五 能 見 心不相應 
T38n1769_001:0253c04	染是九地障。未出此障故說九地見法有性。	染 是 九 地 障 未 出 此 障 故 說 九 地 見 法 有 性 
T38n1769_001:0253c05	入第十地已出彼障。是故說言見法無性。且	入 第 十 地 已 出 彼 障 是 故 說 言 見 法 無 性 且 
T38n1769_001:0253c06	時一邊顯位階降。又說十住唯見終者眾生之	時 一 邊 顯 位 階 降 又 說 十 住 唯 見 終 者 眾 生 之 
T38n1769_001:0253c07	未終乎。六識有情之本始。於一心菩薩通達	未 終 乎 六 識 有 情 之 本 始 於 一 心 菩 薩 通 達 
T38n1769_001:0253c08	六識之相而未證見一心之原。故言見終而	六 識 之 相 而 未 證 見 一 心 之 原 故 言 見 終 而 
T38n1769_001:0253c09	不見始。又言自知當得菩提未知眾生有佛	不 見 始 又 言 自 知 當 得 菩 提 未 知 眾 生 有 佛 
T38n1769_001:0253c10	性者。是約遠近以說難易。謂自當果在第二	性 者 是 約 遠 近 以 說 難 易 謂 自 當 果 在 第 二 
T38n1769_001:0253c11	念近故易知。眾生當果即天後邊遠故難知。	念 近 故 易 知 眾 生 當 果 即 天 後 邊 遠 故 難 知 
T38n1769_001:0253c12	是望當果佛性說也。又言。十住雖見一乘不	是 望 當 果 佛 性 說 也 又 言 十 住 雖 見 一 乘 不 
T38n1769_001:0253c13	知如來是常住法者。是約因果顯其難易。言	知 如 來 是 常 住 法 者 是 約 因 果 顯 其 難 易 言 
T38n1769_001:0253c14	一乘者正因佛性。如來常者是果佛性。十住	一 乘 者 正 因 佛 性 如 來 常 者 是 果 佛 性 十 住 
T38n1769_001:0253c15	因滿故見因性。未得圓果不見果性。即依是	因 滿 故 見 因 性 未 得 圓 果 不 見 果 性 即 依 是 
T38n1769_001:0253c16	義故後文說言。菩薩未得名一切覺。是故雖	義 故 後 文 說 言 菩 薩 未 得 名 一 切 覺 是 故 雖 
T38n1769_001:0253c17	見而不明了也。餘文相違准此可通。次會義	見 而 不 明 了 也 餘 文 相 違 准 此 可 通 次 會 義 
T38n1769_001:0253c18	同者。於同類義有異文句。以義類而會諸文。	同 者 於 同 類 義 有 異 文 句 以 義 類 而 會 諸 文 
T38n1769_001:0253c19	佛性之義有無量門。以類相攝不出五種。一	佛 性 之 義 有 無 量 門 以 類 相 攝 不 出 五 種 一 
T38n1769_001:0253c20	性淨門常住佛性。二隨染門無常佛性。是二	性 淨 門 常 住 佛 性 二 隨 染 門 無 常 佛 性 是 二 
T38n1769_001:0253c21	種門皆說因性。三者現果諸佛所得。四者當	種 門 皆 說 因 性 三 者 現 果 諸 佛 所 得 四 者 當 
