T46n1917_001:0549a03	六妙法門	六 妙 法 門 
T46n1917_001:0555b14	中。成就如上所說事。而心無染著。不為諸	中 成 就 如上所說 事 而 心 無 染 著 不 為 諸 
T46n1917_001:0555b15	法之所染污故。亦能淨佛國土。令眾生入三	法 之 所 染 污 故 亦 能 淨佛國土 令 眾 生 入 三 
T46n1917_001:0555b16	乘淨道。故名淨門。初心菩薩入是法門。如經	乘 淨 道 故 名 淨 門 初 心 菩 薩 入 是 法 門 如 經 
T46n1917_001:0555b17	所說。亦名為佛也。已得般若正惠。聞如來藏。	所 說 亦 名 為 佛 也 已 得 般 若 正 惠 聞 如 來 藏 
T46n1917_001:0555b18	顯真法身。具首楞嚴。明見佛性。住大涅槃。入	顯 真 法 身 具 首 楞 嚴 明 見 佛 性 住 大 涅 槃 入 
T46n1917_001:0555b19	法華三昧不思議一實。境界也。廣說如華嚴	法華三昧 不 思 議 一 實 境 界 也 廣 說 如 華 嚴 
T46n1917_001:0555b20	經中所明。是為初地證不可思議真實六妙	經 中 所 明 是 為 初 地 證 不可思議 真 實 六 妙 
T46n1917_001:0555b21	門也。中證者。餘九住。十行。十迴向。十地。等	門 也 中 證 者 餘 九 住 十 行 十 迴 向 十 地 等 
T46n1917_001:0555b22	覺地。皆名中證不可思議真實六妙門也。云	覺 地 皆 名 中 證 不可思議 真 實 六 妙 門 也 云 
T46n1917_001:0555b23	何名究竟圓證六妙門。後心菩薩入茶字門。	何 名 究 竟 圓 證 六 妙 門 後 心 菩 薩 入 茶 字 門 
T46n1917_001:0555b24	得一念相應惠。妙覺現前。窮照法界。於六	得 一 念 相 應 惠 妙 覺 現 前 窮 照 法 界 於 六 
T46n1917_001:0555b25	種法門究竟通達。功用普備無所缺減。即是	種 法 門 究 竟 通 達 功 用 普 備 無 所 缺 減 即 是 
T46n1917_001:0555b26	究竟圓滿六妙門也。分別數隨止觀還淨諸	究 竟 圓 滿 六 妙 門 也 分 別 數 隨 止 觀 還 淨 諸 
T46n1917_001:0555b27	法門證相意不異前。但有圓極之殊。故瓔珞	法 門 證 相 意 不 異 前 但 有 圓 極 之 殊 故 瓔 珞 
T46n1917_001:0555b28	經云。三賢十聖忍中行。唯佛一人能盡源。法	經 云 三 賢 十 聖 忍 中 行 唯 佛 一 人 能 盡 源 法 
T46n1917_001:0555b29	華經言。唯佛與佛。乃能究盡諸法實相。此約	華 經 言 唯 佛 與 佛 乃 能 究 盡 諸法實相 此 約 
T46n1917_001:0555c01	修行教道。作如是說。以理而為論。法界圓通。	修 行 教 道 作如是說 以 理 而 為 論 法 界 圓 通 
T46n1917_001:0555c02	諸佛菩薩所證法門。始終不二。故大品經言。	諸佛菩薩 所 證 法 門 始 終 不 二 故 大 品 經 言 
T46n1917_001:0555c03	初阿後茶其意無別。涅槃經言。發心畢竟二	初 阿 後 茶 其 意 無 別 涅 槃 經 言 發 心 畢 竟 二 
T46n1917_001:0555c04	不別。如是二心先心難。華嚴經言。從初地	不 別 如 是 二 心 先 心 難 華 嚴 經 言 從 初 地 
T46n1917_001:0555c05	悉具一切諸地功德。法華經言。如是本末究	悉 具 一 切 諸 地 功 德 法 華 經 言 如 是 本 末 究 
T46n1917_001:0555c06	竟等。	竟 等 
T46n1917_001:0555c07	六妙法門一卷	六 妙 法 門 一 卷 
