T30n1569_001:0167c11	百論序	百 論 序 
T30n1569_002:0178b27	是壞。復次一切處有一切(修妬路)。一切處名三	是 壞 復 次 一 切 處 有 一 切 修 妬 路 一 切 處 名 三 
T30n1569_002:0178b28	有為相。若生住壞亦有為相者。今生中應有	有 為 相 若 生 住 壞 亦 有 為 相 者 今 生 中 應 有 
T30n1569_002:0178b29	三相。是有為法故。一一中復有三相。然則無	三 相 是 有 為 法 故 一 一 中 復 有 三 相 然 則 無 
T30n1569_002:0178c01	窮。住壞亦如是。若生住壞中更無三相。今	窮 住 壞 亦 如 是 若 生 住 壞 中 更 無 三 相 今 
T30n1569_002:0178c02	生住壞不名有為相。若汝謂生生共生如	生 住 壞 不 名 有 為 相 若 汝 謂 生 生 共 生 如 
T30n1569_002:0178c03	父子。是事不然。如是生生若因中先有相	父 子 是 事 不 然 如 是 生 生 若 因 中 先 有 相 
T30n1569_002:0178c04	待。若因中先無相待。若因中先少有。少無	待 若 因 中 先 無 相 待 若 因 中 先 少 有 少 無 
T30n1569_002:0178c05	相待。是三種破情中已說。復次如父先有然	相 待 是 三 種 破 情 中 已 說 復 次 如 父 先 有 然 
T30n1569_002:0178c06	後生子。是父更有父。是故此喻非也。外曰。	後 生 子 是 父 更 有 父 是 故 此 喻 非 也 外 曰 
T30n1569_002:0178c07	定有生。可生法有故(修妬路)。若有生有可生	定 有 生 可 生 法 有 故 修 妬 路 若 有 生 有 可 生 
T30n1569_002:0178c08	若無生則無可生。今瓶等可生法現有故必	若 無 生 則 無 可 生 今 瓶 等 可 生 法 現 有 故 必 
T30n1569_002:0178c09	有生。內曰。若有生無可生(修妬路)。若瓶有生	有 生 內 曰 若 有 生 無 可 生 修 妬 路 若 瓶 有 生 
T30n1569_002:0178c10	瓶則已生不名可生。何以故。若無瓶亦無	瓶 則 已 生 不 名 可 生 何 以 故 若 無 瓶 亦 無 
T30n1569_002:0178c11	瓶生。是故若有生則無可生。何況無生。復	瓶 生 是 故 若 有 生 則 無 可 生 何 況 無 生 復 
T30n1569_002:0178c12	次自他共亦如是(修妬路)。若生可生是二。若自	次 自 他 共 亦 如 是 修 妬 路 若 生 可 生 是 二 若 自 
T30n1569_002:0178c13	生若他生。若共生。破吉中已說。外曰。定有。	生 若 他 生 若 共 生 破 吉 中 已 說 外 曰 定 有 
T30n1569_002:0178c14	生可生共成故(修妬路)。非先有生後有可生。一	生 可 生 共 成 故 修 妬 路 非 先 有 生 後 有 可 生 一 
T30n1569_002:0178c15	時共成。內曰。生可生不能生(修妬路)。若可生能	時 共 成 內 曰 生 可 生 不 能 生 修 妬 路 若 可 生 能 
T30n1569_002:0178c16	成生者。則生是可生。不名能生。若無生何	成 生 者 則 生 是 可 生 不 名 能 生 若 無 生 何 
T30n1569_002:0178c17	有可生。是故二事皆無。復次有無相待不然	有 可 生 是 故 二 事 皆 無 復 次 有 無 相 待 不 然 
T30n1569_002:0178c18	(修妬路)。今可生未有故。無生則是有。有無何得	 修 妬 路 今 可 生 未 有 故 無 生 則 是 有 有 無 何 得 
T30n1569_002:0178c19	相待。是故皆無。外曰。生可生相待故諸法成	相 待 是 故 皆 無 外 曰 生 可 生 相 待 故 諸 法 成 
T30n1569_002:0178c20	(修妬路)。非但生可生相待成。是二相待故。瓶等	 修 妬 路 非 但 生 可 生 相 待 成 是 二 相 待 故 瓶 等 
T30n1569_002:0178c21	諸物成。內曰。若從二生。何以無三(修妬路)。汝言	諸 物 成 內 曰 若 從 二 生 何 以 無 三 修 妬 路 汝 言 
T30n1569_002:0178c22	生可生相待故諸法成。若從二生果者。何不	生 可 生 相 待 故 諸 法 成 若 從 二 生 果 者 何 不 
T30n1569_002:0178c23	有第三法。如父母生子。今離生可生。更	有 第 三 法 如 父 母 生 子 今 離 生 可 生 更 
T30n1569_002:0178c24	無有瓶等第三法。是故不然。外曰。應有生	無 有 瓶 等 第 三 法 是 故 不 然 外 曰 應 有 生 
T30n1569_002:0178c25	因壞故(修妬路)。若果不生因不應壞。今見瓶因	因 壞 故 修 妬 路 若 果 不 生 因 不 應 壞 今 見 瓶 因 
T30n1569_002:0178c26	壞故應有生。內曰。因壞故生亦滅(修妬路)。若果	壞 故 應 有 生 內 曰 因 壞 故 生 亦 滅 修 妬 路 若 果 
T30n1569_002:0178c27	生者。是果為因壞時有耶。為壞後有耶。若	生 者 是 果 為 因 壞 時 有 耶 為 壞 後 有 耶 若 
T30n1569_002:0178c28	因壞時有者。與壞不異故生亦滅。若壞後有	因 壞 時 有 者 與 壞 不 異 故 生 亦 滅 若 壞 後 有 
T30n1569_002:0178c29	者。因已壞故無因。無因故果不應生。復次	者 因 已 壞 故 無 因 無 因 故 果 不 應 生 復 次 
T30n1569_002:0179a01	因中果定故(修妬路)。若因中先有果先無果。二	因 中 果 定 故 修 妬 路 若 因 中 先 有 果 先 無 果 二 
T30n1569_002:0179a02	俱無生。何以故。若因中無果者。何以但泥	俱 無 生 何 以 故 若 因中無果 者 何 以 但 泥 
T30n1569_002:0179a03	中有瓶。縷中有布。若其俱無。泥應有布。縷	中 有 瓶 縷 中 有 布 若 其 俱 無 泥 應 有 布 縷 
T30n1569_002:0179a04	應有瓶。若因中先有果者。是因中是果生。	應 有 瓶 若 因 中 先 有 果 者 是 因 中 是 果 生 
T30n1569_002:0179a05	是事不然。何以故。是因即是果。汝法因果不	是 事 不 然 何 以 故 是 因 即 是 果 汝 法 因 果 不 
T30n1569_002:0179a06	異故。是故因中若先有果。若先無果。是皆	異 故 是 故 因 中 若 先 有 果 若 先 無 果 是 皆 
T30n1569_002:0179a07	不生。復次因果多故(修妬路)。若因中先有果者。	不 生 復 次 因 果 多 故 修 妬 路 若 因 中 先 有 果 者 
T30n1569_002:0179a08	則乳中有酪酥等。亦酥中有酪乳等。若乳	則 乳 中 有 酪 酥 等 亦 酥 中 有 酪 乳 等 若 乳 
T30n1569_002:0179a09	中有酪酥等。則一因中多果。若酥中有酪	中 有 酪 酥 等 則 一 因 中 多 果 若 酥 中 有 酪 
T30n1569_002:0179a10	乳等。則一果中多因。如是先後因果一時俱	乳 等 則 一 果 中 多 因 如 是 先 後 因 果 一 時 俱 
T30n1569_002:0179a11	有過。若因中無果亦如是過。是故因中有	有 過 若 因中無果 亦 如 是 過 是 故 因 中 有 
T30n1569_002:0179a12	果無果。是皆無生。外曰。因果不破故。生可	果 無 果 是 皆 無 生 外 曰 因 果 不 破 故 生 可 
T30n1569_002:0179a13	生成(修妬路)。汝言因中多果。果中多因。為過不	生 成 修 妬 路 汝 言 因 中 多 果 果 中 多 因 為 過 不 
T30n1569_002:0179a14	言無因果。是故生可生成。內曰。物物。非物	言 無 因 果 是 故 生 可 生 成 內 曰 物 物 非 物 
T30n1569_002:0179a15	非物互不生(修妬路)。物不生物。非物不生非	非 物 互 不 生 修 妬 路 物 不 生 物 非 物 不 生 非 
T30n1569_002:0179a16	物。物不生非物。非物不生物。若物生物。	物 物 不 生 非 物 非 物 不 生 物 若 物 生 物 
T30n1569_002:0179a17	如母生子者。是則不然。何以故。母實不生	如 母 生 子 者 是 則 不 然 何 以 故 母 實 不 生 
T30n1569_002:0179a18	子。子先有從母出故。若謂從母血分生。以	子 子 先 有 從 母 出 故 若 謂 從 母 血 分 生 以 
T30n1569_002:0179a19	為物生物者。是亦不然。何以故。離血分等	為 物 生 物 者 是 亦 不 然 何 以 故 離 血 分 等 
T30n1569_002:0179a20	母不可得故。若謂如變生。以為物生物者。	母 不 可 得 故 若 謂 如 變 生 以 為 物 生 物 者 
T30n1569_002:0179a21	是亦不然。何以故。壯即變為老。非壯生老	是 亦 不 然 何 以 故 壯 即 變 為 老 非 壯 生 老 
T30n1569_002:0179a22	故。若謂如鏡中像。以為物生物者。是亦不	故 若 謂 如 鏡 中 像 以 為 物 生 物 者 是 亦 不 
T30n1569_002:0179a23	然。何以故。鏡中像無所從來故。復次如鏡	然 何 以 故 鏡 中 像 無所從來 故 復 次 如 鏡 
T30n1569_002:0179a24	中像與面相似。餘果亦應與因相似。而不	中 像 與 面 相 似 餘 果 亦 應 與 因 相 似 而 不 
T30n1569_002:0179a25	然。是故物不生物。非物不生非物者。如	然 是 故 物 不 生 物 非 物 不 生 非 物 者 如 
T30n1569_002:0179a26	兔角不生兔角。物不生非物者。如石女	兔 角 不 生 兔 角 物 不 生 非 物 者 如 石 女 
T30n1569_002:0179a27	不生子。非物不生物者。如龜毛不生蒲。	不 生 子 非 物 不 生 物 者 如 龜 毛 不 生 蒲 
T30n1569_002:0179a28	是故無有生法。復次若物生物者。是應二	是 故 無 有 生 法 復 次 若 物 生 物 者 是 應 二 
T30n1569_002:0179a29	種法生。若因中有果。若因中無果。是則不	種 法 生 若 因 中 有 果 若 因中無果 是 則 不 
T30n1569_002:0179b01	然。何以故。若因中先無果者。因不應生	然 何 以 故 若 因 中 先 無 果 者 因 不 應 生 
T30n1569_002:0179b02	果。因邊異果不可得故。若因中先有果。云	果 因 邊 異 果 不 可 得 故 若 因 中 先 有 果 云 
T30n1569_002:0179b03	何生滅。不異故(修妬路)。若瓶與泥團不異者。瓶	何 生 滅 不 異 故 修 妬 路 若 瓶 與 泥 團 不 異 者 瓶 
T30n1569_002:0179b04	生時泥團不應滅。泥團亦不應為瓶因。若	生 時 泥 團 不 應 滅 泥 團 亦 不 應 為 瓶 因 若 
T30n1569_002:0179b05	泥團與瓶不異者。瓶不應生瓶。亦不應	泥 團 與 瓶 不 異 者 瓶 不 應 生 瓶 亦 不 應 
T30n1569_002:0179b06	為泥團果。是故若因中有果。若因中無果。	為 泥 團 果 是 故 若 因 中 有 果 若 因中無果 
T30n1569_002:0179b07	物不生物。	物 不 生 物 
T30n1569_002:0179b08	破常品第九	破 常 品 第 九 
T30n1569_002:0179b09	外曰。應有諸法。無因。常法不破故(修妬路)。汝	外 曰 應 有 諸 法 無 因 常 法 不 破 故 修 妬 路 汝 
T30n1569_002:0179b10	雖破有因法。不破無因常法。如虛空時方	雖 破 有 因 法 不 破 無 因 常 法 如 虛 空 時 方 
T30n1569_002:0179b11	微塵涅槃是無因法不破故應有諸法。內	微 塵 涅 槃 是 無 因 法 不 破 故 應 有 諸 法 內 
T30n1569_002:0179b12	曰。若強以為常。無常同(修妬路)。汝有因故說常	曰 若 強 以 為 常 無 常 同 修 妬 路 汝 有 因 故 說 常 
T30n1569_002:0179b13	耶。無因故說常耶。若常法有因。有因則無	耶 無 因 故 說 常 耶 若 常 法 有 因 有 因 則 無 
T30n1569_002:0179b14	常。若無因說常者。亦可說無常。外曰。了因	常 若 無 因 說 常 者 亦 可 說 無 常 外 曰 了 因 
T30n1569_002:0179b15	故無過(修妬路)。有二種因。一作因。二了因。若	故 無 過 修 妬 路 有 二 種 因 一 作 因 二 了 因 若 
T30n1569_002:0179b16	以作因。是則無常。我虛空等常法。以了因	以 作 因 是 則 無 常 我 虛 空 等 常 法 以 了 因 
T30n1569_002:0179b17	故說常。非無因故說常。亦非有因故說	故 說 常 非 無 因 故 說 常 亦 非 有 因 故 說 
T30n1569_002:0179b18	無常。是故非強為常。內曰。是因不然(修妬路)。汝	無 常 是 故 非 強 為 常 內 曰 是 因 不 然 修 妬 路 汝 
T30n1569_002:0179b19	雖說常法有因。是因不然。神先已破。餘常	雖 說 常 法 有 因 是 因 不 然 神 先 已 破 餘 常 
T30n1569_002:0179b20	法後當破。外曰。應有常法。作法無常故。不	法 後 當 破 外 曰 應 有 常 法 作 法 無 常 故 不 
T30n1569_002:0179b21	作法是常(修妬路)。眼見瓶等諸物無常。若異此	作 法 是 常 修 妬 路 眼 見 瓶 等 諸 物 無 常 若 異 此 
T30n1569_002:0179b22	法應是常。內曰。無亦共有(修妬路)。汝以作法相	法 應 是 常 內 曰 無 亦 共 有 修 妬 路 汝 以 作 法 相 
T30n1569_002:0179b23	違故。名不作法。今見作法中有相故。應	違 故 名 不 作 法 今 見 作 法 中 有 相 故 應 
T30n1569_002:0179b24	無不作法。復次汝以作法相違故。不作法	無 不 作 法 復 次 汝 以 作 法 相 違 故 不 作 法 
T30n1569_002:0179b25	為常者。今與作法不相違故。是應無常。	為 常 者 今 與 作 法 不 相 違 故 是 應 無 常 
T30n1569_002:0179b26	所以者何。不作法作法同無觸故。不作法	所以者何 不 作 法 作 法 同 無 觸 故 不 作 法 
T30n1569_002:0179b27	應無常。如是遍常不遍常。悉已總破。今當	應 無 常 如 是 遍 常 不 遍 常 悉 已 總 破 今 當 
T30n1569_002:0179b28	別破。外曰。定有虛空法。常亦遍亦無分。一	別 破 外 曰 定 有 虛 空 法 常 亦 遍 亦 無 分 一 
T30n1569_002:0179b29	切處一切時。信有故(修妬路)。世人信一切處有	切 處 一 切 時 信 有 故 修 妬 路 世 人 信 一 切 處 有 
T30n1569_002:0179c01	虛空。是故遍信過去未來現在一切時有虛	虛 空 是 故 遍 信 過去未來現在 一 切 時 有 虛 
T30n1569_002:0179c02	空。是故常。內曰。分中分合故分不異(修妬路)。若	空 是 故 常 內 曰 分 中 分 合 故 分 不 異 修 妬 路 若 
T30n1569_002:0179c03	瓶中向中虛空。是中虛空為都有耶。為分	瓶 中 向 中 虛 空 是 中 虛 空 為 都 有 耶 為 分 
T30n1569_002:0179c04	有耶。若都有者。則不遍。若是為遍。瓶亦應	有 耶 若 都 有 者 則 不 遍 若 是 為 遍 瓶 亦 應 
T30n1569_002:0179c05	遍。若分有者。虛空但是分無有。有分名為	遍 若 分 有 者 虛 空 但 是 分 無 有 有 分 名 為 
T30n1569_002:0179c06	虛空。是故虛空非遍。亦非常。外曰。定有	虛 空 是 故 虛 空 非 遍 亦 非 常 外 曰 定 有 
T30n1569_002:0179c07	虛空。遍相亦常。有作故(修妬路)。若無虛空者。	虛 空 遍 相 亦 常 有 作 故 修 妬 路 若 無 虛 空 者 
T30n1569_002:0179c08	則無舉無下。無去來等。所以者何。無容受	則 無 舉 無 下 無 去 來 等 所以者何 無 容 受 
T30n1569_002:0179c09	處故。今實有所作。是以有虛空。亦遍亦常。	處 故 今 實 有 所 作 是 以 有 虛 空 亦 遍 亦 常 
T30n1569_002:0179c10	內曰。不然。虛空處虛空(修妬路)。若有虛空法。應	內 曰 不 然 虛 空 處 虛 空 修 妬 路 若 有 虛 空 法 應 
T30n1569_002:0179c11	有住處。若無住處。是則無法。若虛空孔穴	有 住 處 若 無 住 處 是 則 無 法 若 虛 空 孔 穴 
T30n1569_002:0179c12	中住者。是則虛空住處空中。有容受處故。	中 住 者 是 則 虛 空 住 處 空 中 有 容 受 處 故 
T30n1569_002:0179c13	而不然。是以虛空不住孔穴中。亦不實中	而 不 然 是 以 虛 空 不 住 孔 穴 中 亦 不 實 中 
T30n1569_002:0179c14	住。何以故。實無空故(修妬路)。是實不名空。若	住 何 以 故 實 無 空 故 修 妬 路 是 實 不 名 空 若 
T30n1569_002:0179c15	無空則無住處。以無容受處故。復次汝言	無 空 則 無 住 處 以 無 容 受 處 故 復 次 汝 言 
T30n1569_002:0179c16	作處是虛空者。實中無作處故。則無虛	作 處 是 虛 空 者 實 中 無 作 處 故 則 無 虛 
T30n1569_002:0179c17	空。是故虛空亦非遍亦非常。復次無相故	空 是 故 虛 空 亦 非 遍 亦 非 常 復 次 無 相 故 
T30n1569_002:0179c18	無虛空。諸法各各有相。以有相故知有	無 虛 空 諸 法 各 各 有 相 以 有 相 故 知 有 
T30n1569_002:0179c19	諸法。如地堅相。水濕相。火熱相。風動相。識	諸 法 如 地 堅 相 水 濕 相 火 熱 相 風 動 相 識 
T30n1569_002:0179c20	知相。而虛空無相。是故無。外曰。虛空有相。	知 相 而 虛 空 無 相 是 故 無 外 曰 虛 空 有 相 
T30n1569_002:0179c21	汝不知故無。無色是虛空相。內曰。不然。無	汝 不 知 故 無 無 色 是 虛 空 相 內 曰 不 然 無 
T30n1569_002:0179c22	色名破色。非更有法。猶如斷樹。更無有	色 名 破 色 非 更 有 法 猶 如 斷 樹 更 無 有 
T30n1569_002:0179c23	法。是故無有虛空相。復次虛空無相。何以	法 是 故 無 有 虛 空 相 復 次 虛 空 無 相 何 以 
T30n1569_002:0179c24	故。汝說無色。是虛空相者。若色未生。是時	故 汝 說 無 色 是 虛 空 相 者 若 色 未 生 是 時 
T30n1569_002:0179c25	無虛空相。復次色是無常法。虛空是有常法。	無 虛 空 相 復 次 色 是 無 常 法 虛 空 是 有 常 法 
T30n1569_002:0179c26	若色未有時。應先有虛空法。若未有色無	若 色 未 有 時 應 先 有 虛 空 法 若 未 有 色 無 
T30n1569_002:0179c27	所滅。虛空則無相。若無相則無法。是故非	所 滅 虛 空 則 無 相 若 無 相 則 無 法 是 故 非 
T30n1569_002:0179c28	無色是虛空相。但有名而無實。諸遍常亦如	無 色 是 虛 空 相 但 有 名 而 無 實 諸 遍 常 亦 如 
T30n1569_002:0179c29	是總破。外曰。有時法。常相有故(修妬路)。有法	是 總 破 外 曰 有 時 法 常 相 有 故 修 妬 路 有 法 
T30n1569_002:0180a01	雖不可現見。以共相比知故信有。如是	雖 不 可 現 見 以 共 相 比 知 故 信 有 如 是 
T30n1569_002:0180a02	時。雖微細不可見。以節氣花實等故知有	時 雖 微 細 不 可 見 以 節 氣 花 實 等 故 知 有 
T30n1569_002:0180a03	時。此則見果知因。復次以一時不一時。久	時 此 則 見 果 知 因 復 次 以 一 時 不 一 時 久 
T30n1569_002:0180a04	近等相故。可知有時。無不有時。是故常。	近 等 相 故 可 知 有 時 無 不 有 時 是 故 常 
T30n1569_002:0180a05	內曰。過去未來中無。是故無未來(修妬路)。如泥	內 曰 過去未來 中 無 是 故 無 未 來 修 妬 路 如 泥 
T30n1569_002:0180a06	團時現在。土時過去。瓶時未來。此則時相常	團 時 現 在 土 時 過 去 瓶 時 未 來 此 則 時 相 常 
T30n1569_002:0180a07	故。過去時不作未來時。汝經言。時是一法。	故 過 去 時 不 作 未 來 時 汝 經 言 時 是 一 法 
T30n1569_002:0180a08	是故過去時終不作未來時。亦不作現在	是 故 過 去 時 終 不 作 未 來 時 亦 不 作 現 在 
T30n1569_002:0180a09	時。若過去作未來者。則有雜過。又過去中	時 若 過 去 作 未 來 者 則 有 雜 過 又 過 去 中 
T30n1569_002:0180a10	無未來時。是故無未來。現在亦如是破。外	無 未 來 時 是 故 無 未 來 現 在 亦 如 是 破 外 
T30n1569_002:0180a11	曰。受過去故有時(修妬路)。汝受過去時故。必	曰 受 過 去 故 有 時 修 妬 路 汝 受 過 去 時 故 必 
T30n1569_002:0180a12	有未來時。是故實有時法。內曰。非未來相	有 未 來 時 是 故 實 有 時 法 內 曰 非 未 來 相 
T30n1569_002:0180a13	過去(修妬路)。汝不聞我先說過去土不作未來	過 去 修 妬 路 汝 不 聞 我 先 說 過 去 土 不 作 未 來 
T30n1569_002:0180a14	瓶。若墮未來相中。是為未來相。云何名過	瓶 若 墮 未 來 相 中 是 為 未 來 相 云 何 名 過 
T30n1569_002:0180a15	去。是故無過去。外曰。應有時。自相別故(修妬路)。	去 是 故 無 過 去 外 曰 應 有 時 自 相 別 故 修 妬 路 
T30n1569_002:0180a16	若現在有現在相。若過去有過去相。若未來	若 現 在 有 現 在 相 若 過 去 有 過 去 相 若 未 來 
T30n1569_002:0180a17	有未來相。是故有時。內曰。若爾一切現在	有 未 來 相 是 故 有 時 內 曰 若 爾 一 切 現 在 
T30n1569_002:0180a18	(修妬路)。若三時自相有者。今盡應現在。若未來	 修 妬 路 若 三 時 自 相 有 者 今 盡 應 現 在 若 未 來 
T30n1569_002:0180a19	是為無。若有不名未來應名已來。是故此	是 為 無 若 有 不 名 未 來 應 名 已 來 是 故 此 
T30n1569_002:0180a20	義不然。外曰。過去未來行自相故無咎(修妬路)。	義 不 然 外 曰 過去未來 行 自 相 故 無 咎 修 妬 路 
T30n1569_002:0180a21	過去時。未來時。不行現在相。過去時行過	過 去 時 未 來 時 不 行 現 在 相 過 去 時 行 過 
T30n1569_002:0180a22	去相。未來時行未來相。是各各行自相故	去 相 未 來 時 行 未 來 相 是 各 各 行 自 相 故 
T30n1569_002:0180a23	無過。內曰。過去非過去(修妬路)。若過去過去	無 過 內 曰 過 去 非 過 去 修 妬 路 若 過 去 過 去 
T30n1569_002:0180a24	者。不名為過去。何以故。離自相故。如火	者 不 名 為 過 去 何 以 故 離 自 相 故 如 火 
T30n1569_002:0180a25	捨熱。不名為火。離自相故。若過去不過去	捨 熱 不 名 為 火 離 自 相 故 若 過 去 不 過 去 
T30n1569_002:0180a26	者。今不應說過去時行過去相。未來亦如	者 今 不 應 說 過 去 時 行 過 去 相 未 來 亦 如 
T30n1569_002:0180a27	是破。是故時法無實。但有言說。外曰。實有	是 破 是 故 時 法 無 實 但有言說 外 曰 實 有 
T30n1569_002:0180a28	方。常相有故(修妬路)。日合處是方相。如我經說。	方 常 相 有 故 修 妬 路 日 合 處 是 方 相 如 我 經 說 
T30n1569_002:0180a29	若過去。若未來。若現在。日初合處。是名東	若 過 去 若 未 來 若 現 在 日 初 合 處 是 名 東 
T30n1569_002:0180b01	方。如是餘方隨日為名。內曰。不然。東方無	方 如 是 餘 方 隨 日 為 名 內 曰 不 然 東 方 無 
T30n1569_002:0180b02	初故(修妬路)。日行四天下。繞須彌山。欝單越日	初 故 修 妬 路 日 行 四 天 下 繞 須 彌 山 欝 單 越 日 
T30n1569_002:0180b03	中。弗于逮日出。弗于逮人以為東方。弗于逮	中 弗 于 逮 日 出 弗 于 逮 人 以 為 東 方 弗 于 逮 
T30n1569_002:0180b04	日中。閻浮提日出。閻浮提人以為東方。閻浮	日 中 閻 浮 提 日 出 閻 浮 提 人 以 為 東 方 閻 浮 
T30n1569_002:0180b05	提日中。拘耶尼日出。拘耶尼人以為東方。拘	提 日 中 拘 耶 尼 日 出 拘 耶 尼 人 以 為 東 方 拘 
T30n1569_002:0180b06	耶尼日中。欝單越日出。欝單越人以為東	耶 尼 日 中 欝 單 越 日 出 欝 單 越 人 以 為 東 
T30n1569_002:0180b07	方。如是悉是東方南方。西方北方。復次日不	方 如 是 悉 是 東 方 南 方 西 方 北 方 復 次 日 不 
T30n1569_002:0180b08	合處。是中無方。以無相故。復次不定故。此	合 處 是 中 無 方 以 無 相 故 復 次 不 定 故 此 
T30n1569_002:0180b09	以為東方。彼以為西方。是故無實方。外曰。	以 為 東 方 彼 以 為 西 方 是 故 無 實 方 外 曰 
T30n1569_002:0180b10	不然。是方相一天下說故(修妬路)。是方相因一天	不 然 是 方 相 一 天 下 說 故 修 妬 路 是 方 相 因 一 天 
T30n1569_002:0180b11	下說。非為都說。是故東方非無初過。內曰。	下 說 非 為 都 說 是 故 東 方 非 無 初 過 內 曰 
T30n1569_002:0180b12	若爾有邊(修妬路)。若日先合處。是名東方者。則	若 爾 有 邊 修 妬 路 若 日 先 合 處 是 名 東 方 者 則 
T30n1569_002:0180b13	諸方有邊。有邊故有分。有分故無常。是故	諸 方 有 邊 有 邊 故 有 分 有 分 故 無 常 是 故 
T30n1569_002:0180b14	言說有方。實為無方。外曰。雖無遍常有	言 說 有 方 實 為 無 方 外 曰 雖 無 遍 常 有 
T30n1569_002:0180b15	不遍常微塵。是果相有故(修妬路)。世人或見果	不 遍 常 微 塵 是 果 相 有 故 修 妬 路 世 人 或 見 果 
T30n1569_002:0180b16	知有因。或見因知有果。如見芽等知有	知 有 因 或 見 因 知 有 果 如 見 芽 等 知 有 
T30n1569_002:0180b17	種子。世界法。見諸生物。先細後麁故。可知	種 子 世 界 法 見 諸 生 物 先 細 後 麁 故 可 知 
T30n1569_002:0180b18	二微塵為初果。以一微塵為因。是故有微	二 微 塵 為 初 果 以 一 微 塵 為 因 是 故 有 微 
T30n1569_002:0180b19	塵。圓而常。以無因故。內曰。二微塵非一切	塵 圓 而 常 以 無 因 故 內 曰 二 微 塵 非 一 切 
T30n1569_002:0180b20	身合。果不圓故(修妬路)。諸微塵果生時。非一	身 合 果 不 圓 故 修 妬 路 諸 微 塵 果 生 時 非 一 
T30n1569_002:0180b21	切身合。何以故。二微塵等果。眼見不圓故。	切 身 合 何 以 故 二 微 塵 等 果 眼 見 不 圓 故 
T30n1569_002:0180b22	若微塵身一切合者。二微塵等果亦應圓。復	若 微 塵 身 一 切 合 者 二 微 塵 等 果 亦 應 圓 復 
T30n1569_002:0180b23	次若身一切合。二亦同壞。若微塵重合則果	次 若 身 一 切 合 二 亦 同 壞 若 微 塵 重 合 則 果 
T30n1569_002:0180b24	高。若多合則果大。以一分合故微塵有分。	高 若 多 合 則 果 大 以 一 分 合 故 微 塵 有 分 
T30n1569_002:0180b25	有分故無常。復次微塵無常。以虛空別故	有 分 故 無 常 復 次 微 塵 無 常 以 虛 空 別 故 
T30n1569_002:0180b26	(修妬路)。若有微塵。應當與虛空別。是故微塵有	 修 妬 路 若 有 微 塵 應 當 與 虛 空 別 是 故 微 塵 有 
T30n1569_002:0180b27	分。有分故無常。復次以色味等別故(修妬路)。	分 有 分 故 無 常 復 次 以 色 味 等 別 故 修 妬 路 
T30n1569_002:0180b28	若微塵是有。應有色味等分。是故微塵有	若 微 塵 是 有 應 有 色 味 等 分 是 故 微 塵 有 
T30n1569_002:0180b29	分。有分故無常。復次有形法有相故。若微	分 有 分 故 無 常 復 次 有 形 法 有 相 故 若 微 
T30n1569_002:0180c01	塵有形。應有長短方圓等。是故微塵有分。	塵 有 形 應 有 長短方圓 等 是 故 微 塵 有 分 
T30n1569_002:0180c02	有分故無常。無常故無微塵。外曰。有涅	有 分 故 無 常 無 常 故 無 微 塵 外 曰 有 涅 
T30n1569_002:0180c03	槃法。常。無煩惱。涅槃不異故(修妬路)。愛等諸煩	槃 法 常 無 煩 惱 涅 槃 不 異 故 修 妬 路 愛 等 諸 煩 
T30n1569_002:0180c04	惱永盡。是名涅槃。有煩惱者。則有生死。	惱 永 盡 是 名 涅 槃 有 煩 惱 者 則 有 生 死 
T30n1569_002:0180c05	無煩惱故。永不復生死。是故涅槃為常。	無 煩 惱 故 永 不 復 生 死 是 故 涅 槃 為 常 
T30n1569_002:0180c06	內曰。不然。涅槃作法故(修妬路)。因修道故。無	內 曰 不 然 涅 槃 作 法 故 修 妬 路 因 修 道 故 無 
T30n1569_002:0180c07	諸煩惱。若無煩惱。是即涅槃者。涅槃則是作	諸 煩 惱 若 無 煩 惱 是 即 涅 槃 者 涅 槃 則 是 作 
T30n1569_002:0180c08	法。作法故無常。復次若無煩惱。是名無所	法 作 法 故 無 常 復 次 若 無 煩 惱 是 名 無 所 
T30n1569_002:0180c09	有。若涅槃與無煩惱不異者。則無涅槃。外	有 若 涅 槃 與 無 煩 惱 不 異 者 則 無 涅 槃 外 
T30n1569_002:0180c10	曰。作因故(修妬路)。涅槃為無煩惱作因。內曰。不	曰 作 因 故 修 妬 路 涅 槃 為 無 煩 惱 作 因 內 曰 不 
T30n1569_002:0180c11	然。能破非破(修妬路)。若涅槃能為解脫者。則	然 能 破 非 破 修 妬 路 若 涅 槃 能 為 解 脫 者 則 
T30n1569_002:0180c12	非解脫。復次未盡煩惱時。應無涅槃。所	非 解 脫 復 次 未 盡 煩 惱 時 應 無 涅 槃 所 
T30n1569_002:0180c13	以者何。無果故無因。外曰。無煩惱果(修妬路)。此	以 者 何 無 果 故 無 因 外 曰 無 煩 惱 果 修 妬 路 此 
T30n1569_002:0180c14	涅槃非是無煩惱。亦非無煩惱因是無煩惱	涅 槃 非 是 無 煩 惱 亦 非 無 煩 惱 因 是 無 煩 惱 
T30n1569_002:0180c15	果。是故非無涅槃。內曰。縛可縛方便異此	果 是 故 非 無 涅 槃 內 曰 縛 可 縛 方 便 異 此 
T30n1569_002:0180c16	無用(修妬路)。縛名煩惱及業。可縛名眾生。方便	無 用 修 妬 路 縛 名 煩 惱 及 業 可 縛 名 眾 生 方 便 
