T46n1931_001:0773c19	四教頌	四 教 頌 
T46n1931_001:0780a09	究竟登涅槃山頂。諸法不生般若不生。不生	究 竟 登 涅 槃 山 頂 諸 法 不 生 般 若 不 生 不 生 
T46n1931_001:0780a10	不生。名大涅槃。以虛空為座。成清淨法身。	不 生 名 大 涅 槃 以 虛 空 為 座 成 清 淨 法 身 
T46n1931_001:0780a11	居常寂光土。即圓教佛相也。然圓教位次。若	居 常 寂 光 土 即 圓 教 佛 相 也 然 圓 教 位 次 若 
T46n1931_001:0780a12	不以六即判之。則多濫上聖。故須六即判位。	不 以 六 即 判 之 則 多 濫 上 聖 故 須 六 即 判 位 
T46n1931_001:0780a13	謂一切眾生皆有佛性。有佛無佛性相常住。	謂 一 切 眾 生 皆 有 佛 性 有佛無佛 性相常住 
T46n1931_001:0780a14	又云。一色一香無非中道等言。總是理即。次	又 云 一 色 一 香 無 非 中 道 等 言 總 是 理 即 次 
T46n1931_001:0780a15	從善知識。及從經卷。聞見此言。為名字即。	從 善 知 識 及 從 經 卷 聞 見 此 言 為 名 字 即 
T46n1931_001:0780a16	依教修行。為觀行即(五品位)相似解發。為相似即	依 教 修 行 為 觀 行 即 五 品 位 相 似 解 發 為 相 似 即 
T46n1931_001:0780a17	(十信)分破分見。為分證即(從初住至等覺)智斷圓滿。為究	 十 信 分 破 分 見 為 分 證 即 從 初 住 至 等 覺 智 斷 圓 滿 為 究 
T46n1931_001:0780a18	竟即(妙覺位)約修行位次。從淺至深。故名為六。	竟 即 妙 覺 位 約 修 行 位 次 從 淺 至 深 故 名 為 六 
T46n1931_001:0780a19	約所顯理體。位位不二。故名為即。是故深	約 所 顯 理 體 位 位 不 二 故 名 為 即 是 故 深 
T46n1931_001:0780a20	識六字不生上慢。委明即字不生自屈。可歸	識 六 字 不 生 上 慢 委 明 即 字 不 生 自 屈 可 歸 
T46n1931_001:0780a21	可依。思之擇之。略明圓教位竟。然依上四教	可 依 思 之 擇 之 略 明 圓 教 位 竟 然 依 上 四 教 
T46n1931_001:0780a22	修行時。各有方便正修。謂二十五方便十乘	修 行 時 各 有 方 便 正 修 謂 二 十 五 方 便 十 乘 
T46n1931_001:0780a23	觀法。若教教各明。其文稍煩。義意雖異名	觀 法 若 教 教 各 明 其 文 稍 煩 義 意 雖 異 名 
T46n1931_001:0780a24	數不別。故今總明。可以意知。言二十五方便	數 不 別 故 今 總 明 可 以 意 知 言 二 十 五 方 便 
T46n1931_001:0780a25	者。束為五科。一具五緣。二訶五欲。三棄五	者 束 為 五 科 一 具 五 緣 二 訶 五 欲 三 棄 五 
T46n1931_001:0780a26	蓋。四調五事。五行五法。初明五緣者。一持戒	蓋 四 調 五 事 五 行 五 法 初 明 五 緣 者 一 持 戒 
T46n1931_001:0780a27	清淨。如經中說。依因此戒。得生諸禪定及	清 淨 如 經 中 說 依 因 此 戒 得 生 諸 禪 定 及 
T46n1931_001:0780a28	滅苦智慧。是故比丘。應持淨戒。有在家出家	滅 苦 智 慧 是 故 比 丘 應 持 淨 戒 有 在家出家 
T46n1931_001:0780a29	大小乘不同。二衣食具足。衣有三。一者如	大 小 乘 不 同 二 衣 食 具 足 衣 有 三 一 者 如 
T46n1931_001:0780b01	雪山大士。隨所得衣蔽形即足。不游人間。堪	雪 山 大 士 隨 所 得 衣 蔽 形 即 足 不 游 人 間 堪 
T46n1931_001:0780b02	忍力成故。二者如迦葉等。集糞掃衣。及但	忍 力 成 故 二 者 如 迦 葉 等 集 糞 掃 衣 及 但 
T46n1931_001:0780b03	三衣不畜餘長。三者多寒國土。如來亦許三	三 衣 不 畜 餘 長 三 者 多 寒 國 土 如 來 亦 許 三 
T46n1931_001:0780b04	衣之外畜百一眾具。食亦有三。一者上根大	衣 之 外 畜 百 一 眾 具 食 亦 有 三 一 者 上 根 大 
T46n1931_001:0780b05	士深山絕世。菜根草果隨得資身。二常乞食。	士 深 山 絕 世 菜 根 草 果 隨 得 資 身 二 常 乞 食 
T46n1931_001:0780b06	三檀越送食。僧中淨食。三閒居靜處。不作	三 檀 越 送 食 僧 中 淨 食 三 閒 居 靜 處 不 作 
T46n1931_001:0780b07	眾事名閒。無憒鬧處名靜。處有三。例衣食	眾 事 名 閒 無 憒 鬧 處 名 靜 處 有 三 例 衣 食 
T46n1931_001:0780b08	可知。四息諸緣務。息生活。息人事。息工巧	可 知 四 息 諸 緣 務 息 生 活 息 人 事 息 工 巧 
T46n1931_001:0780b09	技術等。五近善知識有三。一外護善知識。二	技 術 等 五 近 善 知 識 有 三 一 外 護 善 知 識 二 
T46n1931_001:0780b10	同行善知識。三教授善知識。第二訶五欲。一	同 行 善 知 識 三 教 授 善 知 識 第 二 訶 五 欲 一 
T46n1931_001:0780b11	訶色。謂男女形貌端嚴。脩目高眉丹。脣皓	訶 色 謂 男 女 形貌端嚴 脩 目 高 眉 丹 脣 皓 
T46n1931_001:0780b12	齒。及世間寶物。玄黃朱紫種種妙色等。二訶	齒 及 世 間 寶 物 玄 黃 朱 紫 種 種 妙 色 等 二 訶 
T46n1931_001:0780b13	聲。謂絲竹環珮之聲。及男女歌詠聲等。三訶	聲 謂 絲 竹 環 珮 之 聲 及 男 女 歌 詠 聲 等 三 訶 
T46n1931_001:0780b14	香。謂男女身香。及世間飲食香等。四訶味。謂	香 謂 男 女 身 香 及 世 間 飲 食 香 等 四 訶 味 謂 
T46n1931_001:0780b15	種種飲食肴饍美味等。五訶觸。謂男女身分	種 種 飲 食 肴 饍 美 味 等 五 訶 觸 謂 男 女 身 分 
T46n1931_001:0780b16	柔軟細滑。寒時體溫。熱時體涼。及諸好觸	柔 軟 細 滑 寒 時 體 溫 熱 時 體 涼 及 諸 好 觸 
T46n1931_001:0780b17	等。第三棄五蓋。謂貪欲瞋恚睡眠掉悔疑。第	等 第 三 棄 五 蓋 謂 貪欲瞋恚 睡 眠 掉 悔 疑 第 
T46n1931_001:0780b18	四調五事。謂調心不沈不浮。調身不緩不急。	四 調 五 事 謂 調 心 不 沈 不 浮 調 身 不 緩 不 急 
T46n1931_001:0780b19	調息不澁不滑。調眠不節不恣。調食不饑不	調 息 不 澁 不 滑 調 眠 不 節 不 恣 調 食 不 饑 不 
T46n1931_001:0780b20	飽。第五行五法。一欲。欲離世間一切妄想	飽 第 五 行 五 法 一 欲 欲 離 世 間 一 切 妄 想 
T46n1931_001:0780b21	顛倒。欲得一切諸禪定智慧門故。二精進。堅	顛 倒 欲 得 一 切 諸 禪 定 智 慧 門 故 二 精 進 堅 
T46n1931_001:0780b22	持禁戒棄於五蓋。初中後夜勤行精進故。三	持 禁 戒 棄 於 五 蓋 初中後夜 勤行精進 故 三 
T46n1931_001:0780b23	念。念世間欺誑可輕可賤。禪定智慧可重可	念 念 世 間 欺 誑 可 輕 可 賤 禪 定 智 慧 可 重 可 
T46n1931_001:0780b24	貴。四巧慧。籌量世間樂禪定智慧樂得失輕	貴 四 巧 慧 籌 量 世 間 樂 禪 定 智 慧 樂 得 失 輕 
T46n1931_001:0780b25	重等。五一心。念慧分明。明見世間可患可	重 等 五 一 心 念 慧 分 明 明 見 世 間 可 患 可 
T46n1931_001:0780b26	惡。善識禪定智慧功德可尊可貴。此二十五	惡 善 識 禪 定 智慧功德 可 尊 可 貴 此 二 十 五 
T46n1931_001:0780b27	法為四教前方便。故應須具足。若無此方便	法 為 四 教 前 方 便 故 應 須 具 足 若 無 此 方 便 
T46n1931_001:0780b28	者。世間禪定尚不可得。豈況出世妙理乎。然	者 世 間 禪 定 尚 不 可 得 豈 況 出 世 妙 理 乎 然 
T46n1931_001:0780b29	前明教既漸頓不同。方便亦異。依何教修行。	前 明 教 既 漸 頓 不 同 方 便 亦 異 依 何 教 修 行 
T46n1931_001:0780c01	臨時審量耳。次明正修十乘觀法。亦四教名	臨 時 審 量 耳 次 明 正 修 十 乘 觀 法 亦 四 教 名 
T46n1931_001:0780c02	同義異。今且明圓教。餘教例此。一觀不思議	同 義 異 今 且 明 圓 教 餘 教 例 此 一 觀 不 思 議 
T46n1931_001:0780c03	境。謂觀一念心。具足無減三千性相百界千	境 謂 觀 一 念 心 具 足 無 減 三 千 性 相 百 界 千 
T46n1931_001:0780c04	如。即此之境即空即假即中。更不前後。廣	如 即 此 之 境 即 空 即 假 即 中 更 不 前 後 廣 
T46n1931_001:0780c05	大圓滿橫竪自在。故法華經云。其車高廣(上根	大 圓 滿 橫 竪 自 在 故 法 華 經 云 其 車 高 廣 上 根 
T46n1931_001:0780c06	正觀此境)二真正發菩提心。謂依妙境發無作四弘	正 觀 此 境 二 真 正 發菩提心 謂 依 妙 境 發 無 作 四 弘 
T46n1931_001:0780c07	誓願。慜己慜他上求下化。故經云。又於其	誓 願 慜 己 慜 他 上 求 下 化 故 經 云 又 於 其 
T46n1931_001:0780c08	上張設幰蓋。三善巧安心止觀。謂體前妙理。	上 張 設 幰 蓋 三 善 巧 安 心 止 觀 謂 體 前 妙 理 
T46n1931_001:0780c09	常恒寂然名為定。寂而常照名為慧。故經云。	常 恒 寂 然 名 為 定 寂 而 常 照 名 為 慧 故 經 云 
T46n1931_001:0780c10	安置丹枕(車內枕)四破法遍。謂以三觀破三惑。三	安 置 丹 枕 車 內 枕 四 破 法 遍 謂 以 三 觀 破 三 惑 三 
T46n1931_001:0780c11	觀一心無惑不破。故經云。其疾如風。五識通	觀 一 心 無 惑 不 破 故 經 云 其 疾 如 風 五 識 通 
T46n1931_001:0780c12	塞。謂苦集。十二因緣。六蔽。塵沙。無明為塞。	塞 謂 苦 集 十二因緣 六 蔽 塵 沙 無 明 為 塞 
T46n1931_001:0780c13	道滅。滅因緣智。六度。一心三觀為通。若通	道 滅 滅 因 緣 智 六 度 一 心 三 觀 為 通 若 通 
T46n1931_001:0780c14	須護。有塞須破。於通起塞。能破如所破。節	須 護 有 塞 須 破 於 通 起 塞 能 破 如 所 破 節 
T46n1931_001:0780c15	節撿校。名識通塞。經云。安置丹枕(車外枕)六道	節 撿 校 名 識 通 塞 經 云 安 置 丹 枕 車 外 枕 六 道 
T46n1931_001:0780c16	品調適。謂無作道品。一一調停隨宜而入。經	品 調 適 謂 無 作 道 品 一 一 調 停 隨 宜 而 入 經 
T46n1931_001:0780c17	云。有大白車等(已上五中根)七對治助開。謂若	云 有 大 白 車 等 已 上 五 中 根 七 對 治 助 開 謂 若 
T46n1931_001:0780c18	正道多障圓理不開。須修事助。謂五停心及	正 道 多 障 圓 理 不 開 須 修 事 助 謂 五 停 心 及 
T46n1931_001:0780c19	六度等。經云。又多僕從(此下為下根)八知位次。謂	六 度 等 經 云 又 多 僕 從 此 下 為 下 根 八 知 位 次 謂 
T46n1931_001:0780c20	修行之人免增上慢故。九能安忍。謂於逆順	修 行 之 人 免 增 上 慢 故 九 能 安 忍 謂 於 逆 順 
T46n1931_001:0780c21	安然不動。策進五品而入六根。十離法愛。	安 然 不 動 策 進 五 品 而 入 六 根 十 離 法 愛 
T46n1931_001:0780c22	謂莫著十信相似之道。須入初住真實之理。	謂 莫 著 十 信 相 似 之 道 須 入 初 住 真 實 之 理 
T46n1931_001:0780c23	經云。乘是寶乘游於四方(游四十位)直至道場(妙覺位)	經 云 乘 是 寶 乘 游 於 四 方 游 四 十 位 直 至 道 場 妙 覺 位 
T46n1931_001:0780c24	謹案台教廣本。抄錄五時八教。略知如此。若	謹 案 台 教 廣 本 抄 錄 五 時 八 教 略 知 如 此 若 
T46n1931_001:0780c25	要委明之者。請看法華玄義十卷。委判十方	要 委 明 之 者 請 看 法 華 玄 義 十 卷 委 判 十 方 
T46n1931_001:0780c26	三世諸佛說法儀式。猶如明鏡。及淨名玄義	三世諸佛 說 法 儀 式 猶 如 明 鏡 及 淨 名 玄 義 
T46n1931_001:0780c27	中四卷。全判教相。自從此下。略明諸家判	中 四 卷 全 判 教 相 自 從 此 下 略 明 諸 家 判 
T46n1931_001:0780c28	教儀式耳。	教 儀 式 耳 
T46n1931_001:0780c29	天台四教儀	天 台 四 教 儀 
