X33n0629_001:0433a03	 製疏始末	 製 疏 始 末 
X33n0629_001:0447a30	二歷明有損(三)	二 歷 明 有 損 三 
X33n0629_001:0447a31	一標罪誡聽(若人)	一 標 罪 誡 聽 若 人 
X33n0629_001:0447a32	二次第敘列(四)	二 次 第 敘 列 四 
X33n0629_001:0447a33	一真謗罪報(其人)	一 真 謗 罪 報 其 人 
X33n0629_001:0447a34	二似謗罪報(若作)	二 似 謗 罪 報 若 作 
X33n0629_001:0447a35	三顯謗罪報(二)	三 顯 謗 罪 報 二 
X33n0629_001:0447a36	一佛在稍輕(若得)	一 佛 在 稍 輕 若 得 
X33n0629_001:0447a37	二滅後尤重(如斯)	二 滅 後 尤 重 如 斯 
X33n0629_001:0447a38	四冥謗罪報(若得)	四 冥 謗 罪 報 若 得 
X33n0629_001:0447a39	三極言顯廣(告舍)	三 極 言 顯 廣 告 舍 
X33n0629_001:0447a40	三結歸囑詞(以是)	三 結 歸 囑 詞 以 是 
X33n0629_001:0447a41	二詳囑是機乃說(二)	二 詳 囑 是 機 乃 說 二 
X33n0629_001:0447a42	一詳明是機(十)	一 詳 明 是 機 十 
X33n0629_001:0447a43	一智度(若有)	一 智 度 若 有 
X33n0629_001:0447a44	二力度(若人)	二 力 度 若 人 
X33n0629_001:0447a45	三施度(若人)	三 施 度 若 人 
X33n0629_001:0447a46	四禪度(若人)	四 禪 度 若 人 
X33n0629_001:0447a47	五慧度(又舍)	五 慧 度 又 舍 
X33n0629_001:0447a48	六戒度(若見)	六 戒 度 若 見 
X33n0629_001:0447a49	七忍度(若人)	七 忍 度 若 人 
X33n0629_001:0447a50	八便度(復有)	八 便 度 復 有 
X33n0629_001:0447a51	九願度(若有)	九 願 度 若 有 
X33n0629_001:0447a52	十進度(如人)	十 進 度 如 人 
X33n0629_001:0447a53	二顯廣結囑(告舍)　正說譬喻已竟	二 顯 廣 結 囑 告 舍 正 說 譬 喻 已 竟 
X33n0629_001:0447a54	四中根獲益○	四 中 根 獲 益 
X33n0629_001:0447a56	信解品	信 解 品 
X33n0629_001:0447a58	○四中根獲益(三)	 四 中 根 獲 益 三 
X33n0629_001:0447a59	一四子信解(二)	一 四 子 信 解 二 
X33n0629_001:0447a60	一長行(三)	一 長 行 三 
X33n0629_001:0447a61	一信解歡喜(二)	一 信 解 歡 喜 二 
X33n0629_001:0447a62	一經家敘置(爾時)	一 經 家 敘 置 爾 時 
X33n0629_001:0447a63	二四子自陳(二)	二 四 子 自 陳 二 
X33n0629_001:0447a64	一昔年執迷(二)	一 昔 年 執 迷 二 
X33n0629_001:0447a65	一阿含不復進求(即從)	一 阿 含 不 復 進 求 即 從 
X33n0629_001:0448a01	二般若心不喜樂(世尊)	二 般 若 心 不 喜 樂 世 尊 
X33n0629_001:0448a02	二今日信解(我等)	二 今 日 信 解 我 等 
X33n0629_001:0448a03	二說喻發明(標喻)(正喻二)	二 說 喻 發 明 標 喻 正 喻 二 
X33n0629_001:0448a04	一喻眾生機感(譬如)	一 喻 眾 生 機 感 譬 如 
X33n0629_001:0448a05	二喻如來化應(二)	二 喻 如 來 化 應 二 
X33n0629_001:0448a06	一喻從實施權(二)	一 喻 從 實 施 權 二 
X33n0629_001:0448a07	一喻從實不得(二)	一 喻 從 實 不 得 二 
X33n0629_001:0448a08	一喻三七思惟(三)	一 喻 三 七 思 惟 三 
X33n0629_001:0448a09	一喻佛初成道(其父)	一 喻 佛 初 成 道 其 父 
X33n0629_001:0448a10	二喻深思化機(三)	二 喻 深 思 化 機 三 
X33n0629_001:0448a11	一喻機生佛國(時貧)	一 喻 機 生 佛 國 時 貧 
X33n0629_001:0448a12	二喻佛思機扣(父每)	二 喻 佛 思 機 扣 父 每 
X33n0629_001:0448a13	三喻機近覺場(世尊)	三 喻 機 近 覺 場 世 尊 
X33n0629_001:0448a14	三喻機教乖違(二)	三 喻 機 教 乖 違 二 
X33n0629_001:0448a15	一喻教乖乎機(遙見)	一 喻 教 乖 乎 機 遙 見 
X33n0629_001:0448a16	二喻機違乎教(窮子)	二 喻 機 違 乎 教 窮 子 
X33n0629_001:0448a17	二喻作念無計(三)	二 喻 作 念 無 計 三 
X33n0629_001:0448a18	一喻教不契機(時富)	一 喻 教 不 契 機 時 富 
X33n0629_001:0448a19	二喻機不契教(窮子)	二 喻 機 不 契 教 窮 子 
X33n0629_001:0448a20	三喻暫息大化(父遙)	三 喻 暫 息 大 化 父 遙 
X33n0629_001:0448a21	二喻隱實施權(二)	二 喻 隱 實 施 權 二 
X33n0629_001:0448a22	一喻阿含保證(三)	一 喻 阿 含 保 證 三 
X33n0629_001:0448a23	一喻權人攝化(爾時)	一 喻 權 人 攝 化 爾 時 
X33n0629_001:0448a24	二喻佛轉法輪(二)	二 喻 佛 轉 法 輪 二 
X33n0629_001:0448a25	一喻先示苦集(又以)	一 喻 先 示 苦 集 又 以 
X33n0629_001:0448a26	二喻次施道滅(後復)	二 喻 次 施 道 滅 後 復 
X33n0629_001:0448a27	三喻保證小果(好自)	三 喻 保 證 小 果 好 自 
X33n0629_001:0448a28	二喻般若轉教(三)	二 喻 般 若 轉 教 三 
X33n0629_001:0448a29	一喻中經方等(爾時)	一 喻 中 經 方 等 爾 時 
X33n0629_001:0448a30	二喻佛勅轉教(世尊)	二 喻 佛 勅 轉 教 世 尊 
X33n0629_001:0448a31	三喻受勅不取(爾時)	三 喻 受 勅 不 取 爾 時 
X33n0629_001:0448a32	二喻會權歸實(三)	二 喻 會 權 歸 實 三 
X33n0629_001:0448a33	一喻時至機熟(復經)	一 喻 時 至 機 熟 復 經 
X33n0629_001:0448a34	二喻等賜一乘(臨欲)	二 喻 等 賜 一 乘 臨 欲 
X33n0629_001:0448a35	三喻聞法獲益(世尊)	三 喻 聞 法 獲 益 世 尊 
X33n0629_001:0448a36	三以法貼合(二)	三 以 法 貼 合 二 
X33n0629_001:0448a37	一眾生機感(世尊)	一 眾 生 機 感 世 尊 
X33n0629_001:0448a38	二如來化應(二)	二 如 來 化 應 二 
X33n0629_001:0448a39	一從實施權(二)	一 從 實 施 權 二 
X33n0629_001:0448a40	一從實不得(世尊)	一 從 實 不 得 世 尊 
X33n0629_001:0448a41	二隱實施權(二)	二 隱 實 施 權 二 
X33n0629_001:0448a42	一阿含保證(今日)	一 阿 含 保 證 今 日 
X33n0629_001:0448a43	二般若轉教(三)	二 般 若 轉 教 三 
X33n0629_001:0448a44	一中經方等(既得)	一 中 經 方 等 既 得 
X33n0629_001:0448a45	二佛勅轉教(世尊)	二 佛 勅 轉 教 世 尊 
X33n0629_001:0448a46	三受勅不取(我等)	三 受 勅 不 取 我 等 
X33n0629_001:0448a47	二會權歸實(三)	二 會 權 歸 實 三 
X33n0629_001:0448a48	一時至機熟(今我)	一 時 至 機 熟 今 我 
X33n0629_001:0448a49	二等賜一乘(於此)	二 等 賜 一 乘 於 此 
X33n0629_001:0448a50	三聞法獲益(是故)	三 聞 法 獲 益 是 故 
X33n0629_001:0448a51	二偈頌(三)	二 偈 頌 三 
X33n0629_001:0448a52	一頌信解歡喜(我等)	一 頌 信 解 歡 喜 我 等 
X33n0629_001:0448a53	二頌說喻發明(二)	二 頌 說 喻 發 明 二 
X33n0629_001:0449a01	一頌眾生機感喻(譬如)	一 頌 眾 生 機 感 喻 譬 如 
X33n0629_001:0449a02	二頌如來化應喻(二)	二 頌 如 來 化 應 喻 二 
X33n0629_001:0449a03	一頌從實施權喻(二)	一 頌 從 實 施 權 喻 二 
X33n0629_001:0449a04	一頌從實不得喻(二)	一 頌 從 實 不 得 喻 二 
X33n0629_001:0449a05	一頌三七思惟喻(三)	一 頌 三 七 思 惟 喻 三 
X33n0629_001:0449a06	一頌佛初成道喻(其父)	一 頌 佛 初 成 道 喻 其 父 
X33n0629_001:0449a07	二頌深思化機喻(三)	二 頌 深 思 化 機 喻 三 
X33n0629_001:0449a08	一頌佛思機扣喻(豪富)	一 頌 佛 思 機 扣 喻 豪 富 
X33n0629_001:0449a09	二頌機生佛國喻(爾時)	二 頌 機 生 佛 國 喻 爾 時 
X33n0629_001:0449a10	三頌機近覺場喻(傭貸)	三 頌 機 近 覺 場 喻 傭 貸 
X33n0629_001:0449a11	三頌機教乖違喻(二)	三 頌 機 教 乖 違 喻 二 
X33n0629_001:0449a12	一頌教乖乎機喻(爾時)	一 頌 教 乖 乎 機 喻 爾 時 
X33n0629_001:0449a13	二頌機違乎教喻(窮子)	二 頌 機 違 乎 教 喻 窮 子 
X33n0629_001:0449a14	二頌作念無計喻(二)	二 頌 作 念 無 計 喻 二 
X33n0629_001:0449a15	一頌教不契機喻(長者)	一 頌 教 不 契 機 喻 長 者 
X33n0629_001:0449a16	二頌機不契教喻(窮子)	二 頌 機 不 契 教 喻 窮 子 
X33n0629_001:0449a17	二頌隱實施權喻(二)	二 頌 隱 實 施 權 喻 二 
X33n0629_001:0449a18	一頌阿含保證喻(三)	一 頌 阿 含 保 證 喻 三 
X33n0629_001:0449a19	一頌權人攝化喻(長者)	一 頌 權 人 攝 化 喻 長 者 
X33n0629_001:0449a20	二頌佛轉法輪喻(二)	二 頌 佛 轉 法 輪 喻 二 
X33n0629_001:0449a21	一頌先示苦集喻(長者)	一 頌 先 示 苦 集 喻 長 者 
X33n0629_001:0449a22	二頌次施道滅喻(既益)	二 頌 次 施 道 滅 喻 既 益 
X33n0629_001:0449a23	三頌保證小果喻(又以)	三 頌 保 證 小 果 喻 又 以 
X33n0629_001:0449a24	二頌般若轉教喻(長者)	二 頌 般 若 轉 教 喻 長 者 
X33n0629_001:0449a25	二頌會權歸實喻(三)	二 頌 會 權 歸 實 喻 三 
X33n0629_001:0449a26	一頌時至機熟喻(父知)	一 頌 時 至 機 熟 喻 父 知 
X33n0629_001:0449a27	二頌等賜一乘喻(欲與)	二 頌 等 賜 一 乘 喻 欲 與 
X33n0629_001:0449a28	三頌聞法獲益喻(子念)	三 頌 聞 法 獲 益 喻 子 念 
X33n0629_001:0449a29	三頌以法貼合(二)	三 頌 以 法 貼 合 二 
X33n0629_001:0449a30	一頌從實施權(二)	一 頌 從 實 施 權 二 
X33n0629_001:0449a31	一正頌長行(二)	一 正 頌 長 行 二 
X33n0629_001:0449a32	一頌從實不得(佛亦)	一 頌 從 實 不 得 佛 亦 
X33n0629_001:0449a33	二頌隱實施權(二)	二 頌 隱 實 施 權 二 
X33n0629_001:0449a34	一頌阿含保證(而說)	一 頌 阿 含 保 證 而 說 
X33n0629_001:0449a35	二頌般若轉教(二)	二 頌 般 若 轉 教 二 
X33n0629_001:0449a36	一頌佛勅轉教(佛勅)	一 頌 佛 勅 轉 教 佛 勅 
X33n0629_001:0449a37	二頌受勅不取(我承)	二 頌 受 勅 不 取 我 承 
X33n0629_001:0449a38	二補頌顯迷(四)	二 補 頌 顯 迷 四 
X33n0629_001:0449a39	一顯執迷堅固(我等)	一 顯 執 迷 堅 固 我 等 
X33n0629_001:0449a40	二顯因果虛妄(我等)	二 顯 因 果 虛 妄 我 等 
X33n0629_001:0449a41	三顯孤負佛恩(佛所)	三 顯 孤 負 佛 恩 佛 所 
X33n0629_001:0449a42	四顯孤負佛意(我等)	四 顯 孤 負 佛 意 我 等 
X33n0629_001:0449a43	二頌會權歸實(二)	二 頌 會 權 歸 實 二 
X33n0629_001:0449a44	一正頌長行(導師)	一 正 頌 長 行 導 師 
X33n0629_001:0449a45	二補頌顯悟(四)	二 補 頌 顯 悟 四 
X33n0629_001:0449a46	一顯信解堅固(世尊)	一 顯 信 解 堅 固 世 尊 
X33n0629_001:0449a47	二顯因果真實(我等)	二 顯 因 果 真 實 我 等 
X33n0629_001:0449a48	三顯深知佛恩(世尊)	三 顯 深 知 佛 恩 世 尊 
X33n0629_001:0449a49	四顯深知佛意(諸佛)　四子信解已竟	四 顯 深 知 佛 意 諸 佛 四 子 信 解 已 竟 
X33n0629_001:0449a50	二如來印啟○	二 如 來 印 啟 
X33n0629_001:0449a51	三通授果記○	三 通 授 果 記 
X33n0629_001:0449a53	妙法蓮華經卷第三科	妙法蓮華 經 卷 第 三 科 
X33n0629_001:0449a55	藥草喻品	藥 草 喻 品 
X33n0629_001:0449a57	○二如來印啟(二)	 二 如 來 印 啟 二 
X33n0629_001:0449a58	一長行(三)	一 長 行 三 
X33n0629_001:0449a59	一印說標蘊(爾時)	一 印 說 標 蘊 爾 時 
X33n0629_001:0449a60	二正與開啟(三)	二 正 與 開 啟 三 
X33n0629_001:0449a61	一別立宗旨(迦葉)	一 別 立 宗 旨 迦 葉 
X33n0629_001:0449a62	二說喻發明(三)	二 說 喻 發 明 三 
X33n0629_001:0449a63	一喻同時頓演(迦葉)	一 喻 同 時 頓 演 迦 葉 
X33n0629_001:0449a64	二喻隨機受益(二)	二 喻 隨 機 受 益 二 
X33n0629_001:0449a65	一喻未受令受(小根)	一 喻 未 受 令 受 小 根 
X33n0629_001:0449a66	二喻受已令增(一雲)	二 喻 受 已 令 增 一 雲 
X33n0629_001:0450a01	三喻教同機別(雖一)	三 喻 教 同 機 別 雖 一 
X33n0629_001:0450a02	三以法貼合(三)	三 以 法 貼 合 三 
X33n0629_001:0450a03	一同時頓漸(三)	一 同 時 頓 漸 三 
X33n0629_001:0450a04	一現身垂慈(迦葉)	一 現 身 垂 慈 迦 葉 
X33n0629_001:0450a05	二揚德詔眾(於大)	二 揚 德 詔 眾 於 大 
X33n0629_001:0450a06	三稱機說法(爾時)	三 稱 機 說 法 爾 時 
X33n0629_001:0450a07	二隨機受益(二)	二 隨 機 受 益 二 
X33n0629_001:0450a08	一正以法合(二)	一 正 以 法 合 二 
X33n0629_001:0450a09	一未受令受(種種)	一 未 受 令 受 種 種 
X33n0629_001:0450a10	二受已令增(是諸)	二 受 已 令 增 是 諸 
X33n0629_001:0450a11	二重提前喻(如彼)	二 重 提 前 喻 如 彼 
X33n0629_001:0450a12	三教同機別(二)	三 教 同 機 別 二 
X33n0629_001:0450a13	一教同(如來)	一 教 同 如 來 
X33n0629_001:0450a14	二機別(其有)	二 機 別 其 有 
X33n0629_001:0450a15	三結歎慰論(二)	三 結 歎 慰 論 二 
X33n0629_001:0450a16	一承前釋疑(如來)	一 承 前 釋 疑 如 來 
X33n0629_001:0450a17	二正以結歎(汝等)	二 正 以 結 歎 汝 等 
X33n0629_001:0450a18	二偈頌(二)	二 偈 頌 二 
X33n0629_001:0450a19	一頌正與開啟(三)	一 頌 正 與 開 啟 三 
X33n0629_001:0450a20	一頌別立宗旨(破有)	一 頌 別 立 宗 旨 破 有 
X33n0629_001:0450a21	二頌說喻發明(三)	二 頌 說 喻 發 明 三 
X33n0629_001:0450a22	一頌同時頓演喻(迦葉)	一 頌 同 時 頓 演 喻 迦 葉 
X33n0629_001:0450a23	二頌隨機受益喻(二)	二 頌 隨 機 受 益 喻 二 
X33n0629_001:0450a24	一頌未受令受喻(百穀)	一 頌 未 受 令 受 喻 百 穀 
X33n0629_001:0450a25	二頌受已令增喻(一切)	二 頌 受 已 令 增 喻 一 切 
X33n0629_001:0450a26	三頌教同機別喻(一雨)	三 頌 教 同 機 別 喻 一 雨 
X33n0629_001:0450a27	三頌以法貼合(三)	三 頌 以 法 貼 合 三 
X33n0629_001:0450a28	一頌同時頓演(三)	一 頌 同 時 頓 演 三 
X33n0629_001:0450a29	一頌現身垂慈(佛亦)	一 頌 現 身 垂 慈 佛 亦 
X33n0629_001:0450a30	二頌揚德詔眾(既出)	二 頌 揚 德 詔 眾 既 出 
X33n0629_001:0450a31	三頌稱機說法(我觀)	三 頌 稱 機 說 法 我 觀 
X33n0629_001:0450a32	二頌隨機受益(二)	二 頌 隨 機 受 益 二 
X33n0629_001:0450a33	一頌未受令受(一切)	一 頌 未 受 令 受 一 切 
X33n0629_001:0450a34	二頌受已令增(佛以)	二 頌 受 已 令 增 佛 以 
X33n0629_001:0450a35	三頌教同機別(如是)	三 頌 教 同 機 別 如 是 
X33n0629_001:0450a36	二頌結歎慰論(二)	二 頌 結 歎 慰 論 二 
X33n0629_001:0450a37	一頌承前釋疑(迦葉)	一 頌 承 前 釋 疑 迦 葉 
X33n0629_001:0450a38	二頌正以結歎(今為)　如來印啟已竟	二 頌 正 以 結 歎 今 為 如 來 印 啟 已 竟 
X33n0629_001:0450a40	授記品	授 記 品 
X33n0629_001:0450a42	○三通授果記(二)	 三 通 授 果 記 二 
X33n0629_001:0450a43	一授迦葉記(二)	一 授 迦 葉 記 二 
X33n0629_001:0450a44	一長行(三)	一 長 行 三 
X33n0629_001:0450a45	一行因得果(爾時)	一 行 因 得 果 爾 時 
X33n0629_001:0450a46	二佛法壽量(佛壽)	二 佛 法 壽 量 佛 壽 
X33n0629_001:0450a47	三依正莊嚴(國界)	三 依 正 莊 嚴 國 界 
X33n0629_001:0450a48	二偈頌(三)	二 偈 頌 三 
X33n0629_001:0450a49	一頌行因得果(告諸)	一 頌 行 因 得 果 告 諸 
X33n0629_001:0450a50	二頌依正莊嚴(其土)	二 頌 依 正 莊 嚴 其 土 
X33n0629_001:0450a51	三頌佛法壽量(其佛)	三 頌 佛 法 壽 量 其 佛 
X33n0629_001:0450a52	二授三子記(二)	二 授 三 子 記 二 
X33n0629_001:0450a53	一三子請記(二)	一 三 子 請 記 二 
X33n0629_001:0450a54	一經家敘儀(爾時)	一 經 家 敘 儀 爾 時 
X33n0629_001:0450a55	二說偈陳請(五)	二 說 偈 陳 請 五 
X33n0629_001:0450a56	一標偈(即共)	一 標 偈 即 共 
X33n0629_001:0450a57	二正請(大雄)	二 正 請 大 雄 
X33n0629_001:0450a58	三說喻(如從)	三 說 喻 如 從 
X33n0629_001:0450a59	四法合(我等)	四 法 合 我 等 
X33n0629_001:0450a60	五結請(大雄)	五 結 請 大 雄 
X33n0629_001:0450a61	二如來與記(三)	二 如 來 與 記 三 
X33n0629_001:0450a62	一授空生記(二)	一 授 空 生 記 二 
X33n0629_001:0450a63	一長行(四)	一 長 行 四 
X33n0629_001:0450a64	一行因得果(爾時)	一 行 因 得 果 爾 時 
X33n0629_001:0450a65	二依正莊嚴(其土)	二 依 正 莊 嚴 其 土 
X33n0629_001:0451a01	三佛法壽量(佛壽)	三 佛 法 壽 量 佛 壽 
X33n0629_001:0451a02	四神通說法(其佛)	四 神 通 說 法 其 佛 
X33n0629_001:0451a03	二偈頌(四)	二 偈 頌 四 
X33n0629_001:0451a04	一頌行因得果(諸比)	一 頌 行 因 得 果 諸 比 
X33n0629_001:0451a05	二頌依正莊嚴(其佛)	二 頌 依 正 莊 嚴 其 佛 
X33n0629_001:0451a06	三頌神通說法(其佛)	三 頌 神 通 說 法 其 佛 
X33n0629_001:0451a07	四頌佛法壽量(其佛)	四 頌 佛 法 壽 量 其 佛 
X33n0629_001:0451a08	二授文飾記(二)	二 授 文 飾 記 二 
X33n0629_001:0451a09	一長行(三)	一 長 行 三 
X33n0629_001:0451a10	一行因得果(二)	一 行 因 得 果 二 
X33n0629_001:0451a11	一經劫行因(爾時)	一 經 劫 行 因 爾 時 
X33n0629_001:0451a12	二當得證果(供養)	二 當 得 證 果 供 養 
X33n0629_001:0451a13	二依正莊嚴(其土)	二 依 正 莊 嚴 其 土 
X33n0629_001:0451a14	三佛法壽量(佛壽)	三 佛 法 壽 量 佛 壽 
X33n0629_001:0451a15	二偈頌(二)	二 偈 頌 二 
X33n0629_001:0451a16	一頌行因得果(諸比)	一 頌 行 因 得 果 諸 比 
X33n0629_001:0451a17	二頌依正莊嚴(國土)	二 頌 依 正 莊 嚴 國 土 
X33n0629_001:0451a18	三授目連記(二)	三 授 目 連 記 二 
X33n0629_001:0451a19	一長行(二)	一 長 行 二 
X33n0629_001:0451a20	一行因得果(爾時)	一 行 因 得 果 爾 時 
X33n0629_001:0451a21	二莊嚴壽量(其土)	二 莊 嚴 壽 量 其 土 
X33n0629_001:0451a22	二偈頌(二)	二 偈 頌 二 
X33n0629_001:0451a23	一正頌長行(二)	一 正 頌 長 行 二 
X33n0629_001:0451a24	一頌行因得果(我此)	一 頌 行 因 得 果 我 此 
X33n0629_001:0451a25	二頌莊嚴壽量(其佛)	二 頌 莊 嚴 壽 量 其 佛 
X33n0629_001:0451a26	二許示因緣(我諸)　喻說一周被中根竟	二 許 示 因 緣 我 諸 喻 說 一 周 被 中 根 竟 
X33n0629_001:0451a28	化城喻品	化 城 喻 品 
X33n0629_001:0451a30	○三因緣一周被下根(二)	 三 因 緣 一 周 被 下 根 二 
X33n0629_001:0451a31	一佛說因緣(二)	一 佛 說 因 緣 二 
X33n0629_001:0451a32	一總出其時(二)	一 總 出 其 時 二 
X33n0629_001:0451a33	一長行(三)	一 長 行 三 
X33n0629_001:0451a34	一出時顯遠(佛告)	一 出 時 顯 遠 佛 告 
X33n0629_001:0451a35	二虛設數量(譬如)	二 虛 設 數 量 譬 如 
X33n0629_001:0451a36	三結指防問(諸比)	三 結 指 防 問 諸 比 
X33n0629_001:0451a37	二偈頌(三)	二 偈 頌 三 
X33n0629_001:0451a38	一頌出時顯遠(我念)	一 頌 出 時 顯 遠 我 念 
X33n0629_001:0451a39	二頌虛設數量(如人)	二 頌 虛 設 數 量 如 人 
X33n0629_001:0451a40	三頌結指防問(如是)	三 頌 結 指 防 問 如 是 
X33n0629_001:0451a41	二歷敘始終(二)	二 歷 敘 始 終 二 
X33n0629_001:0451a42	一長行(二)	一 長 行 二 
X33n0629_001:0451a43	一正敘因緣(三)	一 正 敘 因 緣 三 
X33n0629_001:0451a44	一結緣之由(二)	一 結 緣 之 由 二 
X33n0629_001:0451a45	一智佛開權(四)	一 智 佛 開 權 四 
X33n0629_001:0451a46	一智佛成道(三)	一 智 佛 成 道 三 
X33n0629_001:0451a47	一垂成十劫(佛告)	一 垂 成 十 劫 佛 告 
X33n0629_001:0451a48	二諸天興供(爾時)	二 諸 天 興 供 爾 時 
X33n0629_001:0451a49	三時至道成(諸比)	三 時 至 道 成 諸 比 
X33n0629_001:0451a50	二請轉法輪(二)	二 請 轉 法 輪 二 
X33n0629_001:0451a51	一王子請法(三)	一 王 子 請 法 三 
X33n0629_001:0451a52	一眷屬備至(其佛)	一 眷 屬 備 至 其 佛 
X33n0629_001:0451a53	二說偈讚佛(到已)	二 說 偈 讚 佛 到 已 
X33n0629_001:0451a54	三王子陳請(二)	三 王 子 陳 請 二 
X33n0629_001:0451a55	一略陳請詞(爾時)	一 略 陳 請 詞 爾 時 
X33n0629_001:0451a56	二廣說偈頌(重說)	二 廣 說 偈 頌 重 說 
X33n0629_001:0451a57	二梵王請法(二)	二 梵 王 請 法 二 
X33n0629_001:0451a58	一智佛現瑞(佛告)	一 智 佛 現 瑞 佛 告 
X33n0629_001:0451a59	二諸天來請(五)	二 諸 天 來 請 五 
X33n0629_001:0451a60	一東方來請(五)	一 東 方 來 請 五 
X33n0629_001:0452a01	一蒙光共議(二)	一 蒙 光 共 議 二 
X33n0629_001:0452a02	一蒙光作念(爾時)	一 蒙 光 作 念 爾 時 
X33n0629_001:0452a03	二共議何緣(是時)	二 共 議 何 緣 是 時 
X33n0629_001:0452a04	二備供推尋(爾時)	二 備 供 推 尋 爾 時 
X33n0629_001:0452a05	三見佛興供(見大)	三 見 佛 興 供 見 大 
X33n0629_001:0452a06	四正請轉法(爾時)	四 正 請 轉 法 爾 時 
X33n0629_001:0452a07	五默然受請(爾時)	五 默 然 受 請 爾 時 
X33n0629_001:0452a08	二東南來請(五)	二 東 南 來 請 五 
X33n0629_001:0452a09	一蒙光供議(又諸)	一 蒙 光 供 議 又 諸 
X33n0629_001:0452a10	二備供推尋(爾時)	二 備 供 推 尋 爾 時 
X33n0629_001:0452a11	三見佛興供(見大)	三 見 佛 興 供 見 大 
X33n0629_001:0452a12	四正請轉法(爾時)	四 正 請 轉 法 爾 時 
X33n0629_001:0452a13	五默然受請(爾時)	五 默 然 受 請 爾 時 
X33n0629_001:0452a14	三南方來請(五)	三 南 方 來 請 五 
X33n0629_001:0452a15	一蒙光共議(又諸)	一 蒙 光 共 議 又 諸 
X33n0629_001:0452a16	二備供推尋(爾時)	二 備 供 推 尋 爾 時 
X33n0629_001:0452a17	三見佛興供(見大)	三 見 佛 興 供 見 大 
X33n0629_001:0452a18	四正請轉法(爾時)	四 正 請 轉 法 爾 時 
X33n0629_001:0452a19	五默然受請(爾時)	五 默 然 受 請 爾 時 
X33n0629_001:0452a20	四例明六方(西南)	四 例 明 六 方 西 南 
X33n0629_001:0453a01	五上方來請(四)	五 上 方 來 請 四 
X33n0629_001:0453a02	一蒙光共議(爾時)	一 蒙 光 共 議 爾 時 
X33n0629_001:0453a03	二備供推尋(爾時)	二 備 供 推 尋 爾 時 
X33n0629_001:0453a04	三見佛興供(見大)	三 見 佛 興 供 見 大 
X33n0629_001:0453a05	四正請轉法(爾時)	四 正 請 轉 法 爾 時 
X33n0629_001:0453a06	三受請施權(二)	三 受 請 施 權 二 
X33n0629_001:0453a07	一總受眾請(爾時)	一 總 受 眾 請 爾 時 
X33n0629_001:0453a08	二為機施權(二)	二 為 機 施 權 二 
X33n0629_001:0453a09	一轉四諦法輪(即時)	一 轉 四 諦 法 輪 即 時 
X33n0629_001:0453a10	二轉因緣法輪(及廣)	二 轉 因 緣 法 輪 及 廣 
X33n0629_001:0453a11	四聞法保證(佛於)	四 聞 法 保 證 佛 於 
X33n0629_001:0453a12	二智佛顯實(四)	二 智 佛 顯 實 四 
X33n0629_001:0453a13	一王子啟請(爾時)	一 王 子 啟 請 爾 時 
X33n0629_001:0453a14	二從隨出家(爾時)	二 從 隨 出 家 爾 時 
X33n0629_001:0453a15	三時至顯實(爾時)	三 時 至 顯 實 爾 時 
X33n0629_001:0453a16	四聞法獲益(說是)	四 聞 法 獲 益 說 是 
X33n0629_001:0453a17	二結緣之事(三)	二 結 緣 之 事 三 
X33n0629_001:0453a18	一智佛入定(佛說)	一 智 佛 入 定 佛 說 
X33n0629_001:0453a19	二王子覆講(是時)	二 王 子 覆 講 是 時 
X33n0629_001:0453a20	三出定讚勸(大通)	三 出 定 讚 勸 大 通 
X33n0629_001:0453a21	三遠近得度(四)	三 遠 近 得 度 四 
X33n0629_001:0453a22	一中間不盡(佛告)	一 中 間 不 盡 佛 告 
X33n0629_001:0453a23	二至今得度(二)	二 至 今 得 度 二 
X33n0629_001:0453a24	一王子成佛(諸比)	一 王 子 成 佛 諸 比 
X33n0629_001:0453a25	二還度彼眾(諸比)	二 還 度 彼 眾 諸 比 
X33n0629_001:0453a26	三今猶未盡(我滅)	三 今 猶 未 盡 我 滅 
X33n0629_001:0453a27	四未來得度(我於)	四 未 來 得 度 我 於 
X33n0629_001:0453a28	二再明化儀(三)	二 再 明 化 儀 三 
X33n0629_001:0453a29	一復宗引喻(諸比)	一 復 宗 引 喻 諸 比 
X33n0629_001:0453a30	二正以喻明(二)	二 正 以 喻 明 二 
X33n0629_001:0453a31	一喻眾生機感(譬如)	一 喻 眾 生 機 感 譬 如 
X33n0629_001:0453a32	二喻如來化應(二)	二 喻 如 來 化 應 二 
X33n0629_001:0453a33	一喻從實施權(二)	一 喻 從 實 施 權 二 
X33n0629_001:0453a34	一喻從實不得(有一)	一 喻 從 實 不 得 有 一 
X33n0629_001:0453a35	二喻隱實施權(導師)	二 喻 隱 實 施 權 導 師 
X33n0629_001:0453a36	二喻會權歸實(爾時)	二 喻 會 權 歸 實 爾 時 
X33n0629_001:0453a37	三以法貼合(二)	三 以 法 貼 合 二 
X33n0629_001:0453a38	一正以法合(二)	一 正 以 法 合 二 
X33n0629_001:0453a39	一從實施權(二)	一 從 實 施 權 二 
X33n0629_001:0453a40	一從實不得(諸比)	一 從 實 不 得 諸 比 
X33n0629_001:0453a41	二隱實施權(佛知)	二 隱 實 施 權 佛 知 
X33n0629_001:0453a42	二會權歸實(若眾)	二 會 權 歸 實 若 眾 
