T02n0101_001:0493a04	雜阿含經	雜 阿 含 經 
T02n0101_001:0499b11	生死不常、盡、苦、轉法，如是為生死惱識。何等	生 死 不 常 盡 苦 轉 法 如 是 為 生 死 惱 識 何 等 
T02n0101_001:0499b12	為生死要識？所為生死欲貪避、欲貪能斷、欲	為 生 死 要 識 所 為 生 死 欲 貪 避 欲 貪 能 斷 欲 
T02n0101_001:0499b13	貪能度，如是為生死要識。何等為識身六衰	貪 能 度 如 是 為 生 死 要 識 何 等 為 識 身 六 衰 
T02n0101_001:0499b14	識？眼栽識耳鼻舌身意，如是為識識。何等	識 眼 栽 識 耳 鼻 舌 身 意 如 是 為 識 識 何 等 
T02n0101_001:0499b15	為識習？命字習為識習，如是習為識。何等為	為 識 習 命 字 習 為 識 習 如 是 習 為 識 何 等 為 
T02n0101_001:0499b16	識盡受行為識？命字盡識，如是為盡識。何	識 盡 受 行 為 識 命 字 盡 識 如 是 為 盡 識 何 
T02n0101_001:0499b17	等為識盡受行為識？八行，諦見至諦定為八，	等 為 識 盡 受 行 為 識 八 行 諦 見 至 諦 定 為 八 
T02n0101_001:0499b18	如是為識盡欲受行如諦識。何等為識味知？	如 是 為 識 盡 欲 受 行 如 諦 識 何 等 為 識 味 知 
T02n0101_001:0499b19	所識因緣故生樂生喜意，如是味生為味識	所 識 因 緣 故 生 樂 生 喜 意 如 是 味 生 為 味 識 
T02n0101_001:0499b20	知。何等為識惱識？所識為盡、為苦、為轉，如是	知 何 等 為 識 惱 識 所 識 為 盡 為 苦 為 轉 如 是 
T02n0101_001:0499b21	識惱識。何等要識，所識欲貪能治、欲貪能斷	識 惱 識 何 等 要 識 所 識 欲 貪 能 治 欲 貪 能 斷 
T02n0101_001:0499b22	能度，如是為要識。如是比丘七處為覺知。何	能 度 如 是 為 要 識 如 是 比 丘 七 處 為 覺 知 何 
T02n0101_001:0499b23	等為七？色、習、盡、道、味、苦、要，是五陰各有七事。	等 為 七 色 習 盡 道 味 苦 要 是 五 陰 各 有 七 事 
T02n0101_001:0499b24	「何等為三觀？識亦有七事，得五陰成六事，	 何 等 為 三 觀 識 亦 有 七 事 得 五 陰 成 六 事 
T02n0101_001:0499b25	觀身為一色，觀五陰二，觀六衰三，故言三	觀 身 為 一 色 觀 五 陰 二 觀 六 衰 三 故 言 三 
T02n0101_001:0499b26	觀。比丘！能曉七處亦能三觀，不久行隨道，	觀 比 丘 能 曉 七 處 亦 能 三 觀 不 久 行 隨 道 
T02n0101_001:0499b27	斷結無有結意，脫黠會見要，一證受止已，斷	斷 結 無 有 結 意 脫 黠 會 見 要 一 證 受 止 已 斷 
T02n0101_001:0499b28	生死竟，行所作竟，不復來還墮生死，得道。」佛	生 死 竟 行 所 作 竟 不 復 來 還 墮 生 死 得 道 佛 
T02n0101_001:0499b29	說如是。比丘歡喜受行。	說 如 是 比 丘 歡 喜 受 行 
T02n0101_001:0499c01	雜阿含經	雜 阿 含 經 
