X60n1120_001:0334a03	 序言	 序 言 
X60n1120_003:0421a18	坐。亦不可久坐。遠嫌疑也。◎若說法。至日暮者。波逸	坐 亦 不 可 久 坐 遠 嫌 疑 也 若 說 法 至 日 暮 者 波 逸 
X60n1120_003:0421a19	提。	提 
X60n1120_003:0421a20	不得為非時之說。	不 得 為 非 時 之 說 
X60n1120_003:0421a21	【箋】非時者。謂非尼寺所說之言。猶服藥知藥忌也。故	 箋 非 時 者 謂 非 尼 寺 所 說 之 言 猶 服 藥 知 藥 忌 也 故 
X60n1120_003:0421a22	曰。說法不及時。是法亦非法。四分。入尼寺說法。不過	曰 說 法 不 及 時 是 法 亦 非 法 四 分 入 尼 寺 說 法 不 過 
X60n1120_003:0421a23	五六語。過者。犯。法華。乃至深愛法者。亦不為多說。況	五 六 語 過 者 犯 法 華 乃 至 深 愛 法 者 亦 不 為 多 說 況 
X60n1120_003:0421a24	非時說乎。	非 時 說 乎 
X60n1120_003:0421b01	若還不得說其好醜。	若 還 不 得 說 其 好 醜 
X60n1120_003:0421b02	【箋】大圓鏡裏。本無好醜。如芍藥花開菩薩面。椶櫚樹	 箋 大 圓 鏡 裏 本 無 好 醜 如 芍 藥 花 開 菩 薩 面 椶 櫚 樹 
X60n1120_003:0421b03	長夜叉頭。影入鏡中。而鏡終不道我是夜叉。我是菩	長 夜 叉 頭 影 入 鏡 中 而 鏡 終 不 道 我 是 夜 叉 我 是 菩 
X60n1120_003:0421b04	薩。若道。則此鏡非妖即怪。當下撲破。你看菩薩夜叉。	薩 若 道 則 此 鏡 非 妖 即 怪 當 下 撲 破 你 看 菩 薩 夜 叉 
X60n1120_003:0421b05	好醜之相。在甚麼處。	好 醜 之 相 在 甚 麼 處 
X60n1120_003:0421b06	不得書疏往來。及假借裁割洗浣等。	不 得 書 疏 往 來 及 假 借 裁 割 洗 浣 等 
X60n1120_003:0421b07	【箋】內則。不通乞假。男女不通衣裳。故少年僧尼。書疏	 箋 內 則 不 通 乞 假 男 女 不 通 衣 裳 故 少 年 僧 尼 書 疏 
X60n1120_003:0421b08	往來等事。雖戒律氷清。心境兩寂。旁觀者。能無異論。	往 來 等 事 雖 戒 律 氷 清 心 境 兩 寂 旁 觀 者 能 無 異 論 
X60n1120_003:0421b09	以至日久月深。或心志失守。而有玉通晚年之憾。故	以 至 日 久 月 深 或 心 志 失 守 而 有 玉 通 晚 年 之 憾 故 
X60n1120_003:0421b10	痛絕之。	痛 絕 之 
X60n1120_003:0421b11	不得手為淨髮。	不 得 手 為 淨 髮 
X60n1120_003:0421b12	【箋】男女觸體而心不亂者。自古惟柳下惠一人。即阿	 箋 男 女 觸 體 而 心 不 亂 者 自 古 惟 柳 下 惠 一 人 即 阿 
X60n1120_003:0421b13	難猶遜一籌。當此薄世。縱使柳下惠生於今日。亦當	難 猶 遜 一 籌 當 此 薄 世 縱 使 柳 下 惠 生 於 今 日 亦 當 
X60n1120_003:0421b14	效魯男子無疑。今與尼淨髮。縱不亂心。形跡不雅。使	效 魯 男 子 無 疑 今 與 尼 淨 髮 縱 不 亂 心 形 跡 不 雅 使 
X60n1120_003:0421b15	彼同類淨髮。則嫌疑永息。	彼 同 類 淨 髮 則 嫌 疑 永 息 
X60n1120_003:0421b16	附　無二人。不得單進。	附 無 二 人 不 得 單 進 
X60n1120_003:0421b17	不得彼此送禮　不得囑托尼僧入豪貴家化緣。及	不 得 彼 此 送 禮 不 得 囑 托 尼 僧 入 豪 貴 家 化 緣 及 
X60n1120_003:0421b18	求念經懺等。	求 念 經 懺 等 
X60n1120_003:0421b19	【箋】叢林興工拮据。非不望檀越之施。必待緣熟。果然	 箋 叢 林 興 工 拮 据 非 不 望 檀 越 之 施 必 待 緣 熟 果 然 
X60n1120_003:0421b20	道德高邁。行業真實。則不求施而施來。不募緣而緣	道 德 高 邁 行 業 真 實 則 不 求 施 而 施 來 不 募 緣 而 緣 
X60n1120_003:0421b21	至。何必用如許心。旁人觀之。如鼠竊狗偷之狀。所緣	至 何 必 用 如 許 心 旁 人 觀 之 如 鼠 竊 狗 偷 之 狀 所 緣 
X60n1120_003:0421b22	未遂。疑謗漫生。縱使梵宇高出須彌。不足羨也。何如	未 遂 疑 謗 漫 生 縱 使 梵 宇 高 出 須 彌 不 足 羨 也 何 如 
X60n1120_003:0421b23	修己待緣而成者也。經云。若以少物贈遺。縱使七寶	修 己 待 緣 而 成 者 也 經 云 若 以 少 物 贈 遺 縱 使 七 寶 
X60n1120_003:0421b24	塔成。種種莊嚴。不如清淨持戒。即是供養如來真寶	塔 成 種 種 莊 嚴 不 如 清 淨 持 戒 即 是 供養如來 真 寶 
X60n1120_003:0421c01	法身。	法 身 
X60n1120_003:0421c02	不得與尼僧結拜父母姉妹道友。	不 得 與 尼 僧 結 拜 父 母 姉 妹 道 友 
X60n1120_003:0421c03	【箋】八敬法。百歲老比丘尼。見七歲小沙彌。應禮拜。今	 箋 八 敬 法 百 歲 老 比 丘 尼 見 七 歲 小 沙 彌 應 禮 拜 今 
X60n1120_003:0421c04	有沙彌反拜尼僧。大違佛制。不知辭親割愛。所為何	有 沙 彌 反 拜 尼 僧 大 違 佛 制 不 知 辭 親 割 愛 所 為 何 
X60n1120_003:0421c05	事。若不學道。即不孝論。今禿人少年。不知羞耻。為求	事 若 不 學 道 即 不 孝 論 今 禿 人 少 年 不 知 羞 耻 為 求 
X60n1120_003:0421c06	惡利。結拜乾娘。非惟佛法之所不容。而王法亦當痛	惡 利 結 拜 乾 娘 非 惟 佛 法 之 所 不 容 而 王 法 亦 當 痛 
X60n1120_003:0421c07	治。嗚呼。父母非親誰更親。昧却真心拜婦人。安得吹	治 嗚 呼 父 母 非 親 誰 更 親 昧 却 真 心 拜 婦 人 安 得 吹 
X60n1120_003:0421c08	毛橫宇宙。鄭風掃盡見天倫。張梅村擬寒山詩。離親	毛 橫 宇 宙 鄭 風 掃 盡 見 天 倫 張 梅 村 擬 寒 山 詩 離 親 
X60n1120_003:0421c09	為出家。出家反結拜。世上雖有緣。僧中却無賴。一頂	為 出 家 出 家 反 結 拜 世 上 雖 有 緣 僧 中 却 無 賴 一 頂 
X60n1120_003:0421c10	如來衣。竟被他販賣。出此敗家兒。佛也無可奈。	如 來 衣 竟 被 他 販 賣 出 此 敗 家 兒 佛 也 無 可 奈 
X60n1120_003:0421c11	至人家第十九	至 人 家 第 十 九 
X60n1120_003:0421c12	【箋】正法念經。彼惡比丘。現持戒相。令彼檀越。心信	 箋 正 法 念 經 彼 惡 比 丘 現 持 戒 相 令 彼 檀 越 心 信 
X60n1120_003:0421c13	敬已。共諸朋侶。數數往彼檀越家。如是比丘。隨己	敬 已 共 諸 朋 侶 數 數 往 彼 檀 越 家 如 是 比 丘 隨 己 
X60n1120_003:0421c14	所聞。少知佛法。共其同侶。為彼檀越說所知法。如	所 聞 少 知 佛 法 共 其 同 侶 為 彼 檀 越 說 所 知 法 如 
X60n1120_003:0421c15	是方便。欲令檀越為彼比丘所得利養。而施與之。	是 方 便 欲 令 檀 越 為 彼 比 丘 所 得 利 養 而 施 與 之 
X60n1120_003:0421c16	如是比丘。形相沙門。第一大賊。冥祥記。宋僧規。為	如 是 比 丘 形 相 沙 門 第 一 大 賊 冥 祥 記 宋 僧 規 為 
X60n1120_003:0421c17	京兆張瑜。請在家供養。無疴忽暴死。二日乃蘇。曰。	京 兆 張 瑜 請 在 家 供 養 無 疴 忽 暴 死 二 日 乃 蘇 曰 
X60n1120_003:0421c18	被五人縛去。俄至一城。監官執筆觀簿。又一人朱	被 五 人 縛 去 俄 至 一 城 監 官 執 筆 觀 簿 又 一 人 朱 
X60n1120_003:0421c19	衣玄冠來。曰。簿上無此人名。監官曰。殺鬼何以濫	衣 玄 冠 來 曰 簿 上 無 此 人 名 監 官 曰 殺 鬼 何 以 濫 
X60n1120_003:0421c20	將人來。乃鞭之。頃有使者稱天帝。喚道人即至。帝	將 人 來 乃 鞭 之 頃 有 使 者 稱 天 帝 喚 道 人 即 至 帝 
X60n1120_003:0421c21	曰。汝是沙門。何不勤業而為小鬼橫捕耶。但命未	曰 汝 是 沙 門 何 不 勤 業 而 為 小 鬼 橫 捕 耶 但 命 未 
X60n1120_003:0421c22	盡。今當還生。宜勤精進。勿屢遊白衣家。殺鬼取人	盡 今 當 還 生 宜 勤 精 進 勿 屢 遊 白 衣 家 殺 鬼 取 人 
X60n1120_003:0421c23	亦多枉濫。如汝比也。語畢。還遣使送歸。還至瑜家。	亦 多 枉 濫 如 汝 比 也 語 畢 還 遣 使 送 歸 還 至 瑜 家 
X60n1120_003:0421c24	五燈。雲門到江州。陳尚書家齋。纔到便問。儒書中	五 燈 雲 門 到 江 州 陳 尚 書 家 齋 纔 到 便 問 儒 書 中 
X60n1120_003:0422a01	即不問。三乘十二分教。自有座主。作麼生是衲僧	即 不 問 三 乘 十二分教 自 有 座 主 作 麼 生 是 衲 僧 
X60n1120_003:0422a02	行脚事。師曰。曾問幾人來。曰。即今問上座。師曰。即	行 脚 事 師 曰 曾 問 幾 人 來 曰 即 今 問 上 座 師 曰 即 
X60n1120_003:0422a03	今且置。作麼生是教意。曰。黃卷赤軸。師曰。這個是	今 且 置 作 麼 生 是 教 意 曰 黃 卷 赤 軸 師 曰 這 個 是 
X60n1120_003:0422a04	文字語言。作麼生是教意。曰。口欲言而辭喪。心欲	文 字 語 言 作 麼 生 是 教 意 曰 口 欲 言 而 辭 喪 心 欲 
X60n1120_003:0422a05	緣而慮忘。師曰。口欲言而辭喪。為對有言。心欲緣	緣 而 慮 忘 師 曰 口 欲 言 而 辭 喪 為 對 有 言 心 欲 緣 
X60n1120_003:0422a06	而慮忘。為對妄想。作麼生是教意。書無語。師曰。見	而 慮 忘 為 對 妄 想 作 麼 生 是 教 意 書 無 語 師 曰 見 
X60n1120_003:0422a07	說尚書看法華經。是否。曰。是。師曰。經中道。一切治	說 尚 書 看 法 華 經 是 否 曰 是 師 曰 經 中 道 一 切 治 
X60n1120_003:0422a08	生產業。皆與實相不相違背。且道非非想天。有幾	生 產 業 皆 與 實 相 不 相 違 背 且 道 非 非 想 天 有 幾 
X60n1120_003:0422a09	人退位。書無語。師曰。尚書且莫草草。三經五論。師	人 退 位 書 無 語 師 曰 尚 書 且 莫 草 草 三 經 五 論 師 
X60n1120_003:0422a10	僧拋却。特入叢林。十年二十年。尚不奈何。尚書又	僧 拋 却 特 入 叢 林 十 年 二 十 年 尚 不 奈 何 尚 書 又 
X60n1120_003:0422a11	爭得會。書禮拜曰。某甲罪過。◎大同濟。訪龐居士。	爭 得 會 書 禮 拜 曰 某 甲 罪 過 大 同 濟 訪 龐 居 士 
X60n1120_003:0422a12	士曰。憶在母胎。有一則語。舉似阿師。切不得作道	士 曰 憶 在 母 胎 有 一 則 語 舉 似 阿 師 切 不 得 作 道 
X60n1120_003:0422a13	理主持。師曰。猶是隔生也。士曰。向道不得作道理。	理 主 持 師 曰 猶 是 隔 生 也 士 曰 向 道 不 得 作 道 理 
X60n1120_003:0422a14	師曰。驚人之句。爭得不怕。士曰。如斯見解。可謂驚	師 曰 驚 人 之 句 爭 得 不 怕 士 曰 如 斯 見 解 可 謂 驚 
X60n1120_003:0422a15	人。師曰。不作道理。却成作道理。士曰。不但隔一生	人 師 曰 不 作 道 理 却 成 作 道 理 士 曰 不 但 隔 一 生 
X60n1120_003:0422a16	兩生。師曰。粥飯底僧一任檢責。士鳴指三下。◎丹	兩 生 師 曰 粥 飯 底 僧 一 任 檢 責 士 鳴 指 三 下 丹 
X60n1120_003:0422a17	霞訪龐居士。見女子靈照洗菜次。師曰。居士在否。	霞 訪 龐 居 士 見 女 子 靈 照 洗 菜 次 師 曰 居 士 在 否 
X60n1120_003:0422a18	女子放下菜藍。叉手而立。師又問。居士在否。女子	女 子 放 下 菜 藍 叉 手 而 立 師 又 問 居 士 在 否 女 子 
X60n1120_003:0422a19	提藍便行。師遂回。須臾士歸。女子舉前話。士曰。丹	提 藍 便 行 師 遂 回 須 臾 士 歸 女 子 舉 前 話 士 曰 丹 
X60n1120_003:0422a20	霞在麼。女曰。去也。士曰。赤土塗牛奶。又一日訪龐	霞 在 麼 女 曰 去 也 士 曰 赤 土 塗 牛 奶 又 一 日 訪 龐 
X60n1120_003:0422a21	居士。至門首相見。師乃問。居士在否。士曰。饑不擇	居 士 至 門 首 相 見 師 乃 問 居 士 在 否 士 曰 饑 不 擇 
X60n1120_003:0422a22	食。師曰。龐老在否。士曰。蒼天蒼天。便入宅去。師曰。	食 師 曰 龐 老 在 否 士 曰 蒼 天 蒼 天 便 入 宅 去 師 曰 
X60n1120_003:0422a23	蒼天蒼天。便回。◎巖頭豁。因沙汰。甘贄家過夏。補	蒼 天 蒼 天 便 回 巖 頭 豁 因 沙 汰 甘 贄 家 過 夏 補 
X60n1120_003:0422a24	衣次。贄行過。師以鍼作劄勢。贄遂整衣。欲謝。妻問。	衣 次 贄 行 過 師 以 鍼 作 劄 勢 贄 遂 整 衣 欲 謝 妻 問 
X60n1120_003:0422b01	作甚麼。贄云。說不得。妻云。也要大家知。贄舉前話。	作 甚 麼 贄 云 說 不 得 妻 云 也 要 大 家 知 贄 舉 前 話 
X60n1120_003:0422b02	妻云。此去三十年後。須知一回飲水一回咽。女子	妻 云 此 去 三 十 年 後 須 知 一 回 飲 水 一 回 咽 女 子 
X60n1120_003:0422b03	聞云。誰知盡大地性命。被奯上座劄將去。	聞 云 誰 知 盡 大 地 性 命 被 奯 上 座 劄 將 去 
X60n1120_003:0422b04	到人家偈　到人門戶。當願眾生。入於一切。佛法之	到 人 家 偈 到 人 門 戶 當 願 眾 生 入 於 一 切 佛 法 之 
X60n1120_003:0422b05	門。	門 
X60n1120_003:0422b06	【箋】大解脫道人。普見千門萬戶。無非一華藏玄門。一	 箋 大 解 脫 道 人 普 見 千 門 萬 戶 無 非 一 華 藏 玄 門 一 
X60n1120_003:0422b07	華藏玄門。容納千門萬戶。所以識得涅槃心。悟入差	華 藏 玄 門 容 納 千 門 萬 戶 所 以 識 得 涅 槃 心 悟 入 差 
X60n1120_003:0422b08	別智。了却差別智。討甚涅槃心。君不見。屠門酒肆。處	別 智 了 却 差 別 智 討 甚 涅 槃 心 君 不 見 屠 門 酒 肆 處 
X60n1120_003:0422b09	處道場。柳巷華街。頭頭般若。雖然。須是全體作用。方	處 道 場 柳 巷 華 街 頭 頭 般 若 雖 然 須 是 全 體 作 用 方 
X60n1120_003:0422b10	得自在無礙。若有一絲頭不斷。便拘絆殺人。	得 自在無礙 若 有 一 絲 頭 不 斷 便 拘 絆 殺 人 
X60n1120_003:0422b11	入其家舍。當願眾生。得入佛乘。三世平等。	入 其 家 舍 當 願 眾 生 得 入 佛 乘 三世平等 
X60n1120_003:0422b12	【箋】疏。未入。則諸家差別。入已。惟一無多。如入佛乘。無	 箋 疏 未 入 則 諸 家 差 別 入 已 惟 一 無 多 如 入 佛 乘 無 
X60n1120_003:0422b13	二三也　家舍。非無謂入也。謂化度之緣已熟。故曰	二 三 也 家 舍 非 無 謂 入 也 謂 化 度 之 緣 已 熟 故 曰 
X60n1120_003:0422b14	當願。佛乘者。法華十方佛土中。惟有一佛乘是也。其	當 願 佛 乘 者 法 華 十 方 佛 土 中 惟 有 一 佛 乘 是 也 其 
X60n1120_003:0422b15	餘諸乘。各執異見高下不齊。惟佛一乘。無高無下。無	餘 諸 乘 各 執 異 見 高 下 不 齊 惟 佛 一 乘 無 高 無 下 無 
X60n1120_003:0422b16	今無古。無去無來。無齊不齊。故曰。三世平等。華嚴。知	今 無 古 無 去 無 來 無 齊 不 齊 故 曰 三世平等 華 嚴 知 
X60n1120_003:0422b17	諸世間悉平等。莫非心語一切業。眾生幻化無有實。	諸 世 間 悉 平 等 莫 非 心 語 一 切 業 眾 生 幻 化 無 有 實 
X60n1120_003:0422b18	所有果報從茲起。	所 有 果 報 從 茲 起 
X60n1120_003:0422b19	有異坐。當坐。不宜雜坐。	有 異 坐 當 坐 不 宜 雜 坐 
X60n1120_003:0422b20	【箋】世尊預知末世澆漓。輕毀佛法。故制此篇。以警後	 箋 世 尊 預 知 末 世 澆 漓 輕 毀 佛 法 故 制 此 篇 以 警 後 
X60n1120_003:0422b21	學。不得與俗人雜坐。講說世諦。	學 不 得 與 俗 人 雜 坐 講 說 世 諦 
X60n1120_003:0422b22	人問經。當知時。慎勿為非時之說。	人 問 經 當 知 時 慎 勿 為 非 時 之 說 
X60n1120_003:0422b23	【箋】如來觀機投教。五時說法。不出個知時。歷代祖師。	 箋 如 來 觀 機 投 教 五 時 說 法 不 出 個 知 時 歷 代 祖 師 
X60n1120_003:0422b24	鉗錘煅煉。亦不出個知時。故知知時默者。其聲如雷。	鉗 錘 煅 煉 亦 不 出 個 知 時 故 知 知 時 默 者 其 聲 如 雷 
X60n1120_003:0422c01	不知時說者。即波旬說。今諸方以諷刺。怒罵為說法。	不 知 時 說 者 即 波 旬 說 今 諸 方 以 諷 刺 怒 罵 為 說 法 
X60n1120_003:0422c02	是則固是。未免旁觀者哂。	是 則 固 是 未 免 旁 觀 者 哂 
X60n1120_003:0422c03	不得多笑。	不 得 多 笑 
X60n1120_003:0422c04	【箋】內則。男子入內。不笑不指。	 箋 內 則 男 子 入 內 不 笑 不 指 
X60n1120_003:0422c05	主人設食。雖非法會。亦勿失儀軌。	主 人 設 食 雖 非 法 會 亦 勿 失 儀 軌 
X60n1120_003:0422c06	【箋】道人到處。即法會。主人信心。即道場。所施既信。受	 箋 道 人 到 處 即 法 會 主 人 信 心 即 道 場 所 施 既 信 受 
X60n1120_003:0422c07	供宜誠。葢有不知慚愧。略無威儀。且不能增長其信	供 宜 誠 葢 有 不 知 慚 愧 略 無 威 儀 且 不 能 增 長 其 信 
X60n1120_003:0422c08	心。而反生其疑謗。故制。	心 而 反 生 其 疑 謗 故 制 
X60n1120_003:0422c09	無犯夜行。	無 犯 夜 行 
X60n1120_003:0422c10	【箋】道人青天白日。正大光明而行。猶遭人簡點。況犯	 箋 道 人 青 天 白 日 正 大 光 明 而 行 猶 遭 人 簡 點 況 犯 
X60n1120_003:0422c11	夜乎。即今王令稍嚴。不許夜行。投明須到。且道既不	夜 乎 即 今 王 令 稍 嚴 不 許 夜 行 投 明 須 到 且 道 既 不 
X60n1120_003:0422c12	許夜行。如何得投明即到。聞者寧不驚惕。	許 夜 行 如 何 得 投 明 即 到 聞 者 寧 不 驚 惕 
X60n1120_003:0422c13	不得空室內或屏處。與女人共坐共語。	不 得 空 室 內 或 屏 處 與 女 人 共 坐 共 語 
X60n1120_003:0422c14	【箋】增一經。莫與女人通。亦莫共言語。有能遠離者。則	 箋 增 一 經 莫 與 女 人 通 亦 莫 共 言 語 有 能 遠 離 者 則 
X60n1120_003:0422c15	離於八難。毗尼事義集要。迦留跎夷。與親友婦齋優	離 於 八 難 毗 尼 事 義 集 要 迦 留 跎 夷 與 親 友 婦 齋 優 
X60n1120_003:0422c16	婆夷。互相繫意。於乞食時至其家。共牀坐。說非法語。	婆 夷 互 相 繫 意 於 乞 食 時 至 其 家 共 牀 坐 說 非 法 語 
X60n1120_003:0422c17	毗舍佉母。聞聲闚見。白佛結戒。四分。若比丘。共女人	毗 舍 佉 母 聞 聲 闚 見 白 佛 結 戒 四 分 若 比 丘 共 女 人 
X60n1120_003:0422c18	獨在屏覆障處。可作淫處坐。說非法語。有住信優婆	獨 在 屏 覆 障 處 可 作 淫 處 坐 說 非 法 語 有 住 信 優 婆 
X60n1120_003:0422c19	夷。於三法中。一一說法。若波羅夷。若僧伽婆尸沙。若	夷 於 三 法 中 一 一 說 法 若 波 羅 夷 若 僧伽婆尸沙 若 
X60n1120_003:0422c20	波逸提。是坐比丘。自言我犯是罪。於三法中。應一一	波 逸 提 是 坐 比 丘 自 言 我 犯 是 罪 於 三 法 中 應 一 一 
X60n1120_003:0422c21	治。若波羅夷。若僧伽婆尸沙。若波逸提。如住信優婆	治 若 波 羅 夷 若 僧伽婆尸沙 若 波 逸 提 如 住 信 優 婆 
X60n1120_003:0422c22	夷所說。應如法治是比丘。是名不定法。燈錄。道林。隱	夷 所 說 應 如 法 治 是 比 丘 是 名 不 定 法 燈 錄 道 林 隱 
X60n1120_003:0422c23	居太白山。路絕登涉。木石濟形。絕無營慮。奉勅住興	居 太 白 山 路 絕 登 涉 木 石 濟 形 絕 無 營 慮 奉 勅 住 興 
X60n1120_003:0422c24	國。未幾。逃梁山。鑿窟而住。師不以女人染緣。不面為	國 未 幾 逃 梁 山 鑿 窟 而 住 師 不 以 女 人 染 緣 不 面 為 
X60n1120_003:0423a01	說法。不受食。不令至室。臨終所親。有問疾者。隔障潛	說 法 不 受 食 不 令 至 室 臨 終 所 親 有 問 疾 者 隔 障 潛 
X60n1120_003:0423a02	知。遽止之。不令面。	知 遽 止 之 不 令 面 
X60n1120_003:0423a03	不得書疏往來等(同前尼寺)。	不 得 書 疏 往 來 等 同 前 尼 寺 
X60n1120_003:0423a04	附　不得左右邪視。	附 不 得 左 右 邪 視 
X60n1120_003:0423a05	【箋】古云。欲知其人。視其眸子。凡眸子不正。其心不端。	 箋 古 云 欲 知 其 人 視 其 眸 子 凡 眸 子 不 正 其 心 不 端 
X60n1120_003:0423a06	不得雜話。	不 得 雜 話 
X60n1120_003:0423a07	【箋】雜話。剽竊流俗之言。如亂絲之絆荊棘。絕無頭緒。	 箋 雜 話 剽 竊 流 俗 之 言 如 亂 絲 之 絆 荊 棘 絕 無 頭 緒 
X60n1120_003:0423a08	若鴞鳥之呌荒丘。且多怪响。未有不怨聽者也。	若 鴞 鳥 之 呌 荒 丘 且 多 怪 响 未 有 不 怨 聽 者 也 
X60n1120_003:0423a09	若與女人語。不得低聲密語　不得多語。	若 與 女 人 語 不 得 低 聲 密 語 不 得 多 語 
X60n1120_003:0423a10	【箋】長阿含經。阿難白佛言。佛滅度後。諸女人輩來受	 箋 長 阿 含 經 阿 難 白 佛 言 佛 滅 度 後 諸 女 人 輩 來 受 
X60n1120_003:0423a11	誨者。當如之何。佛告阿難。莫與相見。阿難又白。設相	誨 者 當 如 之 何 佛 告 阿 難 莫 與 相 見 阿 難 又 白 設 相 
X60n1120_003:0423a12	見者。當如之何。佛言。莫與共語。阿難又白。設與語。當	見 者 當 如 之 何 佛 言 莫 與 共 語 阿 難 又 白 設 與 語 當 
X60n1120_003:0423a13	如之何。佛言。當自檢心。	如 之 何 佛 言 當 自 檢 心 
X60n1120_003:0423a14	不得詐現。威儀。假粧禪相。求彼恭敬。	不 得 詐 現 威 儀 假 粧 禪 相 求 彼 恭 敬 
X60n1120_003:0423a15	【箋】威儀貴本分。詐現非真實。禪相本無相。無相豈粧	 箋 威 儀 貴 本 分 詐 現 非 真 實 禪 相 本 無 相 無 相 豈 粧 
X60n1120_003:0423a16	得。縱使粧得成。難逃真鑑識。如猿學打坐。外像內心	得 縱 使 粧 得 成 難 逃 真 鑑 識 如 猿 學 打 坐 外 像 內 心 
X60n1120_003:0423a17	忒。微微境風生。嬉戲偷果食。瞻彼高尚人。澄定久深	忒 微 微 境 風 生 嬉 戲 偷 果 食 瞻 彼 高 尚 人 澄 定 久 深 
X60n1120_003:0423a18	默。又如在紅爐。精金無變色。	默 又 如 在 紅 爐 精 金 無 變 色 
X60n1120_003:0423a19	不得誑說佛法。亂答他問。求彼恭敬。	不 得 誑 說 佛 法 亂 答 他 問 求 彼 恭 敬 
X60n1120_003:0423a20	【箋】五燈。百丈上堂。有一老人隨眾聽法。一日眾退。惟	 箋 五 燈 百 丈 上 堂 有 一 老 人 隨 眾 聽 法 一 日 眾 退 惟 
X60n1120_003:0423a21	老人不去。師問。汝是何人。老人曰。某非人也。於過去	老 人 不 去 師 問 汝 是 何 人 老 人 曰 某 非 人 也 於 過 去 
X60n1120_003:0423a22	迦葉佛時。曾住此山。因學人問。大修行人。還落因果	迦 葉 佛 時 曾 住 此 山 因 學 人 問 大 修 行 人 還 落 因 果 
X60n1120_003:0423a23	也無。某對云。不落因果。遂五百生墮野狐身。今請和	也 無 某 對 云 不 落 因 果 遂 五 百 生 墮 野 狐 身 今 請 和 
X60n1120_003:0423a24	尚代一轉語。貴脫野狐身。師曰。汝問。老人曰。大修行	尚 代 一 轉 語 貴 脫 野 狐 身 師 曰 汝 問 老 人 曰 大 修 行 
X60n1120_003:0423b01	人。還落因果也無。師曰。不昧因果。老人於言下大悟。	人 還 落 因 果 也 無 師 曰 不 昧 因 果 老 人 於 言 下 大 悟 
X60n1120_003:0423b02	作禮曰。某已脫野狐身。住在山後。敢乞依亡僧例津	作 禮 曰 某 已 脫 野 狐 身 住 在 山 後 敢 乞 依 亡 僧 例 津 
X60n1120_003:0423b03	送。師令維那白椎告眾。食後送亡僧。大眾聚議。一眾	送 師 令 維 那 白 椎 告 眾 食 後 送 亡 僧 大 眾 聚 議 一 眾 
X60n1120_003:0423b04	皆安。涅槃堂又無病人。何故如此。食後師領眾至山	皆 安 涅 槃 堂 又 無 病 人 何 故 如 此 食 後 師 領 眾 至 山 
X60n1120_003:0423b05	後。巖下以杖挑出一死野狐。乃依法火葬。師至晚上	後 巖 下 以 杖 挑 出 一 死 野 狐 乃 依 法 火 葬 師 至 晚 上 
X60n1120_003:0423b06	堂。舉前因緣。黃檗便問。古人錯抵對一轉語。墮五百	堂 舉 前 因 緣 黃 檗 便 問 古 人 錯 抵 對 一 轉 語 墮 五 百 
X60n1120_003:0423b07	生野狐身。轉轉不錯。合作個甚麼。師曰。近前來。向汝	生 野 狐 身 轉 轉 不 錯 合 作 個 甚 麼 師 曰 近 前 來 向 汝 
X60n1120_003:0423b08	道。檗近前打師一掌。師笑曰。將謂胡鬚赤。更有赤鬚	道 檗 近 前 打 師 一 掌 師 笑 曰 將 謂 胡 鬚 赤 更 有 赤 鬚 
X60n1120_003:0423b09	胡。時溈山。在會下作典座。司馬頭陀舉野狐話問。典	胡 時 溈 山 在 會 下 作 典 座 司 馬 頭 陀 舉 野 狐 話 問 典 
X60n1120_003:0423b10	座作麼生。座撼門扇三下。司馬曰。太麤生。座曰。佛法	座 作 麼 生 座 撼 門 扇 三 下 司 馬 曰 太 麤 生 座 曰 佛 法 
X60n1120_003:0423b11	不是這個道理。◎玉磵林。頌北斗裏藏身。五祖戒罷	不 是 這 個 道 理 玉 磵 林 頌 北 斗 裏 藏 身 五 祖 戒 罷 
X60n1120_003:0423b12	參席。訪遊晤林。林詢頌意。舉目視之。戒曰。果如是。雲	參 席 訪 遊 晤 林 林 詢 頌 意 舉 目 視 之 戒 曰 果 如 是 雲 
X60n1120_003:0423b13	門一值一錢。公當失兩日。遂去。林竟如所言。戒晚年	門 一 值 一 錢 公 當 失 兩 日 遂 去 林 竟 如 所 言 戒 晚 年 
X60n1120_003:0423b14	亦損一目。今妄意先德之言。疑誤後生。林可為戒。	亦 損 一 目 今 妄 意 先 德 之 言 疑 誤 後 生 林 可 為 戒 
X60n1120_003:0423b15	不得送盒禮效白衣往還。	不 得 送 盒 禮 效 白 衣 往 還 
X60n1120_003:0423b16	【箋】四分律。送物與白衣家。謂之污他家。謂與者喜。不	 箋 四 分 律 送 物 與 白 衣 家 謂 之 污 他 家 謂 與 者 喜 不 
X60n1120_003:0423b17	與者怨。遂生誹謗。故制。	與 者 怨 遂 生 誹 謗 故 制 
X60n1120_003:0423b18	不得管人家務。	不 得 管 人 家 務 
X60n1120_003:0423b19	【箋】天性至親。忍心割愛。為求道故。當屏除一切世緣。	 箋 天 性 至 親 忍 心 割 愛 為 求 道 故 當 屏 除 一 切 世 緣 
X60n1120_003:0423b20	猛力參學。庶幾報恩有地。有輩無知。身雖出家。與俗	猛 力 參 學 庶 幾 報 恩 有 地 有 輩 無 知 身 雖 出 家 與 俗 
