T47n1966_001:0120a03	念佛鏡序	念 佛 鏡 序 
T47n1966_001:0126b04	菩薩總皆說法，聞是音已，皆自然生念佛、念	菩 薩 總 皆 說 法 聞 是 音 已 皆 自 然 生 念 佛 念 
T47n1966_001:0126b05	法、念僧之心，即是精進；由念佛故生彼國已，	法 念 僧 之 心 即 是 精 進 由 念 佛 故 生 彼 國 已 
T47n1966_001:0126b06	更無異緣，常住三昧故，即是禪定也；生彼國	更 無 異 緣 常 住 三 昧 故 即 是 禪 定 也 生 彼 國 
T47n1966_001:0126b07	已，自然解了一切諸法，即是智慧。故念佛一	已 自 然 解 了 一切諸法 即 是 智 慧 故 念 佛 一 
T47n1966_001:0126b08	法攝六度果報，過於財施百千萬倍。所以《涅	法 攝 六 度 果 報 過 於 財 施 百 千 萬 倍 所 以 涅 
T47n1966_001:0126b09	槃經》云：「念佛一口分作十六分功德，若有一	槃 經 云 念 佛 一 口 分 作 十 六 分 功 德 若 有 一 
T47n1966_001:0126b10	人布施一世界眾生經三月，只將念佛十六	人 布 施 一 世 界 眾 生 經 三 月 只 將 念 佛 十 六 
T47n1966_001:0126b11	分中一分功德，亦復勝彼。」故知念佛過於財	分 中 一 分 功 德 亦 復 勝 彼 故 知 念 佛 過 於 財 
T47n1966_001:0126b12	施百千萬倍。	施 百 千 萬 倍 
T47n1966_001:0126b13	念佛鏡本	念 佛 鏡 本 
T47n1966_002:0126b16	念佛鏡末	念 佛 鏡 末 
T47n1966_002:0126b18	第十、釋眾疑惑門	第 十 釋 眾 疑 惑 門 
T47n1966_002:0126b19	問：「諸有疑惑，請乞除斷。故《般若》云：『若以色見	問 諸 有 疑 惑 請 乞 除 斷 故 般 若 云 若 以 色 見 
T47n1966_002:0126b20	我，以音聲求我，是人行邪道，不能見如來。』者，	我 以 音 聲 求 我 是 人 行 邪 道 不 能 見 如 來 者 
T47n1966_002:0126b21	何以故，念阿彌陀佛往生淨土，得見如來？」答：	何 以 故 念 阿 彌 陀 佛 往 生 淨 土 得 見 如 來 答 
T47n1966_002:0126b22	「般若遮不見如來者，為所一相貌及以音聲	 般 若 遮 不 見 如 來 者 為 所 一 相 貌 及 以 音 聲 
T47n1966_002:0126b23	皆求人、我，不求往生及無上菩提故，只行邪	皆 求 人 我 不 求 往 生 及 無上菩提 故 只 行 邪 
T47n1966_002:0126b24	道不見如來。《觀經》、《阿彌陀經》等應當起想念	道 不 見 如 來 觀 經 阿 彌 陀 經 等 應 當 起 想 念 
T47n1966_002:0126b25	及專稱名號，不求人、我，唯求擬生淨土，速證	及 專 稱 名 號 不 求 人 我 唯 求 擬 生 淨 土 速 證 
T47n1966_002:0126b26	無上菩提，名正道，得見如來。若望法身，無相	無上菩提 名 正 道 得 見 如 來 若 望 法 身 無 相 
T47n1966_002:0126b27	為正，色相、音聲以得為邪，此對十地已上菩	為 正 色 相 音 聲 以 得 為 邪 此 對 十 地 已 上 菩 
T47n1966_002:0126b28	薩；《觀經》及《阿彌陀經》，觀一相好，及以聞名，見	薩 觀 經 及 阿 彌 陀 經 觀 一 相 好 及 以 聞 名 見 
T47n1966_002:0126b29	報身如來，此對凡夫、二乘諸小菩薩。若望報	報 身 如 來 此 對 凡 夫 二 乘 諸 小 菩 薩 若 望 報 
T47n1966_002:0126c01	身，觀佛稱名以將為正，無相為邪；若對法身，	身 觀 佛 稱 名 以 將 為 正 無 相 為 邪 若 對 法 身 
T47n1966_002:0126c02	所有即論無相。又復說《般若經》時，世尊先向	所 有 即 論 無 相 又 復 說 般 若 經 時 世 尊 先 向 
T47n1966_002:0126c03	忉利諸天，為母說法，當時世尊初從天來至	忉 利 諸 天 為 母 說 法 當 時 世 尊 初 從 天 來 至 
T47n1966_002:0126c04	閻浮提，須菩提憶念世尊，入定觀佛，遂在先	閻 浮 提 須 菩 提 憶 念 世 尊 入 定 觀 佛 遂 在 先 
T47n1966_002:0126c05	來。於時有一天女，不知所以，先見世尊，既見	來 於 時 有 一 天 女 不 知 所 以 先 見 世 尊 既 見 
T47n1966_002:0126c06	佛已，女即問佛言：『我最在先見佛不？』世尊言：	佛 已 女 即 問 佛 言 我 最 在 先 見 佛 不 世 尊 言 
T47n1966_002:0126c07	『汝在後見。』天女曰云：『我初來到，無一人來見	 汝 在 後 見 天 女 曰 云 我 初 來 到 無 一 人 來 見 
T47n1966_002:0126c08	佛者，何故在後？』世尊語言：『有須菩提，在先入	佛 者 何 故 在 後 世 尊 語 言 有 須 菩 提 在 先 入 
T47n1966_002:0126c09	定，除去人、我，觀見法身，在天女前，故在先見。』	定 除 去 人 我 觀 見 法 身 在 天 女 前 故 在 先 見 
T47n1966_002:0126c10	女為起人、我心，觀我色身故，在後見。世尊為	女 為 起 人 我 心 觀 我 色 身 故 在 後 見 世 尊 為 
T47n1966_002:0126c11	對彼天女故，說頌言：『若以色見我，以音聲求	對 彼 天 女 故 說 頌 言 若 以 色 見 我 以 音 聲 求 
T47n1966_002:0126c12	我，是人行邪道，不能見如來。』此頌即對外道	我 是 人 行 邪 道 不 能 見 如 來 此 頌 即 對 外 道 
T47n1966_002:0126c13	益當時，不忤未來世事，不同《觀經》。又復《般若》	益 當 時 不 忤 未來世事 不 同 觀 經 又 復 般 若 
T47n1966_002:0126c14	為遮外道計四大、五蘊是常，計色為我，計聲	為 遮 外 道 計 四 大 五 蘊 是 常 計 色 為 我 計 聲 
T47n1966_002:0126c15	為我，所以《般若經》遮彼外道，不見如來；今依	為 我 所 以 般 若 經 遮 彼 外 道 不 見 如 來 今 依 
T47n1966_002:0126c16	《觀經》等，說厭患門，願離生死，速生淨土，早證	 觀 經 等 說 厭 患 門 願 離 生 死 速 生 淨 土 早 證 
T47n1966_002:0126c17	菩提，不觀我相，遂見如來，不同般若。」問：	菩 提 不 觀 我 相 遂 見 如 來 不 同 般 若 問 
T47n1966_002:0126c18	「《往生論》云：『女人及根缺，二乘種不生。』《觀經》何	 往 生 論 云 女 人 及 根 缺 二 乘 種 不 生 觀 經 何 
T47n1966_002:0126c19	故說韋提希并五百侍女同得往生？中品三	故 說 韋 提 希 并 五 百 侍 女 同 得 往 生 中 品 三 
T47n1966_002:0126c20	人，二乘往生？」答：「准《往生論》說，女人、二乘，不往	人 二 乘 往 生 答 准 往 生 論 說 女 人 二 乘 不 往 
T47n1966_002:0126c21	生者，為無決定往生者性。女人唯愛女身，不	生 者 為 無 決 定 往 生 者 性 女 人 唯 愛 女 身 不 
T47n1966_002:0126c22	求淨土，不肯念佛，論遮不生；二乘、根缺亦復	求 淨 土 不 肯 念 佛 論 遮 不 生 二 乘 根 缺 亦 復 
T47n1966_002:0126c23	如是，唯住小果，不生淨土，不解念佛，所以不	如 是 唯 住 小 果 不 生 淨 土 不 解 念 佛 所 以 不 
T47n1966_002:0126c24	生。《觀經》及《阿彌陀經》等說往生者，二乘、根缺	生 觀 經 及 阿 彌 陀 經 等 說 往 生 者 二 乘 根 缺 
T47n1966_002:0126c25	及女人，迴心念佛，厭惡女身。」自此已下，名對	及 女 人 迴 心 念 佛 厭 惡 女 身 自 此 已 下 名 對 
T47n1966_002:0126c26	法論，更分為六：	法 論 更 分 為 六 
T47n1966_002:0126c27	　一、念佛對三階門　二、念佛對彌勒門	 一 念 佛 對 三 階 門 二 念 佛 對 彌 勒 門 
T47n1966_002:0126c28	　三、念佛對坐禪門　四、念佛對講說門	 三 念 佛 對 坐 禪 門 四 念 佛 對 講 說 門 
T47n1966_002:0126c29	　五、念佛對戒律門　六、念佛對六度門	 五 念 佛 對 戒 律 門 六 念 佛 對 六 度 門 
T47n1966_002:0127a01	一、念佛對三階門	一 念 佛 對 三 階 門 
T47n1966_002:0127a02	問：「三階法中，不坐僧床，不喫僧食。念佛法	問 三 階 法 中 不 坐 僧 床 不 喫 僧 食 念 佛 法 
T47n1966_002:0127a03	中，未知許喫僧食、坐僧床，及過齋已不？」答：「念	中 未 知 許 喫 僧 食 坐 僧 床 及 過 齋 已 不 答 念 
T47n1966_002:0127a04	佛法中，通許僧食及坐僧床并過齋。何以故？	佛 法 中 通 許 僧 食 及 坐 僧 床 并 過 齋 何 以 故 
T47n1966_002:0127a05	為念佛猶如國王，亦如王子，堪受國王祿抍，	為 念 佛 猶 如 國 王 亦 如 王 子 堪 受 國 王 祿 抍 
T47n1966_002:0127a06	堪受如來作廕；又佛猶如父母，念佛人猶如	堪 受 如 來 作 廕 又 佛 猶 如 父 母 念 佛 人 猶 如 
T47n1966_002:0127a07	男女，合得父母飯食、衣服、床榻、臥具，所以通	男 女 合 得 父 母 飯 食 衣 服 床 榻 臥 具 所 以 通 
T47n1966_002:0127a08	坐僧床及喫僧食并復過齋。難云：不坐僧	坐 僧 床 及 喫 僧 食 并 復 過 齋 難 云 不 坐 僧 
T47n1966_002:0127a09	床、不喫僧食，即是修道者，邊地下賤可應是	床 不 喫 僧 食 即 是 修 道 者 邊 地 下 賤 可 應 是 
T47n1966_002:0127a10	修道人。何以故？邊地下賤不坐僧床、不喫僧	修 道 人 何 以 故 邊 地 下 賤 不 坐 僧 床 不 喫 僧 
T47n1966_002:0127a11	食，彼邊地下賤既是非曰道，故此三階亦	食 彼 邊 地 下 賤 既 是 非 曰 道 故 此 三 階 亦 
T47n1966_002:0127a12	非修道。」問：「三階稱惡眾生，念佛是好眾生，	非 修 道 問 三 階 稱 惡 眾 生 念 佛 是 好 眾 生 
T47n1966_002:0127a13	為當亦是惡眾生彼？」答：「不是惡眾生。何以得	為 當 亦 是 惡 眾 生 彼 答 不 是 惡 眾 生 何 以 得 
T47n1966_002:0127a14	知？准一經云：『若念佛者，是人中芬陀利華。』此	知 准 一 經 云 若 念 佛 者 是 人 中 芬 陀 利 華 此 
T47n1966_002:0127a15	華者，諸華中極好；若念佛者，一切人中最好，	華 者 諸 華 中 極 好 若 念 佛 者 一 切 人 中 最 好 
T47n1966_002:0127a16	故以為喻。滅除諸罪故，是好眾生；三階為罪	故 以 為 喻 滅 除 諸 罪 故 是 好 眾 生 三 階 為 罪 
T47n1966_002:0127a17	不滅，所以是惡眾生。難云：罪惡眾生即是修	不 滅 所 以 是 惡 眾 生 難 云 罪 惡 眾 生 即 是 修 
T47n1966_002:0127a18	道者，疾患之人應是修道。何以故？是惡眾生	道 者 疾 患 之 人 應 是 修 道 何 以 故 是 惡 眾 生 
T47n1966_002:0127a19	故，彼等患人非是修道，此等三階亦非修道。」	故 彼 等 患 人 非 是 修 道 此 等 三 階 亦 非 修 道 
T47n1966_002:0127a20	問：「三階法不許入寺，念佛法許入寺已不？」	問 三 階 法 不 許 入 寺 念 佛 法 許 入 寺 已 不 
T47n1966_002:0127a21	答：「念佛法中，許住持寺觀。何以故？現在住持	答 念 佛 法 中 許 住 持 寺 觀 何 以 故 現 在 住 持 
T47n1966_002:0127a22	好處，當來擬生好國，擬證菩提，所以令住持	好 處 當 來 擬 生 好 國 擬 證 菩 提 所 以 令 住 持 
T47n1966_002:0127a23	寺，亦入伽藍寺舍好處。難曰：伽藍精舍好處，	寺 亦 入 伽 藍 寺 舍 好 處 難 曰 伽 藍 精 舍 好 處 
T47n1966_002:0127a24	下惡眾生不令住；無上殊勝妙果，下惡眾生不	下 惡 眾 生 不 令 住 無上殊勝 妙 果 下 惡 眾 生 不 
T47n1966_002:0127a25	可得。」問：「三階法中，見形像及以諸經，不多	可 得 問 三 階 法 中 見 形 像 及 以 諸 經 不 多 
T47n1966_002:0127a26	恭敬，為是泥龕；四生眾生是真佛故，所以恭	恭 敬 為 是 泥 龕 四 生 眾 生 是 真 佛 故 所 以 恭 
T47n1966_002:0127a27	敬。念佛法中，未知敬佛像及經已不？」答：「念佛	敬 念 佛 法 中 未 知 敬 佛 像 及 經 已 不 答 念 佛 
T47n1966_002:0127a28	法曰：『見佛形像及經，並遣恭敬。』何以故？准《報	法 曰 見 佛 形 像 及 經 並 遣 恭 敬 何 以 故 准 報 
T47n1966_002:0127a29	恩經》中所說：『釋迦牟尼佛向忉利天，為母摩	恩 經 中 所 說 釋 迦 牟 尼 佛 向 忉 利 天 為 母 摩 
T47n1966_002:0127b01	耶夫人說法，經九十日。優填大王憶念世尊，	耶 夫 人 說 法 經 九 十 日 優 填 大 王 憶 念 世 尊 
T47n1966_002:0127b02	不能得見，遂遣巧匠造世尊形像一軀，一倣	不 能 得 見 遂 遣 巧 匠 造 世 尊 形 像 一 軀 一 倣 
T47n1966_002:0127b03	世尊。世尊從天下來至閻浮提，其優填大王	世 尊 世 尊 從 天 下 來 至 閻 浮 提 其 優 填 大 王 
T47n1966_002:0127b04	與諸群臣遂去迎佛，其形像佛亦迎世尊。世	與 諸 群 臣 遂 去 迎 佛 其 形 像 佛 亦 迎 世 尊 世 
T47n1966_002:0127b05	尊共形像佛，一處並立，兩佛相似，遂將手摩	尊 共 形 像 佛 一 處 並 立 兩 佛 相 似 遂 將 手 摩 
T47n1966_002:0127b06	形像佛頂，語形像言：「我將不久入涅槃，留汝	形 像 佛 頂 語 形 像 言 我 將 不 久 入 涅 槃 留 汝 
T47n1966_002:0127b07	久住世間，教化眾生。」』世尊尚自敬佛形像，罪	久 住 世 間 教 化 眾 生 世 尊 尚 自 敬 佛 形 像 罪 
T47n1966_002:0127b08	惡眾生豈不敬耶？又准《十輪經》云：『獵師被袈	惡 眾 生 豈 不 敬 耶 又 准 十 輪 經 云 獵 師 被 袈 
T47n1966_002:0127b09	裟，象為起恭敬。敬袈裟功德，命終生忉利諸	裟 象 為 起 恭 敬 敬 袈 裟 功 德 命 終 生 忉 利 諸 
T47n1966_002:0127b10	天，九十一劫受諸快樂。』何以故？為相似故。諸	天 九 十 一 劫 受 諸 快 樂 何 以 故 為 相 似 故 諸 
T47n1966_002:0127b11	佛形像亦復如是，為相似故，恭敬之者感得	佛 形 像 亦復如是 為 相 似 故 恭 敬 之 者 感 得 
T47n1966_002:0127b12	尊貴榮華，生天淨土。所以《佛名經》中，有盧舍	尊 貴 榮 華 生 天 淨 土 所 以 佛 名 經 中 有 盧 舍 
T47n1966_002:0127b13	那佛敬形像佛。盧舍那佛尚自敬形像佛，何	那 佛 敬 形 像 佛 盧 舍 那 佛 尚 自 敬 形 像 佛 何 
T47n1966_002:0127b14	況凡夫豈不敬耶？又《華嚴經》云：『念佛三昧當	況 凡 夫 豈 不 敬 耶 又 華 嚴 經 云 念佛三昧 當 
T47n1966_002:0127b15	得見佛，命終之後生於佛前。』彼人臨命終時，	得 見 佛 命終之後 生 於 佛 前 彼 人 臨命終時 
T47n1966_002:0127b16	勸令念佛，為示尊像令瞻敬故，故知《華嚴經》	勸 令 念 佛 為 示 尊 像 令 瞻 敬 故 故 知 華 嚴 經 
T47n1966_002:0127b17	中有遣恭敬形像佛，云何三階難云：『一切形像	中 有 遣 恭 敬 形 像 佛 云 何 三 階 難 云 一 切 形 像 
T47n1966_002:0127b18	是埿龕，食來不合喫；一切牛驢是真佛，食來	是 埿 龕 食 來 不 合 喫 一 切 牛 驢 是 真 佛 食 來 
T47n1966_002:0127b19	即合喫。一切形像是埿龕，衣服供養不合著。』	即 合 喫 一 切 形 像 是 埿 龕 衣 服 供 養 不 合 著 
T47n1966_002:0127b20	一切眾生是真佛，昆虫上得衣，云何合著？一	一 切 眾 生 是 真 佛 昆 虫 上 得 衣 云 何 合 著 一 
T47n1966_002:0127b21	切眾生是真佛，不合損，一年之中損生無頭	切 眾 生 是 真 佛 不 合 損 一 年 之 中 損 生 無 頭 
T47n1966_002:0127b22	數，殺佛之罪如何除得？一切眾生是真佛，身	數 殺 佛 之 罪 如 何 除 得 一 切 眾 生 是 真 佛 身 
T47n1966_002:0127b23	合安置勝妙處，自身既在好房舍，佛在下惡	合 安 置 勝 妙 處 自 身 既 在 好 房 舍 佛 在 下 惡 
T47n1966_002:0127b24	處，豈成平等？」問曰：「三階念地藏菩薩功德	處 豈 成 平 等 問 曰 三 階 念 地 藏 菩 薩 功 德 
T47n1966_002:0127b25	多少，如念阿彌陀佛？」答曰：「念阿彌陀佛功德，	多 少 如 念 阿 彌 陀 佛 答 曰 念 阿 彌 陀 佛 功 德 
T47n1966_002:0127b26	多於念地藏菩薩百千萬倍。何以得知？准《觀	多 於 念 地 藏 菩 薩 百 千 萬 倍 何 以 得 知 准 觀 
T47n1966_002:0127b27	音經》，有一人供養六十二億恒河沙菩薩，乃	音 經 有 一 人 供 養 六 十 二 億 恒 河 沙 菩 薩 乃 
T47n1966_002:0127b28	至一時，不如禮拜供養觀世音菩薩。《十輪經》	至 一 時 不 如 禮拜供養 觀 世 音 菩 薩 十 輪 經 
T47n1966_002:0127b29	云：『一百劫念觀世音，不如一食頃念地藏菩	云 一 百 劫 念 觀 世 音 不 如 一 食 頃 念 地 藏 菩 
T47n1966_002:0127c01	薩。』《群疑論》曰：『一大劫念地藏菩薩，不如一	薩 群 疑 論 曰 一 大 劫 念 地 藏 菩 薩 不 如 一 
T47n1966_002:0127c02	聲念阿彌陀佛。』何以故？佛是法王，菩薩為法	聲 念 阿 彌 陀 佛 何 以 故 佛 是 法 王 菩 薩 為 法 
T47n1966_002:0127c03	臣，如王出時，臣必隨從，大能攝小。佛是覺滿	臣 如 王 出 時 臣 必 隨 從 大 能 攝 小 佛 是 覺 滿 
T47n1966_002:0127c04	果圓，超諸地位，所以積念者功德最多，過於	果 圓 超 諸 地 位 所 以 積 念 者 功 德 最 多 過 於 
T47n1966_002:0127c05	地藏百千萬倍。菩薩未屬佛地，果未圓滿，故	地 藏 百 千 萬 倍 菩 薩 未 屬 佛 地 果 未 圓 滿 故 
T47n1966_002:0127c06	功德最少。」問曰：「念佛是一乘，三階非是一	功 德 最 少 問 曰 念 佛 是 一 乘 三 階 非 是 一 
T47n1966_002:0127c07	乘。何以故？」「若是一階，容可是一乘；既言三	乘 何 以 故 若 是 一 階 容 可 是 一 乘 既 言 三 
T47n1966_002:0127c08	階，豈成一乘義？又准《法華經》云：『十方佛土中，	階 豈 成 一 乘 義 又 准 法 華 經 云 十 方 佛 土 中 
T47n1966_002:0127c09	唯有一乘法，無二亦無三，除佛方便說。』言無	唯 有 一 乘 法 無 二 亦 無 三 除 佛 方 便 說 言 無 
T47n1966_002:0127c10	二者，若望菩薩，即無緣覺；言無三者，若望緣	二 者 若 望 菩 薩 即 無 緣 覺 言 無 三 者 若 望 緣 
T47n1966_002:0127c11	覺，即無聲聞。又言無二者，若望佛說，即一乘，	覺 即 無 聲 聞 又 言 無 二 者 若 望 佛 說 即 一 乘 
T47n1966_002:0127c12	無聲聞、緣覺。何以故？二乘極果大乘初地，所	無 聲 聞 緣 覺 何 以 故 二 乘 極 果 大 乘 初 地 所 
T47n1966_002:0127c13	以言無二；言無三者，即無菩薩乘，為十地因	以 言 無 二 言 無 三 者 即 無 菩 薩 乘 為 十 地 因 
T47n1966_002:0127c14	果未極故，所以無三。准《法華經》中：『唯有一佛	果 未 極 故 所 以 無 三 准 法 華 經 中 唯 有 一 佛 
T47n1966_002:0127c15	乘，息處故說二，今為汝說實，汝所得非滅，為	乘 息 處 故 說 二 今 為 汝 說 實 汝 所 得 非 滅 為 
T47n1966_002:0127c16	佛一切智，當發大精進。』故知佛者，覺滿果圓，	佛 一 切 智 當 發大精進 故 知 佛 者 覺 滿 果 圓 
T47n1966_002:0127c17	超諸地位，是最上乘，稱究竟位，是名一乘，實	超 諸 地 位 是 最 上 乘 稱 究 竟 位 是 名 一 乘 實 
T47n1966_002:0127c18	非餘乘之所及也。故大行和上當在之日，亦	非 餘 乘 之 所 及 也 故 大 行 和 上 當 在 之 日 亦 
T47n1966_002:0127c19	有數箇三階，捨三階法，歸依和上念佛。」	有 數 箇 三 階 捨 三 階 法 歸 依 和 上 念 佛 
T47n1966_002:0127c20	第二、念佛對彌勒門	第 二 念 佛 對 彌 勒 門 
T47n1966_002:0127c21	問：「念阿彌陀佛功德，多少念於彌勒？」答：「念阿	問 念 阿 彌 陀 佛 功 德 多 少 念 於 彌 勒 答 念 阿 
T47n1966_002:0127c22	彌陀佛功德，多於念彌勒百千萬倍。何以得	彌 陀 佛 功 德 多 於 念 彌 勒 百 千 萬 倍 何 以 得 
T47n1966_002:0127c23	知？准經中說，阿彌陀佛現是覺圓果滿，超諸	知 准 經 中 說 阿 彌 陀 佛 現 是 覺 圓 果 滿 超 諸 
T47n1966_002:0127c24	地位，所稱念者功德最多；彌勒現是菩薩位	地 位 所 稱 念 者 功 德 最 多 彌 勒 現 是 菩 薩 位 
T47n1966_002:0127c25	中，未超諸地果未圓，故稱念之者功德狹	中 未 超 諸 地 果 未 圓 故 稱 念 之 者 功 德 狹 
T47n1966_002:0127c26	少。」問：「何故不念彌勒生兜率天？云何念阿	少 問 何 故 不 念 彌 勒 生 兜 率 天 云 何 念 阿 
T47n1966_002:0127c27	彌陀佛往生淨土？」答：「為兜率天不出三界，天	彌 陀 佛 往 生 淨 土 答 為 兜 率 天 不 出 三 界 天 
T47n1966_002:0127c28	報既盡，還墮閻浮提，所以不願生天；若往生	報 既 盡 還 墮 閻 浮 提 所 以 不 願 生 天 若 往 生 
T47n1966_002:0127c29	淨土，出過三界，直截五道，一生彼國，直至菩	淨 土 出 過 三 界 直 截 五 道 一 生 彼 國 直 至 菩 
T47n1966_002:0128a01	提，更不墮落，所以願生。又兜率天，少時受樂；	提 更 不 墮 落 所 以 願 生 又 兜 率 天 少 時 受 樂 
T47n1966_002:0128a02	彌陀佛國中，樂最勝，故名為極樂，長時受樂	彌 陀 佛 國 中 樂 最 勝 故 名 為 極 樂 長 時 受 樂 
T47n1966_002:0128a03	無有限期。以是因緣，勝於兜率百千萬倍。何	無 有 限 期 以是因緣 勝 於 兜 率 百 千 萬 倍 何 
T47n1966_002:0128a04	以得知？經中所說，一則、身相勝，彌陀佛國眾	以 得 知 經 中 所 說 一 則 身 相 勝 彌 陀 佛 國 眾 
T47n1966_002:0128a05	生生者，皆具三十二相；兜率天人則無此相。	生 生 者 皆 具 三十二相 兜 率 天 人 則 無 此 相 
T47n1966_002:0128a06	二則、徒眾勝，既生淨土，與諸菩薩共為伴侶，	二 則 徒 眾 勝 既 生 淨 土 與 諸 菩 薩 共 為 伴 侶 
T47n1966_002:0128a07	受男子身，無女人相；兜率天上男、女雜居，不	受 男 子 身 無 女 人 相 兜 率 天 上 男 女 雜 居 不 
T47n1966_002:0128a08	同菩薩。三則、壽命勝，兜率天上壽命四千歲，	同 菩 薩 三 則 壽 命 勝 兜 率 天 上 壽 命 四 千 歲 
T47n1966_002:0128a09	已還復却來，重墮閻浮提；彌陀佛國一去直至	已 還 復 却 來 重 墮 閻 浮 提 彌 陀 佛 國 一 去 直 至 
T47n1966_002:0128a10	佛果，更不再來。四則、神通勝，彌陀佛國菩薩	佛 果 更 不 再 來 四 則 神 通 勝 彌 陀 佛 國 菩 薩 
T47n1966_002:0128a11	總六神通；兜率天上人無神通。五則、果報勝，	總 六 神 通 兜 率 天 上 人 無 神 通 五 則 果 報 勝 
T47n1966_002:0128a12	彌陀佛國眾生，衣服、飲食、香、華、瓔珞一切供	彌 陀 佛 國 眾 生 衣 服 飲 食 香 華 瓔 珞 一 切 供 
T47n1966_002:0128a13	具，自然化成不須造作，長時受用無有窮盡；	具 自 然 化 成 不 須 造 作 長 時 受 用 無 有 窮 盡 
T47n1966_002:0128a14	兜率天上造作方成，縱有自然衣服，不得多	兜 率 天 上 造 作 方 成 縱 有 自 然 衣 服 不 得 多 
T47n1966_002:0128a15	時，四千歲已命欲終時，有五衰相：一則、頭上	時 四 千 歲 已 命 欲 終 時 有 五 衰 相 一 則 頭 上 
T47n1966_002:0128a16	華萎；二則、腋下汗出；三者、起坐不定；四者、氣	華 萎 二 則 腋 下 汗 出 三 者 起 坐 不 定 四 者 氣 
T47n1966_002:0128a17	力衰微，諸天免其眷屬；五者、多諸棹舉，不如	力 衰 微 諸 天 免 其 眷 屬 五 者 多 諸 棹 舉 不 如 
T47n1966_002:0128a18	極樂世界百千萬倍。」問：「當來彌勒下生之	極樂世界 百 千 萬 倍 問 當 來 彌 勒 下 生 之 
T47n1966_002:0128a19	時，三會說法，度諸眾生，得阿羅漢果。何以不	時 三 會 說 法 度 諸 眾 生 得阿羅漢 果 何 以 不 
T47n1966_002:0128a20	願求生？云何求生彌陀佛國？」答：「彌勒未下生	願 求 生 云 何 求 生 彌 陀 佛 國 答 彌 勒 未 下 生 
T47n1966_002:0128a21	來，不可待得。何以得知？經中所說，釋迦牟尼	來 不 可 待 得 何 以 得 知 經 中 所 說 釋 迦 牟 尼 
T47n1966_002:0128a22	佛入涅槃後，經五十六億七千萬歲，然始下	佛 入 涅 槃 後 經 五 十 六 億 七 千 萬 歲 然 始 下 
T47n1966_002:0128a23	生，人壽八萬四千歲時，彌勒乃出，准《法王本	生 人 壽 八萬四千 歲 時 彌 勒 乃 出 准 法 王 本 
T47n1966_002:0128a24	記》，釋迦涅槃已來，始有一千七百餘年，全未	記 釋 迦 涅 槃 已 來 始 有 一 千 七 百 餘 年 全 未 
T47n1966_002:0128a25	擬來，不可候待。眾生命短，恐沈苦海，多劫受	擬 來 不 可 候 待 眾 生 命 短 恐 沈 苦 海 多 劫 受 
T47n1966_002:0128a26	殃，不值彌勒。唯阿彌陀佛現在說法，住極樂	殃 不 值 彌 勒 唯 阿 彌 陀 佛 現 在 說 法 住 極 樂 
T47n1966_002:0128a27	世界，廣度眾生，歸依西方早證道果，勝於彌	世 界 廣 度 眾 生 歸 依 西 方 早 證 道 果 勝 於 彌 
T47n1966_002:0128a28	勒百千萬倍。設值彌勒三會，說法廣度諸人，	勒 百 千 萬 倍 設 值 彌 勒 三 會 說 法 廣 度 諸 人 
T47n1966_002:0128a29	得阿羅漢，小乘極果，若望大乘，始到初地，億	得阿羅漢 小 乘 極 果 若 望 大 乘 始 到 初 地 億 
T47n1966_002:0128b01	億眾生不逢彌勒佛。念阿彌陀佛求生淨土，	億 眾 生 不 逢 彌 勒 佛 念 阿 彌 陀 佛 求 生 淨 土 
T47n1966_002:0128b02	即是八地已上菩薩，疾則一念、十念，遲則一	即 是 八 地 已 上 菩 薩 疾 則 一 念 十 念 遲 則 一 
T47n1966_002:0128b03	日、七日，稱念阿彌陀佛即生淨土，實過彌勒	日 七 日 稱 念 阿 彌 陀 佛 即 生 淨 土 實 過 彌 勒 
T47n1966_002:0128b04	百千萬倍。又復本師說彌陀經之日，彌勒菩	百 千 萬 倍 又 復 本 師 說 彌 陀 經 之 日 彌 勒 菩 
T47n1966_002:0128b05	薩亦在會中，阿逸多菩薩是也。彌勒尚念阿	薩 亦 在 會 中 阿 逸 多 菩 薩 是 也 彌 勒 尚 念 阿 
T47n1966_002:0128b06	彌陀佛，何況未來諸眾生豈不念耶？大行和	彌 陀 佛 何 況 未 來 諸 眾 生 豈 不 念 耶 大 行 和 
T47n1966_002:0128b07	上在日，數箇彌勒業人，迴心念阿彌陀佛。又	上 在 日 數 箇 彌 勒 業 人 迴 心 念 阿 彌 陀 佛 又 
T47n1966_002:0128b08	念佛法，准佛經教，後末法時，諸法總滅，特此	念 佛 法 准 佛 經 教 後 末 法 時 諸 法 總 滅 特 此 
T47n1966_002:0128b09	念佛正法，止住百年，教化眾生。故知念佛不	念 佛 正 法 止 住 百 年 教 化 眾 生 故 知 念 佛 不 
T47n1966_002:0128b10	可思議。」	可 思 議 
T47n1966_002:0128b11	第三、念佛對坐禪門	第 三 念 佛 對 坐 禪 門 
T47n1966_002:0128b12	問：「念阿彌陀佛，何如坐禪看心，作無生觀？」	問 念 阿 彌 陀 佛 何 如 坐 禪 看 心 作 無 生 觀 
T47n1966_002:0128b13	答：「念阿彌陀佛往生淨土，速成佛果，勝於無	答 念 阿 彌 陀 佛 往 生 淨 土 速 成 佛 果 勝 於 無 
