T15n0625_001:0367b17	大樹緊那羅王所問經卷第一	大樹緊那羅王所問經 卷 第 一 
T15n0625_004:0385a18	光遍照於此三千大千世界，王舍大城祇闍	光 遍 照 於 此 三千大千世界 王 舍 大 城 祇 闍 
T15n0625_004:0385a19	崛山光照倍明。時王舍城阿闍世王及其夫	崛 山 光 照 倍 明 時 王 舍 城 阿 闍 世 王 及 其 夫 
T15n0625_004:0385a20	人、眷屬、兵眾，諸比丘、比丘尼、優婆塞、優婆	人 眷 屬 兵 眾 諸 比 丘 比 丘 尼 優 婆 塞 優 婆 
T15n0625_004:0385a21	斯、婆羅門居士，見光瑞已，持諸香花、末香、	斯 婆 羅 門 居 士 見 光 瑞 已 持 諸 香 花 末 香 
T15n0625_004:0385a22	塗香、幢幡、寶蓋及諸伎樂，出王舍城往迎如	塗 香 幢 幡 寶 蓋 及 諸 伎 樂 出 王 舍 城 往 迎 如 
T15n0625_004:0385a23	來。既出城已，詣祇闍崛山，遙聞緊那羅所	來 既 出 城 已 詣 祇 闍 崛 山 遙 聞 緊 那 羅 所 
T15n0625_004:0385a24	作樂音微妙歌聲，遍滿祇闍崛山之中。爾時	作 樂 音 微 妙 歌 聲 遍 滿 祇 闍 崛 山 之 中 爾 時 
T15n0625_004:0385a25	大樹緊那羅王以佛神力從於虛空下大寶	大 樹 緊 那 羅 王 以佛神力 從 於 虛 空 下 大 寶 
T15n0625_004:0385a26	車，安著祇闍崛山之中。爾時世尊從寶車下，	車 安 著 祇 闍 崛 山 之 中 爾 時 世 尊 從 寶 車 下 
T15n0625_004:0385a27	詣自住房敷座而坐。時諸菩薩、大聲聞眾亦	詣 自 住 房 敷 座 而 坐 時 諸 菩 薩 大 聲 聞 眾 亦 
T15n0625_004:0385a28	皆下車，禮如來足次第而坐。爾時阿闍世王	皆 下 車 禮 如 來 足 次 第 而 坐 爾 時 阿 闍 世 王 
T15n0625_004:0385a29	及夫人、婇女、內外眷屬，比丘、比丘尼、優婆塞、	及 夫 人 婇 女 內 外 眷 屬 比 丘 比 丘 尼 優 婆 塞 
T15n0625_004:0385b01	優婆斯、婆羅門居士，各以所持諸供養具供	優 婆 斯 婆 羅 門 居 士 各 以 所 持 諸 供 養 具 供 
T15n0625_004:0385b02	養如來，[跍*月]跪合掌問訊：「世尊！將無疲耶？安	養 如 來 [跍月] 跪 合 掌 問 訊 世 尊 將 無 疲 耶 安 
T15n0625_004:0385b03	善遊耶？」問訊已畢却坐一面。爾時天冠菩薩	善 遊 耶 問 訊 已 畢 却 坐 一 面 爾 時 天 冠 菩 薩 
T15n0625_004:0385b04	白言：「世尊！是大樹緊那羅王及緊那羅眾，	白 言 世 尊 是 大 樹 緊 那 羅 王 及 緊 那 羅 眾 
T15n0625_004:0385b05	牽如來車乘空來此得幾所福？」佛言：「善男子！	牽 如 來 車 乘 空 來 此 得 幾 所 福 佛 言 善 男 子 
T15n0625_004:0385b06	是大樹緊那羅王及餘眷屬發道心者，從今	是 大 樹 緊 那 羅 王 及 餘 眷 屬 發 道 心 者 從 今 
T15n0625_004:0385b07	已往當得五通，乃至成佛。從一佛土至一佛	已 往 當 得 五 通 乃至成佛 從 一 佛 土 至 一 佛 
T15n0625_004:0385b08	土，不離見佛、聞法、供僧，世世所生常識宿命，	土 不 離 見 佛 聞 法 供 僧 世 世 所 生 常 識 宿 命 
T15n0625_004:0385b09	得善好辯音聲美妙，亦不捨離教化眾生，世	得 善 好 辯 音 聲 美 妙 亦 不 捨 離 教 化 眾 生 世 
T15n0625_004:0385b10	世所生勤護正法勤化眾生。」爾時阿闍世王	世 所 生 勤 護 正 法 勤 化 眾 生 爾 時 阿 闍 世 王 
T15n0625_004:0385b11	語大樹緊那羅王：「緊那羅王！快得善利，如來	語 大 樹 緊 那 羅 王 緊 那 羅 王 快 得 善 利 如 來 
T15n0625_004:0385b12	今者歎汝功德。緊那羅王！汝之功德我亦冀	今 者 歎 汝 功 德 緊 那 羅 王 汝 之 功 德 我 亦 冀 
T15n0625_004:0385b13	望同有少分？」時大樹緊那羅王語阿闍世王：	望 同 有 少 分 時 大 樹 緊 那 羅 王 語 阿 闍 世 王 
T15n0625_004:0385b14	「大王當知，我所有功德，悉施於汝及諸眾生。	 大 王 當 知 我 所 有 功 德 悉 施 於 汝 及 諸 眾 生 
T15n0625_004:0385b15	何以故？大王！菩薩所有諸功德事，悉與一切	何 以 故 大 王 菩 薩 所 有 諸 功 德 事 悉 與 一 切 
T15n0625_004:0385b16	眾生共之。何以故？大王！菩薩之法無所慳悋，	眾 生 共 之 何 以 故 大 王 菩 薩 之 法 無 所 慳 悋 
T15n0625_004:0385b17	所有功德悉施眾生，其心喜悅無熱無惱。	所 有 功 德 悉 施 眾 生 其 心 喜 悅 無 熱 無 惱 
T15n0625_004:0385b18	大王當知，菩薩以此功德迴向於一切智，亦	大 王 當 知 菩 薩 以 此 功 德 迴 向 於 一 切 智 亦 
T15n0625_004:0385b19	為育養一切眾生。何以故？大王！菩薩護念	為 育 養 一 切 眾 生 何 以 故 大 王 菩 薩 護 念 
T15n0625_004:0385b20	諸眾生故，修行菩提為眾生依。大王！汝今亦	諸 眾 生 故 修 行 菩 提 為 眾 生 依 大 王 汝 今 亦 
T15n0625_004:0385b21	得獲大善利，得佛世尊、文殊師利為善知識，	得 獲 大 善 利 得 佛 世 尊 文 殊 師 利 為 善 知 識 
T15n0625_004:0385b22	親近聽聞，不實無明、黑闇翳障、逆罪疑心、熱	親 近 聽 聞 不 實 無 明 黑 闇 翳 障 逆 罪 疑 心 熱 
T15n0625_004:0385b23	惱除滅，得大法明；得法明故，無有惱熱安	惱 除 滅 得 大 法 明 得 法 明 故 無 有 惱 熱 安 
T15n0625_004:0385b24	隱而住。是故大王！當自剋厲成作法器，若聞	隱 而 住 是 故 大 王 當 自 剋 厲 成 作 法 器 若 聞 
T15n0625_004:0385b25	於法乃至一句，不忘不失名護正法。」爾時天	於 法 乃 至 一 句 不 忘 不 失 名 護 正 法 爾 時 天 
T15n0625_004:0385b26	冠菩薩白佛言：「世尊！菩薩成就幾法能為法	冠 菩 薩 白 佛 言 世 尊 菩 薩 成 就 幾 法 能 為 法 
T15n0625_004:0385b27	器？」是時佛告天冠菩薩：「善男子！菩薩法器有	器 是 時 佛 告 天 冠 菩 薩 善 男 子 菩 薩 法 器 有 
T15n0625_004:0385b28	三十二。何等三十二？佛所護持是菩提心器。	三 十 二 何 等 三 十 二 佛 所 護 持 是 菩 提 心 器 
T15n0625_004:0385b29	專心質直是無偽器。增長志意是善根器。	專 心 質 直 是 無 偽 器 增 長 志 意 是 善 根 器 
T15n0625_004:0385c01	修行於道是菩提柱器。正意思念是多聞	修 行 於 道 是 菩 提 柱 器 正 意 思 念 是 多 聞 
T15n0625_004:0385c02	器。慧是出道器。進是集義器。施是大富器。戒	器 慧 是 出 道 器 進 是 集 義 器 施 是 大 富 器 戒 
T15n0625_004:0385c03	是滿願器。忍是三十二丈夫相器。進是一切	是 滿 願 器 忍 是 三 十 二 丈 夫 相 器 進 是 一 切 
T15n0625_004:0385c04	佛法之器。禪是練心器。慧是度障器。大慈是	佛 法 之 器 禪 是 練 心 器 慧 是 度 障 器 大 慈 是 
T15n0625_004:0385c05	等諸眾生器；大悲是救拔貧窮器；大喜是喜	等 諸 眾 生 器 大 悲 是 救 拔 貧 窮 器 大 喜 是 喜 
T15n0625_004:0385c06	樂佛法器；大捨是捨離愛恚器。善知識是諸	樂 佛 法 器 大 捨 是 捨 離 愛 恚 器 善 知 識 是 諸 
T15n0625_004:0385c07	善根器。修進多聞是般若波羅蜜器。出家是	善 根 器 修 進 多 聞 是 般 若 波 羅 蜜 器 出 家 是 
T15n0625_004:0385c08	離縛礙之器。阿練兒處是少事務無惱亂器。	離 縛 礙 之 器 阿 練 兒 處 是 少 事 務 無 惱 亂 器 
T15n0625_004:0385c09	樂於寂靜是諸禪定神通之器。四攝法是化眾	樂 於 寂 靜 是 諸 禪 定 神 通 之 器 四 攝 法 是 化 眾 
T15n0625_004:0385c10	生器。護持諸法是照明器。陀羅尼是聞於一	生 器 護 持 諸 法 是 照 明 器 陀 羅 尼 是 聞 於 一 
T15n0625_004:0385c11	切未聞法器。辯才是斷一切疑器。念佛是得	切 未 聞 法 器 辯 才 是 斷 一 切 疑 器 念 佛 是 得 
T15n0625_004:0385c12	見諸佛器。無惱害心是護一切善根之器。空	見 諸 佛 器 無 惱 害 心 是 護 一 切 善 根 之 器 空 
T15n0625_004:0385c13	法是斷我見之器。因緣是捨諸所珍器。無生	法 是 斷 我 見 之 器 因 緣 是 捨 諸 所 珍 器 無 生 
T15n0625_004:0385c14	法忍是捨諸障礙授記器。緣不退地是無畏	法 忍 是 捨 諸 障 礙 授 記 器 緣 不 退 地 是 無 畏 
T15n0625_004:0385c15	器。善男子！是為菩薩三十二法器。」說是法時，	器 善 男 子 是 為 菩 薩 三 十 二 法 器 說 是 法 時 
T15n0625_004:0385c16	十千眾生發阿耨多羅三藐三菩提心，而作	十 千 眾 生 發 阿耨多羅三藐三菩提 心 而 作 
T15n0625_004:0385c17	是言：「世尊！願使眾生得是法器，亦令我等成	是 言 世 尊 願 使 眾 生 得 是 法 器 亦 令 我 等 成 
T15n0625_004:0385c18	此法器，如佛所說。」爾時世尊告大樹緊那羅	此 法 器 如 佛 所 說 爾 時 世 尊 告 大 樹 緊 那 羅 
T15n0625_004:0385c19	王：「善男子！汝還所止，汝諸眷屬或能憂悒？」	王 善 男 子 汝 還 所 止 汝 諸 眷 屬 或 能 憂 悒 
T15n0625_004:0385c20	緊那羅王白言：「世尊！若其菩薩有憂悒者，是	緊 那 羅 王 白 言 世 尊 若 其 菩 薩 有 憂 悒 者 是 
T15n0625_004:0385c21	則不名為菩薩也。何以故？世尊！能忍憂悒是	則 不 名 為 菩 薩 也 何 以 故 世 尊 能 忍 憂 悒 是 
T15n0625_004:0385c22	名菩薩。世尊！云何菩薩有於憂悒？云何菩薩	名 菩 薩 世 尊 云 何 菩 薩 有 於 憂 悒 云 何 菩 薩 
T15n0625_004:0385c23	無有憂悒？」佛告緊那羅王：「菩薩成就四法，則	無 有 憂 悒 佛 告 緊 那 羅 王 菩 薩 成 就 四 法 則 
T15n0625_004:0385c24	有憂悒應當覺知。何等四？聞有無量無邊眾	有 憂 悒 應 當 覺 知 何 等 四 聞 有 無量無邊 眾 
T15n0625_004:0385c25	生心生驚畏。聞受無量無邊生死心生驚畏。	生 心 生 驚 畏 聞 受 無量無邊 生 死 心 生 驚 畏 
T15n0625_004:0385c26	聞佛如來無量智慧心生驚畏。聞集無量福	聞 佛 如 來 無 量 智 慧 心 生 驚 畏 聞 集 無 量 福 
T15n0625_004:0385c27	德莊嚴滿足相好心生驚畏。緊那羅王！菩薩	德 莊 嚴 滿 足 相 好 心 生 驚 畏 緊 那 羅 王 菩 薩 
T15n0625_004:0385c28	成就是四法者則生憂悒。「緊那羅王！菩薩成	成 就 是 四 法 者 則 生 憂 悒 緊 那 羅 王 菩 薩 成 
T15n0625_004:0385c29	就四法心無憂悒，應當覺知。何等四？聞有無	就 四 法 心 無 憂 悒 應 當 覺 知 何 等 四 聞 有 無 
T15n0625_004:0386a01	量無邊眾生，我當安置於涅槃道而無憂悒。	量 無 邊 眾 生 我 當 安 置 於 涅 槃 道 而 無 憂 悒 
T15n0625_004:0386a02	聞無量生死而不驚畏，修諸善根心無憂悒。	聞 無 量 生 死 而 不 驚 畏 修 諸 善 根 心 無 憂 悒 
T15n0625_004:0386a03	聞佛如來無量智已，我當成滿如是大智而	聞 佛 如 來 無 量 智 已 我 當 成 滿 如 是 大 智 而 
T15n0625_004:0386a04	無憂悒。聞集無量福德莊嚴成滿相好而無	無 憂 悒 聞 集 無量福德 莊 嚴 成 滿 相 好 而 無 
T15n0625_004:0386a05	憂悒。是為四。「緊那羅王！菩薩復成就四法	憂 悒 是 為 四 緊 那 羅 王 菩 薩 復 成 就 四 法 
T15n0625_004:0386a06	有於憂悒應當覺知。何等四？時時欲證於聲	有 於 憂 悒 應 當 覺 知 何 等 四 時 時 欲 證 於 聲 
T15n0625_004:0386a07	聞乘，時時欲證於緣覺乘。法欲滅時捨不護	聞 乘 時 時 欲 證 於 緣 覺 乘 法 欲 滅 時 捨 不 護 
T15n0625_004:0386a08	持，不勸他人令住菩提。是為四。「緊那羅王！菩	持 不 勸 他 人 令 住 菩 提 是 為 四 緊 那 羅 王 菩 
T15n0625_004:0386a09	薩復成四法無有憂悒，應當覺知。何等四？	薩 復 成 四 法 無 有 憂 悒 應 當 覺 知 何 等 四 
T15n0625_004:0386a10	有逼切苦不捨菩提心。不生聲聞、緣覺心。寧	有 逼 切 苦 不 捨 菩 提 心 不 生 聲 聞 緣 覺 心 寧 
T15n0625_004:0386a11	捨身命不捨正法。乃至百由旬外勸人令發	捨 身 命 不 捨 正 法 乃 至 百 由 旬 外 勸 人 令 發 
T15n0625_004:0386a12	菩提之心。是為四。「緊那羅王！菩薩復成就	菩提之心 是 為 四 緊 那 羅 王 菩 薩 復 成 就 
T15n0625_004:0386a13	四法則有憂悒，應當覺知。何等四？見來乞者	四 法 則 有 憂 悒 應 當 覺 知 何 等 四 見 來 乞 者 
T15n0625_004:0386a14	生瞋呵咥。自樂安臥。不修多聞。若已聞法不	生 瞋 呵 咥 自 樂 安 臥 不 修 多 聞 若 已 聞 法 不 
T15n0625_004:0386a15	為眾說。是為四。「緊那羅王！菩薩復成四法無	為 眾 說 是 為 四 緊 那 羅 王 菩 薩 復 成 四 法 無 
T15n0625_004:0386a16	有憂悒，應當覺知。何等四？見乞者已生善知	有 憂 悒 應 當 覺 知 何 等 四 見 乞 者 已 生 善 知 
T15n0625_004:0386a17	識想無侵害心。不樂自樂常欲樂人。修集多	識 想 無 侵 害 心 不 樂 自 樂 常 欲 樂 人 修 集 多 
T15n0625_004:0386a18	聞無有厭足。所聞持法於大眾中廣為人說	聞 無有厭足 所 聞 持 法 於 大 眾 中 廣 為 人 說 
T15n0625_004:0386a19	不期利養。是為四。「緊那羅王！菩薩復成四	不 期 利 養 是 為 四 緊 那 羅 王 菩 薩 復 成 四 
T15n0625_004:0386a20	法則有憂悒。應當覺知。何等四？不集波羅蜜	法 則 有 憂 悒 應 當 覺 知 何 等 四 不 集 波 羅 蜜 
T15n0625_004:0386a21	道。不修攝法。不勤精進教化眾生。於少功德	道 不 修 攝 法 不 勤 精 進 教 化 眾 生 於 少 功 德 
T15n0625_004:0386a22	自生知足，不修菩薩無量功德。是為四。「緊那	自 生 知 足 不 修 菩 薩 無量功德 是 為 四 緊 那 
T15n0625_004:0386a23	羅王！菩薩復成四法則無憂悒，應當覺知。	羅 王 菩 薩 復 成 四 法 則 無 憂 悒 應 當 覺 知 
T15n0625_004:0386a24	何等四？常勤精進修諸波羅蜜如救頭然。常	何 等 四 常 勤 精 進 修 諸波羅蜜 如 救 頭 然 常 
T15n0625_004:0386a25	勤精進集四攝法。常勤精進教化眾生。精進	勤 精 進 集 四 攝 法 常 勤 精 進 教 化 眾 生 精 進 
T15n0625_004:0386a26	勤修滿諸功德，修集菩薩無量功德。是為四。」	勤 修 滿 諸 功 德 修 集 菩 薩 無量功德 是 為 四 
T15n0625_004:0386a27	爾時世尊說是四法已，遣大樹緊那羅王	爾 時 世 尊 說 是 四 法 已 遣 大 樹 緊 那 羅 王 
T15n0625_004:0386a28	告阿闍世王：「大王！汝今聞說菩薩如是四句	告 阿 闍 世 王 大 王 汝 今 聞 說 菩 薩 如 是 四 句 
T15n0625_004:0386a29	無憂法不？」阿闍世王即白佛言：「聞已。世尊！」「是	無 憂 法 不 阿 闍 世 王 即 白 佛 言 聞 已 世 尊 是 
T15n0625_004:0386b01	故大王！若諸菩薩行菩提者，不應憂悒。」阿闍	故 大 王 若 諸 菩 薩 行 菩 提 者 不 應 憂 悒 阿 闍 
T15n0625_004:0386b02	世王白言：「世尊！云何菩薩修菩提行？」爾時世	世 王 白 言 世 尊 云 何 菩 薩 修 菩 提 行 爾 時 世 
T15n0625_004:0386b03	尊為欲成滿緊那羅、乾闥婆、摩睺羅伽等	尊 為 欲 成 滿 緊 那 羅 乾 闥 婆 摩睺羅伽 等 
T15n0625_004:0386b04	諸樂音中所出法音，又欲報答阿闍世王所	諸 樂 音 中 所 出 法 音 又 欲 報 答 阿 闍 世 王 所 
T15n0625_004:0386b05	問菩薩修菩提行，而說偈頌以顯其義：	問 菩 薩 修 菩 提 行 而 說 偈 頌 以 顯 其 義 
T15n0625_004:0386b06	「若欲修行利益行，　　聞於法已如說行；	 若 欲 修 行 利 益 行 聞 於 法 已 如 說 行 
T15n0625_004:0386b07	　修行菩提最勝行，　　行彼修時無憂悒。	 修 行 菩 提 最 勝 行 行 彼 修 時 無 憂 悒 
T15n0625_004:0386b08	　修安樂行為眾生，　　諸眾生中等行慈；	 修 安 樂 行 為 眾 生 諸 眾 生 中 等 行 慈 
T15n0625_004:0386b09	　修行菩提最勝行，　　彼無若干雜種行。	 修 行 菩 提 最 勝 行 彼 無 若 干 雜 種 行 
T15n0625_004:0386b10	　為諸眾生修堅行，　　志意清淨修行者；	 為 諸 眾 生 修 堅 行 志 意 清 淨 修 行 者 
T15n0625_004:0386b11	　修行菩提最勝行，　　彼行終不墮惡道。	 修 行 菩 提 最 勝 行 彼 行 終 不墮惡道 
T15n0625_004:0386b12	　修於布施放捨行，　　行於一切悉捨行；	 修 於 布 施 放 捨 行 行 於 一 切 悉 捨 行 
T15n0625_004:0386b13	　修行菩提最勝行，　　彼人無有慳悋行。	 修 行 菩 提 最 勝 行 彼 人 無 有 慳 悋 行 
T15n0625_004:0386b14	　修行淨戒寂靜行，　　身口清淨無垢行；	 修 行 淨 戒 寂 靜 行 身 口 清 淨 無 垢 行 
T15n0625_004:0386b15	　修行菩提最勝行，　　彼終無有毀梵行。	 修 行 菩 提 最 勝 行 彼 終 無 有 毀 梵 行 
T15n0625_004:0386b16	　修行忍辱利益行，　　離於瞋恚過咎行；	 修 行 忍 辱 利 益 行 離 於 瞋 恚 過 咎 行 
T15n0625_004:0386b17	　修行菩提最勝行，　　彼無瞋恚毒過行。	 修 行 菩 提 最 勝 行 彼 無 瞋 恚 毒 過 行 
T15n0625_004:0386b18	　修行精進力柱行，　　於生死中無厭行；	 修 行 精 進 力 柱 行 於 生 死 中 無 厭 行 
T15n0625_004:0386b19	　修行菩提最勝行，　　彼終無有懈怠行。	 修 行 菩 提 最 勝 行 彼 終 無 有 懈 怠 行 
T15n0625_004:0386b20	　修於禪定三昧行，　　身心獨寂無閙行；	 修 於 禪 定 三 昧 行 身 心 獨 寂 無 閙 行 
T15n0625_004:0386b21	　修行菩提最勝行，　　彼終無有憒閙行。	 修 行 菩 提 最 勝 行 彼 終 無 有 憒 閙 行 
T15n0625_004:0386b22	　修行智慧菩提行，　　一切法行亦如是！	 修 行 智 慧 菩 提 行 一 切 法 行 亦 如 是 
T15n0625_004:0386b23	　修行菩提最勝行，　　彼終無有不知行。	 修 行 菩 提 最 勝 行 彼 終 無 有 不 知 行 
T15n0625_004:0386b24	　修行慈心利益行，　　於諸眾生勝悲行；	 修 行 慈 心 利 益 行 於 諸 眾 生 勝 悲 行 
T15n0625_004:0386b25	　修行菩提最勝行，　　彼終無有害他行。	 修 行 菩 提 最 勝 行 彼 終 無 有 害 他 行 
T15n0625_004:0386b26	　修行空行寂靜行，　　無相、無願清淨行；	 修 行 空 行 寂 靜 行 無 相 無 願 清 淨 行 
T15n0625_004:0386b27	　修行菩提最勝行，　　彼終無有所願行。	 修 行 菩 提 最 勝 行 彼 終 無 有 所 願 行 
T15n0625_004:0386b28	　修行真行實諦行，　　滿一切智具足行；	 修 行 真 行 實 諦 行 滿 一 切 智 具 足 行 
T15n0625_004:0386b29	　修行菩提最勝行，　　彼終無有障礙行。	 修 行 菩 提 最 勝 行 彼 終 無有障礙 行 
T15n0625_004:0386c01	　修行信行歡喜行，　　善念思惟無亂行；	 修 行 信 行 歡 喜 行 善 念 思 惟 無 亂 行 
T15n0625_004:0386c02	　修行菩提最勝行，　　彼終無有不信行。	 修 行 菩 提 最 勝 行 彼 終 無 有 不 信 行 
T15n0625_004:0386c03	　修行禪定解脫行，　　獲得五通之妙行；	 修 行 禪 定 解 脫 行 獲 得 五 通 之 妙 行 
T15n0625_004:0386c04	　修行菩提最勝行，　　彼終無有罣礙行。	 修 行 菩 提 最 勝 行 彼 終 無 有 罣 礙 行 
T15n0625_004:0386c05	　修於佛行及法行，　　供給僧寶清淨行；	 修 於 佛 行 及 法 行 供 給 僧 寶 清 淨 行 
T15n0625_004:0386c06	　修行菩提最勝行，　　彼有最上勝實行。	 修 行 菩 提 最 勝 行 彼 有 最 上 勝 實 行 
T15n0625_004:0386c07	　修於法行及空行，　　教化一切眾生行；	 修 於 法 行 及 空 行 教 化 一 切 眾 生 行 
T15n0625_004:0386c08	　修行菩提最勝行，　　彼終無有止住行。	 修 行 菩 提 最 勝 行 彼 終 無 有 止 住 行 
T15n0625_004:0386c09	　修於因行果報行，　　斷於一切有邊行；	 修 於 因 行 果 報 行 斷 於 一 切 有 邊 行 
T15n0625_004:0386c10	　修行菩提最勝行，　　彼終無有染著行。	 修 行 菩 提 最 勝 行 彼 終 無 有 染 著 行 
T15n0625_004:0386c11	　修行淨行無垢行，　　解脫一切結使行；	 修 行 淨 行 無 垢 行 解 脫 一 切 結 使 行 
T15n0625_004:0386c12	　修行菩提最勝行，　　彼終無有惱熱行。	 修 行 菩 提 最 勝 行 彼 終 無 有 惱 熱 行 
T15n0625_004:0386c13	　修於安隱解脫行，　　施諸眾生無畏行；	 修 於 安 隱 解 脫 行 施 諸 眾 生 無 畏 行 
T15n0625_004:0386c14	　修於菩提最勝行，　　彼有一切滿願行。	 修 於 菩 提 最 勝 行 彼 有 一 切 滿 願 行 
T15n0625_004:0386c15	　修於日行及月行，　　猶如蓮花無污行；	 修 於 日 行 及 月 行 猶 如 蓮 花 無 污 行 
T15n0625_004:0386c16	　修行菩提最勝行，　　彼為人天所敬禮。	 修 行 菩 提 最 勝 行 彼 為 人 天 所 敬 禮 
T15n0625_004:0386c17	　修行釋行、梵王行，　　為滿白法之妙行；	 修 行 釋 行 梵 王 行 為 滿 白 法 之 妙 行 
T15n0625_004:0386c18	　修行菩提最勝行，　　彼令魔軍怖畏行。	 修 行 菩 提 最 勝 行 彼 令 魔 軍 怖 畏 行 
T15n0625_004:0386c19	　修行上行及勝行，　　斷於貪欲瞋恚行；	 修 行 上 行 及 勝 行 斷 於 貪欲瞋恚 行 
T15n0625_004:0386c20	　修行菩提最勝行，　　彼終無有瞋癡行。	 修 行 菩 提 最 勝 行 彼 終 無 有 瞋 癡 行 
T15n0625_004:0386c21	　修行外道禁戒行，　　慧眼清淨之妙行；	 修 行 外 道 禁 戒 行 慧 眼 清 淨 之 妙 行 
T15n0625_004:0386c22	　修行菩提最勝行，　　彼終無有妄想行。	 修 行 菩 提 最 勝 行 彼 終 無 有 妄 想 行 
T15n0625_004:0386c23	　修於調伏寂靜行，　　無有名色狂亂行；	 修 於 調 伏 寂 靜 行 無 有 名 色 狂 亂 行 
T15n0625_004:0386c24	　修行菩提最勝行，　　彼為人天所敬禮。	 修 行 菩 提 最 勝 行 彼 為 人 天 所 敬 禮 
T15n0625_004:0386c25	　修於易行利益行，　　斷於左道勝妙行；	 修 於 易 行 利 益 行 斷 於 左 道 勝 妙 行 
T15n0625_004:0386c26	　修行菩提最勝行，　　彼人常有智慧利。	 修 行 菩 提 最 勝 行 彼 人 常 有 智 慧 利 
T15n0625_004:0386c27	　修行健行勤進行，　　能怖魔軍勇猛行；	 修 行 健 行 勤 進 行 能 怖 魔 軍 勇 猛 行 
T15n0625_004:0386c28	　修行菩提最勝行，　　彼人道場無不知。	 修 行 菩 提 最 勝 行 彼 人 道 場 無 不 知 
T15n0625_004:0386c29	　修顯露行無屏行，　　得於陀羅尼妙行；	 修 顯 露 行 無 屏 行 得 於 陀 羅 尼 妙 行 
T15n0625_004:0387a01	　修行菩提最勝行，　　彼人不失果報行。	 修 行 菩 提 最 勝 行 彼 人 不 失 果 報 行 
T15n0625_004:0387a02	　修於王行寂靜行，　　常一切時出家行；	 修 於 王 行 寂 靜 行 常 一 切 時 出 家 行 
T15n0625_004:0387a03	　修行菩提最勝行，　　彼有如說修行行。	 修 行 菩 提 最 勝 行 彼 有 如說修行 行 
T15n0625_004:0387a04	　修於長者及勝行，　　行於世間無勝行；	 修 於 長 者 及 勝 行 行 於 世 間 無 勝 行 
T15n0625_004:0387a05	　修於方便相應行，　　捨於禪樂微妙行；	 修 於 方 便 相 應 行 捨 於 禪 樂 微 妙 行 
T15n0625_004:0387a06	　修行菩提最勝行，　　彼終無有惱熱行。	 修 行 菩 提 最 勝 行 彼 終 無 有 惱 熱 行 
T15n0625_004:0387a07	　修於世行離世行，　　欲界、色界、無色行；	 修 於 世 行 離 世 行 欲 界 色 界 無 色 行 
T15n0625_004:0387a08	　修行菩提最勝行，　　彼終無有恐怖行。	 修 行 菩 提 最 勝 行 彼 終 無 有 恐 怖 行 
T15n0625_004:0387a09	　修於遍行一切行，　　滿足諸根善如行；	 修 於 遍 行 一 切 行 滿 足 諸 根 善 如 行 
T15n0625_004:0387a10	　修行菩提最勝行，　　彼智猶若如虛空。」	 修 行 菩 提 最 勝 行 彼 智 猶 若 如 虛 空 
T15n0625_004:0387a11	說是菩薩諸行法時，五百菩薩得無生法忍。	說 是 菩 薩 諸 行 法 時 五 百 菩 薩 得無生法忍 
T15n0625_004:0387a12	阿闍世王及其眷屬，王舍城中婆羅門居士	阿 闍 世 王 及 其 眷 屬 王 舍 城 中 婆 羅 門 居 士 
T15n0625_004:0387a13	及緊那羅眷屬之中八千眾生，發阿耨多羅	及 緊 那 羅 眷 屬 之 中 八 千 眾 生 發 阿 耨 多 羅 
T15n0625_004:0387a14	三藐三菩提心已，白言：「世尊！我等當於如上	三藐三菩提 心 已 白 言 世 尊 我 等 當 於 如 上 
T15n0625_004:0387a15	所說菩薩所行菩提諸行如說修行。」爾時世	所 說 菩薩所行 菩 提 諸 行 如說修行 爾 時 世 
T15n0625_004:0387a16	尊語大樹緊那羅王：「汝今可去，還其所止。」爾	尊 語 大 樹 緊 那 羅 王 汝 今 可 去 還 其 所 止 爾 
T15n0625_004:0387a17	時大樹緊那羅王及其夫人并諸子息、一切	時 大 樹 緊 那 羅 王 及 其 夫 人 并 諸 子 息 一 切 
T15n0625_004:0387a18	眷屬，頂禮佛足右遶三匝，悔過世尊！作諸伎	眷 屬 頂禮佛足 右 遶 三 匝 悔 過 世 尊 作 諸 伎 
T15n0625_004:0387a19	樂天雨眾華，放大光明地六種動，即便還往	樂 天 雨 眾 華 放大光明 地 六 種 動 即 便 還 往 
T15n0625_004:0387a20	詣香山中。爾時釋提桓因白言：「世尊！是大樹	詣 香 山 中 爾 時 釋提桓因 白 言 世 尊 是 大 樹 
T15n0625_004:0387a21	緊那羅王乃能如是真實供佛，真實供法。」佛	緊 那 羅 王 乃 能 如 是 真 實 供 佛 真 實 供 法 佛 
T15n0625_004:0387a22	言：「憍尸迦！不但於汝名為真實，普勝三千大	言 憍 尸 迦 不 但 於 汝 名 為 真 實 普 勝 三 千 大 
T15n0625_004:0387a23	千世界所有釋、梵、護世、天王、聲聞、緣覺，是緊	千 世 界 所 有 釋 梵 護 世 天 王 聲 聞 緣 覺 是 緊 
T15n0625_004:0387a24	那羅王真實殊勝。何以故？天主！菩薩發心已	那 羅 王 真 實 殊 勝 何 以 故 天 主 菩 薩 發 心 已 
T15n0625_004:0387a25	勝一切聲聞、緣覺。憍尸迦！無有能勝於菩薩	勝 一 切 聲 聞 緣 覺 憍 尸 迦 無 有 能 勝 於 菩 薩 
