X86n1605_001:0495a07	 繼燈錄序	 繼 燈 錄 序 
X86n1605_005:0536b09	者。住徑山日。賜號佛慧慈炤普應禪師。至元十二年	者 住 徑 山 日 賜 號 佛 慧 慈 炤 普 應 禪 師 至 元 十 二 年 
X86n1605_005:0536b10	六月將寂。預告日期書偈而化。塔全身於徑山。弟子	六 月 將 寂 預 告 日 期 書 偈 而 化 塔 全 身 於 徑 山 弟 子 
X86n1605_005:0536b11	剪爪髮分瘞諸處。皆有舍利叢生。其靈異願著如此。	剪 爪 髮 分 瘞 諸 處 皆 有 舍 利 叢 生 其 靈 異 願 著 如 此 
X86n1605_005:0536b12	道場信禪師法嗣	道 場 信 禪 師 法 嗣 
X86n1605_005:0536b13	嘉興府福源寺石屋清珙禪師蘇之常熟溫氏子。依	嘉 興 府 福 源 寺 石 屋 清 珙 禪 師 蘇 之 常 熟 溫 氏 子 依 
X86n1605_005:0536b14	本州興教崇福寺出家。二十祝髮具戒。後首參高峰	本 州 興 教 崇 福 寺 出 家 二 十 祝 髮 具 戒 後 首 參 高 峰 
X86n1605_005:0536b15	授以萬法歸一話。服勤三年。次住建陽西峰參及菴。	授 以 萬 法 歸 一 話 服 勤 三 年 次 住 建 陽 西 峰 參 及 菴 
X86n1605_005:0536b16	菴問何處來。師曰天目。菴曰有何指示。師曰萬法歸	菴 問 何 處 來 師 曰 天 目 菴 曰 有 何 指 示 師 曰 萬 法 歸 
X86n1605_005:0536b17	一。菴曰汝作麼生會。師無語。菴曰。此是死句。甚麼害	一 菴 曰 汝 作 麼 生 會 師 無 語 菴 曰 此 是 死 句 甚 麼 害 
X86n1605_005:0536b18	熱病底教汝與麼。師拜求指的。菴曰。有佛處不得住。	熱 病 底 教 汝 與 麼 師 拜 求 指 的 菴 曰 有 佛 處 不 得 住 
X86n1605_005:0536b19	無佛處急走過。意旨如何。師答不契。菴曰者個亦是	無 佛 處 急 走 過 意 旨 如 何 師 答 不 契 菴 曰 者 個 亦 是 
X86n1605_005:0536b20	死句。師不覺汗下。遂求依止。後入室。菴再理前話詰	死 句 師 不 覺 汗 下 遂 求 依 止 後 入 室 菴 再 理 前 話 詰 
X86n1605_005:0536b21	之。師曰上馬見路。菴呵曰在此六年猶作者個見解。	之 師 曰 上 馬 見 路 菴 呵 曰 在 此 六 年 猶 作 者 個 見 解 
X86n1605_005:0536b22	師發憤棄去。途中忽舉首見楓亭。豁然有省。回語菴	師 發 憤 棄 去 途 中 忽 舉 首 見 楓 亭 豁 然 有 省 回 語 菴 
X86n1605_005:0536b23	曰。有佛處不得住也是死句。無佛處急走過也是死	曰 有 佛 處 不 得 住 也 是 死 句 無 佛 處 急 走 過 也 是 死 
X86n1605_005:0536b24	句。某甲今日會得活句了也。菴曰汝作麼生會。師曰	句 某 甲 今 日 會 得 活 句 了 也 菴 曰 汝 作 麼 生 會 師 曰 
X86n1605_005:0536c01	清明時節雨初晴。黃鸝枝上分明語。菴頷之。久之辭	清 明 時 節 雨 初 晴 黃 鸝 枝 上 分 明 語 菴 頷 之 久 之 辭 
X86n1605_005:0536c02	去。菴門送之曰。他日與子同龕。未幾及菴住湖之道	去 菴 門 送 之 曰 他 日 與 子 同 龕 未 幾 及 菴 住 湖 之 道 
X86n1605_005:0536c03	場。師再參。命典藏。後卓菴于天湖。元統辛未住當湖	場 師 再 參 命 典 藏 後 卓 菴 于 天 湖 元 統 辛 未 住 當 湖 
X86n1605_005:0536c04	福源。上堂。把住也鋒芒不露。放行也十字縱橫。水雲	福 源 上 堂 把 住 也 鋒 芒 不 露 放 行 也 十 字 縱 橫 水 雲 
X86n1605_005:0536c05	深處相逢却在千峰頂上。千峰頂上相逢却在水雲	深 處 相 逢 却 在 千 峰 頂 上 千 峰 頂 上 相 逢 却 在 水 雲 
X86n1605_005:0536c06	深處。今朝福源寺裏開堂演法。昨日天湖菴畔墾土	深 處 今 朝 福 源 寺 裏 開 堂 演 法 昨 日 天 湖 菴 畔 墾 土 
X86n1605_005:0536c07	畊烟。所以道法無定相遇緣即宗。可傳真寂之風。仰	畊 烟 所 以 道 法 無 定 相 遇 緣 即 宗 可 傳 真 寂 之 風 仰 
X86n1605_005:0536c08	助無為之化。正與麼時如何。卓拄杖曰。九萬里鵬纔	助 無 為 之 化 正 與 麼 時 如 何 卓 拄 杖 曰 九 萬 里 鵬 纔 
X86n1605_005:0536c09	展翼。一千年鶴更翱翔。歲朝上堂。鏡清道新年頭佛	展 翼 一 千 年 鶴 更 翱 翔 歲 朝 上 堂 鏡 清 道 新 年 頭 佛 
X86n1605_005:0536c10	法有。明教道新年頭佛法無。道是有也未必有。道是	法 有 明 教 道 新 年 頭 佛 法 無 道 是 有 也 未 必 有 道 是 
X86n1605_005:0536c11	無也未必無。張公喫酒李公醉。趙州東壁挂葫蘆。上	無 也 未 必 無 張 公 喫 酒 李 公 醉 趙 州 東 壁 挂 葫 蘆 上 
X86n1605_005:0536c12	堂。吃飯要止饑。飲水要止渴。著衣要免寒。歸鄉要到	堂 吃 飯 要 止 饑 飲 水 要 止 渴 著 衣 要 免 寒 歸 鄉 要 到 
X86n1605_005:0536c13	家。學道要到三世諸佛開口不得處。參禪要到天下	家 學 道 要 到 三世諸佛 開 口 不 得 處 參 禪 要 到 天 下 
X86n1605_005:0536c14	祖師插脚不入處。若不如此。倚他門戶傍他墻壁。聽	祖 師 插 脚 不 入 處 若 不 如 此 倚 他 門 戶 傍 他 墻 壁 聽 
X86n1605_005:0536c15	人指揮喫人涕唾。總不丈夫。福源與麼說話。良藥苦	人 指 揮 喫 人 涕 唾 總 不 丈 夫 福 源 與 麼 說 話 良 藥 苦 
X86n1605_005:0536c16	口。忠言逆耳。解制上堂。有佛處不得住。樓臺月色雲	口 忠 言 逆 耳 解 制 上 堂 有 佛 處 不 得 住 樓 臺 月 色 雲 
X86n1605_005:0536c17	收去。無佛處急走過。池塘荷葉風吹破。三千里外逢	收 去 無 佛 處 急 走 過 池 塘 荷 葉 風 吹 破 三 千 里 外 逢 
X86n1605_005:0536c18	人不得錯舉。朗州山澧州水。四海五湖皇化裏。腰包	人 不 得 錯 舉 朗 州 山 澧 州 水 四 海 五 湖 皇 化 裏 腰 包 
X86n1605_005:0536c19	頂笠萬千千。問著盡言山與水。忽有不甘底出來道。	頂 笠 萬 千 千 問 著 盡 言 山 與 水 忽 有 不 甘 底 出 來 道 
X86n1605_005:0536c20	山但言山水但言水。有甚麼過。良久云。未可全拋一	山 但 言 山 水 但 言 水 有 甚 麼 過 良 久 云 未 可 全 拋 一 
X86n1605_005:0536c21	片心。逢人且說三分話。居七年。退歸霞霧之天湖。至	片 心 逢 人 且 說 三 分 話 居 七 年 退 歸 霞 霧 之 天 湖 至 
X86n1605_005:0536c22	正間朝廷聞師名。降香幣以旌異。皇后賜金襴衣。壬	正 間 朝 廷 聞 師 名 降 香 幣 以 旌 異 皇 后 賜 金 襴 衣 壬 
X86n1605_005:0536c23	辰秋七月二十四日示寂。與眾訣。侍僧問後事如何。	辰 秋 七 月 二 十 四 日 示 寂 與 眾 訣 侍 僧 問 後 事 如 何 
X86n1605_005:0536c24	遂書偈曰。青山不著臭尸骸。死了何須掘地埋。顧我	遂 書 偈 曰 青 山 不 著 臭 尸 骸 死 了 何 須 掘 地 埋 顧 我 
X86n1605_005:0537a01	也無三昧火。光前絕後一堆柴。擲筆而逝。闍維舍利	也 無 三 昧 火 光 前 絕 後 一 堆 柴 擲 筆 而 逝 闍 維 舍 利 
X86n1605_005:0537a02	五色燦然不知其數。塔於天湖之原。配及菴塔。示不	五 色 燦 然 不 知 其 數 塔 於 天 湖 之 原 配 及 菴 塔 示 不 
X86n1605_005:0537a03	忘同龕之記也。有弟子愚太古者。高麗人。親得師旨。	忘 同 龕 之 記 也 有 弟 子 愚 太 古 者 高 麗 人 親 得 師 旨 
X86n1605_005:0537a04	甞蒙說偈印可。有金鱗上直鈎之句。其王尊之為國	甞 蒙 說 偈 印 可 有 金 鱗 上 直 鈎 之 句 其 王 尊 之 為 國 
X86n1605_005:0537a05	師。聞師已逝。表奏朝廷。詔諡佛慈慧炤禪師。仍入山	師 聞 師 已 逝 表 奏 朝 廷 詔 諡 佛 慈 慧 炤 禪 師 仍 入 山 
X86n1605_005:0537a06	分其舍利歸國建塔焉。	分 其 舍 利 歸 國 建 塔 焉 
X86n1605_005:0537a07	匡山源禪師法嗣	匡 山 源 禪 師 法 嗣 
X86n1605_005:0537a08	嘉興府海門天真惟則禪師湖州費氏子。母夢異僧	嘉 興 府 海 門 天 真 惟 則 禪 師 湖 州 費 氏 子 母 夢 異 僧 
X86n1605_005:0537a09	分衛。覺而有娠。及旦異香襲人。髫年出家。徧參楚石	分 衛 覺 而 有 娠 及 旦 異 香 襲 人 髫 年 出 家 徧 參 楚 石 
X86n1605_005:0537a10	千巖一十八位尊宿。皆機緣不契。後聞匡廬無極源	千 巖 一 十 八 位 尊 宿 皆 機 緣 不 契 後 聞 匡 廬 無 極 源 
X86n1605_005:0537a11	禪師。徑往叩之。源亦無啟發。後值源於廁上乃趨問	禪 師 徑 往 叩 之 源 亦 無 啟 發 後 值 源 於 廁 上 乃 趨 問 
X86n1605_005:0537a12	曰如何是祖師西來意。源擒住曰道道。師於言下釋	曰 如 何 是 祖 師 西 來 意 源 擒 住 曰 道 道 師 於 言 下 釋 
X86n1605_005:0537a13	然頓悟。但搖手而已。源曰子有所得耶。師曰何得之	然 頓 悟 但 搖 手 而 已 源 曰 子 有 所 得 耶 師 曰 何 得 之 
X86n1605_005:0537a14	有。曰子作道理會耶。師拂袖而出。遂服勤月餘。日益	有 曰 子 作 道 理 會 耶 師 拂 袖 而 出 遂 服 勤 月 餘 日 益 
X86n1605_005:0537a15	玄奧。適平山林公招主藏鑰。師往赴之。後眾請開法	玄 奧 適 平 山 林 公 招 主 藏 鑰 師 往 赴 之 後 眾 請 開 法 
X86n1605_005:0537a16	海門。上堂。僧問如何是向上事。師曰向下薦取。曰作	海 門 上 堂 僧 問 如 何 是 向 上 事 師 曰 向 下 薦 取 曰 作 
X86n1605_005:0537a17	麼生向下薦取。師曰切莫動著。曰動著後如何。師曰	麼 生 向 下 薦 取 師 曰 切 莫 動 著 曰 動 著 後 如 何 師 曰 
X86n1605_005:0537a18	與汝三十棒。乃曰。向上事。向下事。截斷兩頭休執滯。	與 汝 三 十 棒 乃 曰 向 上 事 向 下 事 截 斷 兩 頭 休 執 滯 
X86n1605_005:0537a19	驀然放出鱉(鼻蛇)。齩殺方知難躲避。吽吽吽。海門今日	驀 然 放 出 鱉 鼻 蛇 齩 殺 方 知 難 躲 避 吽 吽 吽 海 門 今 日 
X86n1605_005:0537a20	忍俊不禁。越例為諸人通個消息。汝等還委悉麼。以	忍 俊 不 禁 越 例 為 諸 人 通 個 消 息 汝 等 還 委 悉 麼 以 
X86n1605_005:0537a21	拂子點一點曰。等閑拋下活人丹。浩浩清風動天地。	拂 子 點 一 點 曰 等 閑 拋 下 活 人 丹 浩 浩 清 風 動 天 地 
X86n1605_005:0537a22	上堂。三三三。九九九。海門潮音似雷吼。香浮菊圃獻	上 堂 三 三 三 九 九 九 海 門 潮 音 似 雷 吼 香 浮 菊 圃 獻 
X86n1605_005:0537a23	金錢。靈感[木*巳]堤呈玉狗。你也有。我也有。捩轉南辰看	金 錢 靈 感 [木巳] 堤 呈 玉 狗 你 也 有 我 也 有 捩 轉 南 辰 看 
X86n1605_005:0537a24	北斗。正恁麼時。高登海門峰頂。衝開碧落喝散白雲。	北 斗 正 恁 麼 時 高 登 海 門 峰 頂 衝 開 碧 落 喝 散 白 雲 
X86n1605_005:0537b01	現大人相。顯大神通底句子又作麼生道。忽作脩羅	現 大 人 相 顯 大 神 通 底 句 子 又 作 麼 生 道 忽 作 脩 羅 
X86n1605_005:0537b02	擎日月相曰。吞吐虗空擎日月。十方法界即全身。花	擎 日 月 相 曰 吞 吐 虗 空 擎 日 月 十 方 法 界 即 全 身 花 
X86n1605_005:0537b03	朝上堂。花期月夕。蕋珠宮裏降神仙。柳約春風。綿繡	朝 上 堂 花 期 月 夕 蕋 珠 宮 裏 降 神 仙 柳 約 春 風 綿 繡 
X86n1605_005:0537b04	叢中行綵女。閙閧閧處顯示舍那性海。靜悄悄處埋	叢 中 行 綵 女 閙 閧 閧 處 顯 示 舍 那 性 海 靜 悄 悄 處 埋 
X86n1605_005:0537b05	沒普贒行門。正恁麼時。且道閙中活計是。靜中活計	沒 普 贒 行 門 正 恁 麼 時 且 道 閙 中 活 計 是 靜 中 活 計 
X86n1605_005:0537b06	是。海門則不然。良久彈指曰。兜率天宮彈寶几。閻浮	是 海 門 則 不 然 良 久 彈 指 曰 兜率天宮 彈 寶 几 閻 浮 
X86n1605_005:0537b07	世界響金鐘。洪武初甞預廣薦法會。以足疾賜歸。癸	世 界 響 金 鐘 洪 武 初 甞 預 廣 薦 法 會 以 足 疾 賜 歸 癸 
X86n1605_005:0537b08	酉仲春示微疾。一日侵晨告眾曰吾去矣。侍者請偈。	酉 仲 春 示 微 疾 一 日 侵 晨 告 眾 曰 吾 去 矣 侍 者 請 偈 
X86n1605_005:0537b09	師厲聲曰。平常說底不是耶。即瞑目而逝。茶毗獲舍	師 厲 聲 曰 平 常 說 底 不 是 耶 即 瞑 目 而 逝 茶 毗 獲 舍 
X86n1605_005:0537b10	利無筭。頂骨牙齒舌根不壞。建塔于福祐禪院。	利 無 筭 頂 骨 牙 齒 舌 根 不 壞 建 塔 于 福 祐 禪 院 
X86n1605_005:0537b11	瑞巖寶禪師法嗣	瑞 巖 寶 禪 師 法 嗣 
X86n1605_005:0537b12	天台華頂無見先覩禪師台之仙居葉氏子。資性秀	天 台 華 頂 無 見 先 覩 禪 師 台 之 仙 居 葉 氏 子 資 性 秀 
X86n1605_005:0537b13	頴。嗜讀書。過目成誦。從古田垕薙髮。參方山寶。一日	頴 嗜 讀 書 過 目 成 誦 從 古 田 垕 薙 髮 參 方 山 寶 一 日 
X86n1605_005:0537b14	作務次。渙然氷釋。山以偈印之曰。此心極廣大。虗空	作 務 次 渙 然 氷 釋 山 以 偈 印 之 曰 此 心 極 廣 大 虗 空 
X86n1605_005:0537b15	比不得。此道只如此。受持休外覔。師受命。築室華頂。	比 不 得 此 道 只 如 此 受 持 休 外 覔 師 受 命 築 室 華 頂 
X86n1605_005:0537b16	一坐四十年。足未甞輒越戶限。	一 坐 四 十 年 足 未 甞 輒 越 戶 限 
X86n1605_005:0537b17	高峰日禪師法嗣	高 峰 日 禪 師 法 嗣 
X86n1605_005:0537b18	日本國兜率院夢窓疎石國師姓源氏。勢州人。宇多	日 本 國 兜 率 院 夢 窓 疎 石 國 師 姓 源 氏 勢 州 人 宇 多 
X86n1605_005:0537b19	天王九世孫。母禱觀音。夢吞金色光而孕。暨長繪死	天 王 九 世 孫 母 禱 觀 音 夢 吞 金 色 光 而 孕 暨 長 繪 死 
X86n1605_005:0537b20	屍九變之相。獨坐觀想。知色身不異空花。慨然有求	屍 九 變 之 相 獨 坐 觀 想 知 色 身 不 異 空 花 慨 然 有 求 
X86n1605_005:0537b21	道之意。十八為僧。夢遊中國疎山石頭二剎。一龐眉	道 之 意 十 八 為 僧 夢 遊 中 國 疎 山 石 頭 二 剎 一 龐 眉 
X86n1605_005:0537b22	僧持達磨像授之。既窹曰洞明吾本心者其唯禪觀	僧 持 達 磨 像 授 之 既 窹 曰 洞 明 吾 本 心 者 其 唯 禪 觀 
X86n1605_005:0537b23	乎。初謁無隱範。次謁一山寧。山曰我宗無語句亦無	乎 初 謁 無 隱 範 次 謁 一 山 寧 山 曰 我 宗 無 語 句 亦 無 
X86n1605_005:0537b24	一法與人。師曰願和尚慈悲方便開示。山曰。本來廓	一 法 與 人 師 曰 願 和 尚 慈 悲 方 便 開 示 山 曰 本 來 廓 
X86n1605_005:0537c01	然清淨。雖慈悲方便亦無。師疑悶無聊。見佛國高峰	然 清 淨 雖 慈 悲 方 便 亦 無 師 疑 悶 無 聊 見 佛 國 高 峰 
X86n1605_005:0537c02	日公。叩請如前。峰曰一山云何。師述其問答。峰厲聲	日 公 叩 請 如 前 峰 曰 一 山 云 何 師 述 其 問 答 峰 厲 聲 
X86n1605_005:0537c03	喝曰汝何不道和尚漏逗不少。師於言下有省。辭歸	喝 曰 汝 何 不 道 和 尚 漏 逗 不 少 師 於 言 下 有 省 辭 歸 
X86n1605_005:0537c04	舊隱常牧山。一夕坐久偶倚壁。忽然仆去。豁然大悟。	舊 隱 常 牧 山 一 夕 坐 久 偶 倚 壁 忽 然 仆 去 豁 然 大 悟 
X86n1605_005:0537c05	有等閑擊碎虗空骨之句。求峰印可。峰曰西來密意	有 等 閑 擊 碎 虗 空 骨 之 句 求 峰 印 可 峰 曰 西 來 密 意 
X86n1605_005:0537c06	汝今已得。善自護持。卓菴濃州。國王命師領南禪天	汝 今 已 得 善 自 護 持 卓 菴 濃 州 國 王 命 師 領 南 禪 天 
X86n1605_005:0537c07	龍等處。王妃延入宮中執弟子禮問道。賜號正覺。又	龍 等 處 王 妃 延 入 宮 中 執 弟 子 禮 問 道 賜 號 正 覺 又 
X86n1605_005:0537c08	加號心宗普濟。且遺以手書。其略曰。道振三朝。名飛	加 號 心 宗 普 濟 且 遺 以 手 書 其 略 曰 道 振 三 朝 名 飛 
X86n1605_005:0537c09	四海。主天龍席。再轉法輪。秉佛祖權。摧魔軍壘。師以	四 海 主 天 龍 席 再 轉 法 輪 秉 佛 祖 權 摧 魔 軍 壘 師 以 
X86n1605_005:0537c10	年高隱退。尋示寂。	年 高 隱 退 尋 示 寂 
X86n1605_005:0537c11	開元祖禪師法嗣	開 元 祖 禪 師 法 嗣 
X86n1605_005:0537c12	開元佛果如炤禪師晉江蔡氏子。從本寺道符出家。	開 元 佛 果 如 炤 禪 師 晉 江 蔡 氏 子 從 本 寺 道 符 出 家 
X86n1605_005:0537c13	開元合一。妙恩為第一世。師左右恩。恩甚器之。既而	開 元 合 一 妙 恩 為 第 一 世 師 左 右 恩 恩 甚 器 之 既 而 
X86n1605_005:0537c14	徧參天慧內發。深有所悟。復歸開元。恩益禮之。及恩	徧 參 天 慧 內 發 深 有 所 悟 復 歸 開 元 恩 益 禮 之 及 恩 
X86n1605_005:0537c15	遷化契祖嗣位。命師知藏。大德八年領後堂。十年移	遷 化 契 祖 嗣 位 命 師 知 藏 大 德 八 年 領 後 堂 十 年 移 
X86n1605_005:0537c16	前堂。及祖沒。宣政院命師補其席嗣祖法。佛成道上	前 堂 及 祖 沒 宣 政 院 命 師 補 其 席 嗣 祖 法 佛 成 道 上 
X86n1605_005:0537c17	堂。雪滿于山。星回于天。一見便見。更待六年。瞿曇瞿	堂 雪 滿 于 山 星 回 于 天 一 見 便 見 更 待 六 年 瞿 曇 瞿 
X86n1605_005:0537c18	曇。無端引得眾生起顛。倒東土望西天。又曰。雪窖生	曇 無 端 引 得 眾 生 起 顛 倒 東 土 望 西 天 又 曰 雪 窖 生 
X86n1605_005:0537c19	埋幸可憐。六年曾不動機緘。眼皮爆綻三更後。明破	埋 幸 可 憐 六 年 曾 不 動 機 緘 眼 皮 爆 綻 三 更 後 明 破 
X86n1605_005:0537c20	星兒即不堪。上聞賜佛果弘覺之號。至順二年無疾	星 兒 即 不 堪 上 聞 賜 佛 果 弘 覺 之 號 至 順 二 年 無 疾 
X86n1605_005:0537c21	溘化。	溘 化 
X86n1605_005:0537c22	紫籜道禪師法嗣	紫 籜 道 禪 師 法 嗣 
X86n1605_005:0537c23	台州瑞巖恕中無慍禪師台之臨海陳氏子。七歲入	台 州 瑞 巖 恕 中 無 慍 禪 師 台 之 臨 海 陳 氏 子 七 歲 入 
X86n1605_005:0537c24	鄉校。讀書不煩再授。年未冠白父母依徑山寂照禪	鄉 校 讀 書 不 煩 再 授 年 未 冠 白 父 母 依 徑 山 寂 照 禪 
X86n1605_005:0538a01	師剃落。謁竺元以狗子無佛性話。未破疑問纔開口。	師 剃 落 謁 竺 元 以 狗 子 無 佛 性 話 未 破 疑 問 纔 開 口 
X86n1605_005:0538a02	被元一喝遂大悟。呈偈曰。狗子佛性無。春色滿皇都。	被 元 一 喝 遂 大 悟 呈 偈 曰 狗 子 佛 性 無 春 色 滿 皇 都 
X86n1605_005:0538a03	趙州東院裏。壁上挂葫蘆。元乃發笑曰恁麼會又爭	趙 州 東 院 裏 壁 上 挂 葫 蘆 元 乃 發 笑 曰 恁 麼 會 又 爭 
X86n1605_005:0538a04	得。師拂袖而出。初住明之靈巖。遷瑞巖。上堂。有問有	得 師 拂 袖 而 出 初 住 明 之 靈 巖 遷 瑞 巖 上 堂 有 問 有 
X86n1605_005:0538a05	答。日下挑燈。無問無答。兔頭截角。別資一路。萬里崖	答 日 下 挑 燈 無 問 無 答 兔 頭 截 角 別 資 一 路 萬 里 崖 
X86n1605_005:0538a06	州。直下承當。且緩緩地。拈拄杖畫一畫云。天傾東南	州 直 下 承 當 且 緩 緩 地 拈 拄 杖 畫 一 畫 云 天 傾 東 南 
X86n1605_005:0538a07	地傾西北。臨濟小廝兒。只具一隻眼。卓拄杖。喝一喝。	地 傾 西 北 臨 濟 小 廝 兒 只 具 一 隻 眼 卓 拄 杖 喝 一 喝 
X86n1605_005:0538a08	上堂。祖師意。無別法。下地走穿却鞋。上床眠脫却襪。	上 堂 祖 師 意 無 別 法 下 地 走 穿 却 鞋 上 床 眠 脫 却 襪 
X86n1605_005:0538a09	只恁麼太誵訛。不恁麼無合殺。溈山水牛。百丈野鴨。	只 恁 麼 太 誵 訛 不 恁 麼 無 合 殺 溈 山 水 牛 百 丈 野 鴨 
X86n1605_005:0538a10	帶水拖泥不足觀。腦後圓光最輝赫。喝一喝。上堂。舉	帶 水 拖 泥 不 足 觀 腦 後 圓 光 最 輝 赫 喝 一 喝 上 堂 舉 
X86n1605_005:0538a11	黃龍心禪師與夏公立劇談肇論。論萬物為自己。情	黃 龍 心 禪 師 與 夏 公 立 劇 談 肇 論 論 萬 物 為 自 己 情 
X86n1605_005:0538a12	與無情共一體。時有狗子臥香桌下。龍拈壓尺擊狗	與 無 情 共 一 體 時 有 狗 子 臥 香 桌 下 龍 拈 壓 尺 擊 狗 
X86n1605_005:0538a13	子。又擊香桌云。狗子有情即去。香桌無情自住。情與	子 又 擊 香 桌 云 狗 子 有 情 即 去 香 桌 無 情 自 住 情 與 
X86n1605_005:0538a14	無情如何得成一體。公立不能加對。龍曰纔涉思惟	無 情 如 何 得 成 一 體 公 立 不 能 加 對 龍 曰 纔 涉 思 惟 
X86n1605_005:0538a15	便成剩法。何曾會萬物為自己哉。黃龍老漢傷慈不	便 成 剩 法 何 曾 會 萬 物 為 自 己 哉 黃 龍 老 漢 傷 慈 不 
X86n1605_005:0538a16	少。夏公立如入寶山空手而回。諸人要會萬物為自	少 夏 公 立 如 入 寶 山 空 手 而 回 諸 人 要 會 萬 物 為 自 
X86n1605_005:0538a17	己情與無情共一體麼。搥殺有情狗子。碎却無情香	己 情 與 無 情 共 一 體 麼 搥 殺 有 情 狗 子 碎 却 無 情 香 
X86n1605_005:0538a18	桌。盡情收拾將來。與他一團束縛。拋向東洋大海。自	桌 盡 情 收 拾 將 來 與 他 一 團 束 縛 拋 向 東 洋 大 海 自 
X86n1605_005:0538a19	然洒洒落落。雖然。更須知有頂門一竅始得。拈拄杖	然 洒 洒 落 落 雖 然 更 須 知 有 頂 門 一 竅 始 得 拈 拄 杖 
X86n1605_005:0538a20	擊香臺云。阿剌剌。阿剌剌。登山脚膝酸。啜茶舌頭滑。	擊 香 臺 云 阿 剌 剌 阿 剌 剌 登 山 脚 膝 酸 啜 茶 舌 頭 滑 
X86n1605_005:0538a21	十字街頭石敢當。對月臨風吹尺八。至節小參。古佛	十 字 街 頭 石 敢 當 對 月 臨 風 吹 尺 八 至 節 小 參 古 佛 
X86n1605_005:0538a22	心只如今。明月炤幽谷。寒濤助夜砧。先德與麼吐露。	心 只 如 今 明 月 炤 幽 谷 寒 濤 助 夜 砧 先 德 與 麼 吐 露 
X86n1605_005:0538a23	可謂千鈞之弩要待勍敵發機。萬斛之舟不為坳堂	可 謂 千 鈞 之 弩 要 待 勍 敵 發 機 萬 斛 之 舟 不 為 坳 堂 
X86n1605_005:0538a24	剏設。若是滄溟上客。閫外將軍。捩轉船頭踏飜射垛。	剏 設 若 是 滄 溟 上 客 閫 外 將 軍 捩 轉 船 頭 踏 飜 射 垛 
X86n1605_005:0538b01	自然中的於機先。豈用瞻風於五兩。所以道。譬如師	自 然 中 的 於 機 先 豈 用 瞻 風 於 五 兩 所 以 道 譬 如 師 
X86n1605_005:0538b02	子王哮吼。師子兒聞之皆增勇徤。不見洞山問興平	子 王 哮 吼 師 子 兒 聞 之 皆 增 勇 徤 不 見 洞 山 問 興 平 
X86n1605_005:0538b03	云如何是古佛心。平云汝心便是。洞山云雖然如是	云 如 何 是 古 佛 心 平 云 汝 心 便 是 洞 山 云 雖 然 如 是 
X86n1605_005:0538b04	猶是某甲疑處。平云恁麼即問取木人去。大眾。者些	猶 是 某 甲 疑 處 平 云 恁 麼 即 問 取 木 人 去 大 眾 者 些 
X86n1605_005:0538b05	子見不破踏不著。饒伊辯如滿慈。智如鶖子。未免癡	子 見 不 破 踏 不 著 饒 伊 辯 如 滿 慈 智 如 鶖 子 未 免 癡 
X86n1605_005:0538b06	狂外邊走。今夜正當群陰剝盡一陽來復之時。聊與	狂 外 邊 走 今 夜 正 當 群 陰 剝 盡 一 陽 來 復 之 時 聊 與 
X86n1605_005:0538b07	諸人聚話片時。敢問諸人。洞山與麼問興平與麼答。	諸 人 聚 話 片 時 敢 問 諸 人 洞 山 與 麼 問 興 平 與 麼 答 
X86n1605_005:0538b08	莫是將錯就錯借路經過麼。莫是真實相為拳踢相	莫 是 將 錯 就 錯 借 路 經 過 麼 莫 是 真 實 相 為 拳 踢 相 
X86n1605_005:0538b09	赴麼。如斯品論鄭州出曹門。只如興平末後云。恁麼	赴 麼 如 斯 品 論 鄭 州 出 曹 門 只 如 興 平 末 後 云 恁 麼 
X86n1605_005:0538b10	即問取木人去。此一轉語太殺慈悲。多少人向者裡	即 問 取 木 人 去 此 一 轉 語 太 殺 慈 悲 多 少 人 向 者 裡 
X86n1605_005:0538b11	錯會。有能於此撥開胸襟伸得口氣。何止醍醐灌頂。	錯 會 有 能 於 此 撥 開 胸 襟 伸 得 口 氣 何 止 醍 醐 灌 頂 
X86n1605_005:0538b12	苟或未然。陋巷不騎金色馬。回來却著破襴衫。後謝	苟 或 未 然 陋 巷 不 騎 金 色 馬 回 來 却 著 破 襴 衫 後 謝 
X86n1605_005:0538b13	事入松巖。寄書退院。眾固請。師堅拒不允。洪武七年	事 入 松 巖 寄 書 退 院 眾 固 請 師 堅 拒 不 允 洪 武 七 年 
X86n1605_005:0538b14	夏日本國主遣使入貢。就奏請師化其國。　上召師	夏 日 本 國 主 遣 使 入 貢 就 奏 請 師 化 其 國 上 召 師 
X86n1605_005:0538b15	至闕下。師以老病辭。　上憫而不遣。遂住鄞之翠山。	至 闕 下 師 以 老 病 辭 上 憫 而 不 遣 遂 住 鄞 之 翠 山 
X86n1605_005:0538b16	一日忽遘微疾。索筆書偈曰。七十八年無法可說。末	一 日 忽 遘 微 疾 索 筆 書 偈 曰 七 十 八 年 無 法 可 說 末 
X86n1605_005:0538b17	後一句露柱饒舌。咄。端坐而逝。	後 一 句 露 柱 饒 舌 咄 端 坐 而 逝 
X86n1605_005:0538b18	慶元府天童了堂一禪師至正二年住台之紫籜。遷	慶 元 府 天 童 了 堂 一 禪 師 至 正 二 年 住 台 之 紫 籜 遷 
X86n1605_005:0538b19	天寧天童。僧問。昔日寶壽開堂三聖橫身相為。臨濟	天 寧 天 童 僧 問 昔 日 寶 壽 開 堂 三 聖 橫 身 相 為 臨 濟 
