T12n0322_001:0015a03	法鏡經序	法 鏡 經 序 
T12n0322_001:0021c11	敬。理家！當以知此之事。若此也，法之福	敬 理 家 當 以 知 此 之 事 若 此 也 法 之 福 
T12n0322_001:0021c12	德如無數，獲智亦無量。是故開士欲以擇	德 如 無 數 獲 智 亦 無 量 是 故 開 士 欲 以 擇 
T12n0322_001:0021c13	上法，猶以無數為敬正法。若彼思惟，若此	上 法 猶 以 無 數 為 敬 正 法 若 彼 思 惟 若 此 
T12n0322_001:0021c14	以聞淨戒事。何謂是淨戒事？去家開士者	以 聞 淨 戒 事 何 謂 是 淨 戒 事 去 家 開 士 者 
T12n0322_001:0021c15	有四淨戒事。一曰、造聖之典；二曰、慕樂精	有 四 淨 戒 事 一 曰 造 聖 之 典 二 曰 慕 樂 精 
T12n0322_001:0021c16	進德；三曰、不與家居去家者從事；四曰、不	進 德 三 曰 不 與 家 居 去 家 者 從 事 四 曰 不 
T12n0322_001:0021c17	諛諂山澤居。是為去家開士者四淨戒事也。	諛 諂 山 澤 居 是 為 去 家 開 士 者 四 淨 戒 事 也 
T12n0322_001:0021c18	復有四淨戒事。何謂四？以守慎身身無罣	復 有 四 淨 戒 事 何 謂 四 以 守 慎 身 身 無 罣 
T12n0322_001:0021c19	礙；以守慎言言無罣礙；以守慎心心無罣	礙 以 守 慎 言 言 無 罣 礙 以 守 慎 心 心 無 罣 
T12n0322_001:0021c20	礙；去離邪疑造一切敏意。是為去家開士者	礙 去 離 邪 疑 造 一 切 敏 意 是 為 去 家 開 士 者 
T12n0322_001:0021c21	四淨戒事。復有四淨戒事。何等為四？一曰、以	四 淨 戒 事 復 有 四 淨 戒 事 何 等 為 四 一 曰 以 
T12n0322_001:0021c22	自識知；二曰、以不自貢高；三曰、以不形相	自 識 知 二 曰 以 不 自 貢 高 三 曰 以 不 形 相 
T12n0322_001:0021c23	人；四曰、以不謗毀人。是為去家開士者四淨	人 四 曰 以 不 謗 毀 人 是 為 去 家 開 士 者 四 淨 
T12n0322_001:0022a01	戒事也。復有四淨戒事。何謂四？一曰、已	戒 事 也 復 有 四 淨 戒 事 何 謂 四 一 曰 已 
T12n0322_001:0022a02	可諸陰為幻法；二曰、以可諸情為法情；三曰、	可 諸 陰 為 幻 法 二 曰 以 可 諸 情 為 法 情 三 曰 
T12n0322_001:0022a03	以可諸入為虛聚；四曰、不隨方俗之儀式。	以 可 諸 入 為 虛 聚 四 曰 不 隨 方 俗 之 儀 式 
T12n0322_001:0022a04	是為理家去家開士者四淨戒事。復有四淨	是 為 理 家 去 家 開 士 者 四 淨 戒 事 復 有 四 淨 
T12n0322_001:0022a05	戒事。何等四？一曰、以不自計我；二曰、遠離	戒 事 何 等 四 一 曰 以 不 自 計 我 二 曰 遠 離 
T12n0322_001:0022a06	是我有；三曰、斷絕常在除；四曰、以下因緣法。	是 我 有 三 曰 斷 絕 常 在 除 四 曰 以 下 因 緣 法 
T12n0322_001:0022a07	是為去家開士者四淨戒事。復有四淨戒事。	是 為 去 家 開 士 者 四 淨 戒 事 復 有 四 淨 戒 事 
T12n0322_001:0022a08	何謂四？一曰、以解空；二曰、以無想不怖；三	何 謂 四 一 曰 以 解 空 二 曰 以 無 想 不 怖 三 
T12n0322_001:0022a09	曰、以大悲眾人；四曰、以為可非身。是為去家	曰 以 大 悲 眾 人 四 曰 以 為 可 非 身 是 為 去 家 
T12n0322_001:0022a10	開士者四淨戒事。「彼以為常聞淨定以故，	開 士 者 四 淨 戒 事 彼 以 為 常 聞 淨 定 以 故 
T12n0322_001:0022a11	以若此觀之。何謂此淨定？以通一切法，不	以 若 此 觀 之 何 謂 此 淨 定 以 通 一 切 法 不 
T12n0322_001:0022a12	為餘事意行，為有決意、為一端意、為不錯	為 餘 事 意 行 為 有 決 意 為 一 端 意 為 不 錯 
T12n0322_001:0022a13	忤意、為以不住意、為不馳意、為自身住止	忤 意 為 以 不 住 意 為 不 馳 意 為 自 身 住 止 
T12n0322_001:0022a14	意，不與情欲從事意、為以觀幻之法，我若	意 不 與 情 欲 從 事 意 為 以 觀 幻 之 法 我 若 
T12n0322_001:0022a15	幻法情亦然，以無復行，便無可存，已履彼	幻 法 情 亦 然 以 無 復 行 便 無 可 存 已 履 彼 
T12n0322_001:0022a16	正，是謂正定。若法在如法，若此亦謂定，	正 是 謂 正 定 若 法 在 如 法 若 此 亦 謂 定 
T12n0322_001:0022a17	為觀若此。彼常聞淨慧。何謂斯慧者？諸法	為 觀 若 此 彼 常 聞 淨 慧 何 謂 斯 慧 者 諸 法 
T12n0322_001:0022a18	之擇智，謂彼為慧也。不受之相無相行，	之 擇 智 謂 彼 為 慧 也 不 受 之 相 無 相 行 
T12n0322_001:0022a19	不造之相無存矣，無為之相不馳騁矣。是以	不 造 之 相 無 存 矣 無 為 之 相 不 馳 騁 矣 是 以 
T12n0322_001:0022a20	理家！以觀法若此者，是謂去家開士之所施	理 家 以 觀 法 若 此 者 是 謂 去 家 開 士 之 所 施 
T12n0322_001:0022a21	行也。」又以說是經時，有五百人造起無上	行 也 又 以 說 是 經 時 有 五 百 人 造 起 無 上 
T12n0322_001:0022a22	正真之道意。又甚理家及其等，同出聲	正 真 之 道 意 又 甚 理 家 及 其 等 同 出 聲 
T12n0322_001:0022a23	言：「未曾有，要者眾祐！至於如來之善言迺	言 未 曾 有 要 者 眾 祐 至 於 如 來 之 善 言 迺 
T12n0322_001:0022a24	如是！亦家之惡德重任之行；亦去家諸德	如 是 亦 家 之 惡 德 重 任 之 行 亦 去 家 諸 德 
T12n0322_001:0022a25	善斯。尊者眾祐！已為明彼居家人多惡德，	善 斯 尊 者 眾 祐 已 為 明 彼 居 家 人 多 惡 德 
T12n0322_001:0022a26	至於去家無數之德善已，寧可得從眾祐，受	至 於 去 家 無 數 之 德 善 已 寧 可 得 從 眾 祐 受 
T12n0322_001:0022a27	去家之誡，就除饉之行？」眾祐報言：「去家者，	去 家 之 誡 就 除 饉 之 行 眾 祐 報 言 去 家 者 
T12n0322_001:0022a28	理家難堪，能究暢淳德，善奉持教誨。」理家	理 家 難 堪 能 究 暢 淳 德 善 奉 持 教 誨 理 家 
T12n0322_001:0022a29	復白佛言：「眾祐！去家者雖難堪任，如來猶	復 白 佛 言 眾 祐 去 家 者 雖 難 堪 任 如 來 猶 
T12n0322_001:0022b01	當可己等去家為道也。」眾祐便使慈氏開士	當 可 己 等 去 家 為 道 也 眾 祐 便 使 慈 氏 開 士 
T12n0322_001:0022b02	及一切行淨開士聽，舉彼理家等。慈氏開士	及 一 切 行 淨 開 士 聽 舉 彼 理 家 等 慈 氏 開 士 
T12n0322_001:0022b03	舉二百理家，一切行淨開士舉三百理家，	舉 二 百 理 家 一 切 行 淨 開 士 舉 三 百 理 家 
T12n0322_001:0022b04	去家修道。爾時賢者阿難謂甚理家言：「卿	去 家 修 道 爾 時 賢 者 阿 難 謂 甚 理 家 言 卿 
T12n0322_001:0022b05	何見居國居家，有能樂於法去家之聖道	何 見 居 國 居 家 有 能 樂 於 法 去 家 之 聖 道 
T12n0322_001:0022b06	者？」甚理家報阿難曰：「我不以為貪慕身樂、	者 甚 理 家 報 阿 難 曰 我 不 以 為 貪 慕 身 樂 
T12n0322_001:0022b07	欲致眾生樂，故我以居家耳！又如來者自明	欲 致 眾 生 樂 故 我 以 居 家 耳 又 如 來 者 自 明 
T12n0322_001:0022b08	我，彼以所受堅固而居家。」彼時眾祐告阿	我 彼 以 所 受 堅 固 而 居 家 彼 時 眾 祐 告 阿 
T12n0322_001:0022b09	難言：「阿難！汝已見甚理家？」「如是眾祐！見甚	難 言 阿 難 汝 已 見 甚 理 家 如 是 眾 祐 見 甚 
T12n0322_001:0022b10	理家。」「阿難！於是賢劫中，以所成就人多於	理 家 阿 難 於 是 賢 劫 中 以 所 成 就 人 多 於 
T12n0322_001:0022b11	去家開士者，以百劫中不若此。所以者何？	去 家 開 士 者 以 百 劫 中 不 若 此 所以者何 
T12n0322_001:0022b12	阿難！又去家修道開士者，千人之中不能	阿 難 又 去 家 修 道 開 士 者 千 人 之 中 不 能 
T12n0322_001:0022b13	有德乃爾，此理家者而有是德。」爾時阿難白	有 德 乃 爾 此 理 家 者 而 有 是 德 爾 時 阿 難 白 
T12n0322_001:0022b14	佛言：「要者眾祐！當何名斯經法？亦當以何奉	佛 言 要 者 眾 祐 當 何 名 斯 經 法 亦 當 以 何 奉 
T12n0322_001:0022b15	持之？」眾祐言：「是故汝阿難！斯經法名為『居家	持 之 眾 祐 言 是 故 汝 阿 難 斯 經 法 名 為 居 家 
T12n0322_001:0022b16	去家之變』，奉持之；亦名為『內性德之變』，奉持	去 家 之 變 奉 持 之 亦 名 為 內 性 德 之 變 奉 持 
T12n0322_001:0022b17	之；亦名為『甚所問』，奉持之。及以聞此經法者，	之 亦 名 為 甚 所 問 奉 持 之 及 以 聞 此 經 法 者 
T12n0322_001:0022b18	阿難！為周滿法精進殊彊，於一切威儀下精	阿 難 為 周 滿 法 精 進 殊 彊 於 一 切 威 儀 下 精 
T12n0322_001:0022b19	進行道者，不若此也。是故阿難！若欲以興	進 行 道 者 不 若 此 也 是 故 阿 難 若 欲 以 興 
T12n0322_001:0022b20	精進者、若欲勸勵者、欲立一功德者、欲	精 進 者 若 欲 勸 勵 者 欲 立 一 功 德 者 欲 
T12n0322_001:0022b21	造立人眾德者，由當以斯經法以聞之、以	造 立 人 眾 德 者 由 當 以 斯 經 法 以 聞 之 以 
T12n0322_001:0022b22	受之、以行之。我以囑累汝阿難，此經法數	受 之 以 行 之 我 以 囑 累 汝 阿 難 此 經 法 數 
T12n0322_001:0022b23	用布見眾人。所以者何？眾德法之正行也。	用 布 見 眾 人 所以者何 眾 德 法 之 正 行 也 
T12n0322_001:0022b24	阿難！斯經法者正應也。」眾祐以說是，阿難	阿 難 斯 經 法 者 正 應 也 眾 祐 以 說 是 阿 難 
T12n0322_001:0022b25	歡喜，及甚理家、天與人，亦質諒王，眾祐說	歡 喜 及 甚 理 家 天 與 人 亦 質 諒 王 眾 祐 說 
T12n0322_001:0022b26	已，皆思惟也。	已 皆 思 惟 也 
T12n0322_001:0022b27	法鏡經	法 鏡 經 
