T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_006:0123a18	器。尊者語言。食再嚼此糜吐空器中。不欲吐	器 尊 者 語 言 食 再 嚼 此 糜 吐 空 器 中 不 欲 吐 
T50n2042_006:0123a19	之俛仰而言。此吐所食。語尊者言。涎唾以	之 俛 仰 而 言 此 吐 所 食 語 尊 者 言 涎 唾 以 
T50n2042_006:0123a20	合。云何可食。尊者語言。一切飲食與吐無異。	合 云 何 可 食 尊 者 語 言 一 切 飲 食 與 吐 無 異 
T50n2042_006:0123a21	汝不觀察也。汝今應觀食不淨想。即時聽法	汝 不 觀 察 也 汝 今 應 觀 食不淨想 即 時 聽 法 
T50n2042_006:0123a22	盡諸結使得阿羅漢。語使擲籌著於窟中。	盡 諸 結 使 得阿羅漢 語 使 擲 籌 著 於 窟 中 
T50n2042_006:0123a23	南天竺有一族姓子。少欲知足好於麁弊。不	南 天 竺 有 一 族 姓 子 少欲知足 好 於 麁 弊 不 
T50n2042_006:0123a24	以酥油塗身。亦不暖湯洗浴。亦不食酥油乳	以 酥 油 塗 身 亦 不 暖 湯 洗 浴 亦 不 食 酥 油 乳 
T50n2042_006:0123a25	酪。厭惡生死身體羸劣不能得道。而作是言。	酪 厭 惡 生 死 身 體 羸 劣 不 能 得 道 而 作 是 言 
T50n2042_006:0123a26	誰當教授我。聞尊者優波毱多在摩突羅國。	誰 當 教 授 我 聞 尊 者 優 波 毱 多 在 摩 突 羅 國 
T50n2042_006:0123a27	便往至其所已。尊者觀察應現身盡漏。以羸	便 往 至 其 所 已 尊 者 觀 察 應 現 身 盡 漏 以 羸 
T50n2042_006:0123a28	劣故不能得證。尊者即暖浴室辦諸浴具。約	劣 故 不 能 得 證 尊 者 即 暖 浴 室 辦 諸 浴 具 約 
T50n2042_006:0123a29	勅年少道人為塗酥油以水洗浴與好飲食身	勅 年 少 道 人 為 塗 酥 油 以 水 洗 浴 與 好 飲 食 身 
T50n2042_006:0123b01	心柔軟。為說法要。即盡諸漏得阿羅漢。於是	心 柔 軟 為 說 法 要 即 盡 諸 漏 得阿羅漢 於 是 
T50n2042_006:0123b02	以籌擲著窟中。	以 籌 擲 著 窟 中 
T50n2042_006:0123b03	摩突羅國有一族姓子。辭父母欲向尊者毱	摩 突 羅 國 有 一 族 姓 子 辭 父 母 欲 向 尊 者 毱 
T50n2042_006:0123b04	多所求欲出家。既出家已。極愛著身故復欲	多 所 求 欲 出 家 既 出 家 已 極 愛 著 身 故 復 欲 
T50n2042_006:0123b05	還家。便往尊者所辭欲還家。尊者語言。且	還 家 便 往 尊 者 所 辭 欲 還 家 尊 者 語 言 且 
T50n2042_006:0123b06	往明日。明日禮尊者足即欲還去。道中見天	往 明 日 明 日 禮 尊 者 足 即 欲 還 去 道 中 見 天 
T50n2042_006:0123b07	寺而作是念。若還向家。父母或能為我作大	寺 而 作 是 念 若 還 向 家 父 母 或 能 為 我 作 大 
T50n2042_006:0123b08	事。不如即住此天寺宿。明日當還詣尊者所。	事 不 如 即 住 此 天 寺 宿 明 日 當 還 詣 尊 者 所 
T50n2042_006:0123b09	尊者即夜化作一夜叉擔死人來。更有一夜	尊 者 即 夜 化 作 一 夜 叉 擔 死 人 來 更 有 一 夜 
T50n2042_006:0123b10	叉空手而來。二鬼共諍。一言。我擔死人來。第	叉 空 手 而 來 二 鬼 共 諍 一 言 我 擔 死 人 來 第 
T50n2042_006:0123b11	二者言。我擔死人來。前一鬼言。我有證人。此	二 者 言 我 擔 死 人 來 前 一 鬼 言 我 有 證 人 此 
T50n2042_006:0123b12	人見我擔死人來。時此人念言。我今畢定死	人 見 我 擔 死 人 來 時 此 人 念 言 我 今 畢 定 死 
T50n2042_006:0123b13	竟應作實語。語後鬼言。此死人者前鬼擔來。	竟 應 作 實 語 語 後 鬼 言 此 死 人 者 前 鬼 擔 來 
T50n2042_006:0123b14	非是汝許。後鬼大瞋拔其一髆。前鬼以死人	非 是 汝 許 後 鬼 大 瞋 拔 其 一 髆 前 鬼 以 死 人 
T50n2042_006:0123b15	髆還續如故。後鬼復拔一臂。前鬼更拔死人	髆 還 續 如 故 後 鬼 復 拔 一 臂 前 鬼 更 拔 死 人 
T50n2042_006:0123b16	臂還復補處。後拔其兩脚。前鬼悉以彼死	臂 還 復 補 處 後 拔 其 兩 脚 前 鬼 悉 以 彼 死 
T50n2042_006:0123b17	人脚補之如本。如是二鬼共食所拔新肉即	人 脚 補 之 如 本 如 是 二 鬼 共 食 所 拔 新 肉 即 
T50n2042_006:0123b18	時出去。於是愛身之心即便都滅。後至尊者	時 出 去 於 是 愛 身 之 心 即 便 都 滅 後 至 尊 者 
T50n2042_006:0123b19	所度使出家。為說法要得阿羅漢。便令擲籌	所 度 使 出 家 為 說 法 要 得阿羅漢 便 令 擲 籌 
T50n2042_006:0123b20	著於窟中。	著 於 窟 中 
T50n2042_006:0123b21	南天竺有一族姓子。入佛法出家。愛樂己身	南 天 竺 有 一 族 姓 子 入 佛 法 出 家 愛 樂 己 身 
T50n2042_006:0123b22	數數洗浴蘇油塗身食好美食。身體肥壯不	數 數 洗 浴 蘇 油 塗 身 食 好 美 食 身 體 肥 壯 不 
T50n2042_006:0123b23	能得道。即向尊者所。而作是言。唯願教授。尊	能 得 道 即 向 尊 者 所 而 作 是 言 唯 願 教 授 尊 
T50n2042_006:0123b24	者觀察此比丘者現身應得漏盡。以著身故	者 觀 察 此 比 丘 者 現 身 應 得 漏 盡 以 著 身 故 
T50n2042_006:0123b25	是以不得。尊者語言。能受我語。當教授汝。化	是 以 不 得 尊 者 語 言 能 受 我 語 當 教 授 汝 化 
T50n2042_006:0123b26	作高樹語使上頭。四邊化作千肘深坑。語	作 高 樹 語 使 上 頭 四 邊 化 作 千 肘 深 坑 語 
T50n2042_006:0123b27	言。放右手。又言。放左脚。後放右脚。更復	言 放 右 手 又 言 放 左 脚 後 放 右 脚 更 復 
T50n2042_006:0123b28	語言。盡皆都放。此人于時分捨身命都放手	語 言 盡 皆 都 放 此 人 于 時 分 捨 身 命 都 放 手 
T50n2042_006:0123b29	足。即時到地。不見深坑亦不見樹。為說深法	足 即 時 到 地 不 見 深 坑 亦 不 見 樹 為 說 深 法 
T50n2042_006:0123c01	得阿羅漢。便語擲籌著於窟中。	得阿羅漢 便 語 擲 籌 著 於 窟 中 
T50n2042_006:0123c02	摩突羅國有族姓子。向尊者毱多所欲求出	摩 突 羅 國 有 族 姓 子 向 尊 者 毱 多 所 欲 求 出 
T50n2042_006:0123c03	家。於是尊者即度使出家。以慳覆心故不能	家 於 是 尊 者 即 度 使 出 家 以 慳 覆 心 故 不 能 
T50n2042_006:0123c04	得道。尊者勅言。汝今可修布施之業。白尊者	得 道 尊 者 勅 言 汝 今 可 修 布 施 之 業 白 尊 者 
T50n2042_006:0123c05	言都無所有。以何布施。尊者言。如法所得飲	言 都無所有 以 何 布 施 尊 者 言 如 法 所 得 飲 
T50n2042_006:0123c06	食衣鉢之餘。持施上下座。初日語時不肯欲	食 衣 鉢 之 餘 持 施 上 下 座 初 日 語 時 不 肯 欲 
T50n2042_006:0123c07	與後日尊者遣二弟子在是比丘兩邊而坐。	與 後 日 尊 者 遣 二 弟 子 在 是 比 丘 兩 邊 而 坐 
T50n2042_006:0123c08	各耳中出光是慳比丘生敬尚心。減少食分	各 耳 中 出 光 是 慳 比 丘 生 敬 尚 心 減 少 食 分 
T50n2042_006:0123c09	施上下座。後日有檀越多持好飲食來與。便	施 上 下 座 後 日 有 檀 越 多 持 好 飲 食 來 與 便 
T50n2042_006:0123c10	心生歡喜而作是念。由昨日少施今日得多。	心生歡喜 而 作 是 念 由 昨 日 少 施 今 日 得 多 
T50n2042_006:0123c11	復轉多施上下座。如是慳心破已。尊者為說	復 轉 多 施 上 下 座 如 是 慳 心 破 已 尊 者 為 說 
T50n2042_006:0123c12	法要得阿羅漢。遂便語言使著籌窟中。	法 要 得阿羅漢 遂 便 語 言 使 著 籌 窟 中 
T50n2042_006:0123c13	摩突羅國有一族姓子。詣尊者所求欲出家。	摩 突 羅 國 有 一 族 姓 子 詣 尊 者 所 求 欲 出 家 
T50n2042_006:0123c14	即聽出家。常好睡眠不能得道。尊者毱多遣	即 聽 出 家 常 好 睡 眠 不 能 得 道 尊 者 毱 多 遣 
T50n2042_006:0123c15	使向阿練若處坐禪。坐禪復眠。尊者化作七	使 向 阿練若處 坐 禪 坐 禪 復 眠 尊 者 化 作 七 
T50n2042_006:0123c16	頭毘舍闍倒懸空中。卒覺見已。極大怖畏走	頭 毘 舍 闍 倒 懸 空 中 卒 覺 見 已 極 大 怖 畏 走 
T50n2042_006:0123c17	詣和上所。和上問言。汝何以來。白和上言。在	詣 和 上 所 和 上 問 言 汝 何 以 來 白 和 上 言 在 
T50n2042_006:0123c18	彼林中有七頭毘舍闍。倒懸空中。極可怖畏。	彼 林 中 有 七 頭 毘 舍 闍 倒 懸 空 中 極 可 怖 畏 
T50n2042_006:0123c19	尊者語言。汝今還去詣彼坐禪。白言。極怖不	尊 者 語 言 汝 今 還 去 詣 彼 坐 禪 白 言 極 怖 不 
T50n2042_006:0123c20	敢復去。尊者言。毘舍闍不足畏怖。更有極可	敢 復 去 尊 者 言 毘 舍 闍 不 足 畏 怖 更 有 極 可 
T50n2042_006:0123c21	畏者。汝不畏之。睡眠可畏。甚於毘舍闍。毘舍	畏 者 汝 不 畏 之 睡 眠 可 畏 甚 於 毘 舍 闍 毘 舍 
T50n2042_006:0123c22	闍遮汝睡眠。睡眠遮汝聖道。毘舍闍者能害	闍 遮 汝 睡 眠 睡 眠 遮 汝 聖 道 毘 舍 闍 者 能 害 
T50n2042_006:0123c23	一身。睡眠之患害無量身。毘舍闍者。不能使	一 身 睡 眠 之 患 害 無 量 身 毘 舍 闍 者 不 能 使 
T50n2042_006:0123c24	人留住生死。睡眠之患。淋漏於人流轉生死。	人 留 住 生 死 睡 眠 之 患 淋 漏 於 人 流轉生死 
T50n2042_006:0123c25	汝今還去詣彼坐禪。從是以後。畏毘舍闍不	汝 今 還 去 詣 彼 坐 禪 從 是 以 後 畏 毘 舍 闍 不 
T50n2042_006:0123c26	敢睡眠。思惟法相豁然悟解得阿羅漢。語使	敢 睡 眠 思 惟 法 相 豁 然 悟 解 得阿羅漢 語 使 
T50n2042_006:0123c27	捉籌擲著窟中。	捉 籌 擲 著 窟 中 
T50n2042_006:0123c28	有一族姓子。詣尊者優波毱多所出家。尊者	有 一 族 姓 子 詣 尊 者 優 波 毱 多 所 出 家 尊 者 
T50n2042_006:0123c29	即時度使出家。為其說法得須陀洹道。而語	即 時 度 使 出 家 為 其 說 法 得 須陀洹道 而 語 
T50n2042_006:0124a01	之言。生死之法不問多少。皆可惡賤。汝當勤	之 言 生 死 之 法 不 問 多 少 皆 可 惡 賤 汝 當 勤 
T50n2042_006:0124a02	求上果。彼比丘作是念言。我已斷三惡道。何	求 上 果 彼 比 丘 作是念言 我 已 斷 三 惡 道 何 
T50n2042_006:0124a03	須進求上勝之果。遊恣縱捨人天之中極至	須 進 求 上 勝 之 果 遊 恣 縱 捨 人 天 之 中 極 至 
T50n2042_006:0124a04	七生。此何足計。尊者毱多將是比丘入摩突	七 生 此 何 足 計 尊 者 毱 多 將 是 比 丘 入 摩 突 
T50n2042_006:0124a05	羅乞食。真陀羅村中見一小兒。舉身生瘡。瘡	羅 乞 食 真 陀 羅 村 中 見 一 小 兒 舉 身 生 瘡 瘡 
T50n2042_006:0124a06	中滿虫。尊者毱多語是比丘言。見此小兒	中 滿 虫 尊 者 毱 多 語 是 比 丘 言 見 此 小 兒 
T50n2042_006:0124a07	不。此小兒是須陀洹人。族姓比丘問尊者言。	不 此 小 兒 是 須 陀 洹 人 族 姓 比 丘 問 尊 者 言 
T50n2042_006:0124a08	以何因緣生真陀羅家。遍身生瘡疽虫臭穢	以何因緣 生 真 陀 羅 家 遍 身 生 瘡 疽 虫 臭 穢 
T50n2042_006:0124a09	尊者答言。佛在世時。有一禪坊。中有維那。	尊 者 答 言 佛 在 世 時 有 一 禪 坊 中 有 維 那 
T50n2042_006:0124a10	有一羅漢比丘。身體少痒爬搔有聲。維那	有 一 羅 漢 比 丘 身 體 少 痒 爬 搔 有 聲 維 那 
T50n2042_006:0124a11	瞋言。汝身有疽虫瘡耶。此中爬搔出向真陀	瞋 言 汝 身 有 疽 虫 瘡 耶 此 中 爬 搔 出 向 真 陀 
T50n2042_006:0124a12	羅村去。羅漢比丘語言。莫作是語。使汝得罪。	羅 村 去 羅 漢 比 丘 語 言 莫作是語 使 汝 得 罪 
T50n2042_006:0124a13	爾時維那即從懺悔精進用行得須陀洹道。	爾 時 維 那 即 從 懺 悔 精 進 用 行 得 須陀洹道 
T50n2042_006:0124a14	不求上進。由是因緣舉身瘡生疽虫臭穢。	不 求 上 進 由是因緣 舉 身 瘡 生 疽 虫 臭 穢 
T50n2042_006:0124a15	生真陀羅家受大苦惱。彼比丘聞是語已。即	生 真 陀 羅 家 受 大 苦 惱 彼 比 丘 聞 是 語 已 即 
T50n2042_006:0124a16	勤精進得羅漢道。便復與籌令著窟中。真	勤 精 進 得 羅 漢 道 便 復 與 籌 令 著 窟 中 真 
T50n2042_006:0124a17	陀羅子。尊者毱多。即為說法得阿那含道。生	陀 羅 子 尊 者 毱 多 即 為 說 法 得 阿 那 含 道 生 
T50n2042_006:0124a18	淨居天。	淨 居 天 
T50n2042_006:0124a19	摩突羅國有族姓子。詣尊者所而求出家。出	摩 突 羅 國 有 族 姓 子 詣 尊 者 所 而 求 出 家 出 
T50n2042_006:0124a20	家已。尊者教觀不淨諸使暫不現前。自謂	家 已 尊 者 教 觀 不 淨 諸 使 暫 不 現 前 自 謂 
T50n2042_006:0124a21	已得聖道。更不求上勝。尊者語言。子莫自放	已 得 聖 道 更 不 求 上 勝 尊 者 語 言 子 莫 自 放 
T50n2042_006:0124a22	逸勤求聖道。白和上言。更何所為。我今便已	逸 勤 求 聖 道 白 和 上 言 更 何 所 為 我 今 便 已 
T50n2042_006:0124a23	得阿羅漢。尊者告言。子汝但未見乾陀越國	得阿羅漢 尊 者 告 言 子 汝 但 未 見 乾 陀 越 國 
T50n2042_006:0124a24	迦羅和女。故自言是阿羅漢。以未斷結使生	迦 羅 和 女 故 自 言 是 阿 羅 漢 以 未 斷 結 使 生 
T50n2042_006:0124a25	憍慢心。白和上言。我欲遊行詣彼村落。尊者	憍 慢 心 白 和 上 言 我 欲 遊 行 詣 彼 村 落 尊 者 
T50n2042_006:0124a26	言。子去。於是便去。漸漸遊行至乾陀越國得	言 子 去 於 是 便 去 漸 漸 遊 行 至 乾 陀 越 國 得 
T50n2042_006:0124a27	叉尸羅城。晨朝著衣持鉢入城乞食。次第乞	叉 尸 羅 城 晨 朝 著衣持鉢 入 城 乞 食 次 第 乞 
T50n2042_006:0124a28	食到迦羅門中。女擎食出而少現齒。於是比	食 到 迦 羅 門 中 女 擎 食 出 而 少 現 齒 於 是 比 
T50n2042_006:0124a29	丘便起欲心顛倒惑著。以鉢囊取酪取[麩夫+少]。彼	丘 便 起 欲 心 顛 倒 惑 著 以 鉢 囊 取 酪 取 [麩夫少] 彼 
T50n2042_006:0124b01	女亦生欲心而作是語。阿闍梨。不觸我手。不	女 亦 生 欲 心 而 作 是 語 阿 闍 梨 不 觸 我 手 不 
T50n2042_006:0124b02	聞我聲。暫遙見我而生欲心。彼比丘久習不	聞 我 聲 暫 遙 見 我 而 生 欲 心 彼 比 丘 久 習 不 
T50n2042_006:0124b03	淨觀。取其齒相即觀作白骨人。因是白骨人	淨 觀 取 其 齒 相 即 觀 作 白 骨 人 因 是 白 骨 人 
T50n2042_006:0124b04	觀得阿羅漢。便說偈言。	觀 得阿羅漢 便 說 偈 言 
T50n2042_006:0124b05	　欲現外賢好　　嬰愚深惑著	 欲 現 外 賢 好 嬰 愚 深 惑 著 
T50n2042_006:0124b06	　知了內生厭　　亦復不減損	 知 了 內 生 厭 亦 復 不 減 損 
T50n2042_006:0124b07	　見其實體相　　心即得解脫	 見 其 實 體 相 心 即 得 解 脫 
T50n2042_006:0124b08	以漸還來至摩突羅國。見尊者毱多。尊者語	以 漸 還 來 至 摩 突 羅 國 見 尊 者 毱 多 尊 者 語 
T50n2042_006:0124b09	言。汝見迦羅和女不。答言。實見。尊者言。善	言 汝 見 迦 羅 和 女 不 答 言 實 見 尊 者 言 善 
T50n2042_006:0124b10	哉。汝所作事今始得辦。於是便擲籌窟中。	哉 汝 所 作 事 今 始 得 辦 於 是 便 擲 籌 窟 中 
T50n2042_006:0124b11	摩突羅國有一長者。錢財所有自然衰耗家	摩 突 羅 國 有 一 長 者 錢 財 所 有 自 然 衰 耗 家 
T50n2042_006:0124b12	計幾盡。唯五百舊金錢在。作是思惟。我今當	計 幾 盡 唯 五 百 舊 金 錢 在 作是思惟 我 今 當 
T50n2042_006:0124b13	詣尊者毱多所而求出家。此金錢者作醫藥	詣 尊 者 毱 多 所 而 求 出 家 此 金 錢 者 作 醫 藥 
T50n2042_006:0124b14	直療治疾病。即詣尊者出家。得出家已常倩	直 療 治 疾 病 即 詣 尊 者 出 家 得 出 家 已 常 倩 
T50n2042_006:0124b15	他沙彌藏此金錢。尊者語言。若能知我無我	他 沙 彌 藏 此 金 錢 尊 者 語 言 若 能 知 我 無 我 
T50n2042_006:0124b16	是名出家。此五百金錢可與眾僧。答言。和上	是 名 出 家 此 五 百 金 錢 可 與 眾 僧 答 言 和 上 
T50n2042_006:0124b17	此五百錢是我衣直湯藥之直。尊者即將向	此 五 百 錢 是 我 衣 直 湯 藥 之 直 尊 者 即 將 向 
T50n2042_006:0124b18	房裏化作千金錢。語言。此千金錢作汝衣服	房 裏 化 作 千 金 錢 語 言 此 千 金 錢 作 汝 衣 服 
T50n2042_006:0124b19	湯藥之直。汝五百金錢施與眾僧。從和上教	湯 藥 之 直 汝 五 百 金 錢 施 與 眾 僧 從 和 上 教 
T50n2042_006:0124b20	便以施僧。尊者教授即得羅漢。於此金錢不	便 以 施 僧 尊 者 教 授 即 得 羅 漢 於 此 金 錢 不 
T50n2042_006:0124b21	復貪著。遂語擲籌著於窟中。	復 貪 著 遂 語 擲 籌 著 於 窟 中 
T50n2042_006:0124b22	摩突羅國有族姓子。詣尊者所出家學道。	摩 突 羅 國 有 族 姓 子 詣 尊 者 所 出家學道 
T50n2042_006:0124b23	尊者即便教授以法得須陀洹。得已不復進	尊 者 即 便 教 授 以 法 得 須 陀 洹 得 已 不 復 進 
T50n2042_006:0124b24	修。尊者勅言。汝勤修道業。答言。和上。我以	修 尊 者 勅 言 汝 勤 修 道 業 答 言 和 上 我 以 
T50n2042_006:0124b25	斷三惡趣。何須更修。尊者晨朝著衣持鉢共	斷 三 惡 趣 何 須 更 修 尊 者 晨 朝 著衣持鉢 共 
T50n2042_006:0124b26	此比丘向摩突城次第乞食。乃至真陀羅子	此 比 丘 向 摩 突 城 次第乞食 乃 至 真 陀 羅 子 
T50n2042_006:0124b27	身有癩瘡。父母以鏵削瘡極令血出。而為著	身 有 癩 瘡 父 母 以 鏵 削 瘡 極 令 血 出 而 為 著 
T50n2042_006:0124b28	藥。患其疼痛不能堪忍。尊者語其弟子言。汝	藥 患 其 疼 痛 不 能 堪 忍 尊 者 語 其 弟 子 言 汝 
T50n2042_006:0124b29	見此不。此是須陀洹。問和上言。以何業緣受	見 此 不 此 是 須 陀 洹 問 和 上 言 以 何 業 緣 受 
T50n2042_006:0124c01	大苦痛。尊者答言。佛在世時。禪坊之中有一	大 苦 痛 尊 者 答 言 佛 在 世 時 禪 坊 之 中 有 一 
T50n2042_006:0124c02	維那。時有羅漢比丘。身生瘡痍少多爬搔。	維 那 時 有 羅 漢 比 丘 身 生 瘡 痍 少 多 爬 搔 
T50n2042_006:0124c03	維那瞋言。汝身上瘡以鏵削爬。即挽手出	維 那 瞋 言 汝 身 上 瘡 以 鏵 削 爬 即 挽 手 出 
T50n2042_006:0124c04	而語之言。汝向真陀羅村去。阿羅漢語言。汝	而 語 之 言 汝 向 真 陀 羅 村 去 阿 羅 漢 語 言 汝 
T50n2042_006:0124c05	得大罪。今可懺悔。時彼維那懺悔精進得須	得 大 罪 今 可 懺 悔 時 彼 維 那 懺 悔 精 進 得 須 
T50n2042_006:0124c06	陀洹。得道訖已不求進故受此大苦生真陀	陀 洹 得 道 訖 已 不 求 進 故 受 此 大 苦 生 真 陀 
T50n2042_006:0124c07	羅家。爾時比丘聞是語已。心開意解。精進	羅 家 爾 時 比 丘 聞 是 語 已 心 開 意 解 精 進 
T50n2042_006:0124c08	不久得阿羅漢。便使擲籌著於窟中。尊者即	不 久 得阿羅漢 便 使 擲 籌 著 於 窟 中 尊 者 即 
T50n2042_006:0124c09	為真陀羅子說法得阿那含道。命終之後生	為 真 陀 羅 子 說 法 得 阿 那 含 道 命終之後 生 
T50n2042_006:0124c10	淨居天。	淨 居 天 
T50n2042_006:0124c11	摩突羅國有一勝長者。生於一子。年始一歲	摩 突 羅 國 有 一 勝 長 者 生 於 一 子 年 始 一 歲 
T50n2042_006:0124c12	命終。復生一長者家亦年一歲而復命終。如	命 終 復 生 一 長 者 家 亦 年 一 歲 而 復 命 終 如 
T50n2042_006:0124c13	是次第生六長者家。皆年一歲而便命終。最	是 次 第 生 六 長 者 家 皆 年 一 歲 而 便 命 終 最 
T50n2042_006:0124c14	後復生第七長者。家年七歲為賊將去。尊	後 復 生 第 七 長 者 家 年 七 歲 為 賊 將 去 尊 
T50n2042_006:0124c15	者毱多觀此小兒。應當現身得於道果。而復	者 毱 多 觀 此 小 兒 應 當 現 身 得 於 道 果 而 復 
T50n2042_006:0124c16	為賊之所惱。尊者復為度彼即便入室化作	為 賊 之 所 惱 尊 者 復 為 度 彼 即 便 入 室 化 作 
T50n2042_006:0124c17	四兵欲捉彼賊。彼賊恐怖來向尊者叩頭禮	四 兵 欲 捉 彼 賊 彼 賊 恐 怖 來 向 尊 者 叩 頭 禮 
T50n2042_006:0124c18	拜。尊者見已為說法要得須陀洹。捉此小兒	拜 尊 者 見 已 為 說 法 要 得 須 陀 洹 捉 此 小 兒 
T50n2042_006:0124c19	手布施尊者。尊者於是度此小兒及彼劫賊	手 布 施 尊 者 尊 者 於 是 度 此 小 兒 及 彼 劫 賊 
T50n2042_006:0124c20	悉令出家。皆得阿羅漢。盡各語使擲籌著	悉 令 出 家 皆 得阿羅漢 盡 各 語 使 擲 籌 著 
T50n2042_006:0124c21	於窟中。尊者語此小兒。可觀汝親族而化度	於 窟 中 尊 者 語 此 小 兒 可 觀 汝 親 族 而 化 度 
T50n2042_006:0124c22	之。於是小兒即坐觀察。見於七世本身父母	之 於 是 小 兒 即 坐 觀 察 見 於 七 世 本 身 父 母 
T50n2042_006:0124c23	愁憂苦惱。便到其家而語之言。我是汝子。莫	愁 憂 苦 惱 便 到 其 家 而 語 之 言 我 是 汝 子 莫 
T50n2042_006:0124c24	大愁惱。即為說法得須陀洹。如是七長者家	大 愁 惱 即 為 說 法 得 須 陀 洹 如 是 七 長 者 家 
T50n2042_006:0124c25	悉為說法。皆得須陀洹。	悉 為 說 法 皆 得 須 陀 洹 
T50n2042_006:0124c26	摩突羅國有一族姓子。詣尊者所出家。尊者	摩 突 羅 國 有 一 族 姓 子 詣 尊 者 所 出 家 尊 者 
T50n2042_006:0124c27	教使坐禪。便得世俗定。初禪二禪乃至第四	教 使 坐 禪 便 得 世 俗 定 初 禪 二 禪 乃 至 第 四 
T50n2042_006:0124c28	禪。得初禪時便自以為得須陀洹。及得二禪	禪 得 初 禪 時 便 自 以 為 得 須 陀 洹 及 得 二 禪 
T50n2042_006:0124c29	謂得斯陀含。三禪謂得阿那含。四禪謂得阿	謂 得 斯 陀 含 三 禪 謂 得 阿 那 含 四 禪 謂 得 阿 
T50n2042_006:0125a01	羅漢。更不進求上勝之法。尊者勅言。汝莫放	羅 漢 更 不 進 求 上 勝 之 法 尊 者 勅 言 汝 莫 放 
T50n2042_006:0125a02	逸。應求上勝法。答言。我已得阿羅漢。更求何	逸 應 求 上 勝 法 答 言 我 已 得阿羅漢 更 求 何 
T50n2042_006:0125a03	勝法。尊者欲化度彼。作善方便而語之言。子	勝 法 尊 者 欲 化 度 彼 作 善 方 便 而 語 之 言 子 
T50n2042_006:0125a04	汝可遊化諸聚落。於是受教遂便發去。尊者	汝 可 遊 化 諸 聚 落 於 是 受 教 遂 便 發 去 尊 者 
T50n2042_006:0125a05	即於道中化作賈客。復化作五百群賊來破	即 於 道 中 化 作 賈 客 復 化 作 五 百 群 賊 來 破 
T50n2042_006:0125a06	賈客殺害斫刺。族姓比丘即生恐怖。自知非	賈 客 殺 害 斫 刺 族 姓 比 丘 即 生 恐 怖 自 知 非 
T50n2042_006:0125a07	阿羅漢。而作是言。我雖非阿羅漢是阿那含。	阿 羅 漢 而 作 是 言 我 雖 非 阿 羅 漢 是 阿 那 含 
T50n2042_006:0125a08	時彼賈客亡破之後。有一長者女語是比丘	時 彼 賈 客 亡 破 之 後 有 一 長 者 女 語 是 比 丘 
T50n2042_006:0125a09	言。阿闍梨。將我共去。比丘答言。佛不聽我與	言 阿 闍 梨 將 我 共 去 比 丘 答 言 佛 不 聽 我 與 
T50n2042_006:0125a10	女人獨行。長者女言。我遙望阿闍梨而隨後	女 人 獨 行 長 者 女 言 我 遙 望 阿 闍 梨 而 隨 後 
T50n2042_006:0125a11	行。比丘憐愍故相望而行。尊者復化作大河。	行 比 丘 憐 愍 故 相 望 而 行 尊 者 復 化 作 大 河 
T50n2042_006:0125a12	長者女言。阿闍梨度我過河。道人在下流。	長 者 女 言 阿 闍 梨 度 我 過 河 道 人 在 下 流 
T50n2042_006:0125a13	婦女在上流。婦女墮河。佛聽比丘水火難處	婦 女 在 上 流 婦 女 墮 河 佛 聽 比 丘 水 火 難 處 
T50n2042_006:0125a14	捉婦女出。婦女墮河。語比丘言。救我此難。	捉 婦 女 出 婦 女 墮 河 語 比 丘 言 救 我 此 難 
T50n2042_006:0125a15	爾時比丘即便捉出。當捉之時。生細滑想。便	爾 時 比 丘 即 便 捉 出 當 捉 之 時 生 細 滑 想 便 
T50n2042_006:0125a16	起欲心。於是自知非阿那含。出河已竟。女作	起 欲 心 於 是 自 知 非 阿 那 含 出 河 已 竟 女 作 
T50n2042_006:0125a17	是言。阿闍梨活我命。即是我大家。道人心生	是 言 阿 闍 梨 活 我 命 即 是 我 大 家 道 人 心 生 
T50n2042_006:0125a18	交通之想。捉女人手將向屏處欲共行欲。乃	交 通 之 想 捉 女 人 手 將 向 屏 處 欲 共 行 欲 乃 
T50n2042_006:0125a19	見是尊者毱多。毱多語言。汝得阿羅漢。云	見 是 尊 者 毱 多 毱 多 語 言 汝 得阿羅漢 云 
T50n2042_006:0125a20	何如此。尊者即便將至僧房教其至心懺悔	何 如 此 尊 者 即 便 將 至 僧 房 教 其 至 心 懺 悔 
T50n2042_006:0125a21	罪咎。為說法要即得阿羅漢。語使著籌於彼	罪 咎 為 說 法 要 即 得阿羅漢 語 使 著 籌 於 彼 
T50n2042_006:0125a22	窟中。	窟 中 
T50n2042_006:0125a23	摩突羅國有一長者子新取婦。竟辭其父母	摩 突 羅 國 有 一 長 者 子 新 取 婦 竟 辭 其 父 母 
T50n2042_006:0125a24	向尊者所。求哀出家。尊者即時度使出家。	向 尊 者 所 求 哀 出 家 尊 者 即 時 度 使 出 家 
T50n2042_006:0125a25	教受禪法。及其坐禪。心念己婦顏貌端正。	教 受 禪 法 及 其 坐 禪 心 念 己 婦 顏 貌 端 正 
T50n2042_006:0125a26	尊者即化其婦在前而立。比丘見已語其婦	尊 者 即 化 其 婦 在 前 而 立 比 丘 見 已 語 其 婦 
