X69n1352_001:0303c06	 白雲禪錄	 白 雲 禪 錄 
X69n1352_004:0322c24	北番王子彎弓射。南國將軍仰面看。沙上空餘斜影	北 番 王 子 彎 弓 射 南 國 將 軍 仰 面 看 沙 上 空 餘 斜 影 
X69n1352_004:0323a01	在。翩翩直自入雲端。	在 翩 翩 直 自 入 雲 端 
X69n1352_004:0323a02	良遂座主參麻谷。第一度上去。谷見來。便掩	良 遂 座 主 參 麻 谷 第 一 度 上 去 谷 見 來 便 掩 
X69n1352_004:0323a03	却方丈門。至來日又上去。谷都不顧。自携鋤	却 方 丈 門 至 來 日 又 上 去 谷 都 不 顧 自 携 鋤 
X69n1352_004:0323a04	頭。入園裏去。至次日。又上去。谷見來。高聲喚	頭 入 園 裏 去 至 次 日 又 上 去 谷 見 來 高 聲 喚 
X69n1352_004:0323a05	云。良遂。良遂應喏。聲未絕。忽有省。乃云。和尚	云 良 遂 良 遂 應 喏 聲 未 絕 忽 有 省 乃 云 和 尚 
X69n1352_004:0323a06	不得謾良遂。良遂若不來見和尚。洎被十二	不 得 謾 良 遂 良 遂 若 不 來 見 和 尚 洎 被 十 二 
X69n1352_004:0323a07	本經論。賺過一生。便歸本院。賣却房子。作一	本 經 論 賺 過 一 生 便 歸 本 院 賣 却 房 子 作 一 
X69n1352_004:0323a08	罷講齋。集諸講侶云。諸人知處。良遂盡知。良	罷 講 齋 集 諸 講 侶 云 諸 人 知 處 良 遂 盡 知 良 
X69n1352_004:0323a09	遂知處。諸人不知。	遂 知 處 諸 人 不 知 
X69n1352_004:0323a10	閉戶携鋤已太賒。更來當面受糊塗。(音茶)光中自覺遭	閉 戶 携 鋤 已 太 賒 更 來 當 面 受 糊 塗 音 茶 光 中 自 覺 遭 
X69n1352_004:0323a11	謾久。方信無人共出家。	謾 久 方 信 無 人 共 出 家 
X69n1352_004:0323a12	僧問趙州。承聞和尚。親見南泉來。是否。州云。	僧 問 趙 州 承 聞 和 尚 親 見 南 泉 來 是 否 州 云 
X69n1352_004:0323a13	鎮州出大蘿蔔頭。	鎮 州 出 大 蘿 蔔 頭 
X69n1352_004:0323a14	鎮州出大蘿蔔頭。報君來處要分曉。衲僧多是渾圝	鎮 州 出 大 蘿 蔔 頭 報 君 來 處 要 分 曉 衲 僧 多 是 渾 圝 
X69n1352_004:0323a15	吞。子細得他滋味少。	吞 子 細 得 他 滋 味 少 
X69n1352_004:0323a16	維摩問文殊不二法門。	維 摩 問 文 殊 不二法門 
X69n1352_004:0323a17	一箇兩箇百千萬。屈指尋文數不辨。暫時放在暗牕	一 箇 兩 箇 百 千 萬 屈 指 尋 文 數 不 辨 暫 時 放 在 暗 牕 
X69n1352_004:0323a18	前。明日與君重計筭。	前 明 日 與 君 重 計 筭 
X69n1352_004:0323a19	楞嚴經云。吾不見時。何不見吾不見之處。若	楞 嚴 經 云 吾 不 見 時 何 不 見 吾 不 見 之 處 若 
X69n1352_004:0323a20	見不見。自然非彼不見之相。若不見吾不見	見 不 見 自 然 非 彼 不 見 之 相 若 不 見 吾 不 見 
X69n1352_004:0323a21	之地。自然非物。云何非汝。	之 地 自 然 非 物 云 何 非 汝 
X69n1352_004:0323a22	堂前露柱久懷胎。長下孩兒頗俊哉。未解語言先作	堂 前 露 柱 久 懷 胎 長 下 孩 兒 頗 俊 哉 未 解 語 言 先 作 
X69n1352_004:0323a23	賦。一操便取狀元來。	賦 一 操 便 取 狀 元 來 
X69n1352_004:0323a24	金剛經云。若為人輕賤。是人先世罪業。應墮	金 剛 經 云 若 為 人 輕 賤 是 人 先 世 罪 業 應 墮 
X69n1352_004:0323b01	惡道。以今世人輕賤故。先世罪業則為消滅。	惡 道 以 今 世 人 輕 賤 故 先 世 罪 業 則 為 消 滅 
X69n1352_004:0323b02	水不洗水誰不知。旋嵐常靜太驅馳。千年曆日如能	水 不 洗 水 誰 不 知 旋 嵐 常 靜 太 驅 馳 千 年 曆 日 如 能 
X69n1352_004:0323b03	用。免被巡官指上推。	用 免 被 巡 官 指 上 推 
X69n1352_004:0323b04	請傅大士講經。	請 傅 大 士 講 經 
X69n1352_004:0323b05	大士何曾會講經。志公方便且相成。一揮案上俱無	大 士 何 曾 會 講 經 志 公 方 便 且 相 成 一 揮 案 上 俱 無 
X69n1352_004:0323b06	取。直得梁王努眼睛。	取 直 得 梁 王 努 眼 睛 
X69n1352_004:0323b07	龍潭本荊州餅人。家近天皇。每日新送十餅。	龍 潭 本 荊 州 餅 人 家 近 天 皇 每 日 新 送 十 餅 
X69n1352_004:0323b08	上天皇和尚。天皇常迴一餅云。惠汝以蔭子	上 天 皇 和 尚 天 皇 常 迴 一 餅 云 惠 汝 以 蔭 子 
X69n1352_004:0323b09	孫。如是經歲。月忽一日問。此餅是弟子將來。	孫 如 是 經 歲 月 忽 一 日 問 此 餅 是 弟 子 將 來 
X69n1352_004:0323b10	因何却言惠。汝天皇。云是汝將來。復汝何咎。	因 何 却 言 惠 汝 天 皇 云 是 汝 將 來 復 汝 何 咎 
X69n1352_004:0323b11	餅人微有省。	餅 人 微 有 省 
X69n1352_004:0323b12	十餅每須回一箇。因思何謂蔭兒孫。團團將出還將	十 餅 每 須 回 一 箇 因 思 何 謂 蔭 兒 孫 團 團 將 出 還 將 
X69n1352_004:0323b13	入。不覺醍醐到頂門。	入 不 覺 醍 醐 到 頂 門 
X69n1352_004:0323b14	龍潭遂投天皇出家。執持經于三載。一日乃	龍 潭 遂 投 天 皇 出 家 執 持 經 于 三 載 一 日 乃 
X69n1352_004:0323b15	問。某甲到來。竝不蒙和尚。指示心要。皇云汝	問 某 甲 到 來 竝 不 蒙 和 尚 指 示 心 要 皇 云 汝 
X69n1352_004:0323b16	擎茶來。吾為汝受。汝問訊時。吾即低首。何處	擎 茶 來 吾 為 汝 受 汝 問 訊 時 吾 即 低 首 何 處 
X69n1352_004:0323b17	不示汝心要。龍潭佇思。皇云。見即便見。擬思	不 示 汝 心 要 龍 潭 佇 思 皇 云 見 即 便 見 擬 思 
X69n1352_004:0323b18	則差。龍潭豁然大悟。	則 差 龍 潭 豁 然 大 悟 
X69n1352_004:0323b19	脫白投師貴辛苦。擎茶問訊盡躬親。無端再敘三年	脫 白 投 師 貴 辛 苦 擎 茶 問 訊 盡 躬 親 無 端 再 敘 三 年 
X69n1352_004:0323b20	事。笑殺街頭賣餅人。	事 笑 殺 街 頭 賣 餅 人 
X69n1352_004:0323b21	德山在龍潭室中侍立。夜深。潭云何不下去。	德 山 在 龍 潭 室 中 侍 立 夜 深 潭 云 何 不 下 去 
X69n1352_004:0323b22	便珍重揭簾。見外面黑。乃云外面黑。潭云來。	便 珍 重 揭 簾 見 外 面 黑 乃 云 外 面 黑 潭 云 來 
X69n1352_004:0323b23	遂撚一紙燭子。度與山。山才舉手到燭邊。潭	遂 撚 一 紙 燭 子 度 與 山 山 才 舉 手 到 燭 邊 潭 
X69n1352_004:0323b24	驀然吹殺。山便禮拜。潭云子見什麼道理。便	驀 然 吹 殺 山 便 禮 拜 潭 云 子 見 什 麼 道 理 便 
X69n1352_004:0323c01	禮拜。山云從今日去。不疑天下老和尚舌頭	禮 拜 山 云 從 今 日 去 不 疑 天 下 老 和 尚 舌 頭 
X69n1352_004:0323c02	也。潭云子他後向孤峰頂上。盤結艸菴。呵佛	也 潭 云 子 他 後 向 孤 峰 頂 上 盤 結 艸 菴 呵 佛 
X69n1352_004:0323c03	罵祖去在。	罵 祖 去 在 
X69n1352_004:0323c04	明暗相凌不足云。絲毫有解未為親。紙燈忽滅眼睛	明 暗 相 凌 不 足 云 絲 毫 有 解 未 為 親 紙 燈 忽 滅 眼 睛 
X69n1352_004:0323c05	出。打破大唐無一人。	出 打 破 大 唐 無 一 人 
X69n1352_004:0323c06	廓侍者問德山。從上諸聖。向什麼處去也。山	廓 侍 者 問 德 山 從 上 諸 聖 向 什 麼 處 去 也 山 
X69n1352_004:0323c07	云作麼作麼。廓云官家自點飛龍馬。跛鱉出	云 作 麼 作 麼 廓 云 官 家 自 點 飛 龍 馬 跛 鱉 出 
X69n1352_004:0323c08	頭作什麼。山便休去。至來日。浴次。山將木行	頭 作 什 麼 山 便 休 去 至 來 日 浴 次 山 將 木 行 
X69n1352_004:0323c09	者。打廓一下。廓迴首。山云昨夜公案作麼生。	者 打 廓 一 下 廓 迴 首 山 云 昨 夜 公 案 作 麼 生 
X69n1352_004:0323c10	廓云老漢今日。方始瞥地。	廓 云 老 漢 今 日 方 始 瞥 地 
X69n1352_004:0323c11	雲鵬展翅天無光。井底蝦蟆剛咄咄。太陽忽轉跳出	雲 鵬 展 翅 天 無 光 井 底 蝦 蟆 剛 咄 咄 太 陽 忽 轉 跳 出 
X69n1352_004:0323c12	來。千峰萬峰空突兀。	來 千 峰 萬 峰 空 突 兀 
X69n1352_004:0323c13	雪峰住菴時。有兩僧來禮拜。峰見來。以手托	雪 峰 住 菴 時 有 兩 僧 來 禮 拜 峰 見 來 以 手 托 
X69n1352_004:0323c14	菴門。放身出云。是什麼。僧亦云是什麼。峰低	菴 門 放 身 出 云 是 什 麼 僧 亦 云 是 什 麼 峰 低 
X69n1352_004:0323c15	頭歸菴裏。僧後到嵓頭。頭問什麼處來。僧云	頭 歸 菴 裏 僧 後 到 嵓 頭 頭 問 什 麼 處 來 僧 云 
X69n1352_004:0323c16	嶺南來。頭云曾到雪峰麼。僧云到。頭云有何	嶺 南 來 頭 云 曾 到 雪 峰 麼 僧 云 到 頭 云 有 何 
X69n1352_004:0323c17	言句。僧舉前話。頭云他道什麼。僧云無語低	言 句 僧 舉 前 話 頭 云 他 道 什 麼 僧 云 無 語 低 
X69n1352_004:0323c18	頭入菴去。頭云噫我當初悔不向他說末後	頭 入 菴 去 頭 云 噫 我 當 初 悔 不 向 他 說 末 後 
X69n1352_004:0323c19	句。若向說。天下人不奈雪老何。僧至夏末請	句 若 向 說 天 下 人 不 奈 雪 老 何 僧 至 夏 末 請 
X69n1352_004:0323c20	益。頭云何不問。僧云不敢容易。頭云雪峰雖	益 頭 云 何 不 問 僧 云 不 敢 容 易 頭 云 雪 峰 雖 
X69n1352_004:0323c21	與我仝條生。不與我仝條死。要識末後句。只	與 我 仝 條 生 不 與 我 仝 條 死 要 識 末 後 句 只 
X69n1352_004:0323c22	者是。	者 是 
X69n1352_004:0323c23	雪峰却入菴中後。路上無人見得伊。賴有故人千里	雪 峰 却 入 菴 中 後 路 上 無 人 見 得 伊 賴 有 故 人 千 里 
X69n1352_004:0323c24	在。仝條仝死不仝時。	在 仝 條 仝 死 不 仝 時 
X69n1352_004:0324a01	僧問玄沙。學人乍入叢林。乞師指箇入處。沙	僧 問 玄 沙 學 人 乍 入 叢 林 乞 師 指 箇 入 處 沙 
X69n1352_004:0324a02	云子聞偃溪水聲麼。僧云聞。沙云向者裏入。	云 子 聞 偃 溪 水 聲 麼 僧 云 聞 沙 云 向 者 裏 入 
X69n1352_004:0324a03	天生碧眼崑崙兒。有藝過人自不知。幾度黑風翻大	天 生 碧 眼 崑 崙 兒 有 藝 過 人 自 不 知 幾 度 黑 風 翻 大 
X69n1352_004:0324a04	海。波中出沒自閑戲。	海 波 中 出 沒 自 閑 戲 
X69n1352_004:0324a05	靈雲見桃花悟道。	靈 雲 見 桃 花 悟 道 
X69n1352_004:0324a06	靈雲悟處復何如。未徹無人辨得渠。千古華山山脚	靈 雲 悟 處 復 何 如 未 徹 無 人 辨 得 渠 千 古 華 山 山 脚 
X69n1352_004:0324a07	下。豈知潘閬倒騎驢。	下 豈 知 潘 閬 倒 騎 驢 
X69n1352_004:0324a08	乾峰示眾云。法身有三種病。二種光。須是一	乾 峰 示 眾 云 法 身 有 三 種 病 二 種 光 須 是 一 
X69n1352_004:0324a09	一透得。始解穩坐。雲門出云。庵內人。為什麼	一 透 得 始 解 穩 坐 雲 門 出 云 庵 內 人 為 什 麼 
X69n1352_004:0324a10	不見庵外事。峰呵呵大笑。門云猶是學人疑	不 見 庵 外 事 峰 呵 呵 大 笑 門 云 猶 是 學 人 疑 
X69n1352_004:0324a11	處。峰云子是什麼心行。門云也要和尚委悉。	處 峰 云 子 是 什 麼 心 行 門 云 也 要 和 尚 委 悉 
X69n1352_004:0324a12	峰云漝麼始解穩坐。	峰 云 漝 麼 始 解 穩 坐 
X69n1352_004:0324a13	鋪主將鍮試寶人。謂言難似此真金。寶人拂袖先行	鋪 主 將 鍮 試 寶 人 謂 言 難 似 此 真 金 寶 人 拂 袖 先 行 
X69n1352_004:0324a14	去。滿面慚惶不敢瞋。	去 滿 面 慚 惶 不 敢 瞋 
X69n1352_004:0324a15	乾峰示眾云。舉一不得舉二。放過一著。落在	乾 峰 示 眾 云 舉 一 不 得 舉 二 放 過 一 著 落 在 
X69n1352_004:0324a16	第二。雲門出云。昨日有人。從天台來。却往南	第 二 雲 門 出 云 昨 日 有 人 從 天 台 來 却 往 南 
X69n1352_004:0324a17	嶽去也。峰云今日不得普請。門便歸眾。	嶽 去 也 峰 云 今 日 不 得 普 請 門 便 歸 眾 
X69n1352_004:0324a18	黑白分明滿局碁。曾無一著有相虧。可憐無限傍觀	黑 白 分 明 滿 局 碁 曾 無 一 著 有 相 虧 可 憐 無 限 傍 觀 
X69n1352_004:0324a19	者。斧爛柯消總不知。	者 斧 爛 柯 消 總 不 知 
X69n1352_004:0324a20	僧問雲門。殺父殺母。佛前懺悔。殺佛殺祖。向	僧 問 雲 門 殺 父 殺 母 佛 前 懺 悔 殺 佛 殺 祖 向 
X69n1352_004:0324a21	甚處懺悔。門云露。	甚 處 懺 悔 門 云 露 
X69n1352_004:0324a22	簸土颺塵無避處。將身直到御樓前。迴頭不見來時	簸 土 颺 塵 無 避 處 將 身 直 到 御 樓 前 迴 頭 不 見 來 時 
X69n1352_004:0324a23	路。下是黃泉上是天。	路 下 是 黃 泉 上 是 天 
X69n1352_004:0324a24	僧問雲門。如何是正法眼。門云普。	僧 問 雲 門 如 何 是 正 法 眼 門 云 普 
X69n1352_004:0324b01	頂上有來真个瞎。輝天輝地不同時。大悲手裏休擎	頂 上 有 來 真 个 瞎 輝 天 輝 地 不 同 時 大 悲 手 裏 休 擎 
X69n1352_004:0324b02	出。獨自夜行誰得知。	出 獨 自 夜 行 誰 得 知 
X69n1352_004:0324b03	僧問雲門。不起一念。還有過也無。門云須彌	僧 問 雲 門 不 起 一 念 還 有 過 也 無 門 云 須 彌 
X69n1352_004:0324b04	山。	山 
X69n1352_004:0324b05	須彌山兮塞宇宙。千眼大悲看不透。除非自解倒騎	須 彌 山 兮 塞 宇 宙 千 眼 大 悲 看 不 透 除 非 自 解 倒 騎 
X69n1352_004:0324b06	牛。一生不著隨人後。	牛 一 生 不 著 隨 人 後 
X69n1352_004:0324b07	俗官問雲門。佛法如水中月。是否。門云清波	俗 官 問 雲 門 佛 法 如水中月 是 否 門 云 清 波 
X69n1352_004:0324b08	無透路。官云和尚從何得。門云再問復何來。	無 透 路 官 云 和 尚 從 何 得 門 云 再 問 復 何 來 
X69n1352_004:0324b09	官云便恁麼去時如何。門云重疊關山路。	官 云 便 恁 麼 去 時 如 何 門 云 重 疊 關 山 路 
X69n1352_004:0324b10	灼然水月非難取。自是時人手不親。韶石老師拈出	灼 然 水 月 非 難 取 自 是 時 人 手 不 親 韶 石 老 師 拈 出 
X69n1352_004:0324b11	了。關山重疊越光新。	了 關 山 重 疊 越 光 新 
X69n1352_004:0324b12	雲門云。放你三頓棒。	雲 門 云 放 你 三 頓 棒 
X69n1352_004:0324b13	一鏃三關破不難。如何猶在是非間。曲勞提起飯袋	一 鏃 三 關 破 不 難 如 何 猶 在 是 非 間 曲 勞 提 起 飯 袋 
X69n1352_004:0324b14	子。三頓方知徹骨寒。	子 三 頓 方 知 徹 骨 寒 
X69n1352_004:0324b15	王大王請羅山開堂。山陞座。斂僧伽梨衣。左	王 大 王 請 羅 山 開 堂 山 陞 座 斂 僧伽梨衣 左 
X69n1352_004:0324b16	右顧示。便下座。大王近前。執山手云。靈山一	右 顧 示 便 下 座 大 王 近 前 執 山 手 云 靈 山 一 
X69n1352_004:0324b17	會。何異今日。山云將謂你是个俗漢。	會 何 異 今 日 山 云 將 謂 你 是 个 俗 漢 
X69n1352_004:0324b18	紛紛雪影耀閩天。閩主稀逢倍樂然。一旦春風吹大	紛 紛 雪 影 耀 閩 天 閩 主 稀 逢 倍 樂 然 一 旦 春 風 吹 大 
X69n1352_004:0324b19	地。更無一點在階前。	地 更 無 一 點 在 階 前 
X69n1352_004:0324b20	僧問洞山。如何是佛。山云麻三斤。	僧 問 洞 山 如 何 是 佛 山 云 麻 三 斤 
X69n1352_004:0324b21	斤兩分明不付君。眼中瞳子莫生瞋。百年三萬六千	斤 兩 分 明 不 付 君 眼 中 瞳 子 莫 生 瞋 百 年 三 萬 六 千 
X69n1352_004:0324b22	日。得欣欣處且欣欣。	日 得 欣 欣 處 且 欣 欣 
X69n1352_004:0324b23	楊歧舉盤山語云。向上一路。千聖不傳。拈云。	楊 歧 舉 盤 山 語 云 向 上 一 路 千 聖 不 傳 拈 云 
X69n1352_004:0324b24	口上著。	口 上 著 
X69n1352_004:0324c01	盤山向上路何玄。罕見行人耳有穿。口上著來無咬	盤 山 向 上 路 何 玄 罕 見 行 人 耳 有 穿 口 上 著 來 無 咬 
X69n1352_004:0324c02	處。方知千聖不能傳。	處 方 知 千 聖 不 能 傳 
X69n1352_004:0324c03	僧問楊歧。撥雲見日時如何。歧云東方來者	僧 問 楊 歧 撥 雲 見 日 時 如 何 歧 云 東 方 來 者 
X69n1352_004:0324c04	東方坐。	東 方 坐 
X69n1352_004:0324c05	堯舜垂衣萬國賓。撥雲見日意休陳。東方來者東方	堯 舜 垂 衣 萬 國 賓 撥 雲 見 日 意 休 陳 東 方 來 者 東 方 
X69n1352_004:0324c06	坐。艸木重霑雨露新。	坐 艸 木 重 霑 雨 露 新 
X69n1352_004:0324c07	僧問楊歧。如何是佛。歧云三脚驢子弄蹄行。	僧 問 楊 歧 如 何 是 佛 歧 云 三 脚 驢 子 弄 蹄 行 
X69n1352_004:0324c08	三脚驢子弄蹄行。奉報行人著眼睛。草裡見他須喪	三 脚 驢 子 弄 蹄 行 奉 報 行 人 著 眼 睛 草 裡 見 他 須 喪 
X69n1352_004:0324c09	命。只緣踢踏最分明。	命 只 緣 踢 踏 最 分 明 
X69n1352_004:0324c10	僧問楊歧。少林面壁。意旨如何。歧云西天人	僧 問 楊 歧 少 林 面 壁 意 旨 如 何 歧 云 西 天 人 
X69n1352_004:0324c11	不會唐言。	不 會 唐 言 
X69n1352_004:0324c12	天高地逈非難見。水濶山重不易論。萬古八風吹不	天 高 地 逈 非 難 見 水 濶 山 重 不 易 論 萬 古 八 風 吹 不 
X69n1352_004:0324c13	入。西天人不會唐言。	入 西 天 人 不 會 唐 言 
X69n1352_004:0324c14	僧問楊歧。天得一以清。地得一以寧。衲僧得	僧 問 楊 歧 天 得 一 以 清 地 得 一 以 寧 衲 僧 得 
X69n1352_004:0324c15	一。堪作什麼。歧云鉢盂口向天。	一 堪 作 什 麼 歧 云 鉢 盂 口 向 天 
X69n1352_004:0324c16	鉢口向天底時節。十方世界一團鐵。少林面壁謾多	鉢 口 向 天 底 時 節 十方世界 一 團 鐵 少 林 面 壁 謾 多 
X69n1352_004:0324c17	年。衲僧眼裏重添屑。	年 衲 僧 眼 裏 重 添 屑 
X69n1352_004:0324c18	脩山主悟空法眼行脚。入地藏院避雨。向火	脩 山 主 悟 空 法 眼 行 脚 入 地 藏 院 避 雨 向 火 
X69n1352_004:0324c19	道話次。地藏入來。見乃問。山河大地。與上座	道 話 次 地 藏 入 來 見 乃 問 山 河 大 地 與 上 座 
X69n1352_004:0324c20	自己。是仝是別。脩云不別。地藏竪起兩指便去。	自 己 是 仝 是 別 脩 云 不 別 地 藏 竪 起 兩 指 便 去 
X69n1352_004:0324c21	地藏當鋒竪指頭。諸老至今猶未瞥。天迴地轉却等	地 藏 當 鋒 竪 指 頭 諸 老 至 今 猶 未 瞥 天 迴 地 轉 却 等 
X69n1352_004:0324c22	閒。千古萬古兩條鐵。	閒 千 古 萬 古 兩 條 鐵 
X69n1352_004:0324c23	僧問法眼。慧超諮和尚。如何是佛。法眼云。汝	僧 問 法 眼 慧 超 諮 和 尚 如 何 是 佛 法 眼 云 汝 
X69n1352_004:0324c24	是慧超。	是 慧 超 
X69n1352_004:0325a01	一文大光錢。買得个油餈。喫向肚裏了。當下便不飢。	一 文 大 光 錢 買 得 个 油 餈 喫 向 肚 裏 了 當 下 便 不 飢 
X69n1352_004:0325a02	僧問法眼。如何是學人自己。眼云丙丁童子	僧 問 法 眼 如 何 是 學 人 自 己 眼 云 丙 丁 童 子 
X69n1352_004:0325a03	來求火。	來 求 火 
X69n1352_004:0325a04	末上一迴秤八兩。又秤恰重半斤來。定盤星在誰人	末 上 一 迴 秤 八 兩 又 秤 恰 重 半 斤 來 定 盤 星 在 誰 人 
X69n1352_004:0325a05	手。爭著絲毫可怪哉。	手 爭 著 絲 毫 可 怪 哉 
X69n1352_004:0325a06	僧問雪竇和尚。山花開似錦。澗水湛如藍。學	僧 問 雪 竇 和 尚 山 花 開 似 錦 澗 水 湛 如 藍 學 
X69n1352_004:0325a07	人分上。為什麼不會。雪竇云棺木裏瞠眼。僧	人 分 上 為 什 麼 不 會 雪 竇 云 棺 木 裏 瞠 眼 僧 
X69n1352_004:0325a08	云恁麼則從苗辨地。因語識人也。雪竇云三	云 恁 麼 則 從 苗 辨 地 因 語 識 人 也 雪 竇 云 三 
X69n1352_004:0325a09	十棒且待別時。	十 棒 且 待 別 時 
X69n1352_004:0325a10	一枝枯艸強遮著。明鏡當軒燭盡幽。滿面慚惶移步	一 枝 枯 艸 強 遮 著 明 鏡 當 軒 燭 盡 幽 滿 面 慚 惶 移 步 
X69n1352_004:0325a11	去。清光灼灼避無由。	去 清 光 灼 灼 避 無 由 
X69n1352_004:0325a12	雲蓋鵬和尚。參雙泉雅山主。雅令看芭蕉室	雲 蓋 鵬 和 尚 參 雙 泉 雅 山 主 雅 令 看 芭 蕉 室 
X69n1352_004:0325a13	中示僧云。你有拄杖子。我與你拄杖子。你無	中 示 僧 云 你 有 拄 杖 子 我 與 你 拄 杖 子 你 無 
X69n1352_004:0325a14	拄杖子。我奪却你拄杖子。鵬經久看之未省。	拄 杖 子 我 奪 却 你 拄 杖 子 鵬 經 久 看 之 未 省 
X69n1352_004:0325a15	一日雅向火次。鵬侍立。雅顧視鵬云。你有拄	一 日 雅 向 火 次 鵬 侍 立 雅 顧 視 鵬 云 你 有 拄 
X69n1352_004:0325a16	杖子。我與你拄杖子。你無拄杖子。我奪却你	杖 子 我 與 你 拄 杖 子 你 無 拄 杖 子 我 奪 却 你 
X69n1352_004:0325a17	拄杖子。鵬擬開口。被雅攔手以火筯一摵。鵬	拄 杖 子 鵬 擬 開 口 被 雅 攔 手 以 火 筯 一 摵 鵬 
X69n1352_004:0325a18	豁然有省。	豁 然 有 省 
X69n1352_004:0325a19	與奪雙行驗正邪。才爭拄杖即忘家。驀然鐵棒如風	與 奪 雙 行 驗 正 邪 才 爭 拄 杖 即 忘 家 驀 然 鐵 棒 如 風 
X69n1352_004:0325a20	至。失却從前眼裏花。	至 失 却 從 前 眼 裏 花 
X69n1352_004:0325a21	僧請益瑯瑘和尚。清淨本然。云何忽生山河	僧 請 益 瑯 瑘 和 尚 清 淨 本 然 云 何 忽 生 山 河 
X69n1352_004:0325a22	大地。瑯瑘云清淨本然。云何忽生山河大地。	大 地 瑯 瑘 云 清 淨 本 然 云 何 忽 生 山 河 大 地 
X69n1352_004:0325a23	混混玲瓏無背面。拈起有時成兩片。且從依舊却相	混 混 玲 瓏 無 背 面 拈 起 有 時 成 兩 片 且 從 依 舊 却 相 
X69n1352_004:0325a24	當。免被傍人來覰見。	當 免 被 傍 人 來 覰 見 
X69n1352_004:0325b01	北禪賢和尚。冬夜烹水牯牛。	北 禪 賢 和 尚 冬 夜 烹 水 牯 牛 
X69n1352_004:0325b02	納他皮角要輸機。放下尋時結抄歸。一任這迴黃雪	納 他 皮 角 要 輸 機 放 下 尋 時 結 抄 歸 一 任 這 迴 黃 雪 
X69n1352_004:0325b03	落。滿家圍火掩紫扉。	落 滿 家 圍 火 掩 紫 扉 
X69n1352_004:0325b04	鹽官喚侍者。將犀牛扇子來。侍者云犀牛扇	鹽 官 喚 侍 者 將 犀 牛 扇 子 來 侍 者 云 犀 牛 扇 
X69n1352_004:0325b05	子破也。鹽官云犀牛扇子破也。還我犀牛兒	子 破 也 鹽 官 云 犀 牛 扇 子 破 也 還 我 犀 牛 兒 
X69n1352_004:0325b06	來。	來 
X69n1352_004:0325b07	可憐一柄犀牛扇。謾道曾遭已破除。無限清風隨手	可 憐 一 柄 犀 牛 扇 謾 道 曾 遭 已 破 除 無 限 清 風 隨 手 
X69n1352_004:0325b08	處。卓然頭角出寰區。	處 卓 然 頭 角 出 寰 區 
X69n1352_004:0325b09	馬祖陞堂。百丈捲蓆。	馬 祖 陞 堂 百 丈 捲 蓆 
X69n1352_004:0325b10	昨日東風偶然惡。桃花亂落如紅雨。昨夜東風又發	昨 日 東 風 偶 然 惡 桃 花 亂 落 如 紅 雨 昨 夜 東 風 又 發 
X69n1352_004:0325b11	狂。滿地不知何處去。	狂 滿 地 不 知 何 處 去 
X69n1352_004:0325b12	龐居士問仰山。久響仰山。到來為什麼却覆。	龐 居 士 問 仰 山 久 響 仰 山 到 來 為 什 麼 却 覆 
X69n1352_004:0325b13	仰山竪起拂子。居士云恰是。仰山云是仰是	仰 山 竪 起 拂 子 居 士 云 恰 是 仰 山 云 是 仰 是 
X69n1352_004:0325b14	覆。居士指露柱云。雖無人見。且有露柱證明。	覆 居 士 指 露 柱 云 雖 無 人 見 且 有 露 柱 證 明 
X69n1352_004:0325b15	仰山擲下拂子云。一任舉似諸方。	仰 山 擲 下 拂 子 云 一 任 舉 似 諸 方 
X69n1352_004:0325b16	兩箇八文為十六。從頭數過猶不足。拏來亂撒向階	兩 箇 八 文 為 十 六 從 頭 數 過 猶 不 足 拏 來 亂 撒 向 階 
X69n1352_004:0325b17	前。滿地團團春蘚綠。	前 滿 地 團 團 春 蘚 綠 
X69n1352_004:0325b18	雪峰示眾云。南山有一條鱉鼻蛇	雪 峰 示 眾 云 南 山 有 一 條 鱉 鼻 蛇 
X69n1352_004:0325b19	象骨鱉蛇當大路。稜師可惜便忘身。雲門弄得雖然	象 骨 鱉 蛇 當 大 路 稜 師 可 惜 便 忘 身 雲 門 弄 得 雖 然 
X69n1352_004:0325b20	活。爭似南山不用親。	活 爭 似 南 山 不 用 親 
X69n1352_004:0325b21	水潦參馬祖。禮拜起。擬伸問次。馬祖一踏踏	水 潦 參 馬 祖 禮 拜 起 擬 伸 問 次 馬 祖 一 踏 踏 
X69n1352_004:0325b22	倒。水潦豁然大悟。起來呵呵大笑云。百千法	倒 水 潦 豁 然 大 悟 起 來 呵 呵 大 笑 云 百 千 法 
X69n1352_004:0325b23	門。無量妙義。只向一毫頭上。識得根源去。開	門 無 量 妙 義 只 向 一 毫 頭 上 識 得 根 源 去 開 
X69n1352_004:0325b24	堂日。謂眾云。自從馬師一踏後。直至如今笑	堂 日 謂 眾 云 自 從 馬 師 一 踏 後 直 至 如 今 笑 
X69n1352_004:0325c01	未休。僧問。如何是佛法大意。水潦呵呵大笑。	未 休 僧 問 如 何 是 佛 法 大 意 水 潦 呵 呵 大 笑 
X69n1352_004:0325c02	便歸方丈。	便 歸 方 丈 
X69n1352_004:0325c03	一踏倒時堪大笑。從前伎倆虗徒勞。蛇頭却要重揩	一 踏 倒 時 堪 大 笑 從 前 伎 倆 虗 徒 勞 蛇 頭 却 要 重 揩 
