X46n0776_001:0165a03	 序說	 序 說 
X46n0776_004:0192b13	　各有二種法　　謂本始體相　　生滅及增減	 各 有 二 種 法 謂 本 始 體 相 生 滅 及 增 減 
X46n0776_004:0192b14	　轉相唯上上(發始因地。唯有上轉。而無下轉橫轉)。	 轉 相 唯 上 上 發 始 因 地 唯 有 上 轉 而 無 下 轉 橫 轉 
X46n0776_004:0192b15	論曰。四種法中。各有二種。云何二智。一者本古性德	論 曰 四 種 法 中 各 有 二 種 云 何 二 智 一 者 本 古 性 德 
X46n0776_004:0192b16	智。二者始今起德智。是名為二。云何二理。一者體有	智 二 者 始 今 起 德 智 是 名 為 二 云 何 二 理 一 者 體 有 
X46n0776_004:0192b17	實理。二者相有實理。是名為二。云何二障。一者本生	實 理 二 者 相 有 實 理 是 名 為 二 云 何 二 障 一 者 本 生 
X46n0776_004:0192b18	本生障。二者本滅本滅障。是名為二。云何二果。一者	本 生 障 二 者 本 滅 本 滅 障 是 名 為 二 云 何 二 果 一 者 
X46n0776_004:0192b19	增長功德果。二者損減過患果。是名為二。如偈各有	增 長 功 德 果 二 者 損 減 過 患 果 是 名 為 二 如 偈 各 有 
X46n0776_004:0192b20	二種法。謂本始體相。生滅及增減故。修行轉相唯上	二 種 法 謂 本 始 體 相 生 滅 及 增 減 故 修 行 轉 相 唯 上 
X46n0776_004:0192b21	上故。如偈轉相唯上上故。障治證果。對量差別。形相	上 故 如 偈 轉 相 唯 上 上 故 障 治 證 果 對 量 差 別 形 相 
X46n0776_004:0192b22	如何。偈曰。	如 何 偈 曰 
X46n0776_004:0192b23	　本生體增對　　始滅相減對　　從多亦通了	 本 生 體 增 對 始 滅 相 減 對 從 多 亦 通 了 
X46n0776_004:0192b24	　如法應觀察	 如 法 應 觀 察 
X46n0776_004:0192c01	論曰。本古性德智。斷除本生本生障。證得體有實理。	論 曰 本 古 性 德 智 斷 除 本 生 本 生 障 證 得 體 有 實 理 
X46n0776_004:0192c02	成就增長功德果。如偈本生體增對故。始今起德智。	成 就 增 長 功 德 果 如 偈 本 生 體 增 對 故 始 今 起 德 智 
X46n0776_004:0192c03	斷除本滅本滅障。證得相有實理。成就損減過患果。	斷 除 本 滅 本 滅 障 證 得 相 有 實 理 成 就 損 減 過 患 果 
X46n0776_004:0192c04	如偈始滅相減對故。如是四法。五十一種真金位中	如 偈 始 滅 相 減 對 故 如 是 四 法 五 十 一 種 真 金 位 中 
X46n0776_004:0192c05	皆悉具足。應審思擇(繫縛地中。具有五十一金剛位。所謂染無自性。全體即真也。故	皆 悉 具 足 應 審 思 擇 繫 縛 地 中 具 有 五 十 一 金 剛 位 所 謂 染 無 自 性 全 體 即 真 也 故 
X46n0776_004:0192c06	四種法中。以智理二法。斷除生滅二障。證得二果。本古性德者。性淨本覺也。本生障者。生相無明也。體有實理	四 種 法 中 以 智 理 二 法 斷 除 生 滅 二 障 證 得 二 果 本 古 性 德 者 性 淨 本 覺 也 本 生 障 者 生 相 無 明 也 體 有 實 理 
X46n0776_004:0192c07	者。不從修得也。增長功德果者。稱性功德。修而後顯也。始起德智者。始覺修德也。本滅障者。滅相。無明也。相有	者 不 從 修 得 也 增 長 功 德 果 者 稱 性 功 德 修 而 後 顯 也 始 起 德 智 者 始 覺 修 德 也 本 滅 障 者 滅 相 無 明 也 相 有 
X46n0776_004:0192c08	實理者。萬行莊嚴也。損減過患果者。煩惱漸薄。歷位修證也。生住異滅四相。以住相攝入生相。以異相攝入滅	實 理 者 萬 行 莊 嚴 也 損 減 過 患 果 者 煩 惱 漸 薄 歷 位 修 證 也 生住異滅 四 相 以 住 相 攝 入 生 相 以 異 相 攝 入 滅 
X46n0776_004:0192c09	相。本生本生者。生生不已也。本滅本滅者。滅滅無窮也。皆言本者。莫不依真而起也。生相極細。滅相極麤。皆是	相 本 生 本 生 者 生 生 不 已 也 本 滅 本 滅 者 滅 滅 無 窮 也 皆 言 本 者 莫 不 依 真 而 起 也 生 相 極 細 滅 相 極 麤 皆 是 
X46n0776_004:0192c10	染法。故名繫縛地也。就繫縛地。智。理。事。果。皆名有為。以從修證而得果也。至三十一分出離繫縛地。則十空十	染 法 故 名 繫 縛 地 也 就 繫 縛 地 智 理 事 果 皆 名 有 為 以 從 修 證 而 得 果 也 至 三 十 一 分 出 離 繫 縛 地 則 十 空 十 
X46n0776_004:0192c11	有皆名無為矣)。唯一向轉。俱種轉耶(上問下答)。俱種轉故。如偈從	有 皆 名 無 為 矣 唯 一 向 轉 俱 種 轉 耶 上 問 下 答 俱 種 轉 故 如 偈 從 
X46n0776_004:0192c12	多亦通了。如法應觀察故。生滅二障。業用差別。形相	多 亦 通 了 如 法 應 觀 察 故 生 滅 二 障 業 用 差 別 形 相 
X46n0776_004:0192c13	如何。偈曰。	如 何 偈 曰 
X46n0776_004:0192c14	　本主生滅時　　勝生勝滅故	 本 主 生 滅 時 勝 生 勝 滅 故 
X46n0776_004:0192c15	論曰。功德善根出興對治。轉勝出興。轉勝對滅。作逆	論 曰 功 德 善 根 出 興 對 治 轉 勝 出 興 轉 勝 對 滅 作 逆 
X46n0776_004:0192c16	事故。如偈本主生滅時。勝生勝滅故故(本古性德智。稱之為本主。	事 故 如 偈 本 主 生 滅 時 勝 生 勝 滅 故 故 本 古 性 德 智 稱 之 為 本 主 
X46n0776_004:0192c17	本主原無生滅從對治法上言其生滅。生善滅惡。皆能勝他。對障礙法而作逆事。是不屈撓行也○引經第三	本 主 原 無 生 滅 從 對 治 法 上 言 其 生 滅 生 善 滅 惡 皆 能 勝 他 對 障 礙 法 而 作 逆 事 是 不 屈 撓 行 也 引 經 第 三 
X46n0776_004:0192c18	十六)。大金剛山寶海會眾脩多羅中作如是說。復次文	十 六 大 金 剛 山 寶 海 會 眾 脩 多 羅 中 作如是說 復 次 文 
X46n0776_004:0192c19	殊師利。汝前所問云何名為諸法無常一道一種第	殊 師 利 汝 前 所 問 云 何 名 為 諸 法 無 常 一 道 一 種 第 
X46n0776_004:0192c20	一轉門者。以四無常故。我作如是唱。云何為四。一者	一 轉 門 者 以 四 無 常 故 我 作 如 是 唱 云 何 為 四 一 者 
X46n0776_004:0192c21	智無常。二者理無常。三者無常無常。四者上果無常。	智 無 常 二 者 理 無 常 三 者 無 常 無 常 四 者 上 果 無 常 
X46n0776_004:0192c22	是名為四。文殊師利。言智無常者。斷煩惱故。言理無	是 名 為 四 文 殊 師 利 言 智 無 常 者 斷 煩 惱 故 言 理 無 
X46n0776_004:0192c23	常者。智所證故。言無常無常者。被斷除故。言果無常	常 者 智 所 證 故 言 無 常 無 常 者 被 斷 除 故 言 果 無 常 
X46n0776_004:0192c24	者。待因力故。乃至廣說故(在無常法中第一轉門。法法皆名無常。言無常無常	者 待 因 力 故 乃至廣說 故 在 無 常 法 中 第 一 轉 門 法 法 皆 名 無 常 言 無 常 無 常 
X46n0776_004:0193a01	者。即前文障礙事法也)。	者 即 前 文 障 礙 事 法 也 
X46n0776_004:0193a02	○繫縛地地自然本王摩訶[糸*為]品大決擇分第二	 繫 縛 地 地 自 然 本 王 摩 訶 [糸為] 品 大 決 擇 分 第 二 
X46n0776_004:0193a03	十八(繫縛地中。本王自在。故有為無為二法齊轉。所謂染淨同源。縛脫無二也。[糸*為]。子為切。	十 八 繫 縛 地 中 本 王 自 在 故 有 為 無 為 二 法 齊 轉 所 謂 染 淨 同 源 縛 脫 無 二 也 [糸為] 子 為 切 
X46n0776_004:0193a04	考字典。[糸*為]字[穩禾+糸]字之[糸*為]。縫衣相著為[穩禾+糸]。可以意會)。	考 字 典 [糸為]字[穩禾糸]字之[糸為]縫衣相著為[穩禾糸] 可 以 意 會 
X46n0776_004:0193a05	如是已說繫縛地地品類不吉祥道路大決擇分。次	如 是 已 說 繫 縛 地 地 品 類 不 吉 祥 道 路 大 決 擇 分 次 
X46n0776_004:0193a06	當說繫縛地地自然本王摩訶[糸*為]品大決擇分。其相	當 說 繫 縛 地 地 自 然 本 王 摩 訶 [糸為] 品 大 決 擇 分 其 相 
X46n0776_004:0193a07	云何。偈曰。	云 何 偈 曰 
X46n0776_004:0193a08	　自然本王中　　有為無為法　　具足圓滿轉	 自 然 本 王 中 有 為 無 為 法 具足圓滿 轉 
X46n0776_004:0193a09	　此中具上下	 此 中 具 上 下 
X46n0776_004:0193a10	論曰。就自然本王摩訶[糸*為]品分中。則有二轉。云何為	論 曰 就 自 然 本 王 摩 訶 [糸為] 品 分 中 則 有 二 轉 云 何 為 
X46n0776_004:0193a11	二。一者有為轉。二者無為轉。是名為二。如偈自然本	二 一 者 有 為 轉 二 者 無 為 轉 是 名 為 二 如 偈 自 然 本 
X46n0776_004:0193a12	王中。有為無為法。具足圓滿轉故。亦有二轉。云何為	王 中 有 為 無 為 法 具足圓滿 轉 故 亦 有 二 轉 云 何 為 
X46n0776_004:0193a13	二。一者上轉。二者下轉。是名為二。如偈此中具上下	二 一 者 上 轉 二 者 下 轉 是 名 為 二 如 偈 此 中 具 上 下 
X46n0776_004:0193a14	故(此是第二轉門。應是住位。故有為無為並行。上轉下轉齊運)。有為無為各有幾	故 此 是 第 二 轉 門 應 是 住 位 故 有 為 無 為 並 行 上 轉 下 轉 齊 運 有 為 無 為 各 有 幾 
X46n0776_004:0193a15	數。上下轉相當如何耶。偈曰。	數 上 下 轉 相 當 如 何 耶 偈 曰 
X46n0776_004:0193a16	　無為唯有一　　有為有二種　　如次實本始	 無 為 唯 有 一 有 為 有 二 種 如 次 實 本 始 
X46n0776_004:0193a17	　上下無為主　　出生二有為　　轉勝廣大轉	 上 下 無 為 主 出 生 二 有 為 轉 勝 廣 大 轉 
X46n0776_004:0193a18	論曰。無為有一。有為有二。一謂有實故。二謂本始故。	論 曰 無 為 有 一 有 為 有 二 一 謂 有 實 故 二 謂 本 始 故 
X46n0776_004:0193a19	如偈無為唯有一。有為有二種。如次實本始故(依真際說。	如 偈 無 為 唯 有 一 有 為 有 二 種 如 次 實 本 始 故 依 真 際 說 
X46n0776_004:0193a20	唯一實理。故言無為唯有一。依世俗說。權分本始。故言有為有二種)。如是三法。五十一	唯 一 實 理 故 言 無 為 唯 有 一 依 世 俗 說 權 分 本 始 故 言 有 為 有 二 種 如 是 三 法 五 十 一 
X46n0776_004:0193a21	種金剛位中。亦上亦下增長功德。轉相云何。謂上時	種 金 剛 位 中 亦 上 亦 下 增 長 功 德 轉 相 云 何 謂 上 時 
X46n0776_004:0193a22	中。一一位位無為法主。皆悉各各出生增長一萬本	中 一 一 位 位 無 為 法 主 皆 悉 各 各 出 生 增 長 一 萬 本 
X46n0776_004:0193a23	始清妙覺慧。其下時中。一一位位皆悉各各二億本	始 清 妙 覺 慧 其 下 時 中 一 一 位 位 皆 悉 各 各 二 億 本 
X46n0776_004:0193a24	始清妙覺慧。具足圓滿出生增長。如是如是。如如上	始 清 妙 覺 慧 具足圓滿 出 生 增 長 如是如是 如 如 上 
X46n0776_004:0193b01	下至小無量。如說本存。眷屬亦爾。如偈上下無為主。	下 至 小 無 量 如 說 本 存 眷 屬 亦 爾 如 偈 上 下 無 為 主 
X46n0776_004:0193b02	出生二有為。轉勝廣大轉故。如其次第增數應知(引經	出 生 二 有 為 轉 勝 廣 大 轉 故 如 其 次 第 增 數 應 知 引 經 
X46n0776_004:0193b03	第三十七)。品地經論脩多羅中作如是說。世間藏地本王	第 三 十 七 品 地 經 論 脩 多 羅 中 作如是說 世 間 藏 地 本 王 
X46n0776_004:0193b04	海中。無常功德眾多無數。常住功德其數微少。是故	海 中 無 常 功 德 眾 多 無 數 常 住 功 德 其 數 微 少 是 故 
X46n0776_004:0193b05	說言世間藏地。乃至廣說故(世間藏地。是雜染門。本王海中。是清淨門。雜染	說 言 世 間 藏 地 乃至廣說 故 世 間 藏 地 是 雜 染 門 本 王 海 中 是 清 淨 門 雜 染 
X46n0776_004:0193b06	未盡。淨業未純。故功德多屬無常。而常住功德甚微少也)。	未 盡 淨 業 未 純 故 功 德 多 屬 無 常 而 常 住 功 德 甚 微 少 也 
X46n0776_004:0193b07	○自然本王廣大轉地無障無礙俱行道路大决	 自 然 本 王 廣 大 轉 地 無障無礙 俱 行 道 路 大 决 
X46n0776_004:0193b08	擇分第二十九	擇 分 第 二 十 九 
X46n0776_004:0193b09	如是已說繫縛地地自然本王摩訶[糸*為]品大决擇分。	如 是 已 說 繫 縛 地 地 自 然 本 王 摩 訶 [糸為] 品 大 决 擇 分 
X46n0776_004:0193b10	次當說自然本王廣大轉地無障無礙俱行道路大	次 當 說 自 然 本 王 廣 大 轉 地 無障無礙 俱 行 道 路 大 
X46n0776_004:0193b11	决擇分。其相云何。偈曰。	决 擇 分 其相云何 偈 曰 
X46n0776_004:0193b12	　本王道路中　　依位漸漸轉　　一主生二伴	 本 王 道 路 中 依 位 漸 漸 轉 一 主 生 二 伴 
X46n0776_004:0193b13	　至中無量故　　數變皆悉通　　如法應觀察	 至 中 無 量 故 數 變 皆 悉 通 如 法 應 觀 察 
X46n0776_004:0193b14	論曰。就自然本王廣大轉地無障無礙俱行道路分	論 曰 就 自 然 本 王 廣 大 轉 地 無障無礙 俱 行 道 路 分 
X46n0776_004:0193b15	中。依五十一位。如其次第亦上亦下漸漸轉行。無為	中 依 五 十 一 位 如 其 次 第 亦 上 亦 下 漸 漸 轉 行 無 為 
X46n0776_004:0193b16	法主生二有為。若上若下。增中無量數。至中無量變	法 主 生 二 有 為 若 上 若 下 增 中 無 量 數 至 中 無 量 變 
X46n0776_004:0193b17	故。如偈本王道路中。依位漸漸轉。一主生二伴。至中	故 如 偈 本 王 道 路 中 依 位 漸 漸 轉 一 主 生 二 伴 至 中 
X46n0776_004:0193b18	無量故。數變皆悉通。如法應觀察故(引經第三十八)。部宗花	無 量 故 數 變 皆 悉 通 如 法 應 觀 察 故 引 經 第 三 十 八 部 宗 花 
X46n0776_004:0193b19	品脩多羅中作如是說。行藏海中。有一常德。其數無	品 脩 多 羅 中 作如是說 行 藏 海 中 有 一 常 德 其 數 無 
X46n0776_004:0193b20	量。行藏海中。有二無常功德品類。其數無量。亦昇亦	量 行 藏 海 中 有 二 無 常 功 德 品 類 其 數 無 量 亦 昇 亦 
X46n0776_004:0193b21	[打丁+下](胡雅切)。其數無量。乃至廣說故(此是第三轉門。應是行位。行藏海中。與前	[打丁下] 胡 雅 切 其 數 無 量 乃至廣說 故 此 是 第 三 轉 門 應 是 行 位 行 藏 海 中 與 前 
X46n0776_004:0193b22	世間藏地本王海中。大不相同。所以常德與無常德。皆是無量。昇進之功。思之可見)。	世 間 藏 地 本 王 海 中 大 不 相 同 所 以 常 德 與 無 常 德 皆 是 無 量 昇 進 之 功 思 之 可 見 
X46n0776_004:0193b23	○最極廣大俱行山王無盡海海大決擇分第三	 最極廣大 俱 行 山 王 無 盡 海 海 大 決 擇 分 第 三 
X46n0776_004:0193b24	十	十 
X46n0776_004:0193c01	如是已說自然本王廣大轉地無障無礙俱行道路	如 是 已 說 自 然 本 王 廣 大 轉 地 無障無礙 俱 行 道 路 
X46n0776_004:0193c02	大決擇分。次當說最極廣大俱行山王無盡海海大	大 決 擇 分 次 當 說 最極廣大 俱 行 山 王 無 盡 海 海 大 
X46n0776_004:0193c03	決擇分。其相云何。偈曰。	決 擇 分 其相云何 偈 曰 
X46n0776_004:0193c04	　無盡海海中　　依位漸漸轉　　一主生二伴	 無 盡 海 海 中 依 位 漸 漸 轉 一 主 生 二 伴 
X46n0776_004:0193c05	　至大無量故　　數及變例前　　應廣通達焉	 至 大 無 量 故 數 及 變 例 前 應 廣 通 達 焉 
X46n0776_004:0193c06	論曰。就無盡海海藏中。依五十一位。如其次第亦上	論 曰 就 無 盡 海 海 藏 中 依 五 十 一 位 如 其 次 第 亦 上 
X46n0776_004:0193c07	亦下。無為法主出生增長二有為法。增大無量數。至	亦 下 無 為 法 主 出 生 增 長 二 有 為 法 增 大 無 量 數 至 
X46n0776_004:0193c08	大無量變故。如偈無盡海海中。依位漸漸轉。一主生	大 無 量 變 故 如 偈 無 盡 海 海 中 依 位 漸 漸 轉 一 主 生 
X46n0776_004:0193c09	二伴。至大無量故。數及變例前。應廣通達焉故(引經第三	二 伴 至 大 無 量 故 數 及 變 例 前 應 廣 通 達 焉 故 引 經 第 三 
X46n0776_004:0193c10	十九)。彼脩多羅中作如是說。行常山王海中。有三種大	十 九 彼 脩 多 羅 中 作如是說 行 常 山 王 海 中 有 三 種 大 
X46n0776_004:0193c11	無量。云何為三。一者常大無量。二者無常大無量。三	無 量 云 何 為 三 一 者 常 大 無 量 二 者 無 常 大 無 量 三 
X46n0776_004:0193c12	者轉變大無量。乃至廣說故(此是第四轉門。應是迴向位。迴向妙果。名為行	者 轉 變 大 無 量 乃至廣說 故 此 是 第 四 轉 門 應 是 迴 向 位 迴 向 妙 果 名 為 行 
X46n0776_004:0193c13	常山王。常與無常并及轉變。皆大無量。已稱法界性矣)。	常 山 王 常 與 無 常 并 及 轉 變 皆 大 無 量 已 稱 法 界 性 矣 
X46n0776_004:0193c14	○出離繫縛地清白解脫道路大決擇分第三十	 出 離 繫 縛 地 清 白 解 脫 道 路 大 決 擇 分 第 三 十 
X46n0776_004:0193c15	一	一 
X46n0776_004:0193c16	如是已說最極廣大俱行山王無盡海海大決擇分。	如 是 已 說 最極廣大 俱 行 山 王 無 盡 海 海 大 決 擇 分 
X46n0776_004:0193c17	次當說出離繫縛地清白解脫道路大決擇分。其相	次 當 說 出 離 繫 縛 地 清 白 解 脫 道 路 大 決 擇 分 其 相 
X46n0776_004:0193c18	云何。偈曰。	云 何 偈 曰 
X46n0776_004:0193c19	　解脫道路中　　有二十無為　　謂十空十有	 解 脫 道 路 中 有 二 十 無 為 謂 十 空 十 有 
X46n0776_004:0193c20	　如是諸無為　　五十一位中　　皆悉具足有	 如 是 諸 無 為 五 十 一 位 中 皆 悉 具 足 有 
X46n0776_004:0193c21	　依法位立轉　　有二重重超	 依 法 位 立 轉 有 二 重 重 超 
X46n0776_004:0193c22	論曰。就出離繫縛地清白解脫道路分中。則有二十	論 曰 就 出 離 繫 縛 地 清 白 解 脫 道 路 分 中 則 有 二 十 
X46n0776_004:0193c23	無為常法。所謂十空十有無為各差別故(此是第五轉門。位在	無 為 常 法 所 謂 十 空 十 有 無 為 各 差 別 故 此 是 第 五 轉 門 位 在 
X46n0776_004:0193c24	地上。忽然超越世出世間。名為離繫縛地。故十空十有皆是無為。金剛經云。一切賢聖。皆以無為法而有差別。	地 上 忽 然 超 越 世出世間 名 為 離 繫 縛 地 故 十 空 十 有 皆 是 無 為 金 剛 經 云 一 切 賢 聖 皆 以 無 為 法 而有差別 
X46n0776_004:0194a01	即此論中所說五十一位具足二十無為差別而轉也)。云何名為十空無為。一	即 此 論 中 所 說 五 十 一 位 具 足 二 十 無 為 差 別 而 轉 也 云 何 名 為 十 空 無 為 一 
X46n0776_004:0194a02	者廣大虗空自然常住離造作空無為。二者大虗空	者 廣 大 虗 空 自 然 常 住 離 造 作 空 無 為 二 者 大 虗 空 
X46n0776_004:0194a03	影空無為。三者虗空影影空無為。四者破影無所有	影 空 無 為 三 者 虗 空 影 影 空 無 為 四 者 破 影 無 所 有 
X46n0776_004:0194a04	空無為。五者空空俱非空無為。六者離言絕說空無	空 無 為 五 者 空 空 俱 非 空 無 為 六 者 離 言 絕 說 空 無 
X46n0776_004:0194a05	為。七者絕離未畢空無為。八者絕離心解空無為。九	為 七 者 絕 離 未 畢 空 無 為 八 者 絕 離 心 解 空 無 為 九 
X46n0776_004:0194a06	者絕離窮窮空無為。十者無障無礙大空大空空無	者 絕 離 窮 窮 空 無 為 十 者 無障無礙 大 空 大 空 空 無 
X46n0776_004:0194a07	為。是名為十。云何名為十有無為。一者一切言說決	為 是 名 為 十 云 何 名 為 十 有 無 為 一 者 一 切 言 說 決 
X46n0776_004:0194a08	定常住無破非空無為。二者一切心識決定常住無	定 常 住 無 破 非 空 無 為 二 者 一 切 心 識 決 定 常 住 無 
X46n0776_004:0194a09	破非空無為。三者一切大種決定常住無破非空無	破 非 空 無 為 三 者 一 切 大 種 決 定 常 住 無 破 非 空 無 
X46n0776_004:0194a10	為。四者一切俱非決定常住無破非空無為。五者一	為 四 者 一 切 俱 非 決 定 常 住 無 破 非 空 無 為 五 者 一 
X46n0776_004:0194a11	切有實決定常住無破非空無為。六者一切性火決	切 有 實 決 定 常 住 無 破 非 空 無 為 六 者 一 切 性 火 決 
X46n0776_004:0194a12	定常住無破非空無為。七者一切今光決定常住無	定 常 住 無 破 非 空 無 為 七 者 一 切 今 光 決 定 常 住 無 
X46n0776_004:0194a13	破非空無為。八者一切有名決定常住無破非空無	破 非 空 無 為 八 者 一 切 有 名 決 定 常 住 無 破 非 空 無 
X46n0776_004:0194a14	為。九者一切無名決定常住無破非空無為。十者廣	為 九 者 一 切 無 名 決 定 常 住 無 破 非 空 無 為 十 者 廣 
X46n0776_004:0194a15	大圓滿自性本有一切種有決定常住無破非空無	大 圓 滿 自 性 本 有 一 切 種 有 決 定 常 住 無 破 非 空 無 
X46n0776_004:0194a16	為。是名為十。如偈解脫道路中。有二十無為。謂十空	為 是 名 為 十 如 偈 解 脫 道 路 中 有 二 十 無 為 謂 十 空 
X46n0776_004:0194a17	十有故。如是二十種無為法。五十一種金剛位中。具	十 有 故 如 是 二 十 種 無 為 法 五 十 一 種 金 剛 位 中 具 
X46n0776_004:0194a18	足圓滿無闕失轉。如偈如是諸無為。五十一位中。皆	足 圓 滿 無 闕 失 轉 如 偈 如 是 諸 無 為 五 十 一 位 中 皆 
X46n0776_004:0194a19	悉具足有故。依如是等二十無為。五十一位建立轉	悉 具 足 有 故 依 如 是 等 二 十 無 為 五 十 一 位 建 立 轉 
X46n0776_004:0194a20	相。則有二種。云何為二。一者重重該攝無障礙門。二	相 則 有 二 種 云 何 為 二 一 者 重 重 該 攝 無 障 礙 門 二 
X46n0776_004:0194a21	者次第亂轉超過門。是名為二。如偈依法位立轉。有	者 次 第 亂 轉 超 過 門 是 名 為 二 如 偈 依 法 位 立 轉 有 
X46n0776_004:0194a22	二重重超故。且重重該攝無障礙門形相如何。偈曰。	二 重 重 超 故 且 重 重 該 攝 無 障 礙 門 形 相 如 何 偈 曰 
X46n0776_004:0194a23	　二十法一一　　各攝後二十　　五十一種位	 二 十 法 一 一 各 攝 後 二 十 五 十 一 種 位 
X46n0776_004:0194a24	　一一皆各各　　攝五十一位　　亦此相違攝	 一 一 皆 各 各 攝 五 十 一 位 亦 此 相 違 攝 
X46n0776_004:0194b01	　以此因緣故　　建立重重名	 以 此 因 緣 故 建 立 重 重 名 
X46n0776_004:0194b02	論曰。云何名為重重門相。謂該攝故。云何該攝。謂二	論 曰 云 何 名 為 重 重 門 相 謂 該 攝 故 云 何 該 攝 謂 二 
X46n0776_004:0194b03	十種無為常法信心具足。一一各各攝後諸位各二	十 種 無 為 常 法 信 心 具 足 一 一 各 各 攝 後 諸 位 各 二 
X46n0776_004:0194b04	十種無為法故。如說信心。餘位亦爾。如偈二十法一	十 種 無 為 法 故 如 說 信 心 餘 位 亦 爾 如 偈 二 十 法 一 
X46n0776_004:0194b05	一各攝後二十故。五十一種位。各攝五十一。亦無障	一 各 攝 後 二 十 故 五 十 一 種 位 各 攝 五 十 一 亦 無 障 
X46n0776_004:0194b06	礙。如偈五十一種位。一一皆各各。攝五十一位故。亦	礙 如 偈 五 十 一 種 位 一 一 皆 各 各 攝 五 十 一 位 故 亦 
X46n0776_004:0194b07	一一法攝一切位。一一位位攝一切法。亦無障礙。如	一 一 法 攝 一 切 位 一 一 位 位 攝 一 切 法 亦 無 障 礙 如 
X46n0776_004:0194b08	偈亦此相違攝故。以如是二種該攝門故。立重重名。	偈 亦 此 相 違 攝 故 以 如是二種 該 攝 門 故 立 重 重 名 
X46n0776_004:0194b09	如偈以因此緣故。建立重重名故。如是已說重重該	如 偈 以 因 此 緣 故 建 立 重 重 名 故 如 是 已 說 重 重 該 
X46n0776_004:0194b10	攝無障礙門。次當說次第亂轉超過門。其相云何。偈	攝 無 障 礙 門 次 當 說 次 第 亂 轉 超 過 門 其相云何 偈 
X46n0776_004:0194b11	曰。	曰 
X46n0776_004:0194b12	　五十一位中　　隨一經五十　　漸漸增法數	 五 十 一 位 中 隨 一 經 五 十 漸 漸 增 法 數 
X46n0776_004:0194b13	　周徧廣大轉	 周 徧 廣 大 轉 
X46n0776_004:0194b14	論曰。今此偈中為明何義。為欲現示五十一種金剛	論 曰 今 此 偈 中 為 明 何 義 為 欲 現 示 五 十 一 種 金 剛 
X46n0776_004:0194b15	位中。以信為初。經五十位。以發心住而為其初。經五	位 中 以 信 為 初 經 五 十 位 以 發 心 住 而 為 其 初 經 五 
X46n0776_004:0194b16	十位。乃至以最極地而為其初。經五十位。若第一轉。	十 位 乃 至 以 最 極 地 而 為 其 初 經 五 十 位 若 第 一 轉 
X46n0776_004:0194b17	增四十一百數法位轉。若第二轉。增八十二百數法	增 四 十 一 百 數 法 位 轉 若 第 二 轉 增 八 十 二 百 數 法 
X46n0776_004:0194b18	位轉。乃至最後地故。如偈五十一位中。隨一經五十。	位 轉 乃 至 最 後 地 故 如 偈 五 十 一 位 中 隨 一 經 五 十 
X46n0776_004:0194b19	漸漸增法數。周徧廣大轉故(引經第四十)。蘊高山王品類	漸 漸 增 法 數 周 徧 廣 大 轉 故 引 經 第 四 十 蘊 高 山 王 品 類 
X46n0776_004:0194b20	脩多羅中作如是說。無破地地門中。有寂靜寶。其數	脩 多 羅 中 作如是說 無 破 地 地 門 中 有 寂 靜 寶 其 數 
X46n0776_004:0194b21	眾多。空寂靜寶。其數眾多。若有行者入此門中。通達	眾 多 空 寂 靜 寶 其 數 眾 多 若 有 行 者 入 此 門 中 通 達 
X46n0776_004:0194b22	諸法無為大道。無所障礙。無所疑畏。其心自在決定	諸 法 無 為 大 道 無所障礙 無 所 疑 畏 其 心 自 在 決 定 
X46n0776_004:0194b23	常住大安樂。漸漸增長常功德海。乃至廣說故(世人但知	常 住 大 安 樂 漸 漸 增 長 常 功 德 海 乃至廣說 故 世 人 但 知 
X46n0776_004:0194b24	空寂靜寶。而不知有寂靜寶。有若喧動。則違於空。空有相違。即是凡夫外道之法。若知二門皆寂。則真常性德	空 寂 靜 寶 而 不 知 有 寂 靜 寶 有 若 喧 動 則 違 於 空 空 有 相 違 即 是 凡 夫 外 道 之 法 若 知 二 門 皆 寂 則 真 常 性 德 
X46n0776_004:0194c01	無雜無障矣)。	無 雜 無 障 矣 
X46n0776_004:0194c02	○解脫山王根本地地無礙自在大決擇分第三	 解 脫 山 王 根 本 地 地 無 礙 自 在 大 決 擇 分 第 三 
X46n0776_004:0194c03	十二	十 二 
X46n0776_004:0194c04	如是已說出離繫縛地清白解脫道路大決擇分。次	如 是 已 說 出 離 繫 縛 地 清 白 解 脫 道 路 大 決 擇 分 次 
X46n0776_004:0194c05	當說解脫山王根本地地無礙自在大決擇分。其相	當 說 解 脫 山 王 根 本 地 地 無 礙 自 在 大 決 擇 分 其 相 
X46n0776_004:0194c06	云何。偈曰。	云 何 偈 曰 
X46n0776_004:0194c07	　根本山王中　　空有互相生　　諸位相生故	 根 本 山 王 中 空 有 互 相 生 諸 位 相 生 故 
X46n0776_004:0194c08	　轉勝廣大轉	 轉 勝 廣 大 轉 
X46n0776_004:0194c09	論曰。今此偈中為明何義。為欲現示十空無為。一一	論 曰 今 此 偈 中 為 明 何 義 為 欲 現 示 十 空 無 為 一 一 
X46n0776_004:0194c10	各各出生十有無為常法。十有無為。一一各各出生	各 各 出 生 十 有 無 為 常 法 十 有 無 為 一 一 各 各 出 生 
X46n0776_004:0194c11	十空無為常法(空生有。有生空。故名空有互相生)。五十一位。一一各	十 空 無 為 常 法 空 生 有 有 生 空 故 名 空 有 互 相 生 五 十 一 位 一 一 各 
