T51n2095_001:1024c03	廬山記序	廬 山 記 序 
T51n2095_004:1045b28	心力遠相思。	心 力 遠 相 思 
T51n2095_004:1045b29	題廬山山下湯泉同前	題 廬 山 山 下 湯 泉 同 前 
T51n2095_004:1045c01	一眼湯泉流向東。浸泥澆草煖無功。驪山溫	一 眼 湯 泉 流 向 東 浸 泥 澆 草 煖 無 功 驪 山 溫 
T51n2095_004:1045c02	水因何事。流入金鋪玉甃中。	水 因 何 事 流 入 金 鋪 玉 甃 中 
T51n2095_004:1045c03	上香爐峯同前	上 香 爐 峯 同 前 
T51n2095_004:1045c04	倚石攀蘿歇病身。青節竹杖白紗巾。他時畫	倚 石 攀 蘿 歇 病 身 青 節 竹 杖 白 紗 巾 他 時 畫 
T51n2095_004:1045c05	出廬山障。便是香爐峯上人。	出 廬 山 障 便 是 香 爐 峯 上 人 
T51n2095_004:1045c06	香爐峯下山居草堂初成。偶題東壁	香 爐 峯 下 山 居 草 堂 初 成 偶 題 東 壁 
T51n2095_004:1045c07	五架三間新草堂。石衛桂柱石編牆。南簷納	五 架 三 間 新 草 堂 石 衛 桂 柱 石 編 牆 南 簷 納 
T51n2095_004:1045c08	日冬天暖。北戶迎風夏月凉。洒砌飛泉才有	日 冬 天 暖 北 戶 迎 風 夏 月 凉 洒 砌 飛 泉 才 有 
T51n2095_004:1045c09	默。拂窓斜竹未成行。來春更葦東廂屋。紙	默 拂 窓 斜 竹 未 成 行 來 春 更 葦 東 廂 屋 紙 
T51n2095_004:1045c10	閣蘆簾著孟光。	閣 蘆 簾 著 孟 光 
T51n2095_004:1045c11	戲贈李十三判官同前	戲 贈 李 十 三 判 官 同 前 
T51n2095_004:1045c12	垂鞭相送醉醺醺。遙見廬山指似君。想君初	垂 鞭 相 送 醉 醺 醺 遙 見 廬 山 指 似 君 想 君 初 
T51n2095_004:1045c13	覺從軍樂。未愛香爐峯上人。	覺 從 軍 樂 未 愛 香 爐 峯 上 人 
T51n2095_004:1045c14	携諸山客。同上香爐峯。遇雨而還。沾濡	携 諸 山 客 同 上 香 爐 峯 遇 雨 而 還 沾 濡 
T51n2095_004:1045c15	狼藉。互相笑謔。題此解嘲同前	狼 藉 互 相 笑 謔 題 此 解 嘲 同 前 
T51n2095_004:1045c16	蕭洒登山去。龍鍾遇雨回。磴危攀薜荔。石滑	蕭 洒 登 山 去 龍 鍾 遇 雨 回 磴 危 攀 薜 荔 石 滑 
T51n2095_004:1045c17	踐莓苔。襪污君相謔。鞋穿我自咍。莫欺泥土	踐 莓 苔 襪 污 君 相 謔 鞋 穿 我 自 咍 莫 欺 泥 土 
T51n2095_004:1045c18	脚。曾踏玉階來。	脚 曾 踏 玉 階 來 
T51n2095_004:1045c19	讀靈徹詩同前	讀 靈 徹 詩 同 前 
T51n2095_004:1045c20	東林寺裏西廊下。石片鐫題數首詩。言句怪	東 林 寺 裏 西 廊 下 石 片 鐫 題 數 首 詩 言 句 怪 
T51n2095_004:1045c21	來還教別。看名知是老湯師。	來 還 教 別 看 名 知 是 老 湯 師 
T51n2095_004:1045c22	別草堂三絕句同前	別 草 堂 三 絕 句 同 前 
T51n2095_004:1045c23	正聽山鳥向陽眠。黃紙除書落枕前。為感君	正 聽 山 鳥 向 陽 眠 黃 紙 除 書 落 枕 前 為 感 君 
T51n2095_004:1045c24	恩須暫起。廬峯不擬住多年。	恩 須 暫 起 廬 峯 不 擬 住 多 年 
T51n2095_004:1045c25	久眠披褐為居士。忽掛緋袍作使君。身出草	久 眠 披 褐 為 居 士 忽 掛 緋 袍 作 使 君 身 出 草 
T51n2095_004:1045c26	堂心不出廬山。未要動移文。	堂 心 不 出 廬 山 未 要 動 移 文 
T51n2095_004:1045c27	三間茆舍向山開。一帶山泉繞舍回。山色水	三 間 茆 舍 向 山 開 一 帶 山 泉 繞 舍 回 山 色 水 
T51n2095_004:1045c28	聲莫惆悵。三年官滿却歸來。	聲 莫 惆 悵 三 年 官 滿 却 歸 來 
T51n2095_004:1045c29	題別遺愛草堂。兼呈李十使君	題 別 遺 愛 草 堂 兼 呈 李 十 使 君 
T51n2095_004:1046a01	(李方廬山常居白鹿洞)同前	 李 方 廬 山 常 居 白 鹿 洞 同 前 
T51n2095_004:1046a02	曾住鑪峯下。書堂對藥臺。斬新蘿徑合。依舊	曾 住 鑪 峯 下 書 堂 對 藥 臺 斬 新 蘿 徑 合 依 舊 
T51n2095_004:1046a03	竹窓開。砌水親開決。池荷手自裁。五年方暫	竹 窓 開 砌 水 親 開 決 池 荷 手 自 裁 五 年 方 暫 
T51n2095_004:1046a04	至。一宿又湏回。縱未長歸得。猶勝不到來。君	至 一 宿 又 湏 回 縱 未 長 歸 得 猶 勝 不 到 來 君 
T51n2095_004:1046a05	家白鹿洞。聞道亦生苔。	家 白 鹿 洞 聞 道 亦 生 苔 
T51n2095_004:1046a06	草堂前新開一池。養魚種荷。日有幽趣	草 堂 前 新 開 一 池 養 魚 種 荷 日 有 幽 趣 
T51n2095_004:1046a07	淙淙三峽水。浩浩萬頃陂。未如新塘上。微風	淙 淙 三 峽 水 浩 浩 萬 頃 陂 未 如 新 塘 上 微 風 
T51n2095_004:1046a08	動漣漪。小萍加汎汎。初蒲正離離。紅鯉二三	動 漣 漪 小 萍 加 汎 汎 初 蒲 正 離 離 紅 鯉 二 三 
T51n2095_004:1046a09	寸。白蓮八九枝。遶水欲成徑。護堤方插籬已	寸 白 蓮 八 九 枝 遶 水 欲 成 徑 護 堤 方 插 籬 已 
T51n2095_004:1046a10	被山中客。呼作白家池。	被 山 中 客 呼 作 白 家 池 
T51n2095_004:1046a11	白雲期(黃名巖下作)同前	白 雲 期 黃 名 巖 下 作 同 前 
T51n2095_004:1046a12	三十氣太壯。胸中多是非。六十身太老。四體	三 十 氣 太 壯 胸 中 多 是 非 六 十 身 太 老 四 體 
T51n2095_004:1046a13	不支持。四十至五十。正是退閑時。年長識命	不 支 持 四 十 至 五 十 正 是 退 閑 時 年 長 識 命 
T51n2095_004:1046a14	分。心慵少營為。見酒興猶在。登山力未衰。吾	分 心 慵 少 營 為 見 酒 興 猶 在 登 山 力 未 衰 吾 
T51n2095_004:1046a15	年幸當此。且與白雲期。	年 幸 當 此 且 與 白 雲 期 
T51n2095_004:1046a16	出山吟同前	出 山 吟 同 前 
T51n2095_004:1046a17	朝詠遊仙詩。暮歌來薇曲。臥雲坐白石。山中	朝 詠 遊 仙 詩 暮 歌 來 薇 曲 臥 雲 坐 白 石 山 中 
T51n2095_004:1046a18	十五宿。行隨出洞水。迴別緣巖竹。早晚重	十 五 宿 行 隨 出 洞 水 迴 別 緣 巖 竹 早 晚 重 
T51n2095_004:1046a19	來遊。心期瑤草緣。	來 遊 心 期 瑤 草 緣 
T51n2095_004:1046a20	題遠大師墳僧靈澈	題 遠 大 師 墳 僧 靈 澈 
T51n2095_004:1046a21	古墓石稜稜寒。雲晚景凝。空悲虎溪月。不見	古 墓 石 稜 稜 寒 雲 晚 景 凝 空 悲 虎 溪 月 不 見 
T51n2095_004:1046a22	雁門僧。	雁 門 僧 
T51n2095_004:1046a23	東林寺寄包侍郎同前	東 林 寺 寄 包 侍 郎 同 前 
T51n2095_004:1046a24	古殿清陰山木春。池邊跂石一觀身。誰能來	古 殿 清 陰 山 木 春 池 邊 跂 石 一 觀 身 誰 能 來 
T51n2095_004:1046a25	此焚香坐。共作鑪峯二十人。	此 焚 香 坐 共 作 鑪 峯 二 十 人 
T51n2095_004:1046a26	題西林寺水堂。奉寄武陽公同前	題 西 林 寺 水 堂 奉 寄 武 陽 公 同 前 
T51n2095_004:1046a27	日日愛山歸已遲。閑閑空度少年時。餘身定	日 日 愛 山 歸 已 遲 閑 閑 空 度 少 年 時 餘 身 定 
T51n2095_004:1046a28	寄林中老。心與長松片石期。	寄 林 中 老 心 與 長 松 片 石 期 
T51n2095_004:1046a29	簡寂觀同前	簡 寂 觀 同 前 
T51n2095_004:1046b01	古杉古柏巖壁間。猿攀鶴巢枝枯折。五月有	古 杉 古 柏 巖 壁 間 猿 攀 鶴 巢 枝 枯 折 五 月 有 
T51n2095_004:1046b02	氷六月寒。時見仙翁來取雪。	氷 六 月 寒 時 見 仙 翁 來 取 雪 
T51n2095_004:1046b03	五老峯大明觀贈隱者姚係	五 老 峯 大 明 觀 贈 隱 者 姚 係 
T51n2095_004:1046b04	雲觀此山北。與君携手稀。林端涉橫水。洞口	雲 觀 此 山 北 與 君 携 手 稀 林 端 涉 橫 水 洞 口 
T51n2095_004:1046b05	入斜暉。乍覺鸞鶴邇。忽為煙霧飛。故人清和	入 斜 暉 乍 覺 鸞 鶴 邇 忽 為 煙 霧 飛 故 人 清 和 
T51n2095_004:1046b06	客。默會琴心微。丹術幸可授。青龍當來歸。悠	客 默 會 琴 心 微 丹 術 幸 可 授 青 龍 當 來 歸 悠 
T51n2095_004:1046b07	悠平生意。此日復相違。	悠 平 生 意 此 日 復 相 違 
T51n2095_004:1046b08	簡寂觀孫魴	簡 寂 觀 孫 魴 
T51n2095_004:1046b09	郎殿與雲連。紫宵蒼翠邊。自然應有藥。誰敢	郎 殿 與 雲 連 紫 宵 蒼 翠 邊 自 然 應 有 藥 誰 敢 
T51n2095_004:1046b10	道無仙。蘚色吞崖徑。松聲讓瀑泉。未能長息	道 無 仙 蘚 色 吞 崖 徑 松 聲 讓 瀑 泉 未 能 長 息 
T51n2095_004:1046b11	去。豈便是前緣。	去 豈 便 是 前 緣 
T51n2095_004:1046b12	宿青牛谷梁鍊師仙居楊衡	宿 青 牛 谷 梁 鍊 師 仙 居 楊 衡 
T51n2095_004:1046b13	隨雲步入青牛谷。青牛道士留我宿。可憐夜	隨 雲 步 入 青 牛 谷 青 牛 道 士 留 我 宿 可 憐 夜 
T51n2095_004:1046b14	久月明中。唯有壇邊一枝竹。	久 月 明 中 唯 有 壇 邊 一 枝 竹 
T51n2095_004:1046b15	寵廬山隱者同前	寵 廬 山 隱 者 同 前 
T51n2095_004:1046b16	風鳴雲外鍾。鶴宿千年松。相思杳不見。月出	風 鳴 雲 外 鍾 鶴 宿 千 年 松 相 思 杳 不 見 月 出 
T51n2095_004:1046b17	山重重。	山 重 重 
T51n2095_004:1046b18	瀑布江為	瀑 布 江 為 
T51n2095_004:1046b19	廬山正南面。瀑布古來聞。萬里朝滄海。千尋	廬 山 正 南 面 瀑 布 古 來 聞 萬 里 朝 滄 海 千 尋 
T51n2095_004:1046b20	出白雲。寒聲終自遠。靈派孰為分。除却天台	出 白 雲 寒 聲 終 自 遠 靈 派 孰 為 分 除 却 天 台 
T51n2095_004:1046b21	後。平流莫可群。	後 平 流 莫 可 群 
T51n2095_004:1046b22	簡寂觀同前	簡 寂 觀 同 前 
T51n2095_004:1046b23	纔入玄都解欝陶。羽人相伴遍遊遨。溪橫洞	纔 入 玄 都 解 欝 陶 羽 人 相 伴 遍 遊 遨 溪 橫 洞 
T51n2095_004:1046b24	口紅塵斷。岳聳天心紫氣高。金井泉秋光	口 紅 塵 斷 岳 聳 天 心 紫 氣 高 金 井 泉 秋 光 
T51n2095_004:1046b25	瀲灔。石壇松古韻蕭[颱台+(癸天+虫)]。吟餘却嘆浮生事。畫	瀲 灔 石 壇 松 古 韻 蕭 [颱台癸天虫] 吟 餘 却 嘆 浮 生 事 畫 
T51n2095_004:1046b26	□□□□□□。	 
T51n2095_004:1046b27	簡寂觀同前	簡 寂 觀 同 前 
T51n2095_004:1046b28	錢燼滿庭人醮罷。西峯凉影月沈沈。到來往	錢 燼 滿 庭 人 醮 罷 西 峯 凉 影 月 沈 沈 到 來 往 
T51n2095_004:1046b29	事碑中說。壇畔徘徊秋正深。	事 碑 中 說 壇 畔 徘 徊 秋 正 深 
T51n2095_004:1046c01	去東林曹汾	去 東 林 曹 汾 
T51n2095_004:1046c02	峯頭不住起孤煙。池上相留有白蓮。塵網分	峯 頭 不 住 起 孤 煙 池 上 相 留 有 白 蓮 塵 網 分 
T51n2095_004:1046c03	明知束縛。要須騎馬別雲泉(會昌三年七月十五日題汾開成四年崔蠡下	明 知 束 縛 要 須 騎 馬 別 雲 泉 會 昌 三 年 七 月十五日 題 汾 開 成 四 年 崔 蠡 下 
T51n2095_004:1046c04	進士後為中書舍人刑戶部侍郎忠武軍節度使)。	進 士 後 為 中 書 舍 人 刑 戶 部 侍 郎 忠 武 軍 節 度 使 
T51n2095_004:1046c05	予自右轄出鎮鍾陵。祕監家兄不忍遠	予 自 右 轄 出 鎮 鍾 陵 祕 監 家 兄 不 忍 遠 
T51n2095_004:1046c06	別。函見宰坐求替。遂得同赴江西時也。	別 函 見 宰 坐 求 替 遂 得 同 赴 江 西 時 也 
T51n2095_004:1046c07	薦福大德顯公禪門上首言。歸東林。亦	薦 福 大 德 顯 公 禪 門 上 首 言 歸 東 林 亦 
T51n2095_004:1046c08	獲結侶道路陪遊。每承清論。今過寺。因	獲 結 侶 道 路 陪 遊 每 承 清 論 今 過 寺 因 
T51n2095_004:1046c09	留題詩一首。裴休	留 題 詩 一 首 裴 休 
T51n2095_004:1046c10	麟臺朝士辭書府。鳳闕禪宗出帝京。歸到雙	麟 臺 朝 士 辭 書 府 鳳 闕 禪 宗 出 帝 京 歸 到 雙 
T51n2095_004:1046c11	林親慧遠。行過五柳謁淵明。白衣居士輕班	林 親 慧 遠 行 過 五 柳 謁 淵 明 白 衣 居 士 輕 班 
T51n2095_004:1046c12	爵。敗□高僧□□情。引得病夫無外想二	爵 敗 高 僧 情 引 得 病 夫 無 外 想 二 
T51n2095_004:1046c13	心師事□□□。	心 師 事 
T51n2095_004:1046c14	和舍弟寄題東林寺裴謨	和 舍 弟 寄 題 東 林 寺 裴 謨 
T51n2095_004:1046c15	元非附鳳攀龍客。本是山猿野鹿身。虛向班	元 非 附 鳳 攀 龍 客 本 是 山 猿 野 鹿 身 虛 向 班 
T51n2095_004:1046c16	行紆祖紱。爭如□□□□塵。歡同玉季為良	行 紆 祖 紱 爭 如 塵 歡 同 玉 季 為 良 
T51n2095_004:1046c17	伴。喜奉金□□□因。今日香爐峯下過。方欣	伴 喜 奉 金 因 今 日 香 爐 峯 下 過 方 欣 
T51n2095_004:1046c18	物外有遺民。	物 外 有 遺 民 
T51n2095_004:1046c19	簡寂觀沈彬	簡 寂 觀 沈 彬 
T51n2095_004:1046c20	山藏勝境當□□。□□樓臺洞府開。白髮滿	山 藏 勝 境 當 樓 臺 洞 府 開 白 髮 滿 
T51n2095_004:1046c21	頭誰肯到。蒼苔盈步自倫來。風帆閑事拋三	頭 誰 肯 到 蒼 苔 盈 步 自 倫 來 風 帆 閑 事 拋 三 
T51n2095_004:1046c22	日。玉液長生念一盃。此路有心星月在。杏壇	日 玉 液 長 生 念 一 盃 此 路 有 心 星 月 在 杏 壇 
T51n2095_004:1046c23	仙侶莫相猜。	仙 侶 莫 相 猜 
T51n2095_004:1046c24	再到東林寺同前	再 到 東 林 寺 同 前 
T51n2095_004:1046c25	十五年前還到此。池深苔蘚樹垂藤。重遊數	十 五 年 前 還 到 此 池 深 苔 蘚 樹 垂 藤 重 遊 數 
T51n2095_004:1046c26	處心傷日。不見舊時頭白僧。花有露含長夜	處 心 傷 日 不 見 舊 時 頭 白 僧 花 有 露 含 長 夜 
T51n2095_004:1046c27	月。殿無風動徹明燈。堪驚此去老又老。未有	月 殿 無 風 動 徹 明 燈 堪 驚 此 去 老 又 老 未 有 
T51n2095_004:1046c28	更來能不能。	更 來 能 不 能 
T51n2095_004:1046c29	瀑布同前	瀑 布 同 前 
T51n2095_004:1047a01	瀉出岳中源化水。噴成瀑布世還希。雖如仙	瀉 出 岳 中 源 化 水 噴 成 瀑 布 世 還 希 雖 如 仙 
T51n2095_004:1047a02	女偷來織。不見山公採得歸。萬古色嫌明月	女 偷 來 織 不 見 山 公 採 得 歸 萬 古 色 嫌 明 月 
T51n2095_004:1047a03	薄。千尋勇學白雲飛。若言真箇堪裁剪。預被	薄 千 尋 勇 學 白 雲 飛 若 言 真 箇 堪 裁 剪 預 被 
T51n2095_004:1047a04	豪家買作衣。	豪 家 買 作 衣 
T51n2095_004:1047a05	望廬山同前	望 廬 山 同 前 
T51n2095_004:1047a06	東過匡廬忍醉眠。雙眸盡日掛危巔。壓低吳	東 過 匡 廬 忍 醉 眠 雙 眸 盡 日 掛 危 巔 壓 低 吳 
T51n2095_004:1047a07	楚殽涵水。約破雲霞獨倚天。一面峭來無鳥	楚 殽 涵 水 約 破 雲 霞 獨 倚 天 一 面 峭 來 無 鳥 
T51n2095_004:1047a08	徑。數峯狂欲趁漁舡。江人莫笑偏凝望。卜隱	徑 數 峯 狂 欲 趁 漁 舡 江 人 莫 笑 偏 凝 望 卜 隱 
T51n2095_004:1047a09	長思瀑布前。	長 思 瀑 布 前 
T51n2095_004:1047a10	題東林寺布衣周碏	題 東 林 寺 布 衣 周 碏 
T51n2095_004:1047a11	大中天子海恩深。再使迷徒識佛心。半死	大 中 天 子 海 恩 深 再 使 迷 徒 識 佛 心 半 死 
T51n2095_004:1047a12	白蓮初降雲。欲成荒地又鋪金。僧開石室經	白 蓮 初 降 雲 欲 成 荒 地 又 鋪 金 僧 開 石 室 經 
T51n2095_004:1047a13	猶在。虎印溪泉跡未沈。誰謂五湖書劍客。此	猶 在 虎 印 溪 泉 跡 未 沈 誰 謂 五 湖 書 劍 客 此 
T51n2095_004:1047a14	生重得見東林。	生 重 得 見 東 林 
T51n2095_004:1047a15	再崇玄法象西天。宏閈新高碧嶂前。風送片	再 崇 玄 法 象 西 天 宏 閈 新 高 碧 嶂 前 風 送 片 
T51n2095_004:1047a16	雲招白馬。鶴迎貧女施金錢。沙門覓佛曾諳	雲 招 白 馬 鶴 迎 貧 女 施 金 錢 沙 門 覓 佛 曾 諳 
T51n2095_004:1047a17	路。苦海悲人易得舡。三教共興談帝道。大中	路 苦 海 悲 人 易 得 舡 三 教 共 興 談 帝 道 大 中 
T51n2095_004:1047a18	年是太平年。	年 是 太 平 年 
T51n2095_004:1047a19	題東林寺四首禪月大師貫休	題 東 林 寺 四 首 禪 月 大 師 貫 休 
T51n2095_004:1047a20	閑行閑坐思攀緣。多是東林古寺前。小瀑便	閑 行 閑 坐 思 攀 緣 多 是 東 林 古 寺 前 小 瀑 便 
T51n2095_004:1047a21	高三百尺。短松多是一千年。盧楞伽畫苔漫	高 三 百 尺 短 松 多 是 一 千 年 盧 楞 伽 畫 苔 漫 
T51n2095_004:1047a22	畫。殷仲堪碑雨滴穿。今欲更崇蓮社去。不	畫 殷 仲 堪 碑 雨 滴 穿 今 欲 更 崇 蓮 社 去 不 
T51n2095_004:1047a23	知誰是古諸賢。	知 誰 是 古 諸 賢 
T51n2095_004:1047a24	白旃檀花露滴滴。碧苾蒭草香濛濛。田地更	白 旃 檀 花 露 滴 滴 碧 苾 蒭 草 香 濛 濛 田 地 更 
T51n2095_004:1047a25	無塵一點。是何人合住其中。	無 塵 一 點 是 何 人 合 住 其 中 
T51n2095_004:1047a26	玉像珠龕香陣橫。錦霞多傍石壇生。辟蛇行	玉 像 珠 龕 香 陣 橫 錦 霞 多 傍 石 壇 生 辟 蛇 行 
T51n2095_004:1047a27	者今何在。峯項唯聞鳩鳥聲。	者 今 何 在 峯 項 唯 聞 鳩 鳥 聲 
T51n2095_004:1047a28	亘玄舊輦殘雲濕。耶舍孤墳落照遲。有箇老	亘 玄 舊 輦 殘 雲 濕 耶 舍 孤 墳 落 照 遲 有 箇 老 
T51n2095_004:1047a29	僧倚松樹。恐人偷取白猿兒。	僧 倚 松 樹 恐 人 偷 取 白 猿 兒 
T51n2095_004:1047b01	懷西林諸道者同前	懷 西 林 諸 道 者 同 前 
T51n2095_004:1047b02	島外更誰親。諸峯即四隣。白頭寒枕石。青袖	島 外 更 誰 親 諸 峯 即 四 隣 白 頭 寒 枕 石 青 袖 
T51n2095_004:1047b03	瀾無塵。橡栗堆行逕。猿猴遶定身。儻然重結	瀾 無 塵 橡 栗 堆 行 逕 猿 猴 遶 定 身 儻 然 重 結 
T51n2095_004:1047b04	社。願作掃壇人。	社 願 作 掃 壇 人 
T51n2095_004:1047b05	題東林寺荊門僧齊己	題 東 林 寺 荊 門 僧 齊 己 
T51n2095_004:1047b06	峯前林下東西寺。地角天涯來往僧。泉石靜	峯 前 林 下 東 西 寺 地 角 天 涯 來 往 僧 泉 石 靜 
T51n2095_004:1047b07	流閑世界。雲松寒濕晝香燈。爭如大士重修	流 閑 世 界 雲 松 寒 濕 晝 香 燈 爭 如 大 士 重 修 
T51n2095_004:1047b08	社。合有諸賢更服膺。曾寄隣房掛瓶錫。喧聞	社 合 有 諸 賢 更 服 膺 曾 寄 隣 房 掛 瓶 錫 喧 聞 
T51n2095_004:1047b09	巖溜解春氷。	巖 溜 解 春 氷 
T51n2095_004:1047b10	遠公影堂同前	遠 公 影 堂 同 前 
T51n2095_004:1047b11	白藕池邊舊影堂。劉雷風骨盡龍章。共輕天	白 藕 池 邊 舊 影 堂 劉 雷 風 骨 盡 龍 章 共 輕 天 
T51n2095_004:1047b12	子諸候貴。同愛吾師一法長。陶令醉多招不	子 諸 候 貴 同 愛 吾 師 一 法 長 陶 令 醉 多 招 不 
T51n2095_004:1047b13	得。謝公心亂入無方。何人到此思高躅。風默	得 謝 公 心 亂 入 無 方 何 人 到 此 思 高 躅 風 默 
T51n2095_004:1047b14	苔痕滿粉牆。	苔 痕 滿 粉 牆 
T51n2095_004:1047b15	簡寂觀同前	簡 寂 觀 同 前 
T51n2095_004:1047b16	萬壑雲霞影。千年松檜聲。如何教下士。容易	萬 壑 雲 霞 影 千 年 松 檜 聲 如 何 教 下 士 容 易 
T51n2095_004:1047b17	信長生。月共虛無白。香和沅[漠旲+(糸*韭)]清。閑尋古	信 長 生 月 共 虛 無 白 香 和 沅 [漠旲糸韭] 清 閑 尋 古 
T51n2095_004:1047b18	廊畫。記得列仙名。	廊 畫 記 得 列 仙 名 
T51n2095_004:1047b19	落星寺同前	落 星 寺 同 前 
T51n2095_004:1047b20	此星何事下穹蒼。獨為僧居化渺茫。樓閣雨	此 星 何 事 下 穹 蒼 獨 為 僧 居 化 渺 茫 樓 閣 雨 
T51n2095_004:1047b21	回青嶂冷。幹窓風渡白蘋香。經秋遠雁橫高	回 青 嶂 冷 幹 窓 風 渡 白 蘋 香 經 秋 遠 雁 橫 高 
T51n2095_004:1047b22	漠。[颱台+召]月寒濤響夜堂。盡日凭欄聊寫望。頓疑	漠 [颱台召] 月 寒 濤 響 夜 堂 盡 日 凭 欄 聊 寫 望 頓 疑 
T51n2095_004:1047b23	身忽在瀟湘。	身 忽 在 瀟 湘 
T51n2095_004:1047b24	西林水閣同前	西 林 水 閣 同 前 
T51n2095_004:1047b25	松楸連塔古。窓檻任閑開。水遶清陰裏。人從	松 楸 連 塔 古 窓 檻 任 閑 開 水 遶 清 陰 裏 人 從 
T51n2095_004:1047b26	熱處來。噪風蟬帶鶴。欹樹石兼苔。向曉東林	熱 處 來 噪 風 蟬 帶 鶴 欹 樹 石 兼 苔 向 曉 東 林 
T51n2095_004:1047b27	下。遲遲捨此迴。	下 遲 遲 捨 此 迴 
T51n2095_004:1047b28	題東林寺联句	題 東 林 寺 联 句 
T51n2095_004:1047b29	古殿巍峨鎮碧峯。晉朝靈應顯神蹤。林間野	古 殿 巍 峨 鎮 碧 峯 晉 朝 靈 應 顯 神 蹤 林 間 野 
T51n2095_004:1047c01	鳥驚寅梵。嶺上孤猿聽晚鍾(節度使時進檢校太尉平章事徐知證)	鳥 驚 寅 梵 嶺 上 孤 猿 聽 晚 鍾 節 度 使 時 進 檢 校 太 尉 平 章 事 徐 知 證 
T51n2095_004:1047c02	雁冷雲生曉檻。虎溪秋月照寒松(賜紫僧虔修)香	雁 冷 雲 生 曉 檻 虎 溪 秋 月 照 寒 松 賜 紫 僧 虔 修 香 
T51n2095_004:1047c03	飛寶殿籠金像。檜倚松窓覆玉容(道士李玄)蝶戀半	飛 寶 殿 籠 金 像 檜 倚 松 窓 覆 玉 容 道 士 李 玄 蝶 戀 半 
T51n2095_004:1047c04	巖花灼灼。鹿眠深谷草茸茸(觀察推官賜紫金魚袋李)遊僧駐	巖 花 灼 灼 鹿 眠 深 谷 草 茸 茸 觀 察 推 官 賜 紫 金 魚 袋 李 遊 僧 駐 
T51n2095_004:1047c05	錫心皆佛。老樹擎煙勢似龍(觀察推官賜緋魚袋王三)竹蔭禪	錫 心 皆 佛 老 樹 擎 煙 勢 似 龍 觀 察 推 官 賜 緋 魚 袋 王 三 竹 蔭 禪 
T51n2095_004:1047c06	扉青靄合。嵐蒸幽逕緣苔封(司理參軍掌表奏孟拱辰)流泉	扉 青 靄 合 嵐 蒸 幽 逕 緣 苔 封 司 理 參 軍 掌 表 奏 孟 拱 辰 流 泉 
T51n2095_004:1047c07	遶砌清聲遠。列巘趍門更憧憧。高吟況愛無	遶 砌 清 聲 遠 列 巘 趍 門 更 憧 憧 高 吟 況 愛 無 
T51n2095_004:1047c08	塵境。吟訪空關不厭重(管旬官賜紫金魚袋鍾敬倫)。	塵 境 吟 訪 空 關 不 厭 重 管 旬 官 賜 紫 金 魚 袋 鍾 敬 倫 
T51n2095_004:1047c09	天祚二年三月十六日。偶與幕客門館僧	天 祚 二 年 三 月 十 六 日 偶 與 幕 客 門 館 僧 
T51n2095_004:1047c10	道閑遊联題。	道 閑 遊 联 題 
T51n2095_004:1047c11	題東林二首文通大師匡白	題 東 林 二 首 文 通 大 師 匡 白 
T51n2095_004:1047c12	東林佳景一何長。蘭蕙生多地亦香。堪嘆世	東 林 佳 景 一 何 長 蘭 蕙 生 多 地 亦 香 堪 嘆 世 
T51n2095_004:1047c13	人來不得。便隨雲樹老何妨。倚天蒼翠晴當	人 來 不 得 便 隨 雲 樹 老 何 妨 倚 天 蒼 翠 晴 當 
T51n2095_004:1047c14	戶。落口潺湲夜遶廊。到此秖除重結社。自餘	戶 落 口 潺 湲 夜 遶 廊 到 此 秖 除 重 結 社 自 餘 
T51n2095_004:1047c15	閑事莫思量。	閑 事 莫 思 量 
T51n2095_004:1047c16	東林繼四絕。物象更清幽。社客去不返。鍾峯	東 林 繼 四 絕 物 象 更 清 幽 社 客 去 不 返 鍾 峯 
T51n2095_004:1047c17	雲也秋。松枯群狖散。溪大蠧槎流。待卜歸休	雲 也 秋 松 枯 群 狖 散 溪 大 蠧 槎 流 待 卜 歸 休 
T51n2095_004:1047c18	計。重來臥石樓。	計 重 來 臥 石 樓 
T51n2095_004:1047c19	人似鶴紅鹿。路上事如麻。石肥滯雨添。蒼□	人 似 鶴 紅 鹿 路 上 事 如 麻 石 肥 滯 雨 添 蒼 
T51n2095_004:1047c20	水賦長松落翠。花莫道此間。無我分遺民。長在	水 賦 長 松 落 翠 花 莫 道 此 間 無 我 分 遺 民 長 在 
T51n2095_004:1047c21	惠持家。	惠 持 家 
T51n2095_004:1047c22	落星寺同前	落 星 寺 同 前 
T51n2095_004:1047c23	是嶽皆遊遍。南來吳楚間。偶登湖裏寺。疑到	是 嶽 皆 遊 遍 南 來 吳 楚 間 偶 登 湖 裏 寺 疑 到 
T51n2095_004:1047c24	海中山。獨樹蒨蘿濕。遙汀白鳥閑。終頃謝浮	海 中 山 獨 樹 蒨 蘿 濕 遙 汀 白 鳥 閑 終 頃 謝 浮 
T51n2095_004:1047c25	世。高臥聽潺潺。	世 高 臥 聽 潺 潺 
T51n2095_004:1047c26	廬山記卷第四	廬 山 記 卷 第 四 
T51n2095_005:1048a02	廬山記卷第五	廬 山 記 卷 第 五 
T51n2095_005:1048a04	古碑目第七	古 碑 目 第 七 
T51n2095_005:1048a05	廬山自晉宋齊梁陳隋唐。至本朝。幾八百年。	廬 山 自 晉 宋 齊 梁 陳 隋 唐 至 本 朝 幾 八 百 年 
