X31n0610_001:0516a03	妙法蓮華經擊節	妙法蓮華 經 擊 節 
X31n0610_001:0522c06	四發救一切眾生之心。如是成就四法。於如來滅後	四 發 救 一 切 眾 生 之 心 如 是 成 就 四 法 於 如來滅後 
X31n0610_001:0522c07	必得是經。且既曰當得。而又曰必得。是真實決定不	必 得 是 經 且 既 曰 當 得 而 又 曰 必 得 是 真 實 決 定 不 
X31n0610_001:0522c08	易之辭也。然此四法者。果何意哉。而成就之速如此	易 之 辭 也 然 此 四 法 者 果 何 意 哉 而 成 就 之 速 如 此 
X31n0610_001:0522c09	耶。起信論云。分別發趣道相者。謂一切諸佛所證之	耶 起 信 論 云 分 別 發 趣 道 相 者 謂 一切諸佛 所 證 之 
X31n0610_001:0522c10	道。一切菩薩發心趣向義故。略云。發心有三種。一者	道 一切菩薩 發 心 趣 向 義 故 略 云 發 心 有 三 種 一 者 
X31n0610_001:0522c11	信心成就發心。二者解行發心。三者證發心。由前云	信 心 成 就 發 心 二 者 解 行 發 心 三 者 證 發 心 由 前 云 
X31n0610_001:0522c12	汝等若能信受是語。一切皆當得成佛道。又云。汝舍	汝 等 若 能 信 受 是 語 一 切 皆 當 得 成 佛 道 又 云 汝 舍 
X31n0610_001:0522c13	利弗尚於此經以信得入。然而此經諸佛知見甚深	利 弗 尚 於 此 經 以 信 得 入 然 而 此 經 諸 佛 知 見 甚 深 
X31n0610_001:0522c14	秘藏。非心所測。唯許以信得入。由是觀之。此四法者	秘 藏 非 心 所 測 唯 許 以 信 得 入 由 是 觀 之 此 四 法 者 
X31n0610_001:0522c15	乃信心成就發心者也。華嚴云。知一切法即心自性。	乃 信 心 成 就 發 心 者 也 華 嚴 云 知一切法 即 心 自 性 
X31n0610_001:0522c16	成就慧身不由他悟。即得菩提。此信心成就之謂也。	成 就 慧 身 不由他悟 即 得 菩 提 此 信 心 成 就 之 謂 也 
X31n0610_001:0522c17	論曰。信成就發心者。發何等心。略說有三種。一者直	論 曰 信 成 就 發 心 者 發 何 等 心 略 說 有 三 種 一 者 直 
X31n0610_001:0522c18	心。正念真如法故。此所謂為諸佛護念也。二者深心。	心 正 念 真 如 法 故 此 所 謂 為 諸 佛 護 念 也 二 者 深 心 
X31n0610_001:0522c19	樂集一切諸善行故。此所謂植眾德本也。三者大悲	樂 集 一 切 諸 善 行 故 此 所 謂 植 眾 德 本 也 三 者 大 悲 
X31n0610_001:0522c20	心。欲拔一切眾生苦故。此所謂發救一切眾生之心	心 欲 拔 一 切 眾 生 苦 故 此 所 謂 發 救 一 切 眾 生 之 心 
X31n0610_001:0522c21	也。又云。如是信心成就得發心者。入正定聚。畢竟不	也 又 云 如 是 信 心 成 就 得 發 心 者 入正定聚 畢 竟 不 
X31n0610_001:0522c22	退。名住如來種中。正因相應。此所謂入正定聚也。既	退 名 住 如 來 種 中 正 因 相 應 此 所 謂 入正定聚 也 既 
X31n0610_001:0522c23	許以信得入。是則以文殊大智止觀之力。照自心源。	許 以 信 得 入 是 則 以 文 殊 大 智 止 觀 之 力 照 自 心 源 
X31n0610_001:0522c24	諦信唯心。無外境界。以此研窮是謂妙行。以此妙行	諦 信 唯 心 無 外 境 界 以 此 研 窮 是 謂 妙 行 以 此 妙 行 
X31n0610_001:0523a01	契乎妙智。智行妙圓。所謂正因相應。其必得是經也	契 乎 妙 智 智 行 妙 圓 所 謂 正 因 相 應 其 必 得 是 經 也 
X31n0610_001:0523a02	宜矣。是則前開解行不出信心。信極道圓。入乎妙覺。	宜 矣 是 則 前 開 解 行 不 出 信 心 信 極 道 圓 入 乎 妙 覺 
X31n0610_001:0523a03	正所謂啟明東廟。智滿不異於初心。此妙符華嚴。始	正 所 謂 啟 明 東 廟 智 滿 不 異 於 初 心 此 妙 符 華 嚴 始 
X31n0610_001:0523a04	終無二。故此普賢所勸發者。唯此信心。故言得經之	終 無 二 故 此 普 賢 所 勸 發 者 唯 此 信 心 故 言 得 經 之 
X31n0610_001:0523a05	道。而如來示之以此四法而已。又云。是菩薩功德成	道 而 如 來 示 之 以 此 四 法 而 已 又 云 是 菩 薩 功 德 成 
X31n0610_001:0523a06	滿。於色究竟處。示現一切世間最高大身。謂以一念	滿 於 色究竟處 示 現 一切世間 最 高 大 身 謂 以 一 念 
X31n0610_001:0523a07	相應慧。無明頓盡。名一切種智。自然而有不思議業。	相 應 慧 無 明 頓 盡 名 一切種智 自 然 而 有 不 思 議 業 
X31n0610_001:0523a08	能現十方利益眾生。故如來滅後有能持是經者。我	能 現 十 方 利 益 眾 生 故 如來滅後 有 能 持 是 經 者 我 
X31n0610_001:0523a09	當守護。與大菩薩眾而自現身供養。安慰其心。其人	當 守 護 與 大 菩 薩 眾 而 自 現 身 供 養 安 慰 其 心 其 人 
X31n0610_001:0523a10	若有忘失一句一偈。我當教之還令通利也。論云。如	若 有 忘 失 一 句 一 偈 我 當 教 之 還 令 通 利 也 論 云 如 
X31n0610_001:0523a11	菩薩地盡。滿足方便。一念相應。覺心初起。心無初相。	菩 薩 地 盡 滿 足 方 便 一 念 相 應 覺 心 初 起 心 無 初 相 
X31n0610_001:0523a12	以遠離微細念故。得見心性。故云得見我身。又云。菩	以 遠 離 微 細 念 故 得 見 心 性 故 云 得 見 我 身 又 云 菩 
X31n0610_001:0523a13	薩從初發意。乃至菩薩究竟地心所見者。名為報身。	薩 從 初 發 意 乃 至 菩 薩 究 竟 地 心 所 見 者 名 為 報 身 
X31n0610_001:0523a14	此所謂以一切眾生所喜見身現其人前。而為說法。	此 所 謂 以 一 切 眾 生 所 喜 見 身 現其人前 而 為 說 法 
X31n0610_001:0523a15	斯正現身面言說加持也。又云。若有眾生能觀無念	斯 正 現 身 面 言 說 加 持 也 又 云 若 有 眾 生 能 觀 無 念 
X31n0610_001:0523a16	者。則為向佛智矣。故云以見我故。即得三昧。及陀羅	者 則 為 向 佛 智 矣 故 云 以 見 我 故 即 得 三 昧 及 陀 羅 
X31n0610_001:0523a17	尼。名為旋陀羅尼。百千萬億旋陀羅尼。法音方便陀	尼 名 為 旋陀羅尼 百千萬億旋 陀 羅 尼 法音方便 陀 
X31n0610_001:0523a18	羅尼。此究竟之實證也。梵語陀羅尼。此云總持。謂總	羅 尼 此 究 竟 之 實 證 也 梵 語 陀 羅 尼 此 云 總 持 謂 總 
X31n0610_001:0523a19	一切法持無量義。乃一心真如之異稱也。論云。心真	一 切 法 持 無 量 義 乃 一 心 真 如 之 異 稱 也 論 云 心 真 
X31n0610_001:0523a20	如者。即是一法界大總相法門體。所謂心性不生不	如 者 即 是 一 法 界 大 總 相 法 門 體 所 謂 心 性 不 生 不 
X31n0610_001:0523a21	滅。一切諸法唯依妄念而有差別。若離心念。則無一	滅 一切諸法 唯 依 妄 念 而有差別 若 離 心 念 則 無 一 
X31n0610_001:0523a22	切境界之相。是故一切法從本已來。離言說相。離名	切 境 界 之 相 是 故 一 切 法 從 本 已 來 離 言 說 相 離 名 
X31n0610_001:0523a23	字相。離心緣相。畢竟平等。無有變異。不可破壞。唯是	字 相 離 心 緣 相 畢 竟 平 等 無有變異 不可破壞 唯 是 
X31n0610_001:0523a24	一心。故名真如。此所謂旋陀羅尼也。又云。一切言說	一 心 故 名 真 如 此 所 謂 旋陀羅尼 也 又 云 一 切 言 說 
X31n0610_001:0523b01	假名無實。但隨妄念。不可得故。此所謂百千萬億旋	假 名 無 實 但 隨 妄 念 不 可 得 故 此 所 謂 百千萬億旋 
X31n0610_001:0523b02	陀羅尼也。又云。言真如者亦無有相。謂言說之極。因	陀 羅 尼 也 又 云 言 真 如 者 亦 無 有 相 謂 言 說 之 極 因 
X31n0610_001:0523b03	言遣言。此真如體無有可遣。以一切法皆同真故。以	言 遣 言 此 真 如 體 無 有 可 遣 以 一 切 法 皆 同 真 故 以 
X31n0610_001:0523b04	一切法皆同如故。當知一切法不可說不可念。故名	一 切 法 皆 同 如 故 當 知一切法 不 可 說 不 可 念 故 名 
X31n0610_001:0523b05	真如。此所謂法音方便陀羅尼也。旋者。楞嚴觀音耳	真 如 此 所 謂 法音方便 陀 羅 尼 也 旋 者 楞 嚴 觀 音 耳 
X31n0610_001:0523b06	根圓通云。旋倒聞機返聞自性。旋。漩也。水之急流最	根 圓 通 云 旋 倒 聞 機 返 聞 自 性 旋 漩 也 水 之 急 流 最 
X31n0610_001:0523b07	深而有洄旋。謂之漩澓。以當急流而力能迴流漩澓。	深 而 有 洄 旋 謂 之 漩 澓 以 當 急 流 而 力 能 迴 流 漩 澓 
X31n0610_001:0523b08	淵。源也。謂念念生滅急流中。而能念念隨順真如。不	淵 源 也 謂 念念生滅 急 流 中 而 能 念 念 隨 順 真 如 不 
X31n0610_001:0523b09	隨妄念流轉。故如水之漩澓也。論云。若知一切法雖	隨 妄 念 流 轉 故 如 水 之 漩 澓 也 論 云 若 知一切法 雖 
X31n0610_001:0523b10	說。無有能說可說。雖念。亦無能念可念。是名隨順。若	說 無 有 能 說 可 說 雖 念 亦 無 能 念 可 念 是 名 隨 順 若 
X31n0610_001:0523b11	離於念名為得入。然無念者。正念也。故終誡以應當	離 於 念 名 為 得 入 然 無 念 者 正 念 也 故 終 誡 以 應 當 
X31n0610_001:0523b12	一心受持讀誦正憶念。如說修行。正憶念者萬行之	一 心 受持讀誦 正 憶 念 如說修行 正 憶 念 者 萬 行 之 
X31n0610_001:0523b13	本。信心之至也。故若有受持讀誦正憶念。解其義趣。	本 信 心 之 至 也 故 若 有 受持讀誦 正 憶 念 解 其 義 趣 
X31n0610_001:0523b14	如說修行。當知是人行普賢行也。以一乘實相佛之	如說修行 當 知 是 人 行 普 賢 行 也 以 一 乘 實 相 佛 之 
X31n0610_001:0523b15	知見備殫乎此。法身慧命不外乎是。故普賢願以神	知 見 備 殫 乎 此 法 身 慧 命 不 外 乎 是 故 普 賢 願 以 神 
X31n0610_001:0523b16	通力守護是經。於如來滅後閻浮提內廣令流布使	通 力 守 護 是 經 於 如來滅後 閻 浮 提 內 廣 令 流 布 使 
X31n0610_001:0523b17	不斷絕。而如來即許之曰。若有持受讀誦正憶念修	不 斷 絕 而 如 來 即 許 之 曰 若 有 持 受 讀 誦 正 憶 念 修 
X31n0610_001:0523b18	習書寫是法華經者。當知是人則見釋迦牟尼佛。如	習 書 寫 是 法 華 經 者 當 知 是 人 則 見 釋 迦 牟 尼 佛 如 
X31n0610_001:0523b19	從佛口聞此經典。以極種種讚歎。廼至不久當得菩	從 佛 口 聞 此 經 典 以 極 種 種 讚 歎 廼 至 不 久 當 得 菩 
X31n0610_001:0523b20	提。其効之速既如此。若有不信輕毀之者。其所得惡	提 其 効 之 速 既 如 此 若 有 不 信 輕 毀 之 者 其 所 得 惡 
X31n0610_001:0523b21	報之重又如彼。是終許其以信得入也。所謂信為道	報 之 重 又 如 彼 是 終 許 其 以 信 得 入 也 所 謂 信 為 道 
X31n0610_001:0523b22	元功德母。長養一切諸善法。惟此甚深秘藏無上法	元 功 德 母 長 養 一 切 諸 善 法 惟 此 甚 深 秘 藏 無 上 法 
X31n0610_001:0523b23	門。唯許以信得入。正謂發心畢竟二無別。如是二心	門 唯 許 以 信 得 入 正 謂 發 心 畢 竟 二 無 別 如 是 二 心 
X31n0610_001:0523b24	先心難。故此經以文殊為唱導之首。普賢為勸發之	先 心 難 故 此 經 以 文 殊 為 唱 導 之 首 普 賢 為 勸 發 之 
X31n0610_001:0523c01	終。此如來說法始終一貫之極致也。	終 此 如 來 說 法 始 終 一 貫 之 極 致 也 
X31n0610_001:0523c02	法華經擊節(終)	法 華 經 擊 節 終 
