X25n0475_001:0071a03	 金剛鎞序	 金 剛 鎞 序 
X25n0475_002:0095a22	次。須菩提。是法平等。無有高下。是名阿耨多羅三藐	次 須 菩 提 是 法 平 等 無有高下 是 名 阿 耨 多 羅 三 藐 
X25n0475_002:0095a23	三菩提。	三 菩 提 
X25n0475_002:0095a24	佛意謂。欲知修證。先識菩提。知菩提則知修證矣。	佛 意 謂 欲 知 修 證 先 識 菩 提 知 菩 提 則 知 修 證 矣 
X25n0475_002:0095b01	無少法可得者。彌勒云。彼處無少法。知菩提無上。	無 少 法 可 得 者 彌 勒 云 彼 處 無 少 法 知 菩 提 無 上 
X25n0475_002:0095b02	謂所證菩提之處。但妄盡覺滿名菩提。離此何有	謂 所 證 菩 提 之 處 但 妄 盡 覺 滿 名 菩 提 離 此 何 有 
X25n0475_002:0095b03	菩提可得。此以空寂名菩提也。是法平等。順言之	菩 提 可 得 此 以 空 寂 名 菩 提 也 是 法 平 等 順 言 之 
X25n0475_002:0095b04	也。無有高下。反言之也。如彌勒云。法界不增減。淨	也 無有高下 反 言 之 也 如 彌 勒 云 法 界 不 增 減 淨 
X25n0475_002:0095b05	平等自相。謂在凡不減。故不下。在聖不增。故不高。	平 等 自 相 謂 在 凡 不 減 故 不 下 在 聖 不 增 故 不 高 
X25n0475_002:0095b06	清淨自相。本來如是。此約同體。名菩提也。同體空	清 淨 自 相 本 來 如 是 此 約 同 體 名 菩 提 也 同 體 空 
X25n0475_002:0095b07	寂。菩提之體如此。△二明修證。	寂 菩 提 之 體 如 此 二 明 修 證 
X25n0475_002:0095b08	以無我．無人．無眾生．無壽者。修一切善法。則得阿耨	以 無 我 無 人 無 眾 生 無 壽 者 修 一 切 善 法 則 得 阿 耨 
X25n0475_002:0095b09	多羅三藐三菩提。須菩提。所言善法者。如來說。即非	多 羅 三藐三菩提 須 菩 提 所 言 善 法 者 如 來 說 即 非 
X25n0475_002:0095b10	善法。是名善法。	善 法 是 名 善 法 
X25n0475_002:0095b11	法雖空寂。茅塞於無明。體固平等。妄分於差別。非	法 雖 空 寂 茅 塞 於 無 明 體 固 平 等 妄 分 於 差 別 非 
X25n0475_002:0095b12	謂不修得成正覺。故以無我等修也。無我等者。即	謂 不 修 得 成 正 覺 故 以 無 我 等 修 也 無 我 等 者 即 
X25n0475_002:0095b13	般若度。能了煩惱本空。法身本具。名為了因。如燈	般 若 度 能 了 煩 惱 本 空 法 身 本 具 名 為 了 因 如 燈 
X25n0475_002:0095b14	能破暗顯物也。一切善法。即施等五度。能資般若。	能 破 暗 顯 物 也 一 切 善 法 即 施 等 五 度 能 資 般 若 
X25n0475_002:0095b15	斷煩惱成菩提。名為緣因。如燈雖破暗顯物。必藉	斷 煩 惱 成 菩 提 名 為 緣 因 如 燈 雖 破 暗 顯 物 必 藉 
X25n0475_002:0095b16	心油以為資緣也。即非善法是名善法者。即非有	心 油 以 為 資 緣 也 即 非 善 法 是 名 善 法 者 即 非 有 
X25n0475_002:0095b17	漏墮人天之善法。是無漏成菩提之善法也。如彌	漏 墮 人 天 之 善 法 是 無 漏 成 菩 提 之 善 法 也 如 彌 
X25n0475_002:0095b18	勒云。有無上方便。及離於漏法。是故非淨法。即是	勒 云 有 無 上 方 便 及 離 於 漏 法 是 故 非 淨 法 即 是 
X25n0475_002:0095b19	清淨法。然則以同體空寂故無得。以無我等修一	清 淨 法 然 則 以 同 體 空 寂 故 無 得 以 無 我 等 修 一 
X25n0475_002:0095b20	切善法。而復其同體空寂。故無得而得也。夫何以	切 善 法 而 復 其 同 體 空 寂 故 無 得 而 得 也 夫 何 以 
X25n0475_002:0095b21	修證為疑耶。問。前以無法名無得。次以平等名無	修 證 為 疑 耶 問 前 以 無 法 名 無 得 次 以 平 等 名 無 
X25n0475_002:0095b22	得。今有修證。則義既矛盾。云何兩存。答。所言修者。	得 今 有 修 證 則 義 既 矛 盾 云 何 兩 存 答 所 言 修 者 
X25n0475_002:0095b23	但是斷除我法本無之妄。顯自性德本有之真。修	但 是 斷 除 我 法 本 無 之 妄 顯 自 性 德 本 有 之 真 修 
X25n0475_002:0095b24	而無修。證而無證。竟無一法可得。豈有修有證有	而 無 修 證 而 無 證 竟 無 一 法 可 得 豈 有 修 有 證 有 
X25n0475_002:0095c01	少法之可得耶。是故與前宛相符順。問。第三疑十	少 法 之 可 得 耶 是 故 與 前 宛 相 符 順 問 第 三 疑 十 
X25n0475_002:0095c02	二疑十三疑及此段。皆言不得菩提。不得若是均	二 疑 十 三 疑 及 此 段 皆 言 不 得 菩 提 不 得 若 是 均 
X25n0475_002:0095c03	乎。答。三疑迦文得果。十二疑善慧成因。十三疑無	乎 答 三 疑 迦 文 得 果 十 二 疑 善 慧 成 因 十 三 疑 無 
X25n0475_002:0095c04	佛無法。今疑有修有證。文雖相似。意義迢然。請細	佛 無 法 今 疑 有 修 有 證 文 雖 相 似 意 義 迢 然 請 細 
X25n0475_002:0095c05	披之。俾無所濫。	披 之 俾 無 所 濫 
X25n0475_002:0095c06	△二十斷所說無記非因疑。	 二 十 斷 所 說 無 記 非 因 疑 
X25n0475_002:0095c07	須菩提。若三千大千世界中所有諸須彌山王。如是	須 菩 提 若 三千大千世界 中 所 有 諸 須 彌 山 王 如 是 
X25n0475_002:0095c08	等七寶聚。有人持用布施。若人以此般若波羅蜜經。	等 七 寶 聚 有 人 持用布施 若 人 以 此 般若波羅蜜經 
X25n0475_002:0095c09	乃至四句偈等。受持讀誦。為他人說。於前福德百分	乃 至 四 句 偈 等 受持讀誦 為 他 人 說 於 前 福 德 百 分 
X25n0475_002:0095c10	不及一。百千萬億分。乃至算數譬喻所不能及。	不 及 一 百 千萬億分 乃 至 算 數 譬 喻 所 不 能 及 
X25n0475_002:0095c11	如來意謂。汝聞修一切善法得菩提。將無疑此經	如 來 意 謂 汝 聞 修 一 切 善 法 得 菩 提 將 無 疑 此 經 
X25n0475_002:0095c12	是無記性。持說無記之法。則無因無果。云何得菩	是 無 記 性 持 說 無 記 之 法 則 無 因 無 果 云 何 得 菩 
X25n0475_002:0095c13	提耶。不知此經最勝。而寶施之不及者。良以其能	提 耶 不 知 此 經 最 勝 而 寶 施 之 不 及 者 良 以 其 能 
X25n0475_002:0095c14	得菩提故也。故云須菩提三千大千世界等也。七	得 菩 提 故 也 故 云 須 菩 提 三千大千世界 等 也 七 
X25n0475_002:0095c15	寶甚多。持說之四句甚少。而反遠過其施者。以經	寶 甚 多 持 說 之 四 句 甚 少 而 反 遠 過 其 施 者 以 經 
X25n0475_002:0095c16	詮真理。因之悟解。依解起行。方得菩提。若無教門。	詮 真 理 因 之 悟 解 依 解 起 行 方 得 菩 提 若 無 教 門 
X25n0475_002:0095c17	安知所入妙經。謂以佛教門出三界苦。是則只就	安 知 所 入 妙 經 謂 以 佛 教 門 出 三 界 苦 是 則 只 就 
X25n0475_002:0095c18	無記。尚得為因。況此經是佛後得智中所變文義。	無 記 尚 得 為 因 況 此 經 是 佛 後 得 智 中 所 變 文 義 
X25n0475_002:0095c19	唯是無漏善法。而非無記。寧有不得菩提者耶。故	唯 是 無 漏 善 法 而 非 無 記 寧 有 不 得 菩 提 者 耶 故 
X25n0475_002:0095c20	彌勒云。雖言無記法。而說是彼因。是故一法寶。勝	彌 勒 云 雖 言 無 記 法 而 說 是 彼 因 是 故 一 法 寶 勝 
X25n0475_002:0095c21	無量珍寶。問。此與第九疑何別。曰。九疑經是有為	無 量 珍 寶 問 此 與 第 九 疑 何 別 曰 九 疑 經 是 有 為 
X25n0475_002:0095c22	無體。此疑經是無記非因。又彼唯據持說為疑。此	無 體 此 疑 經 是 無 記 非 因 又 彼 唯 據 持 說 為 疑 此 
X25n0475_002:0095c23	則兼對善法為難。迢然不同也。	則 兼 對 善 法 為 難 迢 然 不 同 也 
X25n0475_002:0095c24	△二十一斷平等云何度生疑。	 二 十 一 斷 平 等 云 何 度 生 疑 
X25n0475_002:0096a01	須菩提。於意云何。汝等勿謂如來作是念。我當度眾	須 菩 提 於意云何 汝 等 勿 謂 如 來 作 是 念 我 當 度 眾 
X25n0475_002:0096a02	生。須菩提。莫作是念。何以故。實無有眾生如來度者。	生 須 菩 提 莫 作 是 念 何 以 故 實 無 有 眾 生 如 來 度 者 
X25n0475_002:0096a03	若有眾生如來度者。如來則有我人眾生壽者。須菩	若 有 眾 生 如 來 度 者 如 來 則 有 我 人 眾 生 壽 者 須 菩 
X25n0475_002:0096a04	提。如來說。有我者。則非有我。而凡夫之人以為有我。	提 如 來 說 有 我 者 則 非 有 我 而 凡 夫 之 人 以 為 有 我 
X25n0475_002:0096a05	須菩提。凡夫者。如來說則非凡夫。	須 菩 提 凡 夫 者 如 來 說 則 非 凡 夫 
X25n0475_002:0096a06	文有四節。初遮錯解。二出所以。三反顯無度。四展	文 有 四 節 初 遮 錯 解 二 出 所 以 三 反 顯 無 度 四 展 
X25n0475_002:0096a07	轉拂迹。意謂。汝聞是法平等。無有高下。將無疑既	轉 拂 迹 意 謂 汝 聞 是 法 平 等 無有高下 將 無 疑 既 
X25n0475_002:0096a08	無高下。云何如來度生似有高下。而乖于平等無	無 高 下 云 何 如 來 度 生 似 有 高 下 而 乖 于 平 等 無 
X25n0475_002:0096a09	高下耶。不知佛無是度生之念也。故遮云勿謂。又	高 下 耶 不 知 佛 無 是 度 生 之 念 也 故 遮 云 勿 謂 又 
X25n0475_002:0096a10	誡云莫作。所以然者。以真實性中物我同體。實無	誡 云 莫 作 所 以 然 者 以 真 實 性 中 物 我 同 體 實 無 
X25n0475_002:0096a11	眾生如來度者。故彌勒云。平等真法界。佛不度眾	眾 生 如 來 度 者 故 彌 勒 云 平 等 真 法 界 佛 不 度 眾 
X25n0475_002:0096a12	生。以名共彼陰。不離於法界。共和合也。謂眾生以	生 以 名 共 彼 陰 不 離 於 法 界 共 和 合 也 謂 眾 生 以 
X25n0475_002:0096a13	五陰和合得名。雖其未證真界。而緣生無體。不離	五 陰 和 合 得 名 雖 其 未 證 真 界 而 緣 生 無 體 不 離 
X25n0475_002:0096a14	法界。佛既證窮。無物不是法界。豈有法界復度於	法 界 佛 既 證 窮 無 物 不 是 法 界 豈 有 法 界 復 度 於 
X25n0475_002:0096a15	法界乎。是故實無眾生如來度者。若有眾生如來	法 界 乎 是 故 實 無 眾 生 如 來 度 者 若 有 眾 生 如 來 
X25n0475_002:0096a16	度者。則佛著我人等相矣。佛豈有我人耶。又佛雖	度 者 則 佛 著 我 人 等 相 矣 佛 豈 有 我 人 耶 又 佛 雖 
X25n0475_002:0096a17	說我。元來無我。執有我者。蓋是凡夫。雖言凡夫。亦	說 我 元 來 無 我 執 有 我 者 蓋 是 凡 夫 雖 言 凡 夫 亦 
X25n0475_002:0096a18	無凡夫。如夢人見虎。虎與夢人。皆不可得。凡夫執	無 凡 夫 如 夢 人 見 虎 虎 與 夢 人 皆 不 可 得 凡 夫 執 
X25n0475_002:0096a19	我。故言無我。恐執凡夫。故非凡夫。由是觀之。則如	我 故 言 無 我 恐 執 凡 夫 故 非 凡 夫 由 是 觀 之 則 如 
X25n0475_002:0096a20	來非唯不可言度。亦復不可言無度。汝疑有度。我	來 非 唯 不 可 言 度 亦 復 不 可 言 無 度 汝 疑 有 度 我 
X25n0475_002:0096a21	說無度。一真法界非度無度。問。正答降住。并十一	說 無 度 一 真 法 界 非 度 無 度 問 正 答 降 住 并 十 一 
X25n0475_002:0096a22	十四。以及於此。皆言無度。差別云何。曰。初言離我	十 四 以 及 於 此 皆 言 無 度 差 別 云 何 曰 初 言 離 我 
X25n0475_002:0096a23	度生曰無度。十一疑能度是我曰無度。十四疑無	度 生 曰 無 度 十 一 疑 能 度 是 我 曰 無 度 十 四 疑 無 
X25n0475_002:0096a24	我誰度曰無度。今疑平等法界不合度生曰無度。	我 誰 度 曰 無 度 今 疑 平 等 法 界 不 合 度 生 曰 無 度 
X25n0475_002:0096b01	義意判然也。	義 意 判 然 也 
X25n0475_002:0096b02	△二十二斷以相比知真佛疑二。初問難迷悟。二	 二 十 二 斷 以 相 比 知 真 佛 疑 二 初 問 難 迷 悟 二 
X25n0475_002:0096b03	約遮顯玄。初問難迷悟。	約 遮 顯 玄 初 問 難 迷 悟 
X25n0475_002:0096b04	須菩提。於意云何。可以三十二相觀如來不。須菩提	須 菩 提 於意云何 可 以 三十二相 觀 如 來 不 須 菩 提 
X25n0475_002:0096b05	言。如是。如是。以三十二相觀如來。佛言。須菩提。若以	言 如 是 如 是 以 三十二相 觀 如 來 佛 言 須 菩 提 若 以 
X25n0475_002:0096b06	三十二相觀如來者。轉輪聖王則是如來。須菩提白	三十二相 觀 如 來 者 轉輪聖王 則 是 如 來 須 菩 提 白 
X25n0475_002:0096b07	佛言。世尊。如我解佛所說義。不應以三十二相觀如	佛 言 世 尊 如 我 解 佛 所 說 義 不 應 以 三十二相 觀 如 
X25n0475_002:0096b08	來。	來 
X25n0475_002:0096b09	佛意謂。汝聞即非具足色相。是名具足色相。將無	佛 意 謂 汝 聞 即 非 具 足 色 相 是 名 具 足 色 相 將 無 
X25n0475_002:0096b10	疑無相既可以現相。便可以相觀無相乎。故問云	疑 無 相 既 可 以 現 相 便 可 以 相 觀 無 相 乎 故 問 云 
X25n0475_002:0096b11	於意云何。可以三十二相觀真如來耶。不可以三	於意云何 可 以 三十二相 觀 真 如 來 耶 不 可 以 三 
X25n0475_002:0096b12	十二相觀真如來耶。乃空生答以相觀。是迷法身	十 二 相 觀 真 如 來 耶 乃 空 生 答 以 相 觀 是 迷 法 身 
X25n0475_002:0096b13	如來。以法身畢竟非相。如明鏡元非有影也。故如	如 來 以 法 身 畢 竟 非 相 如 明 鏡 元 非 有 影 也 故 如 
X25n0475_002:0096b14	來難之曰。若可以三十二相觀如來。轉輪聖王即	來 難 之 曰 若 可 以 三十二相 觀 如 來 轉輪聖王 即 
X25n0475_002:0096b15	是如來矣。不知佛相王相。相相同也。王相依業因	是 如 來 矣 不 知 佛 相 王 相 相 相 同 也 王 相 依 業 因 
X25n0475_002:0096b16	而生。佛相由空淨所現。凡聖雲泥。所以相者。何可	而 生 佛 相 由 空 淨 所 現 凡 聖 雲 泥 所 以 相 者 何 可 
X25n0475_002:0096b17	同也。是故以本望末則可定。以末觀本則不定。如	同 也 是 故 以 本 望 末 則 可 定 以 末 觀 本 則 不 定 如 
X25n0475_002:0096b18	彌勒云。非是色身相。可比諸如來。諸佛唯法身。轉	彌 勒 云 非 是 色 身 相 可 比 諸 如 來 諸 佛 唯 法 身 轉 
X25n0475_002:0096b19	輪王非佛。空生即解其義云。不應以相觀如來。始	輪 王 非 佛 空 生 即 解 其 義 云 不 應 以 相 觀 如 來 始 
X25n0475_002:0096b20	也緣聞依真現假。假不離真。既也約假求真。真不	也 緣 聞 依 真 現 假 假 不 離 真 既 也 約 假 求 真 真 不 
X25n0475_002:0096b21	由假。實德不在相。幻色豈為真。今而後。如解觀矣。	由 假 實 德 不 在 相 幻 色 豈 為 真 今 而 後 如 解 觀 矣 
X25n0475_002:0096b22	△二約遮顯玄。	 二 約 遮 顯 玄 
X25n0475_002:0096b23	爾時。世尊而說偈言。若以色見我。以音聲求我。是人	爾 時 世 尊 而 說 偈 言 若 以 色 見 我 以 音 聲 求 我 是 人 
X25n0475_002:0096b24	行邪道。不能見如來。	行 邪 道 不 能 見 如 來 
X25n0475_002:0096c01	此是遮去見聞聲色也。然則不以色見。不以聲求	此 是 遮 去 見 聞 聲 色 也 然 則 不 以 色 見 不 以 聲 求 
X25n0475_002:0096c02	是行正道。能見如來矣。直如不以色見聲求。云何	是 行 正 道 能 見 如 來 矣 直 如 不 以 色 見 聲 求 云 何 
X25n0475_002:0096c03	見耶。即此見聞非見聞。無餘聲色可呈君。個中若	見 耶 即 此 見 聞 非 見 聞 無 餘 聲 色 可 呈 君 個 中 若 
X25n0475_002:0096c04	了全無事。體用何妨分不分。問。第一．第七．十七．以	了 全 無 事 體 用 何 妨 分 不 分 問 第 一 第 七 十 七 以 
X25n0475_002:0096c05	及於此。皆云不以相見。有何差別。曰。初乃對果疑	及 於 此 皆 云 不 以 相 見 有何差別 曰 初 乃 對 果 疑 
X25n0475_002:0096c06	因。次是感果離相。十七依真現假。今則約假求真。	因 次 是 感 果 離 相 十 七 依 真 現 假 今 則 約 假 求 真 
X25n0475_002:0096c07	其不同有如此者。	其 不 同 有 如 此 者 
X25n0475_002:0096c08	△二十三斷佛果非關福相疑四。初遮毀相之念。	 二 十 三 斷 佛 果 非 關 福 相 疑 四 初 遮 毀 相 之 念 
X25n0475_002:0096c09	二出毀相之過。三明福相不失。四明不失所以。	二 出 毀 相 之 過 三 明 福 相 不 失 四 明 不 失 所 以 
X25n0475_002:0096c10	初遮毀相之念。	初 遮 毀 相 之 念 
X25n0475_002:0096c11	須菩提。汝若作是念。如來不以具足相故。得阿耨多	須 菩 提 汝 若 作 是 念 如 來 不 以 具 足 相 故 得 阿 耨 多 
X25n0475_002:0096c12	羅三藐三菩提。須菩提。莫作是念。如來不以具足相	羅 三藐三菩提 須 菩 提 莫 作 是 念 如 來 不 以 具 足 相 
X25n0475_002:0096c13	故得阿耨多羅三藐三菩提。	故 得阿耨多羅三藐三菩提 
X25n0475_002:0096c14	佛意謂。汝聞不可以相觀法身。不可以色聲見佛。	佛 意 謂 汝 聞 不 可 以 相 觀 法 身 不 可 以 色 聲 見 佛 
X25n0475_002:0096c15	將無疑佛果一向無相。福因但成相果。相非佛果。	將 無 疑 佛 果 一 向 無 相 福 因 但 成 相 果 相 非 佛 果 
X25n0475_002:0096c16	佛果則不可以具足相得耶。故云須菩提等也。若	佛 果 則 不 可 以 具 足 相 得 耶 故 云 須 菩 提 等 也 若 
X25n0475_002:0096c17	作是念。敘毀相也。莫作是念。遮毀相也。雜華云。色	作 是 念 敘 毀 相 也 莫 作 是 念 遮 毀 相 也 雜 華 云 色 
X25n0475_002:0096c18	身非是佛。音聲亦復然。誠如所念矣。又云。亦不離	身 非 是 佛 音 聲 亦 復 然 誠 如 所 念 矣 又 云 亦 不 離 
X25n0475_002:0096c19	色聲。見佛神通力。則亦何可以作是念乎。△二出	色 聲 見 佛 神 通 力 則 亦 何 可 以 作 是 念 乎 二 出 
X25n0475_002:0096c20	毀相之過。	毀 相 之 過 
X25n0475_002:0096c21	須菩提。汝若作是念。發阿耨多羅三藐三菩提心者。	須 菩 提 汝 若 作 是 念 發 阿耨多羅三藐三菩提 心 者 
X25n0475_002:0096c22	說諸法斷滅。莫作是念。	說 諸 法 斷 滅 莫 作 是 念 
X25n0475_002:0096c23	斷滅者。斷絕泯滅而不復生也。中論云。定有則著	斷 滅 者 斷 絕 泯 滅 而 不 復 生 也 中 論 云 定 有 則 著 
X25n0475_002:0096c24	常。定無則著斷。今一向無相。正當斷見。於果則無	常 定 無 則 著 斷 今 一 向 無 相 正 當 斷 見 於 果 則 無 
X25n0475_002:0097a01	福德莊嚴。於因則損五度之行。亦名損減謗。故曰	福德莊嚴 於 因 則 損 五 度 之 行 亦 名 損 減 謗 故 曰 
X25n0475_002:0097a02	汝若作是念。則發心者亦作是念。著斷滅過。故再	汝 若 作 是 念 則 發 心 者 亦 作 是 念 著 斷 滅 過 故 再 
X25n0475_002:0097a03	遮之。以絕其過也。△三明福相不失。	遮 之 以 絕 其 過 也 三 明 福 相 不 失 
X25n0475_002:0097a04	何以故。發阿耨多羅三藐三菩提心者。於法不說斷	何 以 故 發 阿耨多羅三藐三菩提 心 者 於 法 不 說 斷 
X25n0475_002:0097a05	滅相。	滅 相 
X25n0475_002:0097a06	此徵莫作是念之故。以明福相不失也。菩提心者。	此 徵 莫 作 是 念 之 故 以 明 福 相 不 失 也 菩 提 心 者 
X25n0475_002:0097a07	以智悲願三為體。一切菩薩安住此心。行菩薩行。	以 智 悲 願 三 為 體 一切菩薩 安 住 此 心 行 菩 薩 行 
X25n0475_002:0097a08	以大智故。不住生死。以大悲故。不住涅槃。以大願	以 大 智 故 不 住 生 死 以 大 悲 故 不住涅槃 以 大 願 
X25n0475_002:0097a09	故。統其悲智。故於法不說斷滅。住於邊見之無。寂	故 統 其 悲 智 故 於 法 不 說 斷 滅 住 於 邊 見 之 無 寂 
X25n0475_002:0097a10	而常照。因行紛然。果相不斷。如彌勒云。不失功德	而 常 照 因 行 紛 然 果 相 不 斷 如 彌 勒 云 不 失 功 德 
X25n0475_002:0097a11	因。及彼勝果報。功德即福德。福德是因。謂施等五	因 及 彼 勝 果 報 功 德 即 福 德 福 德 是 因 謂 施 等 五 
X25n0475_002:0097a12	度也。果報是果。即三十二相。名勝果報也。不失者。	度 也 果 報 是 果 即 三十二相 名 勝 果 報 也 不 失 者 
X25n0475_002:0097a13	謂雖不依福德得真法身。而不失福德及以果報。	謂 雖 不 依 福 德 得 真 法 身 而 不 失 福 德 及 以 果 報 
X25n0475_002:0097a14	以能資成智慧莊嚴。具智相身。資成功德莊嚴。具	以 能 資 成 智慧莊嚴 具 智 相 身 資 成 功德莊嚴 具 
X25n0475_002:0097a15	應化身。以諸如來皆具二種相故。法華云。定慧力	應 化 身 以 諸 如 來 皆 具 二 種 相 故 法 華 云 定 慧 力 
X25n0475_002:0097a16	莊嚴。以此度眾生。△四明不失所以。	莊 嚴 以 此 度 眾 生 四 明 不 失 所 以 
X25n0475_002:0097a17	須菩提。若菩薩以滿恒河沙等世界七寶布施。若復	須 菩 提 若 菩 薩 以 滿 恒 河 沙 等 世 界 七 寶 布 施 若 復 
X25n0475_002:0097a18	有人知一切法無我。得成於忍。此菩薩勝前菩薩所	有 人 知一切法 無 我 得 成 於 忍 此 菩 薩 勝 前 菩 薩 所 
X25n0475_002:0097a19	得功德。須菩提。以諸菩薩不受福德故。須菩提白佛	得 功 德 須 菩 提 以 諸 菩 薩 不 受 福 德 故 須 菩 提 白 佛 
X25n0475_002:0097a20	言。世尊。云何菩薩不受福德。須菩提。菩薩所作福德。	言 世 尊 云 何 菩 薩 不 受 福 德 須 菩 提 菩薩所作 福 德 
X25n0475_002:0097a21	不應貪著。是故說不受福德。	不應貪著 是 故 說 不 受 福 德 
X25n0475_002:0097a22	上不說斷滅。是不失福德。此究其所以不失之由	上 不 說 斷 滅 是 不 失 福 德 此 究 其 所 以 不 失 之 由 
X25n0475_002:0097a23	也。以滿恒沙等界七寶布施者。乃住相分別之心。	也 以 滿 恒 沙 等 界 七 寶 布 施 者 乃 住 相 分 別 之 心 
X25n0475_002:0097a24	修諸福德墮於有漏。及入無分別智成佛正因。彼	修 諸 福 德 墮 於 有 漏 及 入 無分別智 成 佛 正 因 彼 
X25n0475_002:0097b01	有漏福德則失。如水之與火。不相容故。今菩薩忍	有 漏 福 德 則 失 如 水 之 與 火 不 相 容 故 今 菩 薩 忍 
X25n0475_002:0097b02	悟我法二空。以離相之心。修諸福德。成於無漏。何	悟 我 法 二 空 以 離 相 之 心 修 諸 福 德 成 於 無 漏 何 
X25n0475_002:0097b03	失之有。是以勝前所得功德也。如彌勒云。得勝忍	失 之 有 是 以 勝 前 所得功德 也 如 彌 勒 云 得 勝 忍 
X25n0475_002:0097b04	不失。以得無垢果。示勝福德相。是故說譬喻。蓋言	不 失 以 得 無 垢 果 示 勝 福 德 相 是 故 說 譬 喻 蓋 言 
X25n0475_002:0097b05	以我法二空離相之心修諸福德。能成清淨無垢	以 我 法 二 空 離 相 之 心 修 諸 福 德 能 成 清 淨 無 垢 
X25n0475_002:0097b06	妙果。究竟非窮。何失之有。又究其所以得忍便不	妙 果 究 竟 非 窮 何 失 之 有 又 究 其 所 以 得 忍 便 不 
X25n0475_002:0097b07	失者。以諸菩薩不住生死。雖有福德。如無福德。不	失 者 以 諸 菩 薩 不 住 生 死 雖 有 福 德 如 無 福 德 不 
X25n0475_002:0097b08	受福德故也。不受者。所作福德。了無貪著。名為不	受 福 德 故 也 不 受 者 所 作 福 德 了 無 貪 著 名 為 不 
X25n0475_002:0097b09	受。然則作福若生貪著。是因既有漏。果亦有漏。但	受 然 則 作 福 若 生 貪 著 是 因 既 有 漏 果 亦 有 漏 但 
X25n0475_002:0097b10	感輪王三十二相。不名為佛。報盡因果俱失。誠如	感 輪 王 三十二相 不 名 為 佛 報 盡 因 果 俱 失 誠 如 
X25n0475_002:0097b11	所疑矣。今不貪著。則因既無漏。果亦復然。所感三	所 疑 矣 今 不 貪 著 則 因 既 無 漏 果 亦 復 然 所 感 三 
X25n0475_002:0097b12	十二相之佛。是順性之相。空淨所現。莊嚴法身。云	十 二 相 之 佛 是 順 性 之 相 空 淨 所 現 莊 嚴 法 身 云 
X25n0475_002:0097b13	何乃疑失因及果。故彌勒云。是福德無報。言無有	何 乃 疑 失 因 及 果 故 彌 勒 云 是 福 德 無 報 言 無 有 
X25n0475_002:0097b14	漏之報。反顯有無漏報也。	漏 之 報 反 顯 有 無 漏 報 也 
X25n0475_002:0097b15	△二十四斷化身出現受福疑二。初遮錯解。二示	 二 十 四 斷 化 身 出 現 受 福 疑 二 初 遮 錯 解 二 示 
X25n0475_002:0097b16	正見。初遮錯解。	正 見 初 遮 錯 解 
X25n0475_002:0097b17	須菩提。若有人言。如來若來若去。若坐若臥。是人不	須 菩 提 若 有 人 言 如 來 若 來 若 去 若 坐 若 臥 是 人 不 
X25n0475_002:0097b18	解我所說義。	解 我 所 說 義 
X25n0475_002:0097b19	佛意謂。汝聞菩薩不受福德。將無疑菩薩是因。如	佛 意 謂 汝 聞 菩 薩 不 受 福 德 將 無 疑 菩 薩 是 因 如 
X25n0475_002:0097b20	來是果。因果曾無不合之理。因地菩薩不受福德。	來 是 果 因 果 曾 無 不 合 之 理 因 地 菩 薩 不 受 福 德 
X25n0475_002:0097b21	果位自然不受。今果位化身既實受用。菩薩因中	果 位 自 然 不 受 今 果 位 化 身 既 實 受 用 菩 薩 因 中 
X25n0475_002:0097b22	云何不受取耶。故曰若有人言如來若來若去等。	云 何 不 受 取 耶 故 曰 若 有 人 言 如 來 若 來 若 去 等 
X25n0475_002:0097b23	是人不解我所說義。若來者。執實有出現。若去者。	是 人 不 解 我 所 說 義 若 來 者 執 實 有 出 現 若 去 者 
X25n0475_002:0097b24	執實有涅槃。若坐臥者。執實有四威儀之佛可得。	執 實 有 涅 槃 若 坐 臥 者 執 實 有 四 威 儀 之 佛 可 得 
X25n0475_002:0097c01	既執有實。故受用亦實也。是人不解我所說義者。	既 執 有 實 故 受 用 亦 實 也 是 人 不 解 我 所 說 義 者 
X25n0475_002:0097c02	如彌勒云。是福德應報。為化諸眾生。自然如是業。	如 彌 勒 云 是 福 德 應 報 為 化 諸 眾 生 自 然 如 是 業 
X25n0475_002:0097c03	諸佛現十方。蓋言應報佛身。即無垢果。惟如如及	諸 佛 現 十 方 蓋 言 應 報 佛 身 即 無 垢 果 惟 如 如 及 
X25n0475_002:0097c04	如如智獨存。初無色相。而以為化眾生故。自然而	如 如 智 獨 存 初 無 色 相 而 以 為 化 眾 生 故 自 然 而 
X25n0475_002:0097c05	然。應現十方者。是諸佛無緣大悲。利他善根。無量	然 應 現 十 方 者 是 諸 佛 無緣大悲 利 他 善 根 無 量 
X25n0475_002:0097c06	劫來熏淨法界以成善習。故有感即應。任運自然	劫 來 熏 淨 法 界 以 成 善 習 故 有 感 即 應 任運自然 
X25n0475_002:0097c07	之業如是耳。如起信。不思議業用是也。豈真如凡	之 業 如 是 耳 如 起 信 不 思 議 業 用 是 也 豈 真 如 凡 
X25n0475_002:0097c08	夫妄識思議。執為實有之身。真受用於其間哉。△	夫 妄 識 思 議 執 為 實 有 之 身 真 受 用 於 其 間 哉 
X25n0475_002:0097c09	二示正見。	二 示 正 見 
X25n0475_002:0097c10	何以故。如來者。無所從來。亦無所去。故名如來。	何 以 故 如 來 者 無所從來 亦 無 所 去 故 名 如 來 
