T47n1963_001:0083b03	淨土論序	淨 土 論 序 
T47n1963_003:0100a28	互有優劣。且如兜率天宮。則搆空而立。極樂	互 有 優 劣 且 如 兜率天宮 則 搆 空 而 立 極 樂 
T47n1963_003:0100a29	世界。則就地而安。此則空實異居。人天趣別。	世 界 則 就 地 而 安 此 則 空 實 異 居 人 天 趣 別 
T47n1963_003:0100b01	若據此土。一往論。則天優人劣也。若論其淨	若 據 此 土 一 往 論 則 天 優 人 劣 也 若 論 其 淨 
T47n1963_003:0100b02	穢者。兜率雖是天宮。由有女人。故名之為穢。	穢 者 兜 率 雖 是 天 宮 由 有 女 人 故 名 之 為 穢 
T47n1963_003:0100b03	極樂雖是地界。由無女人。故號之為淨。然此	極 樂 雖 是 地 界 由 無 女 人 故 號 之 為 淨 然 此 
T47n1963_003:0100b04	之淨穢。有十種異。一有女人無女人異。兜率	之 淨 穢 有 十 種 異 一 有 女 人 無 女 人 異 兜 率 
T47n1963_003:0100b05	男女雜居。極樂唯男無女。二有欲無欲異。兜	男 女 雜 居 極 樂 唯 男 無 女 二 有 欲 無 欲 異 兜 
T47n1963_003:0100b06	率有上心欲。染著境界。極樂無上心欲故常	率 有 上 心 欲 染 著 境 界 極 樂 無 上 心 欲 故 常 
T47n1963_003:0100b07	發菩提心。三退不退異。兜率處所是退。極樂	發菩提心 三 退 不 退 異 兜 率 處 所 是 退 極 樂 
T47n1963_003:0100b08	處所是不退。四者壽命異。兜率壽命四千歲。	處 所 是 不 退 四 者 壽 命 異 兜 率 壽 命 四 千 歲 
T47n1963_003:0100b09	仍有中夭。極樂壽命無量阿僧祇劫。無中夭	仍 有 中 夭 極 樂 壽 命 無量阿僧祇劫 無 中 夭 
T47n1963_003:0100b10	壽命者。五三性心異。兜率則有三性心間起。	壽 命 者 五 三 性 心 異 兜 率 則 有 三 性 心 間 起 
T47n1963_003:0100b11	故惡心墮地獄。極樂唯有善心生。故永離惡	故 惡 心 墮 地 獄 極 樂 唯 有 善 心 生 故 永 離 惡 
T47n1963_003:0100b12	道。六三受心異。兜率三受互起。極樂但有樂	道 六 三 受 心 異 兜 率 三 受 互 起 極 樂 但 有 樂 
T47n1963_003:0100b13	受。七六塵境界異。兜率六塵。令人放逸。極樂	受 七 六 塵 境 界 異 兜 率 六 塵 令 人 放 逸 極 樂 
T47n1963_003:0100b14	六塵。令人發菩提心。八受生異。兜率受生。男	六 塵 令 人 發菩提心 八 受 生 異 兜 率 受 生 男 
T47n1963_003:0100b15	在父膝上。女在母膝上極。樂受生七寶池內	在 父 膝 上 女 在 母 膝 上 極 樂 受 生 七 寶 池 內 
T47n1963_003:0100b16	蓮花中生。九說法異。兜率唯佛菩薩說法。極	蓮 花 中 生 九 說 法 異 兜 率 唯 佛 菩 薩 說 法 極 
T47n1963_003:0100b17	樂水鳥樹木皆能說法。十得果異。兜率生者。	樂 水 鳥 樹 木 皆 能 說 法 十 得 果 異 兜 率 生 者 
T47n1963_003:0100b18	或得聖果。或不得極樂生者。定得無上菩提。	或 得 聖 果 或 不 得 極 樂 生 者 定 得 無上菩提 
T47n1963_003:0100b19	若就此義。西方大優。兜率極劣也。若論往生	若 就 此 義 西 方 大 優 兜 率 極 劣 也 若 論 往 生 
T47n1963_003:0100b20	之人。往西方者易。上兜率者難。此之難易亦	之 人 往 西 方 者 易 上 兜 率 者 難 此 之 難 易 亦 
T47n1963_003:0100b21	有七種差別。一處別。極樂是人。兜率是天。此	有 七 種 差 別 一 處 別 極 樂 是 人 兜 率 是 天 此 
T47n1963_003:0100b22	則天難人易。二因別。極樂但持五戒。亦得往	則 天 難 人 易 二 因 別 極 樂 但 持 五 戒 亦 得 往 
T47n1963_003:0100b23	生。兜率具修十善。方得上生。三行別。極樂乃	生 兜 率 具 修 十 善 方 得 上 生 三 行 別 極 樂 乃 
T47n1963_003:0100b24	至十念成就。即得往生。出觀經。兜率具施	至 十 念 成 就 即 得 往 生 出 觀 經 兜 率 具 施 
T47n1963_003:0100b25	戒修三種。始得上生(出彌勒經)四自力他力別。極樂	戒 修 三 種 始 得 上 生 出 彌 勒 經 四 自 力 他 力 別 極 樂 
T47n1963_003:0100b26	憑阿彌陀佛四十八大願他力往生。兜率無	憑 阿 彌 陀 佛 四 十 八 大 願 他 力 往 生 兜 率 無 
T47n1963_003:0100b27	願可憑。唯自力上生。五有善知識無善知識	願 可 憑 唯 自 力 上 生 五 有 善 知 識 無 善 知 識 
T47n1963_003:0100b28	別。極樂有觀世音大勢至。常來此土。勸進往	別 極 樂 有 觀 世 音 大 勢 至 常 來 此 土 勸 進 往 
T47n1963_003:0100b29	生臨命終時。擎金剛臺。來迎行者。種種讚歎。	生 臨命終時 擎 金 剛 臺 來 迎 行 者 種 種 讚 歎 
T47n1963_003:0100c01	勸進其心。即得往生。兜率無此二菩薩故。但	勸 進 其 心 即 得 往 生 兜 率 無 此 二 菩 薩 故 但 
T47n1963_003:0100c02	自進上生。六經論勸生處多少別。極樂說處。	自 進 上 生 六 經 論 勸 生 處 多 少 別 極 樂 說 處 
T47n1963_003:0100c03	經經中讚。論論中勸。兜率說處。何但經讚處	經 經 中 讚 論 論 中 勸 兜 率 說 處 何 但 經 讚 處 
T47n1963_003:0100c04	稀。亦論勸處少。七觀古來大德。趣向者多少	稀 亦 論 勸 處 少 七 觀 古 來 大 德 趣 向 者 多 少 
T47n1963_003:0100c05	別。極樂上古已來大智名僧趣向者。多兜率	別 極 樂 上 古 已 來 大 智 名 僧 趣 向 者 多 兜 率 
T47n1963_003:0100c06	上古已來大德願樂者少。由此義故。往生西	上 古 已 來 大 德 願 樂 者 少 由 此 義 故 往 生 西 
T47n1963_003:0100c07	方則易。上生兜率稍難也。	方 則 易 上 生 兜 率 稍 難 也 
T47n1963_003:0100c08	第八明教興時節(謂今正是懺悔念佛時也)	第 八 明 教 興 時 節 謂 今 正 是 懺 悔 念 佛 時 也 
T47n1963_003:0100c09	問曰。佛道冲虛。要由慧剋。涅槃幽簡。必藉定	問 曰 佛 道 冲 虛 要 由 慧 剋 涅 槃 幽 簡 必 藉 定 
T47n1963_003:0100c10	生。此則定慧為萬行之基。萬行是大道之本。	生 此 則 定 慧 為 萬 行 之 基 萬 行 是 大 道 之 本 
T47n1963_003:0100c11	今乃專崇念佛。注想西方。於此躊躇。願為解	今 乃 專 崇 念 佛 注 想 西 方 於 此 躊 躇 願 為 解 
T47n1963_003:0100c12	釋。	釋 
T47n1963_003:0100c13	答曰。佛教綸披。端緒匪一。眾生不等。根性萬	答 曰 佛 教 綸 披 端 緒 匪 一 眾 生 不 等 根 性 萬 
T47n1963_003:0100c14	差。何但法遂人分。則教有淺深之異。亦乃	差 何 但 法 遂 人 分 則 教 有 淺 深 之 異 亦 乃 
T47n1963_003:0100c15	人隨時別。則根有利鈍之殊。是以教開八萬	人 隨 時 別 則 根 有 利 鈍 之 殊 是 以 教 開 八 萬 
T47n1963_003:0100c16	四千。時分五種差別。若作此說。行者修道。要	四 千 時 分 五 種 差 別 若 作 此 說 行 者 修 道 要 
T47n1963_003:0100c17	須觀時。若時教符契。則佛道易證。若時教乖	須 觀 時 若 時 教 符 契 則 佛 道 易 證 若 時 教 乖 
T47n1963_003:0100c18	錯。則菩薩叵證。故正法念經云。行者一心求	錯 則 菩 薩 叵 證 故 正 法 念 經 云 行 者 一 心 求 
T47n1963_003:0100c19	道時。常當觀察時方便。若不得時無方便。是	道 時 常 當 觀 察 時 方 便 若 不 得 時 無 方 便 是 
T47n1963_003:0100c20	名為失。不名利。五時者。如大集月藏分云。佛	名 為 失 不 名 利 五 時 者 如 大 集 月 藏 分 云 佛 
T47n1963_003:0100c21	滅度後第一五百年。我諸弟子學慧得堅固。	滅 度 後 第 一 五 百 年 我 諸 弟 子 學 慧 得 堅 固 
T47n1963_003:0100c22	兼修餘行。第二五百年。學定得堅固。兼修餘	兼 修 餘 行 第 二 五 百 年 學 定 得 堅 固 兼 修 餘 
T47n1963_003:0100c23	行。第三五百年。學多聞讀誦得堅固。兼修餘	行 第 三 五 百 年 學 多 聞 讀 誦 得 堅 固 兼 修 餘 
T47n1963_003:0100c24	行。第四五百年。造立塔寺。修福懺悔得堅固。	行 第 四 五 百 年 造 立 塔 寺 修 福 懺 悔 得 堅 固 
T47n1963_003:0100c25	兼修餘行。第五五百年。白法隱滯多有諍訟。	兼 修 餘 行 第 五 五 百 年 白 法 隱 滯 多 有 諍 訟 
T47n1963_003:0100c26	微有善法。得堅固也。若據此經。今是第四五	微 有 善 法 得 堅 固 也 若 據 此 經 今 是 第 四 五 
T47n1963_003:0100c27	百年餘。既無定慧之分。唯須修福懺悔。修福	百 年 餘 既 無 定 慧 之 分 唯 須 修 福 懺 悔 修 福 
T47n1963_003:0100c28	懺悔最為要者。觀諸經論。禮佛念佛。觀佛相	懺 悔 最 為 要 者 觀 諸 經 論 禮 佛 念 佛 觀 佛 相 
T47n1963_003:0100c29	好。此最為勝也。故觀經云。若能至心念阿彌	好 此 最 為 勝 也 故 觀 經 云 若 能 至 心 念 阿 彌 
T47n1963_003:0101a01	陀佛。一一念中。滅八十億劫生死重罪。今既	陀 佛 一 一 念 中 滅 八 十 億 劫 生 死 重 罪 今 既 
T47n1963_003:0101a02	約時約根。行者無定慧分者。唯須專念阿彌	約 時 約 根 行 者 無 定 慧 分 者 唯 須 專 念 阿 彌 
T47n1963_003:0101a03	陀佛。求生淨土。此為要路也。若自知有定慧	陀 佛 求 生 淨 土 此 為 要 路 也 若 自 知 有 定 慧 
T47n1963_003:0101a04	分者則於此方修道。求無上菩提。若自知無	分 者 則 於 此 方 修 道 求 無上菩提 若 自 知 無 
T47n1963_003:0101a05	定慧分者。則須修淨土行。就淨土中求無上	定 慧 分 者 則 須 修 淨 土 行 就 淨 土 中 求 無 上 
T47n1963_003:0101a06	菩提。故智度論云。行者求阿毘跋致有二種	菩 提 故 智 度 論 云 行 者 求 阿毘跋致 有 二 種 
T47n1963_003:0101a07	道。一者難行道。二者易行道。如水陸兩路。此	道 一 者 難 行 道 二 者 易 行 道 如 水 陸 兩 路 此 
T47n1963_003:0101a08	方修道則難。猶如陸路。生淨土修道則易。猶	方 修 道 則 難 猶 如 陸 路 生 淨 土 修 道 則 易 猶 
T47n1963_003:0101a09	如水路也。又佛度眾生。自有四種。如正法念	如 水 路 也 又 佛 度 眾 生 自 有 四 種 如 正 法 念 
T47n1963_003:0101a10	經說。一以說法度眾生。二以光明相好度眾	經 說 一 以 說 法 度 眾 生 二 以 光 明 相 好 度 眾 
T47n1963_003:0101a11	生。三以神通道力度眾生。四以名號度眾生。	生 三 以 神通道力 度 眾 生 四 以 名 號 度 眾 生 
T47n1963_003:0101a12	此四之中。相好名號。正當今時。觀察阿彌陀	此 四 之 中 相 好 名 號 正 當 今 時 觀 察 阿 彌 陀 
T47n1963_003:0101a13	佛相好。及稱佛名號也。如無量壽經說。為未	佛 相 好 及 稱 佛 名 號 也 如 無 量 壽 經 說 為 未 
T47n1963_003:0101a14	來眾生受五苦五痛五燒故。欲令眾生修淨	來 眾 生 受 五 苦 五 痛 五 燒 故 欲 令 眾 生 修 淨 
T47n1963_003:0101a15	土行。又如觀經說。我為未來一切凡夫。為煩	土 行 又 如 觀 經 說 我 為 未 來 一 切 凡 夫 為 煩 
T47n1963_003:0101a16	惱賊之所惱者。說淨土行。如小彌陀經說。為	惱 賊 之 所 惱 者 說 淨 土 行 如 小 彌 陀 經 說 為 
T47n1963_003:0101a17	五濁眾生。說淨土行。清淨覺經。鼓音聲王經。	五 濁 眾 生 說 淨 土 行 清 淨 覺 經 鼓 音 聲 王 經 
T47n1963_003:0101a18	大集經。皆作此說。據此等經。皆為未來。故	大 集 經 皆 作 此 說 據 此 等 經 皆 為 未 來 故 
T47n1963_003:0101a19	知。今時正是念佛。修淨土行時也。若生淨土。	知 今 時 正 是 念 佛 修 淨 土 行 時 也 若 生 淨 土 
T47n1963_003:0101a20	何但永離惡道。亦疾得無上菩提(此是經論大意)。	何 但 永 離 惡 道 亦 疾 得 無上菩提 此 是 經 論 大 意 
T47n1963_003:0101a21	第九教人欣厭勸進其心(謂令厭穢欣淨)	第 九 教 人 欣 厭 勸 進 其 心 謂 令 厭 穢 欣 淨 
T47n1963_003:0101a22	問曰。今既是第四五百年。眾生無定慧分。唯	問 曰 今 既 是 第 四 五 百 年 眾 生 無 定 慧 分 唯 
T47n1963_003:0101a23	懺悔念佛。得堅固者。云何教人欣厭。勸進	懺 悔 念 佛 得 堅 固 者 云 何 教 人 欣 厭 勸 進 
T47n1963_003:0101a24	其心。普令一切眾生悉厭惡娑婆。得往生淨	其 心 普 令 一 切 眾 生 悉 厭 惡 娑 婆 得 往 生 淨 
T47n1963_003:0101a25	土。	土 
T47n1963_003:0101a26	答曰。今引經論及道理。教其欣厭。若眾生受	答 曰 今 引 經 論 及 道 理 教 其 欣 厭 若 眾 生 受 
T47n1963_003:0101a27	佛勸者。於娑婆世界極厭。於極樂世界生欣。	佛 勸 者 於 娑婆世界 極 厭 於 極樂世界 生 欣 
T47n1963_003:0101a28	故能發菩提心。專念阿彌陀佛者。普得往生	故 能 發菩提心 專 念 阿 彌 陀 佛 者 普 得 往 生 
T47n1963_003:0101a29	淨土。若眾生於此法門。不生信樂。難教難悟。	淨 土 若 眾 生 於 此 法 門 不 生 信 樂 難 教 難 悟 
T47n1963_003:0101b01	難濟難脫者。則不可救也。故無量清淨覺經	難 濟 難 脫 者 則 不 可 救 也 故 無 量 清 淨 覺 經 
T47n1963_003:0101b02	云。若善男子善女人。聞說淨土法門。心生悲	云 若 善 男 子 善 女 人 聞 說 淨 土 法 門 心 生 悲 
T47n1963_003:0101b03	喜。身毛為竪。如拔出者。當知。此人此過去宿	喜 身 毛 為 竪 如 拔 出 者 當 知 此 人 此 過 去 宿 
T47n1963_003:0101b04	命已作佛道來也。若人聞開淨土法門。都不	命 已 作 佛 道 來 也 若 人 聞 開 淨 土 法 門 都 不 
T47n1963_003:0101b05	生信樂者。當知。此人始從三惡道來。殃咎未	生 信 樂 者 當 知 此 人 始 從 三 惡 道 來 殃 咎 未 
T47n1963_003:0101b06	盡。我說此人未可得解脫也。今依涅槃經等。	盡 我 說 此 人 未 可 得 解 脫 也 今 依 涅 槃 經 等 
T47n1963_003:0101b07	勸進後學。智者於靜夜中。結加趺坐應自思	勸 進 後 學 智 者 於 靜 夜 中 結加趺坐 應 自 思 
T47n1963_003:0101b08	惟。我今此身危脆如泡。念念不停。復居在火	惟 我 今 此 身 危 脆 如 泡 念 念 不 停 復 居 在 火 
T47n1963_003:0101b09	宅不安隱處。寧得安然。不自覺察。不驚不懼。	宅 不 安 隱 處 寧 得 安 然 不 自 覺 察 不 驚 不 懼 
T47n1963_003:0101b10	都無怖心。又復思惟。我今此身在何位地。身	都 無 怖 心 又 復 思 惟 我 今 此 身 在 何 位 地 身 
T47n1963_003:0101b11	口意業。恒作何事。無常忽至。生何道中。無始	口 意 業 恒 作 何 事 無 常 忽 至 生 何 道 中 無 始 
T47n1963_003:0101b12	惡業。爭受生處。朝暮即是地獄中人。得幾時	惡 業 爭 受 生 處 朝 暮 即 是 地 獄 中 人 得 幾 時 
T47n1963_003:0101b13	安隱。在床上眠。過去無量無邊諸佛菩薩。出	安 隱 在 床 上 眠 過 去 無量無邊 諸佛菩薩 出 
T47n1963_003:0101b14	現於世。度脫眾生。我何處去來。不蒙佛化。都	現 於 世 度 脫 眾 生 我 何 處 去 來 不 蒙 佛 化 都 
T47n1963_003:0101b15	由我無始已來。不敬三寶。不近善人。不用善	由 我 無始已來 不 敬 三 寶 不 近 善 人 不 用 善 
T47n1963_003:0101b16	知識語。常在三惡道中。恒與諸佛。不相值遇。	知 識 語 常 在 三 惡 道 中 恒 與 諸 佛 不 相 值 遇 
T47n1963_003:0101b17	十方淨土無苦無惱。我何為不生。常在此穢	十 方 淨 土 無 苦 無 惱 我 何 為 不 生 常 在 此 穢 
T47n1963_003:0101b18	土多苦惱處。我今此身難得易失。如涅槃說。	土 多 苦 惱 處 我 今 此 身 難 得 易 失 如 涅 槃 說 
T47n1963_003:0101b19	人身難得如爪上土。三惡道身如大地土。無	人 身 難 得 如 爪 上 土 三 惡 道 身 如 大 地 土 無 
T47n1963_003:0101b20	始已來受身。劫不可數。於一一劫中。身不可	始 已 來 受 身 劫 不 可 數 於 一 一 劫 中 身 不 可 
T47n1963_003:0101b21	數。於一一身。造業如塵。業不可數。一一惡業	數 於 一 一 身 造 業 如 塵 業 不 可 數 一 一 惡 業 
T47n1963_003:0101b22	感報。報不可數。一一報中受苦萬端。則苦不	感 報 報 不 可 數 一 一 報 中 受 苦 萬 端 則 苦 不 
T47n1963_003:0101b23	可數。如此等若。皆由無智不用善知識語。	可 數 如 此 等 若 皆 由 無 智 不 用 善 知 識 語 
T47n1963_003:0101b24	常處地獄。過去已受。現在今受。未來當受。未	常 處 地 獄 過 去 已 受 現 在 今 受 未 來 當 受 未 
T47n1963_003:0101b25	有息時。又今此身從受生已來。為求衣食。若	有 息 時 又 今 此 身 從 受 生 已 來 為 求 衣 食 若 
T47n1963_003:0101b26	是俗人。養婦活兒。若是出家。求名覓利。恒造	是 俗 人 養 婦 活 兒 若 是 出 家 求 名 覓 利 恒 造 
T47n1963_003:0101b27	種種惡業。如此諸業輕微之者。猶感五百生。	種 種 惡 業 如 此 諸 業 輕 微 之 者 猶 感 五 百 生 
T47n1963_003:0101b28	重者數劫。如此惡業。若不發菩提心慚愧懺	重 者 數 劫 如 此 惡 業 若 不 發菩提心 慚 愧 懺 
T47n1963_003:0101b29	悔。一入惡道。無有出期。朝暮之間。即入爐鑊	悔 一 入 惡 道 無 有 出 期 朝 暮 之 間 即 入 爐 鑊 
T47n1963_003:0101c01	鋒林劒樹。百劫千劫。受於一切深苦重苦長	鋒 林 劒 樹 百 劫 千 劫 受 於 一 切 深 苦 重 苦 長 
T47n1963_003:0101c02	遠等苦。過去已受身心等苦。未來所可苦。亦	遠 等 苦 過 去 已 受 身 心 等 苦 未 來 所 可 苦 亦 
T47n1963_003:0101c03	無分齊。難捨難離。而不覺知。凡夫如此。甚為	無 分 齊 難 捨 難 離 而 不 覺 知 凡 夫 如 此 甚 為 
T47n1963_003:0101c04	可愍。智者作此思惟。應可碎心。寧得安然。故	可 愍 智 者 作 此 思 惟 應 可 碎 心 寧 得 安 然 故 
T47n1963_003:0101c05	縱身心。不自覺察。又更思惟。我今此身薄福	縱 身 心 不 自 覺 察 又 更 思 惟 我 今 此 身 薄 福 
T47n1963_003:0101c06	鈍根。生在釋迦後。復在彌勒前。豈不由我過	鈍 根 生 在 釋 迦 後 復 在 彌 勒 前 豈 不 由 我 過 
T47n1963_003:0101c07	去憍慢懈怠。不敬三寶輕慢善人。不受善知	去 憍 慢 懈 怠 不 敬 三 寶 輕 慢 善 人 不 受 善 知 
T47n1963_003:0101c08	識教悔。恒在三惡八難中。生愚癡無智。於此	識 教 悔 恒 在 三 惡 八 難 中 生 愚 癡 無 智 於 此 
T47n1963_003:0101c09	身上。復更輕慢三寶。欺蔑善人。不受善知識	身 上 復 更 輕 慢 三 寶 欺 蔑 善 人 不 受 善 知 識 
T47n1963_003:0101c10	語。於未來世。云何更得值遇三寶。得生善處。	語 於未來世 云 何 更 得 值 遇 三 寶 得 生 善 處 
T47n1963_003:0101c11	又復此身縱欲修道。亦不得安隱。以住於此	又 復 此 身 縱 欲 修 道 亦 不 得 安 隱 以 住 於 此 
T47n1963_003:0101c12	娑婆世界。人命短促。多惡知識。終故孜孜。或	娑婆世界 人 命 短 促 多 惡 知 識 終 故 孜 孜 或 
T47n1963_003:0101c13	衣食不足。或王臣所迫。或為他所欺。或為他	衣 食 不 足 或 王 臣 所 迫 或 為 他 所 欺 或 為 他 
T47n1963_003:0101c14	所謗。恒被惱亂。不得安隱。始起善心。尋即退	所 謗 恒 被 惱 亂 不 得 安 隱 始 起 善 心 尋 即 退 
T47n1963_003:0101c15	失。又復此身。唯是三十六物不淨所成。九孔	失 又 復 此 身 唯 是 三 十 六 物 不 淨 所 成 九 孔 
T47n1963_003:0101c16	之中。不淨恒流。猶如行廁。不可愛樂。復有生	之 中 不 淨 恒 流 猶 如 行 廁 不可愛樂 復 有 生 
T47n1963_003:0101c17	苦老苦病苦死苦愛別離苦怨憎會苦求不得	苦 老 苦 病 苦 死 苦 愛別離苦 怨憎會苦 求 不 得 
T47n1963_003:0101c18	苦五陰盛苦。之所隨逐。智者應當觀察此身。	苦 五 陰 盛 苦 之 所 隨 逐 智 者 應 當 觀 察 此 身 
T47n1963_003:0101c19	作怨家想。作糞聚想。於舍宅臥具。作塚墓想。	作 怨 家 想 作 糞 聚 想 於 舍 宅 臥 具 作 塚 墓 想 
T47n1963_003:0101c20	作人皮想。於飲食中。作虫蛆想。作下汁想。	作 人 皮 想 於 飲 食 中 作 虫 蛆 想 作 下 汁 想 
T47n1963_003:0101c21	於婦兒眷屬。作羅剎想。作惡鬼想。若心能如	於 婦 兒 眷 屬 作 羅 剎 想 作 惡 鬼 想 若 心 能 如 
T47n1963_003:0101c22	是觀察思惟。應於此身極大生厭。願生生世	是 觀 察 思 惟 應 於 此 身 極 大 生 厭 願 生 生 世 
T47n1963_003:0101c23	世。永不受此身。更莫與此身同住。此身是我	世 永 不 受 此 身 更 莫 與 此 身 同 住 此 身 是 我 
T47n1963_003:0101c24	怨家。常將我向三惡道中。何有智者樂著此	怨 家 常 將 我 向 三 惡 道 中 何 有 智 者 樂 著 此 
T47n1963_003:0101c25	身。如遺教經說。此是應捨。罪惡之物。假名為	身 如 遺 教 經 說 此 是 應 捨 罪 惡 之 物 假 名 為 
T47n1963_003:0101c26	身。沒在老病生死大海。何有智者得除滅之	身 沒 在 老 病 生 死 大 海 何 有 智 者 得 除 滅 之 
T47n1963_003:0101c27	而不歡喜(厭門竟)。	而 不 歡 喜 厭 門 竟 
T47n1963_003:0101c28	次明欣門智者。復作此念。我今此身生在第	次 明 欣 門 智 者 復 作 此 念 我 今 此 身 生 在 第 
T47n1963_003:0101c29	四五百年中。一切聖人隱不現時。雖欲修道。	四 五 百 年 中 一切聖人 隱 不 現 時 雖 欲 修 道 
T47n1963_003:0102a01	無定慧分。正是懺悔念佛之時。如經中說。阿	無 定 慧 分 正 是 懺 悔 念 佛 之 時 如 經 中 說 阿 
T47n1963_003:0102a02	彌陀佛。舉慈悲棹。乘大願船。運度一切苦惱	彌 陀 佛 舉 慈 悲 棹 乘 大 願 船 運 度 一 切 苦 惱 
T47n1963_003:0102a03	眾生。若人至心念阿彌陀佛。於一一念中。滅	眾 生 若 人 至 心 念 阿 彌 陀 佛 於 一 一 念 中 滅 
T47n1963_003:0102a04	八十億劫生死之罪。命終定得生於淨土中。	八 十 億 劫 生 死 之 罪 命 終 定 得 生 於 淨 土 中 
T47n1963_003:0102a05	受諸快樂。獲得五通。位階不退。花林寶剎隨	受 諸 快 樂 獲 得 五 通 位 階 不 退 花 林 寶 剎 隨 
T47n1963_003:0102a06	意遨遊。實相圓音任情聽受。蓮花臺內。輝紫	意 遨 遊 實 相 圓 音 任 情 聽 受 蓮 花 臺 內 輝 紫 
T47n1963_003:0102a07	磨金色之身。金剛坐上。敞三十二大丈夫相。	磨 金 色 之 身 金 剛 坐 上 敞 三十二大丈夫相 
T47n1963_003:0102a08	七寶階側。長跪問不二之言。八德池中。洗浴	七 寶 階 側 長 跪 問 不 二 之 言 八 德 池 中 洗 浴 
T47n1963_003:0102a09	蕩無明之垢。衣則綺羅稱體。食則百味盈盂。	蕩 無 明 之 垢 衣 則 綺 羅 稱 體 食 則 百 味 盈 盂 
T47n1963_003:0102a10	行則足踏青蓮。坐即寶花承體。樹動瑠璃之	行 則 足 踏 青 蓮 坐 即 寶 花 承 體 樹 動 瑠 璃 之 
T47n1963_003:0102a11	葉。林搖瑪瑙之花。素薰郁氛氳之香。實散輕	葉 林 搖 瑪 瑙 之 花 素 薰 郁 氛 氳 之 香 實 散 輕 
T47n1963_003:0102a12	覆之彩。欄雕四寶。地瑩七珍。管發千聲。樓含	覆 之 彩 欄 雕 四 寶 地 瑩 七 珍 管 發 千 聲 樓 含 
T47n1963_003:0102a13	萬色。白鵠孔雀。常演五根。鸚鵡舍利。恒宣	萬 色 白 鵠 孔 雀 常 演 五 根 鸚 鵡 舍 利 恒 宣 
T47n1963_003:0102a14	八正。阿彌陀佛則相相分明。觀音菩薩則好	八 正 阿 彌 陀 佛 則 相 相 分 明 觀 音 菩 薩 則 好 
T47n1963_003:0102a15	好具足。如斯等事。不可思議。孰聞此說而	好 具 足 如 斯 等 事 不可思議 孰 聞 此 說 而 
T47n1963_003:0102a16	不不生欣(欣門竟)。	不 不 生 欣 欣 門 竟 
T47n1963_003:0102a17	問曰。既教其欣厭。智者已悟。其鈍根之儔。執	問 曰 既 教 其 欣 厭 智 者 已 悟 其 鈍 根 之 儔 執 
T47n1963_003:0102a18	迷未返。若為勸進其心。亦令得往生淨土。	迷 未 返 若 為 勸 進 其 心 亦 令 得 往 生 淨 土 
T47n1963_003:0102a19	答曰。如下阿彌陀經說。十方諸佛各出廣長	答 曰 如 下 阿 彌 陀 經 說 十方諸佛 各 出 廣 長 
T47n1963_003:0102a20	舌相。遍覆三千大千世界。皆勸一切眾生。往	舌 相 遍 覆 三千大千世界 皆 勸 一 切 眾 生 往 
T47n1963_003:0102a21	生淨土。然有眾生不受佛勸。難教難悟。難濟	生 淨 土 然 有 眾 生 不 受 佛 勸 難 教 難 悟 難 濟 
T47n1963_003:0102a22	難脫。知復奈何。此等眾生。依無量清淨覺經	難 脫 知 復 奈 何 此 等 眾 生 依 無 量 清 淨 覺 經 
T47n1963_003:0102a23	說。始從地獄中來。殃咎未盡。故彼經云。若善	說 始 從 地 獄 中 來 殃 咎 未 盡 故 彼 經 云 若 善 
T47n1963_003:0102a24	男子若女人。聞說淨土法門。心生悲喜。身毛	男 子 若 女 人 聞 說 淨 土 法 門 心 生 悲 喜 身 毛 
T47n1963_003:0102a25	為竪。如拔出者。當知。此人過去已作佛道來。	為 竪 如 拔 出 者 當 知 此 人 過 去 已 作 佛 道 來 
T47n1963_003:0102a26	若復有人。聞說淨土法門。都不生信樂。當知。	若 復 有 人 聞 說 淨 土 法 門 都 不 生 信 樂 當 知 
T47n1963_003:0102a27	此人始從三惡中來。殃咎未盡。為此無信向	此 人 始 從 三 惡 中 來 殃 咎 未 盡 為 此 無 信 向 
T47n1963_003:0102a28	耳。我說此人未可得解脫也。故無量壽經云。	耳 我 說 此 人 未 可 得 解 脫 也 故 無 量 壽 經 云 
T47n1963_003:0102a29	憍慢弊懈怠。難以信此法也。又無量清淨覺	憍 慢 弊 懈 怠 難 以 信 此 法 也 又 無 量 清 淨 覺 
T47n1963_003:0102b01	經。及無量壽經。二處皆云。無極之勝道。易往	經 及 無 量 壽 經 二 處 皆 云 無 極 之 勝 道 易 往 
T47n1963_003:0102b02	而無人也。西方是無極勝道。若人能於七日。	而 無 人 也 西 方 是 無 極 勝 道 若 人 能 於 七 日 
T47n1963_003:0102b03	專心念佛。所作善根。並皆迴向。即得往生。永	專 心 念 佛 所 作 善 根 並 皆 迴 向 即 得 往 生 永 
T47n1963_003:0102b04	離三塗。入不退位。此是易往也。然有眾生。不	離 三 塗 入 不 退 位 此 是 易 往 也 然 有 眾 生 不 
T47n1963_003:0102b05	肯信受。昏諸五欲。樂入惡道。如廁中虫。此是	肯 信 受 昏 諸 五 欲 樂 入 惡 道 如 廁 中 虫 此 是 
T47n1963_003:0102b06	無人也。又阿彌陀佛。與觀世音大勢至。乘大	無 人 也 又 阿 彌 陀 佛 與 觀 世 音 大 勢 至 乘 大 
