T85n2755_001:0217b16	華嚴經疏	華 嚴 經 疏 
T85n2755_001:0230b11	神力故。生如是心者。即是前發阿耨菩提心	神 力 故 生如是心 者 即 是 前 發 阿耨菩提 心 
T85n2755_001:0230b12	也。論云。何故唯言生心不言生智為一問也。	也 論 云 何 故 唯 言 生 心 不 言 生 智 為 一 問 也 
T85n2755_001:0230b13	及餘心數法。謂念定等為二問也。理實此時	及 餘 心 數 法 謂 念 定 等 為 二 問 也 理 實 此 時 
T85n2755_001:0230b14	諸德皆生何獨心邪。釋云。心是總主。舉此即	諸 德 皆 生 何 獨 心 邪 釋 云 心 是 總 主 舉 此 即 
T85n2755_001:0230b15	攝智等心故。云心中即攝知斷證修答初問	攝 智 等 心 故 云 心 中 即 攝 知 斷 證 修 答 初 問 
T85n2755_001:0230b16	也。亦攝一切助道法者答後問也　第三以	也 亦 攝 一 切 助 道 法 者 答 後 問 也 第 三 以 
T85n2755_001:0230b17	何因生如是菩提心者。如經是心以大悲為	何 因 生 如 是 菩 提 心 者 如 經 是 心 以 大 悲 為 
T85n2755_001:0230b18	首故。前說為何義中顯所求果。今此以因何	首 故 前 說 為 何 義 中 顯 所 求 果 今 此 以 因 何 
T85n2755_001:0230b19	顯能成因。謂以何因求大菩提。以大悲為首。	顯 能 成 因 謂 以 何 因 求大菩提 以 大 悲 為 首 
T85n2755_001:0230b20	濟眾生故。求此菩提非為自安。何以故。若非	濟 眾 生 故 求 此 菩 提 非 為 自 安 何 以 故 若 非 
T85n2755_001:0230b21	如是大菩提法。無以究竟救眾生故。是故諸	如 是 大 菩 提 法 無 以 究 竟 救 眾 生 故 是 故 諸 
T85n2755_001:0230b22	行大悲為首。此悲大有九種。一增上大。緣微	行 大 悲 為 首 此 悲 大 有 九 種 一 增 上 大 緣 微 
T85n2755_001:0230b23	細苦生增上智故。云智慧增上。論釋智與慧	細 苦 生 增 上 智 故 云 智 慧 增 上 論 釋 智 與 慧 
T85n2755_001:0230b24	二差別者。然此智慧有通有別。通而言之所	二 差 別 者 然 此 智 慧 有 通 有 別 通 而 言 之 所 
T85n2755_001:0230b25	知無別。開別有二門。一智知俗諦慧照真諦。	知 無 別 開 別 有 二 門 一 智 知 俗 諦 慧 照 真 諦 
T85n2755_001:0230b26	如十度中第六名慧。以照理故。第十名智。以	如 十 度 中 第 六 名 慧 以 照 理 故 第 十 名 智 以 
T85n2755_001:0230b27	鑒事故。二智能決斷因果逆順染淨差別。慧	鑒 事 故 二 智 能 決 斷 因 果 逆 順 染 淨 差 別 慧 
T85n2755_001:0230b28	能照達諸法假實體性有無。此中約後義辨。	能 照 達 諸 法 假 實 體 性 有 無 此 中 約 後 義 辨 
T85n2755_001:0230b29	又觀眾生十二緣起。前能起後。皆名為因。後	又 觀 眾 生 十二緣起 前 能 起 後 皆 名 為 因 後 
T85n2755_001:0230c01	依前起。悉名為果。逆順觀之有染有淨。染逆	依 前 起 悉 名 為 果 逆 順 觀 之 有 染 有 淨 染 逆 
T85n2755_001:0230c02	順者。無明緣行乃至老死。是名順觀。何緣老	順 者 無明緣行 乃 至 老 死 是 名 順 觀 何 緣 老 
T85n2755_001:0230c03	死。謂由生故乃至無明。是名逆觀。淨順逆	死 謂 由 生 故 乃 至 無 明 是 名 逆 觀 淨 順 逆 
T85n2755_001:0230c04	者。無明滅故行滅乃至老死。是名順觀。何緣	者 無 明 滅 故 行 滅 乃 至 老 死 是 名 順 觀 何 緣 
T85n2755_001:0230c05	老死滅。由生滅故乃至無明。是名逆觀。是觀	老 死 滅 由 生 滅 故 乃 至 無 明 是 名 逆 觀 是 觀 
T85n2755_001:0230c06	名智決斷義故。觀一切法。但名無實名自相	名 智 決 斷 義 故 觀 一 切 法 但 名 無 實 名 自 相 
T85n2755_001:0230c07	觀。觀一切法真如一味名同相觀。是觀名慧	觀 觀 一 切 法 真 如 一 味 名 同 相 觀 是 觀 名 慧 
T85n2755_001:0230c08	照察義故。二攝大。謂前既知苦。今以四攝方	照 察 義 故 二 攝 大 謂 前 既 知 苦 今 以 四 攝 方 
T85n2755_001:0230c09	便善巧救苦眾生故。云方便所攝。三淳至大。	便 善 巧 救 苦 眾 生 故 云 方便所攝 三 淳 至 大 
T85n2755_001:0230c10	淳謂淳厚。至謂至到。慈悲增上故曰淳至。淳	淳 謂 淳 厚 至 謂 至 到 慈 悲 增 上 故 曰 淳 至 淳 
T85n2755_001:0230c11	至有二。一直心淳至。謂向時發心許盡眾生	至 有 二 一 直 心 淳 至 謂 向 時 發 心 許 盡 眾 生 
T85n2755_001:0230c12	界作利益。其心一向無改易故。二深心淳至。	界 作 利 益 其 心 一 向 無 改 易 故 二 深 心 淳 至 
T85n2755_001:0230c13	謂愍苦情殷徹於後際故。云直心深心淳至	謂 愍 苦 情 殷 徹 於 後 際 故 云 直 心 深 心 淳 至 
T85n2755_001:0230c14	故。又直心令證理。深心令集善故。起信論	故 又 直 心 令 證 理 深 心 令 集 善 故 起 信 論 
T85n2755_001:0230c15	云。直心者正念真如法故。深心者樂集一切	云 直 心 者 正 念 真 如 法 故 深 心 者 樂 集 一 切 
T85n2755_001:0230c16	諸善行故。四無量大。謂攝取如來無量神力	諸 善 行 故 四 無 量 大 謂 攝 取 如 來 無 量 神 力 
T85n2755_001:0230c17	化物生信故。云量同佛力故。五決定大。上妙	化 物 生 信 故 云 量 同 佛 力 故 五 決 定 大 上 妙 
T85n2755_001:0230c18	決定信深智勝對治者。決定信知諸佛深智	決 定 信 深 智 勝 對 治 者 決 定 信 知 諸 佛 深 智 
T85n2755_001:0230c19	堪授眾生。令成最勝對治之用故。云善決定	堪 授 眾 生 令 成 最 勝 對 治 之 用 故 云 善 決 定 
T85n2755_001:0230c20	眾生力佛力故。謂以佛智力授與眾生益其	眾 生 力 佛 力 故 謂 以 佛 智 力 授 與 眾 生 益 其 
T85n2755_001:0230c21	智力故。云眾生力也。六隨順大。謂隨順菩提	智 力 故 云 眾 生 力 也 六 隨 順 大 謂 隨 順 菩 提 
T85n2755_001:0230c22	令得正覺故。云趣向無礙智隨順自然智故。	令 得 正 覺 故 云 趣 向 無 礙 智 隨 順 自 然 智 故 
T85n2755_001:0230c23	七正受大。謂能領受諸佛大勝教法轉授眾	七 正 受 大 謂 能 領 受 諸 佛 大 勝 教 法 轉 授 眾 
T85n2755_001:0230c24	生故。云能受一切佛法以智慧教化故。八最	生 故 云 能 受 一切佛法 以 智 慧 教 化 故 八 最 
T85n2755_001:0230c25	妙大。攝受勝妙平等功德故。云廣大如法界	妙 大 攝 受 勝 妙 平 等 功 德 故 云 廣 大 如 法 界 
T85n2755_001:0230c26	故。九住盡大。謂住是無常愛果之因盡。是	故 九 住 盡 大 謂 住 是 無 常 愛 果 之 因 盡 是 
T85n2755_001:0230c27	涅槃常果之因故。云究竟如虛空盡未來際	涅 槃 常 果 之 因 故 云 究 竟 如 虛 空 盡未來際 
T85n2755_001:0230c28	故　第四明是心生時有何等相者。如經菩	故 第 四 明 是 心 生 時 有 何 等 相 者 如 經 菩 
T85n2755_001:0230c29	薩發如是心。即時過凡夫地者。以此心即是	薩 發 如 是 心 即 時 過 凡 夫 地 者 以 此 心 即 是 
T85n2755_001:0231a01	出世間道。此時捨離凡夫性故。又創得聖位	出 世 間 道 此 時 捨 離 凡 夫 性 故 又 創 得 聖 位 
T85n2755_001:0231a02	過於地前內凡位故。此是總句。過義有九。下	過 於 地 前 內 凡 位 故 此 是 總 句 過 義 有 九 下 
T85n2755_001:0231a03	別顯之。一入位過。此時初成出世間心。猶如	別 顯 之 一 入 位 過 此 時 初 成 出 世 間 心 猶 如 
T85n2755_001:0231a04	世人初始住胎相似法故。云入菩薩位故。此	世 人 初 始 住 胎 相 似 法 故 云 入 菩 薩 位 故 此 
T85n2755_001:0231a05	句約位故。瑜伽住品名入菩薩正性離生。梁	句 約 位 故 瑜 伽 住 品 名 入 菩 薩 正性離生 梁 
T85n2755_001:0231a06	攝論第十云。一入菩薩正定位。以入菩薩初	攝 論 第 十 云 一 入 菩 薩 正 定 位 以 入 菩 薩 初 
T85n2755_001:0231a07	無流地故。二家過。以得佛所證法界之分故。	無 流 地 故 二 家 過 以 得 佛 所 證 法 界 之 分 故 
T85n2755_001:0231a08	云生在佛家。故梁論云。二生在佛家。如諸菩	云 生 在 佛 家 故 梁 論 云 二 生 在 佛 家 如 諸 菩 
T85n2755_001:0231a09	薩生法二家具足尊勝故。解云。前住胎若下	薩 生 法 二 家 具 足 尊 勝 故 解 云 前 住 胎 若 下 
T85n2755_001:0231a10	賊家不足為過。要在王家受生。方顯其勝故。	賊 家 不 足 為 過 要 在 王 家 受 生 方 顯 其 勝 故 
T85n2755_001:0231a11	此句約得法為家。瑜伽住品云。生如來家。三	此 句 約 得 法 為 家 瑜 伽 住 品 云 生如來家 三 
T85n2755_001:0231a12	種姓過以大行成立。堪紹佛種故云種姓尊	種 姓 過 以 大 行 成 立 堪 紹 佛 種 故 云 種 姓 尊 
T85n2755_001:0231a13	貴。無可譏嫌者。梁論云。以過二乘及世間種	貴 無 可 譏 嫌 者 梁 論 云 以 過 二 乘 及 世 間 種 
T85n2755_001:0231a14	姓故。解云。良以二乘亦得生空法界。然彼不	姓 故 解 云 良 以 二 乘 亦 得 生 空 法 界 然 彼 不 
T85n2755_001:0231a15	能紹佛果位。如雖生王家。然或是王之僕隸	能 紹 佛 果 位 如 雖 生 王 家 然 或 是 王 之 僕 隸 
T85n2755_001:0231a16	等不足為貴故。今要得王之體分繼於王位	等 不 足 為 貴 故 今 要 得 王 之 體 分 繼 於 王 位 
T85n2755_001:0231a17	故。子相似也。四道過。以非有漏故世道不	故 子 相 似 也 四 道 過 以 非 有 漏 故 世 道 不 
T85n2755_001:0231a18	攝。是無漏故出世道攝。故云過一切乃至出	攝 是 無 漏 故 出 世 道 攝 故 云 過 一 切 乃 至 出 
T85n2755_001:0231a19	世間道故。以雖得大乘在世間未足為勝。如	世 間 道 故 以 雖 得 大 乘 在 世 間 未 足 為 勝 如 
T85n2755_001:0231a20	雖是王種若是鬼神之王不足為貴。要是人	雖 是 王 種 若 是 鬼 神 之 王 不 足 為 貴 要 是 人 
T85n2755_001:0231a21	天之王。方顯道過故。云異道生相法。故梁	天 之 王 方 顯 道 過 故 云 異 道 生 相 法 故 梁 
T85n2755_001:0231a22	論云。四已轉一切世間行。決定不作殺生等	論 云 四 已 轉 一切世間 行 決 定 不 作 殺 生 等 
T85n2755_001:0231a23	邪行故。五法體過。謂菩薩正以大悲為體。於	邪 行 故 五 法 體 過 謂 菩 薩 正 以 大 悲 為 體 於 
T85n2755_001:0231a24	所作他事即是已事。以為自身體性相似法	所 作 他 事 即 是 已 事 以 為 自 身 體 性 相 似 法 
T85n2755_001:0231a25	故。云住菩薩法中。故瑜伽云。設有問言菩薩	故 云 住 菩 薩 法 中 故 瑜 伽 云 設 有 問 言 菩 薩 
T85n2755_001:0231a26	以何為體當云何答。應正答言大悲為體。此	以 何 為 體 當 云 何 答 應 正 答 言 大 悲 為 體 此 
T85n2755_001:0231a27	之謂也。前雖道勝。若己身殘闕未足為勝。故	之 謂 也 前 雖 道 勝 若 己 身 殘 闕 未 足 為 勝 故 
T85n2755_001:0231a28	舉大悲顯成自體。六住處過。以不捨世間。是	舉 大 悲 顯 成 自 體 六 住 處 過 以 不 捨 世 間 是 
T85n2755_001:0231a29	不住涅槃方便不染。是不住世間巧離二邊	不住涅槃 方 便 不 染 是 不 住 世 間 巧 離 二 邊 
T85n2755_001:0231b01	住。住無住處故云在諸菩薩。數論經名住在	住 住 無 住 處 故 云 在 諸 菩 薩 數 論 經 名 住 在 
T85n2755_001:0231b02	菩薩正處故也。如王子諸根備具。若住處下	菩 薩 正 處 故 也 如 王 子 諸 根 備 具 若 住 處 下 
T85n2755_001:0231b03	劣亦不足為勝。菩薩雖有大悲。若著二邊亦	劣 亦 不 足 為 勝 菩 薩 雖 有 大 悲 若 著 二 邊 亦 
T85n2755_001:0231b04	未為勝。七生業過。以順空聖智等。入三世	未 為 勝 七 生 業 過 以 順 空 聖 智 等 入 三 世 
T85n2755_001:0231b05	真如法中。顯無終極無際限相生命相似故。	真 如 法 中 顯 無 終 極 無 際 限 相 生 命 相 似 故 
T85n2755_001:0231b06	云等入三世等如也。論經名三世真如法中。	云 等 入 三 世 等 如 也 論 經 名 三 世 真 如 法 中 
T85n2755_001:0231b07	是故此中如字即是平等法故名真如兩處用	是 故 此 中 如 字 即 是 平 等 法 故 名 真 如 兩 處 用 
T85n2755_001:0231b08	之。應知如彼王子雖依正俱勝。若壽命短促	之 應 知 如 彼 王 子 雖 依 正 俱 勝 若 壽 命 短 促 
T85n2755_001:0231b09	不足為勝。八畢定過。佛種不斷顯因畢定。究	不 足 為 勝 八 畢 定 過 佛 種 不 斷 顯 因 畢 定 究 
T85n2755_001:0231b10	竟涅槃顯果畢定。成就相似者。如似王子。雖	竟 涅 槃 顯 果 畢 定 成 就 相 似 者 如 似 王 子 雖 
T85n2755_001:0231b11	依正命勝。若志氣不立所作不成。不堪紹繼	依 正 命 勝 若 志 氣 不 立 所 作 不 成 不 堪 紹 繼 
T85n2755_001:0231b12	故云如來種中畢定究竟阿耨多羅三藐三菩	故 云 如 來 種 中 畢 定 究 竟 阿 耨 多 羅 三 藐 三 菩 
T85n2755_001:0231b13	提故。住如是法等者。牒以總結。謂前四義	提 故 住 如 是 法 等 者 牒 以 總 結 謂 前 四 義 
T85n2755_001:0231b14	中。初明內所依身。二辨外所求果。三顯求果	中 初 明 內 所 依 身 二 辨 外 所 求 果 三 顯 求 果 
T85n2755_001:0231b15	所因。此三明發心由致。四正顯所發心相。此	所 因 此 三 明 發 心 由 致 四 正 顯 所 發 心 相 此 
T85n2755_001:0231b16	即是初住地相故。云住如是法名住菩薩歡	即 是 初 住 地 相 故 云 住 如 是 法 名 住 菩 薩 歡 
T85n2755_001:0231b17	喜地。以不動法。不動法故不動法者。釋成	喜 地 以 不 動 法 不 動 法 故 不 動 法 者 釋 成 
T85n2755_001:0231b18	住義。謂一證真理不復失故。二乘異道所不	住 義 謂 一 證 真 理 不 復 失 故 二 乘 異 道 所 不 
T85n2755_001:0231b19	動故。已說住義竟。	動 故 已 說 住 義 竟 
T85n2755_001:0231b20	第二釋名分中有三。初十句明多喜。次十明	第 二 釋 名 分 中 有 三 初 十 句 明 多 喜 次 十 明 
T85n2755_001:0231b21	念當得生喜。後十念現得生喜。又釋此三中	念 當 得 生 喜 後 十 念 現 得 生 喜 又 釋 此 三 中 
T85n2755_001:0231b22	初一明歎喜差別。後二明喜因差別。又前一	初 一 明 歎 喜 差 別 後 二 明 喜 因 差 別 又 前 一 
T85n2755_001:0231b23	正是此地行報之喜。後二明於此地舉緣方	正 是 此 地 行 報 之 喜 後 二 明 於 此 地 舉 緣 方 
T85n2755_001:0231b24	喜。又初一對前依何身生喜。以厚集善根得	喜 又 初 一 對 前 依 何 身 生 喜 以 厚 集 善 根 得 
T85n2755_001:0231b25	此位故。次對前為何義生喜。以所求佛果定	此 位 故 次 對 前 為 何 義 生 喜 以 所 求 佛 果 定 
T85n2755_001:0231b26	當得故。後對有何相生喜。以現離凡得聖位	當 得 故 後 對 有 何 相 生 喜 以 現 離 凡 得 聖 位 
T85n2755_001:0231b27	故。何故以何因中不對辨喜。謂悲心惻愴喜	故 何 故 以 何 因 中 不 對 辨 喜 謂 悲 心 惻 愴 喜 
T85n2755_001:0231b28	相隱故。初中言多喜者。謂適悅眾多故。論中	相 隱 故 初 中 言 多 喜 者 謂 適 悅 眾 多 故 論 中 
T85n2755_001:0231b29	三種。一心喜者。入觀之心心即適悅故。二體	三 種 一 心 喜 者 入 觀 之 心 心 即 適 悅 故 二 體 
T85n2755_001:0231c01	喜者。出觀喜受相應故。三根喜者。由前心體	喜 者 出 觀 喜 受 相 應 故 三 根 喜 者 由 前 心 體 
T85n2755_001:0231c02	喜故。令所依身色根調暢輕安遍悅故云多	喜 故 令 所 依 身 色 根 調 暢 輕 安 遍 悅 故 云 多 
T85n2755_001:0231c03	喜。此是總句。別有九種。一敬喜。於三寶中	喜 此 是 總 句 別 有 九 種 一 敬 喜 於 三 寶 中 
T85n2755_001:0231c04	得不懷信故云多信故　此如小乘入見道得	得 不 懷 信 故 云 多 信 故 此 如 小 乘 入 見 道 得 
T85n2755_001:0231c05	不壞淨相似故。二愛喜。樂觀離染真如法故	不 壞 淨 相 似 故 二 愛 喜 樂 觀 離 染 真 如 法 故 
T85n2755_001:0231c06	云多清淨故。論經名愛念故。上二是心喜。三	云 多 清 淨 故 論 經 名 愛 念 故 上 二 是 心 喜 三 
T85n2755_001:0231c07	慶喜。自覺所證校量勝過於地前故云多踊	慶 喜 自 覺 所 證 校 量 勝 過 於 地 前 故 云 多 踊 
T85n2755_001:0231c08	悅　四調柔喜。身心安適遍增益故。五堪受	悅 四 調 柔 喜 身 心 安 適 遍 增 益 故 五 堪 受 
T85n2755_001:0231c09	喜。自見至菩提近者知已行立取菩提近故	喜 自 見 至 菩 提 近 者 知 已 行 立 取 菩 提 近 故 
T85n2755_001:0231c10	云多堪受故。此與念當得何別。謂念當得念	云 多 堪 受 故 此 與 念 當 得 何 別 謂 念 當 得 念 
T85n2755_001:0231c11	果預喜。今此念因能受故喜上來自行喜。下	果 預 喜 今 此 念 因 能 受 故 喜 上 來 自 行 喜 下 
T85n2755_001:0231c12	三明化他喜。六不壞喜。由於自心先已調伏。	三 明 化 他 喜 六 不 壞 喜 由 於 自 心 先 已 調 伏 
T85n2755_001:0231c13	是故或他論義自解說時。或自論義他解說	是 故 或 他 論 義 自 解 說 時 或 自 論 義 他 解 說 
T85n2755_001:0231c14	時。皆心調無諍。離諸擾動故云不好鬪諍。七	時 皆 心 調 無 諍 離 諸 擾 動 故 云 不 好 鬪 諍 七 
T85n2755_001:0231c15	不惱喜。以心慈悲身口調柔。設見惡人以道	不 惱 喜 以 心 慈 悲 身 口 調 柔 設 見 惡 人 以 道 
T85n2755_001:0231c16	漸化不惱他故。云不好惱亂眾生。八不瞋喜。	漸 化 不 惱 他 故 云 不 好 惱 亂 眾 生 八 不 瞋 喜 
T85n2755_001:0231c17	謂見眾生不如說行心乖法也。威儀不正身	謂 見 眾 生 不 如 說 行 心 乖 法 也 威 儀 不 正 身 
T85n2755_001:0231c18	違道也。見之生愍故忍不嗔故。云不好嗔恨。	違 道 也 見 之 生 愍 故 忍 不 嗔 故 云 不 好 嗔 恨 
T85n2755_001:0231c19	此前二句不惱懷他。此句能受他惱。又前二	此 前 二 句 不 惱 懷 他 此 句 能 受 他 惱 又 前 二 
T85n2755_001:0231c20	不令他惱。此句自不起瞋　第二念當得故	不 令 他 惱 此 句 自 不 起 瞋 第 二 念 當 得 故 
T85n2755_001:0231c21	生歡喜中。初句總。此中欲明已當得義。何故	生 歡 喜 中 初 句 總 此 中 欲 明 已 當 得 義 何 故 
T85n2755_001:0231c22	乃念他佛邪。論釋如佛所得。我亦當得如是	乃 念 他 佛 邪 論 釋 如 佛 所 得 我 亦 當 得 如 是 
T85n2755_001:0231c23	念故心生歡喜。此即念他成已也。別有九種。	念 故 心生歡喜 此 即 念 他 成 已 也 別 有 九 種 
T85n2755_001:0231c24	一念佛法者。正是念法。但以總該別。於念佛	一 念 佛 法 者 正 是 念 法 但 以 總 該 別 於 念 佛 
T85n2755_001:0231c25	門開出餘九。是故九種皆名念佛。此是念佛	門 開 出 餘 九 是 故 九 種 皆 名 念 佛 此 是 念 佛 
T85n2755_001:0231c26	所得之法及所說法。已亦當成故云念佛法	所 得 之 法 及 所 說 法 已 亦 當 成 故 云 念 佛 法 
T85n2755_001:0231c27	故生歡喜心。二念佛菩薩。有人釋云。此念佛	故 生歡喜心 二 念 佛 菩 薩 有 人 釋 云 此 念 佛 
T85n2755_001:0231c28	過去為菩薩時。我亦同彼故生喜。今解念佛	過 去 為 菩 薩 時 我 亦 同 彼 故 生 喜 今 解 念 佛 
T85n2755_001:0231c29	成道。有菩薩眷屬。我亦當有故生歡喜。文	成 道 有 菩 薩 眷 屬 我 亦 當 有 故 生 歡 喜 文 
T85n2755_001:0232a01	意在此。故云念諸菩薩等。三念佛行。此中正	意 在 此 故 云 念 諸 菩 薩 等 三 念 佛 行 此 中 正 
T85n2755_001:0232a02	是念菩薩行故名念佛行。釋以諸菩薩行佛	是 念 菩 薩 行 故 名 念 佛 行 釋 以 諸 菩 薩 行 佛 
T85n2755_001:0232a03	所行行故行從佛有故。四念佛淨。謂念佛所	所 行 行 故 行 從 佛 有 故 四 念 佛 淨 謂 念 佛 所 
T85n2755_001:0232a04	有諸度離染故。云念波羅蜜清淨故。五念佛	有 諸 度 離 染 故 云 念 波 羅 蜜 清 淨 故 五 念 佛 
T85n2755_001:0232a05	勝。謂念佛菩薩勝餘眾故。云念諸菩薩與眾	勝 謂 念 佛 菩 薩 勝 餘 眾 故 云 念 諸 菩 薩 與 眾 
T85n2755_001:0232a06	殊勝故。六念佛不退之力故云不壞也。七念	殊 勝 故 六 念 佛 不 退 之 力 故 云 不 壞 也 七 念 
T85n2755_001:0232a07	佛教化之法。八念佛能廣利益眾生。九念佛	佛 教 化 之 法 八 念 佛 能 廣 利 益 眾 生 九 念 佛 
T85n2755_001:0232a08	所入之門。謂善巧智門也。問。看此十句。唯	所 入 之 門 謂 善 巧 智 門 也 問 看 此 十 句 唯 
T85n2755_001:0232a09	初一句念佛餘念別事。論主何故總稱念佛。	初 一 句 念 佛 餘 念 別 事 論 主 何 故 總 稱 念 佛 
T85n2755_001:0232a10	答。此依一乘無盡緣起無礙相成。即一一緣	答 此 依 一 乘 無 盡 緣 起 無 礙 相 成 即 一 一 緣 
T85n2755_001:0232a11	中無不皆攝一切諸緣。論主依此例故。迴九	中 無 不 皆 攝 一 切 諸 緣 論 主 依 此 例 故 迴 九 
T85n2755_001:0232a12	入一俱名念佛。如初句攝九。餘一一句皆亦	入 一 俱 名 念 佛 如 初 句 攝 九 餘 一 一 句 皆 亦 
T85n2755_001:0232a13	如是。此即句句之下。悉皆無盡。以此地法	如 是 此 即 句 句 之 下 悉 皆 無 盡 以 此 地 法 
T85n2755_001:0232a14	是陀羅尼法故。如上舉悉曇章為喻。是此義	是 陀 羅 尼 法 故 如 上 舉 悉 曇 章 為 喻 是 此 義 
T85n2755_001:0232a15	也。依此例故。上十信為總。乃至十地及佛悉	也 依 此 例 故 上 十 信 為 總 乃 至 十 地 及 佛 悉 
T85n2755_001:0232a16	為別。攝別入總。無不在信中具足餘位亦然。	為 別 攝 別 入 總 無 不 在 信 中 具 足 餘 位 亦 然 
T85n2755_001:0232a17	是此義也。又此十句。論主更作一翻解釋。論	是 此 義 也 又 此 十 句 論 主 更 作 一 翻 解 釋 論 
T85n2755_001:0232a18	云。於中初二念共者。謂於十中初二念共同	云 於 中 初 二 念 共 者 謂 於 十 中 初 二 念 共 同 
T85n2755_001:0232a19	是所念今還分為二。謂念佛念佛法故云佛	是 所 念 今 還 分 為 二 謂 念 佛 念 佛 法 故 云 佛 
T85n2755_001:0232a20	佛法二故。此意欲簡成同相三寶。言念佛菩	佛 法 二 故 此 意 欲 簡 成 同 相 三 寶 言 念 佛 菩 
T85n2755_001:0232a21	薩二者。還將念佛簡佛菩薩故為二也。言念	薩 二 者 還 將 念 佛 簡 佛 菩 薩 故 為 二 也 言 念 
T85n2755_001:0232a22	諸菩薩故。直舉菩薩以念佛前簡法處已顯	諸 菩 薩 故 直 舉 菩 薩 以 念 佛 前 簡 法 處 已 顯 
T85n2755_001:0232a23	故。是故佛中具足三寶。餘七皆是念佛行攝。	故 是 故 佛 中 具 足 三 寶 餘 七 皆 是 念 佛 行 攝 
T85n2755_001:0232a24	此行為總。餘下六句顯此行故。言隨所顯彼	此 行 為 總 餘 下 六 句 顯 此 行 故 言 隨 所 顯 彼 
T85n2755_001:0232a25	菩薩行者。謂此六句隨彼所顯菩薩行故。是	菩 薩 行 者 謂 此 六 句 隨 彼 所 顯 菩 薩 行 故 是 
T85n2755_001:0232a26	故得在行中所攝。言以何顯者。如是諸念者。	故 得 在 行 中 所 攝 言 以 何 顯 者 如 是 諸 念 者 
T85n2755_001:0232a27	謂前言隨所顯未辨。以何法顯下出能顯行	謂 前 言 隨 所 顯 未 辨 以 何 法 顯 下 出 能 顯 行 
T85n2755_001:0232a28	體故。云以如是諸念。應知此中菩薩行有二	體 故 云 以 如 是 諸 念 應 知 此 中 菩 薩 行 有 二 
T85n2755_001:0232a29	種。一離染行。二勝進行。六中初句別顯離	種 一 離 染 行 二 勝 進 行 六 中 初 句 別 顯 離 
T85n2755_001:0232b01	染行故。云復何顯彼波羅蜜淨顯二。餘五句	染 行 故 云 復 何 顯 彼 波 羅 蜜 淨 顯 二 餘 五 句 
T85n2755_001:0232b02	別顯勝進行故。云云何顯彼菩薩行乃至轉	別 顯 勝 進 行 故 云 云 何 顯 彼 菩 薩 行 乃 至 轉 
T85n2755_001:0232b03	去故。於中初二句勝及不退顯勝轉去。以後	去 故 於 中 初 二 句 勝 及 不 退 顯 勝 轉 去 以 後 
T85n2755_001:0232b04	地望前皆名轉勝。前地望後趣入不退皆名	地 望 前 皆 名 轉 勝 前 地 望 後 趣 入 不 退 皆 名 
T85n2755_001:0232b05	轉去。後之三句顯其盡去。十地位窮名為盡。	轉 去 後 之 三 句 顯 其 盡 去 十 地 位 窮 名 為 盡 
T85n2755_001:0232b06	上入佛果稱之曰去。三句中初二顯盡。謂法	上 入 佛 果 稱 之 曰 去 三 句 中 初 二 顯 盡 謂 法 
T85n2755_001:0232b07	雲地中。能受法雨及能注雨利益群生。後一	雲 地 中 能 受 法 雨 及 能 注 雨 利 益 群 生 後 一 
T85n2755_001:0232b08	句受職成佛故云上入佛地。此初念佛行該	句 受 職 成 佛 故 云 上 入 佛 地 此 初 念 佛 行 該 
T85n2755_001:0232b09	攝後六目之為總。歸初念佛說以為別故。云	攝 後 六 目 之 為 總 歸 初 念 佛 說 以 為 別 故 云 
T85n2755_001:0232b10	亦總亦別也　第三念現得生歡喜中。初總中	亦 總 亦 別 也 第 三 念 現 得 生 歡 喜 中 初 總 中 
T85n2755_001:0232b11	離世境。論釋離凡夫取著事。此六塵境是世	離 世 境 論 釋 離 凡 夫 取 著 事 此 六 塵 境 是 世 
T85n2755_001:0232b12	凡所取。又未入初地所取不亡。如論云現前	凡 所 取 又 未 入 初 地 所 取 不 亡 如 論 云 現 前 
T85n2755_001:0232b13	立少物等非入地故。今入出世證真如法。離	立 少 物 等 非 入 地 故 今 入 出 世 證 真 如 法 離 
T85n2755_001:0232b14	所取著世間境事故。云我轉離一切世間境	所 取 著 世 間 境 事 故 云 我 轉 離 一切世間 境 
T85n2755_001:0232b15	界生歡喜心。此轉離有九種。一入轉離。謂入	界 生歡喜心 此 轉 離 有 九 種 一 入 轉 離 謂 入 
T85n2755_001:0232b16	諸佛所行法中故。云入一切佛平等中故。此	諸 佛 所 行 法 中 故 云 入 一 切 佛 平 等 中 故 此 
T85n2755_001:0232b17	九種與前八過既少相似。云何取別釋。前中	九 種 與 前 八 過 既 少 相 似 云 何 取 別 釋 前 中 
T85n2755_001:0232b18	舉此正顯發心之相。此文念此現得生於歡	舉 此 正 顯 發 心 之 相 此 文 念 此 現 得 生 於 歡 
T85n2755_001:0232b19	喜。理實初住所得無別。二遠捨地前凡夫位	喜 理 實 初 住 所 得 無 別 二 遠 捨 地 前 凡 夫 位 
T85n2755_001:0232b20	故。三近到出世聖智地故。四斷離分別煩惱	故 三 近 到 出 世 聖 智 地 故 四 斷 離 分 別 煩 惱 
T85n2755_001:0232b21	惡趣業果故。五堪與眾生作依止故。六自念	惡 趣 業 果 故 五 堪 與 眾 生 作 依 止 故 六 自 念 
