T85n2773_001:0423c07	維摩經抄	維 摩 經 抄 
T85n2773_001:0430a16	灰身滅心二皆永盡方為遠離。故皆非也　經	灰 身 滅 心 二 皆 永 盡 方 為 遠 離 故 皆 非 也 經 
T85n2773_001:0430a17	曰。雖行三界而不壞法性　述曰。雖遊三界	曰 雖 行 三 界 而 不 壞 法 性 述 曰 雖 遊 三 界 
T85n2773_001:0430a18	之妄境不失真如之法性　經曰。雖行四無	之 妄 境 不 失 真 如 之 法 性 經 曰 雖 行 四 無 
T85n2773_001:0430a19	量心而不貪著生於梵世　述曰。四無量者	量 心 而 不 貪 著 生 於 梵 世 述 曰 四 無 量 者 
T85n2773_001:0430a20	慈悲喜捨也。為利生故而行之。非求報故而	慈 悲 喜 捨 也 為 利 生 故 而 行 之 非 求 報 故 而 
T85n2773_001:0430a21	起之。梵世者色界初禪大梵王之世界。修慈	起 之 梵 世 者 色 界 初 禪 大 梵 王 之 世 界 修 慈 
T85n2773_001:0430a22	心等得生彼天。壽命六十劫　經曰。雖行禪	心 等 得 生 彼 天 壽 命 六 十 劫 經 曰 雖 行 禪 
T85n2773_001:0430a23	定而不隨禪生　述曰。息心湛如行無漏之	定 而 不 隨 禪 生 述 曰 息 心 湛 如 行 無 漏 之 
T85n2773_001:0430a24	禪定。超出三界不隨禪生。	禪 定 超出三界 不 隨 禪 生 
T85n2773_001:0430a25	不思議品第六	不 思 議 品 第 六 
T85n2773_001:0430a26	經曰。夫求法者非有色受想行識之求(五蘊空也)非	經 曰 夫 求 法 者 非 有 色 受 想 行 識 之 求 五 蘊 空 也 非 
T85n2773_001:0430a27	有界入之求(十二處十八界空也)非有欲色無色之求(三界空也)	有 界 入 之 求 十 二 處 十 八 界 空 也 非 有 欲色無色 之 求 三 界 空 也 
T85n2773_001:0430a28	不著佛求不著法求不著眾求(三寶空也)無見苦求	不 著 佛 求 不 著 法 求 不 著 眾 求 三 寶 空 也 無 見 苦 求 
T85n2773_001:0430a29	無斷集求無造盡證修道之求　述曰。此造	無 斷 集 求 無 造 盡 證 修 道 之 求 述 曰 此 造 
T85n2773_001:0430b01	字去聲呼之。造猶往也。盡證者涅槃性空。漏	字 去 聲 呼 之 造 猶 往 也 盡 證 者 涅 槃 性 空 漏 
T85n2773_001:0430b02	盡而證名為盡證。既無處所。何往之耶　經	盡 而 證 名 為 盡 證 既 無 處 所 何 往 之 耶 經 
T85n2773_001:0430b03	曰。舍利弗言居士未曾有也。如是小室乃容	曰 舍 利 弗 言 居 士 未 曾 有 也 如 是 小 室 乃 容 
T85n2773_001:0430b04	受此高廣之座。乃至云舍利弗諸佛菩薩有	受 此 高 廣 之 座 乃 至 云 舍 利 弗 諸佛菩薩 有 
T85n2773_001:0430b05	解脫名不可思議。若菩薩住是解脫者。以須	解 脫 名 不可思議 若 菩 薩 住 是 解 脫 者 以 須 
T85n2773_001:0430b06	彌之高廣內芥子中亦無增減。須彌山王本	彌 之 高 廣 內 芥 子 中 亦 無 增 減 須 彌 山 王 本 
T85n2773_001:0430b07	相如故。而四天王等不覺不知。唯應度者乃	相 如 故 而 四 天 王 等 不 覺 不 知 唯 應 度 者 乃 
T85n2773_001:0430b08	見須彌入芥子中。是名不可思議解脫法門	見 須 彌 入 芥 子 中 是 名 不可思議 解 脫 法 門 
T85n2773_001:0430b09	　述曰。此之一章正明不可思議　經云。正宗	 述 曰 此 之 一 章 正 明 不可思議 經 云 正 宗 
T85n2773_001:0430b10	芥子極小須彌極大。二俱色法。須彌山者。	芥 子 極 小 須 彌 極 大 二 俱 色 法 須 彌 山 者 
T85n2773_001:0430b11	准諸經論。闊狹高下各八萬由旬。此中解釋	准 諸 經 論 闊 狹 高 下 各 八 萬 由 旬 此 中 解 釋 
T85n2773_001:0430b12	自古多門。今宜逐要三二門耳。一就二諦釋	自 古 多 門 今 宜 逐 要 三 二 門 耳 一 就 二 諦 釋 
T85n2773_001:0430b13	之。俗諦妄想見其大小。二相懸殊不相容受。	之 俗 諦 妄 想 見 其 大 小 二 相 懸 殊 不 相 容 受 
T85n2773_001:0430b14	真諦之中圓融一體。一體故芥子非小。須彌	真 諦 之 中 圓 融 一 體 一 體 故 芥 子 非 小 須 彌 
T85n2773_001:0430b15	非大。小非定小。大非定大。是故相容。悟斯理	非 大 小 非 定 小 大 非 定 大 是 故 相 容 悟 斯 理 
T85n2773_001:0430b16	者不可思議。二就法相法性二宗以釋。法相	者 不可思議 二 就 法 相 法 性 二 宗 以 釋 法 相 
T85n2773_001:0430b17	宗中大小相別不相容受。法性宗中恒沙萬	宗 中 大 小 相 別 不 相 容 受 法 性 宗 中 恒 沙 萬 
T85n2773_001:0430b18	法同一真如不守自性。猶如大海眾水同味。	法 同 一 真 如 不 守 自 性 猶 如 大 海 眾 水 同 味 
T85n2773_001:0430b19	虛通無礙。大得入小。小亦合大。不可思議。三	虛 通 無 礙 大 得 入 小 小 亦 合 大 不可思議 三 
T85n2773_001:0430b20	約空有二門。妙有門中大小不無。真空門中	約 空 有 二 門 妙 有 門 中 大 小 不 無 真 空 門 中 
T85n2773_001:0430b21	小大非有。互相容受不可思議。空不離有。大	小 大 非 有 互 相 容 受 不可思議 空 不 離 有 大 
T85n2773_001:0430b22	小宛然。有不離空。故相容受。亦可。就唯識門	小 宛 然 有 不 離 空 故 相 容 受 亦 可 就 唯 識 門 
T85n2773_001:0430b23	更釋一念淨心微細。猶如芥子。參羅萬像雖	更 釋 一 念 淨 心 微 細 猶 如 芥 子 參 羅 萬 像 雖 
T85n2773_001:0430b24	復眾多。要從一心變現而起。離心之外畢竟	復 眾 多 要 從 一 心 變 現 而 起 離 心 之 外 畢 竟 
T85n2773_001:0430b25	無法。攝境從心故相納也。更有古德。約三性	無 法 攝 境 從 心 故 相 納 也 更 有 古 德 約 三 性 
T85n2773_001:0430b26	等諸門解釋。恐煩止。且已下毛容大海水等。	等 諸 門 解 釋 恐 煩 止 且 已 下 毛 容 大 海 水 等 
T85n2773_001:0430b27	數量大意同此　經曰。我等何為永絕其根。	數 量 大 意 同 此 經 曰 我 等 何 為 永 絕 其 根 
T85n2773_001:0430b28	於此大乘已如敗種　述曰。此迦葉呵責小	於 此 大 乘 已 如 敗 種 述 曰 此 迦 葉 呵 責 小 
T85n2773_001:0430b29	乘之語也。夫論大乘菩薩不出生死不入涅	乘 之 語 也 夫 論 大 乘 菩 薩 不 出 生 死 不 入 涅 
T85n2773_001:0430c01	槃不斷煩惱不捨眾生。故入三塗往來三界。	槃 不 斷 煩 惱 不 捨 眾 生 故 入 三 塗 往 來 三 界 
T85n2773_001:0430c02	大悲之心為大乘根。二乘人等已出生死已	大 悲 之 心 為 大 乘 根 二 乘 人 等 已 出 生 死 已 
T85n2773_001:0430c03	證涅槃已斷煩惱已捨眾生。悲心已亡。故云	證 涅 槃 已 斷 煩 惱 已 捨 眾 生 悲 心 已 亡 故 云 
T85n2773_001:0430c04	根斷亦同敗種。	根 斷 亦 同 敗 種 
T85n2773_001:0430c05	觀眾生品第七	觀 眾 生 品 第 七 
T85n2773_001:0430c06	經曰。維摩詰言。菩薩云何觀於眾生問也	經 曰 維 摩 詰 言 菩 薩 云 何 觀 於 眾 生 問 也 
T85n2773_001:0430c07	　述曰。幻師了知幻人無實。菩薩了知眾生如	 述 曰 幻 師 了 知 幻 人 無 實 菩 薩 了 知 眾 生 如 
T85n2773_001:0430c08	幻。於中不著眾生等相。如第五大者。三世諸	幻 於 中 不 著 眾 生 等 相 如 第 五 大 者 三 世 諸 
T85n2773_001:0430c09	佛只說四大。地水火風。無第五大之等。第五	佛 只 說 四 大 地水火風 無 第 五 大 之 等 第 五 
T85n2773_001:0430c10	實其體。眾生同此。如第六陰(只有五蔭無有第六)如第七	實 其 體 眾 生 同 此 如 第 六 陰 只 有 五 蔭 無 有 第 六 如 第 七 
T85n2773_001:0430c11	情(只有第六根無第七也)如第十三入(只有六根六識十二入門無第十三也)如	情 只 有 第 六 根 無 第 七 也 如 第 十 三 入 只 有 六 根 六 識 十 二 入 門 無 第 十 三 也 如 
T85n2773_001:0430c12	第十九界(只有六根六識六境三六十八更無十九)無色界無色。燋穀	第 十 九 界 只 有 六 根 六 識 六 境 三 六 十 八 更 無 十 九 無 色 界 無 色 燋 穀 
T85n2773_001:0430c13	無芽。如須陀洹身見　述曰。身見等第五初	無 芽 如 須 陀 洹 身 見 述 曰 身 見 等 第 五 初 
T85n2773_001:0430c14	入見道得此初果身。第五永斷不行故舉此	入 見 道 得 此 初 果 身 第 五 永 斷 不 行 故 舉 此 
T85n2773_001:0430c15	見彰其無也。如阿那含入胎　述曰。阿那含	見 彰 其 無 也 如 阿 那 含 入 胎 述 曰 阿 那 含 
T85n2773_001:0430c16	者。是第三果已超。欲界更不入胎羅漢出三	者 是 第 三 果 已 超 欲 界 更 不 入 胎 羅 漢 出 三 
T85n2773_001:0430c17	界煩惱都盡故。更無有貪嗔癡三毒。如得忍	界 煩 惱 都 盡 故 更 無 有 貪 嗔 癡 三 毒 如 得 忍 
T85n2773_001:0430c18	菩薩貪恚毀禁　述曰。七方便中第六忍位	菩 薩 貪 恚 毀 禁 述 曰 七 方 便 中 第 六 忍 位 
T85n2773_001:0430c19	修道至此永斷破戒界。如佛煩惱習　述曰。	修 道 至 此 永 斷 破 戒 界 如 佛 煩 惱 習 述 曰 
T85n2773_001:0430c20	習者習氣。猶如臭氣入衣等中浴浣之時垢	習 者 習 氣 猶 如 臭 氣 入 衣 等 中 浴 浣 之 時 垢 
T85n2773_001:0430c21	穢雖淨臭氣猶在。眾生身心亦復如是。煩惱	穢 雖 淨 臭 氣 猶 在 眾 生 身 心 亦復如是 煩 惱 
T85n2773_001:0430c22	惡氣熏習身心。二乘聖人雖斷煩惱。習氣仍	惡 氣 熏 習 身 心 二 乘 聖 人 雖 斷 煩 惱 習 氣 仍 
T85n2773_001:0430c23	在。唯有如來種習俱盡。石女無兒。夢中所見	在 唯 有 如 來 種 習 俱 盡 石 女 無 兒 夢 中 所 見 
T85n2773_001:0430c24	窹色即無。定性二乘灰身滅智一歸寂滅更	窹 色 即 無 定 性 二 乘 灰 身 滅 智 一 歸 寂 滅 更 
T85n2773_001:0430c25	不受身　經曰。行不熱慈者。煩惱名熱。燒眾	不 受 身 經 曰 行 不 熱 慈 者 煩 惱 名 熱 燒 眾 
T85n2773_001:0430c26	生故。慈淨無惱故云不熱　經曰。從無住本	生 故 慈 淨 無 惱 故 云 不 熱 經 曰 從 無 住 本 
T85n2773_001:0430c27	立一切法　述曰。無住者即真如也。故知從	立 一 切 法 述 曰 無 住 者 即 真 如 也 故 知 從 
T85n2773_001:0430c28	真起妄。即有顛倒等無量諸法。次第相生相	真 起 妄 即 有 顛 倒 等 無 量 諸 法 次 第 相 生 相 
T85n2773_001:0430c29	依而住。攝妄歸真住。萬法依空住。虛空無依。	依 而 住 攝 妄 歸 真 住 萬 法 依 空 住 虛 空 無 依 
T85n2773_001:0431a01	諸法從真起。真如無住處。天女散花二乘不	諸 法 從 真 起 真 如 無 住 處 天 女 散 花 二 乘 不 
T85n2773_001:0431a02	落菩薩落者。二乘之人取相分別不了花空。	落 菩 薩 落 者 二 乘 之 人 取 相 分 別 不 了 花 空 
T85n2773_001:0431a03	是以不落。菩薩之人分別已亡不取花相。是	是 以 不 落 菩 薩 之 人 分 別 已 亡 不 取 花 相 是 
T85n2773_001:0431a04	以不著。二乘神力去花不能令去者。若不證	以 不 著 二 乘 神 力 去 花 不 能 令 去 者 若 不 證 
T85n2773_001:0431a05	空。神通何益。此花不如法是以去之者。肇公	空 神 通 何 益 此 花 不 如 法 是 以 去 之 者 肇 公 
T85n2773_001:0431a06	云。香花著身有破戒之相。非沙門法。是以	云 香 花 著 身 有 破 戒 之 相 非 沙 門 法 是 以 
T85n2773_001:0431a07	去之。生法師云。花法散身應墮而不墮者。非	去 之 生 法 師 云 花 法 散 身 應 墮 而 不 墮 者 非 
T85n2773_001:0431a08	花法也。勿謂此花為不如法。花無分別。人者	花 法 也 勿 謂 此 花 為 不 如 法 花 無 分 別 人 者 
T85n2773_001:0431a09	自生分別心耳　述曰。花是非情亦無心想	自 生 分 別 心 耳 述 曰 花 是 非 情 亦 無 心 想 
T85n2773_001:0431a10	又是無記。何有善惡二相分別耶。故知如法	又 是 無 記 何 有 善 惡 二 相 分 別 耶 故 知 如 法 
T85n2773_001:0431a11	不如法自從心起。豈關花事　經曰。佛化所	不 如 法 自 從 心 起 豈 關 花 事 經 曰 佛 化 所 
T85n2773_001:0431a12	生吾如彼生　述曰。如來現化雖生不生。雖	生 吾 如 彼 生 述 曰 如 來 現 化 雖 生 不 生 雖 
T85n2773_001:0431a13	滅不滅。天女如佛故云彼生　經曰。如舍利	滅 不 滅 天 女 如 佛 故 云 彼 生 經 曰 如 舍 利 
T85n2773_001:0431a14	弗還為凡夫乃成佛　述曰。一證聖果更作	弗 還 為 凡 夫 乃 成 佛 述 曰 一 證 聖 果 更 作 
T85n2773_001:0431a15	凡夫。無有是處。菩提無所得也。證智無取無	凡 夫 無 有 是 處 菩 提 無 所 得 也 證 智 無 取 無 
T85n2773_001:0431a16	能得也。有佛可成。無有是處　經曰。今諸佛	能 得 也 有 佛 可 成 無 有 是 處 經 曰 今 諸 佛 
T85n2773_001:0431a17	於菩提已得當得。云何不得耶　述曰。釋迦	於 菩 提 已 得 當 得 云 何 不 得 耶 述 曰 釋 迦 
T85n2773_001:0431a18	已得。彌勒當得也。天女答云。此皆世俗文	已 得 彌 勒 當 得 也 天 女 答 云 此 皆 世 俗 文 
T85n2773_001:0431a19	字數故假名得也。真中無得。	字 數 故 假 名 得 也 真 中 無 得 
T85n2773_001:0431a20	佛道品第八	佛 道 品 第 八 
T85n2773_001:0431a21	經曰。菩薩行於非道通達佛道　述曰。六波	經 曰 菩 薩 行 於 非 道 通 達 佛 道 述 曰 六 波 
T85n2773_001:0431a22	羅蜜等是道。五逆等名非道。菩薩為方便示	羅 蜜 等 是 道 五 逆 等 名 非 道 菩 薩 為 方 便 示 
T85n2773_001:0431a23	現於五逆非道反成佛事。故云通達。已下廣	現 於 五 逆 非 道 反 成 佛 事 故 云 通 達 已 下 廣 
T85n2773_001:0431a24	明非道之相　行五無間而無惱恚　述曰。	明 非 道 之 相 行 五 無 間 而 無 惱 恚 述 曰 
T85n2773_001:0431a25	凡夫五逆要起嗔心定墮無間受大苦惱。提	凡 夫 五 逆 要 起 嗔 心 定 墮 無 間 受 大 苦 惱 提 
T85n2773_001:0431a26	婆達多等諸大菩薩助佛揚化恐怖眾生。示	婆 達 多 等 諸 大 菩 薩 助 佛 揚 化 恐 怖 眾 生 示 
T85n2773_001:0431a27	行破僧殺阿羅漢皆從悲心非因惡心。示入	行 破 僧 殺阿羅漢 皆 從 悲 心 非 因 惡 心 示 入 
T85n2773_001:0431a28	阿鼻如三禪樂　至于地獄無諸罪垢(悲願入中非因惡藥)	阿 鼻 如 三 禪 樂 至 于 地 獄 無 諸 罪 垢 悲 願 入 中 非 因 惡 藥 
T85n2773_001:0431a29	至于畜生無有無明憍慢等過　述曰。愚癡	至 于 畜 生 無 有 無 明 憍 慢 等 過 述 曰 愚 癡 
T85n2773_001:0431b01	憍慢多墮畜生。菩薩示之故無此過。至于餓	憍 慢 多 墮 畜 生 菩 薩 示 之 故 無 此 過 至 于 餓 
T85n2773_001:0431b02	鬼具足功德(無福功德生餓鬼中菩薩示現不因無福)已下同此　經	鬼 具 足 功 德 無 福 功 德 生 餓 鬼 中 菩 薩 示 現 不 因 無 福 已 下 同 此 經 
T85n2773_001:0431b03	曰　遍入諸道而斷其因緣　述曰。救度眾生	曰 遍 入 諸 道 而 斷 其 因 緣 述 曰 救 度 眾 生 
T85n2773_001:0431b04	隨形六道悲願力故非惡因緣　經曰。有身	隨 形 六 道 悲 願 力 故 非 惡 因 緣 經 曰 有 身 
T85n2773_001:0431b05	為種　述曰。此明佛種。羅什云。有漏五陰積	為 種 述 曰 此 明 佛 種 羅 什 云 有 漏 五 陰 積 
T85n2773_001:0431b06	聚名身。由此有身能行諸善。故為佛種。亦	聚 名 身 由 此 有 身 能 行 諸 善 故 為 佛 種 亦 
T85n2773_001:0431b07	可。觀身厭患發菩提心成其佛種。推末就根	可 觀 身 厭 患 發菩提心 成 其 佛 種 推 末 就 根 
T85n2773_001:0431b08	身為佛種。已下諸句義皆同此　經曰。九惱	身 為 佛 種 已 下 諸 句 義 皆 同 此 經 曰 九 惱 
T85n2773_001:0431b09	處　一愛我怨家。二憎我善友。三損害自身。	處 一 愛 我 怨 家 二 憎 我 善 友 三 損 害 自 身 
T85n2773_001:0431b10	各通三世名為九惱　經曰。誠如所言。塵勞	各 通 三 世 名 為 九 惱 經 曰 誠 如 所 言 塵 勞 
T85n2773_001:0431b11	之疇為如來種　述曰。塵勞者煩惱之總名。	之 疇 為 如 來 種 述 曰 塵 勞 者 煩 惱 之 總 名 
T85n2773_001:0431b12	塵污身心名之為塵。能令眾生生死疲倦名	塵 污 身 心 名 之 為 塵 能 令 眾 生 生 死 疲 倦 名 
T85n2773_001:0431b13	之曰勞。菩薩之人留惑潤生不出生死救度	之 曰 勞 菩 薩 之 人 留 惑 潤 生 不 出 生 死 救 度 
T85n2773_001:0431b14	眾生。當來作佛故以塵勞而為佛種。二乘之	眾 生 當 來 作 佛 故 以 塵 勞 而 為 佛 種 二 乘 之 
T85n2773_001:0431b15	輩怖畏生死斷除塵勞。既無煩惱。無物潤生。	輩 怖 畏 生 死 斷 除 塵 勞 既 無 煩 惱 無 物 潤 生 
T85n2773_001:0431b16	不得長劫在生死中救度眾生行菩薩行。當	不 得 長 劫 在 生 死 中 救 度 眾 生 行 菩 薩 行 當 
T85n2773_001:0431b17	來作佛。佛種已斷。是故經言。我等今者不復	來 作 佛 佛 種 已 斷 是 故 經 言 我 等 今 者 不 復 
T85n2773_001:0431b18	堪任發菩提心。乃至云凡夫於佛法有反覆	堪 任 發菩提心 乃 至 云 凡 夫 於 佛 法 有 反 覆 
T85n2773_001:0431b19	而聲聞無也。又云。乃至五無間罪猶能發意	而 聲 聞 無 也 又 云 乃 至 五無間罪 猶 能 發 意 
T85n2773_001:0431b20	生於佛法。而今我等不復能發　經曰。智度	生 於 佛 法 而 今 我 等 不 復 能 發 經 曰 智 度 
T85n2773_001:0431b21	菩薩母(智波羅蜜生佛身故)方便以為父(方便善巧養菩提故)法喜以為	菩 薩 母 智波羅蜜 生 佛 身 故 方 便 以 為 父 方便善巧 養 菩 提 故 法 喜 以 為 
T85n2773_001:0431b22	妻(法味充身悅樂心故)慈悲心為女(柔和善順隨人意故)善心成實男	妻 法 味 充 身 悅 樂 心 故 慈 悲 心 為 女 柔 和 善 順 隨 人 意 故 善 心 成 實 男 
T85n2773_001:0431b23	(堅固不虛丈夫性故)弟子眾塵勞隨意之所轉　菩薩以自	 堅 固 不 虛 丈 夫 性 故 弟 子 眾 塵 勞 隨 意 之 所 轉 菩 薩 以 自 
T85n2773_001:0431b24	在稱師。以塵勞而為弟子。塵勞無量故云眾	在 稱 師 以 塵 勞 而 為 弟 子 塵 勞 無 量 故 云 眾 
T85n2773_001:0431b25	也。菩薩分形六道救度眾生。暫用煩惱潤生	也 菩 薩 分 形 六 道 救 度 眾 生 暫 用 煩 惱 潤 生 
T85n2773_001:0431b26	受報用而不染。故云隨意轉也　布以七淨	受 報 用 而 不 染 故 云 隨 意 轉 也 布 以 七 淨 
T85n2773_001:0431b27	花。浴此無垢人　述曰。禪定為水洗身心。故	花 浴 此 無 垢 人 述 曰 禪 定 為 水 洗 身 心 故 
T85n2773_001:0431b28	七功德花嚴淨禪池。言七淨者。一戒淨。不毀	七 功 德 花 嚴 淨 禪 池 言 七 淨 者 一 戒 淨 不 毀 
T85n2773_001:0431b29	犯故。二心淨不染污故。三見淨。不邪見故。	犯 故 二 心 淨 不 染 污 故 三 見 淨 不 邪 見 故 
T85n2773_001:0431c01	四疑淨。心決定故。五道淨。不行邪道故。六知	四 疑 淨 心 決 定 故 五 道 淨 不 行 邪 道 故 六 知 
T85n2773_001:0431c02	見淨。證滅修道故。七涅槃淨。生死盡故。無垢	見 淨 證 滅 修 道 故 七 涅 槃 淨 生 死 盡 故 無 垢 
T85n2773_001:0431c03	所洗受禪定樂故云浴無垢人或之因浴得無	所 洗 受 禪 定 樂 故 云 浴 無 垢 人 或 之 因 浴 得 無 
T85n2773_001:0431c04	垢也　象馬五通馳(神通迅速故云馳也)迴向為大利(迴施眾生	垢 也 象 馬 五 通 馳 神 通 迅 速 故 云 馳 也 迴 向 為 大 利 迴 施 眾 生 
T85n2773_001:0431c05	功德多故)四禪為床座(安心處故)除彼不肖人癡冥無智者	功 德 多 故 四 禪 為 床 座 安 心 處 故 除 彼 不 肖 人 癡 冥 無 智 者 
T85n2773_001:0431c06	　述曰。肖猶似也子不似父母名為不肖。丹	 述 曰 肖 猶 似 也 子 不 似 父 母 名 為 不 肖 丹 
T85n2773_001:0431c07	朱不肖不堪紹繼。二乘之人不堪繼嗣。不似	朱 不 肖 不 堪 紹 繼 二 乘 之 人 不 堪 繼 嗣 不 似 
T85n2773_001:0431c08	於佛名為不肖。	於 佛 名 為 不 肖 
T85n2773_001:0431c09	入不二法門品第九	入 不二法門 品 第 九 
T85n2773_001:0431c10	經曰。垢淨不二者。對垢有淨。垢性本空。淨亦	經 曰 垢 淨 不 二 者 對 垢 有 淨 垢 性 本 空 淨 亦 
T85n2773_001:0431c11	無體。故云不二　維摩默然以明不二者。恒	無 體 故 云 不 二 維 摩 默 然 以 明 不 二 者 恒 
T85n2773_001:0431c12	沙萬法皆同一如如體。復如故無一二。言語	沙 萬 法 皆 同 一 如 如 體 復 如 故 無 一 二 言 語 
T85n2773_001:0431c13	道斷唯證相應。證亦如如。心境無二。空可言	道 斷 唯 證 相 應 證 亦 如 如 心 境 無 二 空 可 言 
T85n2773_001:0431c14	說而詮得耶。	說 而 詮 得 耶 
T85n2773_001:0431c15	經卷第三	經 卷 第 三 
T85n2773_001:0431c16	香積佛品第十	香 積 佛 品 第 十 
T85n2773_001:0431c17	述曰。此曰字音從越也。舍利發語之詞　經	述 曰 此 曰 字 音 從 越 也 舍 利 發 語 之 詞 經 
T85n2773_001:0431c18	曰。豈雜欲食而聞法乎　述曰。四食之中欲	曰 豈 雜 欲 食 而 聞 法 乎 述 曰 四 食 之 中 欲 
T85n2773_001:0431c19	界段食名為雜欲。能生貪心發染欲故　經	界 段 食 名 為 雜 欲 能 生 貪 心 發 染 欲 故 經 
T85n2773_001:0431c20	曰。十方佛國皆如虛空　述曰。無有垢淨虛	曰 十 方 佛 國 皆 如 虛 空 述 曰 無 有 垢 淨 虛 
T85n2773_001:0431c21	通無礙。故如空也　經曰。佛欲化樂小法者	通 無 礙 故 如 空 也 經 曰 佛 欲 化 樂小法者 
T85n2773_001:0431c22	不盡現其清淨土耳　述曰。二乘凡夫名小	不 盡 現 其 清 淨 土 耳 述 曰 二 乘 凡 夫 名 小 
T85n2773_001:0431c23	眾生。穢從淨起名之為現處淨難化故不現	眾 生 穢 從 淨 起 名 之 為 現 處 淨 難 化 故 不 現 
T85n2773_001:0431c24	也　經曰。無以限意食之使不消也　述曰。	也 經 曰 無 以 限 意 食 之 使 不 消 也 述 曰 
T85n2773_001:0431c25	量其多少名為限意。小不容大名不消也	量 其 多 少 名 為 限 意 小 不 容 大 名 不 消 也 
T85n2773_001:0431c26	　經曰。猶故不賜　述曰。賜猶盡也。山東呼盡	 經 曰 猶 故 不 賜 述 曰 賜 猶 盡 也 山 東 呼 盡 
T85n2773_001:0431c27	為賜　經曰。香積如來無文字說。但以眾香	為 賜 經 曰 香 積 如 來 無 文 字 說 但 以 眾 香 
T85n2773_001:0431c28	今諸天人得入律行　述曰。香者五塵之一	今 諸 天 人 得 入 律 行 述 曰 香 者 五 塵 之 一 
T85n2773_001:0431c29	數。三姓之中唯無記性。不通善惡。又無詮	數 三 姓 之 中 唯 無 記 性 不 通 善 惡 又 無 詮 
T85n2773_001:0432a01	表。六根之中鼻根取也。香積世界眾生利根	表 六 根 之 中 鼻 根 取 也 香 積 世 界 眾 生 利 根 
T85n2773_001:0432a02	不假文字音聲言語詮表善惡。但聞香氣便	不 假 文字音聲 言 語 詮 表 善 惡 但 聞 香 氣 便 
T85n2773_001:0432a03	能入證即皆獲得德藏三昧。此之三昧具恒	能 入 證 即 皆 獲 得 德 藏 三 昧 此 之 三 昧 具 恒 
T85n2773_001:0432a04	沙功德名為德藏　經曰。此土眾生剛強難	沙 功 德 名 為 德 藏 經 曰 此 土 眾 生 剛 強 難 
T85n2773_001:0432a05	化。說苦切之言方能發心。是地獄是畜生是	化 說 苦 切 之 言 方 能 發 心 是 地 獄 是 畜 生 是 
T85n2773_001:0432a06	餓鬼(三惡道也)是難處(八難處也)是愚人生處(邊地下賤)又此土	餓 鬼 三 惡 道 也 是 難 處 八 難 處 也 是 愚 人 生 處 邊 地 下 賤 又 此 土 
T85n2773_001:0432a07	音聲亦五塵之一數。通其善惡有其詮表成	音 聲 亦 五 塵 之 一 數 通 其 善 惡 有 其 詮 表 成 
T85n2773_001:0432a08	其語業。此土鈍根要須語業。言詞懇切方能	其 語 業 此 土 鈍 根 要 須 語 業 言 詞 懇 切 方 能 
T85n2773_001:0432a09	教化。又此土聲香增染長罪。淨土聲香皆為	教 化 又 此 土 聲 香 增 染 長 罪 淨 土 聲 香 皆 為 
T85n2773_001:0432a10	佛事。如水鳥樹林皆能說法入聞香律　經	佛 事 如 水 鳥 樹 林 皆 能 說 法 入 聞 香 律 經 
T85n2773_001:0432a11	曰。斯諸菩薩亦能勞謙。無量大悲生是佛土。	曰 斯 諸 菩 薩 亦 能 勞 謙 無 量 大 悲 生 是 佛 土 
T85n2773_001:0432a12	述曰。勞者疲勞。謙者謙讓。於此土中行菩	述 曰 勞 者 疲 勞 謙 者 謙 讓 於 此 土 中 行 菩 
T85n2773_001:0432a13	薩行大須疲勞。忍受諸苦。我慢多故大須謙	薩 行 大 須 疲 勞 忍 受 諸 苦 我 慢 多 故 大 須 謙 
T85n2773_001:0432a14	讓。娑婆世界此名忍土。乃至世尊六年苦行	讓 娑婆世界 此 名 忍 土 乃 至 世 尊 六 年 苦 行 
T85n2773_001:0432a15	成佛已後猶更忍受十種殘報。金鏘馬麥如	成 佛 已 後 猶 更 忍 受 十 種 殘 報 金 鏘 馬 麥 如 
T85n2773_001:0432a16	餘處說。	餘 處 說 
T85n2773_001:0432a17	菩薩行品第十一	菩 薩 行 品 第 十 一 
T85n2773_001:0432a18	經曰。此飯勢力至于七日然後乃消　述曰。	經 曰 此 飯 勢 力 至 于 七 日 然 後 乃 消 述 曰 
T85n2773_001:0432a19	理而言之。此出世解脫之飯消之早晚何有	理 而 言 之 此 出 世 解 脫 之 飯 消 之 早 晚 何 有 
T85n2773_001:0432a20	定限。隨順世間且言七日。故次下文云若聲	定 限 隨順世間 且 言 七 日 故 次 下 文 云 若 聲 
T85n2773_001:0432a21	聞人未入正位飯即未消得入正位然後乃消	聞 人 未 入 正 位 飯 即 未 消 得 入 正 位 然 後 乃 消 
T85n2773_001:0432a22	等准此　經文故無定限。言正位者證果之	等 准 此 經 文 故 無 定 限 言 正 位 者 證 果 之 
T85n2773_001:0432a23	位也　經曰。或有佛土。以佛光明而作佛事	位 也 經 曰 或 有 佛 土 以 佛 光 明 而 作 佛 事 
T85n2773_001:0432a24	(見光觸身發心入證)有以菩薩而作佛事(他方淨土無聲聞眾見菩薩而能入證)	 見 光 觸 身 發 心 入 證 有 以 菩 薩 而 作 佛 事 他 方 淨 土 無 聲 聞 眾 見 菩 薩 而 能 入 證 
