X30n0602_001:0276a06	 妙法蓮華經解序	 妙法蓮華 經 解 序 
X30n0602_007:0350c21	華嚴與菩薩所從來國表所行之行。本所事佛表	華 嚴 與 菩 薩 所 從 來 國 表 所 行 之 行 本 所 事 佛 表 
X30n0602_007:0350c22	所證之果。淨光莊嚴即依智之行也。淨華宿智即	所 證 之 果 淨 光 莊 嚴 即 依 智 之 行 也 淨 華 宿 智 即 
X30n0602_007:0350c23	依行之智也。智行互嚴因果合體。妙音妙行依此	依 行 之 智 也 智 行 互 嚴 因 果 合 體 妙 音 妙 行 依 此 
X30n0602_007:0350c24	示現。△二妙音玄應七。初經家敘德。	示 現 二 妙 音 玄 應 七 初 經 家 敘 德 
X30n0602_007:0351a01	爾時一切淨光莊嚴國中(至)諸大三昧。	爾 時 一 切 淨 光 莊 嚴 國 中 至 諸 大 三 昧 
X30n0602_007:0351a02	植德供佛成就深智。言福慧兩足。三昧此云正定。	植 德 供 佛 成 就 深 智 言 福 慧 兩 足 三 昧 此 云 正 定 
X30n0602_007:0351a03	圓覺云。三昧正受者。謂正定中受用之法簡異邪	圓 覺 云 三 昧 正 受 者 謂 正 定 中 受 用 之 法 簡 異 邪 
X30n0602_007:0351a04	受。非謂梵語三昧此云正受也。故寶積云三昧及	受 非 謂 梵 語 三 昧 此 云 正 受 也 故 寶 積 云 三 昧 及 
X30n0602_007:0351a05	正受。妙幢相者。摧邪表正而不住相也。法華三昧	正 受 妙 幢 相 者 摧 邪 表 正 而 不 住 相 也 法華三昧 
X30n0602_007:0351a06	深入一乘證諸實相。淨德三昧眾德真淨物莫能	深 入 一 乘 證 諸 實 相 淨 德 三 昧 眾 德 真 淨 物 莫 能 
X30n0602_007:0351a07	染。宿王戲者本智自在無所滯著。無緣則照而常	染 宿 王 戲 者 本 智 自 在 無 所 滯 著 無 緣 則 照 而 常 
X30n0602_007:0351a08	寂。智印參合萬法。解一切語言謂了皆真說。集一	寂 智 印 參 合 萬 法 解 一 切 語 言 謂 了 皆 真 說 集 一 
X30n0602_007:0351a09	切功德謂萬德圓備。清淨三昧纖塵不立。神通遊	切 功 德 謂 萬 德 圓 備 清 淨 三 昧 纖 塵 不 立 神 通 遊 
X30n0602_007:0351a10	戲變現自在。慧炬以能破癡暗。莊嚴王以總攝妙	戲 變 現 自 在 慧 炬 以 能 破 癡 暗 莊 嚴 王 以 總 攝 妙 
X30n0602_007:0351a11	行。淨光明者得妙智明。淨藏者得法眼藏。不共謂	行 淨 光 明 者 得 妙 智 明 淨 藏 者 得 法 眼 藏 不 共 謂 
X30n0602_007:0351a12	二乘不及。日旋則大千圓照。得如是等河沙三昧。	二 乘 不 及 日 旋 則 大 千 圓 照 得 如 是 等 河 沙 三 昧 
X30n0602_007:0351a13	謂交徹融攝重重無盡。皆妙音所具也。由具此故	謂 交 徹 融 攝 重 重 無 盡 皆 妙 音 所 具 也 由 具 此 故 
X30n0602_007:0351a14	能成妙行流通妙法。△二妙音發迹二。初白彼	能 成 妙 行 流 通 妙 法 二 妙 音 發 迹 二 初 白 彼 
X30n0602_007:0351a15	佛。	佛 
X30n0602_007:0351a16	釋迦牟尼佛光照其身(至)藥上菩薩。	釋 迦 牟 尼 佛 光 照 其 身 至 藥 上 菩 薩 
X30n0602_007:0351a17	此皆靈山法眾。	此 皆 靈 山 法 眾 
X30n0602_007:0351a18	爾時淨華宿王智佛(至)如來功德智慧莊嚴。	爾 時 淨華宿王智 佛 至 如 來 功 德 智慧莊嚴 
X30n0602_007:0351a19	娑婆佛身乃隱勝現劣。比光嚴勝身。在分別心遂	娑 婆 佛 身 乃 隱 勝 現 劣 比 光 嚴 勝 身 在 分 別 心 遂 
X30n0602_007:0351a20	生劣想。如來正見本絕異同。故宿王以彼此異迹	生 劣 想 如 來 正 見 本 絕 異 同 故 宿 王 以 彼 此 異 迹 
X30n0602_007:0351a21	為告。而妙音以如來三德而答。示無劣想也。三德	為 告 而 妙 音 以 如 來 三 德 而 答 示 無 劣 想 也 三 德 
X30n0602_007:0351a22	皆稱如來者。謂今我所往其力用其神變其莊嚴。	皆 稱 如 來 者 謂 今 我 所 往 其 力 用 其 神 變 其 莊 嚴 
X30n0602_007:0351a23	皆假如來之德。皆出如實之道。則於一切法無不	皆 假 如 來 之 德 皆 出 如 實 之 道 則 於一切法 無 不 
X30n0602_007:0351a24	如矣。何復勝劣之異哉。是以現種種形說種種法。	如 矣 何 復 勝 劣 之 異 哉 是 以 現種種形 說 種 種 法 
X30n0602_007:0351b01	而於神通智慧無所損減。為如故也。△二現此瑞。	而 於 神 通 智 慧 無 所 損 減 為 如 故 也 二 現 此 瑞 
X30n0602_007:0351b02	於是妙音菩薩不起於座(至)甄叔迦寶以為其臺。	於 是 妙 音 菩 薩 不 起 於 座 至 甄 叔 迦 寶 以 為 其 臺 
X30n0602_007:0351b03	將與八萬菩薩俱共發來。故先現此瑞。甄叔迦此	將 與 八 萬 菩 薩 俱 共 發 來 故 先 現 此 瑞 甄 叔 迦 此 
X30n0602_007:0351b04	云鸚鵡寶。赤如其觜故。△三文殊問瑞。	云 鸚 鵡 寶 赤 如 其 觜 故 三 文 殊 問 瑞 
X30n0602_007:0351b05	爾時文殊師法王子(至)甄叔迦寶以為其臺。	爾 時 文 殊 師 法 王 子 至 甄 叔 迦 寶 以 為 其 臺 
X30n0602_007:0351b06	此皆行境依智示現。故假文殊智體而問。△四釋	此 皆 行 境 依 智 示 現 故 假 文 殊 智 體 而 問 四 釋 
X30n0602_007:0351b07	尊垂答。	尊 垂 答 
X30n0602_007:0351b08	爾時釋迦牟尼佛(至)亦欲供養聽法華經。	爾 時 釋 迦 牟 尼 佛 至 亦 欲 供 養 聽 法 華 經 
X30n0602_007:0351b09	△五文殊願見。	 五 文 殊 願 見 
X30n0602_007:0351b10	文殊師利白佛言(至)彼菩薩來令我得見。	文 殊 師 利 白 佛 言 至 彼 菩 薩 來 令 我 得 見 
X30n0602_007:0351b11	請問之辭皆為機發。△六多寶為現。	請 問 之 辭 皆 為 機 發 六 多 寶 為 現 
X30n0602_007:0351b12	爾時釋迦牟尼佛(至)欲見汝身。	爾 時 釋 迦 牟 尼 佛 至 欲 見 汝 身 
X30n0602_007:0351b13	文殊願世尊以神通力為現妙音。而世尊反命多	文 殊 願 世 尊 以 神 通 力 為 現 妙 音 而 世 尊 反 命 多 
X30n0602_007:0351b14	寶者。多寶以神通願力在處證經。欲假其神通願	寶 者 多 寶 以 神 通 願 力 在 處 證 經 欲 假 其 神 通 願 
X30n0602_007:0351b15	力故也。△七妙音來覲。	力 故 也 七 妙 音 來 覲 
X30n0602_007:0351b16	於時妙音菩薩於彼國沒(至)百千天樂不鼓自鳴。	於 時 妙 音 菩 薩 於 彼 國 沒 至 百 千 天 樂 不 鼓 自 鳴 
X30n0602_007:0351b17	與八萬四千菩薩俱來者。示妙行隨應廣化塵勞	與 八萬四千 菩 薩 俱 來 者 示 妙 行 隨 應 廣 化 塵 勞 
X30n0602_007:0351b18	也。蓮華徧雨天樂自鳴。表妙行隨處示現妙音離	也 蓮 華 徧 雨 天 樂 自 鳴 表 妙 行 隨 處 示 現 妙 音 離 
X30n0602_007:0351b19	於作意。	於 作 意 
X30n0602_007:0351b20	是菩薩目(至)如那羅延堅固之身。	是 菩 薩 目 至 如 那 羅 延 堅 固 之 身 
X30n0602_007:0351b21	此言其四萬二千由旬之相好也。和合猶聚集也。	此 言 其 四 萬 二 千 由 旬 之 相 好 也 和 合 猶 聚 集 也 
X30n0602_007:0351b22	肇法師云。那羅延天力士名。端正殊妙志力雄猛。	肇 法 師 云 那 羅 延 天 力 士 名 端 正 殊 妙 志 力 雄 猛 
X30n0602_007:0351b23	入七寶臺上昇虗空(至)頭面禮足奉上瓔珞。	入 七 寶 臺 上 昇 虗 空 至 頭面禮足 奉 上 瓔 珞 
X30n0602_007:0351b24	示以法寶莊嚴法身。	示 以 法 寶 莊 嚴 法 身 
X30n0602_007:0351c01	而白佛言(至)眾生能降伏諸魔怨不。	而 白 佛 言 至 眾 生 能 降 伏 諸 魔 怨 不 
X30n0602_007:0351c02	問示居堪忍事也。貪恚癡慢等皆堪忍難度之事。	問 示 居 堪 忍 事 也 貪 恚 癡 慢 等 皆 堪 忍 難 度 之 事 
X30n0602_007:0351c03	五情言五欲。諸魔言五陰。	五 情 言 五 欲 諸 魔 言 五 陰 
X30n0602_007:0351c04	久滅度多寶如來(至)堪忍久住不。	久 滅 度 多 寶 如 來 至 堪 忍 久 住 不 
X30n0602_007:0351c05	上皆宿王傳問之辭。	上 皆 宿 王 傳 問 之 辭 
X30n0602_007:0351c06	世尊。我今欲見多寶佛身(至)故來至此。	世 尊 我 今 欲 見 多 寶 佛 身 至 故 來 至 此 
X30n0602_007:0351c07	寶塔高遠仗佛求見。表尊敬耳。佛於囑累品。從法	寶 塔 高 遠 仗 佛 求 見 表 尊 敬 耳 佛 於 囑 累 品 從 法 
X30n0602_007:0351c08	座起時已出塔。故云多寶佛塔還可如故。舊謂二	座 起 時 已 出 塔 故 云 多 寶 佛 塔 還 可 如 故 舊 謂 二 
X30n0602_007:0351c09	佛至此尚同座。而妙音能見釋迦不見多寶。徒搆	佛 至 此 尚 同 座 而 妙 音 能 見 釋 迦 不 見 多 寶 徒 搆 
X30n0602_007:0351c10	疑難。△三華德問因。	疑 難 三 華 德 問 因 
X30n0602_007:0351c11	爾時華德菩薩白佛言(至)有是神力。	爾 時 華 德 菩 薩 白 佛 言 至 有 是 神 力 
X30n0602_007:0351c12	華德即妙莊嚴王後身。欲助揚妙因故發此問。△	華 德 即 妙 莊 嚴 王 後 身 欲 助 揚 妙 因 故 發 此 問 
X30n0602_007:0351c13	四釋尊答示五。初敘往因。	四 釋 尊 答 示 五 初 敘 往 因 
X30n0602_007:0351c14	佛告華德菩薩(至)劫名喜見。	佛 告 華 德 菩 薩 至 劫 名 喜 見 
X30n0602_007:0351c15	佛名雲雷音者。一音利潤開覺群動也。國名現一	佛 名 雲 雷 音 者 一 音 利 潤 開 覺 群 動 也 國 名 現 一 
X30n0602_007:0351c16	切世間。若根身器界皆能隨應也。劫名依上而立。	切 世 間 若 根 身 器 界 皆 能 隨 應 也 劫 名 依 上 而 立 
X30n0602_007:0351c17	由利潤隨應故時眾喜見。	由 利 潤 隨 應 故 時 眾 喜 見 
X30n0602_007:0351c18	妙音菩薩於萬二千歲(至)有是神力。	妙 音 菩 薩 於 萬 二 千 歲 至 有 是 神 力 
X30n0602_007:0351c19	樂宣法皆。鉢為應器。樂獻十萬種伎者。示欲廣宣	樂 宣 法 皆 鉢 為 應 器 樂 獻 十 萬 種 伎 者 示 欲 廣 宣 
X30n0602_007:0351c20	妙法也。鉢奉八萬四千者。示欲應化塵勞也。故今	妙 法 也 鉢 奉 八萬四千 者 示 欲 應 化 塵 勞 也 故 今 
X30n0602_007:0351c21	果有妙音隨應之神。△二顯今迹。	果 有 妙 音 隨 應 之 神 二 顯 今 迹 
X30n0602_007:0351c22	華德於汝意云何(至)今此妙音菩薩摩訶薩是。	華 德 於汝意云何 至 今 此 妙 音 菩薩摩訶薩 是 
X30n0602_007:0351c23	△三明德本。	 三 明 德 本 
X30n0602_007:0351c24	華德是妙音菩薩(至)百千萬億那由他佛。	華 德 是 妙 音 菩 薩 至 百 千 萬 億 那 由 他 佛 
X30n0602_007:0352a01	△四明應化二。初總舉。	 四 明 應 化 二 初 總 舉 
X30n0602_007:0352a02	華德汝但見妙音菩薩(至)說是經典。	華 德 汝 但 見 妙 音 菩 薩 至 說 是 經 典 
X30n0602_007:0352a03	△二別明二。初略敘。	 二 別 明 二 初 略 敘 
X30n0602_007:0352a04	妙音觀音應化應化皆能現十界。身自天人獄鬼	妙 音 觀 音 應 化 應 化 皆 能 現 十 界 身 自 天 人 獄 鬼 
X30n0602_007:0352a05	畜修羅名六凡。聲聞辟支菩薩佛名四聖。是為十	畜 修 羅 名 六 凡 聲 聞 辟 支 菩 薩 佛 名 四 聖 是 為 十 
X30n0602_007:0352a06	界。△二隨釋。二初應六凡眾八。初應諸天眾。	界 二 隨 釋 二 初 應 六 凡 眾 八 初 應 諸 天 眾 
X30n0602_007:0352a07	或現梵王身(至)或現毗沙門天王身。	或 現 梵 王 身 至 或 現 毗 沙 門 天 王 身 
X30n0602_007:0352a08	△二應王臣士庶。	 二 應 王 臣 士 庶 
X30n0602_007:0352a09	或現轉輪聖王身(至)或現婆羅門身。	或 現 轉輪聖王 身 至 或 現 婆 羅 門 身 
X30n0602_007:0352a10	△三應入道四眾。	 三 應 入 道 四 眾 
X30n0602_007:0352a11	或現比丘比丘尼優婆塞優婆夷身。	或 現 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 身 
X30n0602_007:0352a12	△四應主婦童真。	 四 應 主 婦 童 真 
X30n0602_007:0352a13	或現長者居士婦女身(至)或現童男童女身。	或 現 長 者 居 士 婦 女 身 至 或 現 童 男 童 女 身 
X30n0602_007:0352a14	△五應八部類。	 五 應 八 部 類 
X30n0602_007:0352a15	或現天龍夜叉(至)而說是經。	或 現 天 龍 夜 叉 至 而 說 是 經 
X30n0602_007:0352a16	△六應三惡趣。	 六 應 三 惡 趣 
X30n0602_007:0352a17	諸有地獄餓鬼畜生及眾難處。皆能救濟。	諸 有 地 獄 餓 鬼 畜 生 及 眾 難 處 皆 能 救 濟 
X30n0602_007:0352a18	諸應皆言現身說經。獨於惡趣不言者。惡趣方沈	諸 應 皆 言 現 身 說 經 獨 於 惡 趣 不 言 者 惡 趣 方 沈 
X30n0602_007:0352a19	幽昏無由聞經。但以神力救濟而已。△七應宮禁等。	幽 昏 無 由 聞 經 但 以 神 力 救 濟 而 已 七 應 宮 禁 等 
X30n0602_007:0352a20	乃至於王後宮變為女身。而說是經。	乃 至 於 王 後 宮 變 為 女 身 而 說 是 經 
X30n0602_007:0352a21	△八牒前廣顯。	 八 牒 前 廣 顯 
X30n0602_007:0352a22	華德是妙音菩薩(至)亦復如是。	華 德 是 妙 音 菩 薩 至 亦復如是 
X30n0602_007:0352a23	此有三節。初牒在此娑婆救濟。二牒神變智照之	此 有 三 節 初 牒 在 此 娑 婆 救 濟 二 牒 神 變 智 照 之 
X30n0602_007:0352a24	功。三牒此方如是十方亦然。是謂廣顯也。言種種	功 三 牒 此 方 如 是 十 方 亦 然 是 謂 廣 顯 也 言 種 種 
X30n0602_007:0352b01	變化而神智無損者。前所謂得如來三德能一切	變 化 而 神 智 無 損 者 前 所 謂 得 如 來 三 德 能 一 切 
X30n0602_007:0352b02	如故也。言智慧明照者。方便開導也。各得所知者。	如 故 也 言 智 慧 明 照 者 方 便 開 導 也 各 得 所 知 者 
X30n0602_007:0352b03	隨類各解也。△二應四聖位。	隨 類 各 解 也 二 應 四 聖 位 
X30n0602_007:0352b04	若應以聲聞形得度者(至)示現滅度。	若 應 以 聲 聞 形 得 度 者 至 示 現 滅 度 
X30n0602_007:0352b05	△五總結答。	 五 總 結 答 
X30n0602_007:0352b06	華德妙音菩薩摩訶薩(至)其事如是。	華 德 妙 音 菩薩摩訶薩 至 其 事 如 是 
X30n0602_007:0352b07	△五請問三昧。	 五 請 問 三 昧 
X30n0602_007:0352b08	爾時華德菩薩白佛言(至)度脫眾生。	爾 時 華 德 菩 薩 白 佛 言 至 度 脫 眾 生 
X30n0602_007:0352b09	△六佛答所問。	 六 佛 答 所 問 
X30n0602_007:0352b10	佛告華德菩薩(至)能如是饒益無量眾生。	佛 告 華 德 菩 薩 至 能 如 是 饒 益 無 量 眾 生 
X30n0602_007:0352b11	如淨摩尼隨方現色。妙行流通期至於此。△七大	如 淨 摩 尼 隨 方 現 色 妙 行 流 通 期 至 於 此 七 大 
X30n0602_007:0352b12	根同證。	根 同 證 
X30n0602_007:0352b13	說是妙音菩薩品時(至)亦得三昧及陀羅尼。	說 是 妙 音 菩 薩 品 時 至 亦 得 三 昧 及 陀 羅 尼 
X30n0602_007:0352b14	及解一切語言陀羅尼也。諸菩薩皆具體而微者。	及 解 一 切 語 言 陀 羅 尼 也 諸 菩 薩 皆 具 體 而 微 者 
X30n0602_007:0352b15	故因說是品皆得發明。△八妙音還歸。	故 因 說 是 品 皆 得 發 明 八 妙 音 還 歸 
X30n0602_007:0352b16	爾時妙音菩薩摩訶薩(至)作百千萬億種種伎樂。	爾 時 妙 音 菩薩摩訶薩 至 作 百 千 萬 億 種 種 伎 樂 
X30n0602_007:0352b17	於彼發來所經亦爾。示來往經行不離是道。	於 彼 發 來 所 經 亦 爾 示 來 往 經 行 不 離 是 道 
X30n0602_007:0352b18	既到本國(至)得現一切色身三昧。	既 到 本 國 至 得 現一切色身 三 昧 
X30n0602_007:0352b19	菩薩舉措自他兼利。△九聞品成行。	菩 薩 舉 措 自 他 兼 利 九 聞 品 成 行 
X30n0602_007:0352b20	說是妙音菩薩來往品時(至)華德菩薩得法華三昧。	說 是 妙 音 菩 薩 來 往 品 時 至 華 德 菩 薩 得 法華三昧 
X30n0602_007:0352b21	無生法忍者。證妙法之體。法華三昧者。得實相之	無生法忍 者 證 妙 法 之 體 法華三昧 者 得 實 相 之 
X30n0602_007:0352b22	用。此所謂以妙行成實相之德。	用 此 所 謂 以 妙 行 成 實 相 之 德 
X30n0602_007:0352b23	妙法蓮華經觀世音菩薩普門品第二十五	妙法蓮華 經 觀 世 音 菩 薩 普 門 品 第 二 十 五 
X30n0602_007:0352b24	△五圓行流通二。初略敘科儀。	 五 圓 行 流 通 二 初 略 敘 科 儀 
X30n0602_007:0352c01	單發為聲。雜比為音。於世間眾苦襍聲齊觀並救。	單 發 為 聲 雜 比 為 音 於 世 間 眾 苦 襍 聲 齊 觀 並 救 
X30n0602_007:0352c02	號觀世音妙圓之行。自一心出應無不徧。號曰普	號 觀 世 音 妙 圓 之 行 自 一 心 出 應 無 不 徧 號 曰 普 
X30n0602_007:0352c03	門。此繼前品說者。妙音現形說法救濟眾難。與觀	門 此 繼 前 品 說 者 妙 音 現 形 說 法 救 濟 眾 難 與 觀 
X30n0602_007:0352c04	音無異。但略而未普妙而未圓。觀音不離是行。而	音 無 異 但 略 而 未 普 妙 而 未 圓 觀 音 不 離 是 行 而 
X30n0602_007:0352c05	能觀其音聲隨響而答。大千圓應無去來相。所謂	能 觀 其 音 聲 隨 響 而 答 大 千 圓 應 無 去 來 相 所 謂 
X30n0602_007:0352c06	自在之業普門示現則進於妙音。其實二聖一道	自 在 之 業 普 門 示 現 則 進 於 妙 音 其 實 二 聖 一 道 
X30n0602_007:0352c07	相為始終耳。故後頌觀音之德而兼云妙音。是知	相 為 始 終 耳 故 後 頌 觀 音 之 德 而 兼 云 妙 音 是 知 
X30n0602_007:0352c08	二聖一道也。即妙音之行而演為普門。是知相為	二 聖 一 道 也 即 妙 音 之 行 而 演 為 普 門 是 知 相 為 
X30n0602_007:0352c09	始終也。夫欲體前之法須兼二行。從妙而普有始	始 終 也 夫 欲 體 前 之 法 須 兼 二 行 從 妙 而 普 有 始 
X30n0602_007:0352c10	有終然後圓備。故繼妙音說普門品。為圓行流通。	有 終 然 後 圓 備 故 繼 妙 音 說 普 門 品 為 圓 行 流 通 
X30n0602_007:0352c11	文殊於華嚴會終現法化已。南歷人間說普照法	文 殊 於 華 嚴 會 終 現 法 化 已 南 歷 人 間 說 普 照 法 
X30n0602_007:0352c12	界修多羅門。所以圓彰前法體用。善財歷百城已	界 修 多 羅 門 所 以 圓 彰 前 法 體 用 善 財 歷 百 城 已 
X30n0602_007:0352c13	到普門國。成就阿僧祇法門。遂能於諸有中普現	到 普 門 國 成 就 阿 僧 祇 法 門 遂 能 於 諸 有 中 普 現 
X30n0602_007:0352c14	其身。斯皆以行成德使圓而普也。觀彼設法次序	其 身 斯 皆 以 行 成 德 使 圓 而 普 也 觀 彼 設 法 次 序 
X30n0602_007:0352c15	名義。與此宛同。△二依科正解十。初無盡發問。	名 義 與 此 宛 同 二 依 科 正 解 十 初 無 盡 發 問 
X30n0602_007:0352c16	爾時無盡意菩薩(至)以何因緣名觀世音。	爾 時 無 盡 意 菩 薩 至 以何因緣 名 觀 世 音 
X30n0602_007:0352c17	將顯普門而因無盡意發起者。表普門圓行應現	將 顯 普 門 而 因 無 盡 意 發 起 者 表 普 門 圓 行 應 現 
X30n0602_007:0352c18	無盡也。若愚讚云。世界無邊塵擾擾。眾生無數業	無 盡 也 若 愚 讚 云 世 界 無 邊 塵 擾 擾 眾 生 無 數 業 
X30n0602_007:0352c19	茫茫。愛河無底浪滔滔。是故我名無盡意。觀音之	茫 茫 愛 河 無 底 浪 滔 滔 是 故 我 名 無 盡 意 觀 音 之 
X30n0602_007:0352c20	行亦若是矣。△二佛答名緣二。初答總相。	行 亦 若 是 矣 二 佛 答 名 緣 二 初 答 總 相 
X30n0602_007:0352c21	從此至受持名字。名十四無畏功德。	從 此 至 受 持 名 字 名 十 四 無 畏 功 德 
X30n0602_007:0352c22	佛告無盡意菩薩(至)皆得解脫。	佛 告 無 盡 意 菩 薩 至 皆 得 解 脫 
X30n0602_007:0352c23	此於眾苦襍聲齊觀並救也。於音言觀者。以觀智	此 於 眾 苦 襍 聲 齊 觀 並 救 也 於 音 言 觀 者 以 觀 智 
X30n0602_007:0352c24	應物之謂。觀即真觀淨觀智慧慈悲是也。觀觀之	應 物 之 謂 觀 即 真 觀 淨 觀 智慧慈悲 是 也 觀 觀 之 
X30n0602_007:0353a01	體聞聞之性。本無苦樂。眾生不能返聞。循聲流轉	體 聞 聞 之 性 本 無 苦 樂 眾 生 不 能 返 聞 循 聲 流 轉 
X30n0602_007:0353a02	故受諸苦惱。觀音不隨聲塵妄起知見故一切解	故 受諸苦惱 觀 音 不 隨 聲 塵 妄 起 知 見 故 一 切 解 
X30n0602_007:0353a03	脫。而令苦眾生持其名。蒙其觀者亦得解脫。實真	脫 而 令 苦 眾 生 持 其 名 蒙 其 觀 者 亦 得 解 脫 實 真 
X30n0602_007:0353a04	淨慈悲觀力加被故也。昔琳法師稱名七日而免	淨 慈 悲 觀 力 加 被 故 也 昔 琳 法 師 稱 名 七 日 而 免 
X30n0602_007:0353a05	難於唐。孫敬德誦經千徧而全生於魏。即脫諸苦	難 於 唐 孫 敬 德 誦 經 千 徧 而 全 生 於 魏 即 脫 諸 苦 
X30n0602_007:0353a06	惱之驗也。△二答別相三。初脫外業五。初脫三	惱 之 驗 也 二 答 別 相 三 初 脫 外 業 五 初 脫 三 
X30n0602_007:0353a07	災。	災 
X30n0602_007:0353a08	若有持是觀世音菩薩名者(至)名觀世音。	若 有 持 是 觀 世 音 菩 薩 名 者 至 名 觀 世 音 
X30n0602_007:0353a09	楞嚴明十四無畏功德。一者由我不自觀音以觀	楞 嚴 明 十 四 無 畏 功 德 一 者 由 我 不 自 觀 音 以 觀 
X30n0602_007:0353a10	觀者。令苦眾生觀其音聲即得解脫。夫不自觀音	觀 者 令 苦 眾 生 觀 其 音 聲 即 得 解 脫 夫 不 自 觀 音 
X30n0602_007:0353a11	以觀觀者。即離塵復性之真觀也。離塵復性則諸	以 觀 觀 者 即 離 塵 復 性 之 真 觀 也 離 塵 復 性 則 諸 
X30n0602_007:0353a12	妄自脫。故能令苦眾生蒙我真觀即得解脫。二者	妄 自 脫 故 能 令 苦 眾 生 蒙 我 真 觀 即 得 解 脫 二 者 
X30n0602_007:0353a13	知見旋復則火不能燒。三者觀聽旋復則水不能	知 見 旋 復 則 火 不 能 燒 三 者 觀 聽 旋 復 則 水 不 能 
X30n0602_007:0353a14	溺。葢見覺屬火聞聽屬水。知見旋則離火塵。聞聽	溺 葢 見 覺 屬 火 聞 聽 屬 水 知 見 旋 則 離 火 塵 聞 聽 
X30n0602_007:0353a15	旋則離水塵。幻塵既離真性斯復。所以無能燒溺	旋 則 離 水 塵 幻 塵 既 離 真 性 斯 復 所 以 無 能 燒 溺 
X30n0602_007:0353a16	也。能旋見聽則煩惱之火貪愛之水皆無能燒溺	也 能 旋 見 聽 則 煩 惱 之 火 貪 愛 之 水 皆 無 能 燒 溺 
X30n0602_007:0353a17	矣。四者滅妄斷殺則鬼不能害。皆由離塵復性之	矣 四 者 滅 妄 斷 殺 則 鬼 不 能 害 皆 由 離 塵 復 性 之 
X30n0602_007:0353a18	觀力加被也。昔于相國問黑風漂墮之義於紫玉。	觀 力 加 被 也 昔 于 相 國 問 黑 風 漂 墮 之 義 於 紫 玉 
X30n0602_007:0353a19	玉呼名諷之。公悖然變色。玉曰。便是黑風漂墮。則	玉 呼 名 諷 之 公 悖 然 變 色 玉 曰 便 是 黑 風 漂 墮 則 
X30n0602_007:0353a20	凡不能離塵循聲流轉。一念漂墮皆如是也。△二	凡 不 能 離 塵 循 聲 流 轉 一 念 漂 墮 皆 如 是 也 二 
X30n0602_007:0353a21	脫刑戮。	脫 刑 戮 
X30n0602_007:0353a22	若復有人臨當被害(至)而得解脫。	若 復 有 人 臨 當 被 害 至 而 得 解 脫 
X30n0602_007:0353a23	此由菩薩以六根消復。同於聲聽之力。加之以同	此 由 菩 薩 以 六 根 消 復 同 於 聲 聽 之 力 加 之 以 同 
X30n0602_007:0353a24	聲聽無復形礙。故使刀兵猶割水吹光。性無損動。	聲 聽 無 復 形 礙 故 使 刀 兵 猶 割 水 吹 光 性 無 損 動 
X30n0602_007:0353b01	△三脫鬼害。	 三 脫 鬼 害 
X30n0602_007:0353b02	若三千大千國土滿中夜叉(至)況復加害。	若 三千大千國土 滿 中 夜 叉 至 況 復 加 害 
X30n0602_007:0353b03	此假聞熏精明之力。爍諸癡暗故鬼不能視。斷滅	此 假 聞 熏 精 明 之 力 爍 諸 癡 暗 故 鬼 不 能 視 斷 滅 
X30n0602_007:0353b04	妄想心無殺害。故害不能加。△四脫囚繫。	妄 想 心 無 殺 害 故 害 不 能 加 四 脫 囚 繫 
X30n0602_007:0353b05	設復有人若有罪若無罪(至)皆悉斷壞即得解脫。	設 復 有 人 若 有 罪 若 無 罪 至 皆 悉 斷 壞 即 得 解 脫 
X30n0602_007:0353b06	此由音性圓消離諸塵妄之力加之。塵妄既離則	此 由 音 性 圓 消 離 諸 塵 妄 之 力 加 之 塵 妄 既 離 則 
X30n0602_007:0353b07	身相不有。故枷鎻自脫。△五脫怨賊。	身 相 不 有 故 枷 鎻 自 脫 五 脫 怨 賊 
X30n0602_007:0353b08	若三千大千國土滿中怨賊(至)稱其名故即得解脫。	若 三千大千國土 滿 中 怨 賊 至 稱 其 名 故 即 得 解 脫 
X30n0602_007:0353b09	此由滅音圓聞徧生慈力加之。葢因聞兩立則物	此 由 滅 音 圓 聞 徧 生 慈 力 加 之 葢 因 聞 兩 立 則 物 
X30n0602_007:0353b10	我成敵。滅音圓聞則內外無待。故能徧慈而却敵也。	我 成 敵 滅 音 圓 聞 則 內 外 無 待 故 能 徧 慈 而 却 敵 也 
X30n0602_007:0353b11	無盡意。觀世音菩薩摩訶薩威神之力巍巍如是。	無 盡 意 觀 世 音 菩薩摩訶薩 威 神 之 力 巍 巍 如 是 
X30n0602_007:0353b12	結外業也。△二脫內業三。初婬。	結 外 業 也 二 脫 內 業 三 初 婬 
X30n0602_007:0353b13	若有眾生多於婬欲(至)便得離慾。	若 有 眾 生 多 於 婬 欲 至 便 得 離 慾 
X30n0602_007:0353b14	此由熏聞離塵色所不劫之力加之。葢眾生以欲	此 由 熏 聞 離 塵 色 所 不 劫 之 力 加 之 葢 眾 生 以 欲 
X30n0602_007:0353b15	習合塵故為色劫。一蒙妙力則欲愛乾枯根境而	習 合 塵 故 為 色 劫 一 蒙 妙 力 則 欲 愛 乾 枯 根 境 而 
X30n0602_007:0353b16	不偶。雖有妖色不能劫動。故便得離慾。△二恚。	不 偶 雖 有 妖 色 不 能 劫 動 故 便 得 離 慾 二 恚 
