X15n0301_001:0218a04	 釋教總論	 釋 教 總 論 
X15n0301_003:0284b12	神通即變化之事。化元即變化所由也)。	神 通 即 變 化 之 事 化 元 即 變 化 所 由 也 
X15n0301_003:0284b13	又善男子受陰虗妙(至)汝當先覺不入輪迴。	又 善 男 子 受 陰 虗 妙 至 汝 當 先 覺 不 入 輪 迴 
X15n0301_003:0284b14	(溫陵曰。欲入滅定。以趣空寂也)。(孤山曰。薄蝕者。經史	 溫 陵 曰 欲 入 滅 定 以 趣 空 寂 也 孤 山 曰 薄 蝕 者 經 史 
X15n0301_003:0284b15	皆作食。常昭云。氣往迫之曰薄。虧毀曰食)。	皆 作 食 常 昭 云 氣 往 迫 之 曰 薄 虧 毀 曰 食 
X15n0301_003:0284b16	又善男子受陰虗妙(至)汝當先覺不入輪迴。	又 善 男 子 受 陰 虗 妙 至 汝 當 先 覺 不 入 輪 迴 
X15n0301_003:0284b17	(孤山曰。變易者。斷見思盡。生法性土。故受變易。今頓	 孤 山 曰 變 易 者 斷 見 思 盡 生 法 性 土 故 受 變 易 今 頓 
X15n0301_003:0284b18	欲變麤身為細質。易短壽為長齡。從此分段。延入彼	欲 變 麤 身 為 細 質 易 短 壽 為 長 齡 從 此 分 段 延 入 彼 
X15n0301_003:0284b19	土也。自在天。即欲界第六天上。別有魔王居處。亦他	土 也 自 在 天 即 欲 界 第 六 天 上 別 有 魔 王 居 處 亦 他 
X15n0301_003:0284b20	化自在天攝)。	化自在天 攝 
X15n0301_003:0284b21	溫陵曰。三界惑盡。方離分段生死。得變易生死。今	溫 陵 曰 三 界 惑 盡 方 離 分段生死 得 變易生死 今 
X15n0301_003:0284b22	功未成。妄希即惑矣。研幾謂研窮幾微。以深求也。	功 未 成 妄 希 即 惑 矣 研 幾 謂 研 窮 幾 微 以 深 求 也 
X15n0301_003:0284b23	細想云者。欲變麤為細。求久住世也。	細 想 云 者 欲 變 麤 為 細 求 久 住 世 也 
X15n0301_003:0284b24	阿難當知是十種魔(至)失正徧知墮無間獄。	阿 難 當 知 是 十 種 魔 至 失 正 徧 知 墮 無 間 獄 
X15n0301_003:0284b25	(溫陵曰。涅槃經云。末世魔屬。現比丘羅漢等像。混壞	 溫 陵 曰 涅 槃 經 云 末 世 魔 屬 現 比 丘 羅 漢 等 像 混 壞 
X15n0301_003:0284b26	正法。非毀戒律儀。意同此也)。	正 法 非 毀 戒 律 儀 意 同 此 也 
X15n0301_003:0284b27	汝今未須先取寂滅(至)保持覆護成無上道。	汝 今 未 須 先 取 寂 滅 至 保 持 覆 護 成 無 上 道 
X15n0301_003:0284b28	(孤山曰。末世魔現比丘等像。混壞正法。非毀戒律。故	 孤 山 曰 末 世 魔 現 比 丘 等 像 混 壞 正 法 非 毀 戒 律 故 
X15n0301_003:0284c01	於篇終戒勗脩證)。	於 篇 終 戒 勗 脩 證 
X15n0301_003:0284c02	溫陵曰。始以阿難起教。終復囑令弘宣。足知大教	溫 陵 曰 始 以 阿 難 起 教 終 復 囑 令 弘 宣 足 知 大 教 
X15n0301_003:0284c03	源流。浚發遐被。無非阿難之力。則示遭魔事。徵心	源 流 浚 發 遐 被 無 非 阿 難 之 力 則 示 遭 魔 事 徵 心 
X15n0301_003:0284c04	辨見。皆為末法。起大慈悲。令不著魔。得正知見也。	辨 見 皆 為 末 法 起 大 慈 悲 令 不 著 魔 得 正 知 見 也 
X15n0301_003:0284c05	當知昔雖四派示滅。今之法化常存。與夫在處影	當 知 昔 雖 四 派 示 滅 今 之 法 化 常 存 與 夫 在 處 影 
X15n0301_003:0284c06	響。無非留願之身也。	響 無 非 留 願 之 身 也 
X15n0301_003:0284c09	大佛頂如來密因脩證了義諸菩薩萬行首楞嚴經	大 佛 頂 如 來 密 因 脩 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 
X15n0301_003:0284c10	　第十	 第 十 
X15n0301_003:0284c11	阿難彼善男子脩三摩地(至)此則名為行陰區宇。	阿 難 彼 善 男 子 脩 三 摩 地 至 此 則 名 為 行 陰 區 宇 
X15n0301_003:0284c12	(携李曰。夜之夢寐。晝之想像。想陰盡則覺寐一。塵影	 携 李 曰 夜 之 夢 寐 晝 之 想 像 想 陰 盡 則 覺 寐 一 塵 影 
X15n0301_003:0284c13	滅。故山河如鏡。無所分別。即虗應而已)。(孤山曰。雖未	滅 故 山 河 如 鏡 無所分別 即 虗 應 而 已 孤 山 曰 雖 未 
X15n0301_003:0284c14	下。謂雖未能別相見彼眾生。修因趣果。因由端緒。已	下 謂 雖 未 能 別 相 見 彼 眾 生 修 因 趣 果 因 由 端 緒 已 
X15n0301_003:0284c15	能總相見彼生類。俱由行起。名此行陰。為同生基。野	能 總 相 見 彼 生 類 俱 由 行 起 名 此 行 陰 為 同 生 基 野 
X15n0301_003:0284c16	馬陽燄浮埃也。熠熠光耀閃爍之貌。清擾即下文幽	馬 陽 燄 浮 埃 也 熠 熠 光 耀 閃 爍 之 貌 清 擾 即 下 文 幽 
X15n0301_003:0284c17	清擾動是也)。(孤山曰。行想二魔。見思為體。行中諸見。	清 擾 動 是 也 孤 山 曰 行 想 二 魔 見 思 為 體 行 中 諸 見 
X15n0301_003:0284c18	有六十二。即六十二化也)。	有 六 十 二 即 六 十 二 化 也 
X15n0301_003:0284c19	溫陵曰。通敘想滅行現也。浮動妄習。晝明則想。夕	溫 陵 曰 通 敘 想 滅 行 現 也 浮 動 妄 習 晝 明 則 想 夕 
X15n0301_003:0284c20	瞢則夢。汩亂性真。莫得而一。擾動覺明。莫得而靜。	瞢 則 夢 汩 亂 性 真 莫 得 而 一 擾 動 覺 明 莫 得 而 靜 
X15n0301_003:0284c21	故想陰盡者。夢想消滅。寤寐恒一。覺明虗靜。猶如	故 想 陰 盡 者 夢 想 消 滅 寤 寐 恒 一 覺 明 虗 靜 猶 如 
X15n0301_003:0284c22	晴空也。五陰前麤後細。故想盡則無麤重影事。雖	晴 空 也 五 陰 前 麤 後 細 故 想 盡 則 無 麤 重 影 事 雖 
X15n0301_003:0284c23	觀萬象。而無想念。故如鏡鑑明。無粘無迹。虗受照	觀 萬 象 而 無 想 念 故 如 鏡 鑑 明 無 粘 無 迹 虗 受 照 
X15n0301_003:0284c24	應。了無陳習。惟一精真。明極如此。故幽隱行陰。於	應 了 無 陳 習 惟 一 精 真 明 極 如 此 故 幽 隱 行 陰 於 
X15n0301_003:0284c25	是披露也。行為萬化生滅根元。故其相披露。則十	是 披 露 也 行 為 萬 化 生 滅 根 元 故 其 相 披 露 則 十 
X15n0301_003:0285a01	二類生之元。無不殫見。各命由緒。識也。同生基。行	二 類 生 之 元 無 不 殫 見 各 命 由 緒 識 也 同 生 基 行 
X15n0301_003:0285a02	也。擾動幽隱。故譬野馬乍生乍滅。故曰熠熠。無復	也 擾 動 幽 隱 故 譬 野 馬 乍 生 乍 滅 故 曰 熠 熠 無 復 
X15n0301_003:0285a03	麤影。故曰清擾。根塵運止。皆本于此。故曰究竟樞	麤 影 故 曰 清 擾 根 塵 運 止 皆 本 于 此 故 曰 究 竟 樞 
X15n0301_003:0285a04	穴。	穴 
X15n0301_003:0285a05	若此清擾熠熠元性(至)幽隱妄想以為其本。	若 此 清 擾 熠 熠 元 性 至 幽 隱 妄 想 以 為 其 本 
X15n0301_003:0285a06	(真際曰。想滅則此心為澄。空行現則。游塵清擾。識為	 真 際 曰 想 滅 則 此 心 為 澄 空 行 現 則 游 塵 清 擾 識 為 
X15n0301_003:0285a07	立命由緒。其性元澄。行破還元。則流習頓滅。故為澄	立 命 由 緒 其 性 元 澄 行 破 還 元 則 流 習 頓 滅 故 為 澄 
X15n0301_003:0285a08	本)。	本 
X15n0301_003:0285a09	溫陵曰。行陰習擾成性。故稱元性元習。能滅擾習。	溫 陵 曰 行 陰 習 擾 成 性 故 稱 元 性 元 習 能 滅 擾 習 
X15n0301_003:0285a10	則歸元澄之本。而遷流相盡矣。故如波瀾滅。化為	則 歸 元 澄 之 本 而 遷 流 相 盡 矣 故 如 波 瀾 滅 化 為 
X15n0301_003:0285a11	澄水也。生滅不停。業運常遷。名眾生濁。故行陰盡	澄 水 也 生 滅 不 停 業 運 常 遷 名 眾 生 濁 故 行 陰 盡 
X15n0301_003:0285a12	則超之。行陰密移。曾無覺悟。故曰幽隱妄想。	則 超 之 行 陰 密 移 曾 無 覺 悟 故 曰 幽 隱 妄 想 
X15n0301_003:0285a13	阿難當知是得正知(至)是人墜入二無因論。	阿 難 當 知 是 得 正 知 至 是 人 墜 入 二 無 因 論 
X15n0301_003:0285a14	(溫陵曰。夢想消亡。寤寐常一。故稱正知。奢摩他。又稱	 溫 陵 曰 夢 想 消 亡 寤 寐 常 一 故 稱 正 知 奢 摩 他 又 稱 
X15n0301_003:0285a15	凝明正心。皆想盡之相也)。(携李曰。既見此已。遂以一	凝 明 正 心 皆 想 盡 之 相 也 携 李 曰 既 見 此 已 遂 以 一 
X15n0301_003:0285a16	切生滅皆圓於此。而不進窮識陰本末。遂立二無因	切 生 滅 皆 圓 於 此 而 不 進 窮 識 陰 本 末 遂 立 二 無 因 
X15n0301_003:0285a17	論)。	論 
X15n0301_003:0285a18	泐潭曰。外魔皆因心召故。想盡凝明。則天魔不至。	泐 潭 曰 外 魔 皆 因 心 召 故 想 盡 凝 明 則 天 魔 不 至 
X15n0301_003:0285a19	從此惟是修禪失趣。狂解妄計。是即陰魔也。生類	從 此 惟 是 修 禪 失 趣 狂 解 妄 計 是 即 陰 魔 也 生 類 
X15n0301_003:0285a20	本即同生基也。於本類中生元露者。於同生基。見	本 即 同 生 基 也 於 本 類 中 生 元 露 者 於 同 生 基 見 
X15n0301_003:0285a21	己行元也。幽清動元。即行元也。	己 行 元 也 幽 清 動 元 即 行 元 也 
X15n0301_003:0285a22	一者是人見本無因(至)墮落外道惑菩提性。	一 者 是 人 見 本 無 因 至 墮 落 外 道 惑 菩 提 性 
X15n0301_003:0285a23	(孤山曰。生机既破。則根離區穴。而眼清淨。故能洞見。	 孤 山 曰 生 机 既 破 則 根 離 區 穴 而 眼 清 淨 故 能 洞 見 
X15n0301_003:0285a24	業流灣環者。隨業流轉。如水在灣。迴旋其處。不能自	業 流 灣 環 者 隨 業 流 轉 如 水 在 灣 迴 旋 其 處 不 能 自 
X15n0301_003:0285a25	出也。未脫識陰。定力有限。故八萬劫來。冥無所見。無	出 也 未 脫 識 陰 定 力 有 限 故 八 萬 劫 來 冥 無 所 見 無 
X15n0301_003:0285a26	所見故。計本無因也。不知本因。存乎妄識。此所謂亡	所 見 故 計 本 無 因 也 不 知 本 因 存 乎 妄 識 此 所 謂 亡 
X15n0301_003:0285a27	正徧知)。	正 徧 知 
X15n0301_003:0285a28	吳興曰。生機全破者。機喻擾動。即行陰也。不為想	吳 興 曰 生 機 全 破 者 機 喻 擾 動 即 行 陰 也 不 為 想 
X15n0301_003:0285b01	陰所覆。故云全破。眼根八百功德。既約三世四方	陰 所 覆 故 云 全 破 眼 根 八 百 功 德 既 約 三 世 四 方 
X15n0301_003:0285b02	論之。今見本無因。即乘過去功德。下見末無因。即	論 之 今 見 本 無 因 即 乘 過 去 功 德 下 見 末 無 因 即 
X15n0301_003:0285b03	乘未來功德。斯由定中發宿命通。乃令眼根彰此	乘 未 來 功 德 斯 由 定 中 發 宿 命 通 乃 令 眼 根 彰 此 
X15n0301_003:0285b04	力用。業流灣環。行陰流轉也。冥無所觀。外道冥諦	力 用 業 流 灣 環 行 陰 流 轉 也 冥 無 所 觀 外 道 冥 諦 
X15n0301_003:0285b05	也。夫善惡業緣。惟識變造。是人八萬劫外。尚不見	也 夫 善 惡 業 緣 惟 識 變 造 是 人 八 萬 劫 外 尚 不 見 
X15n0301_003:0285b06	行。何況於識。故從此來。起無因計。	行 何 況 於 識 故 從 此 來 起 無 因 計 
X15n0301_003:0285b07	二者是人見末無因(至)一切物象皆本無因。	二 者 是 人 見 末 無 因 至 一 切 物 象 皆 本 無 因 
X15n0301_003:0285b08	(吳興曰。無復改移者。此見一分人畜之類。有經長時。	 吳 興 曰 無 復 改 移 者 此 見 一 分 人 畜 之 類 有 經 長 時 
X15n0301_003:0285b09	業果未轉。故起斯計。如智論明。舍利弗觀鴿子身前	業 果 未 轉 故 起 斯 計 如 智 論 明 舍 利 弗 觀 鴿 子 身 前 
X15n0301_003:0285b10	後。皆八萬劫。不改其類。今行陰中。既見此相。乃執一	後 皆 八 萬 劫 不 改 其 類 今 行 陰 中 既 見 此 相 乃 執 一 
X15n0301_003:0285b11	切自然而然。此即不知十二類生。各命由緒。□□□	切 自 然 而 然 此 即 不 知 十 二 類 生 各 命 由 緒 
X15n0301_003:0285b12	□□等明能末未□□□□觀。八萬劫以外。□□同	 等 明 能 末 未 觀 八 萬 劫 以 外 同 
X15n0301_003:0285b13	聲聞故)。	聲 聞 故 
X15n0301_003:0285b14	溫陵曰。謬執生根。不達此理。以人竟為人。乃至黑	溫 陵 曰 謬 執 生 根 不 達 此 理 以 人 竟 為 人 乃 至 黑 
X15n0301_003:0285b15	竟為黑。無復改移。因而例我。本不見道。末亦無成。	竟 為 黑 無 復 改 移 因 而 例 我 本 不 見 道 末 亦 無 成 
X15n0301_003:0285b16	是末無因也。結文本字。合是末字。	是 末 無 因 也 結 文 本 字 合 是 末 字 
X15n0301_003:0285b17	由此計度亡正徧知(至)第一外道立無因論。	由 此 計 度 亡 正 徧 知 至 第 一 外 道 立 無 因 論 
X15n0301_003:0285b18	(長水曰。一無因有□□想中來。自憶□□□無所有	 長 水 曰 一 無 因 有 想 中 來 自 憶 無 所 有 
X15n0301_003:0285b19	二□□□□智觀察。□□是計。謂諸見□有。定心出	二 智 觀 察 是 計 謂 諸 見 有 定 心 出 
X15n0301_003:0285b20	智。二相以依根本後得二境故)。	智 二 相 以 依 根 本 後 得 二 境 故 
X15n0301_003:0285b21	吳興曰。肇師云。外道末伽梨。謂眾生苦樂。不因行	吳 興 曰 肇 師 云 外 道 末 伽 梨 謂 眾 生 苦 樂 不 因 行 
X15n0301_003:0285b22	得。皆自然耳。前經云。末伽梨等。都言此身死後全	得 皆 自 然 耳 前 經 云 末 伽 梨 等 都 言 此 身 死 後 全 
X15n0301_003:0285b23	滅。今計無因。雖不云死滅。必至劫滿。亦同其倫。當	滅 今 計 無 因 雖 不 云 死 滅 必 至 劫 滿 亦 同 其 倫 當 
X15n0301_003:0285b24	知諸見不出四句。謂斷常雙亦雙非也。上二無因。	知 諸 見 不 出 四 句 謂 斷 常 雙 亦 雙 非 也 上 二 無 因 
X15n0301_003:0285b25	即斷見。下四徧常。及一分無常一分當。乃至死後	即 斷 見 下 四 徧 常 及 一 分 無 常 一 分 當 乃 至 死 後 
X15n0301_003:0285b26	俱非。即後三句。餘之所計。皆源流于此。	俱 非 即 後 三 句 餘 之 所 計 皆 源 流 于 此 
X15n0301_003:0285b27	阿難是三摩中諸善男子(至)是人墜入四徧常論。	阿 難 是 三 摩 中 諸 善 男 子 至 是 人 墜 入 四 徧 常 論 
X15n0301_003:0285c01	(長水曰。行陰生滅。相續不失。故名常。所計四種一切	 長 水 曰 行 陰 生 滅 相 續 不 失 故 名 常 所 計 四 種 一 切 
X15n0301_003:0285c02	法。故名圓)。(孤山曰。徧常曰心者。一觀心境。二觀四大	法 故 名 圓 孤 山 曰 徧 常 曰 心 者 一 觀 心 境 二 觀 四 大 
X15n0301_003:0285c03	三觀八識。四觀想滅。總計為常。名四徧常)。	三 觀 八 識 四 觀 想 滅 總 計 為 常 名 四 徧 常 
X15n0301_003:0285c04	溫陵曰。前言圓擾動元。此言常擾動元者。以生滅	溫 陵 曰 前 言 圓 擾 動 元 此 言 常 擾 動 元 者 以 生 滅 
X15n0301_003:0285c05	之元皆圓於此。遂執為常。而起徧常論。徧即圓也。	之 元 皆 圓 於 此 遂 執 為 常 而 起 徧 常 論 徧 即 圓 也 
X15n0301_003:0285c06	故此標名徧常。後結名圓常。	故 此 標 名 徧 常 後 結 名 圓 常 
X15n0301_003:0285c07	一者是人窮心境性(至)不曾散失計以為常。	一 者 是 人 窮 心 境 性 至 不 曾 散 失 計 以 為 常 
X15n0301_003:0285c08	(真際曰。心境二處雖則無因。二萬劫來。相續不斷。故	 真 際 曰 心 境 二 處 雖 則 無 因 二 萬 劫 來 相續不斷 故 
X15n0301_003:0285c09	計為常)。	計 為 常 
X15n0301_003:0285c10	泐潭曰。由妄計行陰。為生滅圓元。遂于心境四大	泐 潭 曰 由 妄 計 行 陰 為 生 滅 圓 元 遂 于 心 境 四 大 
X15n0301_003:0285c11	八識等。皆起妄計。或撥生滅而計常。或存生滅而	八 識 等 皆 起 妄 計 或 撥 生 滅 而 計 常 或 存 生 滅 而 
X15n0301_003:0285c12	計常。或認識神而計常。或起邪見而計常。今此窮	計 常 或 認 識 神 而 計 常 或 起 邪 見 而 計 常 今 此 窮 
X15n0301_003:0285c13	心境性。本自無因。謂無生滅故。以十方眾生生滅	心 境 性 本 自 無 因 謂 無 生 滅 故 以 十 方 眾 生 生 滅 
X15n0301_003:0285c14	之理。皆則循環。本無散失。此撥生滅而計常也。想	之 理 皆 則 循 環 本 無 散 失 此 撥 生 滅 而 計 常 也 想 
X15n0301_003:0285c15	陰盡者。依心境二法修觀。故功力能知二萬劫事。	陰 盡 者 依 心 境 二 法 修 觀 故 功 力 能 知 二 萬 劫 事 
X15n0301_003:0285c16	後四萬八萬例此。	後 四 萬 八 萬 例 此 
X15n0301_003:0285c17	二者是人窮四大元(至)窮不失性計以為常。	二 者 是 人 窮 四 大 元 至 窮 不 失 性 計 以 為 常 
X15n0301_003:0285c18	(溫陵曰。眾生依地水火風生滅。而四性元則常住。則	 溫 陵 曰 眾 生 依 地水火風 生 滅 而 四 性 元 則 常 住 則 
X15n0301_003:0285c19	諸生滅法。咸皆體常)。(真際曰。言六根者。舉所依根。顯	諸 生 滅 法 咸 皆 體 常 真 際 曰 言 六 根 者 舉 所 依 根 顯 
X15n0301_003:0285c20	能依識也。既云心意識中。故知觀八識也)。	能 依 識 也 既 云 心 意 識 中 故 知 觀 八 識 也 
X15n0301_003:0285c21	溫陵曰。六根及末那執受。即八識也。心意識中本	溫 陵 曰 六 根 及 末 那 執 受 即 八 識 也 心 意 識 中 本 
X15n0301_003:0285c22	元。即識性也。八識元由。惟佛與入地菩薩能窮。若	元 即 識 性 也 八 識 元 由 惟 佛 與 入 地 菩 薩 能 窮 若 
X15n0301_003:0285c23	真能窮盡。則入智境。離心意識。今此唯得心意識	真 能 窮 盡 則 入 智 境 離 心 意 識 今 此 唯 得 心 意 識 
X15n0301_003:0285c24	中本元由處。謂其本性恒常。眾生依之循環而住。	中 本 元 由 處 謂 其 本 性 恒 常 眾 生 依 之 循 環 而 住 
X15n0301_003:0285c25	不曾散失。此認識神而妄計也。	不 曾 散 失 此 認 識 神 而 妄 計 也 
X15n0301_003:0285c26	四者是人既盡想元(至)因心所度計以為常。	四 者 是 人 既 盡 想 元 至 因 心 所 度 計 以 為 常 
X15n0301_003:0286a01	(吳興曰。前指本元為常。即于生滅。計不生滅。如見細	 吳 興 曰 前 指 本 元 為 常 即 于 生 滅 計 不 生 滅 如 見 細 
X15n0301_003:0286a02	流。謂之止水也。今取理中為常。乃于不生滅。計不生	流 謂 之 止 水 也 今 取 理 中 為 常 乃 于 不 生 滅 計 不 生 
X15n0301_003:0286a03	滅。如見虛空。謂之常住也。斯亦妄認行陰為理耳)。	滅 如 見 虛 空 謂 之 常 住 也 斯 亦 妄 認 行 陰 為 理 耳 
X15n0301_003:0286a04	溫陵曰。想元。想陰也。生理。行陰也。妄謂流轉生滅。	溫 陵 曰 想 元 想 陰 也 生 理 行 陰 也 妄 謂 流 轉 生 滅 
X15n0301_003:0286a05	皆屬想心。今已永滅。則不生滅理。自然屬行。不知	皆 屬 想 心 今 已 永 滅 則 不 生 滅 理 自 然 屬 行 不 知 
X15n0301_003:0286a06	行陰。即生滅元也。長水曰。此于生滅。計不生滅。故	行 陰 即 生 滅 元 也 長 水 曰 此 于 生 滅 計 不 生 滅 故 
X15n0301_003:0286a07	執為常。	執 為 常 
X15n0301_003:0286a08	由此計常亡正徧知(至)第二外道立圓常論。	由 此 計 常 亡 正 徧 知 至 第 二 外 道 立 圓 常 論 
X15n0301_003:0286a09	(吳興曰。此四徧常所窮之境。從廣至狹。而成次第)。	 吳 興 曰 此 四 徧 常 所 窮 之 境 從 廣 至 狹 而 成 次 第 
X15n0301_003:0286a10	携李曰。初通五陰。二局色陰。三惟行陰。四但是行	携 李 曰 初 通 五 陰 二 局 色 陰 三 惟 行 陰 四 但 是 行 
X15n0301_003:0286a11	陰。不生滅理。若言第三計八識。第四復計行陰。其	陰 不 生 滅 理 若 言 第 三 計 八 識 第 四 復 計 行 陰 其 
X15n0301_003:0286a12	義既失。所次亦非。	義 既 失 所 次 亦 非 
X15n0301_003:0286a13	又三摩中諸善男子(至)一分無常一分常論。	又 三 摩 中 諸 善 男 子 至 一 分 無 常 一分常論 
X15n0301_003:0286a14	(携李曰。四顛倒者。一由自及他。二離心觀土。三別觀	 携 李 曰 四 顛 倒 者 一 由 自 及 他 二 離 心 觀 土 三 別 觀 
X15n0301_003:0286a15	心精。四謬於四陰。各起分計故也)。	心 精 四 謬 於 四 陰 各 起 分 計 故 也 
X15n0301_003:0286a16	孤山曰。於自他境。妄起倒見。其類有四。各計一分	孤 山 曰 於 自 他 境 妄 起 倒 見 其 類 有 四 各 計 一 分 
X15n0301_003:0286a17	無常。一分有常。	無 常 一 分 有 常 
X15n0301_003:0286a18	一者是人觀妙明心(至)則我心性名之為常。	一 者 是 人 觀 妙 明 心 至 則 我 心 性 名 之 為 常 
X15n0301_003:0286a19	(長水曰。此以湛寂之理為常。生滅之性無常)。(携李曰。	 長 水 曰 此 以 湛 寂 之 理 為 常 生 滅 之 性 無 常 携 李 曰 
X15n0301_003:0286a20	妙明圓湛。離我我所。而外道于此妄立神我。從是計	妙 明 圓 湛 離我我所 而 外 道 于 此 妄 立 神 我 從 是 計 
X15n0301_003:0286a21	我。徧凝不動。而諸眾生于中生死。遂計自為常。計他	我 徧 凝 不 動 而 諸 眾 生 于 中 生 死 遂 計 自 為 常 計 他 
X15n0301_003:0286a22	無常)。	無 常 
X15n0301_003:0286a23	吳興曰。觀妙下。重舉觀行。湛然下。正明起計。亦由	吳 興 曰 觀 妙 下 重 舉 觀 行 湛 然 下 正 明 起 計 亦 由 
X15n0301_003:0286a24	不了行陰生滅。妄謂此處心性湛然。以為神我。言	不 了 行 陰 生 滅 妄 謂 此 處 心 性 湛 然 以 為 神 我 言 
X15n0301_003:0286a25	神我者。外道名主諦。謂一切法皆是我所。悉以此	神 我 者 外 道 名 主 諦 謂 一 切 法 皆 是 我 所 悉 以 此 
X15n0301_003:0286a26	神而為其主。	神 而 為 其 主 
X15n0301_003:0286b01	二者是人不觀其心(至)劫不壞處名究竟常。	二 者 是 人 不 觀 其 心 至 劫 不 壞 處 名 究 竟 常 
X15n0301_003:0286b02	(吳興曰。謂二禪以下。終為三災所壞。名無常種性。四	 吳 興 曰 謂 二 禪 以 下 終 為 三 災 所 壞 名 無 常 種 性 四 
X15n0301_003:0286b03	禪以上。灾不能壞。名究竟常)。	禪 以 上 灾 不 能 壞 名 究 竟 常 
X15n0301_003:0286b04	溫陵曰。前依心觀。此依土觀。種種徧計。一法既邪。	溫 陵 曰 前 依 心 觀 此 依 土 觀 種 種 徧 計 一 法 既 邪 
X15n0301_003:0286b05	萬法皆倒矣。	萬 法 皆 倒 矣 
X15n0301_003:0286b06	三者是人別觀我心(至)從我流出名無常性。	三 者 是 人 別 觀 我 心 至 從 我 流 出 名 無 常 性 
X15n0301_003:0286b07	(長水曰。此觀心精細流轉。即細相生滅)。	 長 水 曰 此 觀 心 精 細 流 轉 即 細 相 生 滅 
X15n0301_003:0286b08	溫陵曰。不能即身即心。故作別觀。微塵喻精微也。	溫 陵 曰 不 能 即 身 即 心 故 作 別 觀 微 塵 喻 精 微 也 
X15n0301_003:0286b09	謂由心精密運。令身生滅。而心不壞滅。前于一法	謂 由 心 精 密 運 令 身 生 滅 而 心 不 壞 滅 前 于 一 法 
X15n0301_003:0286b10	作二計。此于性作二計也。	作 二 計 此 于 性 作 二 計 也 
X15n0301_003:0286b11	四者是人知想陰盡(至)今已滅盡名為無常。	四 者 是 人 知 想 陰 盡 至 今 已 滅 盡 名 為 無 常 
X15n0301_003:0286b12	(長水曰。此以陰行流性為常。色受想為無常)。	 長 水 曰 此 以 陰 行 流 性 為 常 色 受 想 為 無 常 
X15n0301_003:0286b13	携李曰。幻陰一體。遷流一相。而且執是而迷非。見	携 李 曰 幻 陰 一 體 遷 流 一 相 而 且 執 是 而 迷 非 見 
X15n0301_003:0286b14	今忘昔。故以流者為常。遷者為滅。	今 忘 昔 故 以 流 者 為 常 遷 者 為 滅 
X15n0301_003:0286b15	由此計度一分無常(至)第三外道一分常論。	由 此 計 度 一 分 無 常 至 第 三 外 道 一分常論 
X15n0301_003:0286b16	(溫陵曰。以理為真。以相為幻。於理則融。于事則礙。不	 溫 陵 曰 以 理 為 真 以 相 為 幻 於 理 則 融 于 事 則 礙 不 
X15n0301_003:0286b17	免墮此四種分計)。	免 墮 此 四 種 分 計 
X15n0301_003:0286b18	泐潭曰。此四顛倒。初觀神我。及一切眾生。即正報	泐 潭 曰 此 四 顛 倒 初 觀 神 我 及 一 切 眾 生 即 正 報 
X15n0301_003:0286b19	也。次觀國土與劫。即依報也。此二對他。明常無常。	也 次 觀 國 土 與 劫 即 依 報 也 此 二 對 他 明 常 無 常 
X15n0301_003:0286b20	三觀我身及心。四計陰等。此二約自色心。明常無	三 觀 我 身 及 心 四 計 陰 等 此 二 約 自 色 心 明 常 無 
X15n0301_003:0286b21	常。亦從廣至狹也。	常 亦 從 廣 至 狹 也 
X15n0301_003:0286b22	又三摩中諸善男子(至)是人墜入四有邊論。	又 三 摩 中 諸 善 男 子 至 是 人 墜 入 四 有 邊 論 
X15n0301_003:0286b23	(長水曰。此分位計度。一三際。二見聞。三彼我。四生滅。	 長 水 曰 此 分 位 計 度 一 三 際 二 見 聞 三 彼 我 四 生 滅 
X15n0301_003:0286b24	是名四邊計)。	是 名 四 邊 計 
X15n0301_003:0286b25	溫陵曰。分位有四。謂三際分位。見聞分位。彼我分	溫 陵 曰 分 位 有 四 謂 三 際 分 位 見 聞 分 位 彼 我 分 
X15n0301_003:0286c01	位。生滅分位。	位 生 滅 分 位 
X15n0301_003:0286c02	一者是人心計生元(至)計相續心名為無邊。	一 者 是 人 心 計 生 元 至 計 相 續 心 名 為 無 邊 
X15n0301_003:0286c03	(興福曰。此以觀過未有分位。為有邊。相續無分位。為	 興 福 曰 此 以 觀 過 未 有 分 位 為 有 邊 相 續 無 分 位 為 
X15n0301_003:0286c04	無邊)。	無 邊 
X15n0301_003:0286c05	溫陵曰。生元流用。行陰也。因遷流計三際。以過者	溫 陵 曰 生 元 流 用 行 陰 也 因 遷 流 計 三 際 以 過 者 
X15n0301_003:0286c06	已滅。來者未見。故名有邊。現在相續。故名無邊。不	已 滅 來 者 未 見 故 名 有 邊 現 在 相 續 故 名 無 邊 不 
X15n0301_003:0286c07	知真際本非有邊非無邊也。	知 真 際 本 非 有 邊 非 無 邊 也 
X15n0301_003:0286c08	二者是人觀八萬劫(至)有眾生處名為有邊。	二 者 是 人 觀 八 萬 劫 至 有 眾 生 處 名 為 有 邊 
X15n0301_003:0286c09	(孤山曰。無見聞處。其境叵〔則〕有見聞處。其境可了。故	 孤 山 曰 無 見 聞 處 其 境 叵 則 有 見 聞 處 其 境 可 了 故 
X15n0301_003:0286c10	名有也)。	名 有 也 
