X72n1441_001:0674b06	 法會錄序	 法 會 錄 序 
X72n1441_001:0681a07	情可去者。亦徒虗語耳。	情 可 去 者 亦 徒 虗 語 耳 
X72n1441_001:0681a08	三問曰。偉幼性愚鈍。執抝蠢頑。不信佛乘。然夢寐間。	三 問 曰 偉 幼 性 愚 鈍 執 抝 蠢 頑 不 信 佛 乘 然 夢 寐 間 
X72n1441_001:0681a09	或升天上。題詠讚嘆。或在極樂界。禮拜佛塔。見塔無	或 升 天 上 題 詠 讚 嘆 或 在 極 樂 界 禮 拜 佛 塔 見 塔 無 
X72n1441_001:0681a10	央數。或在玉山上行。而夢亦多靈。或驗于時日。或驗	央 數 或 在 玉 山 上 行 而 夢 亦 多 靈 或 驗 于 時 日 或 驗 
X72n1441_001:0681a11	于年遠。語言事跡。無不符合。近來日中口談般若。不	于 年 遠 語 言 事 跡 無 不 符 合 近 來 日 中 口 談 般 若 不 
X72n1441_001:0681a12	能無夢。已不勝慚愧矣。亦多不靈。甚或所作。皆非意	能 無 夢 已 不 勝 慚 愧 矣 亦 多 不 靈 甚 或 所 作 皆 非 意 
X72n1441_001:0681a13	想。或入王宮與嬪妃彩女娛樂。受大恐怖。或為大將	想 或 入 王 宮 與 嬪 妃 彩 女 娛 樂 受 大 恐 怖 或 為 大 將 
X72n1441_001:0681a14	軍。指麾戰陣。殺人無數。或往羅剎國招親生子。或乘	軍 指 麾 戰 陣 殺 人 無 數 或 往 羅 剎 國 招 親 生 子 或 乘 
X72n1441_001:0681a15	大船。入大海水。漂泊無極。或入地獄。為閻羅王所嗔。	大 船 入 大 海 水 漂 泊 無 極 或 入 地 獄 為 閻 羅 王 所 嗔 
X72n1441_001:0681a16	既又為王拜讚。食肉毀禁。無所不至。若斯夢境豈道	既 又 為 王 拜 讚 食 肉 毀 禁 無 所 不 至 若 斯 夢 境 豈 道 
X72n1441_001:0681a17	力之不堅耶。抑多生積習之未忘耶。抑或有他讖先	力 之 不 堅 耶 抑 多 生 積 習 之 未 忘 耶 抑 或 有 他 讖 先 
X72n1441_001:0681a18	兆之耶。請解其惑。師答曰。夢者想也。以多生般若種	兆 之 耶 請 解 其 惑 師 答 曰 夢 者 想 也 以 多 生 般 若 種 
X72n1441_001:0681a19	子不純一。夾襍妄想。故發于夢寐。亦善惡逆順。變易	子 不 純 一 夾 襍 妄 想 故 發 于 夢 寐 亦 善 惡 逆 順 變 易 
X72n1441_001:0681a20	多端。道力不堅。多生積習。他讖先兆。皆有之矣。若能	多 端 道 力 不 堅 多 生 積 習 他 讖 先 兆 皆 有 之 矣 若 能 
X72n1441_001:0681a21	豁開正眼。洞見性源。則夢想斷而大夢覺矣。梵語佛	豁 開 正 眼 洞 見 性 源 則 夢 想 斷 而 大 夢 覺 矣 梵 語 佛 
X72n1441_001:0681a22	陀。此云覺者。華嚴經云。佛心無有他。正覺覺世間。此	陀 此 云 覺 者 華 嚴 經 云 佛 心 無 有 他 正 覺 覺 世 間 此 
X72n1441_001:0681a23	之謂也。曰至人無夢。信矣。然則佛夢金皷。孔子夢奠	之 謂 也 曰 至 人 無 夢 信 矣 然 則 佛 夢 金 皷 孔 子 夢 奠 
X72n1441_001:0681a24	兩楹。此何以通。師曰。喚作佛。喚作孔子。早是夢了也。	兩 楹 此 何 以 通 師 曰 喚 作 佛 喚 作 孔 子 早 是 夢 了 也 
X72n1441_001:0681b01	況金皷兩楹乎。問者唯而退。	況 金 皷 兩 楹 乎 問 者 唯 而 退 
X72n1441_001:0681b02	五位宗旨	五 位 宗 旨 
X72n1441_001:0681b03	正中來。乃五位之樞紐。前二位。入此者也。後二位。從	正 中 來 乃 五 位 之 樞 紐 前 二 位 入 此 者 也 後 二 位 從 
X72n1441_001:0681b04	此出者也。正中偏。約初悟時立。理是正。悟是偏。故有	此 出 者 也 正 中 偏 約 初 悟 時 立 理 是 正 悟 是 偏 故 有 
X72n1441_001:0681b05	莫恠相逢不相識。隱隱猶懷舊日嫌之語也。偏中正。	莫 恠 相 逢 不 相 識 隱 隱 猶 懷 舊 日 嫌 之 語 也 偏 中 正 
X72n1441_001:0681b06	約轉功就位時立。偏是功。位是正。故云分明覿面別	約 轉 功 就 位 時 立 偏 是 功 位 是 正 故 云 分 明 覿 面 別 
X72n1441_001:0681b07	無真。休更迷頭猶認影。亟策其攝偏歸正。盡力推爺	無 真 休 更 迷 頭 猶 認 影 亟 策 其 攝 偏 歸 正 盡 力 推 爺 
X72n1441_001:0681b08	向裡頭也。正中來一位有三。前半則轉功而猶未就	向 裡 頭 也 正 中 來 一 位 有 三 前 半 則 轉 功 而 猶 未 就 
X72n1441_001:0681b09	位。只是一色境界。次則一色已消。歸於正位。尊貴之	位 只 是 一 色 境 界 次 則 一 色 已 消 歸 於 正 位 尊 貴 之 
X72n1441_001:0681b10	極。毋容觸犯。教中云。此是學位。非是證位。故須從中	極 毋 容 觸 犯 教 中 云 此 是 學 位 非 是 證 位 故 須 從 中 
X72n1441_001:0681b11	轉身。不許住著也。後半則已於位中轉身就功。而猶	轉 身 不 許 住 著 也 後 半 則 已 於 位 中 轉 身 就 功 而 猶 
X72n1441_001:0681b12	未與塵境合。所云無中有路隔塵埃。是也。同安云。纔	未 與 塵 境 合 所 云 無 中 有 路 隔 塵 埃 是 也 同 安 云 纔 
X72n1441_001:0681b13	著垢衣云是佛。却裝珍御復名誰。又云。木人夜半穿	著 垢 衣 云 是 佛 却 裝 珍 御 復 名 誰 又 云 木 人 夜 半 穿 
X72n1441_001:0681b14	靴去。石女天明戴帽歸。皆此意也。古德立小五位。及	靴 去 石 女 天 明 戴 帽 歸 皆 此 意 也 古 德 立 小 五 位 及 
X72n1441_001:0681b15	四轉靈機。皆為此而設。蓋此一位。初入為難。既入而	四 轉 靈 機 皆 為 此 而 設 蓋 此 一 位 初 入 為 難 既 入 而 
X72n1441_001:0681b16	從位中轉身。為尤難也。苟未入此。只是博地凡夫。既	從 位 中 轉 身 為 尤 難 也 苟 未 入 此 只 是 博 地 凡 夫 既 
X72n1441_001:0681b17	入不能轉身。而便於中作證。又墮二乘。試讀華嚴第	入 不 能 轉 身 而 便 於 中 作 證 又 墮 二 乘 試 讀 華 嚴 第 
X72n1441_001:0681b18	八地。則可知矣。兼中至約功位雙彰時立。兼中到。約	八 地 則 可 知 矣 兼 中 至 約 功 位 雙 彰 時 立 兼 中 到 約 
X72n1441_001:0681b19	功位雙泯時立。大意如此。且止葛藤。	功 位 雙 泯 時 立 大 意 如 此 且 止 葛 藤 
X72n1441_001:0681b20	開化禪人聞余與石潮禪師論五位宗旨。大生喜	開 化 禪 人 聞 余 與 石 潮 禪 師 論 五 位 宗 旨 大 生 喜 
X72n1441_001:0681b21	樂。出紙請書。遂為述其梗概。看畢付之灰燼可也。	樂 出 紙 請 書 遂 為 述 其 梗 概 看 畢 付 之 灰 燼 可 也 
X72n1441_001:0681b22	誡捕黃蛤文	誡 捕 黃 蛤 文 
X72n1441_001:0681b23	百丈山黃蛤者。廼蝦蟆之種族也。每臨春候。牝牡羣	百 丈 山 黃 蛤 者 廼 蝦 蟆 之 種 族 也 每 臨 春 候 牝 牡 羣 
X72n1441_001:0681b24	來。盈于田疇。塞于道路。止圖生男育女。不知避死趨	來 盈 于 田 疇 塞 于 道 路 止 圖 生 男 育 女 不 知 避 死 趨 
X72n1441_001:0681c01	生。鄉人無知。競取而食。不啻拾礫之易也。梟其首而	生 鄉 人 無 知 競 取 而 食 不 啻 拾 礫 之 易 也 梟 其 首 而 
X72n1441_001:0681c02	剝其皮。刳其膓而戮其肉。血流滿地。宛與人血無殊。	剝 其 皮 刳 其 膓 而 戮 其 肉 血 流 滿 地 宛 與 人 血 無 殊 
X72n1441_001:0681c03	頭集成堆。竟與人頭何異。痛苦莫忍而殺者不知。怨	頭 集 成 堆 竟 與 人 頭 何 異 痛 苦 莫 忍 而 殺 者 不 知 怨 
X72n1441_001:0681c04	恨徹天而食者不恤。相傳昔黃巢甞聚兵于此。劫殺	恨 徹 天 而 食 者 不 恤 相 傳 昔 黃 巢 甞 聚 兵 于 此 劫 殺 
X72n1441_001:0681c05	民命。感報如斯。夫殺人而為人所殺。因果無差。食蛤	民 命 感 報 如 斯 夫 殺 人 而 為 人 所 殺 因 果 無 差 食 蛤 
X72n1441_001:0681c06	而轉身作蛤。酬償不爽。至於牛。羊。犬。豕。鷄。鵝。鴨。鴿。魚。	而 轉 身 作 蛤 酬 償 不 爽 至 於 牛 羊 犬 豕 鷄 鵝 鴨 鴿 魚 
X72n1441_001:0681c07	鱉。鰍。鱔。蝦。蜆。螃。蠏。螺。螄。之類。但有生命而殺食之者。	鱉 鰍 鱔 蝦 蜆 螃 蠏 螺 螄 之 類 但 有 生 命 而 殺 食 之 者 
X72n1441_001:0681c08	其填報一如黃巢之於黃蛤。等無異耳。生生常在輪	其 填 報 一 如 黃 巢 之 於 黃 蛤 等 無 異 耳 生 生 常 在 輪 
X72n1441_001:0681c09	轉。世世無繇解脫。匪憑三寶之力。曷釋累劫之愆。崇	轉 世 世 無 繇 解 脫 匪 憑 三 寶 之 力 曷 釋 累 劫 之 愆 崇 
X72n1441_001:0681c10	禎癸未冬。余住靜此山。甞集同袍。代為懺悔。二十餘	禎 癸 未 冬 余 住 靜 此 山 甞 集 同 袍 代 為 懺 悔 二 十 餘 
X72n1441_001:0681c11	年。此類絕跡。至于近年。又復繁盛。後生輩沿其故習。	年 此 類 絕 跡 至 于 近 年 又 復 繁 盛 後 生 輩 沿 其 故 習 
X72n1441_001:0681c12	爭相捕食。不念他命死苦。惟資我舌味甘。皆由未遇	爭 相 捕 食 不 念 他 命 死 苦 惟 資 我 舌 味 甘 皆 由 未 遇 
X72n1441_001:0681c13	佛法。不信因果。不知罪福。故造茲殺業。釀現世他生	佛 法 不 信 因 果 不 知 罪 福 故 造 茲 殺 業 釀 現 世 他 生 
X72n1441_001:0681c14	無窮之苦也。今康熙辛亥秋。余復遊芝城。乃特邀諸	無 窮 之 苦 也 今 康 熙 辛 亥 秋 余 復 遊 芝 城 乃 特 邀 諸 
X72n1441_001:0681c15	善友。倣癸未故事。為蛤與食蛤者。同伸懺悔。所冀佛	善 友 倣 癸 未 故 事 為 蛤 與 食 蛤 者 同 伸 懺 悔 所 冀 佛 
X72n1441_001:0681c16	光洞照。法力冥資。俾捕蛤者。凶心頓息。不噉蛤肉而	光 洞 照 法 力 冥 資 俾 捕 蛤 者 凶 心 頓 息 不 噉 蛤 肉 而 
X72n1441_001:0681c17	免墮蛤身。為蛤者。慧性增明。不銜冤報而永超蛤趣。	免 墮 蛤 身 為 蛤 者 慧 性 增 明 不 銜 冤 報 而 永 超 蛤 趣 
X72n1441_001:0681c18	慈眼相視。彼此無殺害之心。法會同登。人物有恩親	慈 眼 相 視 彼 此 無 殺 害 之 心 法 會 同 登 人 物 有 恩 親 
X72n1441_001:0681c19	之樂。期生安養。畢證菩提。是所願也。惟祈高明者。轉	之 樂 期 生 安 養 畢 證 菩 提 是 所 願 也 惟 祈 高 明 者 轉 
X72n1441_001:0681c20	相勸化。功莫大焉。	相 勸 化 功 莫 大 焉 
X72n1441_001:0681c21	李偉吾居士五十慶九文	李 偉 吾 居 士 五 十 慶 九 文 
X72n1441_001:0681c22	余來富沙白雲。興建覺皇寶殿。辱大長者偉吾李公	余 來 富 沙 白 雲 興 建 覺 皇 寶 殿 辱 大 長 者 偉 吾 李 公 
X72n1441_001:0681c23	行檀波羅蜜。而功德有成又每策馬過從。論道談心	行 檀 波 羅 蜜 而 功 德 有 成 又 每 策 馬 過 從 論 道 談 心 
X72n1441_001:0681c24	亹亹不倦。可見夙具般若因緣。一旦會遇。非偶爾也。	亹 亹 不 倦 可 見 夙 具 般 若 因 緣 一 旦 會 遇 非 偶 爾 也 
X72n1441_001:0682a01	茲辛亥冬。十月十有九日。值公大衍用九之辰。念無	茲 辛 亥 冬 十 月 十 有 九 日 值 公 大 衍 用 九 之 辰 念 無 
X72n1441_001:0682a02	可為公壽。乃織蕪語而進之。以申曝獻之誠。甞聞之	可 為 公 壽 乃 織 蕪 語 而 進 之 以 申 曝 獻 之 誠 甞 聞 之 
X72n1441_001:0682a03	古德曰。福觀人量。壽觀人用心。意謂量之大小。則福	古 德 曰 福 觀 人 量 壽 觀 人 用 心 意 謂 量 之 大 小 則 福 
X72n1441_001:0682a04	之有無見焉。用心之厚薄。則壽久豐歉見焉。公之量。	之 有 無 見 焉 用 心 之 厚 薄 則 壽 久 豐 歉 見 焉 公 之 量 
X72n1441_001:0682a05	包含恩怨。和融上下。汪汪然。若萬頃滄溟。攪之而不	包 含 恩 怨 和 融 上 下 汪 汪 然 若 萬 頃 滄 溟 攪 之 而 不 
X72n1441_001:0682a06	渾。注之而不溢。納百川而匯眾水。其為量也。詎谿澗	渾 注 之 而 不 溢 納 百 川 而 匯 眾 水 其 為 量 也 詎 谿 澗 
X72n1441_001:0682a07	盆池之量。可測而知哉。公量如此。則其福德深廣。曷	盆 池 之 量 可 測 而 知 哉 公 量 如 此 則 其 福 德 深 廣 曷 
X72n1441_001:0682a08	可涯涘。公之用心也。雖身處塵勞。而心遊物表。問道	可 涯 涘 公 之 用 心 也 雖 身 處 塵 勞 而 心 遊 物 表 問 道 
X72n1441_001:0682a09	諸山。津梁廣佈宛有摩詰老龐之風。其造佛飯僧。印	諸 山 津 梁 廣 佈 宛 有 摩 詰 老 龐 之 風 其 造 佛 飯 僧 印 
X72n1441_001:0682a10	經濟眾。皆公之無作玅行矣。公之用心。孳孳在此。則	經 濟 眾 皆 公 之 無 作 玅 行 矣 公 之 用 心 孳 孳 在 此 則 
X72n1441_001:0682a11	其壽量。曷可量乎。公今方當五十知命之年。正如赫	其 壽 量 曷 可 量 乎 公 今 方 當 五 十 知 命 之 年 正 如 赫 
X72n1441_001:0682a12	日方中。普天照矅。而余與公。同遊如來大光明藏中。	日 方 中 普 天 照 矅 而 余 與 公 同 遊 如 來 大 光 明 藏 中 
X72n1441_001:0682a13	互為賓主。相為激揚。即一語一默。一動一靜。無非公	互 為 賓 主 相 為 激 揚 即 一 語 一 默 一 動 一 靜 無 非 公 
X72n1441_001:0682a14	之壽光掩映。流通發揚者。豈世俗龜齡鶴筭。日升月	之 壽 光 掩 映 流 通 發 揚 者 豈 世 俗 龜 齡 鶴 筭 日 升 月 
X72n1441_001:0682a15	恒之論。可同日而語哉。至于法身無相。壽量無量。根	恒 之 論 可 同 日 而 語 哉 至 于 法 身 無 相 壽 量 無 量 根 
X72n1441_001:0682a16	盤天地之先。光逾日月之上。則公已默契于言外矣。	盤 天 地 之 先 光 逾 日 月 之 上 則 公 已 默 契 于 言 外 矣 
X72n1441_001:0682a17	非區區筆舌所能盡。姑述公之雅量廣大。與用心福	非 區 區 筆 舌 所 能 盡 姑 述 公 之 雅 量 廣 大 與 用 心 福 
X72n1441_001:0682a18	善。為公大福大年之卜云。	善 為 公 大 福 大 年 之 卜 云 
X72n1441_001:0682a19	遠公詠	遠 公 詠 
X72n1441_001:0682a20	遠公居廬山下。持律精苦。過中不受蜜湯。而作詩換	遠 公 居 廬 山 下 持 律 精 苦 過 中 不 受 蜜 湯 而 作 詩 換 
X72n1441_001:0682a21	酒飲陶彭澤。送客亡貴賤不過虎溪。而與陸道士修	酒 飲 陶 彭 澤 送 客 亡 貴 賤 不 過 虎 溪 而 與 陸 道 士 修 
X72n1441_001:0682a22	靜。行過溪百步。大笑而別。禪月有詩云。愛陶長官醉	靜 行 過 溪 百 步 大 笑 而 別 禪 月 有 詩 云 愛 陶 長 官 醉 
X72n1441_001:0682a23	兀兀。送陸道士行遲遲。買酒過溪皆破戒斯何人斯	兀 兀 送 陸 道 士 行 遲 遲 買 酒 過 溪 皆 破 戒 斯 何 人 斯 
X72n1441_001:0682a24	師如斯。宋黃魯直詩云。邀陶淵明把酒椀。送陸修靜	師 如 斯 宋 黃 魯 直 詩 云 邀 陶 淵 明 把 酒 椀 送 陸 修 靜 
X72n1441_001:0682b01	過虎溪。胸次九流明似鏡。人間萬事醉如泥。余竊倣	過 虎 溪 胸 次 九 流 明 似 鏡 人 間 萬 事 醉 如 泥 余 竊 倣 
X72n1441_001:0682b02	之曰。愛陶醉裏能深省。友陸異中還有同。換酒過橋	之 曰 愛 陶 醉 裏 能 深 省 友 陸 異 中 還 有 同 換 酒 過 橋 
X72n1441_001:0682b03	楔出楔。直令千古仰高風。	楔 出 楔 直 令 千 古 仰 高 風 
X72n1441_001:0682b04	黃宇珍十二影詩序	黃 宇 珍 十 二 影 詩 序 
X72n1441_001:0682b05	天地萬物。總是箇影子。舉世之人。是箇弄影的漢。殊	天 地 萬 物 總 是 箇 影 子 舉 世 之 人 是 箇 弄 影 的 漢 殊 
X72n1441_001:0682b06	不知形為影本。影自形生。而於影上求影。轉見差錯。	不 知 形 為 影 本 影 自 形 生 而 於 影 上 求 影 轉 見 差 錯 
X72n1441_001:0682b07	黃公宇珍。隱居村落。年德既高。眼目亦正。乃作十二	黃 公 宇 珍 隱 居 村 落 年 德 既 高 眼 目 亦 正 乃 作 十 二 
X72n1441_001:0682b08	影詩。即其近者言之。令易曉耳。讀者苟能即其詩以	影 詩 即 其 近 者 言 之 令 易 曉 耳 讀 者 苟 能 即 其 詩 以 
X72n1441_001:0682b09	求其影。即影以求其非影。則宇老此作。實有深益非	求 其 影 即 影 以 求 其 非 影 則 宇 老 此 作 實 有 深 益 非 
X72n1441_001:0682b10	浪語也。若徒留連於風月。吟咏於字句。則劍去久矣	浪 語 也 若 徒 留 連 於 風 月 吟 咏 於 字 句 則 劍 去 久 矣 
X72n1441_001:0682b11	方乃劾舟。余又不能無弄影之嘆云。	方 乃 劾 舟 余 又 不 能 無 弄 影 之 嘆 云 
X72n1441_001:0682b12	等韻指月序	等 韻 指 月 序 
X72n1441_001:0682b13	等韻反切。出於釋氏。余幼忝入釋。而韻學素未甞關	等 韻 反 切 出 於 釋 氏 余 幼 忝 入 釋 而 韻 學 素 未 甞 關 
X72n1441_001:0682b14	心。一日黃子季瑜。持所編韻法橫圖音切指月。索序。	心 一 日 黃 子 季 瑜 持 所 編 韻 法 橫 圖 音 切 指 月 索 序 
X72n1441_001:0682b15	一為展卷。不啻於菟之視水車。了不見其縫隙。序曷	一 為 展 卷 不 啻 於 菟 之 視 水 車 了 不 見 其 縫 隙 序 曷 
X72n1441_001:0682b16	可為。雖然。甞聞之清凉國師曰。字母是一切字根本。	可 為 雖 然 甞 聞 之 清 凉 國 師 曰 字 母 是 一 切 字 根 本 
X72n1441_001:0682b17	如迦佉誐伽等三十四字。以娑(上)娑(平)枲嘶等十二	如 迦 佉 誐 伽 等 三 十 四 字 以 娑 上 娑 平 枲 嘶 等 十 二 
X72n1441_001:0682b18	音。入此三十四字。則一字中成十二字。復有二合。三	音 入 此 三 十 四 字 則 一 字 中 成 十 二 字 復 有 二 合 三 
X72n1441_001:0682b19	合。乃至六合。出一切字。故名為母。梵天之書。千古無	合 乃 至 六 合 出 一 切 字 故 名 為 母 梵 天 之 書 千 古 無 
X72n1441_001:0682b20	易。不同此土。篆隷隨時也。觀此。則世人徒知等韻字	易 不 同 此 土 篆 隷 隨 時 也 觀 此 則 世 人 徒 知 等 韻 字 
X72n1441_001:0682b21	母能切字。而不知其能生一切諸字也。徒知始於神	母 能 切 字 而 不 知 其 能 生 一 切 諸 字 也 徒 知 始 於 神 
X72n1441_001:0682b22	珙。而不知實本諸經論。為世尊金口親宣也。脣可以	珙 而 不 知 實 本 諸 經 論 為 世 尊 金 口 親 宣 也 脣 可 以 
X72n1441_001:0682b23	不學乎。字彚音切橫直二圖。出於等韻。最為簡便。而	不 學 乎 字 彚 音 切 橫 直 二 圖 出 於 等 韻 最 為 簡 便 而 
X72n1441_001:0682b24	黃子指月一書。又出於字彚。是簡便中以簡便。凡留	黃 子 指 月 一 書 又 出 於 字 彚 是 簡 便 中 以 簡 便 凡 留 
X72n1441_001:0682c01	心韻學者。能因指月而入字彚。因字彚而入等韻。因	心 韻 學 者 能 因 指 月 而 入 字 彚 因 字 彚 而 入 等 韻 因 
X72n1441_001:0682c02	等韻而了一切諸字。因字而了盡萬法譬如尋流得	等 韻 而 了 一 切 諸 字 因 字 而 了 盡 萬 法 譬 如 尋 流 得 
X72n1441_001:0682c03	源。伐樹得根而季瑜嘉惠後學一段苦心。庶不至唐	源 伐 樹 得 根 而 季 瑜 嘉 惠 後 學 一 段 苦 心 庶 不 至 唐 
X72n1441_001:0682c04	捐云。	捐 云 
X72n1441_001:0682c05	五經宗趣序	五 經 宗 趣 序 
X72n1441_001:0682c06	永明壽禪師。晦無師智。而用眾智為智。集經律論。及	永 明 壽 禪 師 晦 無 師 智 而 用 眾 智 為 智 集 經 律 論 及 
X72n1441_001:0682c07	西天東土諸聖師。以及六經子史百家之言。為宗鏡	西 天 東 土 諸 聖 師 以 及 六 經 子 史 百 家 之 言 為 宗 鏡 
X72n1441_001:0682c08	錄一百卷。所謂舉一心為宗。照萬法為鏡。如融眾器	錄 一 百 卷 所 謂 舉 一 心 為 宗 照 萬 法 為 鏡 如 融 眾 器 
X72n1441_001:0682c09	以為金。匯百川而為海。明白示人。如指諸掌。法施之	以 為 金 匯 百 川 而 為 海 明 白 示 人 如 指 諸 掌 法 施 之 
X72n1441_001:0682c10	大。不可思議。但時當末法。人安寡聞。每一展卷。罔測	大 不可思議 但 時 當 末 法 人 安 寡 聞 每 一 展 卷 罔 測 
X72n1441_001:0682c11	涯涘。所以束置高閣。封野馬而飽蠧魚者。在在皆是	涯 涘 所 以 束 置 高 閣 封 野 馬 而 飽 蠧 魚 者 在 在 皆 是 
X72n1441_001:0682c12	也。淵雷靜主。粵東香山人。為空隱老人執侍弟。子見	也 淵 雷 靜 主 粵 東 香 山 人 為 空 隱 老 人 執 侍 弟 子 見 
X72n1441_001:0682c13	地隱實。履行精嚴。習靜建溪之高山。二十餘載。以是	地 隱 實 履 行 精 嚴 習 靜 建 溪 之 高 山 二 十 餘 載 以 是 
X72n1441_001:0682c14	錄為照心之明鏡。涵泳其中。凡遇拈提法華。楞嚴。圓	錄 為 照 心 之 明 鏡 涵 泳 其 中 凡 遇 拈 提 法 華 楞 嚴 圓 
X72n1441_001:0682c15	覺。維摩。金剛處。輙手抄出。成兩鉅帙。名曰五經宗趣。	覺 維 摩 金 剛 處 輙 手 抄 出 成 兩 鉅 帙 名 曰 五 經 宗 趣 
X72n1441_001:0682c16	葢欲使讀者。得其宗趣以明經。由經以入宗鏡。照了	葢 欲 使 讀 者 得 其 宗 趣 以 明 經 由 經 以 入 宗 鏡 照 了 
X72n1441_001:0682c17	一心。融通萬法持以示予。且徵序焉。予惟法華開佛	一 心 融 通 萬 法 持 以 示 予 且 徵 序 焉 予 惟 法 華 開 佛 
X72n1441_001:0682c18	知見楞嚴顯示真心。圓覺指體投機。淨名彈偏折小。	知 見 楞 嚴 顯 示 真 心 圓 覺 指 體 投 機 淨 名 彈 偏 折 小 
X72n1441_001:0682c19	金剛則頓空諸相。諸相既空。則可以入不二之門。證	金 剛 則 頓 空 諸 相 諸 相 既 空 則 可 以 入 不 二 之 門 證 
X72n1441_001:0682c20	圓明之性。至一切事究竟堅固之地。而如來出世大	圓 明 之 性 至 一 切 事 究 竟 堅 固 之 地 而 如 來 出 世 大 
X72n1441_001:0682c21	事因緣。究竟圓滿矣。是乃遊法海之慧舟。開寶藏之	事 因 緣 究 竟 圓 滿 矣 是 乃 遊 法 海 之 慧 舟 開 寶 藏 之 
X72n1441_001:0682c22	金鑰。不特為宗鏡發起而已。淵公法施之心。亦不可	金 鑰 不 特 為 宗 鏡 發 起 而 已 淵 公 法 施 之 心 亦 不 可 
X72n1441_001:0682c23	思議。敬辨數語。以為來者勸云。	思 議 敬 辨 數 語 以 為 來 者 勸 云 
X72n1441_001:0682c24	重刻月上女經序	重 刻 月 上 女 經 序 
X72n1441_001:0683a01	謝碩公茂才。刻月上菩薩經。印施流通。為報母也。其	謝 碩 公 茂 才 刻 月 上 菩 薩 經 印 施 流 通 為 報 母 也 其 
X72n1441_001:0683a02	緣起於郡隍請懸明講師誦月上女經五百部。祈母	緣 起 於 郡 隍 請 懸 明 講 師 誦 月 上 女 經 五 百 部 祈 母 
X72n1441_001:0683a03	轉女身云。管東溟公。以因緣序之於前。而龍山和尚	轉 女 身 云 管 東 溟 公 以 因 緣 序 之 於 前 而 龍 山 和 尚 
X72n1441_001:0683a04	以劫初事跋之於後。謝子一日持經見過。而咨以經	以 劫 初 事 跋 之 於 後 謝 子 一 日 持 經 見 過 而 咨 以 經 
X72n1441_001:0683a05	中大旨。余曰。眾生無始劫來。沉淪欲海。無由得出。月	中 大 旨 余 曰 眾 生 無 始 劫 來 沉 淪 欲 海 無 由 得 出 月 
X72n1441_001:0683a06	上菩薩以同體大悲。示作端正女人。發其欲意。即曉	上 菩 薩 以 同 體 大 悲 示 作 端 正 女 人 發 其 欲 意 即 曉 
X72n1441_001:0683a07	欲之重患。而令入離欲真際。所謂先以欲鈎牽。後令	欲 之 重 患 而 令 入 離 欲 真 際 所 謂 先 以 欲 鈎 牽 後 令 
X72n1441_001:0683a08	入佛智者。是也。經云。若有起欲來觀者。乃得清淨無	入 佛 智 者 是 也 經 云 若 有 起 欲 來 觀 者 乃 得 清 淨 無 
X72n1441_001:0683a09	欲心。不其然乎。眾人欲意既息。即引向佛所。而途中	欲 心 不 其 然 乎 眾 人 欲 意 既 息 即 引 向 佛 所 而 途 中 
X72n1441_001:0683a10	遇舍利弗。摩訶迦葉等。欲勘驗其得忍與否。月上縱	遇 舍 利 弗 摩 訶 迦 葉 等 欲 勘 驗 其 得 忍 與 否 月 上 縱 
X72n1441_001:0683a11	其無礙之辨。而直與本分相見。即維摩詰彈叱諸聲	其 無 礙 之 辨 而 直 與 本 分 相 見 即 維 摩 詰 彈 叱 諸 聲 
X72n1441_001:0683a12	聞人。令入大乘。無以異也。舍利弗問月上言。汝於今	聞 人 令 入 大 乘 無 以 異 也 舍 利 弗 問 月 上 言 汝 於 今 
X72n1441_001:0683a13	者。行何乘也。為行聲聞乘。為行辟支佛乘。為行大乘。	者 行 何 乘 也 為 行 聲 聞 乘 為 行 辟 支 佛 乘 為 行 大 乘 
X72n1441_001:0683a14	月上報言。如舍利弗所證法者。為行聲聞乘。為行辟	月 上 報 言 如 舍 利 弗 所 證 法 者 為 行 聲 聞 乘 為 行 辟 
X72n1441_001:0683a15	支佛乘。為行大乘。舍利弗報彼女言。非也。月上。所以	支 佛 乘 為 行 大 乘 舍 利 弗 報 彼 女 言 非 也 月 上 所 以 
X72n1441_001:0683a16	者何。然彼法者。無可分別。亦無言說。非別非一。亦非	者 何 然 彼 法 者 無 可 分 別 亦 無 言 說 非 別 非 一 亦 非 
X72n1441_001:0683a17	眾多。爾時月上報言。舍利弗。是故不應分別。諸法一	眾 多 爾 時 月 上 報 言 舍 利 弗 是 故 不 應 分 別 諸 法 一 
X72n1441_001:0683a18	相異相。無別異相。於諸法中。無有可住故。涅槃者。實	相 異 相 無 別 異 相 於 諸 法 中 無 有 可 住 故 涅 槃 者 實 
X72n1441_001:0683a19	無可滅。迹斯語也。政所謂佛祖位中留不住。夜深依	無 可 滅 迹 斯 語 也 政 所 謂 佛 祖 位 中 留 不 住 夜 深 依 
X72n1441_001:0683a20	舊宿蘆花者也。舍利弗輩以女相求之。而欲試驗。豈	舊 宿 蘆 花 者 也 舍 利 弗 輩 以 女 相 求 之 而 欲 試 驗 豈 
X72n1441_001:0683a21	非捕風捉影者乎。月上既見佛。而記其往生極樂。供	非 捕 風 捉 影 者 乎 月 上 既 見 佛 而 記 其 往 生 極 樂 供 
