T39n1789_001:0343a04	欽錄	欽 錄 
T39n1789_003:0394c25	知有縛有解。所以者何。謂於一切法有無有。	知 有 縛 有 解 所以者何 謂 於一切法 有 無 有 
T39n1789_003:0394c26	無眾生可得故　此中文有三段。言彼中等	無 眾 生 可 得 故 此 中 文 有 三 段 言 彼 中 等 
T39n1789_003:0394c27	者。即指前相續不相續相。謂無此二相者。由	者 即 指 前 相 續 不 相 續 相 謂 無 此 二 相 者 由 
T39n1789_003:0394c28	菩薩見一切法住寂靜。故經云諸法從本來	菩 薩 見 一 切 法 住 寂 靜 故 經 云 諸 法 從 本 來 
T39n1789_003:0394c29	常自寂滅相者是也。且世間諸法生滅流注。	常 自 寂 滅 相 者 是 也 且 世 間 諸 法 生 滅 流 注 
T39n1789_003:0395a01	何以見其寂靜。故云覺外性非性等。謂了諸	何 以 見 其 寂 靜 故 云 覺 外 性 非 性 等 謂 了 諸 
T39n1789_003:0395a02	法唯心心外無法。如是觀之自然能見有無	法 唯 心 心 外 無 法 如 是 觀 之 自 然 能 見 有 無 
T39n1789_003:0395a03	法相皆悉空寂。故無相續不相續相。言無有	法 相 皆 悉 空 寂 故 無 相 續 不 相 續 相 言 無 有 
T39n1789_003:0395a04	縛解者。前之相續不相續皆名為縛。惟觀寂	縛 解 者 前 之 相 續 不 相 續 皆 名 為 縛 惟 觀 寂 
T39n1789_003:0395a05	靜之智名解。然如實理中本無縛解。所以有	靜 之 智 名 解 然 如 實 理 中 本 無 縛 解 所 以 有 
T39n1789_003:0395a06	縛有解者。不見此理故也。既又徵釋謂一切	縛 有 解 者 不 見 此 理 故 也 既 又 徵 釋 謂 一 切 
T39n1789_003:0395a07	法若有若無。求其體性俱不可得故。故云無眾	法 若有若無 求 其 體 性 俱 不 可 得 故 故 云 無 眾 
T39n1789_003:0395a08	生可得。	生 可 得 
T39n1789_003:0395a09	復次大慧愚夫有三相續。謂貪恚癡及愛。未	復 次 大 慧 愚 夫 有 三 相 續 謂 貪 恚 癡 及 愛 未 
T39n1789_003:0395a10	來有喜愛。俱以此相續故有趣相續。彼相續	來 有 喜 愛 俱 以 此 相 續 故 有 趣 相 續 彼 相 續 
T39n1789_003:0395a11	者續五趣。大慧。相續斷者。無有相續不相續	者 續 五 趣 大 慧 相 續 斷 者 無 有 相 續 不 相 續 
T39n1789_003:0395a12	相復次大慧。三和合緣。作方便計著。識相續	相 復 次 大 慧 三 和 合 緣 作 方 便 計 著 識 相 續 
T39n1789_003:0395a13	無間生。方便計著則有相續。三和合緣識斷。	無 間 生 方 便 計 著 則 有 相 續 三 和 合 緣 識 斷 
T39n1789_003:0395a14	見三解脫一切相續不生　貪恚癡者相續之	見 三 解 脫 一 切 相 續 不 生 貪 恚 癡 者 相 續 之 
T39n1789_003:0395a15	因也。五趣者相續之果也。由過去因成現在	因 也 五 趣 者 相 續 之 果 也 由 過 去 因 成 現 在 
T39n1789_003:0395a16	果。現在作因復招未來之報。言愛未來者。謂	果 現 在 作 因 復 招 未 來 之 報 言 愛 未 來 者 謂 
T39n1789_003:0395a17	貪愛來生如意果報與喜愛俱。以此三毒相續	貪 愛 來 生 如 意 果 報 與 喜 愛 俱 以 此 三 毒 相 續 
T39n1789_003:0395a18	故有諸趣輪轉。言趣者。即六道也。以修羅遍	故 有 諸 趣 輪 轉 言 趣 者 即 六 道 也 以 修 羅 遍 
T39n1789_003:0395a19	於五道故。但云五趣。言相續斷者。謂三毒滅	於 五 道 故 但 云 五 趣 言 相 續 斷 者 謂 三 毒 滅 
T39n1789_003:0395a20	則離五趣。所謂因滅則果滅也。又言無相續	則 離 五 趣 所 謂 因 滅 則 果 滅 也 又 言 無 相 續 
T39n1789_003:0395a21	不相續相者。亦無縛無脫之謂。即境智雙	不 相 續 相 者 亦 無 縛 無 脫 之 謂 即 境 智 雙 
T39n1789_003:0395a22	亡也。三和合緣等者。言外道妄計根塵我	亡 也 三 和 合 緣 等 者 言 外 道 妄 計 根 塵 我 
T39n1789_003:0395a23	三緣和合諸識次第相續而起。又言方便計	三 緣 和 合 諸 識 次 第 相 續 而 起 又 言 方 便 計 
T39n1789_003:0395a24	著者。言有執著則相續無間。若了三緣。離諸	著 者 言 有 執 著 則 相 續 無 間 若 了 三 緣 離 諸 
T39n1789_003:0395a25	執著見三種解脫。則相續不生矣。三解脫者。	執 著 見 三 種 解 脫 則 相 續 不 生 矣 三 解 脫 者 
T39n1789_003:0395a26	性淨解脫圓淨解脫方便淨解脫也。蓋了三	性 淨 解 脫 圓 淨 解 脫 方 便 淨 解 脫 也 蓋 了 三 
T39n1789_003:0395a27	緣即三解脫非別有也。	緣 即 三 解 脫 非 別 有 也 
T39n1789_003:0395a28	爾時世尊欲重宣此義。而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
T39n1789_003:0395a29	　不真實妄想　　是說相續相	 不 真 實 妄 想 是 說 相 續 相 
T39n1789_003:0395b01	　若知彼真實　　相續網則斷	 若 知 彼 真 實 相 續 網 則 斷 
T39n1789_003:0395b02	　於諸性無知　　隨言說攝受	 於 諸 性 無 知 隨 言 說 攝 受 
T39n1789_003:0395b03	　譬如彼蠶蟲　　結網而自纏	 譬 如 彼 蠶 蟲 結 網 而 自 纏 
T39n1789_003:0395b04	　愚夫妄想縛　　相續不觀察	 愚 夫 妄 想 縛 相 續 不 觀 察 
T39n1789_003:0395b05	此頌上續不續不出真妄而已。妄則續真	此 頌 上 續 不 續 不 出 真 妄 而 已 妄 則 續 真 
T39n1789_003:0395b06	則不續。若了妄即真。則諸法一如。豈有續不	則 不 續 若 了 妄 即 真 則 諸 法 一 如 豈 有 續 不 
T39n1789_003:0395b07	續耶若於諸法無知隨語取著。如蠶結網自	續 耶 若 於 諸 法 無 知 隨 語 取 著 如 蠶 結 網 自 
T39n1789_003:0395b08	縛縛他無有間斷。由不觀察故也。反而觀之	縛 縛 他 無有間斷 由 不 觀 察 故 也 反 而 觀 之 
T39n1789_003:0395b09	相續何有。◎	相 續 何 有 
T39n1789_003:0395b10	楞伽阿跋多羅寶經註解卷第三(上)	楞 伽 阿 跋 多 羅 寶 經 註 解 卷 第 三 上 
T39n1789_004:0403c09	楞伽阿跋多羅寶經註解卷第四	楞 伽 阿 跋 多 羅 寶 經 註 解 卷 第 四 
T39n1789_004:0403c10	(上)	 上 
T39n1789_004:0403c12	宋求那跋多羅奉　詔譯	宋 求 那 跋 多 羅 奉 詔 譯 
T39n1789_004:0403c13	大明天界善世禪寺住持(臣)僧(宗泐)	大 明 天 界 善 世 禪 寺 住 持 臣 僧 宗 泐 
T39n1789_004:0403c14	演福講寺住持(臣)僧(如玘)奉　詔同註	演 福 講 寺 住 持 臣 僧 如 玘 奉 詔 同 註 
T39n1789_004:0403c15	一切佛語心品第四	一 切 佛 語 心 品 第 四 
T39n1789_004:0403c16	爾時大慧菩薩白佛言。世尊。惟願為說三藐	爾 時 大 慧 菩 薩 白 佛 言 世 尊 惟 願 為 說 三 藐 
T39n1789_004:0403c17	三佛陀。我及餘菩薩摩訶薩善於如來自性自	三 佛 陀 我 及 餘 菩薩摩訶薩 善 於 如 來 自 性 自 
T39n1789_004:0403c18	覺覺他。佛告大慧。咨所欲問。我當為汝隨所	覺 覺 他 佛 告 大 慧 咨 所 欲 問 我 當 為 汝 隨 所 
T39n1789_004:0403c19	問說。大慧白佛言。世尊。如來應供等正覺。為	問 說 大 慧 白 佛 言 世 尊 如 來 應 供 等 正 覺 為 
T39n1789_004:0403c20	作耶。為不作耶。為事耶。為因耶。為相耶。為所	作 耶 為 不 作 耶 為 事 耶 為 因 耶 為 相 耶 為 所 
T39n1789_004:0403c21	相耶。為說耶。為所說耶。為覺耶。為所覺耶。	相 耶 為 說 耶 為 所 說 耶 為 覺 耶 為 所 覺 耶 
T39n1789_004:0403c22	如是等辭句。為異為不異　涅槃是所證之	如 是 等 辭 句 為 異 為 不 異 涅 槃 是 所 證 之 
T39n1789_004:0403c23	法。如來是能證之人。大慧既領。涅槃之旨故。	法 如 來 是 能 證 之 人 大 慧 既 領 涅 槃 之 旨 故 
T39n1789_004:0403c24	又以如來為請。三藐三佛陀此云正遍知。亦	又 以 如 來 為 請 三藐三佛陀 此 云 正 遍 知 亦 
T39n1789_004:0403c25	名正覺。正遍知者。謂正知遍知。正知於中遍	名 正 覺 正 遍 知 者 謂 正 知 遍 知 正 知 於 中 遍 
T39n1789_004:0403c26	知於邊。如來自性謂法身也。佛既領請故。大	知 於 邊 如 來 自 性 謂 法 身 也 佛 既 領 請 故 大 
T39n1789_004:0403c27	慧具以三號為問。三號即是三德。如來即法	慧 具 以 三 號 為 問 三 號 即 是 三 德 如 來 即 法 
T39n1789_004:0403c28	身中諦也。應供即解脫俗諦也。正遍知即般	身 中 諦 也 應 供 即 解 脫 俗 諦 也 正 遍 知 即 般 
T39n1789_004:0403c29	若真諦也。通號有十。而特問此三者。乃其要	若 真 諦 也 通 號 有 十 而 特 問 此 三 者 乃 其 要 
T39n1789_004:0404a01	也。作謂修持造作義該因果。事即果也。相謂	也 作 謂 修 持 造 作 義 該 因 果 事 即 果 也 相 謂 
T39n1789_004:0404a02	身相說謂言說覺謂覺知。謂如來於此辭句。	身 相 說 謂 言 說 覺 謂 覺 知 謂 如 來 於 此 辭 句 
T39n1789_004:0404a03	為異為不異耶。	為 異 為 不 異 耶 
T39n1789_004:0404a04	佛告大慧。如來應供等正覺。於如是等辭句。	佛 告 大 慧 如 來 應 供 等 正 覺 於 如 是 等 辭 句 
T39n1789_004:0404a05	非事非因。所以者何。俱有過故。大慧。若如來	非 事 非 因 所以者何 俱 有 過 故 大 慧 若 如 來 
T39n1789_004:0404a06	是事者。或作或無常。無常故。一切事應是如	是 事 者 或 作 或 無 常 無 常 故 一 切 事 應 是 如 
T39n1789_004:0404a07	來。我及諸佛皆所不欲。若非所作者。無所得	來 我 及 諸 佛 皆 所 不 欲 若 非 所 作 者 無 所 得 
T39n1789_004:0404a08	故方便則空。同於兔角槃大之子。以無所有	故 方 便 則 空 同 於 兔 角 槃 大 之 子 以 無 所 有 
T39n1789_004:0404a09	故。大慧。若無事無因者。則非有非無若非有	故 大 慧 若 無 事 無 因 者 則 非有非無 若 非 有 
T39n1789_004:0404a10	非無則出於四句。四句者是世間言說。若出	非 無 則 出 於 四 句 四 句 者 是 世間言說 若 出 
T39n1789_004:0404a11	四句者。則不墮四句。不墮四句故智者所取。	四 句 者 則 不 墮 四 句 不 墮 四 句 故 智 者 所 取 
T39n1789_004:0404a12	一切如來句義亦如是。慧者當知　答中先	一 切 如 來 句 義 亦 如 是 慧 者 當 知 答 中 先 
T39n1789_004:0404a13	酬所問。非事非因即非因非果也。合云非作	酬 所 問 非 事 非 因 即 非 因 非 果 也 合 云 非 作 
T39n1789_004:0404a14	非不作。言俱有過者。不特言事因而已。正言	非 不 作 言 俱 有 過 者 不 特 言 事 因 而 已 正 言 
T39n1789_004:0404a15	如來若惟是事因。則墮有作之過。若非事因	如 來 若 惟 是 事 因 則 墮 有 作 之 過 若 非 事 因 
T39n1789_004:0404a16	則墮無所有過也。言如來是事等者。謂若如	則 墮 無 所 有 過 也 言 如 來 是 事 等 者 謂 若 如 
T39n1789_004:0404a17	來定須用因果等事。則是無常。若是無常。則	來 定 須 用 因 果 等 事 則 是 無 常 若 是 無 常 則 
T39n1789_004:0404a18	一切所作之法應是如來。然我及諸佛。皆不	一 切 所 作 之 法 應 是 如 來 然 我 及 諸 佛 皆 不 
T39n1789_004:0404a19	欲同彼事也。若非所作等。即覈上非事因句。	欲 同 彼 事 也 若 非 所 作 等 即 覈 上 非 事 因 句 
T39n1789_004:0404a20	謂非所作則無所得。無所得則智慧方便皆	謂 非 所 作 則 無 所 得 無 所 得 則 智慧方便 皆 
T39n1789_004:0404a21	為徒設。同於兔角石女兒也。又言無事無因	為 徒 設 同 於 兔 角 石 女 兒 也 又 言 無 事 無 因 
T39n1789_004:0404a22	者。謂法身既非有作。則離有無之過。離有無	者 謂 法 身 既 非 有 作 則 離 有 無 之 過 離 有 無 
T39n1789_004:0404a23	過則出於四句之外。四句者。即一異俱不俱	過 則 出 於 四 句 之 外 四 句 者 即 一 異 俱 不 俱 
T39n1789_004:0404a24	有無非有非無常無常等四句也。不墮此四	有 無 非有非無 常 無 常 等 四 句 也 不 墮 此 四 
T39n1789_004:0404a25	句。是為如來句義。為智者之所取也。	句 是 為 如 來 句 義 為 智 者 之 所 取 也 
T39n1789_004:0404a26	如我所說一切法無我。當知此義。無我性是	如 我 所 說 一切法無我 當 知 此 義 無 我 性 是 
T39n1789_004:0404a27	無我。一切法有自性無他性如牛馬。大慧。譬	無 我 一 切 法 有 自 性 無 他 性 如 牛 馬 大 慧 譬 
T39n1789_004:0404a28	如非牛馬性非馬牛性。其實非有非無。彼非	如 非 牛 馬 性 非 馬 牛 性 其 實 非有非無 彼 非 
T39n1789_004:0404a29	無自性。如是大慧。一切諸法非無。自相。有自	無 自 性 如 是 大 慧 一切諸法 非 無 自 相 有 自 
T39n1789_004:0404b01	相但非無。我愚夫之所能知。以妄想故。如是	相 但 非 無 我 愚 夫 之 所 能 知 以 妄 想 故 如 是 
T39n1789_004:0404b02	一切法。空無生無自性。當如是知　上明如	一 切 法 空 無 生 無 自 性 當 如 是 知 上 明 如 
T39n1789_004:0404b03	來句義不墮四句。恐未達者謂如來句義亦	來 句 義 不 墮 四 句 恐 未 達 者 謂 如 來 句 義 亦 
T39n1789_004:0404b04	非實性。故引例以顯。如我所說等。佛謂我常	非 實 性 故 引 例 以 顯 如 我 所 說 等 佛 謂 我 常 
T39n1789_004:0404b05	說一切法無我。無我者。謂無性執之性。非無	說 一切法無我 無 我 者 謂 無 性 執 之 性 非 無 
T39n1789_004:0404b06	性分之性。故云有自性無他性。他者對己之	性 分 之 性 故 云 有 自 性 無 他 性 他 者 對 己 之 
T39n1789_004:0404b07	謂也。意謂如來句雖離諸句。非無法身常住	謂 也 意 謂 如 來 句 雖 離 諸 句 非 無 法 身 常 住 
T39n1789_004:0404b08	自性故。又以喻顯。如牛但有牛之性而無馬	自 性 故 又 以 喻 顯 如 牛 但 有 牛 之 性 而 無 馬 
T39n1789_004:0404b09	性。馬但有馬之性而無牛性。故云非有非無。	性 馬 但 有 馬 之 性 而 無 牛 性 故 云 非有非無 
T39n1789_004:0404b10	謂彼各有自性而無他性。入楞伽云。一切諸	謂 彼 各 有 自 性 而 無 他 性 入 楞 伽 云 一 切 諸 
T39n1789_004:0404b11	法亦復如是。無有自相而非有即有。謂非但	法 亦復如是 無 有 自 相 而 非 有 即 有 謂 非 但 
T39n1789_004:0404b12	有自性。亦有自相。但非無我者。無我即聲聞。	有 自 性 亦 有 自 相 但 非 無 我 者 無 我 即 聲 聞 
T39n1789_004:0404b13	謂但非凡小之所能知。而不知者由妄想分	謂 但 非 凡 小 之 所 能 知 而 不 知 者 由 妄 想 分 
T39n1789_004:0404b14	別之所蔽也。如是一切法空等。謂一切法無	別 之 所 蔽 也 如是一切 法 空 等 謂 一 切 法 無 
T39n1789_004:0404b15	我既然。以例一切法空。如來之性不空。一切	我 既 然 以 例 一切法空 如 來 之 性 不 空 一 切 
T39n1789_004:0404b16	法無生。如來法身乃生。一切法無自性。而如	法 無 生 如來法身 乃 生 一 切 法無自性 而 如 
T39n1789_004:0404b17	來有常住之性。故云當如是知。	來 有 常 住 之 性 故 云 當 如 是 知 
T39n1789_004:0404b18	如來如是與陰非異非不異。若不異陰者應	如 來 如 是 與 陰 非 異 非 不 異 若 不 異 陰 者 應 
T39n1789_004:0404b19	是無常。若異者方便則空。若二者應有異。如	是 無 常 若 異 者 方 便 則 空 若 二 者 應 有 異 如 
T39n1789_004:0404b20	牛角相似故不異長短差別故有異。一切法	牛 角 相 似 故 不 異 長 短 差 別 故 有 異 一 切 法 
T39n1789_004:0404b21	亦如是。大慧。如牛右角異左角左角異右角。	亦 如 是 大 慧 如 牛 右 角 異 左 角 左 角 異 右 角 
T39n1789_004:0404b22	如是長短種種色各各異。大慧。如來於陰界	如 是 長 短 種 種 色 各 各 異 大 慧 如 來 於 陰 界 
T39n1789_004:0404b23	入。非異非不異　如來如是下。謂法身與五	入 非 異 非 不 異 如 來 如 是 下 謂 法 身 與 五 
T39n1789_004:0404b24	陰對論。非異非不異。陰即苦道。苦道即法身	陰 對 論 非 異 非 不 異 陰 即 苦 道 苦 道 即 法 身 
T39n1789_004:0404b25	故非異。迷悟有殊故非不異。若言法身不異	故 非 異 迷 悟 有 殊 故 非 不 異 若 言 法 身 不 異 
T39n1789_004:0404b26	五陰。則是無常生滅之法。若謂異者。則如來	五 陰 則 是 無 常 生 滅 之 法 若 謂 異 者 則 如 來 
T39n1789_004:0404b27	無全體起用方便益物之相故云則空。所以	無 全 體 起 用 方 便 益 物 之 相 故 云 則 空 所 以 
T39n1789_004:0404b28	法身與陰非異非不異也。若不了陰即是法	法 身 與 陰 非 異 非 不 異 也 若 不 了 陰 即 是 法 
T39n1789_004:0404b29	身。則二者有異故。又以牛角為喻。牛角相似	身 則 二 者 有 異 故 又 以 牛 角 為 喻 牛 角 相 似 
T39n1789_004:0404c01	則不異。長短差別則有異。一切諸法亦如是	則 不 異 長 短 差 別 則 有 異 一切諸法 亦 如 是 
T39n1789_004:0404c02	者。謂法身與一切法非異非不異。亦如是也。	者 謂 法 身 與 一 切 法 非 異 非 不 異 亦 如 是 也 
T39n1789_004:0404c03	又以牛角左右異為喻者。謂法身本一。而諸	又 以 牛 角 左 右 異 為 喻 者 謂 法 身 本 一 而 諸 
T39n1789_004:0404c04	法有異。亦猶牛之左右角之不同耳。結文可	法 有 異 亦 猶 牛 之 左 右 角 之 不 同 耳 結 文 可 
T39n1789_004:0404c05	知。	知 
T39n1789_004:0404c06	如是如來解脫非異非不異。如是如來以解	如 是 如 來 解 脫 非 異 非 不 異 如 是 如 來 以 解 
T39n1789_004:0404c07	脫名說。若如來異解脫者。應色相成。色相成	脫 名 說 若 如 來 異 解 脫 者 應 色 相 成 色 相 成 
T39n1789_004:0404c08	故應無常。若不異者修行者得相應無分別。	故 應 無 常 若 不 異 者 修 行 者 得 相 應 無 分 別 
T39n1789_004:0404c09	而修行者見分別。是故非異非不異　此法	而 修 行 者 見 分 別 是 故 非 異 非 不 異 此 法 
T39n1789_004:0404c10	身如來。對解脫之德而論。言如來以解脫名	身 如 來 對 解 脫 之 德 而 論 言 如 來 以 解 脫 名 
T39n1789_004:0404c11	說者。如來之所究顯。蓋由了結業即解脫故	說 者 如 來 之 所 究 顯 蓋 由 了 結 業 即 解 脫 故 
T39n1789_004:0404c12	也。此如來與解脫非異非不異。若云異者。解	也 此 如 來 與 解 脫 非 異 非 不 異 若 云 異 者 解 
T39n1789_004:0404c13	脫應身色相則是無常。若不異者則修行之	脫 應 身 色 相 則 是 無 常 若 不 異 者 則 修 行 之 
T39n1789_004:0404c14	人。與解脫相應。無因果人法之異。然有能所	人 與 解 脫 相 應 無 因 果 人 法 之 異 然 有 能 所 
T39n1789_004:0404c15	分別。故結云非異非不異也。	分 別 故 結 云 非 異 非 不 異 也 
T39n1789_004:0404c16	如是智及爾焰非異非不異。大慧。智及爾焰	如 是 智 及 爾 焰 非 異 非 不 異 大 慧 智 及 爾 焰 
T39n1789_004:0404c17	非異非不異者。非常非無常。非作非所作。非	非 異 非 不 異 者 非常非無常 非 作 非 所 作 非 
T39n1789_004:0404c18	有為非無為。非覺非所覺。非相非所相。非陰	有 為 非 無 為 非 覺 非 所 覺 非 相 非 所 相 非 陰 
T39n1789_004:0404c19	非異陰。非說非所說。非一非異。非俱非不俱。	非 異 陰 非 說 非 所 說 非一非異 非 俱 非 不 俱 
T39n1789_004:0404c20	非一非異。非俱非不俱故。悉離一切量　此	非一非異 非 俱 非 不 俱 故 悉 離 一 切 量 此 
T39n1789_004:0404c21	約般若與智障相對而論。智即般若爾焰即	約 般 若 與 智 障 相 對 而 論 智 即 般 若 爾 焰 即 
T39n1789_004:0404c22	智障。例前合云。若異則離障無智。若不異則	智 障 例 前 合 云 若 異 則 離 障 無 智 若 不 異 則 
T39n1789_004:0404c23	障豈是智。但云非異非不異者。文之略耳。此	障 豈 是 智 但 云 非 異 非 不 異 者 文 之 略 耳 此 
T39n1789_004:0404c24	般若與智障非異非不異者。則與法身解脫	般 若 與 智 障 非 異 非 不 異 者 則 與 法 身 解 脫 
T39n1789_004:0404c25	無二無別。故復總結而例通之。曰非常非無	無 二 無 別 故 復 總 結 而 例 通 之 曰 非 常 非 無 
T39n1789_004:0404c26	常等。總不出非二邊顯中道非能所顯一相	常 等 總 不 出 非 二 邊 顯 中 道 非 能 所 顯 一 相 
T39n1789_004:0404c27	非四句顯忘言故。又云離一切量。量即數	非 四 句 顯 忘 言 故 又 云 離 一 切 量 量 即 數 
T39n1789_004:0404c28	也。	也 
T39n1789_004:0404c29	離一切量則無言說。無言說則無生。無生則	離 一 切 量 則 無 言 說 無 言 說 則 無 生 無 生 則 
T39n1789_004:0405a01	無滅。無滅則寂滅。寂滅則自性涅槃。自性涅	無 滅 無 滅 則 寂 滅 寂 滅 則 自性涅槃 自 性 涅 
T39n1789_004:0405a02	槃則無事無因。無事無因則無攀緣。無攀緣	槃 則 無 事 無 因 無 事 無 因 則 無 攀 緣 無 攀 緣 
T39n1789_004:0405a03	則出過一切虛偽。出過一切虛偽則是如來。	則 出 過 一 切 虛 偽 出 過 一 切 虛 偽 則 是 如 來 
T39n1789_004:0405a04	如來則是三藐三佛陀。大慧。是名三藐三佛	如 來 則 是 三藐三佛陀 大 慧 是 名 三藐三佛 
T39n1789_004:0405a05	陀佛陀。大慧。三藐三佛陀佛陀者。離一切根	陀 佛 陀 大 慧 三藐三佛陀 佛 陀 者 離 一 切 根 
T39n1789_004:0405a06	量　夫離諸言量。則是無生寂滅自性涅槃	量 夫 離 諸 言 量 則 是 無 生 寂 滅 自性涅槃 
T39n1789_004:0405a07	而已。既彰本性乃復宗。結示曰無事無因等。	而 已 既 彰 本 性 乃 復 宗 結 示 曰 無 事 無 因 等 
T39n1789_004:0405a08	惟一法身逈然獨立。不見諸法為所攀緣。故	惟 一 法 身 逈 然 獨 立 不 見 諸 法 為 所 攀 緣 故 
T39n1789_004:0405a09	出一切虛偽。名為如來三藐三佛陀。重言佛	出 一 切 虛 偽 名 為 如 來 三藐三佛陀 重 言 佛 
T39n1789_004:0405a10	陀者。翻知覺之異。雙結二名也。言至於此可	陀 者 翻 知 覺 之 異 雙 結 二 名 也 言 至 於 此 可 
T39n1789_004:0405a11	謂極矣。而復疊云離一切根量者。總酬所問。	謂 極 矣 而 復 疊 云 離 一 切 根 量 者 總 酬 所 問 
T39n1789_004:0405a12	指歸法身自性也。	指 歸 法 身 自 性 也 
T39n1789_004:0405a13	爾時世尊欲重宣此義而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
T39n1789_004:0405a14	　悉離諸根量　　無事亦無因	 悉 離 諸 根 量 無 事 亦 無 因 
T39n1789_004:0405a15	　已離覺所覺　　亦離相所相	 已 離 覺 所 覺 亦 離 相 所 相 
T39n1789_004:0405a16	　陰緣等正覺　　一異莫能見	 陰 緣 等 正 覺 一 異 莫 能 見 
T39n1789_004:0405a17	　若無有見者　　云何而分別	 若 無 有 見 者 云 何 而 分 別 
T39n1789_004:0405a18	　非作非不作　　非事亦非因	 非 作 非 不 作 非 事 亦 非 因 
T39n1789_004:0405a19	　非陰非在陰　　亦非有餘雜	 非 陰 非 在 陰 亦 非 有 餘 雜 
T39n1789_004:0405a20	　亦非有諸性　　如彼妄想見	 亦 非 有 諸 性 如 彼 妄 想 見 
T39n1789_004:0405a21	　當知亦非無　　此法法亦爾	 當 知 亦 非 無 此 法 法 亦 爾 
T39n1789_004:0405a22	悉離下四句。總頌佛陀離相。陰緣者。陰即	悉 離 下 四 句 總 頌 佛 陀 離 相 陰 緣 者 陰 即 
T39n1789_004:0405a23	五陰緣即界入等攀緣之緣。正覺即法身。一	五 陰 緣 即 界 入 等 攀 緣 之 緣 正 覺 即 法 身 一 
T39n1789_004:0405a24	異莫能見者。謂正覺法身與生死苦道。無一	異 莫 能 見 者 謂 正 覺 法 身 與 生 死 苦 道 無 一 
T39n1789_004:0405a25	異之相可見。既無能見之人。豈有一異之	異 之 相 可 見 既 無 能 見 之 人 豈 有 一 異 之 
T39n1789_004:0405a26	法而可分別耶。非作等四句。正顯法身中	法 而 可 分 別 耶 非 作 等 四 句 正 顯 法 身 中 
T39n1789_004:0405a27	道。餘雜者。諸法過咎也。亦非有下四句離	道 餘 雜 者 諸 法 過 咎 也 亦 非 有 下 四 句 離 
T39n1789_004:0405a28	有無二見。言如來法體。由彼凡夫妄想分別	有無二見 言 如 來 法 體 由 彼 凡 夫 妄想分別 
T39n1789_004:0405a29	而見。雖離諸相而亦非無實相可見。此法	而 見 雖 離 諸 相 而 亦 非 無 實 相 可 見 此 法 
T39n1789_004:0405b01	法亦爾者。謂此法身不不可言有。不可言	法 亦 爾 者 謂 此 法 身 不 不 可 言 有 不 可 言 
T39n1789_004:0405b02	無法爾而然也。	無 法 爾 而 然 也 
T39n1789_004:0405b03	　以有故有無　　以無故有有	 以 有 故 有 無 以 無 故 有 有 
T39n1789_004:0405b04	　若無不應受　　若有不應想	 若 無 不 應 受 若 有 不 應 想 
T39n1789_004:0405b05	　或於我非我　　言說量留連	 或 於 我 非 我 言 說 量 留 連 
T39n1789_004:0405b06	　沈溺於二邊　　自壞壞世間	 沈 溺 於 二 邊 自 壞 壞 世 間 
T39n1789_004:0405b07	　解脫一切過　　正觀察我通	 解 脫 一 切 過 正 觀 察 我 通 
T39n1789_004:0405b08	　是名為正觀　　不毀大導師	 是 名 為 正 觀 不 毀 大 導 師 
T39n1789_004:0405b09	以有故無以無故有。此有無相待而立。有	以 有 故 無 以 無 故 有 此 有 無 相 待 而 立 有 
T39n1789_004:0405b10	無既各無自體。豈應取著。故云不應受不應	無 既 各 無 自 體 豈 應 取 著 故 云 不 應 受 不 應 
T39n1789_004:0405b11	想也。其或未子二我本空。滯於言說。此乃	想 也 其 或 未 子 二 我 本 空 滯 於 言 說 此 乃 
T39n1789_004:0405b12	溺於有無二見。非獨自壞亦且壞他。何由出	溺 於 有無二見 非 獨 自 壞 亦 且 壞 他 何 由 出 
T39n1789_004:0405b13	於生死。若能了達法身解脫自在。離一切	於 生 死 若 能 了 達 法 身 解 脫 自 在 離 一 切 
T39n1789_004:0405b14	過。是為達觀不謗於佛也。	過 是 為 達 觀 不 謗 於 佛 也 
T39n1789_004:0405b15	爾時大慧菩薩復白佛言。世尊。如世尊說。修	爾 時 大 慧 菩 薩 復 白 佛 言 世 尊 如 世 尊 說 修 
T39n1789_004:0405b16	多羅攝受不生不滅。又世尊說不生不滅是	多 羅 攝 受 不生不滅 又 世 尊 說 不生不滅 是 
T39n1789_004:0405b17	如來異名。云何世尊為無性故說不生不滅。	如 來 異 名 云 何 世 尊 為 無 性 故 說 不生不滅 
T39n1789_004:0405b18	為是如來異名。佛告大慧。我說一切法不生	為 是 如 來 異 名 佛 告 大 慧 我 說 一 切 法 不 生 
T39n1789_004:0405b19	不滅。有無品不現。大慧白佛言。世尊。若一切	不 滅 有 無 品 不 現 大 慧 白 佛 言 世 尊 若 一 切 
T39n1789_004:0405b20	法不生者。則攝受法不可得。一切法不生故。	法 不 生 者 則 攝 受 法 不 可 得 一 切 法 不 生 故 
T39n1789_004:0405b21	若名字中有法者。惟願為說。佛告大慧。善哉	若 名 字 中 有 法 者 惟 願 為 說 佛 告 大 慧 善 哉 
T39n1789_004:0405b22	善哉。諦聽諦聽。善思念之。吾當為汝分別解	善 哉 諦 聽 諦 聽 善思念之 吾 當 為 汝 分 別 解 
