T85n2771_001:0364b27	維摩經疏	維 摩 經 疏 
T85n2771_001:0371a28	我謂生死生死空故上等涅槃。涅槃空故下	我 謂 生 死 生 死 空 故 上 等 涅 槃 涅 槃 空 故 下 
T85n2771_001:0371a29	齊生死。約此空理故言平等。以何為空者。進	齊 生 死 約 此 空 理 故 言 平 等 以 何 為 空 者 進 
T85n2771_001:0371b01	問空體。此中菩薩得其空者。為是實性真如	問 空 體 此 中 菩 薩 得 其 空 者 為 是 實 性 真 如 
T85n2771_001:0371b02	之空。為是假名緣和之空。答言。但以名字故	之 空 為 是 假 名 緣 和 之 空 答 言 但 以 名 字 故 
T85n2771_001:0371b03	空者。得彼緣和空也。地前菩薩於彼一僧祇	空 者 得 彼 緣 和 空 也 地 前 菩 薩 於 彼 一 僧 祇 
T85n2771_001:0371b04	劫中聞佛言教說一切法空。耳識聞聲引意	劫 中 聞 佛 言 教 說 一切法空 耳 識 聞 聲 引 意 
T85n2771_001:0371b05	識起引多道理。恒思量數數習之。生乃能遂	識 起 引 多 道 理 恒 思 量 數 數 習 之 生 乃 能 遂 
T85n2771_001:0371b06	薰本識成空種子。無漏意識欲現行時。此空	薰 本 識 成 空 種 子 無 漏 意 識 欲 現 行 時 此 空 
T85n2771_001:0371b07	種子流入意識。於意識中有空境界。當識心	種 子 流 入 意 識 於 意 識 中 有 空 境 界 當 識 心 
T85n2771_001:0371b08	起知一切法緣和故有無性故空。緣彼名字	起 知一切法 緣 和 故 有 無 性 故 空 緣 彼 名 字 
T85n2771_001:0371b09	成此空故。故言但以名字故空。然此空境三	成 此 空 故 故 言 但 以 名 字 故 空 然 此 空 境 三 
T85n2771_001:0371b10	性往收義通三性。從心變異是分別性。屬種	性 往 收 義 通 三 性 從 心 變 異 是 分 別 性 屬 種 
T85n2771_001:0371b11	子故是依他性。無相真故是真實性也。如此	子 故 是 依 他 性 無 相 真 故 是 真 實 性 也 如 此 
T85n2771_001:0371b12	二法無決定性者。生死涅槃如此二法緣和	二 法 無 決 定 性 者 生死涅槃 如 此 二 法 緣 和 
T85n2771_001:0371b13	故有無故空。無定性。上來明法空觀訖。合	故 有 無 故 空 無 定 性 上 來 明 法 空 觀 訖 合 
T85n2771_001:0371b14	名第一修小智竟。	名 第 一 修 小 智 竟 
T85n2771_001:0371b15	自下第二明修大智。上修小智斷其惑障。下	自 下 第 二 明 修 大 智 上 修 小 智 斷 其 惑 障 下 
T85n2771_001:0371b16	修大智斷其智障。二障不生是真調伏。又上	修 大 智 斷 其 智 障 二 障 不 生 是 真 調 伏 又 上 
T85n2771_001:0371b17	修小智除分段生死。下修大智除變易生死。	修 小 智 除 分段生死 下 修 大 智 除 變易生死 
T85n2771_001:0371b18	二死不起是真療病。又上修小智即是地前	二 死 不 起 是 真 療 病 又 上 修 小 智 即 是 地 前 
T85n2771_001:0371b19	證生空觀。下修大智即是初地證法空觀。顯	證 生 空 觀 下 修 大 智 即 是 初 地 證 法 空 觀 顯 
T85n2771_001:0371b20	二空故究竟調伏。就修大智之中文有二分。	二 空 故 究 竟 調 伏 就 修 大 智 之 中 文 有 二 分 
T85n2771_001:0371b21	初明舉障。次明顯斷。得是平等無有餘病唯	初 明 舉 障 次 明 顯 斷 得 是 平 等 無 有 餘 病 唯 
T85n2771_001:0371b22	有空病者舉障也。地前菩薩假教之中於一	有 空 病 者 舉 障 也 地 前 菩 薩 假 教 之 中 於 一 
T85n2771_001:0371b23	切法得。彼緣和故有無性故空。不見生死涅	切 法 得 彼 緣 和 故 有 無 性 故 空 不 見 生 死 涅 
T85n2771_001:0371b24	槃差別。故言得是平等。唯只緣空不復著有。	槃 差 別 故 言 得 是 平 等 唯 只 緣 空 不 復 著 有 
T85n2771_001:0371b25	有病永忘故言無有餘病。說此空法為破有	有 病 永 忘 故 言 無 有 餘 病 說 此 空 法 為 破 有 
T85n2771_001:0371b26	病。有病雖除執空不捨。空不捨故空還成病。	病 有 病 雖 除 執 空 不 捨 空 不 捨 故 空 還 成 病 
T85n2771_001:0371b27	故言唯有空病。問曰。為當唯緣空之心是病。	故 言 唯 有 空 病 問 曰 為 當 唯 緣 空 之 心 是 病 
T85n2771_001:0371b28	為當所緣空境亦是病。答曰。兩釋不同。若依	為 當 所 緣 空 境 亦 是 病 答 曰 兩 釋 不 同 若 依 
T85n2771_001:0371b29	南道師解。空心空境悉皆是病。所以然者。境	南 道 師 解 空 心 空 境 悉 皆 是 病 所 以 然 者 境 
T85n2771_001:0371c01	由心變。境不離心。心既是病。境亦是病。若也	由 心 變 境 不 離 心 心 既 是 病 境 亦 是 病 若 也 
T85n2771_001:0371c02	斷時唯斷其心。境自不起。若依北道師釋。緣	斷 時 唯 斷 其 心 境 自 不 起 若 依 北 道 師 釋 緣 
T85n2771_001:0371c03	空之心是病。空境不病。所以然者。空境真法	空 之 心 是 病 空 境 不 病 所 以 然 者 空 境 真 法 
T85n2771_001:0371c04	何得是病。心緣於境橫起執著。故心是病。是	何 得 是 病 心 緣 於 境 橫 起 執 著 故 心 是 病 是 
T85n2771_001:0371c05	故斷時唯斷其心。不斷其境。雖有兩家。今依	故 斷 時 唯 斷 其 心 不 斷 其 境 雖 有 兩 家 今 依 
T85n2771_001:0371c06	前義。上來明舉障訖。道理為言。此迴向終	前 義 上 來 明 舉 障 訖 道 理 為 言 此 迴 向 終 
T85n2771_001:0371c07	欲入初地大有諸障。所謂界內見惑習氣三	欲 入 初 地 大 有 諸 障 所 謂 界 內 見 惑 習 氣 三 
T85n2771_001:0371c08	愛隨眠正之與習及以界外最初無明住地漏	愛 隨 眠 正 之 與 習 及 以 界 外 最 初 無明住地 漏 
T85n2771_001:0371c09	業等。此中文略故不備□。今空病者。緣空之	業 等 此 中 文 略 故 不 備 今 空 病 者 緣 空 之 
T85n2771_001:0371c10	心無漏業也。空病亦空者。此明翻障顯斷。本	心 無 漏 業 也 空 病 亦 空 者 此 明 翻 障 顯 斷 本 
T85n2771_001:0371c11	期說空。為彼有病。有病既遣。空亦須除。故	期 說 空 為 彼 有 病 有 病 既 遣 空 亦 須 除 故 
T85n2771_001:0371c12	論云。大聖說空法。為離諸見故。若人著於	論 云 大 聖 說 空 法 為 離 諸 見 故 若 人 著 於 
T85n2771_001:0371c13	空。諸佛所不化。故言空病亦空。上來明修大	空 諸 佛 所 不 化 故 言 空 病 亦 空 上 來 明 修 大 
T85n2771_001:0371c14	智訖。即是從初地已去乃至金剛已還總是	智 訖 即 是 從 初 地 已 去 乃 至 金 剛 已 還 總 是 
T85n2771_001:0371c15	修大智位。然今就難處作法故復且說初地	修 大 智 位 然 今 就 難 處 作 法 故 復 且 說 初 地 
T85n2771_001:0371c16	心也。合名第一修智已了。	心 也 合 名 第 一 修 智 已 了 
T85n2771_001:0371c17	自下第二明其修悲。問曰。眾行之中何故獨	自 下 第 二 明 其 修 悲 問 曰 眾 行 之 中 何 故 獨 
T85n2771_001:0371c18	修智悲兩行。答。智悲兩行攝眾行盡。是故偏	修 智 悲 兩 行 答 智 悲 兩 行 攝 眾 行 盡 是 故 偏 
T85n2771_001:0371c19	明。論其修智即是自調。語其修悲即是調他。	明 論 其 修 智 即 是 自 調 語 其 修 悲 即 是 調 他 
T85n2771_001:0371c20	論其修不住生死即異凡夫。語其修悲不住	論 其 修 不 住 生 死 即 異 凡 夫 語 其 修 悲 不 住 
T85n2771_001:0371c21	涅槃即異聲聞。論其修智得菩薩名。語其修	涅 槃 即 異 聲 聞 論 其 修 智 得 菩 薩 名 語 其 修 
T85n2771_001:0371c22	悲得摩訶薩稱。論其修智依厭離九為心求	悲 得 摩 訶 薩 稱 論 其 修 智 依 厭 離 九 為 心 求 
T85n2771_001:0371c23	一切智心。語其修悲依深念眾生心成。論其	一切智心 語 其 修 悲 依 深 念 眾 生 心 成 論 其 
T85n2771_001:0371c24	修智依律儀戒攝善法戒成。語其修悲依攝	修 智 依 律 儀 戒 攝善法戒 成 語 其 修 悲 依 攝 
T85n2771_001:0371c25	眾生戒成。論其修智成智德共斷德。語其修	眾 生 戒 成 論 其 修 智 成 智 德 共 斷 德 語 其 修 
T85n2771_001:0371c26	悲即成恩德。論其修智得法身共報身。語其	悲 即 成 恩 德 論 其 修 智 得 法 身 共 報 身 語 其 
T85n2771_001:0371c27	修悲得化身。是故智悲遍攝眾行。就此修悲。	修 悲 得 化 身 是 故 智 悲 遍 攝 眾 行 就 此 修 悲 
T85n2771_001:0371c28	文中還兩分。	文 中 還 兩 分 
T85n2771_001:0371c29	第一明修小悲。即是地前。第二彼有疾菩薩	第 一 明 修 小 悲 即 是 地 前 第 二 彼 有 疾 菩 薩 
T85n2771_001:0372a01	應念我病非真非有已下明修大悲。即是地	應 念 我 病 非 真 非 有 已 下 明 修 大 悲 即 是 地 
T85n2771_001:0372a02	上。就前小悲中先論其意後釋其文。論其意	上 就 前 小 悲 中 先 論 其 意 後 釋 其 文 論 其 意 
T85n2771_001:0372a03	者。地前菩薩直來之人修其小悲。小悲體相	者 地 前 菩 薩 直 來 之 人 修 其 小 悲 小 悲 體 相 
T85n2771_001:0372a04	即是眾生緣及以法緣。悲以緣彼所化眾生	即 是 眾 生 緣 及 以 法 緣 悲 以 緣 彼 所 化 眾 生 
T85n2771_001:0372a05	名眾生緣。悲心緣彼化眾生法名為法緣。然	名 眾 生 緣 悲 心 緣 彼 化 眾 生 法 名 為 法 緣 然 
T85n2771_001:0372a06	凡欲教化罪眾生。須要同彼六道眾生受六	凡 欲 教 化 罪 眾 生 須 要 同 彼 六 道 眾 生 受 六 
T85n2771_001:0372a07	道身方能攝化。若是地上諸大菩薩神力大	道 身 方 能 攝 化 若 是 地 上 諸 大 菩 薩 神 力 大 
T85n2771_001:0372a08	故遂能變化作六道身隨有攝化。地前菩薩	故 遂 能 變 化 作 六 道 身 隨 有 攝 化 地 前 菩 薩 
T85n2771_001:0372a09	神力小故不能化身。若不教化復成破菩薩	神 力 小 故 不 能 化 身 若 不 教 化 復 成 破 菩 薩 
T85n2771_001:0372a10	戒。然今菩薩即須用彼實惑業受六道身。問	戒 然 今 菩 薩 即 須 用 彼 實 惑 業 受 六 道 身 問 
T85n2771_001:0372a11	曰。地前菩薩何處有惑。答曰。四住煩惱據彼	曰 地 前 菩 薩 何 處 有 惑 答 曰 四 住 煩 惱 據 彼 
T85n2771_001:0372a12	地前菩薩神力並能斷盡。欲將此惑潤業受	地 前 菩 薩 神 力 並 能 斷 盡 欲 將 此 惑 潤 業 受 
T85n2771_001:0372a13	生故有斷不斷。論其見一處住地。地前菩薩	生 故 有 斷 不 斷 論 其 見 一 處 住 地 地 前 菩 薩 
T85n2771_001:0372a14	並患悉斷盡更無遣餘。三愛住地留而不斷。	並 患 悉 斷 盡 更 無 遣 餘 三 愛 住 地 留 而 不 斷 
T85n2771_001:0372a15	三受現行亦斷不留。斷現行故異彼凡夫。留	三 受 現 行 亦 斷 不 留 斷 現 行 故 異 彼 凡 夫 留 
T85n2771_001:0372a16	住地故異聲聞也。將此三受隨眠煩惱潤彼	住 地 故 異 聲 聞 也 將 此 三 受 隨 眠 煩 惱 潤 彼 
T85n2771_001:0372a17	無始已來六道之業更加悲願之力。為此義	無始已來 六 道 之 業 更 加 悲 願 之 力 為 此 義 
T85n2771_001:0372a18	故方為此義故方得受生六道教化。然此菩	故 方 為 此 義 故 方 得 受 生 六 道 教 化 然 此 菩 
T85n2771_001:0372a19	薩因實惑業以受生。故入地獄中亦受輕苦。	薩 因 實 惑 業 以 受 生 故 入 地 獄 中 亦 受 輕 苦 
T85n2771_001:0372a20	以受苦故速生厭離。悲願力故還復入中。此	以 受 苦 故 速 生 厭 離 悲 願 力 故 還 復 入 中 此 
T85n2771_001:0372a21	即地前菩薩悲相如是。雖經文中分為兩別。	即 地 前 菩 薩 悲 相 如 是 雖 經 文 中 分 為 兩 別 
T85n2771_001:0372a22	第一正明修悲。第二文殊師利是為已下明	第 一 正 明 修 悲 第 二 文 殊 師 利 是 為 已 下 明 
T85n2771_001:0372a23	結歎顯勝。就前第一正修悲中文次相生有	結 歎 顯 勝 就 前 第 一 正 修 悲 中 文 次 相 生 有 
T85n2771_001:0372a24	其五。後是有疾菩薩以無所受者。此即第一	其 五 後 是 有 疾 菩 薩 以 無 所 受 者 此 即 第 一 
T85n2771_001:0372a25	明自□受。有疾菩薩者十解第二剎那已迴	明 自 受 有 疾 菩 薩 者 十 解 第 二 剎 那 已 迴 
T85n2771_001:0372a26	向終心已還箇中菩薩。此諸菩薩計其功能	向 終 心 已 還 箇 中 菩 薩 此 諸 菩 薩 計 其 功 能 
T85n2771_001:0372a27	並能斷彼六道果報有受之身。故言以無所	並 能 斷 彼 六 道 果 報 有 受 之 身 故 言 以 無 所 
T85n2771_001:0372a28	受。而受諸受者。此即第二明為物現受。以	受 而 受 諸 受 者 此 即 第 二 明 為 物 現 受 以 
T85n2771_001:0372a29	慈悲故欲化眾生。是故現起六道受身。故言	慈 悲 故 欲 化 眾 生 是 故 現 起 六 道 受 身 故 言 
T85n2771_001:0372b01	而受諸受也。未具佛法亦不滅受而取證。此	而 受 諸 受 也 未 具 佛 法 亦 不 滅 受 而 取 證 此 
T85n2771_001:0372b02	即第三明受不息。未具初地已上佛法。終不	即 第 三 明 受 不 息 未 具 初 地 已 上 佛 法 終 不 
T85n2771_001:0372b03	滅此三有受身因於聲聞中道證滅也。設身	滅 此 三 有 受 身 因 於 聲 聞 中 道 證 滅 也 設 身 
T85n2771_001:0372b04	有苦念惡趣眾生起大悲心者。此即第四明	有 苦 念 惡 趣 眾 生 起大悲心 者 此 即 第 四 明 
T85n2771_001:0372b05	依受生悲。明諸菩薩在地獄中雖受輕苦念	依 受 生 悲 明 諸 菩 薩 在 地 獄 中 雖 受 輕 苦 念 
T85n2771_001:0372b06	眾生故起大悲心不生厭離。言大悲者。實是	眾 生 故 起大悲心 不 生 厭 離 言 大 悲 者 實 是 
T85n2771_001:0372b07	小悲通名大也。我既調伏亦當調伏一切眾	小 悲 通 名 大 也 我 既 調 伏 亦 當 調 伏 一 切 眾 
T85n2771_001:0372b08	生者。此即第五明依悲起化。文中次第別有	生 者 此 即 第 五 明 依 悲 起 化 文 中 次 第 別 有 
T85n2771_001:0372b09	三分。此即第一明起化心。菩薩念言。我修智	三 分 此 即 第 一 明 起 化 心 菩 薩 念 言 我 修 智 
T85n2771_001:0372b10	故自利調伏更須修悲亦當調伏一切眾生也。	故 自 利 調 伏 更 須 修 悲 亦 當 調 伏 一 切 眾 生 也 
T85n2771_001:0372b11	但除其病而不除法者。此即第二明知化宜。	但 除 其 病 而 不 除 法 者 此 即 第 二 明 知 化 宜 
T85n2771_001:0372b12	病者是心法者是境。境有其妄。論其妄境從	病 者 是 心 法 者 是 境 境 有 其 妄 論 其 妄 境 從 
T85n2771_001:0372b13	心而生。但斷其心境自不起。故不除法。語其	心 而 生 但 斷 其 心 境 自 不 起 故 不 除 法 語 其 
T85n2771_001:0372b14	真境本不可斷。豈得言除。故佛性論云。三	真 境 本 不 可 斷 豈 得 言 除 故 佛 性 論 云 三 
T85n2771_001:0372b15	性幾應知幾不應知。答曰。一切皆應知。幾應	性 幾 應 知 幾 不 應 知 答 曰 一 切 皆 應 知 幾 應 
T85n2771_001:0372b16	斷幾不應斷。答曰。二性不可斷。一性可斷。	斷 幾 不 應 斷 答 曰 二 性 不 可 斷 一 性 可 斷 
T85n2771_001:0372b17	分別性本無故不可斷。真實性實有故不可	分 別 性 本 無 故 不 可 斷 真 實 性 實 有 故 不 可 
T85n2771_001:0372b18	斷。依他性緣和有故是以可斷。問曰。依他緣	斷 依 他 性 緣 和 有 故 是 以 可 斷 問 曰 依 他 緣 
T85n2771_001:0372b19	和有可許。觀之得無生分別。一向無不應觀	和 有 可 許 觀 之 得 無 生 分 別 一 向 無 不 應 觀 
T85n2771_001:0372b20	得無相。答曰。觀法異斷法異。義如別解。為	得 無 相 答 曰 觀 法 異 斷 法 異 義 如 別 解 為 
T85n2771_001:0372b21	斷病本而教導之者。此即第三明其化相。自	斷 病 本 而 教 導 之 者 此 即 第 三 明 其 化 相 自 
T85n2771_001:0372b22	下進問。何謂病本謂有攀緣此答。病本攀緣	下 進 問 何 謂 病 本 謂 有 攀 緣 此 答 病 本 攀 緣 
T85n2771_001:0372b23	者。心心取前境名作攀緣。從有攀緣則為病	者 心 心 取 前 境 名 作 攀 緣 從 有 攀 緣 則 為 病 
T85n2771_001:0372b24	本。但使有心則能起病故名為本。下問攀緣	本 但 使 有 心 則 能 起 病 故 名 為 本 下 問 攀 緣 
T85n2771_001:0372b25	之處。何所攀者。於何處所起此攀緣者煩惱	之 處 何 所 攀 者 於 何 處 所 起 此 攀 緣 者 煩 惱 
T85n2771_001:0372b26	病。謂之三界者答也。於三界中有攀緣者。能	病 謂 之 三 界 者 答 也 於 三 界 中 有 攀 緣 者 能 
T85n2771_001:0372b27	起□□自下欲斷攀緣問取其法。云何斷攀	起 自 下 欲 斷 攀 緣 問 取 其 法 云 何 斷 攀 
T85n2771_001:0372b28	緣者問也。以無所得若無所得則無攀緣者	緣 者 問 也 以 無 所 得 若 無 所 得 則 無 攀 緣 者 
T85n2771_001:0372b29	答也。無所得者空也。教其□作無相無生觀。	答 也 無 所 得 者 空 也 教 其 作 無 相 無 生 觀 
T85n2771_001:0372c01	觀心體空名無所得。心既無得。即無攀緣。攀	觀 心 體 空 名 無 所 得 心 既 無 得 即 無 攀 緣 攀 
T85n2771_001:0372c02	緣既無。何有病本。何謂無所得者。所得者進	緣 既 無 何 有 病 本 何 謂 無 所 得 者 所 得 者 進 
T85n2771_001:0372c03	問無所得觀。依何而成下答。謂二見亦有作	問 無 所 得 觀 依 何 而 成 下 答 謂 二 見 亦 有 作 
T85n2771_001:0372c04	本作。謂離二見義只相似。此明答也。不起	本 作 謂 離 二 見 義 只 相 似 此 明 答 也 不 起 
T85n2771_001:0372c05	二見名無所得。何謂二見者進問二見之相。	二 見 名 無 所 得 何 謂 二 見 者 進 問 二 見 之 相 
T85n2771_001:0372c06	答言。謂內見外見是無所者。內者是根。外者	答 言 謂 內 見 外 見 是 無 所 者 內 者 是 根 外 者 
T85n2771_001:0372c07	是塵。心緣此二名為二見。又內者涅槃。外者	是 塵 心 緣 此 二 名 為 二 見 又 內 者 涅 槃 外 者 
T85n2771_001:0372c08	生死。緣此二故名為二見。教諸眾生觀法無	生 死 緣 此 二 故 名 為 二 見 教 諸 眾 生 觀 法 無 
T85n2771_001:0372c09	相觀相無生。是故名為無所得也。上來修小	相 觀 相 無 生 是 故 名 為 無 所 得 也 上 來 修 小 
T85n2771_001:0372c10	悲訖。自下結歎顯勝。先結後歎。文殊師利是	悲 訖 自 下 結 歎 顯 勝 先 結 後 歎 文 殊 師 利 是 
T85n2771_001:0372c11	為有病菩薩調伏其心此明結也。自下歎修	為 有 病 菩 薩 調 伏 其 心 此 明 結 也 自 下 歎 修 
T85n2771_001:0372c12	顯勝。先結說須譬喻。後合譬為斷老病死苦。	顯 勝 先 結 說 須 譬 喻 後 合 譬 為 斷 老 病 死 苦 
T85n2771_001:0372c13	是菩薩菩提者。為斷眾生老病死苦是菩薩	是 菩 薩 菩 提 者 為 斷 眾 生老病死 苦 是 菩 薩 
T85n2771_001:0372c14	道也。此即順彰有益。若不如是己所修治為	道 也 此 即 順 彰 有 益 若 不 如 是 己 所 修 治 為 
T85n2771_001:0372c15	無惠利者。若不如是兼斷眾生者。病死者菩	無 惠 利 者 若 不 如 是 兼 斷 眾 生 者 病 死 者 菩 
T85n2771_001:0372c16	薩所行則無施惠眾之利。□□□彰有損。自	薩 所 行 則 無 施 惠 眾 之 利 彰 有 損 自 
T85n2771_001:0372c17	下譬喻。譬如勝怨乃可為勇者。如人自除	下 譬 喻 譬 如 勝 怨 乃 可 為 勇 者 如 人 自 除 
T85n2771_001:0372c18	□□□復能為他降伏怨敵。此名勝怨。謂之	 復 能 為 他 降 伏 怨 敵 此 名 勝 怨 謂 之 
T85n2771_001:0372c19	為勇也。自下□□□□兼除老病死者菩薩	為 勇 也 自 下 兼 除 老 病 死 者 菩 薩 
T85n2771_001:0372c20	之謂也。如是菩薩自除老死兼□□□□老	之 謂 也 如 是 菩 薩 自 除 老 死 兼 老 
T85n2771_001:0372c21	病死方是菩薩之稱謂也。上來明修小悲。	病 死 方 是 菩 薩 之 稱 謂 也 上 來 明 修 小 悲 
T85n2771_001:0372c22	自下明修大悲。大悲者即是無緣悲也。文中	自 下 明 修 大 悲 大 悲 者 即 是 無 緣 悲 也 文 中 
T85n2771_001:0372c23	有二。第一牒取無分別觀為修悲之所依。第	有 二 第 一 牒 取 無 分 別 觀 為 修 悲 之 所 依 第 
T85n2771_001:0372c24	二作是觀時已下明依觀修悲。前牒無分別	二 作 是 觀 時 已 下 明 依 觀 修 悲 前 牒 無 分 別 
T85n2771_001:0372c25	觀者猶是前大智也。彼有疾菩薩應須作是	觀 者 猶 是 前 大 智 也 彼 有 疾 菩 薩 應 須 作 是 
T85n2771_001:0372c26	念如我此病非真有眾生病亦非真非有者。	念 如 我 此 病 非 真 有 眾 生 病 亦 非 真 非 有 者 
T85n2771_001:0372c27	有疾菩薩即是初地已上菩薩。有法執故通	有 疾 菩 薩 即 是 初 地 已 上 菩 薩 有 法 執 故 通 
T85n2771_001:0372c28	名有疾。教發起觀之心故言應作是念。自下	名 有 疾 教 發 起 觀 之 心 故 言 應 作 是 念 自 下 
T85n2771_001:0372c29	正明依心起觀。如我此病非真非有法。執煩	正 明 依 心 起 觀 如 我 此 病 非 真 非 有 法 執 煩 
T85n2771_001:0373a01	惱名為此病。非真者有。非有者空。觀此病	惱 名 為 此 病 非 真 者 有 非 有 者 空 觀 此 病 
T85n2771_001:0373a02	因。非空非有。眾病亦非真非有。我病既然。	因 非 空 非 有 眾 病 亦 非 真 非 有 我 病 既 然 
T85n2771_001:0373a03	眾生亦爾。不定是空。不定是有。又真非者	眾 生 亦 爾 不 定 是 空 不 定 是 有 又 真 非 者 
T85n2771_001:0373a04	病相。非真。非有者病體。非有。問曰。何故	病 相 非 真 非 有 者 病 體 非 有 問 曰 何 故 
T85n2771_001:0373a05	牒此無分別觀來有何意。答曰。欲修大悲	牒 此 無 分 別 觀 來 有 何 意 答 曰 欲 修 大 悲 
T85n2771_001:0373a06	要須得此無分別□□無此觀。悲心緣有或	要 須 得 此 無 分 別 無 此 觀 悲 心 緣 有 或 
T85n2771_001:0373a07	生深著。由此觀故大悲隨有常化眾生而無	生 深 著 由 此 觀 故 大 悲 隨 有 常 化 眾 生 而 無 
T85n2771_001:0373a08	深著。上來牒取大智無分別觀以為修悲之	深 著 上 來 牒 取 大 智 無 分 別 觀 以 為 修 悲 之 
T85n2771_001:0373a09	所依訖。	所 依 訖 
T85n2771_001:0373a10	自下第二正明依觀修悲。文復有二。第一明	自 下 第 二 正 明 依 觀 修 悲 文 復 有 二 第 一 明 
T85n2771_001:0373a11	捨小悲。第二若能離此已下明修大悲。捨小	捨 小 悲 第 二 若 能 離 此 已 下 明 修 大 悲 捨 小 
T85n2771_001:0373a12	悲中初正捨。次微問解釋。作是觀時於諸眾	悲 中 初 正 捨 次 微 問 解 釋 作 是 觀 時 於 諸 眾 
T85n2771_001:0373a13	生若起愛見大悲即應捨離者。正明捨小悲	生 若 起 愛 見 大 悲 即 應 捨 離 者 正 明 捨 小 悲 
T85n2771_001:0373a14	也。作前真觀已。當身及眾生病非真非有之	也 作 前 真 觀 已 當 身 及 眾 生 病 非 真 非 有 之 
T85n2771_001:0373a15	時。若更眾生愛之欲度者。如此大悲即應捨	時 若 更 眾 生 愛 之 欲 度 者 如 此 大 悲 即 應 捨 
T85n2771_001:0373a16	離也。自下徵問解釋。所以者何微問也。見有	離 也 自 下 徵 問 解 釋 所以者何 微 問 也 見 有 
T85n2771_001:0373a17	眾生愛之欲度。此是好行。所以即應捨離者	眾 生 愛 之 欲 度 此 是 好 行 所 以 即 應 捨 離 者 
T85n2771_001:0373a18	何。下明解釋。論其意者。為彼地前愛見小悲	何 下 明 解 釋 論 其 意 者 為 彼 地 前 愛 見 小 悲 
T85n2771_001:0373a19	有兩過失。是故須捨。若不捨者則不得彼無	有 兩 過 失 是 故 須 捨 若 不 捨 者 則 不 得 彼 無 
T85n2771_001:0373a20	緣大悲。若無大悲。於彼眾生不能常化能離	緣 大 悲 若 無 大 悲 於 彼 眾 生 不 能 常 化 能 離 
T85n2771_001:0373a21	縛。為此義故是以須捨。文中為彼小悲出兩	縛 為 此 義 故 是 以 須 捨 文 中 為 彼 小 悲 出 兩 
T85n2771_001:0373a22	過失。初句明其小悲有不能離縛之過。次句	過 失 初 句 明 其 小 悲 有 不 能 離 縛 之 過 次 句 
T85n2771_001:0373a23	顯彼小悲有不能常化之失。菩薩斷除客塵	顯 彼 小 悲 有 不 能 常 化 之 失 菩 薩 斷 除 客 塵 
T85n2771_001:0373a24	煩惱而起大悲者。此明小悲不能離縛。菩	煩 惱 而 起 大 悲 者 此 明 小 悲 不 能 離 縛 菩 
T85n2771_001:0373a25	薩者初地已上□□。此中斷客塵煩惱得無	薩 者 初 地 已 上 此 中 斷 客塵煩惱 得 無 
T85n2771_001:0373a26	緣大悲。然愛見悲乃是□□煩惱所攝。以	緣 大 悲 然 愛 見 悲 乃 是 煩 惱 所 攝 以 
T85n2771_001:0373a27	是縛故是故須捨。客塵者所謂九種客□□	是 縛 故 是 故 須 捨 客 塵 者 所 謂 九 種 客 
T85n2771_001:0373a28	隨眠貪。二隨眠嗔。眠癡。四極重上心貪瞋	隨 眠 貪 二 隨 眠 嗔 眠 癡 四 極 重 上 心 貪 瞋 
T85n2771_001:0373a29	癈。五無明□□。六見道。七修道。八不淨地	癈 五 無 明 六 見 道 七 修 道 八 不 淨 地 
T85n2771_001:0373b01	惑。此之九種淨心後起依他□心。是故名	惑 此 之 九 種 淨 心 後 起 依 他 心 是 故 名 
T85n2771_001:0373b02	客塵。坌淨故名之曰塵。此九之中六箇是	客 塵 坌 淨 故 名 之 曰 塵 此 九 之 中 六 箇 是 
T85n2771_001:0373b03	界內惑。三箇是界外惑。道理為言。唯言前五	界 內 惑 三 箇 是 界 外 惑 道 理 為 言 唯 言 前 五 
T85n2771_001:0373b04	攝惑品盡。但說後四攝惑品盡。但說後四攝	攝 惑 品 盡 但 說 後 四 攝 惑 品 盡 但 說 後 四 攝 
T85n2771_001:0373b05	惑品周。為分惑體及斷處差別故說九種。九	惑 品 周 為 分 惑 體 及 斷 處 差 別 故 說 九 種 九 
T85n2771_001:0373b06	種之中愛見大悲即通四種。謂隨眠貪隨眠	種 之 中 愛 見 大 悲 即 通 四 種 謂 隨 眠 貪 隨 眠 
T85n2771_001:0373b07	嗔隨眠癡修道斷。為此義故愛見大悲不能	嗔 隨 眠 癡 修 道 斷 為 此 義 故 愛 見 大 悲 不 能 
T85n2771_001:0373b08	離縛。自下明彼愛見大悲不能常化。愛見悲	離 縛 自 下 明 彼 愛 見 大 悲 不 能 常 化 愛 見 悲 
T85n2771_001:0373b09	者則於生死有疲厭心者。愛見之悲用彼惑	者 則 於 生 死 有 疲 厭 心 者 愛 見 之 悲 用 彼 惑 
T85n2771_001:0373b10	業愛身教化。惑業受生故身有輕苦則生疲	業 愛 身 教 化 惑 業 受 生 故 身 有 輕 苦 則 生 疲 
T85n2771_001:0373b11	厭。生疲厭故於生死中不能常化。為此義故	厭 生 疲 厭 故 於 生 死 中 不 能 常 化 為 此 義 故 
T85n2771_001:0373b12	所以須捨。上來捨小悲訖。	所 以 須 捨 上 來 捨 小 悲 訖 
T85n2771_001:0373b13	自下正明修大悲。大悲中文還□□。初之	自 下 正 明 修 大 悲 大 悲 中 文 還 初 之 
