T45n1852_001:0001a03	三論玄義	三 論 玄 義 
T45n1852_001:0007b19	為正。俗有既爾。真無亦爾。假無不可定無。	為 正 俗 有 既 爾 真 無 亦 爾 假 無 不 可 定 無 
T45n1852_001:0007b20	假無不可定有。遠離二邊故目之為正。	假 無 不 可 定 有 遠離二邊 故 目 之 為 正 
T45n1852_001:0007b21	問何故辨體用二正耶。答像末鈍根多墮偏	問 何 故 辨 體 用 二 正 耶 答 像 末 鈍 根 多 墮 偏 
T45n1852_001:0007b22	邪。四依出世匡正佛法。故明用正。既識正	邪 四 依 出 世 匡 正 佛 法 故 明 用 正 既 識 正 
T45n1852_001:0007b23	教便悟正理則有體正。但正有三種。一	教 便 悟 正 理 則 有 體 正 但 正 有 三 種 一 
T45n1852_001:0007b24	對偏病目之為正。名對偏正。二盡淨於	對 偏 病 目 之 為 正 名 對 偏 正 二 盡 淨 於 
T45n1852_001:0007b25	偏名之為正。謂盡偏正也。三偏病既去正	偏 名 之 為 正 謂 盡 偏 正 也 三 偏 病 既 去 正 
T45n1852_001:0007b26	亦不留。非偏非正。不知何以美之。強嘆	亦 不 留 非 偏 非 正 不 知 何 以 美 之 強 嘆 
T45n1852_001:0007b27	為正。謂絕待正也。在正既然。觀論亦爾。因	為 正 謂 絕 待 正 也 在 正 既 然 觀 論 亦 爾 因 
T45n1852_001:0007b28	於體正發生正觀名為體觀。藉二諦用生	於 體 正 發 生 正 觀 名 為 體 觀 藉 二 諦 用 生 
T45n1852_001:0007b29	二諦觀名為用觀。故觀具二也。觀辨於心。	二 諦 觀 名 為 用 觀 故 觀 具 二 也 觀 辨 於 心 
T45n1852_001:0007c01	為眾生故如實說體。名為體論。若說於	為 眾 生 故 如 實 說 體 名 為 體 論 若 說 於 
T45n1852_001:0007c02	用。名之為用論。故論具二也。正既有對偏	用 名 之 為 用 論 故 論 具 二 也 正 既 有 對 偏 
T45n1852_001:0007c03	盡偏絕待。觀論亦然。類前可知。	盡 偏 絕 待 觀 論 亦 然 類 前 可 知 
T45n1852_001:0007c04	次明經論相資。大品經云。雖生死道長眾生	次 明 經 論 相 資 大 品 經 云 雖 生 死 道 長 眾 生 
T45n1852_001:0007c05	性多。菩薩應如是正憶念。生死邊如虛空。	性 多 菩 薩 應 如 是 正 憶 念 生 死 邊 如 虛 空 
T45n1852_001:0007c06	眾生性邊亦如虛空。此中無生死往來亦	眾 生 性 邊 亦 如 虛 空 此 中 無 生 死 往 來 亦 
T45n1852_001:0007c07	無解脫者。然既無生死亦無涅槃。則知亦	無 解 脫 者 然 既 無 生 死 亦 無 涅 槃 則 知 亦 
T45n1852_001:0007c08	無眾生及以於佛。寧有經之與論耶。故內	無 眾 生 及 以 於 佛 寧 有 經 之 與 論 耶 故 內 
T45n1852_001:0007c09	外並冥緣觀俱寂。然雖非生死涅槃。而於	外 並 冥 緣 觀 俱 寂 然 雖 非 生死涅槃 而 於 
T45n1852_001:0007c10	眾生成生死。故大品云。諸法無所有如是	眾 生 成 生 死 故 大 品 云 諸 法 無 所 有 如 是 
T45n1852_001:0007c11	有。既有眾生故有諸佛。既有諸佛便有教	有 既 有 眾 生 故 有 諸 佛 既 有 諸 佛 便 有 教 
T45n1852_001:0007c12	門。既有諸佛教門則有菩薩之論。諸佛為	門 既 有 諸 佛 教 門 則 有 菩 薩 之 論 諸 佛 為 
T45n1852_001:0007c13	眾生失道。是故說經。菩薩為眾生迷經。是	眾 生 失 道 是 故 說 經 菩 薩 為 眾 生 迷 經 是 
T45n1852_001:0007c14	故造論。然經有通別。在論亦爾。所言經通	故 造 論 然 經 有 通 別 在 論 亦 爾 所 言 經 通 
T45n1852_001:0007c15	者。通為息眾生顛倒。通為開顯道門。所言	者 通 為 息 眾 生 顛 倒 通 為 開 顯 道 門 所 言 
T45n1852_001:0007c16	論通者。諸聖弟子造一切論。亦通為息迷	論 通 者 諸 聖 弟 子 造 一 切 論 亦 通 為 息 迷 
T45n1852_001:0007c17	教之病申明正道。所言經別者。赴大小二	教 之 病 申 明 正 道 所 言 經 別 者 赴 大 小 二 
T45n1852_001:0007c18	緣說大小兩教。所言論別者。為破大小兩	緣 說 大 小 兩 教 所 言 論 別 者 為 破 大 小 兩 
T45n1852_001:0007c19	迷申大小兩教。故有大小二論也。然就經	迷 申 大 小 兩 教 故 有 大 小 二 論 也 然 就 經 
T45n1852_001:0007c20	論之中具有能所之義。經以二智為能說。	論 之 中 具 有 能 所 之 義 經 以 二 智 為 能 說 
T45n1852_001:0007c21	二諦為所說。論以二慧為能說。言教為所	二 諦 為 所 說 論 以 二 慧 為 能 說 言 教 為 所 
T45n1852_001:0007c22	說。斯則經論各有能所也。	說 斯 則 經 論 各 有 能 所 也 
T45n1852_001:0007c23	次明經論能所絞絡。有四句不同。一者經能	次 明 經 論 能 所 絞 絡 有 四 句 不 同 一 者 經 能 
T45n1852_001:0007c24	為論所。二者經所為論能。三者論能為經	為 論 所 二 者 經 所 為 論 能 三 者 論 能 為 經 
T45n1852_001:0007c25	所。四者論所為經能。經能為論所者。如來	所 四 者 論 所 為 經 能 經 能 為 論 所 者 如 來 
T45n1852_001:0007c26	二智即是論主所悟。故法華明。今昔兩教為	二 智 即 是 論 主 所 悟 故 法 華 明 今 昔 兩 教 為 
T45n1852_001:0007c27	直往菩薩及迴小向大之人。並令悟入佛慧。	直 往 菩 薩 及 迴 小 向 大 之 人 並 令 悟 入 佛 慧 
T45n1852_001:0007c28	故涌出品云。是諸眾生始見我身聞我所	故 涌 出 品 云 是 諸 眾 生 始 見 我 身 聞 我 所 
T45n1852_001:0007c29	說。即便信受入如來慧。此明昔教為直往	說 即 便 信 受 入 如 來 慧 此 明 昔 教 為 直 往 
T45n1852_001:0008a01	菩薩入佛慧也。次云。除先修習學小乘	菩 薩 入 佛 慧 也 次 云 除 先 修 習 學 小 乘 
T45n1852_001:0008a02	者。我今亦令得聞是經入於佛慧。此明今	者 我 今 亦 令 得 聞 是 經 入 於 佛 慧 此 明 今 
T45n1852_001:0008a03	教迴小之人入於佛慧。故今昔兩教同明為	教 迴 小 之 人 入 於 佛 慧 故 今 昔 兩 教 同 明 為 
T45n1852_001:0008a04	入佛慧。則知佛慧是所悟也。次明經所為	入 佛 慧 則 知 佛 慧 是 所 悟 也 次 明 經 所 為 
T45n1852_001:0008a05	論能者。經所即是二諦。能發生論主二慧	論 能 者 經 所 即 是 二 諦 能 發 生 論 主 二 慧 
T45n1852_001:0008a06	故。佛之二諦為能生。論主二慧為所生也。	故 佛 之 二 諦 為 能 生 論 主 二 慧 為 所 生 也 
T45n1852_001:0008a07	次明論能為經所者。論主二慧由經發生	次 明 論 能 為 經 所 者 論 主 二 慧 由 經 發 生 
T45n1852_001:0008a08	也。次明論所為經能者。論主言教能申佛	也 次 明 論 所 為 經 能 者 論 主 言 教 能 申 佛 
T45n1852_001:0008a09	二諦也。次會四句為二句。經若能若所並	二 諦 也 次 會 四 句 為 二 句 經 若 能 若 所 並 
T45n1852_001:0008a10	是能資。論若能若所皆是所資。又論若能若	是 能 資 論 若 能 若 所 皆 是 所 資 又 論 若 能 若 
T45n1852_001:0008a11	所悉為能申。經若能若所悉是為所申。故合	所 悉 為 能 申 經 若 能 若 所 悉 是 為 所 申 故 合 
T45n1852_001:0008a12	成一能一所也。次泯一句以歸無句。以能	成 一 能 一 所 也 次 泯 一 句 以 歸 無 句 以 能 
T45n1852_001:0008a13	而為所則能非定能。以所而為能則所非	而 為 所 則 能 非 定 能 以 所 而 為 能 則 所 非 
T45n1852_001:0008a14	定所。以能非定能。是則非能。所非定所。是	定 所 以 能 非 定 能 是 則 非 能 所 非 定 所 是 
T45n1852_001:0008a15	則非所。故非能非所。非經非論。非佛非	則 非 所 故 非 能 非 所 非 經 非 論 非 佛 非 
T45n1852_001:0008a16	菩薩。不知何以目之。故稱正法強名中實	菩 薩 不 知 何 以 目 之 故 稱 正 法 強 名 中 實 
T45n1852_001:0008a17	也。問能非定能是則非能所非定所是則	也 問 能 非 定 能 是 則 非 能 所 非 定 所 是 則 
T45n1852_001:0008a18	非所。出何文耶。答中論然可然品云。若法	非 所 出 何 文 耶 答 中 論 然 可 然 品 云 若 法 
T45n1852_001:0008a19	因待成。是法還成待。今則無因待。亦無所	因 待 成 是 法 還 成 待 今 則 無 因 待 亦 無 所 
T45n1852_001:0008a20	成法。即其證也。	成 法 即 其 證 也 
T45n1852_001:0008a21	次別明造論緣起。然所以造論者。如上所	次 別 明 造 論 緣 起 然 所 以 造 論 者 如 上 所 
T45n1852_001:0008a22	明。如來為失道故說經。論主為迷經故	明 如 來 為 失 道 故 說 經 論 主 為 迷 經 故 
T45n1852_001:0008a23	造論。為失道故說經。此是根本失。論主為	造 論 為 失 道 故 說 經 此 是 根 本 失 論 主 為 
T45n1852_001:0008a24	迷經故造論。此是枝末失。又佛為失道者	迷 經 故 造 論 此 是 枝 末 失 又 佛 為 失 道 者 
T45n1852_001:0008a25	說經。此失謂一往失。論主為迷經故造論。	說 經 此 失 謂 一 往 失 論 主 為 迷 經 故 造 論 
T45n1852_001:0008a26	此失即失中更起失。所以然者。以其迷道	此 失 即 失 中 更 起 失 所 以 然 者 以 其 迷 道 
T45n1852_001:0008a27	此是一失。如來說經為令入道。而復迷經	此 是 一 失 如 來 說 經 為 令 入 道 而 復 迷 經 
T45n1852_001:0008a28	故是失中失也一往之失謂利根人。聞經即	故 是 失 中 失 也 一 往 之 失 謂 利 根 人 聞 經 即 
T45n1852_001:0008a29	悟。失中之失謂鈍根人也。問何等是迷經之	悟 失 中 之 失 謂 鈍 根 人 也 問 何 等 是 迷 經 之 
T45n1852_001:0008b01	人。答即是諸部異執。言諸部異執者。或二部	人 答 即 是 諸 部 異 執 言 諸 部 異 執 者 或 二 部 
T45n1852_001:0008b02	或五部。或十八部。或二十部。或五百部。言	或 五 部 或 十 八 部 或 二 十 部 或 五 百 部 言 
T45n1852_001:0008b03	二部者。如來二月十五日入涅槃。諸聖弟子	二 部 者 如 來 二 月十五日 入 涅 槃 諸 聖 弟 子 
T45n1852_001:0008b04	四月十五日於王舍城祇闍崛山中結集三	四 月十五日 於 王 舍 城 祇 闍 崛 山 中 結 集 三 
T45n1852_001:0008b05	藏。爾時即有二部名字。一上座部。謂迦葉	藏 爾 時 即 有 二 部 名 字 一 上 座 部 謂 迦 葉 
T45n1852_001:0008b06	為上座。迦葉上陳如一夏。為佛以法付屬	為 上 座 迦 葉 上 陳 如 一 夏 為 佛 以 法 付 屬 
T45n1852_001:0008b07	迦葉名上座部也。迦葉所領但有五百人。	迦 葉 名 上 座 部 也 迦 葉 所 領 但 有 五 百 人 
T45n1852_001:0008b08	依智度論則有千人。二大眾部。即界外大	依 智 度 論 則 有 千 人 二 大 眾 部 即 界 外 大 
T45n1852_001:0008b09	眾。乃有萬數。婆師波羅漢為主。此云淚出。	眾 乃 有 萬 數 婆 師 波 羅 漢 為 主 此 云 淚 出 
T45n1852_001:0008b10	常悲苦眾生而淚墮也。即五比丘中之一人	常 悲 苦 眾 生 而 淚 墮 也 即 五 比 丘 中 之 一 人 
T45n1852_001:0008b11	而年大迦葉。教授界外大眾。所以有二眾。	而 年 大 迦 葉 教 授 界 外 大 眾 所 以 有 二 眾 
T45n1852_001:0008b12	迦葉有五百羅漢。前入界內結集三藏。後	迦 葉 有 五 百 羅 漢 前 入 界 內 結 集 三 藏 後 
T45n1852_001:0008b13	多人來結集三藏。迦葉並不許之。有二因	多 人 來 結 集 三 藏 迦 葉 並 不 許 之 有 二 因 
T45n1852_001:0008b14	緣。一者五百皆聰明人故。二者已羯磨竟故。	緣 一 者 五 百 皆 聰 明 人 故 二 者 已 羯 磨 竟 故 
T45n1852_001:0008b15	依智度論。阿闍世王但設千人食。故餘人	依 智 度 論 阿 闍 世 王 但 設 千 人 食 故 餘 人 
T45n1852_001:0008b16	來不得。從是以來至佛滅度後百一十六年。	來 不 得 從 是 以 來 至 佛 滅 度 後 百 一 十 六 年 
T45n1852_001:0008b17	但有二部名字未有異執。百一十六年外	但 有 二 部 名 字 未 有 異 執 百 一 十 六 年 外 
T45n1852_001:0008b18	有舶主兒名摩訶提婆。端正聰明作三逆	有 舶 主 兒 名 摩 訶 提 婆 端 正 聰 明 作 三 逆 
T45n1852_001:0008b19	罪。後入佛法。凡有二事。一者取諸大乘經	罪 後 入 佛 法 凡 有 二 事 一 者 取 諸 大 乘 經 
T45n1852_001:0008b20	內三藏中釋之。諸阿羅漢結集法藏時。已	內 三 藏 中 釋 之 諸 阿 羅 漢 結 集 法 藏 時 已 
T45n1852_001:0008b21	簡除此義。而大眾部用此義。上座部不用	簡 除 此 義 而 大 眾 部 用 此 義 上 座 部 不 用 
T45n1852_001:0008b22	之。因爾起諍遂成二部。二者摩訶提婆自	之 因 爾 起 諍 遂 成 二 部 二 者 摩 訶 提 婆 自 
T45n1852_001:0008b23	作偈言。餘人染污衣。無明疑他度。聖道言	作 偈 言 餘 人 染 污 衣 無 明 疑 他 度 聖 道 言 
T45n1852_001:0008b24	所顯。是諸佛正教。以此一偈安置戒後。布	所 顯 是 諸 佛 正 教 以 此 一 偈 安 置 戒 後 布 
T45n1852_001:0008b25	薩誦戒竟亦誦此一偈。此偈有五事。一餘人	薩 誦 戒 竟 亦 誦 此 一 偈 此 偈 有 五 事 一 餘 人 
T45n1852_001:0008b26	染污衣者。提婆不淨出污衣。而誑弟子言。	染 污 衣 者 提 婆 不 淨 出 污 衣 而 誑 弟 子 言 
T45n1852_001:0008b27	我是阿羅漢。實無不淨。但是天魔女以不	我 是 阿 羅 漢 實 無 不 淨 但 是 天 魔 女 以 不 
T45n1852_001:0008b28	淨污羅漢衣。故云餘人染污衣。然此一語	淨 污 羅 漢 衣 故 云 餘 人 染 污 衣 然 此 一 語 
T45n1852_001:0008b29	有虛有實。其實是凡夫。誑弟子說如上事。	有 虛 有 實 其 實 是 凡 夫 誑 弟 子 說 如 上 事 
T45n1852_001:0008c01	是故為虛。魔女實能以不淨污羅漢衣。是	是 故 為 虛 魔 女 實 能 以 不 淨 污 羅 漢 衣 是 
T45n1852_001:0008c02	故為實。其眾諍其所說。或虛或實。故分二	故 為 實 其 眾 諍 其 所 說 或 虛 或 實 故 分 二 
T45n1852_001:0008c03	部。二云無明者。然羅漢乃無三界受生無	部 二 云 無 明 者 然 羅 漢 乃 無 三 界 受 生 無 
T45n1852_001:0008c04	明。而有無知習氣無明。故云無明。時眾或	明 而 有 無 知 習 氣 無 明 故 云 無 明 時 眾 或 
T45n1852_001:0008c05	言羅漢有無明。或言無無明。因此起諍故	言 羅 漢 有 無 明 或 言 無 無 明 因 此 起 諍 故 
T45n1852_001:0008c06	分二部。三云疑者。須陀洹果乃於三解脫	分 二 部 三 云 疑 者 須陀洹果 乃 於 三 解 脫 
T45n1852_001:0008c07	門無疑。而於外事有疑。故云疑也。四他	門 無 疑 而 於 外 事 有 疑 故 云 疑 也 四 他 
T45n1852_001:0008c08	度者。鈍根初果而不自知得初果。問善知	度 者 鈍 根 初 果 而 不 自 知 得 初 果 問 善 知 
T45n1852_001:0008c09	識。善知識為說。於三寶四諦無疑。是初果	識 善 知 識 為 說 於 三 寶 四 諦 無 疑 是 初 果 
T45n1852_001:0008c10	相。其自觀察方知得初果。故云他度。五聖	相 其 自 觀 察 方 知 得 初 果 故 云 他 度 五 聖 
T45n1852_001:0008c11	道言所顯者。然得聖道時。亦有言所顯。如	道 言 所 顯 者 然 得 聖 道 時 亦 有 言 所 顯 如 
T45n1852_001:0008c12	身子當口誦偈時即得初果。故云言所顯。	身 子 當 口 誦 偈 時 即 得 初 果 故 云 言 所 顯 
T45n1852_001:0008c13	時眾諍此五義。或是或非。故成二部也。問	時 眾 諍 此 五 義 或 是 或 非 故 成 二 部 也 問 
T45n1852_001:0008c14	此二部執何義異耶。答義異乃多。今略明其	此 二 部 執 何 義 異 耶 答 義 異 乃 多 今 略 明 其 
T45n1852_001:0008c15	一。大眾部執生死涅槃皆是假名。上座部執	一 大 眾 部 執 生死涅槃 皆 是 假 名 上 座 部 執 
T45n1852_001:0008c16	生死涅槃皆是真實。至二百年中。從大眾	生死涅槃 皆 是 真 實 至 二 百 年 中 從 大 眾 
T45n1852_001:0008c17	部又出三部。于時大眾部因摩訶提婆私	部 又 出 三 部 于 時 大 眾 部 因 摩 訶 提 婆 私 
T45n1852_001:0008c18	度住央崛多羅國。此國在王舍城北。此部	度 住 央 崛 多 羅 國 此 國 在 王 舍 城 北 此 部 
T45n1852_001:0008c19	將華嚴般若等大乘經雜三藏中說之。時	將 華 嚴 般 若 等 大 乘 經 雜 三 藏 中 說 之 時 
T45n1852_001:0008c20	人有信者。有不信者。故成二部。不信者唯	人 有 信 者 有 不 信 者 故 成 二 部 不 信 者 唯 
T45n1852_001:0008c21	言阿難等三師所誦三藏此則可信。自三	言 阿 難 等 三 師 所 誦 三 藏 此 則 可 信 自 三 
T45n1852_001:0008c22	藏外諸大乘經皆不可信。復有信大乘者	藏 外 諸 大 乘 經 皆 不 可 信 復 有 信 大 乘 者 
T45n1852_001:0008c23	有三因緣。一者爾時猶有親聞佛說大乘	有 三 因 緣 一 者 爾 時 猶 有 親 聞 佛 說 大 乘 
T45n1852_001:0008c24	法者。是故可信。二者自思量道理應有大	法 者 是 故 可 信 二 者 自 思 量 道 理 應 有 大 
T45n1852_001:0008c25	乘。是故可信。三者信其師故。是故可信。言	乘 是 故 可 信 三 者 信 其 師 故 是 故 可 信 言 
T45n1852_001:0008c26	三部者。一一說部。此部執生死涅槃皆是假	三 部 者 一 一 說 部 此 部 執 生死涅槃 皆 是 假 
T45n1852_001:0008c27	名。故云一說。二出世說部。此部言。世間法	名 故 云 一 說 二 出 世 說 部 此 部 言 世 間 法 
T45n1852_001:0008c28	從顛倒生業。業生果。故是不實。出世法不	從 顛 倒 生 業 業 生 果 故 是 不 實 出 世 法 不 
T45n1852_001:0008c29	從顛倒生。故是真實。三灰山住部。前二從	從 顛 倒 生 故 是 真 實 三 灰 山 住 部 前 二 從 
T45n1852_001:0009a01	執義受名。此因住處為目(此山有石。堪作灰。此部	執 義 受 名 此 因 住 處 為 目 此 山 有 石 堪 作 灰 此 部 
T45n1852_001:0009a02	住彼山中修道。故以為名)。其執毘曇是實教。經律為權說	住 彼 山 中 修 道 故 以 為 名 其 執 毘 曇 是 實 教 經 律 為 權 說 
T45n1852_001:0009a03	故。彼引經偈云。隨宜覆身。隨宜飲食。隨	故 彼 引 經 偈 云 隨 宜 覆 身 隨 宜 飲 食 隨 
T45n1852_001:0009a04	宜住處。疾斷煩惱。隨宜覆身者。有三衣	宜 住 處 疾 斷 煩 惱 隨 宜 覆 身 者 有 三 衣 
T45n1852_001:0009a05	佛亦許。無三衣佛亦許。隨宜飲食者。時食	佛 亦 許 無 三 衣 佛 亦 許 隨 宜 飲 食 者 時 食 
T45n1852_001:0009a06	佛亦許。非時食亦許。隨宜住處者。結界住亦	佛 亦 許 非 時 食 亦 許 隨 宜 住 處 者 結 界 住 亦 
T45n1852_001:0009a07	許。不結界亦許。疾斷煩惱者。佛意但令疾	許 不 結 界 亦 許 疾 斷 煩 惱 者 佛 意 但 令 疾 
T45n1852_001:0009a08	斷煩惱。此部甚精進過餘人也。至二百年	斷 煩 惱 此 部 甚 精 進 過 餘 人 也 至 二 百 年 
T45n1852_001:0009a09	中。從大眾部內又出一部。名多聞部。大眾	中 從 大 眾 部 內 又 出 一 部 名 多 聞 部 大 眾 
T45n1852_001:0009a10	部唯弘淺義棄於深義。佛在世時有仙人。	部 唯 弘 淺 義 棄 於 深 義 佛 在 世 時 有 仙 人 
T45n1852_001:0009a11	值佛得羅漢。恒隨佛往他方及天上聽法。	值 佛 得 羅 漢 恒 隨 佛 往 他 方 及 天 上 聽 法 
T45n1852_001:0009a12	佛涅槃時其人不見。在雪山坐禪。至佛滅	佛 涅 槃 時 其 人 不 見 在 雪 山 坐 禪 至 佛 滅 
T45n1852_001:0009a13	度後二百年中。從雪山出覓諸同行。見大	度 後 二 百 年 中 從 雪 山 出 覓 諸 同 行 見 大 
T45n1852_001:0009a14	眾部唯弘淺義不知深法。其人具足誦淺	眾 部 唯 弘 淺 義 不 知 深 法 其 人 具 足 誦 淺 
T45n1852_001:0009a15	深義。深義中有大乘義。成實論即從此部	深 義 深 義 中 有 大 乘 義 成 實 論 即 從 此 部 
T45n1852_001:0009a16	出。時人有信其所說者。故別成一部。名多	出 時 人 有 信 其 所 說 者 故 別 成 一 部 名 多 
T45n1852_001:0009a17	聞部。於二百年中。從大眾部更出一部。名	聞 部 於 二 百 年 中 從 大 眾 部 更 出 一 部 名 
T45n1852_001:0009a18	多聞分別部。佛在世時。大迦旃延造論解	多 聞 分 別 部 佛 在 世 時 大 迦 旃 延 造 論 解 
T45n1852_001:0009a19	佛阿含經。至二百年。大迦旃延從阿耨達	佛 阿 含 經 至 二 百 年 大 迦 旃 延 從 阿 耨 達 
T45n1852_001:0009a20	池出。更分別前多聞部中義。時人有信其	池 出 更 分 別 前 多 聞 部 中 義 時 人 有 信 其 
T45n1852_001:0009a21	所說者。故云多聞分別部。於二百年滿有	所 說 者 故 云 多 聞 分 別 部 於 二 百 年 滿 有 
T45n1852_001:0009a22	一外道。名大天。爾時摩伽陀國有優婆塞。	一 外 道 名 大 天 爾 時 摩伽陀國 有 優 婆 塞 
T45n1852_001:0009a23	大弘佛法。諸外道為利養故。皆剃頭出家。	大 弘 佛 法 諸 外 道 為 利 養 故 皆 剃 頭 出 家 
T45n1852_001:0009a24	便有賊住比丘。大天為賊住主。大天身自	便 有 賊 住 比 丘 大 天 為 賊 住 主 大 天 身 自 
T45n1852_001:0009a25	出家。所度弟子依大天眾出家受戒。爾時眾	出 家 所 度 弟 子 依 大 天 眾 出 家 受 戒 爾 時 眾 
T45n1852_001:0009a26	人共諍斯事。上座部云。和上無戒及破戒。闍	人 共 諍 斯 事 上 座 部 云 和 上 無 戒 及 破 戒 闍 
T45n1852_001:0009a27	梨有戒。大眾亦有戒。受戒則得。戒從大	梨 有 戒 大 眾 亦 有 戒 受 戒 則 得 戒 從 大 
T45n1852_001:0009a28	眾得。大眾知和上無戒。而與共受戒者。大	眾 得 大 眾 知 和 上 無 戒 而 與 共 受 戒 者 大 
T45n1852_001:0009a29	眾得突吉羅罪。問戒既不從和上得。何故	眾 得 突 吉 羅 罪 問 戒 既 不 從 和 上 得 何 故 
T45n1852_001:0009b01	稱和上名。答欲令受戒後和上攝錄教誨	稱 和 上 名 答 欲 令 受 戒 後 和 上 攝 錄 教 誨 
T45n1852_001:0009b02	弟子耳。薩婆多用此解。餘部言。和上無戒	弟 子 耳 薩 婆 多 用 此 解 餘 部 言 和 上 無 戒 
T45n1852_001:0009b03	及破戒。大眾有戒則不得戒。戒從和上得	及 破 戒 大 眾 有 戒 則 不 得 戒 戒 從 和 上 得 
T45n1852_001:0009b04	故。因此諍論遂不容大天。徒眾因爾別住	故 因 此 諍 論 遂 不 容 大 天 徒 眾 因 爾 別 住 
T45n1852_001:0009b05	山間。於此山間執義又異。故有支提山部	山 間 於 此 山 間 執 義 又 異 故 有 支 提 山 部 
T45n1852_001:0009b06	及北山部。佛得道及轉法輪處。大眾處名支	及 北 山 部 佛 得 道 及 轉 法 輪 處 大 眾 處 名 支 
T45n1852_001:0009b07	提。此處有山。名支提山。於彼山北別有山。	提 此 處 有 山 名 支 提 山 於 彼 山 北 別 有 山 
T45n1852_001:0009b08	名北山部也。大眾部合別數。或五或七或	名 北 山 部 也 大 眾 部 合 別 數 或 五 或 七 或 
T45n1852_001:0009b09	八。言五部者。初一說部。二出世說部。三灰	八 言 五 部 者 初 一 說 部 二 出 世 說 部 三 灰 
T45n1852_001:0009b10	山住部。此初破成三也。次多聞部。次多聞	山 住 部 此 初 破 成 三 也 次 多 聞 部 次 多 聞 
T45n1852_001:0009b11	分別部。故成五部。言七部者。因外道分	分 別 部 故 成 五 部 言 七 部 者 因 外 道 分 
T45n1852_001:0009b12	成二部。謂支提山部及北山部。前五因內	成 二 部 謂 支 提 山 部 及 北 山 部 前 五 因 內 
T45n1852_001:0009b13	執起。後二因外道起。故成七部。言八部	執 起 後 二 因 外 道 起 故 成 七 部 言 八 部 
T45n1852_001:0009b14	者。則數根本大眾部也。次上座弟子部者。	者 則 數 根 本 大 眾 部 也 次 上 座 弟 子 部 者 
T45n1852_001:0009b15	佛滅度後。迦葉以三藏付三師。以修多羅	佛 滅 度 後 迦 葉 以 三 藏 付 三 師 以 修 多 羅 
T45n1852_001:0009b16	付阿難。以毘曇付富樓那。以律付優婆	付 阿 難 以 毘 曇 付 富 樓 那 以 律 付 優 婆 
T45n1852_001:0009b17	離。阿難去世。以修多羅付末田地。末田地	離 阿 難 去 世 以 修 多 羅 付 末 田 地 末 田 地 
T45n1852_001:0009b18	付舍那婆斯。舍那婆斯付。優婆掘多。優婆掘	付 舍 那 婆 斯 舍 那 婆 斯 付 優 婆 掘 多 優 婆 掘 
T45n1852_001:0009b19	多付富樓那富樓那付寐者柯。寐者柯付迦	多 付 富 樓 那 富 樓 那 付 寐 者 柯 寐 者 柯 付 迦 
T45n1852_001:0009b20	旃延尼子。從迦葉至寐者柯二百年已來	旃 延 尼 子 從 迦 葉 至 寐 者 柯 二 百 年 已 來 
T45n1852_001:0009b21	無異部。至三百年初。迦旃延尼子去世。便	無 異 部 至 三 百 年 初 迦 旃 延 尼 子 去 世 便 
T45n1852_001:0009b22	分成兩部。一上座弟子部。二薩婆多部。所以	分 成 兩 部 一 上 座 弟 子 部 二 薩 婆 多 部 所 以 
T45n1852_001:0009b23	分成二部者。上座弟子但弘經。以經為正。	分 成 二 部 者 上 座 弟 子 但 弘 經 以 經 為 正 
T45n1852_001:0009b24	律開遮不定。毘曇但釋經。或過本或減本。	律 開 遮 不 定 毘 曇 但 釋 經 或 過 本 或 減 本 
T45n1852_001:0009b25	故不正弘之。亦不棄捨二藏也。而薩婆	故 不 正 弘 之 亦 不 棄 捨 二 藏 也 而 薩 婆 
T45n1852_001:0009b26	多謂毘曇最勝。故偏弘之。從迦葉至掘	多 謂 毘 曇 最 勝 故 偏 弘 之 從 迦 葉 至 掘 
T45n1852_001:0009b27	多。正弘經。從富樓那稍棄本弘末。故正	多 正 弘 經 從 富 樓 那 稍 棄 本 弘 末 故 正 
T45n1852_001:0009b28	弘毘曇。至迦旃延大興毘曇。上座弟子部	弘 毘 曇 至 迦 旃 延 大 興 毘 曇 上 座 弟 子 部 
T45n1852_001:0009b29	見其棄本弘末。四過宣令遣其改宗。遂守	見 其 棄 本 弘 末 四 過 宣 令 遣 其 改 宗 遂 守 
T45n1852_001:0009b30	宗不改。而上座弟子部移往雪山避之。因	宗 不 改 而 上 座 弟 子 部 移 往 雪 山 避 之 因 
T45n1852_001:0009c01	名雪山住部。三百年從薩婆多出一部。名	名 雪 山 住 部 三 百 年 從 薩 婆 多 出 一 部 名 
T45n1852_001:0009c02	可住子弟子部。即是舊犢子部也。言可住子	可 住 子 弟 子 部 即 是 舊 犢 子 部 也 言 可 住 子 
T45n1852_001:0009c03	弟子部者。有仙人名可住。有女人。是此仙	弟 子 部 者 有 仙 人 名 可 住 有 女 人 是 此 仙 
T45n1852_001:0009c04	人種。故名可住子。有阿羅漢。是可住女人	人 種 故 名 可 住 子 有 阿 羅 漢 是 可 住 女 人 
T45n1852_001:0009c05	之子。故名可住子。此部是此羅漢之弟子。故	之 子 故 名 可 住 子 此 部 是 此 羅 漢 之 弟 子 故 
T45n1852_001:0009c06	名可住子弟子也。舍利弗是羅睺羅和上。羅	名 可 住 子 弟 子 也 舍 利 弗 是 羅 睺 羅 和 上 羅 
T45n1852_001:0009c07	睺羅是可住子和上。此部復是可住子之弟	睺 羅 是 可 住 子 和 上 此 部 復 是 可 住 子 之 弟 
