X73n1447_001:0042c06	 前序	 前 序 
X73n1447_001:0049c02	莫有疑。這裡說話必不相悞。直如一息不來底人始	莫 有 疑 這 裡 說 話 必 不 相 悞 直 如 一 息 不 來 底 人 始 
X73n1447_001:0049c03	得。直如一塊頑石頭去始得。諸上座。你見頑石頭麼。	得 直 如 一 塊 頑 石 頭 去 始 得 諸 上 座 你 見 頑 石 頭 麼 
X73n1447_001:0049c04	有甚麼解會。出家人若不如此擬學佛法。天地懸殊。	有 甚 麼 解 會 出 家 人 若 不 如 此 擬 學 佛 法 天 地 懸 殊 
X73n1447_001:0049c05	如此出家。有甚麼利益。自救不得。爭能利益佗人。若	如 此 出 家 有 甚 麼 利 益 自 救 不 得 爭 能 利 益 佗 人 若 
X73n1447_001:0049c06	據諸人自己本分事。焉教老僧說得著。生心動念。自	據 諸 人 自 己 本 分 事 焉 教 老 僧 說 得 著 生 心 動 念 自 
X73n1447_001:0049c07	乖法體。各各本有底事。一切具足。不少欠一法。又更	乖 法 體 各 各 本 有 底 事 一切具足 不 少 欠 一 法 又 更 
X73n1447_001:0049c08	來老僧這裡。叉手立地。要和尚為我說。佗古人那裡	來 老 僧 這 裡 叉 手 立 地 要 和 尚 為 我 說 佗 古 人 那 裡 
X73n1447_001:0049c09	如此為人。經冬過夏。無一兩度上堂。是佗兄弟知有	如 此 為 人 經 冬 過 夏 無 一 兩 度 上 堂 是 佗 兄 弟 知 有 
X73n1447_001:0049c10	底。亦不要佗人說。自會行持。此謂之休心上士。歇意	底 亦 不 要 佗 人 說 自 會 行 持 此 謂 之 休 心 上 士 歇 意 
X73n1447_001:0049c11	高人。堪為佛種。諸仁者。此非小緣。莫非佗知有從上	高 人 堪 為 佛 種 諸 仁 者 此 非 小 緣 莫 非 佗 知 有 從 上 
X73n1447_001:0049c12	來底人方能如是。傲慢之徒難為成立。任你學得八	來 底 人 方 能 如 是 傲 慢 之 徒 難 為 成 立 任 你 學 得 八 
X73n1447_001:0049c13	萬法門。百千三昧。總不濟事。所以道。乾慧不免苦輪。	萬 法 門 百 千 三 昧 總 不 濟 事 所 以 道 乾 慧 不 免 苦 輪 
X73n1447_001:0049c14	到這裡不取你口頭辦。諸上座。更莫諸餘老僧勸你	到 這 裡 不 取 你 口 頭 辦 諸 上 座 更 莫 諸 餘 老 僧 勸 你 
X73n1447_001:0049c15	不如休歇去。但十二時中。一切無心去。如愚如癡去。	不 如 休 歇 去 但 十 二 時 中 一 切 無 心 去 如 愚 如 癡 去 
X73n1447_001:0049c16	諸仁者。從佗人道你自辦大事。莫管佗人長短是非。	諸 仁 者 從 佗 人 道 你 自 辦 大 事 莫 管 佗 人 長 短 是 非 
X73n1447_001:0049c17	一切時中東西不辨。觸淨不分。甚後佛也不奈你何。	一 切 時 中 東 西 不 辨 觸 淨 不 分 甚 後 佛 也 不 奈 你 何 
X73n1447_001:0049c18	老僧雖然與諸人說。多少自瞞。明眼人看見是甚麼	老 僧 雖 然 與 諸 人 說 多 少 自 瞞 明 眼 人 看 見 是 甚 麼 
X73n1447_001:0049c19	道理。然雖如是。未免拖泥涉水。為諸人說路布。假饒	道 理 然 雖 如 是 未 免 拖 泥 涉 水 為 諸 人 說 路 布 假 饒 
X73n1447_001:0049c20	你聞老僧一言便大省悟去。還當諸人自己事也無。	你 聞 老 僧 一 言 便 大 省 悟 去 還 當 諸 人 自 己 事 也 無 
X73n1447_001:0049c21	總未識得情識意會在。皆是言句中作活計。與你自	總 未 識 得 情 識 意 會 在 皆 是 言 句 中 作 活 計 與 你 自 
X73n1447_001:0049c22	己本分事了無交涉。如弃百千日月。以著螢火之光。	己 本 分 事 了 無 交 涉 如 弃 百 千 日 月 以 著 螢 火 之 光 
X73n1447_001:0049c23	莫怪說如此事是為諸人。諸人聞老僧如是說了。合	莫 怪 說 如 此 事 是 為 諸 人 諸 人 聞 老 僧 如 是 說 了 合 
X73n1447_001:0049c24	作麼生。還信得及麼。若信去便恁麼行持。所以古人	作 麼 生 還 信 得 及 麼 若 信 去 便 恁 麼 行 持 所 以 古 人 
X73n1447_001:0050a01	道。此之一學最妙最玄。但辦肯心必不相賺。若不信	道 此 之 一 學 最 妙 最 玄 但 辦 肯 心 必 不 相 賺 若 不 信 
X73n1447_001:0050a02	去。光陰虗度浪死虗生。葢為諸人根機淺薄。信之不	去 光 陰 虗 度 浪 死 虗 生 葢 為 諸 人 根 機 淺 薄 信 之 不 
X73n1447_001:0050a03	及。如今諸上座。但且如是參。所以雲居和尚云。若謀	及 如 今 諸 上 座 但 且 如 是 參 所 以 雲 居 和 尚 云 若 謀 
X73n1447_001:0050a04	恁麼事。須是恁麼人。既是恁麼人。何愁恁麼事。珍重。	恁 麼 事 須 是 恁 麼 人 既 是 恁 麼 人 何 愁 恁 麼 事 珍 重 
X73n1447_001:0050a05	師入室。良久云。諸人如今便散去。多少省徑。既不散	師 入 室 良 久 云 諸 人 如 今 便 散 去 多 少 省 徑 既 不 散 
X73n1447_001:0050a06	去。須要老僧這裡說。既開口為諸人說著。堪作甚麼。	去 須 要 老 僧 這 裡 說 既 開 口 為 諸 人 說 著 堪 作 甚 麼 
X73n1447_001:0050a07	若據諸人分上。更少欠箇甚麼。從無始以來。常與諸	若 據 諸 人 分 上 更 少 欠 箇 甚 麼 從 無 始 以 來 常 與 諸 
X73n1447_001:0050a08	佛齊肩。更擬學箇甚麼。只為諸人強生異見。自作艱	佛 齊 肩 更 擬 學 箇 甚 麼 只 為 諸 人 強 生 異 見 自 作 艱 
X73n1447_001:0050a09	難。被名相二字所惑。聖凡名號。三世諸佛。八萬法門。	難 被 名 相 二 字 所 惑 聖 凡 名 號 三世諸佛 八 萬 法 門 
X73n1447_001:0050a10	百千三昧。有佛有眾生。總謂之名相。若離却名相二	百 千 三 昧 有 佛 有 眾 生 總 謂 之 名 相 若 離 却 名 相 二 
X73n1447_001:0050a11	字。更有箇甚麼。本來無物可得。只為諸人起心動念。	字 更 有 箇 甚 麼 本 來 無 物 可 得 只 為 諸 人 起 心 動 念 
X73n1447_001:0050a12	妄有生滅。妄有菩提涅槃。便有出世間法。不出世間	妄 有 生 滅 妄 有 菩 提 涅 槃 便 有 出世間法 不 出 世 間 
X73n1447_001:0050a13	法。妄起許多異見。弃却十方虗空。却向鬼窟裡作活	法 妄 起 許 多 異 見 弃 却 十 方 虗 空 却 向 鬼 窟 裡 作 活 
X73n1447_001:0050a14	計。本來是佛。不假你修行。既然如此。更擬學箇甚麼	計 本 來 是 佛 不 假 你 修 行 既 然 如 此 更 擬 學 箇 甚 麼 
X73n1447_001:0050a15	去。總要離却眾生修行覔佛。佛在那裡。只諸人自己	去 總 要 離 却 眾 生 修 行 覔 佛 佛 在 那 裡 只 諸 人 自 己 
X73n1447_001:0050a16	便是佛。悟之即是佛。迷即是凡夫。所以云。平等真法	便 是 佛 悟 之 即 是 佛 迷 即 是 凡 夫 所 以 云 平 等 真 法 
X73n1447_001:0050a17	界。無佛無眾生。然雖如是。體究不得。修行不得。此是	界 無 佛 無 眾 生 然 雖 如 是 體 究 不 得 修 行 不 得 此 是 
X73n1447_001:0050a18	修不得底事。無過是諸聖經三無數劫修行。直至十	修 不 得 底 事 無 過 是 諸 聖 經 三無數劫 修 行 直 至 十 
X73n1447_001:0050a19	地滿心。說法如雲如雨。尚不能得見性。忽爾無心。方	地 滿 心 說 法 如 雲 如 雨 尚 不 能 得 見 性 忽 爾 無 心 方 
X73n1447_001:0050a20	始見性。却觀以前三無數劫。枉用工夫。虗受勤苦修	始 見 性 却 觀 以 前 三無數劫 枉 用 工 夫 虗 受 勤 苦 修 
X73n1447_001:0050a21	行。總無實事。當知不假你修行。總無你用心學。到你	行 總 無 實 事 當 知 不 假 你 修 行 總 無 你 用 心 學 到 你 
X73n1447_001:0050a22	用心學著。無有是處。若多知多解。能問能答。說得道	用 心 學 著 無 有 是 處 若 多 知 多 解 能 問 能 答 說 得 道 
X73n1447_001:0050a23	得。機鋒迅速。慧辯過人。似這般事。諸人過去生中。總	得 機 鋒 迅 速 慧 辯 過 人 似 這 般 事 諸 人 過 去 生 中 總 
X73n1447_001:0050a24	曾學來。只是免輪回生死不得。為箇甚麼。為你不曾	曾 學 來 只 是 免 輪 回 生 死 不 得 為 箇 甚 麼 為 你 不 曾 
X73n1447_001:0050b01	見性悟道。所以生死不斷。從生至老。只是識得箇門	見 性 悟 道 所 以 生 死 不 斷 從 生 至 老 只 是 識 得 箇 門 
X73n1447_001:0050b02	頭戶口光影為身。不知有本來自己。不知有向上一	頭 戶 口 光 影 為 身 不 知 有 本 來 自 己 不 知 有 向 上 一 
X73n1447_001:0050b03	路事。却於文字語言上。學問學答。有甚麼交涉。三冊	路 事 却 於 文 字 語 言 上 學 問 學 答 有 甚 麼 交 涉 三 冊 
X73n1447_001:0050b04	五冊。抄取記取。到處尊宿會下。經冬過夏。一一從頭	五 冊 抄 取 記 取 到 處 尊 宿 會 下 經 冬 過 夏 一 一 從 頭 
X73n1447_001:0050b05	請益。便說向上向下。照用縱橫。做箇灑灑地衲僧。不	請 益 便 說 向 上 向 下 照 用 縱 橫 做 箇 灑 灑 地 衲 僧 不 
X73n1447_001:0050b06	依倚一物。道我己事明白也。蘊在胸襟以為極則。遂	依 倚 一 物 道 我 己 事 明 白 也 蘊 在 胸 襟 以 為 極 則 遂 
X73n1447_001:0050b07	乃欲人稱我是禪師。為後人開眼目。多少埋沒上祖。	乃 欲 人 稱 我 是 禪 師 為 後 人 開 眼 目 多 少 埋 沒 上 祖 
X73n1447_001:0050b08	錯指後人。將這般事擬抵佗生死。還得也無。縱你便	錯 指 後 人 將 這 般 事 擬 抵 佗 生 死 還 得 也 無 縱 你 便 
X73n1447_001:0050b09	得大省大悟。說得如雲如雨去。只是贏得一場口滑。	得 大 省 大 悟 說 得 如 雲 如 雨 去 只 是 贏 得 一 場 口 滑 
X73n1447_001:0050b10	去道轉遠。喚作貪相婬底婦人。所以德山和尚云。一	去 道 轉 遠 喚 作 貪 相 婬 底 婦 人 所 以 德 山 和 尚 云 一 
X73n1447_001:0050b11	遞一口婬得來滑喥喥地。有箇甚麼益。亦喚作野狐	遞 一 口 婬 得 來 滑 喥 喥 地 有 箇 甚 麼 益 亦 喚 作 野 狐 
X73n1447_001:0050b12	精魅。諸仁者。當知此事不在你擬議思量。直下是箇	精 魅 諸 仁 者 當 知 此 事 不 在 你 擬 議 思 量 直 下 是 箇 
X73n1447_001:0050b13	出家人始得。那裡教你容易行止取次身心學得。從	出 家 人 始 得 那 裡 教 你 容 易 行 止 取 次 身 心 學 得 從 
X73n1447_001:0050b14	上諸聖具無礙智搆不及底事。那裡在你一問一答。	上 諸 聖 具 無 礙 智 搆 不 及 底 事 那 裡 在 你 一 問 一 答 
X73n1447_001:0050b15	直饒一言一句便得天花亂墜。亦不干自己事。況你	直 饒 一 言 一 句 便 得 天 花 亂 墜 亦 不 干 自 己 事 況 你 
X73n1447_001:0050b16	據見定有[此/且]箇知見。便為自己見解。參學事畢。千足	據 見 定 有 [此且] 箇 知 見 便 為 自 己 見 解 參 學 事 畢 千 足 
X73n1447_001:0050b17	萬足。躭箇勝負身心。到處覔人道我會禪會道。騁智	萬 足 躭 箇 勝 負 身 心 到 處 覔 人 道 我 會 禪 會 道 騁 智 
X73n1447_001:0050b18	騁強。道我是祖師門下客。似此之流。總喚作野狐涎	騁 強 道 我 是 祖 師 門 下 客 似 此 之 流 總 喚 作 野 狐 涎 
X73n1447_001:0050b19	唾。餓鬼外道之輩。是甚麼學佛法人。近來參學兄弟。	唾 餓 鬼 外 道 之 輩 是 甚 麼 學 佛 法 人 近 來 參 學 兄 弟 
X73n1447_001:0050b20	便是一代不如一代。並不知出家本分事。總要學對	便 是 一 代 不 如 一 代 並 不 知 出 家 本 分 事 總 要 學 對 
X73n1447_001:0050b21	口。又怕人問著無可祗對。一向在言句中留心。十年	口 又 怕 人 問 著 無 可 祗 對 一 向 在 言 句 中 留 心 十 年 
X73n1447_001:0050b22	二十年。止在鬼窟裡作活計。不知有本分事據他學	二 十 年 止 在 鬼 窟 裡 作 活 計 不 知 有 本 分 事 據 他 學 
X73n1447_001:0050b23	解機智不妨也。多知能解。解問解答。了達得世間之	解 機 智 不 妨 也 多 知 能 解 解 問 解 答 了 達 得 世 間 之 
X73n1447_001:0050b24	法。只是於生死門庭中總不得力。行脚人學得這般	法 只 是 於 生 死 門 庭 中 總 不 得 力 行 脚 人 學 得 這 般 
X73n1447_001:0050c01	事濟箇甚麼。臘月三十日。不免被知見風吹入生死	事 濟 箇 甚 麼 臘 月 三 十 日 不 免 被 知 見 風 吹 入 生 死 
X73n1447_001:0050c02	海裡。有甚麼了期。諸仁者。丈夫各負冲天氣。作麼生	海 裡 有 甚 麼 了 期 諸 仁 者 丈 夫 各 負 冲 天 氣 作 麼 生 
X73n1447_001:0050c03	却向這裡自埋自沒。此事葢緣初心不正。亂被人指	却 向 這 裡 自 埋 自 沒 此 事 葢 緣 初 心 不 正 亂 被 人 指 
X73n1447_001:0050c04	示。教你恁麼是。恁麼又不是。至竟未曾遇著好人。你	示 教 你 恁 麼 是 恁 麼 又 不 是 至 竟 未 曾 遇 著 好 人 你 
X73n1447_001:0050c05	這一箇自己本性。猶如空中無形無相。作何面孔。你	這 一 箇 自 己 本 性 猶 如 空 中 無 形 無 相 作 何 面 孔 你 
X73n1447_001:0050c06	擬做箇甚麼見得佗。那裡教人指示得著。從上三世	擬 做 箇 甚 麼 見 得 佗 那 裡 教 人 指 示 得 著 從 上 三 世 
X73n1447_001:0050c07	諸佛。具五眼六通。尚見不得。不曾識伊面孔。無始以	諸 佛 具 五 眼 六 通 尚 見 不 得 不 曾 識 伊 面 孔 無 始 以 
X73n1447_001:0050c08	來至于今日。未曾生未曾滅。未曾有未曾無。只為你	來 至 于 今 日 未 曾 生 未 曾 滅 未 曾 有 未 曾 無 只 為 你 
X73n1447_001:0050c09	迷來日久。妄有生滅。妄有輪回。便見法有斷常。諸人	迷 來 日 久 妄 有 生 滅 妄 有 輪 回 便 見 法 有 斷 常 諸 人 
X73n1447_001:0050c10	無始劫來。未曾離此一念心。還知麼。你許多時來。這	無 始 劫 來 未 曾 離 此 一 念 心 還 知 麼 你 許 多 時 來 這 
X73n1447_001:0050c11	一念心還曾暫歇也無。未甞有一時暫歇。所以六道	一 念 心 還 曾 暫 歇 也 無 未 甞 有 一 時 暫 歇 所 以 六 道 
X73n1447_001:0050c12	輪回。動經塵劫。不復人身。只為這一念心不歇。今生	輪 回 動 經 塵 劫 不 復 人 身 只 為 這 一 念 心 不 歇 今 生 
X73n1447_001:0050c13	既得出頭來。又得在袈裟之下。多少省徑。不被業障	既 得 出 頭 來 又 得 在 袈 裟 之 下 多 少 省 徑 不 被 業 障 
X73n1447_001:0050c14	所拘。正好修行。如今教諸人修行。作麼生修行。莫是	所 拘 正 好 修 行 如 今 教 諸 人 修 行 作 麼 生 修 行 莫 是 
X73n1447_001:0050c15	教諸人用心學佛法麼。莫是教諸人體究古今因緣。	教 諸 人 用 心 學 佛 法 麼 莫 是 教 諸 人 體 究 古 今 因 緣 
X73n1447_001:0050c16	下問下答麼。莫是教諸人作福結緣麼。這裡也不要	下 問 下 答 麼 莫 是 教 諸 人 作 福 結 緣 麼 這 裡 也 不 要 
X73n1447_001:0050c17	諸人辦事。也不愛你諸人口快。會問會答。總不如此。	諸 人 辦 事 也 不 愛 你 諸 人 口 快 會 問 會 答 總 不 如 此 
X73n1447_001:0050c18	何況諸人分上都無如此事。大意只要諸人休歇去。	何 況 諸 人 分 上 都 無 如 此 事 大 意 只 要 諸 人 休 歇 去 
X73n1447_001:0050c19	從前所有知見解會。若不從息心得一時捨却。必不	從 前 所 有 知 見 解 會 若 不 從 息 心 得 一 時 捨 却 必 不 
X73n1447_001:0050c20	是道賺汝諸人虗費身心。究竟總不成事。勸你諸人	是 道 賺 汝 諸 人 虗 費 身 心 究 竟 總 不 成 事 勸 你 諸 人 
X73n1447_001:0050c21	不如休歇去。無你用心處。但十二時中似一箇癡人	不 如 休 歇 去 無 你 用 心 處 但 十 二 時 中 似 一 箇 癡 人 
X73n1447_001:0050c22	去。任運騰騰心如虗空相似。亦無虗空之量。始得無	去 任 運 騰 騰 心 如 虗 空 相 似 亦 無 虗 空 之 量 始 得 無 
X73n1447_001:0050c23	明無暗。年去年來。無有絲毫佛法身心始得。若有一	明 無 暗 年 去 年 來 無 有 絲 毫 佛 法 身 心 始 得 若 有 一 
X73n1447_001:0050c24	毫許事不忘。便是一生虗過。所以道。學得佛邊事。亦	毫 許 事 不 忘 便 是 一 生 虗 過 所 以 道 學 得 佛 邊 事 亦 
X73n1447_001:0051a01	是錯用心。直須是無事去始得一般去始得。然雖如	是 錯 用 心 直 須 是 無 事 去 始 得 一 般 去 始 得 然 雖 如 
X73n1447_001:0051a02	是。不妨難得人。非但而今。自古以來也難得人。豈況	是 不 妨 難 得 人 非 但 而 今 自 古 以 來 也 難 得 人 豈 況 
X73n1447_001:0051a03	今時學事兄弟。例皆被無知老禿奴引在荒草裡。所	今 時 學 事 兄 弟 例 皆 被 無 知 老 禿 奴 引 在 荒 草 裡 所 
X73n1447_001:0051a04	以道。我眼本正。因師故邪。後生兄弟總為生死事大。	以 道 我 眼 本 正 因 師 故 邪 後 生 兄 弟 總 為 生 死 事 大 
X73n1447_001:0051a05	利濟有情。是至千鄉萬里出來行脚。參尋善知識。及	利 濟 有 情 是 至 千 鄉 萬 里 出 來 行 脚 參 尋 善 知 識 及 
X73n1447_001:0051a06	其被無去著底長老指示。教佗日夜用心學尋言逐	其 被 無 去 著 底 長 老 指 示 教 佗 日 夜 用 心 學 尋 言 逐 
X73n1447_001:0051a07	句。從錯至錯。直至如今子子孫孫。例皆如此。如今你	句 從 錯 至 錯 直 至 如 今 子 子 孫 孫 例 皆 如 此 如 今 你 
X73n1447_001:0051a08	諸人得遇薦福出世。為你諸人說如此事。大須慶幸。	諸 人 得 遇 薦 福 出 世 為 你 諸 人 說 如 此 事 大 須 慶 幸 
X73n1447_001:0051a09	如今天下更無說著此事底人。不是大言。諸仁者。你	如 今 天 下 更 無 說 著 此 事 底 人 不 是 大 言 諸 仁 者 你 
X73n1447_001:0051a10	如今但只出得薦福門外。便無人說著。況也不知有。	如 今 但 只 出 得 薦 福 門 外 便 無 人 說 著 況 也 不 知 有 
X73n1447_001:0051a11	何以。老僧平生所見處。如今天下人不知。若更不開	何 以 老 僧 平 生 所 見 處 如 今 天 下 人 不 知 若 更 不 開 
X73n1447_001:0051a12	口。便成滅門去也。諸人既到這裡。且不得容易過時。	口 便 成 滅 門 去 也 諸 人 既 到 這 裡 且 不 得 容 易 過 時 
X73n1447_001:0051a13	自家著眼孔。莫教人謾。見佛之與祖。如同生冤家始	自 家 著 眼 孔 莫 教 人 謾 見 佛 之 與 祖 如 同 生 冤 家 始 
X73n1447_001:0051a14	得。到這裡合作麼生。諸兄弟除是不學。既若學大須	得 到 這 裡 合 作 麼 生 諸 兄 弟 除 是 不 學 既 若 學 大 須 
X73n1447_001:0051a15	精研。不得取次承當。容易領解。虗度光陰。無有實事。	精 研 不 得 取 次 承 當 容 易 領 解 虗 度 光 陰 無 有 實 事 
X73n1447_001:0051a16	要得知有此事。除是無心。別無異路。直須是如愚如	要 得 知 有 此 事 除 是 無 心 別 無 異 路 直 須 是 如 愚 如 
X73n1447_001:0051a17	癡去始得。諸仁者。從佗人道作愚癡沉空滯寂去。但	癡 去 始 得 諸 仁 者 從 佗 人 道 作 愚 癡 沉 空 滯 寂 去 但 
X73n1447_001:0051a18	無事去。五七年久久。何有不得者。到你得也這回無	無 事 去 五 七 年 久 久 何 有 不 得 者 到 你 得 也 這 回 無 
X73n1447_001:0051a19	得之得去。任是一切法。無有不會者。喚作鼎新一處。	得 之 得 去 任 是 一 切 法 無 有 不 會 者 喚 作 鼎 新 一 處 
X73n1447_001:0051a20	萬法具足。爭消得你學。然雖如此。似今時覔一箇人	萬 法 具 足 爭 消 得 你 學 然 雖 如 此 似 今 時 覔 一 箇 人 
X73n1447_001:0051a21	如此即不可得。諸仁者。除十二時中。似一箇無孔銕	如 此 即 不 可 得 諸 仁 者 除 十 二 時 中 似 一 箇 無 孔 銕 
X73n1447_001:0051a22	鎚去始得。直須三世諸佛一切聖賢。覔你蹤跡不著	鎚 去 始 得 直 須 三世諸佛 一 切 聖 賢 覔 你 蹤 跡 不 著 
X73n1447_001:0051a23	始得。但有一絲毫佛法異念。鬼神便見得你。識得你。	始 得 但 有 一 絲 毫 佛 法 異 念 鬼 神 便 見 得 你 識 得 你 
X73n1447_001:0051a24	不見往日雲居弘覺禪師。參見洞山悟本大師。後入	不 見 往 日 雲 居 弘 覺 禪 師 參 見 洞 山 悟 本 大 師 後 入 
X73n1447_001:0051b01	山住菴。每月十五須回問訊洞山。一日洞山問。庵主。	山 住 菴 每 月 十 五 須 回 問 訊 洞 山 一 日 洞 山 問 庵 主 
X73n1447_001:0051b02	汝庵中置被煙火飯食如何。庵主曰俱無。山云。每日	汝 庵 中 置 被 煙 火 飯 食 如 何 庵 主 曰 俱 無 山 云 每 日 
X73n1447_001:0051b03	喫箇甚麼。庵主云。每日常有賢聖送食來與某甲喫。	喫 箇 甚 麼 庵 主 云 每 日 常 有 賢 聖 送 食 來 與 某 甲 喫 
X73n1447_001:0051b04	庵主不明被洞山喝云。將謂汝是箇人。作麼生却如	庵 主 不 明 被 洞 山 喝 云 將 謂 汝 是 箇 人 作 麼 生 却 如 
X73n1447_001:0051b05	此。庵主叉手進前云。不知某甲有甚麼過。山云。若無	此 庵 主 叉 手 進 前 云 不 知 某 甲 有 甚 麼 過 山 云 若 無 
X73n1447_001:0051b06	所作。因甚麼感賢聖送食來與汝喫。庵主曰。某甲在	所 作 因 甚 麼 感 賢 聖 送 食 來 與 汝 喫 庵 主 曰 某 甲 在 
X73n1447_001:0051b07	庵中。有時思量著和尚言句。山云。可知是。庵主從此	庵 中 有 時 思 量 著 和 尚 言 句 山 云 可 知 是 庵 主 從 此 
X73n1447_001:0051b08	歸庵中。自備茶食。於是賢聖又送食來。即不見庵主。	歸 庵 中 自 備 茶 食 於 是 賢 聖 又 送 食 來 即 不 見 庵 主 
X73n1447_001:0051b09	從此不送來。諸上座。佗古人直待身心如是。尚被鬼	從 此 不 送 來 諸 上 座 佗 古 人 直 待 身 心 如 是 尚 被 鬼 
X73n1447_001:0051b10	神見。豈況你今時人。終日竟夜自瞞。龍神土地。一一	神 見 豈 況 你 今 時 人 終 日 竟 夜 自 瞞 龍 神 土 地 一 一 
X73n1447_001:0051b11	見得你手脚。好之與惡。伊總識得。為你這一念心不	見 得 你 手 脚 好 之 與 惡 伊 總 識 得 為 你 這 一 念 心 不 
X73n1447_001:0051b12	忘。如今大意。只要諸人息却參學底心。息却修行底	忘 如 今 大 意 只 要 諸 人 息 却 參 學 底 心 息 却 修 行 底 
X73n1447_001:0051b13	心。如一塊頑石頭去。如寒灰死火去。若能如是。却得	心 如 一 塊 頑 石 頭 去 如 寒 灰 死 火 去 若 能 如 是 却 得 
X73n1447_001:0051b14	相應分。若不如斯。縱你修行六度萬行。乃至盡未來	相 應 分 若 不 如 斯 縱 你 修 行 六 度 萬 行 乃 至 盡 未 來 
X73n1447_001:0051b15	際修。只得箇報化佛。不見云。報化非真佛。亦非說法	際 修 只 得 箇 報 化 佛 不 見 云 報 化 非 真 佛 亦 非 說 法 
X73n1447_001:0051b16	者。當知不易得。如今諸人既到這裡。且莫容易過時。	者 當 知 不 易 得 如 今 諸 人 既 到 這 裡 且 莫 容 易 過 時 
X73n1447_001:0051b17	且學休歇身心。向後自不同去。若歇得這一念者。稍	且 學 休 歇 身 心 向 後 自 不 同 去 若 歇 得 這 一 念 者 稍 
X73n1447_001:0051b18	有[此/且]子出家分。稍有學道分。別無用心處。設有學得	有 [此且] 子 出 家 分 稍 有 學 道 分 別 無 用 心 處 設 有 學 得 
X73n1447_001:0051b19	八萬法門。百千三昧。說得滿龍宮盈海藏去。於你分	八 萬 法 門 百 千 三 昧 說 得 滿 龍 宮 盈 海 藏 去 於 你 分 
X73n1447_001:0051b20	上總無是處。所以佛云。如吹魚網欲氣滿。無有是處。	上 總 無 是 處 所 以 佛 云 如 吹 魚 網 欲 氣 滿 無 有 是 處 
X73n1447_001:0051b21	學佛法直下不是這箇道理。所以祖師門下。只是說	學 佛 法 直 下 不 是 這 箇 道 理 所 以 祖 師 門 下 只 是 說 
X73n1447_001:0051b22	忘其言息其見。及至達磨從西國來。既到此土。九年	忘 其 言 息 其 見 及 至 達 磨 從 西 國 來 既 到 此 土 九 年 
X73n1447_001:0051b23	面壁。不措一詞。如今諸人擬作麼解會。諸仁者除是	面 壁 不 措 一 詞 如 今 諸 人 擬 作 麼 解 會 諸 仁 者 除 是 
X73n1447_001:0051b24	息心。別無你著力處。諸人若能無心去。便與諸佛齊	息 心 別 無 你 著 力 處 諸 人 若 能 無 心 去 便 與 諸 佛 齊 
X73n1447_001:0051c01	肩。佛即是箇無心底人。若神通妙用。一切慧門。一切	肩 佛 即 是 箇 無 心 底 人 若 神 通 妙 用 一 切 慧 門 一 切 
X73n1447_001:0051c02	行門。一切定門。悉皆本來具足。不少欠一法。不是你	行 門 一 切 定 門 悉 皆 本 來 具 足 不 少 欠 一 法 不 是 你 
X73n1447_001:0051c03	修行得底事。皆是息心而證。諸人既未得如此。且體	修 行 得 底 事 皆 是 息 心 而 證 諸 人 既 未 得 如 此 且 體 
X73n1447_001:0051c04	取空劫以前自己事。所以云。今時人須得大用現前。	取 空 劫 以 前 自 己 事 所 以 云 今 時 人 須 得 大 用 現 前 
X73n1447_001:0051c05	且如諸人喚甚麼作大用。莫是見恁麼問著。便出來	且 如 諸 人 喚 甚 麼 作 大 用 莫 是 見 恁 麼 問 著 便 出 來 
X73n1447_001:0051c06	問訊了歸位立。或則下棒下喝。喚作大用。正是野狐	問 訊 了 歸 位 立 或 則 下 棒 下 喝 喚 作 大 用 正 是 野 狐 
X73n1447_001:0051c07	精。諸人要識大用麼。空劫以前底。便喚作大用。若體	精 諸 人 要 識 大 用 麼 空 劫 以 前 底 便 喚 作 大 用 若 體 
X73n1447_001:0051c08	得空劫以前事。方得大用現前。及能於生死界中得	得 空 劫 以 前 事 方 得 大 用 現 前 及 能 於 生 死 界 中 得 
X73n1447_001:0051c09	其自在。不被業障所拘。方是見性底人。稍有[此/且]子佛	其 自 在 不 被 業 障 所 拘 方 是 見 性 底 人 稍 有 [此且] 子 佛 
X73n1447_001:0051c10	法身心也。你看他得大用底人去住自由。有紙衣道	法 身 心 也 你 看 他 得 大 用 底 人 去 住 自 由 有 紙 衣 道 
X73n1447_001:0051c11	者到曹山。曹山見便問。莫是紙衣道者否。云不敢。山	者 到 曹 山 曹 山 見 便 問 莫 是 紙 衣 道 者 否 云 不 敢 山 
X73n1447_001:0051c12	云。作麼生是紙衣下事。對云。一毬挂體。萬法皆如。山	云 作 麼 生 是 紙 衣 下 事 對 云 一 毬 挂 體 萬 法 皆 如 山 
X73n1447_001:0051c13	云。作麼生是紙衣下用。紙衣近前。唱一聲喏。便立脫	云 作 麼 生 是 紙 衣 下 用 紙 衣 近 前 唱 一 聲 喏 便 立 脫 
X73n1447_001:0051c14	去。時有僧舉到僧堂中。有第二座聞得亦脫去。良久	去 時 有 僧 舉 到 僧 堂 中 有 第 二 座 聞 得 亦 脫 去 良 久 
X73n1447_001:0051c15	紙衣却回來。問曹山云。靈覺不托胎時如何。山云。不	紙 衣 却 回 來 問 曹 山 云 靈 覺 不 托 胎 時 如 何 山 云 不 
