T85n2789_001:0644c17	律戒本疏	律 戒 本 疏 
T85n2789_001:0651b04	六句亦是比丘往觸女人。第七第八句亦是	六 句 亦 是 比 丘 往 觸 女 人 第 七 第 八 句 亦 是 
T85n2789_001:0651b05	女人來觸比丘。第九第十句。男女二俱無衣。	女 人 來 觸 比 丘 第 九 第 十 句 男 女 二 俱 無 衣 
T85n2789_001:0651b06	但女人是死形半壞。乃至盡皆犯偷蘭。并	但 女 人 是 死 形 半 壞 乃 至 盡 皆 犯 偷 蘭 并 
T85n2789_001:0651b07	應有九十句。盡具四緣皆犯究竟偷蘭。若生	應 有 九 十 句 盡 具 四 緣 皆 犯 究 竟 偷 蘭 若 生 
T85n2789_001:0651b08	疑犯九十句方便突吉羅。若疑各犯六句方	疑 犯 九 十 句 方 便 突 吉 羅 若 疑 各 犯 六 句 方 
T85n2789_001:0651b09	便突吉羅。若摩觸女人四緣闕一。悉犯方便	便 突 吉 羅 若 摩 觸 女 人 四 緣 闕 一 悉 犯 方 便 
T85n2789_001:0651b10	偷蘭。如人女作非人女想人女疑。此二各闕	偷 蘭 如 人 女 作 非 人 女 想 人 女 疑 此 二 各 闕 
T85n2789_001:0651b11	內心一緣。若非人女作人女想。闕境一緣。非	內 心 一 緣 若 非 人 女 作 人 女 想 闕 境 一 緣 非 
T85n2789_001:0651b12	人女疑闕境闕心。此四皆四緣不具。乃可輕	人 女 疑 闕 境 闕 心 此 四 皆 四 緣 不 具 乃 可 輕 
T85n2789_001:0651b13	重有殊。皆犯方便偷蘭。若觸非人女黃門二	重 有 殊 皆 犯 方 便 偷 蘭 若 觸 非 人 女 黃 門 二 
T85n2789_001:0651b14	形。具四緣皆犯究竟偷蘭。若疑是男子或作	形 具 四 緣 皆 犯 究 竟 偷 蘭 若 疑 是 男 子 或 作 
T85n2789_001:0651b15	男子想。悉犯方便突吉羅。若於人男子畜生	男 子 想 悉 犯 方 便 突 吉 羅 若 於 人 男 子 畜 生 
T85n2789_001:0651b16	女。具四緣各犯究竟突吉羅。於上更無所	女 具 四 緣 各 犯 究 竟 突 吉 羅 於 上 更 無 所 
T85n2789_001:0651b17	趣。故稱究竟。可有與果作因故稱方便。	趣 故 稱 究 竟 可 有 與 果 作 因 故 稱 方 便 
T85n2789_001:0651b18	麁語戒第三　麁語亦具四緣犯僧殘。四緣	麁 語 戒 第 三 麁 語 亦 具 四 緣 犯 僧 殘 四 緣 
T85n2789_001:0651b19	是何。一人女。二人想。三有欲心。四麁語可解	是 何 一 人 女 二 人 想 三 有 欲 心 四 麁 語 可 解 
T85n2789_001:0651b20	此。是四也。若四緣闕一犯方便偷蘭。若廣	此 是 四 也 若 四 緣 闕 一 犯 方 便 偷 蘭 若 廣 
T85n2789_001:0651b21	解究竟方便同如前摩觸中無異。但從此戒	解 究竟方便 同 如 前 摩 觸 中 無 異 但 從 此 戒 
T85n2789_001:0651b22	以下盡二謗有七戒。通初漏失八戒。若沙彌	以 下 盡 二 謗 有 七 戒 通 初 漏 失 八 戒 若 沙 彌 
T85n2789_001:0651b23	時教人作方便。事究竟進受具戒。先所事今	時 教 人 作 方 便 事 究 竟 進 受 具 戒 先 所 事 今 
T85n2789_001:0651b24	始成敗。此比丘任運更不營助得犯僧殘罪。	始 成 敗 此 比 丘 任 運 更 不 營 助 得 犯 僧 殘 罪 
T85n2789_001:0651b25	所以爾者。此七戒容得教人為已作故爾。漏	所 以 爾 者 此 七 戒 容 得 教 人 為 已 作 故 爾 漏 
T85n2789_001:0651b26	失雖教人同犯。但沙彌時作方便後漏失猶	失 雖 教 人 同 犯 但 沙 彌 時 作 方 便 後 漏 失 猶 
T85n2789_001:0651b27	無故。爾餘之五戒不爾。無有教為已作我成	無 故 爾 餘 之 五 戒 不 爾 無 有 教 為 已 作 我 成 
T85n2789_001:0651b28	究竟也。麁麁惡惡語得僧殘者。然前人解語	究 竟 也 麁 麁 惡 惡 語 得 僧 殘 者 然 前 人 解 語 
T85n2789_001:0651b29	故得罪。非是已解便得罪。已不解不得罪。何	故 得 罪 非 是 已 解 便 得 罪 已 不 解 不 得 罪 何 
T85n2789_001:0651c01	以知之。律云。不以不知故得脫。是故但使內	以 知 之 律 云 不 以 不 知 故 得 脫 是 故 但 使 內 
T85n2789_001:0651c02	有染心。前人解語便得其罪。不待已知是麁	有 染 心 前 人 解 語 便 得 其 罪 不 待 已 知 是 麁 
T85n2789_001:0651c03	惡也。下一句亦如是。第三句非麁惡已。謂麁	惡 也 下 一 句 亦 如 是 第 三 句 非 麁 惡 已 謂 麁 
T85n2789_001:0651c04	惡下句亦同也。	惡 下 句 亦 同 也 
T85n2789_001:0651c05	讚嘆語戒第四　作餘食。不食者明青旦食	讚 嘆 語 戒 第 四 作 餘 食 不 食 者 明 青 旦 食 
T85n2789_001:0651c06	粥。日中食飯。一坐食者。明此人一食。揣食者	粥 日 中 食 飯 一 坐 食 者 明 此 人 一 食 揣 食 者 
T85n2789_001:0651c07	一受食也。常坐者晝夜不臥。隨坐者三衣	一 受 食 也 常 坐 者 晝 夜 不 臥 隨 坐 者 三 衣 
T85n2789_001:0651c08	常隨身。持三衣者三衣外無長財。若從受經	常 隨 身 持 三 衣 者 三 衣 外 無 長 財 若 從 受 經 
T85n2789_001:0651c09	者女人就比丘誦經。而經中有歎身語不犯。	者 女 人 就 比 丘 誦 經 而 經 中 有 歎 身 語 不 犯 
T85n2789_001:0651c10	若二人共受誦者然。女比丘二人就他受誦	若 二 人 共 受 誦 者 然 女 比 丘 二 人 就 他 受 誦 
T85n2789_001:0651c11	經。而經文有歎身語不犯。若同誦者女人比	經 而 經 文 有 歎 身 語 不 犯 若 同 誦 者 女 人 比 
T85n2789_001:0651c12	丘共誦一部經歎身語亦不犯。	丘 共 誦 一 部 經 歎 身 語 亦 不 犯 
T85n2789_001:0651c13	媒嫁戒第五　就此戒五段文。就因緣中有	媒 嫁 戒 第 五 就 此 戒 五 段 文 就 因 緣 中 有 
T85n2789_001:0651c14	三子段。第一從初訖可與此男已來。明起過。	三 子 段 第 一 從 初 訖 可 與 此 男 已 來 明 起 過 
T85n2789_001:0651c15	第二從時諸比丘以下訖具白世尊已來。明	第 二 從 時 諸 比 丘 以 下 訖 具 白 世 尊 已 來 明 
T85n2789_001:0651c16	諸比丘舉白佛。第三從世尊爾時以下訖正	諸 比 丘 舉 白 佛 第 三 從 世 尊 爾 時 以 下 訖 正 
T85n2789_001:0651c17	法文住已來。明舉過呵嘖。就廣解中有三段。	法 文 住 已 來 明 舉 過 呵 嘖 就 廣 解 中 有 三 段 
T85n2789_001:0651c18	第一從初訖女種亦知是已來。明二十種女人	第 一 從 初 訖 女 種 亦 知 是 已 來 明 二 十 種 女 人 
T85n2789_001:0651c19	二十種男。第二從母誰女以下訖現相還報四	二 十 種 男 第 二 從 母 誰 女 以 下 訖 現 相 還 報 四 
T85n2789_001:0651c20	句亦如是已來。正明所行媒。第三從若比丘	句 亦 如 是 已 來 正 明 所 行 媒 第 三 從 若 比 丘 
T85n2789_001:0651c21	受語往彼還報以下訖末。明結罪輕重。第二	受 語 往 彼 還 報 以 下 訖 末 明 結 罪 輕 重 第 二 
T85n2789_001:0651c22	正明媒嫁。若自受語語彼還報有十六句。自	正 明 媒 嫁 若 自 受 語 語 彼 還 報 有 十 六 句 自 
T85n2789_001:0651c23	受書作頭亦作十六句。指印現相亦皆有十	受 書 作 頭 亦 作 十 六 句 指 印 現 相 亦 皆 有 十 
T85n2789_001:0651c24	六句。都合六十四句。下復有四十八句。但	六 句 都 合 六 十 四 句 下 復 有 四 十 八 句 但 
T85n2789_001:0651c25	經文隱。但出自受語自持書往彼自持指印	經 文 隱 但 出 自 受 語 自 持 書 往 彼 自 持 指 印 
T85n2789_001:0651c26	報作十二句。自受書作頭但出四句便止。亦	報 作 十 二 句 自 受 書 作 頭 但 出 四 句 便 止 亦 
T85n2789_001:0651c27	應有十二句。自受書作頭但出四句便止。亦	應 有 十 二 句 自 受 書 作 頭 但 出 四 句 便 止 亦 
T85n2789_001:0651c28	應有十二句。何者初四。律文自有第二四句。	應 有 十 二 句 何 者 初 四 律 文 自 有 第 二 四 句 
T85n2789_001:0651c29	應言。受書自持指印往彼自持語還報。自	應 言 受 書 自 持 指 印 往 彼 自 持 語 還 報 自 
T85n2789_001:0652a01	受書自持指印往彼遣使持語還報。自受書	受 書 自 持 指 印 往 彼 遣 使 持 語 還 報 自 受 書 
T85n2789_001:0652a02	遣使持指印往彼自持語還報。自受書遣使	遣 使 持 指 印 往 彼 自 持 語 還 報 自 受 書 遣 使 
T85n2789_001:0652a03	持指印往彼遣使持語還報。第三四句自受	持 指 印 往 彼 遣 使 持 語 還 報 第 三 四 句 自 受 
T85n2789_001:0652a04	書自持現相往彼自持語還報。自受書自持	書 自 持 現 相 往 彼 自 持 語 還 報 自 受 書 自 持 
T85n2789_001:0652a05	現相往彼遣使持語還報。自受書遣使持現	現 相 往 彼 遣 使 持 語 還 報 自 受 書 遣 使 持 現 
T85n2789_001:0652a06	相往彼自持語還報。自受書遣使持現相往	相 往 彼 自 持 語 還 報 自 受 書 遣 使 持 現 相 往 
T85n2789_001:0652a07	彼遣使持語還報。指印作頭亦應作十二句。	彼 遣 使 持 語 還 報 指 印 作 頭 亦 應 作 十 二 句 
T85n2789_001:0652a08	初四句。自受指印自持現相往彼自持語還	初 四 句 自 受 指 印 自 持 現 相 往 彼 自 持 語 還 
T85n2789_001:0652a09	報。自受指印自持現相往彼遣使持語還報。	報 自 受 指 印 自 持 現 相 往 彼 遣 使 持 語 還 報 
T85n2789_001:0652a10	自受指印遣使持現相往彼自持語還報。自	自 受 指 印 遣 使 持 現 相 往 彼 自 持 語 還 報 自 
T85n2789_001:0652a11	受指印遣使持現相往彼遣使持語還報。第	受 指 印 遣 使 持 現 相 往 彼 遣 使 持 語 還 報 第 
T85n2789_001:0652a12	二四句。自受指印自持現相往彼自持書還	二 四 句 自 受 指 印 自 持 現 相 往 彼 自 持 書 還 
T85n2789_001:0652a13	報。自受指印自持現相往彼遣使持書還報。	報 自 受 指 印 自 持 現 相 往 彼 遣 使 持 書 還 報 
T85n2789_001:0652a14	自受指印遣使持現相往彼自持書還報。自	自 受 指 印 遣 使 持 現 相 往 彼 自 持 書 還 報 自 
T85n2789_001:0652a15	受指印遣使持現相往彼遣使持書還報。第	受 指 印 遣 使 持 現 相 往 彼 遣 使 持 書 還 報 第 
T85n2789_001:0652a16	三四句。自受指印自持語往彼自持書還報。	三 四 句 自 受 指 印 自 持 語 往 彼 自 持 書 還 報 
T85n2789_001:0652a17	自受指印自持語往彼遣使持書還報。自受	自 受 指 印 自 持 語 往 彼 遣 使 持 書 還 報 自 受 
T85n2789_001:0652a18	指印遣使持語往彼自持書還報。自受指印	指 印 遣 使 持 語 往 彼 自 持 書 還 報 自 受 指 印 
T85n2789_001:0652a19	遣使持語往彼遣使持書還報。現相作頭亦	遣 使 持 語 往 彼 遣 使 持 書 還 報 現 相 作 頭 亦 
T85n2789_001:0652a20	應有十二句。初四句現相語書是。第二四	應 有 十 二 句 初 四 句 現 相 語 書 是 第 二 四 
T85n2789_001:0652a21	句現相語指印是。第三四句亦現相指印書	句 現 相 語 指 印 是 第 三 四 句 亦 現 相 指 印 書 
T85n2789_001:0652a22	是。通前一百一十二句。以此句數對前二	是 通 前 一 百 一 十 二 句 以 此 句 數 對 前 二 
T85n2789_001:0652a23	十種男女。便有二千二百四十句。第三料簡	十 種 男 女 便 有 二 千 二 百 四 十 句 第 三 料 簡 
T85n2789_001:0652a24	罪之輕重有成不成。文言須申者此是所為	罪 之 輕 重 有 成 不 成 文 言 須 申 者 此 是 所 為 
T85n2789_001:0652a25	人。欲得暫會故曰須申。下極至此人。若為	人 欲 得 暫 會 故 曰 須 申 下 極 至 此 人 若 為 
T85n2789_001:0652a26	通一返便成其罪。若聞語者聞向他說。而默	通 一 返 便 成 其 罪 若 聞 語 者 聞 向 他 說 而 默 
T85n2789_001:0652a27	受語媒嫁媒嫁想者己身。前人皆作想媒嫁	受 語 媒 嫁 媒 嫁 想 者 己 身 前 人 皆 作 想 媒 嫁 
T85n2789_001:0652a28	疑者亦是自身。前人疑媒嫁作不媒嫁想但	疑 者 亦 是 自 身 前 人 疑 媒 嫁 作 不 媒 嫁 想 但 
T85n2789_001:0652a29	是前人不解。不媒嫁作媒嫁想是己身。不媒	是 前 人 不 解 不 媒 嫁 作 媒 嫁 想 是 己 身 不 媒 
T85n2789_001:0652b01	嫁疑亦己身也。	嫁 疑 亦 己 身 也 
T85n2789_001:0652b02	私作大房第六　私作二房過量不處分。何	私 作 大 房 第 六 私 作 二 房 過 量 不 處 分 何 
T85n2789_001:0652b03	故不捨犯捨。本要由財物。可隨身護己故犯	故 不 捨 犯 捨 本 要 由 財 物 可 隨 身 護 己 故 犯 
T85n2789_001:0652b04	捨。過量不處分防難二處。此四罪起要由地	捨 過 量 不 處 分 防 難 二 處 此 四 罪 起 要 由 地 
T85n2789_001:0652b05	生。地是重物。假令護己本非捨法。六畜奴婢	生 地 是 重 物 假 令 護 己 本 非 捨 法 六 畜 奴 婢 
T85n2789_001:0652b06	亦同。是故不須捨直聽懺悔。但斷相續更	亦 同 是 故 不 須 捨 直 聽 懺 悔 但 斷 相 續 更 
T85n2789_001:0652b07	不作房。不彰懺悔。甲僧用故爾。尼戒本中別	不 作 房 不 彰 懺 悔 甲 僧 用 故 爾 尼 戒 本 中 別 
T85n2789_001:0652b08	房亦由其地。何故犯捨。彼處犯捨不由房。之	房 亦 由 其 地 何 故 犯 捨 彼 處 犯 捨 不 由 房 之 
T85n2789_001:0652b09	以地乃至互用。是物轉物異用時即犯捨墮。	以 地 乃 至 互 用 是 物 轉 物 異 用 時 即 犯 捨 墮 
T85n2789_001:0652b10	不待作房時始犯捨。二房既非性惡。何故要	不 待 作 房 時 始 犯 捨 二 房 既 非 性 惡 何 故 要 
T85n2789_001:0652b11	須處分。又不得過量者。一以過量。長其貪	須 處 分 又 不 得 過 量 者 一 以 過 量 長 其 貪 
T85n2789_001:0652b12	求惱亂施主。若不處分必有惱害。多障礙僧	求 惱 亂 施 主 若 不 處 分 必 有 惱 害 多 障 礙 僧 
T85n2789_001:0652b13	事。是故不得過量要須處分。又雖復處分僧	事 是 故 不 得 過 量 要 須 處 分 又 雖 復 處 分 僧 
T85n2789_001:0652b14	祇成文。若越年處分異界僧處分。皆不成。二	祇 成 文 若 越 年 處 分 異 界 僧 處 分 皆 不 成 二 
T85n2789_001:0652b15	房亦皆有五段文。就因緣中有二。第一從初	房 亦 皆 有 五 段 文 就 因 緣 中 有 二 第 一 從 初 
T85n2789_001:0652b16	訖暢然不樂已來。明起過。第二從爾時世尊	訖 暢 然 不 樂 已 來 明 起 過 第 二 從 爾 時 世 尊 
T85n2789_001:0652b17	從羅閱祇以下訖末。明迦葉舉過白佛。明	從 羅 閱 祇 以 下 訖 末 明 迦 葉 舉 過 白 佛 明 
T85n2789_001:0652b18	如來廣障乞之過。多呵嘖制戒。就廣解中有	如 來 廣 障 乞 之 過 多 呵 嘖 制 戒 就 廣 解 中 有 
T85n2789_001:0652b19	子段五。第一從初訖足謂妨處已來。明略解	子 段 五 第 一 從 初 訖 足 謂 妨 處 已 來 明 略 解 
T85n2789_001:0652b20	戒本。第二從彼比丘看無防處以下訖如是	戒 本 第 二 從 彼 比 丘 看 無 防 處 以 下 訖 如 是 
T85n2789_001:0652b21	再三已來。明乞處分。第三從爾時眾僧以下	再 三 已 來 明 乞 處 分 第 三 從 爾 時 眾 僧 以 下 
T85n2789_001:0652b22	訖應與處分已來。明眾僧量宜應與不應與。	訖 應 與 處 分 已 來 明 眾 僧 量 宜 應 與 不 應 與 
T85n2789_001:0652b23	第四從應如是與以下訖泥治已來。明眾僧	第 四 從 應 如 是 與 以 下 訖 泥 治 已 來 明 眾 僧 
T85n2789_001:0652b24	與處分。第五從若不被僧處分過量以下訖	與 處 分 第 五 從 若 不 被 僧 處 分 過 量 以 下 訖 
T85n2789_001:0652b25	末。明結罪多少。作十五句。僧不處分作頭作	末 明 結 罪 多 少 作 十 五 句 僧 不 處 分 作 頭 作 
T85n2789_001:0652b26	六句。四罪作一句。僧不處分過量有難無妨	六 句 四 罪 作 一 句 僧 不 處 分 過 量 有 難 無 妨 
T85n2789_001:0652b27	作第二句。僧不處分過量無難有妨作第三	作 第 二 句 僧 不 處 分 過 量 無 難 有 妨 作 第 三 
T85n2789_001:0652b28	句。僧不處分不過量有難有妨作第四句。僧	句 僧 不 處 分 不 過 量 有 難 有 妨 作 第 四 句 僧 
T85n2789_001:0652b29	不處分不過量有難無妨作第五句。僧不處	不 處 分 不 過 量 有 難 無 妨 作 第 五 句 僧 不 處 
T85n2789_001:0652c01	分不過量無難有妨作第六句。僧處分過量	分 不 過 量 無 難 有 妨 作 第 六 句 僧 處 分 過 量 
T85n2789_001:0652c02	有難有妨作第七句。僧處分過量有難無妨	有 難 有 妨 作 第 七 句 僧 處 分 過 量 有 難 無 妨 
T85n2789_001:0652c03	作第八句。僧處分過量無難有妨第九句。僧	作 第 八 句 僧 處 分 過 量 無 難 有 妨 第 九 句 僧 
T85n2789_001:0652c04	處分不過量有難有妨作第十句。僧處分不	處 分 不 過 量 有 難 有 妨 作 第 十 句 僧 處 分 不 
T85n2789_001:0652c05	過量有難無妨作第十一句。僧處分不過量	過 量 有 難 無 妨 作 第 十 一 句 僧 處 分 不 過 量 
T85n2789_001:0652c06	無難有妨作第十二句。僧處分過量無難無	無 難 有 妨 作 第 十 二 句 僧 處 分 過 量 無 難 無 
T85n2789_001:0652c07	妨作第十三句。少兩句都合有十五句。二	妨 作 第 十 三 句 少 兩 句 都 合 有 十 五 句 二 
T85n2789_001:0652c08	房皆須處分差。但後房有主辨財為作。是	房 皆 須 處 分 差 但 後 房 有 主 辨 財 為 作 是 
T85n2789_001:0652c09	故得過量無罪。教人為己作房成得僧殘。直	故 得 過 量 無 罪 教 人 為 己 作 房 成 得 僧 殘 直 
T85n2789_001:0652c10	教他作私房不為已犯偷蘭。己為他作私房	教 他 作 私 房 不 為 已 犯 偷 蘭 己 為 他 作 私 房 
T85n2789_001:0652c11	亦得偷蘭。不成皆得突吉羅。四人以上客得	亦 得 偷 蘭 不 成 皆 得 突 吉 羅 四 人 以 上 客 得 
T85n2789_001:0652c12	作私房。雖僧作房亦不得在防難處作。若在	作 私 房 雖 僧 作 房 亦 不 得 在 防 難 處 作 若 在 
T85n2789_001:0652c13	防難處作者得突吉羅。作非法房從初至窓	防 難 處 作 者 得 突 吉 羅 作 非 法 房 從 初 至 窓 
T85n2789_001:0652c14	牖來犯突吉羅。從窓牖以上未成犯偷蘭。成	牖 來 犯 突 吉 羅 從 窓 牖 以 上 未 成 犯 偷 蘭 成 
T85n2789_001:0652c15	僧殘。隨受用突吉羅。律文中言。處分作不處	僧 殘 隨 受 用 突 吉 羅 律 文 中 言 處 分 作 不 處 
T85n2789_001:0652c16	分想者。謂羯磨不成也。不處分作處分想者。	分 想 者 謂 羯 磨 不 成 也 不 處 分 作 處 分 想 者 
T85n2789_001:0652c17	羯磨實不成意謂成也。下疑亦如是。若沙彌	羯 磨 實 不 成 意 謂 成 也 下 疑 亦 如 是 若 沙 彌 
T85n2789_001:0652c18	得處分作房。未成便進具戒後方作成。此比	得 處 分 作 房 未 成 便 進 具 戒 後 方 作 成 此 比 
T85n2789_001:0652c19	丘更無所犯。以得僧處分羯磨無差故爾。尼	丘 更 無 所 犯 以 得 僧 處 分 羯 磨 無 差 故 爾 尼 
T85n2789_001:0652c20	不處分過量犯二究竟偷蘭。比丘過量不處	不 處 分 過 量 犯 二 究 竟 偷 蘭 比 丘 過 量 不 處 
T85n2789_001:0652c21	分中有偷蘭。悉是方便難處想犯究竟突吉	分 中 有 偷 蘭 悉 是 方 便 難 處 想 犯 究 竟 突 吉 
T85n2789_001:0652c22	羅。以下四句悉是方便妨處亦同也。有主作	羅 以 下 四 句 悉 是 方 便 妨 處 亦 同 也 有 主 作 
T85n2789_001:0652c23	大房不處分戒中有五段。如上。因緣中有二	大 房 不 處 分 戒 中 有 五 段 如 上 因 緣 中 有 二 
T85n2789_001:0652c24	段。從初訖至而斫材作大房屋已來。正明起	段 從 初 訖 至 而 斫 材 作 大 房 屋 已 來 正 明 起 
T85n2789_001:0652c25	過。從時諸比丘聞中以下訖至當如是說已	過 從 時 諸 比 丘 聞 中 以 下 訖 至 當 如 是 說 已 
T85n2789_001:0652c26	來。第二諸比丘舉過白佛。就廣解有五段文。	來 第 二 諸 比 丘 舉 過 白 佛 就 廣 解 有 五 段 文 
T85n2789_001:0652c27	從初至是謂無妨處已來。第一略解戒本。從	從 初 至 是 謂 無 妨 處 已 來 第 一 略 解 戒 本 從 
T85n2789_001:0652c28	彼比丘以下訖第二第三已來。第二正明之	彼 比 丘 以 下 訖 第二第三 已 來 第 二 正 明 之 
T85n2789_001:0652c29	處分。從眾僧應觀察以下訖至應與指授已	處 分 從 眾 僧 應 觀 察 以 下 訖 至 應 與 指 授 已 
T85n2789_001:0653a01	來。第三正明眾僧量宜合與不合與。從應作	來 第 三 正 明 眾 僧 量 宜 合 與 不 合 與 從 應 作 
T85n2789_001:0653a02	如是與以下訖至泥治訖是已來。第四正明	如 是 與 以 下 訖 至 泥 治 訖 是 已 來 第 四 正 明 
T85n2789_001:0653a03	處分。從若僧不差指授以下訖末。明結罪多	處 分 從 若 僧 不 差 指 授 以 下 訖 末 明 結 罪 多 
T85n2789_001:0653a04	少。作七句。	少 作 七 句 
T85n2789_001:0653a05	保定元年歲次辛巳三月丁未朔八日玄覺	保 定 元 年 歲 次 辛 巳 三 月 丁 未 朔 八 日 玄 覺 
