X22n0432_001:0898b06	修西定課	修 西 定 課 
X22n0432_001:0906b09	可思議功德。一切諸佛所護念經。	可 思 議 功 德 一切諸佛 所 護 念 經 
X22n0432_001:0906b10	無量幢者。佛之福慧光相。高明如幢。而復無盡也。	無 量 幢 者 佛 之 福 慧 光 相 高 明 如 幢 而 復 無 盡 也 
X22n0432_001:0906b11	舍利弗。北方世界。有燄肩佛。最勝音佛。難沮佛。日生	舍 利 弗 北 方 世 界 有 燄 肩 佛 最 勝 音 佛 難 沮 佛 日 生 
X22n0432_001:0906b12	佛。網明佛。如是等恒河沙數諸佛。各於其國。出廣長	佛 網 明 佛 如 是 等 恒 河 沙 數 諸 佛 各 於 其 國 出 廣 長 
X22n0432_001:0906b13	舌相。徧覆三千大千世界。說誠實言。汝等眾生。當信	舌 相 徧 覆 三千大千世界 說 誠 實 言 汝 等 眾 生 當 信 
X22n0432_001:0906b14	是稱讚不可思議功德。一切諸佛所護念經。	是 稱 讚 不可思議 功 德 一切諸佛 所 護 念 經 
X22n0432_001:0906b15	難沮者。佛性雄猛。不可抑遏也。日生者。如日初出。	難 沮 者 佛 性 雄 猛 不 可 抑 遏 也 日 生 者 如 日 初 出 
X22n0432_001:0906b16	光燄熊熊也。	光 燄 熊 熊 也 
X22n0432_001:0906b17	舍利弗。下方世界。有師子佛。名聞佛。名光佛。達摩佛。	舍 利 弗 下 方 世 界 有 師 子 佛 名 聞 佛 名 光 佛 達 摩 佛 
X22n0432_001:0906b18	法幢佛。持法佛。如是等恒河沙數諸佛。各於其國。出	法 幢 佛 持 法 佛 如 是 等 恒 河 沙 數 諸 佛 各 於 其 國 出 
X22n0432_001:0906b19	廣長舌相。徧覆三千大千世界。說誠實言。汝等眾生。	廣長舌相 徧 覆 三千大千世界 說 誠 實 言 汝 等 眾 生 
X22n0432_001:0906b20	當信是稱讚不可思議功德。一切諸佛所護念經。	當 信 是 稱 讚 不可思議 功 德 一切諸佛 所 護 念 經 
X22n0432_001:0906b21	師子。一切獸中王也。如來。一切法中王也。故以為	師 子 一 切 獸 中 王 也 如 來 一 切 法 中 王 也 故 以 為 
X22n0432_001:0906b22	名也。達摩。此云法也。	名 也 達 摩 此 云 法 也 
X22n0432_001:0906b23	舍利弗。上方世界。有梵音佛。宿王佛。香上佛。香光佛。	舍 利 弗 上 方 世 界 有 梵 音 佛 宿 王 佛 香 上 佛 香 光 佛 
X22n0432_001:0906b24	大燄肩佛。雜色寶華嚴身佛。娑羅樹王佛。寶華德佛。	大 燄 肩 佛 雜 色 寶 華 嚴 身 佛 娑 羅 樹 王 佛 寶 華 德 佛 
X22n0432_001:0906c01	見一切義佛。如須彌山佛。如是等恒河沙數諸佛。各	見 一 切 義 佛 如須彌山 佛 如 是 等 恒 河 沙 數 諸 佛 各 
X22n0432_001:0906c02	於其國。出廣長舌相。徧覆三千大千世界。說誠實言。	於 其 國 出 廣長舌相 徧 覆 三千大千世界 說 誠 實 言 
X22n0432_001:0906c03	汝等眾生。當信是稱讚不可思議功德。一切諸佛所	汝 等 眾 生 當 信 是 稱 讚 不可思議 功 德 一切諸佛 所 
X22n0432_001:0906c04	護念經。	護 念 經 
X22n0432_001:0906c05	月為星宿中王。如佛為一切法中王也。香上者。佛	月 為 星 宿 中 王 如 佛 為 一 切 法 中 王 也 香 上 者 佛 
X22n0432_001:0906c06	香為一切香中之上也。香光者。心信成香。香淨發	香 為 一 切 香 中 之 上 也 香 光 者 心 信 成 香 香 淨 發 
X22n0432_001:0906c07	光也。嚴。飾也。娑羅。此云堅固也。樹王。大樹也。寶華	光 也 嚴 飾 也 娑 羅 此 云 堅 固 也 樹 王 大 樹 也 寶 華 
X22n0432_001:0906c08	德者。寶華之性。明潤開顯。而有馨香之感發也。	德 者 寶 華 之 性 明 潤 開 顯 而 有 馨 香 之 感 發 也 
X22n0432_001:0906c09	舍利弗。於汝意云何。何故名為一切諸佛所護念經。	舍 利 弗 於汝意云何 何 故 名 為 一切諸佛 所 護 念 經 
X22n0432_001:0906c10	舍利弗。若有善男子。善女人。聞是經受持者。及聞諸	舍 利 弗 若 有 善 男 子 善 女 人 聞 是 經 受 持 者 及 聞 諸 
X22n0432_001:0906c11	佛名者。是諸善男子。善女人。皆為一切諸佛之所護	佛 名 者 是 諸 善 男 子 善 女 人 皆 為 一切諸佛 之 所 護 
X22n0432_001:0906c12	念。皆得不退轉於阿耨多羅三藐三菩提。	念 皆 得不退轉 於 阿耨多羅三藐三菩提 
X22n0432_001:0906c13	佛佛心同。不分彼此。故眾生念一佛名。無量如來	佛 佛 心 同 不 分 彼 此 故 眾 生 念 一 佛 名 無 量 如 來 
X22n0432_001:0906c14	歡喜也。阿。無也。耨多羅。上也。三藐。正等也。三菩提。	歡 喜 也 阿 無 也 耨 多 羅 上 也 三 藐 正 等 也 三 菩 提 
X22n0432_001:0906c15	正覺也。凡夫不求正覺也。外道求正覺而不正也。	正 覺 也 凡 夫 不 求 正 覺 也 外 道 求 正 覺 而 不 正 也 
X22n0432_001:0906c16	羅漢似正覺而不等也。上等諸佛。下等眾生。方曰	羅 漢 似 正 覺 而 不 等 也 上 等 諸 佛 下 等 眾 生 方 曰 
X22n0432_001:0906c17	等矣。然菩薩雖等。不為無上也。無上正等正覺。便	等 矣 然 菩 薩 雖 等 不 為 無 上 也 無 上 正 等 正 覺 便 
X22n0432_001:0906c18	是佛矣。不退轉於佛道。由聞經聞佛之故。此經之	是 佛 矣 不 退 轉 於 佛 道 由 聞 經 聞 佛 之 故 此 經 之 
X22n0432_001:0906c19	威力大矣。○同護也。同念也。同見其為圓融一覺。	威 力 大 矣 同 護 也 同 念 也 同 見 其 為 圓 融 一 覺 
X22n0432_001:0906c20	無退理也。同見其為因緣入妙。無退機也。若自退	無 退 理 也 同 見 其 為 因 緣 入 妙 無 退 機 也 若 自 退 
X22n0432_001:0906c21	其念佛之心。則顛倒乖違。佛所不能護也。○主伴	其 念 佛 之 心 則 顛 倒 乖 違 佛 所 不 能 護 也 主 伴 
X22n0432_001:0906c22	重重。一時圓現。不出我一念中也。如一鏡中現無	重 重 一 時 圓 現 不 出 我 一 念 中 也 如 一 鏡 中 現 無 
X22n0432_001:0906c23	量鏡光。光中鏡鏡互映。嗚呼。何必花嚴耶。何必非	量 鏡 光 光 中 鏡 鏡 互 映 嗚 呼 何 必 花 嚴 耶 何 必 非 
X22n0432_001:0906c24	花嚴耶。	花 嚴 耶 
X22n0432_001:0907a01	是故舍利弗。汝等皆當信受我語。及諸佛所說。	是 故 舍 利 弗 汝 等 皆 當 信 受 我 語 及 諸佛所說 
X22n0432_001:0907a02	不信不受。諸法無靈。一句入神。諸佛歡喜。何以故。	不 信 不 受 諸 法 無 靈 一 句 入 神 諸 佛 歡 喜 何 以 故 
X22n0432_001:0907a03	一切眾生。皆於如來心中動也。一切如來。皆於眾	一 切 眾 生 皆 於 如 來 心 中 動 也 一 切 如 來 皆 於 眾 
X22n0432_001:0907a04	生心中住也。非動也。非住也。唯一圓融清淨寶覺	生 心 中 住 也 非 動 也 非 住 也 唯 一 圓 融 清 淨 寶 覺 
X22n0432_001:0907a05	而已。當信當受。通聖通凡。我輩宜如何加勉也。○	而 已 當 信 當 受 通 聖 通 凡 我 輩 宜 如 何 加 勉 也 
X22n0432_001:0907a06	淨土一門。為無邊聖賢游集之道場。謂頓悟自心。	淨 土 一 門 為 無 邊 聖 賢 游 集 之 道 場 謂 頓 悟 自 心 
X22n0432_001:0907a07	不須念佛往生者。豈真勝於智慧第一之舍利弗	不 須 念 佛 往 生 者 豈 真 勝 於 智慧第一 之 舍 利 弗 
X22n0432_001:0907a08	乎。夫觀經之標九品也。上品菩薩境界。中品羅漢	乎 夫 觀 經 之 標 九 品 也 上 品 菩 薩 境 界 中 品 羅 漢 
X22n0432_001:0907a09	境界。孰謂聖賢不求往生耶。	境 界 孰 謂 聖 賢 不 求 往 生 耶 
X22n0432_001:0907a10	舍利弗。若有人。已發願。	舍 利 弗 若 有 人 已 發 願 
X22n0432_001:0907a11	映下若已生。	映 下 若 已 生 
X22n0432_001:0907a12	今發願。	今 發 願 
X22n0432_001:0907a13	映下若今生。	映 下 若 今 生 
X22n0432_001:0907a14	當發願。	當 發 願 
X22n0432_001:0907a15	映下若當生。	映 下 若 當 生 
X22n0432_001:0907a16	欲生阿彌陀佛國者。	欲 生 阿 彌 陀 佛 國 者 
X22n0432_001:0907a17	佛國淨土。即一涵三。唯佛所居。常寂光也。光中所	佛 國 淨 土 即 一 涵 三 唯 佛 所 居 常 寂 光 也 光 中 所 
X22n0432_001:0907a18	現菩薩住處。則實報無障礙土也。所現聲聞住處。	現 菩 薩 住 處 則 實 報 無 障 礙 土 也 所 現 聲 聞 住 處 
X22n0432_001:0907a19	則方便有餘土也。所現眾生住處。則凡聖同居土	則 方 便 有 餘 土 也 所 現 眾 生 住 處 則 凡 聖 同 居 土 
X22n0432_001:0907a20	也。鏡光圓攝。四土本融。纔落言思。便成一土。若上	也 鏡 光 圓 攝 四 土 本 融 纔 落 言 思 便 成 一 土 若 上 
X22n0432_001:0907a21	上聰明人。悟得高即是下。下即是高。心空則境靈。	上 聰 明 人 悟 得 高 即 是 下 下 即 是 高 心 空 則 境 靈 
X22n0432_001:0907a22	發願往生。不須籌度也。當。將來也。	發 願 往 生 不 須 籌 度 也 當 將 來 也 
X22n0432_001:0907a23	是諸人等。皆得不退轉於阿耨多羅三藐三菩提。於	是 諸 人 等 皆 得不退轉 於 阿耨多羅三藐三菩提 於 
X22n0432_001:0907a24	彼國土。若已生。	彼 國 土 若 已 生 
X22n0432_001:0907b01	帶已發願句。	帶 已 發 願 句 
X22n0432_001:0907b02	若今生。	若 今 生 
X22n0432_001:0907b03	帶今發願句。此句最重。	帶 今 發 願 句 此 句 最 重 
X22n0432_001:0907b04	若當生。	若 當 生 
X22n0432_001:0907b05	帶當發願句。今發願。則今生矣。鼓棰在手。而憂鼓	帶 當 發 願 句 今 發 願 則 今 生 矣 鼓 棰 在 手 而 憂 鼓 
X22n0432_001:0907b06	之不響耶。早對彌陀。虔伸懺悔。	之 不 響 耶 早 對 彌 陀 虔 伸 懺 悔 
X22n0432_001:0907b07	是故舍利弗。諸善男子。善女人。若有信者。應當發願。	是 故 舍 利 弗 諸 善 男 子 善 女 人 若 有 信 者 應 當 發 願 
X22n0432_001:0907b08	生彼國土。	生 彼 國 土 
X22n0432_001:0907b09	釋迦將滅度。留此一經弗待咨詢。叮嚀勉勖。而經	釋 迦 將 滅 度 留 此 一 經 弗 待 咨 詢 叮 嚀 勉 勖 而 經 
X22n0432_001:0907b10	中之法。又簡中之簡。易中之易。捷中之捷。穩中之	中 之 法 又 簡 中 之 簡 易 中 之 易 捷 中 之 捷 穩 中 之 
X22n0432_001:0907b11	穩。超中之超。圓中之圓。嗚呼。至於此而恩已極矣。	穩 超 中 之 超 圓 中 之 圓 嗚 呼 至 於 此 而 恩 已 極 矣 
X22n0432_001:0907b12	然而業海多漚。生滅自局。習氣成於累世。妙法聞	然 而 業 海 多 漚 生 滅 自 局 習 氣 成 於 累 世 妙 法 聞 
X22n0432_001:0907b13	於一朝。信力如螢。難當風雨。所以發願者。百不獲	於 一 朝 信 力 如 螢 難 當 風 雨 所 以 發 願 者 百 不 獲 
X22n0432_001:0907b14	一焉。念佛者滿於世間。吾不知其歸於何用也。	一 焉 念 佛 者 滿 於 世 間 吾 不 知 其 歸 於 何 用 也 
X22n0432_001:0907b15	舍利弗。如我今者。稱讚諸佛不可思議功德。彼諸佛	舍 利 弗 如 我 今 者 稱 讚 諸 佛 不可思議 功 德 彼 諸 佛 
X22n0432_001:0907b16	等。亦稱讚我不可思議功德。而作是言。	等 亦 稱 讚 我 不可思議 功 德 而 作 是 言 
X22n0432_001:0907b17	是言。指以下六十字。	是 言 指 以 下 六 十 字 
X22n0432_001:0907b18	釋迦牟尼佛。能為甚難希有之事。能於娑婆國土。五	釋 迦 牟 尼 佛 能 為 甚 難 希 有 之 事 能 於 娑 婆 國 土 五 
X22n0432_001:0907b19	濁惡世。劫濁。見濁。煩惱濁。眾生濁。命濁中。得阿耨多	濁 惡 世 劫 濁 見 濁 煩 惱 濁 眾 生 濁 命 濁 中 得 阿 耨 多 
X22n0432_001:0907b20	羅三藐三菩提。為諸眾生。說是一切世間難信之法。	羅 三藐三菩提 為 諸 眾 生 說 是 一切世間 難 信 之 法 
X22n0432_001:0907b21	釋迦。此云能仁也。牟尼。此云寂默也。甚難希有。指	釋 迦 此 云 能 仁 也 牟 尼 此 云 寂 默 也 甚 難 希 有 指 
X22n0432_001:0907b22	成佛說法二事也。成佛不難。難於在五濁成佛。說	成 佛 說 法 二 事 也 成 佛 不 難 難 於 在 五 濁 成 佛 說 
X22n0432_001:0907b23	法不難。難於說一切世間難信之法也。○合四濁	法 不 難 難 於 說 一切世間 難 信 之 法 也 合 四 濁 
X22n0432_001:0907b24	以成劫濁。見者。惑也。煩惱者。身心不自在也。眾生	以 成 劫 濁 見 者 惑 也 煩 惱 者 身 心 不 自 在 也 眾 生 
X22n0432_001:0907c01	者。攬陰不淨惡名穢稱也。命者。色心相持不能堅	者 攬 陰 不 淨 惡 名 穢 稱 也 命 者 色 心 相 持 不 能 堅 
X22n0432_001:0907c02	久也。○夫我釋迦。於此濁惡世界中。現如來身。說	久 也 夫 我 釋 迦 於 此 濁 惡 世 界 中 現 如 來 身 說 
X22n0432_001:0907c03	此微妙玲瓏之一法。鑿凡心而開聖竅。換毒藥而	此 微 妙 玲 瓏 之 一 法 鑿 凡 心 而 開 聖 竅 換 毒 藥 而 
X22n0432_001:0907c04	錫醍醐。恩上之恩。利中之利也。而我輩者。俗見堅	錫 醍 醐 恩 上 之 恩 利 中 之 利 也 而 我 輩 者 俗 見 堅 
X22n0432_001:0907c05	牢。惡根難拔。聞言不信。空過一生。再出頭來。不知	牢 惡 根 難 拔 聞 言 不 信 空 過 一 生 再 出 頭 來 不 知 
X22n0432_001:0907c06	何日。可謂深棄佛恩矣。	何 日 可 謂 深 棄 佛 恩 矣 
X22n0432_001:0907c07	舍利弗。	舍 利 弗 
X22n0432_001:0907c08	以下是釋迦自己所言。故又呼舍利弗名也。	以 下 是 釋 迦 自 己 所 言 故 又 呼 舍 利 弗 名 也 
X22n0432_001:0907c09	當知我於五濁惡世。行此難事。得阿耨多羅三藐三	當 知 我 於 五濁惡世 行 此 難 事 得 阿 耨 多 羅 三 藐 三 
X22n0432_001:0907c10	菩提。為一切世間。說此難信之法。是為甚難。	菩 提 為 一切世間 說 此 難 信 之 法 是 為 甚 難 
X22n0432_001:0907c11	絡繹回環。主賓交映。至於此而復自述其難。則字	絡 繹 回 環 主 賓 交 映 至 於 此 而 復 自 述 其 難 則 字 
X22n0432_001:0907c12	字血痕。全帶玲瓏之色也。嗚呼。我與如來。同此一	字 血 痕 全 帶 玲 瓏 之 色 也 嗚 呼 我 與 如 來 同 此 一 
X22n0432_001:0907c13	心。奈何自疑其心。而不如心以念佛也。知此事之	心 奈 何 自 疑 其 心 而 不 如 心 以 念 佛 也 知 此 事 之 
X22n0432_001:0907c14	歸於一易。可以解如來兩難之憂。佛歡喜。我歡喜。	歸 於 一 易 可 以 解 如 來 兩 難 之 憂 佛 歡 喜 我 歡 喜 
X22n0432_001:0907c15	全現心中極樂之影矣。○因此力便太易。而人不	全 現 心 中 極 樂 之 影 矣 因 此 力 便 太 易 而 人 不 
X22n0432_001:0907c16	能信。故翻成難法。嗚呼。眾生之拙。一至此乎。汝心	能 信 故 翻 成 難 法 嗚 呼 眾 生 之 拙 一 至 此 乎 汝 心 
X22n0432_001:0907c17	中之佛已現矣。已演心法若干矣。對鏡迷頭。狂而	中 之 佛 已 現 矣 已 演 心 法 若 干 矣 對 鏡 迷 頭 狂 而 
X22n0432_001:0907c18	四出。皆喪心不顧者也。○說經至此。方便已窮。過	四 出 皆 喪 心 不 顧 者 也 說 經 至 此 方 便 已 窮 過 
X22n0432_001:0907c19	此已往。心佛不現矣。○明理念佛。願徹無邊。則超	此 已 往 心 佛 不 現 矣 明 理 念 佛 願 徹 無 邊 則 超 
X22n0432_001:0907c20	過一切世間。難易皆成戲論。心現淨土。心自往生。	過 一切世間 難 易 皆 成 戲 論 心 現 淨 土 心 自 往 生 
X22n0432_001:0907c21	如鏡中鏡。光明不二。	如 鏡 中 鏡 光 明 不 二 
X22n0432_001:0907c22	佛說此經已。舍利弗及諸比丘。一切世間天人阿脩	佛 說 此 經 已 舍 利 弗 及 諸 比 丘 一切世間 天 人 阿 脩 
X22n0432_001:0907c23	羅等。	羅 等 
X22n0432_001:0907c24	阿脩羅。此云非天也。有天之福。無天之德。常與天	阿 脩 羅 此 云 非 天 也 有 天 之 福 無 天 之 德 常 與 天 
X22n0432_001:0908a01	爭。若回心入佛者。則三毒一消。便歸淨土。非復前	爭 若 回 心 入 佛 者 則 三 毒 一 消 便 歸 淨 土 非 復 前 
X22n0432_001:0908a02	日之用心也。	日 之 用 心 也 
X22n0432_001:0908a03	聞佛所說。歡喜信受。	聞 佛 所 說 歡喜信受 
X22n0432_001:0908a04	歡喜即是飛心。此超出娑婆之機也。信受即是淨	歡 喜 即 是 飛 心 此 超 出 娑 婆 之 機 也 信 受 即 是 淨 
X22n0432_001:0908a05	願。此妙生極樂之竅也。機竅玲瓏。圓心四映。	願 此 妙 生 極 樂 之 竅 也 機 竅 玲 瓏 圓 心 四 映 
X22n0432_001:0908a06	作禮而去。	作 禮 而 去 
X22n0432_001:0908a07	去字上。有決斷往生意。	去 字 上 有 決 斷 往 生 意 
X22n0432_001:0908a08	佛說阿彌陀經	佛 說 阿 彌 陀 經 
X22n0432_001:0908a09	此六字亦當誦。	此 六 字 亦 當 誦 
X22n0432_001:0908a11	拔一切業障根本得生淨土陀羅尼	拔 一 切 業 障 根 本 得 生 淨 土 陀 羅 尼 
X22n0432_001:0908a12	凡念佛而不得往生者。惡業障之耳。根本堅牢。枝	凡 念 佛 而 不 得 往 生 者 惡 業 障 之 耳 根 本 堅 牢 枝 
X22n0432_001:0908a13	條茂密。無邊冤對。幻影重重。若非佛力加持。那得	條 茂 密 無 邊 冤 對 幻 影 重 重 若 非 佛 力 加 持 那 得 
X22n0432_001:0908a14	超生淨土耶。陀羅尼。總持也。謂總一切法。持無量	超 生 淨 土 耶 陀 羅 尼 總 持 也 謂 總 一 切 法 持 無 量 
X22n0432_001:0908a15	義也。此土亦稱為呪。○此即往生呪也。課時誦三	義 也 此 土 亦 稱 為 呪 此 即 往 生 呪 也 課 時 誦 三 
X22n0432_001:0908a16	徧。	徧 
X22n0432_001:0908a17	南無阿彌多婆夜。哆他伽哆夜。哆地夜他。阿彌利都	南 無 阿 彌 多 婆 夜 哆 他 伽 哆 夜 哆 地 夜 他 阿 彌 利 都 
X22n0432_001:0908a18	婆毗。阿彌利哆。悉躭婆毗。阿彌利哆。毗迦蘭帝。阿彌	婆 毗 阿 彌 利 哆 悉 躭 婆 毗 阿 彌 利 哆 毗 迦 蘭 帝 阿 彌 
X22n0432_001:0908a19	利哆。毗迦蘭哆。伽彌膩。伽伽那。枳多迦隷。娑婆訶(哆音	利 哆 毗 迦 蘭 哆 伽 彌 膩 伽 伽 那 枳 多 迦 隷 娑 婆 訶 哆 音 
X22n0432_001:0908a20	多他音拖伽音茄毗音皮躭音丹膩女利切那奴何切枳音紙。隷音利)	多 他 音 拖 伽 音 茄 毗 音 皮 躭 音 丹 膩 女 利 切 那 奴 何 切 枳 音 紙 隷 音 利 
X22n0432_001:0908a21	呪為密言。不當求解。死心誦之。乃有奇應。	呪 為 密 言 不 當 求 解 死 心 誦 之 乃 有 奇 應 
X22n0432_001:0908a22	經呪已畢。次舉佛讚。	經 呪 已 畢 次 舉 佛 讚 
X22n0432_001:0908a23	　阿彌陀佛身金色　　相好光明無等倫	 阿 彌 陀 佛 身 金 色 相 好 光 明 無 等 倫 
X22n0432_001:0908a24	阿彌陀佛。總舉法報化三身也。身金色。單指報身	阿 彌 陀 佛 總 舉 法 報 化 三 身 也 身 金 色 單 指 報 身 
X22n0432_001:0908b01	也。相大而好小。無等倫者。無可為比也。	也 相 大 而 好 小 無 等 倫 者 無 可 為 比 也 
X22n0432_001:0908b02	　白毫宛轉五須彌　　紺目澄清四大海	 白 毫 宛 轉 五 須 彌 紺 目 澄 清 四 大 海 
X22n0432_001:0908b03	此於無可比中。強作比譬也。兩眉中間白毫。八棱	此 於 無 可 比 中 強 作 比 譬 也 兩 眉 中 間 白 毫 八 棱 
X22n0432_001:0908b04	中空。宛轉右旋。其大如五座須彌山也。紺。青也。四	中 空 宛 轉 右 旋 其 大 如 五 座 須 彌 山 也 紺 青 也 四 
X22n0432_001:0908b05	大海。言其大也。皆指報身也。	大 海 言 其 大 也 皆 指 報 身 也 
X22n0432_001:0908b06	　光中化佛無數億　　化菩薩眾亦無邊	 光 中 化 佛 無 數 億 化 菩 薩 眾 亦 無 邊 
X22n0432_001:0908b07	化佛有大小。大者千尺小者丈六。每一化佛。有二	化 佛 有 大 小 大 者 千 尺 小 者 丈 六 每 一 化 佛 有 二 
X22n0432_001:0908b08	化菩薩為侍者。左觀音右勢至也。病中人往生時。	化 菩 薩 為 侍 者 左 觀 音 右 勢 至 也 病 中 人 往 生 時 
X22n0432_001:0908b09	所見接引之佛。即此化身也。	所 見 接 引 之 佛 即 此 化 身 也 
X22n0432_001:0908b10	　四十八願度眾生　　九品咸令登彼岸	 四 十 八 願 度 眾 生 九 品 咸 令 登 彼 岸 
X22n0432_001:0908b11	九品。指蓮花品數也。於上中下之內。各各開出上	九 品 指 蓮 花 品 數 也 於 上 中 下 之 內 各 各 開 出 上 
X22n0432_001:0908b12	中下。故成九品。彼岸。成道之地也。	中 下 故 成 九 品 彼 岸 成 道 之 地 也 
X22n0432_001:0908b13	南無西方極樂世界　大慈大悲　阿彌陀佛。	南 無 西方極樂 世 界 大慈大悲 阿 彌 陀 佛 
X22n0432_001:0908b14	無著為大。拔苦為悲。與樂為慈。○唱一聲。	無 著 為 大 拔 苦 為 悲 與 樂 為 慈 唱 一 聲 
X22n0432_001:0908b15	阿彌陀佛。	阿 彌 陀 佛 
X22n0432_001:0908b16	此四字佛名。每一課。以千聲為率。要念得無首無	此 四 字 佛 名 每 一 課 以 千 聲 為 率 要 念 得 無 首 無 
X22n0432_001:0908b17	尾。句句皆如一句。自然光明玲瓏矣。○當字字聲	尾 句 句 皆 如 一 句 自 然 光 明 玲 瓏 矣 當 字 字 聲 
X22n0432_001:0908b18	聲。光明相接續。不用唱。	聲 光 明 相 接 續 不 用 唱 
X22n0432_001:0908b19	南無觀世音菩薩。	南 無 觀 世 音 菩 薩 
X22n0432_001:0908b20	凡稱南無者。歸命之義也。此菩薩。心眼照世。能觀	凡 稱 南 無 者 歸 命 之 義 也 此 菩 薩 心 眼 照 世 能 觀 
X22n0432_001:0908b21	其音。世人誦此菩薩名者。心中發光。自觀其音。當	其 音 世 人 誦 此 菩 薩 名 者 心 中 發 光 自 觀 其 音 當 
X22n0432_001:0908b22	觀音之時。便與此菩薩非一非二。故能獲靈感。得	觀 音 之 時 便 與 此 菩 薩 非 一 非 二 故 能 獲 靈 感 得 
X22n0432_001:0908b23	願求。畢竟生於西方也。○三種菩薩名。各唱三聲。	願 求 畢 竟 生 於 西 方 也 三 種 菩 薩 名 各 唱 三 聲 
X22n0432_001:0908b24	南無大勢至菩薩。	南 無 大 勢 至 菩 薩 
X22n0432_001:0908c01	大心大力。身所至處。世界動搖。頭有寶瓶。光明不	大 心 大 力 身 所 至 處 世 界 動 搖 頭 有 寶 瓶 光 明 不 
X22n0432_001:0908c02	斷。亦化小身。入此娑婆世界。專取念佛人。而使之	斷 亦 化 小 身 入 此 娑婆世界 專 取 念 佛 人 而 使 之 
X22n0432_001:0908c03	歸於淨土。此菩薩。以念佛心。得無生忍。其言曰。都	歸 於 淨 土 此 菩 薩 以 念 佛 心 得無生忍 其 言 曰 都 
X22n0432_001:0908c04	攝六根。淨念相繼。不假方便。自得心開。	攝 六 根 淨 念 相 繼 不 假 方 便 自 得 心 開 
X22n0432_001:0908c05	南無清淨大海眾菩薩。	南 無 清 淨 大 海 眾 菩 薩 
X22n0432_001:0908c06	其數多。如大海之水。心業成就。久在極樂。故清淨	其 數 多 如 大 海 之 水 心 業 成 就 久 在 極 樂 故 清 淨 
X22n0432_001:0908c07	也。一佛二菩薩。因緣光明。不為少矣。又兼此海眾	也 一 佛 二 菩 薩 因 緣 光 明 不 為 少 矣 又 兼 此 海 眾 
X22n0432_001:0908c08	菩薩。各以願力因緣。而來救其眷屬。一聲呼唱。風	菩 薩 各 以 願 力 因 緣 而 來 救 其 眷 屬 一 聲 呼 唱 風 
X22n0432_001:0908c09	動蓮心。一人之身。一切光明來照也。	動 蓮 心 一 人 之 身 一 切 光 明 來 照 也 
X22n0432_001:0908c10	次跪誦蓮池大師所作西方發願文一徧。○始焉	次 跪 誦 蓮 池 大 師 所 作 西 方 發 願 文 一 徧 始 焉 
X22n0432_001:0908c11	歡欣。繼而疲懈。不得謂之發。口談淨土。心戀娑婆。	歡 欣 繼 而 疲 懈 不 得 謂 之 發 口 談 淨 土 心 戀 娑 婆 
X22n0432_001:0908c12	不得謂之願。誦文者思之。	不 得 謂 之 願 誦 文 者 思 之 
X22n0432_001:0908c13	　稽首西方安樂國　　接引眾生大導師	 稽 首 西 方 安 樂 國 接 引 眾 生 大 導 師 
X22n0432_001:0908c14	　我今發願願往生　　惟願慈悲哀攝受[○@叩]。	 我 今 發 願 願 往 生 惟 願 慈 悲 哀 攝 受 [叩] 
X22n0432_001:0908c15	以下願文。每數字一停頓。停處引聲者。以圈為記。	以 下 願 文 每 數 字 一 停 頓 停 處 引 聲 者 以 圈 為 記 
X22n0432_001:0908c16	停處不須引聲者。以乙為記。久之音熟。自然感發	停 處 不 須 引 聲 者 以 乙 為 記 久 之 音 熟 自 然 感 發 
X22n0432_001:0908c17	心靈矣。	心 靈 矣 
X22n0432_001:0908c18	弟子普為○四恩三有○法界眾生。求於諸佛一	弟 子 普 為 四 恩 三 有 法 界 眾 生 求 於 諸 佛 一 
X22n0432_001:0908c19	乘○無上菩提道故。專心持念○阿彌陀佛○萬	乘 無上菩提 道 故 專 心 持 念 阿 彌 陀 佛 萬 
X22n0432_001:0908c20	德洪名○期生淨土。又以○業重福輕○障深慧	德 洪 名 期 生 淨 土 又 以 業 重 福 輕 障 深 慧 
X22n0432_001:0908c21	淺○染心易熾○淨德難成。今於佛前○翹勤五	淺 染 心 易 熾 淨 德 難 成 今 於 佛 前 翹 勤 五 
X22n0432_001:0908c22	體○披瀝一心○投誠懺悔[○@叩]我及眾生○曠劫以	體 披 瀝 一 心 投 誠 懺 悔 [叩] 我 及 眾 生 曠 劫 以 
X22n0432_001:0908c23	來○迷本淨心○縱貪瞋癡○染穢三業。無量無	來 迷 本 淨 心 縱 貪 瞋 癡 染 穢 三 業 無 量 無 
X22n0432_001:0908c24	邊○所作罪垢○無量無邊○所結冤業○願悉消	邊 所 作 罪 垢 無量無邊 所 結 冤 業 願 悉 消 
X22n0432_001:0909a01	滅。從於今日○立深誓願。遠離惡法○誓不更	滅 從 於 今 日 立 深 誓 願 遠 離 惡 法 誓 不 更 
X22n0432_001:0909a02	造○勤修聖道○誓不退惰。誓成正覺○誓度眾	造 勤 修 聖 道 誓 不 退 惰 誓 成 正 覺 誓 度 眾 
X22n0432_001:0909a03	生。阿彌陀佛○以慈悲願力。當證知我○當哀	生 阿 彌 陀 佛 以 慈 悲 願 力 當 證 知 我 當 哀 
X22n0432_001:0909a04	愍我○當加被我。願禪觀之中○夢寐之際。得	愍 我 當 加 被 我 願 禪 觀 之 中 夢 寐 之 際 得 
