T51n2089_001:0975a09	遊方記抄	遊 方 記 抄 
T51n2089_001:0991a01	陸地。而不見池。眾共悲喜。知是神靈化出池	陸 地 而 不 見 池 眾 共 悲 喜 知 是 神 靈 化 出 池 
T51n2089_001:0991a02	也。是時冬十一月。華蘂開敷。樹實竹筍不辨	也 是 時 冬 十 一 月 華 蘂 開 敷 樹 實 竹 筍 不 辨 
T51n2089_001:0991a03	於夏。凡在海中。經十四日方得著岸。遣人求	於 夏 凡 在 海 中 經 十 四 日 方 得 著 岸 遣 人 求 
T51n2089_001:0991a04	浦。乃有四經紀人。便引道而去。四人口云。	浦 乃 有 四 經 紀 人 便 引 道 而 去 四 人 口 云 
T51n2089_001:0991a05	大和尚大果報遇於弟子。不然合死。此間	大 和 尚 大 果 報 遇 於 弟 子 不 然 合 死 此 間 
T51n2089_001:0991a06	人物喫人。火急去來。便引舟去入浦。晚見一	人 物 喫 人 火 急 去 來 便 引 舟 去 入 浦 晚 見 一 
T51n2089_001:0991a07	人被髮帶刀。諸人大怖與食便去。	人 被 髮 帶 刀 諸 人 大 怖 與 食 便 去 
T51n2089_001:0991a08	夜發經三日。乃到振州江口泊舟。其經紀人	夜 發 經 三 日 乃 到 振 州 江 口 泊 舟 其 經 紀 人 
T51n2089_001:0991a09	往報郡。其別駕憑崇債遣兵四百餘人來迎。	往 報 郡 其 別 駕 憑 崇 債 遣 兵 四 百 餘 人 來 迎 
T51n2089_001:0991a10	引至州城。別駕來迎乃云。弟子早知大和上	引 至 州 城 別 駕 來 迎 乃 云 弟 子 早 知 大 和 上 
T51n2089_001:0991a11	來。昨夜夢有僧姓豐田。當是債舅。此間若	來 昨 夜 夢 有 僧 姓 豐 田 當 是 債 舅 此 間 若 
T51n2089_001:0991a12	有姓豐田者否。眾僧皆云無也。債曰此間雖	有 姓 豐 田 者 否 眾 僧 皆 云 無 也 債 曰 此 間 雖 
T51n2089_001:0991a13	無姓豐田人。而今大和上即將當弟子之舅。	無 姓 豐 田 人 而 今 大 和 上 即 將 當 弟 子 之 舅 
T51n2089_001:0991a14	即迎入宅內。設齋供養。又於大守廳內。設	即 迎 入 宅 內 設 齋 供 養 又 於 大 守 廳 內 設 
T51n2089_001:0991a15	會授戒。仍入州大雲寺安置。其寺佛殿壞	會 授 戒 仍 入 州 大 雲 寺 安 置 其 寺 佛 殿 壞 
T51n2089_001:0991a16	廢。眾僧各捨衣物造佛殿。住一年造了。別駕	廢 眾 僧 各 捨 衣 物 造 佛 殿 住 一 年 造 了 別 駕 
T51n2089_001:0991a17	憑崇債自備甲兵八百餘人。送經四十餘日。	憑 崇 債 自 備 甲 兵 八 百 餘 人 送 經 四 十 餘 日 
T51n2089_001:0991a18	至萬安州。州大首領憑若芳請住其家。三日	至 萬 安 州 州 大 首 領 憑 若 芳 請 住 其 家 三 日 
T51n2089_001:0991a19	供養。若芳每年常劫取波斯舶三二艘。取物	供 養 若 芳 每 年 常 劫 取 波 斯 舶 三 二 艘 取 物 
T51n2089_001:0991a20	為己貨。掠人為奴婢。其奴婢居處南北三日	為 己 貨 掠 人 為 奴 婢 其 奴 婢 居 處 南 北 三 日 
T51n2089_001:0991a21	行。東西五日行。村村相次總是若芳奴婢之	行 東 西 五 日 行 村 村 相 次 總 是 若 芳 奴 婢 之 
T51n2089_001:0991a22	住處也。若芳會客。常用乳頭香為燈燭。一	住 處 也 若 芳 會 客 常 用 乳 頭 香 為 燈 燭 一 
T51n2089_001:0991a23	燒一百餘斤。其宅後蘇芳木露積如山。其餘	燒 一 百 餘 斤 其 宅 後 蘇 芳 木 露 積 如 山 其 餘 
T51n2089_001:0991a24	財物亦稱此焉。行到岸州界無賊。別駕乃迴	財 物 亦 稱 此 焉 行 到 岸 州 界 無 賊 別 駕 乃 迴 
T51n2089_001:0991a25	去。榮叡普照師從海路經四十餘日到岸州。	去 榮 叡 普 照 師 從 海 路 經 四 十 餘 日 到 岸 州 
T51n2089_001:0991a26	州遊弈大使張雲出迎拜謁。引入令住開元	州 遊 弈 大 使 張 雲 出 迎 拜 謁 引 入 令 住 開 元 
T51n2089_001:0991a27	寺。官寮參省設齋。施物盈滿一屋。彼處珍異	寺 官 寮 參 省 設 齋 施 物 盈 滿 一 屋 彼 處 珍 異 
T51n2089_001:0991a28	口味。乃有益知子。檳榔子。荔支子。龍眼。甘	口 味 乃 有 益 知 子 檳 榔 子 荔 支 子 龍 眼 甘 
T51n2089_001:0991a29	蔗。拘莚樓頭大如鉢盂。甘甜於蜜。花如七寶	蔗 拘 莚 樓 頭 大 如 鉢 盂 甘 甜 於 蜜 花 如 七 寶 
T51n2089_001:0991b01	色。膽唐香樹叢生成林。風至香聞五里之	色 膽 唐 香 樹 叢 生 成 林 風 至 香 聞 五 里 之 
T51n2089_001:0991b02	外。又有波羅捺樹。果大如冬瓜。樹似[枳口+宜]楂	外 又 有 波 羅 捺 樹 果 大 如 冬 瓜 樹 似 [枳口宜] 楂 
T51n2089_001:0991b03	畢鉢草子同。今見葉如水葱。其根味似乾	畢 鉢 草 子 同 今 見 葉 如 水 葱 其 根 味 似 乾 
T51n2089_001:0991b04	柹。十月作田。正月收粟。養蠶八度。收稻再	柹 十 月 作 田 正 月 收 粟 養 蠶 八 度 收 稻 再 
T51n2089_001:0991b05	度。男著木笠。女著布絮人皆彫蹄鑿齒。繡	度 男 著 木 笠 女 著 布 絮 人 皆 彫 蹄 鑿 齒 繡 
T51n2089_001:0991b06	面鼻飲。是其異也。大使已下至於典正。作番	面 鼻 飲 是 其 異 也 大 使 已 下 至 於 典 正 作 番 
T51n2089_001:0991b07	供養眾僧。大使自手行食。將優曇鉢樹葉以	供 養 眾 僧 大 使 自 手 行 食 將 優 曇 鉢 樹 葉 以 
T51n2089_001:0991b08	充生菜。復將優曇鉢子供養眾僧。乃云大	充 生 菜 復 將 優 曇 鉢 子 供 養 眾 僧 乃 云 大 
T51n2089_001:0991b09	和上知否。此是優曇鉢樹子。此樹有子華。	和 上 知 否 此 是 優 曇 鉢 樹 子 此 樹 有 子 華 
T51n2089_001:0991b10	弟子得遇大和上如優曇鉢華。甚難值遇。其	弟 子 得 遇 大 和 上 如 優 曇 鉢 華 甚 難 值 遇 其 
T51n2089_001:0991b11	葉赤色圓一尺餘。子色紫丹氣味甜美。彼州	葉 赤 色 圓 一 尺 餘 子 色 紫 丹 氣 味 甜 美 彼 州 
T51n2089_001:0991b12	遭火。寺共被燒。大和上受大使請造寺。振	遭 火 寺 共 被 燒 大 和 上 受 大 使 請 造 寺 振 
T51n2089_001:0991b13	州別駕聞大和上造寺。即遣諸奴各令進一	州 別 駕 聞 大 和 上 造 寺 即 遣 諸 奴 各 令 進 一 
T51n2089_001:0991b14	椽。三日內一時將來。即構佛殿講堂塼塔。	椽 三 日 內 一 時 將 來 即 構 佛 殿 講 堂 塼 塔 
T51n2089_001:0991b15	椽木餘又造釋迦文丈六佛像。登壇受戒。	椽 木 餘 又 造 釋 迦 文 丈 六 佛 像 登 壇 受 戒 
T51n2089_001:0991b16	講律度人已畢。即別大使去。仍差澄邁縣令	講 律 度 人 已 畢 即 別 大 使 去 仍 差 澄 邁 縣 令 
T51n2089_001:0991b17	看送上船。	看 送 上 船 
T51n2089_001:0991b18	三日三夜便達雷州．羅州．辨州．象州．白州．	三 日 三 夜 便 達 雷 州 羅 州 辨 州 象 州 白 州 
T51n2089_001:0991b19	傭州．藤州．梧州．桂州．等官人僧道父老。迎	傭 州 藤 州 梧 州 桂 州 等 官 人 僧 道 父 老 迎 
T51n2089_001:0991b20	送禮拜。供養．承事．其事無量。不可言記。始	送 禮 拜 供 養 承 事 其 事 無 量 不 可 言 記 始 
T51n2089_001:0991b21	安都督上黨公憑古璞等步出城外。五體投	安 都 督 上 黨 公 憑 古 璞 等 步 出 城 外 五 體 投 
T51n2089_001:0991b22	地。接足而禮。引入開元寺。初開佛殿。香氣滿	地 接 足 而 禮 引 入 開 元 寺 初 開 佛 殿 香 氣 滿 
T51n2089_001:0991b23	城。城中僧徒擎幡燒香。喝梵雲集寺中。州	城 城 中 僧 徒 擎 幡 燒 香 喝 梵 雲 集 寺 中 州 
T51n2089_001:0991b24	縣官人百姓填滿街衢。禮拜讚歎。日夜不絕。	縣 官 人 百 姓 填 滿 街 衢 禮 拜 讚 歎 日 夜 不 絕 
T51n2089_001:0991b25	憑都督來自手行食。供養眾僧。請大和上	憑 都 督 來 自 手 行 食 供 養 眾 僧 請 大 和 上 
T51n2089_001:0991b26	受菩薩戒。其所都督七十四州官人。選舉試	受 菩 薩 戒 其 所 都 督 七 十 四 州 官 人 選 舉 試 
T51n2089_001:0991b27	學人。併集此州。隨都督受菩薩戒人其數無	學 人 併 集 此 州 隨 都 督 受 菩 薩 戒 人 其 數 無 
T51n2089_001:0991b28	量。大和上留住一年。時南海郡太都督五府	量 大 和 上 留 住 一 年 時 南 海 郡 太 都 督 五 府 
T51n2089_001:0991b29	經略採訪大使。攝御史中丞。廣州大守盧煥	經 略 採 訪 大 使 攝 御 史 中 丞 廣 州 大 守 盧 煥 
T51n2089_001:0991c01	牒下諸州。迎大和上向廣府。時憑都督來。	牒 下 諸 州 迎 大 和 上 向 廣 府 時 憑 都 督 來 
T51n2089_001:0991c02	親送大和上。自扶上船口云。古璞與大和	親 送 大 和 上 自 扶 上 船 口 云 古 璞 與 大 和 
T51n2089_001:0991c03	上。終至彌勒天宮相見。而悲泣別去。下桂江	上 終 至 彌 勒 天 宮 相 見 而 悲 泣 別 去 下 桂 江 
T51n2089_001:0991c04	七日至梧州。次至端州龍興寺。榮叡師奄然	七 日 至 梧 州 次 至 端 州 龍 興 寺 榮 叡 師 奄 然 
T51n2089_001:0991c05	遷化。大和上哀慟悲切。送喪而去。端州太守。	遷 化 大 和 上 哀 慟 悲 切 送 喪 而 去 端 州 太 守 
T51n2089_001:0991c06	迎引。送至廣州。盧都督率諸道俗。出迎城外。	迎 引 送 至 廣 州 盧 都 督 率 諸 道 俗 出 迎 城 外 
T51n2089_001:0991c07	恭敬承事。其事無量。引入大雲寺。四事供養。	恭 敬 承 事 其 事 無 量 引 入 大 雲 寺 四 事 供 養 
T51n2089_001:0991c08	登壇受戒。此寺有呵梨勒樹二株。子如大棗。	登 壇 受 戒 此 寺 有 呵 梨 勒 樹 二 株 子 如 大 棗 
T51n2089_001:0991c09	又開元寺有胡人。造白檀華嚴經九會。率工	又 開 元 寺 有 胡 人 造 白 檀 華 嚴 經 九 會 率 工 
T51n2089_001:0991c10	匠六十人。三十年造畢。用物三十萬貫錢。欲	匠 六 十 人 三 十 年 造 畢 用 物 三 十 萬 貫 錢 欲 
T51n2089_001:0991c11	將往天竺。採訪使劉臣隣奏狀。勅留開元寺。	將 往 天 竺 採 訪 使 劉 臣 隣 奏 狀 勅 留 開 元 寺 
T51n2089_001:0991c12	供養。七寶莊嚴不可思議。又有婆羅門寺三	供 養 七 寶 莊 嚴 不可思議 又 有婆羅門 寺 三 
T51n2089_001:0991c13	所。並梵僧居住。池有青蓮華。華葉根莖竝	所 並 梵 僧 居 住 池 有 青 蓮 華 華 葉 根 莖 竝 
T51n2089_001:0991c14	芬馥奇異。江中有婆羅門。波斯。崑崙等舶。	芬 馥 奇 異 江 中 有婆羅門 波 斯 崑 崙 等 舶 
T51n2089_001:0991c15	不知其數。竝載香藥珍寶。積載如山。舶深六	不 知 其 數 竝 載 香 藥 珍 寶 積 載 如 山 舶 深 六 
T51n2089_001:0991c16	七丈。師子國。大石國。骨唐國。白蠻。赤蠻等	七 丈 師 子 國 大 石 國 骨 唐 國 白 蠻 赤 蠻 等 
T51n2089_001:0991c17	往來居住。種類極多。州城三重。都督執六纛。	往 來 居 住 種 類 極 多 州 城 三 重 都 督 執 六 纛 
T51n2089_001:0991c18	一纛一軍。威嚴不異天子。紫緋滿城。邑居逼	一 纛 一 軍 威 嚴 不 異 天 子 紫 緋 滿 城 邑 居 逼 
T51n2089_001:0991c19	側。大和上住此一春。發向韶州。傾城送遠。乘	側 大 和 上 住 此 一 春 發 向 韶 州 傾 城 送 遠 乘 
T51n2089_001:0991c20	江七百餘里。至韶州禪居寺。留住三日。韶州	江 七 百 餘 里 至 韶 州 禪 居 寺 留 住 三 日 韶 州 
T51n2089_001:0991c21	官人又迎引入法泉寺。乃是則天為慧能	官 人 又 迎 引 入 法 泉 寺 乃 是 則 天 為 慧 能 
T51n2089_001:0991c22	禪師造寺也。禪師影像今現在。後移開元寺。	禪 師 造 寺 也 禪 師 影 像 今 現 在 後 移 開 元 寺 
T51n2089_001:0991c23	普照師從此辭大和上。向嶺北去明州阿育	普 照 師 從 此 辭 大 和 上 向 嶺 北 去 明 州 阿 育 
T51n2089_001:0991c24	王寺。是歲天寶九載也。時大和上執普照師	王 寺 是 歲 天 寶 九 載 也 時 大 和 上 執 普 照 師 
T51n2089_001:0991c25	手。悲泣而曰。為傳戒律。發願過海。遂不至日	手 悲 泣 而 曰 為 傳 戒 律 發 願 過 海 遂 不 至 日 
T51n2089_001:0991c26	本國。本願不遂。於是分手。感念無喻。時大	本 國 本 願 不 遂 於 是 分 手 感 念 無 喻 時 大 
T51n2089_001:0991c27	和上頻經炎熱。眼光暗昧。爰有胡人。言能治	和 上 頻 經 炎 熱 眼 光 暗 昧 爰 有 胡 人 言 能 治 
T51n2089_001:0991c28	目加療治。眼遂失明。後巡遊靈鷲寺．廣果	目 加 療 治 眼 遂 失 明 後 巡 遊 靈 鷲 寺 廣 果 
T51n2089_001:0991c29	寺。登壇受戒。至貞昌縣。過大庾嶺。至虔州	寺 登 壇 受 戒 至 貞 昌 縣 過 大 庾 嶺 至 虔 州 
T51n2089_001:0992a01	開元寺。僕射鍾紹京左隣在此請大和上至	開 元 寺 僕 射 鍾 紹 京 左 隣 在 此 請 大 和 上 至 
T51n2089_001:0992a02	宅。立壇受戒。次至吉州。僧祥彥於舟上端坐。	宅 立 壇 受 戒 次 至 吉 州 僧 祥 彥 於 舟 上 端 坐 
T51n2089_001:0992a03	問思託師云。大和上睡覺否。思託答曰。睡未	問 思 託 師 云 大 和 上 睡 覺 否 思 託 答 曰 睡 未 
T51n2089_001:0992a04	起。彥云。今欲死別。思託諮大和上。大和上	起 彥 云 今 欲 死 別 思 託 諮 大 和 上 大 和 上 
T51n2089_001:0992a05	燒香將曲几來。使彥憑几向西方念阿彌陀	燒 香 將 曲 几 來 使 彥 憑 几 向 西 方 念 阿 彌 陀 
T51n2089_001:0992a06	佛。彥即一聲唱佛。端坐寂然無言。大和尚	佛 彥 即 一 聲 唱 佛 端 坐 寂 然 無 言 大 和 尚 
T51n2089_001:0992a07	乃喚彥彥。悲慟無數。	乃 喚 彥 彥 悲 慟 無 數 
T51n2089_001:0992a08	時諸州道俗聞大和上歸嶺北。四方奔集日	時 諸 州 道 俗 聞 大 和 上 歸 嶺 北 四 方 奔 集 日 
T51n2089_001:0992a09	常三百以上。人物駢闐。供具煒燁。從此向	常 三 百 以 上 人 物 駢 闐 供 具 煒 燁 從 此 向 
T51n2089_001:0992a10	江州。至廬山東林寺。是晉代慧遠法師之所	江 州 至 廬 山 東 林 寺 是 晉 代 慧 遠 法 師 之 所 
T51n2089_001:0992a11	居也。遠法師於是立壇授戒。天降甘露。因	居 也 遠 法 師 於 是 立 壇 授 戒 天 降 甘 露 因 
T51n2089_001:0992a12	號甘露壇。今尚存焉。近天寶九載有志恩	號 甘 露 壇 今 尚 存 焉 近 天 寶 九 載 有 志 恩 
T51n2089_001:0992a13	律師。於此壇上與授戒。又感天雨甘露。道俗	律 師 於 此 壇 上 與 授 戒 又 感 天 雨 甘 露 道 俗 
T51n2089_001:0992a14	見聞歎同晉遠。大和上留連此地已經三日。	見 聞 歎 同 晉 遠 大 和 上 留 連 此 地 已 經 三 日 
T51n2089_001:0992a15	即向潯陽龍泉寺。昔遠法師於是立寺無水。	即 向 潯 陽 龍 泉 寺 昔 遠 法 師 於 是 立 寺 無 水 
T51n2089_001:0992a16	發願曰。若於此地堪捿止者。當使抽泉。以	發 願 曰 若 於 此 地 堪 捿 止 者 當 使 抽 泉 以 
T51n2089_001:0992a17	錫杖扣地。有二青龍。尋錫杖上。水即飛涌。	錫 杖 扣 地 有 二 青 龍 尋 錫 杖 上 水 即 飛 涌 
T51n2089_001:0992a18	今尚其水涌出地上三尺焉。因名龍泉寺。從	今 尚 其 水 涌 出 地 上 三 尺 焉 因 名 龍 泉 寺 從 
T51n2089_001:0992a19	此陸行至江州城。太守追集州內僧尼。道士。	此 陸 行 至 江 州 城 太 守 追 集 州 內 僧 尼 道 士 
T51n2089_001:0992a20	女官。州縣官人百姓。香華音樂來迎請停三	女 官 州 縣 官 人 百 姓 香 華 音 樂 來 迎 請 停 三 
T51n2089_001:0992a21	日供養。太守親從潯陽縣至九江驛。大和	日 供 養 太 守 親 從 潯 陽 縣 至 九 江 驛 大 和 
T51n2089_001:0992a22	上乘舟與大守別去。從此七日至潤州江寧	上 乘 舟 與 大 守 別 去 從 此 七 日 至 潤 州 江 寧 
T51n2089_001:0992a23	縣。入瓦官寺登寶閣。閣高二十丈。是梁武帝	縣 入 瓦 官 寺 登 寶 閣 閣 高 二 十 丈 是 梁 武 帝 
T51n2089_001:0992a24	之所建也。至今三百餘歲。微有傾損。昔一夜	之 所 建 也 至 今 三 百 餘 歲 微 有 傾 損 昔 一 夜 
T51n2089_001:0992a25	暴風急吹。明旦人看閣下四隅有四神跡。長	暴 風 急 吹 明 旦 人 看 閣 下 四 隅 有 四 神 跡 長 
T51n2089_001:0992a26	三尺入地三寸。今造四神王像。扶持閣四	三 尺 入 地 三 寸 今 造 四 神 王 像 扶 持 閣 四 
T51n2089_001:0992a27	角。其神跡今尚存焉。昔梁武帝。崇信佛法。興	角 其 神 跡 今 尚 存 焉 昔 梁 武 帝 崇 信 佛 法 興 
T51n2089_001:0992a28	建伽藍。今有江寧寺。彌勒寺。長慶寺。延祚	建 伽 藍 今 有 江 寧 寺 彌 勒 寺 長 慶 寺 延 祚 
T51n2089_001:0992a29	寺等。其數甚多。莊嚴彫刻。已盡工巧。大和	寺 等 其 數 甚 多 莊 嚴 彫 刻 已 盡 工 巧 大 和 
T51n2089_001:0992b01	上之弟子僧靈祐承大和上來。遠從栖霞	上 之 弟 子 僧 靈 祐 承 大 和 上 來 遠 從 栖 霞 
T51n2089_001:0992b02	寺迎來。見大和上。五體投地進接大和上	寺 迎 來 見 大 和 上 五體投地 進 接 大 和 上 
T51n2089_001:0992b03	足。展轉悲泣而歎曰。我大和上遠向海東。自	足 展 轉 悲 泣 而 歎 曰 我 大 和 上 遠 向 海 東 自 
T51n2089_001:0992b04	謂一生不獲再覲。今日親禮。誠如盲龜開目	謂 一 生 不 獲 再 覲 今 日 親 禮 誠 如 盲 龜 開 目 
T51n2089_001:0992b05	見日。戒燈重明。昏衢再朗。即引還栖霞寺。住	見 日 戒 燈 重 明 昏 衢 再 朗 即 引 還 栖 霞 寺 住 
T51n2089_001:0992b06	三日。却下攝山。歸楊府。過江至新河岸。即入	三 日 却 下 攝 山 歸 楊 府 過 江 至 新 河 岸 即 入 
T51n2089_001:0992b07	楊子亭既濟寺。江都道俗奔填道路。江中迎	楊 子 亭 既 濟 寺 江 都 道 俗 奔 填 道 路 江 中 迎 
T51n2089_001:0992b08	舟軸艫連接。遂入城住本龍興寺也。大和	舟 軸 艫 連 接 遂 入 城 住 本 龍 興 寺 也 大 和 
T51n2089_001:0992b09	上從南振州來至楊府。所經州縣立壇授戒。	上 從 南 振 州 來 至 楊 府 所 經 州 縣 立 壇 授 戒 
T51n2089_001:0992b10	無空過者。今亦於龍興．崇福．大明．延光．等	無 空 過 者 今 亦 於 龍 興 崇 福 大 明 延 光 等 
T51n2089_001:0992b11	寺。講律授戒。暫無停斷。昔光州道岸律師命	寺 講 律 授 戒 暫 無 停 斷 昔 光 州 道 岸 律 師 命 
T51n2089_001:0992b12	世挺生。天下四百餘州以為受戒之主。岸律	世 挺 生 天 下 四 百 餘 州 以 為 受 戒 之 主 岸 律 
T51n2089_001:0992b13	師遷化之後。其弟子杭州義威律師響振四	師 遷 化 之 後 其 弟 子 杭 州 義 威 律 師 響 振 四 
T51n2089_001:0992b14	遠。德流八紘。諸州亦以為受戒師。義威律	遠 德 流 八 紘 諸 州 亦 以 為 受 戒 師 義 威 律 
T51n2089_001:0992b15	師無當之後。開元二十一年時大和上年滿四	師 無 當 之 後 開 元 二 十 一 年 時 大 和 上 年 滿 四 
T51n2089_001:0992b16	十六。准南江左淨持戒者。唯大和上獨秀無	十 六 准 南 江 左 淨 持 戒 者 唯 大 和 上 獨 秀 無 
T51n2089_001:0992b17	倫。道俗歸心。仰為受戒之大師。凡前後講	倫 道 俗 歸 心 仰 為 受 戒 之 大 師 凡 前 後 講 
T51n2089_001:0992b18	大律并疏四十遍。講律抄七十遍。講輕重儀	大 律 并 疏 四 十 遍 講 律 抄 七 十 遍 講 輕 重 儀 
T51n2089_001:0992b19	十遍。講羯磨疏十遍。具修三學。博達五乘。	十 遍 講 羯 磨 疏 十 遍 具 修 三 學 博 達 五 乘 
T51n2089_001:0992b20	外秉威儀。內求奧理。講授之間。造立寺舍。	外 秉 威 儀 內 求 奧 理 講 授 之 間 造 立 寺 舍 
T51n2089_001:0992b21	供養十方眾僧。造佛菩薩像其數無量。縫	供 養 十 方 眾 僧 造 佛 菩 薩 像 其 數 無 量 縫 
T51n2089_001:0992b22	納袈裟千領。布袈裟二千餘領。送五臺山	納 袈 裟 千 領 布 袈 裟 二 千 餘 領 送 五 臺 山 
T51n2089_001:0992b23	僧。設無遮大會。開悲田而救濟貧病。啟敬	僧 設 無遮大會 開 悲 田 而 救 濟 貧 病 啟 敬 
T51n2089_001:0992b24	田而供養三寶。寫一切經三部。各一萬一千	田 而 供養三寶 寫 一 切 經 三 部 各 一 萬 一 千 
T51n2089_001:0992b25	卷。前後度人授戒略計過四萬有餘。其弟子	卷 前 後 度 人 授 戒 略 計 過 四 萬 有 餘 其 弟 子 
T51n2089_001:0992b26	中超群拔萃為世師範者。即有榻州崇福寺	中 超 群 拔 萃 為 世 師 範 者 即 有 榻 州 崇 福 寺 
T51n2089_001:0992b27	僧祥彥。潤州天響寺僧道金。西京安國寺僧	僧 祥 彥 潤 州 天 響 寺 僧 道 金 西 京 安 國 寺 僧 
T51n2089_001:0992b28	璿光。潤州栖霞寺僧希瑜。揚州白塔寺僧法	璿 光 潤 州 栖 霞 寺 僧 希 瑜 揚 州 白 塔 寺 僧 法 
T51n2089_001:0992b29	進潤州栖霞寺僧乾印。沛州相國寺僧神邕。	進 潤 州 栖 霞 寺 僧 乾 印 沛 州 相 國 寺 僧 神 邕 
T51n2089_001:0992c01	潤州三昧寺僧法藏。江州大林寺僧志恩。洛	潤 州 三 昧 寺 僧 法 藏 江 州 大 林 寺 僧 志 恩 洛 
T51n2089_001:0992c02	州福先寺僧靈祐。揚州既濟寺僧明烈。西京	州 福 先 寺 僧 靈 祐 揚 州 既 濟 寺 僧 明 烈 西 京 
T51n2089_001:0992c03	安國寺僧明債。越州道樹寺僧璿真。揚州興	安 國 寺 僧 明 債 越 州 道 樹 寺 僧 璿 真 揚 州 興 
T51n2089_001:0992c04	雲寺僧惠琮。天台山國清寺僧法雲等三十	雲 寺 僧 惠 琮 天 台 山 國 清 寺 僧 法 雲 等 三 十 
T51n2089_001:0992c05	五人。并為翹楚。各在一方。弘法於世導化	五 人 并 為 翹 楚 各 在 一 方 弘 法 於 世 導 化 
T51n2089_001:0992c06	群生。	群 生 
T51n2089_001:0992c07	天寶十二載次癸巳十月十五日壬午。日本	天 寶 十 二 載 次 癸 巳 十 月十五日 壬 午 日 本 
T51n2089_001:0992c08	國使大使特進藤原朝臣清河。副使銀青光	國 使 大 使 特 進 藤 原 朝 臣 清 河 副 使 銀 青 光 
T51n2089_001:0992c09	錄大夫光祿卿大伴宿彌胡麻呂。副使銀青	錄 大 夫 光 祿 卿 大 伴 宿 彌 胡 麻 呂 副 使 銀 青 
T51n2089_001:0992c10	光祿大夫祕書監吉備朝臣真備。衛尉卿安	光 祿 大 夫 祕 書 監 吉 備 朝 臣 真 備 衛 尉 卿 安 
T51n2089_001:0992c11	倍朝臣朝衡等來至延光寺。白大和上云。	倍 朝 臣 朝 衡 等 來 至 延 光 寺 白 大 和 上 云 
T51n2089_001:0992c12	弟子等早知大和上五回渡海。向日本國。將	弟 子 等 早 知 大 和 上 五 回 渡 海 向 日 本 國 將 
T51n2089_001:0992c13	欲傳教。故今親奉顏色頂禮歡喜。弟子等先	欲 傳 教 故 今 親 奉 顏 色 頂 禮 歡 喜 弟 子 等 先 
T51n2089_001:0992c14	錄大和上尊名并持律弟子五僧。已奏聞	錄 大 和 上 尊 名 并 持 律 弟 子 五 僧 已 奏 聞 
T51n2089_001:0992c15	主上。向日本傳戒。主上要令將道士去。日本	主 上 向 日 本 傳 戒 主 上 要 令 將 道 士 去 日 本 
T51n2089_001:0992c16	君王先不崇道士法。便奏留春桃原等四人。	君 王 先 不 崇 道 士 法 便 奏 留 春 桃 原 等 四 人 
T51n2089_001:0992c17	令住學道士法。為此大和上各亦奏退。願	令 住 學 道 士 法 為 此 大 和 上 各 亦 奏 退 願 
T51n2089_001:0992c18	大和上自作方便。弟子等自在載國信物船	大 和 上 自 作 方 便 弟 子 等 自 在 載 國 信 物 船 
T51n2089_001:0992c19	四舶。行裝具足。去亦無難。時大和上許諾已	四 舶 行 裝 具 足 去 亦 無 難 時 大 和 上 許 諾 已 
T51n2089_001:0992c20	竟。時揚州道俗皆云。大和上欲向日本國。由	竟 時 揚 州 道 俗 皆 云 大 和 上 欲 向 日 本 國 由 
T51n2089_001:0992c21	是龍興寺防護甚固。無由進發。時有仁幹禪	是 龍 興 寺 防 護 甚 固 無 由 進 發 時 有 仁 幹 禪 
T51n2089_001:0992c22	師。從務州來。密知大和上欲出。備具船舫	師 從 務 州 來 密 知 大 和 上 欲 出 備 具 船 舫 
T51n2089_001:0992c23	於江頭相待。大和上於天寶十二載十月二十	於 江 頭 相 待 大 和 上 於 天 寶 十 二 載 十 月 二 十 
T51n2089_001:0992c24	九日戌時從龍興寺出。至江頭乘船下。時有	九 日 戌 時 從 龍 興 寺 出 至 江 頭 乘 船 下 時 有 
T51n2089_001:0992c25	二十四沙彌。悲泣走來白大和上言。大和上	二 十 四 沙 彌 悲 泣 走 來 白 大 和 上 言 大 和 上 
T51n2089_001:0992c26	今向海東重觀無由。我今者最後請預結緣。	今 向 海 東 重 觀 無 由 我 今 者 最 後 請 預 結 緣 
T51n2089_001:0992c27	乃於江邊為二十四沙彌授戒訖。乘船下至	乃 於 江 邊 為 二 十 四 沙 彌 授 戒 訖 乘 船 下 至 
T51n2089_001:0992c28	蘇州黃洫浦。相隨弟子。揚州自塔寺僧法	蘇 州 黃 洫 浦 相 隨 弟 子 揚 州 自 塔 寺 僧 法 
T51n2089_001:0992c29	進。泉州超功寺僧曇靜。台州開元寺僧思託。	進 泉 州 超 功 寺 僧 曇 靜 台 州 開 元 寺 僧 思 託 
T51n2089_001:0993a01	揚州興雲寺僧義靜。衢州靈耀寺僧法載。	揚 州 興 雲 寺 僧 義 靜 衢 州 靈 耀 寺 僧 法 載 
T51n2089_001:0993a02	竇州開元寺僧法成等一十四人。藤州通善	竇 州 開 元 寺 僧 法 成 等 一 十 四 人 藤 州 通 善 
T51n2089_001:0993a03	寺尼智首等三人。楊州優婆塞。潘仙童。胡國	寺 尼 智 首 等 三 人 楊 州 優 婆 塞 潘 仙 童 胡 國 
T51n2089_001:0993a04	人安如寶。崑崙國人軍法力。謄波國人善聽	人 安 如 寶 崑 崙 國 人 軍 法 力 謄 波 國 人 善 聽 
