X24n0459_001:0517a07	 金剛般若波羅蜜經序	 金 剛 般若波羅蜜經 序 
X24n0459_002:0524c20	悟佛意。故始得聞如是深經。悲昔未悟。故涕淚悲	悟 佛 意 故 始 得 聞 如 是 深 經 悲 昔 未 悟 故 涕 淚 悲 
X24n0459_002:0524c21	泣。聞經諦念。謂之清淨。從清淨體中。流出般若波	泣 聞 經 諦 念 謂 之 清 淨 從 清 淨 體 中 流 出 般 若 波 
X24n0459_002:0524c22	羅蜜多深法。當知決定成就諸佛功德也。	羅 蜜 多 深 法 當 知 決 定 成 就 諸 佛 功 德 也 
X24n0459_002:0524c23	世尊。是實相者。即是非相。是故如來說名實相。	世 尊 是 實 相 者 即 是 非 相 是 故 如 來 說 名 實 相 
X24n0459_002:0524c24	雖行清淨行。若見垢淨二相。當情並是垢心。即非	雖 行 清 淨 行 若 見 垢 淨 二 相 當 情 並 是 垢 心 即 非 
X24n0459_002:0525a01	清淨心也。但心有所得。即非實相也。	清 淨 心 也 但 心 有 所 得 即 非 實 相 也 
X24n0459_002:0525a02	世尊。我今得聞如是經典。信解受持。不足為難。若當	世 尊 我 今 得 聞 如 是 經 典 信 解 受 持 不 足 為 難 若 當 
X24n0459_002:0525a03	來世。後五百歲。其有眾生。得聞是經。信解受持。是人	來 世 後 五 百 歲 其 有 眾 生 得 聞 是 經 信 解 受 持 是 人 
X24n0459_002:0525a04	則為第一希有。何以故。此人無我相．無人相．無眾生	則 為 第一希有 何 以 故 此 人 無 我 相 無 人 相 無 眾 生 
X24n0459_002:0525a05	相．無壽者相。所以者何。我相即是非相。人相眾生相	相 無 壽 者 相 所以者何 我 相 即 是 非 相 人 相 眾 生 相 
X24n0459_002:0525a06	壽者相即是非相。何以故。離一切諸相。則名諸佛。	壽 者 相 即 是 非 相 何 以 故 離 一 切 諸 相 則 名 諸 佛 
X24n0459_002:0525a07	須菩提深悟佛意。蓋目見業盡垢除。慧眼明徹。信	須 菩 提 深 悟 佛 意 蓋 目 見 業 盡 垢 除 慧 眼 明 徹 信 
X24n0459_002:0525a08	解受持。即無難也。世尊在世說法之時。亦有無量	解 受 持 即 無 難 也 世 尊 在 世 說 法 之 時 亦 有 無 量 
X24n0459_002:0525a09	眾生。不能信解受持。何必獨言後五百歲。蓋佛在	眾 生 不能信解 受 持 何 必 獨 言 後 五 百 歲 蓋 佛 在 
X24n0459_002:0525a10	之日。雖有中下根不信及懷疑者。即往問佛。佛即	之 日 雖 有 中 下 根 不 信 及 懷 疑 者 即 往 問 佛 佛 即 
X24n0459_002:0525a11	隨宜為說。無不契悟。佛滅度後。後五百歲。漸至末	隨 宜 為 說 無 不 契 悟 佛 滅 度 後 後 五 百 歲 漸 至 末 
X24n0459_002:0525a12	法。去聖遙遠。但存言教。人若有疑。無處咨決。愚迷	法 去 聖 遙 遠 但 存 言 教 人 若 有 疑 無 處 咨 決 愚 迷 
X24n0459_002:0525a13	抱執。不悟無生。著相馳求。輪迴諸有。於此時中。得	抱 執 不 悟 無 生 著 相 馳 求 輪 迴 諸 有 於 此 時 中 得 
X24n0459_002:0525a14	聞深經。清心敬信。悟無生理者。甚為希有。故言第	聞 深 經 清 心 敬 信 悟 無 生 理 者 甚 為 希 有 故 言 第 
X24n0459_002:0525a15	一希有。於如來滅後。後五百歲。若復有人。能於般	一 希 有 於 如來滅後 後 五 百 歲 若 復 有 人 能 於 般 
X24n0459_002:0525a16	若波羅蜜甚深經典。信解受持者。即知此人無我	若 波 羅 蜜 甚深經典 信 解 受 持 者 即 知 此 人 無 我 
X24n0459_002:0525a17	人眾生壽者之相。無此四相。是名實相。即是佛心。	人 眾 生 壽 者 之 相 無 此 四 相 是 名 實 相 即 是 佛 心 
X24n0459_002:0525a18	故曰離一切諸相。則名諸佛。	故 曰 離 一 切 諸 相 則 名 諸 佛 
X24n0459_002:0525a19	佛告須菩提。如是。如是。	佛 告 須 菩 提 如 是 如 是 
X24n0459_002:0525a20	佛印可須菩提所解。善契我心。故重言如是也。	佛 印 可 須 菩 提 所 解 善 契 我 心 故 重 言 如 是 也 
X24n0459_002:0525a21	若復有人。得聞是經。不驚不怖不畏。當知是人。甚為	若 復 有 人 得 聞 是 經 不驚不怖 不 畏 當 知 是 人 甚 為 
X24n0459_002:0525a22	希有。	希 有 
X24n0459_002:0525a23	聲聞久著法相。執有為解。不了諸法本空。一切文	聲 聞 久 著 法 相 執 有 為 解 不 了 諸 法 本 空 一 切 文 
X24n0459_002:0525a24	字。皆是假立。忽聞深經。諸相不生。言下即佛。所以	字 皆 是 假 立 忽 聞 深 經 諸 相 不 生 言 下 即 佛 所 以 
X24n0459_002:0525b01	驚怖。唯是上根菩薩。得聞此理。歡喜受持。心無畏	驚 怖 唯 是 上 根 菩 薩 得 聞 此 理 歡 喜 受 持 心 無 畏 
X24n0459_002:0525b02	怖退轉。如此之流。甚為希有。	怖 退 轉 如 此 之 流 甚 為 希 有 
X24n0459_002:0525b03	何以故。須菩提。如來說第一波羅蜜。即非第一波羅	何 以 故 須 菩 提 如 來 說 第 一 波 羅 蜜 即 非 第 一 波 羅 
X24n0459_002:0525b04	蜜。是名第一波羅蜜。	蜜 是 名 第 一 波 羅 蜜 
X24n0459_002:0525b05	口說心不行即非。口說心行即是。心有能所即非。	口 說 心 不 行 即 非 口 說 心 行 即 是 心 有 能 所 即 非 
X24n0459_002:0525b06	心無能所即是。	心 無 能 所 即 是 
X24n0459_002:0525b07	須菩提。忍辱波羅蜜。如來說非忍辱波羅蜜。	須 菩 提 忍 辱 波 羅 蜜 如 來 說 非 忍 辱 波 羅 蜜 
X24n0459_002:0525b08	見有辱境當情。即非。不見辱境當情。即是。見有身	見 有 辱 境 當 情 即 非 不 見 辱 境 當 情 即 是 見 有 身 
X24n0459_002:0525b09	相。當彼所害。即非。不見有身相。當彼所害。即是。	相 當 彼 所 害 即 非 不 見 有 身 相 當 彼 所 害 即 是 
X24n0459_002:0525b10	何以故。須菩提。如我昔為歌利王割截身體。我於爾	何 以 故 須 菩 提 如 我 昔 為 歌 利 王 割 截 身 體 我 於 爾 
X24n0459_002:0525b11	時。無我相．無人相．無眾生相．無壽者相。何以故。我於	時 無 我 相 無 人 相 無 眾 生 相 無 壽 者 相 何 以 故 我 於 
X24n0459_002:0525b12	往昔節節支解時。若有我相．人相．眾生相．壽者相。應	往 昔 節 節 支 解 時 若 有 我 相 人 相 眾 生 相 壽 者 相 應 
X24n0459_002:0525b13	生瞋恨。	生 瞋 恨 
X24n0459_002:0525b14	如來因中在初地時。為忍辱仙人。被歌利王割截	如 來 因 中 在 初 地 時 為 忍 辱 仙 人 被 歌 利 王 割 截 
X24n0459_002:0525b15	身體。無一念痛惱之心。若有痛惱之心。即生嗔恨。	身 體 無 一 念 痛 惱 之 心 若 有 痛 惱 之 心 即 生 嗔 恨 
X24n0459_002:0525b16	歌利王是梵語。此云無道極惡君也。一說如來因	歌 利 王 是 梵 語 此 云 無 道 極 惡 君 也 一 說 如 來 因 
X24n0459_002:0525b17	中。曾為國王。常行十善。利益蒼生。國人歌讚此王。	中 曾 為 國 王 常 行 十 善 利 益 蒼 生 國 人 歌 讚 此 王 
X24n0459_002:0525b18	故云歌利王。求無上菩提。修忍辱行。爾時天帝釋	故 云 歌 利 王 求 無上菩提 修 忍 辱 行 爾 時 天 帝 釋 
X24n0459_002:0525b19	化作旃陀羅。乞王身肉。即割施。殊無嗔惱。今有二	化 作 旃 陀 羅 乞 王 身 肉 即 割 施 殊 無 嗔 惱 今 有 二 
X24n0459_002:0525b20	說。於理俱通。	說 於 理 俱 通 
X24n0459_002:0525b21	須菩提。又念過去於五百世。作忍辱仙人。於爾所世。	須 菩 提 又 念 過 去 於 五 百 世 作 忍 辱 仙 人 於 爾 所 世 
X24n0459_002:0525b22	無我相．無人相．無眾生相．無壽者相。	無 我 相 無 人 相 無 眾 生 相 無 壽 者 相 
X24n0459_002:0525b23	如來因中於五百世修行忍辱波羅蜜。以得四相	如 來 因 中 於 五 百 世 修 行 忍 辱 波 羅 蜜 以 得 四 相 
X24n0459_002:0525b24	不生。如來自述往因者。欲令一切修行人。成就忍	不 生 如 來 自 述 往 因 者 欲 令 一 切 修 行 人 成 就 忍 
X24n0459_002:0525c01	辱波羅蜜。行忍辱波羅蜜人既行忍辱行者。不見	辱 波 羅 蜜 行 忍 辱 波 羅 蜜 人 既 行 忍 辱 行 者 不 見 
X24n0459_002:0525c02	一切人過惡。冤親平等。無是無非。被他打罵殘害。	一 切 人 過 惡 冤 親 平 等 無 是 無 非 被 他 打 罵 殘 害 
X24n0459_002:0525c03	歡喜受之。倍加恭敬。行如是行者。即能成就忍辱	歡 喜 受 之 倍 加 恭 敬 行 如 是 行 者 即 能 成 就 忍 辱 
X24n0459_002:0525c04	波羅蜜。	波 羅 蜜 
X24n0459_002:0525c05	是故須菩提。菩薩應離一切相。發阿耨多羅三藐三	是 故 須 菩 提 菩 薩 應 離一切相 發 阿 耨 多 羅 三 藐 三 
X24n0459_002:0525c06	菩提心。不應住色生心。不應住聲香味觸法生心。應	菩 提 心 不 應 住 色 生 心 不 應 住 聲香味觸 法 生 心 應 
X24n0459_002:0525c07	生無所住心。	生 無 所 住 心 
X24n0459_002:0525c08	不應住色生心者。是都標也。聲香等別立其名也。	不 應 住 色 生 心 者 是 都 標 也 聲 香 等 別 立 其 名 也 
X24n0459_002:0525c09	於此六塵起憎愛心。由是妄心積身無能覺照益	於 此 六 塵 起 憎 愛 心 由 是 妄 心 積 身 無 能 覺 照 益 
X24n0459_002:0525c10	遠佛行。雖種種勤苦修行。不除心垢。終無解脫之	遠 佛 行 雖 種 種 勤 苦 修 行 不 除 心 垢 終 無 解 脫 之 
X24n0459_002:0525c11	理。推其根本。都由色上住心。如能念念常行般若	理 推 其 根 本 都 由 色 上 住 心 如 能 念 念 常 行 般 若 
X24n0459_002:0525c12	波羅蜜。推諸法空。不生計較。念念常自精進。一心	波 羅 蜜 推 諸 法 空 不 生 計 較 念 念 常 自 精 進 一 心 
X24n0459_002:0525c13	守護。無令放逸。淨名經云。求一切知。無非時求。大	守 護 無 令 放 逸 淨 名 經 云 求 一 切 知 無 非 時 求 大 
X24n0459_002:0525c14	般若經云。菩薩摩訶薩晝夜精勤。常住般若波羅	般 若 經 云 菩薩摩訶薩 晝 夜 精 勤 常 住 般 若 波 羅 
X24n0459_002:0525c15	蜜法。相應作意。無時暫捨。	蜜 法 相 應 作 意 無 時 暫 捨 
X24n0459_002:0525c16	若心有住。則為非住。	若 心 有 住 則 為 非 住 
X24n0459_002:0525c17	若心住涅槃。非是菩薩住處。不住涅槃。不住諸法。	若 心 住 涅 槃 非 是 菩 薩 住 處 不住涅槃 不 住 諸 法 
X24n0459_002:0525c18	一切處不住。方是菩薩住處。上文說應無所住而	一 切 處 不 住 方 是 菩 薩 住 處 上 文 說 應 無 所 住 而 
X24n0459_002:0525c19	生其心是也。	生 其 心 是 也 
X24n0459_002:0525c20	是故佛說菩薩心。不應住色布施。須菩提。菩薩為利	是 故 佛 說 菩 薩 心 不 應 住 色 布 施 須 菩 提 菩 薩 為 利 
X24n0459_002:0525c21	益一切眾生。應如是布施。	益 一 切 眾 生 應 如 是 布 施 
X24n0459_002:0525c22	菩薩不為求望自身快樂。而行布施。但為內破慳	菩 薩 不 為 求 望 自 身 快 樂 而 行 布 施 但 為 內 破 慳 
X24n0459_002:0525c23	心。外利益一切眾生。而行布施。	心 外 利 益 一 切 眾 生 而 行 布 施 
X24n0459_002:0525c24	如來說一切諸相。即是非相。又說一切眾生。則非眾	如 來 說 一 切 諸 相 即 是 非 相 又 說 一 切 眾 生 則 非 眾 
X24n0459_002:0526a01	生。	生 
X24n0459_002:0526a02	如者不生。來者不滅。不生者我人不生。不滅者覺	如 者 不 生 來 者 不 滅 不 生 者 我 人 不 生 不 滅 者 覺 
X24n0459_002:0526a03	照不滅。下文云。如來者無所從來。亦無所去。故名	照 不 滅 下 文 云 如 來 者 無所從來 亦 無 所 去 故 名 
X24n0459_002:0526a04	如來。如來說我人等相。畢竟可破壞。非真實體也。	如 來 如 來 說 我 人 等 相 畢 竟 可 破 壞 非 真 實 體 也 
X24n0459_002:0526a05	一切眾生。盡是假名。若離妄心。即無眾生可得。故	一 切 眾 生 盡 是 假 名 若 離 妄 心 即 無 眾 生 可 得 故 
X24n0459_002:0526a06	言即非眾生。	言 即 非 眾 生 
X24n0459_002:0526a07	須菩提。如來是真語者．實語者．如語者．不誑語者．不	須 菩 提 如 來 是 真 語 者 實 語 者 如 語 者 不 誑 語 者 不 
X24n0459_002:0526a08	異語者。	異 語 者 
X24n0459_002:0526a09	真語者。說一切有情無情皆有佛性。實語者。說眾	真 語 者 說 一切有情 無 情 皆 有 佛 性 實 語 者 說 眾 
X24n0459_002:0526a10	生造惡業定受苦報。如語者。說眾生修善法。定有	生 造 惡 業 定 受 苦 報 如 語 者 說 眾 生 修 善 法 定 有 
X24n0459_002:0526a11	樂報。不誑語者。說般若波羅蜜法。出生三世佛。決	樂 報 不 誑 語 者 說 般 若 波 羅 蜜 法 出 生 三 世 佛 決 
X24n0459_002:0526a12	定不虗。不異語者。如來所說初善中善後善旨意	定 不 虗 不 異 語 者 如 來 所 說 初 善 中 善 後 善 旨 意 
X24n0459_002:0526a13	微妙。一切天魔外道。無有能超勝及破壞佛語者。	微 妙 一 切 天 魔 外 道 無 有 能 超 勝 及 破 壞 佛 語 者 
X24n0459_002:0526a14	須菩提。如來所得法。此法無實無虗。	須 菩 提 如 來 所 得 法 此 法 無 實 無 虗 
X24n0459_002:0526a15	無實者以法體空寂。無相可得。然中有恒沙性德。	無 實 者 以 法 體 空 寂 無 相 可 得 然 中 有 恒 沙 性 德 
X24n0459_002:0526a16	用之不匱。故言無虗。欲言其實。無相可得。欲言其	用 之 不 匱 故 言 無 虗 欲 言 其 實 無 相 可 得 欲 言 其 
X24n0459_002:0526a17	虗。用而無間。是故不得言無。不得言有。有而不有。	虗 用 而 無 間 是 故 不 得 言 無 不 得 言 有 有 而 不 有 
X24n0459_002:0526a18	無而不無。言譬不及者。其惟真智乎。若不離相修	無 而 不 無 言 譬 不 及 者 其 惟 真 智 乎 若 不 離 相 修 
X24n0459_002:0526a19	行。無由臻此。	行 無 由 臻 此 
X24n0459_002:0526a20	須菩提。若菩薩心住於法。而行布施。如人入闇。則無	須 菩 提 若 菩 薩 心 住 於 法 而 行 布 施 如 人 入 闇 則 無 
X24n0459_002:0526a21	所見。	所 見 
X24n0459_002:0526a22	施一切法。心有住著。則不了三輪體空。如盲者處	施 一 切 法 心 有 住 著 則 不 了 三 輪 體 空 如 盲 者 處 
X24n0459_002:0526a23	暗。無所曉了。華嚴經云。聲聞在如來會中聞法。如	暗 無 所 曉 了 華 嚴 經 云 聲 聞 在 如 來 會 中 聞 法 如 
X24n0459_002:0526a24	盲如聾。為住諸法相故也。	盲 如 聾 為 住 諸 法 相 故 也 
X24n0459_002:0526b01	若菩薩心不住法。而行布施。如人有目。日光明照。見	若 菩 薩 心 不 住 法 而 行 布 施 如 人 有 目 日 光 明 照 見 
X24n0459_002:0526b02	種種色。	種 種 色 
X24n0459_002:0526b03	若菩薩常行般若波羅蜜多無著無相行。如人有	若 菩 薩 常 行 般 若 波羅蜜多 無 著 無 相 行 如 人 有 
X24n0459_002:0526b04	目。處於皎日之中何所不見也。	目 處 於 皎 日 之 中 何 所 不 見 也 
X24n0459_002:0526b05	須菩提。當來之世。若有善男子．善女人。能於此經。受	須 菩 提 當來之世 若 有 善 男 子 善 女 人 能 於 此 經 受 
X24n0459_002:0526b06	持讀誦。則為如來以佛智慧。悉知是人。悉見是人。皆	持 讀 誦 則 為 如 來 以 佛 智 慧 悉 知 是 人 悉 見 是 人 皆 
X24n0459_002:0526b07	得成就無量無邊功德。	得 成 就 無量無邊 功 德 
X24n0459_002:0526b08	當來之世者。如來滅後。後五百歲。濁惡之世。邪法	當來之世 者 如來滅後 後 五 百 歲 濁 惡 之 世 邪 法 
X24n0459_002:0526b09	競起。正法難行。於此時中。若有善男子善女人。得	競 起 正 法 難 行 於 此 時 中 若 有 善 男 子 善 女 人 得 
X24n0459_002:0526b10	遇此經。從師稟受。讀誦在心。精進不妄。依義修行。	遇 此 經 從 師 稟 受 讀 誦 在 心 精 進 不 妄 依 義 修 行 
X24n0459_002:0526b11	悟入佛之知見。則能成就阿耨菩提。以是三世諸	悟 入 佛 之 知 見 則 能 成 就 阿耨菩提 以 是 三 世 諸 
X24n0459_002:0526b12	佛。無不知之。	佛 無 不 知 之 
X24n0459_002:0526b13	○持經功德分第十五	 持 經 功 德 分 第 十 五 
X24n0459_002:0526b14	須菩提。若有善男子．善女人。初日分以恒河沙等身	須 菩 提 若 有 善 男 子 善 女 人 初 日 分 以 恒 河 沙 等 身 
X24n0459_002:0526b15	布施。中日分復以恒河沙等身布施。後日分亦以恒	布 施 中 日 分 復 以 恒 河 沙 等 身 布 施 後 日 分 亦 以 恒 
X24n0459_002:0526b16	河沙等身布施。如是無量百千萬億劫。以身布施。若	河 沙 等 身 布 施 如 是 無量百千萬億 劫 以 身 布 施 若 
X24n0459_002:0526b17	復有人聞此經典。信心不逆。其福勝彼。何況書寫受	復 有 人 聞 此 經 典 信 心 不 逆 其 福 勝 彼 何 況 書 寫 受 
X24n0459_002:0526b18	持讀誦。為人解說。	持 讀 誦 為 人 解 說 
X24n0459_002:0526b19	佛說末法之時。得聞此經。信心不逆。四相不生。即	佛 說 末 法 之 時 得 聞 此 經 信 心 不 逆 四 相 不 生 即 
X24n0459_002:0526b20	是佛之知見。此人功德。勝前多劫捨身功德。百千	是 佛 之 知 見 此 人 功 德 勝 前 多 劫 捨 身 功 德 百 千 
X24n0459_002:0526b21	萬億不可譬喻。一念聞經。其福尚多。何況更能書	萬 億 不 可 譬 喻 一 念 聞 經 其 福 尚 多 何 況 更 能 書 
X24n0459_002:0526b22	寫受持讀誦為人解說。當知此人。決定成就阿耨	寫 受持讀誦 為 人 解 說 當 知 此 人 決 定 成 就 阿 耨 
X24n0459_002:0526b23	多羅三藐三菩提。所以種種方便。為說如是甚深	多 羅 三藐三菩提 所 以 種 種 方 便 為 說 如 是 甚 深 
X24n0459_002:0526b24	經典。俾離諸相。得阿耨多羅三藐三菩提。所得福	經 典 俾 離 諸 相 得阿耨多羅三藐三菩提 所 得 福 
X24n0459_002:0526c01	德。無有邊際。蓋緣多劫捨身。不了諸法本空。心有	德 無有邊際 蓋 緣 多 劫 捨 身 不 了 諸 法 本 空 心 有 
X24n0459_002:0526c02	能所。未離眾生之見。如能聞經悟道。我人頓盡。言	能 所 未 離 眾 生 之 見 如 能 聞 經 悟 道 我 人 頓 盡 言 
X24n0459_002:0526c03	下即佛。將捨身有漏之福。比持經無漏之慧。實不	下 即 佛 將 捨 身 有 漏 之 福 比 持 經 無 漏 之 慧 實 不 
X24n0459_002:0526c04	可及。故雖十方聚寶。三世捨身。不如持經四句偈。	可 及 故 雖 十 方 聚 寶 三 世 捨 身 不 如 持 經 四 句 偈 
X24n0459_002:0526c05	須菩提。以要言之。是經有不可思議．不可稱量．無邊	須 菩 提 以要言之 是 經 有 不可思議 不可稱量 無 邊 
X24n0459_002:0526c06	功德。	功 德 
X24n0459_002:0526c07	持經之人。心無我所。無我所故。是佛心。佛心功德。	持 經 之 人 心 無 我 所 無 我 所 故 是 佛 心 佛 心 功 德 
X24n0459_002:0526c08	無有邊際。故言不可稱量。	無有邊際 故 言 不可稱量 
X24n0459_002:0526c09	如來為發大乘者說。為發最上乘者說。若有人能受	如 來 為 發 大 乘 者 說 為 發 最 上 乘 者 說 若 有 人 能 受 
X24n0459_002:0526c10	持讀誦。廣為人說。如來悉知是人。悉見是人。皆得成	持 讀 誦 廣 為 人 說 如 來 悉 知 是 人 悉 見 是 人 皆 得 成 
X24n0459_002:0526c11	就不可量．不可稱．無有邊．不可思議功德。如是人等。	就 不 可 量 不 可 稱 無 有 邊 不可思議 功 德 如 是 人 等 
X24n0459_002:0526c12	則為荷擔如來阿耨多羅三藐三菩提。	則 為 荷 擔 如 來 阿耨多羅三藐三菩提 
X24n0459_002:0526c13	大乘者智慧廣大。善能建立一切法。最上乘者。不	大 乘 者 智 慧 廣 大 善 能 建 立 一 切 法 最 上 乘 者 不 
X24n0459_002:0526c14	見垢法可厭。不見淨法可求。不見眾生可度。不見	見 垢 法 可 厭 不 見 淨 法 可 求 不 見 眾 生 可 度 不 見 
X24n0459_002:0526c15	涅槃可證。不作度眾生心。亦不作不度眾生心。是	涅 槃 可 證 不 作 度 眾 生 心 亦 不 作 不 度 眾 生 心 是 
X24n0459_002:0526c16	名最上乘。亦名一切智。亦名無生忍。亦名大般若。	名 最 上 乘 亦 名 一 切 智 亦 名 無 生 忍 亦 名 大 般 若 
X24n0459_002:0526c17	若有人發心求佛無上道。聞此無相無為甚深之	若 有 人 發 心 求 佛 無 上 道 聞 此 無 相 無 為 甚 深 之 
X24n0459_002:0526c18	法。即當信解受持。為人解說。令其深悟。不生毀謗。	法 即 當 信 解 受 持 為 人 解 說 令 其 深 悟 不 生 毀 謗 
X24n0459_002:0526c19	得大忍力。大智慧力。大方便力。方能通流此經也。	得 大 忍 力 大 智 慧 力 大方便力 方 能 通 流 此 經 也 
X24n0459_002:0526c20	上根之人。聞此經典。得深悟佛意。持自心經。見性	上 根 之 人 聞 此 經 典 得 深 悟 佛 意 持 自 心 經 見 性 
X24n0459_002:0526c21	究竟。復起利他之行。能為人解說。令諸學者。自悟	究 竟 復 起 利 他 之 行 能 為 人 解 說 令 諸 學 者 自 悟 
X24n0459_002:0526c22	無相之理。得見本性如來。成無上道。當知說法之	無 相 之 理 得 見 本 性 如 來 成 無 上 道 當 知 說 法 之 
X24n0459_002:0526c23	人。所得功德。無有邊際。不可稱量。聞經解義。如教	人 所得功德 無有邊際 不可稱量 聞 經 解 義 如 教 
X24n0459_002:0526c24	修行。復能廣為人說。令諸眾生。得悟修行無相無	修 行 復 能 廣 為 人 說 令 諸 眾 生 得 悟 修 行 無 相 無 
X24n0459_002:0527a01	著之行。以能行此行。有大智慧光明。出離塵勞。雖	著 之 行 以 能 行 此 行 有 大 智慧光明 出 離 塵 勞 雖 
X24n0459_002:0527a02	離塵勞。不作離塵勞之念。即得阿耨多羅三藐三	離 塵 勞 不 作 離 塵 勞 之 念 即 得 阿 耨 多 羅 三 藐 三 
X24n0459_002:0527a03	菩提。故名荷擔如來。當知持經之人。自有無量無	菩 提 故 名 荷 擔 如 來 當 知 持 經 之 人 自 有 無 量 無 
X24n0459_002:0527a04	邊不可思議功德。	邊 不可思議 功 德 
X24n0459_002:0527a05	何以故。須菩提。若樂小法者。著我見人見眾生見壽	何 以 故 須 菩 提 若 樂小法者 著 我 見 人 見 眾 生 見 壽 
X24n0459_002:0527a06	者見。則於此經。不能聽受讀誦。為人解說。	者 見 則 於 此 經 不 能 聽 受 讀 誦 為 人 解 說 
X24n0459_002:0527a07	何名樂小法者。為二乘聲聞人。樂小果不發大心。	何 名 樂小法者 為 二 乘 聲 聞 人 樂 小 果 不 發 大 心 
X24n0459_002:0527a08	故即於如來深法。不能受持讀誦。為人解說。	故 即 於 如 來 深 法 不 能 受持讀誦 為 人 解 說 
X24n0459_002:0527a09	須菩提。在在處處。若有此經。一切世間天人阿修羅。	須 菩 提 在在處處 若 有 此 經 一切世間 天 人 阿 修 羅 
X24n0459_002:0527a10	所應供養。當知此處。則為是塔。皆應恭敬。作禮圍繞。	所 應 供 養 當 知 此 處 則 為 是 塔 皆 應 恭 敬 作 禮 圍 繞 
X24n0459_002:0527a11	以諸華香而散其處。	以 諸 華 香 而 散 其 處 
X24n0459_002:0527a12	若人口誦般若。心行般若。在在處處。常行無為無	若 人 口 誦 般 若 心 行 般 若 在在處處 常 行 無 為 無 
X24n0459_002:0527a13	相之行。此人所在之處。如有佛塔。感得一切天人。	相 之 行 此 人 所 在 之 處 如 有 佛 塔 感 得 一 切 天 人 
X24n0459_002:0527a14	各持供養。作禮恭敬。與佛無異。能受持經者。是人	各 持 供 養 作 禮 恭 敬 與 佛 無 異 能 受 持 經 者 是 人 
X24n0459_002:0527a15	心中。自有世尊。故云如佛塔廟。當知所得福德。無	心 中 自 有 世 尊 故 云 如 佛 塔 廟 當 知 所 得 福 德 無 
X24n0459_002:0527a16	量無邊也。	量 無 邊 也 
X24n0459_002:0527a17	○能淨業障分第十六	 能 淨 業 障 分 第 十 六 
X24n0459_002:0527a18	復次。須菩提。善男子．善女人。受持讀誦此經。若為人	復 次 須 菩 提 善 男 子 善 女 人 受持讀誦 此 經 若 為 人 
X24n0459_002:0527a19	輕賤。是人先世罪業。應墮惡道。以今世人輕賤故。先	輕 賤 是 人 先 世 罪 業 應 墮 惡 道 以 今 世 人 輕 賤 故 先 
X24n0459_002:0527a20	世罪業則為銷滅。當得阿耨多羅三藐三菩提。	世 罪 業 則 為 銷 滅 當 得阿耨多羅三藐三菩提 
X24n0459_002:0527a21	佛言持經之人。各得一切天人恭敬供養。為前生	佛 言 持 經 之 人 各 得 一 切 天 人 恭敬供養 為 前 生 
X24n0459_002:0527a22	有重業障故。今生雖得受持諸佛如來甚深經典。	有 重 業 障 故 今 生 雖 得 受 持 諸佛如來 甚深經典 
X24n0459_002:0527a23	常被人輕賤。不得人恭敬供養。自以受持經典故。	常 被 人 輕 賤 不 得 人 恭敬供養 自 以 受 持 經 典 故 
X24n0459_002:0527a24	不起人我等相。不問冤親。常行恭敬。心無惱恨。蕩	不 起 人 我 等 相 不 問 冤 親 常 行 恭 敬 心 無 惱 恨 蕩 
X24n0459_002:0527b01	然無所計較。念念常行般若波羅蜜行。曾無退轉。	然 無 所 計 較 念 念 常 行 般 若 波 羅 蜜 行 曾 無 退 轉 
X24n0459_002:0527b02	以能如是修行故。得無量劫以至今生。所有極惡	以 能 如 是 修 行 故 得 無 量 劫 以 至 今 生 所 有 極 惡 
X24n0459_002:0527b03	罪障。並能消滅。又約理而言。先世即是前念妄心。	罪 障 並 能 消 滅 又 約 理 而 言 先 世 即 是 前 念 妄 心 
X24n0459_002:0527b04	今世即是後念覺心。以後念覺心。輕賤前念妄心。	今 世 即 是 後 念 覺 心 以 後 念 覺 心 輕 賤 前 念 妄 心 
X24n0459_002:0527b05	妄不得住。故云先世罪業。即為消滅。妄念既滅。罪	妄 不 得 住 故 云 先 世 罪 業 即 為 消 滅 妄 念 既 滅 罪 
X24n0459_002:0527b06	業不成。即得菩提也。	業 不 成 即 得 菩 提 也 
X24n0459_002:0527b07	須菩提。我念過去無量阿僧祇劫。於然燈佛前。得值	須 菩 提 我 念 過 去 無量阿僧祇劫 於 然 燈 佛 前 得 值 
X24n0459_002:0527b08	八百四千萬億那由他諸佛。悉皆供養承事。無空過	八 百 四 千 萬 億 那 由 他 諸 佛 悉 皆 供 養 承 事 無 空 過 
X24n0459_002:0527b09	者。若復有人於後末世。能受持讀誦此經。所得功德。	者 若 復 有 人 於 後 末 世 能 受持讀誦 此 經 所得功德 
X24n0459_002:0527b10	於我所供養諸佛功德。百分不及一。百千萬億分。乃	於 我 所 供 養 諸 佛 功 德 百 分 不 及 一 百 千萬億分 乃 
X24n0459_002:0527b11	至算數譬喻所不能及。	至 算 數 譬 喻 所 不 能 及 
X24n0459_002:0527b12	供養恒沙諸佛。施寶滿三千界。捨身如微塵數。種	供 養 恒 沙 諸 佛 施 寶 滿 三 千 界 捨 身 如 微 塵 數 種 
X24n0459_002:0527b13	種福德不及持經一念悟無生理。息希望心。遠離	種 福 德 不 及 持 經 一 念 悟 無 生 理 息 希 望 心 遠 離 
X24n0459_002:0527b14	眾生顛倒知見。即到波羅彼岸。永出三塗。證無餘	眾 生 顛 倒 知 見 即 到 波 羅 彼 岸 永 出 三 塗 證 無 餘 
