X31n0612_001:0605a04	 妙法蓮華經序	 妙法蓮華 經 序 
X31n0612_002:0641b25	陀羅華。摩訶曼陀羅華。以散無量百千萬億寶樹下。	陀 羅 華 摩訶曼陀羅 華 以 散 無量百千萬億 寶 樹 下 
X31n0612_002:0641c01	師子座上諸佛。并散七寶塔中師子座上釋迦牟尼	師 子 座 上 諸 佛 并 散 七 寶 塔 中 師 子 座 上 釋 迦 牟 尼 
X31n0612_002:0641c02	佛。及久滅度多寶如來。亦散一切諸大菩薩。及四部	佛 及 久 滅 度 多 寶 如 來 亦 散 一 切 諸 大 菩 薩 及 四 部 
X31n0612_002:0641c03	眾。又雨細抹旃檀沉水香等。於虗空中。天皷自鳴。妙	眾 又 雨 細 抹 旃 檀 沉 水 香 等 於 虗 空 中 天 皷 自 鳴 妙 
X31n0612_002:0641c04	聲深遠。又雨千種天衣。垂諸瓔珞。真珠瓔珞。摩尼珠	聲 深 遠 又 雨 千 種 天 衣 垂 諸 瓔 珞 真 珠 瓔 珞 摩 尼 珠 
X31n0612_002:0641c05	瓔珞。如意珠瓔珞。遍於九方。眾寶香爐。燒無價香。自	瓔 珞 如 意 珠 瓔 珞 遍 於 九 方 眾 寶 香 爐 燒 無 價 香 自 
X31n0612_002:0641c06	然周至供養大會。一一佛上。有諸菩薩。執持幡盖。次	然 周 至 供 養 大 會 一 一 佛 上 有 諸 菩 薩 執 持 幡 盖 次 
X31n0612_002:0641c07	第而上至於梵天。是諸菩薩。以妙音聲。歌無量頌。讚	第 而 上 至 於 梵 天 是 諸 菩 薩 以 妙 音 聲 歌 無 量 頌 讚 
X31n0612_002:0641c08	歎諸佛。	歎 諸 佛 
X31n0612_002:0641c09	(戒環曰。諸瑞皆從空雨。遍於九方。乃助顯壽量法利	 戒 環 曰 諸 瑞 皆 從 空 雨 遍 於 九 方 乃 助 顯 壽 量 法 利 
X31n0612_002:0641c10	如空無邊。不可得而思議也。故彌勒讚曰。世尊說壽	如 空 無 邊 不 可 得 而 思 議 也 故 彌 勒 讚 曰 世 尊 說 壽 
X31n0612_002:0641c11	量。不可思議法。多有所饒益。如〔虛〕無邊。言九方者。除	量 不可思議 法 多 有 所 饒 益 如 虛 無 邊 言 九 方 者 除 
X31n0612_002:0641c12	下方。非法會所。菩薩執幡上至梵天。言其滿空供養	下 方 非 法 會 所 菩 薩 執 幡 上 至 梵 天 言 其 滿 空 供 養 
X31n0612_002:0641c13	讚歎也)。	讚 歎 也 
X31n0612_002:0641c14	爾時佛告彌勒菩薩摩訶薩。阿逸多。其有眾生。聞佛	爾 時 佛 告 彌 勒 菩薩摩訶薩 阿 逸 多 其 有 眾 生 聞 佛 
X31n0612_002:0641c15	壽命長遠如是。乃至能生一念信解。所得功德。無有	壽 命 長 遠 如 是 乃 至 能 生 一 念 信 解 所得功德 無 有 
X31n0612_002:0641c16	限量。	限 量 
X31n0612_002:0641c17	(戒環曰。解壽量說即得不壞體。證真常用。故功無限	 戒 環 曰 解 壽 量 說 即 得 不 壞 體 證 真 常 用 故 功 無 限 
X31n0612_002:0641c18	量)。	量 
X31n0612_002:0641c19	又阿逸多。若有聞佛壽命長遠。解其言趣。是人所得	又 阿 逸 多 若 有 聞 佛 壽 命 長 遠 解 其 言 趣 是 人 所 得 
X31n0612_002:0641c20	功德。無有限量。能起如來無上之慧。何況廣聞是經。	功 德 無 有 限 量 能 起 如 來 無 上 之 慧 何 況 廣 聞 是 經 
X31n0612_002:0641c21	若教人聞。若自持。若教人持。若自書。若以華香瓔珞	若 教 人 聞 若 自 持 若 教 人 持 若 自 書 若 以 華 香 瓔 珞 
X31n0612_002:0641c22	幢幡繒盖香油蘇燈。供養經卷。是人功德無量無邊。	幢 幡 繒 盖 香 油 蘇 燈 供 養 經 卷 是 人 功 德 無量無邊 
X31n0612_002:0641c23	能生一切種智。	能 生 一切種智 
X31n0612_002:0641c24	(及南曰。壽量之說。趣在斷生滅見。顯真常體。苟能明	 及 南 曰 壽 量 之 說 趣 在 斷 生 滅 見 顯 真 常 體 苟 能 明 
X31n0612_002:0641c25	解。則起無上慧。等同如來。故功無限量)。	解 則 起 無 上 慧 等 同 如 來 故 功 無 限 量 
X31n0612_002:0641c26	戒環曰。聞佛壽命。則斷生滅見。顯真常體。能起上	戒 環 曰 聞 佛 壽 命 則 斷 生 滅 見 顯 真 常 體 能 起 上 
X31n0612_002:0642a01	慧而已。廣聞是經。則具四知見。盡一乘道。故能生	慧 而 已 廣 聞 是 經 則 具 四 知 見 盡 一 乘 道 故 能 生 
X31n0612_002:0642a02	種智也。然世之聞持不計。而果能起上慧生種智	種 智 也 然 世 之 聞 持 不 計 而 果 能 起 上 慧 生 種 智 
X31n0612_002:0642a03	者。誰耶。是亦遇王饍而不飡。得衣珠而醉臥。惜哉。	者 誰 耶 是 亦 遇 王 饍 而 不 飡 得 衣 珠 而 醉 臥 惜 哉 
X31n0612_002:0642a04	阿逸多。若人聞我說壽命長遠。深心信解。則為見佛	阿 逸 多 若 人 聞 我 說 壽 命 長 遠 深 心 信 解 則 為 見 佛 
X31n0612_002:0642a05	常在耆闍崛山。共大菩薩諸聲聞眾圍遶說法。	常 在 耆 闍 崛 山 共 大 菩 薩 諸 聲 聞 眾 圍 遶 說 法 
X31n0612_002:0642a06	(戒環曰。生滅見盡。則真常之相。觸目宛然)。	 戒 環 曰 生 滅 見 盡 則 真 常 之 相 觸 目 宛 然 
X31n0612_002:0642a07	又見此娑婆世界。其地琉璃。坦然平正。閻浮檀金以	又 見 此 娑婆世界 其 地 琉 璃 坦 然 平 正 閻浮檀金 以 
X31n0612_002:0642a08	界八道。寶樹行列。諸臺樓觀皆悉寶成。其菩薩眾咸	界 八 道 寶 樹 行 列 諸 臺 樓 觀 皆 悉 寶 成 其 菩 薩 眾 咸 
X31n0612_002:0642a09	處其中。若有能如是觀者。當知是為深信解相。	處 其 中 若 有 能 如 是 觀 者 當 知 是 為 深 信 解 相 
X31n0612_002:0642a10	(戒環曰。穢淨情忘。則勝妙之境。舉步皆是)。	 戒 環 曰 穢 淨 情 忘 則 勝 妙 之 境 舉 步 皆 是 
X31n0612_002:0642a11	戒環曰。身土實相。本自一如。生滅穢淨。皆出情見。	戒 環 曰 身 土 實 相 本 自 一 如 生 滅 穢 淨 皆 出 情 見 
X31n0612_002:0642a12	故見盡情忘。則真常之相。勝妙之境。觸處現前。非	故 見 盡 情 忘 則 真 常 之 相 勝 妙 之 境 觸 處 現 前 非 
X31n0612_002:0642a13	深信解壽量祕說。莫預於此。	深 信 解 壽 量 祕 說 莫 預 於 此 
X31n0612_002:0642a14	○隨喜功德品第十八	 隨 喜 功 德 品 第 十 八 
X31n0612_002:0642a15	隨喜者。謂未能一心聽讀如說修行。但隨其所聞。	隨 喜 者 謂 未 能 一 心 聽 讀 如說修行 但 隨 其 所 聞 
X31n0612_002:0642a16	喜為人說。隨其所教。喜須臾聞。聞獲勝福。故以命	喜 為 人 說 隨 其 所 教 喜 須 臾 聞 聞 獲 勝 福 故 以 命 
X31n0612_002:0642a17	品。	品 
X31n0612_002:0642a18	爾時彌勒菩薩摩訶薩。白佛言。世尊。若有人聞是法	爾 時 彌 勒 菩薩摩訶薩 白 佛 言 世 尊 若 有 人 聞 是 法 
X31n0612_002:0642a19	華經隨喜者。得幾所福。爾時佛告彌勒菩薩摩訶薩。	華 經 隨 喜 者 得 幾 所 福 爾 時 佛 告 彌 勒 菩薩摩訶薩 
X31n0612_002:0642a20	阿逸多。如來滅後。若比丘。比丘尼。優婆塞。優婆夷。及	阿 逸 多 如來滅後 若 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 及 
X31n0612_002:0642a21	餘智者。若長若幼。聞是經隨喜已。從法會出。至於餘	餘 智 者 若 長 若 幼 聞 是 經 隨 喜 已 從 法 會 出 至 於 餘 
X31n0612_002:0642a22	處。若在僧坊。若空閑地。若城邑巷陌。聚落田里。如其	處 若 在 僧 坊 若 空 閑 地 若 城 邑 巷 陌 聚 落 田 里 如 其 
X31n0612_002:0642a23	所聞。為父母宗親善友知識。隨力演說。是諸人等。聞	所 聞 為 父 母 宗 親 善 友 知 識 隨 力 演 說 是 諸 人 等 聞 
X31n0612_002:0642a24	已隨喜。復行轉教。餘人聞已。亦隨喜轉教。如是展轉	已 隨 喜 復 行 轉 教 餘 人 聞 已 亦 隨 喜 轉 教 如 是 展 轉 
X31n0612_002:0642a25	至第五十。	至 第 五 十 
X31n0612_002:0642b01	(戒環曰。法會初聞。從師親授。其福最勝。隨喜轉教。則	 戒 環 曰 法 會 初 聞 從 師 親 授 其 福 最 勝 隨 喜 轉 教 則 
X31n0612_002:0642b02	去師漸遠。至第五十。言又甚遠。而福亦無量。如下所	去 師 漸 遠 至 第 五 十 言 又 甚 遠 而 福 亦 無 量 如 下 所 
X31n0612_002:0642b03	校三校。最後福五)。	校 三 校 最 後 福 五 
X31n0612_002:0642b04	阿逸多。其第五十善男子善女人。隨喜功德。我今說	阿 逸 多 其 第 五 十 善 男 子 善 女 人 隨 喜 功 德 我 今 說 
X31n0612_002:0642b05	之。汝當善聽。若四百萬億阿僧祇世界。六趣四生眾	之 汝 當 善 聽 若 四 百 萬 億 阿 僧 祇 世 界 六 趣 四 生 眾 
X31n0612_002:0642b06	生。卵生胎生濕生化生。若有形無形。有想無想。非有	生 卵 生 胎 生 濕 生 化 生 若 有 形 無 形 有 想 無 想 非 有 
X31n0612_002:0642b07	想非無想。無足二足四足多足。如是等在眾生數者。	想 非 無 想 無 足 二 足 四 足 多 足 如 是 等 在 眾 生 數 者 
X31n0612_002:0642b08	有人求福。隨其所欲。娛樂之具。皆給與之。一一眾生。	有 人 求 福 隨其所欲 娛 樂 之 具 皆 給 與 之 一 一 眾 生 
X31n0612_002:0642b09	與滿閻浮提金銀琉璃。硨磲瑪瑙。珊瑚琥珀。諸妙珍	與 滿 閻 浮 提 金 銀 琉 璃 硨 磲 瑪 瑙 珊 瑚 琥 珀 諸 妙 珍 
X31n0612_002:0642b10	寶。及象馬車乘。七寶所成宮殿樓閣等。	寶 及 象 馬 車 乘 七 寶 所 成 宮 殿 樓 閣 等 
X31n0612_002:0642b11	(戒環曰。僧祇世界。生類不窮。而能以寶物等施。其福	 戒 環 曰 僧 祇 世 界 生 類 不 窮 而 能 以 寶 物 等 施 其 福 
X31n0612_002:0642b12	多矣。天人鬼畜分為六趣。胎卵濕化總為四生。而形	多 矣 天 人 鬼 畜 分 為 六 趣 胎 卵 濕 化 總 為 四 生 而 形 
X31n0612_002:0642b13	想等類預焉。自胎卵至非無想。通該三界十種異生)。	想 等 類 預 焉 自 胎 卵 至 非 無 想 通 該 三 界 十 種 異 生 
X31n0612_002:0642b14	如是布施滿八十年已。而作是念。我已施眾生娛樂	如 是 布 施 滿 八 十 年 已 而 作 是 念 我 已 施 眾 生 娛 樂 
X31n0612_002:0642b15	之具。隨意所欲。然此眾生。皆已衰老。年過八十。髮白	之 具 隨意所欲 然 此 眾 生 皆 已 衰 老 年 過 八 十 髮 白 
X31n0612_002:0642b16	面皺。將死不久。我當以佛法而訓導之。即集此眾生	面 皺 將 死 不 久 我 當 以 佛 法 而 訓 導 之 即 集 此 眾 生 
X31n0612_002:0642b17	宣布法化。示教利喜。一時皆得須陀洹道。斯陀含道。	宣 布 法 化 示 教 利 喜 一 時 皆 得 須陀洹道 斯 陀 含 道 
X31n0612_002:0642b18	阿羅漢道。盡諸有漏。於深禪定皆得自在。具八解脫。	阿羅漢道 盡 諸 有 漏 於 深 禪 定 皆 得 自 在 具 八 解 脫 
X31n0612_002:0642b19	(戒環曰。既以財施。復以法施。令得聖果。則其福倍多)。	 戒 環 曰 既 以 財 施 復 以 法 施 令 得 聖 果 則 其 福 倍 多 
X31n0612_002:0642b20	○法師功德品第十九	 法 師 功 德 品 第 十 九 
X31n0612_002:0642b21	此言五種功備。六千德圓。可為為模範。故曰法師	此 言 五 種 功 備 六 千 德 圓 可 為 為 模 範 故 曰 法 師 
X31n0612_002:0642b22	功德。前法師品。依持經人以彰圓記。此依持經人	功 德 前 法 師 品 依 持 經 人 以 彰 圓 記 此 依 持 經 人 
X31n0612_002:0642b23	以彰圓德。名同而義則異也。	以 彰 圓 德 名 同 而 義 則 異 也 
X31n0612_002:0642b24	爾時佛告常精進菩薩摩訶薩。若人受持是法華經。	爾 時 佛 告 常 精 進 菩薩摩訶薩 若 人 受 持 是 法 華 經 
X31n0612_002:0642b25	若讀若誦。若解說。若書寫。是人當得八百眼功德。千	若 讀 若 誦 若 解 說 若 書 寫 是 人 當 得 八 百 眼 功 德 千 
X31n0612_002:0642b26	二百耳功德。八百鼻功德。千二百舌功德。八百身功	二 百 耳 功 德 八 百 鼻 功 德 千 二 百 舌 功 德 八 百 身 功 
X31n0612_002:0642c01	德。千二百意功德。以是功德莊嚴六根。皆令清淨。	德 千 二 百 意 功 德 以 是 功德莊嚴 六 根 皆 令 清 淨 
X31n0612_002:0642c02	(祥邁曰。千二八百。此乃攘依世論數量。以顯妙用大	 祥 邁 曰 千 二 八 百 此 乃 攘 依 世 論 數 量 以 顯 妙 用 大 
X31n0612_002:0642c03	略而已。使由常眼對色。而開佛智見。常耳聞聲。而得	略 而 已 使 由 常 眼 對 色 而 開 佛 智 見 常 耳 聞 聲 而 得 
X31n0612_002:0642c04	其實相。則眾塵不隔。十方廓然。萬象莫逃。大千圓照。	其 實 相 則 眾 塵 不 隔 十 方 廓 然 萬 象 莫 逃 大 千 圓 照 
X31n0612_002:0642c05	則千二八百之功。無足論矣。如經云。父母所生眼。悉	則 千 二 八 百 之 功 無 足 論 矣 如 經 云 父母所生 眼 悉 
X31n0612_002:0642c06	見三千界。何復三分之闕。八百之劣耶。故知此體。本	見 三 千 界 何 復 三 分 之 闕 八 百 之 劣 耶 故 知 此 體 本 
X31n0612_002:0642c07	絕數量也)。	絕 數 量 也 
X31n0612_002:0642c08	戒環曰。持法華者。開佛知見。則見聞覺知。無非真	戒 環 曰 持 法 華 者 開 佛 知 見 則 見聞覺知 無 非 真 
X31n0612_002:0642c09	覺。證諸實相。則色香味觸。無非真法。以真覺對真	覺 證 諸 實 相 則 色香味觸 無 非 真 法 以 真 覺 對 真 
X31n0612_002:0642c10	法。則萬象徹照。大千一視。故圓持功成。即得六根	法 則 萬 象 徹 照 大 千 一 視 故 圓 持 功 成 即 得 六 根 
X31n0612_002:0642c11	清淨功德。自非精心不雜。進道不倦。未易能致。故	清 淨 功 德 自 非 精 心 不 雜 進 道 不 倦 未 易 能 致 故 
X31n0612_002:0642c12	告常精進菩薩也。數有千二八百者。眾生世界。依	告 常 精 進 菩 薩 也 數 有 千 二 八 百 者 眾 生 世 界 依 
X31n0612_002:0642c13	器世界而立。以識妄為界。故有四方。身相遷流。故	器 世 界 而 立 以 識 妄 為 界 故 有 四 方 身 相 遷 流 故 
X31n0612_002:0642c14	有三世。惟世與界。二者相涉。三世四方。宛轉十二。	有 三 世 惟 世 與 界 二 者 相 涉 三 世 四 方 宛 轉 十 二 
X31n0612_002:0642c15	依十二數。流變三疊。成千二百。圓持功成。每根各	依 十 二 數 流 變 三 疊 成 千 二 百 圓 持 功 成 每 根 各 
X31n0612_002:0642c16	全其用。故有千二功德。然復於中尅定優劣。以眼	全 其 用 故 有 千 二 功 德 然 復 於 中 尅 定 優 劣 以 眼 
X31n0612_002:0642c17	見前傍。而不及後。鼻息出入。闕於中交。身合能覺。	見 前 傍 而 不 及 後 鼻 息 出 入 闕 於 中 交 身 合 能 覺 
X31n0612_002:0642c18	離不知觸。皆三分闕一。故唯八百功德。	離 不 知 觸 皆 三 分 闕 一 故 唯 八 百 功 德 
X31n0612_002:0642c19	是善男子。父母所生清淨肉眼。見於三千大千世界。	是 善 男 子 父母所生 清 淨 肉 眼 見 於 三千大千世界 
X31n0612_002:0642c20	內外所有山林河海。亦見其中一切眾生。及業因緣	內 外 所 有 山 林 河 海 亦 見 其 中 一 切 眾 生 及 業 因 緣 
X31n0612_002:0642c21	果報生處。悉見悉知。	果 報 生 處 悉 見 悉 知 
X31n0612_002:0642c22	(行簡子曰。清淨肉眼。有生皆具。凡能開佛知見。證諸	 行 簡 子 曰 清 淨 肉 眼 有 生 皆 具 凡 能 開 佛 知 見 證 諸 
X31n0612_002:0642c23	實相。則大千一切莫不歷然。此其現量也。以迹明之。	實 相 則 大 千 一 切 莫 不 歷 然 此 其 現 量 也 以 迹 明 之 
X31n0612_002:0642c24	人人知見。若離前塵。本無限礙。且日月之高。太虗之	人 人 知 見 若 離 前 塵 本 無 限 礙 且 日 月 之 高 太 虗 之 
X31n0612_002:0642c25	遠。不知其幾千萬里。苟無所蔽。目能見之。而意之所	遠 不 知 其 幾 千 萬 里 苟 無 所 蔽 目 能 見 之 而 意 之 所 
X31n0612_002:0642c26	緣。其疾俛仰之間。再撫四海之外。非假賢智。凡人能	緣 其 疾 俛 仰 之 間 再 撫 四 海 之 外 非 假 賢 智 凡 人 能 
X31n0612_002:0642c27	知。則六根之用。廣大靈通。固如是也)。	知 則 六 根 之 用 廣 大 靈 通 固 如 是 也 
X31n0612_002:0642c28	戒環曰。父母所生。即人人本具者。清淨肉眼。即眾	戒 環 曰 父母所生 即 人 人 本 具 者 清 淨 肉 眼 即 眾 
X31n0612_002:0643a01	塵不隔者。眾塵不隔。則正智現前。故大千內外。一	塵 不 隔 者 眾 塵 不 隔 則 正 智 現 前 故 大 千 內 外 一 
X31n0612_002:0643a02	切色像。悉見悉知。所謂應眼時如千日。萬象不能	切 色 像 悉 見 悉 知 所 謂 應 眼 時 如 千 日 萬 象 不 能 
X31n0612_002:0643a03	逃影質者。此也。問理則然矣。事若之何。曰六湛圓	逃 影 質 者 此 也 問 理 則 然 矣 事 若 之 何 曰 六 湛 圓 
X31n0612_002:0643a04	明。本所功德。現量如是。但隨所證耳。夫小羅漢見	明 本 所 功 德 現 量 如 是 但 隨 所 證 耳 夫 小 羅 漢 見 
X31n0612_002:0643a05	小千。大羅漢見大千。辟支見百佛世界。菩薩見百	小 千 大 羅 漢 見 大 千 辟 支 見 百 佛 世 界 菩 薩 見 百 
X31n0612_002:0643a06	千佛界。如來見微塵國土。非獨果禮也。阿那律陀	千 佛 界 如 來 見 微 塵 國 土 非 獨 果 禮 也 阿 那 律 陀 
X31n0612_002:0643a07	不離父母生身。而能觀大千。猶如掌內。則其中一	不 離 父 母 生 身 而 能 觀 大 千 猶 如 掌 內 則 其 中 一 
X31n0612_002:0643a08	切。烏乎不見。盖塵消覺淨。冥極則一。夫何理然而	切 烏 乎 不 見 盖 塵 消 覺 淨 冥 極 則 一 夫 何 理 然 而 
X31n0612_002:0643a09	事不然哉。楞嚴曰。逆彼業流。得循圓通。與不圓根。	事 不 然 哉 楞 嚴 曰 逆 彼 業 流 得 循 圓 通 與 不 圓 根 
X31n0612_002:0643a10	日劫相倍。即不可狥於業流。以不圓根而疑經之	日 劫 相 倍 即 不 可 狥 於 業 流 以 不 圓 根 而 疑 經 之 
X31n0612_002:0643a11	說也。誠知眼力如是。則下之五根。不假詳論。	說 也 誠 知 眼 力 如 是 則 下 之 五 根 不 假 詳 論 
X31n0612_002:0643a12	復次常精進。若善男子。受持此經。若誦若讀。若解說	復 次 常 精 進 若 善 男 子 受 持 此 經 若 誦 若 讀 若 解 說 
X31n0612_002:0643a13	若書寫。得千二百耳功德。以是清淨耳。聞三千大千	若 書 寫 得 千 二 百 耳 功 德 以 是 清 淨 耳 聞 三千大千 
X31n0612_002:0643a14	世界。內外種種語言音聲。	世 界 內 外 種 種 語 言 音 聲 
X31n0612_002:0643a15	(戒環曰。六湛實相。在眼圓照。在耳圓通)。	 戒 環 曰 六 湛 實 相 在 眼 圓 照 在 耳 圓 通 
X31n0612_002:0643a16	以要言之。三千大千世界中。一切內外所有諸聲。雖	以要言之 三千大千世界 中 一 切 內 外 所 有 諸 聲 雖 
X31n0612_002:0643a17	未得天耳。以父母所生清淨常耳皆悉聞知。如是分	未 得 天 耳 以 父母所生 清 淨 常 耳 皆 悉 聞 知 如 是 分 
X31n0612_002:0643a18	別種種音聲。而不壞耳根。	別 種 種 音 聲 而 不 壞 耳 根 
X31n0612_002:0643a19	(戒環曰。信謂應耳時如幽谷。大小音聲無不足也。不	 戒 環 曰 信 謂 應 耳 時 如 幽 谷 大 小 音 聲 無 不 足 也 不 
X31n0612_002:0643a20	壞耳根者。雖分別種種〔種〕。而耳根於中本相如故。無	壞 耳 根 者 雖 分 別 種 種 種 而 耳 根 於 中 本 相 如 故 無 
X31n0612_002:0643a21	壞無雜。此耳之實相也)。	壞 無 雜 此 耳 之 實 相 也 
X31n0612_002:0643a22	復次常精進。若善男子。受持是經。若讀若誦。若解說	復 次 常 精 進 若 善 男 子 受 持 是 經 若 讀 若 誦 若 解 說 
X31n0612_002:0643a23	若書寫。成就八百鼻功德。以是清淨鼻根。聞於三千	若 書 寫 成 就 八 百 鼻 功 德 以 是 清 淨 鼻 根 聞 於 三 千 
X31n0612_002:0643a24	大千世界。上下內外種種諸香。雖聞此香。然於鼻根	大千世界 上 下 內 外 種 種 諸 香 雖 聞 此 香 然 於 鼻 根 
X31n0612_002:0643a25	不壞不錯。若欲分別為他人說。憶念不謬。	不 壞 不 錯 若 欲 分 別 為 他 人 說 憶 念 不 謬 
X31n0612_002:0643a26	(戒環曰。清淨。言眾塵不隔湛圓。故大千俱聞)。(及南	 戒 環 曰 清 淨 言 眾 塵 不 隔 湛 圓 故 大 千 俱 聞 及 南 
X31n0612_002:0643b01	曰。不壞不錯。言無壞無雜也)。	曰 不 壞 不 錯 言 無 壞 無 雜 也 
X31n0612_002:0643b02	戒環曰。華嚴鬻香長者。善能別知天人龍鬼所有	戒 環 曰 華 嚴 鬻 香 長 者 善 能 別 知 天 人 龍 鬼 所 有 
X31n0612_002:0643b03	諸香。治諸病香。斷諸惡香。乃至一切菩薩差別地	諸 香 治 諸 病 香 斷 諸 惡 香 乃 至 一切菩薩 差 別 地 
X31n0612_002:0643b04	位香。悉皆了達。得調和香法門。表於善惡熏習之	位 香 悉 皆 了 達 得 調 和 香 法 門 表 於 善 惡 熏 習 之 
X31n0612_002:0643b05	法。一切通達。而調治和融。以成萬德法身香也。今	法 一 切 通 達 而 調 治 和 融 以 成 萬 德 法 身 香 也 今 
X31n0612_002:0643b06	鼻根功德。能知天上人間諸香。乃至菩薩身香。亦	鼻 根 功 德 能 知 天 上 人 間 諸 香 乃 至 菩 薩 身 香 亦 
X31n0612_002:0643b07	表持法華者。能通達異習。和融眾妙。而證萬德法	表 持 法 華 者 能 通 達 異 習 和 融 眾 妙 而 證 萬 德 法 
X31n0612_002:0643b08	身之香歟。	身 之 香 歟 
X31n0612_002:0643b09	復次常精進。若善男子。受持是經。若讀若誦。若解說	復 次 常 精 進 若 善 男 子 受 持 是 經 若 讀 若 誦 若 解 說 
X31n0612_002:0643b10	若書寫。得千二百舌功德。若好若醜。若美不美。及諸	若 書 寫 得 千 二 百 舌 功 德 若 好 若 醜 若 美 不 美 及 諸 
X31n0612_002:0643b11	苦澁物。在其舌根。皆變成上味。如天甘露。無不美者。	苦 澁 物 在 其 舌 根 皆 變 成 上 味 如 天 甘 露 無 不 美 者 
X31n0612_002:0643b12	(戒環曰。好醜苦澁。皆屬妄塵。於此無染。得清淨舌。則	 戒 環 曰 好 醜 苦 澁 皆 屬 妄 塵 於 此 無 染 得 清 淨 舌 則 
X31n0612_002:0643b13	苦澁美惡皆成法味)。	苦 澁 美 惡 皆 成 法 味 
X31n0612_002:0643b14	復次常精進。若善男子。受持是經。若讀若誦。若解說	復 次 常 精 進 若 善 男 子 受 持 是 經 若 讀 若 誦 若 解 說 
X31n0612_002:0643b15	若書寫。得八百身功德。得清淨身。如淨琉璃。眾生喜	若 書 寫 得 八 百 身 功 德 得 清 淨 身 如 淨 琉 璃 眾 生 喜 
X31n0612_002:0643b16	見。	見 
X31n0612_002:0643b17	(戒環曰。於是體中能知琉璃不容纖翳。則孰不喜見)。	 戒 環 曰 於 是 體 中 能 知 琉 璃 不 容 纖 翳 則 孰 不 喜 見 
X31n0612_002:0643b18	其身淨故。三千大千世界眾生。生時死時。上下好醜。	其 身 淨 故 三千大千世界 眾 生 生 時 死 時 上 下 好 醜 
X31n0612_002:0643b19	生善處惡處。悉於中現。	生 善 處 惡 處 悉 於 中 現 
X31n0612_002:0643b20	(戒環曰。淨言不為情塵染蔽也。不以情塵自蔽。則當	 戒 環 曰 淨 言 不 為 情 塵 染 蔽 也 不 以 情 塵 自 蔽 則 當 
X31n0612_002:0643b21	體無所不現。〔二〕三界形色)。	體 無 所 不 現 二 三 界 形 色 
X31n0612_002:0643b22	及鐵圍山。大鐵圍山。彌樓山。摩訶彌樓山等諸山。及	及 鐵 圍 山 大鐵圍山 彌 樓 山 摩 訶 彌 樓 山 等 諸 山 及 
X31n0612_002:0643b23	其中眾生。悉於中現。若聲聞辟支佛菩薩諸佛說法。	其 中 眾 生 悉 於 中 現 若 聲 聞 辟 支 佛 菩 薩 諸 佛 說 法 
X31n0612_002:0643b24	皆於身中。現其色像。	皆 於 身 中 現 其 色 像 
X31n0612_002:0643b25	(楞嚴云。浮塵幻化。虛妄稱相。妙覺明體。常自瑩然。含	 楞 嚴 云 浮 塵 幻 化 虛 妄 稱 相 妙 覺 明 體 常 自 瑩 然 含 
X31n0612_002:0643b26	吐十方。循業發現。故得是體者。無所不現)。	吐 十 方 循 業 發 現 故 得 是 體 者 無 所 不 現 
X31n0612_002:0643c01	戒環曰。昔者阿難大眾。蒙佛開示。身心蕩然。得無	戒 環 曰 昔 者 阿 難 大 眾 蒙 佛 開 示 身 心 蕩 然 得 無 
X31n0612_002:0643c02	罣礙。各各自知心徧十方。含容萬有。反觀父母所	罣 礙 各 各 自 知 心 徧 十 方 含 容 萬 有 反 觀 父 母 所 
X31n0612_002:0643c03	生之身。如大虗一塵。巨海一漚。起滅無從。了然不	生 之 身 如 大 虗 一 塵 巨 海 一 漚 起 滅 無 從 了 然 不 
X31n0612_002:0643c04	礙。此其證也。	礙 此 其 證 也 
X31n0612_002:0643c05	復次常精進。若善男子。如來滅後。受持是經。若讀若	復 次 常 精 進 若 善 男 子 如來滅後 受 持 是 經 若 讀 若 
X31n0612_002:0643c06	誦。若解說若書寫。得千二百意功德。以是清淨意根。	誦 若 解 說 若 書 寫 得 千 二 百 意 功 德 以 是 清 淨 意 根 
X31n0612_002:0643c07	乃至聞一偈一句。通達無量無邊之義。	乃 至 聞 一 偈 一 句 通 達 無量無邊 之 義 
X31n0612_002:0643c08	(戒環曰。聞一句。而達無量義。盖無量義。不出一句)。	 戒 環 曰 聞 一 句 而 達 無 量 義 盖 無 量 義 不 出 一 句 
X31n0612_002:0643c09	解是義已。能演說一句一偈。至於一月四月。乃至一	解 是 義 已 能 演 說 一 句 一 偈 至 於 一 月 四 月 乃 至 一 
X31n0612_002:0643c10	歲。諸所說法。隨其義趣。皆與實相。不相違背。若說俗	歲 諸 所 說 法 隨 其 義 趣 皆 與 實 相 不 相 違 背 若 說 俗 
X31n0612_002:0643c11	間經書治世語言資生業等。皆順正法。	間 經 書 治 世 語 言 資 生 業 等 皆 順 正 法 
X31n0612_002:0643c12	(及南曰。或一月一際一歲。而演一句偈。用意根精了。	 及 南 曰 或 一 月 一 際 一 歲 而 演 一 句 偈 用 意 根 精 了 
X31n0612_002:0643c13	達無量義也)。	達 無 量 義 也 
X31n0612_002:0643c14	戒環曰。九旬談妙。盖得諸此。西天歲分三際。謂雨	戒 環 曰 九 旬 談 妙 盖 得 諸 此 西 天 歲 分 三 際 謂 雨 
X31n0612_002:0643c15	際熱際寒際。四月即一際也。證意實相。則諸所說	際 熱 際 寒 際 四 月 即 一 際 也 證 意 實 相 則 諸 所 說 
