T85n2768_001:0329a03	維摩義記	維 摩 義 記 
T85n2768_001:0335b23	證。有得是著。永上所說。答。有為是可得。無	證 有 得 是 著 永 上 所 說 答 有 為 是 可 得 無 
T85n2768_001:0335b24	為果可證。得證在心。觸事斯滯。即增上慢能	為 果 可 證 得 證 在 心 觸 事 斯 滯 即 增 上 慢 能 
T85n2768_001:0335b25	作無得證之解。所習必勝。於三乘中志求何	作 無 得 證 之 解 所 習 必 勝 於 三 乘 中 志 求 何 
T85n2768_001:0335b26	乘。有求存勝。亦求所說。以小乘法化眾生故。	乘 有 求 存 勝 亦 求 所 說 以 小 乘 法 化 眾 生 故 
T85n2768_001:0335b27	求聲聞乘。乃至以大悲化眾生故。我為大乘	求 聲 聞 乘 乃 至 以 大 悲 化 眾 生 故 我 為 大 乘 
T85n2768_001:0335b28	為物故求。實自無求無乘也。乘無存勝之心。	為 物 故 求 實 自 無 求 無 乘 也 乘 無 存 勝 之 心 
T85n2768_001:0335b29	如人入瞻蔔林以下。雖無著於勝求。大乘理	如 人 入 瞻 蔔 林 以 下 雖 無 著 於 勝 求 大 乘 理 
T85n2768_001:0335c01	中亦勝勸一切眾生。宜應修習故加嘆。大乘	中 亦 勝 勸 一 切 眾 生 宜 應 修 習 故 加 嘆 大 乘 
T85n2768_001:0335c02	理無二乘故。但聞佛功德之香。止逕十二年	理 無 二 乘 故 但 聞 佛 功 德 之 香 止 逕 十 二 年 
T85n2768_001:0335c03	順。答。身子言。有此妙德。何以不轉女身。似	順 答 身 子 言 有 此 妙 德 何 以 不 轉 女 身 似 
T85n2768_001:0335c04	若形不免累。天曰。受此一化以來不見女像	若 形 不 免 累 天 曰 受 此 一 化 以 來 不 見 女 像 
T85n2768_001:0335c05	定性。何所轉也。自化人無實以喻女人無實。	定 性 何 所 轉 也 自 化 人 無 實 以 喻 女 人 無 實 
T85n2768_001:0335c06	萬法亦然。轉身子形。欲令受解。天自改質。證	萬 法 亦 然 轉 身 子 形 欲 令 受 解 天 自 改 質 證 
T85n2768_001:0335c07	其無性。問。何不轉女身者。頗有定女可轉作	其 無 性 問 何 不 轉 女 身 者 頗 有 定 女 可 轉 作 
T85n2768_001:0335c08	不方悟之也。若性是定。不應可轉。轉為女形。	不 方 悟 之 也 若 性 是 定 不 應 可 轉 轉 為 女 形 
T85n2768_001:0335c09	應以無性故變。疑於二邊故言不知何轉變	應 以 無 性 故 變 疑 於 二 邊 故 言 不 知 何 轉 變 
T85n2768_001:0335c10	為女身。天答。無其定性可轉。故言女定性可	為 女 身 天 答 無 其 定 性 可 轉 故 言 女 定 性 可 
T85n2768_001:0335c11	轉。一切女人亦應有定性可轉。如舍利弗無	轉 一 切 女 人 亦 應 有 定 性 可 轉 如 舍 利 弗 無 
T85n2768_001:0335c12	性故可轉。一切女人及萬法亦無性故可轉	性 故 可 轉 一 切 女 人 及 萬 法 亦 無 性 故 可 轉 
T85n2768_001:0335c13	哉。佛說一切諸法非男女定性故定。女身色	哉 佛 說 一切諸法 非 男 女 定 性 故 定 女 身 色 
T85n2768_001:0335c14	相今何所在者。反問身子令解。答。今是男形	相 今 何 所 在 者 反 問 身 子 令 解 答 今 是 男 形 
T85n2768_001:0335c15	無向女形。女身相空。空亦空。故言不在。述其	無 向 女 形 女 身 相 空 空 亦 空 故 言 不 在 述 其 
T85n2768_001:0335c16	所解以當理。故引萬法亦無在無不在。佛所	所 解 以 當 理 故 引 萬 法 亦 無 在 無 不 在 佛 所 
T85n2768_001:0335c17	說猶是作難。既有如此妙德。生處必妙。故問	說 猶 是 作 難 既 有 如 此 妙 德 生 處 必 妙 故 問 
T85n2768_001:0335c18	當生何處。引化答之。化雖生而非生。如化之	當 生 何 處 引 化 答 之 化 雖 生 而 非 生 如 化 之 
T85n2768_001:0335c19	不生。我亦不生。眾生同我亦無實生。引高則	不 生 我 亦 不 生 眾 生 同 我 亦 無 實 生 引 高 則 
T85n2768_001:0335c20	大乘可階。故問之如得菩提。汝還為凡夫。吾	大 乘 可 階 故 問 之 如 得 菩 提 汝 還 為 凡 夫 吾 
T85n2768_001:0335c21	實得菩提。復問。若無實得菩提。今諸佛得菩	實 得 菩 提 復 問 若 無 實 得 菩 提 今 諸 佛 得 菩 
T85n2768_001:0335c22	提已得當得。此言何號。答。皆是世俗文字數	提 已 得 當 得 此 言 何 號 答 皆 是 世 俗 文 字 數 
T85n2768_001:0335c23	故假名為得。無實得者。同汝之無得。何以知。	故 假 名 為 得 無 實 得 者 同 汝 之 無 得 何 以 知 
T85n2768_001:0335c24	前文言菩提無住處無法可得無有得者無人	前 文 言 菩 提 無 住 處 無 法 可 得 無 有 得 者 無 人 
T85n2768_001:0335c25	能得。故知無實得者。維摩彰其遠德。令身子	能 得 故 知 無 實 得 者 維 摩 彰 其 遠 德 令 身 子 
T85n2768_001:0335c26	止論亦有心欣仰了。	止 論 亦 有 心 欣 仰 了 
T85n2768_001:0335c27	佛道品	佛 道 品 
T85n2768_001:0335c28	文殊菩薩處生死化物。善惡斯涉煩修。可知	文 殊 菩 薩 處 生 死 化 物 善 惡 斯 涉 煩 修 可 知 
T85n2768_001:0335c29	在惡事返。故問。云何得通達佛道。維摩答。	在 惡 事 返 故 問 云 何 得 通 達 佛 道 維 摩 答 
T85n2768_001:0336a01	同事為惡。行於非道。內無塵染。導之以正。即	同 事 為 惡 行 於 非 道 內 無 塵 染 導 之 以 正 即 
T85n2768_001:0336a02	名通達佛道。問。同塵便應有染。云何行於非	名 通 達 佛 道 問 同 塵 便 應 有 染 云 何 行 於 非 
T85n2768_001:0336a03	道而無其惡。答。惡從心生不在事理。雖同無	道 而 無 其 惡 答 惡 從 心 生 不 在 事 理 雖 同 無 
T85n2768_001:0336a04	間內無惱恚之心。所以不同塵染。化物故生	間 內 無 惱 恚 之 心 所 以 不 同 塵 染 化 物 故 生 
T85n2768_001:0336a05	三趣。非重所招。現修色無色善業。軌物故行。	三 趣 非 重 所 招 現 修 色 無 色 善 業 軌 物 故 行 
T85n2768_001:0336a06	不以勝故修行。現行三毒而內備三德。示行	不 以 勝 故 修 行 現 行 三 毒 而 內 備 三 德 示 行 
T85n2768_001:0336a07	六弊而內明六波羅蜜。從示現諂偽。說大悲	六 弊 而 內 明 六波羅蜜 從 示 現 諂 偽 說 大 悲 
T85n2768_001:0336a08	教化示行邪法。小乘於大乘絕分亦名為邪。	教 化 示 行 邪 法 小 乘 於 大 乘 絕 分 亦 名 為 邪 
T85n2768_001:0336a09	從示入貧窮以下。示同善惡二果。實所不為	從 示 入 貧 窮 以 下 示 同 善 惡 二 果 實 所 不 為 
T85n2768_001:0336a10	邪濟。應是說邪涅槃而已。佛說涅槃以化眾	邪 濟 應 是 說 邪 涅 槃 而 已 佛 說 涅 槃 以 化 眾 
T85n2768_001:0336a11	生。上明無能通達佛道。要由善惡俱涉。化善	生 上 明 無 能 通 達 佛 道 要 由 善 惡 俱 涉 化 善 
T85n2768_001:0336a12	眾生令修大乘能生妙果。是如來種。若與同	眾 生 令 修 大 乘 能 生 妙 果 是 如 來 種 若 與 同 
T85n2768_001:0336a13	彼。即是行於非道而通達佛道者。種種別名。	彼 即 是 行 於 非 道 而 通 達 佛 道 者 種 種 別 名 
T85n2768_001:0336a14	今問。五逆十惡邪見之人昔來無善。以何等	今 問 五 逆 十 惡 邪 見 之 人 昔 來 無 善 以 何 等 
T85n2768_001:0336a15	為如來種。文殊答。有身為種者。即以身見為	為 如 來 種 文 殊 答 有 身 為 種 者 即 以 身 見 為 
T85n2768_001:0336a16	種乃至六十二見一切煩惱皆是佛種。凡言	種 乃 至 六 十 二 見 一切煩惱 皆 是 佛 種 凡 言 
T85n2768_001:0336a17	種子。要種體壞其果方生。要壞煩惱大乘之	種 子 要 種 體 壞 其 果 方 生 要 壞 煩 惱 大 乘 之 
T85n2768_001:0336a18	心得生佛種。緣中說種故名煩惱。諸見為種	心 得 生 佛 種 緣 中 說 種 故 名 煩 惱 諸 見 為 種 
T85n2768_001:0336a19	何謂也。疑其重惑心。後何由能發大乘心通	何 謂 也 疑 其 重 惑 心 後 何 由 能 發大乘心 通 
T85n2768_001:0336a20	疑。二乘是出世善。何由不發義解。煩惱既重。	疑 二 乘 是 出 世 善 何 由 不 發 義 解 煩 惱 既 重 
T85n2768_001:0336a21	遭彌劫之苦。欣樂情深背苦餘甚。聞談大乘	遭 彌 劫 之 苦 欣 樂 情 深 背 苦 餘 甚 聞 談 大 乘 
T85n2768_001:0336a22	得至極之樂。即便發心願獲斯果。二乘麁惑	得 至 極 之 樂 即 便 發 心 願 獲 斯 果 二 乘 麁 惑 
T85n2768_001:0336a23	永亡。三界苦盡寂滅。自安不能發方外之心。	永 亡 三 界 苦 盡 寂 滅 自 安 不 能 發 方 外 之 心 
T85n2768_001:0336a24	若見無為空理入小乘位者。不能發菩提心	若 見 無 為 空 理 入 小 乘 位 者 不 能 發菩提心 
T85n2768_001:0336a25	下。三譬。初二與凡夫作喻。後一與二乘作喻。	下 三 譬 初 二 與 凡 夫 作 喻 後 一 與 二 乘 作 喻 
T85n2768_001:0336a26	高原不生蓮花卑漯淤埿乃生此花。二乘見	高 原 不 生 蓮 花 卑 漯 淤 埿 乃 生 此 花 二 乘 見 
T85n2768_001:0336a27	第一義空入小乘正位者。畢竟不能發心。至	第一義空 入 小 乘 正 位 者 畢 竟 不 能 發 心 至 
T85n2768_001:0336a28	欲形取凡夫。煩惱埿中能生大乘心花。又如	欲 形 取 凡 夫 煩 惱 埿 中 能 生 大 乘 心 花 又 如 
T85n2768_001:0336a29	殖種於空終不得生糞壞之地乃能茲茂。入	殖 種 於 空 終 不 得 生 糞 壞 之 地 乃 能 茲 茂 入 
T85n2768_001:0336b01	無為空理證小乘正位者。不生大乘佛法。凡	無 為 空 理 證 小 乘 正 位 者 不 生 大 乘 佛 法 凡 
T85n2768_001:0336b02	夫起我見如須彌猶發心名佛法矣。是二乘	夫 起 我 見 如 須 彌 猶 發 心 名 佛 法 矣 是 二 乘 
T85n2768_001:0336b03	不發。凡夫能發。故一切煩惱為如來種。不下	不 發 凡 夫 能 發 故 一切煩惱 為 如 來 種 不 下 
T85n2768_001:0336b04	巨海不能得無價寶。二乘不能發菩提心故。	巨 海 不 能 得 無 價 寶 二 乘 不 能 發菩提心 故 
T85n2768_001:0336b05	不能得如來大果之寶。故迦葉致嘆。善哉快	不 能 得 如 來 大 果 之 寶 故 迦 葉 致 嘆 善 哉 快 
T85n2768_001:0336b06	說斯語所如實如所言。煩惱及業惡中之尤	說 斯 語 所 如 實 如 所 言 煩 惱 及 業 惡 中 之 尤 
T85n2768_001:0336b07	為如來種。而我聲聞不任發心。根敗之士。絕	為 如 來 種 而 我 聲 聞 不 任 發 心 根 敗 之 士 絕 
T85n2768_001:0336b08	於五欲。我等亦爾。文殊師利凡夫常有反復	於 五 欲 我 等 亦 爾 文 殊 師 利 凡 夫 常 有 反 復 
T85n2768_001:0336b09	而聲聞無也。所以知凡夫有反復聲聞無者	而 聲 聞 無 也 所 以 知 凡 夫 有 反 復 聲 聞 無 者 
T85n2768_001:0336b10	何。廣劫以來逕涉生死無不值聖說法。曾發	何 廣 劫 以 來 逕 涉 生 死 無 不 值 聖 說 法 曾 發 
T85n2768_001:0336b11	大乘菩提之心。但中間忘本所習。今遇發心	大 乘 菩提之心 但 中 間 忘 本 所 習 今 遇 發 心 
T85n2768_001:0336b12	還順大乘。故言反復。聲聞得出世。於大乘絕	還 順 大 乘 故 言 反 復 聲 聞 得 出 世 於 大 乘 絕 
T85n2768_001:0336b13	分。不歸本習。故言無反復也。普現色身問居	分 不 歸 本 習 故 言 無 反 復 也 普 現 色 身 問 居 
T85n2768_001:0336b14	士。室內無父母妻子乃至童僕。故由上空室	士 室 內 無 父 母 妻 子 乃 至 童 僕 故 由 上 空 室 
T85n2768_001:0336b15	而有象馬等因問。廣及說偈。智度為母方便	而 有 象 馬 等 因 問 廣 及 說 偈 智 度 為 母 方 便 
T85n2768_001:0336b16	等為父。何以名此二惠為父母。三世導師皆	等 為 父 何 以 名 此 二 惠 為 父 母 三 世 導 師 皆 
T85n2768_001:0336b17	從二惠生。一切種智得為父母之義。喜心順	從 二 惠 生 一切種智 得 為 父 母 之 義 喜 心 順 
T85n2768_001:0336b18	己若妻。慈悲外向為女。善心幹正為男。心安	己 若 妻 慈 悲 外 向 為 女 善 心 幹 正 為 男 心 安 
T85n2768_001:0336b19	寂滅理為舍。塵勞眾生從己為轉名弟子。智	寂 滅 理 為 舍 塵 勞 眾 生 從 己 為 轉 名 弟 子 智 
T85n2768_001:0336b20	識成人由道品成佛六度行俱為侶。四攝人	識 成 人 由 道 品 成 佛 六 度 行 俱 為 侶 四 攝 人 
T85n2768_001:0336b21	為伎。頌法音為歌詠。都是所問事。總持以下	為 伎 頌 法 音 為 歌 詠 都 是 所 問 事 總 持 以 下 
T85n2768_001:0336b22	訖勝幡建道場。多是所不同事。雖知無起滅	訖 勝 幡 建 道 場 多 是 所 不 同 事 雖 知 無 起 滅 
T85n2768_001:0336b23	以下廣上方便惠。非不有空智。意在成方便	以 下 廣 上 方 便 惠 非 不 有 空 智 意 在 成 方 便 
T85n2768_001:0336b24	惠也。	惠 也 
T85n2768_001:0336b25	入不二法門品	入 不二法門 品 
T85n2768_001:0336b26	此品廣上實知不二是第一義。空理能通十	此 品 廣 上 實 知 不 二 是 第 一 義 空 理 能 通 十 
T85n2768_001:0336b27	地行到寂滅菩提故名不二法門。亦可。以生	地 行 到 寂 滅 菩 提 故 名 不二法門 亦 可 以 生 
T85n2768_001:0336b28	滅等法為入不二法門。又明甚深之理。自非	滅 等 法 為 入 不二法門 又 明 甚 深 之 理 自 非 
T85n2768_001:0336b29	詳辨無以得顯。欲令隨緣說之。生滅二性解	詳 辨 無 以 得 顯 欲 令 隨 緣 說 之 生 滅 二 性 解 
T85n2768_001:0336c01	生滅無決定性。得無生法忍。是為入不二法	生 滅 無 決 定 性 得無生法忍 是 為 入 不 二 法 
T85n2768_001:0336c02	門。入者解也。但執情不聞所明理。一德首所	門 入 者 解 也 但 執 情 不 聞 所 明 理 一 德 首 所 
T85n2768_001:0336c03	計。妙主常我身及萬法我所。我既無性。其所	計 妙 主 常 我 身 及 萬 法 我 所 我 既 無 性 其 所 
T85n2768_001:0336c04	安在。受不受者。取相不取相。亦如毘曇受心	安 在 受 不 受 者 取 相 不 取 相 亦 如 毘 曇 受 心 
T85n2768_001:0336c05	不受心。無取無捨者。無取捨之定性。無作者	不 受 心 無 取 無 捨 者 無 取 捨 之 定 性 無 作 者 
T85n2768_001:0336c06	無受起作之性。無行無受心之行。若悟法本	無 受 起 作 之 性 無 行 無 受 心 之 行 若 悟 法 本 
T85n2768_001:0336c07	空二俱無性無得無行。是為入不二法門。德	空 二 俱 無 性 無 得 無 行 是 為 入 不二法門 德 
T85n2768_001:0336c08	頂計。垢淨為二者。有為穢等為垢。穢滅事盡。	頂 計 垢 淨 為 二 者 有 為 穢 等 為 垢 穢 滅 事 盡 
T85n2768_001:0336c09	名盡為淨。垢性既無。淨性安在。一順於不二	名 盡 為 淨 垢 性 既 無 淨 性 安 在 一 順 於 不 二 
T85n2768_001:0336c10	之滅。是為入不二法門。動念為二者。惑心微	之 滅 是 為 入 不二法門 動 念 為 二 者 惑 心 微 
T85n2768_001:0336c11	起名動。是識陰想染著名念。是想陰為二。無	起 名 動 是 識 陰 想 染 著 名 念 是 想 陰 為 二 無 
T85n2768_001:0336c12	動無識。在於根無念。無一相念。假名法無分	動 無 識 在 於 根 無 念 無 一 相 念 假 名 法 無 分 
T85n2768_001:0336c13	別者。無識想分別假實之法。解二性空。即入	別 者 無 識 想 分 別 假 實 之 法 解 二 性 空 即 入 
T85n2768_001:0336c14	不二法門。計一相是有無相為無。或者聞一	不二法門 計 一 相 是 有 無 相 為 無 或 者 聞 一 
T85n2768_001:0336c15	取一空相。聞無則著無相。故為二也。二俱無	取 一 空 相 聞 無 則 著 無 相 故 為 二 也 二 俱 無 
T85n2768_001:0336c16	性故言一相即無相。計罪福果為二。罪果名	性 故 言 一 相 即 無 相 計 罪 福 果 為 二 罪 果 名 
T85n2768_001:0336c17	縛。福果名解。計。世間三界是有漏也。出世間	縛 福 果 名 解 計 世 間 三 界 是 有 漏 也 出 世 間 
T85n2768_001:0336c18	是無漏法也。出本由於入生死。無生死之入	是 無 漏 法 也 出 本 由 於 入 生 死 無 生 死 之 入 
T85n2768_001:0336c19	故無出也。潘胡本名流亦名聚。生死流聚之	故 無 出 也 潘 胡 本 名 流 亦 名 聚 生 死 流 聚 之 
T85n2768_001:0336c20	法。亦無無漏能散滅之法。計。生死涅槃果為	法 亦 無 無 漏 能 散 滅 之 法 計 生死涅槃 果 為 
T85n2768_001:0336c21	二。縛與解生死之別名。滅與解脫涅槃之異	二 縛 與 解 生 死 之 別 名 滅 與 解 脫 涅 槃 之 異 
T85n2768_001:0336c22	稱。此二無性故空計盡不盡為二者。解云有	稱 此 二 無 性 故 空 計 盡 不 盡 為 二 者 解 云 有 
T85n2768_001:0336c23	為。空有法名盡。實相空法湛然不盡。以盡為	為 空 有 法 名 盡 實 相 空 法 湛 然 不 盡 以 盡 為 
T85n2768_001:0336c24	盡相。不盡為不盡相。是為二。若悟盡不盡俱	盡 相 不 盡 為 不 盡 相 是 為 二 若 悟 盡 不 盡 俱 
T85n2768_001:0336c25	盡。即不二法門。萬善所持眾聖所護名著守。	盡 即 不二法門 萬 善 所 持 眾 聖 所 護 名 著 守 
T85n2768_001:0336c26	妄見有我。解則無我。非別有無我法。我本無	妄 見 有 我 解 則 無 我 非 別 有 無 我 法 我 本 無 
T85n2768_001:0336c27	決定性。豈況有我無我法也。計。無明癡明解	決 定 性 豈 況 有 我 無 我 法 也 計 無 明 癡 明 解 
T85n2768_001:0336c28	為二。無明性空。與明不異。空平等中不見明	為 二 無 明 性 空 與 明 不 異 空 平 等 中 不 見 明 
T85n2768_001:0336c29	可取。取捨兩亡是名不二之謂也。計。色空為	可 取 取 捨 兩 亡 是 名 不 二 之 謂 也 計 色 空 為 
T85n2768_001:0337a01	二。色即空。不待色滅然後復空。見色異空者	二 色 即 空 不 待 色 滅 然 後 復 空 見 色 異 空 者 
T85n2768_001:0337a02	為二。計。佛法中四大對外道中五大為二。作	為 二 計 佛 法 中 四 大 對 外 道 中 五 大 為 二 作 
T85n2768_001:0337a03	中最勝名大。所以但言空種明種類。有此五	中 最 勝 名 大 所 以 但 言 空 種 明 種 類 有 此 五 
T85n2768_001:0337a04	眾生之所由生名種。三際中求其二性不可	眾 生 之 所 由 生 名 種 三 際 中 求 其 二 性 不 可 
T85n2768_001:0337a05	得。即入不法門。計。眼色為二。解眼性空。亦	得 即 入 不 法 門 計 眼 色 為 二 解 眼 性 空 亦 
T85n2768_001:0337a06	知色無定性。若悟六情空。六塵亦空。三毒亦	知 色 無 定 性 若 悟 六 情 空 六 塵 亦 空 三 毒 亦 
T85n2768_001:0337a07	無計。布施心迴此布施向佛之心為二。遍對	無 計 布 施 心 迴 此 布 施 向 佛 之 心 為 二 遍 對 
T85n2768_001:0337a08	六度皆二。計。三空性對相對為二。其三性空	六 度 皆 二 計 三 空 性 對 相 對 為 二 其 三 性 空 
T85n2768_001:0337a09	即一解脫。俱是無緣名一解脫。亦無能緣之	即 一 解 脫 俱 是 無 緣 名 一 解 脫 亦 無 能 緣 之 
T85n2768_001:0337a10	識言。計三寶。解云無相真知佛寶也。實相	識 言 計 三 寶 解 云 無 相 真 知 佛 寶 也 實 相 
T85n2768_001:0337a11	法為法寶也。修無為道為僧寶者。品相雖	法 為 法 寶 也 修 無 為 道 為 僧 寶 者 品 相 雖 
T85n2768_001:0337a12	異皆無為相也。計。身滅為二。身是五受陰。	異 皆 無 為 相 也 計 身 滅 為 二 身 是 五 受 陰 
T85n2768_001:0337a13	滅身是涅槃。又云。身生時空。身滅時空。存	滅 身 是 涅 槃 又 云 身 生 時 空 身 滅 時 空 存 
T85n2768_001:0337a14	亡無性。何所擢也。計。三業異空異為二。其	亡 無 性 何 所 擢 也 計 三 業 異 空 異 為 二 其 
T85n2768_001:0337a15	三雖殊無作一也。諸法之主本於三業。三業	三 雖 殊 無 作 一 也 諸 法 之 主 本 於 三 業 三 業 
T85n2768_001:0337a16	既無。誰作諸法。計三行業。欲界善業能得	既 無 誰 作 諸 法 計 三 行 業 欲 界 善 業 能 得 
T85n2768_001:0337a17	樂果。行十不善道能得苦歟。色無色界行	樂 果 行 十 不 善 道 能 得 苦 歟 色無色界 行 
T85n2768_001:0337a18	名不動行。計。我有所起為二。因有我故有彼	名 不 動 行 計 我 有 所 起 為 二 因 有 我 故 有 彼 
T85n2768_001:0337a19	法。見我實性不可得。我之所作所識所起無	法 見 我 實 性 不 可 得 我 之 所 作 所 識 所 起 無 
T85n2768_001:0337a20	由而生。計。有能得是我所得相是法為二。今	由 而 生 計 有 能 得 是 我 所 得 相 是 法 為 二 今 
T85n2768_001:0337a21	明無我得於相誰取誰捨。計。晝夜為二。今明	明 無 我 得 於 相 誰 取 誰 捨 計 晝 夜 為 二 今 明 
T85n2768_001:0337a22	解晝夜性空。如二乘入滅定六根都癡。雖逕	解 晝 夜 性 空 如 二 乘 入 滅 定 六 根 都 癡 雖 逕 
T85n2768_001:0337a23	晝夜不竟晦明之異。計。樂涅槃心不樂世間	晝 夜 不 竟 晦 明 之 異 計 樂 涅 槃 心 不 樂 世 間 
T85n2768_001:0337a24	心為二。世間是縛。涅槃是解。世間性空故	心 為 二 世 間 是 縛 涅 槃 是 解 世 間 性 空 故 
T85n2768_001:0337a25	無縛。何所厭。涅槃空故無解。何所樂。明	無 縛 何 所 厭 涅 槃 空 故 無 解 何 所 樂 明 
T85n2768_001:0337a26	知樂厭之心亦空。計。真諦是實世諦不實為	知 樂 厭 之 心 亦 空 計 真 諦 是 實 世 諦 不 實 為 
T85n2768_001:0337a27	二。實見即是見實者言見實諦。正以無為見	二 實 見 即 是 見 實 者 言 見 實 諦 正 以 無 為 見 
T85n2768_001:0337a28	尚無見實之心。何況非實法中有可見之性。	尚 無 見 實 之 心 何 況 非 實 法 中 有 可 見 之 性 
T85n2768_001:0337a29	所以是實見而云不見者何。亦得言。所以不	所 以 是 實 見 而 云 不 見 者 何 亦 得 言 所 以 不 
T85n2768_001:0337b01	見此非實法者何。無明實性是惠眼之境。非	見 此 非 實 法 者 何 無 明 實 性 是 惠 眼 之 境 非 
T85n2768_001:0337b02	肉眼所見。明惠照無為見故。雖見而不存見。	肉 眼 所 見 明 惠 照 無 為 見 故 雖 見 而 不 存 見 
T85n2768_001:0337b03	故言惠眼不見不實之境名不見。無此不實	故 言 惠 眼 不 見 不 實 之 境 名 不 見 無 此 不 實 
T85n2768_001:0337b04	之性可得。故言無不見。文殊言。無言無辨無	之 性 可 得 故 言 無 不 見 文 殊 言 無 言 無 辨 無 
T85n2768_001:0337b05	說無示無異相說善不善。又云。上諸人所得	說 無 示 無 異 相 說 善 不 善 又 云 上 諸 人 所 得 
T85n2768_001:0337b06	雖同而所因異。且宣明法相不明無言。今文	雖 同 而 所 因 異 且 宣 明 法 相 不 明 無 言 今 文 
T85n2768_001:0337b07	殊總眾家以開二法之門。宣言法相不惜言	殊 總 眾 家 以 開 二 法 之 門 宣 言 法 相 不 惜 言 
T85n2768_001:0337b08	於法。斯之為言宣也。方之靜默踰亦有焉。維	於 法 斯 之 為 言 宣 也 方 之 靜 默 踰 亦 有 焉 維 
T85n2768_001:0337b09	摩默然真會其宗矣。有言於無言未若無言	摩 默 然 真 會 其 宗 矣 有 言 於 無 言 未 若 無 言 
T85n2768_001:0337b10	矣。上諸菩薩唱於法相。文殊言宣。淨名無	矣 上 諸 菩 薩 唱 於 法 相 文 殊 言 宣 淨 名 無 
T85n2768_001:0337b11	言。此三明宗雖同精麁有異。是以後於無言	言 此 三 明 宗 雖 同 精 麁 有 異 是 以 後 於 無 言 
T85n2768_001:0337b12	也。	也 
T85n2768_001:0337b13	香積佛品	香 積 佛 品 
T85n2768_001:0337b14	此品因香飯明道。上明其空。今明其有也。亦	此 品 因 香 飯 明 道 上 明 其 空 今 明 其 有 也 亦 
T85n2768_001:0337b15	由空室中生。上方菩薩問香積佛。凡有三。一	由 空 室 中 生 上 方 菩 薩 問 香 積 佛 凡 有 三 一 
T85n2768_001:0337b16	問。從何人邊來。第二問。娑婆世界為在何許。	問 從 何 人 邊 來 第 二 問 娑婆世界 為 在 何 許 
T85n2768_001:0337b17	第三問。云何名作樂小法者。下一一答三問。	第 三 問 云 何 名 作 樂小法者 下 一 一 答 三 問 
T85n2768_001:0337b18	也。從剛強至結戒切勵凡夫愚人示其十惡	也 從 剛 強 至 結 戒 切 勵 凡 夫 愚 人 示 其 十 惡 
T85n2768_001:0337b19	教滿十善。結戒以下多明學二乘人。隨事而	教 滿 十 善 結 戒 以 下 多 明 學 二 乘 人 隨 事 而 
T85n2768_001:0337b20	制名結戒。制已故作者是犯戒。應奉行不應	制 名 結 戒 制 已 故 作 者 是 犯 戒 應 奉 行 不 應 
T85n2768_001:0337b21	違。至故作故。犯則障道名礙。持則是得聖之	違 至 故 作 故 犯 則 障 道 名 礙 持 則 是 得 聖 之 
T85n2768_001:0337b22	因名不礙。犯重墮惡名罪果。得道品及涅槃	因 名 不 礙 犯 重 墮 惡 名 罪 果 得 道 品 及 涅 槃 
T85n2768_001:0337b23	是福果。故言離罪。不犯行善此善是淨。犯而	是 福 果 故 言 離 罪 不 犯 行 善 此 善 是 淨 犯 而 
T85n2768_001:0337b24	行善名垢。善能修何等勝行。行無創疣得生	行 善 名 垢 善 能 修 何 等 勝 行 行 無 創 疣 得 生 
T85n2768_001:0337b25	淨土。維摩言。八行成就無創疣得生淨土。從	淨 土 維 摩 言 八 行 成 就 無 創 疣 得 生 淨 土 從 
T85n2768_001:0337b26	饒益以下第一明代苦義。第二從等心以下	饒 益 以 下 第 一 明 代 苦 義 第 二 從 等 心 以 下 
T85n2768_001:0337b27	明奉上接下。第三明解理不遍聞經不疑。第	明 奉 上 接 下 第 三 明 解 理 不 遍 聞 經 不 疑 第 
T85n2768_001:0337b28	四解人不遍不與小乘違背。第五不嫉。第六	四 解 人 不 遍 不 與 小 乘 違 背 第 五 不 嫉 第 六 
T85n2768_001:0337b29	不高。第七常省。第八不訟也。	不 高 第 七 常 省 第 八 不 訟 也 
T85n2768_001:0337c01	菩薩行品	菩 薩 行 品 
T85n2768_001:0337c02	辨菩薩行即以為品。凡有六段。第一從初至	辨 菩 薩 行 即 以 為 品 凡 有 六 段 第 一 從 初 至 
T85n2768_001:0337c03	非度所惻。明大士知時現無病之。狀運以神	非 度 所 惻 明 大 士 知 時 現 無 病 之 狀 運 以 神 
T85n2768_001:0337c04	通之車到於佛所欲令群生取悟於大聖。第二	通 之 車 到 於 佛 所 欲 令 群 生 取 悟 於 大 聖 第 二 
T85n2768_001:0337c05	從白佛以下至能作佛事。明香有利益以香	從 白 佛 以 下 至 能 作 佛 事 明 香 有 利 益 以 香 
T85n2768_001:0337c06	為緣得作佛事。七日然後消者。明眾生感道	為 緣 得 作 佛 事 七 日 然 後 消 者 明 眾 生 感 道 
T85n2768_001:0337c07	緣足然後消也。就小乘益中文外應有一句。	緣 足 然 後 消 也 就 小 乘 益 中 文 外 應 有 一 句 
T85n2768_001:0337c08	外凡夫食之。入內凡夫然後乃消。就中言。未	外 凡 夫 食 之 入 內 凡 夫 然 後 乃 消 就 中 言 未 
T85n2768_001:0337c09	入正位以久習小乘性成食飯。乃得入正位	入 正 位 以 久 習 小 乘 性 成 食 飯 乃 得 入 正 位 
T85n2768_001:0337c10	之益。始發大乘之心未入性地食之。得發大	之 益 始 發 大 乘 之 心 未 入 性 地 食 之 得 發 大 
