X25n0506_001:0858b11	 金剛般若波羅蜜經注	 金 剛 般若波羅蜜經 注 
X25n0506_002:0865a18	因上文云莫說諸法斷滅。恐人執有以為法。故	因 上 文 云 莫 說 諸 法 斷 滅 恐 人 執 有 以 為 法 故 
X25n0506_002:0865a19	歸之於無我。而極言無我之功德。然功德非福	歸 之 於 無 我 而 極 言 無 我 之 功 德 然 功 德 非 福 
X25n0506_002:0865a20	德也。恐人以福德為功德。而有所貪著。即非無	德 也 恐 人 以 福 德 為 功 德 而 有 所 貪 著 即 非 無 
X25n0506_002:0865a21	我之義矣。故又以不受福德申明之。以是知諸	我 之 義 矣 故 又 以 不 受 福 德 申 明 之 以 是 知 諸 
X25n0506_002:0865a22	言福德者。失佛旨也。	言 福 德 者 失 佛 旨 也 
X25n0506_002:0865a23	須菩提。若有人言。如來若來若去。若坐若臥。是人不	須 菩 提 若 有 人 言 如 來 若 來 若 去 若 坐 若 臥 是 人 不 
X25n0506_002:0865a24	解我所說義。何以故。如來者。無所從來。(無實)亦無所去。	解 我 所 說 義 何 以 故 如 來 者 無所從來 無 實 亦 無 所 去 
X25n0506_002:0865b01	(無虗)故名如來。須菩提。若善男子善女人。以三千大千	 無 虗 故 名 如 來 須 菩 提 若 善 男 子 善 女 人 以 三千大千 
X25n0506_002:0865b02	世界。碎為微塵。於意云何。是微塵眾。寧為多不。須菩	世 界 碎 為 微 塵 於意云何 是 微 塵 眾 寧 為 多 不 須 菩 
X25n0506_002:0865b03	提言。甚多世尊。何以故。若是微塵眾實有者。佛則不	提 言 甚 多 世 尊 何 以 故 若 是 微 塵 眾 實 有 者 佛 則 不 
X25n0506_002:0865b04	說是微塵眾。(實則虗矣。有則無矣)所以者何。佛說微塵眾。即非	說 是 微 塵 眾 實 則 虗 矣 有 則 無 矣 所以者何 佛 說 微 塵 眾 即 非 
X25n0506_002:0865b05	微塵眾。(合之即為世界)是名微塵眾。(散之即為微塵)世尊。如來所說。	微 塵 眾 合 之 即 為 世 界 是 名 微 塵 眾 散 之 即 為 微 塵 世 尊 如 來 所 說 
X25n0506_002:0865b06	三千大千世界。即非世界。(散之即為微塵)是名世界。(合之即為世界)	三千大千世界 即 非 世 界 散 之 即 為 微 塵 是 名 世 界 合 之 即 為 世 界 
X25n0506_002:0865b07	何以故。若世界實有者。則是一合相。(世界者微塵之積也。若以為實	何 以 故 若 世 界 實 有 者 則 是 一 合 相 世 界 者 微 塵 之 積 也 若 以 為 實 
X25n0506_002:0865b08	有。則非萬殊之虗體而有一合之實相矣)如來說一合相。即非一合相。(離之	有 則 非 萬 殊 之 虗 體 而 有 一 合 之 實 相 矣 如 來 說 一 合 相 即 非 一 合 相 離 之 
X25n0506_002:0865b09	則為萬)是名一合相。(合之則為一)須菩提。一合相者。則是不	則 為 萬 是 名 一 合 相 合 之 則 為 一 須 菩 提 一 合 相 者 則 是 不 
X25n0506_002:0865b10	可說。(離之則為萬。合之則為一。是此一合相者。示無實無虗也。而可說乎)但凡夫之人。	可 說 離 之 則 為 萬 合 之 則 為 一 是 此 一 合 相 者 示 無 實 無 虗 也 而 可 說 乎 但 凡 夫 之 人 
X25n0506_002:0865b11	貪著其事(以不住為住。即無此一合相矣)(右第十節)。	貪 著 其 事 以 不 住 為 住 即 無 此 一 合 相 矣 右 第 十 節 
X25n0506_002:0865b12	此承上文不應貪著而言。能不貪著。則自得無	此 承 上 文 不應貪著 而 言 能 不 貪 著 則 自 得 無 
X25n0506_002:0865b13	實無虗之妙矣。如來也。世界也。微塵眾也。皆非	實 無 虗 之 妙 矣 如 來 也 世 界 也 微 塵 眾 也 皆 非 
X25n0506_002:0865b14	實有者也。何所著。又何所貪乎。	實 有 者 也 何 所 著 又 何 所 貪 乎 
X25n0506_002:0865b15	須菩提。若人言。佛說我見人見眾生見壽者見。須菩	須 菩 提 若 人 言 佛 說 我 見 人 見 眾 生 見 壽 者 見 須 菩 
X25n0506_002:0865b16	提。於意云何。是人解我所說義不。不也世尊。是人不	提 於意云何 是 人 解 我 所 說 義 不 不 也 世 尊 是 人 不 
X25n0506_002:0865b17	解如來所說義。何以故。世尊說我見人見眾生見壽	解 如 來 所 說 義 何 以 故 世 尊 說 我 見 人 見 眾 生 見 壽 
X25n0506_002:0865b18	者見。即非我見人見眾生見壽者見。是名我見人見	者 見 即 非 我 見 人 見 眾 生 見 壽 者 見 是 名 我 見 人 見 
X25n0506_002:0865b19	眾生見壽者見。(變相言見者。自人觀之則為相。以我自觀則為見也。在菩薩則無我相人	眾 生 見 壽 者 見 變 相 言 見 者 自 人 觀 之 則 為 相 以 我 自 觀 則 為 見 也 在 菩 薩 則 無 我 相 人 
X25n0506_002:0865b20	相眾生相壽者相。已足為菩薩矣。若佛則非特無此相。乃至無此見。非特無此見。乃至無無此見。何以故。有我	相 眾 生 相 壽 者 相 已 足 為 菩 薩 矣 若 佛 則 非 特 無 此 相 乃 至 無 此 見 非 特 無 此 見 乃 至 無 無 此 見 何 以 故 有 我 
X25n0506_002:0865b21	人眾壽之見。固是有我見人見眾生見壽者見。即自以為無我人眾壽之見。亦是有我見人見眾生見壽者見。	人 眾 壽 之 見 固 是 有 我 見 人 見 眾 生 見 壽 者 見 即 自 以 為 無 我 人 眾 壽 之 見 亦 是 有 我 見 人 見 眾 生 見 壽 者 見 
X25n0506_002:0865b22	葢是者固是。非者亦是也。并此非者而無之。乃真無之盡矣。斯降伏之極功也。故下文曰。應如是知如是見如	葢 是 者 固 是 非 者 亦 是 也 并 此 非 者 而 無 之 乃 真 無 之 盡 矣 斯 降 伏 之 極 功 也 故 下 文 曰 應 如 是 知 如 是 見 如 
X25n0506_002:0865b23	是信解。蓋降伏之至。而得所住也)須菩提。發阿耨多羅三藐三菩提	是 信 解 蓋 降 伏 之 至 而 得 所 住 也 須 菩 提 發 阿耨多羅三藐三菩提 
X25n0506_002:0865b24	心者。於一切法。應如是知如是見如是信解不生法	心 者 於一切法 應 如 是 知 如 是 見 如 是 信 解 不 生 法 
X25n0506_002:0865c01	相。須菩提。所言法相者。如來說即非法相。是名法相	相 須 菩 提 所 言 法 相 者 如 來 說 即 非 法 相 是 名 法 相 
X25n0506_002:0865c02	(他人所謂法相者。法相也。如來所謂法相者。非法相也。如來非特法相不生。乃至非法之法。非相之相。而亦不	 他 人 所 謂 法 相 者 法 相 也 如 來 所 謂 法 相 者 非 法 相 也 如 來 非 特 法 相 不 生 乃 至 非 法 之 法 非 相 之 相 而 亦 不 
X25n0506_002:0865c03	生。斯真。不生法相矣)。	生 斯 真 不 生 法 相 矣 
X25n0506_002:0865c04	須菩提。若有人以滿無量阿僧祇世界七寶。持用	須 菩 提 若 有 人 以 滿 無量阿僧祇 世 界 七 寶 持 用 
X25n0506_002:0865c05	布施。若有善男子善女人。發菩提心者。持於此經。	布 施 若 有 善 男 子 善 女 人 發菩提心 者 持 於 此 經 
X25n0506_002:0865c06	乃至四句偈等。受持讀誦。為人演說。其福勝彼。云	乃 至 四 句 偈 等 受持讀誦 為 人 演 說 其 福 勝 彼 云 
X25n0506_002:0865c07	何為人演說。	何 為 人 演 說 
X25n0506_002:0865c08	不取於相。(上言不生法相。而此獨言不取於相者。蓋有我則有人。有我有人則有眾生壽者。有	不 取 於 相 上 言 不 生 法 相 而 此 獨 言 不 取 於 相 者 蓋 有 我 則 有 人 有 我 有 人 則 有 眾 生 壽 者 有 
X25n0506_002:0865c09	如是一切。則有如是一切法故。此經以無我人眾壽。始而以不取於相。終不取於相。而法不待言矣)如	如是一切 則 有 如是一切 法 故 此 經 以 無 我 人 眾 壽 始 而 以 不 取 於 相 終 不 取 於 相 而 法 不 待 言 矣 如 
X25n0506_002:0865c10	如不動。(如是知如是見如是信解。皆如也。然有所如則有相矣。如如非如也。而亦非不如也。此即	如 不 動 如 是 知 如 是 見 如 是 信 解 皆 如 也 然 有 所 如 則 有 相 矣 如 如 非 如 也 而 亦 非 不 如 也 此 即 
X25n0506_002:0865c11	無實無虗之妙旨也。故下如字。即住之謂也。上如字。即降伏之謂也。即住而即降伏之。乃真能住矣。此所以不	無 實 無 虗 之 妙 旨 也 故 下 如 字 即 住 之 謂 也 上 如 字 即 降 伏 之 謂 也 即 住 而 即 降 伏 之 乃 真 能 住 矣 此 所 以 不 
X25n0506_002:0865c12	動也)何以故。一切有為法。如夢幻泡影。如露亦如電。應	動 也 何 以 故 一 切 有 為 法 如 夢 幻 泡 影 如 露 亦 如 電 應 
X25n0506_002:0865c13	作如是觀。(經之大旨。在即住即降伏。上云。不取於相如如不動。總結全經。語簡而盡矣。一切有	作 如 是 觀 經 之 大 旨 在 即 住 即 降 伏 上 云 不 取 於 相 如 如 不 動 總 結 全 經 語 簡 而 盡 矣 一 切 有 
X25n0506_002:0865c14	為法四語。又作偈語以結之。經文之體例然也。世以此四語。為金剛經之精義。夫稍解佛法者。孰不知一空字。	為 法 四 語 又 作 偈 語 以 結 之 經 文 之 體 例 然 也 世 以 此 四 語 為 金 剛 經 之 精 義 夫 稍 解 佛 法 者 孰 不 知 一 空 字 
X25n0506_002:0865c15	乃以此四語。為無上甚深乎。耳食之論。非真見也)佛說是經已。長老須菩提。	乃 以 此 四 語 為 無 上 甚 深 乎 耳 食 之 論 非 真 見 也 佛 說 是 經 已 長 老 須 菩 提 
X25n0506_002:0865c16	及諸比邱。比邱尼。優婆塞。優婆夷。一切世間天人。阿	及 諸 比 邱 比 邱 尼 優 婆 塞 優 婆 夷 一切世間 天 人 阿 
X25n0506_002:0865c17	修羅。聞佛所說。皆大歡喜。信受奉行(右第十一節)。	修 羅 聞 佛 所 說 皆大歡喜 信受奉行 右 第 十 一 節 
X25n0506_002:0865c18	總結上下篇也。下篇之義。皆具上篇。或引申其	總 結 上 下 篇 也 下 篇 之 義 皆 具 上 篇 或 引 申 其 
X25n0506_002:0865c19	未盡之旨。或補益其未備之文。往往詳略。互見	未 盡 之 旨 或 補 益 其 未 備 之 文 往 往 詳 略 互 見 
X25n0506_002:0865c20	此佛弟子傳述之異。疑在西土本自別行。及傳	此 佛 弟 子 傳 述 之 異 疑 在 西 土 本 自 別 行 及 傳 
X25n0506_002:0865c21	入中土。遂合而一之。而以如是我聞發端。信受	入 中 土 遂 合 而 一 之 而 以 如是我聞 發 端 信 受 
X25n0506_002:0865c22	奉行總結。聯綴首尾。不可復分。今釐為上下篇。	奉 行 總 結 聯 綴 首 尾 不 可 復 分 今 釐 為 上 下 篇 
X25n0506_002:0865c23	庶讀者無疑其前後之複沓焉。	庶 讀 者 無 疑 其 前 後 之 複 沓 焉 
X25n0506_002:0865c24	金剛般若波羅蜜經注(終)	金 剛 般若波羅蜜經 注 終 
