X62n1205_001:0713c02	報恩論	報 恩 論 
X62n1205_002:0757a18	反覆。至二千餘言。直令行者即世間法。成出世法。何	反 覆 至 二 千 餘 言 直 令 行 者 即 世 間 法 成 出 世 法 何 
X62n1205_002:0757a19	則。本以一念流動。現諸有為迹象。還以一念回向發	則 本 以 一 念 流 動 現 諸 有 為 迹 象 還 以 一 念 回 向 發 
X62n1205_002:0757a20	願。攝歸本際。則全體大用。觸境圓彰。不墮偏小。是真	願 攝 歸 本 際 則 全 體 大 用 觸 境 圓 彰 不 墮 偏 小 是 真 
X62n1205_002:0757a21	就路還家至極直捷。普收羣機而無外者也。故自東	就 路 還 家 至 極 直 捷 普 收 羣 機 而 無 外 者 也 故 自 東 
X62n1205_002:0757a22	林蓮社開先。至今綿歷千五百餘載。搢縉士大夫。下	林 蓮 社 開 先 至 今 綿 歷 千 五 百 餘 載 搢 縉 士 大 夫 下 
X62n1205_002:0757a23	至傭奴販婦。屠沽雜流。躡跡往生於劉張宗雷諸賢	至 傭 奴 販 婦 屠 沽 雜 流 躡 跡 往 生 於 劉 張 宗 雷 諸 賢 
X62n1205_002:0757a24	之後者。代不乏人　本朝名臣若張蘭渚。宿將若金	之 後 者 代 不 乏 人 本 朝 名 臣 若 張 蘭 渚 宿 將 若 金 
X62n1205_002:0757b01	光前。通儒耆德。若周安士彭二林諸先生。類皆不捨	光 前 通 儒 耆 德 若 周 安 士 彭 二 林 諸 先 生 類 皆 不 捨 
X62n1205_002:0757b02	塵勞。脫然西邁。事蹟尤著。而我	塵 勞 脫 然 西 邁 事 蹟 尤 著 而 我 
X62n1205_002:0757b03	世宗憲皇帝。以天縱神聖。激揚宗乘	世 宗 憲 皇 帝 以 天 縱 神 聖 激 揚 宗 乘 
X62n1205_002:0757b04	御選語錄。亦深契雲棲	御 選 語 錄 亦 深 契 雲 棲 
X62n1205_002:0757b05	列聖奎章。咸贊極樂。至會典垂法萬世。且奉斯經為	列 聖 奎 章 咸 贊 極 樂 至 會 典 垂 法 萬 世 且 奉 斯 經 為 
X62n1205_002:0757b06	　中正殿僧徒日課定制。而歲時　大內諸佛事。亦	 中 正 殿 僧 徒 日 課 定 制 而 歲 時 大 內 諸 佛 事 亦 
X62n1205_002:0757b07	多用之。葢三古以降。帝王導俗之微權。盡未來際。眾	多 用 之 葢 三 古 以 降 帝 王 導 俗 之 微 權 盡未來際 眾 
X62n1205_002:0757b08	生成佛之慧命。胥於是乎在。慧遠法師所謂適俗固	生 成 佛 之 慧 命 胥 於 是 乎 在 慧 遠 法 師 所 謂 適 俗 固 
X62n1205_002:0757b09	是教源。濟俗亦為要務。良不虗也。比來法運中衰。迂	是 教 源 濟 俗 亦 為 要 務 良 不 虗 也 比 來 法 運 中 衰 迂 
X62n1205_002:0757b10	儒狂禪。堅固鬬諍。宗教律儀。罔弗訛替。魔伺其便。邪	儒 狂 禪 堅 固 鬬 諍 宗 教 律 儀 罔 弗 訛 替 魔 伺 其 便 邪 
X62n1205_002:0757b11	說橫行。僅此真俗不二。圓融無礙法門。張皇支搘於	說 橫 行 僅 此 真 俗 不 二 圓 融 無 礙 法 門 張 皇 支 搘 於 
X62n1205_002:0757b12	其間。亦復若存若亡。不絕如綫。吾儕幸沐	其 間 亦 復 若 存 若 亡 不 絕 如 綫 吾 儕 幸 沐 
X62n1205_002:0757b13	聖化。薄植信根。將欲報佛深恩。護世眼目。赤骨擔荷。	聖 化 薄 植 信 根 將 欲 報 佛 深 恩 護 世 眼 目 赤 骨 擔 荷 
X62n1205_002:0757b14	今正其時。若乃沈空滯寂。高談性天。舍此現前一念	今 正 其 時 若 乃 沈 空 滯 寂 高 談 性 天 舍 此 現 前 一 念 
X62n1205_002:0757b15	平實心地法門。謂為別有。則離經畔道。上負	平 實 心 地 法 門 謂 為 別 有 則 離 經 畔 道 上 負 
X62n1205_002:0757b16	列聖提持之深心。而自招疑謗。法門之懼。亦世道之	列 聖 提 持 之 深 心 而 自 招 疑 謗 法 門 之 懼 亦 世 道 之 
X62n1205_002:0757b17	憂。曩歲感憤發願。探本斯經。述報恩論若干篇。以顯	憂 曩 歲 感 憤 發 願 探 本 斯 經 述 報 恩 論 若 干 篇 以 顯 
X62n1205_002:0757b18	正教。翊	正 教 翊 
X62n1205_002:0757b19	皇度。息鬬辨。破邪外。都凡二萬餘言。粗舉綱要。香巖	皇 度 息 鬬 辨 破 邪 外 都 凡 二 萬 餘 言 粗 舉 綱 要 香 巖 
X62n1205_002:0757b20	息庵兩君。讀而善焉。為之評點流通。屬更備其章條。	息 庵 兩 君 讀 而 善 焉 為 之 評 點 流 通 屬 更 備 其 章 條 
X62n1205_002:0757b21	以貽同志。爰復廣甄教典。辨異統同。演列五門。為日	以 貽 同 志 爰 復 廣 甄 教 典 辨 異 統 同 演 列 五 門 為 日 
X62n1205_002:0757b22	課表。首信願根本門。次正行莊嚴門。次助行回向門。	課 表 首 信 願 根 本 門 次 正 行 莊 嚴 門 次 助 行 回 向 門 
X62n1205_002:0757b23	次戒行培護門。次方便憶持門。門若干條。別為詮釋。	次 戒 行 培 護 門 次 方 便 憶 持 門 門 若 干 條 別 為 詮 釋 
X62n1205_002:0757b24	使上中下根。境緣違順。柔強秉異。廣略好殊。皆得據	使 上 中 下 根 境 緣 違 順 柔 強 秉 異 廣 略 好 殊 皆 得 據 
X62n1205_002:0757c01	依以自考驗。因取坡公語。名之曰往生公據。與見聞	依 以 自 考 驗 因 取 坡 公 語 名 之 曰 往 生 公 據 與 見 聞 
X62n1205_002:0757c02	隨喜。共證明焉。勉矣行人。資糧已具。到家消息。不離	隨 喜 共 證 明 焉 勉 矣 行 人 資 糧 已 具 到 家 消 息 不 離 
X62n1205_002:0757c03	途中。他日一笑歸來。留此數百十番故紙。以當游記。	途 中 他 日 一 笑 歸 來 留 此 數 百 十 番 故 紙 以 當 游 記 
X62n1205_002:0757c04	舉似諸方。其不虗此娑婆之行。多生之本願也哉。庚	舉 似 諸 方 其 不 虗 此 娑 婆 之 行 多 生 之 本 願 也 哉 庚 
X62n1205_002:0757c05	辰春日善登謹識。	辰 春 日 善 登 謹 識 
X62n1205_002:0758a01	往生公據	往 生 公 據 
X62n1205_002:0762a01	往生公據	往 生 公 據 
X62n1205_002:0762a02	淨課日單。橫排十日。直立五門。每門略開禮誦等條。	淨 課 日 單 橫 排 十 日 直 立 五 門 每 門 略 開 禮 誦 等 條 
X62n1205_002:0762a03	行者各量日力。或專或兼。或多或少。隨條記數。如	行 者 各 量 日 力 或 專 或 兼 或 多 或 少 隨 條 記 數 如 
X62n1205_002:0762a04	別有所課。則於後列空條下記之。每屆月終。彚集	別 有 所 課 則 於 後 列 空 條 下 記 之 每 屆 月 終 彚 集 
X62n1205_002:0762a05	所記。填入月單若干紙。一於佛前焚化。發願求生	所 記 填 入 月 單 若 干 紙 一 於 佛 前 焚 化 發 願 求 生 
X62n1205_002:0762a06	極樂。一附日單後。餘送諸同願。互相考校。並為焚	極 樂 一 附 日 單 後 餘 送 諸 同 願 互 相 考 校 並 為 焚 
X62n1205_002:0762a07	化。發願同生極樂。滿一年後。次年正月。再集上年	化 發 願 同 生 極 樂 滿 一 年 後 次 年 正 月 再 集 上 年 
X62n1205_002:0762a08	逐月所記。填入年單若干紙。如月單例。並加送諸	逐 月 所 記 填 入 年 單 若 干 紙 如 月 單 例 並 加 送 諸 
X62n1205_002:0762a09	同學各一紙。留為將來往生證驗。傳記張本。如是	同 學 各 一 紙 留 為 將 來 往 生 證 驗 傳 記 張 本 如 是 
X62n1205_002:0762a10	通年日單三十六紙。月單十二紙。年單一紙。共四	通 年 日 單 三 十 六 紙 月 單 十 二 紙 年 單 一 紙 共 四 
X62n1205_002:0762a11	十九紙。(閏月多四紙)合成一冊。行者留存。隨時自考。臨	十 九 紙 閏 月 多 四 紙 合 成 一 冊 行 者 留 存 隨 時 自 考 臨 
X62n1205_002:0762a12	終焚化。昔東坡居士繪阿彌陀佛像。謂是往生西	終 焚 化 昔 東 坡 居 士 繪 阿 彌 陀 佛 像 謂 是 往 生 西 
X62n1205_002:0762a13	方公據。今此單日日自記有據。月月佛前證明有	方 公 據 今 此 單 日 日 自 記 有 據 月 月 佛 前 證 明 有 
X62n1205_002:0762a14	據。同學互校有據。年年彚總白佛有據。白眾存驗	據 同 學 互 校 有 據 年 年 彚 總 白 佛 有 據 白 眾 存 驗 
X62n1205_002:0762a15	有據。真可謂大公無私。真慂實據矣。諸欲往生者。	有 據 真 可 謂 大 公 無 私 真 慂 實 據 矣 諸 欲 往 生 者 
X62n1205_002:0762a16	不必問臨終感應之如何。第於此自信。可以對佛。	不 必 問 臨 終 感 應 之 如 何 第 於 此 自 信 可 以 對 佛 
X62n1205_002:0762a17	可以對眾。則執此以往可也。	可 以 對 眾 則 執 此 以 往 可 也 
X62n1205_002:0762a18	首信願根本門者。信彌陀願力不可思議。故十念決	首 信 願 根 本 門 者 信 彌 陀 願 力 不可思議 故 十 念 決 
X62n1205_002:0762a19	定得生。信淨土法門一切圓融。故世法決定不廢。	定 得 生 信 淨 土 法 門 一 切 圓 融 故 世 法 決 定 不 廢 
X62n1205_002:0762a20	願修持十念以顯佛力。令眾生同入淨宗。願不捨	願 修 持 十 念 以 顯 佛 力 令 眾 生 同 入 淨 宗 願 不 捨 
X62n1205_002:0762a21	世法以證佛法。令眾生同開圓解。必如是乃為自	世 法 以 證 佛 法 令 眾 生 同 開 圓 解 必 如 是 乃 為 自 
X62n1205_002:0762a22	他兼利。菩薩發心。然後一切正行。無非莊嚴。一切	他 兼 利 菩 薩 發 心 然 後 一 切 正 行 無 非 莊 嚴 一 切 
X62n1205_002:0762a23	助行。皆可回向。而往生有根本矣。	助 行 皆 可 回 向 而 往 生 有 根 本 矣 
X62n1205_002:0762a24	十念為淨宗最深密義。能信受者。乃入願門。故慈	十 念 為 淨 宗 最 深 密 義 能 信 受 者 乃 入 願 門 故 慈 
X62n1205_002:0762b01	雲。幽溪。楚石。堅密。諸祖師。皆於常課外終身力行。	雲 幽 溪 楚 石 堅 密 諸 祖 師 皆 於 常 課 外 終 身 力 行 
X62n1205_002:0762b02	並以勸眾。今以晨起及臨睡兩時。為極少之定課。	並 以 勸 眾 今 以 晨 起 及 臨 睡 兩 時 為 極 少 之 定 課 
X62n1205_002:0762b03	或量力酌加。或為雜緣所牽。不及照常記數念佛。	或 量 力 酌 加 或 為 雜 緣 所 牽 不 及 照 常 記 數 念 佛 
X62n1205_002:0762b04	即多加若干時。逐一記之。	即 多 加 若 干 時 逐 一 記 之 
X62n1205_002:0762b05	不廢世法。乃真佛法。大本經勸修五大善。二千餘	不 廢 世 法 乃 真 佛 法 大 本 經 勸 修 五 大 善 二 千 餘 
X62n1205_002:0762b06	言。悉是世法。今以三條約之。一重倫紀。如家門雍	言 悉 是 世 法 今 以 三 條 約 之 一 重 倫 紀 如 家 門 雍 
X62n1205_002:0762b07	睦。一無間言。可逐日記之。如承事親長。躬執勞役	睦 一 無 間 言 可 逐 日 記 之 如 承 事 親 長 躬 執 勞 役 
X62n1205_002:0762b08	侍疾居喪。竭誠盡力。及料理親族。戚友。醫藥。婚喪。	侍 疾 居 喪 竭 誠 盡 力 及 料 理 親 族 戚 友 醫 藥 婚 喪 
X62n1205_002:0762b09	等大事。乃至消釋嫌疑。規過勸善等。均逐事記之。	等 大 事 乃 至 消 釋 嫌 疑 規 過 勸 善 等 均 逐 事 記 之 
X62n1205_002:0762b10	二畏王法。如勸息諍訟。遵完國課等。亦逐事記之。	二 畏 王 法 如 勸 息 諍 訟 遵 完 國 課 等 亦 逐 事 記 之 
X62n1205_002:0762b11	三勤生業。如安分營生。終日不閒宕。不偷懶。可逐	三 勤 生 業 如 安 分 營 生 終 日 不 閒 宕 不 偷 懶 可 逐 
X62n1205_002:0762b12	日記之。三者皆本分內事。所謂庸行。故但記一事	日 記 之 三 者 皆 本 分 內 事 所 謂 庸 行 故 但 記 一 事 
X62n1205_002:0762b13	一日云云。不必著明何事。	一 日 云 云 不 必 著 明 何 事 
X62n1205_002:0762b14	二正行莊嚴門者。以本宗諸行。莊嚴此信願根本也。	二 正 行 莊 嚴 門 者 以 本 宗 諸 行 莊 嚴 此 信 願 根 本 也 
X62n1205_002:0762b15	十念之外。專一持名。勿夾雜觀想參究。亦勿論散	十 念 之 外 專 一 持 名 勿 夾 雜 觀 想 參 究 亦 勿 論 散 
X62n1205_002:0762b16	心一心。但出口入耳。聲聲記數。各量日力。甯少念	心 一 心 但 出 口 入 耳 聲 聲 記 數 各 量 日 力 甯 少 念 
X62n1205_002:0762b17	而有恒。勿貪多而費事。如有餘力多念。歸入加課	而 有 恒 勿 貪 多 而 費 事 如 有 餘 力 多 念 歸 入 加 課 
X62n1205_002:0762b18	記之。	記 之 
X62n1205_002:0762b19	所列各條。略以前後分緩急。如不能宏利。即但經	所 列 各 條 略 以 前 後 分 緩 急 如 不 能 宏 利 即 但 經 
X62n1205_002:0762b20	呪。不能經呪。即但懺禮。不能懺禮。即但念佛。又如	呪 不 能 經 呪 即 但 懺 禮 不 能 懺 禮 即 但 念 佛 又 如 
X62n1205_002:0762b21	不能禮願。即但禮懺。乃至但禮三聖。不能誦大本	不 能 禮 願 即 但 禮 懺 乃 至 但 禮 三 聖 不 能 誦 大 本 
X62n1205_002:0762b22	全經。即但發願章。乃至但誦小本。總之各隨境遇。	全 經 即 但 發 願 章 乃 至 但 誦 小 本 總 之 各 隨 境 遇 
X62n1205_002:0762b23	及所信樂。量力勤行。但能外不廢事。內不偷安。即	及 所 信 樂 量 力 勤 行 但 能 外 不 廢 事 內 不 偷 安 即 
X62n1205_002:0762b24	是當日圓滿莊嚴。不在乎行之多少也。	是 當 日 圓 滿 莊 嚴 不 在 乎 行 之 多 少 也 
X62n1205_002:0762c01	宏法。如校刊著述。施送一切藏經善書。及於三寶	宏 法 如 校 刊 著 述 施 送 一 切 藏 經 善 書 及 於 三 寶 
X62n1205_002:0762c02	門中。一切護持。修建。供養。莊嚴之事。乃至為人講	門 中 一 切 護 持 修 建 供 養 莊 嚴 之 事 乃 至 為 人 講 
X62n1205_002:0762c03	說。隨緣勸誡等。利生。如賑濟飢寒。放生薦亡。(若追薦五	說 隨 緣 勸 誡 等 利 生 如 賑 濟 飢 寒 放 生 薦 亡 若 追 薦 五 
X62n1205_002:0762c04	服親屬。及宗族戚友等。應記重倫紀條下)及一切利人利物之事。乃至	服 親 屬 及 宗 族 戚 友 等 應 記 重 倫 紀 條 下 及 一 切 利 人 利 物 之 事 乃 至 
X62n1205_002:0762c05	隨手方便。隨口勸讚等。皆不論其事之大小。及其	隨 手 方 便 隨 口 勸 讚 等 皆 不 論 其 事 之 大 小 及 其 
X62n1205_002:0762c06	已竟未竟。已成未成。但本日曾費心力即記之。此	已 竟 未 竟 已 成 未 成 但 本 日 曾 費 心 力 即 記 之 此 
X62n1205_002:0762c07	兩條皆陰德。不可宣露。故亦但記數。不著何項。	兩 條 皆 陰 德 不 可 宣 露 故 亦 但 記 數 不 著 何 項 
X62n1205_002:0762c08	三助行回向門者。以餘宗一切善法。回向此信願根	三 助 行 回 向 門 者 以 餘 宗 一 切 善 法 回 向 此 信 願 根 
X62n1205_002:0762c09	本也。三藏經典。皆可回向。今專取世所信樂。而又	本 也 三 藏 經 典 皆 可 回 向 今 專 取 世 所 信 樂 而 又 
X62n1205_002:0762c10	合於淨土願門者列之。行願品。普賢願王。導歸極	合 於 淨 土 願 門 者 列 之 行 願 品 普 賢 願 王 導 歸 極 
X62n1205_002:0762c11	樂。藥師經。仗彼佛本願。送往西方。普門勢至二經。	樂 藥 師 經 仗 彼 佛 本 願 送 往 西 方 普 門 勢 至 二 經 
X62n1205_002:0762c12	顯菩薩願力攝受行人。大悲準提兩呪。令行人滿	顯 菩 薩 願 力 攝 受 行 人 大 悲 準 提 兩 呪 令 行 人 滿 
X62n1205_002:0762c13	願。往詣淨土。而穢跡為本師大願化身金剛。護持	願 往 詣 淨 土 而 穢 跡 為 本 師 大 願 化 身 金 剛 護 持 
X62n1205_002:0762c14	正法。摧滅一切邪魔穢惡。悉變清淨。於末法時。在	正 法 摧 滅 一 切 邪 魔 穢 惡 悉 變 清 淨 於 末 法 時 在 
X62n1205_002:0762c15	家菩薩道場。尤切要焉。	家 菩 薩 道 場 尤 切 要 焉 
X62n1205_002:0762c16	此門各條。先經呪。後禮拜。與正行門不同者。緣既	此 門 各 條 先 經 呪 後 禮 拜 與 正 行 門 不 同 者 緣 既 
X62n1205_002:0762c17	為助行。行者自以餘力及之。無分緩急。餘如儒門	為 助 行 行 者 自 以 餘 力 及 之 無 分 緩 急 餘 如 儒 門 
X62n1205_002:0762c18	格言。善書。醫方。算術。道家道德經。感應篇。及至斗	格 言 善 書 醫 方 算 術 道 家 道 德 經 感 應 篇 及 至 斗 
X62n1205_002:0762c19	懺。雷經。文帝。武帝。純陽。紫陽勸善諸文。凡平實切	懺 雷 經 文 帝 武 帝 純 陽 紫 陽 勸 善 諸 文 凡 平 實 切 
X62n1205_002:0762c20	近。有裨世法。不謗佛法者。苟所素習。不忍捨棄。但	近 有 裨 世 法 不 謗 佛 法 者 苟 所 素 習 不 忍 捨 棄 但 
X62n1205_002:0762c21	以念佛為本。勿論深淺雅俗。皆可回向。惟除修煉	以 念 佛 為 本 勿 論 深 淺 雅 俗 皆 可 回 向 惟 除 修 煉 
X62n1205_002:0762c22	精氣。遣召鬼神。一切丹經。符籙等術。即確有真傳	精 氣 遣 召 鬼 神 一 切 丹 經 符 籙 等 術 即 確 有 真 傳 
X62n1205_002:0762c23	心得。亦必割愛。方是正知正見。深入淨宗。	心 得 亦 必 割 愛 方 是 正 知 正 見 深 入 淨 宗 
X62n1205_002:0762c24	四戒行培護門者。梵網經云。戒為諸佛本原。菩薩種	四 戒 行 培 護 門 者 梵 網 經 云 戒 為 諸 佛 本 原 菩 薩 種 
X62n1205_002:0763a01	子。此專指聖道門而言也。淨土門。則以信願為根	子 此 專 指 聖 道 門 而 言 也 淨 土 門 則 以 信 願 為 根 
X62n1205_002:0763a02	本。故大本經言。雖不能大精進。持禁戒。要當作善。	本 故 大 本 經 言 雖 不 能 大 精 進 持 禁 戒 要 當 作 善 
X62n1205_002:0763a03	蓋根本既立。還以五戒十善培養之。防護之。使日	蓋 根 本 既 立 還 以 五 戒 十 善 培 養 之 防 護 之 使 日 
X62n1205_002:0763a04	生日長。有進無退也。	生 日 長 有 進 無 退 也 
X62n1205_002:0763a05	諸惡悉從邪見起。故淨土諸經。皆但言臨終感佛	諸 惡 悉 從 邪 見 起 故 淨 土 諸 經 皆 但 言 臨 終 感 佛 
X62n1205_002:0763a06	來迎。不許現生空談妙悟。行者若稍存元妙見解。	來 迎 不 許 現 生 空 談 妙 悟 行 者 若 稍 存 元 妙 見 解 
X62n1205_002:0763a07	及希望奇感捷應之心。即是違背教理。生大邪見。	及 希 望 奇 感 捷 應 之 心 即 是 違 背 教 理 生 大 邪 見 
X62n1205_002:0763a08	障往生路。故應首戒。	障 往 生 路 故 應 首 戒 
X62n1205_002:0763a09	諸戒勿論已受未受。曾犯不犯。行者既依上來三	諸 戒 勿 論 已 受 未 受 曾 犯 不 犯 行 者 既 依 上 來 三 
X62n1205_002:0763a10	門。求生極樂。則佛前求懺後。但自謹飭將來。不可	門 求 生 極 樂 則 佛 前 求 懺 後 但 自 謹 飭 將 來 不 可 
X62n1205_002:0763a11	空悔已往。自生疑障。且在家五戒本寬。但制粗述。	空 悔 已 往 自 生 疑 障 且 在 家 五 戒 本 寬 但 制 粗 述 
X62n1205_002:0763a12	惟殺戒必應嚴細。雖蠅蚊蟣蝨等微命。亦不得殺。	惟 殺 戒 必 應 嚴 細 雖 蠅 蚊 蟣 蝨 等 微 命 亦 不 得 殺 
X62n1205_002:0763a13	當知物我一體。斷無令物慘死。而自得樂生之理。	當 知 物 我 一 體 斷 無 令 物 慘 死 而 自 得 樂 生 之 理 
X62n1205_002:0763a14	故與邪見戒並重。特列專條。逐日檢點。餘四戒寬	故 與 邪 見 戒 並 重 特 列 專 條 逐 日 檢 點 餘 四 戒 寬 
X62n1205_002:0763a15	嚴粗細。或具或不具。量力自勉可也。	嚴 粗 細 或 具 或 不 具 量 力 自 勉 可 也 
X62n1205_002:0763a16	持齋不必論功德。現獲三種利益。一斷殺緣。二免	持 齋 不 必 論 功 德 現 獲 三 種 利 益 一 斷 殺 緣 二 免 
X62n1205_002:0763a17	穢濁。三省費用。然在家必不能終身長齋。佛制有	穢 濁 三 省 費 用 然 在 家 必 不 能 終 身 長 齋 佛 制 有 
X62n1205_002:0763a18	不見殺。不聞殺。不為己殺。及物自死。鳥獸殘等。為	不 見 殺 不 聞 殺 不 為 己 殺 及 物 自 死 鳥 獸 殘 等 為 
X62n1205_002:0763a19	五淨肉可食。又正五九月。為四天王巡察人間善	五 淨 肉 可 食 又 正 五 九 月 為 四 天 王 巡 察 人 間 善 
X62n1205_002:0763a20	惡。名三長齋月。見梵網經。誦此經者應持。初八。十	惡 名 三 長 齋 月 見 梵 網 經 誦 此 經 者 應 持 初 八 十 
X62n1205_002:0763a21	四。十五。廿三。廿九。三十。為龍樹菩薩六齋。修淨業	四 十 五 廿 三 廿 九 三 十 為 龍 樹 菩 薩 六 齋 修 淨 業 
X62n1205_002:0763a22	者應持。加初一。十八。廿四。廿八。為金剛十齋。又為	者 應 持 加 初 一 十 八 廿 四 廿 八 為 金 剛 十 齋 又 為 
X62n1205_002:0763a23	準提齋。持此二呪者應持。他如諸佛菩薩。蓮宗諸	準 提 齋 持 此 二 呪 者 應 持 他 如 諸佛菩薩 蓮 宗 諸 
X62n1205_002:0763a24	祖誕日。及天赦。天願。等日。均宜齋素。各隨心願。多	祖 誕 日 及 天 赦 天 願 等 日 均 宜 齋 素 各 隨 心 願 多 
X62n1205_002:0763b01	多益善。	多 益 善 
X62n1205_002:0763b02	佛制已受戒者。當於望日晦日。誦梵網經。若不誦	佛 制 已 受 戒 者 當 於 望 日 晦 日 誦 梵 網 經 若 不 誦 
X62n1205_002:0763b03	者。非菩薩。非佛種子。然十重戒。實人人所當力持。	者 非 菩 薩 非 佛 種 子 然 十 重 戒 實 人 人 所 當 力 持 
X62n1205_002:0763b04	即當常誦。不嫌盜法。遺教經略說戒相。為本師臨	即 當 常 誦 不 嫌 盜 法 遺 教 經 略 說 戒 相 為 本 師 臨 
X62n1205_002:0763b05	入涅槃。最後教誨。無量悲心。言盡於此。知有佛法	入 涅 槃 最 後 教 誨 無 量 悲 心 言 盡 於 此 知 有 佛 法 
X62n1205_002:0763b06	者。皆應持誦。無分道俗也　此門實各條並重。其	者 皆 應 持 誦 無 分 道 俗 也 此 門 實 各 條 並 重 其 
X62n1205_002:0763b07	先後次序。為欲方便勸誘中下根耳。	先 後 次 序 為 欲 方 便 勸 誘 中 下 根 耳 
X62n1205_002:0763b08	五方便憶持門者。如上世出世間。一切善法。行者既	五 方 便 憶 持 門 者 如 上 世出世間 一 切 善 法 行 者 既 
X62n1205_002:0763b09	隨分酌取。日有常課。自入彌陀大願門矣。還當隨	隨 分 酌 取 日 有 常 課 自 入 彌 陀 大 願 門 矣 還 當 隨 
X62n1205_002:0763b10	緣進止。方便安心。使常與不常。不離念佛。方可一	緣 進 止 方 便 安 心 使 常 與 不 常 不 離 念 佛 方 可 一 
X62n1205_002:0763b11	無違礙。從容到家。如為宏法。利生等事。及重倫紀	無 違 礙 從 容 到 家 如 為 宏 法 利 生 等 事 及 重 倫 紀 
X62n1205_002:0763b12	條下等事。以致間輟一時多時。一日多日。不能禮	條 下 等 事 以 致 間 輟 一 時 多 時 一 日 多 日 不 能 禮 
X62n1205_002:0763b13	誦。乃至不能念佛。及應齋不齋。而僅持十念者。於	誦 乃 至 不 能 念 佛 及 應 齋 不 齋 而 僅 持 十 念 者 於 
X62n1205_002:0763b14	為法方便條下記之。如為客中主伴。異見生嫌。恐	為 法 方 便 條 下 記 之 如 為 客 中 主 伴 異 見 生 嫌 恐 
X62n1205_002:0763b15	他謗佛。而間輟僅持十念者。於護嫌方便條下記	他 謗 佛 而 間 輟 僅 持 十 念 者 於 護 嫌 方 便 條 下 記 
X62n1205_002:0763b16	之。如為公私急務。賓朋往來。應接不暇。而間輟僅	之 如 為 公 私 急 務 賓 朋 往 來 應 接 不 暇 而 間 輟 僅 
X62n1205_002:0763b17	持十念者。於隨順方便條下記之。至於病困之中。	持 十 念 者 於 隨 順 方 便 條 下 記 之 至 於 病 困 之 中 
X62n1205_002:0763b18	顛沛之際。禮誦固所不能。念佛正當著力。設實身	顛 沛 之 際 禮 誦 固 所 不 能 念 佛 正 當 著 力 設 實 身 
X62n1205_002:0763b19	心危殆。不得自由。亦可僅持十念。於調伏方便條	心 危 殆 不 得 自 由 亦 可 僅 持 十 念 於 調 伏 方 便 條 
X62n1205_002:0763b20	下記之。當知此四方便。正為萬不得已而心常憶	下 記 之 當 知 此 四 方 便 正 為 萬 不 得 已 而 心 常 憶 
X62n1205_002:0763b21	持。故不為退惰。又當知記此一時隨緣之方便。正	持 故 不 為 退 惰 又 當 知 記 此 一 時 隨 緣 之 方 便 正 
X62n1205_002:0763b22	以勤策終身不變之有常。故不為退惰也。	以 勤 策 終 身 不 變 之 有 常 故 不 為 退 惰 也 
X62n1205_002:0763b23	淨課月單。每屆月終。彚集所記日課。隨條填入。先以	淨 課 月 單 每 屆 月 終 彚 集 所 記 日 課 隨 條 填 入 先 以 
X62n1205_002:0763b24	一紙。佛前焚化發願。再填若干紙。分送同願。彼此	一 紙 佛 前 焚 化 發 願 再 填 若 干 紙 分 送 同 願 彼 此 
X62n1205_002:0763c01	互易以相攷校。並各於佛前代化發願。同生極樂。	互 易 以 相 攷 校 並 各 於 佛 前 代 化 發 願 同 生 極 樂 
X62n1205_002:0763c02	婦女則令家屬出名代送。不得自通。單末填明某	婦 女 則 令 家 屬 出 名 代 送 不 得 自 通 單 末 填 明 某 
X62n1205_002:0763c03	某眷屬字樣。否則不收。	某 眷 屬 字 樣 否 則 不 收 
X62n1205_002:0763c04	一寸時光。一寸命光。諸同學但日自檢點信願真切	一 寸 時 光 一 寸 命 光 諸 同 學 但 日 自 檢 點 信 願 真 切 
X62n1205_002:0763c05	否。諸戒不犯否。淨課不退否。孝養無缺否。家門和	否 諸 戒 不 犯 否 淨 課 不 退 否 孝 養 無 缺 否 家 門 和 
X62n1205_002:0763c06	順否。國課遵完否。如是自心自問。或生歡喜。或生	順 否 國 課 遵 完 否 如 是 自 心 自 問 或 生 歡 喜 或 生 
X62n1205_002:0763c07	慚愧。便是佛光加被。性地開明。不必頻相往來。向	慚 愧 便 是 佛 光 加 被 性 地 開 明 不 必 頻 相 往 來 向 
X62n1205_002:0763c08	人討消息。尤不可集會禮誦。致多雜緣閒費。翻招	人 討 消 息 尤 不 可 集 會 禮 誦 致 多 雜 緣 閒 費 翻 招 
X62n1205_002:0763c09	疑謗。	疑 謗 
X62n1205_002:0763c10	淨侶難得。氣類難齊。苟非彼此熟識。勿相送單。至方	淨 侶 難 得 氣 類 難 齊 苟 非 彼 此 熟 識 勿 相 送 單 至 方 
X62n1205_002:0763c11	外自有同參。雖或相識。亦勿攀引。單到不收。	外 自 有 同 參 雖 或 相 識 亦 勿 攀 引 單 到 不 收 
X62n1205_002:0763c12	送單專為互相警策。一切人事應酬。向無者不必因	送 單 專 為 互 相 警 策 一 切 人 事 應 酬 向 無 者 不 必 因 
X62n1205_002:0763c13	此而有。向薄者不必因此而厚。惟生死事大。如本	此 而 有 向 薄 者 不 必 因 此 而 厚 惟 生 死 事 大 如 本 
X62n1205_002:0763c14	人生日。或父母生日。子女彌月。則各為念佛。或念	人 生 日 或 父 母 生 日 子 女 彌 月 則 各 為 念 佛 或 念 
