T42n1824_001:0001a03	中論序疏	中 論 序 疏 
T42n1824_010:0153c01	者。雖復勤修終不得佛。以不得定不得無佛	者 雖 復 勤 修 終 不 得 佛 以 不 得 定 不 得 無 佛 
T42n1824_010:0153c02	定無佛。終不得為佛也。又此是用大乘破小	定 無 佛 終 不 得 為 佛 也 又 此 是 用 大 乘 破 小 
T42n1824_010:0153c03	乘義。大乘明一切眾生皆有佛性並皆成佛。	乘 義 大 乘 明 一 切 眾 生 皆 有 佛 性 並 皆 成 佛 
T42n1824_010:0153c04	小乘人不明一切眾生皆有佛性。若爾既無	小 乘 人 不 明 一 切 眾 生 皆 有 佛 性 若 爾 既 無 
T42n1824_010:0153c05	佛性。雖復修行終不成佛。問小乘人亦云。	佛 性 雖 復 修 行 終 不 成 佛 問 小 乘 人 亦 云 
T42n1824_010:0153c06	一切眾生有三乘性。至忍法時餘二性非數	一 切 眾 生 有 三 乘 性 至 忍 法 時 餘 二 性 非 數 
T42n1824_010:0153c07	緣滅。故三乘中隨成一乘。云何言不明佛性。	緣 滅 故 三 乘 中 隨 成 一 乘 云 何 言 不 明 佛 性 
T42n1824_010:0153c08	答大乘中明唯有佛性無有餘性。故得成佛。	答 大 乘 中 明 唯 有 佛 性 無 有 餘 性 故 得 成 佛 
T42n1824_010:0153c09	小乘不明唯有佛性。則破大乘佛性義。既無	小 乘 不 明 唯 有 佛 性 則 破 大 乘 佛 性 義 既 無 
T42n1824_010:0153c10	大乘佛性。云何成佛。又小乘人有佛性。佛性	大 乘 佛 性 云 何 成 佛 又 小 乘 人 有 佛 性 佛 性 
T42n1824_010:0153c11	是無常破大乘佛性常義。故不得成佛。此偈	是 無 常 破 大 乘 佛 性 常 義 故 不 得 成 佛 此 偈 
T42n1824_010:0153c12	即釋涅槃經文。故不應言但申波若。又依文	即 釋 涅 槃 經 文 故 不 應 言 但 申 波 若 又 依 文 
T42n1824_010:0153c13	釋此偈。小乘人謂六道性恒非佛性。性者體	釋 此 偈 小 乘 人 謂 六 道 性 恒 非 佛 性 性 者 體 
T42n1824_010:0153c14	也。故凡聖體異。若爾非定非異定異。云何非	也 故 凡 聖 體 異 若 爾 非 定 非 異 定 異 云 何 非 
T42n1824_010:0153c15	得成是。凡得為聖耶。又問大乘人明有佛性。	得 成 是 凡 得 為 聖 耶 又 問 大 乘 人 明 有 佛 性 
T42n1824_010:0153c16	得成佛不。答有所得大乘人釋佛性皆不成。	得 成 佛 不 答 有 所 得 大 乘 人 釋 佛 性 皆 不 成 
T42n1824_010:0153c17	如雖有十家釋於佛性。皆云佛性定常。但當	如 雖 有 十 家 釋 於 佛 性 皆 云 佛 性 定 常 但 當 
T42n1824_010:0153c18	現為異。而眾生及心皆是無常。故心與眾生	現 為 異 而 眾 生 及 心 皆 是 無 常 故 心 與 眾 生 
T42n1824_010:0153c19	恒非佛性。云何成佛。若諸法不空下第二還	恒 非 佛 性 云 何 成 佛 若 諸 法 不 空 下 第 二 還 
T42n1824_010:0153c20	其無罪福過。又開為兩別。初明無罪福因果。	其 無 罪 福 過 又 開 為 兩 別 初 明 無 罪 福 因 果 
T42n1824_010:0153c21	二明無世俗法。還對前二也。就初文二。前	二 明 無 世 俗 法 還 對 前 二 也 就 初 文 二 前 
T42n1824_010:0153c22	明無造罪福之人。次兩偈明無罪福之法。夫	明 無 造 罪 福 之 人 次 兩 偈 明 無 罪 福 之 法 夫 
T42n1824_010:0153c23	論罪福不出人法。既無何有罪福。汝云。我說	論 罪 福 不 出 人 法 既 無 何 有 罪 福 汝 云 我 說 
T42n1824_010:0153c24	空則無人能殺。亦無所殺亦無刀杖故無罪。	空 則 無 人 能 殺 亦 無 所 殺 亦 無 刀 杖 故 無 罪 
T42n1824_010:0153c25	亦無能施所施人。亦無物故無福。若汝今有	亦 無 能 施 所 施 人 亦 無 物 故 無 福 若 汝 今 有 
T42n1824_010:0153c26	定性能殺所殺及刀杖。各住自性不得動。	定 性 能 殺 所 殺 及 刀 杖 各 住 自 性 不 得 動 
T42n1824_010:0153c27	故無罪也。各住性不得施亦無福也。汝於	故 無 罪 也 各 住 性 不 得 施 亦 無 福 也 汝 於 
T42n1824_010:0153c28	罪福中下第二明無罪福之法。兩偈為二。	罪 福 中 下 第 二 明 無 罪 福 之 法 兩 偈 為 二 
T42n1824_010:0153c29	初明因果相離無罪福。次明因果不相離亦	初 明 因 果 相 離 無 罪 福 次 明 因 果 不 相 離 亦 
T42n1824_010:0154a01	無罪福。凡有罪福不出此二此二。既無故知	無 罪 福 凡 有 罪 福 不 出 此 二 此 二 既 無 故 知 
T42n1824_010:0154a02	無也。初偈上半牒。言不生者此是未生為不	無 也 初 偈 上 半 牒 言 不 生 者 此 是 未 生 為 不 
T42n1824_010:0154a03	生耳。下半破罪福因中未有於果。則是因果	生 耳 下 半 破 罪 福 因 中 未 有 於 果 則 是 因 果 
T42n1824_010:0154a04	相離。云何因能生果。又以外人執有定性。	相 離 云 何 因 能 生 果 又 以 外 人 執 有 定 性 
T42n1824_010:0154a05	故果報不應從罪福。若不從罪福生。則離罪	故 果 報 不 應 從 罪 福 若 不 從 罪 福 生 則 離 罪 
T42n1824_010:0154a06	福而有果報。偈文正爾也。第二偈直明因果	福 而 有 果 報 偈 文 正 爾 也 第 二 偈 直 明 因 果 
T42n1824_010:0154a07	不相離。則是由因有果果無自性。是故果空。	不 相 離 則 是 由 因 有 果 果 無 自 性 是 故 果 空 
T42n1824_010:0154a08	由果有因因亦空也。又釋二偈二開破之。汝	由 果 有 因 因 亦 空 也 又 釋 二 偈 二 開 破 之 汝 
T42n1824_010:0154a09	言有罪福果者。為從因生果為不從因而生。	言 有 罪 福 果 者 為 從 因 生 果 為 不 從 因 而 生 
T42n1824_010:0154a10	初偈破不從。第二偈破從。汝破一切法下第	初 偈 破 不 從 第 二 偈 破 從 汝 破 一 切 法 下 第 
T42n1824_010:0154a11	二還於世俗過。三偈為二。初偈為總後二為	二 還 於 世 俗 過 三 偈 為 二 初 偈 為 總 後 二 為 
T42n1824_010:0154a12	別。偈易知也。今問他義。汝世諦有因果。真	別 偈 易 知 也 今 問 他 義 汝 世 諦 有 因 果 真 
T42n1824_010:0154a13	無因果。則一邊有。一邊無。一邊破。一邊不	無 因 果 則 一 邊 有 一 邊 無 一 邊 破 一 邊 不 
T42n1824_010:0154a14	破。若說真則破世諦因果。說世則破真諦無	破 若 說 真 則 破 世 諦 因 果 說 世 則 破 真 諦 無 
T42n1824_010:0154a15	因果。若因果無因果二理並則如二角。又如	因 果 若 因 果 無 因 果 二 理 並 則 如 二 角 又 如 
T42n1824_010:0154a16	畫石。若真俗混成一物則俱失二諦。若破於	畫 石 若 真 俗 混 成 一 物 則 俱 失 二 諦 若 破 於 
T42n1824_010:0154a17	空義下第二別明無世俗。初偈明無人法之	空 義 下 第 二 別 明 無 世 俗 初 偈 明 無 人 法 之 
T42n1824_010:0154a18	體。次偈失萬物之相。世俗法中不出體相也。	體 次 偈 失 萬 物 之 相 世 俗 法 中 不 出 體 相 也 
T42n1824_010:0154a19	又初偈無造作過。後偈有常住過。偈易知。	又 初 偈 無 造 作 過 後 偈 有 常 住 過 偈 易 知 
T42n1824_010:0154a20	今問他義。汝因若無果明因生果。則應將無	今 問 他 義 汝 因 若 無 果 明 因 生 果 則 應 將 無 
T42n1824_010:0154a21	作有。以兔角為牛角。若不將無作有便將有	作 有 以 兔 角 為 牛 角 若 不 將 無 作 有 便 將 有 
T42n1824_010:0154a22	作有。既已有竟。何須作有。如已有因竟不應	作 有 既 已 有 竟 何 須 作 有 如 已 有 因 竟 不 應 
T42n1824_010:0154a23	更作因。已有果竟者何須更生。又若因無果	更 作 因 已 有 果 竟 者 何 須 更 生 又 若 因 無 果 
T42n1824_010:0154a24	而無作有者。色應作心心應作色。常作無常	而 無 作 有 者 色 應 作 心 心 應 作 色 常 作 無 常 
T42n1824_010:0154a25	無常作常。若有作有既已有。何須作。如是	無 常 作 常 若 有 作 有 既 已 有 何 須 作 如 是 
T42n1824_010:0154a26	無不作有有不作有。亦有亦無亦不作有。又	無 不 作 有 有 不 作 有 亦 有 亦 無 亦 不 作 有 又 
T42n1824_010:0154a27	汝言從生死無常作佛果常。佛果常復應作	汝 言 從 生 死 無 常 作 佛 果 常 佛 果 常 復 應 作 
T42n1824_010:0154a28	生死無常。若不爾豈非定性。他問我。人法	生 死 無 常 若 不 爾 豈 非 定 性 他 問 我 人 法 
T42n1824_010:0154a29	是世諦假有。何時是性。問汝。名字為假實	是 世 諦 假 有 何 時 是 性 問 汝 名 字 為 假 實 
T42n1824_010:0154b01	為有此假不。若實有此假豈非定性。若言非	為 有 此 假 不 若 實 有 此 假 豈 非 定 性 若 言 非 
T42n1824_010:0154b02	性可得假作無假義以不耶。次偈明無相。如	性 可 得 假 作 無 假 義 以 不 耶 次 偈 明 無 相 如 
T42n1824_010:0154b03	文。若無有空者下論主答中第三總結誡勸。	文 若 無 有 空 者 下 論 主 答 中 第 三 總 結 誡 勸 
T42n1824_010:0154b04	此品具破世出世。故須明誡勸。又得失是於	此 品 具 破 世 出 世 故 須 明 誡 勸 又 得 失 是 於 
T42n1824_010:0154b05	大事。如波若云。波若為大事故起。所謂示	大 事 如 波 若 云 波 若 為 大 事 故 起 所 謂 示 
T42n1824_010:0154b06	是道非道。今亦爾。示有所得定性此非是道。	是 道 非 道 今 亦 爾 示 有 所 得 定 性 此 非 是 道 
T42n1824_010:0154b07	示無所得因緣名之為道。故次明誡勸。前偈	示 無 所 得 因 緣 名 之 為 道 故 次 明 誡 勸 前 偈 
T42n1824_010:0154b08	明誡。次偈明勸。前偈誡令捨一切有所得定	明 誡 次 偈 明 勸 前 偈 誡 令 捨 一 切 有 所 得 定 
T42n1824_010:0154b09	性。汝若執有定性世出世一切得者不得。一	性 汝 若 執 有 定 性 世 出 世 一 切 得 者 不 得 一 
T42n1824_010:0154b10	切失者不失。故宜應捨性。偈中以定性故。	切 失 者 不 失 故 宜 應 捨 性 偈 中 以 定 性 故 
T42n1824_010:0154b11	所以未得不得無斷煩惱及盡苦也。次偈勸	所 以 未 得 不 得 無 斷 煩 惱 及 盡 苦 也 次 偈 勸 
T42n1824_010:0154b12	學因緣。一切得者。得一切失者。皆失偈中略	學 因 緣 一 切 得 者 得 一 切 失 者 皆 失 偈 中 略 
T42n1824_010:0154b13	明見因緣。有二種利益。一者見人則是見佛。	明 見 因 緣 有 二 種 利 益 一 者 見 人 則 是 見 佛 
T42n1824_010:0154b14	次明見法則見四諦。長行云。見因緣則見法	次 明 見 法 則 見 四 諦 長 行 云 見 因 緣 則 見 法 
T42n1824_010:0154b15	身者。因緣即寂滅性。寂滅性則施四句超百	身 者 因 緣 即 寂 滅 性 寂 滅 性 則 施 四 句 超 百 
T42n1824_010:0154b16	非。故如來品以寂滅為法身。又只丈六即是	非 故 如 來 品 以 寂 滅 為 法 身 又 只 丈 六 即 是 
T42n1824_010:0154b17	法身。故高丈六而不見其頂。下豈定下耶。	法 身 故 高 丈 六 而 不 見 其 頂 下 豈 定 下 耶 
T42n1824_010:0154b18	若言其高那復丈六。故知。不高不下非邊無	若 言 其 高 那 復 丈 六 故 知 不 高 不 下 非 邊 無 
T42n1824_010:0154b19	邊。故肇師云。豈捨丈六而遠求法身。涅槃	邊 故 肇 師 云 豈 捨 丈 六 而 遠 求 法 身 涅 槃 
T42n1824_010:0154b20	云。吾今此身即是法身也。問見因緣但見法	云 吾 今 此 身 即 是 法 身 也 問 見 因 緣 但 見 法 
T42n1824_010:0154b21	身。亦見應身。答見因緣寂滅即見法身。見寂	身 亦 見 應 身 答 見 因 緣 寂 滅 即 見 法 身 見 寂 
T42n1824_010:0154b22	滅因緣即見應身也。若三身明義見七尺身	滅 因 緣 即 見 應 身 也 若 三 身 明 義 見 七 尺 身 
T42n1824_010:0154b23	具見三身。七尺本寂滅即法身見於法身。與	具 見 三 身 七 尺 本 寂 滅 即 法 身 見 於 法 身 與 
T42n1824_010:0154b24	法身相應即應身。而七尺宛然故是化身。見	法 身 相 應 即 應 身 而 七 尺 宛 然 故 是 化 身 見 
T42n1824_010:0154b25	四諦者見寂滅因緣即見苦集。見因緣寂滅	四 諦 者 見 寂 滅 因 緣 即 見 苦 集 見 因 緣 寂 滅 
T42n1824_010:0154b26	即見滅道。涅槃經見緣起為見法。見法為見	即 見 滅 道 涅 槃 經 見 緣 起 為 見 法 見 法 為 見 
T42n1824_010:0154b27	佛。見佛見佛性。即是今論所引。問論主何故	佛 見 佛 見 佛 性 即 是 今 論 所 引 問 論 主 何 故 
T42n1824_010:0154b28	明見因緣。答須識此論大意及佛法大宗。正	明 見 因 緣 答 須 識 此 論 大 意 及 佛 法 大 宗 正 
T42n1824_010:0154b29	破性申因緣。上破性有性空竟。今申因緣有。	破 性 申 因 緣 上 破 性 有 性 空 竟 今 申 因 緣 有 
T42n1824_010:0154c01	因緣有即畢竟空。故是因緣空。宜須以此為	因 緣 有 即 畢 竟 空 故 是 因 緣 空 宜 須 以 此 為 
T42n1824_010:0154c02	正意也。	正 意 也 
T42n1824_010:0154c03	涅槃品第二十五	涅 槃 品 第 二 十 五 
T42n1824_010:0154c04	問何故次四諦品破涅槃耶。答大小二乘并	問 何 故 次 四 諦 品 破 涅 槃 耶 答 大 小 二 乘 并 
T42n1824_010:0154c05	有四諦一諦。小乘明有量之四。宗歸一滅諦	有 四 諦 一 諦 小 乘 明 有 量 之 四 宗 歸 一 滅 諦 
T42n1824_010:0154c06	也。大乘說無量之四。亦宗歸一滅諦也。所	也 大 乘 說 無 量 之 四 亦 宗 歸 一 滅 諦 也 所 
T42n1824_010:0154c07	以大小宗歸一滅者。三諦皆是有為。唯此一	以 大 小 宗 歸 一 滅 者 三 諦 皆 是 有 為 唯 此 一 
T42n1824_010:0154c08	滅是無為常住。又此滅是究竟無餘極果故。	滅 是 無 為 常 住 又 此 滅 是 究 竟 無 餘 極 果 故 
T42n1824_010:0154c09	三諦歸斯一極。故前破四諦今觀涅槃。又由	三 諦 歸 斯 一 極 故 前 破 四 諦 今 觀 涅 槃 又 由 
T42n1824_010:0154c10	稟四諦教生解。斷煩惱故得涅槃。故前觀四	稟 四 諦 教 生 解 斷 煩 惱 故 得 涅 槃 故 前 觀 四 
T42n1824_010:0154c11	諦後觀涅槃。又成論者云。四諦平等即是涅	諦 後 觀 涅 槃 又 成 論 者 云 四 諦 平 等 即 是 涅 
T42n1824_010:0154c12	槃。大品盛有此說。故上明四諦空即謂空是	槃 大 品 盛 有 此 說 故 上 明 四 諦 空 即 謂 空 是 
T42n1824_010:0154c13	涅槃。是故今品具明四句並非涅槃。何得以	涅 槃 是 故 今 品 具 明 四 句 並 非 涅 槃 何 得 以 
T42n1824_010:0154c14	空為涅槃耶。問何故二十五品最後破涅槃	空 為 涅 槃 耶 問 何 故 二 十 五 品 最 後 破 涅 槃 
T42n1824_010:0154c15	耶。答外謂涅槃是安神之本宅凡聖所同歸。	耶 答 外 謂 涅 槃 是 安 神 之 本 宅 凡 聖 所 同 歸 
T42n1824_010:0154c16	故肇師云。九流於是乎交歸。群聖於是乎冥	故 肇 師 云 九 流 於 是 乎 交 歸 群 聖 於 是 乎 冥 
T42n1824_010:0154c17	會。諸方等經亦盛談此說。故法華云。究竟	會 諸 方 等 經 亦 盛 談 此 說 故 法 華 云 究 竟 
T42n1824_010:0154c18	涅槃常寂滅相終歸於空。是故最後論於涅	涅 槃 常 寂 滅 相 終 歸 於 空 是 故 最 後 論 於 涅 
T42n1824_010:0154c19	槃。二者論佛出世大意。為令眾生捨於生死	槃 二 者 論 佛 出 世 大 意 為 令 眾 生 捨 於 生 死 
T42n1824_010:0154c20	得大涅槃。若爾必有生死者可捨。涅槃可得。	得 大 涅 槃 若 爾 必 有 生 死 者 可 捨 涅 槃 可 得 
T42n1824_010:0154c21	斯理不差。決定有故最後論之。三者外謂。龍	斯 理 不 差 決 定 有 故 最 後 論 之 三 者 外 謂 龍 
T42n1824_010:0154c22	樹出世作論。破病申經大宗。亦令眾生脫生	樹 出 世 作 論 破 病 申 經 大 宗 亦 令 眾 生 脫 生 
T42n1824_010:0154c23	死苦得涅槃。若不為脫生死苦令得涅槃。何	死 苦 得 涅 槃 若 不 為 脫 生 死 苦 令 得 涅 槃 何 
T42n1824_010:0154c24	事破病申佛教耶故知。造論終歸涅槃。故最	事 破 病 申 佛 教 耶 故 知 造 論 終 歸 涅 槃 故 最 
T42n1824_010:0154c25	後論也。四依經說雙林最後既說涅槃。是故	後 論 也 四 依 經 說 雙 林 最 後 既 說 涅 槃 是 故 
T42n1824_010:0154c26	論主最後論也。釋涅槃不同。外道七師小乘	論 主 最 後 論 也 釋 涅 槃 不 同 外 道 七 師 小 乘 
T42n1824_010:0154c27	二說方等四計。外道七師者一執涅槃與無	二 說 方 等 四 計 外 道 七 師 者 一 執 涅 槃 與 無 
T42n1824_010:0154c28	煩惱不異。二計涅槃是無煩惱因。三立涅槃	煩 惱 不 異 二 計 涅 槃 是 無 煩 惱 因 三 立 涅 槃 
T42n1824_010:0154c29	是無煩惱果。四明畢竟無處名為涅槃。此如	是 無 煩 惱 果 四 明 畢 竟 無 處 名 為 涅 槃 此 如 
T42n1824_010:0155a01	百論破常品說。次檀提婆羅門計於此身即	百 論 破 常 品 說 次 檀 提 婆 羅 門 計 於 此 身 即 
T42n1824_010:0155a02	是涅槃不須更滅。此明欲界為涅槃。次阿羅	是 涅 槃 不 須 更 滅 此 明 欲 界 為 涅 槃 次 阿 羅 
T42n1824_010:0155a03	羅計無想為涅槃。此計色界為涅槃也。欝頭	羅 計 無 想 為 涅 槃 此 計 色 界 為 涅 槃 也 欝 頭 
T42n1824_010:0155a04	藍弗計非想為涅槃。此計無色界為涅槃也。	藍 弗 計 非 想 為 涅 槃 此 計 無 色 界 為 涅 槃 也 
T42n1824_010:0155a05	此三外道以三有為涅槃。合前為七種也。小	此 三 外 道 以 三 有 為 涅 槃 合 前 為 七 種 也 小 
T42n1824_010:0155a06	乘二師者。一毘曇計無為涅槃是常是善。本	乘 二 師 者 一 毘 曇 計 無 為 涅 槃 是 常 是 善 本 
T42n1824_010:0155a07	自有之在煩惱外。後斷煩惱起得得之屬於	自 有 之 在 煩 惱 外 後 斷 煩 惱 起 得 得 之 屬 於 
T42n1824_010:0155a08	行者。二成實明涅槃但是無法。非三性攝。從	行 者 二 成 實 明 涅 槃 但 是 無 法 非 三 性 攝 從 
T42n1824_010:0155a09	善因得義說為善。大乘四種者。一者明涅槃	善 因 得 義 說 為 善 大 乘 四 種 者 一 者 明 涅 槃 
T42n1824_010:0155a10	性體是世諦之法。所以然者陶練小智終成	性 體 是 世 諦 之 法 所 以 然 者 陶 練 小 智 終 成 
T42n1824_010:0155a11	大覺。累無不寂德無不圓。故涅槃名為有法。	大 覺 累 無 不 寂 德 無 不 圓 故 涅 槃 名 為 有 法 
T42n1824_010:0155a12	第二釋云。以空為涅槃。即是實相。實相名第	第 二 釋 云 以 空 為 涅 槃 即 是 實 相 實 相 名 第 
T42n1824_010:0155a13	一義諦。三釋云。涅槃非真非俗。世諦是麁有。	一 義 諦 三 釋 云 涅 槃 非 真 非 俗 世 諦 是 麁 有 
T42n1824_010:0155a14	真諦為妙無。涅槃異彼麁有。亦不同妙無。故	真 諦 為 妙 無 涅 槃 異 彼 麁 有 亦 不 同 妙 無 故 
T42n1824_010:0155a15	出二諦外。四釋云。四句內並非至極起出	出 二 諦 外 四 釋 云 四 句 內 並 非 至 極 起 出 
T42n1824_010:0155a16	四句方是涅槃。唯四師不同大明二種。成實	四 句 方 是 涅 槃 唯 四 師 不 同 大 明 二 種 成 實 
T42n1824_010:0155a17	者明本始有二種涅槃。十地師明性淨方便	者 明 本 始 有 二 種 涅 槃 十 地 師 明 性 淨 方 便 
T42n1824_010:0155a18	淨。方便淨修因所得。性淨則古今常有。然	淨 方 便 淨 修 因 所 得 性 淨 則 古 今 常 有 然 
T42n1824_010:0155a19	方便淨猶是始有異名。性淨則本有殊稱。攝	方 便 淨 猶 是 始 有 異 名 性 淨 則 本 有 殊 稱 攝 
T42n1824_010:0155a20	大乘論四種涅槃。一本性寂滅。二有餘。三無	大 乘 論 四種涅槃 一 本 性 寂 滅 二 有 餘 三 無 
T42n1824_010:0155a21	餘。四無住處。釋無住處二。初依三身品法身	餘 四 無 住 處 釋 無 住 處 二 初 依 三 身 品 法 身 
T42n1824_010:0155a22	不住生死。應身化身不住涅槃。次用二無我	不 住 生 死 應 身 化 身 不住涅槃 次 用 二 無 我 
T42n1824_010:0155a23	理三無性理。無所住處為無住處。又此四師	理 三 無 性 理 無 所 住 處 為 無 住 處 又 此 四 師 
T42n1824_010:0155a24	同釋。涅槃備於三德。謂法身般若解脫。所以	同 釋 涅 槃 備 於 三 德 謂 法 身 般 若 解 脫 所 以 
T42n1824_010:0155a25	立三德為涅槃者。略有四義。生死與涅槃相	立 三 德 為 涅 槃 者 略 有 四 義 生 死 與 涅 槃 相 
T42n1824_010:0155a26	對生死有於三障。謂煩惱業苦。對報障故明	對 生 死 有 於 三 障 謂 煩 惱 業 苦 對 報 障 故 明 
T42n1824_010:0155a27	於法身。對業障故辨於解脫。對煩惱障說於	於 法 身 對 業 障 故 辨 於 解 脫 對 煩 惱 障 說 於 
T42n1824_010:0155a28	般若。二者欲顯如來三業自在。有法身故身	般 若 二 者 欲 顯 如 來 三 業 自 在 有 法 身 故 身 
T42n1824_010:0155a29	業自在。具般若故口業自在。有解脫故意業	業 自 在 具 般 若 故 口 業 自 在 有 解 脫 故 意 業 
T42n1824_010:0155b01	自在。具如涅槃四相品明。三者德雖無窮三	自 在 具 如 涅 槃 四 相 品 明 三 者 德 雖 無 窮 三 
T42n1824_010:0155b02	義足略。無境不照名為般若。無感不應名為	義 足 略 無 境 不 照 名 為 般 若 無 感 不 應 名 為 
T42n1824_010:0155b03	法身。無累不盡稱為解脫。四者為對二乘三	法 身 無 累 不 盡 稱 為 解 脫 四 者 為 對 二 乘 三 
T42n1824_010:0155b04	德不圓。有身智時解脫未足。解脫若足即無	德 不 圓 有 身 智 時 解 脫 未 足 解 脫 若 足 即 無 
T42n1824_010:0155b05	復身智。故明如來三德圓滿。問此品何故破	復 身 智 故 明 如 來 三 德 圓 滿 問 此 品 何 故 破 
T42n1824_010:0155b06	涅槃耶。答略明四義。一者惑人執非涅槃為	涅 槃 耶 答 略 明 四 義 一 者 惑 人 執 非 涅 槃 為 
T42n1824_010:0155b07	涅槃。故須破之。所以然者。涅槃不如惑者所	涅 槃 故 須 破 之 所 以 然 者 涅 槃 不 如 惑 者 所 
T42n1824_010:0155b08	謂種種推拆橫計涅槃。故須破之。二者惑人	謂 種 種 推 拆 橫 計 涅 槃 故 須 破 之 二 者 惑 人 
T42n1824_010:0155b09	執涅槃為非涅槃。所以然者。生死本是涅槃。	執 涅 槃 為 非 涅 槃 所 以 然 者 生 死 本 是 涅 槃 
T42n1824_010:0155b10	而謂生死非是涅槃。故須破之。故下文云。	而 謂 生 死 非 是 涅 槃 故 須 破 之 故 下 文 云 
T42n1824_010:0155b11	生死之實際及以涅槃際。如是二際者無毫	生 死 之 實 際 及 以 涅 槃 際 如 是 二 際 者 無 毫 
T42n1824_010:0155b12	釐差別。華嚴云。生死非雜亂涅槃非寂靜。	釐 差 別 華 嚴 云 生 死 非 雜 亂 涅 槃 非 寂 靜 
T42n1824_010:0155b13	三者雖有內外大小不同同言有涅槃。若爾	三 者 雖 有 內 外 大 小 不 同 同 言 有 涅 槃 若 爾 
T42n1824_010:0155b14	便成有見。既成有見乃是生死。不名涅槃。故	便 成 有 見 既 成 有 見 乃 是 生 死 不 名 涅 槃 故 
T42n1824_010:0155b15	有所得人若生死若涅槃。皆是生死。今求此	有 所 得 人 若 生 死 若 涅 槃 皆 是 生 死 今 求 此 
T42n1824_010:0155b16	生死涅槃不可得乃名涅槃。又言有生死則	生死涅槃 不 可 得 乃 名 涅 槃 又 言 有 生 死 則 
T42n1824_010:0155b17	為生死所繫。執有涅槃為涅槃所繫。涅槃名	為 生 死 所 繫 執 有 涅 槃 為 涅 槃 所 繫 涅 槃 名 
T42n1824_010:0155b18	為解脫。既是繫縛。何名涅槃。今此品求生死	為 解 脫 既 是 繫 縛 何 名 涅 槃 今 此 品 求 生 死 
T42n1824_010:0155b19	涅槃不可得。脫於二繫名為解脫。方是涅槃。	涅 槃 不 可 得 脫 於 二 繫 名 為 解 脫 方 是 涅 槃 
T42n1824_010:0155b20	四者欲釋諸大乘明涅槃義。如大品云。若得	四 者 欲 釋 諸 大 乘 明 涅 槃 義 如 大 品 云 若 得 
T42n1824_010:0155b21	有法過涅槃者亦如幻夢。所以然者。諸法未	有 法 過 涅 槃 者 亦 如 幻 夢 所 以 然 者 諸 法 未 
T42n1824_010:0155b22	曾生死。亦非涅槃。但為眾生虛妄故成生死。	曾 生 死 亦 非 涅 槃 但 為 眾 生 虛 妄 故 成 生 死 
T42n1824_010:0155b23	為止生死故強說涅槃。生死若除則涅槃亦	為 止 生 死 故 強 說 涅 槃 生 死 若 除 則 涅 槃 亦 
T42n1824_010:0155b24	息。故華嚴云。生死與涅槃二俱不可得。是法	息 故 華 嚴 云 生 死 與 涅 槃 二 俱 不 可 得 是 法 
T42n1824_010:0155b25	不可示。言辭相寂滅也。品開三章。第一論涅	不 可 示 言 辭 相 寂 滅 也 品 開 三 章 第 一 論 涅 
T42n1824_010:0155b26	槃。第二論生死。第三總結。初二。第一論所	槃 第 二 論 生 死 第 三 總 結 初 二 第 一 論 所 
T42n1824_010:0155b27	證涅槃邪之與正。第二論能證之人邪之與	證 涅 槃 邪 之 與 正 第 二 論 能 證 之 人 邪 之 與 
T42n1824_010:0155b28	正。初又二。第一略破邪涅槃申正涅槃。第二	正 初 又 二 第 一 略 破 邪 涅 槃 申 正 涅 槃 第 二 
T42n1824_010:0155b29	廣破邪涅槃申正涅槃。所以開此二章者。諸	廣 破 邪 涅 槃 申 正 涅 槃 所 以 開 此 二 章 者 諸 
T42n1824_010:0155c01	方等經大明涅槃橫絕百非。竪超四句。累無	方 等 經 大 明 涅 槃 橫 絕 百 非 竪 超 四 句 累 無 
T42n1824_010:0155c02	不寂德無不圓。初略破邪涅槃申正涅槃。明	不 寂 德 無 不 圓 初 略 破 邪 涅 槃 申 正 涅 槃 明 
T42n1824_010:0155c03	橫絕百非。次廣破邪涅槃辨正涅槃。竪超四	橫 絕 百 非 次 廣 破 邪 涅 槃 辨 正 涅 槃 竪 超 四 
T42n1824_010:0155c04	句。初門為二。一者略破邪涅槃。二者略申	句 初 門 為 二 一 者 略 破 邪 涅 槃 二 者 略 申 
T42n1824_010:0155c05	正涅槃。初又二。初寄外破空非涅槃。次就論	正 涅 槃 初 又 二 初 寄 外 破 空 非 涅 槃 次 就 論 
T42n1824_010:0155c06	主顯有非涅槃。所以破此二者空有是諸見	主 顯 有 非 涅 槃 所 以 破 此 二 者 空 有 是 諸 見 
T42n1824_010:0155c07	根。又是障道本。又是大小所執。大乘人多執	根 又 是 障 道 本 又 是 大 小 所 執 大 乘 人 多 執 
T42n1824_010:0155c08	空。小乘人多執有盛行於世。初偈上半牒空	空 小 乘 人 多 執 有 盛 行 於 世 初 偈 上 半 牒 空 
T42n1824_010:0155c09	義。下半正破空。若一切法空則無煩惱生。故	義 下 半 正 破 空 若 一切法空 則 無 煩 惱 生 故 
T42n1824_010:0155c10	無所斷。則無有餘。若一切空則無五陰生。何	無 所 斷 則 無 有 餘 若 一 切 空 則 無 五 陰 生 何 
T42n1824_010:0155c11	所滅。故稱為無餘。此難通大小乘人。小乘斷	所 滅 故 稱 為 無 餘 此 難 通 大 小 乘 人 小 乘 斷 
