T85n2749_001:0180a03	法華經疏	法 華 經 疏 
T85n2749_001:0186c05	一果根類。謂宿業所生。二長養類。謂現緣所	一 果 根 類 謂 宿 業 所 生 二 長 養 類 謂 現 緣 所 
T85n2749_001:0186c06	發。今言父母所生者。明是果根也清淨肉眼	發 今 言 父母所生 者 明 是 果 根 也 清 淨 肉 眼 
T85n2749_001:0186c07	者。明是淨根體也。以是地前菩薩分段根故。	者 明 是 淨 根 體 也 以 是 地 前 菩 薩 分 段 根 故 
T85n2749_001:0186c08	經曰。見於三千世界者。照境寬也。明此眼力	經 曰 見 於 三千世界 者 照 境 寬 也 明 此 眼 力 
T85n2749_001:0186c09	用。與緣覺修得天眼及佛根。得天眼見境相	用 與 緣 覺 修 得 天 眼 及 佛 根 得 天 眼 見 境 相 
T85n2749_001:0186c10	似。真諦引隨實論云。聲聞根得天眼見小千	似 真 諦 引 隨 實 論 云 聲 聞 根 得 天 眼 見 小 千 
T85n2749_001:0186c11	世界色。修得天眼見中千世界色。緣覺根天	世 界 色 修 得 天 眼 見 中千世界 色 緣 覺 根 天 
T85n2749_001:0186c12	眼見中千世界色。修得天眼見大千世界色。	眼 見 中千世界 色 修 得 天 眼 見 大千世界 色 
T85n2749_001:0186c13	佛眼得天眼見大千世界色。修得天眼見無	佛 眼 得 天 眼 見 大千世界 色 修 得 天 眼 見 無 
T85n2749_001:0186c14	邊世界色。此與雜心同。彼云。聲聞不方便見	邊 世 界 色 此 與 雜 心 同 彼 云 聲 聞 不 方 便 見 
T85n2749_001:0186c15	小千世界。方便見二千世界。緣覺不方便見	小千世界 方 便 見 二 千 世 界 緣 覺 不 方 便 見 
T85n2749_001:0186c16	二千世界。方便見三千世界佛不方便見三	二 千 世 界 方 便 見 三千世界 佛 不 方 便 見 三 
T85n2749_001:0186c17	千世界。方便見無量無邊億百千三千世界。	千 世 界 方 便 見 無量無邊 億 百 千 三千世界 
T85n2749_001:0186c18	案不方便者是用根得天眼。方便者是用修	案 不 方 便 者 是 用 根 得 天 眼 方 便 者 是 用 修 
T85n2749_001:0186c19	得天眼。真諦明此言報得天眼者。並是欲界	得 天 眼 真 諦 明 此 言 報 得 天 眼 者 並 是 欲 界 
T85n2749_001:0186c20	業所感。然勝天中根得天眼。三乘無學漏若	業 所 感 然 勝 天 中 根 得 天 眼 三 乘 無 學 漏 若 
T85n2749_001:0186c21	不盡應用此業。欲界天中受根。由不受後有	不 盡 應 用 此 業 欲 界 天 中 受 根 由 不 受 後 有 
T85n2749_001:0186c22	故。先所有勝業。悉於無學身中受勝天眼。在	故 先 所 有 勝 業 悉 於 無 學 身 中 受 勝 天 眼 在 
T85n2749_001:0186c23	肉眼中隨覺觀所弘。若欲見近色則發肉眼	肉 眼 中 隨 覺 觀 所 弘 若 欲 見 近 色 則 發 肉 眼 
T85n2749_001:0186c24	識。若欲見遠名則發天眼識。今明持經力故。	識 若 欲 見 遠 名 則 發 天 眼 識 今 明 持 經 力 故 
T85n2749_001:0186c25	肉眼亦見三千明力大也。不見三千外者。智	肉 眼 亦 見 三 千 明 力 大 也 不 見 三 千 外 者 智 
T85n2749_001:0186c26	度論云。三千外有風輪。與眼相違故不能見	度 論 云 三 千 外 有 風 輪 與 眼 相 違 故 不 能 見 
T85n2749_001:0186c27	也。	也 
T85n2749_001:0186c28	經曰。內外所有山林河海者。見緣悉也。前雖	經 曰 內 外 所 有 山 林 河 海 者 見 緣 悉 也 前 雖 
T85n2749_001:0186c29	見寬其間或有見大不見小。如遠見大山不	見 寬 其 間 或 有 見 大 不 見 小 如 遠 見 大 山 不 
T85n2749_001:0187a01	覩細物。或見遠不見近。如遠覩日輪不見眼	覩 細 物 或 見 遠 不 見 近 如 遠 覩 日 輪 不 見 眼 
T85n2749_001:0187a02	睫。今明大小遠近一切悉見。一四天下有八	睫 今 明 大 小 遠 近 一 切 悉 見 一 四 天 下 有 八 
T85n2749_001:0187a03	大山。有八大海。如是三千世界有百億八十	大 山 有 八 大 海 如 是 三千世界 有 百 億 八 十 
T85n2749_001:0187a04	山百億八大海。有千中鐵圍有一大鐵圍。其	山 百 億 八 大 海 有 千 中 鐵 圍 有 一 大 鐵 圍 其 
T85n2749_001:0187a05	中小山小海諸林諸河不可勝數。如是悉見。	中 小 山 小 海 諸 林 諸 河 不 可 勝 數 如 是 悉 見 
T85n2749_001:0187a06	經曰。下至阿鼻上至有頂者。過地度也。地度	經 曰 下 至 阿 鼻 上 至 有 頂 者 過 地 度 也 地 度 
T85n2749_001:0187a07	法上得見下下不見上。今此眼力亦能見上	法 上 得 見 下 下 不 見 上 今 此 眼 力 亦 能 見 上 
T85n2749_001:0187a08	至有色之頂故。過地度也。	至 有 色 之 頂 故 過 地 度 也 
T85n2749_001:0187a09	經曰。亦見其中一切眾生者。窮生類也。如上	經 曰 亦 見 其 中 一 切 眾 生 者 窮 生 類 也 如 上 
T85n2749_001:0187a10	五類眾生悉皆見之故。言一切也。	五 類 眾 生 悉 皆 見 之 故 言 一 切 也 
T85n2749_001:0187a11	經曰。及業因緣果根生處悉見悉知者。委事	經 曰 及 業 因 緣 果 根 生 處 悉 見 悉 知 者 委 事 
T85n2749_001:0187a12	緒也。四意。一知業體。二知業因。三知業緣。	緒 也 四 意 一 知 業 體 二 知 業 因 三 知 業 緣 
T85n2749_001:0187a13	四知業果。業者業體。謂身口意。身業眼根境。	四 知 業 果 業 者 業 體 謂 身 口 意 身 業 眼 根 境 
T85n2749_001:0187a14	口業耳根境。意業意根境。知身業者自用。知	口 業 耳 根 境 意 業 意 根 境 知 身 業 者 自 用 知 
T85n2749_001:0187a15	口意者互用。因者業因也。惡業以三惡根為	口 意 者 互 用 因 者 業 因 也 惡 業 以 三 惡 根 為 
T85n2749_001:0187a16	因。善業以三善根為因。並是意根境。眼根知	因 善 業 以 三 善 根 為 因 並 是 意 根 境 眼 根 知 
T85n2749_001:0187a17	者互用。緣者業緣。一人緣惡業。以惡友為	者 互 用 緣 者 業 緣 一 人 緣 惡 業 以 惡 友 為 
T85n2749_001:0187a18	緣。善業以善友為緣。二物緣惡業。以刀仗等	緣 善 業 以 善 友 為 緣 二 物 緣 惡 業 以 刀 仗 等 
T85n2749_001:0187a19	為緣。善業以香花等為緣。此是眼根自境果	為 緣 善 業 以 香 花 等 為 緣 此 是 眼 根 自 境 果 
T85n2749_001:0187a20	根生處者。是業果也。知果略有六門。一知好	根 生 處 者 是 業 果 也 知 果 略 有 六 門 一 知 好 
T85n2749_001:0187a21	惡。二知交賒。三知多少。四知生熟。五知受	惡 二 知 交 賒 三 知 多 少 四 知 生 熟 五 知 受 
T85n2749_001:0187a22	處。六知受心。一知好惡者。十住論云。知根	處 六 知 受 心 一 知 好 惡 者 十 住 論 云 知 根 
T85n2749_001:0187a23	者知諸業各各有根。善業或善處生或得涅	者 知 諸 業 各 各 有 根 善 業 或 善 處 生 或 得 涅 
T85n2749_001:0187a24	槃惡業惡處生。二知交賒者。謂知三時根。得	槃 惡 業 惡 處 生 二 知 交 賒 者 謂 知 三 時 根 得 
T85n2749_001:0187a25	現根為交。得生後為賒。三知多少者感一世	現 根 為 交 得 生 後 為 賒 三 知 多 少 者 感 一 世 
T85n2749_001:0187a26	為少。感二世三世為多。如是過去業得七根。	為 少 感 二 世 三 世 為 多 如 是 過 去 業 得 七 根 
T85n2749_001:0187a27	三單感三複感一總感現在業得三報。二單	三 單 感 三 複 感 一 總 感 現 在 業 得 三 報 二 單 
T85n2749_001:0187a28	感一總感未來業得一根。一單感合三世業	感 一 總 感 未 來 業 得 一 根 一 單 感 合 三 世 業 
T85n2749_001:0187a29	感　一根故。十住論說。佛知眾生過去業根。	感 一 根 故 十 住 論 說 佛 知 眾 生 過 去 業 根 
T85n2749_001:0187b01	或業過去根在過去。或業過去根在現在。或	或 業 過 去 根 在 過 去 或 業 過 去 根 在 現 在 或 
T85n2749_001:0187b02	業過去根在未來。或業過去根在過去未來。	業 過 去 根 在 未 來 或 業 過 去 根 在 過去未來 
T85n2749_001:0187b03	或業過去根在過去現在。或業過去根在未	或 業 過 去 根 在 過去現在 或 業 過 去 根 在 未 
T85n2749_001:0187b04	來現在。或業過去根在過去未來現在。或業	來 現 在 或 業 過 去 根 在 過去未來現在 或 業 
T85n2749_001:0187b05	現在根在現在。或業現在根在未來。或業現	現 在 根 在 現 在 或 業 現 在 根 在 未 來 或 業 現 
T85n2749_001:0187b06	在根在現在未來。或業未來根在未來。有如	在 根 在 現在未來 或 業 未 來 根 在 未 來 有 如 
T85n2749_001:0187b07	是分別。四知生熟者。智度論云。二種業必受	是 分 別 四 知 生 熟 者 智 度 論 云 二 種 業 必 受 
T85n2749_001:0187b08	根不必受根。必受者不可離或待時待處待	根 不 必 受 根 必 受 者 不 可 離 或 待 時 待 處 待 
T85n2749_001:0187b09	人受根。如人應共輪王受福。待輪王出時。是	人 受 根 如 人 應 共 輪 王 受 福 待 輪 王 出 時 是 
T85n2749_001:0187b10	待時人即輪王處即輪王出處。五知受處者。	待 時 人 即 輪 王 處 即 輪 王 出 處 五 知 受 處 者 
T85n2749_001:0187b11	智度論云。欲界受三受業根處。色界受二受	智 度 論 云 欲 界 受 三 受 業 根 處 色 界 受 二 受 
T85n2749_001:0187b12	業根處。無色界受一受業根處。六知受心者。	業 根 處 無 色 界 受 一 受 業 根 處 六 知 受 心 者 
T85n2749_001:0187b13	智度論云。善心中受善不善無記根不善心	智 度 論 云 善 心 中 受 善不善無記 根 不 善 心 
T85n2749_001:0187b14	無記心亦如是。如是六事一一知是名知業	無 記 心 亦 如 是 如 是 六 事 一 一 知 是 名 知 業 
T85n2749_001:0187b15	果。問。為即肉眼知未來耶。為有別智知未來	果 問 為 即 肉 眼 知 未 來 耶 為 有 別 智 知 未 來 
T85n2749_001:0187b16	耶。若即肉眼知者。肉眼見現在色不應知未	耶 若 即 肉 眼 知 者 肉 眼 見 現 在 色 不 應 知 未 
T85n2749_001:0187b17	來。若有別智知者。云云何說父母所生肉眼	來 若 有 別 智 知 者 云 云 何 說 父母所生 肉 眼 
T85n2749_001:0187b18	知耶。答。因肉眼起別智知故說肉眼知。肉	知 耶 答 因 肉 眼 起 別 智 知 故 說 肉 眼 知 肉 
T85n2749_001:0187b19	眼見人死時生時色。意識知未來。如天眼知	眼 見 人 死 時 生 時 色 意 識 知 未 來 如 天 眼 知 
T85n2749_001:0187b20	未來。此亦爾故。俱舍云。天眼天耳以色聲為	未 來 此 亦 爾 故 俱 舍 云 天眼天耳 以 色 聲 為 
T85n2749_001:0187b21	境。若爾死生通惠。云何知彼眾生與身口意	境 若 爾 死 生 通 惠 云 何 知 彼 眾 生 與 身 口 意 
T85n2749_001:0187b22	邪行相應誹謗聖人。由此捨命。必受無行惡	邪 行 相 應 誹 謗 聖 人 由 此 捨 命 必 受 無 行 惡 
T85n2749_001:0187b23	道墮負黑闇處生。廣說如經。答由天眼不得	道 墮 負 黑 闇 處 生 廣說如經 答 由 天 眼 不 得 
T85n2749_001:0187b24	知有別智。是天眼通惠伴類聖人相續中生	知 有 別 智 是 天 眼 通 惠 伴 類 聖 人 相 續 中 生 
T85n2749_001:0187b25	能知如此。解脫道論亦云。天眼生四智。未來	能 知 如 此 解 脫 道 論 亦 云 天 眼 生 四 智 未 來 
T85n2749_001:0187b26	分智。自作業智。如行業智。果報業智。以未來	分 智 自 作 業 智 如 行 業 智 果 報 業 智 以 未 來 
T85n2749_001:0187b27	分智。於未來色當起知之。以自作業智見他。	分 智 於 未 來 色 當 起 知 之 以 自 作 業 智 見 他 
T85n2749_001:0187b28	以此業當往彼趣知之。以如行業智。見此人	以 此 業 當 往 彼 趣 知 之 以 如 行 業 智 見 此 人 
T85n2749_001:0187b29	生趣。以此業在先生此知之。以業果報智。至	生 趣 以 此 業 在 先 生 此 知 之 以 業 果 報 智 至 
T85n2749_001:0187c01	此明至此煩惱至此方便。此業應熟。此業不	此 明 至 此 煩 惱 至 此 方 便 此 業 應 熟 此 業 不 
T85n2749_001:0187c02	應受。此業應多受。此業應少受知之。案今由	應 受 此 業 應 多 受 此 業 應 少 受 知 之 案 今 由 
T85n2749_001:0187c03	經力肉眼起。智亦復如是。故云肉眼知。非即	經 力 肉 眼 起 智 亦復如是 故 云 肉 眼 知 非 即 
T85n2749_001:0187c04	肉眼知也。次偈頌六偈三重。初一偈頌眼因。	肉 眼 知 也 次 偈 頌 六 偈 三 重 初 一 偈 頌 眼 因 
T85n2749_001:0187c05	次一偈頌眼體。後三偈頌眼用。用中云彌樓	次 一 偈 頌 眼 體 後 三 偈 頌 眼 用 用 中 云 彌 樓 
T85n2749_001:0187c06	山者。此云高山。亦日光山。須彌山者。此云	山 者 此 云 高 山 亦 日 光 山 須 彌 山 者 此 云 
T85n2749_001:0187c07	妙高山。	妙 高 山 
T85n2749_001:0187c08	經曰。復次常精進至得千二百耳功德者。次	經 曰 復 次 常 精 進 至 得 千 二 百 耳 功 德 者 次 
T85n2749_001:0187c09	明耳根功德。序說四重。一指定因果。二總境	明 耳 根 功 德 序 說 四 重 一 指 定 因 果 二 總 境 
T85n2749_001:0187c10	寬狹。三委知巨細。四結其力能。此指定因果	寬 狹 三 委 知 巨 細 四 結 其 力 能 此 指 定 因 果 
T85n2749_001:0187c11	也。	也 
T85n2749_001:0187c12	經曰。以是清淨耳至言語音聲者。此總境寬	經 曰 以 是 清 淨 耳 至 言 語 音 聲 者 此 總 境 寬 
T85n2749_001:0187c13	狹。	狹 
T85n2749_001:0187c14	經曰。象聲馬聲至佛聲者。此委知巨細也。	經 曰 象 聲 馬 聲 至 佛 聲 者 此 委 知 巨 細 也 
T85n2749_001:0187c15	經曰。以要言之至不壞耳根者。此結其力能	經 曰 以要言之 至 不 壞 耳 根 者 此 結 其 力 能 
T85n2749_001:0187c16	也。凡人六根取塵過度。及塵過強其根則壞。	也 凡 人 六 根 取 塵 過 度 及 塵 過 強 其 根 則 壞 
T85n2749_001:0187c17	今由經力雖過雖強亦不能壞。次頌十八偈	今 由 經 力 雖 過 雖 強 亦 不 能 壞 次 頌 十 八 偈 
T85n2749_001:0187c18	四重。初一偈總境寬狹。次九偈半能知事類。	四 重 初 一 偈 總 境 寬 狹 次 九 偈 半 能 知 事 類 
T85n2749_001:0187c19	次四偈半善聽法音。後三偈美其力用。事類	次 四 偈 半 善 聽 法 音 後 三 偈 美 其 力 用 事 類 
T85n2749_001:0187c20	六重。初兩偈聞人中事類聲。次一偈聞天中	六 重 初 兩 偈 聞 人 中 事 類 聲 次 一 偈 聞 天 中 
T85n2749_001:0187c21	事類聲。次兩偈聞山中事類聲。次兩偈聞海	事 類 聲 次 兩 偈 聞 山 中 事 類 聲 次 兩 偈 聞 海 
T85n2749_001:0187c22	中事類聲。次一偈聞亂鳥事類聲。後一偈半	中 事 類 聲 次 一 偈 聞 亂 鳥 事 類 聲 後 一 偈 半 
T85n2749_001:0187c23	聞淨天事類聲。次四偈半聞法音三重。初一	聞 淨 天 事 類 聲 次 四 偈 半 聞 法 音 三 重 初 一 
T85n2749_001:0187c24	偈半聞聲聞說法聲。次一偈半聞菩薩說法	偈 半 聞 聲 聞 說 法 聲 次 一 偈 半 聞 菩 薩 說 法 
T85n2749_001:0187c25	聲。後一偈半聞如來說法聲。次三偈美其力	聲 後 一 偈 半 聞 如 來 說 法 聲 次 三 偈 美 其 力 
T85n2749_001:0187c26	用。初兩偈美能。後一偈美位。	用 初 兩 偈 美 能 後 一 偈 美 位 
T85n2749_001:0187c27	經曰。復次常精至八百鼻功德者。次明鼻根。	經 曰 復 次 常 精 至 八 百 鼻 功 德 者 次 明 鼻 根 
T85n2749_001:0187c28	序說四重一指定因果。二總境寬狹。三委知	序 說 四 重 一 指 定 因 果 二 總 境 寬 狹 三 委 知 
T85n2749_001:0187c29	巨細。四結其力能。此指定因果也。	巨 細 四 結 其 力 能 此 指 定 因 果 也 
T85n2749_001:0188a01	經曰。以是清淨鼻根至種種諸香者。總境寬	經 曰 以 是 清 淨 鼻 根 至 種 種 諸 香 者 總 境 寬 
T85n2749_001:0188a02	狹也。	狹 也 
T85n2749_001:0188a03	經曰。須曼那華至悉能分別者。次委知巨細	經 曰 須 曼 那 華 至 悉 能 分 別 者 次 委 知 巨 細 
T85n2749_001:0188a04	也。四重。一聞地居身外香。二聞地居身內	也 四 重 一 聞 地 居 身 外 香 二 聞 地 居 身 內 
T85n2749_001:0188a05	香。三聞天居身外香。四聞天居身內香。此聞	香 三 聞 天 居 身 外 香 四 聞 天 居 身 內 香 此 聞 
T85n2749_001:0188a06	地居身外香也。須曼那者此云好意。闍提者	地 居 身 外 香 也 須 曼 那 者 此 云 好 意 闍 提 者 
T85n2749_001:0188a07	此云生亦曰實。瞻蔔者此云黃華。亦曰金色	此 云 生 亦 曰 實 瞻 蔔 者 此 云 黃 華 亦 曰 金 色 
T85n2749_001:0188a08	華。波羅羅者此云重(平聲)。	華 波 羅 羅 者 此 云 重 平 聲 
T85n2749_001:0188a09	經曰。又復別知至分別不錯者。此聞地居身	經 曰 又 復 別 知 至 分 別 不 錯 者 此 聞 地 居 身 
T85n2749_001:0188a10	內香也。	內 香 也 
T85n2749_001:0188a11	經曰。持是經者至無不聞知者。此聞天居身	經 曰 持 是 經 者 至 無 不 聞 知 者 此 聞 天 居 身 
T85n2749_001:0188a12	外香。波利質多羅者。此云護種種。[牛*句]鞞陀羅	外 香 波利質多羅 者 此 云 護 種 種 [牛句] 鞞 陀 羅 
T85n2749_001:0188a13	者。此云大遊戲破地。	者 此 云 大 遊 戲 破 地 
T85n2749_001:0188a14	經曰。又聞諸天身香至皆悉遙聞者。次聞天	經 曰 又 聞 諸 天 身 香 至 皆 悉 遙 聞 者 次 聞 天 
T85n2749_001:0188a15	居身內香兩重。一聞地天身香。二聞空天身	居 身 內 香 兩 重 一 聞 地 天 身 香 二 聞 空 天 身 
T85n2749_001:0188a16	香。此聞地天身香。忉利已下地居故。炎摩	香 此 聞 地 天 身 香 忉 利 已 下 地 居 故 炎 摩 
T85n2749_001:0188a17	已上空居故。	已 上 空 居 故 
T85n2749_001:0188a18	經曰。如是展轉至知其所在者。此聞空天身	經 曰 如 是 展 轉 至 知 其 所 在 者 此 聞 空 天 身 
T85n2749_001:0188a19	香二意。一聞住空天身香。即生天住空不解	香 二 意 一 聞 住 空 天 身 香 即 生 天 住 空 不 解 
T85n2749_001:0188a20	空故。二聞解空天身香。即淨天解空不住涅	空 故 二 聞 解 空 天 身 香 即 淨 天 解 空 不 住 涅 
T85n2749_001:0188a21	槃故。	槃 故 
T85n2749_001:0188a22	經曰。雖聞此香至憶念不謬者。此結其力能	經 曰 雖 聞 此 香 至 憶 念 不 謬 者 此 結 其 力 能 
T85n2749_001:0188a23	也。次頌三十偈三重。初一偈頌總境。次二十	也 次 頌 三 十 偈 三 重 初 一 偈 頌 總 境 次 二 十 
T85n2749_001:0188a24	八偈頌別用。後一偈頌結力。別用八重。初五	八 偈 頌 別 用 後 一 偈 頌 結 力 別 用 八 重 初 五 
T85n2749_001:0188a25	偈知人中事。第二四偈知初天事。第三一偈	偈 知 人 中 事 第 二 四 偈 知 初 天 事 第 三 一 偈 
T85n2749_001:0188a26	知修羅事。第四一偈知畜生事。第五五偈知	知 修 羅 事 第 四 一 偈 知 畜 生 事 第 五 五 偈 知 
T85n2749_001:0188a27	未形事。第六五偈知第二天事。第七兩偈知	未 形 事 第 六 五 偈 知 第 二 天 事 第 七 兩 偈 知 
T85n2749_001:0188a28	空天事。第八五偈知淨天事。人中五得。一偈	空 天 事 第 八 五 偈 知 淨 天 事 人 中 五 得 一 偈 
T85n2749_001:0188a29	知花香。一偈知男女。一偈知君臣。一偈知	知 花 香 一 偈 知 男 女 一 偈 知 君 臣 一 偈 知 
T85n2749_001:0188b01	寶物。一偈知內身第二四偈知初天事。初一	寶 物 一 偈 知 內 身 第 二 四 偈 知 初 天 事 初 一 
T85n2749_001:0188b02	偈知遊戲。次一偈知華果。次兩偈知臣人。第	偈 知 遊 戲 次 一 偈 知 華 果 次 兩 偈 知 臣 人 第 
T85n2749_001:0188b03	三一偈知修羅。第四一偈知畜生可解。第五	三 一 偈 知 修 羅 第 四 一 偈 知 畜 生 可 解 第 五 
T85n2749_001:0188b04	五偈知未形。一偈知胎男女。一偈知胎成壞。	五 偈 知 未 形 一 偈 知 胎 男 女 一 偈 知 胎 成 壞 
T85n2749_001:0188b05	一偈知人善惡。一偈知寶隱伏。一偈知價輕	一 偈 知 人 善 惡 一 偈 知 寶 隱 伏 一 偈 知 價 輕 
T85n2749_001:0188b06	重。第六五偈知第二天事。一偈知華果。一偈	重 第 六 五 偈 知 第 二 天 事 一 偈 知 華 果 一 偈 
T85n2749_001:0188b07	知。一偈知宮殿。一偈知園林。一偈知聽法。	知 一 偈 知 宮 殿 一 偈 知 園 林 一 偈 知 聽 法 
T85n2749_001:0188b08	一偈知周遊。第七兩偈知空天事。一偈知禪	一 偈 知 周 遊 第 七 兩 偈 知 空 天 事 一 偈 知 禪 
T85n2749_001:0188b09	出入。一偈知禪死生。第八五偈知淨天事。初	出 入 一 偈 知 禪 死 生 第 八 五 偈 知 淨 天 事 初 
T85n2749_001:0188b10	兩偈知聲聞事。次一偈知菩薩事。後兩偈知	兩 偈 知 聲 聞 事 次 一 偈 知 菩 薩 事 後 兩 偈 知 
T85n2749_001:0188b11	如來事。	如 來 事 
T85n2749_001:0188b12	經曰。復次常精進至千二百舌功德者。次明	經 曰 復 次 常 精 進 至 千 二 百 舌 功 德 者 次 明 
T85n2749_001:0188b13	舌根序說兩重。一指定因果。二敘其力能。此	舌 根 序 說 兩 重 一 指 定 因 果 二 敘 其 力 能 此 
T85n2749_001:0188b14	指定因果也。	指 定 因 果 也 
T85n2749_001:0188b15	經曰。若好若醜至無不美者。次敘力能三重。	經 曰 若 好 若 醜 至 無 不 美 者 次 敘 力 能 三 重 
T85n2749_001:0188b16	一能變塵。二能善說法。三善持法。此能變塵	一 能 變 塵 二 能 善 說 法 三 善 持 法 此 能 變 塵 
T85n2749_001:0188b17	也。變成上味者。如佛咽喉有甘露泉和一切	也 變 成 上 味 者 如 佛 咽 喉 有 甘 露 泉 和 一 切 
T85n2749_001:0188b18	食皆成甘露。持經人亦爾。又隨福德力故變	食 皆 成 甘 露 持 經 人 亦 爾 又 隨 福 德 力 故 變 
T85n2749_001:0188b19	成上味。	成 上 味 
T85n2749_001:0188b20	經曰。若以舌根至隨侍供養者。此明善說五	經 曰 若 以 舌 根 至 隨 侍 供 養 者 此 明 善 說 五 
T85n2749_001:0188b21	意。一悅眾。二來天。三來神。四來人。五來侍	意 一 悅 眾 二 來 天 三 來 神 四 來 人 五 來 侍 
T85n2749_001:0188b22	可解。	可 解 
T85n2749_001:0188b23	經曰。又諸聲聞至深妙法音。此明善持四意。	經 曰 又 諸 聲 聞 至 深 妙 法 音 此 明 善 持 四 意 
T85n2749_001:0188b24	一聖人樂見。二諸佛向說。三聞悉能持。四	一 聖 人 樂 見 二 諸 佛 向 說 三 聞 悉 能 持 四 
T85n2749_001:0188b25	誦聲深妙可解。次頌八偈半兩重。初一偈	誦 聲 深 妙 可 解 次 頌 八 偈 半 兩 重 初 一 偈 
T85n2749_001:0188b26	頌變塵。後七偈半頌善說。善說五重。初一	頌 變 塵 後 七 偈 半 頌 善 說 善 說 五 重 初 一 
T85n2749_001:0188b27	偈半頌悅眾。次三偈頌來聽。次一偈頌來供。	偈 半 頌 悅 眾 次 三 偈 頌 來 聽 次 一 偈 頌 來 供 
T85n2749_001:0188b28	後兩偈來護。來聽兩重。一偈頌神來聽。二	後 兩 偈 來 護 來 聽 兩 重 一 偈 頌 神 來 聽 二 
T85n2749_001:0188b29	偈頌人來聽。來護兩重。一偈生天來護。一偈	偈 頌 人 來 聽 來 護 兩 重 一 偈 生 天 來 護 一 偈 
T85n2749_001:0188c01	淨天來護。	淨 天 來 護 
T85n2749_001:0188c02	經曰。復次常精進至眾生喜見者。次明身根。	經 曰 復 次 常 精 進 至 眾 生 喜 見 者 次 明 身 根 
T85n2749_001:0188c03	序說兩重。一指定因果。二鏡朗內外。此指定	序 說 兩 重 一 指 定 因 果 二 鏡 朗 內 外 此 指 定 
T85n2749_001:0188c04	因果也。	因 果 也 
T85n2749_001:0188c05	經曰。其身淨故至現其色像者。鏡朗內外也	經 曰 其 身 淨 故 至 現 其 色 像 者 鏡 朗 內 外 也 
T85n2749_001:0188c06	三意。一橫鏡三千。二竪朗二界。三遠現。四	三 意 一 橫 鏡 三 千 二 竪 朗 二 界 三 遠 現 四 
T85n2749_001:0188c07	尊可解。次頌七偈半通為六重。初一偈頌得	尊 可 解 次 頌 七 偈 半 通 為 六 重 初 一 偈 頌 得 
T85n2749_001:0188c08	體。次一偈半頌明用。次一偈半頌橫照。次	體 次 一 偈 半 頌 明 用 次 一 偈 半 頌 橫 照 次 
T85n2749_001:0188c09	一偈半頌竪朗。次一偈頌現聖。後一偈頌現	一 偈 半 頌 竪 朗 次 一 偈 頌 現 聖 後 一 偈 頌 現 
T85n2749_001:0188c10	力。	力 
T85n2749_001:0188c11	經曰。復次常精進至千二百意功德者。次明	經 曰 復 次 常 精 進 至 千 二 百 意 功 德 者 次 明 
T85n2749_001:0188c12	意根五重。一指定因果。二委知法義。三外引	意 根 五 重 一 指 定 因 果 二 委 知 法 義 三 外 引 
T85n2749_001:0188c13	俗論。四善察他心。五美其力用。此指定因果	俗 論 四 善 察 他 心 五 美 其 力 用 此 指 定 因 果 
T85n2749_001:0188c14	也。	也 
T85n2749_001:0188c15	經曰。以是清淨意根至不相違背者。此善知	經 曰 以 是 清 淨 意 根 至 不 相 違 背 者 此 善 知 
T85n2749_001:0188c16	法義也。聞一偈一句者得法辨。通達無量無	法 義 也 聞 一 偈 一 句 者 得 法 辨 通 達 無 量 無 
T85n2749_001:0188c17	邊義者。得義辨。演說一句一偈至一月四月	邊 義 者 得 義 辨 演 說 一 句 一 偈 至 一 月 四 月 
T85n2749_001:0188c18	一歲者。得辭辨。一月是一時中一月。四月是	一 歲 者 得 辭 辨 一 月 是 一 時 中 一 月 四 月 是 
T85n2749_001:0188c19	三時中一時。外國以四月為時。一歲是三時。	三 時 中 一 時 外 國 以 四 月 為 時 一 歲 是 三 時 
T85n2749_001:0188c20	十二月所說。義趣與實相不違者得應辨。	十 二 月 所 說 義 趣 與 實 相 不 違 者 得 應 辨 
T85n2749_001:0188c21	次頌十一偈通為五重。初一偈頌知法。次一	次 頌 十 一 偈 通 為 五 重 初 一 偈 頌 知 法 次 一 
T85n2749_001:0188c22	偈頌得辨。次兩偈頌察心。次四偈頌說法。後	偈 頌 得 辨 次 兩 偈 頌 察 心 次 四 偈 頌 說 法 後 
T85n2749_001:0188c23	三偈頌結。能說法四偈。一偈頌受持說。一偈	三 偈 頌 結 能 說 法 四 偈 一 偈 頌 受 持 說 一 偈 
T85n2749_001:0188c24	頌不倒說。一偈頌次第說。一偈頌無畏說。次	頌 不 倒 說 一 偈 頌 次 第 說 一 偈 頌 無 畏 說 次 
T85n2749_001:0188c25	三偈頌結能。一偈結體相。一偈美地位。一偈	三 偈 頌 結 能 一 偈 結 體 相 一 偈 美 地 位 一 偈 
T85n2749_001:0188c26	讚善巧。	讚 善 巧 
T85n2749_001:0188c27	常不輕菩薩品第二十	常 不 輕 菩 薩 品 第 二 十 
T85n2749_001:0188c28	前三品已明生福勝妙力。此一品次明進道	前 三 品 已 明 生 福 勝 妙 力 此 一 品 次 明 進 道 
T85n2749_001:0188c29	勝妙力。前則約多顯力。此則約速顯力速由	勝 妙 力 前 則 約 多 顯 力 此 則 約 速 顯 力 速 由 
T85n2749_001:0189a01	菩薩常行不輕行故以為名。品內一序一頌。	菩 薩 常 行 不 輕 行 故 以 為 名 品 內 一 序 一 頌 
