X59n1084_001:0324b06	 纂要序	 纂 要 序 
X59n1084_002:0344a06	佛眾生。三無差別。于	佛 眾 生 三無差別 于 
X59n1084_002:0344a07	一念間。融成一廣大	一 念 間 融 成 一 廣 大 
X59n1084_002:0344a08	月輪。如八月十五日	月 輪 如 八 月十五日 
X59n1084_002:0344a09	夜。中宵無雲之時。極	夜 中 宵 無 雲 之 時 極 
X59n1084_002:0344a10	甚清凉。皎潔與虛空齊等。于月輪中。想一金色阿 	甚 清 凉 皎 潔 與 虛 空 齊 等 于 月 輪 中 想 一 金 色 阿 
X59n1084_002:0344a11	字。如秋毫之末。非有非無故。當爾之時不得加了于	字 如 秋 毫 之 末 非有非無 故 當 爾 之 時 不 得 加 了 于 
X59n1084_002:0344a12	知。上無佛可成下無生可度。中無行可修。煩惱菩提。	知 上 無 佛 可 成 下 無 生 可 度 中 無 行 可 修 煩 惱 菩 提 
X59n1084_002:0344a13	生死涅槃淨盡。此為大要。宜善用心焉。不惟為鬼神	生死涅槃 淨 盡 此 為 大 要 宜 善 用 心 焉 不 惟 為 鬼 神 
X59n1084_002:0344a14	作利益。行人不久亦即就此中了解者矣。師誦呪眾	作 利 益 行 人 不 久 亦 即 就 此 中 了 解 者 矣 師 誦 呪 眾 
X59n1084_002:0344a15	和三聲次白云)。	和 三 聲 次 白 云 
X59n1084_002:0344a16	今為汝等。發菩提心竟。諸佛子等。當知菩提心者。從	今 為 汝 等 發菩提心 竟 諸 佛 子 等 當 知 菩 提 心 者 從 
X59n1084_002:0344a17	大悲起。成佛正因。智慧根本。能破無明。煩惱惡業。不	大 悲 起 成 佛 正 因 智 慧 根 本 能 破 無 明 煩 惱 惡 業 不 
X59n1084_002:0344a18	被染壞。	被 染 壞 
X59n1084_002:0344a19	次與汝等受三昧耶戒(行者鳴尺一下。白云)。	次 與 汝 等 受 三 昧 耶 戒 行 者 鳴 尺 一 下 白 云 
X59n1084_002:0344a20	一攝律儀戒。無惡不斷。起正道行。是斷德因。修成法	一 攝律儀戒 無 惡 不 斷 起 正 道 行 是 斷 德 因 修 成 法 
X59n1084_002:0344a21	身。二攝善法戒。無善不積。起助道行。是智德因。修成	身 二 攝善法戒 無 善 不 積 起 助 道 行 是 智 德 因 修 成 
X59n1084_002:0344a22	報身。三攝眾生戒。無生不度。起不住道。是恩德因。修	報 身 三 攝 眾 生 戒 無 生 不 度 起 不 住 道 是 恩 德 因 修 
X59n1084_002:0344a23	成化身。	成 化 身 
X59n1084_002:0344a24	(既成大器。堪受寶戒。三昧耶者。準大樂金剛三昧經	 既 成 大 器 堪 受 寶 戒 三 昧 耶 者 準 大 樂 金 剛 三 昧 經 
X59n1084_002:0344a25	云。三昧名為本誓。亦名時。亦名期契。亦名曼茶羅。乃	云 三 昧 名 為 本 誓 亦 名 時 亦 名 期 契 亦 名 曼 茶 羅 乃 
X59n1084_002:0344a26	異名也。故有四種。一大。二三昧耶。三法。四羯磨。曼茶	異 名 也 故 有 四 種 一 大 二 三 昧 耶 三 法 四 羯 磨 曼 茶 
X59n1084_002:0344a27	羅者。此四摠攝一切曼茶羅。又三昧耶。亦四智印。即	羅 者 此 四 摠 攝 一 切 曼 茶 羅 又 三 昧 耶 亦 四 智 印 即 
X59n1084_002:0344b01	大智印。三昧耶智印。法智印。羯磨智印。又神變義釋	大 智 印 三 昧 耶 智 印 法 智 印 羯 磨 智 印 又 神 變 義 釋 
X59n1084_002:0344b02	云。三昧耶者。是平等義。是本誓義。是除障義。是驚覺	云 三 昧 耶 者 是 平 等 義 是 本 誓 義 是 除 障 義 是 驚 覺 
X59n1084_002:0344b03	義。言平等者。謂如來現證此三昧時。一切眾生。種種	義 言 平 等 者 謂 如 來 現 證 此 三 昧 時 一 切 眾 生 種 種 
X59n1084_002:0344b04	身語意。皆悉與如來等。禪定智慧。與實相身。亦畢竟	身 語 意 皆 悉 與 如 來 等 禪 定 智 慧 與 實 相 身 亦 畢 竟 
X59n1084_002:0344b05	等。初發心時。與地波羅蜜滿時。亦畢竟等。是故出誠	等 初 發 心 時 與 地 波 羅 蜜 滿 時 亦 畢 竟 等 是 故 出 誠 
X59n1084_002:0344b06	諦言。以告眾生。若我所言。必定不虗者。亦合一切眾	諦 言 以 告 眾 生 若 我 所 言 必 定 不 虗 者 亦 合 一 切 眾 
X59n1084_002:0344b07	生。發此忱諦之言時。亦蒙三蜜加持。無盡莊嚴。與如	生 發 此 忱 諦 之 言 時 亦 蒙 三 蜜 加 持 無 盡 莊 嚴 與 如 
X59n1084_002:0344b08	來等。以是因緣故。能作金剛事業。故名三昧耶也。言	來 等 以是因緣 故 能 作 金 剛 事 業 故 名 三 昧 耶 也 言 
X59n1084_002:0344b09	本誓者。如來現證此三昧時。見一切眾生。悉有成佛	本 誓 者 如 來 現 證 此 三 昧 時 見 一 切 眾 生 悉 有 成 佛 
X59n1084_002:0344b10	義故。即將立大誓願。我今要從普門。以無量方便。合	義 故 即 將 立 大 誓 願 我 今 要 從 普 門 以 無量方便 合 
X59n1084_002:0344b11	一切眾生。皆至無上菩提。劑眾生界未盡以來。我之	一 切 眾 生 皆 至 無上菩提 劑 眾 生 界 未 盡 以 來 我 之 
X59n1084_002:0344b12	事業終不休息。若有眾生隨我本誓。發此忱實言時。	事 業 終 不 休 息 若 有 眾 生 隨 我 本 誓 發 此 忱 實 言 時 
X59n1084_002:0344b13	亦令彼所為事業。皆悉成金剛性。故名三昧耶也。言	亦 令 彼 所 為 事 業 皆 悉 成 金 剛 性 故 名 三 昧 耶 也 言 
X59n1084_002:0344b14	除障者。如來見一切眾生。悉有如來法界。但有一念	除 障 者 如 來 見 一 切 眾 生 悉 有 如來法界 但 有 一 念 
X59n1084_002:0344b15	無明故。常在其前。而不覺知。是故發誠實言。我今要	無 明 故 常 在 其 前 而 不 覺 知 是 故 發 誠 實 言 我 今 要 
X59n1084_002:0344b16	當設種種方便。普為一切眾生。抉除眼膜。若我誓願。	當 設 種 種 方 便 普 為 一 切 眾 生 抉 除 眼 膜 若 我 誓 願 
X59n1084_002:0344b17	必當成就者。令諸眾生。隨我方便。說此忱實言時。乃	必 當 成 就 者 令 諸 眾 生 隨 我 方 便 說 此 忱 實 言 時 乃 
X59n1084_002:0344b18	至于一切眾生。獲無垢眼。障盖都盡故名三昧耶也。	至 于 一 切 眾 生 獲 無 垢 眼 障 盖 都 盡 故 名 三 昧 耶 也 
X59n1084_002:0344b19	言驚覺義者。如來以一切眾生。皆在無明睡故。于如	言 驚 覺 義 者 如 來 以 一 切 眾 生 皆 在 無 明 睡 故 于 如 
X59n1084_002:0344b20	是功德。不自覺知。故以議言感動。令得醒悟。亦以此	是 功 德 不 自 覺 知 故 以 議 言 感 動 令 得 醒 悟 亦 以 此 
X59n1084_002:0344b21	驚覺諸菩薩等。令發起禪定窟。學師子頻申三昧。若	驚 覺 諸 菩 薩 等 令 發 起 禪 定 窟 學 師 子 頻 申 三 昧 若 
X59n1084_002:0344b22	真言行人說此三昧耶者。我等諸佛。亦當憶持本誓。	真 言 行 人 說 此 三 昧 耶 者 我 等 諸 佛 亦 當 憶 持 本 誓 
X59n1084_002:0344b23	不得違越。猶如國王。自制法已。遂自敬順行之。故名	不 得 違 越 猶 如 國 王 自 制 法 已 遂 自 敬 順 行 之 故 名 
X59n1084_002:0344b24	三昧耶也。具如是等。廣大甚深微妙之義。故名三昧	三 昧 耶 也 具 如 是 等 廣大甚深 微 妙 之 義 故 名 三 昧 
X59n1084_002:0344b25	耶也)。	耶 也 
X59n1084_002:0344b26	　汝等受佛戒　　即入諸佛位　　位同大覺已	 汝 等 受 佛 戒 即 入 諸 佛 位 位 同 大 覺 已 
X59n1084_002:0344b27	　真是諸佛子	 真 是 諸 佛 子 
X59n1084_002:0344c01	次結三昧耶印(二羽金剛縛。忍願申如針。誦真言曰)。	次 結 三 昧 耶 印 二 羽 金 剛 縛 忍 願 申 如 針 誦 真 言 曰 
X59n1084_002:0344c02	唵三摩耶薩埵鑁	唵 三 摩 耶 薩 埵 鑁 
X59n1084_002:0344c04	(師印呪可知。應想印中有白色鑁 字。放大光明。普	 師 印 呪 可 知 應 想 印 中 有 白 色 鑁 字 放大光明 普 
X59n1084_002:0344c05	照所請一切有情。彼諸有情。蒙光照及三世諸佛。戒	照 所 請 一切有情 彼 諸 有 情 蒙 光 照 及 三世諸佛 戒 
X59n1084_002:0344c06	波羅蜜。一時圓滿。法界善法。想為光明。流光灌頂。貯	波 羅 蜜 一 時 圓 滿 法 界 善 法 想 為 光 明 流 光 灌 頂 貯 
X59n1084_002:0344c07	彼身中。身同普賢。坐大月輪。紹諸佛職。為佛嫡子也	彼 身 中 身 同 普 賢 坐 大 月 輪 紹 諸 佛 職 為 佛 嫡 子 也 
X59n1084_002:0344c08	據本文義。無別觀想。	據 本 文 義 無 別 觀 想 
X59n1084_002:0344c09	但如印呪。自成受懺。	但 如 印 呪 自 成 受 懺 
X59n1084_002:0344c10	如金剛頂經說。若誦	如 金 剛 頂 經 說 若 誦 
X59n1084_002:0344c11	此呪一遍。如入壇輪。	此 呪 一 遍 如 入 壇 輪 
X59n1084_002:0344c12	證三摩提。一切善法。	證 三 摩 提 一 切 善 法 
X59n1084_002:0344c13	皆悉滿足。三聚淨戒。	皆 悉 滿 足 三聚淨戒 
X59n1084_002:0344c14	俱時圓滿。身同普賢。坐大月輪。一切諸佛。憶昔本誓	俱 時 圓 滿 身 同 普 賢 坐 大 月 輪 一切諸佛 憶 昔 本 誓 
X59n1084_002:0344c15	觀察護念。設有人曾受佛戒。惡心破毀。不復清淨者。	觀 察 護 念 設 有 人 曾 受 佛 戒 惡 心 破 毀 不 復 清 淨 者 
X59n1084_002:0344c16	若誦此呪一七遍已。破戒罪垢。悉得清淨。一切戒品。	若 誦 此 呪 一 七 遍 已 破 戒 罪 垢 悉 得 清 淨 一 切 戒 品 
X59n1084_002:0344c17	還得如故。一切壇法。未經師受誦呪七遍。即許行作。	還 得 如 故 一 切 壇 法 未 經 師 受 誦 呪 七 遍 即 許 行 作 
X59n1084_002:0344c18	不成盜法)。	不 成 盜 法 
X59n1084_002:0344c19	今為汝等。授三昧耶戒竟從今以去。能令汝等。入如	今 為 汝 等 授 三 昧 耶 戒 竟 從 今 以 去 能 令 汝 等 入 如 
X59n1084_002:0344c20	來位。是真佛子。從法化生。得佛法分。	來 位 是 真 佛 子 從 法 化 生 得 佛 法 分 
X59n1084_002:0344c21	　汝等冥陽諸有情　　我今施汝甘露食	 汝 等 冥 陽 諸 有 情 我 今 施 汝 甘 露 食 
X59n1084_002:0344c22	　法力加持徧十方　　令汝一一皆飽滿	 法 力 加 持 徧 十 方 令 汝 一 一 皆 飽 滿 
X59n1084_002:0344c23	次結無量威德自在光明如來印(藏本云。左印想	次 結 無 量 威德自在 光 明 如 來 印 藏 本 云 左 印 想 
X59n1084_002:0344c24	持器右羽彈忍禪。隨聞記云。想字有據作如字。理甚允當。行者思之)。	持 器 右 羽 彈 忍 禪 隨 聞 記 云 想 字 有 據 作 如 字 理 甚 允 當 行 者 思 之 
X59n1084_002:0344c25	嚩薩哩斡(二合)答塔葛達阿咓盧揭諦鑁婆囉鑁婆囉	嚩 薩 哩 斡 二 合 答 塔 葛 達 阿 咓 盧 揭 諦 鑁 婆 囉 鑁 婆 囉 
X59n1084_002:0344c26	三婆囉三婆囉吽	三 婆 囉 三 婆 囉 吽 
X59n1084_002:0345a02	(師印呪可知。侍者取	 師 印 呪 可 知 侍 者 取 
X59n1084_002:0345a03	水點腕中及桶中。退	水 點 腕 中 及 桶 中 退 
X59n1084_002:0345a04	坐本位。師應以右手	坐 本 位 師 應 以 右 手 
X59n1084_002:0345a05	怖畏彈指遣左手魔	怖 畏 彈 指 遣 左 手 魔 
X59n1084_002:0345a06	礙。念云吽吽癹怛。念	礙 念 云 吽 吽 癹 怛 念 
X59n1084_002:0345a07	三遍。問。手有何魔耶	三 遍 問 手 有 何 魔 耶 
X59n1084_002:0345a08	答。為手中有諸尸蟲。	答 為 手 中 有 諸 尸 蟲 
X59n1084_002:0345a09	次變空念云。唵[亢*欠]或	次 變 空 念 云 唵 [亢欠] 或 
X59n1084_002:0345a10	三遍。問。變空此手。其意如何。答。以此手是赤白二種	三 遍 問 變 空 此 手 其 意 如 何 答 以 此 手 是 赤 白 二 種 
X59n1084_002:0345a11	不淨所成。故空之。令成勝妙功德莊嚴手也。問。前來	不 淨 所 成 故 空 之 令 成 勝 妙 功德莊嚴 手 也 問 前 來 
X59n1084_002:0345a12	入禪定。則自己是菩薩。今復何故又遣魔變空。答。法	入 禪 定 則 自 己 是 菩 薩 今 復 何 故 又 遣 魔 變 空 答 法 
X59n1084_002:0345a13	華經云。世尊說無量義已。又入三昧放光。至開寶塔	華 經 云 世 尊 說 無 量 義 已 又 入 三 昧 放 光 至 開 寶 塔 
X59n1084_002:0345a14	又入定放光。豈不濫耶。盖因一事而彰一法。譬乎世	又 入 定 放 光 豈 不 濫 耶 盖 因 一 事 而 彰 一 法 譬 乎 世 
X59n1084_002:0345a15	禮。祀宗廟之人。非不齋戒沐浴。及至登殿之時。却又	禮 祀 宗 廟 之 人 非 不 齋 戒 沐 浴 及 至 登 殿 之 時 却 又 
X59n1084_002:0345a16	盥手。何也。為表敬也。今再遣魔變空。表慈之深。悲之	盥 手 何 也 為 表 敬 也 今 再 遣 魔 變 空 表 慈 之 深 悲 之 
X59n1084_002:0345a17	極。用心之切也。次于一念間。頓成勝妙之手。於手掌	極 用 心 之 切 也 次 于 一 念 間 頓 成 勝 妙 之 手 於 手 掌 
X59n1084_002:0345a18	中。出一紅色[口*邦] 字。變成紅色蓮花。花上想一白色	中 出 一 紅 色 [口邦] 字 變 成 紅 色 蓮 花 花 上 想 一 白 色 
X59n1084_002:0345a19	鑁 字。明點中流出無盡飲食。想面前水器。盡成摩	鑁 字 明 點 中 流 出 無 盡 飲 食 想 面 前 水 器 盡 成 摩 
X59n1084_002:0345a20	竭陀國之斛。七寶嚴飾。滿盛勝妙食等。然後想此字	竭 陀 國 之 斛 七 寶 嚴 飾 滿 盛 勝 妙 食 等 然 後 想 此 字 
X59n1084_002:0345a21	種。流出無盡飲食變滿法界。念唵 阿 [口*紇]哩(二合)	種 流 出 無 盡 飲 食 變 滿 法 界 念 唵 阿 [口紇] 哩 二 合 
X59n1084_002:0345a22	 吽 呪一百八遍。或四十九遍。當自知時。次念變	 吽 呪 一百八遍 或 四 十 九 遍 當 自 知 時 次 念 變 
X59n1084_002:0345a23	食呪。每一念于明點中。想取飲食彈洒虗空)。	食 呪 每 一 念 于 明 點 中 想 取 飲 食 彈 洒 虗 空 
X59n1084_002:0345a24	(準本經云。阿難白佛。大悲世尊。願救我苦。所以者何	 準 本 經 云 阿 難 白 佛 大 悲 世 尊 願 救 我 苦 所以者何 
X59n1084_002:0345a25	昨夜三更。經行靜處念所受法。見燄口。鬼而語我言。	昨 夜 三 更 經 行 靜 處 念 所 受 法 見 燄 口 鬼 而 語 我 言 
X59n1084_002:0345a26	汝過三日。必當命盡。生餓鬼中。我問鬼言。云何令我	汝 過 三 日 必 當 命 盡 生 餓 鬼 中 我 問 鬼 言 云 何 令 我 
X59n1084_002:0345a27	得免斯苦。餓鬼答言。汝若能施。百千萬億那由他。恒	得 免 斯 苦 餓 鬼 答 言 汝 若 能 施 百 千 萬 億 那 由 他 恒 
X59n1084_002:0345a28	河沙數無量餓鬼。婆羅門仙。閻羅所司。業道冥官。及	河 沙 數 無 量 餓 鬼 婆 羅 門 仙 閻 羅 所 司 業 道 冥 官 及 
X59n1084_002:0345a29	諸鬼神。侍從眷屬。先亡久遠。平等普施。餓鬼飲食。汝	諸 鬼 神 侍 從 眷 屬 先 亡 久 遠 平 等 普 施 餓 鬼 飲 食 汝 
X59n1084_002:0345b01	得增壽。白言世尊。云何能辯無量飲食充足。佛告阿	得 增 壽 白 言 世 尊 云 何 能 辯 無 量 飲 食 充 足 佛 告 阿 
X59n1084_002:0345b02	難。汝今勿怖。我念過去無量劫中。曾作婆羅門時。于	難 汝 今 勿 怖 我 念 過 去 無 量 劫 中 曾 作 婆 羅 門 時 于 
X59n1084_002:0345b03	觀世音菩薩摩訶薩邊。受得陀羅尼。名曰無量威德	觀 世 音 菩薩摩訶薩 邊 受 得陀羅尼 名 曰 無 量 威 德 
X59n1084_002:0345b04	自在光明如來陀羅尼法。汝若善能作此陀羅尼法。	自 在 光 明 如 來 陀 羅 尼 法 汝 若 善 能 作 此 陀 羅 尼 法 
X59n1084_002:0345b05	加持七遍。能令一食。變成種種甘露飲食。即能充足	加 持 七 遍 能 令 一 食 變 成 種 種 甘 露 飲 食 即 能 充 足 
X59n1084_002:0345b06	百千俱胝那由他。恒河沙數。一切餓鬼。婆羅門仙。異	百 千 俱 胝 那 由 他 恒 河 沙 數 一 切 餓 鬼 婆 羅 門 仙 異 
X59n1084_002:0345b07	類鬼神。上妙飲食。皆得飽滿。如是等眾。一一皆得摩	類 鬼 神 上 妙 飲 食 皆 得 飽 滿 如 是 等 眾 一 一 皆 得 摩 
X59n1084_002:0345b08	伽陀國所用之斛。此食此水。量同法界。食之無盡。皆	伽 陀 國 所 用 之 斛 此 食 此 水 量 同 法 界 食 之 無 盡 皆 
X59n1084_002:0345b09	獲聖果。解脫苦身。佛告阿難。汝今受此陀羅尼法。令	獲 聖 果 解 脫 苦 身 佛 告 阿 難 汝 今 受 此 陀 羅 尼 法 令 
X59n1084_002:0345b10	汝福德。壽命增長。餓鬼生天。及生淨土。受人天身。能	汝 福 德 壽 命 增 長 餓 鬼 生 天 及 生 淨 土 受 人 天 身 能 
X59n1084_002:0345b11	令施主。轉障消灾。延年益壽。現招勝福。當得菩提。云	令 施 主 轉 障 消 灾 延 年 益 壽 現 招 勝 福 當 得 菩 提 云 
X59n1084_002:0345b12	云此呪舊多一鑁字應準本經儀軌除之)。	云 此 呪 舊 多 一 鑁 字 應 準 本 經 儀 軌 除 之 
X59n1084_002:0345b13	語諸佛子。今為汝等。作印呪已。變此一食。為無量食。	語 諸 佛 子 今 為 汝 等 作 印 呪 已 變 此 一 食 為 無 量 食 
X59n1084_002:0345b14	大如須彌。量同法界。終無能盡。	大 如 須 彌 量 同 法 界 終 無 能 盡 
X59n1084_002:0345b15	　由此真言力　　變食作乳海　　普施餓鬼等	 由 此 真 言 力 變 食 作 乳 海 普 施 餓 鬼 等 
X59n1084_002:0345b16	　身心皆飽滿	 身 心 皆 飽 滿 
X59n1084_002:0345b17	復結前印誦乳海真言	復 結 前 印 誦 乳 海 真 言 
X59n1084_002:0345b18	那麻三鬘哆勃塔喃鑁	那 麻 三 鬘 哆 勃 塔 喃 鑁 
X59n1084_002:0345b20	(師印呪可知。應想明點中。	 師 印 呪 可 知 應 想 明 點 中 
X59n1084_002:0345b21	流出甘露。以右手点取。彈	流 出 甘 露 以 右 手 点 取 彈 
X59n1084_002:0345b22	洒虗空。如雨注下。凡所至	洒 虗 空 如 雨 注 下 凡 所 至 
X59n1084_002:0345b23	處。即成長河酥酪也。問。何	處 即 成 長 河 酥 酪 也 問 何 
X59n1084_002:0345b24	以少小器水等。徧滿法界。	以 少 小 器 水 等 徧 滿 法 界 
X59n1084_002:0345b25	答。心力難思。故也。況又藉	答 心 力 難 思 故 也 況 又 藉 
X59n1084_002:0345b26	神呪。及字種觀想等力乃	神 呪 及 字 種 觀 想 等 力 乃 
X59n1084_002:0345b27	至諸佛。冥加禪定之力。豈	至 諸 佛 冥 加 禪 定 之 力 豈 
X59n1084_002:0345c01	不能變小成大。化少為多也。且如樂巴一巵之酒。以	不 能 變 小 成 大 化 少 為 多 也 且 如 樂 巴 一 巵 之 酒 以 
X59n1084_002:0345c02	術力尚能化為霖雨。何呪神呪難思之力者乎。行者	術 力 尚 能 化 為 霖 雨 何 呪 神 呪 難 思 之 力 者 乎 行 者 
X59n1084_002:0345c03	亦不可不專注用心也。又問。何故不以飲食施之。却	亦 不 可 不 專 注 用 心 也 又 問 何 故 不 以 飲 食 施 之 却 
X59n1084_002:0345c04	用水也。答。彼鬼趣多為業火所燒。故今以水施之。沃	用 水 也 答 彼 鬼 趣 多 為 業 火 所 燒 故 今 以 水 施 之 沃 
X59n1084_002:0345c05	滅其業火。佛云。彼鬼等。百千萬劫。不聞漿水之名。何	滅 其 業 火 佛 云 彼 鬼 等 百千萬劫 不 聞 漿 水 之 名 何 
X59n1084_002:0345c06	況得飲。又云。彼鬼在恒河邊而不見水。設使得見。變	況 得 飲 又 云 彼 鬼 在 恒 河 邊 而 不 見 水 設 使 得 見 變 
X59n1084_002:0345c07	成膿血。若飲之時。入腹化為猛燄。熱燒心腹。難堪痛	成 膿 血 若 飲 之 時 入 腹 化 為 猛 燄 熱 燒 心 腹 難 堪 痛 
X59n1084_002:0345c08	苦。悲哉。悲哉。故今以水施之。體此意也。又番本云。蘇	苦 悲 哉 悲 哉 故 今 以 水 施 之 體 此 意 也 又 番 本 云 蘇 
X59n1084_002:0345c09	嚕巴。此云水。施食則知本乎施水矣。今世俗不知。多	嚕 巴 此 云 水 施 食 則 知 本 乎 施 水 矣 今 世 俗 不 知 多 
X59n1084_002:0345c10	用施食水亦失矣。況今施食。亦不專用水。彼器中皆	用 施 食 水 亦 失 矣 況 今 施 食 亦 不 專 用 水 彼 器 中 皆 
X59n1084_002:0345c11	投飯。七粒徧十方是也。故勿疑諸耳)。	投 飯 七 粒 徧 十 方 是 也 故 勿 疑 諸 耳 
X59n1084_002:0345c12	語諸佛子。今為汝等。作印呪已。由此印呪。加持威力。	語 諸 佛 子 今 為 汝 等 作 印 呪 已 由 此 印 呪 加 持 威 力 
X59n1084_002:0345c13	想于印中。流出甘露。成於乳海。流注法界。普濟汝等。	想 于 印 中 流 出 甘 露 成 於 乳 海 流 注 法 界 普 濟 汝 等 
X59n1084_002:0345c14	一切有情。充足飽滿。	一切有情 充 足 飽 滿 
X59n1084_002:0345c15	　汝等業障鬼　　變火不能食　　今誦秘密言	 汝 等 業 障 鬼 變 火 不 能 食 今 誦 秘 密 言 
X59n1084_002:0345c16	　法食皆飽滿	 法 食 皆 飽 滿 
X59n1084_002:0345c17	次誦障施鬼真言	次 誦 障 施 鬼 真 言 
X59n1084_002:0345c18	唵啞吽拶辣彌擔薩哩斡(二合)不哩(二合)的毗牙(二合)莎訶	唵 啞 吽 拶 辣 彌 擔 薩 哩 斡 二 合 不 哩 二 合 的 毗 牙 二 合 莎 訶 
X59n1084_002:0345c20	(師印呪可知。應埀展	 師 印 呪 可 知 應 埀 展 
X59n1084_002:0345c21	右羽想右掌中有一	右 羽 想 右 掌 中 有 一 
X59n1084_002:0345c22	鑁 字。明點中流出	鑁 字 明 點 中 流 出 
X59n1084_002:0345c23	甘露。從左掌而下。念	甘 露 從 左 掌 而 下 念 
X59n1084_002:0345c24	唵 啞 [口*紇]哩(二合) 	唵 啞 [口紇] 哩 二 合 
X59n1084_002:0345c25	吽 字一百八遍。或	吽 字 一百八遍 或 
X59n1084_002:0345c26	三七遍皆可。侍者至師前作禮。取淨瓶出壇將淨水	三 七 遍 皆 可 侍 者 至 師 前 作 禮 取 淨 瓶 出 壇 將 淨 水 
X59n1084_002:0345c27	徐徐注下。師至唱時。想彼障施鬼。悉皆胡跪。師想自	徐 徐 注 下 師 至 唱 時 想 彼 障 施 鬼 悉 皆 胡 跪 師 想 自 
X59n1084_002:0346a01	身觀音。徧至其前。而施甘露。從頂上入。滅其業火而	身 觀 音 徧 至 其 前 而 施 甘 露 從 頂 上 入 滅 其 業 火 而 
X59n1084_002:0346a02	得清涼。呪三遍各彈指一下。呪三遍或七遍。障施鬼	得 清 涼 呪 三 遍 各 彈 指 一 下 呪 三 遍 或 七 遍 障 施 鬼 
X59n1084_002:0346a03	等飽滿懽喜。彈指一下。是時行者。即以右羽持甘露	等 飽 滿 懽 喜 彈 指 一 下 是 時 行 者 即 以 右 羽 持 甘 露 
X59n1084_002:0346a04	器。面向東立。瀉于壇前。或淨地上。或于石上。或新淨	器 面 向 東 立 瀉 于 壇 前 或 淨 地 上 或 于 石 上 或 新 淨 
X59n1084_002:0346a05	瓦盆。亦名盂蘭盆。生臺亦得。或泉池河海長流水中。	瓦 盆 亦 名 盂 蘭 盆 生 臺 亦 得 或 泉 池 河 海 長 流 水 中 
X59n1084_002:0346a06	不得瀉于石榴桃樹之下。鬼神懼怕。不得食之。若聖	不 得 瀉 于 石 榴 桃 樹 之 下 鬼 神 懼 怕 不 得 食 之 若 聖 
X59n1084_002:0346a07	眾壇中。明王諸天。若施飲食。置生臺上。是本法也。若	眾 壇 中 明 王 諸 天 若 施 飲 食 置 生 臺 上 是 本 法 也 若 
X59n1084_002:0346a08	供養諸佛聖眾。于上五更晨朝日出是供養時。若鬼	供 養 諸 佛 聖 眾 于 上 五 更 晨 朝 日 出 是 供 養 時 若 鬼 
X59n1084_002:0346a09	神法。于人定亥時。本人定時。阿闍黎法。若於齋時。盡	神 法 于 人 定 亥 時 本 人 定 時 阿 闍 黎 法 若 於 齋 時 盡 
X59n1084_002:0346a10	于一日。但加持飲食水等。布施飛空烏獸水族之類。	于 一 日 但 加 持 飲 食 水 等 布 施 飛 空 烏 獸 水 族 之 類 
X59n1084_002:0346a11	不揀時節。但用施之。若作餓鬼施食之法。當于亥時。	不 揀 時 節 但 用 施 之 若 作 餓 鬼 施 食 之 法 當 于 亥 時 
X59n1084_002:0346a12	若于齋時施餓鬼食者。徒設功勞。終無効也。不是時	若 于 齋 時 施 餓 鬼 食 者 徒 設 功 勞 終 無 効 也 不 是 時 
X59n1084_002:0346a13	節。妄生虗誑。鬼神不得食也。不從師得。自招殃咎。成	節 妄 生 虗 誑 鬼 神 不 得 食 也 不 從 師 得 自 招 殃 咎 成 
X59n1084_002:0346a14	盜法罪。佛說普賢曼拏羅經云。左手彈指。一切善事。	盜 法 罪 佛 說 普 賢 曼 拏 羅 經 云 左 手 彈 指 一 切 善 事 
X59n1084_002:0346a15	速疾成就。右手彈指。速疾集會蘇悉地羯羅供養法	速 疾 成 就 右 手 彈 指 速 疾 集 會 蘇 悉 地 羯 羅 供 養 法 
X59n1084_002:0346a16	云。兩手各作彈指。是辟除法也)。	云 兩 手 各 作 彈 指 是 辟 除 法 也 
X59n1084_002:0346a17	諸佛子等。雖復方以類聚。物以羣分。然我所施。一切	諸 佛 子 等 雖 復 方 以 類 聚 物 以 羣 分 然 我 所 施 一 切 
X59n1084_002:0346a18	無礙。無高無下。平等普徧。不擇冤親。汝等今日。勿得	無 礙 無 高 無 下 平 等 普 徧 不 擇 冤 親 汝 等 今 日 勿 得 
X59n1084_002:0346a19	以貴輕賤。以強凌弱。擁遏孤幼。令不得食。使不均平。	以 貴 輕 賤 以 強 凌 弱 擁 遏 孤 幼 令 不 得 食 使 不 均 平 
X59n1084_002:0346a20	越佛慈濟。必須互相愛念。猶如父母憶子之想。語諸	越 佛 慈 濟 必 須 互 相 愛 念 猶 如 父 母 憶 子 之 想 語 諸 
X59n1084_002:0346a21	佛子。汝等各有父母。兄弟姊妹。妻子眷屬。善友親戚。	佛 子 汝 等 各 有 父 母 兄 弟 姊 妹 妻子眷屬 善 友 親 戚 
X59n1084_002:0346a22	或有事緣。來不得者。汝等佛子。慈心愛念。各各賷持	或 有 事 緣 來 不 得 者 汝 等 佛 子 慈 心 愛 念 各 各 賷 持 
X59n1084_002:0346a23	飲食錢財物等。遞相布施。充足飽滿。無有乏少。令發	飲 食 錢 財 物 等 遞 相 布 施 充 足 飽 滿 無 有 乏 少 令 發 
X59n1084_002:0346a24	道意。永離三塗。長越四流。當捨此身。速超道果。又為	道 意 永 離 三 塗 長 越 四 流 當 捨 此 身 速 超 道 果 又 為 
