T52n2118_001:0794b19	折疑論敘	折 疑 論 敘 
T52n2118_003:0811b04	貴。金珠佩玉。粲飾其間。藏歌舞悅美人。廢	貴 金 珠 佩 玉 粲 飾 其 間 藏 歌 舞 悅 美 人 廢 
T52n2118_003:0811b05	國政恣驕奢。不其亡身。其何耶(若是貪淫嗜樂。不至於廢國亡	國 政 恣 驕 奢 不 其 亡 身 其 何 耶 若 是 貪 淫 嗜 樂 不 至 於 廢 國 亡 
T52n2118_003:0811b06	身者更在何耶)。	身 者 更 在 何 耶 
T52n2118_003:0811b07	秦政建萬人之宮(秦政始皇也。都咸陽建萬人之宮室)。	秦 政 建 萬 人 之 宮 秦 政 始 皇 也 都 咸 陽 建 萬 人 之 宮 室 
T52n2118_003:0811b08	於阿房之城東西五百步南北五十丈(阿房城中有殿。殿	於 阿 房 之 城 東 西 五 百 步 南 北 五 十 丈 阿 房 城 中 有 殿 殿 
T52n2118_003:0811b09	之四方有房。其高廣者。上可以坐萬人。下可以建五丈旗)。	之 四 方 有 房 其 高 廣 者 上 可 以 坐 萬 人 下 可 以 建 五 丈 旗 
T52n2118_003:0811b10	東抵驪山。僅五十里。十步一樓。五步一閣(東至	東 抵 驪 山 僅 五 十 里 十 步 一 樓 五 步 一 閣 東 至 
T52n2118_003:0811b11	驪山。西至咸陽將五十里。除萬人宮外十步五步。皆建樓閣)。	驪 山 西 至 咸 陽 將 五 十 里 除 萬 人 宮 外 十 步 五 步 皆 建 樓 閣 
T52n2118_003:0811b12	車駕往來。不冒風雨。其宏麗雄贍。如此之	車 駕 往 來 不 冒 風 雨 其 宏 麗 雄 贍 如 此 之 
T52n2118_003:0811b13	大也。但知縱耳目之所欲。而不知役人民之	大 也 但 知 縱 耳 目 之 所 欲 而 不 知 役 人 民 之 
T52n2118_003:0811b14	疲苦。唯恣驕奢罔修國政。不其滅國其在何	疲 苦 唯 恣 驕 奢 罔 修 國 政 不 其 滅 國 其 在 何 
T52n2118_003:0811b15	耶。今我沙門。雖處華堂紺宇。但以晨鐘夕	耶 今 我 沙 門 雖 處 華 堂 紺 宇 但 以 晨 鐘 夕 
T52n2118_003:0811b16	梵遠風疎磬。褒讚金言生人天福(今我沙門。雖以如是但用晨	梵 遠 風 疎 磬 褒 讚 金 言 生 人 天 福 今 我 沙 門 雖 以 如 是 但 用 晨 
T52n2118_003:0811b17	鐘暮鼓俾揚舉梵唄。上乃祝皇王聖壽。下乃與黎民祈福永遠。闡揚于風化也)。	鐘 暮 鼓 俾 揚 舉 梵 唄 上 乃 祝 皇 王 聖 壽 下 乃 與 黎 民 祈 福 永 遠 闡 揚 于 風 化 也 
T52n2118_003:0811b18	如斯而已矣。豈直與秦楚奢華同日而語耶。	如 斯 而 已 矣 豈 直 與 秦 楚 奢 華 同 日 而 語 耶 
T52n2118_003:0811b19	孟子曰。如其道雖舜受堯之天下。不以為泰	孟 子 曰 如 其 道 雖 舜 受 堯 之 天 下 不 以 為 泰 
T52n2118_003:0811b20	(如舜乃側陋微賤。因有其道德而堯授二女以妻之天下四海君位以禪之而亦不以為泰)。	 如 舜 乃 側 陋 微 賤 因 有 其 道 德 而 堯 授 二 女 以 妻 之 天 下 四 海 君 位 以 禪 之 而 亦 不 以 為 泰 
T52n2118_003:0811b21	非其道。一簟食不可受於人(如是不合契道德之理雖有一簟之食亦	非 其 道 一 簟 食 不 可 受 於 人 如 是 不 合 契 道 德 之 理 雖 有 一 簟 之 食 亦 
T52n2118_003:0811b22	不可坐受於人也)。	不 可 坐 受 於 人 也 
T52n2118_003:0811b23	豈虛言哉。	豈 虛 言 哉 
T52n2118_003:0811b24	折疑論卷第三	折 疑 論 卷 第 三 
T52n2118_004:0811c03	折疑論卷第四	折 疑 論 卷 第 四 
T52n2118_004:0811c05	金臺大慈恩寺西域師子比丘述註	金 臺 大 慈 恩 寺 西 域 師 子 比 丘 述 註 
T52n2118_004:0811c06	殊見第十四(此篇因所見差異而殊別。故曰殊見)	殊 見 第 十 四 此 篇 因 所 見 差 異 而 殊 別 故 曰 殊 見 
T52n2118_004:0811c07	客曰。子之所言。佛道尊崇無聖可上(此因第二第三篇	客 曰 子 之 所 言 佛 道 尊 崇 無 聖 可 上 此 因 第二第三 篇 
T52n2118_004:0811c08	中。言佛之法身廣大證聖極尊以為問也)。	中 言 佛 之 法 身 廣 大 證 聖 極 尊 以 為 問 也 
T52n2118_004:0811c09	或有人曰。佛之為教也。其文富贍。其說宏	或 有 人 曰 佛 之 為 教 也 其 文 富 贍 其 說 宏 
T52n2118_004:0811c10	遠。義句廓落。旨趣幽深。瀚漫周遮。難用難	遠 義 句 廓 落 旨 趣 幽 深 瀚 漫 周 遮 難 用 難 
T52n2118_004:0811c11	信。以是而毀。為之奈何(謂佛教如此。則大難用而尤難信。因此而有謗毀	信 以 是 而 毀 為 之 奈 何 謂 佛 教 如 此 則 大 難 用 而 尤 難 信 因 此 而 有 謗 毀 
T52n2118_004:0811c12	者。為之奈何)。	者 為 之 奈 何 
T52n2118_004:0811c13	妙明曰。至味難調眾口。大音不合群耳。夫	妙 明 曰 至 味 難 調 眾 口 大 音 不 合 群 耳 夫 
T52n2118_004:0811c14	蚯蚓食土而甘於土。豈知有五味之和。犬豕	蚯 蚓 食 土 而 甘 於 土 豈 知 有 五 味 之 和 犬 豕 
T52n2118_004:0811c15	食糞而美於糞。豈知有醪醴之味。悲夫不知。	食 糞 而 美 於 糞 豈 知 有 醪 醴 之 味 悲 夫 不 知 
T52n2118_004:0811c16	知之未必為食也(狗有懸爪為犬)。	知 之 未 必 為 食 也 狗 有 懸 爪 為 犬 
T52n2118_004:0811c17	若蚯蚓置之於五味。犬豕飲之以醪醴。彼必	若 蚯 蚓 置 之 於 五 味 犬 豕 飲 之 以 醪 醴 彼 必 
T52n2118_004:0811c18	反以為毒者何也。蓋非適其所養。若蚯蚓投	反 以 為 毒 者 何 也 蓋 非 適 其 所 養 若 蚯 蚓 投 
T52n2118_004:0811c19	之以污池。犬豕飼之以糟漿。彼必宛轉詰屈。	之 以 污 池 犬 豕 飼 之 以 糟 漿 彼 必 宛 轉 詰 屈 
T52n2118_004:0811c20	掉尾奮蹄。從而悅之者何也。蓋適其所養之	掉 尾 奮 蹄 從 而 悅 之 者 何 也 蓋 適 其 所 養 之 
T52n2118_004:0811c21	道也(宛轉詰屈。乃蚯蚓動轉貌。掉尾奮蹄。乃犬豕悅豫貌)。	道 也 宛 轉 詰 屈 乃 蚯 蚓 動 轉 貌 掉 尾 奮 蹄 乃 犬 豕 悅 豫 貌 
T52n2118_004:0811c22	且承雲(黃帝樂)。	且 承 雲 黃 帝 樂 
T52n2118_004:0811c23	咸池(夏樂)。	咸 池 夏 樂 
T52n2118_004:0811c24	九韶(舞樂)。	九 韶 舞 樂 
T52n2118_004:0811c25	大濩(湯樂)。	大 濩 湯 樂 
T52n2118_004:0811c26	大武(周武王樂)。	大 武 周 武 王 樂 
T52n2118_004:0811c27	樂之至也。若調以五音之和。奏以九成之美。	樂 之 至 也 若 調 以 五 音 之 和 奏 以 九 成 之 美 
T52n2118_004:0811c28	歌詠先王之風致。若景鳳翔慶雲浮甘露降	歌 詠 先 王 之 風 致 若 景 鳳 翔 慶 雲 浮 甘 露 降 
T52n2118_004:0811c29	醴泉出鳳凰來儀鳥獸率舞(堯使夔典樂擊石百獸率舞舜簫韶九奏鳳凰	醴 泉 出 鳳 凰 來 儀 鳥 獸 率 舞 堯 使 夔 典 樂 擊 石 百 獸 率 舞 舜 簫 韶 九 奏 鳳 凰 
T52n2118_004:0812a01	來儀)。	來 儀 
T52n2118_004:0812a02	若求其和者。必莫知應者何也。蓋乖其所聽	若 求 其 和 者 必 莫 知 應 者 何 也 蓋 乖 其 所 聽 
T52n2118_004:0812a03	也(若以上文五樂求其應和而無者何。蓋為乖異於聽者也)。	也 若 以 上 文 五 樂 求 其 應 和 而 無 者 何 蓋 為 乖 異 於 聽 者 也 
T52n2118_004:0812a04	若操之以鄭衛之音。詠之以世俗之風。曲合	若 操 之 以 鄭 衛 之 音 詠 之 以 世 俗 之 風 曲 合 
T52n2118_004:0812a05	時習。韻叶巴歌。使其聽者必不待教而自知	時 習 韻 叶 巴 歌 使 其 聽 者 必 不 待 教 而 自 知 
T52n2118_004:0812a06	其和者何也。蓋適其所知也(鄭衛之歌曲。乃淫蕩之音。合其世俗之	其 和 者 何 也 蓋 適 其 所 知 也 鄭 衛 之 歌 曲 乃 淫 蕩 之 音 合 其 世 俗 之 
T52n2118_004:0812a07	習。如巴歌知和而多者何為也。蓋由順其所知也)。	習 如 巴 歌 知 和 而 多 者 何 為 也 蓋 由 順 其 所 知 也 
T52n2118_004:0812a08	且舜禹之君。可謂聖矣。楊朱從而讎之(讐讟謗也。	且 舜 禹 之 君 可 謂 聖 矣 楊 朱 從 而 讎 之 讐 讟 謗 也 
T52n2118_004:0812a09	列子。楊朱曰。舜耕河陽陶於雷澤。四體不得暫安。口腹不得美厚。父母之所不愛。弟妹之所不親。行年三十不告	列 子 楊 朱 曰 舜 耕 河 陽 陶 於 雷 澤 四 體 不 得 暫 安 口 腹 不 得 美 厚 父 母 之 所 不 愛 弟 妹 之 所 不 親 行 年 三 十 不 告 
T52n2118_004:0812a10	而娶。及受堯之禪。年已長智已衰。商均不才。禪位於禹。戚戚然以至於死。此天人窮毒者也。鯀治水土。功績不	而 娶 及 受 堯 之 禪 年 已 長 智 已 衰 商 均 不 才 禪 位 於 禹 戚 戚 然 以 至 於 死 此 天 人 窮 毒 者 也 鯀 治 水 土 功 績 不 
T52n2118_004:0812a11	就。殛諸羽山。禹纂業事讐。惟荒度土功。子產不字。過門不入。身體偏枯。手足胼胝。及受舜禪。卑宮室戚戚然至	就 殛 諸 羽 山 禹 纂 業 事 讐 惟 荒 度 土 功 子 產 不 字 過 門 不 入 身 體 偏 枯 手 足 胼 胝 及 受 舜 禪 卑 宮 室 戚 戚 然 至 
T52n2118_004:0812a12	於死。此天人之憂苦者也)。	於 死 此 天 人 之 憂 苦 者 也 
T52n2118_004:0812a13	仲尼之德。可謂仁矣。桓魋從而害之(論語桓魋欲害孔	仲 尼 之 德 可 謂 仁 矣 桓 魋 從 而 害 之 論 語 桓 魋 欲 害 孔 
T52n2118_004:0812a14	子。子曰。天生德於予。桓魋其如予何)。	子 子 曰 天 生 德 於 予 桓 魋 其 如 予 何 
T52n2118_004:0812a15	魯臧倉毀隔孟子(孟子曰。臧氏之子。焉能使予不遇哉)。	魯 臧 倉 毀 隔 孟 子 孟 子 曰 臧 氏 之 子 焉 能 使 予 不 遇 哉 
T52n2118_004:0812a16	公伯寮愬仲由(愬譖辭。公伯寮魯人也。仲由即子路。論語云。伯寮愬子路於季孫)。	公 伯 寮 愬 仲 由 愬 譖 辭 公 伯 寮 魯 人 也 仲 由 即 子 路 論 語 云 伯 寮 愬 子 路 於 季 孫 
T52n2118_004:0812a17	其若仰而噀天。徒污其面也(以楊朱讐舜禹。桓魋害孔子。臧倉毀孟	其 若 仰 而 噀 天 徒 污 其 面 也 以 楊 朱 讐 舜 禹 桓 魋 害 孔 子 臧 倉 毀 孟 
T52n2118_004:0812a18	子。伯寮愬子路等。喻客之毀佛者。何異仰而唾天徒污自己面也)。	子 伯 寮 愬 子 路 等 喻 客 之 毀 佛 者 何 異 仰 而 唾 天 徒 污 自 己 面 也 
T52n2118_004:0812a19	夫聽樂者。聞清商而為之宮角。過不在於扣	夫 聽 樂 者 聞 清 商 而 為 之 宮 角 過 不 在 於 扣 
T52n2118_004:0812a20	絃而聞之不審也。求玉者。見和璧而為之珷	絃 而 聞 之 不 審 也 求 玉 者 見 和 璧 而 為 之 珷 
T52n2118_004:0812a21	玞。賤非關於至寶而見者不明也(和璧。史記。卡和得荊山之	玞 賤 非 關 於 至 寶 而 見 者 不 明 也 和 璧 史 記 卡 和 得 荊 山 之 
T52n2118_004:0812a22	璞。進楚文王武王。二王皆刖足。後進成王。使玉人琢之。果得美玉。號連城之寶。珷玞似玉之石也。若將和璧為珷	璞 進 楚 文 王 武 王 二 王 皆 刖 足 後 進 成 王 使 玉 人 琢 之 果 得 美 玉 號 連 城 之 寶 珷 玞 似 玉 之 石 也 若 將 和 璧 為 珷 
T52n2118_004:0812a23	玞者。非干玉賤乃見者不明也)。	玞 者 非 干 玉 賤 乃 見 者 不 明 也 
T52n2118_004:0812a24	神蛇能斷而復續。不能使人不斷也(異物誌云神蛇斷而復續)	神 蛇 能 斷 而 復 續 不 能 使 人 不 斷 也 異 物 誌 云 神 蛇 斷 而 復 續 
T52n2118_004:0812a25	靈龜審人之禍福。自不免刳剔之災(列子。宋元君夢人被髮	靈 龜 審 人 之 禍 福 自 不 免 刳 剔 之 災 列 子 宋 元 君 夢 人 被 髮 
T52n2118_004:0812a26	曰。予被清江河伯之所漁。請君救之。覺而外巡。果見網得白龜圓五尺。君欲活之卜者曰。龜有七十二鑽。以卜吉	曰 予 被 清 江 河 伯 之 所 漁 請 君 救 之 覺 而 外 巡 果 見 網 得 白 龜 圓 五 尺 君 欲 活 之 卜 者 曰 龜 有 七 十 二 鑽 以 卜 吉 
T52n2118_004:0812b01	凶。如此則雖能卜人之禍福。不能自免刳剔之災患)。	凶 如 此 則 雖 能 卜 人 之 禍 福 不 能 自 免 刳 剔 之 災 患 
T52n2118_004:0812b02	至道恢弘。聖人極唱。出世妙典。非俗所知。不	至 道 恢 弘 聖 人 極 唱 出 世 妙 典 非 俗 所 知 不 
T52n2118_004:0812b03	為譽者貴而毀者賤(大聖教典。下以稱譽而貴毀謗而賤)。	為 譽 者 貴 而 毀 者 賤 大 聖 教 典 下 以 稱 譽 而 貴 毀 謗 而 賤 
T52n2118_004:0812b04	行不行時也(行與不行各有其時。若孔子不得君師之位也)。	行 不 行 時 也 行 與 不 行 各 有 其 時 若 孔 子 不 得 君 師 之 位 也 
T52n2118_004:0812b05	信不信機也(信與不信唯在機會。若盜跖不受孔子之化也)。	信 不 信 機 也 信 與 不 信 唯 在 機 會 若 盜 跖 不 受 孔 子 之 化 也 
T52n2118_004:0812b06	譬如荷鍤以平太行。抱石而塞巨浸。其於功	譬 如 荷 鍤 以 平 太 行 抱 石 而 塞 巨 浸 其 於 功 
T52n2118_004:0812b07	也。不亦勞乎(巨浸海也。客之謗佛。譬如有人負荷鍤钁欲要平治太行之山。抱取塊石。而要	也 不 亦 勞 乎 巨 浸 海 也 客 之 謗 佛 譬 如 有 人 負 荷 鍤 钁 欲 要 平 治 太 行 之 山 抱 取 塊 石 而 要 
T52n2118_004:0812b08	塞填大海。為此之功力者。不亦勞而難乎)。	塞 填 大 海 為 此 之 功 力 者 不 亦 勞 而 難 乎 
T52n2118_004:0812b09	隨宜第十五(此篇隨順合宜而答。後曰隨宜)	隨 宜 第 十 五 此 篇 隨 順 合 宜 而 答 後 曰 隨 宜 
T52n2118_004:0812b10	客曰。子言佛教。義高嵩泰。理濬江海。文同	客 曰 子 言 佛 教 義 高 嵩 泰 理 濬 江 海 文 同 
T52n2118_004:0812b11	翻錦。句若揀金。奚不以佛經答吾所問。而	翻 錦 句 若 揀 金 奚 不 以 佛 經 答 吾 所 問 而 
T52n2118_004:0812b12	復以詩書合異於同耶。	復 以 詩 書 合 異 於 同 耶 
T52n2118_004:0812b13	妙明曰。牟子云。渴者不必投江海而飲。饑	妙 明 曰 牟 子 云 渴 者 不 必 投 江 海 而 飲 饑 
T52n2118_004:0812b14	者不必待敖倉而飽。道為智者設。辯為達者	者 不 必 待 敖 倉 而 飽 道 為 智 者 設 辯 為 達 者 
T52n2118_004:0812b15	通。書為曉者傳。事為見者明。吾以子知其意	通 書 為 曉 者 傳 事 為 見 者 明 吾 以 子 知 其 意 
T52n2118_004:0812b16	故引而申之。若說佛經以答吾子。譬如盲者	故 引 而 申 之 若 說 佛 經 以 答 吾 子 譬 如 盲 者 
T52n2118_004:0812b17	耀五色。聾者奏五音也。且師襄師文伯牙瓠	耀 五 色 聾 者 奏 五 音 也 且 師 襄 師 文 伯 牙 瓠 
T52n2118_004:0812b18	巴叔夜。古之善鼓琴者。其學雖切。不能成	巴 叔 夜 古 之 善 鼓 琴 者 其 學 雖 切 不 能 成 
T52n2118_004:0812b19	無絃之曲(列子。瓠巴鼓琴而鳥舞魚躍。師襄乃師文之師也。但能撫琴。當春之時。扣商絃以召南	無 絃 之 曲 列 子 瓠 巴 鼓 琴 而 鳥 舞 魚 躍 師 襄 乃 師 文 之 師 也 但 能 撫 琴 當 春 之 時 扣 商 絃 以 召 南 
T52n2118_004:0812b20	呂八月之令。涼風忽至。草木成實。及秋而扣角絃以激夾鍾。乃二月節令。而溫風徐回。草木發榮。盛當夏而扣羽	呂 八 月 之 令 涼 風 忽 至 草 木 成 實 及 秋 而 扣 角 絃 以 激 夾 鍾 乃 二 月 節 令 而 溫 風 徐 回 草 木 發 榮 盛 當 夏 而 扣 羽 
T52n2118_004:0812b21	絃以召黃鍾。乃十一月節令。霜雪交下。川池暴烈。及冬而扣徵絃以激蕤賓。五月節令。而陽光盛烈。堅氷立散。	絃 以 召 黃 鍾 乃 十 一 月 節 令 霜 雪 交 下 川 池 暴 烈 及 冬 而 扣 徵 絃 以 激 蕤 賓 五 月 節 令 而 陽 光 盛 烈 堅 氷 立 散 
T52n2118_004:0812b22	將終命扣宮而總四絃則景風翔慶雲浮。甘露降醴泉湧。然此善操而不能成無絃之曲調也)。	將 終 命 扣 宮 而 總 四 絃 則 景 風 翔 慶 雲 浮 甘 露 降 醴 泉 湧 然 此 善 操 而 不 能 成 無 絃 之 曲 調 也 
T52n2118_004:0812b23	甘[火*龜]飛衛紀昌逢蒙蒲且子。古之善射者。其	甘 [火龜] 飛 衛 紀 昌 逢 蒙 蒲 且 子 古 之 善 射 者 其 
T52n2118_004:0812b24	藝雖神。不能彀無弦之弓(彀古侯切。張弓也。列子。甘[火*龜]古之善射者。彀	藝 雖 神 不 能 彀 無 弦 之 弓 彀 古 侯 切 張 弓 也 列 子 甘 [火龜] 古 之 善 射 者 彀 
T52n2118_004:0812b25	弓而獸伏鳥下。弟子飛衛學射甘[火*龜]而巧過於師。紀昌又學射於飛衛。後進其術。昌欲謀殺飛衛二人交射中路矢	弓 而 獸 伏 鳥 下 弟 子 飛 衛 學 射 甘 [火龜] 而 巧 過 於 師 紀 昌 又 學 射 於 飛 衛 後 進 其 術 昌 欲 謀 殺 飛 衛 二 人 交 射 中 路 矢 
T52n2118_004:0812b26	逢。相觸而墜於地。衛矢先盡昌有一矢。既發衛以棘刺之端。扞之而無差。其藝雖神。不能張無弦之弓)。	逢 相 觸 而 墜 於 地 衛 矢 先 盡 昌 有 一 矢 既 發 衛 以 棘 刺 之 端 扞 之 而 無 差 其 藝 雖 神 不 能 張 無 弦 之 弓 
T52n2118_004:0812b27	狐貈(音鶴)。	狐 貈 音 鶴 
T52n2118_004:0812c01	雖溫。不能暖無氣之人(狐貈皮毛雖溫暖。不能暖死而無氣之人)。	雖 溫 不 能 暖 無 氣 之 人 狐 貈 皮 毛 雖 溫 暖 不 能 暖 死 而 無 氣 之 人 
T52n2118_004:0812c02	水土雖澤。不能秀無根之木(水土雖然潤澤。難發秀無根之木)。	水 土 雖 澤 不 能 秀 無 根 之 木 水 土 雖 然 潤 澤 難 發 秀 無 根 之 木 
T52n2118_004:0812c03	佛法雖懿。不注薄信之耳(佛法雖然懿美。而不能化導入不信人之耳)。	佛 法 雖 懿 不 注 薄 信 之 耳 佛 法 雖 然 懿 美 而 不 能 化 導 入 不 信 人 之 耳 
T52n2118_004:0812c04	子之信道未篤。故多惑志。吾安敢以大聖微	子 之 信 道 未 篤 故 多 惑 志 吾 安 敢 以 大 聖 微 
T52n2118_004:0812c05	旨答子之問耶。昔公明儀為牛彈清角之操	旨 答 子 之 問 耶 昔 公 明 儀 為 牛 彈 清 角 之 操 
T52n2118_004:0812c06	(清角者牛耳。不能聞聲。唯以角聽。故云彈清角之操也)。	 清 角 者 牛 耳 不 能 聞 聲 唯 以 角 聽 故 云 彈 清 角 之 操 也 
T52n2118_004:0812c07	伏食如故。非牛之不聞。不合其耳也(其牛低首而食	伏 食 如 故 非 牛 之 不 聞 不 合 其 耳 也 其 牛 低 首 而 食 
T52n2118_004:0812c08	草如故)。	草 如 故 
T52n2118_004:0812c09	轉為虻蟲之聲犢子之鳴(轉為操虻蟲飛來之聲。又操犢子尋母鳴聲)。	轉 為 虻 蟲 之 聲 犢 子 之 鳴 轉 為 操 虻 蟲 飛 來 之 聲 又 操 犢 子 尋 母 鳴 聲 
T52n2118_004:0812c10	牛即掉尾奮耳。蹀躞而聽者何也。蓋適其所	牛 即 掉 尾 奮 耳 蹀 躞 而 聽 者 何 也 蓋 適 其 所 
T52n2118_004:0812c11	知也(蹀躞蹄動貌。牛聞此聲遂乃掉動其尾奮立兩且。四足皆動。如此聽之者何為也。大概順其所知者也蹀	知 也 蹀 躞 蹄 動 貌 牛 聞 此 聲 遂 乃 掉 動 其 尾 奮 立 兩 且 四 足 皆 動 如 此 聽 之 者 何 為 也 大 概 順 其 所 知 者 也 蹀 
T52n2118_004:0812c12	音牃躞音泄)。	音 牃 躞 音 泄 
T52n2118_004:0812c13	以是故。吾以詩書曉子矣(不用佛經答。因子曉達六經諸子。是以引之。使	以 是 故 吾 以 詩 書 曉 子 矣 不 用 佛 經 答 因 子 曉 達 六 經 諸 子 是 以 引 之 使 
T52n2118_004:0812c14	子易曉)。	子 易 曉 
T52n2118_004:0812c15	優劣第十六(此篇謂王喬簫史與摩騰竺法比之勝弱。故曰優劣)	優 劣 第 十 六 此 篇 謂 王 喬 簫 史 與 摩 騰 竺 法 比 之 勝 弱 故 曰 優 劣 
T52n2118_004:0812c16	客曰。王喬簫史僊也(王喬後漢人。為葉縣令。每顯神異。乘鳧而往來。簫史秦穆	客 曰 王 喬 簫 史 僊 也 王 喬 後 漢 人 為 葉 縣 令 每 顯 神 異 乘 鳧 而 往 來 簫 史 秦 穆 
T52n2118_004:0812c17	公時人。善吹簫。夫婦隨鳳凰而飛去)。	公 時 人 善 吹 簫 夫 婦 隨 鳳 凰 而 飛 去 
T52n2118_004:0812c18	摩騰竺法蘭僧也。其道等乎(客謂。此二僊二僧。其道德亦有等乎)。	摩 騰 竺 法 蘭 僧 也 其 道 等 乎 客 謂 此 二 僊 二 僧 其 道 德 亦 有 等 乎 
T52n2118_004:0812c19	妙明曰。止乎(且止也)。	妙 明 曰 止 乎 且 止 也 
T52n2118_004:0812c20	幸以晏然。吾不欲平地起風波之千丈也(不當得而	幸 以 晏 然 吾 不 欲 平 地 起 風 波 之 千 丈 也 不 當 得 而 
T52n2118_004:0812c21	得曰幸。幸以無事坐。却論其優劣高低。則正是無風起浪)。	得 曰 幸 幸 以 無 事 坐 却 論 其 優 劣 高 低 則 正 是 無 風 起 浪 
T52n2118_004:0812c22	客曰。願略舉似啟吾茆塞(啟開也。客謂略少舉似法。要開我胸中茆塞)。	客 曰 願 略 舉 似 啟 吾 茆 塞 啟 開 也 客 謂 略 少 舉 似 法 要 開 我 胸 中 茆 塞 
T52n2118_004:0812c23	妙明曰。夫行舟者識水之淺深(行舟者。要識水勢之深淺)。	妙 明 曰 夫 行 舟 者 識 水 之 淺 深 行 舟 者 要 識 水 勢 之 深 淺 
T52n2118_004:0812c24	控御者知地之高下(御車者須要知地之曲直高低也)。	控 御 者 知 地 之 高 下 御 車 者 須 要 知 地 之 曲 直 高 低 也 
T52n2118_004:0812c25	學道者達人之優劣(學道者之人。要通達為師之勝弱也。若不分優劣。則不明人	學 道 者 達 人 之 優 劣 學 道 者 之 人 要 通 達 為 師 之 勝 弱 也 若 不 分 優 劣 則 不 明 人 
T52n2118_004:0812c26	之邪正也)。	之 邪 正 也 
T52n2118_004:0812c27	吾尋常方袍釋子(我乃是尋常著寬服之僧)。	吾 尋 常 方 袍 釋 子 我 乃 是 尋 常 著 寬 服 之 僧 
T52n2118_004:0813a01	管窺可隘(如筆管之明可窺。隘而不足洞明也)。	管 窺 可 隘 如 筆 管 之 明 可 窺 隘 而 不 足 洞 明 也 
T52n2118_004:0813a02	牆面無知(無學無知者如面牆)。	牆 面 無 知 無 學 無 知 者 如 面 牆 
T52n2118_004:0813a03	但以爝火之光照燭無遠(爝火者。小火把也。謙曰。我若火把。小光用照於	但 以 爝 火 之 光 照 燭 無 遠 爝 火 者 小 火 把 也 謙 曰 我 若 火 把 小 光 用 照 於 
T52n2118_004:0813a04	夜。則其照燭明亮莫之能遠)。	夜 則 其 照 燭 明 亮 莫 之 能 遠 
T52n2118_004:0813a05	何敢評先德昇降之道乎(昇降者。高低也。既如管窺爝火。焉敢評論先輩)。	何 敢 評 先 德 昇 降 之 道 乎 昇 降 者 高 低 也 既 如 管 窺 爝 火 焉 敢 評 論 先 輩 
T52n2118_004:0813a06	然以蒲牢含響。為長鯨扣之。則莫得悶其聲	然 以 蒲 牢 含 響 為 長 鯨 扣 之 則 莫 得 悶 其 聲 
T52n2118_004:0813a07	也(海有大魚名鯨。海島有獸名蒲牢。蒲牢畏鯨。鯨一躍蒲牢輒大鳴吼。故鐘上鑄蒲牢之形。擊鐘之木。以為	也 海 有 大 魚 名 鯨 海 島 有 獸 名 蒲 牢 蒲 牢 畏 鯨 鯨 一 躍 蒲 牢 輒 大 鳴 吼 故 鐘 上 鑄 蒲 牢 之 形 擊 鐘 之 木 以 為 
T52n2118_004:0813a08	鯨魚之形。故問者如鯨。答者如蒲牢之應聲也)。	鯨 魚 之 形 故 問 者 如 鯨 答 者 如 蒲 牢 之 應 聲 也 
T52n2118_004:0813a09	悲夫。桀紂之犬足以吠堯(諡法。翼善博聖曰堯。又善行德義曰堯。悲夫。歎	悲 夫 桀 紂 之 犬 足 以 吠 堯 諡 法 翼 善 博 聖 曰 堯 又 善 行 德 義 曰 堯 悲 夫 歎 
T52n2118_004:0813a10	辭也。桀紂昏主。舜堯聖君。桀紂之犬雖識其主。不知主之昏。然堯舜雖明。犬不知聖明。故吠之。佛喻堯謗	辭 也 桀 紂 昏 主 舜 堯 聖 君 桀 紂 之 犬 雖 識 其 主 不 知 主 之 昏 然 堯 舜 雖 明 犬 不 知 聖 明 故 吠 之 佛 喻 堯 謗 
T52n2118_004:0813a11	者喻犬)。	者 喻 犬 
T52n2118_004:0813a12	楊墨之徒足以謗舜。然居今之俗。多以同群	楊 墨 之 徒 足 以 謗 舜 然 居 今 之 俗 多 以 同 群 
T52n2118_004:0813a13	逐塊。罔審聖道階乎上下而於戡弱(戡苦耽切。伐也。謗毀	逐 塊 罔 審 聖 道 階 乎 上 下 而 於 戡 弱 戡 苦 耽 切 伐 也 謗 毀 
T52n2118_004:0813a14	也。諡法仁聖威明曰舜。列子。楊朱謗舜。今以佛喻舜謗者。喻楊朱。居今常俗喻群狗。狗見人丟去甎土之塊。逐	也 諡 法 仁 聖 威 明 曰 舜 列 子 楊 朱 謗 舜 今 以 佛 喻 舜 謗 者 喻 楊 朱 居 今 常 俗 喻 群 狗 狗 見 人 丟 去 甎 土 之 塊 逐 
T52n2118_004:0813a15	而趕之也。言客無能評審聖道有階級上下而不同。及於戡勝弱劣之不等乎)。	而 趕 之 也 言 客 無 能 評 審 聖 道 有 階 級 上 下 而 不 同 及 於 戡 勝 弱 劣 之 不 等 乎 
T52n2118_004:0813a16	懵然無辯(懵莫紅切。心暗昏而不能辯別於高下也)。	懵 然 無 辯 懵 莫 紅 切 心 暗 昏 而 不 能 辯 別 於 高 下 也 
T52n2118_004:0813a17	縱有懷其藻鑑評。而詣其實者。而於叢惑。奚	縱 有 懷 其 藻 鑑 評 而 詣 其 實 者 而 於 叢 惑 奚 
