T26n1520_001:0010c03	妙法蓮華經論優波提舍	妙法蓮華 經 論 優波提舍 
T26n1520_001:0018a17	他身法身平等無差別故。是無煩惱人，染慢	他 身 法 身 平 等 無 差 別 故 是 無 煩 惱 人 染 慢 
T26n1520_001:0018a18	見彼此身所作差別，以不知彼此佛性法身	見 彼 此 身 所 作 差 別 以 不 知 彼 此 佛 性 法 身 
T26n1520_001:0018a19	平等故，即彼人我證此法、彼人不得。對治	平 等 故 即 彼 人 我 證 此 法 彼 人 不 得 對 治 
T26n1520_001:0018a20	此故，與諸聲聞授記應知。彼聲聞等為實成	此 故 與 諸 聲 聞 授 記 應 知 彼 聲 聞 等 為 實 成 
T26n1520_001:0018a21	佛故與授記、為不成佛與授記也？若實成佛	佛 故 與 授 記 為 不 成 佛 與 授 記 也 若 實 成 佛 
T26n1520_001:0018a22	者，菩薩何故於無量劫修集無量功德？若	者 菩 薩 何 故 於 無 量 劫 修 集 無量功德 若 
T26n1520_001:0018a23	不成佛者，云何虛妄授記？彼聲聞授記者，	不 成 佛 者 云 何 虛 妄 授 記 彼 聲 聞 授 記 者 
T26n1520_001:0018a24	得決定心，非成就法性故。如來依三平等說	得 決 定 心 非 成 就 法 性 故 如 來 依 三 平 等 說 
T26n1520_001:0018a25	一乘法故，以如來法身與彼聲聞法身無異	一 乘 法 故 以 如來法身 與 彼 聲 聞 法 身 無 異 
T26n1520_001:0018a26	故與授記，非即具足修行功德故。是故菩薩	故 與 授 記 非 即 具 足 修 行 功 德 故 是 故 菩 薩 
T26n1520_001:0018a27	功德具足，諸聲聞人功未具足。言授記者，	功德具足 諸 聲 聞 人 功 未 具 足 言 授 記 者 
T26n1520_001:0018a28	有六處示現，五者如來記、一者菩薩記。如來	有 六 處 示 現 五 者 如 來 記 一 者 菩 薩 記 如 來 
T26n1520_001:0018a29	記者，舍利弗、摩訶迦葉等眾所知識故，名號	記 者 舍 利 弗 摩 訶 迦 葉 等 眾 所 知 識 故 名 號 
T26n1520_001:0018b01	不同，故與別記。富樓那等五百人、千二百人	不 同 故 與 別 記 富 樓 那 等 五 百 人 千 二 百 人 
T26n1520_001:0018b02	等，同一名故，俱時與記。學無學等俱同一號，	等 同 一 名 故 俱 時 與 記 學 無 學 等 俱 同 一 號 
T26n1520_001:0018b03	非眾所知識故，一時與記。與提婆達多記	非 眾 所 知 識 故 一 時 與 記 與 提 婆 達 多 記 
T26n1520_001:0018b04	者，示現如來無怨故。與比丘尼及諸天女	者 示 現 如 來 無 怨 故 與 比 丘 尼 及 諸 天 女 
T26n1520_001:0018b05	記者，示現女人在家、出家修菩薩行者皆證	記 者 示 現 女 人 在 家 出 家 修菩薩行 者 皆 證 
T26n1520_001:0018b06	佛果故。菩薩授記者，如〈不輕菩薩品〉示	佛 果 故 菩 薩 授 記 者 如 不 輕 菩 薩 品 示 
T26n1520_001:0018b07	現禮拜讚歎言：我不輕汝，汝等皆當作	現 禮 拜 讚 歎 言 我 不 輕 汝 汝 等 皆 當 作 
T26n1520_001:0018b08	佛者，示諸眾生皆有佛性故。言聲聞授記	佛 者 示 諸 眾 生 皆 有 佛 性 故 言 聲 聞 授 記 
T26n1520_001:0018b09	者，聲聞有四種：一者決定聲聞；二者增上慢	者 聲 聞 有 四 種 一 者 決 定 聲 聞 二 者 增 上 慢 
T26n1520_001:0018b10	聲聞；三者退菩提心聲聞；四者應化聲聞。二	聲 聞 三 者 退 菩 提 心 聲 聞 四 者 應 化 聲 聞 二 
T26n1520_001:0018b11	種聲聞，如來與授記，謂應化聲聞、退已還發	種 聲 聞 如 來 與 授 記 謂 應 化 聲 聞 退 已 還 發 
T26n1520_001:0018b12	菩提心者。決定、增上慢二種聲聞，根未熟	菩 提 心 者 決 定 增 上 慢 二 種 聲 聞 根 未 熟 
T26n1520_001:0018b13	故，如來不與授記。菩薩與授記，菩薩授記	故 如 來 不 與 授 記 菩 薩 與 授 記 菩 薩 授 記 
T26n1520_001:0018b14	者，方便令發心故。	者 方 便 令 發 心 故 
T26n1520_001:0018b15	又依何義故，如來說三乘名為一乘？依同義	又 依 何 義 故 如 來 說 三 乘 名 為 一 乘 依 同 義 
T26n1520_001:0018b16	故，與諸聲聞授記。同義者，以如來法身、聲聞	故 與 諸 聲 聞 授 記 同 義 者 以 如來法身 聲 聞 
T26n1520_001:0018b17	法身平等無差別故。以聲聞、辟支佛異乘	法 身 平 等 無 差 別 故 以 聲 聞 辟 支 佛 異 乘 
T26n1520_001:0018b18	故有差別，以彼非大乘故。如來說言不離我	故 有 差 別 以 彼 非 大 乘 故 如 來 說 言 不 離 我 
T26n1520_001:0018b19	身是無上義，一切聲聞、辟支佛法中不說此	身 是 無 上 義 一 切 聲 聞 辟 支 佛 法 中 不 說 此 
T26n1520_001:0018b20	義，以不能解故，是故諸菩薩行菩薩行非	義 以 不 能 解 故 是 故 諸 菩 薩 行 菩 薩 行 非 
T26n1520_001:0018b21	為虛妄。無上義者，餘殘修多羅明無上義，無	為 虛 妄 無 上 義 者 餘 殘 修 多 羅 明 無 上 義 無 
T26n1520_001:0018b22	上義有十種應知。一者示現種子無上故	上 義 有 十 種 應 知 一 者 示 現 種 子 無 上 故 
T26n1520_001:0018b23	說雨譬喻。「汝等所行是菩薩道」者，謂發菩提	說 雨 譬 喻 汝 等 所 行 是 菩 薩 道 者 謂 發 菩 提 
T26n1520_001:0018b24	心退已還發者，前所修行善根不滅，同後得	心 退 已 還 發 者 前 所 修 行 善 根 不 滅 同 後 得 
T26n1520_001:0018b25	果故。二者示現行無上故，說大通智勝如來	果 故 二 者 示 現 行 無 上 故 說 大 通 智 勝 如 來 
T26n1520_001:0018b26	本事等故。三者示現增長力無上故，說商主	本 事 等 故 三 者 示 現 增 長 力 無 上 故 說 商 主 
T26n1520_001:0018b27	譬喻。四者示現令解無上故，說繫寶珠譬喻。	譬 喻 四 者 示 現 令 解 無 上 故 說 繫 寶 珠 譬 喻 
T26n1520_001:0018b28	五者示現清淨國土無上故，示現多寶如來	五 者 示 現 清 淨 國 土 無 上 故 示 現 多 寶 如 來 
T26n1520_001:0018b29	塔。六者示現說無上故，說髻中明珠譬喻。七	塔 六 者 示 現 說 無 上 故 說 髻 中 明 珠 譬 喻 七 
T26n1520_001:0018c01	者示現教化眾生無上故，地中踊出無量菩	者 示 現 教 化 眾 生 無 上 故 地 中 踊 出 無 量 菩 
T26n1520_001:0018c02	薩摩訶薩等故。八者示現成大菩提無上者，	薩 摩 訶 薩 等 故 八 者 示 現 成 大 菩 提 無 上 者 
T26n1520_001:0018c03	示現三種佛菩提：一者應化佛菩提，隨所應	示 現 三 種 佛 菩 提 一 者 應 化 佛 菩 提 隨 所 應 
T26n1520_001:0018c04	見而為示現故，如經「皆謂如來出釋氏宮，去	見 而 為 示 現 故 如 經 皆 謂 如 來 出 釋 氏 宮 去 
T26n1520_001:0018c05	伽耶城不遠，坐於道場得阿耨多羅三藐三菩	伽 耶 城 不 遠 坐 於 道 場 得 阿 耨 多 羅 三 藐 三 菩 
T26n1520_001:0018c06	提」故。二者報佛菩提，十地行滿足得常涅槃	提 故 二 者 報 佛 菩 提 十 地 行 滿 足 得 常 涅 槃 
T26n1520_001:0018c07	證故，如經「善男子！我實成佛已來無量無邊	證 故 如 經 善 男 子 我 實 成佛已來 無量無邊 
T26n1520_001:0018c08	百千萬億那由他劫」故。三者法佛菩提，謂如	百 千 萬 億 那 由 他 劫 故 三 者 法 佛 菩 提 謂 如 
T26n1520_001:0018c09	來藏性淨涅槃常恒清涼不變故，如經「如來	來 藏 性 淨 涅 槃 常 恒 清 涼 不 變 故 如 經 如 來 
T26n1520_001:0018c10	如實知見三界之相，乃至不如三界見於三界」	如實知見 三 界 之 相 乃 至 不 如 三 界 見 於 三 界 
T26n1520_001:0018c11	故。三界相者，謂眾生界即涅槃界，不離眾生	故 三 界 相 者 謂 眾 生 界 即 涅 槃 界 不 離 眾 生 
T26n1520_001:0018c12	界有如來藏故。「無有生死若退若出」者，謂常	界 有 如 來 藏 故 無 有 生 死 若 退 若 出 者 謂 常 
T26n1520_001:0018c13	恒清涼不變故。「亦無在世及滅度」者，謂如	恒 清 涼 不 變 故 亦 無 在 世 及 滅 度 者 謂 如 
T26n1520_001:0018c14	來藏真如之體，不即眾生界、不離眾生界故。	來 藏 真 如 之 體 不 即 眾 生 界 不 離 眾 生 界 故 
T26n1520_001:0018c15	「非實非虛非如非異」者，謂離四種相故，有四	 非 實 非 虛 非 如 非 異 者 謂 離 四 種 相 故 有 四 
T26n1520_001:0018c16	種相者是無常故。「不如三界見三界」者，如來	種 相 者 是 無 常 故 不 如 三 界 見 三 界 者 如 來 
T26n1520_001:0019a01	能見能證真如法身，凡夫不見故。是故經言	能 見 能 證 真 如 法 身 凡 夫 不 見 故 是 故 經 言 
T26n1520_001:0019a02	「如來明見無有錯謬」故。「我本行菩薩道今猶	 如 來 明 見 無 有 錯 謬 故 我 本 行菩薩道 今 猶 
T26n1520_001:0019a03	未滿」者，以本願故，眾生界未盡，願非究竟故。	未 滿 者 以 本 願 故 眾 生 界 未 盡 願 非 究 竟 故 
T26n1520_001:0019a04	言未滿者，非謂菩提不滿足故。「所成壽命復	言 未 滿 者 非 謂 菩 提 不 滿 足 故 所 成 壽 命 復 
T26n1520_001:0019a05	倍上數」者，示現如來常命方便，顯多數過	倍 上 數 者 示 現 如 來 常 命 方 便 顯 多 數 過 
T26n1520_001:0019a06	上數量不可數知故。「我淨土不毀而眾見燒	上 數 量 不 可 數 知 故 我 淨 土 不 毀 而 眾 見 燒 
T26n1520_001:0019a07	盡」者，報佛如來真實淨土，第一義諦攝故。九	盡 者 報 佛 如 來 真 實 淨 土 第一義諦 攝 故 九 
T26n1520_001:0019a08	者示現涅槃無上故，說醫師譬喻。十者示現	者 示現涅槃 無 上 故 說 醫 師 譬 喻 十 者 示 現 
T26n1520_001:0019a09	勝妙力無上故，說餘殘修多羅應知。多寶	勝 妙 力 無 上 故 說 餘 殘 修 多 羅 應 知 多 寶 
T26n1520_001:0019a10	如來塔顯示一切佛土清淨者，示現諸佛實	如 來 塔 顯 示 一 切 佛 土 清 淨 者 示 現 諸 佛 實 
T26n1520_001:0019a11	相境界中種種間錯莊嚴故。塔者，示現如	相 境 界 中 種 種 間 錯 莊 嚴 故 塔 者 示 現 如 
T26n1520_001:0019a12	來舍利住持故。量者，方便示現一切佛國土	來 舍 利 住 持 故 量 者 方 便 示 現 一切佛國土 
T26n1520_001:0019a13	清淨，出世間無漏善根所生，非是世間有	清 淨 出 世 間 無漏善根 所 生 非 是 世 間 有 
T26n1520_001:0019a14	漏善所生故。略者，多寶如來身一體，示	漏 善 所 生 故 略 者 多 寶 如 來 身 一 體 示 
T26n1520_001:0019a15	現攝取一切佛法身故。住持者，示現諸佛如	現 攝 取 一切佛法 身 故 住 持 者 示 現 諸 佛 如 
T26n1520_001:0019a16	來法身自在身力故。示現無量佛者，示現彼	來 法 身 自 在 身 力 故 示 現 無 量 佛 者 示 現 彼 
T26n1520_001:0019a17	此所作業無差別故。遠離穢不淨者，示現一	此 所 作 業 無 差 別 故 遠 離 穢 不 淨 者 示 現 一 
T26n1520_001:0019a18	切佛國土平等清淨故。言多寶者，示現一切	切 佛 國 土 平 等 清 淨 故 言 多 寶 者 示 現 一 切 
T26n1520_001:0019a19	佛土同寶性故。同一塔坐者，示現化佛非化	佛 土 同 寶 性 故 同 一 塔 坐 者 示 現 化 佛 非 化 
T26n1520_001:0019a20	佛，法佛報佛等皆為成大事故。自此已下，示	佛 法佛報佛 等 皆 為 成 大 事 故 自 此 已 下 示 
T26n1520_001:0019a21	現法力、持力、修行力應知。法力者，五種門示	現 法 力 持 力 修 行 力 應 知 法 力 者 五 種 門 示 
T26n1520_001:0019a22	現：一者證；二者信；三者供養；四者聞法；	現 一 者 證 二 者 信 三 者 供 養 四 者 聞 法 
T26n1520_001:0019a23	五者讀誦持說。四種門〈彌勒品〉中示現，一法	五 者 讀 誦 持 說 四 種 門 彌 勒 品 中 示 現 一 法 
T26n1520_001:0019a24	門〈常精進菩薩品〉示現。〈彌勒品〉中四種門者，	門 常 精 進 菩 薩 品 示 現 彌 勒 品 中 四 種 門 者 
T26n1520_001:0019a25	一者證，如經「我說是如來壽命長遠，時六百	一 者 證 如 經 我 說 是 如 來 壽 命 長 遠 時 六 百 
T26n1520_001:0019a26	八十萬億那由他恒河沙眾生得無生法忍」	八 十 萬 億 那 由 他 恒 河 沙 眾 生 得無生法忍 
T26n1520_001:0019a27	故。此言無生法忍者，謂初地證智應知。八生	故 此 言 無生法忍 者 謂 初 地 證 智 應 知 八 生 
T26n1520_001:0019a28	乃至一生得阿耨多羅三藐三菩提者，謂證	乃 至 一 生 得阿耨多羅三藐三菩提 者 謂 證 
T26n1520_001:0019a29	初地菩提故。八生乃至一生者，謂諸凡夫決	初 地 菩 提 故 八 生 乃 至 一 生 者 謂 諸 凡 夫 決 
T26n1520_001:0019b01	定能證初地，隨力隨分八生乃至一生證	定 能 證 初 地 隨 力 隨 分 八 生 乃 至 一 生 證 
T26n1520_001:0019b02	初地故。言阿耨多羅三藐三菩提者，以離三	初 地 故 言 阿耨多羅三藐三菩提 者 以 離 三 
T26n1520_001:0019b03	界中分段生死，隨分能見真如佛性名得菩	界 中 分段生死 隨 分 能 見 真 如 佛 性 名 得 菩 
T26n1520_001:0019b04	提，非謂究竟滿足，如來方便涅槃故。信者，	提 非 謂 究 竟 滿 足 如 來 方 便 涅 槃 故 信 者 
T26n1520_001:0019b05	如經「復有八世界微塵眾生，皆發阿耨多羅	如 經 復 有 八 世 界 微 塵 眾 生 皆 發 阿 耨 多 羅 
T26n1520_001:0019b06	三藐三菩提心」故。供養者，如經「是諸菩薩摩	三藐三菩提 心 故 供 養 者 如 經 是 諸 菩 薩 摩 
T26n1520_001:0019b07	訶薩得大法利，時於虛空中雨曼陀羅華」如是	訶 薩 得 大 法 利 時 於 虛 空 中 雨 曼陀羅華 如 是 
T26n1520_001:0019b08	等故。聞法者，如〈隨喜品〉說應知。一法門，〈常	等 故 聞 法 者 如 隨 喜 品 說 應 知 一 法 門 常 
T26n1520_001:0019b09	精進菩薩品〉示現者謂讀誦解說書寫等，得	精 進 菩 薩 品 示 現 者 謂 讀 誦 解 說 書 寫 等 得 
T26n1520_001:0019b10	六根清淨故。如經「若善男子善女人受持法	六 根 清 淨 故 如 經 若 善 男 子 善 女 人 受 持 法 
T26n1520_001:0019b11	華經，若讀若誦若解說若書寫，是人當得八百	華 經 若 讀 若 誦 若 解 說 若 書 寫 是 人 當 得 八 百 
T26n1520_001:0019b12	眼功德，乃至千二百意功德」故。此得六根清	眼 功 德 乃 至 千 二 百 意 功 德 故 此 得 六 根 清 
T26n1520_001:0019b13	淨者，謂凡夫人以經力故得勝根用，未入	淨 者 謂 凡 夫 人 以 經 力 故 得 勝 根 用 未 入 
T26n1520_001:0019b14	初地菩薩位應知。如經「以父母所生清淨肉	初 地 菩 薩 位 應 知 如 經 以 父母所生 清 淨 肉 
T26n1520_001:0019b15	眼，見於三千大千世界」如是等。又六根清淨	眼 見 於 三千大千世界 如 是 等 又 六 根 清 淨 
T26n1520_001:0019b16	者，於一一根中悉能具足見色、聞聲、知香味	者 於 一 一 根 中 悉 能 具 足 見 色 聞 聲 知 香 味 
T26n1520_001:0019b17	觸法等用應知。眼見者，聞香能知，如經「釋	觸 法 等 用 應 知 眼 見 者 聞 香 能 知 如 經 釋 
T26n1520_001:0019b18	提桓因在勝殿上五欲娛樂，乃至說法聞香知」	提 桓 因 在 勝 殿 上 五 欲 娛 樂 乃 至 說 法 聞 香 知 
T26n1520_001:0019b19	者，此是智境鼻根知故。持力者，有三種法	者 此 是 智 境 鼻 根 知 故 持 力 者 有 三 種 法 
T26n1520_001:0019b20	門示現，如〈法師品〉、〈安樂行品〉、〈勸持品〉等廣說	門 示 現 如 法 師 品 安樂行品 勸 持 品 等 廣 說 
T26n1520_001:0019b21	法力應知。「其心決定知水必近」者，受持此經	法 力 應 知 其 心 決 定 知 水 必 近 者 受 持 此 經 
T26n1520_001:0019b22	得佛性水，成阿耨多羅三藐三菩提故。修行	得 佛 性 水 成 阿耨多羅三藐三菩提 故 修 行 
T26n1520_001:0019b23	力者五門示現：一者說力；二者行苦行力；三	力 者 五 門 示 現 一 者 說 力 二 者 行 苦 行 力 三 
T26n1520_001:0019b24	者護眾生諸難力；四者功德勝力；五者護法	者 護 眾 生 諸 難 力 四 者 功 德 勝 力 五 者 護 法 
T26n1520_001:0019b25	力。說力者有三種法門，〈神力品〉中示現：一	力 說 力 者 有 三 種 法 門 神 力 品 中 示 現 一 
T26n1520_001:0019b26	出廣長舌者，憶念故；二[口*磬]咳聲者，說偈令	出 廣 長 舌 者 憶 念 故 二 [口磬] 咳 聲 者 說 偈 令 
T26n1520_001:0019b27	聞故，聞聲已如實修行不放逸故；三彈指	聞 故 聞 聲 已 如實修行 不 放 逸 故 三 彈 指 
T26n1520_001:0019b28	令覺悟者，令修行者覺悟故。行苦行力者，	令 覺 悟 者 令 修 行 者 覺 悟 故 行 苦 行 力 者 
T26n1520_001:0019b29	〈藥王菩薩品〉示現教化眾生。行苦行者，〈妙	 藥 王 菩 薩 品 示 現 教 化 眾 生 行 苦 行 者 妙 
T26n1520_001:0019c01	音菩薩品〉示現教化眾生。護眾生難，〈觀世	音 菩 薩 品 示 現 教 化 眾 生 護 眾 生 難 觀 世 
T26n1520_001:0019c02	音品〉、〈陀羅尼品〉示現。功德勝力者，〈妙莊嚴王	音 品 陀 羅 尼 品 示 現 功 德 勝 力 者 妙 莊 嚴 王 
T26n1520_001:0019c03	品〉示現，依過去功德，彼童子有如是力故。	品 示 現 依 過 去 功 德 彼 童 子 有 如 是 力 故 
T26n1520_001:0019c04	護法力者，〈普賢品〉及後品中示現。又說言受	護 法 力 者 普 賢 品 及 後 品 中 示 現 又 說 言 受 
T26n1520_001:0019c05	持觀世音菩薩名及受持六十二恒河沙諸	持 觀 世 音 菩 薩 名 及 受 持 六 十 二 恒 河 沙 諸 
T26n1520_001:0019c06	佛名彼福德平等者，有二種義：一者信力	佛 名 彼 福 德 平 等 者 有 二 種 義 一 者 信 力 
T26n1520_001:0019c07	故；二者畢竟知故。信力者有二種：一者求我	故 二 者 畢 竟 知 故 信 力 者 有 二 種 一 者 求 我 
T26n1520_001:0019c08	身如觀世音，畢竟信故；二者生恭敬心，如	身 如 觀 世 音 畢 竟 信 故 二 者 生 恭 敬 心 如 
T26n1520_001:0019c09	彼功德我亦畢竟得故。畢竟知者，決定知	彼 功 德 我 亦 畢 竟 得 故 畢 竟 知 者 決 定 知 
T26n1520_001:0019c10	法界故。法界者名法性。彼法性，入初地菩	法 界 故 法 界 者 名 法 性 彼 法 性 入 初 地 菩 
T26n1520_001:0019c11	薩能證入一切諸佛菩薩平等身故。平等身	薩 能 證 入 一切諸佛 菩 薩 平 等 身 故 平 等 身 
T26n1520_001:0019c12	者，謂真如法身。是故受持六十二恒河沙	者 謂 真 如 法 身 是 故 受 持 六 十 二 恒 河 沙 
T26n1520_001:0019c13	佛名、受持觀世音菩薩名，功德無差別。	佛 名 受 持 觀 世 音 菩 薩 名 功 德 無 差 別 
T26n1520_001:0019c14	第一序品示現七種功德成就。	第 一 序 品 示 現 七 種 功德成就 
T26n1520_001:0019c15	第二方便品有五分，示現破二明一。餘品如	第 二 方 便 品 有 五 分 示 現 破 二 明 一 餘 品 如 
T26n1520_001:0019c16	向處分易解。	向 處 分 易 解 
T26n1520_001:0020a01	妙法蓮華經論優婆提舍	妙法蓮華 經 論 優 婆 提 舍 
