X54n0879_001:0912a06	 正量論序	 正 量 論 序 
X54n0879_001:0918c17	有而後無也。今日之物於今為有。於昔為無。是則此	有 而 後 無 也 今 日 之 物 於 今 為 有 於 昔 為 無 是 則 此 
X54n0879_001:0918c18	物本無而今有也。時乎而有。時乎而無。故為無常。若	物 本 無 而 今 有 也 時 乎 而 有 時 乎 而 無 故 為 無 常 若 
X54n0879_001:0918c19	橫論者。如此物非彼。彼物非此。謂求此物於此則有。	橫 論 者 如 此 物 非 彼 彼 物 非 此 謂 求 此 物 於 此 則 有 
X54n0879_001:0918c20	求此物於彼則無。彼物亦爾。有處而有。有處而無。故	求 此 物 於 彼 則 無 彼 物 亦 爾 有 處 而 有 有 處 而 無 故 
X54n0879_001:0918c21	名無常。	名 無 常 
X54n0879_001:0918c22	華嚴云。譬如河中水。湍流競奔逝。各各不相知。諸法	華 嚴 云 譬 如 河 中 水 湍 流 競 奔 逝 各 各 不 相 知 諸 法 
X54n0879_001:0918c23	亦如是。又云。以此常流轉。而無能轉者。此與肇師江	亦 如 是 又 云 以 此 常 流 轉 而 無 能 轉 者 此 與 肇 師 江 
X54n0879_001:0918c24	河競注而不流等四句之義言陳相似。求其所以能	河 競 注 而 不 流 等 四 句 之 義 言 陳 相 似 求 其 所 以 能 
X54n0879_001:0919a01	成立因。則大不侔矣。何則。脩多羅以性空無體。故雖	成 立 因 則 大 不 侔 矣 何 則 脩 多 羅 以 性 空 無 體 故 雖 
X54n0879_001:0919a02	終日流轉而實無一物可流轉者。如陽燄之水。流即	終 日 流 轉 而 實 無 一 物 可 流 轉 者 如 陽 燄 之 水 流 即 
X54n0879_001:0919a03	無流也。故經先標因云。諸法無作用。亦無有體性。是	無 流 也 故 經 先 標 因 云 諸 法 無 作 用 亦 無 有 體 性 是 
X54n0879_001:0919a04	故彼一切。各各不相知。後出因云。眼耳鼻舌身。一切	故 彼 一 切 各 各 不 相 知 後 出 因 云 眼 耳 鼻 舌 身 一 切 
X54n0879_001:0919a05	空無性。則以性空故無流明矣。肇師以物各性住為	空 無 性 則 以 性 空 故 無 流 明 矣 肇 師 以 物 各 性 住 為 
X54n0879_001:0919a06	不遷故。世雖常流而物各性住於當世。未嘗動也。如	不 遷 故 世 雖 常 流 而 物 各 性 住 於 當 世 未 嘗 動 也 如 
X54n0879_001:0919a07	前舟載魚。後舟載笋。舟雖行去而魚笋之物各住自	前 舟 載 魚 後 舟 載 笋 舟 雖 行 去 而 魚 笋 之 物 各 住 自 
X54n0879_001:0919a08	舟。未甞動也。故其言曰。今而無古。以知不來。古而無	舟 未 甞 動 也 故 其 言 曰 今 而 無 古 以 知 不 來 古 而 無 
X54n0879_001:0919a09	今。以知不去。事各性住於一世。有何物而可去來。麤	今 以 知 不 去 事 各 性 住 於 一 世 有 何 物 而 可 去 來 麤 
X54n0879_001:0919a10	則各住一世。細而觀之。念念各住。即前念之波住於	則 各 住 一 世 細 而 觀 之 念 念 各 住 即 前 念 之 波 住 於 
X54n0879_001:0919a11	前念不來後念。後念亦爾。是則念念常流。念念各住。	前 念 不 來 後 念 後 念 亦 爾 是 則 念 念 常 流 念 念 各 住 
X54n0879_001:0919a12	故曰競注而不流也。既以有物各住一世而不滅不	故 曰 競 注 而 不 流 也 既 以 有 物 各 住 一 世 而 不 滅 不 
X54n0879_001:0919a13	化。則物有定性矣。有定性則與無性之旨作敵。豈特	化 則 物 有 定 性 矣 有 定 性 則 與 無 性 之 旨 作 敵 豈 特 
X54n0879_001:0919a14	朱紫之濫哉。	朱 紫 之 濫 哉 
X54n0879_001:0919a15	問曰。肇師物各性住。豈非華嚴各不相知之意耶。答	問 曰 肇 師 物 各 性 住 豈 非 華 嚴 各 不 相 知 之 意 耶 答 
X54n0879_001:0919a16	曰。經言各各不相知者。謂不相觸也。不相為緣也。良	曰 經 言 各 各 不 相 知 者 謂 不 相 觸 也 不 相 為 緣 也 良 
X54n0879_001:0919a17	由諸法體用皆空。以體空故。如鏡中像。妍醜不相觸	由 諸 法 體 用 皆 空 以 體 空 故 如 鏡 中 像 妍 醜 不 相 觸 
X54n0879_001:0919a18	也。以用空故。不相為緣。如空中華不生果也。則因不	也 以 用 空 故 不 相 為 緣 如 空 中 華 不 生 果 也 則 因 不 
X54n0879_001:0919a19	作果。果不酧因。是不相知義也。故曰諸法無作用。亦	作 果 果 不 酧 因 是 不 相 知 義 也 故 曰 諸 法 無 作 用 亦 
X54n0879_001:0919a20	無有體性。是故彼一切。各各不相知。肇師云。因因而	無 有 體 性 是 故 彼 一 切 各 各 不 相 知 肇 師 云 因 因 而 
X54n0879_001:0919a21	果。果不無也。因不昔滅。因有性也。物各性住。體不空	果 果 不 無 也 因 不 昔 滅 因 有 性 也 物 各 性 住 體 不 空 
X54n0879_001:0919a22	也。功流常存。用不空也。華嚴鈔判為俗諦。濫同小乘。	也 功 流 常 存 用 不 空 也 華 嚴 鈔 判 為 俗 諦 濫 同 小 乘 
X54n0879_001:0919a23	然小乘以剎那滅故前不至後。肇師以前念不滅。性	然 小 乘 以 剎 那 滅 故 前 不 至 後 肇 師 以 前 念 不 滅 性 
X54n0879_001:0919a24	住於前。不到後念。豈同小乘哉。	住 於 前 不 到 後 念 豈 同 小 乘 哉 
X54n0879_001:0919b01	經云。眼耳鼻舌身。心意諸情根。以此常流轉。而無能	經 云 眼 耳 鼻 舌 身 心 意 諸 情 根 以 此 常 流 轉 而 無 能 
X54n0879_001:0919b02	轉者。以此常流轉。無性緣生也。即不遷而遷。而無能	轉 者 以 此 常 流 轉 無 性 緣 生 也 即 不 遷 而 遷 而 無 能 
X54n0879_001:0919b03	轉者。緣生無性也。即遷而不遷。肇師知此。安用物各	轉 者 緣 生 無 性 也 即 遷 而 不 遷 肇 師 知 此 安 用 物 各 
X54n0879_001:0919b04	性住一世而不化者用當不遷哉。	性 住 一 世 而 不 化 者 用 當 不 遷 哉 
X54n0879_001:0919b05	有云。肇公物各性住。是以無性為性。若果無性為性。	有 云 肇 公 物 各 性 住 是 以 無 性 為 性 若 果 無 性 為 性 
X54n0879_001:0919b06	則向物在向其性本無。則不得謂之向有矣。向有不	則 向 物 在 向 其 性 本 無 則 不 得 謂 之 向 有 矣 向 有 不 
X54n0879_001:0919b07	有是即有而無也。即不待緣散方始曰無。則不得謂	有 是 即 有 而 無 也 即 不 待 緣 散 方 始 曰 無 則 不 得 謂 
X54n0879_001:0919b08	之今無矣。今求向物。則曰於向為有。於今為無。是執	之 今 無 矣 今 求 向 物 則 曰 於 向 為 有 於 今 為 無 是 執 
X54n0879_001:0919b09	有為有。固無為無。凡常之謂耳。何由見其無性為性	有 為 有 固 無 為 無 凡 常 之 謂 耳 何 由 見 其 無 性 為 性 
X54n0879_001:0919b10	耶。若果無性。無性則無生。無生則無滅。無生滅則無	耶 若 果 無 性 無 性 則 無 生 無 生 則 無 滅 無 生 滅 則 無 
X54n0879_001:0919b11	去來。無去無來則不遷之致明矣。又安用膠粘古今	去 來 無 去 無 來 則 不 遷 之 致 明 矣 又 安 用 膠 粘 古 今 
X54n0879_001:0919b12	(昔物在昔。今物在今)。釘定有無(向有今無)。而固招萬世之蔽惑耶。曰	 昔 物 在 昔 今 物 在 今 釘 定 有 無 向 有 今 無 而 固 招 萬 世 之 蔽 惑 耶 曰 
X54n0879_001:0919b13	天下之物莫非無性緣生。豈肇公性住獨不然哉。曰。	天 下 之 物 莫 非 無 性 緣 生 豈 肇 公 性 住 獨 不 然 哉 曰 
X54n0879_001:0919b14	若然。則百家異論與夫九十六種之執。何嘗有自性	若 然 則 百 家 異 論 與 夫 九 十 六 種 之 執 何 嘗 有 自 性 
X54n0879_001:0919b15	哉。蓋由吾人無事而生定耳。悲夫。	哉 蓋 由 吾 人 無 事 而 生 定 耳 悲 夫 
X54n0879_001:0919b16	般若云。諸法無去來相。無動轉者。其性則如陽燄之	般 若 云 諸 法 無 去 來 相 無 動 轉 者 其 性 則 如 陽 燄 之 
X54n0879_001:0919b17	水。非有流相非無流相。若謂此水有流動相則妄也。	水 非 有 流 相 非 無 流 相 若 謂 此 水 有 流 動 相 則 妄 也 
X54n0879_001:0919b18	若謂無流動相亦妄也。若謂此水前波住前後波住	若 謂 無 流 動 相 亦 妄 也 若 謂 此 水 前 波 住 前 後 波 住 
X54n0879_001:0919b19	後。互有互無。豈非固空華之濃淡。實兔角之短長者	後 互 有 互 無 豈 非 固 空 華 之 濃 淡 實 兔 角 之 短 長 者 
X54n0879_001:0919b20	耶。	耶 
X54n0879_001:0919b22	物不遷正量論卷上	物 不 遷 正 量 論 卷 上 
X54n0879_002:0919c04	物不遷正量論卷下	物 不 遷 正 量 論 卷 下 
X54n0879_002:0919c06	五臺山獅子窟沙門　鎮澄　著	五 臺 山 獅 子 窟 沙 門 鎮 澄 著 
X54n0879_002:0919c07	或問。肇公云。仲尼之所以臨川。莊周之所以藏山。斯	或 問 肇 公 云 仲 尼 之 所 以 臨 川 莊 周 之 所 以 藏 山 斯 
X54n0879_002:0919c08	皆感往者之難留。豈曰排今而可往。是果仲尼．莊周	皆 感 往 者 之 難 留 豈 曰 排 今 而 可 往 是 果 仲 尼 莊 周 
X54n0879_002:0919c09	之意乎。曰。非也。肇師意謂往時之物自在往時。不可	之 意 乎 曰 非 也 肇 師 意 謂 往 時 之 物 自 在 往 時 不 可 
X54n0879_002:0919c10	留至於今日。故曰往者難留。今日之物亦只在今日。	留 至 於 今 日 故 曰 往 者 難 留 今 日 之 物 亦 只 在 今 日 
X54n0879_002:0919c11	不可排向昔日去也。故曰豈曰排今而可往。如前舟	不 可 排 向 昔 日 去 也 故 曰 豈 曰 排 今 而 可 往 如 前 舟 
X54n0879_002:0919c12	之物不可留至於後舟。後舟之物不可排向前舟去。	之 物 不 可 留 至 於 後 舟 後 舟 之 物 不 可 排 向 前 舟 去 
X54n0879_002:0919c13	是謂昔物自在昔。今物自在今。不相往來。謂之不遷。	是 謂 昔 物 自 在 昔 今 物 自 在 今 不 相 往 來 謂 之 不 遷 
X54n0879_002:0919c14	此從夜壑負趨中來。却失莊周意也。莊周云。藏山於	此 從 夜 壑 負 趨 中 來 却 失 莊 周 意 也 莊 周 云 藏 山 於 
X54n0879_002:0919c15	澤。藏舟於壑。謂之固矣。夜半大力者負之而趨。昧者	澤 藏 舟 於 壑 謂 之 固 矣 夜 半 大 力 者 負 之 而 趨 昧 者 
X54n0879_002:0919c16	不覺。此喻世人為計至深至密。以為永久不失。不知	不 覺 此 喻 世 人 為 計 至 深 至 密 以 為 永 久 不 失 不 知 
X54n0879_002:0919c17	暗中都為造化遷去。時乎失滅不可留也。故曰藏小	暗 中 都 為 造 化 遷 去 時 乎 失 滅 不 可 留 也 故 曰 藏 小 
X54n0879_002:0919c18	大有宜。猶有所遯。遯者遷滅也。肇公却以為不遷。豈	大 有 宜 猶 有 所 遯 遯 者 遷 滅 也 肇 公 却 以 為 不 遷 豈 
X54n0879_002:0919c19	莊周之意哉。次云。藏天下於天下。則不得所遯。以吾	莊 周 之 意 哉 次 云 藏 天 下 於 天 下 則 不 得 所 遯 以 吾 
X54n0879_002:0919c20	宗求之。即古所謂通玄峰頂不是人間。若見此理即	宗 求 之 即 古 所 謂 通 玄 峰 頂 不 是 人 間 若 見 此 理 即 
X54n0879_002:0919c21	世間相是常住相。故曰是謂恒物之大情。恒。常也。情。	世 間 相 是 常 住 相 故 曰 是 謂 恒 物 之 大 情 恒 常 也 情 
X54n0879_002:0919c22	責也。是萬物之實恒常不變。則不可得而遷滅也。故	責 也 是 萬 物 之 實 恒 常 不 變 則 不 可 得 而 遷 滅 也 故 
X54n0879_002:0919c23	曰不得所遯。肇師胡不引此以為不遷之證乎。	曰 不 得 所 遯 肇 師 胡 不 引 此 以 為 不 遷 之 證 乎 
X54n0879_002:0919c24	孔子臨川歎曰。逝者如斯夫。不舍晝夜。逝猶遷也。往	孔 子 臨 川 歎 曰 逝 者 如 斯 夫 不 舍 晝 夜 逝 猶 遷 也 往 
X54n0879_002:0920a01	也。失也。此歎造化之流行新新不住。往者過。來者續。	也 失 也 此 歎 造 化 之 流 行 新 新 不 住 往 者 過 來 者 續 
X54n0879_002:0920a02	曾無一息之停。非謂昔物住昔。今物住今也。肇師乃	曾 無 一 息 之 停 非 謂 昔 物 住 昔 今 物 住 今 也 肇 師 乃 
X54n0879_002:0920a03	曰。斯皆感往者之難留。豈曰排今而可往。意謂往物	曰 斯 皆 感 往 者 之 難 留 豈 曰 排 今 而 可 往 意 謂 往 物 
X54n0879_002:0920a04	自住於往。不可留至於今。今物自住於今。不可排向	自 住 於 往 不 可 留 至 於 今 今 物 自 住 於 今 不 可 排 向 
X54n0879_002:0920a05	於往。故其言曰。昔物自在昔。今物自在今等是也。仲	於 往 故 其 言 曰 昔 物 自 在 昔 今 物 自 在 今 等 是 也 仲 
X54n0879_002:0920a06	尼之旨果如是乎。昔仲尼嘗告顏子曰。丘以是日徂。	尼 之 旨 果 如 是 乎 昔 仲 尼 嘗 告 顏 子 曰 丘 以 是 日 徂 
X54n0879_002:0920a07	吾終身與汝交一臂而失之。可不哀歟。汝殆著乎吾	吾 終 身 與 汝 交 一 臂 而 失 之 可 不 哀 歟 汝 殆 著 乎 吾 
X54n0879_002:0920a08	所以著也。彼已盡矣。而汝求之以為有。是求馬於唐	所 以 著 也 彼 已 盡 矣 而 汝 求 之 以 為 有 是 求 馬 於 唐 
X54n0879_002:0920a09	肆也。今肇師謂昔物住昔。今物住今。豈非求馬於唐	肆 也 今 肇 師 謂 昔 物 住 昔 今 物 住 今 豈 非 求 馬 於 唐 
X54n0879_002:0920a10	肆者乎。	肆 者 乎 
X54n0879_002:0920a11	昔者齊景公下牛山之淚曰。美哉國乎。若之何滴滴	昔 者 齊 景 公 下 牛 山 之 淚 曰 美 哉 國 乎 若 之 何 滴 滴 
X54n0879_002:0920a12	去此國而死乎。晏嬰笑之以為不仁之君曰。使賢者	去 此 國 而 死 乎 晏 嬰 笑 之 以 為 不 仁 之 君 曰 使 賢 者 
X54n0879_002:0920a13	常守之。則太公．桓公將常守之矣。使勇者常守之。則	常 守 之 則 太 公 桓 公 將 常 守 之 矣 使 勇 者 常 守 之 則 
X54n0879_002:0920a14	莊公．靈公將常守之矣。數君者常守之。何有吾君今	莊 公 靈 公 將 常 守 之 矣 數 君 者 常 守 之 何 有 吾 君 今 
X54n0879_002:0920a15	日事乎。據晏子之言。粗似吾教四緣中生滅次第緣	日 事 乎 據 晏 子 之 言 粗 似 吾 教 四 緣 中 生 滅 次 第 緣 
X54n0879_002:0920a16	(亦名等無間)。而肇公却固往物不化。又遭晏子怪笑。	 亦 名 等 無 間 而 肇 公 却 固 往 物 不 化 又 遭 晏 子 怪 笑 
X54n0879_002:0920a17	肇公云。既曰古今。而欲遷之者何也。意謂若可移今	肇 公 云 既 曰 古 今 而 欲 遷 之 者 何 也 意 謂 若 可 移 今 
X54n0879_002:0920a18	為古。易古為今。可說有遷。今既不可。何有遷乎。若然。	為 古 易 古 為 今 可 說 有 遷 今 既 不 可 何 有 遷 乎 若 然 
X54n0879_002:0920a19	則今應常今。古應常古。理既不成。教亦無證。今翻案	則 今 應 常 今 古 應 常 古 理 既 不 成 教 亦 無 證 今 翻 案 
X54n0879_002:0920a20	曰。既曰古今而欲不遷者何也。謂古非定古。曾已稱	曰 既 曰 古 今 而 欲 不 遷 者 何 也 謂 古 非 定 古 曾 已 稱 
X54n0879_002:0920a21	今。今不定今。將必為古。則念念遷流。曾無暫住矣。其	今 今 不 定 今 將 必 為 古 則 念 念 遷 流 曾 無 暫 住 矣 其 
X54n0879_002:0920a22	不遷義者。謂古今雖殊。不離一念。念無自性。今古一	不 遷 義 者 謂 古 今 雖 殊 不 離 一 念 念 無 自 性 今 古 一 
X54n0879_002:0920a23	如。何可遷也。華嚴云。無量無數劫。解之即一念。知念	如 何 可 遷 也 華 嚴 云 無量無數 劫 解 之 即 一 念 知 念 
X54n0879_002:0920a24	亦無念。如是見世間。此非性住之論。	亦 無 念 如 是 見 世 間 此 非 性 住 之 論 
X54n0879_002:0920b01	不遷一論只說箇物各性住於一世。所謂昔物住昔。	不 遷 一 論 只 說 箇 物 各 性 住 於 一 世 所 謂 昔 物 住 昔 
X54n0879_002:0920b02	今物住今等。故物雖在昔而不化。因雖在昔而不滅。	今 物 住 今 等 故 物 雖 在 昔 而 不 化 因 雖 在 昔 而 不 滅 
X54n0879_002:0920b03	今詰之曰。據世有三。過現未也。不遷只說物住今昔。	今 詰 之 曰 據 世 有 三 過 現 未 也 不 遷 只 說 物 住 今 昔 
X54n0879_002:0920b04	不言未來。何也。對曰。已生之物住於過去。現生之物	不 言 未 來 何 也 對 曰 已 生 之 物 住 於 過 去 現 生 之 物 
X54n0879_002:0920b05	住於現在。未來未生。物既未生則物本無也。故不言	住 於 現 在 未來未生 物 既 未 生 則 物 本 無 也 故 不 言 
X54n0879_002:0920b06	有物住未來也。詰曰。若爾。則未生既本無物。已滅者	有 物 住 未 來 也 詰 曰 若 爾 則 未 生 既 本 無 物 已 滅 者 
X54n0879_002:0920b07	豈有物乎。既曰滅已。安得有物住於過去而不化哉。	豈 有 物 乎 既 曰 滅 已 安 得 有 物 住 於 過 去 而 不 化 哉 
X54n0879_002:0920b08	若已滅之物尚住過去而不化者。彼未生之物亦住	若 已 滅 之 物 尚 住 過 去 而 不 化 者 彼 未 生 之 物 亦 住 
X54n0879_002:0920b09	未來而不闕也。未生有物。何名未生。已滅尚存。何名	未 來 而 不 闕 也 未 生 有 物 何 名 未 生 已 滅 尚 存 何 名 
X54n0879_002:0920b10	已滅。然物之生也。剎那剎那生滅相續。正相續時說	已 滅 然 物 之 生 也 剎 那 剎 那 生 滅 相 續 正 相 續 時 說 
X54n0879_002:0920b11	名現在。如旋火輪。痴兒見已以為實狀。智者觀之剎	名 現 在 如 旋 火 輪 痴 兒 見 已 以 為 實 狀 智 者 觀 之 剎 
X54n0879_002:0920b12	那相續亦不可得。則現今且無剎那之住。安得固彼	那 相 續 亦 不 可 得 則 現 今 且 無 剎 那 之 住 安 得 固 彼 
X54n0879_002:0920b13	已謝之法。欲令常住而不遷耶。	已 謝 之 法 欲 令 常 住 而 不 遷 耶 
X54n0879_002:0920b14	如來無量法門無非因病設藥。唯諸法無性義。如摩	如 來 無 量 法 門 無 非 因 病 設 藥 唯 諸 法 無 性 義 如 摩 
X54n0879_002:0920b15	竭他藥。無病不治也。經云。色即是空。則色無性也。空	竭 他 藥 無 病 不 治 也 經 云 色 即 是 空 則 色 無 性 也 空 
X54n0879_002:0920b16	即是色。則空無性也。空無性故空非空也。則除斷見。	即 是 色 則 空 無 性 也 空 無 性 故 空 非 空 也 則 除 斷 見 
X54n0879_002:0920b17	色無性故色非色也。則去常見。又今不定今。將必為	色 無 性 故 色 非 色 也 則 去 常 見 又 今 不 定 今 將 必 為 
X54n0879_002:0920b18	古。今無性也。古不定古。曾從為今。古無性也。生滅有	古 今 無 性 也 古 不 定 古 曾 從 為 今 古 無 性 也 生 滅 有 
X54n0879_002:0920b19	無一切皆然。故觀諸法無性者。求世間不可得。則煩	無 一 切 皆 然 故 觀 諸 法 無 性 者 求 世 間 不 可 得 則 煩 
X54n0879_002:0920b20	惱結業無自而生。以至出生死會涅槃。此即談無性	惱 結 業 無 自 而 生 以 至 出 生 死 會 涅 槃 此 即 談 無 性 
X54n0879_002:0920b21	之益也。不識肇師物各性住之談。往物不化之論。所	之 益 也 不 識 肇 師 物 各 性 住 之 談 往 物 不 化 之 論 所 
X54n0879_002:0920b22	治何病。所成何益耶。	治 何 病 所 成 何 益 耶 
X54n0879_002:0920b23	或曰。西天論者有所立破必以因明為準。若三支闕	或 曰 西 天 論 者 有 所 立 破 必 以 因 明 為 準 若 三 支 闕 
X54n0879_002:0920b24	謬則所立不成。今肇師不遷有何過謬而破之耶。曰。	謬 則 所 立 不 成 今 肇 師 不 遷 有 何 過 謬 而 破 之 耶 曰 
X54n0879_002:0920c01	肇師立今昔不遷。云求向物於向。於向未甞無。責向	肇 師 立 今 昔 不 遷 云 求 向 物 於 向 於 向 未 甞 無 責 向 
X54n0879_002:0920c02	物於今。於今未甞有。此昔物不遷之因也。次舉因成	物 於 今 於 今 未 甞 有 此 昔 物 不 遷 之 因 也 次 舉 因 成 
X54n0879_002:0920c03	宗云。於今未嘗有。以明物不來。於向未嘗無。故知物	宗 云 於 今 未 嘗 有 以 明 物 不 來 於 向 未 嘗 無 故 知 物 
X54n0879_002:0920c04	不去。此昔物不遷宗也。今物亦然。故曰。覆而求今。今	不 去 此 昔 物 不 遷 宗 也 今 物 亦 然 故 曰 覆 而 求 今 今 
X54n0879_002:0920c05	亦不往。且如向有今無因。成立昔物不遷宗。因明之	亦 不 往 且 如 向 有 今 無 因 成 立 昔 物 不 遷 宗 因 明 之 
X54n0879_002:0920c06	法犯二種過。謂法自相相違因。法差別相違因。法自	法 犯 二 種 過 謂 法自相相違因 法差別相違因 法 自 
X54n0879_002:0920c07	相相違因者。即向有今無因。於不遷宗法言陳自相	相 相 違 因 者 即 向 有 今 無 因 於 不 遷 宗 法 言 陳 自 相 
X54n0879_002:0920c08	相違。謂不遷言常。向有今無是無常故。於彼常言自	相 違 謂 不 遷 言 常 向 有 今 無 是 無 常 故 於 彼 常 言 自 
X54n0879_002:0920c09	相相違。法差別相違因者。謂若據言陳則向有今無	相 相 違 法差別相違因 者 謂 若 據 言 陳 則 向 有 今 無 
X54n0879_002:0920c10	即是無常。若推肇師意。許向有今無為成性住。以向	即 是 無 常 若 推 肇 師 意 許 向 有 今 無 為 成 性 住 以 向 
X54n0879_002:0920c11	物住向不滅不化。但不來今。故曰今無。非謂昔物已	物 住 向 不 滅 不 化 但 不 來 今 故 曰 今 無 非 謂 昔 物 已 
X54n0879_002:0920c12	滅也。差別相違者。此向有今無因。如能成立意許皆	滅 也 差 別 相 違 者 此 向 有 今 無 因 如 能 成 立 意 許 皆 
X54n0879_002:0920c13	物住昔不滅不來不遷之宗。如是亦能成立。於此相	物 住 昔 不 滅 不 來 不 遷 之 宗 如 是 亦 能 成 立 於 此 相 
X54n0879_002:0920c14	違向有今無無常遷滅宗也。此中亦犯聖教相違。以	違 向 有 今 無 無 常 遷 滅 宗 也 此 中 亦 犯 聖 教 相 違 以 
X54n0879_002:0920c15	諸聖教向有今無是無常故。若望宗本亦自語相違。	諸 聖 教 向 有 今 無 是 無 常 故 若 望 宗 本 亦 自語相違 
X54n0879_002:0920c16	宗本云。若以有為有。則以無為無。此斥常有斷無者	宗 本 云 若 以 有 為 有 則 以 無 為 無 此 斥 常 有 斷 無 者 
X54n0879_002:0920c17	也。及立昔物不遷。則曰於向非嘗無。於今未嘗有。豈	也 及 立 昔 物 不 遷 則 曰 於 向 非 嘗 無 於 今 未 嘗 有 豈 
X54n0879_002:0920c18	非以有為有。以無為無耶。	非 以 有 為 有 以 無 為 無 耶 
X54n0879_002:0920c19	或問。四論出乎一人。獨不遷有滯耶。若不遷有滯。其	或 問 四 論 出 乎 一 人 獨 不 遷 有 滯 耶 若 不 遷 有 滯 其 
X54n0879_002:0920c20	他安得不滯哉。若三論無滯。則不遷亦必無滯矣。答	他 安 得 不 滯 哉 若 三 論 無 滯 則 不 遷 亦 必 無 滯 矣 答 
X54n0879_002:0920c21	曰。人之立言。自非無生大聖。不能淳全無弊。彼英哲	曰 人 之 立 言 自 非 無 生 大 聖 不 能 淳 全 無 弊 彼 英 哲 
X54n0879_002:0920c22	間氣平生發言務求中理。而一或失之。古德所謂大	間 氣 平 生 發 言 務 求 中 理 而 一 或 失 之 古 德 所 謂 大 
X54n0879_002:0920c23	智面前有三尺暗。此之謂也。雖然。詎可以一言不善	智 面 前 有 三 尺 暗 此 之 謂 也 雖 然 詎 可 以 一 言 不 善 
X54n0879_002:0920c24	便謂平生所言皆不善耶。又詎可以諸言無弊便似	便 謂 平 生 所 言 皆 不 善 耶 又 詎 可 以 諸 言 無 弊 便 似 
X54n0879_002:0921a01	一言之非為是耶。夫以一言之非而非平生之善者。	一 言 之 非 為 是 耶 夫 以 一 言 之 非 而 非 平 生 之 善 者 
X54n0879_002:0921a02	是不仁也。以諸言之善而善一言之非者。是不智也。	是 不 仁 也 以 諸 言 之 善 而 善 一 言 之 非 者 是 不 智 也 
X54n0879_002:0921a03	不仁不智不足以語道也。故以不遷之塞以塞三論。	不 仁 不 智 不 足 以 語 道 也 故 以 不 遷 之 塞 以 塞 三 論 
X54n0879_002:0921a04	是不可也。若以三論之通而通不遷。亦不可也。嘗試	是 不 可 也 若 以 三 論 之 通 而 通 不 遷 亦 不 可 也 嘗 試 
X54n0879_002:0921a05	觀之。三論之旨窮幽洞妙。乃法藏之要義。聖教之炙	觀 之 三 論 之 旨 窮 幽 洞 妙 乃 法 藏 之 要 義 聖 教 之 炙 
X54n0879_002:0921a06	言也。至於不遷則有間然。關乎大法綱宗。故不容不	言 也 至 於 不 遷 則 有 間 然 關 乎 大 法 綱 宗 故 不 容 不 
X54n0879_002:0921a07	辯矣。且肇師論中之雄者。惜乎彼時佛法初來。未窺	辯 矣 且 肇 師 論 中 之 雄 者 惜 乎 彼 時 佛 法 初 來 未 窺 
X54n0879_002:0921a08	全體。初未有人徵詰辯難。而肇師以生知之才輙為	全 體 初 未 有 人 徵 詰 辯 難 而 肇 師 以 生 知 之 才 輙 為 
X54n0879_002:0921a09	是論。雖有間然。非其才也。使若人出于台涼之後。吾	是 論 雖 有 間 然 非 其 才 也 使 若 人 出 于 台 涼 之 後 吾 
X54n0879_002:0921a10	知其為震旦一人矣。豈區區凡庸可能議哉。澄為是	知 其 為 震 旦 一 人 矣 豈 區 區 凡 庸 可 能 議 哉 澄 為 是 
X54n0879_002:0921a11	駁。世有以愚不議賢誚之者。澄竊謂曰。我之所以得	駁 世 有 以 愚 不 議 賢 誚 之 者 澄 竊 謂 曰 我 之 所 以 得 
X54n0879_002:0921a12	見肇公者。非我也。是因吾佛聖教光明耳。使吾不聞	見 肇 公 者 非 我 也 是 因 吾 佛 聖 教 光 明 耳 使 吾 不 聞 
X54n0879_002:0921a13	聖教。吾必以性住為至論矣。	聖 教 吾 必 以 性 住 為 至 論 矣 
X54n0879_002:0921a14	答幻有禪師書	答 幻 有 禪 師 書 
X54n0879_002:0921a15	涅槃云。如來亦說常樂我淨。世間亦說常樂我淨。常	涅 槃 云 如 來 亦 說 常樂我淨 世 間 亦 說 常樂我淨 常 
X54n0879_002:0921a16	樂我淨其名一也。所以常樂我淨者異也。豈可混然	樂 我 淨 其 名 一 也 所 以 常樂我淨 者 異 也 豈 可 混 然 
X54n0879_002:0921a17	一觀者哉。今肇師即動求靜之說。與修多羅相似。觀	一 觀 者 哉 今 肇 師 即 動 求 靜 之 說 與 修 多 羅 相 似 觀 
X54n0879_002:0921a18	其所以不動之意。則大不俟矣。何則。修多羅以諸法	其 所 以 不 動 之 意 則 大 不 俟 矣 何 則 修 多 羅 以 諸 法 
X54n0879_002:0921a19	性空為不動。肇師以物各性住為不動。性空義者。由	性 空 為 不 動 肇 師 以 物 各 性 住 為 不 動 性 空 義 者 由 
X54n0879_002:0921a20	色即空故動而常靜。空即色故靜而常動。諸部般若	色 即 空 故 動 而 常 靜 空 即 色 故 靜 而 常 動 諸 部 般 若 
X54n0879_002:0921a21	皆此意也。性住意者。即所謂昔物自在昔。今物自在	皆 此 意 也 性 住 意 者 即 所 謂 昔 物 自 在 昔 今 物 自 在 
X54n0879_002:0921a22	今。故物雖在昔而不化。因雖在昔而不滅等。不知此	今 故 物 雖 在 昔 而 不 化 因 雖 在 昔 而 不 滅 等 不 知 此 
X54n0879_002:0921a23	意出何聖教耶。觀其即動而靜之語。彼此一也。而性	意 出 何 聖 教 耶 觀 其 即 動 而 靜 之 語 彼 此 一 也 而 性 
