T45n1857_001:0143b14	寶藏論	寶 藏 論 
T45n1857_001:0149c20	即一相也。一相者即空相也。但空無相故即	即 一 相 也 一 相 者 即 空 相 也 但 空 無 相 故 即 
T45n1857_001:0149c21	非垢非淨。非凡非聖非有非無非邪非正。體	非 垢 非 淨 非 凡 非 聖 非有非無 非 邪 非 正 體 
T45n1857_001:0149c22	性常住不生不滅即本際也。何以如來法身	性 常 住 不生不滅 即 本 際 也 何 以 如來法身 
T45n1857_001:0149c23	眼耳鼻舌。乃至身意諸根互用者。為體真一	眼 耳 鼻 舌 乃 至 身 意 諸 根 互 用 者 為 體 真 一 
T45n1857_001:0149c24	也。以無限量無分劑故。即法身虛通一切無	也 以 無 限 量 無 分 劑 故 即 法 身 虛 通 一 切 無 
T45n1857_001:0149c25	礙。何以凡夫眼耳諸根不通遂無互用者。為	礙 何 以 凡 夫 眼 耳 諸 根 不 通 遂 無 互 用 者 為 
T45n1857_001:0149c26	妄想分別界隔諸根。精神有量。分劑不通。真	妄想分別 界 隔 諸 根 精 神 有 量 分 劑 不 通 真 
T45n1857_001:0149c27	一理迷遂無互用。故經云凡夫想識惑妄不	一 理 迷 遂 無 互 用 故 經 云 凡 夫 想 識 惑 妄 不 
T45n1857_001:0149c28	通。執著根塵而有種種差別。是以聖人通達	通 執 著 根 塵 而 有 種種差別 是 以 聖 人 通 達 
T45n1857_001:0149c29	真一。無有妄心界隔根塵。故能同用無有心	真 一 無 有 妄 心 界 隔 根 塵 故 能 同 用 無 有 心 
T45n1857_001:0150a01	量。夫何謂真一以真無異。無異故萬物含一	量 夫 何 謂 真 一 以 真 無 異 無 異 故 萬 物 含 一 
T45n1857_001:0150a02	而生。即彼萬物亦為一也。何以故以本一故。	而 生 即 彼 萬 物 亦 為 一 也 何 以 故 以 本 一 故 
T45n1857_001:0150a03	即無二也。譬如檀生檀枝終非椿木也。然彼	即 無 二 也 譬 如 檀 生 檀 枝 終 非 椿 木 也 然 彼 
T45n1857_001:0150a04	真一而有種種名字。雖有種種名字終同一	真 一 而 有 種 種 名 字 雖 有 種 種 名 字 終 同 一 
T45n1857_001:0150a05	義。或名法性。法身。真如。實際。虛空。佛性。涅	義 或 名 法 性 法 身 真 如 實 際 虛 空 佛 性 涅 
T45n1857_001:0150a06	槃。法界。乃至本際。如來藏。而有無量名字	槃 法 界 乃 至 本 際 如 來 藏 而 有 無 量 名 字 
T45n1857_001:0150a07	皆是真一異名。同生一義。蓋前三品者亦復	皆 是 真 一 異 名 同 生 一 義 蓋 前 三 品 者 亦 復 
T45n1857_001:0150a08	如是。夫何以名廣照品者。所謂智鑑寬通慧	如 是 夫 何 以 名 廣 照 品 者 所 謂 智 鑑 寬 通 慧 
T45n1857_001:0150a09	日圓照。包含物理虛洞萬靈。故言廣照。何謂	日 圓 照 包 含 物 理 虛 洞 萬 靈 故 言 廣 照 何 謂 
T45n1857_001:0150a10	離微品者。所謂性該真理究竟玄源。實際冲	離 微 品 者 所 謂 性 該 真 理 究 竟 玄 源 實 際 冲 
T45n1857_001:0150a11	虛本淨非染。故曰離微。何謂本際品者。所謂	虛 本 淨 非 染 故 曰 離 微 何 謂 本 際 品 者 所 謂 
T45n1857_001:0150a12	天真妙理體瑩非修。性本虛通含收萬物。故	天 真 妙 理 體 瑩 非 修 性 本 虛 通 含 收 萬 物 故 
T45n1857_001:0150a13	言本際品也。是故合前三品。一義該收出用	言 本 際 品 也 是 故 合 前 三 品 一 義 該 收 出 用 
T45n1857_001:0150a14	無窮。總名寶藏。是以闡森羅之義府。論識物	無 窮 總 名 寶 藏 是 以 闡 森 羅 之 義 府 論 識 物 
T45n1857_001:0150a15	之根由。虛洞太清。陰符妙理。圓之者體合真	之 根 由 虛 洞 太 清 陰 符 妙 理 圓 之 者 體 合 真 
T45n1857_001:0150a16	一。了之者密悟玄通。故明法界之如如。顯大	一 了 之 者 密 悟 玄 通 故 明 法 界 之 如 如 顯 大 
T45n1857_001:0150a17	道之要者也。	道 之 要 者 也 
T45n1857_001:0150a18	寶藏論(終)	寶 藏 論 終 
