X32n0618_001:0298c04	 大成科序	 大 成 科 序 
X32n0618_001:0314a62	初一行頌所見事(爾時)	初 一 行 頌 所 見 事 爾 時 
X32n0618_001:0314a63	二四行頌喻明久遠(如人)	二 四 行 頌 喻 明 久 遠 如 人 
X32n0618_001:0315a01	三二行頌見昔如今(如來)	三 二 行 頌 見 昔 如 今 如 來 
X32n0618_001:0315a02	二明宿世因緣(二)	二 明 宿 世 因 緣 二 
X32n0618_001:0315a03	初長行(二)	初 長 行 二 
X32n0618_001:0315a04	初明結緣之由(二)	初 明 結 緣 之 由 二 
X32n0618_001:0315a05	初明結緣遠由(二)	初 明 結 緣 遠 由 二 
X32n0618_001:0315a06	初明大通智佛成道(五)	初 明 大 通 智 佛 成 道 五 
X32n0618_001:0315a07	初佛壽長遠(佛告)	初 佛 壽 長 遠 佛 告 
X32n0618_001:0315a08	二成道前事(二)	二 成 道 前 事 二 
X32n0618_001:0315a09	初明所經時節(其佛)	初 明 所 經 時 節 其 佛 
X32n0618_001:0315a10	二明諸天供養(爾時)	二 明 諸 天 供 養 爾 時 
X32n0618_001:0315a11	三正明成道(諸比)	三 正 明 成 道 諸 比 
X32n0618_001:0315a12	四眷屬供養(二)	四 眷 屬 供 養 二 
X32n0618_001:0315a13	初長行明親近供養(其佛)	初 長 行 明 親近供養 其 佛 
X32n0618_001:0315a14	二偈頌歎慶(三)	二 偈 頌 歎 慶 三 
X32n0618_001:0315a15	初三行半歎佛因果(以偈)	初 三 行 半 歎 佛 因 果 以 偈 
X32n0618_001:0315a16	二三行慶己所遇(今者)	二 三 行 慶 己 所 遇 今 者 
X32n0618_001:0315a17	三一行半總結(今佛)	三 一 行 半 總 結 今 佛 
X32n0618_001:0315a18	五請轉法輪(爾時)	五 請 轉 法 輪 爾 時 
X32n0618_001:0315a19	二明十方梵王請法(二)	二 明 十 方 梵 王 請 法 二 
X32n0618_001:0315a20	初威光照動(佛告)	初 威 光 照 動 佛 告 
X32n0618_001:0315a21	二十方梵請(二)	二 十 方 梵 請 二 
X32n0618_001:0315a22	初明九方(四)	初 明 九 方 四 
X32n0618_001:0315a23	初東方雲集(七)	初 東 方 雲 集 七 
X32n0618_001:0315a24	初智佛現瑞(爾時)	初 智 佛 現 瑞 爾 時 
X32n0618_001:0315a25	二梵眾驚駭(諸梵)	二 梵 眾 驚 駭 諸 梵 
X32n0618_001:0315a26	三互相問決(是時)	三 互 相 問 決 是 時 
X32n0618_001:0315a27	四尋光見佛(爾時)	四 尋 光 見 佛 爾 時 
X32n0618_001:0315a28	五廣陳供養(即時)	五 廣 陳 供 養 即 時 
X32n0618_001:0315a29	六請轉法輪(爾時)	六 請 轉 法 輪 爾 時 
X32n0618_001:0315a30	七默然允許(爾時)	七 默 然 允 許 爾 時 
X32n0618_001:0315a31	二東南方雲集(七)	二 東 南 方 雲 集 七 
X32n0618_001:0315a32	初智佛現瑞(又諸)	初 智 佛 現 瑞 又 諸 
X32n0618_001:0315a33	二梵眾驚駭(昔所)	二 梵 眾 驚 駭 昔 所 
X32n0618_001:0315a34	三互相問決(即各)	三 互 相 問 決 即 各 
X32n0618_001:0315a35	四尋光見佛(爾時)	四 尋 光 見 佛 爾 時 
X32n0618_001:0315a36	五廣陳供養(時諸)	五 廣 陳 供 養 時 諸 
X32n0618_001:0315a37	六請轉法輪(爾時)	六 請 轉 法 輪 爾 時 
X32n0618_001:0315a38	七默然允許(爾時)	七 默 然 允 許 爾 時 
X32n0618_001:0315a39	三南方雲集(七)	三 南 方 雲 集 七 
X32n0618_001:0315a40	初智佛現瑞(又諸)	初 智 佛 現 瑞 又 諸 
X32n0618_001:0315a41	二梵眾驚駭(昔所)	二 梵 眾 驚 駭 昔 所 
X32n0618_001:0315a42	三互相問決(即各)	三 互 相 問 決 即 各 
X32n0618_001:0315a43	四尋光見佛(爾時)	四 尋 光 見 佛 爾 時 
X32n0618_001:0315a44	五廣陳供養(時諸)	五 廣 陳 供 養 時 諸 
X32n0618_001:0315a45	六請轉法輪(爾時)	六 請 轉 法 輪 爾 時 
X32n0618_001:0315a46	七默然允許(爾時)	七 默 然 允 許 爾 時 
X32n0618_001:0315a47	四總明六方雲集(西南)	四 總 明 六 方 雲 集 西 南 
X32n0618_001:0315a48	二明上方雲集(六)	二 明 上 方 雲 集 六 
X32n0618_001:0315a49	初智佛現瑞(爾時)	初 智 佛 現 瑞 爾 時 
X32n0618_001:0315a50	二梵眾驚駭(昔所)	二 梵 眾 驚 駭 昔 所 
X32n0618_001:0315a51	三互相問決(即各)	三 互 相 問 決 即 各 
X32n0618_001:0315a52	四尋光見佛(爾時)	四 尋 光 見 佛 爾 時 
X32n0618_001:0315a53	五廣陳供養(時諸)	五 廣 陳 供 養 時 諸 
X32n0618_001:0315a54	六請轉法輪(爾時)	六 請 轉 法 輪 爾 時 
X32n0618_001:0315a55	二明結緣近由(二)	二 明 結 緣 近 由 二 
X32n0618_001:0315a56	初轉半字教(三)	初 轉 半 字 教 三 
X32n0618_001:0315a57	初智佛受請(爾時)	初 智 佛 受 請 爾 時 
X32n0618_001:0315a58	二正轉教法(二)	二 正 轉 教 法 二 
X32n0618_001:0315a59	初說四諦法(即時)	初 說 四 諦 法 即 時 
X32n0618_001:0315a60	二說因緣法(及廣)	二 說 因 緣 法 及 廣 
X32n0618_001:0315a61	三聞法得道(佛於)	三 聞 法 得 道 佛 於 
X32n0618_001:0316a01	二轉滿字教(七)	二 轉 滿 字 教 七 
X32n0618_001:0316a02	初王子出家(爾時)	初 王 子 出 家 爾 時 
X32n0618_001:0316a03	二請轉法輪(俱白)	二 請 轉 法 輪 俱 白 
X32n0618_001:0316a04	三所將人眾出家(爾時)	三 所 將 人 眾 出 家 爾 時 
X32n0618_001:0316a05	四受請說經(爾時)	四 受 請 說 經 爾 時 
X32n0618_001:0316a06	五時眾有解不解(說是)	五 時 眾 有 解 不 解 說 是 
X32n0618_001:0316a07	六說經時節(佛說)	六 說 經 時 節 佛 說 
X32n0618_001:0316a08	七說已入定(說此)	七 說 已 入 定 說 此 
X32n0618_001:0316a09	二正明結緣(二)	二 正 明 結 緣 二 
X32n0618_001:0316a10	初法說結緣(三)	初 法 說 結 緣 三 
X32n0618_001:0316a11	初明昔供結緣(三)	初 明 昔 供 結 緣 三 
X32n0618_001:0316a12	初王子覆講(是時)	初 王 子 覆 講 是 時 
X32n0618_001:0316a13	二眾得利益(一一)	二 眾 得 利 益 一 一 
X32n0618_001:0316a14	三出定稱歎(二)	三 出 定 稱 歎 二 
X32n0618_001:0316a15	初正歎希有(大通)	初 正 歎 希 有 大 通 
X32n0618_001:0316a16	二勸物親近(汝等)	二 勸 物 親 近 汝 等 
X32n0618_001:0316a17	二明中間值遇(佛告)	二 明 中 間 值 遇 佛 告 
X32n0618_001:0316a18	三明今還為說(二)	三 明 今 還 為 說 二 
X32n0618_001:0316a19	初會結古今(二)	初 會 結 古 今 二 
X32n0618_001:0316a20	初會師古今(諸比)	初 會 師 古 今 諸 比 
X32n0618_001:0316a21	二會弟子古今(二)	二 會 弟 子 古 今 二 
X32n0618_001:0316a22	初正會(二)	初 正 會 二 
X32n0618_001:0316a23	初受大後退(諸比)	初 受 大 後 退 諸 比 
X32n0618_001:0316a24	二正會古今(爾時)	二 正 會 古 今 爾 時 
X32n0618_001:0316a25	二釋疑(我滅)	二 釋 疑 我 滅 
X32n0618_001:0316a26	二正說法華(三)	二 正 說 法 華 三 
X32n0618_001:0316a27	初時眾清淨(諸比)	初 時 眾 清 淨 諸 比 
X32n0618_001:0316a28	二正說法華(便集)	二 正 說 法 華 便 集 
X32n0618_001:0316a29	三釋疑(比丘)	三 釋 疑 比 丘 
X32n0618_001:0316a30	二喻說結緣(二)	二 喻 說 結 緣 二 
X32n0618_001:0316a31	初喻說(二)	初 喻 說 二 
X32n0618_001:0316a32	初明導師喻(五)	初 明 導 師 喻 五 
X32n0618_001:0316a33	初五百由旬喻(譬如)	初 五 百 由 旬 喻 譬 如 
X32n0618_001:0316a34	二險難惡道喻(險難)	二 險 難 惡 道 喻 險 難 
X32n0618_001:0316a35	三多眾人喻(若有)	三 多 眾 人 喻 若 有 
X32n0618_001:0316a36	四欲過惡道喻(欲過)	四 欲 過 惡 道 喻 欲 過 
X32n0618_001:0316a37	五有一導師喻(將導)	五 有 一 導 師 喻 將 導 
X32n0618_001:0316a38	二明將導喻(三)	二 明 將 導 喻 三 
X32n0618_001:0316a39	初所將人眾喻(將導)	初 所 將 人 眾 喻 將 導 
X32n0618_001:0316a40	二中路懈退喻(二)	二 中 路 懈 退 喻 二 
X32n0618_001:0316a41	初退大(三)	初 退 大 三 
X32n0618_001:0316a42	初中路懈退(所將)	初 中 路 懈 退 所 將 
X32n0618_001:0316a43	二白導師言(白導)	二 白 導 師 言 白 導 
X32n0618_001:0316a44	三不復前進(不能)	三 不 復 前 進 不 能 
X32n0618_001:0316a45	二接小(四)	二 接 小 四 
X32n0618_001:0316a46	初多諸方便(導師)	初 多 諸 方 便 導 師 
X32n0618_001:0316a47	二傷其失寶(而作)	二 傷 其 失 寶 而 作 
X32n0618_001:0316a48	三化作一城(作是)	三 化 作 一 城 作 是 
X32n0618_001:0316a49	四歡喜入城(是時)	四 歡 喜 入 城 是 時 
X32n0618_001:0316a50	三滅化城至寶所喻(爾時)	三 滅 化 城 至 寶 所 喻 爾 時 
X32n0618_001:0316a51	二法合(二)	二 法 合 二 
X32n0618_001:0316a52	初正合(二)	初 正 合 二 
X32n0618_001:0316a53	初合導師喻(諸比)	初 合 導 師 喻 諸 比 
X32n0618_001:0316a54	二合將導喻(二)	二 合 將 導 喻 二 
X32n0618_001:0316a55	初退大接小(若眾)	初 退 大 接 小 若 眾 
X32n0618_001:0316a56	二合滅城至寶所(若眾)	二 合 滅 城 至 寶 所 若 眾 
X32n0618_001:0316a57	二舉喻帖合(如彼)　一長行已竟	二 舉 喻 帖 合 如 彼 一 長 行 已 竟 
X32n0618_001:0316a58	二偈頌○	二 偈 頌 
X32n0618_001:0316a59	二正明授記○	二 正 明 授 記 
X32n0618_001:0316a61	○二偈頌(二)	 二 偈 頌 二 
X32n0618_001:0316a62	初廿二行半頌結緣之由(二)	初 廿 二 行 半 頌 結 緣 之 由 二 
X32n0618_001:0316a63	初十二行頌遠由(二)	初 十 二 行 頌 遠 由 二 
X32n0618_001:0316a64	初六行頌大通成道(爾時)	初 六 行 頌 大 通 成 道 爾 時 
X32n0618_001:0316a65	二六行頌十方梵請(世尊)	二 六 行 頌 十 方 梵 請 世 尊 
X32n0618_001:0316a66	二十行頌近由(二)	二 十 行 頌 近 由 二 
X32n0618_001:0316a67	初五行頌轉半字教(無量)	初 五 行 頌 轉 半 字 教 無 量 
X32n0618_001:0316a68	二五行半頌轉滿字教(時十)	二 五 行 半 頌 轉 滿 字 教 時 十 
X32n0618_001:0317a01	二二十七行頌正結緣(二)	二 二 十 七 行 頌 正 結 緣 二 
X32n0618_001:0317a02	初八行頌法說結緣(三)	初 八 行 頌 法 說 結 緣 三 
X32n0618_001:0317a03	初三行頌昔日結緣(是諸)	初 三 行 頌 昔 日 結 緣 是 諸 
X32n0618_001:0317a04	二一行頌中間值遇(彼佛)	二 一 行 頌 中 間 值 遇 彼 佛 
X32n0618_001:0317a05	三四行頌今還為說(是十)	三 四 行 頌 今 還 為 說 是 十 
X32n0618_001:0317a06	二十九行頌喻說結緣(二)	二 十 九 行 頌 喻 說 結 緣 二 
X32n0618_001:0317a07	初十一行半頌喻說(二)	初 十 一 行 半 頌 喻 說 二 
X32n0618_001:0317a08	初三行頌導師喻(譬如)	初 三 行 頌 導 師 喻 譬 如 
X32n0618_001:0317a09	二八行半頌將導喻(二)	二 八 行 半 頌 將 導 喻 二 
X32n0618_001:0317a10	初六行頌中路權立化城(眾人)	初 六 行 頌 中 路 權 立 化 城 眾 人 
X32n0618_001:0317a11	二二行半頌滅城引至寶所(導師)	二 二 行 半 頌 滅 城 引 至 寶 所 導 師 
X32n0618_001:0317a12	二七行半頌法合(二)	二 七 行 半 頌 法 合 二 
X32n0618_001:0317a13	初六行半正頌法合(二)	初 六 行 半 正 頌 法 合 二 
X32n0618_001:0317a14	初二句頌合導師喻(我亦)	初 二 句 頌 合 導 師 喻 我 亦 
X32n0618_001:0317a15	二六行頌合將導喻(二)	二 六 行 頌 合 將 導 喻 二 
X32n0618_001:0317a16	初一行頌合懈退(見諸)	初 一 行 頌 合 懈 退 見 諸 
X32n0618_001:0317a17	二四行頌合滅城至寶所(既知)	二 四 行 頌 合 滅 城 至 寶 所 既 知 
X32n0618_001:0317a18	二一行頌舉喻帖合(諸佛)	二 一 行 頌 舉 喻 帖 合 諸 佛 
X32n0618_001:0317a19	初正說因緣已竟。	初 正 說 因 緣 已 竟 
X32n0618_001:0317a21	法華大成卷六科文	法 華 大 成 卷 六 科 文 
X32n0618_001:0317a23	五百弟子受記品	五 百 弟 子 受 記 品 
X32n0618_001:0317a25	○二正明授記(二)	 二 正 明 授 記 二 
X32n0618_001:0317a26	初授千二百記(二)	初 授 千 二 百 記 二 
X32n0618_001:0317a27	初授滿慈記(二)	初 授 滿 慈 記 二 
X32n0618_001:0317a28	初經家序其默念領解(四)	初 經 家 序 其 默 念 領 解 四 
X32n0618_001:0317a29	初序得解之由(爾時)	初 序 得 解 之 由 爾 時 
X32n0618_001:0317a30	二序得解歡喜(得未)	二 序 得 解 歡 喜 得 未 
X32n0618_001:0317a31	三序默念領解(而作)	三 序 默 念 領 解 而 作 
X32n0618_001:0317a32	四念發迹請記(唯佛)	四 念 發 迹 請 記 唯 佛 
X32n0618_001:0317a33	二如來與之述成授記(二)	二 如 來 與 之 述 成 授 記 二 
X32n0618_001:0317a34	初長行(二)	初 長 行 二 
X32n0618_001:0317a35	初述本迹(三)	初 述 本 迹 三 
X32n0618_001:0317a36	初約釋迦世行因發迹(二)	初 約 釋 迦 世 行 因 發 迹 二 
X32n0618_001:0317a37	初舉示其人(爾時)	初 舉 示 其 人 爾 時 
X32n0618_001:0317a38	二發迹顯本(我常)	二 發 迹 顯 本 我 常 
X32n0618_001:0317a39	二約過去世顯其本行(汝等)	二 約 過 去 世 顯 其 本 行 汝 等 
X32n0618_001:0317a40	三約三世佛所述其修因(諸比)	三 約 三 世 佛 所 述 其 修 因 諸 比 
X32n0618_001:0317a41	二與授記(三)	二 與 授 記 三 
X32n0618_001:0317a42	初明因圓果滿(漸漸)	初 明 因 圓 果 滿 漸 漸 
X32n0618_001:0317a43	二明國土嚴淨(四)	二 明 國 土 嚴 淨 四 
X32n0618_001:0317a44	初國土嚴淨(其佛)	初 國 土 嚴 淨 其 佛 
X32n0618_001:0317a45	二純是善道(無諸)	二 純 是 善 道 無 諸 
X32n0618_001:0317a46	三三乘眾多(有無)	三 三 乘 眾 多 有 無 
X32n0618_001:0317a47	四總結莊嚴(其佛)	四 總 結 莊 嚴 其 佛 
X32n0618_001:0317a48	三明劫壽法塔(劫名)	三 明 劫 壽 法 塔 劫 名 
X32n0618_001:0317a49	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0317a50	初十四行頌發迹顯本(二)	初 十 四 行 頌 發 迹 顯 本 二 
X32n0618_001:0317a51	初七行總發諸聲聞本迹(五)	初 七 行 總 發 諸 聲 聞 本 迹 五 
X32n0618_001:0317a52	初一行總標為行難思(爾時)	初 一 行 總 標 為 行 難 思 爾 時 
X32n0618_001:0317a53	二一行明垂迹之由(知眾)	二 一 行 明 垂 迹 之 由 知 眾 
X32n0618_001:0318a01	三二行明垂迹利益(以無)	三 二 行 明 垂 迹 利 益 以 無 
X32n0618_001:0318a02	四二行明內祕外現(內秘)	四 二 行 明 內 祕 外 現 內 秘 
X32n0618_001:0318a03	五一行結略抑廣(我若)	五 一 行 結 略 抑 廣 我 若 
X32n0618_001:0318a04	二七行頌發滿慈本迹(今此)	二 七 行 頌 發 滿 慈 本 迹 今 此 
X32n0618_001:0318a05	二七行半頌與之授記(三)	二 七 行 半 頌 與 之 授 記 三 
X32n0618_001:0318a06	初一行頌因圓果滿(供養)	初 一 行 頌 因 圓 果 滿 供 養 
X32n0618_001:0318a07	二三句頌劫國名號(其國)	二 三 句 頌 劫 國 名 號 其 國 
X32n0618_001:0318a08	三五行三句頌國土嚴淨(菩薩)	三 五 行 三 句 頌 國 土 嚴 淨 菩 薩 
X32n0618_001:0318a09	二授千二百記(三)	二 授 千 二 百 記 三 
X32n0618_001:0318a10	初默念請記(爾時)	初 默 念 請 記 爾 時 
X32n0618_001:0318a11	二如來與記(二)	二 如 來 與 記 二 
X32n0618_001:0318a12	初長行(三)	初 長 行 三 
X32n0618_001:0318a13	初許記二千(佛知)	初 許 記 二 千 佛 知 
X32n0618_001:0318a14	二別授陳如(於此)	二 別 授 陳 如 於 此 
X32n0618_001:0318a15	三別記五百(其五)	三 別 記 五 百 其 五 
X32n0618_001:0318a16	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0318a17	初九行半頌陳如五百名號(爾時)	初 九 行 半 頌 陳 如 五 百 名 號 爾 時 
X32n0618_001:0318a18	二一行半總頌一切聲聞記(迦葉)	二 一 行 半 總 頌 一 切 聲 聞 記 迦 葉 
X32n0618_001:0318a19	三五百領解(二)	三 五 百 領 解 二 
X32n0618_001:0318a20	初長行(二)	初 長 行 二 
X32n0618_001:0318a21	初經家敘喜(爾時)	初 經 家 敘 喜 爾 時 
X32n0618_001:0318a22	二自陳領解(二)	二 自 陳 領 解 二 
X32n0618_001:0318a23	初法說(二)	初 法 說 二 
X32n0618_001:0318a24	初悔得少為足(世尊)	初 悔 得 少 為 足 世 尊 
X32n0618_001:0318a25	二責根鈍難悟(今乃)	二 責 根 鈍 難 悟 今 乃 
X32n0618_001:0318a26	二喻說(二)	二 喻 說 二 
X32n0618_001:0318a27	初喻說(二)	初 喻 說 二 
X32n0618_001:0318a28	初醉臥不覺喻(世尊)	初 醉 臥 不 覺 喻 世 尊 
X32n0618_001:0318a29	二親友覺悟喻(於後)	二 親 友 覺 悟 喻 於 後 
X32n0618_001:0318a30	二法合(二)	二 法 合 二 
X32n0618_001:0318a31	初合醉臥不覺喻(佛亦)	初 合 醉 臥 不 覺 喻 佛 亦 
X32n0618_001:0318a32	二合親友覺悟喻(一切)	二 合 親 友 覺 悟 喻 一 切 
X32n0618_001:0318a33	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0318a34	初一行半頌得解歡喜(爾時)	初 一 行 半 頌 得 解 歡 喜 爾 時 
X32n0618_001:0318a35	二十一行頌自陳領解(二)	二 十 一 行 頌 自 陳 領 解 二 
X32n0618_001:0318a36	初一行頌法說(於無)	初 一 行 頌 法 說 於 無 
X32n0618_001:0318a37	二十行頌喻說(二)	二 十 行 頌 喻 說 二 
X32n0618_001:0318a38	初六行頌喻說(二)	初 六 行 頌 喻 說 二 
X32n0618_001:0318a39	初四行頌醉臥不覺喻(譬如)	初 四 行 頌 醉 臥 不 覺 喻 譬 如 
X32n0618_001:0318a40	二二行頌二友覺悟喻(與珠)	二 二 行 頌 二 友 覺 悟 喻 與 珠 
X32n0618_001:0318a41	二四行頌法合(我等)　初授千二百記已竟	二 四 行 頌 法 合 我 等 初 授 千 二 百 記 已 竟 
X32n0618_001:0318a42	二授二千人記○	二 授 二 千 人 記 
X32n0618_001:0318a44	授學無學人記品	授 學 無 學 人 記 品 
X32n0618_001:0318a46	○二授二千人記(二)	 二 授 二 千 人 記 二 
X32n0618_001:0318a47	初二千請記(二)	初 二 千 請 記 二 
X32n0618_001:0318a48	初二人請記(二)	初 二 人 請 記 二 
X32n0618_001:0318a49	初默念請記(爾時)	初 默 念 請 記 爾 時 
X32n0618_001:0318a50	二發言請記(二)	二 發 言 請 記 二 
X32n0618_001:0318a51	初引例(即從)	初 引 例 即 從 
X32n0618_001:0318a52	二引望(又我)	二 引 望 又 我 
X32n0618_001:0318a53	二二千請記(爾時)	二 二 千 請 記 爾 時 
X32n0618_001:0318a54	二如來授與(二)	二 如 來 授 與 二 
X32n0618_001:0318a55	初記二人(二)	初 記 二 人 二 
X32n0618_001:0318a56	初記阿難(五)	初 記 阿 難 五 
X32n0618_001:0318a57	初長行正與授記(爾時)	初 長 行 正 與 授 記 爾 時 
X32n0618_001:0318a58	二偈頌重明果德(爾時)	二 偈 頌 重 明 果 德 爾 時 
X32n0618_001:0318a59	三八千菩薩生疑(爾時)	三 八 千 菩 薩 生 疑 爾 時 
X32n0618_001:0318a60	四如來發迹釋疑(爾時)	四 如 來 發 迹 釋 疑 爾 時 
X32n0618_001:0318a61	五阿難顯本述歎(阿難)	五 阿 難 顯 本 述 歎 阿 難 
X32n0618_001:0318a62	二記羅雲(二)	二 記 羅 雲 二 
X32n0618_001:0318a63	初長行(爾時)	初 長 行 爾 時 
X32n0618_001:0319a01	二偈頌(爾時)	二 偈 頌 爾 時 
X32n0618_001:0319a02	二記二千(三)	二 記 二 千 三 
X32n0618_001:0319a03	初長行授記(爾時)	初 長 行 授 記 爾 時 
X32n0618_001:0319a04	二偈頌重明(爾時)	二 偈 頌 重 明 爾 時 
X32n0618_001:0319a05	三得記歡喜(爾時)	三 得 記 歡 喜 爾 時 
X32n0618_001:0319a06	初說三周法授三根記已竟。	初 說 三 周 法 授 三 根 記 已 竟 
X32n0618_001:0319a08	法師品	法 師 品 
X32n0618_001:0319a10	○二歎持經人與所持法(二)	 二 歎 持 經 人 與 所 持 法 二 
X32n0618_001:0319a11	初歎美五種持經之人(二)	初 歎 美 五 種 持 經 之 人 二 
X32n0618_001:0319a12	初長行(四)	初 長 行 四 
X32n0618_001:0319a13	初明廣記現在(二)	初 明 廣 記 現 在 二 
X32n0618_001:0319a14	初揀出人類(爾時)	初 揀 出 人 類 爾 時 
X32n0618_001:0319a15	二普為授記(如是)	二 普 為 授 記 如 是 
X32n0618_001:0319a16	二明懸記未來(佛告)	二 明 懸 記 未 來 佛 告 
X32n0618_001:0319a17	三明現未功報(二)	三 明 現 未 功 報 二 
X32n0618_001:0319a18	初現在法師功報(三)	初 現 在 法 師 功 報 三 
X32n0618_001:0319a19	初明法師供養(若復)	初 明 法 師 供 養 若 復 
X32n0618_001:0319a20	二明法師功報(藥王)	二 明 法 師 功 報 藥 王 
X32n0618_001:0319a21	三明法師悲願(藥王)	三 明 法 師 悲 願 藥 王 
X32n0618_001:0319a22	二未來法師功報(二)	二 未 來 法 師 功 報 二 
X32n0618_001:0319a23	初明法師說經(若是)	初 明 法 師 說 經 若 是 
X32n0618_001:0319a24	二明法師功報(當知)	二 明 法 師 功 報 當 知 
X32n0618_001:0319a25	四明逆順罪福(二)	四 明 逆 順 罪 福 二 
X32n0618_001:0319a26	初明逆者得罪(藥王)	初 明 逆 者 得 罪 藥 王 
X32n0618_001:0319a27	二明順者得福(藥王)	二 明 順 者 得 福 藥 王 
X32n0618_001:0319a28	二偈頌(五)	二 偈 頌 五 
X32n0618_001:0319a29	初二行頌獎勸(爾時)	初 二 行 頌 獎 勸 爾 時 
X32n0618_001:0319a30	二四行頌現在功報(若有)	二 四 行 頌 現 在 功 報 若 有 
X32n0618_001:0319a31	三三行頌未來功報(吾滅)	三 三 行 頌 未 來 功 報 吾 滅 
X32n0618_001:0319a32	四六行頌逆順罪福(二)	四 六 行 頌 逆 順 罪 福 二 
X32n0618_001:0319a33	初二行頌逆者得罪(若於)	初 二 行 頌 逆 者 得 罪 若 於 
X32n0618_001:0319a34	二四行頌順者得福(有人)	二 四 行 頌 順 者 得 福 有 人 
X32n0618_001:0319a35	五一行結歎此經尊妙(藥王)	五 一 行 結 歎 此 經 尊 妙 藥 王 
X32n0618_001:0319a36	二歎美五種所持之法(二)	二 歎 美 五 種 所 持 之 法 二 
X32n0618_001:0319a37	初長行(二)	初 長 行 二 
X32n0618_001:0319a38	初歎經法(五)	初 歎 經 法 五 
X32n0618_001:0319a39	初約法歎(爾時)	初 約 法 歎 爾 時 
X32n0618_001:0319a40	二約人歎(藥王)	二 約 人 歎 藥 王 
X32n0618_001:0319a41	三約處歎(藥王)	三 約 處 歎 藥 王 
X32n0618_001:0319a42	四約因歎(藥王)	四 約 因 歎 藥 王 
X32n0618_001:0319a43	五約果歎(五)	五 約 果 歎 五 
X32n0618_001:0319a44	初明近果(其有)	初 明 近 果 其 有 
X32n0618_001:0319a45	二明譬喻(藥王)	二 明 譬 喻 藥 王 
X32n0618_001:0319a46	三明法合(菩薩)	三 明 法 合 菩 薩 
X32n0618_001:0319a47	四徵釋近意(所以)	四 徵 釋 近 意 所 以 
X32n0618_001:0319a48	五明揀非(藥王)	五 明 揀 非 藥 王 
X32n0618_001:0319a49	二示方軌(二)	二 示 方 軌 二 
X32n0618_001:0319a50	初示方軌(三)	初 示 方 軌 三 
X32n0618_001:0319a51	初標章(藥王)	初 標 章 藥 王 
X32n0618_001:0319a52	二解釋(如來)	二 解 釋 如 來 
X32n0618_001:0319a53	三勸脩(安住)	三 勸 脩 安 住 
X32n0618_001:0319a54	二明利益(藥王)	二 明 利 益 藥 王 
X32n0618_001:0319a55	二偈頌(三)	二 偈 頌 三 
X32n0618_001:0319a56	初一行頌總勸(爾時)	初 一 行 頌 總 勸 爾 時 
X32n0618_001:0319a57	二十六行半頌長文(四)	二 十 六 行 半 頌 長 文 四 
X32n0618_001:0319a58	初一行半頌譬喻(如人)	初 一 行 半 頌 譬 喻 如 人 
X32n0618_001:0319a59	二二行半頌法合(藥王)	二 二 行 半 頌 法 合 藥 王 
X32n0618_001:0319a60	三三行半頌示方軌(若人)	三 三 行 半 頌 示 方 軌 若 人 
X32n0618_001:0320a01	四九行頌利益(我人)	四 九 行 頌 利 益 我 人 
X32n0618_001:0320a02	三一行頌結勸(若親)	三 一 行 頌 結 勸 若 親 
X32n0618_001:0320a03	初開佛知見一大科已竟。	初 開 佛 知 見 一 大 科 已 竟 
X32n0618_001:0320a05	見寶塔品	見 寶 塔 品 
X32n0618_001:0320a07	○二示佛知見(二)	 二 示 佛 知 見 二 
X32n0618_001:0320a08	初寶塔出現顯示實相(二)	初 寶 塔 出 現 顯 示 實 相 二 
X32n0618_001:0320a09	初長行(三)	初 長 行 三 
X32n0618_001:0320a10	初寶塔湧現(六)	初 寶 塔 湧 現 六 
X32n0618_001:0320a11	初塔現之相(爾時)	初 塔 現 之 相 爾 時 
X32n0618_001:0320a12	二諸天供養(三十)	二 諸 天 供 養 三 十 
X32n0618_001:0320a13	三多寶稱讚(爾時)	三 多 寶 稱 讚 爾 時 
X32n0618_001:0320a14	四時眾驚恠(爾時)	四 時 眾 驚 恠 爾 時 
X32n0618_001:0320a15	五樂說請問(爾時)	五 樂 說 請 問 爾 時 
X32n0618_001:0320a16	六如來垂答(三)	六 如 來 垂 答 三 
X32n0618_001:0320a17	初答第二問(爾時)	初 答 第 二 問 爾 時 
X32n0618_001:0320a18	二答第一問(彼佛)	二 答 第 一 問 彼 佛 
X32n0618_001:0320a19	三答第三問(其佛)	三 答 第 三 問 其 佛 
X32n0618_001:0320a20	二分身遠集(七)	二 分 身 遠 集 七 
X32n0618_001:0320a21	初樂說請見多寶(是時)	初 樂 說 請 見 多 寶 是 時 
X32n0618_001:0320a22	二佛告分身應集(佛告)	二 佛 告 分 身 應 集 佛 告 
X32n0618_001:0320a23	三樂說請集分身(大樂)	三 樂 說 請 集 分 身 大 樂 
X32n0618_001:0320a24	四如來放光遠召(爾時)	四 如 來 放 光 遠 召 爾 時 
X32n0618_001:0320a25	五諸佛告眾同來(爾時)	五 諸 佛 告 眾 同 來 爾 時 
X32n0618_001:0320a26	六嚴淨堪忍國界(三)	六 嚴 淨 堪 忍 國 界 三 
X32n0618_001:0320a27	初變娑婆一界(時娑)	初 變 娑 婆 一 界 時 娑 
X32n0618_001:0320a28	二更變八方世界(時釋)	二 更 變 八 方 世 界 時 釋 
