X26n0575_001:0965c04	略移	略 移 
X26n0575_002:0985a01	故知般若波羅蜜多者。因修行。得見無上甚深之道。	故 知 般 若 波羅蜜多 者 因 修 行 得 見 無 上 甚 深 之 道 
X26n0575_002:0985a02	知般若波羅蜜多之神力也。且過去諸佛慈悲怜憫	知 般 若 波羅蜜多 之 神 力 也 且 過去諸佛 慈 悲 怜 憫 
X26n0575_002:0985a03	眾生。百種智慧方便之力化人。使泥土木雕黃卷赤	眾 生 百 種 智慧方便 之 力 化 人 使 泥 土 木 雕 黃 卷 赤 
X26n0575_002:0985a04	軸。說因說果。但以假名引導有情。將善惡報應之事。	軸 說 因 說 果 但 以 假 名 引 導 有 情 將 善 惡 報 應 之 事 
X26n0575_002:0985a05	天堂地獄之說。使人改惡從善。離假歸真。聲聞緣覺	天 堂 地 獄 之 說 使 人 改 惡 從 善 離 假 歸 真 聲 聞 緣 覺 
X26n0575_002:0985a06	十聖三賢諸佛地位。次第接引。仙師云。千里程途。逐	十 聖 三 賢 諸 佛 地 位 次 第 接 引 仙 師 云 千 里 程 途 逐 
X26n0575_002:0985a07	步而進。釋云。千仞寶臺。非一圾而上。忽然自悟自見	步 而 進 釋 云 千 仞 寶 臺 非 一 圾 而 上 忽 然 自 悟 自 見 
X26n0575_002:0985a08	本性。超過諸佛位次。一超直入如來地。若不見性。向	本 性 超 過 諸 佛 位 次 一 超 直 入如來地 若 不 見 性 向 
X26n0575_002:0985a09	外馳求。終不成就。道云。千日學道。悟在一時。只這一	外 馳 求 終 不 成 就 道 云 千 日 學 道 悟 在 一 時 只 這 一 
X26n0575_002:0985a10	時。便得輕快。諸上善人同歸一處。若是學解。就古人	時 便 得 輕 快 諸 上 善 人 同 歸 一 處 若 是 學 解 就 古 人 
X26n0575_002:0985a11	唾津。盡是外道邪見。生死各路。隨業受報。不可共語。	唾 津 盡 是 外道邪見 生 死 各 路 隨 業 受 報 不 可 共 語 
X26n0575_002:0985a12	豈不聞須菩提塵劫以前修行。直至釋迦會下解空	豈 不 聞 須 菩 提 塵 劫 以 前 修 行 直 至 釋 迦 會 下 解 空 
X26n0575_002:0985a13	第一智慧。請問四句偈。廓然頓悟。涕泪悲泣。自嘆云。	第 一 智 慧 請 問 四 句 偈 廓 然 頓 悟 涕 泪 悲 泣 自 嘆 云 
X26n0575_002:0985a14	前所得慧眼。未聞此經。三世諸佛皆從此經流出。如	前 所 得 慧 眼 未 聞 此 經 三世諸佛 皆 從 此 經 流 出 如 
X26n0575_002:0985a15	何是此經。雖然無一字。晝夜放光明。	何 是 此 經 雖 然 無 一 字 晝 夜 放 光 明 
X26n0575_002:0985a16	　般若者　　省回頭　　抽胎換骨	 般 若 者 省 回 頭 抽 胎 換 骨 
X26n0575_002:0985a17	　悟無生　　答根本　　別換身心	 悟 無 生 答 根 本 別 換 身 心 
X26n0575_002:0985a18	　談論話　　比尋常　　伶牙俐齒	 談 論 話 比 尋 常 伶 牙 俐 齒 
X26n0575_002:0985a19	　心明了　　知前後　　無所不通	 心 明 了 知 前 後 無 所 不 通 
X26n0575_002:0985a20	　天開霧　　退浮雲　　光明出現	 天 開 霧 退 浮 雲 光 明 出 現 
X26n0575_002:0985a21	　似尋常　　地泉湧　　百草重生	 似 尋 常 地 泉 湧 百 草 重 生 
X26n0575_002:0985a22	　走獸欣　　飛禽喜　　空中展翅	 走 獸 欣 飛 禽 喜 空 中 展 翅 
X26n0575_002:0985a23	　滿山川　　花開放　　見性明心	 滿 山 川 花 開 放 見 性 明 心 
X26n0575_002:0985a24	　波羅者　　因的聲　　虗空粉碎	 波 羅 者 因 的 聲 虗 空 粉 碎 
X26n0575_002:0985b01	　見親娘　　鐵面皮　　元是無生	 見 親 娘 鐵 面 皮 元 是 無 生 
X26n0575_002:0985b02	　猶如似　　一輪紅　　乾坤普照	 猶 如 似 一 輪 紅 乾 坤 普 照 
X26n0575_002:0985b03	　盡十方　　遍法界　　無點昏雲	 盡 十 方 遍 法 界 無 點 昏 雲 
X26n0575_002:0985b04	　千七百　　玄妙門　　門門劈破	 千 七 百 玄 妙 門 門 門 劈 破 
X26n0575_002:0985b05	　遍大地　　葛藤窩　　連土除根	 遍 大 地 葛 藤 窩 連 土 除 根 
X26n0575_002:0985b06	　絕輪迴　　證金身　　工圓果滿	 絕 輪 迴 證 金 身 工 圓 果 滿 
X26n0575_002:0985b07	　轉法輪　　救濟俺　　出離迷津	 轉 法 輪 救 濟 俺 出 離 迷 津 
X26n0575_002:0985b08	　累劫中　　苦修行　　堅心不退	 累 劫 中 苦 修 行 堅 心 不 退 
X26n0575_002:0985b09	　若不是　　真實行　　怎敢天宮	 若 不 是 真 實 行 怎 敢 天 宮 
X26n0575_002:0985b10	　在凡夫　　本不少　　自為八兩	 在 凡 夫 本 不 少 自 為 八 兩 
X26n0575_002:0985b11	　入聖位　　本不增　　依舊半斤	 入 聖 位 本 不 增 依 舊 半 斤 
X26n0575_002:0985b12	　本不生　　本不滅　　妄生顛倒	 本 不 生 本 不 滅 妄 生 顛 倒 
X26n0575_002:0985b13	　但回光　　肯返照　　箇箇圓成	 但 回 光 肯 返 照 箇 箇 圓 成 
X26n0575_002:0985b14	是大神呪者。人人具有。不修難明。神呪亦是眾生心	是 大 神 呪 者 人 人 具 有 不 修 難 明 神 呪 亦 是 眾 生 心 
X26n0575_002:0985b15	地法門。有大神道。通云。心有主宰。萬邪難侵。儒云。心	地 法 門 有 大 神 道 通 云 心 有 主 宰 萬 邪 難 侵 儒 云 心 
X26n0575_002:0985b16	正可以辟邪。度人經云。萬邪不干。神明護門。能驅邪	正 可 以 辟 邪 度 人 經 云 萬 邪 不 干 神 明 護 門 能 驅 邪 
X26n0575_002:0985b17	立正。變死人作活人。改魔境為仙境。頭頭示現。物物	立 正 變 死 人 作 活 人 改 魔 境 為 仙 境 頭 頭 示 現 物 物 
X26n0575_002:0985b18	全彰。信手拈來。百無妨礙。此大神呪。舉心動念。鬼精	全 彰 信 手 拈 來 百 無 妨 礙 此 大 神 呪 舉 心 動 念 鬼 精 
X26n0575_002:0985b19	滅爽。返本還源。外道魂驚。精靈伏匿。此密呪也。神通	滅 爽 返 本 還 源 外 道 魂 驚 精 靈 伏 匿 此 密 呪 也 神 通 
X26n0575_002:0985b20	并妙用。何處不相隨。有大威神力。仗劒邪魔息。不離	并 妙 用 何 處 不 相 隨 有 大 威 神 力 仗 劒 邪 魔 息 不 離 
X26n0575_002:0985b21	方寸地。同居人不識。	方 寸 地 同 居 人 不 識 
X26n0575_002:0985b22	　是大神呪有功能　　智慧般般物物通	 是 大 神 呪 有 功 能 智 慧 般 般 物 物 通 
X26n0575_002:0985b23	　未曾開口先知覺　　性如寒潭徹底清	 未 曾 開 口 先 知 覺 性 如 寒 潭 徹 底 清 
X26n0575_002:0985b24	　難量難測真空體　　千變萬化顯靈根	 難 量 難 測 真 空 體 千 變 萬 化 顯 靈 根 
X26n0575_002:0985c01	　諸佛命脉風不透　　撥開心地正妙門	 諸 佛 命 脉 風 不 透 撥 開 心 地 正 妙 門 
X26n0575_002:0985c02	　一段清虗為大理　　有相身中無相身	 一 段 清 虗 為 大 理 有 相 身 中 無 相 身 
X26n0575_002:0985c03	　猫不成來畫不就　　無為三昧鬼難明	 猫 不 成 來 畫 不 就 無 為 三 昧 鬼 難 明 
X26n0575_002:0985c04	　巍巍不動安身處　　普光三昧照魔精	 巍 巍 不 動 安 身 處 普 光 三 昧 照 魔 精 
X26n0575_002:0985c05	　凡聖同居憑柱杖　　魔來侵害休順情	 凡 聖 同 居 憑 柱 杖 魔 來 侵 害 休 順 情 
X26n0575_002:0985c06	　箇裏本無元字脚　　空中誰敢強安名	 箇 裏 本 無 元 字 脚 空 中 誰 敢 強 安 名 
X26n0575_002:0985c07	　等閑點出金剛眼　　照破魔王八萬程	 等 閑 點 出 金 剛 眼 照 破 魔 王 八 萬 程 
X26n0575_002:0985c08	是大明呪者。一點靈光。自然晁耀。照徹十方。射透三	是 大 明 呪 者 一 點 靈 光 自 然 晁 耀 照 徹 十 方 射 透 三 
X26n0575_002:0985c09	界。山河大地無有隔礙。過於日月。無處不照。呂祖云。	界 山 河 大 地 無 有 隔 礙 過 於 日 月 無 處 不 照 呂 祖 云 
X26n0575_002:0985c10	一點心燈焰焰生。不勞挑剔朗然明。得來照破人間	一 點 心 燈 焰 焰 生 不 勞 挑 剔 朗 然 明 得 來 照 破 人 間 
X26n0575_002:0985c11	暗。獨放寒光滿太清。木性彌陀一段光。揚眉竪目亮	暗 獨 放 寒 光 滿 太 清 木 性 彌 陀 一 段 光 揚 眉 竪 目 亮 
X26n0575_002:0985c12	堂堂。晝夜常明無間斷。時時不昧現西方。巍巍一朵	堂 堂 晝 夜 常 明 無 間 斷 時 時 不 昧 現 西 方 巍 巍 一 朵 
X26n0575_002:0985c13	紫金蓮。垂光萬道照大千。悟知極樂剎剎現。了達淨	紫 金 蓮 垂 光 萬 道 照 大 千 悟 知 極 樂 剎 剎 現 了 達 淨 
X26n0575_002:0985c14	土在目前。	土 在 目 前 
X26n0575_002:0985c15	是大明呪&;現金光&;是大明呪&;照十方&;	是 大 明 呪 現 金 光 是 大 明 呪 照 十 方 
X26n0575_002:0985c16	心發朗&;亮堂堂&;	心 發 朗 亮 堂 堂 
X26n0575_002:0985c17	川山海&;無遮攔&;	川 山 海 無 遮 攔 
X26n0575_002:0985c18	通天眼&;耀空蒼&;	通 天 眼 耀 空 蒼 
X26n0575_002:0985c19	光一體&;在天端&;	光 一 體 在 天 端 
X26n0575_002:0985c20	週圍照&;不落偏&;	週 圍 照 不 落 偏 
X26n0575_002:0985c21	　日月往來明又暗　　無明無暗自己光	 日 月 往 來 明 又 暗 無 明 無 暗 自 己 光 
X26n0575_002:0985c22	　兩輪日月天地眼　　未曾初分光在前	 兩 輪 日 月 天 地 眼 未 曾 初 分 光 在 前 
X26n0575_002:0985c23	　光中化佛無數億　　都合無極體相連	 光 中 化 佛 無 數 億 都 合 無 極 體 相 連 
X26n0575_002:0985c24	　神通化現能改變　　清淨法身道理全	 神 通 化 現 能 改 變 清 淨 法 身 道 理 全 
X26n0575_002:0986a01	是無上呪者。得見自己光明。照見從前黑暗。無有能	是 無 上 呪 者 得 見 自 己 光 明 照 見 從 前 黑 暗 無 有 能 
X26n0575_002:0986a02	極者。此神呪最上。無過於此。是為第一。一切諸法。皆	極 者 此 神 呪 最 上 無 過 於 此 是 為 第 一 一切諸法 皆 
X26n0575_002:0986a03	不出於心呪也。光明洞耀。普照十方。包含法界。獨古	不 出 於 心 呪 也 光 明 洞 耀 普 照 十 方 包 含 法 界 獨 古 
X26n0575_002:0986a04	乾坤。將別神呪。要過此呪。終不能及。是無上呪者。道	乾 坤 將 別 神 呪 要 過 此 呪 終 不 能 及 是 無 上 呪 者 道 
X26n0575_002:0986a05	云。心是眾之王。釋云。心是法中王。只這一件王不動。	云 心 是 眾 之 王 釋 云 心 是 法 中 王 只 這 一 件 王 不 動 
X26n0575_002:0986a06	萬姓自安。心若不亂。諸邪不起。	萬 姓 自 安 心 若 不 亂 諸 邪 不 起 
X26n0575_002:0986a07	是無上呪&;一段空&;是無上呪&;未曾分&;	是 無 上 呪 一 段 空 是 無 上 呪 未 曾 分 
X26n0575_002:0986a08	無南北&;無西東&;	無 南 北 無 西 東 
X26n0575_002:0986a09	無上下&;內外同&;	無 上 下 內 外 同 
X26n0575_002:0986a10	無日月&;無暗明&;	無 日 月 無 暗 明 
X26n0575_002:0986a11	無凡聖&;無人倫&;	無 凡 聖 無 人 倫 
X26n0575_002:0986a12	無今古&;無始終&;	無 今 古 無 始 終 
X26n0575_002:0986a13	先天母&;獨為尊&;	先 天 母 獨 為 尊 
X26n0575_002:0986a14	無極道&;大極身&;	無 極 道 大 極 身 
X26n0575_002:0986a15	　太極元是無極體　　無極元是大極根	 太 極 元 是 無 極 體 無 極 元 是 大 極 根 
X26n0575_002:0986a16	　太極始初分兩儀　　清濁升降天地踪	 太 極 始 初 分 兩 儀 清 濁 升 降 天 地 踪 
X26n0575_002:0986a17	　陽為父來陰為母　　聚集成形化為人	 陽 為 父 來 陰 為 母 聚 集 成 形 化 為 人 
X26n0575_002:0986a18	　三才變化無窮盡　　枝枝葉葉到如今	 三 才 變 化 無 窮 盡 枝 枝 葉 葉 到 如 今 
X26n0575_002:0986a19	是無等等呪者。此呪無有等齊也。不可說不可比。無	是 無 等 等 呪 者 此 呪 無 有 等 齊 也 不 可 說 不 可 比 無 
X26n0575_002:0986a20	有邊際。此呪世間少時說著難信。須是親見明徹。識	有 邊 際 此 呪 世 間 少 時 說 著 難 信 須 是 親 見 明 徹 識 
X26n0575_002:0986a21	此呪也。這呪放開包裹太虗空。收來難立纖毫物。此	此 呪 也 這 呪 放 開 包 裹 太 虗 空 收 來 難 立 纖 毫 物 此 
X26n0575_002:0986a22	呪最玄最妙。最尊最貴。最大最深。是自己心呪也。無	呪 最 玄 最 妙 最 尊 最 貴 最 大 最 深 是 自 己 心 呪 也 無 
X26n0575_002:0986a23	縫塔前分明舉。不透玄關錯過多。明明一句包凡聖。	縫 塔 前 分 明 舉 不 透 玄 關 錯 過 多 明 明 一 句 包 凡 聖 
X26n0575_002:0986a24	中間自有古彌陀。前生不修今不知。萬丈玄門過客	中 間 自 有 古 彌 陀 前 生 不 修 今 不 知 萬 丈 玄 門 過 客 
X26n0575_002:0986b01	希。有人但能歸向者。定證圓明與佛齊。	希 有 人 但 能 歸 向 者 定 證 圓 明 與 佛 齊 
X26n0575_002:0986b02	　是無等等呪希奇　　名揚寶號晃太虗	 是 無 等 等 呪 希 奇 名 揚 寶 號 晃 太 虗 
X26n0575_002:0986b03	　一段金光明耀耀　　輝天鑒地照昏衢	 一 段 金 光 明 耀 耀 輝 天 鑒 地 照 昏 衢 
X26n0575_002:0986b04	　神通廣大無極呪　　諸般等呪不能倍	 神 通 廣 大 無 極 呪 諸 般 等 呪 不 能 倍 
X26n0575_002:0986b05	　此呪即是諸呪母　　舉心動念呪現出	 此 呪 即 是 諸 呪 母 舉 心 動 念 呪 現 出 
X26n0575_002:0986b06	&;包天裹地陀羅泥&;	 包 天 裹 地 陀 羅 泥 
X26n0575_002:0986b07	&;神離鬼爽不敢欺&;	 神 離 鬼 爽 不 敢 欺 
X26n0575_002:0986b08	有人持誦靈驗呪&;推碎&;魑魅&;化為灰&;	有 人 持 誦 靈 驗 呪 推 碎 魑 魅 化 為 灰 
X26n0575_002:0986b09	魍魎&;	魍 魎 
X26n0575_002:0986b10	妖魔&;	妖 魔 
X26n0575_002:0986b11	精恠&;	精 恠 
X26n0575_002:0986b12	&;化獄消灾脫輪迴&;	 化 獄 消 灾 脫 輪 迴 
X26n0575_002:0986b13	能除一切苦者。佛祖出現於世。設種種方便。救度群	能 除 一 切 苦 者 佛 祖 出 現 於 世 設 種 種 方 便 救 度 群 
X26n0575_002:0986b14	迷。同出火院。若有智慧之人。諦聽大道之言。只究心	迷 同 出 火 院 若 有 智 慧 之 人 諦 聽 大 道 之 言 只 究 心 
X26n0575_002:0986b15	地。莫去傍求。初則打掃潔淨。去累劫之習性。大顛云。	地 莫 去 傍 求 初 則 打 掃 潔 淨 去 累 劫 之 習 性 大 顛 云 
X26n0575_002:0986b16	開池不待月。池成月自來。修行人先要心地清淨。自	開 池 不 待 月 池 成 月 自 來 修 行 人 先 要 心 地 清 淨 自 
X26n0575_002:0986b17	然道生。儒云。以禮制心。釋云。在於閑處。收攝其心。道	然 道 生 儒 云 以 禮 制 心 釋 云 在 於 閑 處 收 攝 其 心 道 
X26n0575_002:0986b18	云。降心絕念。三教聖人只教眾生心間清虗。心若無	云 降 心 絕 念 三 教 聖 人 只 教 眾 生 心 間 清 虗 心 若 無 
X26n0575_002:0986b19	染。自然見性。若得見性。永免輪迴。更不受生。得不死	染 自 然 見 性 若 得 見 性 永 免 輪 迴 更 不 受 生 得 不 死 
X26n0575_002:0986b20	不生之道。且從上諸佛諸聖。久受勤苦。方得見性。心	不 生 之 道 且 從 上 諸 佛 諸 聖 久 受 勤 苦 方 得 見 性 心 
X26n0575_002:0986b21	心念念處處逢渠。且道末後向甚麼處去。不省處處	心 念 念 處 處 逢 渠 且 道 末 後 向 甚 麼 處 去 不 省 處 處 
X26n0575_002:0986b22	迷歸路。悟來時時在本鄉。	迷 歸 路 悟 來 時 時 在 本 鄉 
X26n0575_002:0986b23	能除一切苦便無&;超出三界免三塗&;	能 除 一 切 苦 便 無 超出三界 免 三 塗 
X26n0575_002:0986b24	為法忘軀離五欲&;	為 法 忘 軀 離 五 欲 
X26n0575_002:0986c01	五濁煉徹真金體&;	五 濁 煉 徹 真 金 體 
X26n0575_002:0986c02	五戒不犯難轄管&;	五 戒 不 犯 難 轄 管 
X26n0575_002:0986c03	無福無罪非五刑&;	無 福 無 罪 非 五 刑 
X26n0575_002:0986c04	五蘊空處無凡聖&;	五 蘊 空 處 無 凡 聖 
X26n0575_002:0986c05	五常不缺為大德&;	五 常 不 缺 為 大 德 
X26n0575_002:0986c06	　世事忙忙無盡期　　火宅慌慌苦不知	 世 事 忙 忙 無 盡 期 火 宅 慌 慌 苦 不 知 
X26n0575_002:0986c07	　若還信受諸佛語　　火坑變做白蓮池	 若 還 信 受 諸 佛 語 火 坑 變 做 白 蓮 池 
X26n0575_002:0986c08	　穢土濁世苦娑婆　　無始以來造業多	 穢 土 濁 世 苦 娑 婆 無 始 以 來 造 業 多 
X26n0575_002:0986c09	　明宗返悟圓空性　　翻身跳出死生窩	 明 宗 返 悟 圓 空 性 翻 身 跳 出 死 生 窩 
X26n0575_002:0986c10	真實不虗者。是真實法語。非虗華之言。一切諸佛說	真 實 不 虗 者 是 真 實 法 語 非 虗 華 之 言 一切諸佛 說 
X26n0575_002:0986c11	此呪。度脫有情。不是異語。不是謙言。永嘉云。證實相。	此 呪 度 脫 有 情 不 是 異 語 不 是 謙 言 永 嘉 云 證 實 相 
X26n0575_002:0986c12	無人法。剎那滅却阿毗業。凡所有相。皆是虗妄。惟此	無 人 法 剎 那 滅 却 阿 毗 業 凡 所 有 相 皆 是 虗 妄 惟 此 
X26n0575_002:0986c13	無相之相。是真實之相。大千俱壞。此相不壞。因甚不	無 相 之 相 是 真 實 之 相 大 千 俱 壞 此 相 不 壞 因 甚 不 
X26n0575_002:0986c14	壞。道有云。有形終是假。無相是真人。又云百骸俱消	壞 道 有 云 有 形 終 是 假 無 相 是 真 人 又 云 百 骸 俱 消 
X26n0575_002:0986c15	散。一物鎮長靈。道經(度人經)云。元始懸一寶珠(大如黍米)。在空玄之中。	散 一 物 鎮 長 靈 道 經 度 人 經 云 元 始 懸 一 寶 珠 大 如 黍 米 在 空 玄 之 中 
X26n0575_002:0986c16	佛經云。我有無價寶珠。繫在衣裏。日夜推究。忽然見	佛 經 云 我 有 無 價 寶 珠 繫 在 衣 裏 日 夜 推 究 忽 然 見 
X26n0575_002:0986c17	牟尼寶珠。又云。牟尼珠人不識。如來藏裏親收得。然	牟 尼 寶 珠 又 云 牟 尼 珠 人 不 識 如 來 藏 裏 親 收 得 然 
X26n0575_002:0986c18	雖如是。見道易。守道難。要見此珠麼。圓陀陀。光爍爍。	雖 如 是 見 道 易 守 道 難 要 見 此 珠 麼 圓 陀 陀 光 爍 爍 
X26n0575_002:0986c19	轉轆轆。活潑潑。常對面。不可捉。	轉 轆 轆 活 潑 潑 常 對 面 不 可 捉 
X26n0575_002:0986c20	　真實不虗佛流恩　　直指四呪教人行	 真 實 不 虗 佛 流 恩 直 指 四 呪 教 人 行 
X26n0575_002:0986c21	　普天匝地無極道　　十方世界任縱橫	 普 天 匝 地 無 極 道 十方世界 任 縱 橫 
X26n0575_002:0986c22	　我師未明難入理　　不得真傳無投奔	 我 師 未 明 難 入 理 不 得 真 傳 無 投 奔 
X26n0575_002:0986c23	　受了一十三年苦　　推開萬法不納心	 受 了 一 十 三 年 苦 推 開 萬 法 不 納 心 
X26n0575_002:0986c24	　提起空來不放捨　　無邊境界盡參通	 提 起 空 來 不 放 捨 無 邊 境 界 盡 參 通 
X26n0575_002:0987a01	空空還有不空處&;真空元是&;舊家風&;	空 空 還 有 不 空 處 真 空 元 是 舊 家 風 
X26n0575_002:0987a02	不壞身&;	不 壞 身 
X26n0575_002:0987a03	萬聖根&;	萬 聖 根 
X26n0575_002:0987a04	　知因背向歸本地　　燈燈相續一同明	 知 因 背 向 歸 本 地 燈 燈 相 續 一 同 明 
X26n0575_002:0987a05	故說般若波羅蜜多呪者。因修行到此。知般若之功。	故 說 般 若 波羅蜜多 呪 者 因 修 行 到 此 知 般 若 之 功 
X26n0575_002:0987a06	最能最勝最大。此句結前種種方便。具大總持。同歸	最 能 最 勝 最 大 此 句 結 前 種 種 方 便 具 大 總 持 同 歸 
X26n0575_002:0987a07	一心。古云。應觀法界性。一切惟心造。仙真云。善惡存	一 心 古 云 應 觀 法 界 性 一 切 惟 心 造 仙 真 云 善 惡 存 
X26n0575_002:0987a08	亡總在心。大顛云。迷者為含藏識。死後作毒蛇。悟者	亡 總 在 心 大 顛 云 迷 者 為 含 藏 識 死 後 作 毒 蛇 悟 者 
X26n0575_002:0987a09	為秘密神呪。得無生法。如來有密語。迦葉不隱藏。此	為 秘 密 神 呪 得 無 生 法 如 來 有 密 語 迦 葉 不 隱 藏 此 
X26n0575_002:0987a10	神呪。若人專心受持。功行圓滿。常持此呪。鬼神遠離。	神 呪 若 人 專 心 受 持 功 行 圓 滿 常 持 此 呪 鬼 神 遠 離 
X26n0575_002:0987a11	諸天寂聽常懽喜。	諸 天 寂 聽 常 懽 喜 
X26n0575_002:0987a12	般若&;寬&;智慧&;闊&;神通廣大&;	般 若 寬 智 慧 闊 神 通 廣 大 
X26n0575_002:0987a13	海&;深&;變化無窮&;	海 深 變 化 無 窮 
X26n0575_002:0987a14	玄&;妙&;難量難測&;	玄 妙 難 量 難 測 
X26n0575_002:0987a15	清&;靜&;無點微塵&;	清 靜 無 點 微 塵 
X26n0575_002:0987a16	波羅&;得&;彼岸&;到&;守真志滿&;	波 羅 得 彼 岸 到 守 真 志 滿 
X26n0575_002:0987a17	實&;在&;得見無生&;	實 在 得 見 無 生 
X26n0575_002:0987a18	平&;穩&;巍巍不動&;	平 穩 巍 巍 不 動 
X26n0575_002:0987a19	安&;然&;得了深根&;	安 然 得 了 深 根 
X26n0575_002:0987a20	有一箇&;陰陽&;誰&;	有 一 箇 陰 陽 誰 
X26n0575_002:0987a21	三界&;那&;	三 界 那 
X26n0575_002:0987a22	世界&;誰&;	世 界 誰 
X26n0575_002:0987a23	天地&;那&;	天 地 那 
X26n0575_002:0987a24	大千根&;誰&;	大 千 根 誰 
X26n0575_002:0987b01	萬物&;那&;	萬 物 那 
X26n0575_002:0987b02	日月&;誰&;	日 月 誰 
X26n0575_002:0987b03	男女&;那&;	男 女 那 
X26n0575_002:0987b04	五谷&;誰人知道&;	五 谷 誰 人 知 道 
X26n0575_002:0987b05	無當母&;那箇知聞&;	無 當 母 那 箇 知 聞 
X26n0575_002:0987b06	三教母&;誰&;	三 教 母 誰 
X26n0575_002:0987b07	諸佛母&;那&;	諸 佛 母 那 
X26n0575_002:0987b08	藏經母&;誰&;	藏 經 母 誰 
X26n0575_002:0987b09	諸字母&;那&;	諸 字 母 那 
X26n0575_002:0987b10	活彌陀&;誰&;	活 彌 陀 誰 
X26n0575_002:0987b11	活菩薩&;那&;	活 菩 薩 那 
X26n0575_002:0987b12	活神仙&;誰&;	活 神 仙 誰 
X26n0575_002:0987b13	諸佛祖&;那&;	諸 佛 祖 那 
X26n0575_002:0987b14	即說呪曰者。是起根立天地之祖。諸佛之母。窮天地	即 說 呪 曰 者 是 起 根 立 天 地 之 祖 諸 佛 之 母 窮 天 地 
X26n0575_002:0987b15	無更改。萬劫鎮常存。故曰。名為四呪。用心持誦。不離	無 更 改 萬 劫 鎮 常 存 故 曰 名 為 四 呪 用 心 持 誦 不 離 
X26n0575_002:0987b16	左右。順念逆念。世間一切所求。無不隨應。十二時中	左 右 順 念 逆 念 世 間 一 切 所 求 無 不 隨 應 十 二 時 中 
X26n0575_002:0987b17	不可忘却。休教錯認了。諸呪不能比也。萬聖千賢在	不 可 忘 却 休 教 錯 認 了 諸 呪 不 能 比 也 萬 聖 千 賢 在 
X26n0575_002:0987b18	己身。休教昧了本來真。因何苦勸重重舉。一翻提起	己 身 休 教 昧 了 本 來 真 因 何 苦 勸 重 重 舉 一 翻 提 起 
X26n0575_002:0987b19	一翻新。	一 翻 新 
X26n0575_002:0987b20	　即說呪曰細校量　　撥草尋踪識根源	 即 說 呪 曰 細 校 量 撥 草 尋 踪 識 根 源 
X26n0575_002:0987b21	　我今認得真空祖　　普復三千及大千	 我 今 認 得 真 空 祖 普 復 三 千 及 大 千 
X26n0575_002:0987b22	　有用現光不見體　　明空稱讚法中王	 有 用 現 光 不 見 體 明 空 稱 讚 法 中 王 
X26n0575_002:0987b23	陰陽二氣&;空裏現&;真空元是法中王&;	陰 陽 二 氣 空 裏 現 真 空 元 是 法 中 王 
X26n0575_002:0987b24	天地乾坤&;	天 地 乾 坤 
X26n0575_002:0987c01	日月星辰&;	日 月 星 辰 
X26n0575_002:0987c02	山河天地&;	山 河 天 地 
X26n0575_002:0987c03	草木叢林&;	草 木 叢 林 
X26n0575_002:0987c04	古聖先賢&;	古 聖 先 賢 
X26n0575_002:0987c05	地水火風&;	地水火風 
X26n0575_002:0987c06	四時八節&;	四 時 八 節 
X26n0575_002:0987c07	五谷田苗&;	五 谷 田 苗 
X26n0575_002:0987c08	綾羅布絹&;空裏現&;真空元是法中王&;	綾 羅 布 絹 空 裏 現 真 空 元 是 法 中 王 
X26n0575_002:0987c09	金銀財寶&;	金 銀 財 寶 
X26n0575_002:0987c10	珍饈百味&;	珍 饈 百 味 
X26n0575_002:0987c11	揭諦揭諦者。人空法空。人法俱空。二空全忘也。道云。	揭 諦 揭 諦 者 人 空 法 空 人 法 俱 空 二 空 全 忘 也 道 云 
X26n0575_002:0987c12	身心不動之後。復有無極真機。洞山云。人牛不見杳	身 心 不 動 之 後 復 有 無 極 真 機 洞 山 云 人 牛 不 見 杳 
X26n0575_002:0987c13	無踪。月色光含萬象空。且人空者。只是教人忘形忘	無 踪 月 色 光 含 萬 象 空 且 人 空 者 只 是 教 人 忘 形 忘 
X26n0575_002:0987c14	體。法空者。只是教人忘情忘念。萬法俱損。善惡俱敗。	體 法 空 者 只 是 教 人 忘 情 忘 念 萬 法 俱 損 善 惡 俱 敗 
X26n0575_002:0987c15	不執己身。不著於相。忽然外不知有己身。內不知有	不 執 己 身 不 著 於 相 忽 然 外 不 知 有 己 身 內 不 知 有 
X26n0575_002:0987c16	己心。遠不知有諸物。到這裡。脫體全忘。自然有箇受	己 心 遠 不 知 有 諸 物 到 這 裡 脫 體 全 忘 自 然 有 箇 受 
X26n0575_002:0987c17	用處。皆是自然之理也。	用 處 皆 是 自 然 之 理 也 
X26n0575_002:0987c18	　揭諦揭諦人法空　　兩頭不執休住心	 揭 諦 揭 諦 人 法 空 兩 頭 不 執 休 住 心 
X26n0575_002:0987c19	　一物不定為玄妙　　萬境難拘義消停	 一 物 不 定 為 玄 妙 萬 境 難 拘 義 消 停 
X26n0575_002:0987c20	真空無踪形有相&;告白知因體順情&;	真 空 無 踪 形 有 相 告 白 知 因 體 順 情 
X26n0575_002:0987c21	箇裏本無元字脚&;	箇 裏 本 無 元 字 脚 
X26n0575_002:0987c22	本來面目難猫畫&;	本 來 面 目 難 猫 畫 
X26n0575_002:0987c23	　我順人情天不祐　　你順人情滅教門	 我 順 人 情 天 不 祐 你 順 人 情 滅 教 門 
X26n0575_002:0987c24	　大家到頭無好處　　閉了賢門無投奔	 大 家 到 頭 無 好 處 閉 了 賢 門 無 投 奔 
