T85n2902_001:1435c08	法句經疏	法 句 經 疏 
T85n2902_001:1442a13	悲。拔苦與樂。曉示深法。令修解行。令得此	悲 拔 苦 與 樂 曉 示 深 法 令 修 解 行 令 得 此 
T85n2902_001:1442a14	身并聞正法。並是善友功能。非我自力。故言	身 并 聞 正 法 並 是 善 友 功 能 非 我 自 力 故 言 
T85n2902_001:1442a15	自念我身乃至如是遇者善知識力非我力能	自 念 我 身 乃 至 如 是 遇 者 善 知 識 力 非 我 力 能 
T85n2902_001:1442a16	也。第二正荷恩深。浩天罔極。無始違背無惡	也 第 二 正 荷 恩 深 浩 天 罔 極 無 始 違 背 無 惡 
T85n2902_001:1442a17	不造。未曾一報。順教修行。傷已迷深。所以	不 造 未 曾 一 報 順 教 修 行 傷 已 迷 深 所 以 
T85n2902_001:1442a18	重復悲號。文中初法。次喻。故言從本已來未	重 復 悲 號 文 中 初 法 次 喻 故 言 從 本 已 來 未 
T85n2902_001:1442a19	曾報恩乃至死而復蘇也。寶明既自傷已迷悲	曾 報 恩 乃 至 死 而 復 蘇 也 寶 明 既 自 傷 已 迷 悲 
T85n2902_001:1442a20	號。若是今時學者亦復須然。無始已來恒蒙	號 若 是 今 時 學 者 亦 復 須 然 無始已來 恒 蒙 
T85n2902_001:1442a21	三保慈悲。示教利善方獲道器之身。聞法造	三 保 慈 悲 示 教 利 善 方 獲 道 器 之 身 聞 法 造 
T85n2902_001:1442a22	修。創始發心。先須知恩報德。順教修行稱可	修 創 始 發 心 先 須 知 恩 報 德 順 教 修 行 稱 可 
T85n2902_001:1442a23	聖心。則為修法供養也。自下第三世尊悲念。	聖 心 則 為 修 法 供 養 也 自 下 第 三 世 尊 悲 念 
T85n2902_001:1442a24	振動大千亦為後念召集之端也。自下第二	振 動 大 千 亦 為 後 念 召 集 之 端 也 自 下 第 二 
T85n2902_001:1442a25	會說法。但眾生識無感悟有時。理不虛。應導	會 說 法 但 眾 生 識 無 感 悟 有 時 理 不 虛 應 導 
T85n2902_001:1442a26	師弗失。上來說法一周傷嘆。寶明異域同聞	師 弗 失 上 來 說 法 一 周 傷 嘆 寶 明 異 域 同 聞 
T85n2902_001:1442a27	有緣方集也。文中有三。初明普光大眾都事	有 緣 方 集 也 文 中 有 三 初 明 普 光 大 眾 都 事 
T85n2902_001:1442a28	興念故來聽法。并事善友。第二於是普光知	興 念 故 來 聽 法 并 事 善 友 第 二 於 是 普 光 知 
T85n2902_001:1442a29	大眾意。已下正明對機說授教事。善知識法。	大 眾 意 已 下 正 明 對 機 說 授 教 事 善 知 識 法 
T85n2902_001:1442b01	前文有四。初明因事興請為聽法之由。第二	前 文 有 四 初 明 因 事 興 請 為 聽 法 之 由 第 二 
T85n2902_001:1442b02	寶相佛言已下述其所請勅令速往。三明普	寶 相 佛 言 已 下 述 其 所 請 勅 令 速 往 三 明 普 
T85n2902_001:1442b03	光大眾蒙遂所期咸來詣佛。第四世尊慰問	光 大 眾 蒙 遂 所 期 咸 來 詣 佛 第 四 世 尊 慰 問 
T85n2902_001:1442b04	也。前中復四。初明釋迦慈念動地所及。二明	也 前 中 復 四 初 明 釋 迦 慈 念 動 地 所 及 二 明 
T85n2902_001:1442b05	普光覩瑞陳疑請問。第三彼佛正答現瑞所	普 光 覩 瑞 陳 疑 請 問 第 三 彼 佛 正 答 現 瑞 所 
T85n2902_001:1442b06	由。第四蒙決所疑情生渴仰。遂請欲來聞此	由 第 四 蒙 決 所 疑 情 生 渴 仰 遂 請 欲 來 聞 此 
T85n2902_001:1442b07	事友。故言與此大眾乃至并聞正法也。第三	事 友 故 言 與 此 大 眾 乃 至 并 聞 正 法 也 第 三 
T85n2902_001:1442b08	詣佛中有六子句。初明普光既至。為物居空	詣 佛 中 有 六 子 句 初 明 普 光 既 至 為 物 居 空 
T85n2902_001:1442b09	意示遠來求法。勸彼初學之心。二彰善友功	意 示 遠 來 求 法 勸 彼 初 學 之 心 二 彰 善 友 功 
T85n2902_001:1442b10	能普周無外也。第三寶明覩事興請。第四如	能 普 周 無 外 也 第 三 寶 明 覩 事 興 請 第 四 如 
T85n2902_001:1442b11	來正答。第五眾情忻踴嚴儀待佛。下明普光	來 正 答 第 五 眾 情 忻 踴 嚴 儀 待 佛 下 明 普 光 
T85n2902_001:1442b12	雨花遶佛方立也。下世尊慰問中復五。初正	雨 花 遶 佛 方 立 也 下 世 尊 慰 問 中 復 五 初 正 
T85n2902_001:1442b13	慰問。第二普光酬答。第三文殊問其來意。第	慰 問 第 二 普 光 酬 答 第 三 文 殊 問 其 來 意 第 
T85n2902_001:1442b14	四普光答。第五文殊申眾渴仰催令速問也。	四 普 光 答 第 五 文 殊 申 眾 渴 仰 催 令 速 問 也 
T85n2902_001:1442b15	初云汝之世尊氣力安不者。但諸佛積行圓	初 云 汝 之 世 尊 氣 力 安 不 者 但 諸 佛 積 行 圓 
T85n2902_001:1442b16	滿。正習俱亡。萬德皆備。何速之。又如來隨	滿 正 習 俱 亡 萬 德 皆 備 何 速 之 又 如 來 隨 
T85n2902_001:1442b17	順世俗歲寒之儀。故問之也。自下大文第二	順 世 俗 歲 寒 之 儀 故 問 之 也 自 下 大 文 第 二 
T85n2902_001:1442b18	對機說授中有三。初普光申請。第二如來善	對 機 說 授 中 有 三 初 普 光 申 請 第 二 如 來 善 
T85n2902_001:1442b19	其所問勅聽深說。第三正說。前中初普光	其 所 問 勅 聽 深 說 第 三 正 說 前 中 初 普 光 
T85n2902_001:1442b20	嘆法深妙。善友難儀。自陳德節。非己所解。	嘆 法 深 妙 善 友 難 儀 自 陳 德 節 非 己 所 解 
T85n2902_001:1442b21	第二如佛前下牒答興請。正問親近善知識	第 二 如 佛 前 下 牒 答 興 請 正 問 親近善知識 
T85n2902_001:1442b22	法。並如文也。下正說中有二。初說善知識。	法 並 如 文 也 下 正 說 中 有 二 初 說 善 知 識 
T85n2902_001:1442b23	第二爾時世尊已下次為說法。前中復二。初	第 二 爾 時 世 尊 已 下 次 為 說 法 前 中 復 二 初 
T85n2902_001:1442b24	說善友功力令其慕德修恭。第二若有智者	說 善 友 功 力 令 其 慕 德 修 恭 第 二 若 有 智 者 
T85n2902_001:1442b25	已下。正明事友儀式。初中有三。初總嘆。第	已 下 正 明 事 友 儀 式 初 中 有 三 初 總 嘆 第 
T85n2902_001:1442b26	二別釋。第三結也。前中總明善友功能。洞	二 別 釋 第 三 結 也 前 中 總 明 善 友 功 能 洞 
T85n2902_001:1442b27	閑深法。了達貪欲嗔恚及眾塵勞。並從緣生。	閑 深 法 了 達 貪 欲 嗔 恚 及 眾 塵 勞 並 從 緣 生 
T85n2902_001:1442b28	無有實法。如幻如夢。畢竟是空。故無行經	無 有 實 法 如幻如夢 畢 竟 是 空 故 無 行 經 
T85n2902_001:1442b29	言。貪嗔癡如幻。幻不異三毒。凡夫強分別	言 貪 嗔 癡 如 幻 幻 不 異 三 毒 凡 夫 強 分 別 
T85n2902_001:1442c01	我貪我嗔恚。善友慈悲愍念眾生。無始已來	我 貪 我 嗔 恚 善 友 慈 悲 愍 念 眾 生 無始已來 
T85n2902_001:1442c02	為之疲勞。今教觀察悟達本無。資成觀智長	為 之 疲 勞 今 教 觀 察 悟 達 本 無 資 成 觀 智 長 
T85n2902_001:1442c03	養眾德。故言能令汝等乃至不起一心得大	養 眾 德 故 言 能 令 汝 等 乃 至 不 起 一 心 得 大 
T85n2902_001:1442c04	功德也。自下別中有六。皆初喻。後合。初之	功 德 也 自 下 別 中 有 六 皆 初 喻 後 合 初 之 
T85n2902_001:1442c05	兩喻正明善友悲。凡弘深救物為念。即顯利	兩 喻 正 明 善 友 悲 凡 弘 深 救 物 為 念 即 顯 利 
T85n2902_001:1442c06	他之德。第二一文明善餌法藥芸除惱病。彰自	他 之 德 第 二 一 文 明 善 餌 法 藥 芸 除 惱 病 彰 自 
T85n2902_001:1442c07	利德也。第三喻明悲智德滿善能利物。所度	利 德 也 第 三 喻 明 悲 智 德 滿 善 能 利 物 所 度 
T85n2902_001:1442c08	眾生依之獲益也。前中有二。初一喻正明願	眾 生 依 之 獲 益 也 前 中 有 二 初 一 喻 正 明 願 
T85n2902_001:1442c09	心寬遠濟物圓極。文中初喻。次合。故言以大	心 寬 遠 濟 物 圓 極 文 中 初 喻 次 合 故 言 以 大 
T85n2902_001:1442c10	願船運載汝等到涅槃岸也。自下第二次喻。	願 船 運 載 汝 等 到 涅 槃 岸 也 自 下 第 二 次 喻 
T85n2902_001:1442c11	行窮善巧悲心普洽也。然行之乞願二事相	行 窮 善 巧 悲 心 普 洽 也 然 行 之 乞 願 二 事 相 
T85n2902_001:1442c12	須闕一不可。若有願無行。其願云虛。有行無	須 闕 一 不 可 若 有 願 無 行 其 願 云 虛 有 行 無 
T85n2902_001:1442c13	願。其行則孤。願行相扶。方是大人之謂。故前	願 其 行 則 孤 願 行 相 扶 方 是 大 人 之 謂 故 前 
T85n2902_001:1442c14	明願。次須辨行也。文中初喻。次合。但路遊	明 願 次 須 辨 行 也 文 中 初 喻 次 合 但 路 遊 
T85n2902_001:1442c15	峻嶮要依智者方越。鎧仗防敵。車馬遠進。人	峻 嶮 要 依 智 者 方 越 鎧 仗 防 敵 車 馬 遠 進 人 
T85n2902_001:1442c16	物俱安。眾禍不累。故言恃託一人善於伎藝	物 俱 安 眾 禍 不 累 故 言 恃 託 一 人 善 於 伎 藝 
T85n2902_001:1442c17	乃至得達無難。藝者六藝。謂書數射御禮樂	乃 至 得 達 無 難 藝 者 六 藝 謂 書 數 射 御 禮 樂 
T85n2902_001:1442c18	也。下合喻。生死絕難事同嶮路。行者將過	也 下 合 喻 生 死 絕 難 事 同 嶮 路 行 者 將 過 
T85n2902_001:1442c19	亦依智人方便。所行六度究竟圓滿。契本法	亦 依 智 人 方 便 所 行 六 度 究 竟 圓 滿 契 本 法 
T85n2902_001:1442c20	身德用自在。慈悲外拔防護眾生。識欲知報	身 德 用 自 在 慈 悲 外 拔 防 護 眾 生 識 欲 知 報 
T85n2902_001:1442c21	利益無到。利故得遠逾生死諸難不及。故言	利 益 無 到 利 故 得 遠 逾 生 死 諸 難 不 及 故 言 
T85n2902_001:1442c22	善識如是法身壯大乃至離於三途生死難	善 識 如 是 法 身 壯 大 乃 至 離 於 三 途 生 死 難 
T85n2902_001:1442c23	也。下第二明自利德。如人衣寶服天甘露衣	也 下 第 二 明 自 利 德 如 人 衣 寶 服 天 甘 露 衣 
T85n2902_001:1442c24	無夭命之憂。善友亦爾。恒修智寶以自防心。	無 夭 命 之 憂 善 友 亦 爾 恒 修 智 寶 以 自 防 心 
T85n2902_001:1442c25	服餌真如一味之藥。煩惱雲消逾增惠命。故	服 餌 真 如 一 味 之 藥 煩 惱 雲 消 逾 增 惠 命 故 
T85n2902_001:1442c26	言善友亦能服於法藥消煩惱病惠命無窮	言 善 友 亦 能 服 於 法 藥 消 煩 惱 病 惠 命 無 窮 
T85n2902_001:1442c27	也。自下三喻明依之報安。初明獸中王也。其	也 自 下 三 喻 明 依 之 報 安 初 明 獸 中 王 也 其 
T85n2902_001:1442c28	唯師子依行空曠。則諸惡獸眾不能傷害。依	唯 師 子 依 行 空 曠 則 諸 惡 獸 眾 不 能 傷 害 依 
T85n2902_001:1442c29	友處深亦復如是。若有依者遊塵勞中亦無	友 處 深 亦復如是 若 有 依 者 遊 塵 勞 中 亦 無 
T85n2902_001:1443a01	所畏。下第二明須彌寶山高而且廣。八風漂	所 畏 下 第 二 明 須 彌 寶 山 高 而 且 廣 八 風 漂 
T85n2902_001:1443a02	鼓未傾其志。善友亦然。證理究竟固而難動。	鼓 未 傾 其 志 善 友 亦 然 證 理 究 竟 固 而 難 動 
T85n2902_001:1443a03	依之修習世等人法。豈能傾動也。故言善友	依 之 修 習 世 等 人 法 豈 能 傾 動 也 故 言 善 友 
T85n2902_001:1443a04	亦爾乃至不能吹動也。下第三明金翅鳥王。	亦 爾 乃 至 不 能 吹 動 也 下 第 三 明 金翅鳥王 
T85n2902_001:1443a05	其力雄猛。龍威雖大尚非所擬。依之涉難。何	其 力 雄 猛 龍 威 雖 大 尚 非 所 擬 依 之 涉 難 何 
T85n2902_001:1443a06	慮危害。善友亦然。諸魔外道雖復熾盛。朗	慮 危 害 善 友 亦 然 諸 魔 外 道 雖 復 熾 盛 朗 
T85n2902_001:1443a07	智一擬邪徒自息。故言乃至不畏諸魔外道	智 一 擬 邪 徒 自 息 故 言 乃 至 不 畏 諸 魔 外 道 
T85n2902_001:1443a08	之難也。第四總結。如文也。	之 難 也 第 四 總 結 如 文 也 
T85n2902_001:1443a09	自下第二事友儀式。於中有二。初明斷或修	自 下 第 二 事 友 儀 式 於 中 有 二 初 明 斷 或 修 
T85n2902_001:1443a10	證功。由善友開導。隨逐詣捨身命。相續累	證 功 由 善 友 開 導 隨 逐 詣 捨 身 命 相 續 累 
T85n2902_001:1443a11	劫未報善友須臾之恩。況復身外所有財屬	劫 未 報 善 友 須 臾 之 恩 況 復 身 外 所 有 財 屬 
T85n2902_001:1443a12	五家。又是罪本妻子是若復是深因。豈得戀	五 家 又 是 罪 本 妻 子 是 若 復 是 深 因 豈 得 戀 
T85n2902_001:1443a13	惜自墜長幽。故言何況揣財乃至而得悋惜	惜 自 墜 長 幽 故 言 何 況 揣 財 乃 至 而 得 悋 惜 
T85n2902_001:1443a14	也。二明大人善巧利物多端不可覩相。妄見	也 二 明 大 人 善 巧 利 物 多 端 不 可 覩 相 妄 見 
T85n2902_001:1443a15	是非自增。或累障修聖道。但自知眼翳不能	是 非 自 增 或 累 障 修 聖 道 但 自 知 眼 翳 不 能 
T85n2902_001:1443a16	分別。勿得生疑徒自妨道。文中初勸。次釋。	分 別 勿 得 生 疑 徒 自 妨 道 文 中 初 勸 次 釋 
T85n2902_001:1443a17	後結。故言若善知識諸有所作乃至應斷疑	後 結 故 言 若 善 知 識 諸 有 所 作 乃 至 應 斷 疑 
T85n2902_001:1443a18	心也。	心 也 
T85n2902_001:1443a19	自下第二說法中曲有節四。初普光牒問深	自 下 第 二 說 法 中 曲 有 節 四 初 普 光 牒 問 深 
T85n2902_001:1443a20	法請其正受之儀。二明所說理深。大根方悟。	法 請 其 正 受 之 儀 二 明 所 說 理 深 大 根 方 悟 
T85n2902_001:1443a21	小心迫迮。非其所受。如來正答顯法殊勝。第	小 心 迫 迮 非 其 所 受 如 來 正 答 顯 法 殊 勝 第 
T85n2902_001:1443a22	三普光重請。第四如來偈誦酬答。於中二十	三 普 光 重 請 第 四 如 來 偈 誦 酬 答 於 中 二 十 
T85n2902_001:1443a23	四偈。分之為三。初十八偈正說其法。第二一	四 偈 分 之 為 三 初 十 八 偈 正 說 其 法 第 二 一 
T85n2902_001:1443a24	偈勸近善友。第三五偈明起說所由嘆教功	偈 勸 近 善 友 第 三 五 偈 明 起 說 所 由 嘆 教 功 
T85n2902_001:1443a25	能。前文有二。初九行偈說理法。第二九偈說	能 前 文 有 二 初 九 行 偈 說 理 法 第 二 九 偈 說 
T85n2902_001:1443a26	行法也。前中復二。初明萬法平等性恒不動。	行 法 也 前 中 復 二 初 明 萬 法平等性 恒 不 動 
T85n2902_001:1443a27	即說名所自法。第三偈說名字性空。即是能	即 說 名 所 自 法 第 三 偈 說 名 字 性 空 即 是 能 
T85n2902_001:1443a28	自名也。前中初總。次別。總中上半勅聽明	自 名 也 前 中 初 總 次 別 總 中 上 半 勅 聽 明 
T85n2902_001:1443a29	說當其理簡異隨宜之教。故言我今如實說	說 當 其 理 簡 異 隨 宜 之 教 故 言 我 今 如 實 說 
T85n2902_001:1443b01	也。下明法性無動本來寂滅。動名為執。謂住	也 下 明 法 性 無 動 本 來 寂 滅 動 名 為 執 謂 住 
T85n2902_001:1443b02	生住滅。定有定無故。能緣生令動分別之心	生 住 滅 定 有 定 無 故 能 緣 生 令 動 分 別 之 心 
T85n2902_001:1443b03	故名動。然萬法緣生離生離滅。有無皆空。措	故 名 動 然 萬 法 緣 生 離 生 離 滅 有 無 皆 空 措 
T85n2902_001:1443b04	情無地。故言不動也。故花首經言。眾緣所	情 無 地 故 言 不 動 也 故 花 首 經 言 眾 緣 所 
T85n2902_001:1443b05	生法。我說即是空。亦為是假名。亦是中道	生 法 我 說 即 是 空 亦 為 是 假 名 亦 是 中 道 
T85n2902_001:1443b06	義。未曾有一法。不從眾緣生。是故一切法。無	義 未 曾 有 一 法 不 從 眾 緣 生 是 故 一 切 法 無 
T85n2902_001:1443b07	不是空者。自下別中有三。初明法空。二明眾	不 是 空 者 自 下 別 中 有 三 初 明 法 空 二 明 眾 
T85n2902_001:1443b08	生空。第三雙結也。前中初多偈明貪嗔等或。	生 空 第 三 雙 結 也 前 中 初 多 偈 明 貪 嗔 等 或 
T85n2902_001:1443b09	從緣性空即是法性之身。一切諸佛證之成	從 緣 性 空 即 是 法 性 之 身 一切諸佛 證 之 成 
T85n2902_001:1443b10	德。初偈上三句明成德。第四句釋已心由法	德 初 偈 上 三 句 明 成 德 第 四 句 釋 已 心 由 法 
T85n2902_001:1443b11	性自爾。迷即是凡。悟即成聖。若理亦不然。則	性 自 爾 迷 即 是 凡 悟 即 成 聖 若 理 亦 不 然 則 
T85n2902_001:1443b12	聖無此力。當知法性本來不動也。下明五蓋	聖 無 此 力 當 知 法 性 本 來 不 動 也 下 明 五 蓋 
T85n2902_001:1443b13	五欲義。同前釋也。次一偈明淫欲邪見。九結	五 欲 義 同 前 釋 也 次 一 偈 明 淫 欲 邪 見 九 結 
T85n2902_001:1443b14	十使皆無體。實即是解脫涅槃也。次一偈明	十 使 皆 無 體 實 即 是 解 脫 涅 槃 也 次 一 偈 明 
T85n2902_001:1443b15	染淨性空無有兩體。達染無生即便為淨德。	染 淨 性 空 無 有 兩 體 達 染 無 生 即 便 為 淨 德 
T85n2902_001:1443b16	譬如高原之地不生蓮花。卑濕淤泥乃生此	譬 如 高 原 之 地 不 生 蓮 花 卑 濕 淤 泥 乃 生 此 
T85n2902_001:1443b17	花。故言常處於三毒長養於白法。次一偈明	花 故 言 常 處 於 三 毒 長 養 於 白 法 次 一 偈 明 
T85n2902_001:1443b18	是非屬情法性無二。如有兩人互相是非。此	是 非 屬 情 法 性 無 二 如 有 兩 人 互 相 是 非 此 
T85n2902_001:1443b19	則以彼為非。自取其是。彼復自是。以非於此。	則 以 彼 為 非 自 取 其 是 彼 復 自 是 以 非 於 此 
T85n2902_001:1443b20	此若定是非則非於是。彼若定非是則是於	此 若 定 是 非 則 非 於 是 彼 若 定 非 是 則 是 於 
T85n2902_001:1443b21	非。是非則無非。可非非是。又無是可是。無是	非 是 非 則 無 非 可 非 非 是 又 無 是 可 是 無 是 
T85n2902_001:1443b22	可是雖是而無是。無非可非雖非而無非。雖	可 是 雖 是 而 無 是 無 非 可 非 雖 非 而 無 非 雖 
T85n2902_001:1443b23	不是於是非亦不離於是非。可謂法性無住而	不 是 於 是 非 亦 不 離 於 是 非 可 謂 法 性 無 住 而 
T85n2902_001:1443b24	無所。是故則無所不是。無所不是則是而無	無 所 是 故 則 無 所 不 是 無 所 不 是 則 是 而 無 
T85n2902_001:1443b25	是。彼此難定乎一切是非。何為不寂也。文中	是 彼 此 難 定 乎 一 切 是 非 何 為 不 寂 也 文 中 
T85n2902_001:1443b26	上半牒法無是無非。下明是非性滅本無所	上 半 牒 法 無 是 無 非 下 明 是 非 性 滅 本 無 所 
T85n2902_001:1443b27	動。自下第三偈明眾生空。上三句明空。第四	動 自 下 第 三 偈 明 眾 生 空 上 三 句 明 空 第 四 
T85n2902_001:1443b28	句釋。但名色與識更相依起顯現。以生未曾	句 釋 但 名 色 與 識 更 相 依 起 顯 現 以 生 未 曾 
T85n2902_001:1443b29	有實。離有離無。不生不滅。自體恒寂。即是涅	有 實 離有離無 不生不滅 自 體 恒 寂 即 是 涅 
T85n2902_001:1443c01	槃也。亦可眾故非生。生故不滅。但言眾生即	槃 也 亦 可 眾 故 非 生 生 故 不 滅 但 言 眾 生 即 
T85n2902_001:1443c02	離生離滅。故言一切眾生實無有生滅。何者	離 生 離 滅 故 言 一 切 眾 生 實 無 有 生 滅 何 者 
T85n2902_001:1443c03	但陰陰相依。自體非有眾故非生依。即恒持	但 陰 陰 相 依 自 體 非 有 眾 故 非 生 依 即 恒 持 
T85n2902_001:1443c04	非無故不滅。何得不生。況無生無滅。則生是	非 無 故 不 滅 何 得 不 生 況 無生無滅 則 生 是 
T85n2902_001:1443c05	空生。滅是空滅。生滅既空。豈非寂滅也。故言	空 生 滅 是 空 滅 生 滅 既 空 豈 非 寂 滅 也 故 言 
T85n2902_001:1443c06	生滅即涅槃本來無所動也。下第三一偈雙	生 滅 即 涅 槃 本 來 無 所 動 也 下 第 三 一 偈 雙 
T85n2902_001:1443c07	結。上半牒結。下明萬法緣生性相皆空也。下	結 上 半 牒 結 下 明 萬 法 緣 生 性 相 皆 空 也 下 
T85n2902_001:1443c08	第二明名字空。上半正明名離有無。下明寂	第 二 明 名 字 空 上 半 正 明 名 離 有 無 下 明 寂 
T85n2902_001:1443c09	滅空也。第三名字空。上半正明名離有無。下	滅 空 也 第 三 名 字 空 上 半 正 明 名 離 有 無 下 
T85n2902_001:1443c10	明寂滅。此義云何。且如堂象多人聚外有一	明 寂 滅 此義云何 且 如 堂 象 多 人 聚 外 有 一 
T85n2902_001:1443c11	人。久不相識。具錄眾名付之令認。雖復執名	人 久 不 相 識 具 錄 眾 名 付 之 令 認 雖 復 執 名 
T85n2902_001:1443c12	求法竟不相應。故智名非定有。而復稱之以	求 法 竟 不 相 應 故 智 名 非 定 有 而 復 稱 之 以 
T85n2902_001:1443c13	名不差非。復定無。然有非定有。不可為有。無	名 不 差 非 復 定 無 然 有 非 定 有 不 可 為 有 無 
T85n2902_001:1443c14	不定無。不可為無。有無不實。從本皆如。故云	不 定 無 不 可 為 無 有 無 不 實 從 本 皆 如 故 云 
T85n2902_001:1443c15	俱同一寂滅也。亦可名之與義互相依持。各	俱 同 一 寂 滅 也 亦 可 名 之 與 義 互 相 依 持 各 
T85n2902_001:1443c16	離有無。故言俱寂滅也。下第二說行法中有	離 有 無 故 言 俱 寂 滅 也 下 第 二 說 行 法 中 有 
T85n2902_001:1443c17	二。初明依理起行。第二偈結勸修行。前中明	二 初 明 依 理 起 行 第 二 偈 結 勸 修 行 前 中 明 
T85n2902_001:1443c18	施亦行。文即為六。初一偈明施行。上半明三	施 亦 行 文 即 為 六 初 一 偈 明 施 行 上 半 明 三 
T85n2902_001:1443c19	事空。下明福無定實。良以能施心所施物。及	事 空 下 明 福 無 定 實 良 以 能 施 心 所 施 物 及 
T85n2902_001:1443c20	以前因三事具之方生施因。更相依持究之無	以 前 因 三 事 具 之 方 生 施 因 更 相 依 持 究 之 無 
T85n2902_001:1443c21	實福從而生。烏可得也。故云施福如野馬。次	實 福 從 而 生 烏 可 得 也 故 云 施 福 如 野 馬 次 
T85n2902_001:1443c22	一偈明戒藉緣生。又無持者。因緣生法滅諸	一 偈 明 戒 藉 緣 生 又 無 持 者 因緣生法 滅 諸 
T85n2902_001:1443c23	戲論。若言我能持戒。是所持能所定執斯為	戲 論 若 言 我 能 持 戒 是 所 持 能 所 定 執 斯 為 
T85n2902_001:1443c24	倒矣。文中三句明戒性空。下句明持者為倒。	倒 矣 文 中 三 句 明 戒 性 空 下 句 明 持 者 為 倒 
T85n2902_001:1443c25	今明稱性興行違則成倒。非謂默爾專為非	今 明 稱 性 興 行 違 則 成 倒 非 謂 默 爾 專 為 非 
T85n2902_001:1443c26	法。餘行亦然。今明忍行。上半牒其情。此唯八	法 餘 行 亦 然 今 明 忍 行 上 半 牒 其 情 此 唯 八 
T85n2902_001:1443c27	為實。對之行忍。下明知嗔等炎忍無所忍。正	為 實 對 之 行 忍 下 明 知 嗔 等 炎 忍 無 所 忍 正 
T85n2902_001:1443c28	明依理起行。何者嗔惱之生無定所。從賴心	明 依 理 起 行 何 者 嗔 惱 之 生 無 定 所 從 賴 心 
T85n2902_001:1443c29	依境始方得起。若唯心無境嗔不自生。但境	依 境 始 方 得 起 若 唯 心 無 境 嗔 不 自 生 但 境 
T85n2902_001:1444a01	無心亦無得起。既心境無能。又無共法。內外	無 心 亦 無 得 起 既 心 境 無 能 又 無 共 法 內 外 
T85n2902_001:1444a02	推求。覓無起者。嗔尚無實。忍何所忍了境無	推 求 覓 無 起 者 嗔 尚 無 實 忍 何 所 忍 了 境 無 
T85n2902_001:1444a03	實。嗔性自無。此則名為法忍。思惟解忍。故	實 嗔 性 自 無 此 則 名 為 法 忍 思 惟 解 忍 故 
T85n2902_001:1444a04	言知嗔等湯炎忍亦無所忍也。下偈明精進。	言 知 嗔 等 湯 炎 忍 亦 無 所 忍 也 下 偈 明 精 進 
T85n2902_001:1444a05	初一偈半明說所為。但未得謂得。名增上慢。	初 一 偈 半 明 說 所 為 但 未 得 謂 得 名 增 上 慢 
T85n2902_001:1444a06	佛為此人說涅槃大果。非精進不剋。然眾生	佛 為 此 人 說 涅 槃 大 果 非 精 進 不 剋 然 眾 生 
T85n2902_001:1444a07	存有所得。斯並虛妄。何精進故也。云若起	存 有 所 得 斯 並 虛 妄 何 精 進 故 也 云 若 起 
T85n2902_001:1444a08	精心是妄非精也。下半偈次明智者了知生	精 心 是 妄 非 精 也 下 半 偈 次 明 智 者 了 知 生 
T85n2902_001:1444a09	死涅槃因緣幻起。從本一如究竟空寂。故大	死 涅 槃 因 緣 幻 起 從 本 一 如 究 竟 空 寂 故 大 
T85n2902_001:1444a10	品云。縱令有法過於此者尚談如幻。何況涅	品 云 縱 令 有 法 過 於 此 者 尚 談 如 幻 何 況 涅 
T85n2902_001:1444a11	槃是則心外無法。竟無所得。法外無心。復無	槃 是 則 心 外 無 法 竟 無 所 得 法 外 無 心 復 無 
T85n2902_001:1444a12	能得所。平等進而無懈行。合理成不可以限	能 得 所 平 等 進 而 無 懈 行 合 理 成 不 可 以 限 
T85n2902_001:1444a13	而為量。故言若能心不妄精進無有崖也。下	而 為 量 故 言 若 能 心 不 妄 精 進 無 有 崖 也 下 
T85n2902_001:1444a14	明定行。上半牒其事。定明有紛動之過。下釋	明 定 行 上 半 牒 其 事 定 明 有 紛 動 之 過 下 釋 
T85n2902_001:1444a15	所由。但存境住心。繫相修定。此乃心境紛然	所 由 但 存 境 住 心 繫 相 修 定 此 乃 心 境 紛 然 
T85n2902_001:1444a16	動而非靜。未若知心無起性恒寂滅。不見心	動 而 非 靜 未 若 知 心 無 起 性 恒 寂 滅 不 見 心 
T85n2902_001:1444a17	相方為正定。下兩偈明慧行。但萬法平等非	相 方 為 正 定 下 兩 偈 明 慧 行 但 萬 法 平 等 非 
T85n2902_001:1444a18	定一異。一則是常異。住是斷。斷常二執愚	定 一 異 一 則 是 常 異 住 是 斷 斷 常 二 執 愚 
T85n2902_001:1444a19	者所為。智者深悟。豈存一異。初偈明多依一	者 所 為 智 者 深 悟 豈 存 一 異 初 偈 明 多 依 一 
T85n2902_001:1444a20	成則千萬不多。千萬若多何得言一一千一萬	成 則 千 萬 不 多 千 萬 若 多 何 得 言 一 一 千 一 萬 
T85n2902_001:1444a21	乃至一阿僧祇。故言參羅及萬像一法之所	乃 至 一 阿 僧 祇 故 言 參 羅 及 萬 像 一 法 之 所 
T85n2902_001:1444a22	印。又以一足一置同前一。何得言二。又一	印 又 以 一 足 一 置 同 前 一 何 得 言 二 又 一 
T85n2902_001:1444a23	同前而言二者。初亦應二。何獨言亦理。既如	同 前 而 言 二 者 初 亦 應 二 何 獨 言 亦 理 既 如 
T85n2902_001:1444a24	此乃至無量數亦同然。故智度論言。初數為	此 乃 至 無 量 數 亦 同 然 故 智 度 論 言 初 數 為 
T85n2902_001:1444a25	一。但有一一。一故二。如是皆一更無餘數。	一 但 有 一 一 一 故 二 如 是 皆 一 更 無 餘 數 
