X88n1658_001:0421a03	 諸天傳序	 諸 天 傳 序 
X88n1658_001:0428a16	免念動。則傾覆世界耳。既居十地。統攝大千。雖無號	免 念 動 則 傾 覆 世 界 耳 既 居 十 地 統 攝 大 千 雖 無 號 
X88n1658_001:0428a17	令。而有形色中此天獨尊。故當崇敬。以仰威靈。儻指	令 而 有 形 色 中 此 天 獨 尊 故 當 崇 敬 以 仰 威 靈 儻 指 
X88n1658_001:0428a18	為三目藥叉。則其陋矣。讚曰。	為 三 目 藥 叉 則 其 陋 矣 讚 曰 
X88n1658_001:0428a19	　摩醯首羅尊極主　　居于色頂自在天	 摩 醯 首 羅 尊 極 主 居 于 色 頂 自 在 天 
X88n1658_001:0428a20	　總攝三界為所統　　一一雨滴知大千	 總 攝 三 界 為 所 統 一 一 雨 滴 知 大 千 
X88n1658_001:0428a21	　三目八臂執白拂　　乘騎白牛化無邊	 三 目 八 臂 執 白 拂 乘 騎 白 牛 化 無 邊 
X88n1658_001:0428a22	　能覆世界傾天地　　舉世尊崇仰大權	 能 覆 世 界 傾 天 地 舉 世 尊 崇 仰 大 權 
X88n1658_001:0428a23	　萬六千劫乃其壽　　身量高勝難比肩	 萬 六 千 劫 乃 其 壽 身 量 高 勝 難 比 肩 
X88n1658_001:0428a24	　十地菩薩之報處　　威靈超出無與先	 十地菩薩 之 報 處 威 靈 超 出 無 與 先 
X88n1658_001:0428b01	　但執慢心迷正見　　計十二類為生緣	 但 執 慢 心 迷 正 見 計 十 二 類 為 生 緣 
X88n1658_001:0428b02	　別有藥叉亦三目　　住羅多國名濫傳	 別 有 藥 叉 亦 三 目 住 羅 多 國 名 濫 傳 
X88n1658_001:0428b03	　昔年太子曾往謁　　西域欽奉類真仙	 昔 年 太 子 曾 往 謁 西 域 欽 奉 類 真 仙 
X88n1658_001:0428b04	　既非色頂尊崇主　　品位難齊地上賢	 既 非 色 頂 尊 崇 主 品 位 難 齊 地 上 賢 
X88n1658_001:0428b05	　故今明示知終始　　庶希降鑒赴几筵	 故 今 明 示 知 終 始 庶 希 降 鑒 赴 几 筵 
X88n1658_001:0428b06	散脂大將傳	散 脂 大 將 傳 
X88n1658_001:0428b07	梵語散脂修摩。或云散脂迦。此云密。陀羅尼集云。鬼	梵 語 散 脂 修 摩 或 云 散 脂 迦 此 云 密 陀 羅 尼 集 云 鬼 
X88n1658_001:0428b08	子母有三男。長名唯奢叉。次名散脂大將。小名摩尼	子 母 有 三 男 長 名 唯 奢 叉 次 名 散 脂 大 將 小 名 摩 尼 
X88n1658_001:0428b09	跋陀。則知其父乃德叉迦也。不空譯孔雀經云。復有	跋 陀 則 知 其 父 乃 德 叉 迦 也 不 空 譯 孔 雀 經 云 復 有 
X88n1658_001:0428b10	二十八藥叉大將。能於十方世界覆護一切眾生。為	二 十 八 藥 叉 大 將 能 於 十方世界 覆 護 一 切 眾 生 為 
X88n1658_001:0428b11	除衰惱患厄之事。有藥叉大將住於東方。擁護東方。	除 衰 惱 患 厄 之 事 有 藥 叉 大 將 住 於 東 方 擁 護 東 方 
X88n1658_001:0428b12	乃至南西北并各住四圍。常居於地。常在空居。盖每	乃 至 南 西 北 并 各 住 四 圍 常 居 於 地 常 在 空 居 盖 每 
X88n1658_001:0428b13	方及上下共二十四。而四圍各一。則共成二十八部。	方 及 上 下 共 二 十 四 而 四 圍 各 一 則 共 成 二 十 八 部 
X88n1658_001:0428b14	智者云。散脂乃北方天王大將餘。三方則東方名樂	智 者 云 散 脂 乃 北 方 天 王 大 將 餘 三 方 則 東 方 名 樂 
X88n1658_001:0428b15	欲。南方名檀帝。西方善現。各有五百眷屬。管領二十	欲 南 方 名 檀 帝 西 方 善 現 各 有 五 百 眷 屬 管 領 二 十 
X88n1658_001:0428b16	八部。光明經鬼神品云。二十八部諸鬼神等。散脂為	八 部 光 明 經 鬼 神 品 云 二 十 八 部 諸 鬼 神 等 散 脂 為 
X88n1658_001:0428b17	首。百千鬼神。散脂品云。隨是經典所流布處。我當與	首 百 千 鬼 神 散 脂 品 云 隨 是 經 典 所 流 布 處 我 當 與 
X88n1658_001:0428b18	此二十八部大鬼神等往至彼所。隱蔽其形。隨逐擁	此 二 十 八 部 大 鬼 神 等 往 至 彼 所 隱 蔽 其 形 隨 逐 擁 
X88n1658_001:0428b19	護是說法者。銷滅諸惡。令得安穩。又對佛前自說名	護 是 說 法 者 銷 滅 諸 惡 令 得 安 穩 又 對 佛 前 自 說 名 
X88n1658_001:0428b20	義。云何因緣。故我名散脂鬼神大將。唯然世尊。自當	義 云 何 因 緣 故 我 名 散 脂 鬼神大將 唯 然 世 尊 自 當 
X88n1658_001:0428b21	證知。世尊。我知一切法。一切緣法。了一切法。知法分	證 知 世 尊 我 知一切法 一 切 緣 法 了 一 切 法 知 法 分 
X88n1658_001:0428b22	齊。如法安住。一切法如性。於一切法含受一切法。世	齊 如 法 安 住 一切法如 性 於一切法 含 受 一 切 法 世 
X88n1658_001:0428b23	尊。我現見不可思議智光。不可思議智炬。不可思議	尊 我 現 見 不可思議 智 光 不可思議 智 炬 不可思議 
X88n1658_001:0428b24	智行。不可思議智聚。不可思議智境。世尊。我於諸法	智 行 不可思議 智 聚 不可思議 智 境 世 尊 我 於 諸 法 
X88n1658_001:0428c01	正解正觀。得正分別。正解於緣。正能覺了。智者以三	正 解 正 觀 得 正 分 別 正 解 於 緣 正 能 覺 了 智 者 以 三 
X88n1658_001:0428c02	五十五句圓義釋之。此乃法門解也。仍以三密加被	五 十 五 句 圓 義 釋 之 此 乃 法 門 解 也 仍 以 三 密 加 被 
X88n1658_001:0428c03	說者。經云。令說法者莊嚴言辭。辯不斷絕。此口密加	說 者 經 云 令 說 法 者 莊 嚴 言 辭 辯 不 斷 絕 此 口 密 加 
X88n1658_001:0428c04	被也。眾味精氣從毛孔入等。此身密加被也。心進勇	被 也 眾 味 精 氣 從 毛 孔 入 等 此 身 密 加 被 也 心 進 勇 
X88n1658_001:0428c05	銳等。意密加被也。乃至令其聞者智聚功德聚。受人	銳 等 意 密 加 被 也 乃 至 令 其 聞 者 智 聚 功 德 聚 受 人 
X88n1658_001:0428c06	天樂。未來疾得菩提。是知內證外應微妙難思。而以	天 樂 未 來 疾 得 菩 提 是 知 內 證 外 應 微 妙 難 思 而 以 
X88n1658_001:0428c07	弘應為任。福智所聚。終至佛果。仍以辯才加被說者。	弘 應 為 任 福 智 所 聚 終 至 佛 果 仍 以 辯 才 加 被 說 者 
X88n1658_001:0428c08	則為二十八部之司總。其於賞善罰惡功亦大矣。儻	則 為 二 十 八 部 之 司 總 其 於 賞 善 罰 惡 功 亦 大 矣 儻 
X88n1658_001:0428c09	在流布正法。得不加被。讚曰。	在 流 布 正 法 得 不 加 被 讚 曰 
X88n1658_001:0428c10	　二十八部鬼神中　　散脂大將最威雄	 二 十 八 部 鬼 神 中 散 脂 大 將 最 威 雄 
X88n1658_001:0428c11	　乃鬼子母之次子　　北方元首實靈聰	 乃 鬼 子 母 之 次 子 北 方 元 首 實 靈 聰 
X88n1658_001:0428c12	　無量藥叉皆所統　　護持正法使流通	 無 量 藥 叉 皆 所 統 護持正法 使 流 通 
X88n1658_001:0428c13	　隱蔽其形常守衛　　或居城邑或王宮	 隱 蔽 其 形 常 守 衛 或 居 城 邑 或 王 宮 
X88n1658_001:0428c14	　自說立名之本意　　一切法義總含容	 自 說 立 名 之 本 意 一 切 法 義 總 含 容 
X88n1658_001:0428c15	　正解正觀正分別　　正緣覺了義圓融	 正 解 正 觀 正 分 別 正 緣 覺 了 義 圓 融 
X88n1658_001:0428c16	　密加說者以詞辨　　精氣皆入使身充	 密 加 說 者 以 詞 辨 精 氣 皆 入 使 身 充 
X88n1658_001:0428c17	　心進勇銳意加被　　自然和悅保安冲	 心 進 勇 銳 意 加 被 自 然 和 悅 保 安 冲 
X88n1658_001:0428c18	　仍令聞者智慧聚　　菩提疾證表深功	 仍 令 聞 者 智 慧 聚 菩 提 疾 證 表 深 功 
X88n1658_001:0428c19	　大哉圓密難思議　　賞善罸惡利何窮	 大 哉 圓 密 難 思 議 賞 善 罸 惡 利 何 窮 
X88n1658_001:0428c20	　儻在聞持并演說　　是宜崇敬展精衷	 儻 在 聞 持 并 演 說 是 宜 崇 敬 展 精 衷 
X88n1658_001:0428c22	重編諸天傳上卷	重 編 諸 天 傳 上 卷 
X88n1658_002:0429a01	重編諸天傳下卷	重 編 諸 天 傳 下 卷 
X88n1658_002:0429a03	大辯天傳	大 辯 天 傳 
X88n1658_002:0429a04	大辯天。乃略名也。光明經云。是說法者。我當益其樂	大 辯 天 乃 略 名 也 光 明 經 云 是 說 法 者 我 當 益 其 樂 
X88n1658_002:0429a05	說辯才。令其所說莊嚴次第。善得大智。若散脂品中	說 辯 才 令 其 所 說 莊 嚴 次 第 善 得 大 智 若 散 脂 品 中 
X88n1658_002:0429a06	乃云。不可思量智慧功德成就。大辯天經又云。廣宣	乃 云 不 可 思 量 智慧功德 成 就 大 辯 天 經 又 云 廣 宣 
X88n1658_002:0429a07	流布。乃至得聞是經。當令是等悉得猛利不可思議	流 布 乃 至 得 聞 是 經 當 令 是 等 悉 得 猛 利 不可思議 
X88n1658_002:0429a08	大智慧聚。不可稱量福德之報。廣略之名。其義可見。	大 智 慧 聚 不可稱量 福 德 之 報 廣 略 之 名 其 義 可 見 
X88n1658_002:0429a09	然最勝王經詳言其迹云。或在山嵒深險處。或在坎	然 最 勝 王 經 詳 言 其 迹 云 或 在 山 嵒 深 險 處 或 在 坎 
X88n1658_002:0429a10	窟及河道。或在大樹諸叢林。現為閻浮之長姊。身著	窟 及 河 道 或 在 大 樹 諸 叢 林 現 為 閻 浮 之 長 姊 身 著 
X88n1658_002:0429a11	青色埜蚕衣。在處常翹於一足。常以八臂自莊嚴。各	青 色 埜 蚕 衣 在 處 常 翹 於 一 足 常 以 八 臂 自 莊 嚴 各 
X88n1658_002:0429a12	持弓箭刀矟斧長杵鐵輪并羂索。帝釋諸天常供養。	持 弓 箭 刀 矟 斧 長 杵 鐵 輪 并 羂 索 帝 釋 諸 天 常 供 養 
X88n1658_002:0429a13	皆共讚歎。盡歸依。師子虎狼恒圍繞。牛羊鷄等亦相	皆 共 讚 歎 盡 歸 依 師 子 虎 狼 恒 圍 繞 牛 羊 鷄 等 亦 相 
X88n1658_002:0429a14	依。於一切時常護世。亦護一切眾生者。所言辯者。略	依 於一切時 常 護 世 亦 護 一 切 眾 生 者 所 言 辯 者 略 
X88n1658_002:0429a15	有四種。一者法無礙辯。百千名字分別不錯。即經云	有 四 種 一 者 法 無 礙 辯 百 千 名 字 分 別 不 錯 即 經 云 
X88n1658_002:0429a16	善解無量種種方便。二者詞無礙辯。法流灌注而無	善 解 無 量 種 種 方 便 二 者 詞 無 礙 辯 法 流 灌 注 而 無 
X88n1658_002:0429a17	壅滯。即經云善能辯暢一切諸論。三者義無礙辯。諸	壅 滯 即 經 云 善 能 辯 暢 一 切 諸 論 三 者 義 無 礙 辯 諸 
X88n1658_002:0429a18	法究竟會行證真。即經云善知世間種種技術。能出	法 究 竟 會 行 證 真 即 經 云 善知世間 種 種 技 術 能 出 
X88n1658_002:0429a19	生死得不退轉。必定疾得阿耨多羅三藐三菩提。四	生 死 得不退轉 必 定 疾 得阿耨多羅三藐三菩提 四 
X88n1658_002:0429a20	者樂說無礙辯。接物利生流通不倦。即經云我當益	者 樂 說 無 礙 辯 接 物 利 生 流 通 不 倦 即 經 云 我 當 益 
X88n1658_002:0429a21	其樂說辯才。乃至令不斷絕。夫超出三界疾至菩提。	其 樂 說 辯 才 乃 至 令 不 斷 絕 夫 超出三界 疾 至 菩 提 
X88n1658_002:0429a22	以慧為先。故光明列品及鬼神品中皆以大辯在功	以 慧 為 先 故 光 明 列 品 及 鬼 神 品 中 皆 以 大 辯 在 功 
X88n1658_002:0429a23	德天之前。此論正助為次也。散脂品中先功德而後	德 天 之 前 此 論 正 助 為 次 也 散 脂 品 中 先 功 德 而 後 
X88n1658_002:0429a24	大辯者。以福慧為次。意謂由福以資慧。故大辯品中	大 辯 者 以 福 慧 為 次 意 謂 由 福 以 資 慧 故 大 辯 品 中 
X88n1658_002:0429b01	云。能出生死。疾得菩提。功德品中以常在天上人中	云 能 出 生 死 疾 得 菩 提 功 德 品 中 以 常 在 天 上 人 中 
X88n1658_002:0429b02	受樂。值遇諸佛。速成菩提。散脂品中以人天之中常	受 樂 值 遇 諸 佛 速 成 菩 提 散 脂 品 中 以 人 天 之 中 常 
X88n1658_002:0429b03	受快樂。於未來世值遇諸佛。疾成菩提。是知正助則	受 快 樂 於未來世 值 遇 諸 佛 疾 成 菩 提 是 知 正 助 則 
X88n1658_002:0429b04	以慧為正。以福為助。出生死故。超三界故。福若無慧	以 慧 為 正 以 福 為 助 出 生 死 故 超 三 界 故 福 若 無 慧 
X88n1658_002:0429b05	非波羅蜜故也。若以在人天中。必乃先福後慧。盖未	非波羅蜜 故 也 若 以 在 人 天 中 必 乃 先 福 後 慧 盖 未 
X88n1658_002:0429b06	出三界以修福故。且離三塗而生在人天。然後以福	出 三 界 以 修 福 故 且 離 三 塗 而 生 在 人 天 然 後 以 福 
X88n1658_002:0429b07	資慧。可至菩提。所以功德品云。三惡道苦。悉畢無餘。	資 慧 可 至 菩 提 所 以 功 德 品 云 三 惡 道 苦 悉 畢 無 餘 
X88n1658_002:0429b08	散脂品中三惡趣分永滅無餘。古師謂。只欲求福。助	散 脂 品 中 三 惡 趣 分 永滅無餘 古 師 謂 只 欲 求 福 助 
X88n1658_002:0429b09	於說聽。良有以也。今之人推求福之心。但欲富樂而	於 說 聽 良 有 以 也 今 之 人 推 求 福 之 心 但 欲 富 樂 而 
X88n1658_002:0429b10	莫存說聽之懷。良可鄙也。志於學者。得不仰大辯才	莫 存 說 聽 之 懷 良 可 鄙 也 志 於 學 者 得 不 仰 大 辯 才 
X88n1658_002:0429b11	能與總持令不忘失者乎。讚曰。	能 與 總 持 令 不 忘 失 者 乎 讚 曰 
X88n1658_002:0429b12	　大辯才天智慧主　　於說法人無總持	 大 辯 才 天 智 慧 主 於 說 法 人 無 總 持 
X88n1658_002:0429b13	　令其句義無忘失　　文字次第使無違	 令 其 句 義 無 忘 失 文 字 次 第 使 無 違 
X88n1658_002:0429b14	　以大威神資四辯　　法義樂說及言詞	 以 大 威 神 資 四 辯 法 義 樂 說 及 言 詞 
X88n1658_002:0429b15	　此天所住依岩谷　　深險坎窟最幽奇	 此 天 所 住 依 岩 谷 深 險 坎 窟 最 幽 奇 
X88n1658_002:0429b16	　泉澗叢林孤絕處　　身著青色埜蚕衣	 泉 澗 叢 林 孤 絕 處 身 著 青 色 埜 蚕 衣 
X88n1658_002:0429b17	　現為閻浮之長姊　　一足常翹一足垂	 現 為 閻 浮 之 長 姊 一 足 常 翹 一 足 垂 
X88n1658_002:0429b18	　八臂自在莊嚴具　　弓矟箭斧手持之	 八 臂 自 在 莊 嚴 具 弓 矟 箭 斧 手 持 之 
X88n1658_002:0429b19	　寶杵鐵輪并羂索　　帝釋天眾共歸依	 寶 杵 鐵 輪 并 羂 索 帝 釋 天 眾 共 歸 依 
X88n1658_002:0429b20	　師子虎狼牛羊等　　並來前後每相隨	 師 子 虎 狼 牛 羊 等 並 來 前 後 每 相 隨 
X88n1658_002:0429b21	　護諸眾生弘正法　　護世令安一切時	 護 諸 眾 生 弘 正 法 護 世 令 安 一 切 時 
X88n1658_002:0429b22	　有人若欲超三界　　當知智辯力難思	 有 人 若 欲 超 三 界 當 知 智 辯 力 難 思 
X88n1658_002:0429b23	功德天傳	功 德 天 傳 
X88n1658_002:0429b24	梵語室利摩訶提毗耶。此云吉祥大天。涅槃及陀羅	梵 語 室 利 摩 訶 提 毗 耶 此 云 吉 祥 大 天 涅 槃 及 陀 羅 
X88n1658_002:0429c01	尼集名功德天。皆其略也。光明散脂品中乃其云第	尼 集 名 功 德 天 皆 其 略 也 光 明 散 脂 品 中 乃 其 云 第 
X88n1658_002:0429c02	一威德成就眾事。大功德天舊傳釋云。第一威德。言	一 威 德 成 就 眾 事 大 功 德 天 舊 傳 釋 云 第 一 威 德 言 
X88n1658_002:0429c03	其體德也。成就眾事。言其功用也。其本因。則經云。我	其 體 德 也 成 就 眾 事 言 其 功 用 也 其 本 因 則 經 云 我 
X88n1658_002:0429c04	已於過去寶華功德海琉璃金山照明如來所。種諸	已 於 過 去 寶 華 功 德 海 琉 璃 金 山 照 明 如 來 所 種 諸 
X88n1658_002:0429c05	善根。其現益。則經云。是故我今隨念所視所至。方能	善 根 其 現 益 則 經 云 是 故 我 今 隨 念 所 視 所 至 方 能 
X88n1658_002:0429c06	令眾生受諸快樂。若衣服飲食資生之具。七寶等。悉	令 眾 生 受 諸 快 樂 若 衣 服 飲 食 資 生 之 具 七 寶 等 悉 
X88n1658_002:0429c07	無所乏。陀羅尼集云。鬼子母夫名德叉迦。女名功德	無 所 乏 陀 羅 尼 集 云 鬼 子 母 夫 名 德 叉 迦 女 名 功 德 
X88n1658_002:0429c08	天。有妹名黑暗女。其居止也。光明云。於此北方毗沙	天 有 妹 名 黑 暗 女 其 居 止 也 光 明 云 於 此 北 方 毗 沙 
X88n1658_002:0429c09	門天王。有城名曰阿尼曼陀。其城有園。名功德華光。	門 天 王 有 城 名 曰 阿 尼 曼 陀 其 城 有 園 名 功 德 華 光 
X88n1658_002:0429c10	於是園中有最勝園。名曰金幢。七寶極妙。此即是我	於 是 園 中 有 最 勝 園 名 曰 金 幢 七 寶 極 妙 此 即 是 我 
X88n1658_002:0429c11	常止住處。其天相也。陀羅尼集云。其身端正。赤白二	常 止 住 處 其 天 相 也 陀 羅 尼 集 云 其 身 端 正 赤 白 二 
X88n1658_002:0429c12	臂。畫作種種纓珞鐶釧耳璫天衣寶冠。天女左手持	臂 畫 作 種 種 纓 珞 鐶 釧 耳 璫 天 衣 寶 冠 天 女 左 手 持 
X88n1658_002:0429c13	如意珠。右手施無畏。於寶臺上坐。左邊畫梵摩天。手	如 意 珠 右 手 施 無 畏 於 寶 臺 上 坐 左 邊 畫 梵 摩 天 手 
X88n1658_002:0429c14	執寶鏡。右邊畫帝釋天女散花供養。天女背後畫七	執 寶 鏡 右 邊 畫 帝 釋 天 女 散 花 供 養 天 女 背 後 畫 七 
X88n1658_002:0429c15	寶山。於天像上作五色雲。雲上安六牙白象。鼻絞瑪	寶 山 於 天 像 上 作 五 色 雲 雲 上 安 六牙白象 鼻 絞 瑪 
X88n1658_002:0429c16	瑙。缾缾中傾出種種物。灌於功德天頂上。天神背後	瑙 缾 缾 中 傾 出 種 種 物 灌 於 功 德 天 頂 上 天 神 背 後 
X88n1658_002:0429c17	畫百寶花林。頭上畫作千葉寶盖。盖上諸天妓樂散	畫 百 寶 花 林 頭 上 畫 作 千 葉 寶 盖 盖 上 諸 天 妓 樂 散 
X88n1658_002:0429c18	花供養。其像底下右邊畫作呪師形。著鮮白衣。手把	花 供 養 其 像 底 下 右 邊 畫 作 呪 師 形 著 鮮 白 衣 手 把 
X88n1658_002:0429c19	香爐胡跪供養。良由此天昔種善根之故。所感福報	香 爐 胡 跪 供 養 良 由 此 天 昔 種 善 根 之 故 所 感 福 報 
X88n1658_002:0429c20	如是。能令眾生成就眾福。護持一切令足所須。亦與	如 是 能 令 眾 生 成 就 眾 福 護 持 一 切 令 足 所 須 亦 與 
X88n1658_002:0429c21	大辯四王等擁護四方。令無灾禍。又令稱金光明經。	大 辯 四 王 等 擁 護 四 方 令 無 灾 禍 又 令 稱 金 光 明 經 
X88n1658_002:0429c22	為我供養諸佛世尊。三稱我名燒香供養。別以香華	為 我 供 養 諸佛世尊 三 稱 我 名 燒 香 供 養 別 以 香 華 
X88n1658_002:0429c23	種種美味供施於我。灑散諸方。即能聚集資財寶物。	種 種 美 味 供 施 於 我 灑 散 諸 方 即 能 聚 集 資 財 寶 物 
X88n1658_002:0429c24	我時慈念多與資生。若供施時。令誦其呪。讀誦通利。	我 時 慈 念 多 與 資 生 若 供 施 時 令 誦 其 呪 讀 誦 通 利 
X88n1658_002:0430a01	七日七夜受持八戒。供十方佛。為自及他回向具足	七日七夜 受 持 八 戒 供 十 方 佛 為 自 及 他 回 向 具 足 
X88n1658_002:0430a02	阿耨多羅。智論云。昔有人十二年事於大天。遂感天	阿 耨 多 羅 智 論 云 昔 有 人 十 二 年 事 於 大 天 遂 感 天 
X88n1658_002:0430a03	人賜與德缾。缾中出生一切珍寶。此人忽起憍慢。以	人 賜 與 德 缾 缾 中 出 生 一 切 珍 寶 此 人 忽 起 憍 慢 以 
X88n1658_002:0430a04	双足踏於缾上。其缾遂破。寶物皆無。古師嘗謂。凡求	双 足 踏 於 缾 上 其 缾 遂 破 寶 物 皆 無 古 師 嘗 謂 凡 求 
X88n1658_002:0430a05	福者助於說聽。所以經云。是說法者我當隨其所須	福 者 助 於 說 聽 所 以 經 云 是 說 法 者 我 當 隨 其 所 須 
X88n1658_002:0430a06	之物及餘資產。供給無乏。令心安住。晝夜勸樂。正念	之 物 及 餘 資 產 供 給 無 乏 令 心 安 住 晝 夜 勸 樂 正 念 
X88n1658_002:0430a07	思惟是經章句。分別深義廣宣流布。令不斷絕。是諸	思 惟 是 經 章 句 分 別 深 義 廣 宣 流 布 令 不 斷 絕 是 諸 
X88n1658_002:0430a08	眾生聽是經已。於未來世常在人天。值遇諸佛。速成	眾 生 聽 是 經 已 於未來世 常 在 人 天 值 遇 諸 佛 速 成 
X88n1658_002:0430a09	菩提。四明云。若為自身受五欲樂。希望財寶。即輪回	菩 提 四 明 云 若 為 自 身 受 五 欲 樂 希 望 財 寶 即 輪 回 
X88n1658_002:0430a10	業。眾聖所呵。尊天寧護。是知若世間福。雖感德缾。終	業 眾 聖 所 呵 尊 天 寧 護 是 知 若 世 間 福 雖 感 德 缾 終 
X88n1658_002:0430a11	須破散。以福資慧。成出世因財。果滿二嚴。依正殊報。	須 破 散 以 福 資 慧 成 出 世 因 財 果 滿 二 嚴 依 正 殊 報 
X88n1658_002:0430a12	凡興供者無時於斯。讚曰。	凡 興 供 者 無 時 於 斯 讚 曰 
X88n1658_002:0430a13	　有天女號大吉祥　　成就眾事最為長	 有 天 女 號 大 吉 祥 成 就 眾 事 最 為 長 
X88n1658_002:0430a14	　寶華佛時種善本　　感應能隨所念方	 寶 華 佛 時 種 善 本 感 應 能 隨 所 念 方 
X88n1658_002:0430a15	　常在北天為止住　　阿尼城園號華光	 常 在 北 天 為 止 住 阿 尼 城 園 號 華 光 
X88n1658_002:0430a16	　更有勝園金幢處　　七寶極妙數難量	 更 有 勝 園 金 幢 處 七 寶 極 妙 數 難 量 
X88n1658_002:0430a17	　天身鮮白相端正　　坐在金臺高勝床	 天 身 鮮 白 相 端 正 坐 在 金 臺 高 勝 床 
X88n1658_002:0430a18	　纓絡花冠及鐶釧　　種種天衣及耳璫	 纓 絡 花 冠 及 鐶 釧 種 種 天 衣 及 耳 璫 
X88n1658_002:0430a19	　左手持珠右無畏　　梵天執鏡侍其傍	 左 手 持 珠 右 無 畏 梵 天 執 鏡 侍 其 傍 
X88n1658_002:0430a20	　背於寶山雲五色　　花林百卉盡芬芳	 背 於 寶 山 雲 五 色 花 林 百 卉 盡 芬 芳 
X88n1658_002:0430a21	　白象鼻絞瑪瑙器　　缾中傾寶數無央	 白 象 鼻 絞 瑪 瑙 器 缾 中 傾 寶 數 無 央 
X88n1658_002:0430a22	　灌其天頂莊嚴聚　　呪師跪伏兒端莊	 灌 其 天 頂 莊 嚴 聚 呪 師 跪 伏 兒 端 莊 
X88n1658_002:0430a23	　若或稱名而供養　　別敷好座具花香	 若 或 稱 名 而 供 養 別 敷 好 座 具 花 香 
X88n1658_002:0430a24	　一切資生皆具足　　無論財寶及牛羊	 一 切 資 生 皆 具 足 無 論 財 寶 及 牛 羊 
X88n1658_002:0430b01	　所求成就難思事　　意令法會善敷揚	 所 求 成 就 難 思 事 意 令 法 會 善 敷 揚 
X88n1658_002:0430b02	韋天將軍傳	韋 天 將 軍 傳 
X88n1658_002:0430b03	靈威要略曰。天神姓韋。諱琨。南方天王八將之一臣	靈 威 要 略 曰 天 神 姓 韋 諱 琨 南 方 天 王 八 將 之 一 臣 
X88n1658_002:0430b04	也。四王合三十二將。而為其首。生知聦慧。早離塵欲。	也 四 王 合 三 十 二 將 而 為 其 首 生 知 聦 慧 早 離 塵 欲 
X88n1658_002:0430b05	清淨梵行。修童真業。面受佛囑。外護在懷。用統三洲。	清 淨 梵 行 修 童 真 業 面 受 佛 囑 外 護 在 懷 用 統 三 洲 
X88n1658_002:0430b06	住持為最。亡我亡瑕。殷憂於四部。達物達化。大濟於	住 持 為 最 亡 我 亡 瑕 殷 憂 於 四 部 達 物 達 化 大 濟 於 
X88n1658_002:0430b07	五乘。光明鬼神品中有韋馱天神。梵語韋馱。此云智	五 乘 光 明 鬼 神 品 中 有 韋 馱 天 神 梵 語 韋 馱 此 云 智 
X88n1658_002:0430b08	論。今此則以韋為姓。雖類華夏一經之裔。而其天神	論 今 此 則 以 韋 為 姓 雖 類 華 夏 一 經 之 裔 而 其 天 神 
X88n1658_002:0430b09	隱顯其號。烏可惻量。唐高宗乾封歲。京師淨業寺道	隱 顯 其 號 烏 可 惻 量 唐 高 宗 乾 封 歲 京 師 淨 業 寺 道 
X88n1658_002:0430b10	宣律師。因覩韋天嘗問律相等事。律師述靈威要略。	宣 律 師 因 覩 韋 天 嘗 問 律 相 等 事 律 師 述 靈 威 要 略 
X88n1658_002:0430b11	并律相感通二傳。備載其實。如要略中。天神姓費。自	并 律 相 感 通 二 傳 備 載 其 實 如 要 略 中 天 神 姓 費 自 
X88n1658_002:0430b12	述云。弟子迦葉佛時生在初天。在韋將軍下。諸天貪	述 云 弟 子 迦 葉 佛 時 生 在 初 天 在 韋 將 軍 下 諸 天 貪 
X88n1658_002:0430b13	欲如醉。弟子以宿願力不受天欲。清淨梵行。徧敬毗	欲 如 醉 弟 子 以 宿 願 力 不 受 天 欲 清 淨 梵 行 徧 敬 毗 
X88n1658_002:0430b14	尼。韋將軍童真梵行。不受天欲。若有事至四王所。王	尼 韋 將 軍 童 真 梵 行 不 受 天 欲 若 有 事 至 四 王 所 王 
X88n1658_002:0430b15	見皆起。自唐高宗已來。諸處伽藍及建立熏修。皆設	見 皆 起 自 唐 高 宗 已 來 諸 處 伽 藍 及 建 立 熏 修 皆 設 
X88n1658_002:0430b16	像崇敬。彰護法之功。其間感應錄於文集者甚多。然	像 崇 敬 彰 護 法 之 功 其 間 感 應 錄 於 文 集 者 甚 多 然 
X88n1658_002:0430b17	童真乃十住中第八住。而賢乎聖乎。孰可知之。讚曰。	童 真 乃 十 住 中 第 八 住 而 賢 乎 聖 乎 孰 可 知 之 讚 曰 
X88n1658_002:0430b18	　四王三十二大將　　南方韋天以為先	 四 王 三 十 二 大 將 南 方 韋 天 以 為 先 
X88n1658_002:0430b19	　生知聰慧離塵欲　　清淨梵行威儀全	 生 知 聰 慧 離 塵 欲 清 淨 梵 行 威 儀 全 
X88n1658_002:0430b20	　修童真業持禁戒　　迦葉佛時志已堅	 修 童 真 業 持 禁 戒 迦 葉 佛 時 志 已 堅 
X88n1658_002:0430b21	　四部殷憂常守衛　　三洲護法應機緣	 四 部 殷 憂 常 守 衛 三 洲 護 法 應 機 緣 
X88n1658_002:0430b22	　名姓隨凡安可惻　　示迹唐朝遇道宣	 名 姓 隨 凡 安 可 惻 示 迹 唐 朝 遇 道 宣 
X88n1658_002:0430b23	　備言佛教深幽事　　律相靈威二集傳	 備 言 佛 教 深 幽 事 律 相 靈 威 二 集 傳 
X88n1658_002:0430b24	　或見四王王起接　　是知無染所當然	 或 見 四 王 王 起 接 是 知 無 染 所 當 然 
