X53n0837_001:0106a06	法宗原	法 宗 原 
X53n0837_001:0113a15	喜大地法中受為性有說以欣為性捨大善地中無	喜 大 地 法 中 受 為 性 有 說 以 欣 為 性 捨 大 善 地 中 無 
X53n0837_001:0113a16	貪為性有說亦以無嗔為性。四正斷者一已生惡	貪 為 性 有 說 亦 以 無 嗔 為 性 四 正 斷 者 一 已 生 惡 
X53n0837_001:0113a17	法方便令不生二未生惡法遮令不生三未生善法	法 方 便 令 不 生 二 未 生 惡 法 遮 令 不 生 三 未 生 善 法 
X53n0837_001:0113a18	方便令生四已生善法修令增廣此四皆以心所中	方 便 令 生 四 已 生 善 法 修 令 增 廣 此 四 皆 以 心 所 中 
X53n0837_001:0113a19	勤為自性於一念中有此四用言正斷者於正修習	勤 為 自 性 於 一 念 中 有 此 四 用 言 正 斷 者 於 正 修 習 
X53n0837_001:0113a20	斷修位中此勤力能斷懈怠故或名正勝於正持策	斷 修 位 中 此 勤 力 能 斷 懈 怠 故 或 名 正 勝 於 正 持 策 
X53n0837_001:0113a21	身語意中此最勝故。四神足者一欲神足二勤神	身 語 意 中 此 最 勝 故 四 神 足 者 一 欲 神 足 二 勤 神 
X53n0837_001:0113a22	足三心神足四觀神足此四皆以心所法中定為自	足 三 心 神 足 四 觀 神 足 此 四 皆 以 心 所 法 中 定 為 自 
X53n0837_001:0113a23	性言神足者定果名神欲勤心觀四因所生等持名	性 言 神 足 者 定 果 名 神 欲 勤 心 觀 四 因 所 生 等 持 名 
X53n0837_001:0113a24	足從因及果當體為名也。四通行者一苦遲通行	足 從 因 及 果 當 體 為 名 也 四 通 行 者 一 苦遲通行 
X53n0837_001:0113b01	二苦速通行三樂遲通行四樂速通行道依根本四	二 苦 速 通 行 三 樂 遲 通 行 四 樂 速 通 行 道 依 根 本 四 
X53n0837_001:0113b02	靜慮生名樂通行以攝受支止觀平等任運轉故道	靜 慮 生 名 樂 通 行 以 攝 受 支 止 觀 平 等 任 運 轉 故 道 
X53n0837_001:0113b03	依無色未至中間名苦通行以不攝支止觀不等艱	依 無 色 未 至 中 間 名 苦 通 行 以 不 攝 支 止 觀 不 等 艱 
X53n0837_001:0113b04	辛轉故即此樂苦二通行中鈍根名遲利根名速二	辛 轉 故 即 此 樂 苦 二 通 行 中 鈍 根 名 遲 利 根 名 速 二 
X53n0837_001:0113b05	行於境通達醔遲故名遲通翻此名速或遲鈍者所	行 於 境 通 達 醔 遲 故 名 遲 通 翻 此 名 速 或 遲 鈍 者 所 
X53n0837_001:0113b06	起通行名遲通行速此相違此四通體色界者五蘊	起 通 行 名 遲 通 行 速 此 相 違 此 四 通 體 色 界 者 五 蘊 
X53n0837_001:0113b07	性無色界者四蘊性七十五法中無表色心王大地	性 無 色 界 者 四 蘊 性 七十五法 中 無 表 色 心 王 大 地 
X53n0837_001:0113b08	法十大善地法十尋伺得四相皆通四通行。四道	法 十 大善地法 十 尋 伺 得 四 相 皆 通 四 通 行 四 道 
X53n0837_001:0113b09	者一加行道謂從此後無間道生二無間道謂能斷	者 一 加 行 道 謂 從 此 後 無 間 道 生 二 無 間 道 謂 能 斷 
X53n0837_001:0113b10	所應斷障三解脫道謂已解脫所應斷障最初所生	所 應 斷 障 三 解 脫 道 謂 已 解 脫 所 應 斷 障 最 初 所 生 
X53n0837_001:0113b11	四勝進道謂三餘道所言道者謂涅槃路乘此能往	四 勝 進 道 謂 三 餘 道 所 言 道 者 謂 涅 槃 路 乘 此 能 往 
X53n0837_001:0113b12	涅槃城故此四皆通四蘊五蘊七十五法中無表色	涅 槃 城 故 此 四 皆 通 四 蘊 五 蘊 七十五法 中 無 表 色 
X53n0837_001:0113b13	心王大地法十大善地法十尋伺得四相皆通四道。	心 王 大 地 法 十 大善地法 十 尋 伺 得 四 相 皆 通 四 道 
X53n0837_001:0113b14	四證淨者一於佛證淨二於法證淨三於僧證淨	四 證 淨 者 一 於 佛 證 淨 二 於 法 證 淨 三 於 僧 證 淨 
X53n0837_001:0113b15	四聖戒證淨由證得淨故名證淨前三以心所中信	四 聖 戒 證 淨 由 證 得 淨 故 名 證 淨 前 三 以 心 所 中 信 
X53n0837_001:0113b16	為性後一以色中無表為性信戒二種俱名淨者離	為 性 後 一 以 色 中 無 表 為 性 信 戒 二 種 俱 名 淨 者 離 
X53n0837_001:0113b17	不信垢破戒垢故。	不 信 垢 破 戒 垢 故 
X53n0837_001:0113b18	五門分別略有十五種五取蘊五濁五趣五無間業	五 門 分 別 略 有 十 五 種 五 取 蘊 五 濁 五 趣 五無間業 
X53n0837_001:0113b19	五根五力五因五類五果五蓋五順下分結五順上	五 根 五 力 五 因 五 類 五 果 五 蓋 五 順 下 分 結 五 順 上 
X53n0837_001:0113b20	分結五分法身五戒五眼。五取蘊者有漏名取蘊	分 結 五分法身 五 戒 五 眼 五 取 蘊 者 有 漏 名 取 蘊 
X53n0837_001:0113b21	如前有漏說從取生故能生取故故名取蘊。五濁	如 前 有 漏 說 從 取 生 故 能 生 取 故 故 名 取 蘊 五 濁 
X53n0837_001:0113b22	者一壽濁二劫濁二見濁四煩惱濁五有情濁劫減	者 一 壽 濁 二 劫 濁 二 見 濁 四 煩 惱 濁 五 有 情 濁 劫 減 
X53n0837_001:0113b23	將未壽等鄙下如滓穢故說名為濁唯有欲界壽濁	將 未 壽 等 鄙 下 如 滓 穢 故 說 名 為 濁 唯 有 欲 界 壽 濁 
X53n0837_001:0113b24	者以短命為體劫濁者劫即是時時無別體約法以	者 以 短 命 為 體 劫 濁 者 劫 即 是 時 時 無 別 體 約 法 以 
X53n0837_001:0113c01	論以五取蘊為體見濁者以身見邊見邪見見取戒	論 以 五 取 蘊 為 體 見 濁 者 以 身見邊見 邪 見 見 取 戒 
X53n0837_001:0113c02	禁取為體此五以慧為體煩惱濁者以五取蘊為性	禁 取 為 體 此 五 以 慧 為 體 煩 惱 濁 者 以 五 取 蘊 為 性 
X53n0837_001:0113c03	若約七十五法中出體義准可知唯在欲界。五趣	若 約 七十五法 中 出 體 義 准 可 知 唯 在 欲 界 五 趣 
X53n0837_001:0113c04	者一天二人三餓鬼四傍生五地獄光明名天思慮	者 一 天 二 人 三 餓 鬼 四 傍 生 五 地 獄 光 明 名 天 思 慮 
X53n0837_001:0113c05	名人由飢餓故名為餓鬼身多橫住名曰傍生地下	名 人 由 飢 餓 故 名 為 餓 鬼 身 多 橫 住 名 曰 傍 生 地 下 
X53n0837_001:0113c06	有獄名曰地獄趣是所往異熟無記五蘊為體七十	有 獄 名 曰 地 獄 趣 是 所 往 異 熟 無 記 五 蘊 為 體 七 十 
X53n0837_001:0113c07	五法中五根色香味觸心王大地法十尋伺睡眠得	五 法 中 五 根 色香味觸 心 王 大 地 法 十 尋 伺 睡 眠 得 
X53n0837_001:0113c08	同分無想異熟命根四相隨其所應為五趣體。五	同 分 無 想 異 熟 命 根 四 相 隨其所應 為 五 趣 體 五 
X53n0837_001:0113c09	無間業者一殺母二殺父三殺阿羅漢四破和合僧	無 間 業 者 一 殺 母 二 殺 父 三 殺阿羅漢 四 破 和 合 僧 
X53n0837_001:0113c10	五出佛身血言無間者造此業已定生地獄無餘生	五 出佛身血 言 無 間 者 造 此 業 已 定 生 地 獄 無 餘 生 
X53n0837_001:0113c11	間或受苦無間或無樂間苦故名無間前三後一是	間 或 受 苦 無 間 或 無 樂 間 苦 故 名 無 間 前 三 後 一 是 
X53n0837_001:0113c12	身業色十一中以色及無表為性第四語業以聲表	身 業 色 十 一 中 以 色 及 無 表 為 性 第 四 語 業 以 聲 表 
X53n0837_001:0113c13	及無表為性。五根者一信二勤三念四定五慧勝	及 無 表 為 性 五 根 者 一 信 二 勤 三 念 四 定 五 慧 勝 
X53n0837_001:0113c14	用增上名根。不可屈伏名力初名根後名力出體	用 增 上 名 根 不 可 屈 伏 名 力 初 名 根 後 名 力 出 體 
X53n0837_001:0113c15	如根說。五因者一生因二依因三立因四持因五	如 根 說 五 因 者 一 生 因 二 依 因 三 立 因 四 持 因 五 
X53n0837_001:0113c16	養因彼從起故說為生因生已隨逐大種轉故如依	養 因 彼 從 起 故 說 為 生 因 生 已 隨 逐 大 種 轉 故 如 依 
X53n0837_001:0113c17	師等說名依因能任持故如壁持畫說為立因不斷	師 等 說 名 依 因 能 任 持 故 如 壁 持 畫 說 為 立 因 不 斷 
X53n0837_001:0113c18	因故說為持因增長因故說為養因色十一中觸中	因 故 說 為 持 因 增 長 因 故 說 為 養 因 色 十 一 中 觸 中 
X53n0837_001:0113c19	四大望所造色法皆作五因。五類者一異熟生二	四 大 望 所 造 色 法 皆 作 五 因 五 類 者 一 異 熟 生 二 
X53n0837_001:0113c20	所長養三等流性四一剎那五有實事應知五類體	所 長 養 三 等 流 性 四 一 剎 那 五 有 實 事 應 知 五 類 體 
X53n0837_001:0113c21	各不同異熟之生或異熟即生名異熟生非前異熟	各 不 同 異 熟 之 生 或 異 熟 即 生 名 異 熟 生 非 前 異 熟 
X53n0837_001:0113c22	攝長小令大長瘦令肥名所長養非前二攝然從同	攝 長 小 令 大 長 瘦 令 肥 名 所 長 養 非 前 二 攝 然 從 同 
X53n0837_001:0113c23	類遍行因生前後均等類相似名等流性非前三攝	類 遍 行 因 生 前 後 均 等 類 相 似 名 等 流 性 非 前 三 攝 
X53n0837_001:0113c24	不從同類遍行因生名一剎那即苦忍相應俱有法	不 從 同 類 遍 行 因 生 名 一 剎 那 即 苦 忍 相 應 俱 有 法 
X53n0837_001:0114a01	等非前四攝體堅實故名有實事謂諸無為若據但	等 非 前 四 攝 體 堅 實 故 名 有 實 事 謂 諸 無 為 若 據 但 
X53n0837_001:0114a02	從同類遍行因生皆名等流等流亦通前二若據體	從 同 類 遍 行 因 生 皆 名 等 流 等 流 亦 通 前 二 若 據 體 
X53n0837_001:0114a03	是無常剎那亦通前三若據有實體性實事亦通前	是 無 常 剎 那 亦 通 前 三 若 據 有 實 體 性 實 事 亦 通 前 
X53n0837_001:0114a04	四今為顯差別故廢總論別色十一中眼等五根通	四 今 為 顯 差 別 故 廢 總 論 別 色 十 一 中 眼 等 五 根 通 
X53n0837_001:0114a05	異熟長養色味觸通異熟長養等流聲通長養等流	異 熟 長 養 色 味 觸 通 異 熟 長 養 等 流 聲 通 長 養 等 流 
X53n0837_001:0114a06	無表通等流剎那心王通異熟等流剎那四十六心	無 表 通 等 流 剎 那 心 王 通 異 熟 等 流 剎 那 四 十 六 心 
X53n0837_001:0114a07	所法中大地法十不定中尋伺通異熟等流剎那大	所 法 中 大 地 法 十 不 定 中 尋 伺 通 異 熟 等 流 剎 那 大 
X53n0837_001:0114a08	善地法十通等流剎那不定中睡眠通異熟等流大	善 地 法 十 通 等 流 剎 那 不 定 中 睡 眠 通 異 熟 等 流 大 
X53n0837_001:0114a09	煩惱地法六不善地法二小惑十不定中惡作貪嗔	煩 惱 地 法 六 不 善 地 法 二 小 惑 十 不 定 中 惡 作 貪 嗔 
X53n0837_001:0114a10	慢疑唯等流十四不相應中得四相通異熟等流剎	慢 疑 唯 等 流 十 四 不 相 應 中 得 四 相 通 異 熟 等 流 剎 
X53n0837_001:0114a11	那同分通異熟等流非得二定名句文唯等流無想	那 同 分 通 異 熟 等 流 非 得 二 定 名 句 文 唯 等 流 無 想 
X53n0837_001:0114a12	事命根唯是異熟三無為唯實事。五果者一異熟	事 命 根 唯 是 異 熟 三 無 為 唯 實 事 五 果 者 一 異 熟 
X53n0837_001:0114a13	果二等流果三士用果四增上果五離繫果入阿毗	果 二 等 流 果 三 士 用 果 四 增 上 果 五 離 繫 果 入 阿 毗 
X53n0837_001:0114a14	達磨論第二釋五果云果不似因故名為異熟謂成	達 磨 論 第 二 釋 五 果 云 果 不 似 因 故 名 為 異 熟 謂 成 
X53n0837_001:0114a15	熟堪受用故果即異熟名異熟果果似因故說名為	熟 堪 受 用 故 果 即 異 熟 名 異 熟 果 果 似 因 故 說 名 為 
X53n0837_001:0114a16	等從因生故故說為等流果即等流名等流果擇滅	等 從 因 生 故 故 說 為 等 流 果 即 等 流 名 等 流 果 擇 滅 
X53n0837_001:0114a17	無為名離繫果此由道得非道所生果即離繫名離	無 為 名 離 繫 果 此 由 道 得 非 道 所 生 果 即 離 繫 名 離 
X53n0837_001:0114a18	繫果由此勢力彼得生故此名士用彼名為果由前	繫 果 由此勢力 彼 得 生 故 此 名 士 用 彼 名 為 果 由 前 
X53n0837_001:0114a19	增上後法得生增上之果名增上果(已上論文)所引所欣	增 上 後 法 得 生 增 上 之 果 名 增 上 果 已 上 論 文 所 引 所 欣 
X53n0837_001:0114a20	隨應名果色十一中眼等五根色香味觸通異熟等	隨 應 名 果 色 十 一 中 眼 等 五 根 色香味觸 通 異 熟 等 
X53n0837_001:0114a21	流士用增上聲無表通等流士用增上心王通異熟	流 士 用 增 上 聲 無 表 通 等 流 士 用 增 上 心 王 通 異 熟 
X53n0837_001:0114a22	等流士用增上四十六心所法中大地法十不定中	等 流 士 用 增 上 四 十 六 心 所 法 中 大 地 法 十 不 定 中 
X53n0837_001:0114a23	尋伺睡眠通異熟等流士用增上餘三十三通異熟	尋 伺 睡 眠 通 異 熟 等 流 士 用 增 上 餘 三 十 三 通 異 熟 
X53n0837_001:0114a24	等流增上十四不相應行中得同分無想異熟命根	等 流 增 上 十 四 不相應行 中 得 同 分 無 想 異 熟 命 根 
X53n0837_001:0114b01	四相通異熟等流士用增上非得二定名句文通等	四 相 通 異 熟 等 流 士 用 增 上 非 得 二 定 名 句 文 通 等 
X53n0837_001:0114b02	流士用增上三無為中擇滅是離繫果或通士用果	流 士 用 增 上 三 無 為 中 擇 滅 是 離 繫 果 或 通 士 用 果 
X53n0837_001:0114b03	故正理云俱生無間隔越不生四士用中擇滅即是	故 正 理 云 俱 生 無 間 隔 越 不 生 四 士 用 中 擇 滅 即 是 
X53n0837_001:0114b04	不生士用果也餘二無為非所引故非有為果非所	不 生 士 用 果 也 餘 二 無 為 非 所 引 故 非 有 為 果 非 所 
X53n0837_001:0114b05	欣故非無為果故論云無法非因有法非果謂虗空	欣 故 非 無 為 果 故 論 云 無 法 非 因 有 法 非 果 謂 虗 空 
X53n0837_001:0114b06	非擇滅。五蓋者一欲貪蓋二嗔恚蓋三惛眠蓋四	非 擇 滅 五 蓋 者 一 欲 貪 蓋 二 嗔 恚 蓋 三 惛 眠 蓋 四 
X53n0837_001:0114b07	掉悔蓋五疑蓋唯此於五蘊能為勝障故謂貪恚蓋	掉 悔 蓋 五 疑 蓋 唯 此 於 五 蘊 能 為 勝 障 故 謂 貪 恚 蓋 
X53n0837_001:0114b08	能障戒蘊惛沉睡眠能障慧蘊掉舉惡作能障定蘊	能 障 戒 蘊 惛 沉 睡 眠 能 障 慧 蘊 掉 舉 惡 作 能 障 定 蘊 
X53n0837_001:0114b09	定慧無故於四諦疑疑故能令乃至解脫解脫知見	定 慧 無 故 於 四 諦 疑 疑 故 能 令 乃 至 解 脫 解脫知見 
X53n0837_001:0114b10	皆不得起故唯此五建立為蓋初二後一以心所法	皆 不 得 起 故 唯 此 五 建 立 為 蓋 初 二 後 一 以 心 所 法 
X53n0837_001:0114b11	中貪嗔疑為性第三以惛沉睡眠為性第四以掉舉	中 貪 嗔 疑 為 性 第 三 以 惛 沉 睡 眠 為 性 第 四 以 掉 舉 
X53n0837_001:0114b12	惡作為性皆唯欲界唯不善故。五順下分結者一	惡 作 為 性 皆 唯 欲 界 唯 不 善 故 五 順 下 分 結 者 一 
X53n0837_001:0114b13	有身見二戒禁取三疑四欲貪五嗔恚此五順益下	有 身 見 二 戒 禁 取 三 疑 四 欲 貪 五 嗔 恚 此 五 順 益 下 
X53n0837_001:0114b14	分界故名順下分前二以大地法中慧為性後三以	分 界 故 名 順 下 分 前 二 以 大 地 法 中 慧 為 性 後 三 以 
X53n0837_001:0114b15	不定中貪嗔疑為性前三通三界後二唯欲界。五	不 定 中 貪 嗔 疑 為 性 前 三 通 三 界 後 二 唯 欲 界 五 
X53n0837_001:0114b16	順上分結者一色貪二無色貪三掉舉四慢五無明	順 上 分 結 者 一 色 貪 二 無 色 貪 三 掉 舉 四 慢 五 無 明 
X53n0837_001:0114b17	順益上界故名順上分結以心所法中貪慢無明掉	順 益 上 界 故 名 順 上 分 結 以 心 所 法 中 貪 慢 無 明 掉 
X53n0837_001:0114b18	舉為性唯修所斷唯上界唯聖者。五分法身者一	舉 為 性 唯 修 所 斷 唯 上 界 唯 聖 者 五分法身 者 一 
X53n0837_001:0114b19	戒蘊謂無漏戒二定蘊謂無漏定三慧蘊謂無漏正	戒 蘊 謂 無 漏 戒 二 定 蘊 謂 無 漏 定 三 慧 蘊 謂 無 漏 正 
X53n0837_001:0114b20	見四解脫蘊謂無漏勝解五解脫知見蘊謂盡智無	見 四 解 脫 蘊 謂 無 漏 勝 解 五 解脫知見 蘊 謂 盡 智 無 
X53n0837_001:0114b21	生智解脫身中起故名解脫知見以此五種為無學	生 智 解 脫 身 中 起 故 名 解脫知見 以 此 五 種 為 無 學 
X53n0837_001:0114b22	身故名身也戒身以色十一中無表為性定身以心	身 故 名 身 也 戒 身 以 色 十 一 中 無 表 為 性 定 身 以 心 
X53n0837_001:0114b23	所中定為性慧身解脫知見身以慧為性解脫身以	所 中 定 為 性 慧 身 解脫知見 身 以 慧 為 性 解 脫 身 以 
X53n0837_001:0114b24	勝解為性。五戒者一不殺生二不偷盜三不欲邪	勝 解 為 性 五 戒 者 一 不 殺 生 二 不 偷 盜 三 不 欲 邪 
X53n0837_001:0114c01	行四不處誑語五不飲酒戒初三後一是身業第四	行 四 不 處 誑 語 五 不 飲 酒 戒 初 三 後 一 是 身 業 第 四 
X53n0837_001:0114c02	語業身語二業表無表性身表以色十一中色為性	語 業 身 語 二 業 表 無 表 性 身 表 以 色 十 一 中 色 為 性 
X53n0837_001:0114c03	語表以聲為性身語無表以無表為性。五眼者一	語 表 以 聲 為 性 身 語 無 表 以 無 表 為 性 五 眼 者 一 
X53n0837_001:0114c04	肉眼二天眼三慧眼四法眼五佛眼肉眼者謂欲界	肉 眼 二 天 眼 三 慧 眼 四 法 眼 五 佛 眼 肉 眼 者 謂 欲 界 
X53n0837_001:0114c05	有情眼也天眼者謂色界天眼慧眼法眼者以慧為	有 情 眼 也 天 眼 者 謂 色 界 天 眼 慧 眼 法 眼 者 以 慧 為 
X53n0837_001:0114c06	體觀四諦理名慧眼建立事智名法眼佛眼者即前	體 觀 四 諦 理 名 慧 眼 建 立 事 智 名 法 眼 佛 眼 者 即 前 
X53n0837_001:0114c07	四眼至佛身中總名佛眼以七十五法中眼慧為性	四 眼 至 佛 身 中 總 名 佛 眼 以 七十五法 中 眼 慧 為 性 
X53n0837_001:0114c08	初二唯眼次二唯慧後一通眼及慧觀照推度隨應	初 二 唯 眼 次 二 唯 慧 後 一 通 眼 及 慧 觀 照 推 度 隨 應 
X53n0837_001:0114c09	名眼。	名 眼 
X53n0837_001:0114c10	六門分別略有五種六界六通六垢六因六波羅蜜。	六 門 分 別 略 有 五 種 六 界 六 通 六 垢 六 因 六波羅蜜 
X53n0837_001:0114c11	六界者一地二水三火四風五空六識性義名界	六 界 者 一 地 二 水 三 火 四 風 五 空 六 識 性 義 名 界 
X53n0837_001:0114c12	前四即是觸中四大空即空界色是色攝即是色中	前 四 即 是 觸 中 四 大 空 即 空 界 色 是 色 攝 即 是 色 中 
X53n0837_001:0114c13	影光明闇識是心王即唯有漏。六通者一神境智	影 光 明 闇 識 是 心 王 即 唯 有 漏 六 通 者 一 神 境 智 
X53n0837_001:0114c14	證通神謂等持境謂行化智證境時無壅名通從定	證 通 神 謂 等 持 境 謂 行 化 智 證 境 時 無 壅 名 通 從 定 
X53n0837_001:0114c15	及境能證為名也餘通雖亦依定此通相顯偏標神	及 境 能 證 為 名 也 餘 通 雖 亦 依 定 此 通 相 顯 偏 標 神 
X53n0837_001:0114c16	名二天眼智證通天眼是所依根智是眼識相應慧	名 二 天眼智證通 天 眼 是 所 依 根 智 是 眼 識 相 應 慧 
X53n0837_001:0114c17	智證境時無壅名通從根及能證為名也三天耳智	智 證 境 時 無 壅 名 通 從 根 及 能 證 為 名 也 三 天 耳 智 
X53n0837_001:0114c18	證通天耳是根智是耳識相應慧智證境時無壅名	證 通 天 耳 是 根 智 是 耳 識 相 應 慧 智 證 境 時 無 壅 名 
X53n0837_001:0114c19	通亦從根及能證為名也四佗心智證通從加行及	通 亦 從 根 及 能 證 為 名 也 四 佗 心 智 證 通 從 加 行 及 
X53n0837_001:0114c20	能證為名也五宿住隨念智證通從境及相應并能	能 證 為 名 也 五 宿住隨念智 證 通 從 境 及 相 應 并 能 
X53n0837_001:0114c21	證為名也六漏盡智證通若涅槃名漏盡從所證及	證 為 名 也 六 漏盡智證通 若 涅 槃 名 漏 盡 從 所 證 及 
X53n0837_001:0114c22	能證智為名也若漏盡身名漏盡從所依及能證智	能 證 智 為 名 也 若 漏 盡 身 名 漏 盡 從 所 依 及 能 證 智 
X53n0837_001:0114c23	為名也於六通中前四唯俗智攝他心通五智攝謂	為 名 也 於 六 通 中 前 四 唯 俗 智 攝 他 心 通 五 智 攝 謂 
X53n0837_001:0114c24	法類道世俗他心漏盡通若能緣漏盡為境六智性	法 類 道 世 俗 他 心 漏 盡 通 若 能 緣 漏 盡 為 境 六 智 性 
X53n0837_001:0115a01	除道苦集他心若依漏盡身起十智性皆心所法中	除 道 苦 集 他 心 若 依 漏 盡 身 起 十 智 性 皆 心 所 法 中 
X53n0837_001:0115a02	慧為體性。六垢者一惱二害三恨四諂五誑六憍	慧 為 體 性 六 垢 者 一 惱 二 害 三 恨 四 諂 五 誑 六 憍 
X53n0837_001:0115a03	此六即以小惑本地中六法為性穢汙相麤故名為	此 六 即 以 小 惑 本 地 中 六 法 為 性 穢 汙 相 麤 故 名 為 
X53n0837_001:0115a04	垢。六因者一能作因二俱有因三同類因四相應	垢 六 因 者 一 能 作 因 二 俱 有 因 三 同 類 因 四 相 應 
X53n0837_001:0115a05	因五遍行因六異熟因能作因者能與果作因能作	因 五 遍 行 因 六 異 熟 因 能 作 因 者 能 與 果 作 因 能 作 
X53n0837_001:0115a06	即因或能作之因名能作因以一切法為性遍通七	即 因 或 能 作 之 因 名 能 作 因 以 一 切 法 為 性 遍 通 七 
X53n0837_001:0115a07	十五法俱有因者因與果俱名俱有因俱有即因或	十 五 法 俱 有 因 者 因 與 果 俱 名 俱 有 因 俱 有 即 因 或 
X53n0837_001:0115a08	俱有之因名俱有因以三世七十二法為體除三無	俱 有 之 因 名 俱 有 因 以 三 世 七 十 二 法 為 體 除 三 無 
X53n0837_001:0115a09	為同類因者因果相似名同類同類即因或同類之	為 同 類 因 者 因 果 相 似 名 同 類 同 類 即 因 或 同 類 之 
X53n0837_001:0115a10	因名同類因以過去現在七十二法為體除三無為	因 名 同 類 因 以 過去現在 七 十 二 法 為 體 除 三 無 為 
X53n0837_001:0115a11	相應因者五義平等名曰相應相應即因或相應之	相 應 因 者 五 義 平 等 名 曰 相 應 相 應 即 因 或 相 應 之 
X53n0837_001:0115a12	因名相應因以三世四十六心心所法為體遍行因	因 名 相 應 因 以 三 世 四 十 六 心心所法 為 體 遍 行 因 
X53n0837_001:0115a13	者遍與五部染法為因遍行即因名遍行因不得言	者 遍 與 五 部 染 法 為 因 遍 行 即 因 名 遍 行 因 不 得 言 
X53n0837_001:0115a14	遍行之因亦與非遍行法為因故以過去現在苦集	遍 行 之 因 亦 與 非 遍 行 法 為 因 故 以 過去現在 苦 集 
X53n0837_001:0115a15	下十一遍行隨眠相應俱有法為體以七十五法中	下 十 一 遍 行 隨 眠 相 應 俱 有 法 為 體 以 七十五法 中 
X53n0837_001:0115a16	心王大地法十大煩惱地法六不善地法二尋伺睡	心 王 大 地 法 十 大煩惱地法 六 不 善 地 法 二 尋 伺 睡 
X53n0837_001:0115a17	眠疑四相為性異熟因者謂異熟即因或異熟之因	眠 疑 四 相 為 性 異 熟 因 者 謂 異 熟 即 因 或 異 熟 之 因 
X53n0837_001:0115a18	名異熟因三世不善善有漏法為性以七十五法中	名 異 熟 因 三 世 不 善 善 有 漏 法 為 性 以 七十五法 中 
X53n0837_001:0115a19	色聲無表心王四十六心所法得二定四相為體。	色 聲 無 表 心 王 四 十 六 心 所 法 得 二 定 四 相 為 體 
X53n0837_001:0115a20	六波羅蜜者一布施二淨戒三安忍四精進五靜慮	六波羅蜜 者 一 布 施 二 淨 戒 三 安 忍 四 精 進 五 靜 慮 
X53n0837_001:0115a21	六般若波羅者彼岸即是涅槃蜜多名到此六能到	六 般 若 波 羅 者 彼 岸 即 是 涅 槃 蜜 多 名 到 此 六 能 到 
X53n0837_001:0115a22	涅槃彼岸名到彼岸布施者謂能布施財法等以能	涅 槃 彼 岸 名 到 彼 岸 布 施 者 謂 能 布 施 財 法 等 以 能 
X53n0837_001:0115a23	發心心所法及所發身語二業為性以七十五法中	發 心心所法 及 所 發 身 語 二 業 為 性 以 七十五法 中 
X53n0837_001:0115a24	色聲無表心王大地法十大善地法十尋伺為性淨	色 聲 無 表 心 王 大 地 法 十 大善地法 十 尋 伺 為 性 淨 
X53n0837_001:0115b01	戒者以三種戒為性以色十一中色聲無表為性安	戒 者 以 三 種 戒 為 性 以 色 十 一 中 色 聲 無 表 為 性 安 
X53n0837_001:0115b02	忍者以大善地法中無嗔善根為性精進者以大善	忍 者 以 大善地法 中 無 嗔 善 根 為 性 精 進 者 以 大 善 
X53n0837_001:0115b03	地法中勤為性靜慮者以大地法中定為性智慧者	地 法 中 勤 為 性 靜 慮 者 以 大 地 法 中 定 為 性 智 慧 者 
X53n0837_001:0115b04	以大地法中慧為性。	以 大 地 法 中 慧 為 性 
X53n0837_001:0115b05	七門分別略有五種七慢七識住七種聖人七支戒	七 門 分 別 略 有 五 種 七 慢 七 識 住 七 種 聖 人 七 支 戒 
X53n0837_001:0115b06	七覺支。七慢者一慢二過慢三慢過慢四我慢五	七 覺 支 七 慢 者 一 慢 二 過 慢 三 慢 過 慢 四 我 慢 五 
X53n0837_001:0115b07	增上慢六卑慢七邪慢若於劣謂己勝於等謂己等	增 上 慢 六 卑 慢 七 邪 慢 若 於 劣 謂 己 勝 於 等 謂 己 等 
X53n0837_001:0115b08	令心高舉總說為慢若於等謂己勝若於勝謂己等	令 心 高 舉 總 說 為 慢 若 於 等 謂 己 勝 若 於 勝 謂 己 等 
X53n0837_001:0115b09	令心高舉總名過慢若於勝謂己勝令心高舉名為	令 心 高 舉 總 名 過 慢 若 於 勝 謂 己 勝 令 心 高 舉 名 為 
X53n0837_001:0115b10	慢過慢若恃我令心高舉名為我慢若於未證得殊	慢 過 慢 若 恃 我 令 心 高 舉 名 為 我 慢 若 於 未 證 得 殊 
X53n0837_001:0115b11	勝德中謂己證得令心高舉名增上慢若於多分勝	勝 德 中 謂 己 證 得 令 心 高 舉 名 增 上 慢 若 於 多 分 勝 
X53n0837_001:0115b12	謂己少劣令心高舉名為卑慢若於無德中謂己有	謂 己 少 劣 令 心 高 舉 名 為 卑 慢 若 於 無 德 中 謂 己 有 
X53n0837_001:0115b13	德令心高舉名邪慢以不定中慢為體也。七識住	德 令 心 高 舉 名 邪 慢 以 不 定 中 慢 為 體 也 七 識 住 
X53n0837_001:0115b14	者一身異想異如人一分天分天天者謂欲界天及	者 一 身 異 想 異 如 人 一 分 天 分 天 天 者 謂 欲 界 天 及 
X53n0837_001:0115b15	初靜慮除劫初起身異謂彼色身種種顯形狀貌不	初 靜 慮 除 劫 初 起 身 異 謂 彼 色 身 種 種 顯 形 狀 貌 不 
X53n0837_001:0115b16	同想異謂彼苦樂不苦不樂想差別故二身異想一	同 想 異 謂 彼 苦 樂 不苦不樂 想 差 別 故 二 身 異 想 一 
