T48n2003_001:0139a03	碧巖錄序	碧 巖 錄 序 
T48n2003_009:0213c10	無孔鐵鎚。這一句急著眼看方見。若擬議又	無 孔 鐵 鎚 這 一 句 急 著 眼 看 方 見 若 擬 議 又 
T48n2003_009:0213c11	蹉過。師舉拂子云。還見麼。遂敲禪床一下云。	蹉 過 師 舉 拂 子 云 還 見 麼 遂 敲 禪 床 一 下 云 
T48n2003_009:0213c12	還聞麼。下禪床云。還說得麼。	還 聞 麼 下 禪 床 云 還 說 得 麼 
T48n2003_009:0213c13	垂示云。通身是眼見不到。通身是耳聞不及。	垂 示 云 通 身 是 眼 見 不 到 通 身 是 耳 聞 不 及 
T48n2003_009:0213c14	通身是口說不著。通身是心鑒不出。通身即	通 身 是 口 說 不 著 通 身 是 心 鑒 不 出 通 身 即 
T48n2003_009:0213c15	且止。忽若無眼作麼生見。無耳作麼生聞。無	且 止 忽 若 無 眼 作 麼 生 見 無 耳 作 麼 生 聞 無 
T48n2003_009:0213c16	口作麼生說。無心作麼生鑒。若向箇裏撥轉	口 作 麼 生 說 無 心 作 麼 生 鑒 若 向 箇 裏 撥 轉 
T48n2003_009:0213c17	得一線道。便與古佛同參。參則且止。且道參	得 一 線 道 便 與 古 佛 同 參 參 則 且 止 且 道 參 
T48n2003_009:0213c18	箇什麼人。	箇 什 麼 人 
T48n2003_009:0213c19	【八九】舉。雲巖問道吾。大悲菩薩。用許多手眼	 八 九 舉 雲 巖 問 道 吾 大 悲 菩 薩 用 許 多 手 眼 
T48n2003_009:0213c20	作什麼(當時好與本分草料。爾尋常走上走下作什麼。闍黎問作什麼)。吾云。如人	作 什 麼 當 時 好 與 本 分 草 料 爾 尋 常 走 上 走 下 作 什 麼 闍 黎 問 作 什 麼 吾 云 如 人 
T48n2003_009:0213c21	夜半背手摸枕子(何不用本分草料。一盲引眾盲)巖云。我	夜 半 背 手 摸 枕 子 何 不 用 本 分 草 料 一 盲 引 眾 盲 巖 云 我 
T48n2003_009:0213c22	會也(將錯就錯。賺殺一船人。同坑無異土。未免傷鋒犯手)吾云。汝作麼	會 也 將 錯 就 錯 賺 殺 一 船 人 同 坑 無 異 土 未 免 傷 鋒 犯 手 吾 云 汝 作 麼 
T48n2003_009:0213c23	生會(何勞更問。也要問過。好與一拶)巖云。遍身是手眼(有什麼交涉。	生 會 何 勞 更 問 也 要 問 過 好 與 一 拶 巖 云 遍 身 是 手 眼 有 什 麼 交 涉 
T48n2003_009:0213c24	鬼窟裏作活計。泥裏洗土塊)吾云。道即太殺道。只道得八	鬼 窟 裏 作 活 計 泥 裏 洗 土 塊 吾 云 道 即 太 殺 道 只 道 得 八 
T48n2003_009:0213c25	成(同坑無異土。奴見婢慇懃。癩兒牽伴)巖云。師兄作麼生(取人處分爭得。	成 同 坑 無 異 土 奴 見 婢 慇 懃 癩 兒 牽 伴 巖 云 師 兄 作 麼 生 取 人 處 分 爭 得 
T48n2003_009:0213c26	也好與一拶)吾云。通身是手眼(鰕跳不出斗。換却爾眼睛。移却舌頭。還	也 好 與 一 拶 吾 云 通 身 是 手 眼 鰕 跳 不 出 斗 換 却 爾 眼 睛 移 却 舌 頭 還 
T48n2003_009:0213c27	得十成也未。喚爹作爺)。	得 十 成 也 未 喚 爹 作 爺 
T48n2003_009:0213c28	雲巖與道吾同參藥山。四十年脇不著席。藥	雲 巖 與 道 吾 同 參 藥 山 四 十 年 脇 不 著 席 藥 
T48n2003_009:0214a01	山出曹洞一宗。有三人法道盛行。雲巖下洞	山 出 曹 洞 一 宗 有 三 人 法 道 盛 行 雲 巖 下 洞 
T48n2003_009:0214a02	山。道吾下石霜船子下夾山。大悲菩薩有八	山 道 吾 下 石 霜 船 子 下 夾 山 大 悲 菩 薩 有 八 
T48n2003_009:0214a03	萬四千母陀羅臂。大悲有許多手眼。諸人還	萬 四 千 母 陀 羅 臂 大 悲 有 許 多 手 眼 諸 人 還 
T48n2003_009:0214a04	有也無。百丈云。一切語言文字。俱皆宛轉歸	有 也 無 百 丈 云 一 切 語 言 文 字 俱 皆 宛 轉 歸 
T48n2003_009:0214a05	于自己。雲巖常隨道吾咨參決擇。一日問他	于 自 己 雲 巖 常 隨 道 吾 咨 參 決 擇 一 日 問 他 
T48n2003_009:0214a06	道。大悲菩薩用許多手眼作什麼。當初好與	道 大 悲 菩 薩 用 許 多 手 眼 作 什 麼 當 初 好 與 
T48n2003_009:0214a07	他劈脊便棒。免見後有許多葛藤。道吾慈悲	他 劈 脊 便 棒 免 見 後 有 許 多 葛 藤 道 吾 慈 悲 
T48n2003_009:0214a08	不能如此。却與他說道理。意要教他便會。却	不 能 如 此 却 與 他 說 道 理 意 要 教 他 便 會 却 
T48n2003_009:0214a09	道如人夜半背手摸枕子。當深夜無燈光時。	道 如 人 夜 半 背 手 摸 枕 子 當 深 夜 無 燈 光 時 
T48n2003_009:0214a10	將手摸枕子。且道眼在什麼處。他便道我	將 手 摸 枕 子 且 道 眼 在 什 麼 處 他 便 道 我 
T48n2003_009:0214a11	會也。吾云汝作麼生會。巖云遍身是手眼。吾	會 也 吾 云 汝 作 麼 生 會 巖 云 遍 身 是 手 眼 吾 
T48n2003_009:0214a12	云。道即太殺道。只道得八成。巖云。師兄又作	云 道 即 太 殺 道 只 道 得 八 成 巖 云 師 兄 又 作 
T48n2003_009:0214a13	麼生。吾云。通身是手眼。且道遍身是底是。通	麼 生 吾 云 通 身 是 手 眼 且 道 遍 身 是 底 是 通 
T48n2003_009:0214a14	身是底是。雖似爛泥却脫灑。如今人多去作	身 是 底 是 雖 似 爛 泥 却 脫 灑 如 今 人 多 去 作 
T48n2003_009:0214a15	情解道。遍身底不是。通身底是。只管咬他古	情 解 道 遍 身 底 不 是 通 身 底 是 只 管 咬 他 古 
T48n2003_009:0214a16	人言句。於古人言下死了。殊不知。古人意不	人 言 句 於 古 人 言 下 死 了 殊 不 知 古 人 意 不 
T48n2003_009:0214a17	在言句上。此皆是事不獲已而用之。如今下	在 言 句 上 此 皆 是 事 不 獲 已 而 用 之 如 今 下 
T48n2003_009:0214a18	注脚。立格則道。若透得此公案。便作罷參會。	注 脚 立 格 則 道 若 透 得 此 公 案 便 作 罷 參 會 
T48n2003_009:0214a19	以手摸渾身。摸燈籠露柱。盡作通身話會。若	以 手 摸 渾 身 摸 燈 籠 露 柱 盡 作 通 身 話 會 若 
T48n2003_009:0214a20	恁麼會。壞他古人不少。所以道。他參活句不	恁 麼 會 壞 他 古 人 不 少 所 以 道 他 參 活 句 不 
T48n2003_009:0214a21	參死句。須是絕情塵意想。淨裸裸赤灑灑地。	參 死 句 須 是 絕 情 塵 意 想 淨 裸 裸 赤 灑 灑 地 
T48n2003_009:0214a22	方可見得大悲話。不見曹山問僧。應物現形	方 可 見 得 大 悲 話 不 見 曹 山 問 僧 應 物 現 形 
T48n2003_009:0214a23	如水中月時如何。僧云。如驢覰井。山云。道即	如水中月 時 如 何 僧 云 如 驢 覰 井 山 云 道 即 
T48n2003_009:0214a24	殺道只道得八成。僧云。和尚又作麼生。山云。	殺 道 只 道 得 八 成 僧 云 和 尚 又 作 麼 生 山 云 
T48n2003_009:0214a25	如井覷驢。便同此意也。爾若去語上見。總出	如 井 覷 驢 便 同 此 意 也 爾 若 去 語 上 見 總 出 
T48n2003_009:0214a26	道吾雲巖圈繢不得。雪竇作家。更不向句下	道 吾 雲 巖 圈 繢 不 得 雪 竇 作 家 更 不 向 句 下 
T48n2003_009:0214a27	死。直向頭上行。頌云。	死 直 向 頭 上 行 頌 云 
T48n2003_009:0214a28	遍身是(四肢八節。未是衲僧極則處)　通身是(頂門上有半邊。猶在窠窟裏。瞎)　拈	遍 身 是 四 肢 八 節 未 是 衲 僧 極 則 處 通 身 是 頂 門 上 有 半 邊 猶 在 窠 窟 裏 瞎 拈 
T48n2003_009:0214a29	來猶較十萬里(放過則不可。何止十萬里)　　展翅鵬騰六合	來 猶 較 十 萬 里 放 過 則 不 可 何 止 十 萬 里 展 翅 鵬 騰 六 合 
T48n2003_009:0214b01	雲(些子境界。將謂奇特。點)　　搏風鼓蕩四溟水(些子塵埃。將謂天下人	雲 些 子 境 界 將 謂 奇 特 點 搏 風 鼓 蕩 四 溟 水 些 子 塵 埃 將 謂 天 下 人 
T48n2003_009:0214b02	不奈爾何。過)　　是何埃壒兮忽生(重為禪人下注脚。斬拈却著那裏)　那	不 奈 爾 何 過 是 何 埃 壒 兮 忽 生 重 為 禪 人 下 注 脚 斬 拈 却 著 那 裏 那 
T48n2003_009:0214b03	箇毫釐兮未止(別別。吹散了也。截)　　君不見(又恁麼去)　網珠	箇 毫 釐 兮 未 止 別 別 吹 散 了 也 截 君 不 見 又 恁 麼 去 網 珠 
T48n2003_009:0214b04	垂範影重重(大小大雪竇作這箇去就。可惜許。依舊打葛藤)　　棒頭手	垂 範 影 重 重 大 小 大 雪 竇 作 這 箇 去 就 可 惜 許 依 舊 打 葛 藤 棒 頭 手 
T48n2003_009:0214b05	眼從何起(咄。賊過後張弓。放爾不得。盡大地人無出氣處。放得又須喫棒。又打咄云。	眼 從 何 起 咄 賊 過 後 張 弓 放 爾 不 得 盡 大 地 人 無 出 氣 處 放 得 又 須 喫 棒 又 打 咄 云 
T48n2003_009:0214b06	且道山僧底是雪竇底是)　　咄(三喝四喝後作麼生)　壒(於蓋切。塵也通作堨)	且 道 山 僧 底 是 雪 竇 底 是 咄 三 喝 四 喝 後 作 麼 生 壒 於 蓋 切 塵 也 通 作 堨 
T48n2003_009:0214b07	遍身是通身是。若道背手摸枕子底便是。以	遍 身 是 通 身 是 若 道 背 手 摸 枕 子 底 便 是 以 
T48n2003_009:0214b08	手摸身底便是。若作恁麼見解。盡向鬼窟裏	手 摸 身 底 便 是 若 作 恁 麼 見 解 盡 向 鬼 窟 裏 
T48n2003_009:0214b09	作活計。畢竟遍身通身都不是。若要以情識	作 活 計 畢 竟 遍 身 通 身 都 不 是 若 要 以 情 識 
T48n2003_009:0214b10	去見他大悲話。直是猶較十萬里。雪竇弄得	去 見 他 大 悲 話 直 是 猶 較 十 萬 里 雪 竇 弄 得 
T48n2003_009:0214b11	一句活道。拈來猶較十萬里。後句頌雲巖道	一 句 活 道 拈 來 猶 較 十 萬 里 後 句 頌 雲 巖 道 
T48n2003_009:0214b12	吾奇特處云。展翅鵬騰六合雲。搏風鼓蕩四	吾 奇 特 處 云 展 翅 鵬 騰 六 合 雲 搏 風 鼓 蕩 四 
T48n2003_009:0214b13	溟水。大鵬吞龍以翼搏風鼓浪。其水開三千	溟 水 大 鵬 吞 龍 以 翼 搏 風 鼓 浪 其 水 開 三 千 
T48n2003_009:0214b14	里。遂取龍吞之。雪竇道。爾若大鵬能搏風	里 遂 取 龍 吞 之 雪 竇 道 爾 若 大 鵬 能 搏 風 
T48n2003_009:0214b15	鼓浪。也太殺雄壯。若以大悲千手眼觀之。只	鼓 浪 也 太 殺 雄 壯 若 以 大 悲 千 手 眼 觀 之 只 
T48n2003_009:0214b16	是些子塵埃忽生相似。又似一毫釐風吹未	是 些 子 塵 埃 忽 生 相 似 又 似 一 毫 釐 風 吹 未 
T48n2003_009:0214b17	止相似。雪竇道。爾若以手摸身用作手眼堪	止 相 似 雪 竇 道 爾 若 以 手 摸 身 用 作 手 眼 堪 
T48n2003_009:0214b18	作何用。於是大悲話上。直是未在。所以道。是	作 何 用 於 是 大 悲 話 上 直 是 未 在 所 以 道 是 
T48n2003_009:0214b19	何埃壒兮忽生。那箇毫釐兮未止。雪竇自謂	何 埃 壒 兮 忽 生 那 箇 毫 釐 兮 未 止 雪 竇 自 謂 
T48n2003_009:0214b20	作家。一時拂迹了也。爭奈後面依舊漏逗說	作 家 一 時 拂 迹 了 也 爭 奈 後 面 依 舊 漏 逗 說 
T48n2003_009:0214b21	箇諭子。依前只在圈繢裏。君不見。網珠垂範	箇 諭 子 依 前 只 在 圈 繢 裏 君 不 見 網 珠 垂 範 
T48n2003_009:0214b22	影重重。雪竇引帝網明珠。以用垂範。手眼且	影 重 重 雪 竇 引 帝 網 明 珠 以 用 垂 範 手 眼 且 
T48n2003_009:0214b23	道落在什麼處。華嚴宗中。立四法界。一理法	道 落 在 什 麼 處 華 嚴 宗 中 立 四 法 界 一 理 法 
T48n2003_009:0214b24	界。明一味平等故。二事法界。明全理成事故。	界 明 一 味 平 等 故 二 事 法 界 明 全 理 成 事 故 
T48n2003_009:0214b25	三理事無礙法界。明理事相融大小無礙故。	三 理 事 無 礙 法 界 明 理 事 相 融 大 小 無 礙 故 
T48n2003_009:0214b26	四事事無礙法界。明一事遍入一切事。一切	四 事 事 無 礙 法 界 明 一 事 遍 入 一 切 事 一 切 
T48n2003_009:0214b27	事遍攝一切事。同時交參無礙故。所以道。一	事 遍 攝 一 切 事 同 時 交 參 無 礙 故 所 以 道 一 
T48n2003_009:0214b28	塵纔舉大地全收。一一塵含無邊法界。一塵	塵 纔 舉 大 地 全 收 一 一 塵 含 無邊法界 一 塵 
T48n2003_009:0214c01	既爾諸塵亦然。網珠者。乃天帝釋善法堂前。	既 爾 諸 塵 亦 然 網 珠 者 乃 天 帝 釋 善 法 堂 前 
T48n2003_009:0214c02	以摩尼珠為網。凡一珠中映現百千珠。而百	以 摩 尼 珠 為 網 凡 一 珠 中 映 現 百 千 珠 而 百 
T48n2003_009:0214c03	千珠俱現一珠中。交映重重。主伴無盡。此用	千 珠 俱 現 一 珠 中 交 映 重 重 主 伴 無 盡 此 用 
T48n2003_009:0214c04	明事事無礙法界也。昔賢首國師。立為鏡燈	明 事 事 無 礙 法 界 也 昔 賢 首 國 師 立 為 鏡 燈 
T48n2003_009:0214c05	諭。圓列十鏡。中設一燈。若看東鏡。則九鏡鏡	諭 圓 列 十 鏡 中 設 一 燈 若 看 東 鏡 則 九 鏡 鏡 
T48n2003_009:0214c06	燈歷然齊現。若看南鏡則鏡鏡如然。所以世	燈 歷 然 齊 現 若 看 南 鏡 則 鏡 鏡 如 然 所 以 世 
T48n2003_009:0214c07	尊初成正覺。不離菩提道場。而遍昇忉利諸	尊 初 成 正 覺 不 離 菩提道場 而 遍 昇 忉 利 諸 
T48n2003_009:0214c08	天。乃至於一切處。七處九會。說華嚴經。雪竇	天 乃 至 於 一 切 處 七 處 九 會 說 華 嚴 經 雪 竇 
T48n2003_009:0214c09	以帝網珠。垂示事事無礙法界。然六相義甚	以 帝 網 珠 垂 示 事 事 無 礙 法 界 然 六 相 義 甚 
T48n2003_009:0214c10	明白。即總即別。即同即異。即成即壞。舉一相	明 白 即 總 即 別 即 同 即 異 即 成 即 壞 舉 一 相 
T48n2003_009:0214c11	則六相俱該。但為眾生日用而不知。雪竇拈	則 六 相 俱 該 但 為 眾 生 日 用 而 不 知 雪 竇 拈 
T48n2003_009:0214c12	帝網明珠。垂範況此大悲話。直是如此。爾若	帝 網 明 珠 垂 範 況 此 大 悲 話 直 是 如 此 爾 若 
T48n2003_009:0214c13	善能向此珠網中。明得拄杖子。神通妙用。出	善 能 向 此 珠 網 中 明 得 拄 杖 子 神 通 妙 用 出 
T48n2003_009:0214c14	入無礙。方可見得手眼。所以雪竇云。棒頭	入 無 礙 方 可 見 得 手 眼 所 以 雪 竇 云 棒 頭 
T48n2003_009:0214c15	手眼從何起。教爾棒頭取證喝下承當。只如	手 眼 從 何 起 教 爾 棒 頭 取 證 喝 下 承 當 只 如 
T48n2003_009:0214c16	德山入門便棒。且道手眼在什麼處。臨濟入	德 山 入 門 便 棒 且 道 手 眼 在 什 麼 處 臨 濟 入 
T48n2003_009:0214c17	門便喝。且道手眼在什麼處。且道雪竇末後。	門 便 喝 且 道 手 眼 在 什 麼 處 且 道 雪 竇 末 後 
T48n2003_009:0214c18	為什麼更著箇咄字參。	為 什 麼 更 著 箇 咄 字 參 
T48n2003_009:0214c19	垂示云。聲前一句千聖不傳。面前一絲長時	垂 示 云 聲 前 一 句 千 聖 不 傳 面 前 一 絲 長 時 
T48n2003_009:0214c20	無間。淨裸裸赤灑灑。頭鬔鬆耳卓朔。且道作	無 間 淨 裸 裸 赤 灑 灑 頭 鬔 鬆 耳 卓 朔 且 道 作 
T48n2003_009:0214c21	麼生。試舉看。	麼 生 試 舉 看 
T48n2003_009:0214c22	【九〇】舉。僧問智門。如何是般若體(通身無影象。坐斷天下人舌	 九 〇 舉 僧 問 智 門 如 何 是 般 若 體 通 身 無 影 象 坐 斷 天 下 人 舌 
T48n2003_009:0214c23	頭。用體作什麼)門云。蚌含明月(光吞萬象。即且止。棒頭正眼事如何。曲不藏	頭 用 體 作 什 麼 門 云 蚌 含 明 月 光 吞 萬 象 即 且 止 棒 頭 正 眼 事 如 何 曲 不 藏 
T48n2003_009:0214c24	直。雪上加霜又一重)僧云。如何是般若用(倒退三千里。要用作什麼)	直 雪 上 加 霜 又 一 重 僧 云 如 何 是 般 若 用 倒 退 三 千 里 要 用 作 什 麼 
T48n2003_009:0214c25	門云。兔子懷胎(嶮。苦瓠連根苦。甜瓜徹帶甜。向光影中作活計。不出智	門 云 兔 子 懷 胎 嶮 苦 瓠 連 根 苦 甜 瓜 徹 帶 甜 向 光 影 中 作 活 計 不 出 智 
T48n2003_009:0214c26	門窠窟。若有箇出來。且道是般若體是般若用。且要土上加泥)。	門 窠 窟 若 有 箇 出 來 且 道 是 般 若 體 是 般 若 用 且 要 土 上 加 泥 
T48n2003_009:0214c27	智門道。蚌含明月兔子。懷胎。都用中秋意。雖	智 門 道 蚌 含 明 月 兔 子 懷 胎 都 用 中 秋 意 雖 
T48n2003_009:0214c28	然如此。古人意却不在蚌兔上。他是雲門會	然 如 此 古 人 意 却 不 在 蚌 兔 上 他 是 雲 門 會 
T48n2003_009:0215a01	下尊宿。一句語須具三句。所謂函蓋乾坤句。	下 尊 宿 一 句 語 須 具 三 句 所 謂 函 蓋 乾 坤 句 
T48n2003_009:0215a02	截斷眾流句。隨波逐浪句。亦不消安排。自然	截 斷 眾 流 句 隨 波 逐 浪 句 亦 不 消 安 排 自 然 
T48n2003_009:0215a03	恰好。便去嶮處。答這僧話。略露些子鋒鋩。不	恰 好 便 去 嶮 處 答 這 僧 話 略 露 些 子 鋒 鋩 不 
T48n2003_009:0215a04	妨奇特。雖然恁麼。他古人終不去弄光影。只	妨 奇 特 雖 然 恁 麼 他 古 人 終 不 去 弄 光 影 只 
T48n2003_009:0215a05	與爾指些路頭教人見。這僧問。如何是般若	與 爾 指 些 路 頭 教 人 見 這 僧 問 如 何 是 般 若 
T48n2003_009:0215a06	體。智門云。蚌含明月。漢江出蚌。蚌中有明	體 智 門 云 蚌 含 明 月 漢 江 出 蚌 蚌 中 有 明 
T48n2003_009:0215a07	珠。到中秋月出。蚌於水面浮。開口含月光。感	珠 到 中 秋 月 出 蚌 於 水 面 浮 開 口 含 月 光 感 
T48n2003_009:0215a08	而產珠。合浦珠是也。若中秋有月則珠多。無	而 產 珠 合 浦 珠 是 也 若 中 秋 有 月 則 珠 多 無 
T48n2003_009:0215a09	月則珠少。如何是般若用。門云。兔子懷胎。此	月 則 珠 少 如 何 是 般 若 用 門 云 兔 子 懷 胎 此 
T48n2003_009:0215a10	意亦無異。兔屬陰。中秋月生。開口吞其光。便	意 亦 無 異 兔 屬 陰 中 秋 月 生 開 口 吞 其 光 便 
T48n2003_009:0215a11	乃懷胎。口中產兒。亦是有月則多。無月則少。	乃 懷 胎 口 中 產 兒 亦 是 有 月 則 多 無 月 則 少 
T48n2003_009:0215a12	他古人答處。無許多事。他只借其意。而答般	他 古 人 答 處 無 許 多 事 他 只 借 其 意 而 答 般 
T48n2003_009:0215a13	若光也。雖然恁麼。他意不在言句上。自是	若 光 也 雖 然 恁 麼 他 意 不 在 言 句 上 自 是 
T48n2003_009:0215a14	後人。去言句上作活計。不見盤山道。心月孤	後 人 去 言 句 上 作 活 計 不 見 盤 山 道 心 月 孤 
T48n2003_009:0215a15	圓光吞萬象。光非照境境亦非存。光境俱亡	圓 光 吞 萬 象 光 非 照 境 境 亦 非 存 光 境 俱 亡 
T48n2003_009:0215a16	復是何物。如今人但瞠眼喚作光。只去情上	復 是 何 物 如 今 人 但 瞠 眼 喚 作 光 只 去 情 上 
T48n2003_009:0215a17	生解。空裏釘橛。古人道。汝等諸人。六根門頭	生 解 空 裏 釘 橛 古 人 道 汝 等 諸 人 六 根 門 頭 
T48n2003_009:0215a18	晝夜放大光明。照破山河大地。不只止眼根	晝 夜 放大光明 照 破 山 河 大 地 不 只 止 眼 根 
T48n2003_009:0215a19	放光。鼻舌身意亦皆放光也。到這裏直須打	放 光 鼻 舌 身 意 亦 皆 放 光 也 到 這 裏 直 須 打 
T48n2003_009:0215a20	疊六根下無一星事。淨裸裸赤灑灑地。方見	疊 六 根 下 無 一 星 事 淨 裸 裸 赤 灑 灑 地 方 見 
T48n2003_009:0215a21	此話落處。雪竇正恁麼頌出。	此 話 落 處 雪 竇 正 恁 麼 頌 出 
T48n2003_009:0215a22	一片虛凝絕謂情(擬心即差動念即隔。佛眼也覰不見)　人天從	一 片 虛 凝 絕 謂 情 擬 心 即 差 動 念 即 隔 佛 眼 也 覰 不 見 人 天 從 
T48n2003_009:0215a23	此見空生(須菩提好與三十棒。用這老漢作什麼。設使須菩提也倒退三千里)　　蚌含	此 見 空 生 須 菩 提 好 與 三 十 棒 用 這 老 漢 作 什 麼 設 使 須 菩 提 也 倒 退 三 千 里 蚌 含 
T48n2003_009:0215a24	玄兔深深意(也須是當人始得。有什麼意。何須更用深深意)　　曾與禪家	玄 兔 深 深 意 也 須 是 當 人 始 得 有 什 麼 意 何 須 更 用 深 深 意 曾 與 禪 家 
T48n2003_009:0215a25	作戰爭(干戈已息天下太平。還會麼。打云。闍黎喫得多少)	作 戰 爭 干 戈 已 息 天 下 太 平 還 會 麼 打 云 闍 黎 喫 得 多 少 
T48n2003_009:0215a26	一片虛凝絕謂情。雪竇一句便頌得好。自然	一 片 虛 凝 絕 謂 情 雪 竇 一 句 便 頌 得 好 自 然 
T48n2003_009:0215a27	見得古人意。六根湛然。是箇什麼。只這一片	見 得 古 人 意 六 根 湛 然 是 箇 什 麼 只 這 一 片 
T48n2003_009:0215a28	虛明凝寂。不消去天上討。也不必向別人求。	虛 明 凝 寂 不 消 去 天 上 討 也 不 必 向 別 人 求 
T48n2003_009:0215a29	自然常光現前。是處壁立千仞。謂情即是絕	自 然 常 光 現 前 是 處 壁 立 千 仞 謂 情 即 是 絕 
T48n2003_009:0215b01	言謂情塵也。法眼圓成實性頌云。理極忘情	言 謂 情 塵 也 法 眼 圓成實性 頌 云 理 極 忘 情 
T48n2003_009:0215b02	謂。如何得諭齊。到頭霜夜月。任運落前溪。果	謂 如 何 得 諭 齊 到 頭 霜 夜 月 任 運 落 前 溪 果 
T48n2003_009:0215b03	熟兼猿重。山遙似路迷。舉頭殘照在。元是	熟 兼 猿 重 山 遙 似 路 迷 舉 頭 殘 照 在 元 是 
T48n2003_009:0215b04	住居西。所以道。心是根法是塵。兩種猶如鏡	住 居 西 所 以 道 心 是 根 法 是 塵 兩 種 猶 如 鏡 
T48n2003_009:0215b05	上痕。塵垢盡時光始現。心法雙忘性即真。又	上 痕 塵 垢 盡 時 光 始 現 心 法 雙 忘 性 即 真 又 
T48n2003_009:0215b06	道三間茅屋從來住。一道神光萬境閑。莫把	道 三 間 茅 屋 從 來 住 一 道 神 光 萬 境 閑 莫 把 
T48n2003_009:0215b07	是非來辨我。浮生穿鑿不相關。只此頌亦見	是 非 來 辨 我 浮 生 穿 鑿 不 相 關 只 此 頌 亦 見 
T48n2003_009:0215b08	一片虛凝絕謂情也。人天從此見空生。不見	一 片 虛 凝 絕 謂 情 也 人 天 從 此 見 空 生 不 見 
T48n2003_009:0215b09	須菩提巖中宴坐。諸天雨花讚歎。尊者云。空	須 菩 提 巖 中 宴 坐 諸 天 雨 花 讚 歎 尊 者 云 空 
T48n2003_009:0215b10	中雨花讚歎。復是何人。天云。我是梵天。尊者	中 雨 花 讚 歎 復 是 何 人 天 云 我 是 梵 天 尊 者 
T48n2003_009:0215b11	云。汝云何讚歎。天云。我重尊者善說般若波	云 汝 云 何 讚 歎 天 云 我 重 尊 者 善 說 般 若 波 
T48n2003_009:0215b12	羅蜜多。尊者云。我於般若未甞說一字。汝云	羅 蜜 多 尊 者 云 我 於 般 若 未 甞 說 一 字 汝 云 
T48n2003_009:0215b13	何讚歎。天云。尊者無說。我乃無聞。無說無聞	何 讚 歎 天 云 尊 者 無 說 我 乃 無 聞 無 說 無 聞 
T48n2003_009:0215b14	是真般若。又復動地雨花。看他須菩提善說	是 真 般 若 又 復 動 地 雨 花 看 他 須 菩 提 善 說 
T48n2003_009:0215b15	般若。且不說體用。若於此見得。便可見智門	般 若 且 不 說 體 用 若 於 此 見 得 便 可 見 智 門 
T48n2003_009:0215b16	道蚌含明月兔子懷胎。古人意雖不在言句	道 蚌 含 明 月 兔 子 懷 胎 古 人 意 雖 不 在 言 句 
T48n2003_009:0215b17	上。爭奈答處有深深之旨。惹得雪竇道蚌含	上 爭 奈 答 處 有 深 深 之 旨 惹 得 雪 竇 道 蚌 含 
T48n2003_009:0215b18	玄兔深深意。到這裏曾與禪家作戰爭。天下	玄 兔 深 深 意 到 這 裏 曾 與 禪 家 作 戰 爭 天 下 
T48n2003_009:0215b19	禪和子。鬧浩浩地商量。未甞有一人夢見在。	禪 和 子 鬧 浩 浩 地 商 量 未 甞 有 一 人 夢 見 在 
T48n2003_009:0215b20	若要與智門雪竇同參。也須是自著眼始得。	若 要 與 智 門 雪 竇 同 參 也 須 是 自 著 眼 始 得 
T48n2003_009:0215b21	佛果圜悟禪師碧巖錄卷第九(終)	佛 果 圜 悟 禪 師 碧 巖 錄 卷 第 九 終 
T48n2003_010:0215b24	佛果圜悟禪師碧巖錄卷第十	佛 果 圜 悟 禪 師 碧 巖 錄 卷 第 十 
T48n2003_010:0215b26	垂示云。超情離見。去縛解粘。提起向上宗乘。	垂 示 云 超 情 離 見 去 縛 解 粘 提 起 向 上 宗 乘 
T48n2003_010:0215b27	扶竪正法眼藏。也須十方齊應八面玲瓏。直	扶 竪 正 法 眼 藏 也 須 十 方 齊 應 八 面 玲 瓏 直 
T48n2003_010:0215b28	到恁麼田地。且道還有同得同證同死同生	到 恁 麼 田 地 且 道 還 有 同 得 同 證 同 死 同 生 
T48n2003_010:0215b29	底麼。試舉看。	底 麼 試 舉 看 
T48n2003_010:0215c01	【九一】舉。鹽官一日喚侍者。與我將犀牛扇子來	 九 一 舉 鹽 官 一 日 喚 侍 者 與 我 將 犀 牛 扇 子 來 
T48n2003_010:0215c02	(打葛藤不少。何似這箇好箇消息)侍者云。扇子破也(可惜許。好箇消息。道	 打 葛 藤 不 少 何 似 這 箇 好 箇 消 息 侍 者 云 扇 子 破 也 可 惜 許 好 箇 消 息 道 
T48n2003_010:0215c03	什麼)官云。扇子既破。還我犀牛兒來(漏逗不少。幽	什 麼 官 云 扇 子 既 破 還 我 犀 牛 兒 來 漏 逗 不 少 幽 
T48n2003_010:0215c04	州猶自可。最苦是新羅。和尚用犀牛兒作什麼)侍者無對(果然是箇無孔鐵鎚。可惜許)	州 猶 自 可 最 苦 是 新 羅 和 尚 用 犀 牛 兒 作 什 麼 侍 者 無 對 果 然 是 箇 無 孔 鐵 鎚 可 惜 許 
T48n2003_010:0215c05	投子云。不辭將出。恐頭角不全(似則似。爭奈兩頭三	投 子 云 不 辭 將 出 恐 頭 角 不 全 似 則 似 爭 奈 兩 頭 三 
T48n2003_010:0215c06	面。也是說道理)雪竇拈云。我要不全底頭角(堪作何用。將	面 也 是 說 道 理 雪 竇 拈 云 我 要 不 全 底 頭 角 堪 作 何 用 將 
